simplified	NO	example_NO
番	omgang	Disse ordene ga meg mye inspirasjon
凡是	alle	Alle som melder seg på, må delta på opplæringen
繁华	livlig	Denne gaten pleide å være svært livlig
繁忙	travel	Flyplassen er spesielt travel i ferier
繁体字	tradisjonelt kinesisk tegn	Folk på Taiwan skriver ofte tradisjonelle kinesiske tegn
繁殖	formere seg	Denne planten formerer seg lett
反驳	tilbakevise	Han tilbakeviste dette synet med data
反常	uvanlig	Været i dag er litt uvanlig
反感	mislike	Jeg misliker virkelig denne typen reklame
反抗	gjøre motstand	Folk begynte å gjøre motstand mot det urettferdige styret
反馈	tilbakemelding	Kunder ga tilbakemelding om at systemet er svært stabilt
反面	baksiden	Snu papiret til baksiden
反射	reflektere	Et speil reflekterer lys
反思	reflektere	Etter nederlaget reflekterte han alvorlig over årsakene
反问	spørre tilbake	Han svarte ikke, men spurte meg tilbake
反之	omvendt	For høye priser reduserer etterspørselen, og omvendt
泛滥	flomme over	Det kraftige regnet fikk elven til å flomme over
范畴	en kategori	Dette spørsmålet faller innenfor den juridiske kategorien
贩卖	selge	Loven forbyr salg av falsk medisin
方位	en retning	Kartet markerer den nøyaktige retningen
方言	en dialekt	Han kan forstå den lokale dialekten
方圆	i en omkrets	Det finnes ikke noe sykehus innenfor en omkrets på ti kilometer
方针	en retningslinje	Selskapet fastsatte en ny utviklingsretningslinje
防守	forsvar	Dette lagets forsvar er svært stabilt
防御	forsvar	Bymuren ble en gang brukt til forsvar mot fiender
防止	forhindre	Fest sikkerhetsbeltet for å forhindre skade
防治	forebygging og behandling	Legen forklarte metoder for sykdomsforebygging og behandling
纺织	tekstil	Denne byen er kjent for tekstilindustrien
访问	besøke	Reporteren skal besøke denne forfatteren i morgen
放大	forstørre	Forstørr bildet litt
放射	utstråle	Dette materialet utstråler varme
非法	ulovlig	Ulovlige transaksjoner vil bli straffet
飞禽走兽	fugler og dyr	Alle slags fugler og dyr lever i skogen
飞翔	sveve	Måker svever over havet
飞跃	et sprang	Teknologisk utvikling oppnådde et stort sprang
肥沃	fruktbar	Denne jorden er svært fruktbar
诽谤	ærekrenkelse	Å ærekrenke andre medfører juridisk ansvar
废除	avskaffe	Denne gamle regelen er allerede avskaffet
废寝忘食	glemme søvn og mat	Han var så oppslukt av forskning at han glemte søvn og mat
废墟	ruiner	Etter jordskjelvet ble stedet til ruiner
沸腾	koke	Vannet har allerede kokt
肺	en lunge	Røyking kan skade lungene
分辨	skille	Det er vanskelig for meg å skille disse to fargene
分寸	passende grenser	Selv når man spøker, bør man kjenne de passende grensene
分红	utbytte	Aksjonærene kan få utbytte ved årets slutt
分解	bryte ned	Læreren brøt det kompliserte problemet ned i flere trinn
分裂	splittes	Interne konflikter førte til at organisasjonen ble splittet
分泌	utskille	Denne typen kjertel utskiller hormoner
分明	tydelig	Fakta er allerede svært tydelige
分歧	uenighet	De to sidene har uenighet om prisen
分散	spre	Spre risikoen over ulike prosjekter
吩咐	be	Sjefen ba meg ordne dokumentene
坟墓	en grav	Det ligger en gammel grav i åssiden
粉末	pulver	Knus tablettene til pulver
粉色	rosa	Hun kjøpte et rosa skjerf
粉碎	knuse	Politiet knuste denne kriminelle gjengen
分量	tyngde	Denne setningen har stor tyngde
愤怒	sinne	Tonen hans var full av sinne
丰满	innholdsrik	Innholdet i denne artikkelen er fortsatt ikke innholdsrikt nok
丰盛	rikelig	De forberedte en rikelig middag
丰收	god avling	Bøndene fikk en god avling i år
封闭	stenge	Denne veien blir stengt under byggingen
封建	føydal	Denne føydale tankemåten burde ha endret seg for lenge siden
封锁	sperre av	Politiet sperret av ulykkesstedet
锋利	skarp	Denne kniven er svært skarp
风暴	en storm	En storm oppstod plutselig på havet
风度	eleganse	Han viste stor eleganse på scenen
风光	natur	Denne stedets natur er vakker
风气	atmosfære	Skolen har utviklet en god læringsatmosfære
风趣	humor	Han snakker med mye humor
风土人情	lokale skikker	Reiser hjelper deg å forstå lokale skikker
风味	lokalt preg	Denne butikken har et sterkt lokalt preg
逢	når	Hver helg er parken livlig
奉献	vie	Legen viet mye tid til pasientene
否决	avvise	Styret avviste dette forslaget
夫妇	et ektepar	Dette ekteparet driver en liten butikk
夫人	frue	Herr Wang og fruen hans deltok på banketten sammen
敷衍	overflatisk	Han ga bare noen få overflatiske svar
俘虏	en fange	Etter at krigen tok slutt, ble fangene løslatt
幅度	omfang	Prisreduksjonen denne gangen er stor i omfang
服从	adlyde	Soldater må adlyde ordre
服气	være overbevist	Han tapte kampen, men var ikke overbevist
福利	velferd	Ansatte legger stor vekt på selskapets velferdsgoder
福气	flaks	Det er hans flaks å møte en god lærer
符号	et symbol	Dette symbolet betyr fare
辐射	stråling	Legen minnet ham om å holde seg unna sterk stråling
俯视	se ned på	Fra fjelltoppen kan du se ned på hele byen
抚摸	stryke	Hun strøk forsiktig barnet over hodet
抚养	oppdra	Besteforeldrene hjalp til med å oppdra barnet
腐败	korrupsjon	Regjeringen bekjemper korrupsjon
腐烂	råtne	Frukt råtner hvis den ligger for lenge
腐蚀	etse	Syre kan etse en metalloverflate
腐朽	forfallen	De kritiserte det forfalne systemet
辅助	hjelpe	Dette verktøyet kan hjelpe undervisningen
副	vise	Hun ble utnevnt til viseleder
复活	gjenopplive	Denne tradisjonelle festivalen blir gjenopplivet
复兴	gjenreisning	Kulturell gjenreisning krever langsiktig innsats
富裕	velstående	Denne landsbyen blir stadig mer velstående
腹泻	diaré	Han har kraftig diaré og må oppsøke lege
覆盖	dekke	Kraftig snø dekket hele dalen
负担	en byrde	Husleien ble hans største byrde
赋予	gi	Loven gir innbyggerne grunnleggende rettigheter
附和	jatte med	Han har ingen egen mening og jatter bare med andre
附件	et vedlegg	Vennligst sjekk vedlegget i e-posten
附属	tilknyttet	Dette sykehuset er tilknyttet universitetet
改良	forbedre	Eksperter forbedrer denne ristypen
盖章	stemple	Etter at kontrakten er signert, må den stemples
钙	kalsium	Melk inneholder mye kalsium
尴尬	pinlig	Det oppstod en pinlig stillhet på møtet
干旱	tørke	Den lange tørken påvirket avlingene
干扰	forstyrre	Støy forstyrrer arbeidet mitt
干涉	blande seg inn	Foreldre bør ikke blande seg for mye inn i barnas valg
干预	gripe inn	Regjeringen grep inn i markedsrisikoen i tide
感慨	bli rørt	Da han så de gamle bildene, ble han svært rørt
感染	smitte	Dette viruset smitter lett barn
干劲	arbeidslyst	Alle jobber med stor arbeidslyst
扛	løfte	Ifølge sagnet var han sterk nok til å løfte en tung gryte
纲领	et program	Møtet vedtok et nytt handlingsprogram
岗位	en stilling	Hun tilpasset seg raskt den nye stillingen
港口	en havn	Lasteskipet la til i havnen
港湾	en bukt	Den lille båten seilte inn i den rolige bukten
杠杆	en vektstang	Denne investeringen brukte høy gjeldsgrad
高超	fremragende	Bilreparasjonsferdighetene hans er fremragende
高潮	et høydepunkt	Kampen nådde høydepunktet de siste ti minuttene
高峰	en topp	Klokken åtte om morgenen er trafikken på topp
高明	glimrende	Denne metoden er virkelig glimrende
高尚	edel	Legens yrkesånd er edel
高涨	stige	Publikums entusiasme fortsatte å stige
稿件	et manus	Redaktøren reviderer manuskriptet
告辞	ta farvel	Det er allerede sent, så vi tar farvel først
告诫	advare	Læreren advarte elevene mot å jukse
割	skjære	Han skar seg ved et uhell i fingeren
搁	legge	Vennligst legg dokumentene på bordet
歌颂	lovprise	Dette diktet lovpriser arbeidere
疙瘩	en kul	Det dukket opp en kul på armen hans
鸽子	en due	Det er mange duer på plassen
格局	en planløsning	Planløsningen i denne leiligheten er svært fornuftig
格式	et format	Vennligst fyll ut skjemaet i riktig format
隔阂	avstand	Misforståelsen økte avstanden mellom dem
隔离	isolere	Pasienten må isoleres midlertidig
革命	en revolusjon	Denne revolusjonen endret landets skjebne
个体	et individ	Hvert individ har ulike behov
各抒己见	uttrykke egne meninger	På møtet uttrykte alle sine egne meninger
根深蒂固	dypt rotfestet	Denne tanken er allerede dypt rotfestet
根源	en rotårsak	Rotårsakene til fattigdom er sammensatte
跟前	foran	Barnet løp bort foran moren sin
跟随	følge	Reporteren fulgte teamet inn i fjellområdet
跟踪	spore	Politiet sporer den mistenktes bevegelser
更新	oppdatere	Systemet oppdateres automatisk i kveld
更正	korrigere	Avisen korrigerte feilen dagen etter
耕地	dyrkbar jord	Bøndene pløyer jorden om våren
供不应求	etterspørselen overstiger tilbudet	Denne medisinen er for tiden mangelvare
供给	forsyning	En by trenger stabil forsyning av vann og strøm
公安局	politikontoret	Han dro til politikontoret for å anmelde en sak
公道	rettferdig	Alle håper å få rettferdig behandling
公告	en kunngjøring	Skolen sendte ut en kunngjøring om stengte timer
公关	omdømmearbeid	Selskapet ansatte et profesjonelt team for omdømmearbeid
公民	en borger	Hver borger bør følge loven
公然	åpent	Han brøt konkurransereglene åpent
公认	anerkjent	Hun er anerkjent som en fremragende lærer
公式	en formel	Vennligst skriv ned denne matematiske formelen
公务	tjenesteoppdrag	Han dro på et tre dagers tjenesteoppdrag
公正	rettferdig	En dommer må forbli rettferdig
公证	notarialbekreftelse	Dette dokumentet trenger notarialbekreftelse
功劳	fortjeneste	Alle har fortjeneste i denne suksessen
功效	virkning	Virkningen av denne medisinen må fortsatt bekreftes
宫殿	et palass	Turister besøkte det gamle palasset
工艺品	et håndverk	Denne håndverksgjenstanden ble laget for hånd
恭敬	respektfullt	Han hilste respektfullt på den eldre personen
攻击	angripe	Hackere angrep selskapets nettsted
攻克	løse	Forskergruppen løste det tekniske problemet
巩固	styrke	Repetisjon kan styrke det man har lært
共和国	en republikk	Denne republikken ble grunnlagt i forrige århundre
共计	til sammen	Dette varepartiet utgjør til sammen tre hundre esker
共鸣	gjenklang	Denne sangen fant gjenklang hos mange
勾结	samarbeide ulovlig	De samarbeidet ulovlig med utenforstående for å skaffe penger
钩子	en krok	Det henger flere kroker på veggen
构思	utforme	Forfatteren utformer en ny roman
姑且	foreløpig	La oss foreløpig prøve denne planen i en uke
孤独	ensom	Etter at han flyttet til en ny by, følte han seg ensom
孤立	isolert	Ikke se på dette problemet isolert
辜负	skuffe	Jeg vil ikke skuffe foreldrenes forventninger
古董	en antikvitet	Bestefar samlet på flere antikviteter
古怪	merkelig	Ideen hans er litt merkelig
股东	en aksjonær	Aksjonærmøtet holdes neste uke
股份	aksjer	Han eier aksjer i selskapet
骨干	ryggrad	Disse ingeniørene er ryggraden i teamet
鼓动	oppildne	Noen oppildnet folkemengden til å protestere
固然	riktignok	Denne metoden er riktignok enkel, men risikoen er ikke liten
固体	et fast stoff	Is er vann i fast form
固有	iboende	Hver kultur har sine iboende trekk
固执	sta	Han er for sta og nekter å høre på råd
故乡	hjemby	Mange år senere vendte han tilbake til hjembyen
故障	en feil	Heisen fikk en feil og er midlertidig ute av drift
雇佣	ansette	Selskapet bestemte seg for å ansette flere teknikere
顾虑	en bekymring	Du kan si direkte hvilke bekymringer du har
顾问	en rådgiver	Vi ansatte en juridisk rådgiver
拐杖	en stokk	Den eldre mannen tar ofte med stokk når han går ut
关怀	omsorg	Læreren viste elevene mye omsorg
关照	se etter	Vennligst se etter barnet på veien
官方	offisiell	Den offisielle nyheten blir kunngjort i morgen
观光	sightseeing	Turistene tok båt for sightseeing
管辖	ha jurisdiksjon	Dette området er under byregjeringens jurisdiksjon
惯例	en vane	Det er vanlig å presentere gjester før møtet starter
灌溉	vanne	Bøndene bruker elvevann til å vanne åkrene
罐	en krukke	Det står en krukke med teblader på bordet
贯彻	gjennomføre	Selskapet må gjennomføre de nye sikkerhetsstandardene
光彩	strålende	Dette antrekket fikk henne til å se strålende ut
光辉	ære	Prestasjonene hans etterlot en ærefull side
光芒	lysstråler	Solens lysstråler lyste opp dalen
光荣	ærefullt	Å tjene landet er ærefullt
广阔	vid	Gressletten strekker seg endeløst og er svært vid
归根到底	når alt kommer til alt	Når alt kommer til alt ligger problemet i ledelsen
归还	levere tilbake	Vennligst lever bøkene tilbake i tide
规范	en standard	Skolen satte standarder for å styre laboratoriet
规格	spesifikasjoner	Spesifikasjonene for denne delen av varene stemmer ikke
规划	en plan	Byplanlegging må ta hensyn til transport
规章	regler	Ansatte må følge selskapets regler
轨道	et spor	Toget beveger seg langs sporene
贵族	adelen	Denne eiendommen tilhørte en gang adelen
跪	knele	Han knelte foran statuen
棍棒	en kølle	Politiet beslagla køllene på stedet
国防	forsvar	Forsvarsbygging krever langsiktig investering
国务院	statsrådet	Statsrådet sendte ut et nytt varsel
果断	besluttsom	Lederen tok en besluttsom avgjørelse
过度	overdreven	Overdreven mobilbruk kan påvirke søvnen
过渡	overgang	Selskapet er i en overgangsfase med omstilling
过奖	overdrive ros	Du overdriver rosen, jeg må fortsatt lære
过滤	filtrere	Denne enheten kan filtrere urenheter
过失	en feil	Denne ulykken skyldtes menneskelig feil
过问	blande seg inn	Lederen blander seg sjelden inn i slike småsaker
过瘾	tilfredsstillende	Det var virkelig tilfredsstillende å se denne kampen
过于	for	Denne planen er for komplisert
嗨	hei	Hei, hvorfor kom du også
海拔	høyde over havet	Denne landsbyen ligger høyt over havet
海滨	en kyst	De tilbrakte helgen ved kysten
含糊	vag	Svaret hans var svært vagt
含义	betydning	Dette ordet har en spesiell betydning
寒暄	småprat	Etter at de møttes, utvekslet de først litt småprat
罕见	sjelden	Denne sykdommen er svært sjelden
捍卫	forsvare	Advokaten arbeidet for å forsvare klientens rettigheter
航空	luftfart	Flyselskapet kansellerte flyvningen
航天	romfart	Kinas romfartsprogram utvikler seg raskt
航行	seile	Skipet seiler på havet
行列	rekker	Hun sluttet seg til de frivilliges rekker
毫米	en millimeter	Dette glasset er fem millimeter tykt
毫无	helt uten	Forklaringen hans er helt uten grunnlag
豪迈	frimodig	Sangen hans var frimodig og kraftfull
号召	oppfordre	Regjeringen oppfordret alle til å spare vann
耗费	forbruke	Dette prosjektet forbrukte store mengder midler
呵	rope	Faren ropte én gang, og barnet stoppet straks
合并	slå sammen	De to selskapene planlegger å slå seg sammen neste år
合成	fremstille	Dette materialet kan fremstilles kunstig
合伙	samarbeide	De åpnet en restaurant sammen
合算	lønnsomt	Å ta buss er mer lønnsomt enn å ta taxi
和蔼	vennlig	Denne legen snakker veldig vennlig
和解	forlik	De to sidene nådde til slutt et forlik
和睦	harmonisk	Naboene kommer harmonisk overens
和气	blid	Sjefen behandler folk på en blid måte
和谐	harmonisk	Musikken gjorde stemningen mer harmonisk
嘿	hei	Hei, hørte du det
痕迹	et spor	Det ble liggende hjulspor på bakken
狠心	hjerteløs	Han avslo vennens forespørsel hjerteløst
恨不得	ønske intenst	Jeg ønsker intenst å dra hjem og hvile med en gang
哼	fnyse	Han kom med et misfornøyd fnys
横	vannrett	Vennligst tegn en vannrett linje på papiret
哄	brøle av latter	Alle brøt ut i latter
烘	steke	Brødet stekes i ovnen
轰动	en sensasjon	Denne nyheten skapte sensasjon i hele landet
宏观	makro	Vi må analysere økonomien fra et makroperspektiv
宏伟	storslått	Utformingen av denne broen er svært storslått
洪水	en flom	Flommen ødela flere broer
喉咙	halsen	Han snakket for mye, og halsen hans gjør litt vondt
吼	brøle	Han brølte høyt mot det fjerne
候选	kandidat	Hun er kandidat som representant i år
后代	etterkommere	Vi må beskytte miljøet for fremtidige etterkommere
后顾之忧	bekymringer for fremtiden	En stabil inntekt ga ham ingen bekymringer for fremtiden
后勤	logistikk	Logistikkavdelingen har ansvar for å levere materiell
呼唤	rope	Moren ropte på barnet ved døren
呼啸	ule	Den kalde vinden ulte utenfor vinduet
呼吁	oppfordre	Eksperter oppfordret alle til å redusere avfall
忽略	overse	Vennligst ikke overse denne detaljen
湖泊	en innsjø	Dette området har mange naturlige innsjøer
胡乱	tilfeldig	Ikke legg ting tilfeldig på bakken
胡须	skjegg	Skjegget hans har allerede blitt hvitt
花瓣	et kronblad	Etter regnet falt kronblader over hele bakken
花蕾	en blomsterknopp	Om våren vokser blomsterknopper på grenene
华丽	praktfull	Kostymene på scenen var svært praktfulle
华侨	utenlandskinesere	Mange utenlandskinesere vendte hjem for å investere
划分	dele inn	Læreren delte elevene inn i fire grupper
化肥	kunstgjødsel	Bøndene spredte kunstgjødsel på avlingene
化石	et forsteinet funn	Museet viste fram forsteinete dinosaurfunn
化验	en prøve	Legen ba ham ta en blodprøve
化妆	sminke seg	Hun sminket seg før hun gikk på scenen
画蛇添足	overdrive	Mer forklaring ville bare være å overdrive
话筒	en mikrofon	Programlederen ga mikrofonen til publikum
欢乐	glede	Festivalplassen var full av glede
环节	et ledd	Hvert ledd i opplæringen er viktig
还原	gjenopprette	Vennligst gjenopprett innstillingene til standardtilstand
缓和	lette	Forholdet mellom de to sidene lettet gradvis
患者	en pasient	Legen spør om pasientens tilstand
荒凉	øde	Dette landet ser svært øde ut
荒谬	absurd	Denne forklaringen høres absurd ut
荒唐	latterlig	Avgjørelsen hans var altfor latterlig
皇帝	en keiser	Keiseren bodde i et storslått palass
皇后	en keiserinne	Keiserinnen deltok på feiringen
黄昏	skumring	Ved skumring ble gatelysene tent
恍然大悟	plutselig forstå	Etter å ha hørt forklaringen forsto han plutselig
晃	svaie	I et uklart øyeblikk forsvant han av syne
挥霍	sløse bort	Han bør ikke sløse bort foreldrenes penger
辉煌	strålende	Denne byen har en strålende historie
回报	en belønning	Hardt arbeid vil til slutt gi belønning
回避	unngå	Han fortsatte å unngå dette spørsmålet
回顾	se tilbake	På slutten så møtet tilbake på årets arbeid
回收	resirkulere	Boligområdet begynte å resirkulere gamle batterier
悔恨	anger	Han følte anger for tidligere feil
毁灭	ødelegge	Krigen ødela nesten denne byen
会晤	møtes	Lederne for de to landene skal møtes i morgen
汇报	rapportere	Han rapporterte framdriften til lederen
贿赂	bestikke	Tjenestemannen ble etterforsket for bestikkelser
昏迷	koma	Pasienten ligger fortsatt i koma
荤	kjøttholdig	Denne retten er kjøttholdig og passer ikke for vegetarianere
浑身	over hele kroppen	Etter løpingen var han svett over hele kroppen
混合	blande	Vennligst bland de to materialene jevnt
混乱	kaos	Stedet var en periode svært kaotisk
混淆	forveksle	Ikke forveksle disse to begrepene
混浊	grumsete	Etter regnet ble elvevannet grumsete
活该	fortjent	Han ignorerte rådene, så det var fortjent at han mislyktes
活力	vitalitet	Denne byen er full av vitalitet
火箭	en rakett	Raketten gikk vellykket inn i den planlagte banen
火焰	flammer	Vinden fikk flammene til å stige høyere
火药	krutt	Krutt endret gammel krigføring
货币	valuta	Pengepolitikk påvirker økonomisk utvikling
基地	en base	Dette var en gang en viktig treningsbase
基金	et fond	Skolen opprettet et stipendfond
基因	et gen	Forskere studerer dette genet
机动	bevegelig	Dette laget beholder høy bevegelighet
机构	en institusjon	Denne institusjonen er ansvarlig for kvalitetskontroll
机灵	kvikk	Dette barnet er svært kvikt
机密	konfidensiell	Disse materialene er konfidensielle
机械	maskiner	Fabrikken innførte nye maskiner
机遇	en mulighet	Unge mennesker bør gripe muligheter
机智	snarrådig	Svaret hans var svært snarrådig
激发	stimulere	Læreren stimulerte elevenes interesse
激励	oppmuntre	Denne suksessen oppmuntret hele teamet
激情	lidenskap	Han var full av lidenskap da han snakket
讥笑	håne	Ikke hån andres feil
饥饿	sult	Langvarig sult kan påvirke helsen
即便	selv om	Selv om det regner, drar vi av sted i tide
即将	snart	Møtet begynner snart
及早	så tidlig som mulig	Problemer bør håndteres så tidlig som mulig
吉祥	heldig	Rødt symboliserer ofte lykke i Kina
嫉妒	misunne	Han bør ikke misunne kollegaens suksess
急功近利	kortsiktig jakt på raske gevinster	Forskning bør ikke drives med kortsiktig jakt på raske gevinster
急剧	brått	Salget falt brått
急切	ivrig	Hun ventet ivrig på nyheter
急于求成	jage raske resultater	Man kan ikke jage raske resultater når man lærer et språk
急躁	utålmodig	Ikke bli utålmodig når du møter vanskeligheter
极端	ekstremt	Slikt ekstremt vær blir vanligere
极限	en grense	Denne treningen utfordret grensene hans
疾病	en sykdom	Gode vaner kan forebygge sykdom
籍贯	opprinnelsessted	Skjemaet krever at man fyller inn opprinnelsessted
级别	et nivå	Denne konkurransen er delt inn i tre nivåer
集团	et konsern	Dette konsernet har filialer i utlandet
给予	gi	Skolen gir hjelp til elever i fattigdom
季军	tredjeplass	Han tok tredjeplass i konkurransen
季度	et kvartal	Selskapet legger fram økonomirapporter hvert kvartal
寂静	stille	Dalen er spesielt stille om natten
寄托	knytte håp til	Hun knyttet håpet sitt til barnet
忌讳	et tabu	Lokalbefolkningen ser det som tabu å diskutere dette ved middagsbordet
技巧	en teknikk	Å beherske teknikker kan øke effektiviteten
纪要	møtereferat	Sekretæren ordnet møtereferatet
继承	arve	Han arvet farens karriere
计较	haggle	Ikke heng deg opp i en så liten sak
记性	hukommelse	Han har svært god hukommelse
记载	nedtegne	Historiebøkene nedtegnet denne krigen
迹象	tegn	For øyeblikket er det ingen tegn til bedring
佳肴	delikatesser	Bordet var fullt av deilige delikatesser
加工	bearbeide	Disse råvarene må bearbeides videre
加剧	forsterke	Konflikten forsterkes
夹杂	blandet	Lyden av regn var blandet med torden
家常	hverdagslig	Jeg liker å spise hverdagslige retter
家伙	en fyr	Den fyren kommer alltid for sent
家属	familiemedlem	Legen varslet pasientens familiemedlemmer
家喻户晓	kjent i alle hjem	Denne historien er kjent i alle hjem
坚定	fast	Holdningen hennes er svært fast
坚固	solid	Denne broen er svært solid
坚韧	utholdende	Han har en utholdende karakter
坚实	solid	Denne forskningen har et solid grunnlag
坚硬	hard	Denne steinen er svært hard
尖端	avansert	Selskapet investerer i avansert teknologi
尖锐	skarp	Dette spørsmålet er svært skarpt
煎	steke	Kokken steker fisk
监督	føre tilsyn	Offentlig tilsyn bidrar til å forbedre arbeidet
监视	overvåke	Politiet overvåker den mistenkte
监狱	et fengsel	Han soner en dom i fengsel
艰难	vanskelig	Den tidlige fasen med å starte en bedrift er svært vanskelig
剪彩	klippe snoren	Ordføreren klippet snoren for det nye biblioteket
拣	plukke ut	Hun plukket ut noen epler fra kurven
检讨	gå gjennom	Han gikk alvorlig gjennom sine egne feil
检验	teste	Eksperimenter kan teste denne hypotesen
简化	forenkle	Vennligst forenkle prosessen ytterligere
简陋	enkel og primitiv	De bodde i en enkel og primitiv hytte
简体字	forenklede kinesiske tegn	Denne læreboken bruker forenklede kinesiske tegn
简要	kortfattet	Vennligst forklar synspunktet ditt kortfattet
健全	forbedre	Selskapet må forbedre styringssystemet sitt
剑	et sverd	Et gammelt sverd henger på veggen
溅	sprute	Regnvann sprutet på buksene hans
舰艇	et marinefartøy	Flere marinefartøy deltok i øvelsen
见多识广	erfaren og kunnskapsrik	Denne gamle mannen er erfaren og kunnskapsrik
见解	innsikt	Han har unik innsikt i dette spørsmålet
见闻	kunnskap og erfaring	Reising utvidet kunnskapen og erfaringen hans
见义勇为	handle modig for det rette	Han fikk ros for å handle modig for det rette
践踏	tråkke på	Ikke tråkk på plenen
鉴别	skille	Eksperter kan skille om dette maleriet er ekte
鉴定	undersøke	Politiet undersøker fingeravtrykkene
鉴于	med tanke på	Med tanke på det dårlige været ble arrangementet utsatt
间谍	en spion	Denne filmen forteller en spionhistorie
间隔	et mellomrom	Det er en uke mellom de to møtene
间接	indirekte	Denne politikken vil ha en indirekte virkning
僵硬	stiv	Smilet hans så stivt ut
将军	en general	Generalen ga en ordre
将近	nesten	Dette prosjektet varte i nesten to år
将就	klare seg	Forholdene er dårlige, så vi får bare klare oss
奖励	belønne	Skolen belønnet fremragende elever
奖赏	en belønning	Kongen ga krigeren en raus belønning
桨	en åre	Båtmannen brukte en åre til å ro båten mot land
降临	senke seg	Natten senket seg gradvis over byen
交叉	krysse	De to veiene krysser hverandre her
交代	forklare	Vennligst forklar oppgaven tydelig
交涉	forhandle	De to sidene forhandler om erstatning
交易	en handel	Denne handelen er allerede fullført
娇气	pysete	Ikke vær for pysete, været er ikke kaldt
焦点	et fokus	Sysselsetting ble fokus for diskusjonen
焦急	urolig	Moren ventet urolig på at barnet skulle komme tilbake
侥幸	flaks	Han unnslapp katastrofen ved flaks
搅拌	røre	Vennligst rør røren jevnt
缴纳	betale	Beboerne må betale vannregningen i tide
角落	et hjørne	Katten gjemte seg i hjørnet av rommet
教养	oppdragelse	God oppdragelse vises i detaljene
较量	konkurrere	De to sterke lagene skal snart konkurrere
接连	på rad	Han mottok tre e-poster på rad
揭露	avsløre	Reporteren avslørte et matsikkerhetsproblem
皆	alle	Disse reglene er kjent av alle
阶层	samfunnslag	Ulike samfunnslag har ulike behov
截止	stenge	Registreringen stenger i morgen ettermiddag
截至	per	Per i dag har to hundre personer registrert seg
杰出	fremragende	Hun er en fremragende forsker
竭尽全力	gjøre sitt ytterste	Vi skal gjøre vårt ytterste for å fullføre oppgaven
结晶	resultat	Denne prestasjonen er resultatet av mange års innsats
结局	en slutt	Slutten på historien var uventet
结算	gjøre opp	Kunden ba om at gebyrene skulle gjøres opp ved månedsslutt
节制	måtehold	Man bør vise måtehold med mat og drikke
节奏	rytme	Rytmen i denne sangen er rask
解除	oppheve	Selskapet opphevet sikkerhetsvarselet
解放	frigjøre	Reformen frigjorde produktivkreftene
解雇	si opp	Sjefen bestemte seg for å si opp den ansatte
解剖	anatomi	Medisinstudentene studerer anatomi
解散	oppløse	Etter at møtet var slutt, ble gruppen oppløst
解体	gå i oppløsning	Den alliansen gikk til slutt i oppløsning
借鉴	lære av	Vi kan lære av utenlandske erfaringer
借助	ved hjelp av	Han fant ruten ved hjelp av et kart
戒备	være på vakt	Grenseområdet er fortsatt på høy vakt
界限	en grense	Arbeid og liv trenger klare grenser
津津有味	med stor interesse	Barna lyttet til historien med stor interesse
金融	finans	Finansmarkedet svingte kraftig i dag
紧迫	presserende	Tiden er presserende, og vi må handle straks
锦上添花	prikken over i-en	Denne gaven var virkelig prikken over i-en
晋升	forfremme	Han ble forfremmet til avdelingsleder i fjor
浸泡	bløtlegge	Bønnene må bløtlegges over natten
近来	i det siste	Været har endret seg mye i det siste
进而	deretter	Forstå først behovene og utform deretter en plan
进攻	angripe	Laget styrket angrepet sitt i andre omgang
进化	utvikle seg	Organismer utvikler seg sammen med miljøet
进展	gå framover	Prosjektet går for tiden jevnt framover
兢兢业业	samvittighetsfull	Han arbeidet samvittighetsfullt i tretti år
惊动	alarmere	Den høye lyden alarmerte beboere i nærheten
惊奇	forundret	Barna så forundret på trylleshowet
惊讶	overraske	Svaret hans overrasket meg
精打细算	nøye planlegging	Hun styrer alltid husholdningsutgiftene med nøye planlegging
精华	essens	Denne artikkelen oppsummerer teoriens essens
精简	strømlinjeforme	Selskapet bestemte seg for å strømlinjeforme ledelsen
精密	presis	Dette instrumentet er svært presist
精确	nøyaktig	Dataene må være nøyaktige til to desimaler
精通	beherske	Han behersker tre fremmedspråk
精心	omhyggelig	Mor forberedte middagen omhyggelig
精益求精	strebe etter perfeksjon	Fremragende håndverkere streber alltid etter perfeksjon
精致	utsøkt	Denne gaven er pakket svært utsøkt
经费	forskningsmidler	Forskningsmidlene er allerede godkjent
经纬	lengde- og breddegrad	Kartet markerer lengde- og breddegradslinjer
茎	en stilk	En plantes stilk støtter bladene
井	en brønn	Det finnes en gammel brønn ved inngangen til landsbyen
警告	advare	Læreren advarte elevene mot å jukse
警惕	være på vakt	Vi bør være på vakt mot nettsvindel
颈椎	nakkevirvel	Å se ned lenge kan skade nakkevirvlene
境界	et nivå	Maleriet hans nådde et nytt nivå
敬礼	saluttere	Soldaten salutterte for nasjonalflagget
敬业	dedikert	Hun arbeider seriøst og er svært dedikert
竞赛	en konkurranse	Skolen holdt en matematikkonkurranse
竞选	stille til valg	Han forbereder seg på å stille til valg som ordfører
镜头	en linse	Fotografen justerte linsen
纠纷	en tvist	De to sidene løste tvisten gjennom mekling
纠正	korrigere	Læreren korrigerte uttalefeilen i tide
酒精	alkohol	Legen desinfiserte såret med alkohol
就近	i nærheten	Elever kan melde seg inn på en skole i nærheten
