simplified	KK	example_KK
浇	суару	Гүлдерді күн сайын суарыңыз.
胶水	желім	Мен суретті желіммен жапсырдым.
狡猾	қу	Ана түлкі өте қу.
角度	қыр	Мәселеге басқа қырынан қарайық.
教材	оқулық	Бұл оқулық өте пайдалы.
教练	жаттықтырушы	Жаттықтырушы бізден уақытында келуді талап етті.
教训	сабақ	Бұл сәтсіздік бір сабақ болды.
接触	танысу	Мен Қытай мәдениетімен алғаш рет таныстым.
接待	қарсы алу	Компания қонақтарды қарсы алуға арнайы адам бөлді.
接近	жақындау	Көктем мерекесі жақындап келеді.
结实	берік	Бұл чемодан өте берік.
阶段	кезең	Оқу үш кезеңге бөлінеді.
结构	құрылым	Бұл мақаланың құрылымы анық.
结合	ұштастыру	Оқуды тәжірибемен ұштастыру керек.
结论	қорытынды	Оның қорытындысы өте нанымды.
结账	есеп айырысу	Тамақтанып болған соң біз есеп айырысуға бардық.
节省	үнемдеу	Метроға отыру уақытты үнемдейді.
借口	сылтау	Енді сылтау іздеме.
届	рет	Бұл үшінші рет өтіп отырған жарыс.
戒	тастау	Дәрігер оған темекіні тастауға кеңес берді.
戒指	сақина	Ол бір сақина тағып алған.
金属	металл	Темір - металдың бір түрі.
尽快	мүмкіндігінше тез	Хатқа мүмкіндігінше тез жауап беріңіз.
紧急	шұғыл	Бұл шұғыл жағдай.
谨慎	сақ	Инвестиция жасамас бұрын сақ болу керек.
尽力	бар күшін салу	Мен саған көмектесу үшін бар күшімді саламын.
尽量	мүмкіндігінше	Мүмкіндігінше ертерек келіңіз.
近代	жаңа дәуір	Жаңа дәуірдегі Қытайда көп өзгеріс болды.
进步	ілгерілеу	Оның қытай тілі тез ілгерілеп жатыр.
进口	импорттық	Бұл көлік импорттық.
精力	қуат	Балалардың қуаты өте мол.
精神	көңіл-күй	Бүгін оның көңіл-күйі жақсы.
经典	классика	Бұл классикалық фильм.
经商	саудамен айналысу	Оның әкесі шетелде саудамен айналысады.
经营	жүргізу	Ол шағын дүкен жүргізеді.
酒吧	бар	Кешке олар барға барды.
救	құтқару	Дәрігер оның өмірін құтқарды.
救护车	жедел жәрдем көлігі	Жедел жәрдем көлігі тез келді.
舅舅	нағашы аға	Менің нағашы ағам Нанкинде тұрады.
居然	тіпті	Ол тіпті өз туған күнін ұмытып кетті.
桔子	мандарин	Үстелде бірнеше мандарин бар.
俱乐部	клуб	Ол жүзу клубына кірді.
具备	ие болу	Оның басқару тәжірибесі бар.
具体	нақты	Нақтырақ айтыңызшы.
巨大	орасан	Бұл жобаға орасан қаржы керек.
据说	айтуынша	Айтуынша, ол еліне қайтыпты.
捐	қайырымдылық жасау	Барлығы ақша беріп қайырымдылық жасауға дайын.
决赛	финал	Ертең футбол финалы.
决心	шешім	Ол қытай тілін жақсы үйренуге нық шешім қабылдады.
绝对	міндетті түрде	Бұл істі міндетті түрде ұмытпау керек.
角色	рөл	Ол фильмде маңызды рөл ойнайды.
军事	әскери іс	Ол әскери тарихқа қатты қызығады.
均匀	біркелкі	Түсті біркелкі жағыңыз.
卡车	жүк көлігі	Кіреберісте бір жүк көлігі тұр.
开发	әзірлеу	Компания жаңа өнім әзірлеп жатыр.
开放	ашылу	Саябақ күн сайын таңғы алтыда ашылады.
开幕式	ашылу салтанаты	Ашылу салтанаты ертең кешке өтеді.
开水	қайнаған су	Маған бір кесе қайнаған су беріңіз.
砍	кесу	Жұмысшы ағаш бұтақтарын кесіп жатыр.
看不起	менсінбеу	Ешкімді менсінбеңіз.
看望	көруге бару	Демалыста ата-әжемді көруге барамын.
靠	сүйену	Ол демалу үшін қабырғаға сүйенді.
颗	дана	Түнгі аспанда бір жұлдыз бар.
可见	анық	Бұл әдістің тиімді екені анық.
可靠	сенімді	Ол сенімді дос.
可怕	қорқынышты	Бұл түс тым қорқынышты болды.
克	грамм	Екі грамм тұз қосыңыз.
克服	жеңу	Біз қиындықтарды жеңуіміз керек.
刻苦	еңбекқор	Ол өте еңбекқор оқиды.
客观	объективті	Мәселені объективті түрде талдаңыз.
课程	курс	Бұл курс өте пайдалы.
空间	кеңістік	Бұл бөлмеде кеңістік көп.
控制	бақылау	Жүргізуші көліктің жылдамдығын бақылауда ұстады.
空闲	бос уақыт	Ертең түстен кейін бос уақытың бар ма?
口味	талғам	Оның талғамы жеңілдеу.
夸	мақтау	Мұғалім оның үлкен ілгерілеуін мақтады.
夸张	асыра сілтеу	Оның бет-әлпеті сәл асыра сілтенген.
会计	бухгалтер	Ол компанияда бухгалтер болып жұмыс істейді.
宽	кең	Бұл жол өте кең.
昆虫	жәндік	Балалар жәндіктерді бақылап отыр.
扩大	кеңейту	Мектеп кітапхананы кеңейтуді жоспарлап отыр.
辣椒	ащы бұрыш	Тағамға көп ащы бұрыш салынған.
拦	тоқтату	Полиция бір көлікті тоқтатты.
烂	шіру	Бұл алма шіріп кеткен.
朗读	дауыстап оқу	Мәтінді дауыстап оқыңыз.
劳动	еңбек	Еңбек адамға толысу сезімін береді.
劳驾	кешіріңіз	Кешіріңіз, метро станциясы қайда?
姥姥	нағашы әже	Менің нағашы әжем тамақты өте дәмді пісіреді.
老百姓	қарапайым халық	Қарапайым халық өмір құнына алаңдайды.
老板	бастық	Бастық бүгін кеңседе жоқ.
老婆	әйелі	Ол әйеліне гүл сатып алды.
老实	адал	Ол адал адам.
老鼠	тышқан	Асүйде бір тышқан бар.
乐观	үмітшіл	Ол болашаққа үмітпен қарайды.
雷	күн күркіреуі	Кеше түндегі күн күркіреуі қатты болды.
类型	түр	Мұндай фильм қай түрге жатады?
冷淡	салқын	Оның көзқарасы сәл салқын.
厘米	сантиметр	Бұл қаламның ұзындығы он бес сантиметр.
梨	алмұрт	Мен бірнеше алмұрт сатып алдым.
离婚	ажырасу	Олар былтыр ажырасты.
理论	теория	Бұл теория өте күрделі.
理由	себеп	Кешігуіңе қандай себеп бар?
利润	пайда	Биыл компанияның пайдасы артты.
利息	пайыз	Банктің пайызы жоғары емес.
利益	мүдде	Біз бәрінің мүддесін қорғауымыз керек.
利用	пайдалану	Ол демалыс күндерін қытай тілін оқуға пайдаланады.
力量	күш	Бірлік - күш.
立即	дереу	Бұл жерден дереу кетіңіз.
立刻	бірден	Хабарды естіген соң, ол бірден жолға шықты.
联合	бірлесу	Екі компания өнімді бірлесіп әзірледі.
连忙	тез	Телефон даусын естіп, ол тез көтерді.
连续	қатарынан	Ол қатарынан он сағат жұмыс істеді.
恋爱	ғашық болу	Олар бір-біріне ғашық болып жүр.
粮食	астық	Биыл астық өнімі артты.
良好	жақсы	Оның оқу дағдылары жақсы.
亮	жарық	Бөлмедегі шам өте жарық.
了不起	керемет	Ол керемет нәтижеге жетті.
列车	пойыз	Пойыз қазір жолға шығады.
临时	уақытша	Бұл уақытша шешім.
灵活	икемді	Оқу әдісі икемді болуы керек.
铃	қоңырау	Сабақ қоңырауы соғылды.
零件	бөлшек	Машинада бір бөлшек жетіспейді.
零食	тіскебасар	Балалар тіскебасар жегенді ұнатады.
领导	басшы	Басшы жиналыста отыр.
领域	сала	Ол білім беру саласында жұмыс істейді.
流传	таралу	Бұл әңгіме көптен бері таралып келеді.
流泪	жылау	Бұл хабарды естіген соң, ол жылады.
浏览	шолу	Мен алдымен веб-бетті шолып шығамын.
龙	айдаһар	Қытай мәдениетінде айдаһар бар.
漏	ағу	Шатырдан жаңбыр суы ағып тұр.
录取	қабылдану	Ол университетке қабылданды.
录音	дыбыс жазу	Дыбыс жазуды бастаңыз.
陆地	құрлық	Теңіз тасбақасы құрлыққа шықты.
陆续	бірінен соң бірі	Қонақтар бірінен соң бірі келді.
轮流	кезектесу	Біз сыныпты кезектесіп тазалаймыз.
论文	дипломдық жұмыс	Ол дипломдық жұмысын жазып жатыр.
逻辑	логика	Оның логикасы өте анық.
落后	артта қалу	Біз басқалардан артта қалмауымыз керек.
骂	ұрысу	Баланы ұрыспаңыз.
麦克风	микрофон	Микрофонды оған беріңіз.
馒头	буға піскен тоқаш	Таңғы асқа бір буға піскен тоқаш жедім.
满足	қанағаттандыру	Бұл жауап талапты қанағаттандырмайды.
毛病	ақау	Бұл компьютерде кішкене ақау бар.
矛盾	қайшылық	Олардың арасында біраз қайшылық бар.
冒险	тәуекел ету	Ол жаққа жалғыз бару тым тәуекел.
贸易	сауда	Халықаралық сауда тез дамып жатыр.
媒体	бұқаралық ақпарат құралдары	Бұқаралық ақпарат құралдары бұл оқиғаны хабарлады.
煤炭	көмір	Бұл аймақта көмір өндіріледі.
眉毛	қас	Оның қасы қалың.
美术	бейнелеу өнері	Менің сіңлім бейнелеу өнерін ұнатады.
魅力	тартымдылық	Бұл қаланың тартымдылығы көп.
梦想	арман	Оның арманы - дәрігер болу.
密切	тығыз	Біз тығыз байланыста боламыз.
秘密	құпия	Бұл біздің құпиямыз.
秘书	хатшы	Хатшы жиналыс уақытын белгіледі.
蜜蜂	ара	Гүлдердің арасында көп ара бар.
面对	бетпе-бет келу	Біз қиындықтарға батыл бетпе-бет келуіміз керек.
面积	аудан	Бұл бөлменің ауданы үлкен емес.
面临	тап болу	Компания жаңа сын-қатерге тап болды.
描写	суреттеу	Автор ауыл өмірін суреттеді.
苗条	сымбатты	Оның дене бітімі сымбатты.
敏感	сезімтал	Бұл тақырып біршама сезімтал.
名牌	танымал бренд	Ол танымал бренд сағатын сатып алды.
名片	визитка	Маған бір визитка беріңіз.
名胜古迹	көрікті тарихи орындар	Бейжіңде көрікті тарихи орындар көп.
明确	анық	Мұғалім талаптарды анық түсіндірді.
明显	айқын	Оның ілгерілеуі айқын.
明星	жұлдыз	Ол кино жұлдызы болғысы келеді.
命令	бұйрық	Сарбаздар бұйрыққа бағынуы керек.
命运	тағдыр	Ол тағдырды өзгертуге болады деп сенеді.
摸	ұстау	Бұл суретті ұстамаңыз.
摩托车	мотоцикл	Ол жұмысқа мотоциклмен барады.
模仿	еліктеу	Балалар үлкендердің сөйлеуіне еліктегенді ұнатады.
模糊	бұлыңғыр	Бұл сурет сәл бұлыңғыр.
模特	модель	Ол киім моделі.
陌生	бейтаныс	Бұл қала маған өте бейтаныс.
某	бір	Маған бір мұғалім телефон соқты.
木头	ағаш	Бұл үстел ағаштан жасалған.
目标	мақсат	Менің мақсатым - емтиханнан өту.
目录	мазмұн	Алдымен кітаптың басындағы мазмұнды қараңыз.
目前	қазіргі уақытта	Қазіргі уақытта жағдай біршама тұрақты.
哪怕	тіпті	Тіпті қолы бос болмаса да, ол оқуды жалғастырады.
难怪	сондықтан екен	Сондықтан екен, сен бүгін қатты қуанып жүрсің.
难免	болмай қоймайды	Бірінші рет істегенде қате болмай қоймайды.
脑袋	бас	Оның басы сәл ауырып тұр.
内部	ішкі	Бұл компанияның ішкі материалы.
内科	ішкі аурулар бөлімі	Ол бүгін ішкі аурулар бөліміне барады.
嫩	жұмсақ	Бұл ет өте жұмсақ.
能干	қабілетті	Ол өте қабілетті адам.
能源	энергия көзі	Күн энергиясы - таза энергия көзі.
嗯	иә	Иә, түсіндім.
年代	жылдар	Бұл сурет сексенінші жылдары түсірілген.
年纪	жас	Ол жас болса да, тәжірибесі көп.
念	оқу	Мәтінді бір рет дауыстап оқып беріңіз.
宁可	артық көру	Мен автобус күтуден гөрі жаяу жүргенді артық көремін.
牛仔裤	джинсы	Ол джинсы киіп алған.
农村	ауыл	Ол ауылда өсті.
农民	шаруа	Шаруалар егістікте жұмыс істеп жатыр.
农业	ауыл шаруашылығы	Ауыл шаруашылығы бұл аймақ үшін өте маңызды.
浓	қою	Бұл кофе тым қою.
女士	ханым	Ана ханым автобус күтіп тұр.
欧洲	Еуропа	Ол келесі айда Еуропаға саяхаттайды.
偶然	кездейсоқ	Мен ескі сыныптасымды кездейсоқ кездестірдім.
拍	түсіру	Маған бір сурет түсіріп беріңіз.
派	жіберу	Компания оны Шанхайға іссапарға жіберді.
盼望	асыға күту	Сені тезірек көруді асыға күтемін.
培训	оқыту	Жаңа қызметкерлер оқытуға қатысуы керек.
培养	дамыту	Мектеп оқушылардың қабілетін дамытуға мән береді.
赔偿	өтемақы төлеу	Компания шығынға өтемақы төлеуге келісті.
佩服	сүйсіну	Мен оның батылдығына қатты сүйсінемін.
配合	бірлесу	Барлығыңыз мұғалімнің жоспарына бірлесіп әрекет етіңіз.
盆	құмыра	Балконда бір құмыра гүл бар.
碰	тию	Абай бол, ыстық суға тиме.
批	топтама	Бұл тауар топтамасы бүгін келді.
批准	мақұлдау	Менеджер бұл жоспарды мақұлдады.
披	жамылу	Ол сырт киімін иығына жамылып алған.
疲劳	шаршау	Ұзақ жұмыс істегенде шаршау сезіледі.
匹	бас	Көгалда бір бас ат бар.
片	тілім	Маған бір тілім нан беріңіз.
片面	біржақты	Бұл көзқарас тым біржақты.
飘	қалықтау	Қар ұшқындары ауада қалықтап жүр.
拼音	пиньинь	Қытай иероглифтерінің жанына пиньинь жазыңыз.
频道	арна	Жаңалықтар арнасына ауыстырыңыз.
凭	арқылы	Билет арқылы кіруге болады.
平均	орташа	Орташа есеппен әр адам он юань жұмсады.
平	тегіс	Бұл жол өте тегіс.
平安	амандық	Жолыңыз аман болсын.
平常	әдетте	Ол әдетте сирек кешігеді.
平等	тең	Әр адамға тең қарау керек.
平方	шаршы	Бұл бөлме жиырма шаршы метр.
平衡	тепе-теңдік	Жұмыс пен өмірге тепе-теңдік керек.
平静	тынық	Көл беті өте тынық.
评价	баға	Мұғалім өте жоғары баға берді.
破产	банкрот болу	Ана компания былтыр банкрот болды.
破坏	бүлдіру	Қоғамдық мүлікті бүлдірмеңіз.
迫切	шұғыл	Бізге көбірек дәрігер шұғыл қажет.
期待	асыға күту	Мен бұл сапарды асыға күтемін.
期间	кезінде	Жиналыс кезінде телефоныңызды өшіріңіз.
其余	қалған	Қалған мәселелер ертең талқыланады.
奇迹	ғажайып	Дәрігер бұл ғажайып деді.
企业	кәсіпорын	Бұл кәсіпорын тез дамып жатыр.
启发	шабыт	Бұл кітап маған көп шабыт берді.
气氛	атмосфера	Сыныптағы атмосфера өте жайлы.
汽油	бензин	Көлікке бензин құю керек.
签	қол қою	Мына жерге атыңызды қол қойыңыз.
谦虚	қарапайым	Ол өте үздік, әрі өте қарапайым.
前途	болашақ	Бұл мамандықтың болашағы жақсы.
浅	таяз	Бұл өзен өте таяз.
欠	қарыз болу	Ол маған әлі жиырма юань қарыз.
枪	мылтық	Полиция қызметкерінің қолында мылтық бар.
墙	қабырға	Қабырғада бір сурет ілулі тұр.
强调	ерекше атап өту	Мұғалім қауіпсіздік мәселесін ерекше атап өтті.
强烈	күшті	Оның жауапкершілік сезімі күшті.
抢	таласу	Басқалармен орынға таласпаңыз.
悄悄	ақырын	Ол бөлмеге ақырын кірді.
瞧	қарау	Қарашы, сыртта қар жауып тұр.
巧妙	тапқыр	Бұл әдіс өте тапқыр.
切	кесу	Жемісті ұсақ бөліктерге кесіңіз.
亲爱	қымбатты	Қымбатты досым, саған рақмет.
亲切	жылы	Мұғалім өте жылы сөйлейді.
亲自	өзі	Менеджер қонақтарды өзі қарсы алды.
勤奋	еңбекқор	Еңбекқор адамдардың табысқа жетуі оңайырақ.
清淡	жеңіл	Мен жеңіл тағамдарды ұнатамын.
轻视	менсінбеу	Бұл кішкентай мәселені менсінбей қарамаңыз.
轻易	оңай	Ол оңайлықпен берілмейді.
青	көкшіл	Бұл киім көкшіл түсті.
青春	жастық шақ	Жастық шақ қымбат.
青少年	жасөспірім	Жасөспірімдерге жеткілікті ұйқы керек.
情景	көрініс	Фильмдегі көрініс өте әсерлі.
情绪	көңіл күй	Оның көңіл күйі онша тұрақты емес.
请求	өтініш	Ол бір өтініш айтты.
庆祝	тойлау	Біз оның туған күнін тойладық.
球迷	жанкүйер	Көп жанкүйер жарысты көруге келді.
趋势	үрдіс	Бұл үрдіс барған сайын айқын болып келеді.
取消	болдырмау	Жаңбыр себебінен іс-шара болдырылмады.
娶	үйлену	Ол келесі жылы оған үйленуді жоспарлап отыр.
去世	қайтыс болу	Оның атасы былтыр қайтыс болды.
圈	шеңбер	Дұрыс жауапты шеңбермен белгілеңіз.
全面	жан-жақты	Біз жағдайды жан-жақты түсінуіміз керек.
权利	құқық	Әр адамның білім алуға құқығы бар.
权力	билік	Билік бақылауда болуы керек.
劝	кеңес беру	Досым маған ертерек демалуға кеңес берді.
缺乏	жетіспеу	Бұл аймақта таза су жетіспейді.
确定	анықтау	Мен уақытты әлі анықтай алмаймын.
确认	растау	Мекенжайыңызды растаңыз.
群	топ	Бір топ бала ойын алаңында ойнап жүр.
燃烧	жану	Ағаш жанып жатыр.
绕	айналу	Біз көлді бір айналып шықтық.
热爱	жақсы көру	Ол өз жұмысын қатты жақсы көреді.
热烈	қызу	Барлығы қонақтарды қызу қарсы алды.
热心	жанашыр	Көршілердің бәрі өте жанашыр.
人才	талантты адам	Компанияға көбірек талантты адам керек.
人口	халық	Бұл қаланың халқы көп.
人类	адамзат	Адамзат Жерді қорғауы керек.
人民币	юань	Мен біраз юань айырбастадым.
人生	өмір	Өмірде таңдау көп.
人事	кадрлар бөлімі	Ол кадрлар бөлімінде жұмыс істейді.
人物	кейіпкер	Романдағы кейіпкерлер өте шынайы көрінеді.
人员	қызметкерлер	Қызметкерлердің бәрі келіп болды.
忍不住	шыдай алмау	Әзілді естіген соң, ол күлмей шыдай алмады.
日常	күнделікті	Бұл менің күнделікті жұмысым.
日程	күн тәртібі	Бүгінгі күн тәртібі өте тығыз.
日历	күнтізбе	Қабырғада бір күнтізбе ілулі тұр.
日期	күн	Күнін анық жазып қойыңыз.
日用品	күнделікті тұрмыс заттары	Супермаркетте күнделікті тұрмыс заттары көп сатылады.
日子	күндер	Осы күндері ол өте бос емес.
如何	қалай	Бұл мәселені қалай шешуіміз керек?
如今	қазір	Қазір көлік қатынасы әлдеқайда ыңғайлы.
软	жұмсақ	Бұл төсек өте жұмсақ.
软件	бағдарлама	Бұл бағдарлама қолдануға ыңғайлы.
弱	әлсіз	Оның денесі біршама әлсіз.
洒	төгіп алу	Ол абайсызда суды төгіп алды.
嗓子	тамақ	Тамағым сәл ауырып тұр.
色彩	түс	Бұл суреттің түстері өте бай.
杀	өлтіру	Бұл фильмде адам өлтіру көрінісі жоқ.
沙漠	шөл	Шөлдегі су өте қымбат.
沙滩	жағажай	Балалар жағажайда ойнап жүр.
傻	ақымақ	Ақымақ іс жасама.
晒	күнге жаю	Киімдер балконда күнге жайылып тұр.
删除	өшіру	Бұл электрондық хатты өшіріңіз.
闪电	найзағай	Түнде найзағай жарқ етті.
善良	мейірімді	Ол мейірімді адам.
善于	шебер	Ол мәселе шешуге шебер.
扇子	желпуіш	Жазда мен желпуішті жиі қолданамын.
伤害	ренжіту	Басқалардың сезімін ренжітпеңіз.
商品	тауар	Бұл дүкенде тауар көп.
商务	іскерлік	Ол ертең іскерлік жиналысқа қатысады.
商业	сауда	Бұл аймақта сауда жақсы дамыған.
上当	алдану	Ол аз жерден алданып қала жаздады.
蛇	жылан	Шөптің арасында бір жылан бар.
舍不得	қимай қалу	Мен бұл жерден кетуге қимаймын.
射击	ату	Ол ату жаттығуын жасап жүр.
摄影	фотография	Ол фотографияға қатты қызығады.
设备	жабдық	Зертханадағы жабдық өте заманауи.
设计	дизайн	Бұл дизайн өте шығармашыл.
设施	нысан	Мектептің спорт нысандары жақсы.
伸	созу	Қолыңызды созыңыз.
深刻	терең	Бұл тәжірибе маған терең әсер қалдырды.
身材	дене бітімі	Оның дене бітімі сау.
身份	жеке бас	Жеке басыңызды растайтын құжатты көрсетіңіз.
神话	миф	Балалар мифтік әңгімелер тыңдағанды ұнатады.
神秘	жұмбақ	Бұл көне қала өте жұмбақ.
升	литр	Мұнай бағасы әр литріне аздап өсті.
声调	тон	Қытай тілінде төрт негізгі тон бар.
生产	өндіру	Бұл зауыт ұялы телефон өндіреді.
生动	жанды	Мұғалім өте жанды түсіндіреді.
生长	өсу	Бұл өсімдік тез өседі.
绳子	арқан	Қорапты арқанмен жақсылап байлаңыз.
省略	түсіріп қалдыру	Мұнда бір иероглифті түсіріп қалдыруға болады.
胜利	жеңіс	Олар ақыры жеңіске жетті.
失眠	ұйқысыздық	Ол соңғы кезде жиі ұйқысыздыққа ұшырайды.
失去	жоғалту	Сенімді жоғалтпаңыз.
失业	жұмыссыз қалу	Жұмыссыз қалғаннан кейін ол жаңа дағды үйрене бастады.
湿润	ылғалды	Жаңбырдан кейін ауа өте ылғалды.
狮子	арыстан	Хайуанаттар бағында екі арыстан бар.
诗	өлең	Ол бір өлең жазды.
实话	шындық	Шындықты айтыңызшы.
实践	тәжірибе	Теорияны тәжірибе арқылы тексеру керек.
实习	тағылымдамадан өту	Ол жазғы демалыста ауруханада тағылымдамадан өтеді.
实现	жүзеге асыру	Ол ақыры арманын жүзеге асырды.
实验	тәжірибе	Студенттер тәжірибе жасап жатыр.
实用	пайдалы	Бұл құрал өте пайдалы.
时差	уақыт айырмасы	Ол уақыт айырмасына әлі үйренген жоқ.
时代	дәуір	Біз ақпарат дәуірінде өмір сүріп жатырмыз.
时刻	сәт	Осы маңызды сәтті есте сақтаңыз.
时髦	сәнді	Бұл киім өте сәнді.
时期	кезең	Университет кезеңі оған үлкен әсер етті.
时尚	сән	Ол сәнге қатты қызығады.
石头	тас	Жол жиегінде бір тас бар.
食物	тамақ	Тамақты тоңазытқышқа салыңыз.
使劲儿	күш салу	Бұл бөтелкені ашу үшін күш салу керек.
始终	әрдайым	Ол өз табысқа жете алатынына әрдайым сенді.
事实	факт	Факт оның дұрыс екенін дәлелдеді.
事物	нәрсе	Балалар жаңа нәрселерге өте қызығады.
事先	алдын ала	Уақытын маған алдын ала айтыңыз.
似的	сияқты	Ол қатты шаршаған сияқты, бір ауыз сөз айтқысы келмеді.
士兵	сарбаз	Сарбаздар жаттығып жатыр.
市场	базар	Бұл базар өте қызу.
试卷	емтихан қағазы	Мұғалім емтихан қағаздарын тексеріп жатыр.
收获	олжасы	Бұл сапардан алған олжам көп болды.
收据	түбіртек	Төлегеннен кейін түбіртекті сақтаңыз.
手工	қолдан жасалған	Бұл сыйлық қолдан жасалған.
手术	ота	Дәрігер ертең оған ота жасайды.
手套	қолғап	Қыста сыртқа шыққанда қолғап кию керек.
手续	рәсім	Рәсімдерді жасау үшін жеке куәлік керек.
手指	саусақ	Оның саусағы жарақаттанған.
首	дана	Ол бір ән айтты.
受伤	жарақат алу	Ол жарыста жарақат алды.
寿命	қызмет мерзімі	Мұндай машинаның қызмет мерзімі ұзақ.
书架	кітап сөресі	Кітап сөресі кітапқа толы.
梳子	тарақ	Ол тарақпен шашын тарайды.
舒适	жайлы	Бұл бөлме өте жайлы.
蔬菜	көкөніс	Көкөністі көбірек жеу денсаулыққа пайдалы.
输入	енгізу	Құпиясөзді компьютерге енгізіңіз.
熟练	шебер	Ол компьютерді шебер қолдана алады.
属于	тиесілі	Бұл кітап кітапханаға тиесілі.
数	санау	Қанша адам бар екенін санап беріңіз.
鼠标	тінтуір	Менің компьютер тінтуірім бұзылды.
数据	дерек	Бұл деректер өте маңызды.
数码	цифрлық	Ол цифрлық камера сатып алды.
摔倒	құлап қалу	Ол жолда құлап қалды.
甩	сілку	Ол қолындағы суды сілкіп тастады.
双方	екі тарап	Екі тарап та бұл жоспарға келісті.
税	салық	Зат сатып алғанда салық төлеу керек.
说不定	мүмкін	Мүмкін ертең қар жауар.
说服	көндіру	Ол ақыры ата-анасын көндірді.
丝绸	жібек	Бұл орамал жібектен жасалған.
丝毫	мүлде	Ол ойын мүлде өзгертпеді.
思考	ойлану	Бұл мәселе туралы мұқият ойланыңыз.
思想	ойлау	Оның ойлауы өте ашық.
撕	жырту	Бұл қағазды жыртпаңыз.
私人	жеке	Бұл менің жеке кеңістігім.
似乎	сияқты	Ол онша қуанышты емес сияқты.
搜索	іздеу	Мен интернеттен материал іздедім.
宿舍	жатақхана	Студенттер мектеп жатақханасында тұрады.
随身	өзімен бірге	Паспортыңызды өзіңізбен бірге алып жүріңіз.
随时	кез келген уақытта	Сен маған кез келген уақытта телефон соға аласың.
随手	ыңғайы келгенде	Шыққанда есікті жаба салыңыз.
碎	сыну	Кесе жерге түсіп, сынып қалды.
损失	шығын	Бұл апат үлкен шығын келтірді.
缩短	қысқарту	Жаңа бағыт жолды қысқартты.
所	мекеме	Бұл мектеп өте танымал.
锁	құлыптау	Сыртқа шығар алдында есікті құлыптаңыз.
台阶	баспалдақ	Қарт адам баспалдақпен баяу көтерілді.
太极拳	тайцзицюань	Саябақта адамдар тайцзицюань жаттығып жүр.
太太	ханым	Ван ханым тамақ пісіріп жатыр.
谈判	келіссөз	Екі тарап келіссөз жүргізіп жатыр.
坦率	ашық	Ол ойын ашық айтты.
烫	ыстық	Бұл шай өте ыстық.
桃	шабдалы	Ағашта көп шабдалы өсті.
淘气	тентек	Бұл бала сәл тентек.
逃	қашу	Күшік ауладан қашып кетті.
逃避	қашу	Жауапкершіліктен қашпаңыз.
讨价还价	саудаласу	Зат сатып алғанда ол саудаласқанды ұнатады.
套	жиынтық	Ол жаңа киім жиынтығын сатып алды.
特色	ерекшелік	Бұл мейрамхананың жергілікті ерекшелігі бар.
特殊	ерекше	Бүгін ерекше күн.
特征	белгі	Бұл жануардың айқын белгісі бар.
疼爱	қатты жақсы көру	Ата-әжесі баланы қатты жақсы көреді.
提倡	насихаттау	Мектеп суды үнемдеуді насихаттайды.
提纲	жоспар	Мақала жазбас бұрын алдымен жоспар жасаңыз.
提问	сұрақ қою	Студенттер кез келген уақытта сұрақ қоя алады.
题目	сұрақ	Бұл сұрақ онша қиын емес.
体会	түсінік	Саяхат арқылы мен жаңа түсінік алдым.
体贴	қамқор	Ол отбасына өте қамқор.
体现	көрсету	Бұл іс командалық рухты көрсетті.
体验	бастан кешіру	Мен жергілікті өмірді бастан кешіргім келеді.
天空	аспан	Бүгін аспан өте көк.
天真	аңғал	Баланың ойы өте аңғал.
调皮	тентек	Ана мысық өте тентек.
调整	өзгерту	Біз жоспарды өзгертуіміз керек.
挑战	сынақ	Бұл үлкен сынақ.
通常	әдетте	Ол әдетте сағат жетіде тұрады.
统一	біріктіру	Барлығының пікірін біріктіру керек.
痛苦	қатты қайғы	Досынан айырылу оған қатты қайғы әкелді.
痛快	рахат	Бүгін шынымен рахат ойнадық.
偷	ұрлау	Басқалардың затын ұрламаңыз.
投入	беріліп	Ол жұмысқа қатты беріліп істейді.
投资	инвестиция салу	Олар жаңа жобаға инвестиция салды.
透明	мөлдір	Бұл кесе мөлдір.
突出	айқын	Оның артықшылықтары өте айқын.
土地	жер	Бұл жер өте құнарлы.
土豆	картоп	Мен бірнеше картоп сатып алдым.
兔子	қоян	Бала бір қоян асырайды.
吐	құсу	Ол өзін жайсыз сезініп, құсқысы келеді.
团	топ	Біз бір саяхат тобына қосылдық.
推辞	бас тарту	Ол досының шақыруынан бас тартты.
推广	ілгерілету	Компания жаңа өнімді ілгерілетіп жатыр.
推荐	ұсыну	Мұғалім бұл кітапты ұсынды.
退	шегіну	Бір қадам артқа шегініңіз.
退步	кері кету	Жаттығу жасамасаң, деңгейің кері кетеді.
退休	зейнетке шығу	Ол келесі жылы зейнетке шығады.
歪	қисық	Бұл сурет қисық ілініп тұр.
外公	нағашы ата	Менің нағашы атам биыл сексенде.
外交	дипломатия	Ол халықаралық қатынастар мен дипломатияны оқиды.
完美	мінсіз	Бұл жоспар мінсіз емес.
完善	жетілдіру	Біз қызмет көрсету процесін жетілдіруіміз керек.
完整	толық	Маған толық есеп беріңіз.
玩具	ойыншық	Бала ойыншықтарды қорапқа салды.
万一	егер	Егер жаңбыр жауса, басқа күні барамыз.
王子	ханзада	Әңгімедегі ханзада өте батыл.
往返	барып-қайту	Бұл билетпен сол күні барып-қайтуға болады.
