simplified	NO	example_NO
尽量	prøve så godt man kan	Prøv å komme så tidlig som mulig.
近代	moderne tid	Det skjedde mange endringer i Kina i moderne tid.
进步	fremgang; gjøre fremskritt	Kinesiskferdighetene hans blir raskt bedre.
进口	importert	Denne bilen er importert.
精力	energi	Barna har mye energi.
精神	energi; sinnsstemning	Han er i godt humør i dag.
经典	klassisk; en klassiker	Dette er en klassisk film.
经商	drive forretninger	Faren hans driver forretninger i utlandet.
经营	drive; administrere	Hun driver en liten butikk.
酒吧	en bar	De gikk på bar om kvelden.
救	redde	Legen reddet livet hans.
救护车	en ambulanse	Ambulansen kom raskt.
舅舅	onkel på morssiden	Onkelen min på morssiden bor i Nanjing.
居然	faktisk; uventet	Han glemte faktisk sin egen bursdag.
桔子	en mandarin	Det ligger flere mandariner på bordet.
俱乐部	en klubb	Hun ble med i svømmeklubben.
具备	ha; være utstyrt med	Han har ledererfaring.
具体	konkret; spesifikk	Vær litt mer konkret.
巨大	enorm; veldig stor	Dette prosjektet krever en enorm investering.
据说	det sies at	Det sies at han allerede har reist hjem til landet sitt.
捐	donere	Alle er villige til å donere penger.
决赛	en finale	I morgen er det fotballfinale.
决心	besluttsomhet; bestemme seg	Han bestemte seg for å lære kinesisk godt.
绝对	absolutt	Denne saken må absolutt ikke glemmes.
角色	en rolle	Hun spiller en viktig rolle i filmen.
军事	militær	Han er veldig interessert i militærhistorie.
均匀	jevnt	Legg på fargen jevnt.
卡车	en lastebil	En lastebil står parkert ved inngangen.
开发	utvikle	Selskapet utvikler et nytt produkt.
开放	åpne; være åpen	Parken åpner klokken seks hver morgen.
开幕式	en åpningsseremoni	Åpningsseremonien holdes i morgen kveld.
开水	kokt vann	Gi meg et glass kokt vann.
砍	hugge; kutte	Arbeideren kutter greiner.
看不起	se ned på	Ikke se ned på noen.
看望	besøke	Jeg skal besøke besteforeldrene mine i helgen.
靠	lene seg mot	Han lente seg mot veggen for å hvile.
颗	telleord for små runde ting	Det er en stjerne på nattehimmelen.
可见	det er tydelig at	Det er tydelig at denne metoden er effektiv.
可靠	pålitelig	Han er en pålitelig venn.
可怕	skremmende	Denne drømmen var altfor skremmende.
克	gram	Tilsett to gram salt.
克服	overvinne	Vi må overvinne vanskelighetene.
刻苦	flittig; hardtarbeidende	Han studerer veldig flittig.
客观	objektiv	Analyser problemet objektivt.
课程	et kurs	Dette kurset er veldig nyttig.
空间	plass; rom	Dette rommet har mye plass.
控制	kontrollere	Sjåføren fikk kontroll over bilens fart.
空闲	fritid	Har du ledig tid i morgen ettermiddag?
口味	smak	Han foretrekker ganske mild mat.
夸	rose; skryte	Læreren roste ham for stor fremgang.
夸张	overdrevet	Ansiktsuttrykket hans er litt overdrevet.
会计	en regnskapsfører	Hun jobber som regnskapsfører i selskapet.
宽	bred	Denne veien er veldig bred.
昆虫	et insekt	Barna observerer insekter.
扩大	utvide	Skolen planlegger å utvide biblioteket.
辣椒	chili; chilipepper	Det ble tilsatt mye chili i retten.
拦	stoppe; hindre	Politiet stoppet en bil.
烂	råtten; overkokt	Dette eplet har allerede råtnet.
朗读	lese høyt	Les teksten høyt.
劳动	arbeid	Arbeid gir en følelse av mening.
劳驾	unnskyld meg	Unnskyld, hvor ligger T-banestasjonen?
姥姥	mormor	Mormoren min lager veldig god mat.
老百姓	vanlige folk	Vanlige folk bryr seg om levekostnadene.
老板	en sjef	Sjefen er ikke på kontoret i dag.
老婆	kone	Han kjøpte blomster til kona si.
老实	ærlig	Han er en ærlig person.
老鼠	en mus	Det er en mus på kjøkkenet.
乐观	optimistisk	Hun er optimistisk med tanke på fremtiden.
雷	torden	Tordenen i går kveld var veldig høy.
类型	en type; kategori	Hvilken type film hører denne filmen til?
冷淡	kjølig; likegyldig	Holdningen hans er litt kjølig.
厘米	en centimeter	Denne pennen er femten centimeter lang.
梨	en pære	Jeg kjøpte flere pærer.
离婚	skille seg	De skilte seg i fjor.
理论	en teori	Denne teorien er veldig komplisert.
理由	en grunn	Hvilken grunn har du til å komme for sent?
利润	fortjeneste	Selskapets fortjeneste økte i år.
利息	rente	Bankrenten er ikke høy.
利益	interesse; fordel	Vi må beskytte alles interesser.
利用	utnytte; bruke	Han bruker helgen til å studere kinesisk.
力量	styrke	Samhold er styrke.
立即	umiddelbart	Forlat dette stedet umiddelbart.
立刻	med en gang	Etter å ha hørt nyheten dro han av gårde med en gang.
联合	i fellesskap; forene	De to selskapene utviklet produktet i fellesskap.
连忙	raskt; straks	Da han hørte telefonen ringe, tok han den raskt.
连续	sammenhengende; på rad	Han jobbet ti timer i strekk.
恋爱	være forelsket; ha et forhold	De er i et romantisk forhold.
粮食	korn; matvarer	Årets kornproduksjon økte.
良好	god	Han har gode studievaner.
亮	lys; klar	Lampen i rommet er veldig sterk.
了不起	fantastisk; imponerende	Hun oppnådde imponerende resultater.
列车	et tog	Toget skal straks gå.
临时	midlertidig	Dette er en midlertidig beslutning.
灵活	fleksibel	Studiemetoder bør være fleksible.
铃	en klokke	Skoleklokken ringte.
零件	en del; komponent	Maskinen mangler en del.
零食	snacks	Barn liker å spise snacks.
领导	en leder; ledelse	Lederen er i møte.
领域	et felt; område	Hun arbeider innen utdanningsfeltet.
流传	bli overlevert; spre seg	Denne historien har blitt overlevert lenge.
流泪	gråte; felle tårer	Da hun hørte nyheten, begynte hun å gråte.
浏览	bla gjennom; surfe	Jeg skal først bla gjennom nettsiden.
龙	en drage	Det finnes drager i kinesisk kultur.
漏	lekke	Taket lekker.
录取	ta opp; bli tatt opp	Han ble tatt opp ved universitetet.
录音	ta opp lyd	Start opptaket.
陆地	land	Skilpadden krøp opp på land.
陆续	etter hvert; en etter en	Gjestene kom en etter en.
轮流	bytte på	Vi bytter på å vaske klasserommet.
论文	en oppgave; avhandling	Hun skriver bacheloroppgaven sin.
逻辑	logikk	Logikken hans er veldig klar.
落后	ligge etter	Vi kan ikke ligge etter andre.
骂	skjelle ut	Ikke skjell ut barnet.
麦克风	en mikrofon	Gi mikrofonen til ham.
馒头	en dampet bolle	Jeg spiste en dampet bolle til frokost.
满足	oppfylle; tilfredsstille	Dette svaret oppfyller ikke kravene.
毛病	et problem; en feil	Denne datamaskinen har et lite problem.
矛盾	en konflikt; motsigelse	Det er noen konflikter mellom dem.
冒险	ta en risiko	Å dra dit alene er for risikabelt.
贸易	handel	Internasjonal handel utvikler seg raskt.
媒体	medier	Mediene rapporterte om denne saken.
煤炭	kull	Denne regionen produserer kull.
眉毛	øyenbryn	Øyenbrynene hennes er tykke.
美术	kunst	Lillesøsteren min liker kunst.
魅力	sjarm	Denne byen har mye sjarm.
梦想	en drøm	Drømmen hans er å bli lege.
密切	tett; nær	Vi holder tett kontakt.
秘密	en hemmelighet	Dette er hemmeligheten vår.
秘书	en sekretær	Sekretæren satte opp møtetidspunktet.
蜜蜂	en bie	Det er mange bier blant blomstene.
面对	møte; stå overfor	Vi bør møte vanskeligheter modig.
面积	areal	Arealet på dette rommet er ikke stort.
面临	stå overfor	Selskapet står overfor nye utfordringer.
描写	beskrive	Forfatteren beskrev livet på landsbygda.
苗条	slank	Hun har en slank figur.
敏感	sensitiv	Dette temaet er ganske sensitivt.
名牌	et kjent merke	Han kjøpte en klokke fra et kjent merke.
名片	et visittkort	Gi meg et visittkort.
名胜古迹	historiske steder og severdigheter	Beijing har mange historiske steder og severdigheter.
明确	tydelig; klargjøre	Læreren forklarte kravene tydelig.
明显	åpenbar; tydelig	Fremgangen hans er tydelig.
明星	en stjerne; kjendis	Hun vil bli filmstjerne.
命令	en ordre	Soldater må adlyde ordre.
命运	skjebne	Han tror at skjebnen kan endres.
摸	ta på	Ikke ta på dette bildet.
摩托车	en motorsykkel	Han kjører motorsykkel til jobb.
模仿	etterligne	Barn liker å etterligne voksnes tale.
模糊	uklar	Dette bildet er litt uklart.
模特	en modell	Hun er klesmodell.
陌生	ukjent; fremmed	Denne byen er veldig ukjent for meg.
某	en viss; en bestemt	En bestemt lærer ringte meg.
木头	treverk	Dette bordet er laget av tre.
目标	et mål	Målet mitt er å bestå eksamen.
目录	en innholdsfortegnelse	Se først på innholdsfortegnelsen foran i boken.
目前	for øyeblikket	Situasjonen er ganske stabil for øyeblikket.
哪怕	selv om	Selv om han er veldig opptatt, fortsetter han å studere.
难怪	ikke rart	Ikke rart du er så glad i dag.
难免	vanskelig å unngå	Det er vanskelig å unngå feil første gang man gjør det.
脑袋	hode	Hodet hans gjør litt vondt.
内部	intern	Dette er internt materiale fra selskapet.
内科	indremedisin	Han skal til indremedisin i dag.
嫩	mør; myk	Dette kjøttstykket er veldig mørt.
能干	dyktig; kompetent	Hun er en veldig dyktig person.
能源	energi; energikilde	Solenergi er en ren energikilde.
嗯	mm-hm	Mm-hm, jeg skjønner.
年代	tiår; epoke	Dette bildet ble tatt på 1980-tallet.
年纪	alder	Han er ikke gammel, men har mye erfaring.
念	lese høyt	Les teksten én gang.
宁可	heller	Jeg vil heller gå enn å vente på bussen.
牛仔裤	jeans	Han har på seg et par jeans.
农村	landsbygd	Hun vokste opp på landsbygda.
农民	en bonde	Bøndene arbeider på åkeren.
农业	jordbruk	Jordbruk er veldig viktig for denne regionen.
浓	sterk; konsentrert	Denne kaffen er for sterk.
女士	en dame	Den damen venter på bussen.
欧洲	Europa	Han reiser til Europa neste måned.
偶然	tilfeldigvis	Jeg møtte en gammel klassekamerat tilfeldigvis.
拍	ta et bilde	Hjelp meg med å ta et bilde.
派	sende	Selskapet sendte ham til Shanghai på forretningsreise.
盼望	se fram til	Jeg ser fram til å møte deg snart.
培训	opplæring	Nye ansatte må delta på opplæring.
培养	utvikle; dyrke	Skolen legger vekt på å utvikle elevenes evner.
赔偿	erstatte; kompensere	Selskapet gikk med på å erstatte tapet.
佩服	beundre	Jeg beundrer virkelig motet hans.
配合	samarbeide	Vennligst samarbeid med lærerens opplegg.
盆	en potte; et kar	Det står en potte med blomster på balkongen.
碰	ta på; støte borti	Vær forsiktig, ikke ta på det varme vannet.
批	et parti; en sending	Dette varepartiet kom i dag.
批准	godkjenne	Sjefen godkjente denne planen.
披	ha over skuldrene	Hun hadde en jakke over skuldrene.
疲劳	utmattelse; trøtt	Langvarig arbeid kan gjøre en trøtt.
匹	telleord for hester	Det står en hest på gresset.
片	en skive; et stykke	Gi meg en brødskive.
片面	ensidig	Denne oppfatningen er altfor ensidig.
飘	sveve; dale	Snøfnuggene daler i luften.
拼音	pinyin	Skriv pinyin ved siden av de kinesiske tegnene.
频道	en kanal	Bytt til nyhetskanalen.
凭	med; på grunnlag av	Man kan gå inn med billett.
平均	gjennomsnittlig	I gjennomsnitt brukte hver person ti yuan.
平	flat	Denne veien er veldig flat.
平安	trygg	God tur.
平常	vanligvis	Vanligvis kommer han sjelden for sent.
平等	lik; likeverdig	Alle bør behandles likt.
平方	kvadrat	Dette rommet er tjue kvadratmeter.
平衡	balanse	Arbeid og liv trenger balanse.
平静	rolig	Innsjøen er helt rolig.
评价	vurdere; vurdering	Læreren ga en veldig god vurdering.
破产	gå konkurs	Det selskapet gikk konkurs i fjor.
破坏	ødelegge; skade	Ikke ødelegg offentlig eiendom.
迫切	påtrengende; akutt	Vi trenger akutt flere leger.
期待	se fram til	Jeg ser veldig fram til denne reisen.
期间	i løpet av; under	Slå av mobilen under møtet.
其余	resten; de øvrige	Resten av spørsmålene diskuteres i morgen.
奇迹	et mirakel	Legen sa at dette var et mirakel.
企业	en bedrift	Denne bedriften utvikler seg raskt.
启发	inspirasjon; inspirere	Denne boken ga meg mye inspirasjon.
气氛	atmosfære	Atmosfæren i klasserommet er veldig avslappet.
汽油	bensin	Bilen trenger bensin.
签	signere	Signer navnet ditt her.
谦虚	beskjeden; ydmyk	Han er dyktig og også veldig beskjeden.
前途	framtidsutsikter	Dette studiefaget har gode framtidsutsikter.
浅	grunn	Denne elven er veldig grunn.
欠	skylde	Han skylder meg fortsatt tjue yuan.
枪	en pistol; et våpen	Politibetjenten holder et våpen.
墙	en vegg	Det henger et bilde på veggen.
强调	understreke	Læreren understreket sikkerhetsspørsmålene.
强烈	sterk	Han har en sterk ansvarsfølelse.
抢	kjempe om; rive til seg	Ikke kjemp med andre om sitteplasser.
悄悄	stille; i hemmelighet	Hun gikk stille inn i rommet.
瞧	se	Se, det snør ute.
巧妙	smart; genial	Denne metoden er veldig smart.
切	skjære	Skjær frukten i små biter.
亲爱	kjær	Kjære venn, takk.
亲切	vennlig; varm	Læreren snakker veldig vennlig.
亲自	personlig	Sjefen tok personlig imot gjestene.
勤奋	flittig	Flittige mennesker lykkes lettere.
清淡	mild; lett	Jeg liker mild mat.
轻视	undervurdere; se ned på	Ikke undervurder dette lille problemet.
轻易	lett; uten videre	Han gir ikke lett opp.
青	blågrønn	Dette klesplagget er blågrønt.
青春	ungdom	Ungdommen er verdifull.
青少年	ungdommer	Ungdommer trenger nok søvn.
情景	en scene; situasjon	Scenen i filmen er veldig rørende.
情绪	følelser; humør	Humøret hans er ikke særlig stabilt.
请求	en forespørsel; be om	Han kom med en forespørsel.
庆祝	feire	Vi feiret bursdagen hans.
球迷	en sportsfan; fotballfan	Mange fans kom for å se kampen.
趋势	en trend	Denne trenden blir stadig tydeligere.
取消	avlyse	Arrangementet ble avlyst på grunn av regn.
娶	gifte seg med en kvinne	Han planlegger å gifte seg med henne neste år.
去世	gå bort; dø	Bestefaren hans gikk bort i fjor.
圈	en sirkel; sette ring rundt	Sett ring rundt det riktige svaret.
全面	omfattende; helhetlig	Vi må forstå situasjonen helhetlig.
权利	en rettighet	Alle har rett til utdanning.
权力	makt	Makt bør overvåkes.
劝	råde; overtale	Vennen min rådet meg til å hvile tidligere.
缺乏	mangle	Dette området mangler rent vann.
确定	fastslå; være sikker	Jeg kan fortsatt ikke fastslå tidspunktet.
确认	bekrefte	Bekreft adressen din.
群	en gruppe	En gruppe barn leker på idrettsplassen.
燃烧	brenne	Veden brenner.
绕	gå rundt; omringe	Vi gikk en runde rundt innsjøen.
热爱	elske; brenne for	Han elsker arbeidet sitt.
热烈	varm; entusiastisk	Alle ønsket gjestene varmt velkommen.
热心	hjelpsom; entusiastisk	Naboene er alle veldig hjelpsomme.
人才	talent; dyktige folk	Selskapet trenger flere dyktige folk.
人口	befolkning	Denne byen har en stor befolkning.
人类	menneskeheten	Menneskeheten må beskytte jorden.
人民币	renminbi; kinesiske yuan	Jeg vekslet litt renminbi.
人生	livet	Livet har mange valg.
人事	personalavdeling	Hun arbeider i personalavdelingen.
人物	en person; en karakter	Personene i romanen virker veldig ekte.
人员	personell; ansatte	Alle ansatte har kommet.
忍不住	ikke kunne la være	Da han hørte vitsen, kunne han ikke la være å le.
日常	daglig	Dette er det daglige arbeidet mitt.
日程	en timeplan; dagsplan	Dagens program er veldig fullt.
日历	en kalender	Det henger en kalender på veggen.
日期	en dato	Skriv datoen tydelig.
日用品	dagligvarer; hverdagsartikler	Supermarkedet selger mange hverdagsartikler.
日子	dager; tid	Han har vært veldig opptatt disse dagene.
如何	hvordan	Hvordan bør vi løse dette problemet?
如今	nå til dags	Nå til dags er transport mye mer praktisk.
软	myk	Denne sengen er veldig myk.
软件	programvare	Denne programvaren er enkel å bruke.
弱	svak	Kroppen hans er ganske svak.
洒	søle; strø	Han sølte vannet ved et uhell.
嗓子	hals; stemme	Jeg har litt vondt i halsen.
色彩	farger	Dette bildet har rike farger.
杀	drepe	Det er ingen drapsscener i denne filmen.
沙漠	en ørken	Vann i ørkenen er veldig verdifullt.
沙滩	en strand	Barna leker på stranden.
傻	dum; tåpelig	Ikke gjør noe dumt.
晒	tørke i solen	Klærne tørker i solen på balkongen.
删除	slette	Slett denne e-posten.
闪电	lyn	Det lynte om natten.
善良	snill; godhjertet	Hun er et snilt menneske.
善于	være flink til	Han er flink til å løse problemer.
扇子	en vifte	Jeg bruker ofte vifte om sommeren.
伤害	såre; skade	Ikke sår andres følelser.
商品	varer	Denne butikken har mange varer.
商务	forretning; business	Han skal delta på et forretningsmøte i morgen.
商业	handel; næringsliv	Handelen er godt utviklet i dette området.
上当	bli lurt	Han ble nesten lurt.
蛇	en slange	Det ligger en slange i gresset.
舍不得	nødig ville gi slipp; ikke ville forlate	Jeg vil nødig forlate dette stedet.
射击	skyting	Han trener på skyting.
摄影	fotografering	Hun er veldig interessert i fotografering.
设备	utstyr	Utstyret i laboratoriet er veldig avansert.
设计	et design; designe	Dette designet er veldig kreativt.
设施	fasiliteter	Skolens idrettsfasiliteter er gode.
伸	strekke	Strekk ut hånden.
深刻	dyp	Denne opplevelsen gjorde dypt inntrykk på meg.
身材	kroppsbygning; figur	Hun har en sunn kroppsbygning.
身份	identitet	Vis identitetsbevis.
神话	myte	Barn liker å høre myter.
神秘	mystisk	Denne gamle byen er veldig mystisk.
升	liter; stige	Oljeprisen steg litt per liter.
声调	tone	Kinesisk har fire grunnleggende toner.
生产	produsere	Denne fabrikken produserer mobiltelefoner.
生动	levende	Læreren forklarer veldig levende.
生长	vokse	Denne planten vokser raskt.
绳子	et tau	Bind kassen godt fast med tau.
省略	utelate	Ett tegn kan utelates her.
胜利	seier	De vant til slutt.
失眠	ha søvnløshet	Han har ofte søvnløshet i det siste.
失去	miste	Ikke mist selvtilliten.
失业	bli arbeidsledig	Etter at han ble arbeidsledig, begynte han å lære nye ferdigheter.
湿润	fuktig	Luften etter regnet er veldig fuktig.
狮子	en løve	Det er to løver i dyrehagen.
诗	et dikt; poesi	Han skrev et dikt.
实话	sannheten	Fortell sannheten.
实践	praksis; sette ut i praksis	Teori må testes gjennom praksis.
实习	ha praksis; praktisere	Hun skal ha praksis på sykehus i sommerferien.
实现	realisere; oppnå	Han realiserte endelig drømmen sin.
实验	et eksperiment	Studentene gjør et eksperiment.
实用	praktisk	Dette verktøyet er veldig praktisk.
时差	tidsforskjell; jetlag	Han har ennå ikke vent seg til tidsforskjellen.
时代	en tid; epoke	Vi lever i informasjonsalderen.
时刻	et øyeblikk	Husk dette viktige øyeblikket.
时髦	moteriktig	Dette klesplagget er veldig moteriktig.
时期	en periode	Studietiden påvirket ham sterkt.
时尚	mote	Hun er veldig interessert i mote.
石头	en stein	Det ligger en stein ved veikanten.
食物	mat	Legg maten i kjøleskapet.
使劲儿	bruke krefter	Man må bruke litt krefter for å åpne denne flasken.
始终	hele tiden	Han trodde hele tiden at han kunne lykkes.
事实	et faktum	Fakta viser at han hadde rett.
事物	ting; fenomener	Barn er veldig nysgjerrige på nye ting.
事先	på forhånd	Gi meg beskjed om tidspunktet på forhånd.
似的	som om	Han virket så trøtt at han ikke ville si et ord.
士兵	en soldat	Soldatene trener.
市场	et marked	Dette markedet er veldig livlig.
试卷	en prøve; eksamensark	Læreren retter prøver.
收获	utbytte; få mye ut av	Jeg fikk mye ut av denne reisen.
收据	en kvittering	Ta vare på kvitteringen etter betaling.
手工	håndlaget; håndarbeid	Denne gaven er håndlaget.
手术	en operasjon	Legen skal operere ham i morgen.
手套	hansker	Bruk hansker når du går ut om vinteren.
手续	formaliteter; prosedyrer	Du trenger legitimasjon for å ordne formalitetene.
手指	en finger	Fingeren hans er skadet.
首	telleord for sanger og dikt	Hun sang en sang.
受伤	bli skadet	Han ble skadet under kampen.
寿命	levetid	Denne typen maskin har lang levetid.
书架	en bokhylle	Bokhyllen er full av bøker.
梳子	en kam	Hun grer håret med en kam.
舒适	komfortabel	Dette rommet er veldig komfortabelt.
蔬菜	grønnsaker	Å spise mer grønnsaker er bra for helsen.
输入	skrive inn; taste inn	Skriv passordet inn på datamaskinen.
熟练	dyktig; rutinert	Han kan bruke datamaskin svært godt.
属于	tilhøre	Denne boken tilhører biblioteket.
数	telle	Tell hvor mange personer det er.
鼠标	en datamus	Datamusen min er ødelagt.
数据	data	Disse dataene er veldig viktige.
数码	digital	Han kjøpte et digitalkamera.
摔倒	falle	Hun falt på veien.
甩	riste; slenge	Han ristet vannet av hendene.
双方	begge parter	Begge parter gikk med på denne planen.
税	skatt; avgift	Man må betale avgift når man kjøper ting.
说不定	kanskje	Kanskje det snør i morgen.
说服	overtale	Han klarte til slutt å overtale foreldrene sine.
丝绸	silke	Dette skjerfet er laget av silke.
丝毫	ikke det minste	Han endret ikke mening det minste.
思考	tenke over	Tenk nøye over dette problemet.
思想	tankegang; idéer	Han har en åpen tankegang.
撕	rive	Ikke riv i stykker dette papiret.
私人	privat	Dette er mitt private rom.
似乎	se ut til	Han ser ikke særlig glad ut.
搜索	søke	Jeg søkte etter materiale på nettet.
宿舍	en sovesal; studentbolig	Studentene bor i skolens studentboliger.
随身	ha med seg	Ha passet med deg.
随时	når som helst	Du kan ringe meg når som helst.
随手	i forbifarten; uten videre	Lukk døren etter deg når du går.
碎	knust	Koppen falt på gulvet og knuste.
损失	et tap	Denne ulykken forårsaket et stort tap.
缩短	forkorte	Den nye ruten forkortet reisen.
所	telleord for skoler og institusjoner	Denne skolen er veldig kjent.
锁	låse	Lås døren før du går ut.
台阶	trappetrinn	Den eldre personen gikk sakte opp trinnene.
太极拳	taijiquan; tai chi	Noen øver på tai chi i parken.
太太	fru; kone	Fru Wang lager mat.
谈判	forhandle; forhandlinger	Begge parter forhandler.
坦率	ærlig; åpen	Han sa tankene sine helt ærlig.
烫	varm; brennende	Denne koppen te er veldig varm.
桃	en fersken	Det vokste mange ferskener på treet.
淘气	rampete	Dette barnet er litt rampete.
逃	rømme; flykte	Valpen rømte ut av gården.
逃避	unngå	Ikke unngå ansvar.
讨价还价	prute	Han liker å prute når han handler.
套	et sett	Han kjøpte et nytt sett med klær.
特色	særpreg; lokalt preg	Denne restauranten har lokalt særpreg.
特殊	spesiell	I dag er en spesiell dag.
特征	et kjennetegn	Denne dyrearten har tydelige kjennetegn.
疼爱	elske høyt	Besteforeldrene er veldig glade i barnet.
提倡	fremme; oppfordre til	Skolen oppfordrer til å spare vann.
提纲	en disposisjon	Lag først en disposisjon før du skriver artikkelen.
提问	stille spørsmål	Studentene kan stille spørsmål når som helst.
题目	et spørsmål; tema	Dette spørsmålet er ikke særlig vanskelig.
体会	en innsikt; erfare	Gjennom reisen fikk jeg ny innsikt.
体贴	omtenksom	Han er veldig omtenksom overfor familien.
体现	gjenspeile	Denne saken gjenspeiler lagånd.
体验	oppleve	Jeg vil oppleve det lokale livet.
天空	himmel	Himmelen er veldig blå i dag.
天真	uskyldig; naiv	Barnets tanke er veldig uskyldig.
调皮	rampete	Den katten er veldig rampete.
调整	justere	Vi må justere planen.
挑战	en utfordring	Dette er en stor utfordring.
通常	vanligvis	Han står vanligvis opp klokken sju.
统一	forene; samordne	Alles meninger må samordnes.
痛苦	smertefull; trist	Å miste vennen gjorde ham veldig trist.
痛快	herlig; fornøyelig	Vi hadde det virkelig herlig i dag.
偷	stjele	Ikke stjel andres ting.
投入	engasjert; investere	Han arbeider veldig engasjert.
投资	investere; investering	De investerte i et nytt prosjekt.
透明	gjennomsiktig	Dette glasset er gjennomsiktig.
突出	fremtredende	Fordelene hans er veldig tydelige.
土地	jord; land	Dette jordstykket er veldig fruktbart.
土豆	en potet	Jeg kjøpte flere poteter.
兔子	en kanin	Barnet har en kanin.
吐	kaste opp	Han føler seg dårlig og vil kaste opp.
团	en gruppe	Vi ble med i en reisegruppe.
推辞	takke nei til	Han takket nei til vennens invitasjon.
推广	fremme; markedsføre	Selskapet markedsfører et nytt produkt.
推荐	anbefale	Læreren anbefalte denne boken.
退	gå tilbake	Ta ett skritt tilbake.
退步	gå tilbake; bli dårligere	Hvis du ikke øver, blir nivået ditt dårligere.
退休	gå av med pensjon	Han skal gå av med pensjon neste år.
歪	skjev	Bildet henger skjevt.
外公	morfar	Morfaren min er åtti år i år.
外交	diplomati	Han studerer internasjonale relasjoner og diplomati.
完美	perfekt	Denne planen er ikke perfekt.
完善	forbedre	Vi må forbedre serviceprosessen.
完整	fullstendig	Gi meg en fullstendig rapport.
玩具	leketøy	Barnet la lekene i esken.
万一	hvis; i tilfelle	Hvis det regner, drar vi en annen dag.
王子	en prins	Prinsen i historien er veldig modig.
往返	tur-retur	Denne billetten kan brukes til tur-retur samme dag.
网络	internett; nettverk	Nettverket her er veldig stabilt.
危害	skade	Røyking kan skade helsen.
威胁	true	Forurensning truer elven.
微笑	smile	Hun smilte til meg.
唯一	den eneste	Dette er den eneste måten.
围巾	et skjerf	Han bruker skjerf om vinteren.
围绕	dreie seg om	Diskusjonen dreide seg om dette problemet.
维修	reparasjon; vedlikehold	Heisen er under reparasjon.
违反	bryte; være i strid med	Å gjøre dette bryter reglene.
伟大	stor; betydningsfull	Dette er en stor oppdagelse.
委屈	føle seg urettferdig behandlet	Hun følte seg veldig urettferdig behandlet.
尾巴	en hale	Valpen logret med halen.
位于	ligge; være plassert	Skolen ligger i sentrum.
位置	et sted; en plass	Dette stedet er veldig stille.
未必	ikke nødvendigvis	Det han sa, er ikke nødvendigvis sant.
未来	fremtid	Vi må forberede oss på fremtiden.
胃	mage	Jeg er litt uvel i magen.
胃口	appetitt	Han har god appetitt i dag.
温暖	varm	Vårsolen er veldig varm.
温柔	mild; varsom	Hun snakker veldig mildt.
文件	et dokument; en fil	Send dokumentet til meg.
文具	skrivesaker	Det er mange skrivesaker i skolesekken.
文明	sivilisert	Å stå i kø er sivilisert oppførsel.
文学	litteratur	Hun liker kinesisk litteratur.
文字	skrift; tegn	Disse tegnene er vanskelige å lese.
闻	lukte; høre	Jeg kjente en blomsterduft.
吻	kysse	Moren kysset barnet på kinnet.
稳定	stabil	Prisene holder seg stabile.
问候	hilse	Hils familien din fra meg.
卧室	et soverom	Det står en stor seng i soverommet.
握手	håndhilse	De håndhilste da de møttes.
屋子	et rom; hus	Det er varmt i rommet.
无奈	hjelpeløs	Han ristet hjelpeløst på hodet.
无数	utallige	Det er utallige stjerner på nattehimmelen.
无所谓	det spiller ingen rolle	Det spiller ingen rolle hva du vil spise.
武术	kampsport	Han har lært kampsport siden barndommen.
勿	ikke; vennligst ikke	Ikke røyk her.
物理	fysikk	Fysikktimen er veldig interessant.
物质	et stoff	Vann er et viktig stoff.
雾	tåke	Det var tett tåke om morgenen.
吸取	lære av	Vi bør lære av denne erfaringen.
吸收	absorbere	Planter absorberer vann.
戏剧	drama; teater	Han liker å se tradisjonelt teater.
系	fakultet; institutt	Hun studerer ved kinesisk institutt.
系统	et system	Dette systemet kjører stabilt.
细节	detaljer	Legg merke til disse detaljene.
瞎	blindt; uten grunn	Ikke gjett blindt, se på materialet først.
下载	laste ned	Jeg lastet ned denne programvaren.
吓	skremme	Den plutselige lyden skremte meg.
夏令营	sommerleir	Barnet deltok på en kinesisk sommerleir.
鲜艳	sterk i fargen; klar	Fargen på dette skjørtet er veldig klar.
显得	se ut; få til å virke	Dette plagget får ham til å se veldig ung ut.
显然	åpenbart	Åpenbart vet han allerede resultatet.
显示	vise	Skjermen viser feil tid.
县	fylke; distrikt	Dette fylket har mange teplantasjer.
现代	moderne	Moderne liv kan ikke skilles fra internett.
现实	virkelighet	Vi må møte virkeligheten.
现象	et fenomen	Dette fenomenet er veldig vanlig.
限制	begrense	Her er kjøretøytrafikk begrenset.
相处	komme overens	De kommer veldig godt overens.
相当	ganske	Denne boken er ganske interessant.
相对	relativt	Prisene her er relativt lave.
相关	relevant	Legg fram relevant materiale.
相似	lik	Betydningen av disse to tegnene er veldig lik.
香肠	en pølse	Det er egg og pølse til frokost.
享受	nyte	De nyter ferien.
想念	savne	Jeg savner familien min veldig.
想象	forestille seg	Jeg kan ikke forestille meg et slikt liv.
象棋	kinesisk sjakk	Bestefar liker å spille kinesisk sjakk.
象征	symbolisere	Hvitt symboliserer ofte renhet.
项	et punkt; en oppgave	Denne oppgaven er veldig viktig.
项链	et halskjede	Hun har på seg et halskjede av sølv.
项目	et prosjekt	Dette prosjektet krever tre måneder.
消费	forbruk	Forbruket økte i løpet av høytiden.
