simplified	LV	example_LV
递增	pakāpeniski pieaugt	Pārdošanas apjoms pieauga trīs mēnešus pēc kārtas.
颠簸	kratīties	Kalnu ceļš ir ļoti bedrains, tāpēc jābrauc uzmanīgi.
颠倒	apgriezt otrādi	Tu apgriezi abu skaitļu secību.
典礼	ceremonija	Izlaiduma ceremonija notiks zālē.
典型	tipisks	Šis ir tipisks veiksmes gadījums.
点缀	rotāt	Daži mazi ziedi rotāja pusdienu galdu.
垫	paliktnis	Lūdzu, paliec šo papīra lapu zem krūzes.
奠定	likt pamatu	Šī sadarbība lika pamatu ilgtermiņa attiecībām.
惦记	raizēties	Māte vienmēr raizējas par bērnu tālumā.
电源	strāvas avots	Pirms aiziešanas, lūdzu, izslēdziet strāvas padevi.
叼	turēt mutē	Tas suns mutē tur kaulu.
雕刻	grebt	Viņam patīk grebt rakstus kokā.
雕塑	skulptūra	Laukuma centrā ir skulptūra.
吊	pacelt	Strādnieki ar mašīnu pacēla tērauda siju.
调动	pārcelt	Uzņēmums viņu pārcēla darbā uz Šanhaju.
跌	krist	Akciju cena šodien atkal kritās.
丁	kubiņš	Receptē rakstīts sagriezt kartupeļus kubiņos.
叮嘱	atgādināt	Skolotājs mums vairākkārt atgādināja pievērst uzmanību drošībai.
盯	blenzt	Lūdzu, visu laiku neblenz uz citiem.
定期	regulāri	Ārsts ieteica viņam regulāri pārbaudīt veselību.
定义	definīcija	Lūdzu, vispirms izskaidrojiet šī jēdziena definīciju.
丢人	apkaunojošs	Melot publiski ir patiešām apkaunojoši.
丢三落四	aizmāršīgs	Viņš vienmēr ir aizmāršīgs un, izejot no mājas, bieži aizmirst atslēgas.
东道主	saimnieks	Kā saimniekiem mums labi jārūpējas par viesiem.
东张西望	lūkoties apkārt	Stundas laikā nelūkojies apkārt.
董事长	valdes priekšsēdētājs	Valdes priekšsēdētājs šodien piedalījās sanāksmē.
冻结	iesaldēt	Banka uz laiku iesaldēja šo kontu.
动荡	nemierīgs	Karš ilgu laiku padarīja šo reģionu nemierīgu.
动机	motīvs	Policija izmeklē viņa motīvu.
动静	trokšņa pazīme	Istabā nebija ne mazākās skaņas vai kustības.
动力	dzinulis	Interese ir mācīšanās dzinulis.
动脉	artērija	Ārsts pārbaudīja viņa artēriju.
动身	doties ceļā	Mēs rīt agri dosimies uz lidostu.
动手	sākt kauties	Kamēr lieta nav noskaidrota, neviens lai nesāk kauties.
动态	attīstība	Lūdzu, pastāvīgi sekojiet projekta attīstībai.
动员	mobilizēt	Skola mobilizēja skolēnus piedalīties brīvprātīgajos pasākumos.
栋	ēka	Šai ēkai ir divdesmit stāvi.
兜	kabata	Viņš ielika atslēgas mēteļa kabatā.
陡峭	stāvs	Šis kalnu ceļš ir ļoti stāvs.
斗争	cīņa	Viņi cīnās par vides aizsardzību.
督促	mudināt	Vadītājs mudināja visus pabeigt uzdevumu laikā.
毒品	narkotikas	Muita konfiscēja narkotiku partiju.
独裁	diktatūra	Cilvēki iebilst pret diktatūras varu.
堵塞	aizsprostot	Atkritumi aizsprostoja kanalizāciju.
赌博	spēlēt azartspēles	Azartspēles var radīt nopietnas sekas.
杜绝	izskaust	Uzņēmums pieprasa izskaust izšķērdību.
端	nest	Viņš ienāca, nesot tasi karstas tējas.
端午节	Pūķu laivu svētki	Pūķu laivu svētkos mēs ēdam zongdzi.
端正	izlabot	Skolēniem jāizlabo attieksme pret mācībām.
短促	īss	Viņš izdvesa īsu nopūtu.
断定	secināt	Tagad vēl nevar secināt, kuram ir taisnība.
断绝	pārtrūkt	Pēc negadījuma ciema saikne ar ārpasauli pārtrūka.
堆积	krāties	Sniegs sakrājās ceļa malā.
兑现	izpildīt	Viņš beidzot izpildīja solījumu.
对策	pretpasākums	Saskaroties ar riskiem, mums vajadzīgi pretpasākumi.
对称	simetrisks	Šīs ēkas kreisā un labā puse ir ļoti simetriskas.
对付	tikt galā	Ar šo problēmu nav viegli tikt galā.
对抗	stāties pretī	Abas komandas finālā stāsies viena otrai pretī.
对立	pretējs	Abu pušu nostājas ir pilnīgi pretējas.
对联	pāru uzraksts	Pavasara svētkos viņi pie durvīm pielīmēja pāru uzrakstus.
对应	atbilst	Katrs numurs atbilst vienai sēdvietai.
对照	salīdzināt	Lūdzu, salīdziniet tulkojumu ar oriģinālu.
队伍	gājiens	Gājiena kolonna lēnām virzījās uz priekšu.
顿时	tūlīt	Dzirdot šo ziņu, viņš tūlīt sastinga.
哆嗦	drebēt	Bija tik auksti, ka viņš visu laiku drebēja.
多元化	dažādošana	Uzņēmums veicina darbības dažādošanu.
堕落	pagrimt	Viņš negrib ļaut sev turpināt pagrimt.
额外	papildu	Par šo pakalpojumu jāmaksā papildu maksa.
恶心	nelabums	Sajūtot to smaku, man kļuva mazliet nelabi.
恶化	pasliktināties	Ja slimību neārstē, tā var pasliktināties.
遏制	ierobežot	Valdība veica pasākumus piesārņojuma ierobežošanai.
恩怨	naids	Naids starp abiem uzņēmumiem ilgst jau sen.
而已	tikai tas	Es to vienkārši pateicu garāmejot, tikai tas.
二氧化碳	oglekļa dioksīds	Augi absorbē oglekļa dioksīdu.
发布	izlaist	Uzņēmums rīt izlaidīs jaunu produktu.
发财	kļūt bagātam	Viņš cer kļūt bagāts ar smagu darbu.
发呆	blenzt tukšumā	Viņa sēdēja pie loga un blenza tukšumā.
发动	mobilizēt	Brīvprātīgie mobilizēja iedzīvotājus sakopt ielu.
发觉	pamanīt	Es pamanīju, ka viņš šodien ir mazliet nervozs.
发射	palaist	Raķete tiks palaista vakarā.
发誓	zvērēt	Viņš zvērēja, ka vairs nekad nemelos.
发行	izlaist	Šī filma tiks izlaista nākamajā mēnesī.
发炎	iekaisums	Brūce ir mazliet iekaisusi.
发扬	attīstīt	Mums jāattīsta komandas darba gars.
发育	attīstība	Bērna fiziskajai attīstībai vajadzīgs pietiekams uzturs.
法人	juridiska persona	Šis uzņēmums ir neatkarīga juridiska persona.
番	vārdi	Šie vārdi mani ļoti iedvesmoja.
凡是	ikviens	Ikvienam, kas piesakās, jāpiedalās apmācībā.
繁华	rosīgs	Agrāk šī iela bija ļoti rosīga.
繁忙	aizņemts	Brīvdienās lidosta ir īpaši aizņemta.
繁体字	tradicionālā ķīniešu rakstzīme	Taivānā bieži lieto tradicionālās rakstzīmes.
繁殖	vairoties	Šis augs ļoti viegli vairojas.
反驳	atspēkot	Viņš ar datiem atspēkoja šo viedokli.
反常	neparasts	Šodienas laiks ir mazliet neparasts.
反感	nepatika	Man ļoti nepatīk šāda reklāma.
反抗	pretoties	Cilvēki sāka pretoties netaisnīgajam noteikumam.
反馈	atsauksme	Klienti atsauksmēs norādīja, ka sistēma ir ļoti stabila.
反面	otra puse	Lūdzu, apgriez papīru uz otru pusi.
反射	atstarot	Spogulis atstaro gaismu.
反思	pārdomāt	Pēc neveiksmes viņš nopietni pārdomāja iemeslus.
反问	atjautāt	Viņš neatbildēja, bet atjautāja man pretī.
反之	otrādi	Pārāk augstas cenas samazina pieprasījumu, un otrādi arī ir taisnība.
泛滥	pārplūst	Stiprais lietus izraisīja upes pārplūšanu.
范畴	kategorija	Šis jautājums ietilpst juridiskajā kategorijā.
贩卖	tirgot	Likums aizliedz tirgot viltotas zāles.
方位	virziens	Kartē ir norādīts precīzs virziens.
方言	dialekts	Viņš saprot vietējo dialektu.
方圆	apkārtne	Desmit kilometru apkārtnē nav slimnīcas.
方针	politika	Uzņēmums izstrādāja jaunu attīstības politiku.
防守	aizsardzība	Šīs komandas aizsardzība ir ļoti stabila.
防御	aizsardzība	Pilsētas mūris kādreiz tika izmantots aizsardzībai pret ienaidniekiem.
防止	novērst	Lūdzu, piesprādzējiet drošības jostu, lai novērstu savainojumus.
防治	profilakse un ārstēšana	Ārsts izskaidroja slimības profilakses un ārstēšanas metodes.
纺织	tekstilrūpniecība	Šī pilsēta ir slavena ar tekstilrūpniecību.
访问	apmeklēt	Žurnālists rīt apmeklēs šo rakstnieku.
放大	palielināt	Lūdzu, mazliet palieliniet attēlu.
放射	izstarot	Šis materiāls izstaro siltumu.
非法	nelikumīgs	Nelikumīgi darījumi tiks sodīti.
飞禽走兽	putni un zvēri	Mežā dzīvo dažādi putni un zvēri.
飞翔	lidot	Kaijas lido virs jūras.
飞跃	lēciens	Tehnoloģiju attīstība panāca milzīgu lēcienu.
肥沃	auglīgs	Šī zeme ir ļoti auglīga.
诽谤	neslavas celšana	Par citu cilvēku apmelošanu jāuzņemas juridiska atbildība.
废除	atcelt	Šis vecais noteikums jau ir atcelts.
废寝忘食	aizmirst miegu un ēdienu	Pētījuma dēļ viņš aizmirsa gan miegu, gan ēdienu.
废墟	drupas	Pēc zemestrīces tā vieta pārvērtās drupās.
沸腾	vārīties	Ūdens jau vārās.
肺	plauša	Smēķēšana var kaitēt plaušām.
分辨	atšķirt	Man ir grūti atšķirt šīs divas krāsas.
分寸	mēra sajūta	Arī jokojot jāzina mēra sajūta.
分红	dividendes	Akcionāri gada beigās var saņemt dividendes.
分解	sadalīt	Skolotājs sarežģīto problēmu sadalīja vairākos soļos.
分裂	sašķelties	Iekšējas pretrunas izraisīja organizācijas sašķelšanos.
分泌	izdalīt	Šis dziedzeris izdala hormonus.
分明	skaidrs	Fakti jau ir ļoti skaidri.
分歧	nesaskaņas	Abām pusēm ir nesaskaņas par cenu.
分散	izkliedēt	Lūdzu, izkliedējiet risku pa dažādiem projektiem.
吩咐	uzdot	Priekšnieks man uzdeva sakārtot dokumentus.
坟墓	kaps	Kalna nogāzē ir sens kaps.
粉末	pulveris	Lūdzu, saberziet tabletes pulverī.
粉色	rozā	Viņa nopirka rozā šalli.
粉碎	sagraut	Policija sagrāva šo noziedzīgo grupu.
分量	svars	Šim teikumam ir liels svars.
愤怒	dusmas	Viņa balss tonis bija pilns dusmu.
丰满	bagātīgs	Šī raksta saturs vēl nav pietiekami bagātīgs.
丰盛	bagātīgs	Viņi sagatavoja bagātīgas vakariņas.
丰收	laba raža	Šogad zemniekiem bija laba raža.
封闭	slēgt	Būvdarbu laikā šis ceļš būs slēgts.
封建	feodāls	Šādai feodālai domāšanai jau sen vajadzēja mainīties.
封锁	norobežot	Policija norobežoja negadījuma vietu.
锋利	ass	Šis nazis ir ļoti ass.
风暴	vētra	Jūrā pēkšņi parādījās vētra.
风度	elegance	Uz skatuves viņš izskatījās ļoti elegants.
风光	ainava	Šejienes dabas ainava ir ļoti skaista.
风气	gaisotne	Skolā ir izveidojusies laba mācību gaisotne.
风趣	humors	Viņš runā ar lielu humoru.
风土人情	vietējās paražas	Ceļošana palīdz iepazīt vietējās paražas.
风味	vietējā garša	Šajā veikalā ir izteikta vietējā garša.
逢	katru reizi	Katru nedēļas nogali parks ir rosīgs.
奉献	veltīt	Ārsts pacientiem veltīja daudz laika.
否决	noraidīt	Valde noraidīja šo priekšlikumu.
夫妇	laulāts pāris	Šis laulātais pāris vada nelielu veikalu.
夫人	kundze	Vana kungs un viņa kundze kopā piedalījās vakariņās.
敷衍	formāls	Viņš atbildēja tikai ar dažām formālām frāzēm.
俘虏	gūsteknis	Pēc kara beigām gūstekņi tika atbrīvoti.
幅度	apmērs	Šoreiz cenu samazinājuma apmērs ir liels.
服从	pakļauties	Karavīriem jāpakļaujas pavēlēm.
服气	būt pārliecinātam	Viņš zaudēja spēli, bet sirdī nebija pārliecināts par rezultātu.
福利	labumi	Darbinieki ļoti novērtē uzņēmuma labumus.
福气	veiksme	Satikt labu skolotāju ir viņa veiksme.
符号	simbols	Šis simbols nozīmē bīstamību.
辐射	radiācija	Ārsts atgādināja viņam turēties tālāk no stipras radiācijas.
俯视	pārlūkot	No kalna virsotnes var pārlūkot visu pilsētu.
抚摸	glaudīt	Viņa maigi noglaudīja bērna galvu.
抚养	audzināt	Vecvecāki palīdzēja audzināt bērnu.
腐败	korupcija	Valdība cīnās pret korupciju.
腐烂	pūt	Augļi, pārāk ilgi stāvot, pūst.
腐蚀	korodēt	Skābe var korodēt metāla virsmu.
腐朽	satrūdējis	Viņi kritizēja satrūdējušo sistēmu.
辅助	palīdzēt	Šis rīks var palīdzēt mācīšanā.
副	vietnieks	Viņa tika iecelta par vadītāja vietnieci.
复活	atdzimt	Šie tradicionālie svētki atdzimst.
复兴	atdzimšana	Kultūras atdzimšanai vajadzīgas ilgstošas pūles.
富裕	pārticīgs	Šis ciems tagad kļūst arvien pārticīgāks.
腹泻	caureja	Viņam ir smaga caureja, un jāapmeklē ārsts.
覆盖	pārklāt	Biezs sniegs pārklāja visu ieleju.
负担	slogs	Īres maksa kļuva par viņa galveno slogu.
赋予	piešķirt	Likums piešķir pilsoņiem pamattiesības.
附和	piebalsot	Viņam nav sava viedokļa, viņš tikai piebalso citiem.
附件	pielikums	Lūdzu, apskati e-pasta pielikumu.
附属	saistīts	Šī slimnīca ir saistīta ar universitāti.
改良	uzlabot	Speciālisti uzlabo šo rīsu šķirni.
盖章	uzlikt zīmogu	Pēc līguma parakstīšanas tam jāuzliek zīmogs.
钙	kalcijs	Piens satur daudz kalcija.
尴尬	neveikls	Sanāksmē iestājās neveikls klusums.
干旱	sausums	Ilgstošs sausums ietekmēja ražu.
干扰	traucēt	Troksnis traucē man strādāt.
干涉	iejaukties	Vecākiem nevajadzētu pārāk iejaukties bērnu izvēlē.
干预	iejaukšanās	Valdības savlaicīga iejaukšanās mazināja tirgus risku.
感慨	aizkustinājums	Ieraugot vecās fotogrāfijas, viņu pārņēma aizkustinājums.
感染	infekcija	Šis vīruss viegli izraisa infekciju bērniem.
干劲	darba spars	Visi strādāja ar lielu darba sparu.
扛	pacelt	Leģenda stāsta, ka viņš varēja pacelt smagu katlu.
纲领	rīcības programma	Sanāksme apstiprināja jaunu rīcības programmu.
岗位	amats	Viņa ātri pielāgojās jaunajam amatam.
港口	osta	Kravas kuģis piestāja ostā.
港湾	līcis	Mazā laiva iebrauca klusā līcī.
杠杆	svira	Šajā ieguldījumā tika izmantota liela svira.
高超	izcils	Viņa auto remonta prasmes ir izcilas.
高潮	kulminācija	Spēle pēdējās desmit minūtēs sasniedza kulmināciju.
高峰	pīķis	Astoņos no rīta ir satiksmes pīķis.
高明	atjautīgs	Šis paņēmiens tiešām ir atjautīgs.
高尚	cēls	Ārsta profesionālais gars ir cēls.
高涨	pieaugt	Skatītāju sajūsma turpināja pieaugt.
稿件	manuskripts	Redaktors labo manuskriptu.
告辞	atvadīties	Jau ir vēls, tāpēc mēs vispirms atvadīsimies.
告诫	brīdināt	Skolotājs brīdināja skolēnus nešpikot.
割	griezt	Viņš nejauši iegrieza pirkstā.
搁	nolikt	Lūdzu, noliec dokumentus uz galda.
歌颂	slavināt	Šis dzejolis slavina strādniekus.
疙瘩	pumpa	Uz viņa rokas parādījās pumpa.
鸽子	balodis	Laukumā ir daudz baložu.
格局	izkārtojums	Šī dzīvokļa izkārtojums ir ļoti saprātīgs.
格式	formāts	Lūdzu, aizpildi veidlapu noteiktajā formātā.
隔阂	atsvešināšanās	Pārpratums padziļināja atsvešināšanos starp viņiem.
隔离	izolēt	Pacients uz laiku jāizolē.
革命	revolūcija	Šī revolūcija mainīja valsts likteni.
个体	indivīds	Katram indivīdam ir atšķirīgas vajadzības.
各抒己见	izteikt savu viedokli	Sanāksmē visi izteica savu viedokli.
根深蒂固	dziļi iesakņojies	Šis priekšstats jau ir dziļi iesakņojies.
根源	cēlonis	Nabadzības cēloņi ir sarežģīti.
跟前	tuvumā	Bērns pieskrēja mātes tuvumā.
跟随	sekot	Žurnālists sekoja komandai kalnu apvidū.
跟踪	izsekot	Policija izseko aizdomās turētā pārvietošanos.
更新	atjaunināt	Sistēma šovakar automātiski atjaunināsies.
更正	labot	Laikraksts nākamajā dienā laboja kļūdu.
耕地	apstrādāt zemi	Zemnieki pavasarī apstrādā zemi.
供不应求	pieprasījums pārsniedz piedāvājumu	Šīm zālēm pašlaik pieprasījums pārsniedz piedāvājumu.
供给	apgāde	Pilsētai vajadzīga stabila ūdens un elektrības apgāde.
公安局	Sabiedriskās drošības birojs	Viņš devās uz Sabiedriskās drošības biroju ziņot par lietu.
公道	taisnīgums	Visi cer uz taisnīgu izskatīšanu.
公告	paziņojums	Skola publicēja paziņojumu par mācību pārtraukšanu.
公关	sabiedriskās attiecības	Uzņēmums nolīga profesionālu sabiedrisko attiecību komandu.
公民	pilsonis	Katram pilsonim jāievēro likums.
公然	atklāti	Viņš atklāti pārkāpa sacensību noteikumus.
公认	atzīts	Viņa ir atzīta par izcilu skolotāju.
公式	formula	Lūdzu, pieraksti šo matemātikas formulu.
公务	dienesta darīšana	Viņš trīs dienas devās komandējumā dienesta darīšanās.
公正	taisnīgs	Tiesnesim jāpaliek taisnīgam.
公证	notariāls apliecinājums	Šim dokumentam vajadzīgs notariāls apliecinājums.
功劳	nopelns	Šajos panākumos ir visu nopelns.
功效	iedarbība	Šo zāļu iedarbība vēl jāpārbauda.
宫殿	pils	Tūristi apskatīja seno pili.
工艺品	rokdarbs	Šis rokdarbs ir izgatavots ar rokām.
恭敬	cieņpilns	Viņš cieņpilni sasveicinājās ar veco cilvēku.
攻击	uzbrukt	Hakeri uzbruka uzņēmuma tīmekļa vietnei.
攻克	pārvarēt	Pētnieku komanda pārvarēja tehnisko grūtību.
巩固	nostiprināt	Atkārtošana var nostiprināt apgūtās zināšanas.
共和国	republika	Šī republika tika dibināta pagājušajā gadsimtā.
共计	kopā	Šajā preču partijā kopā ir trīs simti kastes.
共鸣	rezonanse	Šī dziesma izraisīja rezonansi daudzos cilvēkos.
勾结	sazvērēties	Viņi sazvērējās ar svešiniekiem, lai izkrāptu līdzekļus.
钩子	āķis	Pie sienas karājas vairāki āķi.
构思	iecere	Rakstnieks veido jauna romāna ieceri.
姑且	pagaidām	Pagaidām izmēģināsim šo plānu vienu nedēļu.
孤独	vientuļš	Pēc pārcelšanās uz jaunu pilsētu viņš jutās vientuļš.
孤立	izolēts	Nevajag skatīt šo jautājumu izolēti.
辜负	pievilt	Es negribu pievilt vecāku cerības.
古董	senlieta	Vectēvs kolekcionēja vairākas senlietas.
古怪	savāds	Viņa doma ir mazliet savāda.
股东	akcionārs	Akcionāru sapulce notiks nākamnedēļ.
股份	akcijas	Viņam pieder uzņēmuma akcijas.
骨干	balsts	Šie inženieri ir komandas balsts.
鼓动	kūdīt	Kāds kūdīja pūli protestēt.
固然	tiesa	Šī metode tiesa ir vienkārša, bet risks nav mazs.
固体	cieta viela	Ledus ir ūdens cietā viela.
固有	raksturīgs	Katrai kultūrai ir raksturīgas iezīmes.
固执	stūrgalvīgs	Viņš ir pārāk stūrgalvīgs un neklausās padomos.
故乡	dzimtā vieta	Pēc daudziem gadiem viņš atgriezās dzimtajā vietā.
故障	bojājums	Liftam radās bojājums, tāpēc tas uz laiku netiek lietots.
雇佣	pieņemt darbā	Uzņēmums nolēma pieņemt darbā vairāk tehnisko speciālistu.
顾虑	bažas	Ja tev ir kādas bažas, vari tās pateikt tieši.
顾问	konsultants	Mēs nolīgām juridisko konsultantu.
拐杖	spieķis	Vecais vīrs, ejot ārā, bieži ņem līdzi spieķi.
关怀	rūpes	Skolotājs izrādīja skolēniem daudz rūpju.
关照	pieskatīt	Lūdzu, ceļā pieskati bērnu.
官方	oficiāls	Oficiālās ziņas tiks paziņotas rīt.
观光	apskates ekskursija	Tūristi devās apskates ekskursijā ar laivu.
管辖	pārvaldīt	Šo rajonu pārvalda pilsētas pašvaldība.
惯例	ierasta kārtība	Pirms sanāksmes sākuma iepazīstināt viesus ir ierasta kārtība.
灌溉	apūdeņot	Zemnieki izmanto upes ūdeni, lai apūdeņotu laukus.
罐	burka	Uz galda stāv tējas lapu burka.
贯彻	īstenot	Uzņēmumam jāīsteno jaunie drošības standarti.
光彩	mirdzums	Šis apģērbs lika viņai izskatīties mirdzoši.
光辉	spožums	Viņa sasniegumi atstāja spožu lappusi.
光芒	gaismas stars	Saules stari izgaismoja ieleju.
光荣	gods	Kalpot valstij ir gods.
广阔	plašs	Stepes ainava šķiet bezgalīga un ļoti plaša.
归根到底	galu galā	Galu galā problēma ir pārvaldībā.
归还	atdot	Lūdzu, atdod grāmatas laikā.
规范	standarts	Skola izstrādāja standartus laboratorijas pārvaldībai.
规格	specifikācija	Šīs detaļu partijas specifikācijas nav vienādas.
规划	plānošana	Pilsētas plānošanā jāņem vērā transports.
规章	noteikumi	Darbiniekiem jāievēro uzņēmuma noteikumi.
轨道	sliedes	Vilciens virzās pa sliedēm.
贵族	aristokrātija	Šis īpašums reiz piederēja aristokrātijai.
跪	mesties ceļos	Viņš metās ceļos statujas priekšā.
棍棒	nūja	Policija notikuma vietā konfiscēja nūjas.
国防	valsts aizsardzība	Valsts aizsardzībai vajadzīgi ilgtermiņa ieguldījumi.
国务院	Valsts padome	Valsts padome izdeva jaunu paziņojumu.
果断	izlēmīgs	Vadītājs pieņēma izlēmīgu lēmumu.
过度	pārmērīgs	Pārmērīga telefona lietošana var ietekmēt miegu.
过渡	pāreja	Uzņēmums pašlaik ir pārmaiņu pārejas posmā.
过奖	pārslavēt	Jūs mani pārslavējat, man vēl jāmācās.
过滤	filtrēt	Šī ierīce var filtrēt piemaisījumus.
过失	kļūda	Šo negadījumu izraisīja cilvēka kļūda.
过问	interesēties	Vadītājs reti interesējas par šādiem sīkumiem.
过瘾	sagādāt gandarījumu	Skatīties šo spēli tiešām sagādāja gandarījumu.
过于	pārlieku	Šis plāns ir pārlieku sarežģīts.
嗨	sveiks	Sveiks, kāpēc arī tu atnāci?
海拔	augstums virs jūras līmeņa	Šis ciems atrodas lielā augstumā virs jūras līmeņa.
海滨	jūrmala	Viņi pavadīja nedēļas nogali jūrmalā.
含糊	neskaidrs	Viņa atbilde bija ļoti neskaidra.
含义	nozīme	Šim vārdam ir īpaša nozīme.
寒暄	sasveicināšanās	Pēc satikšanās viņi vispirms apmainījās ar dažiem sasveicināšanās vārdiem.
罕见	rets	Šī slimība ir ļoti reta.
捍卫	aizstāvēt	Advokāts centās aizstāvēt klienta tiesības.
航空	aviācija	Aviokompānija atcēla lidojumu.
航天	kosmonautika	Ķīnas kosmonautika strauji attīstās.
航行	kuģot	Kuģis kuģo jūrā.
行列	rindas	Viņa pievienojās brīvprātīgo rindām.
毫米	milimetrs	Šis stikls ir piecus milimetrus biezs.
毫无	pilnīgi bez	Viņa skaidrojums ir pilnīgi bez pamata.
豪迈	varens	Viņa dziedājums bija varens un spēkpilns.
号召	aicināt	Valdība aicināja visus taupīt ūdeni.
耗费	patērēt	Šis projekts patērēja daudz līdzekļu.
呵	uzkliegt	Tēvs uzkliedza, un bērns uzreiz apstājās.
合并	apvienot	Abi uzņēmumi plāno nākamgad apvienoties.
合成	sintezēt	Šo materiālu var mākslīgi sintezēt.
合伙	sadarboties	Viņi sadarbojoties atvēra restorānu.
合算	izdevīgs	Braukt ar autobusu ir izdevīgāk nekā ar taksometru.
和蔼	laipns	Šis ārsts runā ļoti laipni.
和解	izlīgums	Abas puses galu galā panāca izlīgumu.
和睦	saticīgs	Kaimiņi savā starpā dzīvo saticīgi.
和气	draudzīgs	Priekšnieks pret cilvēkiem izturas draudzīgi.
和谐	harmonisks	Mūzika padarīja atmosfēru harmoniskāku.
嘿	hei	Hei, vai tu to dzirdēji?
痕迹	pēdas	Uz zemes palika riteņu pēdas.
狠心	cietsirdīgs	Viņš cietsirdīgi noraidīja drauga lūgumu.
恨不得	ļoti gribētos	Man ļoti gribētos tūlīt doties mājās atpūsties.
哼	nošņākt	Viņš neapmierināti nošņācās.
横	horizontāls	Lūdzu, uzzīmē uz papīra horizontālu līniju.
哄	smieklu šalts	Visi izplūda smieklu šaltī.
烘	cept	Maize cepas krāsnī.
轰动	izraisīt sensāciju	Šī ziņa izraisīja sensāciju visā valstī.
宏观	makro	Mums jāanalizē ekonomika no makro skatpunkta.
宏伟	grandiozs	Šī tilta dizains ir ļoti grandiozs.
洪水	plūdi	Plūdi sagrāva vairākus tiltus.
喉咙	rīkle	Viņš runāja pārāk daudz, un rīkle mazliet sāp.
吼	rēkt	Viņš skaļi rēca tālumā.
候选	kandidāts	Viņa šogad ir kandidāte pārstāves amatam.
后代	pēcnācēji	Mums jāsargā vide pēcnācēju labā.
后顾之忧	raizes par nākotni	Stabili ienākumi atbrīvoja viņu no raizēm par nākotni.
后勤	loģistika	Loģistikas nodaļa atbild par materiālu piegādi.
呼唤	saukt	Māte pie durvīm sauca bērnu.
呼啸	gaudot	Aukstais vējš gaudoja aiz loga.
呼吁	aicināt	Eksperti aicināja visus samazināt izšķērdību.
忽略	ignorēt	Lūdzu, neignorē šo detaļu.
湖泊	ezers	Šajā apvidū ir daudz dabisku ezeru.
胡乱	pavirši	Neliec mantas pavirši uz zemes.
胡须	bārda	Viņa bārda jau kļuvusi balta.
花瓣	ziedlapa	Pēc lietus ziedlapiņas nokrita pa visu zemi.
花蕾	pumpurs	Pavasarī uz zariem parādās ziedpumpuri.
华丽	grezns	Skatuves kostīmi bija ļoti grezni.
华侨	aizjūras ķīnietis	Daudzi aizjūras ķīnieši atgriezās dzimtenē ieguldīt.
划分	sadalīt	Skolotājs sadalīja skolēnus četrās grupās.
化肥	minerālmēsli	Zemnieki mēsloja laukus ar minerālmēsliem.
化石	fosilija	Muzejā izstādīja dinozauru fosilijas.
化验	analīze	Ārsts lika viņam veikt asins analīzi.
化妆	grimēties	Pirms uzstāšanās viņa grimējās.
画蛇添足	pārspīlēt	Pievienot vēl paskaidrojumu būtu pārspīlēti.
话筒	mikrofons	Vadītājs pasniedza mikrofonu skatītājam.
欢乐	prieks	Svētku laukums bija pilns prieka.
环节	posms	Katrs apmācības posms ir ļoti svarīgs.
还原	atjaunot	Lūdzu, atjauno iestatījumus noklusējuma stāvoklī.
缓和	mazināties	Attiecības starp abām pusēm pakāpeniski mazinājās spriedzē.
患者	pacients	Ārsts iztaujā pacientu par viņa stāvokli.
荒凉	drūms	Šī zeme izskatās ļoti drūma.
荒谬	absurds	Šis skaidrojums izklausās absurds.
荒唐	neprātīgs	Viņa lēmums bija pārāk neprātīgs.
皇帝	imperators	Imperators dzīvoja grandiozā pilī.
皇后	imperatore	Imperatore piedalījās svinībās.
黄昏	krēsla	Krēslā iedegās ielu lukturi.
恍然大悟	pēkšņi saprast	Pēc paskaidrojuma noklausīšanās viņš pēkšņi saprata.
晃	nozibēt	Kaut kas nozibēja acu priekšā, un viņš pazuda.
挥霍	izšķērdēt	Viņam nevajadzētu izšķērdēt vecāku naudu.
辉煌	spožs	Šai pilsētai ir spoža vēsture.
回报	atdeve	Smags darbs galu galā dos atdevi.
回避	izvairīties	Viņš visu laiku izvairījās no šī jautājuma.
回顾	atskatīties	Sanāksmes beigās viņi atskatījās uz gada darbu.
回收	pārstrādāt	Dzīvojamais rajons sāka pārstrādāt vecās baterijas.
悔恨	nožēla	Viņš izjuta nožēlu par pagātnes kļūdām.
毁灭	iznīcināt	Karš gandrīz iznīcināja šo pilsētu.
会晤	tikšanās	Abu valstu vadītāju tikšanās notiks rīt.
汇报	ziņot	Viņš ziņoja vadītājam par progresu.
贿赂	kukulis	Amatpersonu izmeklēja par kukuļošanu.
昏迷	koma	Pacients joprojām ir komā.
荤	gaļas ēdiens	Šis ir gaļas ēdiens un neder veģetāriešiem.
浑身	viss ķermenis	Pēc skriešanas viss viņa ķermenis bija nosvīdis.
混合	sajaukt	Lūdzu, vienmērīgi sajauc abas sastāvdaļas.
混乱	haoss	Notikuma vietā kādu brīdi valdīja liels haoss.
混淆	jaukt	Nevajag jaukt šos divus jēdzienus.
混浊	duļķains	Pēc lietus upes ūdens kļuva duļķains.
活该	pelnīti	Viņš neklausīja padomam, tāpēc pelnīti cieta neveiksmi.
活力	dzīvīgums	Šī pilsēta ir pilna dzīvīguma.
火箭	raķete	Raķete veiksmīgi sasniedza plānoto orbītu.
