simplified	TH	example_TH	MS	example_MS	ID	example_ID
复杂	ซับซ้อน	นี่เป็นปัญหาทางเทคนิคที่ซับซ้อนมาก	rumit; kompleks	Ini masalah teknikal yang rumit.	rumit; kompleks	Ini masalah teknis yang kompleks.
富	รวย; มั่งคั่ง	ชีวิตของผู้คนมั่งคั่งขึ้นเรื่อย ๆ	kaya	Kehidupan orang ramai semakin kaya.	kaya	Kehidupan orang-orang semakin makmur.
父亲	พ่อ; บิดา	พ่อของฉันปีนี้อายุแปดสิบสามปี	bapa; ayah	Bapa saya berumur lapan puluh tiga tahun tahun ini.	ayah; bapak	Ayah saya berusia delapan puluh tiga tahun tahun ini.
负责	รับผิดชอบ; ดูแล	เสี่ยวหลี่รับผิดชอบงานมาก	bertanggungjawab; mengurus	Xiao Li sangat bertanggungjawab dalam kerja.	bertanggung jawab; mengurus	Xiao Li sangat bertanggung jawab dalam pekerjaannya.
改变	เปลี่ยนแปลง	ฉันเปลี่ยนแผนแล้ว	mengubah; berubah	Saya sudah mengubah rancangan.	mengubah; berubah	Saya sudah mengubah rencana.
干杯	ชนแก้ว; ดื่มอวยพร	ขอให้ทุกคนมีความสุขในวันเทศกาล ชนแก้ว!	minum ucap selamat	Moga semua orang gembira menyambut perayaan, cheers!	bersulang	Selamat hari raya semuanya, bersulang!
感动	ซาบซึ้ง; ทำให้ประทับใจ	คำพูดของเขาทำให้ฉันซาบซึ้งมาก	terharu; menyentuh hati	Kata-katanya sangat menyentuh hati saya.	terharu; menyentuh hati	Kata-katanya sangat menyentuh hati saya.
感觉	รู้สึก; ความรู้สึก	ฉันรู้สึกว่าวันนี้หนาวนิดหน่อย	merasa; perasaan	Saya rasa hari ini agak sejuk.	merasa; perasaan	Saya merasa hari ini agak dingin.
感情	ความรู้สึก; ความสัมพันธ์	ความสัมพันธ์ระหว่างพวกเขาดีมาก	perasaan; hubungan	Hubungan antara mereka sangat baik.	perasaan; hubungan	Hubungan di antara mereka sangat baik.
感谢	ขอบคุณ; ซาบซึ้งใจ	ขอบคุณสำหรับความช่วยเหลือของคุณ	berterima kasih; menghargai	Terima kasih atas bantuan anda kepada kami.	berterima kasih; menghargai	Terima kasih atas bantuan Anda kepada kami.
敢	กล้า	ฉันไม่กล้าไปคนเดียว	berani; sanggup	Saya tidak berani pergi seorang diri.	berani	Saya tidak berani pergi sendirian.
赶	รีบ; รีบไป	ขอบคุณที่รีบมาช่วยฉันทันเวลา	mengejar; bergegas	Terima kasih kerana datang tepat pada masanya untuk membantu saya.	mengejar; bergegas	Terima kasih sudah datang tepat waktu untuk membantu saya.
干	ทำ; ทำงาน	คุณกำลังทำอะไรอยู่?	membuat; bekerja	Apa yang kamu sedang buat?	melakukan; bekerja	Apa yang sedang kamu lakukan?
刚	เพิ่ง; เมื่อกี้	กรุณายกโทษให้คำพูดที่ฉันพูดเมื่อกี้	baru sahaja; tadi	Sila maafkan kata-kata yang saya ucapkan tadi.	baru saja; tadi	Tolong maafkan kata-kata yang baru saja saya ucapkan.
高速公路	ทางด่วน; ทางหลวง	ที่นี่เพิ่งสร้างทางหลวงสายใหม่หนึ่งสาย	lebuh raya	Sebuah lebuh raya baharu telah dibina di sini.	jalan tol; jalan bebas hambatan	Di sini baru dibangun sebuah jalan tol baru.
胳膊	แขน	แขนของเขาเจ็บนิดหน่อย	lengan	Lengannya sakit sedikit.	lengan	Lengannya agak sakit.
各	แต่ละ; ทุก	ในซูเปอร์มาร์เก็ตมีผลไม้นานาชนิด	setiap; masing-masing	Di pasar raya ada pelbagai jenis buah.	setiap; masing-masing	Di supermarket ada berbagai jenis buah.
公里	กิโลเมตร	ระยะทางระหว่างสองเมืองนี้มีสามร้อยกิโลเมตร	kilometer	Jarak antara dua bandar ini ialah tiga ratus kilometer.	kilometer	Jarak antara dua kota ini tiga ratus kilometer.
功夫	กังฟู; ฝีมือ	ช่วงนี้ฉันกำลังเรียนกังฟูจีน	kung fu; kemahiran	Saya sedang belajar kung fu Cina baru-baru ini.	kung fu; keterampilan	Akhir-akhir ini saya sedang belajar kung fu Cina.
工资	เงินเดือน; ค่าจ้าง	งานใหม่ของเขาเงินเดือนสูงมาก	gaji	Gaji kerja baharunya sangat tinggi.	gaji; upah	Gaji pekerjaan barunya sangat tinggi.
共同	ร่วมกัน; ที่มีร่วมกัน	พวกเรามีเป้าหมายร่วมกันหนึ่งอย่าง	bersama; sama	Kami mempunyai satu matlamat bersama.	bersama; sama	Kami punya satu tujuan bersama.
够	พอ; เพียงพอ	วันนี้หนาวพอดูเลย	cukup	Hari ini cukup sejuk.	cukup	Hari ini cukup dingin.
购物	การซื้อของ	การซื้อของสามารถชำระเงินออนไลน์ได้	membeli-belah	Belanja boleh dibayar secara dalam talian.	berbelanja	Belanja dapat dibayar secara online.
估计	กะประมาณ; คาดว่า	ฉันคาดว่าพวกเขาน่าจะถึงสนามบินแล้ว	menganggarkan; menyangka	Saya rasa mereka sudah sampai di lapangan terbang.	memperkirakan; menduga	Saya kira mereka sudah tiba di bandara.
鼓励	ให้กำลังใจ; สนับสนุน	พ่อแม่ควรให้กำลังใจลูกมากขึ้น	menggalakkan; memberi dorongan	Ibu bapa patut memberi lebih banyak dorongan kepada anak-anak.	mendorong; memberi semangat	Orang tua seharusnya memberi anak lebih banyak dorongan.
故意	จงใจ; ตั้งใจ	ขอโทษ ฉันไม่ได้ตั้งใจ	sengaja	Maaf, saya tidak sengaja.	sengaja	Maaf, saya tidak sengaja.
顾客	ลูกค้า	จำนวนลูกค้าลดลงหนึ่งในสาม	pelanggan	Jumlah pelanggan berkurang satu pertiga.	pelanggan	Jumlah pelanggan berkurang sepertiga.
挂	แขวน; วางสาย	กรุณาอย่าเพิ่งวางสาย	meletak; menggantung	Tolong jangan letak telefon dahulu.	menggantung; menutup telepon	Tolong jangan tutup telepon dulu.
关键	จุดสำคัญ; กุญแจสำคัญ	นี่ไม่ใช่จุดสำคัญของปัญหา	kunci; perkara penting	Ini bukan perkara penting dalam masalah itu.	kunci; hal penting	Ini bukan inti masalahnya.
观众	ผู้ชม	สวัสดีครับเพื่อนผู้ชมหน้าจอโทรทัศน์ทุกท่าน	penonton	Helo kepada semua penonton di hadapan televisyen.	penonton	Halo, teman-teman penonton di depan televisi.
管理	จัดการ; บริหาร	ตอนนี้ใครเป็นคนจัดการบ้านหลังนี้?	mengurus; mengelola	Siapa yang mengurus rumah ini sekarang?	mengelola; mengurus	Siapa yang mengelola rumah ini sekarang?
光	แสง; ความสว่าง	วันนี้แสงอาทิตย์แรงมาก	cahaya; kecerahan	Cahaya matahari hari ini sangat kuat.	cahaya; kecerahan	Cahaya matahari hari ini sangat kuat.
广播	วิทยุกระจายเสียง; รายการวิทยุ	คุณปู่กำลังฟังวิทยุ	siaran radio; radio	Datuk sedang mendengar radio.	siaran radio; radio	Kakek sedang mendengarkan radio.
广告	โฆษณา	ฉันเห็นโฆษณาของพวกคุณในหนังสือพิมพ์	iklan	Saya melihat iklan anda di surat khabar.	iklan	Saya melihat iklan kalian di koran.
逛	เดินเล่น; เดินดู	สุดสัปดาห์พวกเราไปเดินดูของที่ห้างกันเถอะ	berjalan-jalan; melihat-lihat	Hujung minggu ini mari kita berjalan-jalan di pusat beli-belah.	jalan-jalan; melihat-lihat	Akhir pekan ini kita pergi melihat-lihat di mal, ya.
规定	กฎ; ข้อกำหนด	โรงเรียนมีกฎของตัวเอง	peraturan	Sekolah mempunyai peraturannya sendiri.	peraturan	Sekolah punya peraturannya sendiri.
国籍	สัญชาติ	กรุณากรอกสัญชาติในแบบฟอร์ม	kewarganegaraan	Sila isi kewarganegaraan pada borang.	kewarganegaraan	Silakan isi kewarganegaraan di formulir.
国际	ระหว่างประเทศ; นานาชาติ	นี่คือการประชุมนานาชาติครั้งหนึ่ง	antarabangsa	Ini sebuah persidangan antarabangsa.	internasional	Ini adalah pertemuan internasional.
果汁	น้ำผลไม้	ฉันอยากดื่มน้ำผลไม้หนึ่งแก้ว	jus buah	Saya mahu minum segelas jus buah.	jus buah	Saya ingin minum segelas jus buah.
过程	กระบวนการ; ขั้นตอน	กระบวนการเรียนรู้สำคัญมาก	proses	Proses pembelajaran sangat penting.	proses	Proses belajar sangat penting.
海洋	มหาสมุทร; ทะเล	พื้นที่ส่วนใหญ่ของผิวโลกเป็นมหาสมุทร	lautan; samudera	Sebahagian besar permukaan Bumi ialah lautan.	lautan; samudra	Sebagian besar permukaan Bumi adalah lautan.
害羞	เขินอาย; ขี้อาย	เธอขึ้นเวทีครั้งแรก จึงเขินนิดหน่อย	malu; pemalu	Kali pertama dia naik pentas, dia agak malu.	malu; pemalu	Pertama kali naik panggung, dia agak malu.
寒假	ปิดเทอมฤดูหนาว	ช่วงปิดเทอมฤดูหนาวฉันอยากไปเที่ยวภาคใต้	cuti musim sejuk	Semasa cuti musim sejuk, saya mahu melancong ke selatan.	libur musim dingin	Saat libur musim dingin, saya ingin bepergian ke selatan.
汗	เหงื่อ	ร้อนแล้วใช่ไหม ใช้ผ้าขนหนูเช็ดเหงื่อเถอะ	peluh	Panas, ya? Lap peluh dengan tuala.	keringat	Panas, ya? Pakailah handuk untuk mengelap keringat.
航班	เที่ยวบิน	ยินดีต้อนรับท่านสู่เที่ยวบินนี้	penerbangan	Selamat menaiki penerbangan ini.	penerbangan	Selamat datang di penerbangan ini.
好处	ประโยชน์; ข้อดี	อ่านหนังสือมาก ๆ มีประโยชน์มากมาย	faedah; kebaikan	Banyak membaca mempunyai banyak faedah.	manfaat; keuntungan	Banyak membaca punya banyak manfaat.
好像	ดูเหมือน; ราวกับว่า	ดูเหมือนระหว่างพวกเราจะมีความเข้าใจผิด	seolah-olah; nampaknya	Nampaknya ada salah faham antara kita.	sepertinya; tampaknya	Sepertinya ada kesalahpahaman di antara kita.
号码	หมายเลข	กรุณาให้หมายเลขโทรศัพท์ของคุณกับฉัน	nombor	Sila berikan nombor telefon kamu kepada saya.	nomor	Tolong berikan nomor teleponmu kepada saya.
合格	ได้มาตรฐาน; ผ่านเกณฑ์	คุณภาพของสินค้าชิ้นนี้ได้มาตรฐาน	layak; memenuhi standard	Mutu produk ini memenuhi standard.	memenuhi syarat; sesuai standar	Kualitas produk ini memenuhi standar.
合适	เหมาะสม; พอดี	รองเท้าคู่นี้พอดีมาก	sesuai; cocok	Sepasang kasut ini sangat sesuai.	cocok; sesuai	Sepasang sepatu ini sangat cocok.
盒子	กล่อง	ในกล่องว่างเปล่า ไม่มีอะไรเลย	kotak	Kotak itu kosong, tidak ada apa-apa.	kotak	Kotaknya kosong, tidak ada apa-apa.
厚	หนา	หนังสือเล่มนี้หนามาก	tebal	Buku ini sangat tebal.	tebal	Buku ini sangat tebal.
后悔	เสียใจภายหลัง; รู้สึกเสียดาย	ฉันเสียใจที่ไม่ได้บอกคุณให้เร็วกว่านี้	menyesal	Saya menyesal kerana tidak memberitahu kamu lebih awal.	menyesal	Saya menyesal tidak memberitahumu lebih awal.
互联网	อินเทอร์เน็ต	อินเทอร์เน็ตนำความสะดวกมากมายมาสู่ชีวิตของผู้คน	Internet	Internet telah membawa banyak kemudahan kepada kehidupan orang ramai.	Internet	Internet telah membawa banyak kemudahan bagi kehidupan orang-orang.
互相	ซึ่งกันและกัน	พวกเราสองคนต้องสนับสนุนกันและกัน	saling; antara satu sama lain	Kami berdua perlu saling menyokong.	saling; satu sama lain	Kami berdua harus saling mendukung.
护士	พยาบาล	พยาบาลกำลังฉีดยาให้คนไข้	jururawat	Jururawat sedang memberi suntikan kepada pesakit.	perawat	Perawat sedang memberi pasien suntikan.
怀疑	สงสัย	ฉันสงสัยว่าเขาลืมว่าวันนี้ต้องประชุม	mengesyaki; meragui	Saya mengesyaki dia terlupa bahawa ada mesyuarat hari ini.	mencurigai; meragukan	Saya curiga dia lupa bahwa hari ini ada rapat.
回忆	นึกถึง; ความทรงจำ	พวกเรามักนึกถึงเรื่องตอนเด็ก ๆ	mengingati; kenangan	Kami sering teringat perkara semasa kecil.	mengingat; kenangan	Kami sering mengingat hal-hal dari masa kecil.
活动	ออกกำลังกาย; กิจกรรม	ฉันไปสวนสาธารณะเพื่อขยับร่างกายอยู่พักหนึ่ง	bergerak; aktiviti	Saya pergi ke taman untuk bergerak sebentar.	bergerak; kegiatan	Saya pergi ke taman untuk berolahraga sebentar.
活泼	ร่าเริง; มีชีวิตชีวา	เด็กคนนี้ร่าเริงมาก	lincah; ceria	Kanak-kanak ini sangat ceria.	lincah; ceria	Anak ini sangat ceria.
火	ไฟ	ไฟอันตรายมาก กรุณาระวัง	api	Api sangat berbahaya, sila berhati-hati.	api	Api sangat berbahaya, harap berhati-hati.
获得	ได้รับ; ได้มา	ถึงจะประสบความสำเร็จแล้วก็ไม่ควรภูมิใจเกินไป	memperoleh; mendapat	Walaupun telah memperoleh kejayaan, jangan terlalu sombong.	memperoleh; mendapatkan	Meskipun sudah meraih keberhasilan, jangan terlalu sombong.
基础	พื้นฐาน; รากฐาน	กรุณาแก้ไขเพิ่มเติมบนพื้นฐานเดิมอีกหน่อย	asas; dasar	Sila ubah sedikit lagi berdasarkan asas asal.	dasar; fondasi	Tolong ubah lagi sedikit berdasarkan dasar yang lama.
激动	ตื่นเต้น; สะเทือนใจ	ข่าวนี้น่าตื่นเต้นจริง ๆ	teruja; mengujakan	Berita ini benar-benar mengujakan.	terharu; menggembirakan	Berita ini benar-benar menggugah semangat.
积极	กระตือรือร้น; เชิงบวก	เขาเรียนภาษาจีนอย่างกระตือรือร้น	aktif; positif	Dia sangat aktif belajar bahasa Cina.	aktif; positif	Dia sangat aktif belajar bahasa Mandarin.
积累	สะสม	เขาสะสมประสบการณ์มากมายในการทำงาน	mengumpul; pengumpulan	Dia telah mengumpul banyak pengalaman dalam kerja.	mengumpulkan; akumulasi	Dia telah mengumpulkan banyak pengalaman dalam pekerjaan.
即使	แม้ว่า; ถึงแม้ว่า	แม้จะเจอความยากลำบากก็อย่ายอมแพ้	walaupun; sekalipun	Walaupun menghadapi kesukaran, jangan berputus asa.	meskipun; sekalipun	Meskipun menemui kesulitan, jangan menyerah.
及时	ทันเวลา	ฝนครั้งนี้ตกได้ทันเวลาพอดี	tepat pada masanya	Hujan ini turun tepat pada masanya.	tepat waktu	Hujan kali ini turun tepat waktu.
寄	ส่งทางไปรษณีย์; ส่ง	จดหมายของคุณส่งถึงแล้ว	mengirim; mengepos	Surat kamu sudah dihantar sampai.	mengirim; mengeposkan	Suratmu sudah terkirim.
技术	เทคโนโลยี; เทคนิค	นี่เป็นปัญหาทางเทคนิคที่ซับซ้อนมาก	teknologi; teknik	Ini masalah teknikal yang rumit.	teknologi; teknik	Ini masalah teknis yang kompleks.
既然	ในเมื่อ; เนื่องจาก	ในเมื่อคุณมาแล้ว ก็กินข้าวด้วยกันเถอะ	memandangkan; kerana	Memandangkan kamu sudah datang, mari makan bersama.	karena; mengingat	Karena kamu sudah datang, ayo makan bersama.
继续	ต่อไป; ดำเนินต่อ	เขาแสดงความเต็มใจที่จะทำงานที่บริษัทต่อไป	meneruskan; melanjutkan	Dia menyatakan kesediaan untuk terus bekerja di syarikat itu.	melanjutkan; meneruskan	Dia menyatakan bersedia terus bekerja di perusahaan.
计划	แผน; วางแผน	ฉันเปลี่ยนแผนแล้ว	rancangan; merancang	Saya sudah mengubah rancangan.	rencana; merencanakan	Saya sudah mengubah rencana.
记者	นักข่าว	นักข่าวกำลังสัมภาษณ์ครูใหญ่	wartawan	Wartawan sedang menemu bual pengetua.	wartawan; reporter	Reporter sedang mewawancarai kepala sekolah.
加班	ทำงานล่วงเวลา	สัปดาห์นี้พวกเราแทบจะทำงานล่วงเวลาทุกวัน	bekerja lebih masa	Minggu ini kami bekerja lebih masa hampir setiap hari.	lembur	Minggu ini kami lembur hampir setiap hari.
加油站	ปั๊มน้ำมัน	แถวบ้านคุณมีปั๊มน้ำมันไหม?	stesen minyak	Ada stesen minyak berhampiran rumah kamu?	pom bensin	Apakah ada pom bensin di dekat rumahmu?
家具	เฟอร์นิเจอร์	หลังย้ายบ้าน พวกเราเปลี่ยนเฟอร์นิเจอร์ใหม่	perabot	Selepas berpindah rumah, kami menukar perabot baharu.	perabot	Setelah pindah rumah, kami mengganti perabot baru.
假	ปลอม; เท็จ	ตั๋วใบนี้เป็นของปลอม	palsu	Tiket ini palsu.	palsu	Tiket ini palsu.
价格	ราคา	ตั้งแต่ปีที่แล้ว ราคารถยนต์เริ่มลดลง	harga	Sejak tahun lalu, harga kereta mula menurun.	harga	Sejak tahun lalu, harga mobil mulai turun.
坚持	ยืนหยัด; ยืนยัน	เขายืนหยัดในความเห็นของตัวเองมาตลอด	berpegang teguh; tetap	Dia sentiasa berpegang pada pandangannya sendiri.	bertahan; bersikeras	Dia selalu bersikeras pada pendapatnya sendiri.
减肥	ลดน้ำหนัก	ฉันวิ่งทุกวันเพื่อลดน้ำหนัก	menurunkan berat badan	Saya berlari setiap hari untuk menurunkan berat badan.	menurunkan berat badan	Saya berlari setiap hari untuk menurunkan berat badan.
减少	ลดลง; ลด	จำนวนลูกค้าลดลงหนึ่งในสาม	berkurang; mengurangkan	Jumlah pelanggan berkurang satu pertiga.	berkurang; mengurangi	Jumlah pelanggan berkurang sepertiga.
建议	แนะนำ; เสนอ	ฉันเสนอให้พรุ่งนี้พักหนึ่งวัน	mencadangkan; saranan	Saya cadangkan berehat sehari esok.	menyarankan; saran	Saya menyarankan besok libur satu hari.
将来	อนาคต; ในอนาคต	ในอนาคตคุณวางแผนจะทำงานอะไร?	masa depan; pada masa depan	Pada masa depan, kamu bercadang melakukan kerja apa?	masa depan; kelak	Di masa depan, kamu berencana bekerja sebagai apa?
奖金	โบนัส; เงินรางวัล	ปลายปีพวกเราได้รับโบนัสก้อนหนึ่ง	bonus; wang hadiah	Pada akhir tahun kami menerima sejumlah bonus.	bonus; uang hadiah	Di akhir tahun kami menerima bonus.
降低	ลดลง; ทำให้ลดลง	ฤดูใบไม้ร่วงมาถึงแล้ว อุณหภูมิเริ่มลดลง	menurun; mengurangkan	Musim luruh sudah tiba, suhu mula menurun.	menurun; menurunkan	Musim gugur sudah tiba, suhu mulai turun.
降落	ลงจอด	เครื่องบินกำลังจะลงจอดในไม่ช้า	mendarat	Pesawat akan mendarat sebentar lagi.	mendarat	Pesawat akan segera mendarat.
交	ส่งมอบ; จ่าย; คบหา	ฉันมีเพื่อนชาวจีนมากมาย	menyerahkan; membayar; berkawan	Saya telah mendapat banyak kawan Cina.	menyerahkan; membayar; berteman	Saya sudah punya banyak teman Tiongkok.
交流	แลกเปลี่ยน; การแลกเปลี่ยน	การแลกเปลี่ยนวัฒนธรรมระหว่างประเทศต่าง ๆ มีความหลากหลายมากขึ้นเรื่อย ๆ	pertukaran; bertukar	Pertukaran budaya antara negara semakin kaya.	pertukaran; bertukar	Pertukaran budaya antarnegara semakin kaya.
交通	การคมนาคม; การจราจร	การคมนาคมที่นี่สะดวกมาก	pengangkutan; lalu lintas	Pengangkutan di sini sangat mudah.	transportasi; lalu lintas	Transportasi di sini sangat mudah.
郊区	ชานเมือง	เขาอาศัยอยู่ที่ชานเมือง	pinggir bandar	Dia tinggal di pinggir bandar.	pinggiran kota	Dia tinggal di pinggiran kota.
骄傲	หยิ่ง; ภูมิใจเกินไป	ถึงจะประสบความสำเร็จแล้วก็ไม่ควรหยิ่งเกินไป	sombong; bangga	Walaupun telah berjaya, jangan terlalu sombong.	sombong; bangga	Meskipun sudah berhasil, jangan terlalu sombong.
饺子	เกี๊ยวจีน	ชาวจีนกินเกี๊ยวจีนในช่วงเทศกาลตรุษจีน	jiaozi; ladu Cina	Orang Cina makan jiaozi semasa Tahun Baharu Cina.	pangsit Cina; jiaozi	Orang Tionghoa makan jiaozi saat Tahun Baru Imlek.
教授	ศาสตราจารย์; สอน	เขาเป็นศาสตราจารย์มหาวิทยาลัยคนหนึ่ง	profesor; mengajar	Dia seorang profesor universiti.	profesor; mengajar	Dia adalah seorang profesor universitas.
教育	ให้การศึกษา; การศึกษา	การให้การศึกษาแก่เด็กต้องมีความอดทน	mendidik; pendidikan	Mendidik anak-anak memerlukan kesabaran.	mendidik; pendidikan	Mendidik anak membutuhkan kesabaran.
接受	ยอมรับ; รับ	ความคิดเห็นของคุณฉันยอมรับทั้งหมด	menerima	Saya menerima semua pendapat kamu.	menerima	Saya menerima semua pendapatmu.
接着	ต่อจากนั้น; ต่อไป	เขาคิดอยู่พักหนึ่งแล้วเขียนต่อ	meneruskan; kemudian	Dia berfikir sebentar lalu terus menulis.	melanjutkan; kemudian	Dia berpikir sebentar lalu melanjutkan menulis.
结果	ผล; ผลลัพธ์	คุณดูการแข่งขันไหม ผลเป็นอย่างไร?	keputusan; hasil	Adakah kamu menonton perlawanan itu, bagaimana keputusannya?	hasil; akibat	Apakah kamu menonton pertandingan itu, bagaimana hasilnya?
节	เทศกาล; วันหยุด	วันนี้เป็นเทศกาลอะไร?	perayaan; cuti	Hari ini perayaan apa?	festival; hari libur	Hari ini hari raya apa?
节约	ประหยัด; อนุรักษ์	กรุณาประหยัดน้ำ	berjimat; menjimatkan	Sila jimatkan air.	menghemat; menghematkan	Tolong hemat air.
解释	อธิบาย; คำอธิบาย	เขาอธิบายเหตุผลได้ชัดเจนมาก	menjelaskan; penjelasan	Dia menjelaskan sebabnya dengan sangat jelas.	menjelaskan; penjelasan	Dia menjelaskan alasannya dengan sangat jelas.
尽管	แม้ว่า; ถึงแม้	แม้ว่าฉันจะรู้จักเขามานาน แต่ก็ไม่ได้เข้าใจเขา	walaupun; meskipun	Walaupun saya sudah lama mengenalinya, saya sebenarnya tidak memahaminya.	meskipun; walaupun	Meskipun saya sudah lama mengenalnya, saya sebenarnya tidak memahaminya.
紧张	ประหม่า; ตึงเครียด	การแสดงครั้งแรก เขาประหม่ามาก	gugup; tegang	Pada persembahan pertama, dia sangat gugup.	gugup; tegang	Pada pertunjukan pertama, dia sangat gugup.
禁止	ห้าม	ที่นี่ห้ามสูบบุหรี่	melarang; dilarang	Merokok dilarang di sini.	melarang; dilarang	Di sini dilarang merokok.
进行	ดำเนินอยู่; ดำเนินการ	การแข่งขันยังดำเนินอยู่	berlangsung; menjalankan	Perlawanan masih berlangsung.	berlangsung; melakukan	Pertandingan masih berlangsung.
京剧	งิ้วปักกิ่ง	เธอเป็นนักแสดงงิ้วปักกิ่งที่มีชื่อเสียง	opera Beijing	Dia seorang pelakon opera Beijing yang terkenal.	opera Beijing	Dia adalah aktor opera Beijing yang terkenal.
精彩	ยอดเยี่ยม; น่าตื่นตาตื่นใจ	การแสดงวันนี้ยอดเยี่ยมมาก!	hebat; menakjubkan	Persembahan hari ini sangat hebat!	luar biasa; menarik	Pertunjukan hari ini luar biasa!
经济	เศรษฐกิจ; ทางเศรษฐกิจ	หลายปีมานี้เศรษฐกิจพัฒนาเร็วมาก	ekonomi	Ekonomi berkembang dengan cepat dalam beberapa tahun ini.	ekonomi	Ekonomi berkembang sangat cepat dalam beberapa tahun terakhir.
经历	ประสบการณ์; ผ่านประสบการณ์	เธอเขียนประสบการณ์การเดินทางเป็นบทความ	pengalaman; mengalami	Dia menulis pengalaman perjalanannya menjadi sebuah artikel.	pengalaman; mengalami	Dia menulis pengalaman perjalanannya menjadi sebuah artikel.
经验	ประสบการณ์	เขาเป็นครูที่มีประสบการณ์มาก	pengalaman	Dia seorang guru yang berpengalaman luas.	pengalaman	Dia adalah guru yang berpengalaman.
景色	ทิวทัศน์; วิว	ตอนพระอาทิตย์ตก ทิวทัศน์ริมทะเลสวยมาก	pemandangan	Pemandangan di tepi laut sangat indah ketika matahari terbenam.	pemandangan	Pemandangan tepi laut sangat indah saat matahari terbenam.
警察	ตำรวจ	ตำรวจกำลังทำการสอบสวน	polis	Polis sedang menjalankan siasatan.	polisi	Polisi sedang melakukan penyelidikan.
竞争	แข่งขัน; การแข่งขัน	เขามั่นใจมากและชอบแข่งขันกับคนอื่น	bersaing; persaingan	Dia sangat yakin dan suka bersaing dengan orang lain.	bersaing; persaingan	Dia sangat percaya diri dan suka bersaing dengan orang lain.
竟然	อย่างไม่คาดคิด; ถึงกับ	ฉันคิดไม่ถึงเลยว่าเขาจะเป็นคนแบบนี้โดยไม่คาดคิด	tidak sangka; rupanya	Saya langsung tidak menyangka dia orang seperti ini.	tidak disangka; ternyata	Saya sama sekali tidak menyangka dia orang seperti ini.
镜子	กระจก	ขอโทษ ฉันทำกระจกแตก	cermin	Maaf, saya telah memecahkan cermin.	cermin	Maaf, saya memecahkan cermin.
究竟	กันแน่; จริง ๆ แล้ว	คุณร้องไห้เพราะอะไรกันแน่?	sebenarnya; akhirnya	Sebenarnya mengapa kamu menangis?	sebenarnya; sebetulnya	Sebenarnya mengapa kamu menangis?
举	ยก; ชู; ยกตัวอย่าง	กรุณายกมือตอบคำถาม	mengangkat; memberi contoh	Sila angkat tangan untuk menjawab soalan.	mengangkat; memberi contoh	Silakan angkat tangan untuk menjawab pertanyaan.
举办	จัด; จัดขึ้น	กิจกรรมนี้ให้พวกเราเป็นผู้จัด	mengadakan; menganjurkan	Acara ini dianjurkan oleh kami.	mengadakan; menyelenggarakan	Acara ini diselenggarakan oleh kami.
举行	จัดขึ้น	การประชุมจัดขึ้นตอนสองโมง	mengadakan; berlangsung	Mesyuarat akan diadakan pada pukul dua.	diadakan; berlangsung	Rapat akan diadakan pukul dua.
拒绝	ปฏิเสธ	เขาปฏิเสธคำเชิญของทุกคน	menolak	Dia menolak jemputan semua orang.	menolak	Dia menolak undangan semua orang.
聚会	งานเลี้ยง; การพบปะ	พรุ่งนี้มีงานเลี้ยง คุณอยากเข้าร่วมไหม?	perjumpaan; majlis	Esok ada perjumpaan, kamu mahu sertai?	pesta; kumpul-kumpul	Besok ada acara kumpul-kumpul, kamu mau ikut?
距离	ระยะทาง; ห่างจาก	บ้านของฉันอยู่ไกลจากบริษัทมาก	jarak; berjauhan	Rumah saya jauh dari syarikat.	jarak; berjauhan	Rumah saya jauh dari perusahaan.
开玩笑	ล้อเล่น; พูดเล่น	คุณกำลังล้อเล่นใช่ไหม?	bergurau; berjenaka	Adakah kamu sedang bergurau?	bercanda; bergurau	Kamu sedang bercanda, kan?
开心	มีความสุข; ดีใจ	น้องสาวยิ้มอย่างมีความสุข	gembira; senang	Adik perempuan tersenyum gembira.	senang; bahagia	Adik perempuan tersenyum bahagia.
看法	ความคิดเห็น; มุมมอง	เขายืนหยัดในความคิดเห็นของตัวเองมาตลอด	pandangan; pendapat	Dia sentiasa berpegang pada pandangannya sendiri.	pandangan; pendapat	Dia selalu bersikeras pada pendapatnya sendiri.
烤鸭	เป็ดย่าง	เป็ดย่างปักกิ่งมีชื่อเสียงมาก	itik panggang	Itik panggang Beijing sangat terkenal.	bebek panggang	Bebek panggang Beijing sangat terkenal.
考虑	พิจารณา; คิดให้รอบคอบ	ฉันจะพิจารณาปัญหานี้อย่างจริงจัง	mempertimbangkan	Saya akan mempertimbangkan masalah ini dengan serius.	mempertimbangkan	Saya akan mempertimbangkan masalah ini dengan serius.
棵	ลักษณนามสำหรับต้นไม้	ต้นไม้ต้นนี้ทั้งสูงและใหญ่	penjodoh bilangan untuk pokok	Pokok ini tinggi dan besar.	kata ukur untuk pohon	Pohon ini tinggi dan besar.
科学	วิทยาศาสตร์; ทางวิทยาศาสตร์	เขาเรียนความรู้ทางวิทยาศาสตร์มากมายที่โรงเรียน	sains; saintifik	Dia belajar banyak ilmu sains di sekolah.	sains; ilmiah	Dia mempelajari banyak pengetahuan ilmiah di sekolah.
咳嗽	ไอ	เขาเป็นหวัดและไอหนักมาก	batuk	Dia demam selesema dan batuk dengan teruk.	batuk	Dia masuk angin dan batuk parah.
