simplified	TE	example_TE	KN	example_KN	ML	example_ML
规定	నిబంధన; నియమం	పాఠశాలకు తన స్వంత నిబంధనలు ఉన్నాయి.	ನಿಯಮ; ನಿಯಮಾವಳಿ	ಶಾಲೆಗೆ ತನ್ನದೇ ನಿಯಮಗಳಿವೆ.	നിയമം; ചട്ടം	സ്കൂളിന് സ്വന്തം നിയമങ്ങളുണ്ട്.
国籍	జాతీయత	దయచేసి ఫారమ్‌లో జాతీయతను రాయండి.	ರಾಷ್ಟ್ರೀಯತೆ	ದಯವಿಟ್ಟು ಫಾರ್ಮಿನಲ್ಲಿ ರಾಷ್ಟ್ರೀಯತೆಯನ್ನು ಬರೆಯಿರಿ.	ദേശീയത	ദയവായി ഫോമിൽ ദേശീയത എഴുതൂ.
国际	అంతర్జాతీయ	ఇది ఒక అంతర్జాతీయ సమావేశం.	ಅಂತರರಾಷ್ಟ್ರೀಯ	ಇದು ಒಂದು ಅಂತರರಾಷ್ಟ್ರೀಯ ಸಭೆ.	അന്താരാഷ്ട്ര	ഇത് ഒരു അന്താരാഷ്ട്ര യോഗമാണ്.
果汁	పండ్ల రసం	నాకు ఒక గ్లాసు పండ్ల రసం తాగాలనుంది.	ಹಣ್ಣಿನ ರಸ	ನನಗೆ ಒಂದು ಗ್ಲಾಸ್ ಹಣ್ಣಿನ ರಸ ಕುಡಿಯಬೇಕು.	പഴരസം	എനിക്ക് ഒരു ഗ്ലാസ് പഴരസം കുടിക്കണം.
过程	ప్రక్రియ	చదువుకునే ప్రక్రియ చాలా ముఖ్యమైనది.	ಪ್ರಕ್ರಿಯೆ	ಕಲಿಕೆಯ ಪ್ರಕ್ರಿಯೆ ತುಂಬಾ ಮುಖ್ಯ.	പ്രക്രിയ	പഠനത്തിന്റെ പ്രക്രിയ വളരെ പ്രധാനമാണ്.
海洋	సముద్రం; మహాసముద్రం	భూమి ఉపరితలంలో ఎక్కువ భాగం సముద్రం.	ಸಮುದ್ರ; ಮಹಾಸಾಗರ	ಭೂಮಿಯ ಮೇಲ್ಮೈಯ ಹೆಚ್ಚಿನ ಭಾಗ ಸಮುದ್ರವಾಗಿದೆ.	സമുദ്രം; മഹാസമുദ്രം	ഭൂമിയുടെ ഉപരിതലത്തിന്റെ ഭൂരിഭാഗവും സമുദ്രമാണ്.
害羞	సిగ్గరిపడే; సంకోచించే	ఆమె మొదటిసారి వేదికపైకి వెళ్లింది, కొంచెం సిగ్గుపడింది.	ಲಜ್ಜಾಶೀಲ; ನಾಚಿಕೆಪಡುವ	ಅವಳು ಮೊದಲ ಬಾರಿ ವೇದಿಕೆಗೆ ಹೋದಾಗ ಸ್ವಲ್ಪ ನಾಚಿಕೊಂಡಳು.	ലജ്ജാശീലം; നാണംകുണുങ്ങി	അവൾ ആദ്യമായി വേദിയിലെത്തിയപ്പോൾ അല്പം ലജ്ജിച്ചു.
寒假	శీతాకాల సెలవులు	శీతాకాల సెలవుల్లో నేను దక్షిణానికి ప్రయాణించాలనుకుంటున్నాను.	ಚಳಿಗಾಲದ ರಜೆ	ಚಳಿಗಾಲದ ರಜೆಯಲ್ಲಿ ನಾನು ದಕ್ಷಿಣಕ್ಕೆ ಪ್ರಯಾಣಿಸಲು ಬಯಸುತ್ತೇನೆ.	ശൈത്യകാല അവധി	ശൈത്യകാല അവധിയിൽ തെക്കോട്ടു യാത്ര ചെയ്യാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.
汗	చెమట	వేడిగా ఉందా? తువాలాతో చెమట తుడుచుకో.	ಬೆವರು	ಬಿಸಿಯಾಗಿದೆ ಅಲ್ಲವೇ? ಟವಲ್‌ನಿಂದ ಬೆವರು ತೊಳೆದುಕೋ.	വിയർപ്പ്	ചൂടല്ലേ? തൂവാല കൊണ്ട് വിയർപ്പ് തുടച്ചോളൂ.
航班	విమాన సర్వీస్; ఫ్లైట్	ఈ విమాన సర్వీస్‌లో ప్రయాణిస్తున్నందుకు మీకు స్వాగతం.	ವಿಮಾನ ಸೇವೆ; ಫ್ಲೈಟ್	ಈ ವಿಮಾನ ಸೇವೆಯಲ್ಲಿ ಪ್ರಯಾಣಿಸುತ್ತಿರುವ ನಿಮಗೆ ಸ್ವಾಗತ.	വിമാനസർവീസ്; ഫ്ലൈറ്റ്	ഈ വിമാനസർവീസിലേക്ക് സ്വാഗതം.
好处	లాభం; ప్రయోజనం	ఎక్కువగా చదవడం వల్ల చాలా ప్రయోజనాలు ఉన్నాయి.	ಲಾಭ; ಪ್ರಯೋಜನ	ಹೆಚ್ಚು ಓದುವುದರಿಂದ ಅನೇಕ ಪ್ರಯೋಜನಗಳಿವೆ.	ഗുണം; പ്രയോജനം	കൂടുതൽ വായിക്കുന്നതിന് പല ഗുണങ്ങളുണ്ട്.
好像	అనిపించడం; లాగా ఉండడం	మన ఇద్దరి మధ్య ఏదో అపార్థం ఉన్నట్టుంది.	ಹಾಗೆ ಕಾಣುವುದು; ಅನಿಸುವುದು	ನಮ್ಮಿಬ್ಬರ ನಡುವೆ ಏನೋ ತಪ್ಪು ತಿಳುವಳಿಕೆ ಇರುವಂತೆ ಕಾಣುತ್ತದೆ.	തോന്നുക; പോലെ	നമ്മൾക്കിടയിൽ ഒരു തെറ്റിദ്ധാരണയുണ്ടെന്ന് തോന്നുന്നു.
号码	సంఖ్య; నంబర్	దయచేసి నీ ఫోన్ నంబర్‌ను నాకు ఇవ్వు.	ಸಂಖ್ಯೆ; ನಂಬರ್	ದಯವಿಟ್ಟು ನಿನ್ನ ಫೋನ್ ನಂಬರ್ ನನಗೆ ಕೊಡು.	നമ്പർ; സംഖ്യ	ദയവായി നിന്റെ ഫോൺ നമ്പർ എനിക്ക് തരൂ.
合格	అర్హతగల; ప్రమాణానికి సరిపోవడం	ఈ ఉత్పత్తి నాణ్యత ప్రమాణానికి సరిపోతుంది.	ಅರ್ಹ; ಮಾನದಂಡ ಪೂರೈಸಿದ	ಈ ಉತ್ಪನ್ನದ ಗುಣಮಟ್ಟ ಮಾನದಂಡಕ್ಕೆ ತಕ್ಕಂತಿದೆ.	യോഗ്യമായ; നിലവാരം പാലിക്കുന്ന	ഈ ഉൽപ്പന്നത്തിന്റെ ഗുണനിലവാരം നിലവാരം പാലിക്കുന്നു.
合适	సరిపోయే; అనుకూలమైన	ఈ జత చెప్పులు బాగా సరిపోతాయి.	ಸರಿಯಾದ; ಹೊಂದುವ	ಈ ಜೋಡಿ ಚಪ್ಪಲಿಗಳು ಚೆನ್ನಾಗಿ ಹೊಂದುತ್ತವೆ.	യോജിച്ച; അനുയോജ്യമായ	ഈ ചെരുപ്പ് ജോഡി നന്നായി യോജിക്കുന്നു.
盒子	పెట్టె	పెట్టె ఖాళీగా ఉంది, ఏమీ లేదు.	ಪೆಟ್ಟಿಗೆ	ಪೆಟ್ಟಿಗೆ ಖಾಲಿಯಾಗಿದೆ, ಏನೂ ಇಲ್ಲ.	പെട്ടി	പെട്ടി ശൂന്യമാണ്, ഒന്നുമില്ല.
厚	మందమైన	ఈ పుస్తకం చాలా మందంగా ఉంది.	ದಪ್ಪ	ಈ ಪುಸ್ತಕ ತುಂಬಾ ದಪ್ಪವಾಗಿದೆ.	കട്ടിയുള്ള	ഈ പുസ്തകം വളരെ കട്ടിയുള്ളതാണ്.
后悔	పశ్చాత్తాపపడడం	నీకు ముందుగానే చెప్పకపోవడం మీద నాకు పశ్చాత్తాపం ఉంది.	ಪಶ್ಚಾತ್ತಾಪಪಡುವುದು	ನಿನಗೆ ಮುಂಚೆಯೇ ಹೇಳದಿದ್ದಕ್ಕೆ ನನಗೆ ಪಶ್ಚಾತ್ತಾಪವಿದೆ.	പശ്ചാത്തപിക്കുക	നിനക്കു നേരത്തെ പറയാത്തതിൽ എനിക്ക് പശ്ചാത്താപമുണ്ട്.
互联网	ఇంటర్నెట్	ఇంటర్నెట్ ప్రజల జీవితానికి చాలా సౌకర్యం తీసుకొచ్చింది.	ಇಂಟರ್ನೆಟ್	ಇಂಟರ್ನೆಟ್ ಜನರ ಜೀವನಕ್ಕೆ ಬಹಳಷ್ಟು ಸೌಲಭ್ಯ ತಂದಿದೆ.	ഇന്റർനെറ്റ്	ഇന്റർനെറ്റ് ജനങ്ങളുടെ ജീവിതത്തിൽ വലിയ സൗകര്യം കൊണ്ടുവന്നു.
互相	ఒకరినొకరు; పరస్పరం	మన ఇద్దరం ఒకరినొకరు మద్దతు ఇవ్వాలి.	ಒಬ್ಬರನ್ನೊಬ್ಬರು; ಪರಸ್ಪರ	ನಾವು ಇಬ್ಬರೂ ಒಬ್ಬರನ್ನೊಬ್ಬರು ಬೆಂಬಲಿಸಬೇಕು.	പരസ്പരം; ഒരുമിച്ച്	നമ്മൾ രണ്ടുപേരും പരസ്പരം പിന്തുണയ്ക്കണം.
护士	నర్స్; నర్సు	నర్స్ రోగికి ఇంజెక్షన్ ఇస్తోంది.	ನರ್ಸ್; ಶುಶ್ರೂಷಕಿ	ನರ್ಸ್ ರೋಗಿಗೆ ಇಂಜೆಕ್ಷನ್ ಕೊಡುತ್ತಿದ್ದಾಳೆ.	നഴ്സ്	നഴ്സ് രോഗിക്ക് കുത്തിവെപ്പ് കൊടുക്കുകയാണ്.
怀疑	అనుమానించడం; సందేహం	ఈ రోజు సమావేశం ఉందని అతను మరిచిపోయాడేమో అని నాకు అనుమానం.	ಸಂದೇಹಿಸುವುದು; ಅನುಮಾನ	ಇಂದು ಸಭೆ ಇದೆ ಎಂದು ಅವನು ಮರೆತಿರಬಹುದು ಎಂದು ನನಗೆ ಅನುಮಾನ.	സംശയിക്കുക; സംശയം	ഇന്ന് യോഗമുണ്ടെന്ന് അവൻ മറന്നിരിക്കാമെന്ന് എനിക്ക് സംശയമുണ്ട്.
回忆	గుర్తుచేసుకోవడం; జ్ఞాపకం	మేము తరచూ చిన్నప్పటి విషయాలను గుర్తుచేసుకుంటాం.	ನೆನಪಿಸಿಕೊಳ್ಳುವುದು; ನೆನಪು	ನಾವು ಆಗಾಗ ಬಾಲ್ಯದ ವಿಷಯಗಳನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತೇವೆ.	ഓർക്കുക; ഓർമ്മ	ഞങ്ങൾ പലപ്പോഴും ബാല്യകാല കാര്യങ്ങൾ ഓർക്കാറുണ്ട്.
活动	వ్యాయామం చేయడం; కార్యకలాపం	నేను పార్క్‌కు వెళ్లి కాసేపు శరీరం కదిలించుకున్నాను.	ಚಟುವಟಿಕೆ; ವ್ಯಾಯಾಮ ಮಾಡುವುದು	ನಾನು ಉದ್ಯಾನಕ್ಕೆ ಹೋಗಿ ಸ್ವಲ್ಪ ವ್ಯಾಯಾಮ ಮಾಡಿದೆ.	പ്രവർത്തനം; വ്യായാമം ചെയ്യുക	ഞാൻ പാർക്കിൽ പോയി കുറച്ച് വ്യായാമം ചെയ്തു.
活泼	చురుకైన; ఉల్లాసమైన	ఈ పిల్లవాడు చాలా చురుకుగా ఉన్నాడు.	ಚುರುಕು; ಉತ್ಸಾಹಭರಿತ	ಈ ಮಗು ತುಂಬಾ ಚುರುಕಾಗಿದೆ.	ചുറുചുറുക്കുള്ള; ഉല്ലാസമുള്ള	ഈ കുട്ടി വളരെ ചുറുചുറുക്കുള്ളവനാണ്.
火	అగ్ని; మంట	మంట ప్రమాదకరం, దయచేసి జాగ్రత్తగా ఉండండి.	ಬೆಂಕಿ	ಬೆಂಕಿ ಅಪಾಯಕಾರಿ, ದಯವಿಟ್ಟು ಜಾಗರೂಕರಾಗಿರಿ.	തീ	തീ അപകടകരമാണ്, ദയവായി സൂക്ഷിക്കുക.
获得	పొందడం; సాధించడం	విజయం సాధించినా చాలా గర్వపడకూడదు.	ಪಡೆಯುವುದು; ಸಾಧಿಸುವುದು	ಯಶಸ್ಸು ಪಡೆದರೂ ತುಂಬಾ ಗರ್ವಪಡಬಾರದು.	നേടുക; ലഭിക്കുക	വിജയം നേടിയാലും അതിയായി അഭിമാനിക്കരുത്.
基础	పునాది; ఆధారం	దయచేసి అసలు పునాదిపై ఇంకాస్త మార్చండి.	ಅಡಿಪಾಯ; ಆಧಾರ	ದಯವಿಟ್ಟು ಮೂಲ ಆಧಾರದ ಮೇಲೆ ಇನ್ನೂ ಸ್ವಲ್ಪ ಬದಲಿಸಿ.	അടിസ്ഥാനം; ആധാരം	ദയവായി പഴയ അടിസ്ഥാനത്തിൽ കുറച്ച് കൂടി മാറ്റം വരുത്തൂ.
激动	ఉత్సాహపరిచే; భావోద్వేగంతో కదిలే	ఈ వార్త నిజంగా మనసును ఉత్సాహపరుస్తుంది.	ಉತ್ಸಾಹಭರಿತ; ಭಾವೋದ್ರಿಕ್ತ	ಈ ಸುದ್ದಿ ನಿಜವಾಗಿಯೂ ಮನಸ್ಸು ಉತ್ಸಾಹಗೊಳಿಸುತ್ತದೆ.	ആവേശകരമായ; വികാരഭരിതമായ	ഈ വാർത്ത ശരിക്കും ആവേശകരമാണ്.
积极	చురుకైన; సానుకూలమైన	అతను చైనీస్ నేర్చుకోవడంలో చాలా చురుకుగా ఉంటాడు.	ಚುರುಕು; ಸಕಾರಾತ್ಮಕ	ಅವನು ಚೀನೀ ಕಲಿಕೆಯಲ್ಲಿ ತುಂಬಾ ಚುರುಕಾಗಿದ್ದಾನೆ.	സജീവമായ; അനുകൂലമായ	അവൻ ചൈനീസ് പഠനത്തിൽ വളരെ സജീവമാണ്.
积累	సేకరించడం; కూడబెట్టడం	అతను పనిలో చాలా అనుభవాన్ని సేకరించాడు.	ಸಂಗ್ರಹಿಸುವುದು; ಕೂಡಿಸುವುದು	ಅವನು ಕೆಲಸದಲ್ಲಿ ತುಂಬಾ ಅನುಭವ ಸಂಗ್ರಹಿಸಿದ್ದಾನೆ.	സമാഹരിക്കുക; കെട്ടിച്ചേർക്കുക	അവൻ ജോലിയിൽ വളരെ അനുഭവം സമാഹരിച്ചു.
即使	అయినా; అయినప్పటికీ	కష్టాలు ఎదురైనా వదులుకోవద్దు.	ಆದರೂ; ಆದರೂ ಕೂಡ	ಕಷ್ಟಗಳು ಎದುರಾದರೂ ಬಿಟ್ಟುಕೊಡಬೇಡಿ.	എങ്കിലും; ആയാലും	ബുദ്ധിമുട്ടുകൾ വന്നാലും വിട്ടുകൊടുക്കരുത്.
及时	సమయానికి; ఆలస్యం లేకుండా	ఈ వర్షం సరైన సమయానికి వచ్చింది.	ಸಮಯಕ್ಕೆ; ತಕ್ಷಣ	ಈ ಮಳೆ ಸರಿಯಾದ ಸಮಯಕ್ಕೆ ಬಂತು.	സമയത്ത്; താമസിയാതെ	ഈ മഴ ശരിയായ സമയത്താണ് വന്നത്.
寄	పంపడం; తపాలా చేయడం	నీ లేఖ ఇప్పటికే చేరింది.	ಕಳುಹಿಸುವುದು; ಅಂಚೆ ಹಾಕುವುದು	ನಿನ್ನ ಪತ್ರ ಈಗಾಗಲೇ ತಲುಪಿದೆ.	അയയ്ക്കുക; തപാൽ ചെയ്യുക	നിന്റെ കത്ത് ഇതിനകം എത്തി.
技术	సాంకేతికత; నైపుణ్యం	ఇది ఒక సంక్లిష్ట సాంకేతిక సమస్య.	ತಂತ್ರಜ್ಞಾನ; ತಂತ್ರ; ಕೌಶಲ್ಯ	ಇದು ಒಂದು ಸಂಕೀರ್ಣ ತಾಂತ್ರಿಕ ಸಮಸ್ಯೆ.	സാങ്കേതികവിദ്യ; കഴിവ്	ഇത് ഒരു സങ്കീർണ്ണ സാങ്കേതിക പ്രശ്നമാണ്.
既然	కాబట్టి; ఇప్పటికే అలా అయితే	నువ్వు వచ్చావు కాబట్టి కలిసి భోజనం చేద్దాం.	ಹೀಗಿರುವಾಗ; ಏಕೆಂದರೆ ಈಗಾಗಲೇ	ನೀನು ಬಂದಿರುವುದರಿಂದ ಒಟ್ಟಿಗೆ ಊಟ ಮಾಡೋಣ.	എന്നതിനാൽ; അങ്ങനെ ആണെങ്കിൽ	നീ വന്നതുകൊണ്ട് നമുക്ക് ഒരുമിച്ച് ഭക്ഷണം കഴിക്കാം.
继续	కొనసాగించడం	అతను కంపెనీలో పని కొనసాగించడానికి సిద్ధంగా ఉన్నానని తెలిపాడు.	ಮುಂದುವರಿಸುವುದು	ಅವನು ಕಂಪನಿಯಲ್ಲಿ ಕೆಲಸ ಮುಂದುವರಿಸಲು ಸಿದ್ಧನಿದ್ದೇನೆಂದು ತಿಳಿಸಿದನು.	തുടരുക	കമ്പനിയിൽ ജോലി തുടരാൻ താൻ തയ്യാറാണെന്ന് അവൻ അറിയിച്ചു.
计划	ప్రణాళిక; ప్లాన్	నేను ఇప్పటికే ప్రణాళికను మార్చాను.	ಯೋಜನೆ	ನಾನು ಈಗಾಗಲೇ ಯೋಜನೆಯನ್ನು ಬದಲಿಸಿದ್ದೇನೆ.	പദ്ധതി	ഞാൻ ഇതിനകം പദ്ധതി മാറ്റി.
记者	విలేఖరి; జర్నలిస్టు	విలేఖరి ప్రధానోపాధ్యాయుడిని ఇంటర్వ్యూ చేస్తున్నారు.	ವರದಿಗಾರ; ಪತ್ರಕರ್ತ	ವರದಿಗಾರ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರನ್ನು ಸಂದರ್ಶಿಸುತ್ತಿದ್ದಾನೆ.	റിപ്പോർട്ടർ; മാധ്യമപ്രവർത്തകൻ	റിപ്പോർട്ടർ പ്രിൻസിപ്പലിനെ അഭിമുഖം ചെയ്യുകയാണ്.
加班	అదనపు పని చేయడం	ఈ వారం మేము దాదాపు ప్రతిరోజూ అదనపు పని చేశాము.	ಅತಿಕಾಲ ಕೆಲಸ ಮಾಡುವುದು	ಈ ವಾರ ನಾವು ಬಹುತೇಕ ಪ್ರತಿದಿನ ಅತಿಕಾಲ ಕೆಲಸ ಮಾಡಿದೆವು.	ഓവർടൈം ജോലി ചെയ്യുക	ഈ ആഴ്ച ഞങ്ങൾ ഏകദേശം എല്ലാ ദിവസവും ഓവർടൈം ജോലി ചെയ്തു.
加油站	పెట్రోల్ బంక్; ఇంధన కేంద్రం	నీ ఇంటి దగ్గర పెట్రోల్ బంక్ ఉందా?	ಪೆಟ್ರೋಲ್ ಬಂಕ್; ಇಂಧನ ಕೇಂದ್ರ	ನಿನ್ನ ಮನೆಯ ಹತ್ತಿರ ಪೆಟ್ರೋಲ್ ಬಂಕ್ ಇದೆಯೇ?	പെട്രോൾ പമ്പ്; ഇന്ധന സ്റ്റേഷൻ	നിന്റെ വീട്ടിനടുത്ത് പെട്രോൾ പമ്പുണ്ടോ?
家具	ఫర్నిచర్; గృహోపకరణాలు	ఇల్లు మారిన తర్వాత మేము కొత్త ఫర్నిచర్ మార్చుకున్నాం.	ಪೀಠೋಪಕರಣಗಳು	ಮನೆ ಬದಲಿಸಿದ ನಂತರ ನಾವು ಹೊಸ ಪೀಠೋಪಕರಣಗಳನ್ನು ತಂದೆವು.	ഫർണിച്ചർ	വീട് മാറിയ ശേഷം ഞങ്ങൾ പുതിയ ഫർണിച്ചർ വാങ്ങി.
假	నకిలీ; తప్పుడు	ఈ టికెట్ నకిలీది.	ನಕಲಿ; ಸುಳ್ಳು	ಈ ಟಿಕೆಟ್ ನಕಲಿಯಾಗಿದೆ.	നകലി; വ്യാജം	ഈ ടിക്കറ്റ് വ്യാജമാണ്.
价格	ధర	గత సంవత్సరం నుంచి కార్ల ధర తగ్గుతోంది.	ಬೆಲೆ	ಕಳೆದ ವರ್ಷದಿಂದ ಕಾರುಗಳ ಬೆಲೆ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ.	വില	കഴിഞ്ഞ വർഷം മുതൽ കാറുകളുടെ വില കുറയുന്നു.
坚持	పట్టుదలగా ఉండడం; కొనసాగించడం	అతను ఎప్పుడూ తన అభిప్రాయంపై పట్టుదలగా ఉన్నాడు.	ಹಠ ಹಿಡಿಯುವುದು; ಮುಂದುವರಿಸುವುದು	ಅವನು ಯಾವಾಗಲೂ ತನ್ನ ಅಭಿಪ್ರಾಯದಲ್ಲಿ ಹಠ ಹಿಡಿದಿದ್ದಾನೆ.	ഉറച്ച് നിൽക്കുക; തുടരുക	അവൻ എല്ലായ്പ്പോഴും തന്റെ അഭിപ്രായത്തിൽ ഉറച്ച് നിന്നിട്ടുണ്ട്.
减肥	బరువు తగ్గడం	నేను బరువు తగ్గడానికి ప్రతిరోజూ పరుగెడతాను.	ತೂಕ ಕಡಿಮೆ ಮಾಡುವುದು	ನಾನು ತೂಕ ಕಡಿಮೆ ಮಾಡಲು ಪ್ರತಿದಿನ ಓಡುತ್ತೇನೆ.	ഭാരം കുറയ്ക്കുക	ഭാരം കുറയ്ക്കാൻ ഞാൻ ദിവസവും ഓടുന്നു.
减少	తగ్గడం; తగ్గించడం	కస్టమర్లు మూడవ వంతు తగ్గిపోయారు.	ಕಡಿಮೆಯಾಗುವುದು; ಕಡಿಮೆ ಮಾಡುವುದು	ಗ್ರಾಹಕರು ಮೂರನೇ ಒಂದು ಭಾಗದಷ್ಟು ಕಡಿಮೆಯಾಗಿದ್ದಾರೆ.	കുറയുക; കുറയ്ക്കുക	ഉപഭോക്താക്കൾ മൂന്നിലൊന്ന് കുറഞ്ഞു.
建议	సూచించడం; సలహా	రేపు ఒక రోజు విశ్రాంతి తీసుకోవాలని నేను సూచిస్తున్నాను.	ಸಲಹೆ ನೀಡುವುದು; ಸಲಹೆ	ನಾಳೆ ಒಂದು ದಿನ ವಿಶ್ರಾಂತಿ ತೆಗೆದುಕೊಳ್ಳೋಣ ಎಂದು ನಾನು ಸಲಹೆ ಕೊಡುತ್ತೇನೆ.	നിർദേശിക്കുക; ഉപദേശം	നാളെ ഒരു ദിവസം വിശ്രമിക്കണമെന്ന് ഞാൻ നിർദേശിക്കുന്നു.
将来	భవిష్యత్తు	భవిష్యత్తులో నువ్వు ఏ పని చేయాలని అనుకుంటున్నావు?	ಭವಿಷ್ಯ	ಭವಿಷ್ಯದಲ್ಲಿ ನೀನು ಯಾವ ಕೆಲಸ ಮಾಡಲು ಯೋಚಿಸುತ್ತಿದ್ದೀಯ?	ഭാവി	ഭാവിയിൽ നീ എന്ത് ജോലി ചെയ്യാനാണ് ഉദ്ദേശിക്കുന്നത്?
奖金	బోనస్; బహుమతి డబ్బు	మేము సంవత్సరం చివర్లో ఒక బోనస్ ఇచ్చాము.	ಬೋನಸ್; ಬಹುಮಾನ ಹಣ	ನಾವು ವರ್ಷದ ಕೊನೆಯಲ್ಲಿ ಒಂದು ಬೋನಸ್ ನೀಡಿದೆವು.	ബോണസ്; സമ്മാനത്തുക	വർഷാവസാനത്ത് ഞങ്ങൾ ഒരു ബോണസ് നൽകി.
降低	తగ్గించడం; తగ్గిపోవడం	శరదృతువు వచ్చింది, ఉష్ణోగ్రత తగ్గడం మొదలైంది.	ಕಡಿಮೆ ಮಾಡುವುದು; ಇಳಿಯುವುದು	ಶರದೃತು ಬಂದಿದೆ, ತಾಪಮಾನ ಇಳಿಯಲು ಆರಂಭಿಸಿದೆ.	കുറയ്ക്കുക; താഴുക	ശരത്കാലം വന്നു, താപനില കുറയാൻ തുടങ്ങി.
降落	దిగడం; ల్యాండ్ అవడం	విమానం ఇంకాసేపట్లో దిగబోతోంది.	ಇಳಿಯುವುದು; ಭೂಮಿಗೆ ಇಳಿಯುವುದು	ವಿಮಾನವು ಇನ್ನೇನು ಇಳಿಯಲಿದೆ.	ഇറങ്ങുക; ലാൻഡ് ചെയ്യുക	വിമാനം ഉടൻ ഇറങ്ങും.
交	స్నేహం చేయడం; అప్పగించడం	నేను చాలా మంది చైనా స్నేహితులను సంపాదించుకున్నాను.	ಸ್ನೇಹ ಮಾಡುವುದು; ಒಪ್ಪಿಸುವುದು	ನಾನು ಬಹಳಷ್ಟು ಚೀನೀ ಸ್ನೇಹಿತರನ್ನು ಮಾಡಿಕೊಂಡಿದ್ದೇನೆ.	സുഹൃത്താകുക; സമർപ്പിക്കുക	ഞാൻ നിരവധി ചൈനീസ് സുഹൃത്തുക്കളെ ഉണ്ടാക്കി.
交流	ఆదానప్రదానం; సంభాషణ	దేశాల మధ్య సాంస్కృతిక ఆదానప్రదానం క్రమంగా మరింత సమృద్ధిగా మారుతోంది.	ವಿನಿಮಯ; ಸಂವಹನ	ದೇಶಗಳ ನಡುವಿನ ಸಾಂಸ್ಕೃತಿಕ ವಿನಿಮಯ ಕ್ರಮೇಣ ಹೆಚ್ಚು ಸಮೃದ್ಧವಾಗುತ್ತಿದೆ.	വിനിമയം; ആശയവിനിമയം	രാജ്യങ്ങൾക്കിടയിലെ സാംസ്കാരിക വിനിമയം കൂടുതൽ സമൃദ്ധമാകുന്നു.
交通	రవాణా; ట్రాఫిక్	ఇక్కడ రవాణా చాలా సౌకర్యంగా ఉంది.	ಸಾರಿಗೆ; ಸಂಚಾರ	ಇಲ್ಲಿನ ಸಾರಿಗೆ ತುಂಬಾ ಅನುಕೂಲಕರವಾಗಿದೆ.	ഗതാഗതം; യാത്രാസൗകര്യം	ഇവിടത്തെ ഗതാഗതം വളരെ സൗകര്യപ്രദമാണ്.
郊区	పట్టణ పరిసర ప్రాంతం; శివారు	అతను నగర శివారులో ఉంటాడు.	ನಗರ ಹೊರವಲಯ; ಉಪನಗರ	ಅವನು ನಗರದ ಹೊರವಲಯದಲ್ಲಿ ವಾಸಿಸುತ್ತಾನೆ.	നഗരപ്രാന്തം; പരിസരം	അവൻ നഗരത്തിന്റെ പരിസരപ്രദേശത്താണ് താമസിക്കുന്നത്.
骄傲	అహంకారంగా; గర్వంగా	విజయం సాధించినా చాలా అహంకారంగా ఉండకూడదు.	ಅಹಂಕಾರಿ; ಗರ್ವಿಷ್ಠ	ಯಶಸ್ಸು ಪಡೆದರೂ ತುಂಬಾ ಅಹಂಕಾರಿಯಾಗಬಾರದು.	അഹങ്കാരമുള്ള; അതിയായി അഭിമാനിക്കുന്ന	വിജയം നേടിയാലും അതിയായി അഹങ്കരിക്കരുത്.
饺子	డంప్లింగ్; జియావ్‌జి	చైనీయులు వసంతోత్సవంలో జియావ్‌జి తింటారు.	ಡಂಪ್ಲಿಂಗ್; ಜಿಯಾವ್‌ಜಿ	ಚೀನೀಯರು ವಸಂತೋತ್ಸವದಲ್ಲಿ ಜಿಯಾವ್‌ಜಿ ತಿನ್ನುತ್ತಾರೆ.	ഡംപ്ലിംഗ്; ജിയാവ്‌സി	ചൈനീസ് ആളുകൾ വസന്തോത്സവത്തിൽ ജിയാവ്‌സി കഴിക്കും.
教授	ప్రొఫెసర్	అతను ఒక విశ్వవిద్యాలయ ప్రొఫెసర్.	ಪ್ರಾಧ್ಯಾಪಕ; ಪ್ರೊಫೆಸರ್	ಅವರು ಒಬ್ಬ ವಿಶ್ವವಿದ್ಯಾಲಯದ ಪ್ರಾಧ್ಯಾಪಕ.	പ്രൊഫസർ	അവൻ സർവകലാശാലയിലെ ഒരു പ്രൊഫസറാണ്.
教育	విద్య; బోధించడం; విద్యాబోధన	పిల్లలకు బోధించడానికి సహనం అవసరం.	ಶಿಕ್ಷಣ; ಬೋಧಿಸುವುದು	ಮಕ್ಕಳಿಗೆ ಶಿಕ್ಷಣ ನೀಡಲು ಸಹನೆ ಬೇಕು.	വിദ്യാഭ്യാസം; പഠിപ്പിക്കുക	കുട്ടികളെ പഠിപ്പിക്കുമ്പോൾ ക്ഷമ വേണം.
