simplified	TL	example_TL
导航	nabigasyon	Pakibuksan ang nabigasyon sa telepono.
导向	nakatuon sa	Dapat nakatuon sa katarungan ang patakaran sa edukasyon.
捣乱	gumulo	Huwag gumawa ng gulo sa klase.
盗窃	pagnanakaw	Pinaigting ng mall ang mga hakbang laban sa pagnanakaw.
稻谷	palay	Anihan na ng palay ang mga magsasaka.
得不偿失	hindi sulit	Hindi sulit bumili ng mahinang materyales para makatipid.
得力	mahusay at maaasahan	Mahusay at maaasahan siyang katulong ng manager.
得天独厚	natatanging bentahe	May natatanging heograpikong bentahe ang lungsod na ito.
得罪	makasakit ng loob	Ayaw kong makasakit ng loob ng kasamahan dahil sa maliit na bagay.
灯笼	parol	May nakasabit na pulang parol sa pintuan tuwing Spring Festival.
登录	mag-login	Paki-login muna sa iyong account.
登陆	dumaong; tumama sa lupa	Maaaring tumama sa baybayin ang bagyo ngayong gabi.
蹬	tumapak nang malakas	Tumapak siya nang malakas at umandar ang bisikleta.
等候	maghintay	Naghihintay sa bulwagan ang mga pasahero para sumakay.
等级	antas	May iba't ibang antas ng membership ang software na ito.
瞪	tumitig nang masama	Tinitigan niya ako nang masama dahil galit siya.
堤坝	dike	Kailangang suriing mabuti ang dike pagkatapos ng malakas na ulan.
敌视	maging mapoot	Hindi dapat maging mapoot sa magkaibang opinyon.
抵达	dumating	Dumating sa Beijing sa oras ang eroplano.
抵抗	labanan	Sama-samang nilabanan ng mga taganayon ang baha.
抵制	boikotin	Nagsimulang boikotin ng mga mamimili ang mababang kalidad na produkto.
地步	kalagayan	Hindi pa umabot sa ganoong kalubhang kalagayan ang bagay.
地势	anyo ng lupa	Mas mataas ang anyo ng lupa rito kaya hindi madaling maipon ang tubig.
地质	heolohiya	Sinusuri ng mga eksperto ang lokal na kalagayang heolohikal.
递增	paunti-unting tumaas	Tatlong magkakasunod na buwan na tumaas ang benta.
颠簸	maalog	Maalog ang daan sa bundok kaya mag-ingat sa pagmamaneho.
颠倒	baliktarin	Binaliktad mo ang pagkakasunod ng dalawang numero.
典礼	seremonya	Gaganapin ang seremonya ng pagtatapos sa auditorium.
典型	karaniwang halimbawa	Ito ay karaniwang halimbawa ng tagumpay.
点缀	palamutian	Pinalamutian ng ilang maliliit na bulaklak ang hapag-kainan.
垫	sapin	Pakiilagay ang papel na ito bilang sapin sa ilalim ng tasa.
奠定	ilatag ang pundasyon	Inilatag ng kooperasyong ito ang pundasyon ng pangmatagalang relasyon.
惦记	maalala nang may pag-aalala	Palaging inaalala ng ina ang anak na nasa malayo.
电源	kuryente	Pakipatay ang kuryente bago umalis.
叼	kagatin sa bibig	May kagat na buto sa bibig ang asong iyon.
雕刻	ukitin	Mahilig siyang umukit ng disenyo sa kahoy.
雕塑	eskultura	May eskultura sa gitna ng plaza.
吊	iangat	Gumamit ang mga manggagawa ng makina upang iangat ang bakal na biga.
调动	ilipat	Inilipat siya ng kumpanya upang magtrabaho sa Shanghai.
跌	bumagsak	Bumagsak na naman ang presyo ng stock ngayon.
丁	kubyertos na hiwa	Nakasulat sa recipe na hiwain ang patatas nang kubo.
叮嘱	paalalahanan nang paulit-ulit	Paulit-ulit kaming pinaalalahanan ng guro na mag-ingat.
盯	titigan	Pakiusap, huwag titigan nang tuloy-tuloy ang iba.
定期	regular	Pinayuhan siya ng doktor na regular na magpa-checkup.
定义	depinisyon	Pakipaliwanag muna ang depinisyon ng konseptong ito.
丢人	nakakahiya	Nakakahiya talagang magsinungaling sa harap ng tao.
丢三落四	makakalimutin	Palagi siyang makakalimutin at madalas maiwan ang susi kapag lumalabas.
东道主	host	Bilang host, dapat naming alagaan nang mabuti ang mga bisita.
东张西望	lingon nang lingon	Huwag lingon nang lingon habang nasa klase.
董事长	tagapangulo ng lupon	Dumalo ngayon sa pulong ang tagapangulo ng lupon.
冻结	i-freeze	Pansamantalang ni-freeze ng bangko ang account na ito.
动荡	kaguluhan	Matagal na ginulo ng digmaan ang rehiyong ito.
动机	motibo	Iniinbestigahan ng pulisya ang kanyang motibo.
动静	ingay o galaw	Walang kahit kaunting ingay o galaw sa loob ng bahay.
动力	motibasyon	Ang interes ang motibasyon sa pag-aaral.
动脉	arterya	Sinuri ng doktor ang kanyang arterya.
动身	umalis	Bukas ng madaling araw kami aalis papuntang paliparan.
动手	magsimula ng suntukan	Hindi pa malinaw ang pangyayari, kaya walang dapat magsimula ng suntukan.
动态	kasalukuyang takbo	Pakibantayan palagi ang kasalukuyang takbo ng proyekto.
动员	pakilusin	Pinakilos ng paaralan ang mga estudyante na sumali sa boluntaryong gawain.
栋	gusali	May dalawampung palapag ang gusaling ito.
兜	bulsa	Inilagay niya ang susi sa bulsa ng amerikana.
陡峭	matarik	Napakamatarik ng daang ito sa bundok.
斗争	pakikibaka	Nakikibaka sila upang protektahan ang kapaligiran.
督促	himukin	Hinimok ng manager ang lahat na tapusin ang gawain sa oras.
毒品	narkotiko	Nasamsam ng customs ang isang pangkat ng narkotiko.
独裁	diktadura	Tinututulan ng mga tao ang diktadurang pamamahala.
堵塞	barahan	Binarahan ng basura ang kanal.
赌博	sugal	Maaaring magdulot ng seryosong bunga ang sugal.
杜绝	wakasan	Inaatas ng kumpanya na wakasan ang pag-aaksaya.
端	bitbitin	Pumasok siya na may bitbit na isang tasa ng mainit na tsaa.
端午节	Dragon Boat Festival	Kumakain kami ng zongzi tuwing Dragon Boat Festival.
端正	ituwid	Dapat ituwid ng mga estudyante ang saloobin sa pag-aaral.
短促	maikli	Nagpakawala siya ng maikling buntong-hininga.
断定	matukoy	Hindi pa matukoy ngayon kung sino ang tama o mali.
断绝	maputol	Matapos ang aksidente, naputol ang ugnayan ng nayon sa labas.
堆积	maipon	Naipon ang niyebe sa tabi ng daan.
兑现	tuparin	Sa wakas tinupad niya ang pangako.
对策	hakbang sa pagtugon	Kailangan natin ng mga hakbang sa pagtugon sa panganib.
对称	simetriko	Simetriko ang kaliwa at kanan ng gusaling ito.
对付	harapin	Hindi madaling harapin ang problemang ito.
对抗	magharap	Maghaharap sa final ang dalawang koponan.
对立	magkasalungat	Ganap na magkasalungat ang posisyon ng dalawang panig.
对联	couplet	Nagdidikit sila ng couplet sa pintuan tuwing Spring Festival.
对应	tumutugma	Tumutugma ang bawat numero sa isang upuan.
对照	ihambing	Pakihambing ang salin sa orihinal na teksto.
队伍	prusisyon	Dahan-dahang umuusad ang prusisyon.
顿时	kaagad	Pagkarinig ng balita, kaagad siyang natigilan.
哆嗦	manginig	Sobrang lamig kaya tuloy-tuloy siyang nanginginig.
多元化	diversipikasyon	Itinutulak ng kumpanya ang diversipikasyon ng negosyo.
堕落	mabulok ang asal	Ayaw niyang hayaang patuloy na mabulok ang kanyang asal.
额外	karagdagang	Kailangan ng karagdagang bayad para sa serbisyong ito.
恶心	masuka	Nang maamoy ko iyon, medyo nasuka ako.
恶化	lumala	Kung hindi gagamutin, maaaring lumala ang sakit.
遏制	pigilin	Gumawa ng hakbang ang pamahalaan upang pigilin ang polusyon.
恩怨	alitan	Matagal na ang alitan ng dalawang kumpanya.
而已	lang	Nagsabi lang naman ako nang kaswal.
二氧化碳	carbon dioxide	Sumisipsip ng carbon dioxide ang mga halaman.
发布	ilabas	Ilalabas ng kumpanya ang bagong produkto bukas.
发财	yumaman	Umaasa siyang yumaman sa pamamagitan ng pagsisikap.
发呆	tulala	Nakaupo siya sa tabi ng bintana na tulala.
发动	pakilusin	Pinakilos ng mga boluntaryo ang mga residente na linisin ang kalye.
发觉	mapansin	Napansin kong medyo kinakabahan siya ngayon.
发射	ilunsad	Ilulunsad ang rocket sa gabi.
发誓	sumumpa	Sumumpa siyang hindi na muling magsisinungaling.
发行	ipalabas	Ipapalabas ang pelikulang ito sa susunod na buwan.
发炎	mamamaga	Medyo namamaga ang sugat.
发扬	itaguyod	Dapat nating itaguyod ang diwa ng pagtutulungan.
发育	pag-unlad ng katawan	Kailangan ng sapat na nutrisyon para sa pag-unlad ng katawan ng bata.
法人	legal na entidad	Ang kumpanyang ito ay isang hiwalay na legal na entidad.
番	mga salitang ito	Marami akong natutunan sa mga salitang ito.
凡是	sinuman	Sinuman ang nagparehistro ay dapat dumalo sa pagsasanay.
繁华	masigla at matao	Dati ay napakasigla at matao ng kalyeng ito.
繁忙	abala	Lalo pang abala ang paliparan tuwing bakasyon.
繁体字	tradisyonal na karakter	Madalas gamitin sa Taiwan ang tradisyonal na karakter.
繁殖	magparami	Madaling magparami ang halamang ito.
反驳	pabulaanan	Pinabulaanan niya ang pananaw na ito gamit ang datos.
反常	di-karaniwan	Medyo di-karaniwan ang panahon ngayon.
反感	ayawan	Ayaw na ayaw ko sa ganitong uri ng patalastas.
反抗	lumaban	Nagsimulang lumaban ang mga tao sa di-makatarungang tuntunin.
反馈	feedback	Ayon sa feedback ng mga customer, matatag ang sistema.
反面	kabilang panig	Pakibalik ang papel sa kabilang panig.
反射	sumalamin	Nagsasalamin ng liwanag ang salamin.
反思	pagnilayan	Matapos mabigo, seryoso niyang pinagnilayan ang dahilan.
反问	tanungin pabalik	Hindi siya sumagot at tinanong niya ako pabalik.
反之	kabaligtaran	Ang sobrang taas na presyo ay nagpapababa ng demand, at gayon din ang kabaligtaran.
泛滥	umapaw	Nagpaapaw sa ilog ang malakas na ulan.
范畴	kategorya	Nabibilang sa legal na kategorya ang isyung ito.
贩卖	magbenta nang ilegal	Ipinagbabawal ng batas ang pagbebenta ng pekeng gamot.
方位	direksiyon	Nakalagay sa mapa ang eksaktong direksiyon.
方言	diyalekto	Naiintindihan niya ang lokal na diyalekto.
方圆	saklaw	Walang ospital sa saklaw na sampung kilometro.
方针	patakaran	Nagtakda ang kumpanya ng bagong patakaran sa pag-unlad.
防守	depensa	Matatag ang depensa ng koponang ito.
防御	pagtatanggol	Dati ginamit ang pader ng lungsod para sa pagtatanggol laban sa kaaway.
防止	maiwasan	Pakisuot ang seat belt upang maiwasan ang pinsala.
防治	pag-iwas at paggamot	Ipinaliwanag ng doktor ang mga paraan ng pag-iwas at paggamot sa sakit.
纺织	tela at paghahabi	Kilala ang lungsod na ito sa industriya ng tela at paghahabi.
访问	bisitahin	Bukas bibisitahin ng reporter ang manunulat na ito.
放大	palakihin	Pakipalakihin nang kaunti ang larawan.
放射	maglabas ng init	Naglalabas ng init ang materyal na ito.
非法	ilegal	Parurusahan ang ilegal na transaksiyon.
飞禽走兽	mga ibon at hayop	Nakatira sa kagubatan ang sari-saring ibon at hayop.
飞翔	lumipad	Lumilipad ang mga seagull sa ibabaw ng dagat.
飞跃	malaking paglukso	Nakamit ng pag-unlad ng teknolohiya ang malaking paglukso.
肥沃	mayabong	Napakayabong ng lupang ito.
诽谤	paninirang-puri	May legal na pananagutan ang paninirang-puri sa iba.
废除	ipawalang-bisa	Naipawalang-bisa na ang lumang tuntuning ito.
废寝忘食	malimutan ang tulog at pagkain	Nalimutan niya ang tulog at pagkain dahil sa pananaliksik.
废墟	guho	Pagkatapos ng lindol, naging guho ang lugar na iyon.
沸腾	kumulo	Kumulo na ang tubig.
肺	baga	Maaaring makasira sa baga ang paninigarilyo.
分辨	matukoy	Mahirap para sa akin na matukoy ang dalawang kulay na ito.
分寸	tamang hangganan	Kahit nagbibiro, dapat alam ang tamang hangganan.
分红	dibidendo	Makakatanggap ng dibidendo ang mga shareholder sa katapusan ng taon.
分解	hatiin-hatiin	Hinati-hati ng guro ang komplikadong problema sa ilang hakbang.
分裂	mahati	Nagdulot ng pagkakahati ng organisasyon ang panloob na tunggalian.
分泌	magsekreto	Nagsesekreto ng hormone ang ganitong uri ng glandula.
分明	malinaw	Malinaw na malinaw na ang mga katotohanan.
分歧	di-pagkakasundo	May di-pagkakasundo ang dalawang panig sa presyo.
分散	ikalat	Pakiikalat ang panganib sa iba't ibang proyekto.
吩咐	utusan	Inutusan ako ng boss na ayusin ang mga dokumento.
坟墓	libingan	May lumang libingan sa dalisdis ng bundok.
粉末	pulbos	Pakigiling ang tableta hanggang maging pulbos.
粉色	rosas na kulay	Bumili siya ng rosas na scarf.
粉碎	wasakin	Nawasak ng pulisya ang grupong kriminal na ito.
分量	bigat	May malaking bigat ang pangungusap na ito.
愤怒	galit	Puno ng galit ang tono niya.
丰满	mayaman ang laman	Hindi pa sapat na mayaman ang laman ng artikulong ito.
丰盛	masagana	Naghanda sila ng masaganang hapunan.
丰收	masaganang ani	Nagkaroon ng masaganang ani ang mga magsasaka ngayong taon.
封闭	isara	Isasara ang daang ito habang may konstruksyon.
封建	pyudal	Dapat matagal nang nabago ang ganitong pyudal na kaisipan.
封锁	isarado ng pulisya	Isinara ng pulisya ang lugar ng aksidente.
锋利	matalim	Napakatulis ng kutsilyong ito.
风暴	bagyo	Biglang nagkaroon ng bagyo sa dagat.
风度	makisig ang kilos	Makisig ang kilos niya sa entablado.
风光	tanawin	Maganda ang likas na tanawin dito.
风气	kapaligiran	Nabuo sa paaralan ang mabuting kapaligiran sa pag-aaral.
风趣	may katatawanan	May katatawanan siyang magsalita.
风土人情	lokal na kaugalian	Natutulungan ng paglalakbay na maunawaan ang lokal na kaugalian.
风味	lokal na lasa	May matinding lokal na lasa ang tindahang ito.
逢	tuwing	Tuwing katapusan ng linggo, masigla ang parke.
奉献	ialay	Maraming oras ang inialay ng doktor sa mga pasyente.
否决	tanggihan	Tinanggihan ng board ang panukalang ito.
夫妇	mag-asawa	Ang mag-asawang ito ay nagpapatakbo ng maliit na tindahan.
夫人	asawa	Dumalo si Ginoong Wang at ang kanyang asawa sa salu-salo.
敷衍	palusot lamang	Ilang palusot lamang ang isinagot niya.
俘虏	bihag	Matapos ang digmaan, pinalaya ang mga bihag.
幅度	laki	Malaki ang laki ng pagbaba ng presyo ngayon.
服从	sumunod	Kailangang sumunod ang mga sundalo sa utos.
服气	tanggapin	Natalo siya sa laban, pero hindi niya ito matanggap.
福利	benepisyo	Pinapahalagahan ng mga empleyado ang benepisyo ng kumpanya.
福气	suwerte	Suwerte niya na nakatagpo siya ng mabuting guro.
符号	simbolo	Ang simbolong ito ay kumakatawan sa panganib.
辐射	radyasyon	Pinaalalahanan siya ng doktor na lumayo sa malakas na radyasyon.
俯视	tumingin mula sa itaas	Mula sa tuktok ng bundok, matatanaw mula sa itaas ang buong lungsod.
抚摸	haplusin	Dahan-dahan niyang hinaplos ang ulo ng bata.
抚养	palakihin	Tumulong ang mga lolo't lola na palakihin ang bata.
腐败	korapsyon	Lumalaban ang pamahalaan sa korapsyon.
腐烂	mabulok	Mabubulok ang prutas kapag naiwan nang masyadong matagal.
腐蚀	kalawangin ng asido	Maaaring kalawangin ng asido ang ibabaw ng metal.
腐朽	bulok	Pinuna nila ang bulok na sistema.
辅助	tumulong	Maaaring tumulong sa pagtuturo ang kasangkapang ito.
副	pangalawa	Itinalaga siya bilang pangalawang manager.
复活	muling buhayin	Muling binubuhay ang tradisyonal na pistang ito.
复兴	muling pag-usbong	Kailangan ng pangmatagalang pagsisikap ang muling pag-usbong ng kultura.
富裕	may kaya	Palaki nang palaki ang yaman ng nayong ito ngayon.
腹泻	pagtatae	Matindi ang pagtatae niya at kailangan niyang magpatingin sa doktor.
覆盖	takpan	Tinakpan ng makapal na niyebe ang buong lambak.
负担	pasanin	Naging pangunahing pasanin niya ang upa.
赋予	igawad	Iginagawad ng batas ang pangunahing karapatan sa mamamayan.
附和	sumasang-ayon lang	Wala siyang sariling paninindigan at sumasang-ayon lang sa iba.
附件	attachment	Pakisuri ang attachment sa email.
附属	kaakibat	Ang ospital na ito ay kaakibat ng unibersidad.
改良	pagbutihin	Pinapabuti ng mga eksperto ang uring ito ng palay.
盖章	tatakan ng selyo	Pagkatapos pirmahan ang kontrata, kailangan itong tatakan ng selyo.
钙	kalsiyum	Mayaman sa kalsiyum ang gatas.
尴尬	awkward	Nagkaroon ng awkward na katahimikan sa pulong.
干旱	tagtuyot	Naapektuhan ng matagal na tagtuyot ang mga pananim.
干扰	gambalain	Nakagagambala sa trabaho ko ang ingay.
干涉	manghimasok	Hindi dapat masyadong manghimasok ang mga magulang sa pagpili ng anak.
干预	mamagitan	Namagitan agad ang pamahalaan sa panganib sa merkado.
感慨	madamdamin	Nang makita ang lumang mga larawan, naging madamdamin siya.
感染	mahawa	Madaling makahawa sa mga bata ang virus na ito.
干劲	sigasig	May malaking sigasig ang lahat sa trabaho.
扛	buhatin	Ayon sa alamat, napakalakas niya at kaya niyang buhatin ang mabigat na kaldero.
纲领	programang gabay	Pinagtibay ng pulong ang bagong programang gabay sa pagkilos.
岗位	posisyon	Mabilis siyang nakaangkop sa bagong posisyon.
港口	daungan	Dumaong ang barkong pangkargamento sa daungan.
港湾	look	Pumasok ang maliit na bangka sa tahimik na look.
杠杆	leverage	Gumamit ng mataas na leverage ang pamumuhunang ito.
高超	napakahusay	Napakahusay ng kasanayan niya sa pag-aayos ng kotse.
高潮	rurok	Umabot sa rurok ang laban sa huling sampung minuto.
高峰	oras ng kasagsagan	Alas otso ng umaga ang oras ng kasagsagan ng trapiko.
高明	napakatalino	Talagang napakatalino ng paraang ito.
高尚	marangal	Marangal ang propesyonal na diwa ng doktor.
高涨	tumaas nang tumaas	Tumaas nang tumaas ang sigla ng mga manonood.
稿件	manuskrito	Inirerebisa ng editor ang manuskrito.
告辞	magpaalam	Gabi na, kaya magpapaalam na muna kami.
告诫	balaan	Binalaan ng guro ang mga estudyante na huwag mandaya.
割	hiwain	Di-sinasadyang nahiwa niya ang daliri.
搁	ilagay	Pakiilagay ang mga dokumento sa mesa.
歌颂	purihin	Pinupuri ng tulang ito ang mga manggagawa.
疙瘩	bukol	May lumitaw na bukol sa braso niya.
鸽子	kalapati	Maraming kalapati sa plaza.
格局	ayos	Makatwiran ang ayos ng apartment na ito.
格式	format	Pakisagutan ang form ayon sa itinakdang format.
隔阂	agwat	Pinalalim ng hindi pagkakaunawaan ang agwat nila.
隔离	ihiwalay	Kailangang pansamantalang ihiwalay ang pasyente.
革命	rebolusyon	Binago ng rebolusyong ito ang kapalaran ng bansa.
个体	indibidwal	May iba't ibang pangangailangan ang bawat indibidwal.
各抒己见	magpahayag ng sariling opinyon	Sa pulong, nagpahayag ang lahat ng sariling opinyon.
根深蒂固	malalim ang ugat	Malalim na ang ugat ng pananaw na ito.
根源	ugat	Komplikado ang mga ugat ng kahirapan.
跟前	harap	Tumakbo ang bata sa harap ng kanyang ina.
跟随	sumunod	Sumunod ang reporter sa pangkat papasok sa kabundukan.
跟踪	subaybayan	Subaybayan ng pulisya ang galaw ng suspek.
更新	i-update	Awtomatikong mag-a-update ang sistema ngayong gabi.
更正	itama	Itinama ng pahayagan ang pagkakamali kinabukasan.
耕地	araruhin	Inaararo ng mga magsasaka ang bukid sa tagsibol.
供不应求	kulang ang suplay	Kasalukuyang kulang ang suplay ng gamot na ito.
供给	suplay	Kailangan ng lungsod ang matatag na suplay ng tubig at kuryente.
公安局	kawanihan ng pampublikong seguridad	Pumunta siya sa kawanihan ng pampublikong seguridad para mag-ulat ng kaso.
公道	makatarungan	Nais ng lahat na makatanggap ng makatarungang paghawak.
公告	anunsiyo	Naglabas ang paaralan ng anunsiyo ng suspensiyon ng klase.
公关	ugnayang pampubliko; relasyong pampubliko	Kumuha ang kumpanya ng propesyonal na pangkat para sa ugnayang pampubliko.
公民	mamamayan	Dapat sumunod sa batas ang bawat mamamayan.
公然	hayagan	Hayagan niyang nilabag ang mga tuntunin ng kompetisyon.
公认	kinikilala	Kinikilala siya bilang mahusay na guro.
公式	pormula	Pakisulat ang pormulang matematika na ito.
公务	opisyal na tungkulin	Nag-business trip siya nang tatlong araw dahil sa opisyal na tungkulin.
公正	makatarungan	Dapat manatiling makatarungan ang hukom.
公证	notarisasyon	Kailangan ng notarisasyon ang dokumentong ito.
功劳	ambag	May ambag ang lahat sa tagumpay na ito.
功效	bisa	Kailangan pang patunayan ang bisa ng gamot na ito.
宫殿	palasyo	Binisita ng mga turista ang sinaunang palasyo.
工艺品	handicraft	Gawa sa kamay ang handicraft na ito.
恭敬	magalang	Magalang niyang binati ang matanda.
攻击	atake	Inatake ng mga hacker ang website ng kumpanya.
攻克	malutas	Nalutas ng research team ang teknikal na suliranin.
巩固	pagtibayin	Nakakatulong ang pagrerepaso na pagtibayin ang natutuhan.
共和国	republika	Itinatag ang republikang ito noong nakaraang siglo.
共计	kabuuan	Ang batch ng mga kalakal na ito ay kabuuang tatlong daang kahon.
共鸣	umalingawngaw sa damdamin	Umalingawngaw sa damdamin ng maraming tao ang kantang ito.
勾结	makipagsabwatan	Nakipagsabwatan sila sa mga taga-labas upang mandaya ng pondo.
钩子	kawit	May ilang kawit na nakasabit sa dingding.
构思	bumuo ng plano	Bumubuo ng plano ang manunulat para sa bagong nobela.
姑且	pansamantala	Subukan muna natin pansamantala ang planong ito nang isang linggo.
孤独	malungkot at nag-iisa	Matapos lumipat sa bagong lungsod, naramdaman niyang malungkot siya at nag-iisa.
孤立	hiwalay	Huwag tingnan ang problemang ito nang hiwalay.
辜负	biguin	Ayaw kong biguin ang inaasahan ng aking mga magulang.
古董	antigo	Nakakolekta si lolo ng ilang antigong bagay.
古怪	kakaiba	Medyo kakaiba ang ideya niya.
股东	shareholder	Gaganapin sa susunod na linggo ang pulong ng mga shareholder.
股份	shares	May hawak siyang shares sa kumpanya.
骨干	pangunahing lakas	Ang mga inhinyerong ito ang pangunahing lakas ng pangkat.
鼓动	sulsulan	May nagsulsol sa mga tao na magprotesta.
固然	totoo ngang	Totoo ngang simple ang paraang ito, pero hindi maliit ang panganib.
固体	solido	Ang yelo ay solidong anyo ng tubig.
固有	likas	May likas na katangian ang bawat kultura.
固执	matigas ang ulo	Masyado siyang matigas ang ulo at ayaw makinig sa payo.
故乡	bayang sinilangan	Pagkalipas ng maraming taon, bumalik siya sa bayang sinilangan.
故障	sira	Nagkaroon ng sira ang elevator at pansamantalang hindi ginagamit.
雇佣	umupa ng tauhan	Nagpasya ang kumpanya na umupa ng mas maraming teknikal na tauhan.
顾虑	alinlangan	Maaari mong sabihin nang diretso kung may alinlangan ka.
顾问	tagapayo	Kumuha kami ng isang legal na tagapayo.
拐杖	tungkod	Madalas magdala ng tungkod ang matanda kapag lumalabas.
关怀	malasakit	Nagpakita ang guro ng malaking malasakit sa mga estudyante.
关照	alagaan	Paki alagaan ang bata habang nasa biyahe.
官方	opisyal	Ilalabas bukas ang opisyal na balita.
观光	pamamasyal	Sumakay ng bangka ang mga turista para sa pamamasyal.
管辖	saklaw	Saklaw ng pamahalaang lungsod ang lugar na ito.
惯例	nakagawian	Nakagawian na ipakilala muna ang mga panauhin bago magsimula ang pulong.
灌溉	patubigan	Ginamit ng mga magsasaka ang tubig-ilog para patubigan ang bukirin.
罐	garapon	May isang garapon ng dahon ng tsaa sa mesa.
贯彻	ipatupad	Kailangang ipatupad ng kumpanya ang bagong pamantayan sa kaligtasan.
光彩	ningning	Nagbigay sa kanya ng ningning ang damit na iyon.
光辉	karangalan	Nag-iwan ng pahina ng karangalan ang kanyang mga tagumpay.
光芒	sinag	Pinaliwanag ng sinag ng araw ang lambak.
光荣	marangal	Marangal ang maglingkod sa bansa.
广阔	malawak	Walang dulo sa tanaw ang damuhan at napakalawak nito.
归根到底	sa pinakahuli	Sa pinakahuli, nasa pamamahala ang problema.
归还	ibalik	Paki ibalik ang mga aklat sa takdang oras.
规范	pamantayan	Nagtakda ang paaralan ng mga pamantayan para pamahalaan ang laboratoryo.
规格	espesipikasyon	Hindi magkakatugma ang espesipikasyon ng batch na ito ng mga piyesa.
规划	pagpaplano	Kailangang isaalang-alang ang trapiko sa pagpaplano ng lungsod.
规章	alituntunin	Dapat sundin ng mga empleyado ang alituntunin ng kumpanya.
轨道	riles	Umaandar ang tren sa kahabaan ng riles.
贵族	maharlika	Dating pag-aari ng maharlika ang asyendang ito.
跪	lumuhod	Lumuhod siya sa harap ng rebulto.
棍棒	pamalo	Kinumpiska ng pulisya ang mga pamalo sa lugar.
国防	pambansang depensa	Kailangan ng pangmatagalang puhunan ang pambansang depensa.
国务院	Konseho ng Estado	Naglabas ng bagong abiso ang Konseho ng Estado.
果断	mapagpasiya	Mapagpasyang gumawa ng desisyon ang pinuno.
过度	labis	Maaaring makaapekto sa tulog ang labis na paggamit ng telepono.
过渡	transisyon	Nasa yugto ng transisyon ang kumpanya sa pagbabago nito.
过奖	labis na papuri	Labis na papuri iyan, kailangan ko pa ring matuto.
过滤	salain	Kayang salain ng kagamitang ito ang mga dumi.
过失	pagkakamali	Naganap ang aksidenteng ito dahil sa pagkakamali ng tao.
过问	makialam	Bihirang makialam ang manager sa maliliit na bagay na ito.
过瘾	nakakasiya	Nakakasiya talagang panoorin ang larong iyon.
过于	masyado	Masyadong komplikado ang planong ito.
嗨	hi	Hi, dumating ka rin pala.
海拔	taas mula sa dagat	Nasa mataas na taas mula sa dagat ang baryong ito.
海滨	dalampasigan	Nagpalipas sila ng weekend sa dalampasigan.
含糊	malabo	Malabo ang kanyang sagot.
含义	kahulugan	May espesyal na kahulugan ang salitang ito.
寒暄	magbatian	Pagkikita nila, nagbatian muna sila nang ilang sandali.
罕见	bihira	Napakahira ng sakit na ito.
捍卫	ipagtanggol	Nagsikap ang abogado na ipagtanggol ang karapatan ng kliyente.
航空	abyasyon	Kinansela ng kompanya ng abyasyon ang flight.
航天	paglalakbay sa kalawakan	Mabilis ang pag-unlad ng paglalakbay sa kalawakan ng Tsina.
航行	maglayag	Naglalayag sa dagat ang barko.
行列	hanay	Sumali siya sa hanay ng mga boluntaryo.
毫米	milimetro	Limang milimetro ang kapal ng salaming ito.
毫无	wala ni katiting	Wala ni katiting na batayan ang paliwanag niya.
豪迈	marubdob	Marubdob at malakas ang kanyang pag-awit.
号召	manawagan	Nanawagan ang pamahalaan sa lahat na magtipid sa tubig.
耗费	kumonsumo	Kumonsumo ng malaking pondo ang proyektong ito.
呵	sigawan	Sinigawan ng ama ang bata, at agad itong tumigil.
合并	pagsamahin	Plano ng dalawang kumpanya na pagsamahin sa susunod na taon.
合成	sintetisahin	Maaaring sintetisahin nang artipisyal ang materyal na ito.
合伙	makisosyo	Nakisosyo sila sa pagbubukas ng isang restawran.
合算	sulit	Mas sulit sumakay ng bus kaysa mag-taxi.
和蔼	mabait	Mabait magsalita ang doktor na ito.
和解	pagkakasundo	Sa huli, umabot sa pagkakasundo ang dalawang panig.
和睦	magkasundo	Magkasundo ang mga kapitbahay.
和气	magiliw	Magiliw makitungo ang amo sa mga tao.
和谐	maayos	Ginawang mas maayos ng musika ang kapaligiran.
嘿	uy	Uy, narinig mo ba iyon?
痕迹	bakas	Naiwan sa lupa ang bakas ng mga gulong.
狠心	walang awa	Walang awa niyang tinanggihan ang kahilingan ng kaibigan.
恨不得	gustong-gusto	Gustong-gusto ko nang umuwi at magpahinga.
哼	suminghal	Suminghal siya nang hindi masaya.
横	pahalang	Gumuhit ka ng isang pahalang na linya sa papel.
哄	tawanan	Biglang nagtawanan ang lahat.
烘	i-bake	Nasa oven at ini-bake ang tinapay.
轰动	sensasyon	Nagdulot ng sensasyon sa buong bansa ang balitang ito.
宏观	makro	Kailangan nating suriin ang ekonomiya mula sa makrong pananaw.
宏伟	maringal	Napakamaringal ng disenyo ng tulay na ito.
洪水	baha	Sinira ng baha ang ilang tulay.
喉咙	lalamunan	Sobra siyang nagsalita kaya medyo masakit ang lalamunan niya.
吼	sumigaw	Sumigaw siya nang malakas patungo sa malayo.
候选	kandidato	Kandidato siyang kinatawan ngayong taon.
后代	susunod na henerasyon	Kailangan nating protektahan ang kapaligiran para sa susunod na henerasyon.
后顾之忧	alalahanin sa hinaharap	Dahil sa matatag na kita, wala na siyang alalahanin sa hinaharap.
后勤	lohistika	Responsable ang departamento ng lohistika sa suplay ng materyales.
呼唤	tumawag	Tumawag ang ina sa bata mula sa pintuan.
