hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
2385:刚好	刚好	刚好	w sam raz; akurat	Kiedy dotarłem na stację, autobus akurat przyjechał.	precies goed; net	Toen ik op het station aankwam, kwam de bus net aan.	precis lagom; just då	När jag kom till stationen kom bussen just då.	akkurat passe; nettopp	Da jeg kom til stasjonen, kom bussen akkurat.	lige præcis; netop	Da jeg kom til stationen, kom bussen netop.	juuri sopiva; juuri silloin	Kun saavuin asemalle, bussi tuli juuri silloin.
2386:高大	高大	高大	wysoki i duży	Przy wejściu są dwa wysokie drzewa.	groot en hoog	Bij de ingang staan twee hoge bomen.	hög och stor	Det finns två höga träd vid ingången.	høy og stor	Det står to høye trær ved inngangen.	høj og stor	Der står to høje træer ved indgangen.	korkea ja suuri	Sisäänkäynnillä on kaksi korkeaa puuta.
2388:高度	高度	高度	wysokość; wysoki stopień	Wysokość tego budynku przekracza sto metrów.	hoogte; hoge mate	De hoogte van dit gebouw is meer dan honderd meter.	höjd; hög grad	Byggnadens höjd överstiger hundra meter.	høyde; høy grad	Høyden på denne bygningen overstiger hundre meter.	højde; høj grad	Bygningens højde overstiger hundrede meter.	korkeus; korkea aste	Tämän rakennuksen korkeus ylittää sata metriä.
2390:高科技	高科技	高科技	wysoka technologia	Produkty wysokiej technologii ułatwiają życie.	hoogtechnologie; hightech	Hightechproducten maken het leven gemakkelijker.	högteknologi; högteknik	Högteknologiska produkter gör livet enklare.	høyteknologi	Høyteknologiske produkter gjør livet mer praktisk.	højteknologi	Højteknologiske produkter gør livet lettere.	korkea teknologia; huipputeknologia	Huipputeknologiset tuotteet tekevät elämästä helpompaa.
2391:高效	高效	高效	wydajny; efektywny	Ta metoda jest prosta i wydajna.	efficiënt; doelmatig	Deze methode is eenvoudig en efficiënt.	effektiv	Den här metoden är enkel och effektiv.	effektiv	Denne metoden er enkel og effektiv.	effektiv	Denne metode er enkel og effektiv.	tehokas	Tämä menetelmä on yksinkertainen ja tehokas.
2394:歌词	歌词	歌词	tekst piosenki	Bardzo lubię tekst tej piosenki.	songtekst	Ik vind de tekst van dit lied erg mooi.	låttext	Jag tycker mycket om texten till den här låten.	sangtekst	Jeg liker teksten til denne sangen veldig godt.	sangtekst	Jeg kan virkelig godt lide teksten til denne sang.	laulun sanat	Pidän todella paljon tämän laulun sanoista.
2395:歌曲	歌曲	歌曲	piosenka; utwór	Ta piosenka jest bardzo popularna w internecie.	lied; nummer	Dit lied is erg populair online.	låt; sång	Den här låten är mycket populär på nätet.	sang	Denne sangen er veldig populær på nettet.	sang	Denne sang er meget populær på nettet.	laulu; kappale	Tämä laulu on hyvin suosittu verkossa.
2396:隔	隔	隔	oddzielać; być rozdzielonym	Mój dom i szkołę oddziela rzeka.	scheiden; ertussen liggen	Mijn huis en de school worden door een rivier gescheiden.	skilja åt; ligga emellan	Mitt hem och skolan skiljs åt av en flod.	skille; ligge mellom	Hjemmet mitt og skolen er adskilt av en elv.	adskille; ligge imellem	Mit hjem og skolen er adskilt af en flod.	erottaa; olla välissä	Kotini ja koulun välissä on joki.
2399:各行各业	各行各业	各行各业	wszystkie branże i zawody	Wszystkie branże potrzebują ludzi odpowiedzialnych.	alle sectoren en beroepen	Alle sectoren hebben serieuze en verantwoordelijke mensen nodig.	alla branscher och yrken	Alla branscher behöver ansvarsfulla människor.	alle bransjer og yrker	Alle bransjer trenger ansvarlige mennesker.	alle brancher og erhverv	Alle brancher har brug for ansvarlige mennesker.	kaikki alat ja ammatit	Kaikilla aloilla tarvitaan vastuullisia ihmisiä.
2405:更换	更换	更换	wymieniać; zmieniać	Filtr klimatyzatora trzeba regularnie wymieniać.	vervangen; wisselen	Het airconditionerfilter moet regelmatig worden vervangen.	byta ut; ersätta	Luftkonditioneringens filter behöver bytas regelbundet.	bytte ut; erstatte	Filteret i klimaanlegget må byttes regelmessig.	udskifte; skifte	Airconditionfilteret skal udskiftes regelmæssigt.	vaihtaa; korvata	Ilmastointilaitteen suodatin täytyy vaihtaa säännöllisesti.
2408:工程	工程	工程	projekt; inżynieria	Ten projekt ma zostać ukończony w przyszłym roku.	project; techniek	Dit project is gepland om volgend jaar klaar te zijn.	projekt; ingenjörsarbete	Det här projektet planeras bli klart nästa år.	prosjekt; ingeniørarbeid	Dette prosjektet er planlagt ferdig neste år.	projekt; ingeniørarbejde	Dette projekt planlægges færdigt næste år.	hanke; insinöörityö	Tämä hanke on tarkoitus saada valmiiksi ensi vuonna.
2413:公务员	公务员	公务员	urzędnik państwowy	Po ukończeniu studiów zdał egzamin na urzędnika państwowego.	ambtenaar	Na zijn afstuderen slaagde hij voor het ambtenarenexamen.	tjänsteman; statstjänsteman	Efter examen klarade han provet för att bli statstjänsteman.	statsansatt; offentlig tjenestemann	Etter eksamen besto han embetseksamenen.	embedsmand; offentlig ansat	Efter sin eksamen bestod han prøven til embedsmand.	virkamies	Valmistumisen jälkeen hän pääsi virkamieskokeesta läpi.
2416:工艺	工艺	工艺	rzemiosło; technika	To tradycyjne rzemiosło jest przekazywane od wielu lat.	ambacht; techniek	Dit traditionele ambacht wordt al vele jaren doorgegeven.	hantverk; teknik	Det här traditionella hantverket har förts vidare i många år.	håndverk; teknikk	Dette tradisjonelle håndverket har blitt videreført i mange år.	håndværk; teknik	Dette traditionelle håndværk er blevet videreført i mange år.	käsityö; tekniikka	Tätä perinteistä käsityötaitoa on välitetty eteenpäin monta vuotta.
2419:共享	共享	共享	współdzielić; wspólny	W tym mieście jest wiele rowerów współdzielonych.	delen; gezamenlijk gebruiken	Deze stad heeft veel deelfietsen.	dela; gemensamt använda	Den här staden har många delningscyklar.	dele; bruke sammen	Denne byen har mange delte sykler.	dele; bruge sammen	Denne by har mange delecykler.	jakaa; yhteiskäyttöinen	Tässä kaupungissa on paljon yhteiskäyttöpyöriä.
2422:古	古	古	starożytny; dawny	Ten most zachował wygląd z dawnych czasów.	oud; antiek	Deze brug heeft het uiterlijk van vroeger behouden.	forn; gammal	Den här bron har behållit sitt forntida utseende.	gammel; oldtids-	Denne broen har beholdt utseendet fra gammel tid.	gammel; oldtids-	Denne bro har bevaret sit udseende fra gammel tid.	muinainen; vanha	Tämä silta on säilyttänyt muinaisen ulkonäkönsä.
2423:鼓	鼓	鼓	bęben	Dzieci przybiegły, gdy usłyszały dźwięk bębna.	trommel	De kinderen renden naar voren toen ze het geluid van de trommel hoorden.	trumma	Barnen sprang dit när de hörde trummans ljud.	tromme	Barna løp bort da de hørte trommelyden.	tromme	Børnene løb over, da de hørte trommens lyd.	rumpu	Lapset juoksivat paikalle kuultuaan rummun äänen.
2425:古老	古老	古老	starożytny; bardzo stary	To starożytne miasto przyciąga wielu turystów.	oud; eeuwenoud	Deze oude stad trekt veel toeristen aan.	gammal; uråldrig	Den här gamla staden lockar många turister.	gammel; urgammel	Denne gamle byen tiltrekker seg mange turister.	gammel; ældgammel	Denne gamle by tiltrækker mange turister.	ikivanha; muinainen	Tämä ikivanha kaupunki houkuttelee paljon turisteja.
2430:怪	怪	怪	dziwny; obwiniać	Dzisiejsza pogoda jest trochę dziwna.	vreemd; de schuld geven	Het weer is vandaag een beetje vreemd.	konstig; skylla på	Vädret i dag är lite konstigt.	merkelig; skylde på	Været i dag er litt merkelig.	mærkelig; skyde skylden på	Vejret i dag er lidt mærkeligt.	outo; syyttää	Tämän päivän sää on vähän outo.
2438:光线	光线	光线	światło; oświetlenie	W pokoju jest zbyt ciemne światło i nie nadaje się do czytania.	licht; verlichting	Het licht in de kamer is te zwak om te lezen.	ljus; belysning	Rummets ljus är för svagt för att läsa.	lys; belysning	Lyset i rommet er for svakt til å lese.	lys; belysning	Lyset i rummet er for svagt til at læse.	valo; valaistus	Huoneen valaistus on liian hämärä lukemiseen.
2439:广	广	广	szeroki; rozległy	Jego zainteresowania są bardzo szerokie.	breed; ruim	Zijn interesses zijn breed.	bred; vid	Hans intressen är mycket breda.	bred; vid	Interessene hans er brede.	bred; vid	Hans interesser er brede.	laaja; avara	Hänen kiinnostuksen kohteensa ovat laajat.
2446:贵姓	贵姓	贵姓	pańskie nazwisko; uprzejmie o nazwisko	Przepraszam, jakie jest pana nazwisko?	uw achternaam	Mag ik vragen wat uw achternaam is?	ert efternamn; artig fråga om namn	Får jag fråga vad ni heter i efternamn?	Deres etternavn; høflig spørsmål om navn	Kan jeg spørre hva etternavnet deres er?	Deres efternavn; høfligt spørgsmål om navn	Må jeg spørge, hvad Deres efternavn er?	teidän sukunimenne; kohtelias nimikysymys	Saanko kysyä sukunimeänne?
2447:柜子	柜子	柜子	szafka; szafa	Wszystkie dokumenty są w szafce.	kast; opbergkast	De documenten liggen allemaal in de kast.	skåp	Alla dokument ligger i skåpet.	skap	Alle dokumentene ligger i skapet.	skab	Alle dokumenterne ligger i skabet.	kaappi	Asiakirjat ovat kaikki kaapissa.
2450:国画	国画	国画	tradycyjne malarstwo chińskie	Dziadek lubi malować tradycyjne chińskie obrazy.	traditionele Chinese schilderkunst	Opa houdt van traditionele Chinese schilderkunst maken.	traditionell kinesisk målning	Farfar tycker om att måla traditionella kinesiska målningar.	tradisjonelt kinesisk maleri	Bestefar liker å male tradisjonelle kinesiske malerier.	traditionelt kinesisk maleri	Bedstefar kan lide at male traditionelle kinesiske malerier.	perinteinen kiinalainen maalaus	Ukki pitää perinteisten kiinalaisten maalausten tekemisestä.
2451:国庆	国庆	国庆	Święto Narodowe	W czasie urlopu z okazji Święta Narodowego pojechaliśmy do Hangzhou.	Nationale Dag	Tijdens de vakantie voor Nationale Dag gingen we naar Hangzhou.	nationaldag	Under nationaldagsledigheten åkte vi till Hangzhou.	nasjonaldag	I nasjonaldagsferien dro vi til Hangzhou.	nationaldag	I nationaldagsferien tog vi til Hangzhou.	kansallispäivä	Kansallispäivän lomalla menimme Hangzhouhun.
2461:海外	海外	海外	za granicą; zagraniczny	Ta firma ma wielu klientów za granicą.	overzee; buitenlands	Dit bedrijf heeft veel klanten in het buitenland.	utomlands; utomeuropeisk	Det här företaget har många kunder utomlands.	utenlands; oversjøisk	Dette selskapet har mange kunder i utlandet.	i udlandet; oversøisk	Denne virksomhed har mange kunder i udlandet.	ulkomailla; merentakainen	Tällä yrityksellä on paljon asiakkaita ulkomailla.
2463:含	含	含	zawierać; trzymać w ustach	Ten napój zawiera dużo cukru.	bevatten; in de mond houden	Deze drank bevat veel suiker.	innehålla; hålla i munnen	Den här drycken innehåller mycket socker.	inneholde; ha i munnen	Denne drikken inneholder mye sukker.	indeholde; have i munden	Denne drik indeholder meget sukker.	sisältää; pitää suussa	Tämä juoma sisältää paljon sokeria.
2464:含量	含量	含量	zawartość; ilość zawarta	Ten owoc ma wysoką zawartość witamin.	gehalte; inhoudswaarde	Deze vrucht heeft een hoog vitaminegehalte.	halt; innehåll	Den här frukten har hög vitaminhalt.	innhold; mengde	Denne frukten har høyt vitamininnhold.	indhold; mængde	Denne frugt har et højt vitaminindhold.	pitoisuus; sisältömäärä	Tässä hedelmässä on korkea vitamiinipitoisuus.
2465:含有	含有	含有	zawierać	Mleko zawiera bogate składniki odżywcze.	bevatten	Melk bevat veel voedingsstoffen.	innehålla	Mjölk innehåller rikligt med näringsämnen.	inneholde	Melk inneholder rike næringsstoffer.	indeholde	Mælk indeholder mange næringsstoffer.	sisältää	Maito sisältää runsaasti ravintoaineita.
2466:汗水	汗水	汗水	pot	Pot sportowca przemoczył ubranie.	zweet	Het zweet van de sporter maakte zijn kleren doorweekt.	svett	Idrottarens svett genomblötte kläderna.	svette	Utøverens svette gjennomvåte klærne.	sved	Atletens sved gennemblødte tøjet.	hiki	Urheilijan hiki kasteli vaatteet läpimäriksi.
2467:行	行	行	branża; zawód	Pracował w branży gastronomicznej przez dziesięć lat.	branche; vak	Hij heeft tien jaar in de horeca gewerkt.	bransch; yrke	Han har arbetat i restaurangbranschen i tio år.	bransje; yrke	Han har jobbet i serveringsbransjen i ti år.	branche; fag	Han har arbejdet i restaurationsbranchen i ti år.	ala; ammatti	Hän on työskennellyt ruokapalvelualalla kymmenen vuotta.
2469:好评	好评	好评	pozytywna opinia	Ta restauracja otrzymała wiele pozytywnych opinii.	positieve beoordeling	Dit restaurant heeft veel positieve beoordelingen gekregen.	positiv recension	Den här restaurangen har fått många positiva recensioner.	positiv omtale	Denne restauranten har fått mange positive anmeldelser.	positiv anmeldelse	Denne restaurant har fået mange positive anmeldelser.	myönteinen arvio	Tämä ravintola on saanut paljon myönteisiä arvioita.
2470:好运	好运	好运	powodzenie; szczęście	Życzę ci powodzenia na egzaminie.	geluk; voorspoed	Ik wens je veel geluk met het examen.	tur; lycka	Jag önskar dig lycka till på provet.	lykke; hell	Jeg ønsker deg lykke til på eksamen.	held; lykke	Jeg ønsker dig held og lykke til eksamen.	onni; hyvä tuuri	Toivotan sinulle onnea kokeeseen.
2471:好转	好转	好转	poprawić się; polepszyć się	Po leczeniu jego stan zaczął się poprawiać.	verbeteren; beter worden	Na de behandeling begon zijn toestand te verbeteren.	förbättras; bli bättre	Efter behandlingen började hans tillstånd förbättras.	bedre seg; bli bedre	Etter behandlingen begynte tilstanden hans å bli bedre.	forbedres; blive bedre	Efter behandlingen begyndte hans tilstand at blive bedre.	parantua; kohentua	Hoidon jälkeen hänen tilansa alkoi parantua.
2474:合	合	合	zamknąć; połączyć; pasować	Proszę zamknąć książki i posłuchać mnie.	sluiten; combineren; passen	Sluit alstublieft het boek en luister naar mij.	stänga; förena; passa	Stäng boken och lyssna på mig.	lukke; kombinere; passe	Lukk boken og hør på meg.	lukke; forene; passe	Luk bogen og hør på mig.	sulkea; yhdistää; sopia	Sulje kirja ja kuuntele minua.
2476:盒饭	盒饭	盒饭	posiłek w pudełku; jedzenie na wynos	W południe kupiliśmy na dworcu posiłki w pudełkach.	maaltijd in doosje; afhaalmaaltijd	Tussen de middag kochten we op het station maaltijden in doosjes.	matlåda; färdigpackad måltid	Vid middagstid köpte vi matlådor på stationen.	matboks; ferdigpakket måltid	Ved middagstid kjøpte vi matbokser på stasjonen.	færdigpakket måltid; madboks	Ved middagstid købte vi færdigpakkede måltider på stationen.	rasia-ateria; eväsrasia	Keskipäivällä ostimme asemalta rasia-ateriat.
2478:河流	河流	河流	rzeka; ciek wodny	Ta rzeka przepływa przez trzy miasta.	rivier; waterloop	Deze rivier stroomt door drie steden.	flod; vattendrag	Den här floden passerar tre städer.	elv; vassdrag	Denne elven går gjennom tre byer.	flod; vandløb	Denne flod løber gennem tre byer.	joki; vesistö	Tämä joki kulkee kolmen kaupungin läpi.
2485:厚度	厚度	厚度	grubość	Grubość tej szyby wynosi pięć milimetrów.	dikte	De dikte van dit glas is vijf millimeter.	tjocklek	Tjockleken på den här glasskivan är fem millimeter.	tykkelse	Tykkelsen på denne glassplaten er fem millimeter.	tykkelse	Tykkelsen på denne glasplade er fem millimeter.	paksuus	Tämän lasilevyn paksuus on viisi millimetriä.
2489:湖	湖	湖	jezioro	Wiele osób spaceruje nad jeziorem.	meer	Er wandelen veel mensen langs het meer.	sjö	Många människor promenerar vid sjön.	innsjø	Mange mennesker går tur ved innsjøen.	sø	Mange mennesker går tur ved søen.	järvi	Monet ihmiset kävelevät järven rannalla.
2492:互动	互动	互动	interakcja; wzajemne działanie	Interakcja na lekcji sprawia, że uczniowie są bardziej aktywni.	interactie; wisselwerking	De interactie in de les maakt studenten actiever.	interaktion; samspel	Interaktionen på lektionen gör eleverna mer aktiva.	interaksjon; samspill	Interaksjonen i timen gjør elevene mer aktive.	interaktion; samspil	Interaktionen i timen gør eleverne mere aktive.	vuorovaikutus; yhteispeli	Tunnin vuorovaikutus tekee opiskelijoista aktiivisempia.
2493:户外	户外	户外	na świeżym powietrzu; plener	W weekend poszliśmy w góry na świeżym powietrzu.	buiten; in de buitenlucht	In het weekend gingen we buiten een berg beklimmen.	utomhus; friluft	I helgen gick vi utomhus för att vandra i bergen.	utendørs; friluft	I helgen dro vi utendørs for å gå i fjellet.	udendørs; friluft	I weekenden tog vi udendørs for at vandre i bjergene.	ulkona; luonnossa	Viikonloppuna menimme ulos vaeltamaan vuorille.
2494:花费	花费	花费	wydać; kosztować	Naprawa tego samochodu kosztowała niemało pieniędzy.	kosten; uitgeven	Het repareren van deze auto kostte behoorlijk veel geld.	kosta; spendera	Att reparera den här bilen kostade ganska mycket pengar.	koste; bruke penger	Å reparere denne bilen kostet ganske mye penger.	koste; bruge penge	Det kostede en del penge at reparere denne bil.	maksaa; kuluttaa rahaa	Tämän auton korjaaminen maksoi melko paljon rahaa.
2497:化	化	化	topnieć; zamieniać się	Lód powoli topniał w słońcu.	smelten; veranderen in	Het ijs smolt langzaam in de zon.	smälta; förvandlas	Isen smälte långsamt i solen.	smelte; bli til	Isen smeltet sakte i solen.	smelte; blive til	Isen smeltede langsomt i solen.	sulaa; muuttua	Jää suli hitaasti auringossa.
2498:话费	话费	话费	rachunek telefoniczny; opłata za rozmowy	Mój rachunek telefoniczny jest w tym miesiącu trochę wysoki.	telefoonkosten; beltegoed	Mijn telefoonkosten zijn deze maand een beetje hoog.	telefonräkning; samtalskostnad	Min telefonräkning är lite hög den här månaden.	telefonregning; ringekostnader	Telefonregningen min er litt høy denne måneden.	telefonregning; taletidsudgift	Min telefonregning er lidt høj denne måned.	puhelinlasku; puheaikamaksu	Puhelinlaskuni on tässä kuussa hieman korkea.
2499:画面	画面	画面	obraz; ujęcie	To ujęcie w filmie jest bardzo poruszające.	beeld; scène	Dit beeld in de film is erg ontroerend.	bild; scen	Den här scenen i filmen är mycket rörande.	bilde; scene	Denne scenen i filmen er veldig rørende.	billede; scene	Denne scene i filmen er meget rørende.	kuva; kohtaus	Tämä elokuvan kohtaus on hyvin koskettava.
2504:缓慢	缓慢	缓慢	powolny; wolny	Starsza osoba chodzi dość powoli.	langzaam; traag	De oudere persoon loopt vrij langzaam.	långsam; trög	Den äldre personen går ganska långsamt.	langsom; treg	Den eldre personen går ganske langsomt.	langsom; træg	Den ældre person går ret langsomt.	hidas; verkas	Vanha ihminen kävelee melko hitaasti.
2505:黄瓜	黄瓜	黄瓜	ogórek	Surówka z ogórka jest bardzo orzeźwiającą przystawką.	komkommer	Koude komkommersalade is een verfrissend bijgerecht.	gurka	Kall gurksallad är ett uppfriskande tillbehör.	agurk	Kald agurksalat er en frisk liten siderett.	agurk	Kold agurkesalat er en frisk lille sideret.	kurkku	Kylmä kurkkusalaatti on raikas lisuke.
2510:灰色	灰色	灰色	szary; kolor szary	Ma na sobie szary płaszcz.	grijs; grijze kleur	Hij draagt een grijze jas.	grå; grå färg	Han har på sig en grå rock.	grå; gråfarge	Han har på seg en grå frakk.	grå; grå farve	Han har en grå frakke på.	harmaa; harmaa väri	Hänellä on harmaa takki yllään.
2514:伙	伙	伙	grupa; banda	Grupa młodych ludzi rozmawia przy wejściu.	groep; bende	Een groep jonge mensen praat bij de ingang.	grupp; gäng	En grupp unga människor pratar vid ingången.	gruppe; gjeng	En gruppe unge mennesker prater ved inngangen.	gruppe; flok	En gruppe unge mennesker taler ved indgangen.	joukko; porukka	Joukko nuoria juttelee sisäänkäynnin luona.
2516:火锅	火锅	火锅	chiński kociołek; hot pot	Jedzenie chińskiego kociołka zimą jest bardzo przyjemne.	Chinese fondue; hotpot	Chinese fondue eten in de winter voelt erg prettig.	kinesisk fondue; hot pot	Att äta hot pot på vintern känns mycket trevligt.	kinesisk gryterett; hot pot	Å spise hot pot om vinteren føles veldig hyggelig.	kinesisk fondue; hot pot	Det er meget hyggeligt at spise hot pot om vinteren.	kiinalainen hot pot; tulipata	Kiinalaisen hot potin syöminen talvella tuntuu mukavalta.
2517:或是	或是	或是	albo; lub	Możesz pojechać metrem albo wziąć taksówkę.	of; eventueel	Je kunt de metro nemen of eventueel een taxi nemen.	eller; alternativt	Du kan ta tunnelbanan eller alternativt ta en taxi.	eller; alternativt	Du kan ta t-banen eller alternativt ta taxi.	eller; alternativt	Du kan tage metroen eller alternativt tage en taxa.	tai; vaihtoehtoisesti	Voit mennä metrolla tai vaihtoehtoisesti ottaa taksin.
2518:货物	货物	货物	towary; ładunek	Magazyn jest pełen towarów.	goederen; lading	Het magazijn ligt vol goederen.	varor; gods	Lagret är fullt av varor.	varer; gods	Lageret er fullt av varer.	varer; gods	Lageret er fyldt med varer.	tavarat; rahti	Varasto on täynnä tavaroita.
2523:机器人	机器人	机器人	robot; automat	Ten robot pomaga dostarczać jedzenie.	robot; automaat	Deze robot kan helpen maaltijden te bezorgen.	robot; automat	Den här roboten kan hjälpa till att leverera mat.	robot; maskin	Denne roboten kan hjelpe til med å levere mat.	robot; automat	Denne robot kan hjælpe med at levere mad.	robotti; automaatti	Tämä robotti voi auttaa ruoan toimittamisessa.
2525:及	及	及	oraz; a także	Na spotkaniu omówiono kwestie bezpieczeństwa oraz obsługi.	en; evenals	De vergadering besprak veiligheid en service.	och; samt	Mötet diskuterade säkerhet och service.	og; samt	Møtet diskuterte sikkerhet og service.	og; samt	Mødet drøftede sikkerhed og service.	ja; sekä	Kokouksessa käsiteltiin turvallisuutta ja palvelua.
2526:级	级	级	poziom; stopień	Ma teraz średni poziom chińskiego.	niveau; klas	Hij heeft nu een gemiddeld niveau Chinees.	nivå; grad	Han är nu på mellannivå i kinesiska.	nivå; klasse	Han er nå på mellomnivå i kinesisk.	niveau; klasse	Han er nu på mellemniveau i kinesisk.	taso; luokka	Hän on nyt kiinan kielessä keskitasolla.
2527:集	集	集	odcinek; zbiór	Ten film dokumentalny ma łącznie sześć odcinków.	aflevering; verzameling	Deze documentaire heeft in totaal zes afleveringen.	avsnitt; samling	Den här dokumentären har totalt sex avsnitt.	TV-episode; samling	Denne dokumentaren har til sammen seks episoder.	afsnit; samling	Denne dokumentar har i alt seks afsnit.	jakso; kokoelma	Tässä dokumenttisarjassa on yhteensä kuusi jaksoa.
2535:急需	急需	急需	pilnie potrzebować	Obszar dotknięty katastrofą pilnie potrzebuje żywności i leków.	dringend nodig hebben	Het rampgebied heeft dringend voedsel en medicijnen nodig.	akut behöva	Katastrofområdet behöver akut mat och medicin.	ha akutt behov for	Katastrofeområdet har akutt behov for mat og medisiner.	have akut brug for	Katastrofeområdet har akut brug for mad og medicin.	tarvita kiireellisesti	Katastrofialue tarvitsee kiireellisesti ruokaa ja lääkkeitä.
2538:挤	挤	挤	ściskać; tłoczyć się	W metrze jest zbyt wielu ludzi i wszyscy tłoczą się razem.	persen; dringen	Er zijn te veel mensen in de metro en iedereen staat tegen elkaar gedrukt.	tränga; vara trångt	Det är för många människor i tunnelbanan och alla trängs ihop.	presse; trenge seg sammen	Det er for mange mennesker på t-banen, og alle presses sammen.	presse; stå tæt	Der er for mange mennesker i metroen, og alle står tæt sammen.	puristaa; tungeksia	Metrossa on liikaa ihmisiä, ja kaikki pakkautuvat yhteen.
2539:系	系	系	wiązać; zapinać	Przed wyjściem proszę zawiązać sznurowadła.	vastmaken; strikken	Maak je veters vast voordat je naar buiten gaat.	knyta; fästa	Knyt skosnörena innan du går ut.	knyte; feste	Knyt skolissene før du går ut.	binde; fastgøre	Bind snørebåndene, før du går ud.	sitoa; kiinnittää	Sido kengännauhasi ennen kuin lähdet ulos.
2543:纪录片	纪录片	纪录片	film dokumentalny	Ten film dokumentalny przedstawia chińską kulturę herbaty.	documentaire film	Deze documentaire film introduceert de Chinese theecultuur.	dokumentärfilm	Den här dokumentärfilmen presenterar kinesisk tekultur.	dokumentarfilm	Denne dokumentarfilmen presenterer kinesisk tekultur.	dokumentarfilm	Denne dokumentarfilm præsenterer kinesisk tekultur.	dokumenttielokuva	Tämä dokumenttielokuva esittelee kiinalaista teekulttuuria.
2544:技能	技能	技能	umiejętność; zdolność	Nauka nowej umiejętności wymaga czasu.	vaardigheid; bekwaamheid	Het leren van een nieuwe vaardigheid kost tijd.	färdighet; kunskap	Att lära sig en ny färdighet tar tid.	ferdighet; kompetanse	Å lære en ny ferdighet tar tid.	færdighed; kompetence	Det tager tid at lære en ny færdighed.	taito; osaaminen	Uuden taidon oppiminen vie aikaa.
2546:纪念日	纪念日	纪念日	rocznica; dzień pamiątkowy	Dzisiaj jest dziesiąta rocznica ich ślubu.	jubileumdag; herdenkingsdag	Vandaag is hun tiende huwelijksjubileum.	årsdag; minnesdag	I dag är deras tioåriga bröllopsdag.	årsdag; merkedag	I dag er deres tiende bryllupsdag.	årsdag; mærkedag	I dag er deres tiårs bryllupsdag.	vuosipäivä; merkkipäivä	Tänään on heidän kymmenes hääpäivänsä.
2548:计算机	计算机	计算机	komputer; maszyna licząca	Szkoła kupiła nową partię komputerów.	computer; rekenapparaat	De school heeft een nieuwe partij computers gekocht.	dator	Skolan köpte in en ny omgång datorer.	datamaskin	Skolen kjøpte inn et nytt parti datamaskiner.	computer; datamaskine	Skolen har købt et nyt parti computere.	tietokone	Koulu osti uuden erän tietokoneita.
2552:家电	家电	家电	sprzęt AGD; urządzenie domowe	Ten sklep specjalizuje się w sprzedaży sprzętu AGD.	huishoudelijk apparaat	Deze winkel is gespecialiseerd in huishoudelijke apparaten.	hushållsapparat; vitvara	Den här butiken säljer främst hushållsapparater.	husholdningsapparat; hvitevare	Denne butikken selger spesielt husholdningsapparater.	husholdningsapparat; hvidevare	Denne butik sælger især husholdningsapparater.	kodinkone	Tämä kauppa on erikoistunut kodinkoneisiin.
2554:加热	加热	加热	podgrzać; ogrzać	Jedzenie wystygło i trzeba je jeszcze raz podgrzać.	verwarmen; opwarmen	Het eten is koud geworden en moet opnieuw worden opgewarmd.	värma; hetta upp	Maten har kallnat och behöver värmas igen.	varme opp	Maten har blitt kald og må varmes opp igjen.	opvarme; varme op	Maden er blevet kold og skal varmes op igen.	lämmittää; kuumentaa	Ruoka on jäähtynyt, ja se täytyy lämmittää uudelleen.
2555:加深	加深	加深	pogłębić	Ta rozmowa pogłębiła nasze wzajemne zrozumienie.	verdiepen	Dit gesprek heeft ons begrip verdiept.	fördjupa	Det här samtalet fördjupade vår förståelse.	fordype	Denne samtalen fordypet vår forståelse.	uddybe	Denne samtale uddybede vores forståelse.	syventää	Tämä keskustelu syvensi ymmärrystämme.
2556:加速	加速	加速	przyspieszyć	Nowa polityka przyspieszy rozwój miasta.	versnellen	Het nieuwe beleid zal de stedelijke ontwikkeling versnellen.	påskynda	Den nya politiken kommer att påskynda stadens utveckling.	fremskynde	Den nye politikken vil fremskynde byutviklingen.	fremskynde	Den nye politik vil fremskynde byens udvikling.	nopeuttaa	Uusi politiikka nopeuttaa kaupungin kehitystä.
2560:架	架	架	rama; półka; liczebnik	Na półce z książkami leży pełno starych książek.	rek; frame; telwoord	Het boekenrek staat vol oude boeken.	ställning; hylla; måttord	Bokhyllan är full av gamla böcker.	stativ; hylle; telleord	Bokhyllen er full av gamle bøker.	stativ; hylde; tælleord	Boghylden er fuld af gamle bøger.	kehikko; hylly; laskusana	Kirjahylly on täynnä vanhoja kirjoja.
2562:驾照	驾照	驾照	prawo jazdy	W zeszłym roku dostał prawo jazdy.	rijbewijs	Hij haalde vorig jaar zijn rijbewijs.	körkort	Han tog körkort förra året.	førerkort	Han fikk førerkort i fjor.	kørekort	Han fik kørekort sidste år.	ajokortti	Hän sai ajokortin viime vuonna.
2567:剪	剪	剪	ciąć nożyczkami; przycinać	Rozcięła opakowanie nożyczkami.	knippen; met een schaar knippen	Ze knipte de verpakking open met een schaar.	klippa; klippa med sax	Hon klippte upp förpackningen med sax.	klippe; klippe med saks	Hun klippet opp pakken med saks.	klippe; klippe med saks	Hun klippede pakken op med en saks.	leikata saksilla; leikata	Hän leikkasi pakkauksen auki saksilla.
