simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR
估计	tahmin etmek; sanmak	Sanırım havaalanına çoktan vardılar.	kukadiria; kudhani	Nadhani tayari wamefika uwanja wa ndege.	estimar; achar	Acho que eles já chegaram ao aeroporto.
鼓励	cesaretlendirmek; teşvik etmek	Anne babalar çocuklarına daha çok destek vermeli.	kuhimiza; kutia moyo	Wazazi wanapaswa kuwapa watoto wao moyo zaidi.	encorajar; o incentivo	Os pais devem incentivar mais os filhos.
故意	kasten; bilerek	Özür dilerim, bilerek yapmadım.	kwa makusudi	Samahani, sikufanya kwa makusudi.	de propósito; intencionalmente	Desculpe, eu não fiz de propósito.
顾客	müşteri	Müşteriler üçte bir azaldı.	mteja	Wateja wamepungua kwa theluthi moja.	o cliente	Os clientes diminuíram em um terço.
挂	asmak; telefonu kapatmak	Lütfen telefonu henüz kapatma.	kuning'iniza; kukata simu	Tafadhali usikate simu bado.	desligar; pendurar	Por favor, não desligue ainda.
关键	kilit nokta; esas mesele	Bu, sorunun kilit noktası değil.	jambo kuu; kiini	Hili si jambo kuu la tatizo.	o ponto-chave; a chave	Este não é o ponto-chave do problema.
观众	seyirci; izleyici	Televizyon başındaki izleyici dostlar, merhaba.	watazamaji	Hamjambo, marafiki watazamaji mlio mbele ya televisheni.	o público; os espectadores	Olá, amigos telespectadores.
管理	yönetmek; idare etmek	Şimdi bu evi kim yönetiyor?	kusimamia; kuendesha	Nani anasimamia nyumba hii sasa?	administrar; gerenciar	Quem administra esta casa agora?
光	ışık; aydınlık	Bugün güneş ışığı çok güçlü.	mwanga	Mwanga wa jua ni mkali leo.	a luz; o brilho	A luz do sol está forte hoje.
广播	radyo yayını; radyo	Dedem radyo dinliyor.	matangozo; redio	Babu anasikiliza redio.	a transmissão; o rádio	O vovô está ouvindo rádio.
广告	reklam	Gazetede reklamınızı gördüm.	tangazo	Niliona tangazo lenu gazetini.	o anúncio; a propaganda	Vi o anúncio de vocês no jornal.
逛	dolaşmak; gezmek	Hafta sonu alışveriş merkezinde biraz dolaşalım.	kutembea; kuzunguka	Twendeni kuzunguka kidogo kwenye duka kubwa mwishoni mwa wiki.	passear; dar uma volta	Vamos passear no shopping neste fim de semana.
规定	kural; düzenleme	Okulun kendi kuralları var.	kanuni; sheria	Shule ina kanuni zake.	a regra; o regulamento	A escola tem suas próprias regras.
国籍	uyruk; milliyet	Lütfen formda uyruğunuzu yazın.	uraia; utaifa	Tafadhali andika uraia wako kwenye fomu.	a nacionalidade	Por favor, preencha sua nacionalidade no formulário.
国际	uluslararası	Bu uluslararası bir toplantı.	kimataifa	Huu ni mkutano wa kimataifa.	internacional	Esta é uma reunião internacional.
果汁	meyve suyu	Bir bardak meyve suyu içmek istiyorum.	juisi ya matunda	Ningependa kunywa glasi ya juisi.	o suco de fruta	Quero beber um copo de suco.
过程	süreç	Öğrenme süreci çok önemlidir.	mchakato	Mchakato wa kujifunza ni muhimu sana.	o processo	O processo de aprendizagem é importante.
海洋	okyanus	Dünya yüzeyinin büyük kısmı okyanustur.	bahari kuu	Sehemu kubwa ya uso wa Dunia ni bahari kuu.	o oceano	A maior parte da superfície da Terra é oceano.
害羞	utangaç	İlk kez sahneye çıktı, biraz utangaçtı.	mwenye haya; aibu	Alipopanda jukwaani mara ya kwanza, alikuwa na haya kidogo.	tímido	Ela ficou um pouco tímida na primeira vez em que subiu ao palco.
寒假	kış tatili	Kış tatilinde güneye seyahat etmek istiyorum.	likizo ya majira ya baridi	Wakati wa likizo ya majira ya baridi nataka kusafiri kusini.	as férias de inverno	Quero viajar para o sul nas férias de inverno.
汗	ter	Sıcak oldu, havluyla terini sil.	jasho	Kuna joto, futa jasho kwa taulo.	o suor	Está quente, limpe o suor com uma toalha.
航班	uçuş	Bu uçuşa hoş geldiniz.	ndege; safari ya ndege	Karibu kwenye safari hii ya ndege.	o voo	Bem-vindo a este voo.
好处	fayda; avantaj	Daha çok okumanın birçok faydası vardır.	faida	Kusoma zaidi kuna faida nyingi.	o benefício; a vantagem	Ler mais traz muitos benefícios.
好像	gibi görünmek; sanki	Aramızda bir yanlış anlaşılma var gibi görünüyor.	kuonekana kama; kana kwamba	Inaonekana kuna kutoelewana kati yetu.	parecer; como se	Parece haver um mal-entendido entre nós.
号码	numara	Lütfen telefon numaranı bana ver.	nambari	Tafadhali nipe nambari yako ya simu.	o número	Por favor, me dê seu número de telefone.
合格	uygun; standarda uygun	Bu ürünün kalitesi standarda uygun.	kukidhi kiwango; kufuzu	Bidhaa hii inakidhi kiwango cha ubora.	qualificado; dentro do padrão	A qualidade deste produto atende ao padrão.
合适	uygun; tam olmak	Bu ayakkabı çifti çok iyi uyuyor.	kufaa; kuwa sawa	Jozi hii ya viatu inanitosha vizuri.	adequado; servir bem	Este par de sapatos serve bem.
盒子	kutu	Kutunun içi boş, hiçbir şey yok.	sanduku	Sanduku ni tupu, hakuna kitu.	a caixa	A caixa está vazia, não há nada.
厚	kalın	Bu kitap çok kalın.	nene	Kitabu hiki ni kinene.	grosso	Este livro é grosso.
后悔	pişman olmak	Sana daha erken söylemediğime pişmanım.	kujuta	Ninajuta kutokuambia mapema.	arrepender-se	Me arrependo de não ter contado antes.
互联网	İnternet	İnternet insanların yaşamına çok kolaylık getirdi.	intaneti	Intaneti imeleta urahisi mwingi katika maisha ya watu.	a internet	A internet trouxe muita facilidade para a vida das pessoas.
互相	birbirine; karşılıklı	İkimiz birbirimizi desteklemeliyiz.	kila mmoja; kwa pamoja	Sisi wawili tunapaswa kusaidiana.	um ao outro; mutuamente	Nós dois devemos apoiar um ao outro.
护士	hemşire	Hemşire hastaya iğne yapıyor.	muuguzi	Muuguzi anamdunga mgonjwa sindano.	a enfermeira	A enfermeira está aplicando uma injeção no paciente.
怀疑	şüphelenmek; şüphe etmek	Onun bugünkü toplantıyı unuttuğundan şüpheleniyorum.	kushuku; kutilia shaka	Ninashuku kuwa amesahau kuwa kuna mkutano leo.	suspeitar; duvidar	Suspeito que ele esqueceu que há uma reunião hoje.
回忆	hatırlamak; anı	Çocukluğumuzdaki şeyleri sık sık hatırlarız.	kukumbuka; kumbukumbu	Mara nyingi tunakumbuka mambo ya utotoni.	recordar; a lembrança	Frequentemente recordamos coisas da nossa infância.
活动	hareket etmek; etkinlik	Parkta bir süre hareket ettim.	kufanya mazoezi; shughuli	Nilienda bustanini kufanya mazoezi kidogo.	exercitar-se; a atividade	Fui ao parque fazer um pouco de exercício.
活泼	canlı; hareketli	Bu çocuk çok canlı.	mchangamfu; mwenye uhai	Mtoto huyu ni mchangamfu sana.	animado; vivo	Esta criança é muito animada.
火	ateş	Ateş tehlikelidir, lütfen dikkatli olun.	moto	Moto ni hatari, tafadhali kuwa mwangalifu.	o fogo	O fogo é perigoso, tenha cuidado.
获得	elde etmek; kazanmak	Başarı kazanınca da fazla gururlu olmamalısın.	kupata; kupokea	Hata ukipata mafanikio, usiwe na majivuno sana.	obter; receber	Mesmo depois de obter sucesso, não se deve ter orgulho demais.
基础	temel; dayanak	Lütfen özgün temel üzerinde biraz daha değişiklik yapın.	msingi	Tafadhali fanya marekebisho zaidi juu ya msingi wa awali.	a base; o fundamento	Por favor, faça mais uma alteração com base no original.
激动	heyecan verici; duygulanmış	Bu haber gerçekten heyecan verici.	kusisimua; kuguswa	Habari hii inasisimua kweli.	empolgante; emocionado	Esta notícia é realmente empolgante.
积极	aktif; olumlu	O, Çince öğrenmeye çok hevesli.	chanya; mwenye juhudi	Anajifunza Kichina kwa juhudi sana.	ativo; positivo	Ele estuda chinês de forma muito ativa.
积累	biriktirmek; birikim	İşinde çok deneyim biriktirdi.	kukusanya; mlundikano	Amekusanya uzoefu mwingi kazini.	acumular; o acúmulo	Ele acumulou muita experiência no trabalho.
即使	olsa bile; hatta	Zorluklarla karşılaşsan bile vazgeçme.	hata kama	Hata ukikutana na matatizo, usikate tamaa.	mesmo que	Mesmo que encontre dificuldades, não desista.
及时	zamanında; gecikmeden	Bu yağmur tam zamanında yağdı.	kwa wakati; mapema	Mvua hii imenyesha kwa wakati kabisa.	a tempo; oportuno	Esta chuva veio bem a tempo.
寄	postalamak; göndermek	Mektubun çoktan ulaştı.	kutuma kwa posta	Barua yako tayari imefikishwa.	enviar pelo correio	Sua carta já foi entregue.
技术	teknoloji; teknik; beceri	Bu karmaşık bir teknik sorun.	teknolojia; mbinu; ustadi	Hili ni suala tata la kiufundi.	a tecnologia; a técnica	Este é um problema técnico complexo.
既然	madem; olduğuna göre	Madem geldin, birlikte yemek yiyelim.	kwa kuwa; maadamu	Kwa kuwa umefika, tule pamoja.	já que; visto que	Já que você veio, vamos comer juntos.
继续	devam etmek	Şirkette çalışmaya devam etmek istediğini söyledi.	kuendelea	Alisema yuko tayari kuendelea kufanya kazi katika kampuni.	continuar	Ele disse que está disposto a continuar trabalhando na empresa.
计划	plan; proje	Planımı çoktan değiştirdim.	mpango	Nimebadilisha mpango wangu tayari.	o plano; o projeto	Já mudei meu plano.
记者	muhabir; gazeteci	Muhabir okul müdürüyle röportaj yapıyor.	mwandishi wa habari	Mwandishi wa habari anamhoji mkuu wa shule.	o repórter; o jornalista	O repórter está entrevistando o diretor da escola.
加班	fazla mesai yapmak	Bu hafta neredeyse her gün fazla mesai yaptık.	kufanya kazi ya ziada	Wiki hii tulifanya kazi ya ziada karibu kila siku.	fazer hora extra	Esta semana fizemos hora extra quase todos os dias.
加油站	benzin istasyonu	Evinizin yakınında benzin istasyonu var mı?	kituo cha mafuta	Je, kuna kituo cha mafuta karibu na nyumbani kwako?	o posto de gasolina	Há um posto de gasolina perto da sua casa?
家具	mobilya	Taşındıktan sonra yeni mobilya aldık.	samani	Baada ya kuhama tulibadilisha samani mpya.	os móveis	Depois da mudança, trocamos os móveis por novos.
假	sahte; yapay	Bu bilet sahte.	bandia; si kweli	Tiketi hii ni ya bandia.	falso; artificial	Este ingresso é falso.
价格	fiyat	Geçen yıldan beri arabaların fiyatı düşüyor.	bei	Tangu mwaka jana, bei ya magari imekuwa ikishuka.	o preço	Desde o ano passado, o preço dos carros vem caindo.
坚持	ısrar etmek; sebat etmek	O, kendi görüşünde hep ısrar etti.	kushikilia; kusisitiza	Daima ameshikilia maoni yake.	insistir; persistir	Ele sempre insistiu na própria opinião.
减肥	kilo vermek	Kilo vermek için her gün koşuyorum.	kupunguza uzito	Ninakimbia kila siku ili kupunguza uzito.	emagrecer; perder peso	Corro todos os dias para emagrecer.
减少	azalmak; azaltmak	Müşteriler üçte bir azaldı.	kupungua; kupunguza	Wateja wamepungua kwa theluthi moja.	diminuir; reduzir	Os clientes diminuíram em um terço.
建议	önermek; tavsiye etmek	Yarın bir gün dinlenmeyi öneriyorum.	kupendekeza; kushauri	Ninapendekeza tupumzike siku moja kesho.	sugerir; recomendar	Sugiro descansar um dia amanhã.
将来	gelecek; gelecekte	Gelecekte ne iş yapmayı planlıyorsun?	baadaye; siku zijazo	Unapanga kufanya kazi gani siku zijazo?	o futuro; no futuro	Que trabalho você pretende fazer no futuro?
奖金	prim; ikramiye	Yıl sonunda bir ikramiye ödedik.	bonasi; zawadi ya fedha	Mwisho wa mwaka tulitoa bonasi.	o bônus; o prêmio em dinheiro	Pagamos um bônus no fim do ano.
降低	düşürmek; azalmak	Sonbahar geldi, sıcaklık düşmeye başladı.	kupunguza; kushuka	Vuli imefika, joto limeanza kushuka.	reduzir; baixar	O outono chegou, e a temperatura começou a cair.
降落	inmek; iniş yapmak	Uçak birazdan inecek.	kutua	Ndege itatua hivi karibuni.	pousar; descer	O avião vai pousar em breve.
交	arkadaş edinmek; teslim etmek	Birçok Çinli arkadaş edindim.	kupata marafiki; kuwasilisha	Nimepata marafiki wengi Wachina.	fazer amizade; entregar	Fiz muitos amigos chineses.
交流	değişim; iletişim	Ülkeler arasındaki kültürel değişim gittikçe zenginleşiyor.	mawasiliano; mabadilishano	Mabadilishano ya kitamaduni kati ya nchi yanazidi kuwa mengi.	a troca; a comunicação	As trocas culturais entre países estão ficando cada vez mais ricas.
交通	ulaşım; trafik	Burada ulaşım çok elverişli.	usafiri; trafiki	Usafiri hapa ni rahisi.	o transporte; o trânsito	O transporte aqui é conveniente.
郊区	banliyö; şehir dışı	O, şehrin banliyösünde yaşıyor.	kitongoji; nje ya mji	Anaishi katika kitongoji cha jiji.	o subúrbio; a periferia	Ele mora no subúrbio da cidade.
骄傲	kibirli; gururlu	Başarı kazanınca da fazla gururlu olmamalısın.	mwenye majivuno	Hata ukipata mafanikio, usiwe na majivuno sana.	orgulhoso; arrogante	Mesmo depois de obter sucesso, não se deve ter orgulho demais.
饺子	jiaozi; Çin mantısı	Çinliler Bahar Bayramı'nda jiaozi yer.	jiaozi; maandazi ya Kichina	Wachina hula jiaozi wakati wa Sikukuu ya Msimu wa Machipuko.	o jiaozi; o bolinho chinês	Os chineses comem jiaozi durante a Festa da Primavera.
教授	profesör	O bir üniversite profesörü.	profesa	Yeye ni profesa wa chuo kikuu.	o professor universitário	Ele é professor universitário.
教育	eğitmek; eğitim	Çocukları eğitirken sabırlı olmak gerekir.	kuelimisha; elimu	Kuwaelimisha watoto kunahitaji uvumilivu.	educar; a educação	É preciso ter paciência ao educar crianças.
接受	kabul etmek	Tüm görüşlerini kabul ediyorum.	kukubali; kupokea	Ninakubali maoni yako yote.	aceitar; receber	Aceito todas as suas opiniões.
接着	sonra; devam etmek	Biraz düşündü, sonra yazmaya devam etti.	kisha; kuendelea	Alifikiri kwa muda, kisha akaendelea kuandika.	em seguida; continuar	Ele pensou por um tempo e continuou escrevendo.
结果	sonuç	Maçı izledin mi, sonuç nasıldı?	matokeo	Je, uliangalia mechi? Matokeo yalikuwaje?	o resultado	Você assistiu ao jogo? Qual foi o resultado?
节	bayram; tatil	Bugün hangi bayram?	sikukuu	Leo ni sikukuu gani?	o feriado; a festa	Que feriado é hoje?
节约	tasarruf etmek; korumak	Lütfen su tasarrufu yapın.	kuokoa; kutumia kwa uangalifu	Tafadhali tumia maji kwa uangalifu.	economizar; poupar	Por favor, economize água.
解释	açıklama; açıklamak	Sebebi çok açık açıkladı.	kueleza; maelezo	Alieleza sababu kwa uwazi sana.	explicar; a explicação	Ele explicou o motivo com muita clareza.
尽管	-rağmen; her ne kadar	Onu uzun zamandır tanısam da pek anlamıyorum.	ingawa; licha ya	Ingawa nimemjua kwa muda mrefu, simwelewi vizuri.	embora; apesar de	Embora eu o conheça há muito tempo, não o entendo bem.
紧张	gergin; stresli	İlk gösterisinde çok gergindi.	mwenye wasiwasi; mkali	Alikuwa na wasiwasi katika onyesho lake la kwanza.	nervoso; tenso	Ele estava nervoso na primeira apresentação.
禁止	yasaklamak	Burada sigara içmek yasaktır.	kukataza	Kuvuta sigara kunakatazwa hapa.	proibir; banir	É proibido fumar aqui.
进行	sürmek; yürütmek	Maç hâlâ devam ediyor.	kuendelea; kutekeleza	Mechi bado inaendelea.	estar em andamento; realizar	O jogo ainda está em andamento.
京剧	Pekin operası	O ünlü bir Pekin operası oyuncusu.	opera ya Beijing	Yeye ni mwigizaji maarufu wa opera ya Beijing.	a ópera de Pequim	Ela é uma famosa atriz de ópera de Pequim.
精彩	harika; mükemmel	Bugünkü gösteri harikaydı!	bora sana; ya kusisimua	Onyesho la leo lilikuwa bora sana!	esplêndido; brilhante	A apresentação de hoje foi incrível!
经济	ekonomi; ekonomik	Son yıllarda ekonomi hızla gelişti.	uchumi; kiuchumi	Uchumi umekua haraka katika miaka hii.	a economia; econômico	A economia se desenvolveu rapidamente nos últimos anos.
经历	deneyim; yaşamak	Seyahat deneyimini bir makale olarak yazdı.	uzoefu; kupitia	Aliandika makala kuhusu uzoefu wake wa safari.	a experiência; passar por	Ela escreveu um artigo sobre sua experiência de viagem.
经验	deneyim	O çok deneyimli bir öğretmen.	uzoefu	Yeye ni mwalimu mwenye uzoefu mkubwa.	a experiência	Ele é um professor experiente.
景色	manzara	Gün batımında deniz kenarındaki manzara çok güzel.	mandhari	Jua linapotua, mandhari ya ufukweni ni nzuri sana.	a paisagem; o cenário	Ao pôr do sol, a paisagem à beira-mar é linda.
警察	polis	Polis soruşturma yürütüyor.	polisi	Polisi wanafanya uchunguzi.	a polícia; o policial	A polícia está investigando.
竞争	rekabet etmek; rekabet	O çok özgüvenli ve insanlarla rekabet etmeyi sever.	kushindana; ushindani	Ana kujiamini sana na anapenda kushindana na wengine.	competir; a competição	Ele é muito confiante e gosta de competir com os outros.
竟然	beklenmedik şekilde; meğer	Onun böyle biri olduğunu hiç düşünmemiştim.	bila kutarajia; kumbe	Sikuwahi kufikiria kuwa kumbe ni mtu wa namna hii.	inesperadamente; surpreendentemente	Nunca imaginei que ele fosse uma pessoa assim.
镜子	ayna	Özür dilerim, aynayı kırdım.	kioo	Samahani, nilivunja kioo.	o espelho	Desculpe, quebrei o espelho.
究竟	aslında; tam olarak	Tam olarak neden ağlıyorsun?	hasa; kwa kweli	Kwa nini hasa unalia?	afinal; exatamente	Por que exatamente você está chorando?
举	kaldırmak	Lütfen soruyu cevaplamak için elinizi kaldırın.	kuinua	Tafadhali inua mkono kujibu swali.	levantar	Por favor, levante a mão para responder à pergunta.
举办	düzenlemek; gerçekleştirmek	Bu etkinliği biz düzenliyoruz.	kuandaa; kufanya	Tukio hili linaandaliwa na sisi.	organizar; realizar	Este evento é organizado por nós.
举行	yapılmak; düzenlemek	Toplantı saat ikide yapılacak.	kufanyika; kufanya	Mkutano utafanyika saa mbili.	realizar-se; realizar	A reunião será realizada às duas horas.
拒绝	reddetmek	O, herkesin davetini reddetti.	kukataa	Alikataa mwaliko wa kila mtu.	recusar; rejeitar	Ele recusou o convite de todos.
聚会	toplantı; parti; buluşma	Yarın bir buluşma var, katılmak ister misin?	sherehe; mkutano; kukutana	Kesho kuna sherehe, ungependa kushiriki?	a festa; o encontro	Amanhã há uma festa, você quer participar?
距离	mesafe; uzak olmak	Evim şirkete çok uzak.	umbali	Nyumbani kwangu ni mbali sana na kampuni.	a distância; ficar longe	Minha casa fica muito longe da empresa.
开玩笑	şaka yapmak	Benimle dalga mı geçiyorsun?	kutania	Je, unatania?	brincar; fazer piada	Você está brincando?
开心	mutlu olmak; eğlenmek	Kız kardeşim mutlulukla gülümsedi.	kufurahi	Dada yangu mdogo alitabasamu kwa furaha.	ficar feliz; divertir-se	Minha irmã sorriu feliz.
看法	görüş; fikir	O, kendi görüşünde hep ısrar etti.	maoni; mtazamo	Daima ameshikilia maoni yake.	a opinião; o ponto de vista	Ele sempre insistiu na própria opinião.
烤鸭	kızarmış ördek	Pekin ördeği çok ünlüdür.	bata aliyeokwa	Bata aliyeokwa wa Beijing ni maarufu sana.	o pato assado	O pato assado de Pequim é famoso.
考虑	düşünmek; değerlendirmek	Bu konuyu ciddi biçimde düşüneceğim.	kufikiria; kuzingatia	Nitalifikiria suala hili kwa makini.	considerar; pensar sobre	Vou considerar seriamente esta questão.
棵	ağaç ve bitkiler için ölçü sözcüğü	Bu ağaç hem uzun hem büyük.	kipimio cha miti na mimea	Mti huu ni mrefu na mkubwa.	classificador para árvores e plantas	Esta árvore é alta e grande.
科学	bilim; bilimsel	O, okulda çok bilimsel bilgi öğrendi.	sayansi; kisayansi	Alijifunza maarifa mengi ya kisayansi shuleni.	a ciência; científico	Ele aprendeu muito conhecimento científico na escola.
咳嗽	öksürmek	Soğuk algınlığı oldu ve çok kötü öksürüyor.	kukohoa	Ana mafua na anakohoa sana.	tossir	Ele está resfriado e tosse muito.
可怜	acınası; zavallı	Bu çocuk evini bulamıyor, çok zavallı.	wa huruma; kusikitisha	Mtoto huyu hawezi kupata nyumbani, inasikitisha sana.	coitado; digno de pena	Esta criança não consegue encontrar casa, que pena.
可是	ama; fakat	Çok gitmek istesem de gerçekten zamanım yok.	lakini	Ingawa nataka sana kwenda, kwa kweli sina muda.	mas; porém	Embora eu queira muito ir, realmente não tenho tempo.
可惜	yazık; ne yazık	Partimize gelememen çok yazık.	inasikitisha; ni bahati mbaya	Ni bahati mbaya sana kwamba huwezi kuja kwenye sherehe yetu.	uma pena; que pena	É uma pena que você não possa vir à nossa festa.
客厅	oturma odası	Babam oturma odasında televizyon izliyor.	sebule	Baba anaangalia televisheni sebuleni.	a sala de estar	Papai está assistindo TV na sala de estar.
肯定	kesin; emin olmak	Beşten önce kesin döneceğim.	hakika; kuthibitisha	Nitarudi hakika kabla ya saa tano.	com certeza; ter certeza	Com certeza vou voltar antes das cinco.
空	boş	Bu oda boş.	tupu	Chumba hiki ni kitupu.	vazio	Este quarto está vazio.
空气	hava	Parktaki hava çok temiz.	hewa	Hewa bustanini ni safi sana.	o ar	O ar no parque é muito fresco.
恐怕	korkarım; endişelenmek	Korkarım yağmur yağacak, şemsiye getirdin mi?	naogopa kuwa; huenda	Naogopa kuwa mvua itanyesha, umeleta mwavuli?	receio que; ter medo de	Receio que vá chover, você trouxe guarda-chuva?
苦	acı; sıkıntı	Bu kahve çok acı.	chungu; shida	Kikombe hiki cha kahawa ni kichungu sana.	amargo; o sofrimento	Esta xícara de café é muito amarga.
矿泉水	maden suyu; mineralli su	İki şişe maden suyu aldım.	maji ya madini	Nimenunua chupa mbili za maji ya madini.	a água mineral	Comprei duas garrafas de água mineral.
困	uykulu; yorgun	Uykum geldi, yatmaya gideceğim.	usingizi; kuchoka	Nina usingizi, nataka kwenda kulala.	com sono; cansado	Estou com sono e quero ir dormir.
困难	zor; zorluk	Bu görev benim için çok zor.	gumu; ugumu	Kazi hii ni ngumu sana kwangu.	difícil; a dificuldade	Esta tarefa é muito difícil para mim.
垃圾桶	çöp kutusu	Sokakta birçok çöp kutusu var.	pipa la taka	Kuna mapipa mengi ya taka barabarani.	a lixeira	Há muitas lixeiras na rua.
拉	çekmek; tutmak	Anne kızının elini tuttu.	kuvuta; kushika	Mama alishika mkono wa binti yake.	puxar; segurar	A mãe segurou a mão da filha.
辣	acılı; baharatlı	Çok acılı yemek yemeye alışkın değilim.	kali; yenye pilipili	Sijazoea kula chakula chenye pilipili kali sana.	apimentado; ardido	Não estou acostumado a comer pratos tão apimentados.
来不及	yetişememek; çok geç olmak	Bu sabah geç kalktım, kahvaltı etmeye zaman kalmadı.	kuchelewa; muda hautoshi	Nimeamka kuchelewa leo asubuhi, sikupata muda wa kula kifungua kinywa.	não dar tempo; ser tarde demais	Acordei tarde esta manhã e não deu tempo de tomar café.
来得及	yetişmek; hâlâ zaman olmak	Film ancak dokuz buçukta başlıyor, hâlâ zaman var.	kuwa na muda; kuwahi	Filamu inaanza saa tatu na nusu tu, bado kuna muda.	dar tempo; ainda haver tempo	O filme só começa às nove e meia, ainda dá tempo.
来自	-den gelmek	Ben Shandong eyaletinden geliyorum.	kutoka	Ninatoka Mkoa wa Shandong.	vir de	Eu venho da província de Shandong.
懒	tembel	Evdeki kedim çok tembel, bütün öğleden sonra uyur.	mvivu	Paka wangu ni mvivu sana, hulala mchana wote.	preguiçoso	Meu gato é muito preguiçoso e dorme a tarde toda.
浪费	israf etmek	Böyle yapmak sadece zaman israfıdır.	kupoteza; kufuja	Kufanya hivi ni kupoteza muda tu.	desperdiçar	Fazer isso é apenas desperdiçar tempo.
浪漫	romantik	Bu kitap romantik bir aşk hikayesi anlatıyor.	wa kimapenzi	Kitabu hiki kinasimulia hadithi ya mapenzi ya kimapenzi.	romântico	Este livro conta uma história de amor romântica.
老虎	kaplan	Her hayvanat bahçesine gittiğimizde oğlum en çok kaplanı izlemeyi sever.	chui-milia; tiger	Kila tunapoenda bustani ya wanyama, mwanangu hupenda zaidi kumtazama tiger.	o tigre	Sempre que vamos ao zoológico, meu filho gosta mais de ver o tigre.
冷静	sakin; soğukkanlı	Heyecanlanma, önce sakinleş.	tulivu; kutulia	Usisisimke, tulia kwanza.	calmo; acalmar-se	Não se agite, primeiro se acalme.
理发	saç kestirmek; saç kesimi	Ne zaman saç kestirmeye gideceksin?	kukata nywele	Utaenda kukata nywele lini?	cortar o cabelo; o corte de cabelo	Quando você vai cortar o cabelo?
理解	anlamak; kavrayış	Bu soruyu anlayabiliyor musun?	kuelewa	Je, unaweza kuelewa swali hili?	entender; compreender	Você consegue entender esta pergunta?
理想	ideal; hayal	İdealindeki meslek nedir?	bora; ndoto	Kazi yako ya ndoto ni ipi?	o ideal; o sonho	Qual é a sua carreira ideal?
礼拜天	Pazar	Bu pazar boş musun?	Jumapili	Je, una muda Jumapili hii?	o domingo	Você está livre neste domingo?
礼貌	nezaket; görgü	Bu çocuk çok terbiyeli.	adabu; heshima	Mtoto huyu ana adabu sana.	a educação; os bons modos	Esta criança é muito educada.
例如	örneğin; mesela	Sporu severim, örneğin koşu ve yüzme.	kwa mfano	Ninapenda michezo, kwa mfano kukimbia na kuogelea.	por exemplo	Gosto de esportes, por exemplo corrida e natação.
力气	güç	Bu kadar yol yürüdükten sonra o kadar yoruldum ki hiç gücüm kalmadı.	nguvu	Baada ya kutembea umbali mrefu hivi, nilichoka sana hadi sikuwa na nguvu kabisa.	a força	Depois de caminhar tanto, fiquei tão cansado que não tinha mais força.
厉害	ciddi; şiddetli	O çok ağır hastalandı ve hastaneye yattı.	kali; mbaya	Aliumwa sana na akalazwa hospitalini.	grave; severo	Ele ficou muito doente e foi hospitalizado.
俩	ikisi; ikimiz	İkimiz iyi arkadaşız.	wawili; sisi wawili	Sisi wawili ni marafiki wazuri.	os dois; nós dois	Nós dois somos bons amigos.
联系	bağlantı; iletişim	Üniversite arkadaşlarınla hâlâ iletişimin var mı?	mawasiliano; uhusiano	Je, bado una mawasiliano na wanafunzi wenzako wa chuo kikuu?	o contato; a ligação	Você ainda tem contato com seus colegas da faculdade?
连	bile; dahil	Beni bile nasıl unutursun?	hata; pamoja na	Unawezaje kumsahau hata mimi?	até; inclusive	Como você pôde esquecer até de mim?
凉快	serin; hoş serin	Sonbahar havası çok serin.	baridi ya kupendeza	Hali ya hewa ya vuli ni baridi ya kupendeza.	fresco; agradável	O tempo no outono é bem fresco.
零钱	bozuk para; küçük para	Bana biraz bozuk para yapabilir misiniz?	pesa ndogo	Je, unaweza kunibadilishia pesa ndogo?	o troco; o dinheiro miúdo	O senhor pode trocar dinheiro miúdo para mim?
另外	başka; ayrıca	Seninle başka bir konu daha konuşmak istiyorum.	nyingine; zaidi ya hayo	Nataka kuzungumza nawe kuhusu jambo lingine.	outro; além disso	Quero falar com você sobre outra coisa.
流利	akıcı	Çinceyi çok akıcı konuşuyorsun.	fasaha	Unazungumza Kichina kwa ufasaha.	fluente	Você fala chinês fluentemente.
流行	popüler; moda	Birçok genç pop müziği sever.	maarufu; ya mitindo	Vijana wengi wanapenda muziki maarufu.	popular; da moda	Muitos jovens gostam de música pop.
留	bırakmak; kalmak	Lütfen telefon numaranı bırak.	kuacha; kubaki	Tafadhali acha nambari yako ya simu.	deixar; ficar	Por favor, deixe seu número de telefone.
旅行	seyahat etmek; gezi	Yazın Yunnan'a seyahat etmeyi planlıyoruz.	kusafiri; safari	Tunapanga kusafiri kwenda Yunnan wakati wa kiangazi.	viajar; a viagem	Planejamos viajar para Yunnan no verão.
乱	dağınık; düzensiz	Yavru köpek odayı çok dağıttı.	fujo; isiyo na mpangilio	Mbwa mdogo aliifanya chumba kuwa fujo sana.	bagunçado; desordenado	O cachorrinho bagunçou muito o quarto.
律师	avukat	Annem bir avukat.	wakili	Mama yangu ni wakili.	o advogado; a advogada	Minha mãe é advogada.
麻烦	rahatsız etmek; zahmetli	Rica etsem bana bir bardak getirir misiniz?	kusumbua; usumbufu	Tafadhali unaweza kunisaidia kuchukua kikombe?	incomodar; problemático	O senhor poderia me ajudar a pegar um copo?
