simplified	SW	example_SW
捡	kuokota	Aliokota pochi iliyokuwa chini.
简历	wasifu wa kazi	Kabla ya kutafuta kazi, lazima uandae wasifu wa kazi.
简直	kabisa	Habari hii inashangaza kabisa.
健身	kufanya mazoezi	Hufanya mazoezi mara tatu kila wiki.
建立	kuanzisha	Tulianzisha uhusiano mpya.
建设	ujenzi	Ujenzi wa jiji unaendelea haraka.
建筑	jengo	Jengo hili lina sifa maalumu.
键盘	kibodi	Kibodi yangu inahitaji kusafishwa.
讲究	kuzingatia sana	Wachina huzingatia sana kula.
讲座	mhadhara	Usiku huu kuna mhadhara wa Kichina.
酱油	mchuzi wa soya	Ongeza mchuzi kidogo wa soya kwenye chakula.
交换	kubadilishana	Tulibadilishana namba za simu.
交际	mawasiliano	Kujifunza lugha pia kunahitaji kufanya mazoezi ya mawasiliano.
交往	kuwa katika uhusiano	Wamekuwa katika uhusiano kwa miaka miwili.
浇	kumwagilia	Tafadhali mwagilia maua kila siku.
胶水	gundi	Ninatumia gundi kubandika picha.
狡猾	mjanja	Mbweha yule ni mjanja sana.
角度	pembe; mtazamo	Tuangazie tatizo kwa mtazamo mwingine.
教材	kitabu cha kufundishia	Kitabu hiki cha kufundishia ni cha matumizi sana.
教练	kocha	Kocha alitutaka tufike kwa wakati.
教训	funzo	Kushindwa huku ni funzo.
接触	kukutana kwa mara ya kwanza	Mara ya kwanza nilikutana na utamaduni wa China.
接待	kupokea wageni	Kampuni ilipanga mtu maalumu kupokea wageni.
接近	karibia	Sikukuu ya Masika inazidi kukaribia.
结实	imara	Sanduku hili ni imara sana.
阶段	hatua	Kujifunza kumegawanywa katika hatua tatu.
结构	muundo	Muundo wa makala hii uko wazi.
结合	kuunganisha	Kujifunza kunapaswa kuunganishwa na vitendo.
结论	hitimisho	Hitimisho lake lina ushawishi sana.
结账	kulipa bili	Baada ya kula tulienda kulipa bili.
节省	kuokoa muda au fedha	Kupanda treni ya chini ya ardhi kunaweza kuokoa muda.
借口	kisingizio	Usitafute visingizio tena.
届	toleo; awamu	Haya ni mashindano ya awamu ya tatu.
戒	kuacha tabia	Daktari alimshauri aache kuvuta sigara.
戒指	pete	Amevaa pete.
金属	chuma	Aini ni aina ya chuma.
尽快	haraka iwezekanavyo	Tafadhali jibu barua pepe haraka iwezekanavyo.
紧急	dharura	Hii ni hali ya dharura.
谨慎	kuwa mwangalifu	Kabla ya kuwekeza lazima uwe mwangalifu.
尽力	kujitahidi	Nitajitahidi kukusaidia.
尽量	kadiri iwezekanavyo	Tafadhali fika mapema kadiri iwezekanavyo.
近代	kipindi cha kisasa cha karibu	Katika kipindi cha kisasa cha karibu, China imepitia mabadiliko mengi.
进步	maendeleo	Kichina chake kinaendelea haraka.
进口	kuagizwa kutoka nje	Gari hili limeagizwa kutoka nje.
精力	nguvu	Watoto wana nguvu nyingi.
精神	uchangamfu	Leo ana uchangamfu mzuri.
经典	ya kiasili; bora	Hii ni filamu bora ya kiasili.
经商	kufanya biashara	Baba yake hufanya biashara nje ya nchi.
经营	kuendesha biashara	Anaendesha duka dogo.
酒吧	sehemu ya vinywaji	Usiku walienda sehemu ya vinywaji.
救	kuokoa	Daktari aliokoa maisha yake.
救护车	gari la wagonjwa	Gari la wagonjwa lilifika haraka.
舅舅	mjomba	Mjomba wangu anaishi Nanjing.
居然	bila kutarajia	Bila kutarajia, alisahau siku yake ya kuzaliwa.
桔子	chungwa dogo	Mezani kuna machungwa madogo kadhaa.
俱乐部	chama cha burudani	Alijiunga na chama cha kuogelea.
具备	kuwa na	Ana uzoefu wa usimamizi.
具体	mahususi	Tafadhali sema kwa umahususi zaidi.
巨大	kubwa	Mradi huu unahitaji uwekezaji mkubwa.
据说	inasemekana	Inasemekana tayari amerudi nchini.
捐	kuchangia	Kila mtu yuko tayari kuchangia pesa.
决赛	mechi ya mwisho	Kesho ni mechi ya mwisho ya mpira wa miguu.
决心	azimio	Alifanya azimio la kujifunza Kichina vizuri.
绝对	kabisa	Jambo hili kabisa halipaswi kusahaulika.
角色	jukumu	Anaigiza jukumu muhimu kwenye filamu.
军事	kijeshi	Anavutiwa sana na historia ya kijeshi.
均匀	sawasawa	Tafadhali paka rangi sawasawa.
卡车	lori	Lori moja limesimama mlangoni.
开发	kuendeleza	Kampuni inaendeleza bidhaa mpya.
开放	kufunguliwa	Bustani hufunguliwa saa kumi na mbili asubuhi kila siku.
开幕式	sherehe ya ufunguzi	Sherehe ya ufunguzi itafanyika kesho usiku.
开水	maji moto	Tafadhali nipe glasi ya maji moto.
砍	kukata	Wafanyakazi wanakata matawi ya miti.
看不起	kumdharau	Usimdharau mtu yeyote.
看望	kumtembelea	Wikendi nitaenda kuwatembelea babu na bibi.
靠	kuegemea	Ameegemea ukutani akipumzika.
颗	kibonge; kipande	Angani usiku kuna nyota moja.
可见	inaonekana kuwa	Inaonekana kuwa njia hii ina ufanisi sana.
可靠	wa kuaminika	Yeye ni rafiki wa kuaminika.
可怕	kutisha	Ndoto hii inatisha sana.
克	gramu	Tafadhali ongeza gramu mbili za chumvi.
克服	kushinda	Tunapaswa kushinda matatizo.
刻苦	kwa bidii	Anasoma kwa bidii sana.
客观	bila upendeleo	Tafadhali chambua tatizo bila upendeleo.
课程	kozi	Kozi hii ina manufaa sana.
空间	nafasi	Chumba hiki kina nafasi kubwa.
控制	kudhibiti	Dereva alidhibiti mwendo wa gari.
空闲	muda wa ziada	Je, una muda wa ziada kesho mchana?
口味	ladha	Ladha yake ni nyepesi kiasi.
夸	kusifu	Mwalimu alimsifu kwa maendeleo makubwa.
夸张	kutia chumvi	Mwonekano wake wa uso una kutia chumvi kidogo.
会计	mhasibu	Anafanya kazi kama mhasibu katika kampuni.
宽	pana	Barabara hii ni pana sana.
昆虫	mdudu	Watoto wanachunguza wadudu.
扩大	kupanua	Shule inapanga kupanua maktaba.
辣椒	pilipili	Kwenye chakula kumewekwa pilipili nyingi.
拦	kusimamisha	Polisi alisimamisha gari moja.
烂	kuoza	Tofaa hili limeoza tayari.
朗读	kusoma kwa sauti	Tafadhali soma maandishi kwa sauti.
劳动	kazi	Kazi humfanya mtu ajisikie ametimiza kitu.
劳驾	samahani	Samahani, kituo cha treni ya chini ya ardhi kiko wapi?
姥姥	bibi upande wa mama	Bibi yangu upande wa mama hupika vizuri sana.
老百姓	raia wa kawaida	Raia wa kawaida wanajali gharama za maisha.
老板	mwenye biashara	Mwenye biashara leo hayuko ofisini.
老婆	mke	Alimnunulia mke wake maua.
老实	mkweli	Yeye ni mtu mkweli.
老鼠	panya	Kuna panya mmoja jikoni.
乐观	mwenye matumaini	Ana matumaini makubwa kuhusu siku zijazo.
雷	radi	Radi ya jana usiku ilikuwa kubwa sana.
类型	aina	Filamu ya aina hii ni ya aina gani?
冷淡	baridi; isiyo ya kirafiki	Mtazamo wake ni baridi kidogo.
厘米	sentimita	Kalamu hii ina urefu wa sentimita kumi na tano.
梨	pea	Nimenunua pea kadhaa.
离婚	talaka	Walitalikiana mwaka jana.
理论	nadharia	Nadharia hii ni ngumu sana.
理由	sababu	Una sababu gani ya kuchelewa?
利润	faida	Faida ya kampuni mwaka huu imeongezeka.
利息	riba	Riba ya benki si kubwa.
利益	maslahi	Tunapaswa kulinda maslahi ya kila mtu.
利用	kutumia	Anatumia wikendi kujifunza Kichina.
力量	nguvu	Umoja ni nguvu.
立即	mara moja	Tafadhali ondoka hapa mara moja.
立刻	mara moja	Baada ya kusikia habari, alianza safari mara moja.
联合	kuungana	Kampuni mbili ziliungana kuendeleza bidhaa.
连忙	haraka	Baada ya kusikia simu, aliipokea haraka.
连续	mfululizo	Alifanya kazi kwa saa kumi mfululizo.
恋爱	mapenzi	Wako kwenye mapenzi.
粮食	nafaka	Mwaka huu uzalishaji wa nafaka umeongezeka.
良好	nzuri	Ana tabia nzuri za kujifunza.
亮	angavu	Taa za chumbani ni angavu sana.
了不起	wa ajabu	Alipata mafanikio ya ajabu.
列车	treni	Treni inakaribia kuondoka.
临时	ya muda mfupi	Huu ni uamuzi wa muda mfupi.
灵活	nyumbufu	Mbinu za kujifunza zinapaswa kuwa nyumbufu.
铃	kengele	Kengele ya kuanza somo imelia.
零件	kifaa kidogo	Mashine imepungukiwa na kifaa kimoja kidogo.
零食	vitafunwa	Watoto hupenda kula vitafunwa.
领导	kiongozi	Kiongozi yuko kwenye mkutano.
领域	uwanja	Anafanya kazi katika uwanja wa elimu.
流传	kuenezwa	Hadithi hii imeenezwa kwa muda mrefu.
流泪	kutoa machozi	Aliposikia habari hii, alitoa machozi.
浏览	kupitia	Nitaanza kwa kupitia ukurasa wa mtandao.
龙	joka	Kwenye utamaduni wa China kuna joka.
漏	kuvuja	Paa linavuja mvua.
录取	kukubaliwa	Alikubaliwa na chuo kikuu.
录音	kurekodi sauti	Tafadhali anza kurekodi sauti.
陆地	nchi kavu	Kasa wa baharini alipanda kwenye nchi kavu.
陆续	mmoja baada ya mwingine	Wageni walifika mmoja baada ya mwingine.
轮流	kwa zamu	Tunasafisha darasa kwa zamu.
论文	tasnifu	Anaandika tasnifu ya kuhitimu.
逻辑	mantiki	Mantiki yake iko wazi sana.
落后	kubaki nyuma	Hatupaswi kubaki nyuma ya wengine.
骂	kukemea	Tafadhali usiwakemee watoto.
麦克风	kipaza sauti	Tafadhali mpe kipaza sauti.
馒头	mkate wa mvuke	Asubuhi nilikula mkate mmoja wa mvuke.
满足	kukidhi	Jibu hili haliwezi kukidhi mahitaji.
毛病	tatizo	Tarakilishi hii ina tatizo kidogo.
矛盾	mgongano	Kuna migongano fulani kati yao.
冒险	hatari	Kwenda huko peke yako ni hatari sana.
贸易	biashara	Biashara ya kimataifa inaendelea haraka.
媒体	vyombo vya habari	Vyombo vya habari viliripoti jambo hili.
煤炭	makaa ya mawe	Eneo hili huzalisha makaa ya mawe.
眉毛	nyusi	Nyusi zake ni nene.
美术	sanaa	Dada yangu mdogo anapenda sanaa.
魅力	mvuto	Jiji hili lina mvuto mkubwa.
梦想	ndoto	Ndoto yake ni kuwa daktari.
密切	karibu	Tunaendelea kuwa na mawasiliano ya karibu.
秘密	siri	Hii ni siri yetu.
秘书	katibu	Katibu alipanga muda wa mkutano.
蜜蜂	nyuki	Kwenye maua kuna nyuki wengi.
面对	kukabiliana	Tunapaswa kukabiliana na matatizo kwa ujasiri.
面积	eneo	Eneo la chumba hiki si kubwa.
面临	kukabili	Kampuni inakabili changamoto mpya.
描写	kueleza kwa maandishi	Mwandishi alieleza maisha ya kijijini.
苗条	mwembamba	Umbo lake ni jembamba.
敏感	nyeti	Mada hii ni nyeti kiasi.
名牌	chapa maarufu	Alinunua saa ya chapa maarufu.
名片	kadi ya biashara	Tafadhali nipe kadi ya biashara.
名胜古迹	maeneo maarufu ya kihistoria	Beijing ina maeneo mengi maarufu ya kihistoria.
明确	wazi	Mwalimu alieleza mahitaji kwa uwazi.
明显	dhahiri	Maendeleo yake ni dhahiri sana.
明星	nyota	Anataka kuwa nyota wa filamu.
命令	amri	Askari lazima watii amri.
命运	hatima	Anaamini hatima inaweza kubadilika.
摸	kugusa	Tafadhali usiguse picha hii.
摩托车	pikipiki	Anapanda pikipiki kwenda kazini.
模仿	kuiga	Watoto hupenda kuiga watu wazima wakizungumza.
模糊	isiyo wazi	Picha hii si wazi kidogo.
模特	mwanamitindo	Yeye ni mwanamitindo wa mavazi.
陌生	isiyofahamika	Jiji hili si la kufahamika kwangu.
某	fulani	Mwalimu fulani alinipigia simu.
木头	mbao	Meza hii imetengenezwa kwa mbao.
目标	lengo	Lengo langu ni kufaulu mtihani.
目录	yaliyomo	Tafadhali angalia kwanza yaliyomo mwanzoni mwa kitabu.
目前	kwa sasa	Kwa sasa hali ni tulivu kiasi.
哪怕	hata kama	Hata kama ana shughuli nyingi, bado anaendelea kusoma.
难怪	ndiyo maana	Ndiyo maana leo una furaha hivi.
难免	haiwezi kuepukika	Ukifanya kwa mara ya kwanza, makosa hayawezi kuepukika.
脑袋	kichwa	Kichwa chake kinauma kidogo.
内部	ndani	Hizi ni taarifa za ndani za kampuni.
内科	tiba ya ndani	Leo alienda kuona daktari wa tiba ya ndani.
嫩	laini	Nyama hii ni laini sana.
能干	mwenye uwezo	Yeye ni mtu mwenye uwezo sana.
能源	nishati	Nishati ya jua ni nishati safi.
嗯	naam	Naam, nimeelewa.
年代	miaka	Picha hii ilipigwa katika miaka ya themanini.
年纪	umri	Umri wake si mkubwa, lakini ana uzoefu mwingi.
念	kusoma kwa sauti	Tafadhali soma maandishi mara moja.
宁可	afadhali	Afadhali nitembee kuliko kusubiri gari.
牛仔裤	suruali ya kitambaa kigumu	Amevaa suruali ya kitambaa kigumu.
农村	kijiji	Alikulia kijijini.
农民	mkulima	Wakulima wanafanya kazi shambani.
农业	kilimo	Kilimo ni muhimu sana kwa eneo hili.
浓	kali	Kahawa hii ni kali mno.
女士	mwanamke	Mwanamke yule anasubiri gari.
欧洲	Ulaya	Mwezi ujao atasafiri kwenda Ulaya.
偶然	kwa bahati	Nilikutana na mwanafunzi mwenzangu wa zamani kwa bahati.
拍	kupiga	Tafadhali nisaidie kupiga picha.
派	kutuma	Kampuni ilimtuma Shanghai kwa safari ya kikazi.
盼望	kutarajia	Natarajia kukuona mapema.
培训	mafunzo	Wafanyakazi wapya lazima washiriki mafunzo.
培养	kukuza	Shule inatilia maanani kukuza uwezo wa wanafunzi.
赔偿	kufidia	Kampuni ilikubali kufidia hasara.
佩服	kumheshimu	Ninaheshimu sana ujasiri wake.
配合	kushirikiana	Tafadhali wote shirikianeni na mpango wa mwalimu.
盆	chungu	Barazani kuna chungu kimoja cha maua.
碰	kugusa	Kuwa mwangalifu, usiguse maji moto.
批	kundi	Kundi hili la bidhaa limefika leo.
批准	kuidhinisha	Meneja aliidhinisha mpango huu.
披	kujifunika	Amejifunika koti.
疲劳	uchovu	Kufanya kazi kwa muda mrefu huleta uchovu.
匹	kihesabu cha farasi	Kwenye nyasi kuna farasi mmoja.
片	kipande	Tafadhali nipe kipande kimoja cha mkate.
片面	upande mmoja	Mtazamo huu ni wa upande mmoja mno.
飘	kuelea	Vipande vya theluji vinaelea angani.
拼音	pinyin	Tafadhali andika pinyin kando ya herufi za Kichina.
频道	kituo	Tafadhali badilisha hadi kituo cha habari.
凭	kwa kutumia	Kwa kutumia tiketi unaweza kuingia.
平均	wastani	Kwa wastani kila mtu alitumia yuan kumi.
平	tambarare	Barabara hii ni tambarare.
平安	salama	Nakutakia safari salama.
平常	kawaida	Kwa kawaida huchelewa mara chache sana.
平等	usawa	Kila mtu anapaswa kutendewa kwa usawa.
平方	mraba	Chumba hiki kina mita za mraba ishirini.
平衡	usawaziko	Kazi na maisha vinahitaji usawaziko.
平静	tulivu	Uso wa ziwa ni tulivu sana.
评价	tathmini	Mwalimu alitoa tathmini ya juu sana.
破产	kufilisika	Kampuni ile ilifilisika mwaka jana.
破坏	kuharibu	Tafadhali usiharibu mali ya umma.
迫切	haraka sana	Tunahitaji madaktari zaidi kwa haraka sana.
期待	kutarajia	Ninatarajia sana safari hii.
期间	wakati	Wakati wa mkutano tafadhali zima simu ya mkononi.
其余	zilizobaki	Maswali yaliyobaki yatajadiliwa kesho.
奇迹	muujiza	Daktari alisema huu ni muujiza.
企业	biashara	Biashara hii inaendelea haraka.
启发	msukumo	Kitabu hiki kilinipa msukumo mkubwa.
气氛	mazingira	Mazingira darasani ni mepesi sana.
汽油	petroli	Gari linahitaji kujazwa petroli.
签	kusaini	Tafadhali saini jina lako hapa.
谦虚	mnyenyekevu	Yeye ni bora sana, na pia ni mnyenyekevu.
前途	mustakabali	Taaluma hii ina mustakabali mzuri.
浅	chepesi; kifupi	Mto huu ni mfupi sana.
欠	kudaiwa	Bado ananidai yuan ishirini.
枪	bunduki	Polisi ameshika bunduki mkononi.
墙	ukuta	Ukutani kumening'inizwa picha moja.
强调	kusisitiza	Mwalimu alisisitiza suala la usalama.
强烈	kali	Ana hisia kali ya uwajibikaji.
抢	kugombania	Usigombanie kiti na wengine.
悄悄	kimya kimya	Aliingia chumbani kimya kimya.
瞧	tazama	Tazama, nje kunanyesha theluji.
巧妙	ya busara	Mbinu hii ni ya busara sana.
切	kukata	Tafadhali kata matunda vipande vidogo.
亲爱	mpendwa	Rafiki mpendwa, asante.
亲切	ya ukarimu	Mwalimu huzungumza kwa ukarimu.
亲自	mwenyewe	Meneja aliwapokea wageni mwenyewe.
勤奋	mwenye bidii	Watu wenye bidii hufanikiwa kwa urahisi zaidi.
清淡	nyepesi	Ninapenda kula chakula chenye ladha nyepesi.
轻视	kudharau	Usidharau tatizo hili dogo.
轻易	kwa urahisi	Hatakata tamaa kwa urahisi.
青	kijani kibichi	Nguo hii ina rangi ya kijani kibichi.
青春	ujana	Ujana ni wa thamani.
青少年	vijana	Vijana wanahitaji usingizi wa kutosha.
情景	tukio	Tukio kwenye filamu linagusa moyo sana.
情绪	hisia	Hisia zake si tulivu sana.
请求	ombi	Alitoa ombi moja.
庆祝	kusherehekea	Tulisherehekea siku yake ya kuzaliwa.
球迷	shabiki wa mpira	Mashabiki wengi wa mpira walikuja kutazama mchezo.
趋势	mwelekeo	Mwelekeo huu unazidi kuwa dhahiri.
取消	kufuta	Kwa sababu ya mvua, shughuli ilifutwa.
娶	kuoa	Anapanga kumuoa mwaka ujao.
去世	kufariki	Babu yake alifariki mwaka jana.
圈	duara	Tafadhali chora duara kwenye jibu sahihi.
全面	kwa ukamilifu	Tunahitaji kuelewa hali kwa ukamilifu.
权利	haki	Kila mtu ana haki ya kupata elimu.
权力	mamlaka	Mamlaka yanapaswa kusimamiwa.
劝	kushauri	Rafiki yangu alinishauri nipumzike mapema.
缺乏	kukosa	Eneo hili linakosa maji safi.
确定	kuthibitisha	Bado siwezi kuthibitisha muda.
确认	kuthibitisha	Tafadhali thibitisha anwani yako.
群	kundi	Kundi la watoto linacheza uwanjani.
燃烧	kuwaka	Mbao zinaungua.
绕	kuzunguka	Tulizunguka ziwa mara moja.
热爱	kupenda sana	Anapenda sana kazi yake.
热烈	kwa uchangamfu	Kila mtu aliwakaribisha wageni kwa uchangamfu.
热心	mwenye moyo wa kusaidia	Majirani wote wana moyo wa kusaidia.
人才	wenye vipaji	Kampuni inahitaji watu wengi zaidi wenye vipaji.
人口	idadi ya watu	Jiji hili lina idadi kubwa ya watu.
人类	binadamu	Binadamu wanahitaji kulinda dunia.
人民币	yuan za China	Nilibadilisha fedha kuwa yuan za China.
人生	maisha	Maisha yana chaguo nyingi.
人事	rasilimali watu	Anafanya kazi katika idara ya rasilimali watu.
人物	mhusika	Wahusika kwenye riwaya ni wa kweli sana.
人员	wafanyakazi	Wafanyakazi wote wamefika tayari.
忍不住	kushindwa kujizuia	Aliposikia mzaha, alishindwa kujizuia kucheka.
日常	kila siku	Hii ni kazi yangu ya kila siku.
日程	ratiba	Ratiba ya leo imejaa sana.
日历	kalenda	Ukutani kumening'inizwa kalenda.
日期	tarehe	Tafadhali andika tarehe kwa uwazi.
日用品	bidhaa za matumizi ya kila siku	Duka kubwa linauza bidhaa nyingi za matumizi ya kila siku.
日子	siku	Siku hizi ana shughuli nyingi.
如何	jinsi gani	Tutatatuaje tatizo hili?
如今	siku hizi	Siku hizi usafiri umekuwa rahisi zaidi.
软	laini	Kitanda hiki ni laini sana.
软件	mfumo wa tarakilishi	Mfumo huu wa tarakilishi ni rahisi kutumia.
弱	dhaifu	Mwili wake ni dhaifu kiasi.
洒	kumwaga	Alimwaga maji bila kukusudia.
嗓子	koo	Koo langu linauma kidogo.
色彩	rangi	Picha hii ina rangi nyingi sana.
杀	kuua	Katika filamu hii hakuna tukio la kuua mtu.
沙漠	jangwa	Maji jangwani ni ya thamani sana.
沙滩	ufukwe	Watoto wanacheza ufukweni.
傻	kijinga	Usifanye jambo la kijinga.
晒	kuanikwa	Nguo zinaanikwa barazani.
删除	kufuta	Tafadhali futa barua pepe hii.
闪电	umeme wa radi	Usiku kulitokea umeme wa radi.
善良	mwema	Yeye ni mtu mwema.
善于	kuwa hodari	Ana hodari wa kutatua matatizo.
扇子	kipepeo cha mkononi	Wakati wa kiangazi mara nyingi hutumia kipepeo cha mkononi.
伤害	kuumiza	Usiumize hisia za wengine.
商品	bidhaa	Duka hili lina bidhaa nyingi.
商务	biashara	Kesho atashiriki mkutano wa biashara.
商业	biashara	Biashara ya eneo hili imeendelea sana.
上当	kudanganywa	Karibu adanganywe.
蛇	nyoka	Kwenye majani kuna nyoka mmoja.
舍不得	kushindwa kuacha	Siwezi kuondoka hapa kwa urahisi.
射击	kufyatua risasi	Anafanya mazoezi ya kufyatua risasi.
摄影	upigaji picha	Anavutiwa sana na upigaji picha.
设备	vifaa	Vifaa vya maabara ni vya kisasa sana.
设计	ubunifu	Ubunifu huu una mawazo mapya.
设施	miundombinu	Miundombinu ya michezo ya shule ni nzuri sana.
伸	kunyoosha	Tafadhali nyoosha mkono wako.
深刻	ya kina	Uzoefu huu uliniachia hisia ya kina.
身材	umbo	Umbo lake lina afya.
身份	utambulisho	Tafadhali onyesha uthibitisho wa utambulisho.
神话	hadithi za miungu	Watoto hupenda kusikiliza hadithi za miungu.
神秘	ya fumbo	Jiji hili la kale lina fumbo sana.
升	lita	Bei ya mafuta imepanda kidogo kwa kila lita.
声调	toni	Kichina kina toni nne za msingi.
生产	kuzalisha	Kiwanda hiki huzalisha simu za mkononi.
生动	hai; ya kuvutia	Mwalimu alieleza kwa namna ya kuvutia sana.
生长	kukua	Mmea huu hukua haraka sana.
绳子	kamba	Tafadhali tumia kamba kufunga sanduku vizuri.
省略	kuacha	Hapa unaweza kuacha herufi moja.
胜利	ushindi	Hatimaye walipata ushindi.
失眠	kukosa usingizi	Hivi karibuni mara nyingi anakosa usingizi.
失去	kupoteza	Usipoteze imani.
失业	kukosa kazi	Baada ya kukosa kazi, alianza kujifunza ujuzi mpya.
湿润	unyevu	Hewa baada ya mvua ina unyevu.
狮子	simba	Kuna simba wawili bustanini mwa wanyama.
诗	shairi	Aliandika shairi moja.
实话	ukweli	Tafadhali sema ukweli.
实践	vitendo	Nadharia inahitaji kupimwa kupitia vitendo.
实习	mafunzo ya kazi	Wakati wa likizo ya majira ya joto alienda kufanya mafunzo ya kazi hospitalini.
实现	kutimiza	Hatimaye alitimiza ndoto yake.
实验	jaribio	Wanafunzi wanafanya jaribio.
实用	ya matumizi	Zana hii ina matumizi sana.
时差	tofauti ya saa	Bado hajazoea tofauti ya saa.
时代	enzi	Tunaishi katika enzi ya habari.
时刻	wakati	Tafadhali kumbuka wakati huu muhimu.
时髦	ya kisasa	Nguo hii ni ya kisasa sana.
时期	kipindi	Kipindi cha chuo kikuu kilimwathiri sana.
时尚	mitindo	Anavutiwa sana na mitindo.
石头	jiwe	Kando ya barabara kuna jiwe moja.
食物	chakula	Tafadhali weka chakula kwenye jokofu.
使劲儿	kutumia nguvu	Kufungua chupa hii kunahitaji kutumia nguvu.
始终	daima	Daima aliamini kuwa anaweza kufanikiwa.
事实	ukweli	Ukweli ulithibitisha kuwa alikuwa sahihi.
事物	vitu	Watoto wana udadisi kuhusu vitu vipya.
事先	mapema	Tafadhali niambie muda mapema.
似的	kana kwamba	Amechoka kana kwamba hataki kusema neno hata moja.
士兵	askari	Askari wanafanya mazoezi.
市场	soko	Soko hili lina shughuli nyingi.
试卷	karatasi ya mtihani	Mwalimu anasahihisha karatasi za mtihani.
收获	manufaa	Safari hii iliniletea manufaa mengi.
收据	stakabadhi	Baada ya kulipa tafadhali hifadhi stakabadhi.
手工	kazi ya mikono	Zawadi hii imetengenezwa kwa kazi ya mikono.
手术	upasuaji	Daktari atamfanyia upasuaji kesho.
手套	glavu	Wakati wa baridi ukitoka nje vaa glavu.
手续	taratibu	Kushughulikia taratibu kunahitaji kitambulisho.
手指	kidole	Kidole chake kimejeruhiwa.
首	wimbo	Aliimba wimbo mmoja.
受伤	kujeruhiwa	Alijeruhiwa kwenye mashindano.
寿命	muda wa kudumu	Aina hii ya mashine ina muda mrefu wa kudumu.
书架	rafu ya vitabu	Rafu ya vitabu imejaa vitabu.
梳子	chanuo	Anatumia chanuo kuchana nywele.
舒适	starehe	Chumba hiki ni cha starehe sana.
蔬菜	mboga	Kula mboga nyingi ni vizuri kwa mwili.
输入	kuingiza	Tafadhali ingiza nenosiri kwenye tarakilishi.
熟练	kwa ustadi	Anaweza kutumia tarakilishi kwa ustadi.
属于	kuwa mali ya	Kitabu hiki ni mali ya maktaba.
数	kuhesabu	Tafadhali hesabu kuna watu wangapi.
鼠标	kifaa cha kuelekeza	Kifaa changu cha kuelekeza kimeharibika.
数据	takwimu	Takwimu hizi ni muhimu sana.
数码	kidijitali	Alinunua kamera ya kidijitali.
摔倒	kuanguka	Alianguka barabarani.
甩	kutikisa	Alitikisa maji yaliyokuwa mkononi.
双方	pande zote mbili	Pande zote mbili zilikubali mpango huu.
税	kodi	Unaponunua vitu lazima ulipe kodi.
说不定	huenda	Huenda kesho theluji ikanyesha.
说服	kumshawishi	Hatimaye aliwashawishi wazazi wake.
丝绸	hariri	Skafu hii imetengenezwa kwa hariri.
丝毫	hata kidogo	Hakubadilisha mawazo yake hata kidogo.
思考	kufikiria	Tafadhali fikiria tatizo hili kwa makini.
思想	mawazo	Mawazo yake yako wazi sana.
撕	kurarua	Tafadhali usirarue karatasi hii.
私人	binafsi	Hii ni nafasi yangu binafsi.
似乎	kana kwamba	Anaonekana kana kwamba hana furaha sana.
搜索	kutafuta	Ninatafuta nyenzo mtandaoni.
宿舍	bweni	Wanafunzi wanaishi kwenye bweni la shule.
随身	kubeba pamoja	Tafadhali beba pasipoti yako pamoja nawe.
随时	wakati wowote	Unaweza kunipigia simu wakati wowote.
随手	kwa kawaida unapoondoka	Unapoondoka, tafadhali funga mlango.
碎	kuvunjika	Kikombe kilianguka chini na kuvunjika.
损失	hasara	Ajali hii ilisababisha hasara kubwa.
缩短	kufupisha	Njia mpya imefupisha safari.
所	kihesabu cha taasisi	Shule hii ni maarufu sana.
锁	kufunga kwa kufuli	Kabla ya kutoka, tafadhali funga mlango kwa kufuli.
台阶	ngazi	Mzee alipanda ngazi polepole.
太极拳	taijiquan	Kwenye bustani kuna watu wanafanya mazoezi ya taijiquan.
太太	bi	Wang Bi anapika.
谈判	mazungumzo	Pande zote mbili zinafanya mazungumzo.
坦率	wazi	Alisema mawazo yake kwa uwazi.
烫	moto sana	Chai hii ni moto sana.
桃	pichi	Mtini kuna pichi nyingi.
淘气	mtundu	Mtoto huyu ni mtundu kidogo.
逃	kukimbia	Mbwa mdogo alikimbia kutoka uani.
逃避	kukwepa	Usikwepe wajibu.
讨价还价	kupatana bei	Anapenda kupatana bei anaponunua vitu.
套	nguo kamili	Alinunua nguo mpya kamili.
特色	sifa maalumu	Mgahawa huu una sifa za eneo hilo.
特殊	maalumu	Leo ni siku maalumu.
特征	sifa	Aina hii ya mnyama ina sifa dhahiri.
疼爱	kupenda kwa upendo mkubwa	Babu na bibi wanampenda mtoto kwa upendo mkubwa.
提倡	kuhimiza	Shule inahimiza kuokoa maji.
提纲	muhtasari	Kabla ya kuandika makala, kwanza andika muhtasari.
提问	kuuliza swali	Wanafunzi wanaweza kuuliza maswali wakati wowote.
题目	swali; mada	Swali hili si gumu sana.
体会	uelewa	Kupitia safari, nilipata uelewa mpya.
体贴	kujalia	Anawajalia sana watu wa familia yake.
体现	kuonyesha	Jambo hili linaonyesha roho ya timu.
体验	kujaribu uzoefu	Nataka kujaribu uzoefu wa maisha ya eneo hilo.
天空	anga	Anga la leo ni la buluu sana.
天真	rahisi na isiyo na hila	Mawazo ya mtoto ni rahisi sana.
调皮	mtundu	Paka yule ni mtundu sana.
调整	kurekebisha	Tunahitaji kurekebisha mpango.
挑战	changamoto	Hii ni changamoto kubwa.
