simplified	TH	example_TH
姑姑	ป้าฝ่ายพ่อ; อาผู้หญิงฝ่ายพ่อ	สุดสัปดาห์นี้ฉันจะไปเยี่ยมป้าฝ่ายพ่อของฉัน
姑娘	หญิงสาว	หญิงสาวคนนั้นมีน้ำใจมาก
古代	สมัยโบราณ	สมัยโบราณไม่มีโทรศัพท์มือถือ
古典	คลาสสิก	ฉันชอบดนตรีคลาสสิก
股票	หุ้น	เขาซื้อหุ้นบางส่วน
骨头	กระดูก	กระดูกชิ้นนี้แข็งมาก
鼓舞	ให้กำลังใจ	ข่าวนี้ให้กำลังใจผู้คนมาก
鼓掌	ปรบมือ	ผู้ชมปรบมือให้นักแสดง
固定	ประจำ; คงที่	ฉันมีเวลาทำงานประจำ
挂号	ลงทะเบียนพบแพทย์	ก่อนพบแพทย์ต้องลงทะเบียนก่อน
乖	ว่านอนสอนง่าย	เด็กคนนี้ว่านอนสอนง่ายมาก
拐弯	เลี้ยว	ตรงสี่แยกข้างหน้าให้เลี้ยวขวา
怪不得	มิน่าล่ะ	มิน่าล่ะคุณถึงเหนื่อยขนาดนี้
关闭	ปิด	ก่อนออกไปกรุณาปิดคอมพิวเตอร์
官	เจ้าหน้าที่รัฐ	เขาเป็นเจ้าหน้าที่รัฐหนุ่มคนหนึ่ง
观察	สังเกต	แพทย์กำลังสังเกตอาการของผู้ป่วย
观点	มุมมอง; ความเห็น	ฉันเห็นด้วยกับมุมมองของคุณ
观念	แนวคิด; ทัศนคติ	แนวคิดของคนหนุ่มสาวกำลังเปลี่ยนไป
管子	ท่อ	ท่อนี้รั่วน้ำ
冠军	แชมป์	เธอได้แชมป์ในการแข่งขัน
光滑	เรียบลื่น	พื้นผิวของโต๊ะตัวนี้เรียบลื่นมาก
光临	มาเยือน; ให้เกียรติมา	ยินดีต้อนรับให้คุณมาอีกครั้ง
光明	สว่าง; สดใส	อนาคตสดใส
光盘	แผ่นดิสก์	กรุณาบันทึกข้อมูลลงในแผ่นดิสก์
广场	จัตุรัส	บนจัตุรัสมีคนจำนวนมาก
广大	กว้างขวาง; จำนวนมาก	ข่าวนี้ได้รับการต้อนรับจากนักเรียนจำนวนมาก
广泛	กว้างขวาง	หนังสือเล่มนี้มีอิทธิพลกว้างขวาง
归纳	สรุป	ครูช่วยพวกเราสรุปประเด็นสำคัญ
规矩	กฎระเบียบ; มารยาท	เด็กควรรู้กฎระเบียบ
规律	กฎเกณฑ์; จังหวะสม่ำเสมอ	ชีวิตควรมีจังหวะที่สม่ำเสมอ
规模	ขนาด	บริษัทนี้มีขนาดใหญ่
规则	กฎ	กฎการแข่งขันชัดเจนมาก
柜台	เคาน์เตอร์	กรุณาไปชำระเงินที่เคาน์เตอร์
滚	เดือด; กลิ้ง	น้ำเดือดแล้ว
锅	หม้อ; กระทะ	ในหม้อมีซุปร้อน ๆ
国庆节	วันชาติจีน	วันชาติจีนพวกเราหยุดงาน
国王	กษัตริย์	กษัตริย์อาศัยอยู่ในพระราชวัง
果然	จริงอย่างที่คาด	เขามาถึงตรงเวลาจริงอย่างที่คาด
果实	ผลไม้; ผลสำเร็จ	บนต้นไม้เต็มไปด้วยผล
过分	เกินไป	ข้อเรียกร้องของเขาเกินไปหน่อย
过敏	แพ้	ฉันแพ้เกสรดอกไม้
过期	หมดอายุ	นมขวดนี้หมดอายุแล้ว
哈	ฮ่า; เสียงหัวเราะ	ฮ่า ในที่สุดฉันก็เข้าใจแล้ว
海关	ศุลกากร	พวกเราต่อแถวตรวจที่ศุลกากร
海鲜	อาหารทะเล	อาหารทะเลของร้านนี้สดมาก
喊	ตะโกน	อย่าตะโกนเสียงดังในห้องเรียน
行业	อุตสาหกรรม; ธุรกิจ	อุตสาหกรรมการท่องเที่ยวพัฒนาเร็วมาก
豪华	หรูหรา	พวกเขาพักที่โรงแรมหรูแห่งหนึ่ง
好客	มีอัธยาศัยดี	คนท้องถิ่นมีอัธยาศัยดีมาก
好奇	อยากรู้อยากเห็น	เด็ก ๆ อยากรู้อยากเห็นเกี่ยวกับโลกมาก
何必	จำเป็นอะไรต้อง	จำเป็นอะไรต้องโกรธเรื่องเล็ก ๆ
何况	ยิ่งไปกว่านั้น	วันนี้หนาวมาก ยิ่งไปกว่านั้นยังฝนตกด้วย
合法	ถูกกฎหมาย	สัญญาฉบับนี้ถูกกฎหมาย
合理	สมเหตุสมผล	ราคานี้สมเหตุสมผลมาก
合同	สัญญา	พวกเขาเซ็นสัญญาหนึ่งฉบับ
合影	ถ่ายรูปร่วมกัน	ตอนเรียนจบพวกเราถ่ายรูปร่วมกัน
合作	ร่วมมือ	พวกเราร่วมมือกันทำโครงการจนเสร็จ
和平	สันติภาพ	ทุกคนหวังให้มีสันติภาพ
核心	แก่น; หัวใจสำคัญ	ความไว้วางใจคือหัวใจสำคัญของความร่วมมือ
恨	เกลียด; เสียดาย	เขาเสียดายที่ตัวเองไม่พยายามให้เร็วกว่านี้
猴子	ลิง	ในสวนสัตว์มีลิงอยู่หลายตัว
后背	แผ่นหลัง	แผ่นหลังของเขาเจ็บนิดหน่อย
后果	ผลที่ตามมา	คุณต้องพิจารณาผลที่ตามมา
呼吸	หายใจ	กรุณาหายใจลึก ๆ
忽然	ทันใดนั้น	ท้องฟ้ามืดลงทันใด
忽视	มองข้าม; ละเลย	อย่ามองข้ามปัญหานี้
壶	กาน้ำ	บนโต๊ะมีกาน้ำชาหนึ่งใบ
糊涂	สับสน; เลอะเลือน	วันนี้ฉันสับสนนิดหน่อย
胡说	พูดเหลวไหล	อย่าพูดเหลวไหล เรื่องนี้ไม่จริง
胡同	ตรอกเก่า	ปักกิ่งมีตรอกเก่าอยู่มากมาย
蝴蝶	ผีเสื้อ	ในสวนมีผีเสื้อหนึ่งตัว
花生	ถั่วลิสง	เขาชอบกินถั่วลิสง
华裔	เชื้อสายจีน	เธอเป็นนักเขียนเชื้อสายจีนคนหนึ่ง
滑	ลื่น	พื้นลื่น ระวังหน่อย
划	พาย; คุ้มค่า	ตอนนั่งเรือ เขารับผิดชอบพายเรือ
化学	เคมี	ตอนเรียนมหาวิทยาลัยเธอเรียนเคมี
话题	หัวข้อ	หัวข้อนี้น่าสนใจมาก
怀念	คิดถึง; ระลึกถึง	ฉันคิดถึงชีวิตมหาวิทยาลัยมาก
怀孕	ตั้งครรภ์	เธอตั้งครรภ์ได้สามเดือนแล้ว
缓解	บรรเทา	การพักผ่อนช่วยบรรเทาความเครียดได้
幻想	จินตนาการ; เพ้อฝัน	เขามักจินตนาการว่าจะไปเที่ยวอวกาศ
慌张	ลนลาน; ตื่นตระหนก	เจอปัญหาอย่าลนลาน
黄金	ทองคำ	ราคาทองคำขึ้นอีกแล้ว
恢复	ฟื้นตัว; กลับคืน	ร่างกายของเขากำลังฟื้นตัว
挥	โบก	เธอโบกมือ
灰	สีเทา; ขี้เถ้า	ท้องฟ้าเป็นสีเทา
灰尘	ฝุ่น	บนโต๊ะมีฝุ่นเยอะมาก
灰心	ท้อใจ	ถึงล้มเหลวก็อย่าท้อใจ
汇率	อัตราแลกเปลี่ยน	อัตราแลกเปลี่ยนวันนี้เท่าไร
婚礼	งานแต่งงาน	งานแต่งงานของพวกเขาเรียบง่ายมาก
婚姻	การแต่งงาน	การแต่งงานต้องอาศัยความเข้าใจกัน
活跃	กระตือรือร้น	เขากระตือรือร้นมากในชั้นเรียน
伙伴	เพื่อนร่วมทาง; คู่หู	เขาเป็นเพื่อนร่วมทางที่ดีที่สุดของฉัน
火柴	ไม้ขีดไฟ	ในกล่องเหลือไม้ขีดไฟเพียงหนึ่งก้าน
或许	บางที; อาจจะ	บางทีพรุ่งนี้อาจฝนตก
基本	พื้นฐาน	สิ่งเหล่านี้คือข้อกำหนดพื้นฐาน
机器	เครื่องจักร	เครื่องจักรเครื่องนี้เสียแล้ว
激烈	ดุเดือด; รุนแรง	การแข่งขันดำเนินไปอย่างดุเดือด
肌肉	กล้ามเนื้อ	หลังออกกำลังกายกล้ามเนื้อปวดนิดหน่อย
及格	สอบผ่าน	การสอบครั้งนี้เขาสอบผ่านแล้ว
急忙	รีบเร่ง	เขารีบวิ่งออกจากห้องเรียน
急诊	ห้องฉุกเฉิน	ผู้ป่วยถูกส่งไปที่ห้องฉุกเฉิน
极其	อย่างยิ่ง	ปัญหานี้สำคัญอย่างยิ่ง
集合	รวมตัว	กรุณารวมตัวกันที่หน้าประตูตอนแปดโมง
集体	กลุ่ม; ส่วนรวม	นี่คือกิจกรรมกลุ่มครั้งหนึ่ง
集中	ตั้งสมาธิ; รวมศูนย์	เวลาเรียนต้องตั้งสมาธิ
寂寞	เหงา	อยู่คนเดียวบางครั้งก็เหงา
系领带	ผูกเนกไท	เขาผูกเนกไทก่อนทำงานทุกวัน
纪录	สถิติ	เขาทำลายสถิติของโรงเรียน
纪律	วินัย	วินัยในห้องเรียนสำคัญมาก
纪念	ระลึก; เป็นที่ระลึก	พวกเราถ่ายรูปเป็นที่ระลึกสำหรับวันนี้
计算	คำนวณ	กรุณาคำนวณค่าใช้จ่ายทั้งหมด
记录	บันทึก	กรุณาบันทึกเนื้อหาการประชุม
记忆	ความทรงจำ	ความทรงจำช่วงนี้มีค่ามาก
嘉宾	แขกรับเชิญ	แขกรับเชิญวันนี้เป็นนักเขียนคนหนึ่ง
夹子	คลิป; ที่หนีบ	กรุณาใช้คลิปหนีบเอกสารไว้
家庭	ครอบครัว	ครอบครัวสำคัญต่อเด็กมาก
家务	งานบ้าน	สุดสัปดาห์ฉันต้องทำงานบ้าน
家乡	บ้านเกิด	ฉันคิดถึงบ้านเกิดมาก
假如	ถ้าหาก	ถ้าพรุ่งนี้ฝนตก พวกเราก็จะไม่ไป
假设	สมมติ	สมมติว่าคุณเป็นครู คุณจะทำอย่างไร
假装	แกล้งทำ	เขาแกล้งทำเป็นไม่ได้ยิน
甲	ฝ่าย ก; ลำดับแรก	ฝ่าย ก ต้องชำระเงินตรงเวลา
价值	คุณค่า; มูลค่า	หนังสือเล่มนี้มีคุณค่ามาก
嫁	แต่งงานออกเรือน	ปีหน้าเธอจะแต่งงานกับแฟนของเธอ
驾驶	ขับขี่	เวลาขับรถต้องขับอย่างระมัดระวัง
兼职	งานพาร์ตไทม์	ตอนเย็นเขาทำงานพาร์ตไทม์
坚决	แน่วแน่	เขาไม่เห็นด้วยกับการตัดสินใจนี้อย่างแน่วแน่
坚强	เข้มแข็ง	เธอเป็นคนเข้มแข็ง
肩膀	ไหล่	ไหล่ของเขาบาดเจ็บ
艰巨	ยากลำบากมาก	นี่เป็นภารกิจที่ยากลำบากมาก
艰苦	ลำบาก	พวกเขาเคยผ่านชีวิตที่ลำบาก
剪刀	กรรไกร	กรุณาส่งกรรไกรให้ฉัน
捡	เก็บขึ้นมา	เขาเก็บกระเป๋าสตางค์บนพื้นขึ้นมา
简历	ประวัติย่อ	ก่อนสมัครงานต้องเตรียมประวัติย่อ
简直	ถึงกับ; จริง ๆ	ข่าวนี้ทำให้คนตกใจจริง ๆ
健身	ออกกำลังกาย	เขาไปออกกำลังกายสัปดาห์ละสามครั้ง
建立	สร้าง; ก่อตั้ง	พวกเราสร้างความสัมพันธ์ใหม่
建设	ก่อสร้าง; พัฒนา	การก่อสร้างเมืองพัฒนาเร็วมาก
建筑	อาคาร; สถาปัตยกรรม	อาคารหลังนี้มีเอกลักษณ์
键盘	แป้นพิมพ์	แป้นพิมพ์ของฉันต้องทำความสะอาด
讲究	ให้ความสำคัญ; พิถีพิถัน	คนจีนให้ความสำคัญกับการกินมาก
讲座	การบรรยาย	คืนนี้มีการบรรยายภาษาจีน
酱油	ซีอิ๊ว	เติมซีอิ๊วลงในอาหารนิดหน่อย
交换	แลกเปลี่ยน	พวกเราแลกเบอร์โทรศัพท์กัน
交际	การสื่อสาร; การเข้าสังคม	การเรียนภาษาก็ต้องฝึกการสื่อสารด้วย
交往	คบหา; ติดต่อ	พวกเขาคบกันมาสองปีแล้ว
浇	รดน้ำ	กรุณารดน้ำดอกไม้ทุกวัน
胶水	กาว	ฉันใช้กาวติดรูปถ่าย
狡猾	เจ้าเล่ห์	สุนัขจิ้งจอกตัวนั้นเจ้าเล่ห์มาก
角度	มุม; มุมมอง	พวกเราลองมองปัญหาจากอีกมุมหนึ่ง
教材	ตำราเรียน	ตำราเล่มนี้ใช้ได้จริงมาก
教练	โค้ช	โค้ชกำชับให้พวกเรามาถึงตรงเวลา
教训	บทเรียน	ความล้มเหลวครั้งนี้เป็นบทเรียนหนึ่ง
接触	สัมผัส; ติดต่อ	นี่เป็นครั้งแรกที่ฉันได้สัมผัสวัฒนธรรมจีน
接待	ต้อนรับ	บริษัทจัดคนเฉพาะมาต้อนรับแขก
接近	ใกล้	เทศกาลตรุษจีนใกล้เข้ามาทุกที
结实	แข็งแรง; ทนทาน	กระเป๋าเดินทางใบนี้แข็งแรงมาก
阶段	ระยะ; ช่วง	การเรียนแบ่งเป็นสามระยะ
结构	โครงสร้าง	บทความนี้มีโครงสร้างชัดเจน
结合	ผสมผสาน; รวมเข้าด้วยกัน	การเรียนควรผสมผสานกับการปฏิบัติ
结论	ข้อสรุป	ข้อสรุปของเขาน่าเชื่อถือมาก
结账	ชำระเงิน; คิดเงิน	หลังจากกินข้าวเสร็จ พวกเราไปชำระเงิน
节省	ประหยัด	การนั่งรถไฟใต้ดินช่วยประหยัดเวลาได้
借口	ข้ออ้าง	อย่าหาข้ออ้างอีกเลย
届	ครั้ง; สมัย	นี่คือการแข่งขันครั้งที่สาม
戒	เลิก; เตือน	แพทย์แนะนำให้เขาเลิกสูบบุหรี่
戒指	แหวน	เธอสวมแหวนหนึ่งวง
金属	โลหะ	เหล็กเป็นโลหะชนิดหนึ่ง
尽快	ให้เร็วที่สุด	กรุณาตอบอีเมลให้เร็วที่สุด
紧急	ฉุกเฉิน; เร่งด่วน	นี่เป็นสถานการณ์ฉุกเฉิน
谨慎	ระมัดระวัง	ก่อนลงทุนต้องระมัดระวัง
尽力	พยายามอย่างเต็มที่	ฉันจะพยายามช่วยคุณอย่างเต็มที่
尽量	พยายามให้มากที่สุด	กรุณาพยายามมาถึงให้เร็วหน่อย
近代	ยุคสมัยใหม่	จีนยุคสมัยใหม่เกิดการเปลี่ยนแปลงมากมาย
进步	ก้าวหน้า	ภาษาจีนของเขาก้าวหน้าเร็วมาก
进口	นำเข้า	รถคันนี้เป็นรถนำเข้า
精力	พลังงาน; เรี่ยวแรง	เด็ก ๆ มีพลังงานมาก
精神	สภาพจิตใจ; จิตวิญญาณ	วันนี้เขาสภาพจิตใจดีมาก
经典	คลาสสิก	นี่เป็นภาพยนตร์คลาสสิกเรื่องหนึ่ง
经商	ทำธุรกิจ	พ่อของเขาทำธุรกิจอยู่ต่างประเทศ
经营	บริหาร; ดำเนินธุรกิจ	เธอบริหารร้านเล็ก ๆ แห่งหนึ่ง
酒吧	บาร์	ตอนเย็นพวกเขาไปบาร์
救	ช่วยชีวิต; ช่วย	แพทย์ช่วยชีวิตเขาไว้
救护车	รถพยาบาล	รถพยาบาลมาถึงเร็วมาก
舅舅	น้าชาย; ลุงฝ่ายแม่	น้าชายของฉันอาศัยอยู่ที่หนานจิง
居然	นึกไม่ถึงว่า; กลับ	เขากลับลืมวันเกิดของตัวเอง
桔子	ส้มเขียวหวาน	บนโต๊ะมีส้มเขียวหวานหลายลูก
俱乐部	ชมรม; สโมสร	เธอเข้าร่วมชมรมว่ายน้ำ
具备	มีพร้อม; มี	เขามีประสบการณ์ด้านการจัดการ
具体	เฉพาะเจาะจง	กรุณาพูดให้เฉพาะเจาะจงขึ้นอีกหน่อย
巨大	ใหญ่โตมาก	โครงการนี้ต้องใช้การลงทุนจำนวนมาก
据说	ว่ากันว่า	ว่ากันว่าเขากลับประเทศแล้ว
捐	บริจาค	ทุกคนยินดีบริจาคเงิน
决赛	รอบชิงชนะเลิศ	พรุ่งนี้เป็นรอบชิงชนะเลิศฟุตบอล
决心	ความตั้งใจแน่วแน่	เขาตัดสินใจแน่วแน่ว่าจะเรียนภาษาจีนให้ดี
绝对	อย่างแน่นอน	เรื่องนี้ลืมไม่ได้อย่างแน่นอน
角色	บทบาท	เธอแสดงบทบาทสำคัญในภาพยนตร์
军事	การทหาร	เขาสนใจประวัติศาสตร์การทหารมาก
均匀	สม่ำเสมอ	กรุณาทาสีให้สม่ำเสมอ
卡车	รถบรรทุก	มีรถบรรทุกคันหนึ่งจอดอยู่หน้าประตู
开发	พัฒนา	บริษัทกำลังพัฒนาผลิตภัณฑ์ใหม่
开放	เปิด	สวนสาธารณะเปิดตอนหกโมงเช้าทุกวัน
开幕式	พิธีเปิด	พิธีเปิดจะจัดขึ้นพรุ่งนี้ตอนเย็น
开水	น้ำต้มสุก; น้ำร้อน	กรุณาให้น้ำร้อนฉันหนึ่งแก้ว
砍	ตัด; ฟัน	คนงานกำลังตัดกิ่งไม้
看不起	ดูถูก	อย่าดูถูกใคร
看望	ไปเยี่ยม	สุดสัปดาห์ฉันจะไปเยี่ยมปู่ย่าตายาย
靠	พิง; อาศัย	เขาพิงกำแพงพักผ่อน
颗	ลักษณนามสำหรับเม็ดหรือดวง	บนท้องฟ้ายามค่ำคืนมีดาวหนึ่งดวง
可见	เห็นได้ว่า	เห็นได้ว่าวิธีนี้ได้ผลมาก
可靠	เชื่อถือได้	เขาเป็นเพื่อนที่เชื่อถือได้
可怕	น่ากลัว	ความฝันนี้น่ากลัวเกินไป
克	กรัม	กรุณาเติมเกลือสองกรัม
克服	เอาชนะ	พวกเราต้องเอาชนะความยากลำบาก
刻苦	ขยันหมั่นเพียร	เขาเรียนอย่างขยันมาก
客观	เป็นกลาง; ตามข้อเท็จจริง	กรุณาวิเคราะห์ปัญหาอย่างเป็นกลาง
课程	รายวิชา	รายวิชานี้มีประโยชน์มาก
空间	พื้นที่	ห้องนี้มีพื้นที่มาก
控制	ควบคุม	คนขับควบคุมความเร็วรถไว้ได้
空闲	เวลาว่าง	พรุ่งนี้ตอนบ่ายคุณมีเวลาว่างไหม
口味	รสชาติที่ชอบ	รสนิยมด้านอาหารของเขาค่อนข้างอ่อน
夸	ชม; พูดเกินจริง	ครูชมว่าเขาก้าวหน้ามาก
夸张	เกินจริง	สีหน้าของเขาดูเกินจริงนิดหน่อย
会计	นักบัญชี; การบัญชี	เธอทำงานเป็นนักบัญชีที่บริษัท
宽	กว้าง	ถนนเส้นนี้กว้างมาก
昆虫	แมลง	เด็ก ๆ กำลังสังเกตแมลง
扩大	ขยาย	โรงเรียนวางแผนขยายห้องสมุด
辣椒	พริก	ในอาหารใส่พริกไว้เยอะมาก
拦	ขวาง; สกัด	ตำรวจหยุดรถคันหนึ่งไว้
烂	เน่า; เละ	แอปเปิลลูกนี้เน่าแล้ว
朗读	อ่านออกเสียง	กรุณาอ่านบทเรียนออกเสียงดัง ๆ
劳动	แรงงาน; การทำงาน	การทำงานทำให้คนรู้สึกเต็มอิ่ม
劳驾	ขอโทษนะครับ; รบกวนหน่อย	ขอโทษนะครับ สถานีรถไฟใต้ดินอยู่ที่ไหน
姥姥	ยาย	ยายของฉันทำอาหารอร่อยมาก
老百姓	ประชาชนทั่วไป	ประชาชนทั่วไปใส่ใจค่าครองชีพ
老板	เจ้านาย; เจ้าของร้าน	วันนี้เจ้านายไม่อยู่ที่สำนักงาน
老婆	ภรรยา	เขาซื้อดอกไม้ให้ภรรยา
老实	ซื่อสัตย์	เขาเป็นคนซื่อสัตย์
老鼠	หนู	ในครัวมีหนูหนึ่งตัว
乐观	มองโลกในแง่ดี	เธอมองอนาคตในแง่ดี
雷	ฟ้าร้อง	เมื่อคืนฟ้าร้องดังมาก
类型	ประเภท	ภาพยนตร์แบบนี้จัดอยู่ในประเภทอะไร
冷淡	เย็นชา	ท่าทีของเขาเย็นชานิดหน่อย
厘米	เซนติเมตร	ปากกาด้ามนี้ยาวสิบห้าเซนติเมตร
梨	ลูกแพร์	ฉันซื้อลูกแพร์มาหลายลูก
离婚	หย่า	พวกเขาหย่ากันเมื่อปีที่แล้ว
理论	ทฤษฎี	ทฤษฎีนี้ซับซ้อนมาก
理由	เหตุผล	คุณมีเหตุผลอะไรที่มาสาย
利润	กำไร	ปีนี้กำไรของบริษัทเพิ่มขึ้น
利息	ดอกเบี้ย	ดอกเบี้ยธนาคารไม่สูง
利益	ผลประโยชน์	พวกเราต้องปกป้องผลประโยชน์ของทุกคน
利用	ใช้ประโยชน์	เขาใช้วันสุดสัปดาห์เรียนภาษาจีน
力量	พลัง	ความสามัคคีคือพลัง
立即	ทันที	กรุณาออกจากที่นี่ทันที
立刻	ทันที	หลังได้ยินข่าว เขาก็ออกเดินทางทันที
联合	ร่วมกัน; รวมกัน	สองบริษัทร่วมกันพัฒนาผลิตภัณฑ์
连忙	รีบ	เมื่อได้ยินเสียงโทรศัพท์ เขารีบรับสาย
连续	ต่อเนื่อง	เขาทำงานต่อเนื่องสิบชั่วโมง
恋爱	ความรัก; คบกัน	พวกเขากำลังคบกันอยู่
粮食	ธัญพืช; อาหารหลัก	ปีนี้ผลผลิตธัญพืชเพิ่มขึ้น
良好	ดี; เป็นที่น่าพอใจ	เขามีนิสัยการเรียนที่ดี
亮	สว่าง	ไฟในห้องสว่างมาก
了不起	ยอดเยี่ยม; น่าทึ่ง	เธอทำผลงานได้ยอดเยี่ยม
列车	รถไฟ	รถไฟกำลังจะออกเดินทางแล้ว
临时	ชั่วคราว	นี่เป็นการตัดสินใจชั่วคราว
灵活	ยืดหยุ่น	วิธีเรียนควรยืดหยุ่น
铃	กระดิ่ง	เสียงกระดิ่งเข้าเรียนดังแล้ว
零件	ชิ้นส่วน	เครื่องจักรขาดชิ้นส่วนไปหนึ่งชิ้น
零食	ของว่าง	เด็ก ๆ ชอบกินของว่าง
领导	ผู้นำ; หัวหน้า	หัวหน้ากำลังประชุมอยู่
领域	สาขา; ด้าน	เธอทำงานในสาขาการศึกษา
流传	แพร่สืบต่อ	เรื่องนี้แพร่สืบต่อมานานมาก
流泪	หลั่งน้ำตา	เมื่อได้ยินข่าวนี้ เธอก็หลั่งน้ำตา
浏览	เปิดดู; ไล่ดู	ฉันจะเปิดดูหน้าเว็บก่อน
龙	มังกร	ในวัฒนธรรมจีนมีมังกร
漏	รั่ว; ตกหล่น	หลังคารั่วฝนแล้ว
录取	รับเข้าเรียน	เขาได้รับการรับเข้าเรียนจากมหาวิทยาลัย
录音	บันทึกเสียง	กรุณาเริ่มบันทึกเสียง
陆地	แผ่นดิน	เต่าทะเลคลานขึ้นมาบนแผ่นดิน
陆续	ทยอย	แขกทยอยมาถึงแล้ว
轮流	ผลัดกัน	พวกเราผลัดกันทำความสะอาดห้องเรียน
论文	วิทยานิพนธ์; บทความวิชาการ	เธอกำลังเขียนวิทยานิพนธ์จบการศึกษา
逻辑	ตรรกะ	ตรรกะของเขาชัดเจนมาก
落后	ล้าหลัง; ตามหลัง	พวกเราจะตามหลังคนอื่นไม่ได้
骂	ด่า	กรุณาอย่าด่าเด็ก
麦克风	ไมโครโฟน	กรุณาส่งไมโครโฟนให้เขา
馒头	หมั่นโถว	มื้อเช้าฉันกินหมั่นโถวหนึ่งลูก
满足	ตอบสนอง; พอใจ	คำตอบนี้ไม่สามารถตอบสนองข้อกำหนดได้
毛病	ปัญหา; ข้อบกพร่อง	คอมพิวเตอร์เครื่องนี้มีปัญหานิดหน่อย
矛盾	ความขัดแย้ง	ระหว่างพวกเขามีความขัดแย้งอยู่บ้าง
冒险	เสี่ยง	ไปที่นั่นคนเดียวเสี่ยงเกินไป
贸易	การค้า	การค้าระหว่างประเทศพัฒนาเร็วมาก
媒体	สื่อ	สื่อรายงานเรื่องนี้แล้ว
煤炭	ถ่านหิน	พื้นที่นี้ผลิตถ่านหิน
眉毛	คิ้ว	คิ้วของเธอหนามาก
美术	ศิลปะ	น้องสาวของฉันชอบศิลปะ
魅力	เสน่ห์	เมืองนี้มีเสน่ห์มาก
梦想	ความฝัน	ความฝันของเขาคือการเป็นหมอ
密切	ใกล้ชิด	พวกเราติดต่อกันอย่างใกล้ชิด
秘密	ความลับ	นี่คือความลับของพวกเรา
秘书	เลขานุการ	เลขานุการจัดเวลาการประชุมไว้แล้ว
蜜蜂	ผึ้ง	ในพุ่มดอกไม้มีผึ้งจำนวนมาก
面对	เผชิญหน้า	พวกเราควรเผชิญความยากลำบากอย่างกล้าหาญ
面积	พื้นที่	พื้นที่ของห้องนี้ไม่ใหญ่
面临	เผชิญ	บริษัทกำลังเผชิญความท้าทายใหม่
描写	บรรยาย; พรรณนา	ผู้เขียนบรรยายชีวิตชนบท
苗条	รูปร่างเพรียว	เธอรูปร่างเพรียวมาก
敏感	อ่อนไหว	หัวข้อนี้ค่อนข้างอ่อนไหว
名牌	แบรนด์ดัง	เขาซื้อนาฬิกาแบรนด์ดังหนึ่งเรือน
名片	นามบัตร	กรุณาให้นามบัตรฉันหนึ่งใบ
名胜古迹	โบราณสถานและสถานที่ท่องเที่ยว	ปักกิ่งมีโบราณสถานและสถานที่ท่องเที่ยวมากมาย
明确	ชัดเจน	ครูอธิบายข้อกำหนดอย่างชัดเจน
明显	เห็นได้ชัด	ความก้าวหน้าของเขาเห็นได้ชัดมาก
明星	ดารา	เธออยากเป็นดาราภาพยนตร์
命令	คำสั่ง	ทหารต้องเชื่อฟังคำสั่ง
命运	ชะตากรรม	เขาเชื่อว่าชะตากรรมเปลี่ยนได้
摸	แตะ; ลูบ	กรุณาอย่าแตะภาพวาดนี้
摩托车	รถจักรยานยนต์	เขาขี่รถจักรยานยนต์ไปทำงาน
模仿	เลียนแบบ	เด็กชอบเลียนแบบคำพูดของผู้ใหญ่
模糊	พร่า; ไม่ชัด	รูปนี้พร่านิดหน่อย
模特	นางแบบ; นายแบบ	เธอเป็นนางแบบเสื้อผ้า
陌生	แปลกหน้า; ไม่คุ้นเคย	เมืองนี้ไม่คุ้นเคยสำหรับฉันมาก
某	บาง; คนหนึ่ง	ครูบางคนโทรมาหาฉัน
木头	ไม้	โต๊ะตัวนี้ทำจากไม้
目标	เป้าหมาย	เป้าหมายของฉันคือสอบผ่าน
目录	สารบัญ	กรุณาดูสารบัญด้านหน้าหนังสือก่อน
目前	ปัจจุบัน; ตอนนี้	สถานการณ์ปัจจุบันค่อนข้างมั่นคง
哪怕	แม้ว่า	แม้ว่าเขาจะยุ่งมาก เขาก็ยังเรียนต่อเนื่อง
难怪	มิน่าล่ะ	มิน่าล่ะวันนี้คุณถึงดีใจขนาดนี้
难免	หลีกเลี่ยงได้ยาก	ทำครั้งแรกย่อมหลีกเลี่ยงความผิดพลาดได้ยาก
脑袋	หัว	หัวของเขาเจ็บนิดหน่อย
内部	ภายใน	นี่คือเอกสารภายในของบริษัท
内科	อายุรกรรม	วันนี้เขาไปพบแพทย์อายุรกรรม
嫩	นุ่ม; อ่อน	เนื้อชิ้นนี้นุ่มมาก
能干	มีความสามารถ	เธอเป็นคนมีความสามารถมาก
能源	พลังงาน	พลังงานแสงอาทิตย์เป็นพลังงานสะอาดชนิดหนึ่ง
嗯	อืม	อืม ฉันเข้าใจแล้ว
年代	ยุค; ทศวรรษ	รูปนี้ถ่ายในยุคแปดศูนย์
年纪	อายุ	เขาอายุไม่มาก แต่มีประสบการณ์มาก
念	อ่านออกเสียง; คิดถึง	กรุณาอ่านข้อความหนึ่งรอบ
宁可	ยอมที่จะ; ขอเลือกที่จะ	ฉันยอมเดินมากกว่ารอรถ
牛仔裤	กางเกงยีนส์	เขาสวมกางเกงยีนส์หนึ่งตัว
农村	ชนบท	เธอเติบโตในชนบท
农民	ชาวนา; เกษตรกร	ชาวนากำลังทำงานอยู่ในทุ่งนา
农业	การเกษตร	การเกษตรสำคัญต่อพื้นที่นี้มาก
浓	เข้มข้น	กาแฟแก้วนี้เข้มเกินไป
