simplified	DA	example_DA
经营	drive; lede	Hun driver en lille butik.
酒吧	en bar	Om aftenen tog de på bar.
救	redde	Lægen reddede hans liv.
救护车	en ambulance	Ambulancen kom hurtigt.
舅舅	en morbror	Min morbror bor i Nanjing.
居然	faktisk; overraskende nok	Han glemte faktisk sin egen fødselsdag.
桔子	en mandarin	Der ligger flere mandariner på bordet.
俱乐部	en klub	Hun meldte sig ind i svømmeklubben.
具备	have; være i besiddelse af	Han har ledelseserfaring.
具体	konkret	Vær venlig at være lidt mere konkret.
巨大	enorm	Dette projekt kræver en enorm investering.
据说	det siges at	Det siges, at han allerede er vendt tilbage til sit land.
捐	donere	Alle er villige til at donere penge.
决赛	en finale	I morgen er fodboldfinalen.
决心	beslutsomhed	Han besluttede sig for at lære kinesisk godt.
绝对	absolut	Denne sag må absolut ikke glemmes.
角色	en rolle	Hun spiller en vigtig rolle i filmen.
军事	militær	Han er meget interesseret i militærhistorie.
均匀	jævn	Påfør venligst farven jævnt.
卡车	en lastbil	Der holder en lastbil ved indgangen.
开发	udvikle	Virksomheden er ved at udvikle et nyt produkt.
开放	åbne; åben	Parken åbner klokken seks hver morgen.
开幕式	en åbningsceremoni	Åbningsceremonien afholdes i morgen aften.
开水	kogt vand	Giv mig venligst et glas kogt vand.
砍	hugge	Arbejderen er ved at hugge grene af.
看不起	se ned på	Se ikke ned på nogen.
看望	besøge	Jeg besøger mine bedsteforældre i weekenden.
靠	læne sig op ad	Han lænede sig op ad væggen for at hvile.
颗	måleord for små runde ting	Der er en stjerne på nattehimlen.
可见	det ses tydeligt	Det ses tydeligt, at denne metode er effektiv.
可靠	pålidelig	Han er en pålidelig ven.
可怕	skræmmende	Denne drøm var alt for skræmmende.
克	et gram	Tilsæt venligst to gram salt.
克服	overvinde	Vi skal overvinde vanskelighederne.
刻苦	flittig	Han studerer meget flittigt.
客观	objektiv	Analyser venligst problemet objektivt.
课程	et kursus	Dette kursus er meget nyttigt.
空间	plads; rum	Der er meget plads i dette værelse.
控制	kontrollere	Chaufføren fik kontrol over bilens hastighed.
空闲	fritid	Har du tid i morgen eftermiddag?
口味	en smag	Hans smag er forholdsvis mild.
夸	rose	Læreren roste ham for de store fremskridt.
夸张	overdrevet	Hans ansigtsudtryk er lidt overdrevet.
会计	en revisor; bogføring	Hun arbejder som revisor i virksomheden.
宽	bred	Denne vej er meget bred.
昆虫	et insekt	Børnene observerer insekter.
扩大	udvide	Skolen planlægger at udvide biblioteket.
辣椒	en chili	Der er kommet mange chilier i retten.
拦	standse	Politiet standsede en bil.
烂	rådden	Dette æble er allerede råddent.
朗读	læse højt	Læs teksten højt.
劳动	arbejde; fysisk arbejde	Arbejde får folk til at føle sig tilfredse.
劳驾	undskyld mig	Undskyld, hvor ligger metrostationen?
姥姥	en mormor	Min mormor laver meget god mad.
老百姓	almindelige mennesker	Almindelige mennesker bekymrer sig om leveomkostningerne.
老板	en chef	Chefen er ikke på kontoret i dag.
老婆	en kone	Han købte blomster til sin kone.
老实	ærlig	Han er et ærligt menneske.
老鼠	en mus	Der er en mus i køkkenet.
乐观	optimistisk	Hun er optimistisk med hensyn til fremtiden.
雷	torden	Tordenen i går aftes var meget høj.
类型	en type	Hvilken type hører denne slags film til?
冷淡	kold; ligeglad	Hans holdning er lidt kold.
厘米	en centimeter	Denne pen er femten centimeter lang.
梨	en pære	Jeg købte flere pærer.
离婚	blive skilt	De blev skilt sidste år.
理论	en teori	Denne teori er meget kompleks.
理由	en grund	Hvilken grund har du til at komme for sent?
利润	fortjeneste	Virksomhedens fortjeneste steg i år.
利息	rente	Bankrenten er ikke høj.
利益	interesse; fordel	Vi skal beskytte alles interesser.
利用	bruge; udnytte	Han bruger weekenden på at lære kinesisk.
力量	kraft; styrke	Enhed er styrke.
立即	straks	Forlad venligst stedet straks.
立刻	straks	Efter at have hørt nyheden tog han straks af sted.
联合	i fællesskab; forene	De to virksomheder udviklede produktet i fællesskab.
连忙	skyndsomt	Da han hørte telefonen ringe, tog han den hurtigt.
连续	i træk; sammenhængende	Han arbejdede ti timer i træk.
恋爱	være kærester; romantisk forhold	De er kærester.
粮食	korn; fødevarer	Kornproduktionen er steget i år.
良好	god	Han har gode studievaner.
亮	lys	Lyset i rummet er meget stærkt.
了不起	fantastisk	Hun opnåede fantastiske resultater.
列车	et tog	Toget skal til at afgå.
临时	midlertidig	Dette er en midlertidig beslutning.
灵活	fleksibel	Studiemetoder bør være fleksible.
铃	en klokke	Klokken til timen ringede.
零件	en del; en komponent	Maskinen mangler en del.
零食	en snack	Børn kan lide at spise snacks.
领导	en leder	Lederen er til møde.
领域	et område	Hun arbejder inden for uddannelsesområdet.
流传	gå i arv; blive udbredt	Denne historie er blevet fortalt i lang tid.
流泪	græde; fælde tårer	Da hun hørte nyheden, græd hun.
浏览	browse; skimme	Jeg kigger først hurtigt på websiden.
龙	en drage	Der findes drager i kinesisk kultur.
漏	lække	Taget lækker regn.
录取	optage	Han blev optaget på universitetet.
录音	optage lyd	Start venligst optagelsen.
陆地	land	Havskildpadden kravlede op på land.
陆续	efterhånden	Gæsterne kom efterhånden.
轮流	skiftes til	Vi skiftes til at gøre klasseværelset rent.
论文	en afhandling	Hun skriver sin afsluttende afhandling.
逻辑	logik	Hans logik er meget klar.
落后	komme bagud	Vi må ikke komme bagud i forhold til andre.
骂	skælde ud	Skæld venligst ikke barnet ud.
麦克风	en mikrofon	Ræk venligst mikrofonen til ham.
馒头	en dampet bolle	Jeg spiste en dampet bolle til morgenmad.
满足	opfylde; tilfredsstille	Dette svar opfylder ikke kravene.
毛病	et problem; en fejl	Denne computer har et lille problem.
矛盾	en konflikt; en modsigelse	Der er nogle konflikter mellem dem.
冒险	tage en risiko	Det er for risikabelt at tage derhen alene.
贸易	handel	International handel udvikler sig hurtigt.
媒体	medierne	Medierne rapporterede om denne sag.
煤炭	kul	Dette område producerer kul.
眉毛	et øjenbryn	Hendes øjenbryn er kraftige.
美术	billedkunst	Min lillesøster kan lide billedkunst.
魅力	charme	Denne by har meget charme.
梦想	en drøm	Hans drøm er at blive læge.
密切	tæt	Vi holder tæt kontakt.
秘密	en hemmelighed	Dette er vores hemmelighed.
秘书	en sekretær	Sekretæren arrangerede mødetidspunktet.
蜜蜂	en bi	Der er mange bier mellem blomsterne.
面对	stå over for	Vi skal modigt stå over for vanskeligheder.
面积	et areal	Dette værelses areal er ikke stort.
面临	stå over for	Virksomheden står over for nye udfordringer.
描写	beskrive	Forfatteren beskrev livet på landet.
苗条	slank	Hun har en slank figur.
敏感	følsom	Dette emne er forholdsvis følsomt.
名牌	et kendt mærke	Han købte et ur fra et kendt mærke.
名片	et visitkort	Giv mig venligst et visitkort.
名胜古迹	seværdigheder og historiske steder	Beijing har mange seværdigheder og historiske steder.
明确	klar; tydelig	Læreren forklarede kravene tydeligt.
明显	tydelig	Hans fremskridt er tydelige.
明星	en stjerne; en berømthed	Hun vil gerne blive filmstjerne.
命令	en ordre	Soldater skal adlyde ordrer.
命运	skæbne	Han tror, at skæbnen kan ændres.
摸	røre	Rør venligst ikke ved dette maleri.
摩托车	en motorcykel	Han kører på motorcykel på arbejde.
模仿	efterligne	Børn kan lide at efterligne voksnes tale.
模糊	sløret	Dette foto er lidt sløret.
模特	en model	Hun er tøjmodel.
陌生	ukendt	Denne by er meget ukendt for mig.
某	en bestemt; en vis	En bestemt lærer ringede til mig.
木头	træ	Dette bord er lavet af træ.
目标	et mål	Mit mål er at bestå eksamen.
目录	en indholdsfortegnelse	Se først på indholdsfortegnelsen foran i bogen.
目前	i øjeblikket	Situationen er forholdsvis stabil i øjeblikket.
哪怕	selv om	Selv om han har travlt, bliver han ved med at studere.
难怪	ikke så mærkeligt	Ikke så mærkeligt, at du er så glad i dag.
难免	svært at undgå	Det er svært at undgå fejl første gang, man gør det.
脑袋	et hoved	Han har lidt ondt i hovedet.
内部	intern	Dette er internt materiale fra virksomheden.
内科	intern medicin; medicinsk afdeling	Han skal til intern medicin i dag.
嫩	mør; blød	Dette stykke kød er meget mørt.
能干	dygtig	Hun er et meget dygtigt menneske.
能源	energi	Solenergi er en slags ren energi.
嗯	mm-hm	Mm-hm, jeg forstår.
年代	et årti	Dette foto blev taget i 1980'erne.
年纪	alder	Han er ikke særlig gammel, men har meget erfaring.
念	læse op	Læs venligst teksten op én gang.
宁可	hellere	Jeg vil hellere gå end vente på bussen.
牛仔裤	jeans	Han har et par jeans på.
农村	landet; et landområde	Hun voksede op på landet.
农民	en landmand	Landmændene arbejder på marken.
农业	landbrug	Landbrug er meget vigtigt for dette område.
浓	stærk; koncentreret	Denne kop kaffe er for stærk.
女士	en dame	Den dame venter på bussen.
欧洲	Europa	Han rejser til Europa næste måned.
偶然	tilfældigt	Jeg mødte tilfældigt en gammel klassekammerat.
拍	tage et foto	Hjælp mig venligst med at tage et foto.
派	sende	Virksomheden sendte ham til Shanghai på forretningsrejse.
盼望	se frem til	Jeg ser frem til snart at se dig.
培训	oplæring; kursus	Nye medarbejdere skal deltage i oplæring.
培养	udvikle; dyrke	Skolen lægger vægt på at udvikle elevernes evner.
赔偿	erstatte; kompensere	Virksomheden gik med til at erstatte tabet.
佩服	beundre	Jeg beundrer virkelig hans mod.
配合	samarbejde med	Samarbejd venligst med lærerens arrangementer.
盆	en potte; et fad	Der står en potte blomster på altanen.
碰	røre; støde på	Pas på, rør ikke ved det varme vand.
批	et parti; måleord for vareparti	Dette parti varer ankom i dag.
批准	godkende	Chefen godkendte denne plan.
披	have over skuldrene	Hun har en jakke over skuldrene.
疲劳	træthed	Man kan blive træt af at arbejde længe.
匹	måleord for heste	Der er en hest på græsset.
片	en skive; et stykke	Giv mig venligst en skive brød.
片面	ensidig	Denne opfattelse er for ensidig.
飘	svæve	Snefnug svæver i luften.
拼音	pinyin	Skriv venligst pinyin ved siden af de kinesiske tegn.
频道	en kanal	Skift venligst til nyhedskanalen.
凭	med; på grundlag af	Man kan komme ind med billet.
平均	gennemsnitlig; i gennemsnit	I gennemsnit brugte hver person ti yuan.
平	flad	Denne vej er meget flad.
平安	sikker; i god behold	Jeg ønsker dig en god og sikker rejse.
平常	normalt	Han kommer normalt sjældent for sent.
平等	ligestilling; lige	Alle bør behandles lige.
平方	kvadrat-	Dette værelse er tyve kvadratmeter.
平衡	balance	Arbejde og liv kræver balance.
平静	rolig	Søens overflade er meget rolig.
评价	vurdere; en vurdering	Læreren gav en meget høj vurdering.
破产	gå konkurs	Den virksomhed gik konkurs sidste år.
破坏	ødelægge	Beskadig venligst ikke offentlig ejendom.
迫切	presserende	Vi har akut brug for flere læger.
期待	se frem til	Jeg ser meget frem til denne rejse.
期间	i løbet af; under	Sluk venligst mobilen under mødet.
其余	de øvrige; resten	De øvrige spørgsmål diskuterer vi i morgen.
奇迹	et mirakel	Lægen sagde, at det var et mirakel.
企业	en virksomhed	Denne virksomhed udvikler sig hurtigt.
启发	inspiration	Denne bog gav mig meget inspiration.
气氛	en stemning	Stemningen i klasseværelset er meget afslappet.
汽油	benzin	Bilen skal tankes med benzin.
签	skrive under	Skriv venligst dit navn her.
谦虚	ydmyg	Han er fremragende og også meget ydmyg.
前途	fremtidsudsigter	Dette fag har gode fremtidsudsigter.
浅	lav; ikke dyb	Denne flod er meget lav.
欠	skylde	Han skylder mig stadig tyve yuan.
枪	en pistol; et gevær	Politibetjenten holder en pistol i hånden.
墙	en væg	Der hænger et billede på væggen.
强调	understrege	Læreren understregede sikkerhedsspørgsmålet.
强烈	stærk	Han har en stærk ansvarsfølelse.
抢	kæmpe om; snuppe	Kæmp ikke med andre om siddepladser.
悄悄	stille; hemmeligt	Hun gik stille ind i rummet.
瞧	se	Se, det sner udenfor.
巧妙	smart; snedig	Denne metode er meget smart.
切	skære	Skær venligst frugten i små stykker.
亲爱	kær; kære	Kære ven, tak.
亲切	venlig	Læreren taler meget venligt.
亲自	personligt	Chefen modtog personligt gæsterne.
勤奋	flittig	Flittige mennesker har lettere ved at få succes.
清淡	let; mild	Jeg kan lide at spise milde retter.
轻视	undervurdere	Undervurder ikke dette lille problem.
轻易	let; uden videre	Han giver ikke let op.
青	blågrøn	Dette tøj er blågrønt.
青春	ungdom	Ungdommen er værdifuld.
青少年	en teenager	Teenagere har brug for nok søvn.
情景	en scene	Scenen i filmen er meget rørende.
情绪	følelser; humør	Hans humør er ikke særlig stabilt.
请求	en anmodning	Han fremsatte en anmodning.
庆祝	fejre	Vi fejrede hans fødselsdag.
球迷	en fan	Mange fans kom for at se kampen.
趋势	en tendens	Denne tendens bliver mere og mere tydelig.
取消	aflyse	Arrangementet blev aflyst på grund af regn.
娶	gifte sig med en kvinde	Han planlægger at gifte sig med hende næste år.
去世	gå bort; dø	Hans farfar gik bort sidste år.
圈	en cirkel; sætte ring om	Sæt venligst ring om det rigtige svar.
全面	omfattende	Vi skal forstå situationen grundigt.
权利	en rettighed	Alle har ret til uddannelse.
权力	magt	Magt bør overvåges.
劝	råde; overtale	Min ven rådede mig til at hvile tidligere.
缺乏	mangle	Dette område mangler rent vand.
确定	fastslå; være sikker	Jeg kan stadig ikke fastslå tidspunktet.
确认	bekræfte	Bekræft venligst din adresse.
群	en gruppe	En gruppe børn leger på sportspladsen.
燃烧	brænde	Træet brænder.
绕	gå rundt om	Vi gik en runde rundt om søen.
热爱	elske	Han elsker sit arbejde.
热烈	varm; hjertelig	Alle bød gæsterne varmt velkommen.
热心	hjælpsom; engageret	Naboerne er alle meget hjælpsomme.
人才	talentfuld person	Virksomheden har brug for flere talenter.
人口	befolkning	Denne by har en stor befolkning.
人类	menneskeheden	Menneskeheden skal beskytte Jorden.
人民币	renminbi	Jeg vekslede nogle renminbi.
人生	livet	Livet har mange valg.
人事	personale; HR	Hun arbejder i HR-afdelingen.
人物	en person; en figur	Personerne i romanen virker meget virkelige.
人员	personale	Personalet er allerede mødt op.
忍不住	ikke kunne lade være	Efter at have hørt vittigheden kunne han ikke lade være med at le.
日常	daglig	Dette er mit daglige arbejde.
日程	en tidsplan	Dagens tidsplan er meget fuld.
日历	en kalender	Der hænger en kalender på væggen.
日期	en dato	Skriv venligst datoen tydeligt.
日用品	dagligvarer	Supermarkedet sælger mange dagligvarer.
日子	dage; tid	Han har haft meget travlt de sidste dage.
如何	hvordan	Hvordan skal vi løse dette problem?
如今	nu om dage	Transport er meget mere bekvem nu om dage.
软	blød	Denne seng er meget blød.
软件	software	Dette program er nemt at bruge.
弱	svag	Hans krop er forholdsvis svag.
洒	spilde	Han kom ved et uheld til at spilde vandet.
嗓子	hals; stemme	Jeg har lidt ondt i halsen.
色彩	farver	Dette maleri har rige farver.
杀	dræbe	Der er ingen mordscener i denne film.
沙漠	en ørken	Vand i ørkenen er meget værdifuldt.
沙滩	en strand	Børnene leger på stranden.
傻	dum	Gør ikke noget dumt.
晒	tørre i solen	Tøjet tørrer på altanen.
删除	slette	Slet venligst denne e-mail.
闪电	lyn	Der var lyn om natten.
善良	god; venlig	Hun er et venligt menneske.
善于	være god til	Han er god til at løse problemer.
扇子	en vifte	Om sommeren bruger jeg ofte en vifte.
伤害	skade; såre	Sår ikke andres følelser.
商品	varer	Denne butik har mange varer.
商务	forretnings-	Han skal deltage i et forretningsmøde i morgen.
商业	handel; erhverv	Handlen er veludviklet i dette område.
上当	blive snydt	Han var tæt på at blive snydt.
蛇	en slange	Der er en slange i græsset.
舍不得	nødig ville skilles fra	Jeg nænner ikke at forlade dette sted.
射击	skydning	Han træner skydning.
摄影	fotografi	Hun er meget interesseret i fotografi.
设备	udstyr	Udstyret i laboratoriet er meget avanceret.
设计	et design; designe	Dette design er meget kreativt.
设施	faciliteter	Skolens sportsfaciliteter er gode.
伸	strække	Ræk venligst hånden ud.
深刻	dyb; stærk	Denne oplevelse gjorde et stærkt indtryk på mig.
身材	figur	Hun har en sund figur.
身份	identitet	Vis venligst legitimation.
神话	myte	Børn kan lide at høre myter.
神秘	mystisk	Denne gamle by er meget mystisk.
升	en liter	Olieprisen steg lidt pr. liter.
声调	en tone	Kinesisk har fire grundtoner.
生产	producere	Denne fabrik producerer mobiltelefoner.
生动	levende	Læreren forklarer det meget levende.
生长	vokse	Denne slags plante vokser hurtigt.
绳子	et reb	Bind venligst kassen fast med et reb.
省略	udelade	Her kan man udelade et tegn.
胜利	sejr	De opnåede endelig sejr.
失眠	søvnløshed	Han har ofte søvnløshed for tiden.
失去	miste	Mist ikke selvtilliden.
失业	miste arbejdet	Efter at have mistet arbejdet begyndte han at lære nye færdigheder.
湿润	fugtig	Luften efter regnen er meget fugtig.
狮子	en løve	Der er to løver i zoologisk have.
诗	et digt	Han skrev et digt.
实话	sandheden	Fortæl venligst sandheden.
实践	praksis	Teori skal afprøves gennem praksis.
实习	være i praktik	Hun skal i praktik på hospitalet i sommerferien.
实现	realisere	Han realiserede endelig sin drøm.
实验	et eksperiment	Eleverne laver et eksperiment.
实用	praktisk	Dette værktøj er meget praktisk.
时差	tidsforskel	Han har endnu ikke vænnet sig til tidsforskellen.
时代	en tid; en æra	Vi lever i informationsalderen.
时刻	et øjeblik	Husk venligst dette vigtige øjeblik.
时髦	moderigtig	Dette stykke tøj er meget moderigtigt.
时期	en periode	Universitetstiden havde stor indflydelse på ham.
时尚	mode	Hun er meget interesseret i mode.
石头	en sten	Der ligger en sten ved vejen.
食物	mad	Læg venligst maden i køleskabet.
使劲儿	bruge kræfter	Man skal bruge kræfter for at åbne denne flaske.
始终	hele tiden	Han troede hele tiden på, at han kunne få succes.
事实	en kendsgerning	Kendsgerningerne beviser, at han havde ret.
事物	en ting	Børn er meget nysgerrige på nye ting.
事先	på forhånd	Fortæl mig venligst tidspunktet på forhånd.
似的	som om	Han virkede så træt, at han ikke engang ville sige et ord.
士兵	en soldat	Soldaterne træner.
市场	et marked	Dette marked er meget livligt.
试卷	en eksamensopgave	Læreren retter eksamensopgaver.
收获	udbytte	Denne rejse gav mig stort udbytte.
收据	en kvittering	Gem venligst kvitteringen efter betaling.
手工	håndlavet	Denne gave er håndlavet.
手术	en operation	Lægen opererer ham i morgen.
手套	en handske	Tag handsker på, når du går ud om vinteren.
手续	formaliteter; procedurer	Man skal bruge ID for at ordne formaliteterne.
手指	en finger	Hans finger er skadet.
首	måleord for sange	Hun sang en sang.
受伤	blive skadet	Han blev skadet under kampen.
寿命	levetid	Denne slags maskine har lang levetid.
书架	en bogreol	Bogreolen er fyldt med bøger.
梳子	en kam	Hun reder håret med en kam.
舒适	behagelig	Dette værelse er meget behageligt.
蔬菜	grøntsager	At spise flere grøntsager er godt for helbredet.
输入	indtaste	Indtast venligst adgangskoden på computeren.
熟练	dygtig; øvet	Han kan bruge computeren rutineret.
属于	tilhøre	Denne bog tilhører biblioteket.
数	tælle	Tæl venligst, hvor mange personer der er.
鼠标	en mus	Min computermus er gået i stykker.
数据	data	Disse data er meget vigtige.
数码	digital	Han købte et digitalkamera.
摔倒	falde	Hun faldt på vejen.
甩	ryste af	Han rystede vandet af hænderne.
双方	begge parter	Begge parter gik med til denne plan.
税	skat	Man skal betale skat, når man køber ting.
说不定	måske	Måske sner det i morgen.
说服	overtale	Han fik endelig overtalt sine forældre.
丝绸	silke	Dette tørklæde er lavet af silke.
丝毫	slet ikke	Han ændrede slet ikke mening.
思考	tænke over	Tænk venligst grundigt over dette problem.
思想	tankegang	Hans tankegang er meget åben.
撕	rive	Riv venligst ikke dette stykke papir i stykker.
私人	privat	Dette er mit private rum.
似乎	tilsyneladende	Han virker ikke særlig glad.
搜索	søge	Jeg søgte efter materiale på nettet.
宿舍	et kollegieværelse	Eleverne bor på skolens kollegium.
随身	have med sig	Hav venligst passet på dig.
随时	når som helst	Du kan ringe til mig når som helst.
随手	på vej ud; lige med det samme	Luk venligst døren efter dig, når du går.
碎	gå i stykker	Koppen faldt på gulvet og gik i stykker.
损失	et tab	Denne ulykke forårsagede et stort tab.
缩短	forkorte	Den nye rute forkortede turen.
所	måleord for skoler	Denne skole er meget berømt.
锁	låse	Lås venligst døren, før du går ud.
台阶	et trin	Den ældre person gik langsomt op ad trinene.
太极拳	tai chi	Der er nogen, der dyrker tai chi i parken.
太太	fru; kone	Fru Wang laver mad.
谈判	forhandling	Begge parter forhandler.
坦率	ærlig; ligefrem	Han sagde ærligt, hvad han tænkte.
烫	meget varm	Denne kop te er meget varm.
桃	en fersken	Der voksede mange ferskner på træet.
淘气	fræk	Dette barn er lidt frækt.
逃	flygte	Hvalpen løb væk fra gården.
逃避	undgå; flygte fra	Undgå ikke ansvar.
讨价还价	prutte om prisen	Han kan lide at prutte om prisen, når han handler.
套	et sæt	Han købte et nyt sæt tøj.
特色	særpræg; kendetegn	Denne restaurant har lokale særpræg.
特殊	særlig	I dag er en særlig dag.
特征	et kendetegn	Denne slags dyr har tydelige kendetegn.
疼爱	holde meget af	Bedsteforældrene holder meget af barnet.
提倡	fremme; anbefale	Skolen opfordrer til at spare på vandet.
提纲	en disposition	Lav først en disposition, før du skriver en artikel.
提问	stille spørgsmål	Eleverne kan stille spørgsmål når som helst.
题目	et spørgsmål; en titel	Dette spørgsmål er ikke særlig svært.
体会	en forståelse; oplevelse	Gennem rejsen fik jeg en ny forståelse.
体贴	betænksom	Han er meget betænksom over for sin familie.
体现	afspejle	Denne sag afspejler holdånd.
体验	opleve	Jeg vil gerne opleve det lokale liv.
天空	himlen	Himlen er meget blå i dag.
天真	naiv; uskyldig	Barnets tanke er meget uskyldig.
调皮	fræk; uartig	Den kat er meget fræk.
调整	justere	Vi skal justere planen.
挑战	en udfordring	Dette er en stor udfordring.
通常	normalt	Han står normalt op klokken syv.
统一	ensrette; samle	Alles meninger skal samles.
痛苦	smertefuld; lidelse	At miste sin ven gjorde ham meget ked af det.
痛快	herligt; befriende	Vi havde det virkelig sjovt i dag.
偷	stjæle	Stjæl ikke andres ting.
投入	engageret; investere	Han arbejder meget engageret.
投资	investere	De investerede i et nyt projekt.
透明	gennemsigtig	Denne kop er gennemsigtig.
突出	fremtrædende	Hans styrker er meget fremtrædende.
土地	jord; land	Denne jord er meget frugtbar.
土豆	en kartoffel	Jeg købte flere kartofler.
兔子	en kanin	Barnet har en kanin.
吐	kaste op	Han har det dårligt og har lyst til at kaste op.
团	en gruppe	Vi deltog i en rejsegruppe.
推辞	afslå	Han afslog sin vens invitation.
推广	promovere	Virksomheden promoverer et nyt produkt.
推荐	anbefale	Læreren anbefalede denne bog.
退	træde tilbage	Træd venligst et skridt tilbage.
退步	gå tilbage	Hvis man ikke øver sig, går niveauet tilbage.
退休	gå på pension	Han går på pension næste år.
歪	skæv	Dette billede hænger skævt.
外公	en morfar	Min morfar er firs år i år.
外交	diplomati	Han studerer internationale relationer og diplomati.
完美	perfekt	Denne plan er ikke perfekt.
完善	forbedre	Vi skal forbedre serviceprocessen.
完整	komplet	Giv mig venligst en komplet rapport.
玩具	legetøj	Barnet lagde legetøjet i kassen.
万一	hvis nu	Hvis det regner, tager vi af sted en anden dag.
王子	en prins	Prinsen i historien er meget modig.
往返	tur-retur	Denne billet giver mulighed for tur-retur samme dag.
网络	netværk; internet	Internetforbindelsen her er meget stabil.
危害	skade	Rygning kan skade helbredet.
威胁	true	Forurening truer floden.
微笑	smile	Hun smilede til mig.
唯一	den eneste	Dette er den eneste løsning.
围巾	et halstørklæde	Han har halstørklæde på om vinteren.
围绕	dreje sig om	Diskussionen drejede sig om dette spørgsmål.
维修	reparation	Elevatoren er under reparation.
违反	overtræde	At gøre sådan overtræder reglerne.
伟大	stor	Dette er en stor opdagelse.
委屈	føle sig uretfærdigt behandlet	Hun følte sig meget uretfærdigt behandlet.
尾巴	en hale	Hvalpen logrede med halen.
位于	ligge	Skolen ligger i byens centrum.
位置	et sted; en placering	Dette sted er meget stille.
未必	ikke nødvendigvis	Det, han sagde, er ikke nødvendigvis sandt.
未来	fremtiden	Vi skal forberede os på fremtiden.
胃	en mave	Jeg har det lidt dårligt i maven.
胃口	appetit	Han har god appetit i dag.
温暖	varm	Forårssolen er meget varm.
温柔	blid	Hun taler meget blidt.
文件	et dokument	Send mig venligst dokumentet.
文具	skriveredskaber; skoleartikler	Der er mange skoleartikler i skoletasken.
文明	civiliseret	At stå i kø er civiliseret adfærd.
文学	litteratur	Hun kan lide kinesisk litteratur.
文字	skrift	Disse tegn er svære at læse.
闻	lugte	Jeg kunne lugte en blomsterduft.
吻	kysse	Mor kyssede barnets kind.
稳定	stabil	Priserne forbliver stabile.
问候	hilse	Hils venligst din familie fra mig.
卧室	et soveværelse	Der er en stor seng i soveværelset.
握手	give hånd	De gav hånd, da de mødtes.
屋子	et rum	Der er varmt i rummet.
无奈	hjælpeløs	Han rystede hjælpeløst på hovedet.
无数	utallige	Der er utallige stjerner på nattehimlen.
无所谓	det er lige meget	Det er lige meget, hvad du vil spise.
武术	kampsport	Han har lært kampsport siden barndommen.
勿	lad være med	Rygning forbudt her.
物理	fysik	Fysiktimen er meget interessant.
物质	et stof	Vand er et vigtigt stof.
雾	tåge	Der var tæt tåge om morgenen.
吸取	lære af	Vi bør lære af denne lærestreg.
吸收	optage	Planter optager vand.
戏剧	drama; teater	Han kan lide at se traditionelt teater.
系	et institut; en afdeling	Hun studerer på kinesisk instituttet.
系统	et system	Dette system kører stabilt.
细节	en detalje	Vær opmærksom på disse detaljer.
瞎	blind; uden grund	Gæt ikke bare; kig først på materialet.
下载	downloade	Jeg downloadede dette program.
吓	skræmme	Den pludselige lyd skræmte mig.
夏令营	en sommerlejr	Barnet deltog i en kinesisk sommerlejr.
鲜艳	klar; farverig	Farven på denne nederdel er meget klar.
显得	få til at virke	Dette tøj får ham til at se meget ung ud.
显然	tydeligvis	Tydeligvis kender han allerede resultatet.
显示	vise	Skærmen viser forkert tid.
县	et amt; et administrativt distrikt	Dette distrikt har mange teplantager.
现代	moderne	Det moderne liv kan ikke undvære internettet.
现实	virkelighed	Vi må se virkeligheden i øjnene.
现象	et fænomen	Dette fænomen er meget almindeligt.
限制	begrænse	Her er bilers adgang begrænset.
相处	komme godt ud af det med	De kommer godt ud af det med hinanden.
相当	ganske; ret	Denne bog er ret interessant.
相对	relativt	Priserne her er relativt billige.
相关	relevant	Giv venligst de relevante materialer.
相似	lignende	Betydningen af disse to tegn er meget ens.
香肠	en pølse	Der er æg og pølse til morgenmad.
享受	nyde	De nyder ferien.
想念	savne	Jeg savner min familie meget.
想象	forestille sig	Jeg kan ikke forestille mig den slags liv.
象棋	kinesisk skak	Bedstefar kan lide at spille kinesisk skak.
象征	symbolisere	Hvid symboliserer ofte renhed.
项	et punkt; måleord for opgaver	Denne opgave er meget vigtig.
项链	en halskæde	Hun har en sølvhalskæde på.
项目	et projekt	Dette projekt kræver tre måneder.
消费	forbrug	Forbruget steg i løbet af højtiden.
消化	fordøjelse	En gåtur efter maden hjælper fordøjelsen.
消极	negativ	Se ikke på problemer med en negativ holdning.
消失	forsvinde	Solen forsvandt langsomt bag bjerget.
销售	sælge	Denne virksomhed sælger elektronik.
小麦	hvede	Der dyrkes meget hvede i nord.
小气	nærig	Vær ikke så nærig.
孝顺	være god mod sine forældre	Han er meget god mod sine forældre.
效率	effektivitet	At gøre det på denne måde kan øge effektiviteten.
歇	hvile	Lad os hvile os lidt først.
斜	skrå	Denne vej er lidt skrå.
写作	skrivning	Skrivning kræver langvarig øvelse.
心理	psykisk; mental	Man skal justere sin mentale tilstand før eksamen.
心脏	hjertet	Hjertesundhed er meget vigtig.
欣赏	beundre; nyde	Vi nød det smukke landskab.
信号	et signal	Mobilsignalet her er dårligt.
信任	tillid	Venner har brug for tillid.
形成	danne sig	Gode vaner skal dannes langsomt.
形容	beskrive	Jeg ved ikke, hvordan jeg skal beskrive denne følelse.
形势	en situation	Den nuværende situation er forholdsvis kompleks.
形式	en form	Mødet kan holdes online.
形象	et image	Hans offentlige image er godt.
