simplified	IT	example_IT
捡	raccogliere	Lui ha raccolto il portafoglio da terra.
简历	il curriculum	Prima di cercare lavoro bisogna preparare il curriculum.
简直	semplicemente; praticamente	Questa notizia è semplicemente sorprendente.
健身	allenarsi; tenersi in forma	Lui va ad allenarsi tre volte alla settimana.
建立	stabilire; fondare	Abbiamo stabilito una nuova relazione.
建设	costruire; la costruzione	Lo sviluppo edilizio urbano procede rapidamente.
建筑	l'edificio; l'architettura	Questo edificio ha caratteristiche particolari.
键盘	la tastiera	La mia tastiera deve essere pulita.
讲究	prestare molta attenzione; essere esigente	I cinesi prestano molta attenzione al cibo.
讲座	la conferenza; la lezione	Stasera c'è una conferenza in cinese.
酱油	la salsa di soia	Aggiungi un po' di salsa di soia al piatto.
交换	scambiare	Ci siamo scambiati i numeri di telefono.
交际	la comunicazione; le relazioni sociali	Quando si studia una lingua bisogna anche esercitare la comunicazione.
交往	frequentarsi; avere rapporti	Loro si frequentano da due anni.
浇	innaffiare; versare	Per favore, innaffia i fiori ogni giorno.
胶水	la colla	Ho usato la colla per attaccare la foto.
狡猾	astuto; furbo	Quella volpe è molto astuta.
角度	l'angolo; il punto di vista	Guardiamo il problema da un altro punto di vista.
教材	il materiale didattico; il manuale	Questo manuale è molto pratico.
教练	l'allenatore; l'istruttore	L'allenatore ci chiede di arrivare puntuali.
教训	la lezione; l'insegnamento	Questo fallimento è una lezione.
接触	entrare in contatto; il contatto	È la prima volta che entro in contatto con la cultura cinese.
接待	accogliere; ricevere	L'azienda ha incaricato una persona di accogliere gli ospiti.
接近	avvicinarsi; vicino	La Festa di primavera si avvicina sempre di più.
结实	robusto; solido	Questa valigia è molto robusta.
阶段	la fase; lo stadio	Lo studio è diviso in tre fasi.
结构	la struttura	Questo articolo ha una struttura chiara.
结合	unire; combinare	Lo studio deve essere unito alla pratica.
结论	la conclusione	La sua conclusione è molto convincente.
结账	pagare il conto; saldare	Dopo aver mangiato siamo andati a pagare il conto.
节省	risparmiare	Prendere la metropolitana può far risparmiare tempo.
借口	la scusa	Non cercare più scuse.
届	edizione; sessione	Questa è la terza edizione della gara.
戒	smettere; ammonire	Il medico gli ha consigliato di smettere di fumare.
戒指	l'anello	Lei indossa un anello.
金属	il metallo	Il ferro è un tipo di metallo.
尽快	il prima possibile	Per favore, rispondi all'e-mail il prima possibile.
紧急	urgente; d'emergenza	Questa è una situazione d'emergenza.
谨慎	prudente; cauto	Bisogna essere prudenti prima di investire.
尽力	fare del proprio meglio	Farò del mio meglio per aiutarti.
尽量	per quanto possibile; cercare di	Per favore, cerca di arrivare il prima possibile.
近代	l'epoca moderna	Nella Cina moderna sono avvenuti molti cambiamenti.
进步	il progresso; migliorare	Il suo cinese sta migliorando rapidamente.
进口	importare; importato	Questa macchina è importata.
精力	l'energia	I bambini hanno molta energia.
精神	lo spirito; lo stato mentale	Oggi lui è in ottima forma.
经典	classico; un classico	Questo è un film classico.
经商	fare affari; commerciare	Suo padre fa affari all'estero.
经营	gestire; dirigere	Lei gestisce un piccolo negozio.
酒吧	il bar	La sera sono andati al bar.
救	salvare; soccorrere	Il medico gli ha salvato la vita.
救护车	l'ambulanza	L'ambulanza è arrivata rapidamente.
舅舅	lo zio materno	Mio zio materno vive a Nanchino.
居然	addirittura; sorprendentemente	Lui ha addirittura dimenticato il proprio compleanno.
桔子	il mandarino	Sul tavolo ci sono alcuni mandarini.
俱乐部	il circolo; l'associazione	Lei si è iscritta all'associazione di nuoto.
具备	possedere; avere	Lui ha esperienza di gestione.
具体	specifico; concreto	Per favore, sii un po' più specifico.
巨大	enorme; immenso	Questo progetto richiede un investimento enorme.
据说	si dice che	Si dice che lui sia già tornato nel suo paese.
捐	donare; contribuire	Tutti sono disposti a donare denaro.
决赛	la finale	Domani c'è la finale di calcio.
决心	la determinazione; decidersi	Lui ha deciso con fermezza di imparare bene il cinese.
绝对	assolutamente; assoluto	Questa cosa non deve assolutamente essere dimenticata.
角色	il ruolo; il personaggio	Lei interpreta un ruolo importante nel film.
军事	militare; gli affari militari	Lui è molto interessato alla storia militare.
均匀	uniforme; in modo uniforme	Per favore, stendi il colore in modo uniforme.
卡车	il camion	Un camion è parcheggiato all'ingresso.
开发	sviluppare; mettere a punto	L'azienda sta sviluppando un nuovo prodotto.
开放	aprire; essere aperto	Il parco apre ogni mattina alle sei.
开幕式	la cerimonia di apertura	La cerimonia di apertura si terrà domani sera.
开水	l'acqua bollita; l'acqua calda	Per favore, dammi un bicchiere d'acqua bollita.
砍	tagliare; abbattere	L'operaio sta tagliando i rami.
看不起	guardare dall'alto in basso; disprezzare	Non guardare dall'alto in basso nessuno.
看望	andare a trovare	Nel fine settimana andrò a trovare i nonni.
靠	appoggiarsi; fare affidamento	Lui si appoggia al muro per riposare.
颗	classificatore per piccoli oggetti rotondi	Nel cielo notturno c'è una stella.
可见	si vede che; è chiaro che	Si vede che questo metodo è molto efficace.
可靠	affidabile	Lui è un amico affidabile.
可怕	spaventoso; terribile	Questo sogno era troppo spaventoso.
克	il grammo	Per favore, aggiungi due grammi di sale.
克服	superare	Dobbiamo superare le difficoltà.
刻苦	studioso; diligente	Lui studia con grande impegno.
客观	obiettivo; imparziale	Per favore, analizza il problema in modo obiettivo.
课程	il corso	Questo corso è molto utile.
空间	lo spazio	Questa stanza ha molto spazio.
控制	controllare	Il conducente ha controllato la velocità dell'auto.
空闲	il tempo libero; libero	Hai tempo libero domani pomeriggio?
口味	il gusto; la preferenza	Il suo gusto è piuttosto leggero.
夸	lodare; esagerare	L'insegnante lo ha lodato per i grandi progressi.
夸张	esagerato; esagerare	La sua espressione è un po' esagerata.
会计	il contabile; la contabilità	Lei lavora come contabile in azienda.
宽	largo; ampio	Questa strada è molto larga.
昆虫	l'insetto	I bambini stanno osservando gli insetti.
扩大	espandere; ampliare	La scuola prevede di ampliare la biblioteca.
辣椒	il peperoncino	Nel piatto sono stati messi molti peperoncini.
拦	fermare; bloccare	La polizia ha fermato un'auto.
烂	marcio; troppo cotto	Questa mela è già marcia.
朗读	leggere ad alta voce	Per favore, leggi il testo ad alta voce.
劳动	il lavoro; il lavoro fisico	Il lavoro fa sentire le persone realizzate.
劳驾	scusi; mi scusi	Mi scusi, dov'è la stazione della metropolitana?
姥姥	la nonna materna	Mia nonna materna cucina molto bene.
老百姓	la gente comune	La gente comune si preoccupa del costo della vita.
老板	il capo; il proprietario	Il capo oggi non è in ufficio.
老婆	la moglie	Lui ha comprato dei fiori per sua moglie.
老实	onesto; sincero	Lui è una persona onesta.
老鼠	il topo	In cucina c'è un topo.
乐观	ottimista	Lei è ottimista riguardo al futuro.
雷	il tuono	Il tuono di ieri sera era molto forte.
类型	il tipo; la categoria	A quale genere appartiene questo tipo di film?
冷淡	freddo; indifferente	Il suo atteggiamento è un po' freddo.
厘米	il centimetro	Questa penna è lunga quindici centimetri.
梨	la pera	Ho comprato alcune pere.
离婚	divorziare	Loro hanno divorziato l'anno scorso.
理论	la teoria	Questa teoria è molto complessa.
理由	il motivo; la ragione	Che motivo hai per essere in ritardo?
利润	il profitto	Quest'anno il profitto dell'azienda è aumentato.
利息	l'interesse	Gli interessi bancari non sono alti.
利益	l'interesse; il beneficio	Dobbiamo proteggere gli interessi di tutti.
利用	usare; sfruttare	Lui usa il fine settimana per studiare cinese.
力量	la forza	L'unione fa la forza.
立即	immediatamente	Per favore, lascia subito questo posto.
立刻	subito; immediatamente	Dopo aver sentito la notizia, è partito subito.
联合	unire; collaborare	Le due aziende hanno sviluppato insieme un prodotto.
连忙	subito; in fretta	Sentendo squillare il telefono, lo ha preso subito.
连续	consecutivo; di fila	Ha lavorato per dieci ore di fila.
恋爱	avere una relazione; essere innamorati	Loro hanno una relazione.
粮食	i cereali; le derrate alimentari	Quest'anno la produzione di cereali è aumentata.
良好	buono; favorevole	Lui ha buone abitudini di studio.
亮	luminoso; chiaro	La luce nella stanza è molto luminosa.
了不起	straordinario; notevole	Lei ha ottenuto risultati straordinari.
列车	il treno	Il treno sta per partire.
临时	temporaneo; provvisorio	Questa è una decisione temporanea.
灵活	flessibile; agile	I metodi di studio devono essere flessibili.
铃	la campanella; il campanello	È suonata la campanella della lezione.
零件	il pezzo; il componente	Alla macchina manca un pezzo.
零食	lo spuntino; gli spuntini	Ai bambini piace mangiare spuntini.
领导	il dirigente; guidare	Il dirigente è in riunione.
领域	il campo; il settore	Lei lavora nel campo dell'istruzione.
流传	diffondersi; tramandarsi	Questa storia si tramanda da molto tempo.
流泪	piangere; versare lacrime	Sentita questa notizia, lei ha pianto.
浏览	navigare; scorrere	Dò prima un'occhiata alla pagina internet.
龙	il drago	Nella cultura cinese ci sono draghi.
漏	perdere; filtrare	Il tetto perde acqua.
录取	ammettere; accettare	Lui è stato ammesso all'università.
录音	registrare l'audio; la registrazione	Per favore, inizia a registrare.
陆地	la terraferma	La tartaruga marina è salita sulla terraferma.
陆续	uno dopo l'altro	Gli ospiti sono arrivati uno dopo l'altro.
轮流	fare a turno	Facciamo a turno a pulire l'aula.
论文	la tesi; l'articolo accademico	Lei sta scrivendo la tesi di laurea.
逻辑	la logica	La sua logica è molto chiara.
落后	restare indietro; arretrato	Non possiamo restare indietro rispetto agli altri.
骂	sgridare; insultare	Per favore, non sgridare il bambino.
麦克风	il microfono	Per favore, passagli il microfono.
馒头	il panino al vapore	A colazione ho mangiato un panino al vapore.
满足	soddisfare; bastare	Questa risposta non soddisfa i requisiti.
毛病	il problema; il difetto	Questo computer ha un piccolo problema.
矛盾	la contraddizione; il conflitto	Tra loro ci sono alcuni conflitti.
冒险	rischiare; l'avventura	Andare lì da soli è troppo rischioso.
贸易	il commercio	Il commercio internazionale si sta sviluppando rapidamente.
媒体	i media	I media hanno riferito questa notizia.
煤炭	il carbone	Questa regione produce carbone.
眉毛	il sopracciglio	Le sue sopracciglia sono folte.
美术	le belle arti; l'arte	A mia sorella minore piace l'arte.
魅力	il fascino	Questa città ha molto fascino.
梦想	il sogno; sognare	Il suo sogno è diventare medico.
密切	stretto; stretto contatto	Manteniamo uno stretto contatto.
秘密	il segreto	Questo è il nostro segreto.
秘书	il segretario; la segretaria	La segretaria ha fissato l'orario della riunione.
蜜蜂	l'ape	Tra i fiori ci sono molte api.
面对	affrontare	Dobbiamo affrontare le difficoltà con coraggio.
面积	la superficie	La superficie di questa stanza non è grande.
面临	trovarsi di fronte; affrontare	L'azienda affronta nuove sfide.
描写	descrivere; raffigurare	L'autore ha descritto la vita rurale.
苗条	snello; slanciato	Lei ha una figura snella.
敏感	sensibile	Questo argomento è piuttosto sensibile.
名牌	il marchio famoso; di marca	Lui ha comprato un orologio di marca.
名片	il biglietto da visita	Per favore, dammi un biglietto da visita.
名胜古迹	luoghi famosi e siti storici	A Pechino ci sono molti luoghi famosi e siti storici.
明确	chiaro; chiarire	L'insegnante ha spiegato chiaramente i requisiti.
明显	evidente; ovvio	Il suo progresso è evidente.
明星	la celebrità; il personaggio famoso	Lei vuole diventare una celebrità del cinema.
命令	l'ordine; il comando	I soldati devono obbedire agli ordini.
命运	il destino	Lui crede che il destino possa cambiare.
摸	toccare; palpare	Per favore, non toccare questo quadro.
摩托车	la motocicletta; la moto	Lui va al lavoro in moto.
模仿	imitare	Ai bambini piace imitare il modo di parlare degli adulti.
模糊	sfocato; vago	Questa foto è un po' sfocata.
模特	il modello; la modella	Lei è una modella di moda.
陌生	sconosciuto; non familiare	Questa città mi è molto poco familiare.
某	un certo; qualche	Un certo insegnante mi ha telefonato.
木头	il legno	Questo tavolo è fatto di legno.
目标	l'obiettivo	Il mio obiettivo è superare l'esame.
目录	l'indice; il catalogo	Per favore, guarda prima l'indice all'inizio del libro.
目前	attualmente; al momento	Al momento la situazione è relativamente stabile.
哪怕	anche se	Anche se è molto occupato, continua a studiare.
难怪	non c'è da stupirsi	Non c'è da stupirsi che oggi tu sia così felice.
难免	essere difficile da evitare	La prima volta è difficile evitare errori.
脑袋	la testa	Gli fa un po' male la testa.
内部	interno; la parte interna	Questo è materiale interno dell'azienda.
内科	medicina interna; il reparto di medicina interna	Oggi va a fare una visita di medicina interna.
嫩	tenero; morbido	Questo pezzo di carne è molto tenero.
能干	capace; competente	Lei è una persona molto capace.
能源	l'energia; la fonte energetica	L'energia solare è una fonte di energia pulita.
嗯	mm; sì	Mm, ho capito.
年代	il decennio; l'epoca	Questa foto è stata scattata negli anni Ottanta.
年纪	l'età	Lui non è molto vecchio, ma ha molta esperienza.
念	leggere ad alta voce; studiare	Per favore, leggi il testo una volta ad alta voce.
宁可	preferire; piuttosto	Vorrei piuttosto camminare che aspettare l'autobus.
牛仔裤	i jeans	Lui indossa un paio di jeans.
农村	la campagna; la zona rurale	Lei è cresciuta in campagna.
农民	il contadino; l'agricoltore	I contadini stanno lavorando nei campi.
农业	l'agricoltura	L'agricoltura è molto importante per questa regione.
浓	forte; denso	Questo caffè è troppo forte.
女士	la signora	Quella signora sta aspettando l'autobus.
欧洲	l'Europa	Il mese prossimo lui andrà in Europa.
偶然	per caso; occasionale	Ho incontrato per caso un vecchio compagno di scuola.
拍	scattare; battere	Per favore, aiutami a scattare una foto.
派	mandare; inviare	L'azienda lo ha mandato a Shanghai per lavoro.
盼望	aspettare con ansia; non vedere l'ora	Non vedo l'ora di vederti presto.
培训	la formazione; formare	I nuovi dipendenti devono partecipare alla formazione.
培养	coltivare; sviluppare	La scuola dà importanza allo sviluppo delle capacità degli studenti.
赔偿	risarcire; compensare	L'azienda ha accettato di risarcire la perdita.
佩服	ammirare	Ammiro molto il suo coraggio.
配合	collaborare; coordinarsi	Per favore, collaborate con le disposizioni dell'insegnante.
盆	il vaso; la bacinella	Sul balcone c'è un vaso di fiori.
碰	toccare; urtare	Attento, non toccare l'acqua calda.
批	partita; lotto	Questa partita di merci è arrivata oggi.
批准	approvare	Il direttore ha approvato questo piano.
披	indossare sulle spalle; drappeggiare	Lei ha un cappotto sulle spalle.
疲劳	la stanchezza; affaticato	Lavorare a lungo può far sentire stanchi.
匹	classificatore per cavalli	Sul prato c'è un cavallo.
片	la fetta; classificatore per cose sottili	Per favore, dammi una fetta di pane.
片面	unilaterale; parziale	Questo punto di vista è troppo unilaterale.
飘	fluttuare; svolazzare	I fiocchi di neve fluttuano nell'aria.
拼音	il pinyin	Per favore, scrivi il pinyin accanto ai caratteri cinesi.
频道	il canale	Per favore, passa al canale delle notizie.
凭	con; in base a	Si può entrare con il biglietto.
平均	medio; in media	In media ogni persona ha speso dieci yuan.
平	piatto; piano	Questa strada è molto piana.
平安	al sicuro; senza problemi	Ti auguro buon viaggio.
平常	di solito; normale	Di solito lui arriva raramente in ritardo.
平等	uguale; l'uguaglianza	Tutti dovrebbero essere trattati in modo uguale.
平方	quadrato; al quadrato	Questa stanza ha venti metri quadrati.
平衡	l'equilibrio	Il lavoro e la vita hanno bisogno di equilibrio.
平静	calmo; tranquillo	La superficie del lago è molto calma.
评价	valutare; la valutazione	L'insegnante ha dato una valutazione molto alta.
破产	fallire; il fallimento	Quell'azienda è fallita l'anno scorso.
破坏	danneggiare; distruggere	Per favore, non danneggiare i beni pubblici.
迫切	urgente; pressante	Abbiamo urgente bisogno di più medici.
期待	aspettare con entusiasmo; l'attesa	Non vedo l'ora di fare questo viaggio.
期间	durante; il periodo	Per favore, spegni il telefono durante la riunione.
其余	il resto; gli altri	Gli altri problemi saranno discussi domani.
奇迹	il miracolo	Il medico ha detto che questo era un miracolo.
企业	l'impresa; l'azienda	Questa impresa si sta sviluppando rapidamente.
启发	ispirare; l'ispirazione	Questo libro mi ha dato molta ispirazione.
气氛	l'atmosfera	L'atmosfera in classe è molto rilassata.
汽油	la benzina	L'auto ha bisogno di benzina.
签	firmare	Per favore, firma qui con il tuo nome.
谦虚	modesto; umile	Lui è molto bravo ed è anche molto modesto.
前途	il futuro; le prospettive	Questa specializzazione ha buone prospettive.
浅	poco profondo; superficiale	Questo fiume è poco profondo.
欠	dovere; essere in debito	Lui mi deve ancora venti yuan.
枪	la pistola; l'arma da fuoco	Il poliziotto tiene una pistola in mano.
墙	il muro	Al muro è appeso un quadro.
强调	sottolineare; enfatizzare	L'insegnante ha sottolineato le questioni di sicurezza.
强烈	forte; intenso	Lui ha un forte senso di responsabilità.
抢	contendersi; strappare	Non contenderti i posti con gli altri.
悄悄	in silenzio; di nascosto	Lei è entrata nella stanza in silenzio.
瞧	guardare; vedere	Guarda, fuori nevica.
巧妙	ingegnoso; abile	Questo metodo è molto ingegnoso.
切	tagliare; affettare	Per favore, taglia la frutta a pezzetti.
亲爱	caro; amato	Caro amico, grazie.
亲切	gentile; cordiale	L'insegnante parla in modo molto gentile.
亲自	di persona; personalmente	Il direttore ha accolto personalmente gli ospiti.
勤奋	diligente; laborioso	Le persone diligenti riescono più facilmente.
清淡	leggero; delicato	Mi piace mangiare piatti leggeri.
轻视	sottovalutare; disprezzare	Non sottovalutare questo piccolo problema.
轻易	facilmente; alla leggera	Lui non si arrenderà facilmente.
青	verde-azzurro; blu-verde	Questo vestito è blu-verde.
青春	la giovinezza	La giovinezza è preziosa.
青少年	l'adolescente; gli adolescenti	Gli adolescenti hanno bisogno di dormire abbastanza.
情景	la scena; la situazione	La scena nel film è molto commovente.
情绪	l'emozione; lo stato d'animo	Le sue emozioni non sono molto stabili.
请求	la richiesta; chiedere	Lui ha fatto una richiesta.
庆祝	festeggiare; celebrare	Abbiamo festeggiato il suo compleanno.
球迷	il tifoso	Molti tifosi sono venuti a vedere la partita.
趋势	la tendenza	Questa tendenza diventa sempre più evidente.
取消	annullare; cancellare	A causa della pioggia, l'attività è stata annullata.
娶	prendere in moglie; sposare	Lui ha intenzione di sposarla l'anno prossimo.
去世	morire; venire a mancare	Suo nonno è venuto a mancare l'anno scorso.
圈	il cerchio; cerchiare	Per favore, cerchia la risposta corretta.
全面	completo; complessivo	Dobbiamo capire la situazione in modo completo.
权利	il diritto	Tutti hanno il diritto di ricevere un'istruzione.
权力	il potere; l'autorità	Il potere dovrebbe essere sottoposto a controllo.
劝	consigliare; persuadere	Un amico mi ha consigliato di riposare prima.
缺乏	mancare; la mancanza	Questa zona manca di acqua pulita.
确定	determinare; essere sicuro	Non posso ancora stabilire l'orario.
确认	confermare	Per favore, conferma il tuo indirizzo.
群	il gruppo; classificatore per gruppi	Un gruppo di bambini gioca nel cortile della scuola.
燃烧	bruciare; la combustione	Il legno sta bruciando.
绕	girare intorno; aggirare	Abbiamo fatto un giro intorno al lago.
热爱	amare profondamente	Lui ama profondamente il suo lavoro.
热烈	caloroso; entusiastico	Tutti hanno accolto calorosamente gli ospiti.
热心	premuroso; disponibile	I vicini sono tutti molto disponibili.
人才	il talento; la persona di talento	L'azienda ha bisogno di più persone di talento.
人口	la popolazione	Questa città ha una popolazione numerosa.
人类	l'umanità; il genere umano	L'umanità deve proteggere la Terra.
人民币	il renminbi; lo yuan cinese	Ho cambiato un po' di renminbi.
人生	la vita; la vita umana	La vita offre molte scelte.
人事	le risorse umane; il personale	Lei lavora nel reparto risorse umane.
人物	il personaggio; la figura	I personaggi del romanzo sembrano molto reali.
人员	il personale	Il personale di lavoro è già arrivato tutto.
忍不住	non riuscire a trattenersi	Sentita la barzelletta, non è riuscito a trattenere le risate.
日常	quotidiano	Questo è il mio lavoro quotidiano.
日程	il programma; l'agenda	Il programma di oggi è molto fitto.
日历	il calendario	Al muro è appeso un calendario.
日期	la data	Per favore, scrivi chiaramente la data.
日用品	gli articoli di uso quotidiano	Il supermercato vende molti articoli di uso quotidiano.
日子	i giorni; il periodo	In questi giorni lui è molto occupato.
如何	come	Come dovremmo risolvere questo problema?
如今	oggi; oggigiorno	Oggi i trasporti sono molto più comodi.
软	morbido; flessibile	Questo letto è molto morbido.
软件	il programma informatico	Questo programma è molto facile da usare.
弱	debole	Il suo corpo è piuttosto debole.
洒	versare; spargere	Lui ha rovesciato l'acqua per sbaglio.
嗓子	la gola; la voce	Mi fa un po' male la gola.
色彩	il colore; la colorazione	Questo quadro ha colori molto ricchi.
杀	uccidere	In questo film non ci sono scene di omicidio.
沙漠	il deserto	L'acqua nel deserto è molto preziosa.
沙滩	la spiaggia	I bambini giocano sulla spiaggia.
傻	stupido; sciocco	Non fare sciocchezze.
晒	stendere al sole; asciugare al sole	I vestiti si stanno asciugando al sole sul balcone.
删除	eliminare; cancellare	Per favore, elimina questa e-mail.
闪电	il fulmine	Di notte è apparso un fulmine.
善良	buono; di buon cuore	Lei è una persona di buon cuore.
善于	essere bravo a	Lui è bravo a risolvere problemi.
扇子	il ventaglio	In estate uso spesso un ventaglio.
伤害	ferire; danneggiare	Non ferire i sentimenti degli altri.
商品	la merce; il prodotto	Questo negozio ha molti prodotti.
商务	gli affari; commerciale	Domani parteciperà a una riunione d'affari.
商业	il commercio; gli affari	Il commercio è molto sviluppato in questa zona.
上当	essere ingannato	Lui ha quasi abboccato all'inganno.
蛇	il serpente	Nell'erba c'è un serpente.
舍不得	dispiacersi di lasciare; non voler separarsi	Mi dispiace lasciare questo posto.
射击	sparare; il tiro	Lui si allena nel tiro.
摄影	la fotografia; fotografare	Lei è molto interessata alla fotografia.
设备	l'attrezzatura; l'apparecchiatura	L'attrezzatura del laboratorio è molto avanzata.
设计	il progetto; progettare	Questo progetto è molto creativo.
设施	le strutture; gli impianti	Le strutture sportive della scuola sono buone.
伸	stendere; allungare	Per favore, stendi la mano.
深刻	profondo; intenso	Questa esperienza mi ha lasciato un'impressione profonda.
身材	la corporatura; la figura	Lei ha una corporatura sana.
身份	l'identità; lo status	Per favore, mostra un documento d'identità.
神话	il mito; la mitologia	Ai bambini piace ascoltare storie mitologiche.
神秘	misterioso	Questa antica città è molto misteriosa.
升	il litro; salire	Il prezzo del carburante è aumentato un po' al litro.
声调	il tono; il tono sillabico	Il cinese ha quattro toni fondamentali.
生产	produrre	Questa fabbrica produce telefoni cellulari.
生动	vivace; vivido	L'insegnante spiega in modo molto vivace.
生长	crescere	Questo tipo di pianta cresce molto velocemente.
绳子	la corda	Per favore, lega bene la scatola con una corda.
省略	omettere; l'omissione	Qui si può omettere un carattere.
胜利	la vittoria	Alla fine hanno ottenuto la vittoria.
失眠	l'insonnia; soffrire d'insonnia	Ultimamente lui soffre spesso d'insonnia.
失去	perdere	Non perdere la fiducia.
失业	la disoccupazione; perdere il lavoro	Dopo aver perso il lavoro, ha iniziato a imparare nuove competenze.
湿润	umido	L'aria dopo la pioggia è molto umida.
狮子	il leone	Allo zoo ci sono due leoni.
诗	la poesia	Lui ha scritto una poesia.
实话	la verità	Per favore, di' la verità.
实践	la pratica; mettere in pratica	La teoria deve essere verificata attraverso la pratica.
实习	fare tirocinio; il tirocinio	Lei farà tirocinio in ospedale durante le vacanze estive.
实现	realizzare; raggiungere	Alla fine ha realizzato il suo sogno.
实验	l'esperimento	Gli studenti stanno facendo un esperimento.
实用	pratico; utile	Questo strumento è molto pratico.
时差	il fuso orario; la differenza di orario	Lui non si è ancora abituato alla differenza di orario.
时代	l'epoca; l'era	Viviamo nell'era dell'informazione.
时刻	il momento	Per favore, ricorda questo momento importante.
时髦	alla moda	Questo vestito è molto alla moda.
时期	il periodo	Il periodo universitario ha avuto una grande influenza su di lui.
时尚	la moda	Lei è molto interessata alla moda.
石头	la pietra	Sul bordo della strada c'è una pietra.
食物	il cibo	Per favore, metti il cibo in frigorifero.
使劲儿	usare forza; metterci forza	Per aprire questa bottiglia bisogna metterci forza.
始终	sempre; dall'inizio alla fine	Lui ha sempre creduto di poter riuscire.
事实	il fatto	I fatti dimostrano che aveva ragione.
事物	la cosa; l'oggetto	I bambini sono molto curiosi delle cose nuove.
事先	in anticipo	Per favore, dimmi l'orario in anticipo.
似的	come se	Sembrava così stanco da non voler dire neanche una parola.
士兵	il soldato	I soldati si stanno addestrando.
市场	il mercato	Questo mercato è molto vivace.
试卷	il compito d'esame; la prova	L'insegnante sta correggendo i compiti d'esame.
收获	il guadagno; il risultato	Questo viaggio mi ha dato molto.
收据	la ricevuta	Per favore, conserva la ricevuta dopo il pagamento.
手工	fatto a mano; il lavoro manuale	Questo regalo è fatto a mano.
手术	l'operazione chirurgica	Domani il medico lo opererà.
手套	il guanto	Bisogna indossare i guanti quando si esce in inverno.
手续	le pratiche; le formalità	Per svolgere le pratiche serve un documento d'identità.
手指	il dito	Il suo dito è ferito.
首	classificatore per canzoni e poesie	Lei ha cantato una canzone.
受伤	ferirsi; essere ferito	Lui si è ferito durante la partita.
寿命	la durata; la vita utile	Questo tipo di macchina ha una lunga durata.
书架	la libreria	La libreria è piena di libri.
梳子	il pettine	Lei si pettina i capelli con un pettine.
舒适	comodo; confortevole	Questa stanza è molto confortevole.
蔬菜	la verdura	Mangiare più verdura fa bene alla salute.
输入	inserire; immettere	Per favore, inserisci la password nel computer.
熟练	abile; esperto	Lui sa usare abilmente il computer.
属于	appartenere a	Questo libro appartiene alla biblioteca.
数	contare	Per favore, conta quante persone ci sono.
鼠标	il mouse	Il mio mouse non funziona.
数据	i dati	Questi dati sono molto importanti.
数码	digitale	Lui ha comprato una fotocamera digitale.
摔倒	cadere	Lei è caduta per strada.
甩	scuotere; gettare	Lui ha scosso via l'acqua dalle mani.
双方	entrambe le parti	Entrambe le parti hanno accettato questo piano.
税	la tassa; l'imposta	Quando si compra qualcosa bisogna pagare le tasse.
说不定	forse; non è detto	Forse domani nevicherà.
说服	persuadere; convincere	Alla fine ha convinto i genitori.
丝绸	la seta	Questa sciarpa è fatta di seta.
丝毫	minimamente; affatto	Lui non ha cambiato idea minimamente.
思考	pensare; riflettere	Per favore, rifletti seriamente su questo problema.
思想	il pensiero; l'idea	Il suo modo di pensare è molto aperto.
撕	strappare	Per favore, non strappare questo foglio.
私人	privato	Questo è il mio spazio privato.
似乎	sembrare; pare che	Lui sembra non essere molto contento.
搜索	cercare; fare una ricerca	Ho cercato materiali su internet.
宿舍	il dormitorio; la residenza studentesca	Gli studenti vivono nel dormitorio della scuola.
随身	con sé	Per favore, tieni con te il passaporto.
随时	in qualsiasi momento	Puoi chiamarmi in qualsiasi momento.
随手	di passaggio; mentre si fa altro	Per favore, chiudi la porta quando esci.
碎	rompersi in pezzi; rotto	La tazza è caduta a terra e si è rotta.
损失	la perdita; il danno	Questo incidente ha causato una grande perdita.
缩短	accorciare; ridurre	Il nuovo percorso ha accorciato il tragitto.
所	classificatore per scuole e istituzioni	Questa scuola è molto famosa.
锁	chiudere a chiave; la serratura	Per favore, chiudi bene la porta a chiave prima di uscire.
台阶	il gradino; la scalinata	L'anziano è salito lentamente sui gradini.
太极拳	il tai chi	Nel parco alcune persone praticano tai chi.
太太	la signora; la moglie	La signora Wang sta cucinando.
谈判	negoziare; la trattativa	Le due parti stanno negoziando.
坦率	franco; sincero	Lui ha espresso francamente i suoi pensieri.
烫	bollente; scottare	Questa tazza di tè è molto bollente.
桃	la pesca	Sull'albero sono cresciute molte pesche.
淘气	monello; dispettoso	Questo bambino è un po' monello.
逃	scappare; fuggire	Il cagnolino è scappato dal cortile.
逃避	evitare; sottrarsi	Non evitare la responsabilità.
讨价还价	contrattare; trattare sul prezzo	Gli piace contrattare quando fa acquisti.
套	il completo; classificatore per set	Lui ha comprato un nuovo completo di vestiti.
特色	la caratteristica; il tratto distintivo	Questo ristorante ha caratteristiche locali.
特殊	speciale; particolare	Oggi è un giorno speciale.
特征	la caratteristica; il tratto distintivo	Questo tipo di animale ha caratteristiche evidenti.
疼爱	voler molto bene	I nonni vogliono molto bene al bambino.
提倡	promuovere; sostenere	La scuola promuove il risparmio dell'acqua.
提纲	la scaletta; lo schema	Prima di scrivere un articolo, prepara una scaletta.
提问	fare domande	Gli studenti possono fare domande in qualsiasi momento.
题目	il tema; la domanda	Questa domanda non è molto difficile.
体会	capire per esperienza; la comprensione	Attraverso il viaggio ho acquisito una nuova comprensione.
