simplified	TE	example_TE
干燥	పొడిగా ఉండటం	ఉత్తర ప్రాంతాల్లో శీతాకాలం చాలా పొడిగా ఉంటుంది.
感激	కృతజ్ఞతతో ఉండటం	నీ సహాయానికి నేను చాలా కృతజ్ఞుడిని.
感受	భావన	నీ భావనలను నేను అర్థం చేసుకోగలను.
感想	అభిప్రాయం	దయచేసి మీ అభిప్రాయాలను చెప్పండి.
赶紧	తొందరపడడం	ఇప్పటికే ఆలస్యమైంది, కాబట్టి తొందరగా బయలుదేరు.
赶快	త్వరగా	తలుపు త్వరగా మూసేయండి.
干活儿	పని చేయడం	అతను యార్డులో పని చేస్తున్నాడు.
钢铁	ఉక్కు	ఈ వంతెన ఉక్కుతో తయారైంది.
高档	ఉన్నత స్థాయి	ఇది ఒక ఉన్నత స్థాయి హోటల్.
高级	ఉన్నత	ఆమె ఉన్నత చైనీస్ తరగతిలో చేరింది.
搞	నిర్వహించడం	నువ్వు ఎలాంటి కార్యక్రమం నిర్వహిస్తున్నావు?
告别	వీడ్కోలు చెప్పడం	మేము విమానాశ్రయంలో స్నేహితుడికి వీడ్కోలు చెప్పాము.
格外	ప్రత్యేకంగా	ఈ రోజు ఆకాశం ప్రత్యేకంగా నీలంగా ఉంది.
隔壁	పక్కింటి	పక్కింట్లో ఒక ఉపాధ్యాయుడు ఉంటాడు.
个别	కొంతమంది	కొంతమంది విద్యార్థులు ఇంకా హోంవర్క్ ఇవ్వలేదు.
个人	వ్యక్తిగత	ఇది నా వ్యక్తిగత అభిప్రాయం.
个性	వ్యక్తిత్వం	ఆమెకు బలమైన వ్యక్తిత్వం ఉంది.
各自	తమ తమ	అందరూ తమ తమ పనిని పూర్తి చేస్తారు.
根	పొడవైన వస్తువుల లెక్కపదం	బల్ల కింద ఒక తీగ ఉంది.
根本	అసలు	ఈ సమస్య అసలు కష్టం కాదు.
公布	ప్రకటించడం	పాఠశాల పరీక్ష ఫలితాలను ప్రకటించింది.
公开	బహిరంగ	ఈ సమావేశం బహిరంగమైనది.
公平	న్యాయమైన	పోటీ న్యాయంగా ఉండాలి.
公寓	అపార్ట్‌మెంట్	ఆమె ఒక చిన్న అపార్ట్‌మెంట్ అద్దెకు తీసుకుంది.
公元	క్రీస్తు శకం	ఈ సంవత్సరం క్రీస్తు శకం రెండు వేల ఇరవై ఆరు.
公主	రాజకుమారి	ఆ చిన్న అమ్మాయికి రాజకుమారి కథలు ఇష్టం.
功能	పని	ఈ సాఫ్ట్‌వేర్‌కు చాలా పనులు ఉన్నాయి.
工厂	కర్మాగారం	ఈ కర్మాగారం కార్లు తయారు చేస్తుంది.
工程师	ఇంజనీరు	నా అన్నయ్య ఇంజనీరు.
工具	సాధనం	సైకిల్ మరమ్మతు చేయడానికి సాధనాలు కావాలి.
工人	కార్మికుడు	కార్మికులు రహదారిని మరమ్మతు చేస్తున్నారు.
工业	పరిశ్రమ	ఈ నగరం ప్రధానంగా పరిశ్రమపై ఆధారపడి ఉంది.
恭喜	అభినందనలు	పరీక్షలో ఉత్తీర్ణత సాధించినందుకు అభినందనలు.
贡献	సహకారం అందించడం	అతను కంపెనీకి సహకారం అందించాడు.
沟通	సంభాషణ	మంచి సంభాషణ చాలా ముఖ్యమైనది.
构成	రూపొందించడం	ఈ భాగాలు కలిసి ఒక మొత్తం రూపొందిస్తాయి.
姑姑	అత్త	ఈ వారాంతంలో నేను అత్తను కలవడానికి వెళ్తున్నాను.
姑娘	యువతి	ఆ యువతి చాలా స్నేహపూర్వకంగా ఉంటుంది.
古代	ప్రాచీన కాలం	ప్రాచీన కాలంలో మొబైల్ ఫోన్లు లేవు.
古典	శాస్త్రీయ	నాకు శాస్త్రీయ సంగీతం ఇష్టం.
股票	షేరు	అతను కొన్ని షేర్లు కొనుగోలు చేశాడు.
骨头	ఎముక	ఈ ఎముక చాలా గట్టిగా ఉంది.
鼓舞	ఉత్సాహపరచడం	ఈ వార్త చాలా ఉత్సాహపరచింది.
鼓掌	చప్పట్లు కొట్టడం	ప్రేక్షకులు నటులకు చప్పట్లు కొట్టారు.
固定	నిర్దిష్ట	నా పని గంటలు నిర్దిష్టంగా ఉంటాయి.
挂号	నమోదు చేసుకోవడం	వైద్యుడిని చూడడానికి ముందు నమోదు చేసుకోవాలి.
乖	మంచిగా ఉండే	ఈ పిల్లవాడు చాలా మంచిగా ఉంటాడు.
拐弯	మలుపు తిరగడం	ముందున్న కూడలిలో కుడివైపు మలుపు తిరుగు.
怪不得	అందుకే	అందుకే నువ్వు ఇంత అలసిపోయావు.
关闭	మూసివేయడం	వెళ్లే ముందు దయచేసి కంప్యూటర్‌ను మూసివేయండి.
官	అధికారి	అతను ఒక యువ అధికారి.
观察	గమనించడం	వైద్యుడు రోగి పరిస్థితిని గమనిస్తున్నాడు.
观点	దృక్కోణం	నీ దృక్కోణంతో నేను ఏకీభవిస్తున్నాను.
观念	ఆలోచన	యువకుల ఆలోచనలు మారుతున్నాయి.
管子	పైపు	ఈ పైపు నుంచి నీరు కారుతోంది.
冠军	చాంపియన్	ఆమె పోటీలో చాంపియన్ అయింది.
光滑	మృదువైన	ఈ బల్ల ఉపరితలం చాలా మృదువుగా ఉంది.
光临	విచ్చేయడం	తదుపరి సారి మళ్లీ విచ్చేయండి.
光明	ప్రకాశవంతమైన	భవిష్యత్తు ప్రకాశవంతంగా ఉంది.
光盘	డిస్కు	దయచేసి పత్రాలను డిస్కులో సేవ్ చేయండి.
广场	బహిరంగ ప్రాంగణం	బహిరంగ ప్రాంగణంలో చాలా మంది ఉన్నారు.
广大	విస్తృత	ఈ వార్తను విస్తృత విద్యార్థి వర్గం స్వాగతించింది.
广泛	విస్తృతమైన	ఈ పుస్తకానికి విస్తృతమైన ప్రభావం ఉంది.
归纳	సారాంశం చేయడం	ఉపాధ్యాయుడు ముఖ్యాంశాలను సారాంశం చేయడంలో మాకు సహాయం చేశాడు.
规矩	నియమం	పిల్లలు నియమాలు తెలుసుకోవాలి.
规律	క్రమబద్ధత	జీవితానికి క్రమబద్ధత ఉండాలి.
规模	పరిమాణం	ఈ కంపెనీ పరిమాణం పెద్దది.
规则	నియమం	పోటీ నియమాలు చాలా స్పష్టంగా ఉన్నాయి.
柜台	కౌంటర్	దయచేసి కౌంటర్ వద్ద చెల్లించండి.
滚	మరిగిపోవడం	నీరు ఇప్పటికే మరిగిపోతోంది.
锅	పాత్ర	పాత్రలో వేడి సూప్ ఉంది.
国庆节	జాతీయ దినోత్సవం	జాతీయ దినోత్సవం రోజు మాకు సెలవు ఉంటుంది.
国王	రాజు	రాజు రాజభవనంలో ఉంటాడు.
果然	అనుకున్నట్టే	అతను అనుకున్నట్టే సమయానికి వచ్చాడు.
果实	పండు	చెట్టంతా పండ్లతో నిండి ఉంది.
过分	అతిగా	అతని డిమాండ్ కొంచెం అతిగా ఉంది.
过敏	అలెర్జీ	నాకు పూల రేణువులకు అలెర్జీ ఉంది.
过期	గడువు ముగియడం	ఈ పాల సీసా గడువు ఇప్పటికే ముగిసింది.
哈	హా	హా, నాకు చివరకు అర్థమైంది.
海关	కస్టమ్స్	మేము కస్టమ్స్ తనిఖీ కోసం క్యూలో నిల్చున్నాము.
海鲜	సముద్ర ఆహారం	ఈ రెస్టారెంట్‌లో సముద్ర ఆహారం చాలా తాజా.
喊	అరవడం	తరగతి గదిలో గట్టిగా అరవకండి.
行业	రంగం	పర్యాటక రంగం వేగంగా అభివృద్ధి చెందుతోంది.
豪华	విలాసవంతమైన	వాళ్లు విలాసవంతమైన హోటల్‌లో ఉంటున్నారు.
好客	అతిథి సత్కారం చేసే	స్థానిక ప్రజలు చాలా అతిథి సత్కారం చేసే వారు.
好奇	ఆసక్తి గల	పిల్లలకు ప్రపంచం గురించి చాలా ఆసక్తి ఉంటుంది.
何必	అవసరం లేదు	చిన్న విషయానికి కోపపడాల్సిన అవసరం ఏముంది?
何况	అదీ కాక	ఈ రోజు చలిగా ఉంది, అదీ కాక వర్షం పడుతోంది.
合法	చట్టబద్ధమైన	ఈ ఒప్పందం చట్టబద్ధమైనది.
合理	సహేతుకమైన	ఈ ధర సహేతుకమైనది.
合同	ఒప్పందం	వాళ్లు ఒప్పందంపై సంతకం చేశారు.
合影	సమూహ ఫోటో	పట్టా ప్రదాన సమయంలో మేము సమూహ ఫోటో తీసుకున్నాము.
合作	సహకారం	మేము సహకారంతో ప్రాజెక్టును పూర్తి చేశాము.
和平	శాంతి	అందరూ శాంతిని ఆశిస్తారు.
核心	కేంద్రం	నమ్మకం సహకారానికి కేంద్రం.
恨	పశ్చాత్తాపపడడం	ముందుగా కష్టపడలేదని అతను పశ్చాత్తాపపడుతున్నాడు.
猴子	కోతి	జంతుప్రదర్శనశాలలో కొన్ని కోతులు ఉన్నాయి.
后背	వీపు	అతని వీపు కొంచెం నొప్పిగా ఉంది.
后果	పర్యవసానం	నువ్వు పర్యవసానాలను ఆలోచించాలి.
呼吸	శ్వాస తీసుకోవడం	దయచేసి లోతుగా శ్వాస తీసుకోండి.
忽然	అకస్మాత్తుగా	ఆకాశం అకస్మాత్తుగా చీకటిగా మారింది.
忽视	పట్టించుకోకపోవడం	ఈ సమస్యను పట్టించుకోకుండా ఉండకండి.
壶	కుండ	బల్లపై ఒక టీ కుండ ఉంది.
糊涂	గందరగోళంగా	ఈ రోజు నేను కొంచెం గందరగోళంగా ఉన్నాను.
胡说	అర్థంలేని మాటలు చెప్పడం	అర్థంలేని మాటలు చెప్పవద్దు; ఇది నిజం కాదు.
胡同	సన్నని వీధి	బీజింగ్‌లో చాలా పాత సన్నని వీధులు ఉన్నాయి.
蝴蝶	సీతాకోకచిలుక	తోటలో ఒక సీతాకోకచిలుక ఉంది.
花生	వేరుశనగ	అతనికి వేరుశనగ తినడం ఇష్టం.
华裔	చైనా వంశస్థుడు	ఆమె చైనా వంశస్థురాలైన రచయిత్రి.
滑	జారుడు	నేల జారుడుగా ఉంది, కాబట్టి జాగ్రత్తగా ఉండండి.
划	తెడ్డుతో నడపడం	పడవలో వెళ్లేటప్పుడు అతనే తెడ్డుతో నడపాలి.
化学	రసాయన శాస్త్రం	ఆమె విశ్వవిద్యాలయంలో రసాయన శాస్త్రం చదివింది.
话题	విషయం	ఈ విషయం చాలా ఆసక్తికరంగా ఉంది.
怀念	గుర్తు చేసుకోవడం	నాకు విశ్వవిద్యాలయ జీవితం చాలా గుర్తుకొస్తోంది.
怀孕	గర్భవతి	ఆమె మూడు నెలల గర్భవతి.
缓解	తగ్గించడం	విశ్రాంతి ఒత్తిడిని తగ్గించగలదు.
幻想	కల్పన చేయడం	అతను తరచుగా అంతరిక్ష యాత్ర గురించి కల్పన చేస్తాడు.
慌张	ఆందోళన చెందడం	సమస్య ఎదురైతే ఆందోళన చెందకండి.
黄金	బంగారం	బంగారం ధర మళ్లీ పెరిగింది.
恢复	కోలుకోవడం	అతని శరీరం కోలుకుంటోంది.
挥	చేయి ఊపడం	ఆమె చేయి ఊపింది.
灰	బూడిద రంగు	ఆకాశం బూడిద రంగులో ఉంది.
灰尘	దుమ్ము	బల్లపై చాలా దుమ్ము ఉంది.
灰心	ధైర్యం కోల్పోవడం	విఫలమైనా ధైర్యం కోల్పోవద్దు.
汇率	మారకపు రేటు	ఈ రోజు మారకపు రేటు ఎంత?
婚礼	పెళ్లి వేడుక	వారి పెళ్లి వేడుక చాలా సాధారణంగా జరిగింది.
婚姻	వివాహం	వివాహానికి పరస్పర అవగాహన అవసరం.
活跃	చురుకైన	అతను తరగతిలో చాలా చురుకుగా ఉంటాడు.
伙伴	భాగస్వామి	అతను నా ఉత్తమ భాగస్వామి.
火柴	అగ్గిపుల్ల	పెట్టెలో ఒక్క అగ్గిపుల్ల మాత్రమే మిగిలింది.
或许	బహుశా	బహుశా రేపు వర్షం పడవచ్చు.
基本	ప్రాథమిక	ఇవి ప్రాథమిక అవసరాలు.
机器	యంత్రం	ఈ యంత్రం పాడైంది.
激烈	తీవ్రమైన	పోటీ చాలా తీవ్రంగా జరిగింది.
肌肉	కండరం	వ్యాయామం తర్వాత నా కండరాలు కొంచెం నొప్పిగా ఉన్నాయి.
及格	ఉత్తీర్ణత సాధించడం	అతను ఈ పరీక్షలో ఉత్తీర్ణత సాధించాడు.
急忙	తొందరగా	అతను తొందరగా తరగతి గది నుండి బయటకు పరుగెత్తాడు.
急诊	అత్యవసర విభాగం	రోగిని అత్యవసర విభాగానికి పంపించారు.
极其	అత్యంత	ఈ విషయం అత్యంత ముఖ్యమైనది.
集合	కలవడం	దయచేసి ఎనిమిది గంటలకు ప్రవేశద్వారం వద్ద కలవండి.
集体	సమూహ	ఇది ఒక సమూహ కార్యకలాపం.
集中	ఏకాగ్రత పెట్టడం	తరగతిలో నువ్వు ఏకాగ్రత పెట్టాలి.
寂寞	ఒంటరితనం	ఒంటరిగా జీవించడం కొన్నిసార్లు ఒంటరితనంగా ఉంటుంది.
系领带	టై కట్టుకోవడం	అతను ప్రతి రోజు పని ముందు టై కట్టుకుంటాడు.
纪录	రికార్డు	అతను పాఠశాల రికార్డును బద్దలు కొట్టాడు.
纪律	క్రమశిక్షణ	తరగతి గది క్రమశిక్షణ చాలా ముఖ్యమైనది.
纪念	జ్ఞాపకంగా ఉంచడం	ఈ రోజును జ్ఞాపకంగా ఉంచుకోవడానికి మేము ఫోటోలు తీశాము.
计算	లెక్కించడం	దయచేసి మొత్తం ఖర్చును లెక్కించండి.
记录	నోట్ చేసుకోవడం	దయచేసి సమావేశంలోని విషయాలను నోట్ చేసుకోండి.
记忆	జ్ఞాపకం	ఈ జ్ఞాపకం చాలా విలువైనది.
嘉宾	గౌరవ అతిథి	ఈ రోజు గౌరవ అతిథి ఒక రచయిత.
夹子	క్లిప్	దయచేసి పత్రాలను క్లిప్‌తో పట్టుకోండి.
家庭	కుటుంబం	పిల్లలకు కుటుంబం చాలా ముఖ్యమైనది.
家务	ఇంటి పని	వారాంతంలో నాకు ఇంటి పని చేయాలి.
家乡	స్వగ్రామం	నాకు నా స్వగ్రామం చాలా గుర్తుకొస్తోంది.
假如	ఒకవేళ	ఒకవేళ రేపు వర్షం పడితే, మేము వెళ్లము.
假设	ఊహించుకుందాం	నువ్వే ఉపాధ్యాయుడివని ఊహించుకుందాం; నువ్వు ఏమి చేస్తావు?
假装	నటించడం	అతను విననట్టు నటించాడు.
甲	మొదటి పక్షం	మొదటి పక్షం సమయానికి చెల్లించాలి.
价值	విలువ	ఈ పుస్తకానికి చాలా విలువ ఉంది.
嫁	పెళ్లి చేసుకోవడం	ఆమె వచ్చే సంవత్సరం తన ప్రియుడిని పెళ్లి చేసుకుంటుంది.
驾驶	నడపడం	కారు నడిపేటప్పుడు జాగ్రత్తగా నడపండి.
兼职	పార్ట్ టైమ్ పని	అతను సాయంత్రం పార్ట్ టైమ్ పని చేస్తాడు.
坚决	దృఢంగా	అతను ఈ నిర్ణయానికి దృఢంగా వ్యతిరేకిస్తున్నాడు.
坚强	బలమైన	ఆమె బలమైన వ్యక్తి.
肩膀	భుజం	అతని భుజానికి గాయమైంది.
艰巨	కఠినమైన	ఇది ఒక కఠినమైన పని.
艰苦	కష్టమైన	వాళ్లు కష్టమైన జీవితం అనుభవించారు.
剪刀	కత్తెర	దయచేసి నాకు కత్తెర ఇవ్వండి.
捡	ఎత్తుకోవడం	అతను నేలపై నుంచి పర్సును ఎత్తుకున్నాడు.
简历	జీవిత చరిత్ర	ఉద్యోగానికి దరఖాస్తు చేయడానికి ముందు జీవిత చరిత్ర సిద్ధం చేయండి.
简直	అచ్చంగా	ఈ వార్త అచ్చంగా షాక్ ఇచ్చేలా ఉంది.
健身	వ్యాయామం చేయడం	అతను వారానికి మూడుసార్లు వ్యాయామం చేయడానికి వెళ్తాడు.
建立	స్థాపించడం	మేము కొత్త సంబంధాన్ని స్థాపించాము.
建设	నిర్మాణం	నగర నిర్మాణం వేగంగా అభివృద్ధి చెందుతోంది.
建筑	భవనం	ఈ భవనానికి ప్రత్యేక లక్షణాలు ఉన్నాయి.
键盘	కీబోర్డ్	నా కీబోర్డ్ శుభ్రం చేయాలి.
讲究	ప్రత్యేక శ్రద్ధ పెట్టడం	చైనా ప్రజలు ఆహారంపై చాలా ప్రత్యేక శ్రద్ధ పెడతారు.
讲座	ఉపన్యాసం	ఈ రాత్రి చైనీస్ ఉపన్యాసం ఉంది.
酱油	సోయా సాస్	వంటలో కొంచెం సోయా సాస్ వేయండి.
交换	మార్చుకోవడం	మేము ఫోన్ నంబర్లు మార్చుకున్నాము.
交际	సంబంధాలు పెంచుకోవడం	భాష నేర్చుకునేటప్పుడు సంబంధాలు పెంచుకోవడం కూడా అభ్యాసం చేయాలి.
交往	సంబంధం కొనసాగించడం	వాళ్లు రెండు సంవత్సరాలుగా సంబంధం కొనసాగిస్తున్నారు.
浇	నీళ్లు పోయడం	దయచేసి ప్రతిరోజూ పూలకు నీళ్లు పోయండి.
胶水	గుం	నేను ఫోటో అంటించడానికి గుం వాడాను.
狡猾	కపటమైన	ఆ నక్క చాలా కపటమైనది.
角度	కోణం	మనం సమస్యను మరో కోణం నుండి చూద్దాం.
教材	పాఠ్యపుస్తకం	ఈ పాఠ్యపుస్తకం చాలా ఉపయోగకరంగా ఉంది.
教练	శిక్షకుడు	శిక్షకుడు మమ్మల్ని సమయానికి రావాలని కోరుతున్నాడు.
教训	పాఠం	ఈ వైఫల్యం ఒక పాఠం.
接触	పరిచయం	చైనా సంస్కృతితో ఇది నా మొదటి పరిచయం.
接待	స్వాగతించడం	అతిథులను స్వాగతించడానికి కంపెనీ ఒకరిని ఏర్పాటు చేసింది.
接近	దగ్గరపడడం	వసంత పండుగ దగ్గరపడుతోంది.
结实	బలమైన	ఈ సూట్‌కేస్ చాలా బలంగా ఉంది.
阶段	దశ	అధ్యయనం మూడు దశలుగా విభజించబడింది.
结构	నిర్మాణం	ఈ వ్యాసం నిర్మాణం స్పష్టంగా ఉంది.
结合	కలపడం	చదువును అభ్యాసంతో కలపాలి.
结论	నిర్ణయం	అతని నిర్ణయం చాలా నమ్మదగినది.
结账	బిల్లు చెల్లించడం	తిన్న తర్వాత మేము బిల్లు చెల్లించడానికి వెళ్లాము.
节省	ఆదా చేయడం	మెట్రోలో వెళ్లడం సమయాన్ని ఆదా చేయగలదు.
借口	సాకు	సాకులు చెప్పడం ఆపు.
届	విడత	ఇది మూడవ విడత పోటీ.
戒	మానేయడం	వైద్యుడు అతనికి పొగతాగడం మానేయమని సలహా ఇచ్చాడు.
戒指	ఉంగరం	ఆమె ఉంగరం పెట్టుకుంది.
金属	లోహం	ఇనుము ఒక రకమైన లోహం.
尽快	వీలైనంత త్వరగా	దయచేసి ఈమెయిల్‌కు వీలైనంత త్వరగా సమాధానం ఇవ్వండి.
紧急	అత్యవసర	ఇది అత్యవసర విషయం.
谨慎	జాగ్రత్తగా	పెట్టుబడి పెట్టే ముందు జాగ్రత్తగా ఉండండి.
尽力	శాయశక్తులా ప్రయత్నించడం	నేను నీకు సహాయం చేయడానికి శాయశక్తులా ప్రయత్నిస్తాను.
尽量	వీలైనంత వరకు	దయచేసి వీలైనంత త్వరగా చేరడానికి ప్రయత్నించండి.
近代	ఆధునిక కాలం	ఆధునిక చైనాలో చాలా మార్పులు జరిగాయి.
进步	పురోగతి	అతని చైనీస్ వేగంగా పురోగమిస్తోంది.
进口	దిగుమతి చేసిన	ఈ కారు దిగుమతి చేసినది.
精力	శక్తి	పిల్లలకు చాలా శక్తి ఉంటుంది.
精神	ఉత్సాహం	ఈ రోజు అతనికి మంచి ఉత్సాహం ఉంది.
经典	క్లాసిక్	ఇది ఒక క్లాసిక్ సినిమా.
经商	వ్యాపారం చేయడం	అతని తండ్రి విదేశాల్లో వ్యాపారం చేస్తాడు.
经营	నడపడం	ఆమె ఒక చిన్న దుకాణం నడుపుతుంది.
酒吧	బార్	వాళ్లు సాయంత్రం బార్‌కు వెళ్లారు.
救	రక్షించడం	వైద్యుడు అతని ప్రాణాన్ని రక్షించాడు.
救护车	అంబులెన్స్	అంబులెన్స్ త్వరగా వచ్చింది.
舅舅	మేనమామ	నా మేనమామ నాన్జింగ్‌లో ఉంటాడు.
居然	అనూహ్యంగా	అతను తన పుట్టినరోజునే అనూహ్యంగా మర్చిపోయాడు.
桔子	నారింజ	బల్లపై కొన్ని నారింజ పండ్లు ఉన్నాయి.
俱乐部	క్లబ్	ఆమె ఈత క్లబ్‌లో చేరింది.
具备	కలిగి ఉండటం	అతనికి నిర్వహణ అనుభవం ఉంది.
具体	స్పష్టమైన	దయచేసి కొంచెం మరింత స్పష్టంగా చెప్పండి.
巨大	భారీ	ఈ ప్రాజెక్టుకు భారీ పెట్టుబడి అవసరం.
据说	వినికిడి ప్రకారం	వినికిడి ప్రకారం అతను ఇప్పటికే తన దేశానికి తిరిగిపోయాడు.
捐	దానం చేయడం	అందరూ డబ్బు దానం చేయడానికి సిద్ధంగా ఉన్నారు.
决赛	ఫైనల్ పోటీ	రేపు ఫుట్‌బాల్ ఫైనల్ పోటీ.
决心	దృఢనిశ్చయం	అతను చైనీస్ బాగా నేర్చుకోవాలని దృఢనిశ్చయం చేసుకున్నాడు.
绝对	ఖచ్చితంగా	ఈ విషయాన్ని ఖచ్చితంగా మర్చిపోవద్దు.
角色	పాత్ర	ఆమె సినిమాలో ఒక ముఖ్యమైన పాత్ర పోషిస్తుంది.
军事	సైనిక	అతనికి సైనిక చరిత్రపై చాలా ఆసక్తి ఉంది.
均匀	సమంగా	దయచేసి రంగును సమంగా పూయండి.
卡车	ట్రక్	ప్రవేశద్వారం వద్ద ఒక ట్రక్ నిలిపి ఉంది.
开发	అభివృద్ధి చేయడం	కంపెనీ కొత్త ఉత్పత్తిని అభివృద్ధి చేస్తోంది.
开放	తెరవడం	పార్క్ ప్రతి ఉదయం ఆరు గంటలకు తెరుస్తుంది.
开幕式	ప్రారంభోత్సవం	ప్రారంభోత్సవం రేపు సాయంత్రం జరుగుతుంది.
开水	మరిగించిన నీరు	దయచేసి నాకు ఒక కప్పు మరిగించిన నీరు ఇవ్వండి.
砍	నరుకడం	కార్మికుడు కొమ్మలను నరుకుతున్నాడు.
看不起	తక్కువగా చూడడం	ఎవరినీ తక్కువగా చూడకండి.
看望	చూడటానికి వెళ్లడం	ఈ వారాంతంలో నేను తాతయ్య అమ్మమ్మలను చూడటానికి వెళ్తాను.
靠	ఆధారంగా ఆనుకోవడం	అతను విశ్రాంతి కోసం గోడకు ఆనుకున్నాడు.
颗	చిన్న గుండ్రని వస్తువుల లెక్కపదం	రాత్రి ఆకాశంలో ఒక నక్షత్రం ఉంది.
可见	స్పష్టంగా తెలుస్తుంది	ఈ పద్ధతి ప్రభావవంతమని స్పష్టంగా తెలుస్తుంది.
可靠	నమ్మదగిన	అతను నమ్మదగిన స్నేహితుడు.
可怕	భయంకరమైన	ఈ కల చాలా భయంకరంగా ఉంది.
克	గ్రాము	దయచేసి రెండు గ్రాముల ఉప్పు వేయండి.
克服	అధిగమించడం	మనం కష్టాలను అధిగమించాలి.
刻苦	కష్టపడి	అతను చాలా కష్టపడి చదువుతాడు.
客观	నిష్పాక్షికంగా	దయచేసి సమస్యను నిష్పాక్షికంగా విశ్లేషించండి.
课程	కోర్సు	ఈ కోర్సు చాలా ఉపయోగకరంగా ఉంది.
空间	స్థలం	ఈ గదిలో చాలా స్థలం ఉంది.
控制	నియంత్రించడం	డ్రైవర్ కారు వేగాన్ని నియంత్రించాడు.
空闲	ఖాళీ సమయం	రేపు మధ్యాహ్నం నీకు ఖాళీ సమయం ఉందా?
口味	రుచి అభిరుచి	అతని రుచి అభిరుచి కొంచెం తేలికగా ఉంటుంది.
夸	ప్రశంసించడం	ఉపాధ్యాయుడు అతను గొప్ప పురోగతి సాధించాడని ప్రశంసించాడు.
夸张	అతిశయోక్తి	అతని భావవ్యక్తీకరణ కొంచెం అతిశయోక్తిగా ఉంది.
会计	అకౌంటెంట్	ఆమె కంపెనీలో అకౌంటెంట్‌గా పని చేస్తుంది.
宽	వెడల్పైన	ఈ రహదారి చాలా వెడల్పుగా ఉంది.
昆虫	పురుగు	పిల్లలు పురుగులను గమనిస్తున్నారు.
扩大	విస్తరించడం	పాఠశాల గ్రంథాలయాన్ని విస్తరించాలని యోచిస్తోంది.
辣椒	మిరపకాయ	వంటలో చాలా మిరపకాయలు వేసారు.
拦	ఆపడం	పోలీసులు ఒక కారును ఆపారు.
烂	కుళ్లిపోవడం	ఈ ఆపిల్ ఇప్పటికే కుళ్లిపోయింది.
朗读	బిగ్గరగా చదవడం	దయచేసి పాఠ్యాన్ని బిగ్గరగా చదవండి.
劳动	శ్రమ	శ్రమ మనిషికి తృప్తి కలిగిస్తుంది.
劳驾	క్షమించండి	క్షమించండి, మెట్రో స్టేషన్ ఎక్కడ ఉంది?
姥姥	అమ్మమ్మ	నా అమ్మమ్మ చాలా బాగా వంట చేస్తుంది.
老百姓	సాధారణ ప్రజలు	సాధారణ ప్రజలు జీవన వ్యయంపై శ్రద్ధ పెడతారు.
老板	యజమాని	ఈ రోజు యజమాని కార్యాలయంలో లేరు.
老婆	భార్య	అతను తన భార్యకు పూలు కొనిచ్చాడు.
老实	నిజాయితీగల	అతను నిజాయితీగల వ్యక్తి.
老鼠	ఎలుక	వంటగదిలో ఒక ఎలుక ఉంది.
乐观	ఆశావహమైన	ఆమె భవిష్యత్తు గురించి ఆశావహంగా ఉంది.
雷	ఉరుము	నిన్న రాత్రి ఉరుము చాలా గట్టిగా వినిపించింది.
类型	రకం	ఈ సినిమా ఏ రకానికి చెందుతుంది?
冷淡	చల్లని	అతని వైఖరి కొంచెం చల్లగా ఉంది.
厘米	సెంటీమీటర్	ఈ పెన్ పదిహేను సెంటీమీటర్ల పొడవు ఉంది.
梨	పియర్ పండు	నేను కొన్ని పియర్ పండ్లు కొనుగోలు చేశాను.
离婚	విడాకులు తీసుకోవడం	వాళ్లు గత సంవత్సరం విడాకులు తీసుకున్నారు.
理论	సిద్ధాంతం	ఈ సిద్ధాంతం చాలా సంక్లిష్టంగా ఉంది.
理由	కారణం	ఆలస్యంగా రావడానికి నీ కారణం ఏమిటి?
利润	లాభం	ఈ సంవత్సరం కంపెనీ లాభం పెరిగింది.
利息	వడ్డీ	బ్యాంకు వడ్డీ ఎక్కువగా లేదు.
利益	ప్రయోజనం	మనం అందరి ప్రయోజనాలను కాపాడాలి.
利用	వినియోగించడం	అతను వారాంతాన్ని చైనీస్ చదవడానికి వినియోగిస్తాడు.
力量	బలం	ఐక్యతే బలం.
立即	వెంటనే	దయచేసి వెంటనే ఇక్కడి నుంచి వెళ్లండి.
立刻	తక్షణమే	వార్త విన్న వెంటనే అతను బయలుదేరాడు.
联合	కలిసి	రెండు కంపెనీలు కలిసి ఒక ఉత్పత్తిని అభివృద్ధి చేశాయి.
连忙	త్వరగా	ఫోన్ మోగడం విని అతను త్వరగా ఎత్తుకున్నాడు.
连续	వరుసగా	అతను వరుసగా పది గంటలు పని చేశాడు.
恋爱	ప్రేమ సంబంధం	వాళ్లు ప్రేమ సంబంధంలో ఉన్నారు.
粮食	ధాన్యం	ఈ సంవత్సరం ధాన్యం ఉత్పత్తి పెరిగింది.
良好	మంచి	అతనికి మంచి చదువు అలవాట్లు ఉన్నాయి.
亮	ప్రకాశవంతమైన	గదిలో దీపం చాలా ప్రకాశవంతంగా ఉంది.
了不起	అద్భుతమైన	ఆమె అద్భుతమైన ఫలితాలు సాధించింది.
列车	రైలు	రైలు బయలుదేరబోతోంది.
临时	తాత్కాలిక	ఇది ఒక తాత్కాలిక నిర్ణయం.
灵活	అనువైన	చదువు పద్ధతులు అనువుగా ఉండాలి.
铃	గంట	తరగతి గంట మోగింది.
零件	భాగం	యంత్రంలో ఒక భాగం లేదు.
