simplified	HU	example_HU
动态	fejlemény	Kérlek, folyamatosan figyeld a projekt fejleményeit.
动员	mozgósítani	Az iskola mozgósította a diákokat, hogy vegyenek részt önkéntes tevékenységekben.
栋	épület	Ez az épület húszemeletes.
兜	zseb	A kulcsokat a kabátzsebébe tette.
陡峭	meredek	Ez a hegyi út nagyon meredek.
斗争	küzdelem	A környezet védelméért küzdenek.
督促	sürgetni	A menedzser sürgette mindenkit, hogy időben fejezze be a feladatot.
毒品	kábítószer	A vámhatóság lefoglalt egy adag kábítószert.
独裁	diktatúra	Az emberek ellenzik a diktatúrát.
堵塞	eltorlaszolni	A szemét eltorlaszolta a csatornát.
赌博	szerencsejáték	A szerencsejáték súlyos következményekkel járhat.
杜绝	megszüntetni	A vállalat megköveteli a pazarlás megszüntetését.
端	vinni	Egy csésze forró teát vitt be.
端午节	sárkányhajó-ünnep	A sárkányhajó-ünnepen zongzit eszünk.
端正	helyesbíteni	A diákoknak helyesbíteniük kell a tanuláshoz való hozzáállásukat.
短促	rövid	Rövid sóhajt hallatott.
断定	megállapítani	Most még nem lehet megállapítani, kinek van igaza.
断绝	megszakítani	A baleset után a falu kapcsolata megszakadt a külvilággal.
堆积	felhalmozódni	A hó felhalmozódott az út szélén.
兑现	teljesíteni	Végre teljesítette az ígéretét.
对策	ellenintézkedés	A kockázatokkal szemben ellenintézkedésekre van szükségünk.
对称	szimmetrikus	Ennek az épületnek a két oldala nagyon szimmetrikus.
对付	megbirkózni	Ezzel a problémával nem könnyű megbirkózni.
对抗	szembeszállni	A két csapat a döntőben száll szembe egymással.
对立	szemben állni	A két fél álláspontja teljesen szemben áll egymással.
对联	ünnepi páros felirat	A tavaszünnepen ünnepi páros feliratokat ragasztottak az ajtóra.
对应	megfelel	Minden szám egy ülőhelynek felel meg.
对照	összevetni	Kérlek, vesd össze a fordítást az eredeti szöveggel.
队伍	menet	A felvonuló menet lassan haladt előre.
顿时	azonnal	A hír hallatán azonnal ledermedt.
哆嗦	reszketni	Olyan hideg volt, hogy folyton reszketett.
多元化	diverzifikáció	A vállalat az üzleti tevékenység diverzifikációját támogatja.
堕落	zülleni	Nem akarja hagyni, hogy tovább zülljön.
额外	többlet	Ezért a szolgáltatásért többletdíjat kell fizetni.
恶心	hányinger	Amikor megéreztem azt a szagot, kissé hányingerem lett.
恶化	rosszabbodni	Ha nem kezelik, az állapota rosszabbodhat.
遏制	megfékezni	A kormány intézkedéseket tett a szennyezés megfékezésére.
恩怨	sérelmek	A két vállalat közötti sérelmek régóta fennállnak.
而已	csupán	Csupán csak úgy mellékesen mondtam.
二氧化碳	szén-dioxid	A növények szén-dioxidot nyelnek el.
发布	kiadni	A vállalat holnap új terméket ad ki.
发财	meggazdagodni	Azt reméli, hogy kemény munkával meggazdagodik.
发呆	bambulni	Az ablak mellett ült és bambult.
发动	mozgósítani	Az önkéntesek mozgósították a lakókat az utca megtisztítására.
发觉	észrevenni	Észrevettem, hogy ma kissé ideges.
发射	kilőni	A rakétát este lövik ki.
发誓	megesküdni	Megesküdött, hogy soha többé nem hazudik.
发行	bemutatni	Ezt a filmet jövő hónapban mutatják be.
发炎	begyulladni	A seb kissé begyulladt.
发扬	érvényre juttatni	Érvényre kell juttatnunk a csapatmunka szellemét.
发育	fejlődés	A gyerekek testi fejlődéséhez elegendő tápanyag kell.
法人	jogi személy	Ez a vállalat önálló jogi személy.
番	szavak	Ezek a szavak sok ihletet adtak nekem.
凡是	minden	Mindenkinek, aki jelentkezik, részt kell vennie a képzésen.
繁华	nyüzsgő	Ez az utca régen nagyon nyüzsgő volt.
繁忙	forgalmas	A repülőtér az ünnepek alatt különösen forgalmas.
繁体字	hagyományos kínai írásjegy	Tajvanon gyakran használnak hagyományos kínai írásjegyeket.
繁殖	szaporodni	Ez a növény nagyon könnyen szaporodik.
反驳	megcáfolni	Adatokkal cáfolta meg ezt az álláspontot.
反常	szokatlan	A mai időjárás kissé szokatlan.
反感	ellenszenv	Nagy ellenszenvet érzek az ilyen reklám iránt.
反抗	ellenállni	Az emberek elkezdtek ellenállni az igazságtalan szabálynak.
反馈	visszajelzés	Az ügyfelek visszajelzése szerint a rendszer nagyon stabil.
反面	hátoldal	Kérlek, fordítsd a papírt a hátoldalára.
反射	visszaverni	A tükör visszaveri a fényt.
反思	átgondolni	A kudarc után komolyan átgondolta az okokat.
反问	visszakérdezni	Nem válaszolt, hanem visszakérdezett.
反之	ellenkező esetben	A túl magas ár csökkenti a keresletet, és ellenkező esetben is így van.
泛滥	kiáradni	A heves eső miatt a folyó kiáradt.
范畴	kategória	Ez a kérdés jogi kategóriába tartozik.
贩卖	árusítani	A törvény tiltja a hamis gyógyszerek árusítását.
方位	irány	A térképen pontosan jelölték az irányt.
方言	nyelvjárás	Érti a helyi nyelvjárást.
方圆	körzet	Tíz kilométeres körzetben nincs kórház.
方针	irányelv	A vállalat új fejlesztési irányelvet dolgozott ki.
防守	védekezés	Ennek a csapatnak stabil a védekezése.
防御	védelem	A városfalat egykor az ellenség elleni védelemre használták.
防止	megelőzni	Kérjük, kapcsolja be a biztonsági övet a sérülés megelőzésére.
防治	megelőzés és kezelés	Az orvos elmagyarázta a betegség megelőzésének és kezelésének módszereit.
纺织	textilipar	Ez a város a textiliparáról híres.
访问	meglátogatni	Az újságíró holnap meglátogatja ezt az írót.
放大	nagyítani	Kérlek, nagyítsd ki egy kicsit a képet.
放射	sugározni	Ez az anyag hőt sugároz.
非法	illegális	Az illegális ügyleteket megbüntetik.
飞禽走兽	madarak és állatok	Az erdőben mindenféle madarak és állatok élnek.
飞翔	repülni	A sirályok a tenger felett repülnek.
飞跃	ugrás	A technológiai fejlődés hatalmas ugrást ért el.
肥沃	termékeny	Ez a föld nagyon termékeny.
诽谤	rágalmazás	Mások rágalmazásáért jogi felelősséget kell vállalni.
废除	eltörölni	Ezt a régi szabályt már eltörölték.
废寝忘食	belefeledkezni	A kutatásba annyira belefeledkezett, hogy alvásról és evésről is megfeledkezett.
废墟	rom	A földrengés után az a hely rommá vált.
沸腾	forrni	A víz már forr.
肺	tüdő	A dohányzás károsíthatja a tüdőt.
分辨	megkülönböztetni	Nehéz megkülönböztetnem ezt a két színt.
分寸	mérték	Viccelődéskor is figyelni kell a mértékre.
分红	osztalék	A részvényesek év végén osztalékot kaphatnak.
分解	lebontani	A tanár több lépésre bontotta le az összetett problémát.
分裂	szakadás	A belső ellentétek a szervezet szakadásához vezettek.
分泌	kiválasztani	Ez a mirigy hormonokat választ ki.
分明	világos	A tények már nagyon világosak.
分歧	nézeteltérés	A két fél között nézeteltérés van az árban.
分散	szétosztani	Kérlek, oszd szét a kockázatot különböző projektek között.
吩咐	utasítani	A főnök utasított, hogy rendezzem a dokumentumokat.
坟墓	sír	A domboldalon egy régi sír áll.
粉末	por	Kérlek, őröld porrá a tablettákat.
粉色	rózsaszín	Vett egy rózsaszín sálat.
粉碎	szétzúzni	A rendőrség szétzúzta ezt a bűnbandát.
分量	súly	Ennek a mondatnak nagy súlya van.
愤怒	düh	A hangja tele volt dühvel.
丰满	gazdag	Ennek a cikknek a tartalma még nem elég gazdag.
丰盛	bőséges	Bőséges vacsorát készítettek.
丰收	bő termés	Idén a gazdák bő termést takarítottak be.
封闭	lezárni	Az építkezés idején ezt az utat lezárják.
封建	feudális	Ezt a feudális gondolkodást már régen meg kellett volna változtatni.
封锁	lezárni	A rendőrség lezárta a baleset helyszínét.
锋利	éles	Ez a kés nagyon éles.
风暴	vihar	A tengeren hirtelen vihar támadt.
风度	elegancia	A színpadon nagyon elegánsnak tűnt.
风光	táj	Az itteni természeti táj nagyon szép.
风气	légkör	Az iskolában jó tanulási légkör alakult ki.
风趣	humoros	Nagyon humorosan beszél.
风土人情	helyi szokások	Az utazás segít megismerni a helyi szokásokat.
风味	helyi íz	Ennek az étteremnek erős helyi íze van.
逢	valahányszor	Valahányszor hétvége van, a park nagyon élénk.
奉献	szentelni	Az orvos sok időt szentelt a betegeknek.
否决	elutasítani	Az igazgatótanács elutasította ezt a javaslatot.
夫妇	házaspár	Ez a házaspár egy kis boltot működtet.
夫人	feleség	Wang úr és a felesége együtt vettek részt a vacsorán.
敷衍	felületesen kezelni	Csak néhány felületes választ adott.
俘虏	fogoly	A háború vége után a foglyokat szabadon engedték.
幅度	mérték	Ezúttal nagy volt az árcsökkentés mértéke.
服从	engedelmeskedni	A katonáknak engedelmeskedniük kell a parancsoknak.
服气	meggyőzött	Elvesztette a mérkőzést, de belül nem volt meggyőzve.
福利	juttatás	Az alkalmazottak nagyra értékelik a vállalati juttatásokat.
福气	szerencse	Jó tanárral találkozni az ő szerencséje.
符号	jel	Ez a jel veszélyt jelent.
辐射	sugárzás	Az orvos figyelmeztette, hogy maradjon távol az erős sugárzástól.
俯视	lenézni	A hegytetőről lenézhetünk az egész városra.
抚摸	megsimogatni	Finoman megsimogatta a gyerek fejét.
抚养	felnevelni	A nagyszülők segítettek felnevelni a gyereket.
腐败	korrupció	A kormány küzd a korrupció ellen.
腐烂	elrothadni	A gyümölcs elrothad, ha túl sokáig áll.
腐蚀	mar	Ez a sav marja a fém felületét.
腐朽	korhadt	Bírálták a korhadt rendszert.
辅助	segíteni	Ez az eszköz segítheti az oktatást.
副	helyettes	Helyettes menedzserré nevezték ki.
复活	újjáéledni	Ez a hagyományos ünnep éppen újjáéled.
复兴	újjáéledés	A kulturális újjáéledéshez hosszú távú erőfeszítés kell.
富裕	jómódú	Ez a falu most egyre jómódúbb.
腹泻	hasmenés	Súlyos hasmenése van, orvoshoz kell mennie.
覆盖	beborítani	A nagy hó beborította az egész völgyet.
负担	teher	A lakbér lett a fő terhe.
赋予	adni	A törvény alapvető jogokat ad az állampolgároknak.
附和	visszhangozni	Nincs saját véleménye, csak másokat visszhangoz.
附件	melléklet	Kérlek, nézd meg az e-mail mellékletét.
附属	tartozó	Ez a kórház az egyetemhez tartozó kórház.
改良	javítani	A szakértők ezt a rizsfajtát javítják.
盖章	pecsételni	A szerződés aláírása után pecsételni kell.
钙	kalcium	A tej sok kalciumot tartalmaz.
尴尬	kínos	Az értekezleten kínos csend támadt.
干旱	aszály	A hosszan tartó aszály hatott a termésre.
干扰	zavarni	A zaj zavarja a munkámat.
干涉	beavatkozni	A szülőknek nem kellene túl sokat beavatkozniuk gyermekeik választásaiba.
干预	beavatkozás	A kormány időben beavatkozott a piaci kockázatokba.
感慨	megindult	A régi fényképeket látva nagyon megindult.
感染	megfertőzni	Ez a vírus könnyen megfertőzi a gyerekeket.
干劲	lelkesedés	Mindenki nagy lelkesedéssel dolgozik.
扛	felemelni	A legenda szerint olyan erős volt, hogy fel tudott emelni egy nehéz üstöt.
纲领	program	Az ülés elfogadta az új cselekvési programot.
岗位	munkakör	Gyorsan alkalmazkodott az új munkakörhöz.
港口	kikötő	A teherhajó kikötött a kikötőben.
港湾	öböl	A kis hajó behajózott a csendes öbölbe.
杠杆	tőkeáttétel	Ez a befektetés magas tőkeáttételt használt.
高超	kiváló	Autójavítási technikája kiváló.
高潮	csúcspont	A mérkőzés az utolsó tíz percben érte el a csúcspontját.
高峰	csúcs	Reggel nyolc óra a közlekedési csúcs.
高明	briliáns	Ez a módszer valóban briliáns.
高尚	nemes	Az orvos hivatástudata nemes.
高涨	fokozódni	A közönség lelkesedése folyamatosan fokozódott.
稿件	kézirat	A szerkesztő éppen a kéziratot javítja.
告辞	elbúcsúzni	Már késő van, mi előbb elbúcsúzunk.
告诫	figyelmeztetni	A tanár figyelmeztette a diákokat, hogy ne csaljanak.
割	megvágni	Véletlenül megvágta az ujját.
搁	letenni	Kérlek, tedd le az iratokat az asztalra.
歌颂	dicsőíteni	Ez a vers a dolgozókat dicsőíti.
疙瘩	csomó	A karján egy csomó jelent meg.
鸽子	galamb	A téren sok galamb van.
格局	elrendezés	Ennek a lakásnak az elrendezése nagyon ésszerű.
格式	formátum	Kérjük, az előírt formátumban töltse ki az űrlapot.
隔阂	elidegenedés	A félreértés elmélyítette köztük az elidegenedést.
隔离	elkülöníteni	A beteget ideiglenesen el kell különíteni.
革命	forradalom	Ez a forradalom megváltoztatta az ország sorsát.
个体	egyén	Minden egyénnek más szükségletei vannak.
各抒己见	mindenki elmondja a véleményét	Az értekezleten mindenki elmondta a véleményét.
根深蒂固	mélyen gyökerező	Ez a nézet már mélyen gyökerezik.
根源	gyökér	A szegénység gyökerei nagyon összetettek.
跟前	elé	A gyerek az anyja elé futott.
跟随	követni	Az újságíró követte a csapatot a hegyvidékre.
跟踪	nyomon követni	A rendőrség nyomon követi a gyanúsított mozgását.
更新	frissíteni	A rendszer ma este automatikusan frissül.
更正	helyesbíteni	Az újság másnap helyesbítette a hibát.
耕地	szántani	A gazdák tavasszal szántják a földeket.
供不应求	hiánycikk	Ez a gyógyszer jelenleg hiánycikk.
供给	ellátás	A városnak stabil víz- és áramellátásra van szüksége.
公安局	közbiztonsági hivatal	Elment a közbiztonsági hivatalba feljelentést tenni.
公道	igazságos	Mindenki igazságos elbánást remél.
公告	hirdetmény	Az iskola hirdetményt adott ki az órák szüneteltetéséről.
公关	közönségkapcsolatok; PR	A vállalat profi PR-csapatot fogadott.
公民	állampolgár	Minden állampolgárnak be kell tartania a törvényt.
公然	nyíltan	Nyíltan megsértette a versenyszabályokat.
公认	elismert	Ő elismerten kiváló tanár.
公式	képlet	Kérlek, írd le ezt a matematikai képletet.
公务	hivatali ügy	Hivatali ügyben háromnapos kiküldetésre ment.
公正	igazságos	A bírónak igazságosnak kell maradnia.
公证	közjegyzői hitelesítés	Ehhez az irathoz közjegyzői hitelesítés kell.
功劳	érdem	Ebben a sikerben mindenkinek van érdeme.
功效	hatékonyság	Ennek a gyógyszernek a hatékonyságát még igazolni kell.
宫殿	palota	A turisták meglátogatták az ősi palotát.
工艺品	kézműves tárgy	Ez a kézműves tárgy kézzel készült.
恭敬	tiszteletteljesen	Tiszteletteljesen köszöntötte az idős embert.
攻击	támadni	Hackerek támadták meg a vállalat weboldalát.
攻克	leküzdeni	A kutatócsoport leküzdötte a technikai nehézséget.
巩固	megszilárdítani	Az ismétlés megszilárdíthatja a megtanult tudást.
共和国	köztársaság	Ezt a köztársaságot a múlt században alapították.
共计	összesen	Ez az áruszállítmány összesen háromszáz ládából áll.
共鸣	visszhang	Ez a dal sok emberben visszhangra talált.
勾结	összejátszani	Külső emberekkel játszottak össze, hogy pénzt csaljanak ki.
钩子	horog	A falon néhány horog lóg.
构思	kigondolni	Az író éppen egy új regényt gondol ki.
姑且	egyelőre	Ezt a tervet egyelőre próbáljuk ki egy hétig.
孤独	magányos	Az új városba költözés után magányosnak érezte magát.
孤立	elszigetelten	Ne nézd ezt a problémát elszigetelten.
辜负	csalódást okozni	Nem akarok csalódást okozni a szüleim elvárásainak.
古董	régiség	A nagyapa néhány régiséget gyűjtött.
古怪	furcsa	Az ötlete egy kicsit furcsa.
股东	részvényes	A részvényesi gyűlést jövő héten tartják.
股份	részvény	Részvényei vannak a vállalatban.
骨干	gerinc	Ezek a mérnökök a csapat gerincét alkotják.
鼓动	felbujtani	Valaki tiltakozásra bujtotta fel a tömeget.
固然	kétségtelenül	Ez a módszer kétségtelenül egyszerű, de a kockázat nem kicsi.
固体	szilárd test	A jég a víz szilárd formája.
固有	eredendő	Minden kultúrának vannak eredendő sajátosságai.
固执	makacs	Túl makacs, nem hajlandó tanácsot hallgatni.
故乡	szülőföld	Sok év után visszatért a szülőföldjére.
故障	meghibásodás	A lift meghibásodott, és ideiglenesen nem használható.
雇佣	alkalmazni	A vállalat több műszaki munkatársat döntött alkalmazni.
顾虑	aggály	Ha bármilyen aggályod van, mondd el nyíltan.
顾问	tanácsadó	Fogadtunk egy jogi tanácsadót.
拐杖	sétabot	Az idős ember gyakran visz sétabotot, amikor kimegy.
关怀	gondoskodás	A tanár sok gondoskodást adott a diákoknak.
关照	figyelni	Kérlek, az úton figyelj jobban a gyerekre.
官方	hivatalos	A hivatalos hírt holnap jelentik be.
观光	városnézés	A turisták hajóval mentek városnézésre.
管辖	igazgatni	Ezt a területet a városi kormányzat igazgatja.
惯例	szokás	Az értekezlet kezdete előtt bemutatni a vendégeket szokás.
灌溉	öntözni	A gazdák folyóvízzel öntözik a földeket.
罐	üveg	Az asztalon egy üveg tealevél áll.
贯彻	végrehajtani	A vállalatnak végre kell hajtania az új biztonsági szabványokat.
光彩	ragyogás	Ez a ruha ragyogóvá tette a megjelenését.
光辉	dicsőséges	Eredményei dicsőséges lapot hagytak hátra.
光芒	fénysugár	A nap fénysugarai megvilágították a völgyet.
光荣	dicsőséges	Az ország szolgálata dicsőséges dolog.
广阔	tágas	A füves puszta végtelennek látszik, nagyon tágas.
归根到底	végső soron	Végső soron a probléma a vezetésben van.
归还	visszaadni	Kérjük, időben add vissza a könyveket.
规范	szabvány	Az iskola szabványokat állított fel a laboratórium kezelésére.
规格	specifikáció	Ennek az alkatrészszállítmánynak nem egységesek a specifikációi.
规划	tervezés	A várostervezésnek figyelembe kell vennie a közlekedést.
规章	szabályzat	Az alkalmazottaknak be kell tartaniuk a vállalati szabályzatot.
轨道	sín	A vonat a sínek mentén halad.
贵族	nemesség	Ez a birtok egykor a nemességhez tartozott.
跪	letérdelni	Letérdelt a szobor előtt.
棍棒	bot	A rendőrség elkobozta a helyszínen lévő botokat.
国防	honvédelem	A honvédelmi építkezés hosszú távú befektetést igényel.
国务院	Államtanács	Az Államtanács új értesítést adott ki.
果断	határozott	A vezető határozott döntést hozott.
过度	túlzott	A túlzott telefonhasználat befolyásolhatja az alvást.
过渡	átmenet	A vállalat az átalakulás átmeneti szakaszában van.
过奖	túldicsérni	Túldicsérsz, még tanulnom kell.
过滤	szűrni	Ez a berendezés ki tudja szűrni a szennyeződéseket.
过失	hiba	Ezt a balesetet emberi hiba okozta.
过问	beleszólni	A menedzser ritkán szól bele ilyen apró ügyekbe.
过瘾	kielégítő	Ezt a meccset igazán kielégítő volt nézni.
过于	túl	Ez a terv túl bonyolult.
嗨	szia	Szia, te hogy kerültél ide?
海拔	tengerszint feletti magasság	Ennek a falunak nagy a tengerszint feletti magassága.
海滨	tengerpart	A hétvégét a tengerparton töltötték.
含糊	homályos	A válasza nagyon homályos volt.
含义	jelentés	Ennek a szónak különleges jelentése van.
寒暄	udvariassági beszélgetés	Találkozás után először néhány udvariassági mondatot váltottak.
罕见	ritka	Ez a betegség nagyon ritka.
捍卫	megvédeni	Az ügyvéd igyekezett megvédeni az ügyfél jogait.
航空	légiközlekedés	A légitársaság törölte a járatot.
航天	űrkutatás	Kína űrkutatása gyorsan fejlődik.
航行	hajózni	A hajó a tengeren hajózik.
行列	sor	Csatlakozott az önkéntesek sorához.
毫米	milliméter	Ez az üveg öt milliméter vastag.
毫无	egyáltalán nincs	A magyarázatának egyáltalán nincs alapja.
豪迈	merész	Éneke merész és erőteljes volt.
号召	felhívni	A kormány mindenkit víztakarékosságra hívott fel.
耗费	felemészteni	Ez a projekt nagy mennyiségű pénzt emésztett fel.
呵	rászólni	Az apa rászólt, és a gyerek azonnal megállt.
合并	egyesülni	A két vállalat jövőre egyesülni tervez.
合成	szintetizálni	Ezt az anyagot mesterségesen lehet szintetizálni.
合伙	társulni	Társulva nyitottak egy éttermet.
合算	megéri	Busszal menni jobban megéri, mint taxival.
和蔼	kedves	Ez az orvos nagyon kedvesen beszél.
和解	kiegyezés	A két fél végül kiegyezésre jutott.
和睦	harmonikus	A szomszédok harmonikusan élnek egymással.
和气	barátságos	A főnök barátságosan bánik az emberekkel.
和谐	harmonikus	A zene harmonikusabbá tette a légkört.
嘿	hé	Hé, hallottad?
痕迹	nyom	A földön keréknyomok maradtak.
狠心	szívtelen	Szívtelenül elutasította barátja kérését.
恨不得	bárcsak	Bárcsak azonnal hazamehetnék pihenni.
哼	horkantani	Elégedetlenül horkantott egyet.
横	vízszintes	Kérlek, húzz egy vízszintes vonalat a papírra.
哄	hangos nevetés	Mindenki hangos nevetésben tört ki.
烘	sütni	A kenyér éppen sül a sütőben.
轰动	szenzáció	Ez a hír országos szenzációt keltett.
宏观	makro	Makroszempontból kell elemeznünk a gazdaságot.
宏伟	impozáns	Ennek a hídnak a terve nagyon impozáns.
洪水	árvíz	Az árvíz több hidat elpusztított.
喉咙	torok	Túl sokat beszélt, ezért kissé fáj a torka.
吼	ordítani	Nagy hangon ordított a távolba.
候选	jelölt	Ő az idei jelölt képviselő.
后代	utókor	Meg kell védenünk a környezetet az utókor számára.
后顾之忧	jövő miatti aggodalom	A stabil jövedelem megszüntette a jövő miatti aggodalmát.
后勤	logisztika	A logisztikai részleg felel az anyagellátásért.
呼唤	hívni	Az anya az ajtóból hívta a gyereket.
呼啸	süvíteni	A hideg szél süvített az ablakon kívül.
呼吁	felhívás	A szakértők felhívták az embereket a pazarlás csökkentésére.
忽略	figyelmen kívül hagyni	Kérlek, ne hagyd figyelmen kívül ezt a részletet.
湖泊	tó	Ezen a területen sok természetes tó van.
胡乱	összevissza	Ne tedd összevissza a dolgokat a földre.
胡须	szakáll	A szakálla már kifehéredett.
花瓣	szirom	Az eső után szirmok borították a földet.
花蕾	virágbimbó	Tavasszal virágbimbók nőnek az ágakon.
华丽	pompás	A színpadi jelmezek nagyon pompásak voltak.
华侨	tengerentúli kínai	Sok tengerentúli kínai tért haza befektetni.
划分	felosztani	A tanár négy csoportra osztotta a diákokat.
化肥	műtrágya	A gazdák műtrágyát szórtak a terményekre.
化石	kövület	A múzeum dinoszaurusz-kövületeket állított ki.
化验	laborvizsgálat	Az orvos vérvizsgálatra küldte.
化妆	sminkelni	Színpadra lépés előtt éppen sminkelt.
画蛇添足	túlzás	További magyarázat hozzáadása már túlzás lenne.
话筒	mikrofon	A műsorvezető átadta a mikrofont a közönségnek.
欢乐	öröm	Az ünnepi tér tele volt örömmel.
环节	szakasz	A képzés minden szakasza nagyon fontos.
还原	visszaállítani	Kérlek, állítsd vissza a beállításokat alapértelmezett állapotba.
缓和	enyhülni	A két fél kapcsolata fokozatosan enyhült.
患者	beteg	Az orvos a beteg állapotáról kérdez.
荒凉	kietlen	Ez a föld nagyon kietlennek látszik.
荒谬	abszurd	Ez a magyarázat abszurdnak hangzik.
荒唐	képtelen	A döntése túl képtelen volt.
皇帝	császár	A császár egy impozáns palotában lakott.
皇后	császárné	A császárné részt vett az ünnepségen.
黄昏	alkonyat	Alkonyatkor kigyúltak az utcai lámpák.
恍然大悟	hirtelen megérteni	A magyarázat meghallgatása után hirtelen megértette.
晃	villanás	Egy villanás alatt eltűnt a szeme elől.
挥霍	elpazarolni	Nem kellene elpazarolnia a szülei pénzét.
辉煌	ragyogó	Ennek a városnak ragyogó történelme van.
回报	jutalom	A kemény munka végül jutalmat hoz.
回避	elkerülni	Folyton elkerülte ezt a kérdést.
回顾	visszatekinteni	Az értekezlet végén visszatekintettek az egész éves munkára.
回收	újrahasznosítani	A lakóközösség elkezdte újrahasznosítani a régi elemeket.
悔恨	megbánás	Megbánást érzett a múltbeli hibái miatt.
毁灭	elpusztítani	A háború majdnem elpusztította ezt a várost.
会晤	találkozni	A két ország vezetői holnap találkoznak.
汇报	beszámolni	Beszámolt a menedzsernek az előrehaladásról.
贿赂	megvesztegetés	A tisztviselőt megvesztegetés miatt vizsgálták.
昏迷	kóma	A beteg még mindig kómában van.
荤	húsos	Ez az étel húsos, nem alkalmas vegetáriánusoknak.
浑身	egész test	Futás után az egész teste izzadt volt.
混合	összekeverni	Kérlek, keverd össze egyenletesen a két anyagot.
混乱	káosz	A helyszín egy ideig nagyon kaotikus volt.
混淆	összekeverni	Ne keverd össze ezt a két fogalmat.
混浊	zavaros	Az eső után a folyó vize zavarossá vált.
活该	megérdemli	Nem hallgatott a tanácsra, így megérdemli a kudarcot.
活力	életerő	Ez a város tele van életerővel.
火箭	rakéta	A rakéta sikeresen belépett a tervezett pályára.
火焰	láng	A szél magasabbra fújta a lángokat.
火药	lőpor	A lőpor megváltoztatta az ókori háborúk módját.
货币	valuta	A monetáris politika hat a gazdasági fejlődésre.
基地	bázis	Ez egykor fontos kiképzőbázis volt.
基金	alap	Az iskola ösztöndíjalapot hozott létre.
基因	gén	A tudósok ezt a gént kutatják.
机动	mozgékony	Ez a csapat nagyfokú mozgékonyságot tart fenn.
机构	intézmény	Ez az intézmény felel a minőségellenőrzésért.
机灵	élelmes	Ez a gyerek nagyon élelmes.
机密	bizalmas	Ezek az anyagok bizalmasak.
机械	gép	A gyár új gépeket vezetett be.
机遇	lehetőség	A fiataloknak meg kell ragadniuk a lehetőségeket.
机智	talpraesett	A válasza nagyon talpraesett volt.
激发	felkelteni	A tanár felkeltette a diákok érdeklődését.
激励	bátorítani	Ez a siker az egész csapatot bátorította.
激情	szenvedély	Beszéd közben tele volt szenvedéllyel.
讥笑	gúnyolni	Ne gúnyold mások hibáit.
饥饿	éhség	A hosszú ideig tartó éhség hatással lehet az egészségre.
即便	még ha	Még ha esik is, időben indulunk.
即将	hamarosan	Az értekezlet hamarosan kezdődik.
及早	minél előbb	A problémákat minél előbb kezelni kell.
吉祥	szerencsés	A piros Kínában gyakran szerencsét jelképez.
嫉妒	irigyelni	Nem kellene irigyelnie kollégája sikerét.
急功近利	rövid távú hasznot hajszolni	Kutatást nem szabad rövid távú haszon hajszolásával végezni.
急剧	meredeken	Az értékesítés meredeken csökkent.
急切	sürgető	Izgatottan várta a hírt.
急于求成	gyors eredményt sürgetni	Nyelvtanuláskor nem szabad gyors eredményt sürgetni.
急躁	türelmetlen	Nehézség esetén ne légy türelmetlen.
极端	szélsőséges	Ez a szélsőséges időjárás egyre gyakoribb.
极限	határ	Ez az edzés próbára tette a határait.
疾病	betegség	A jó szokások megelőzhetik a betegséget.
籍贯	származási hely	Az űrlapon ki kell tölteni a származási helyet.
级别	szint	Ez a verseny három szintre oszlik.
集团	csoport	Ez a csoport külföldön is rendelkezik fiókvállalatokkal.
给予	adni	Az iskola segítséget ad a szegény diákoknak.
季军	harmadik helyezett	A versenyen harmadik helyezést ért el.
季度	negyedév	A vállalat minden negyedévben pénzügyi jelentést ad ki.
寂静	csendes	Az éjszakai völgy különösen csendes.
寄托	helyezni	Reményeit a gyermekébe helyezte.
忌讳	tabu	A helyiek tabunak tartják, hogy erről az asztalnál beszéljenek.
技巧	technika	A technikák elsajátítása javíthatja a hatékonyságot.
纪要	jegyzőkönyv	A titkár rendezte az értekezlet jegyzőkönyvét.
继承	örökölni	Apja hivatását örökölte.
计较	fennakadni	Ne akadj fenn ilyen apróságon.
记性	memória	Nagyon jó a memóriája.
记载	feljegyezni	A történeti könyvek feljegyezték ezt a háborút.
迹象	jel	Jelenleg nincs jele javulásnak.
佳肴	finom étel	Az asztal tele volt finom ételekkel.
加工	feldolgozni	Ezeket a nyersanyagokat tovább kell feldolgozni.
加剧	súlyosbodni	Az ellentét éppen súlyosbodik.
夹杂	keveredni	Az eső hangjába mennydörgés keveredett.
家常	házi	Szeretek házi ételeket enni.
家伙	fickó	Az a fickó mindig késik.
家属	családtag	Az orvos értesítette a beteg családtagjait.
家喻户晓	mindenki által ismert	Ez a történet mindenki által ismert.
坚定	határozott	A hozzáállása nagyon határozott.
坚固	szilárd	Ez a híd nagyon szilárd.
坚韧	kitartó	Kitartó jelleme van.
坚实	szilárd	Ennek a kutatásnak szilárd alapja van.
坚硬	kemény	Ez a kő nagyon kemény.
尖端	élvonalbeli	A vállalat élvonalbeli technológiába fektet be.
尖锐	éles	Ez a kérdés nagyon éles.
煎	sütni	A szakács halat süt.
监督	felügyelet	A nyilvános felügyelet segít javítani a munkát.
监视	megfigyelni	A rendőrség megfigyeli a gyanúsítottat.
监狱	börtön	Börtönben tölti a büntetését.
艰难	nehéz	A vállalkozás kezdeti szakasza nagyon nehéz.
