simplified	TR	example_TR
大意	ana fikir; genel anlam	Lütfen önce bu makalenin ana fikrini açıkla.
大致	kabaca; yaklaşık olarak	Olanları kabaca anladım.
歹徒	suçlu; haydut	Polis suçluyu hızla yakaladı.
代价	bedel; maliyet	Başarı çoğu zaman bir bedel ödemeyi gerektirir.
代理	vekalet etmek; temsilci olmak	Müdüre geçici olarak vekalet ediyor.
带领	önderlik etmek; götürmek	Öğretmen öğrencileri müzeyi gezmeye götürdü.
怠慢	ihmal etmek; saygısız davranmak	Misafirleri ihmal etmemeliyiz.
逮捕	tutuklamak	Polis baş şüpheliyi tutukladı.
担保	garanti vermek; kefil olmak	Banka birinin kefil olmasını istiyor.
胆怯	çekingen; ürkek	İlk konuşmasında biraz çekingen davrandı.
淡季	düşük sezon; durgun sezon	Seyahat düşük sezonunda uçak biletleri daha ucuzdur.
淡水	tatlı su	Bu balık türü yalnızca tatlı suda yaşayabilir.
蛋白质	protein	Yumurta bol protein içerir.
诞辰	doğum yıl dönümü	Bugün bu yazarın doğum yıl dönümü.
诞生	doğmak; ortaya çıkmak	Bu fikir tartışma sırasında ortaya çıktı.
当场	olay yerinde; anında	Hatasını olay yerinde kabul etti.
当初	başta; o zaman	Başta hepimiz bu kararı destekliyorduk.
当代	çağdaş; günümüz	Günümüz toplumu çok hızlı değişiyor.
当面	yüz yüze; karşısında	Sorunları yüz yüze açıkça anlatmak en iyisidir.
当前	şu anki; mevcut	Şu anda en önemli şey güvenliği sağlamaktır.
当事人	ilgili kişi; taraf	Polis ilgili kişiyi sorguluyor.
当务之急	acil öncelik; en önemli iş	Konut sorununu çözmek en acil önceliktir.
当选	seçilmek	Başkanlığa başarıyla seçildi.
党	parti; örgüt	Bu parti yeni bir politika önerdi.
档案	dosya; kayıt; arşiv	Okul öğrencilerin kayıtlarını sakladı.
档次	seviye; kalite; sınıf	Bu otel yüksek sınıftadır.
倒闭	iflas etmek; kapanmak	O küçük dükkan geçen yıl kapandı.
导弹	füze	Haberde füze denemesi bildirildi.
导航	navigasyon	Lütfen telefonun navigasyonunu aç.
导向	yönelim; yönlendirme	Eğitim politikası adalete yönelmelidir.
捣乱	karışıklık çıkarmak; sorun çıkarmak	Lütfen sınıfta sorun çıkarmayın.
盗窃	hırsızlık yapmak; çalmak	AVM hırsızlığı önlemek için önlemleri artırdı.
稻谷	çeltik; pirinç ürünü	Çiftçiler çeltik hasadı yapıyor.
得不偿失	elde edilen kazanç kaybı karşılamaz	Para tasarrufu için kalitesiz malzeme almak zarara değmez.
得力	yetenekli; işe yarar; güvenilir	O müdürün güvenilir bir yardımcısıdır.
得天独厚	benzersiz avantajlara sahip; doğal olarak ayrıcalıklı	Bu şehrin benzersiz coğrafi avantajları var.
得罪	gücendirmek; suç işlemek	Küçük bir mesele yüzünden iş arkadaşlarımı gücendirmek istemiyorum.
灯笼	fener	Bahar Bayramı'nda kapıya kırmızı fenerler asılır.
登录	oturum açmak; giriş yapmak	Lütfen önce hesabına giriş yap.
登陆	karaya çıkmak; karaya ulaşmak	Tayfun bu gece kıyı bölgelerinde karaya ulaşabilir.
蹬	basmak; ayağıyla itmek	Ayağıyla sertçe itti ve bisiklet hareket etti.
等候	beklemek	Yolcular salonda uçağa binmeyi bekliyor.
等级	seviye; derece	Bu yazılımın farklı üyelik seviyeleri var.
瞪	gözlerini dikmek; ters ters bakmak	Öfkeyle bana ters ters baktı.
堤坝	baraj; set	Şiddetli yağmurdan sonra barajın dikkatle incelenmesi gerekiyor.
敌视	düşmanca bakmak; düşmanlık	Farklı görüşlere düşmanca bakmamalıyız.
抵达	varmak; ulaşmak	Uçak Pekin'e zamanında vardı.
抵抗	direniş; direnmek	Köylüler sele birlikte direndi.
抵制	boykot etmek; karşı koymak	Tüketiciler düşük kaliteli ürünleri boykot etmeye başladı.
地步	durum; derece; aşama	Mesele henüz o kadar ciddi bir duruma gelmedi.
地势	arazi yapısı; topografya	Buranın arazi yapısı yüksek olduğu için su kolay birikmez.
地质	jeoloji	Uzmanlar yerel jeolojik koşulları inceliyor.
递增	kademeli artmak; artan sırada	Satışlar üç ay üst üste arttı.
颠簸	sarsılmak; engebeli olmak	Dağ yolu sarsıntılı, bu yüzden dikkatli sür.
颠倒	ters çevirmek; sırasını karıştırmak	İki sayının sırasını ters çevirdin.
典礼	tören	Mezuniyet töreni konferans salonunda yapılacak.
典型	tipik; örnek olay	Bu tipik bir başarı örneğidir.
点缀	süslemek; süs	Birkaç küçük çiçek yemek masasını süsledi.
垫	altlık; minder; ped	Lütfen bu kağıdı bardağın altına koy.
奠定	temel atmak; sağlamlaştırmak	Bu iş birliği uzun vadeli ilişkinin temelini attı.
惦记	merak etmek; aklında tutmak	Anne uzaktaki çocuğunu hep merak eder.
电源	güç kaynağı; elektrik kaynağı	Ayrılmadan önce lütfen elektriği kapat.
叼	ağzında tutmak	O köpek ağzında bir kemik tutuyor.
雕刻	oymak; gravür yapmak	Ahşap üzerine desen oymayı sever.
雕塑	heykel	Meydanın ortasında bir heykel var.
吊	asmak; kaldırmak	İşçiler çelik kirişi makineyle kaldırdı.
调动	yerini değiştirmek; görevlendirmek	Şirket onu Şanghay'da çalışmak üzere görevlendirdi.
跌	düşmek; gerilemek	Hisse fiyatı bugün yine düştü.
丁	küp; aile bireyi	Tarifte patatesleri küp küp doğrayın diyor.
叮嘱	tekrar tekrar tembihlemek	Öğretmen güvenliğe dikkat etmemizi tekrar tekrar tembihledi.
盯	dikkatle bakmak; gözünü dikmek	Lütfen başkalarına sürekli gözünü dikme.
定期	düzenli; belirli aralıklarla	Doktor ona düzenli sağlık kontrolü yaptırmasını önerdi.
定义	tanım	Lütfen önce bu kavramın tanımını açıklayın.
丢人	rezil olmak; yüz kızartmak	Kamuoyu önünde yalan söylemek gerçekten utanç verici.
丢三落四	unutkan; dalgın	O hep unutkandır ve dışarı çıkarken sık sık anahtarlarını unutur.
东道主	ev sahibi; resmi ev sahibi	Ev sahibi olarak konuklarla iyi ilgilenmeliyiz.
东张西望	etrafa bakınmak; sağa sola bakmak	Ders sırasında etrafa bakınma.
董事长	yönetim kurulu başkanı	Yönetim kurulu başkanı bugün toplantıya katıldı.
冻结	dondurmak	Banka bu hesabı geçici olarak dondurdu.
动荡	çalkantı; istikrarsızlık	Savaş bu bölgeyi uzun süre istikrarsız bıraktı.
动机	güdü; neden; motivasyon	Polis onun motivasyonunu araştırıyor.
动静	ses seda; hareketlilik	Odada en ufak bir ses seda yoktu.
动力	güç; motivasyon	İlgi, öğrenmenin motivasyonudur.
动脉	atardamar	Doktor onun atardamarını inceledi.
动身	yola çıkmak	Yarın sabah erkenden havaalanına doğru yola çıkacağız.
动手	kavgaya başlamak; işe koyulmak	Mesele henüz net değil, kimse kavgaya başlamasın.
动态	gelişme; hareketli durum	Lütfen projenin gelişmelerini takip et.
动员	seferber etmek; harekete geçirmek	Okul öğrencileri gönüllü faaliyetlere katılmaya seferber etti.
栋	bina sayacı; yapı	Bu bina yirmi katlıdır.
兜	cep; torba; sarmak	Anahtarları ceketinin cebine koydu.
陡峭	dik; sarp	Bu dağ yolu çok dik.
斗争	mücadele; savaşım	Çevreyi korumak için mücadele ediyorlar.
督促	teşvik etmek; işi bitirmeye zorlamak	Müdür herkesi görevi zamanında tamamlamaya zorladı.
毒品	uyuşturucu; narkotik	Gümrük bir parti uyuşturucu ele geçirdi.
独裁	diktatörlük	İnsanlar diktatörlüğe karşı çıkıyor.
堵塞	tıkamak; tıkanıklık	Çöp kanalizasyonu tıkadı.
赌博	kumar oynamak	Kumar ciddi sonuçlar doğurabilir.
杜绝	son vermek; kökünü kazımak	Şirket israfa son verilmesini istiyor.
端	uç; yan; taşımak	Elinde bir fincan sıcak çayla içeri girdi.
端午节	Duanwu Festivali; Ejderha Teknesi Festivali	Duanwu Festivali'nde zongzi yeriz.
端正	düzgün; doğru; düzeltmek	Öğrenciler öğrenmeye yönelik tutumlarını düzeltmelidir.
短促	kısa; kısa süreli	Kısa bir iç çekti.
断定	sonuca varmak; hüküm vermek	Kimin haklı kimin haksız olduğunu belirlemek hâlâ mümkün değil.
断绝	kesmek; koparmak	Kazadan sonra köyün dış dünyayla bağlantısı koptu.
堆积	birikmek; yığmak	Kar yol kenarında birikti.
兑现	yerine getirmek; nakde çevirmek	Sonunda verdiği sözü yerine getirdi.
对策	önlem; çözüm yolu	Riskler karşısında önlemlere ihtiyacımız var.
对称	simetrik; simetri	Bu binanın sağ ve sol tarafı çok simetriktir.
对付	baş etmek; uğraşmak	Bu sorunla baş etmek kolay değil.
对抗	karşı karşıya gelmek; direnmek	İki takım finalde karşı karşıya gelecek.
对立	karşıt olmak; zıtlaşmak	İki tarafın konumları tamamen karşıt.
对联	kapı beyiti; çift mısralı süs yazısı	Bahar Bayramı'nda kapıya beyitler asarlar.
对应	karşılık gelmek; uyumlu olmak	Her numara bir koltuğa karşılık gelir.
对照	karşılaştırmak; yan yana koymak	Lütfen çeviriyi özgün metinle karşılaştırın.
队伍	kafile; sıra; ekip	Geçit töreni kafilesi yavaşça ilerledi.
顿时	hemen; anında	Haberi duyunca anında donakaldı.
哆嗦	titremek; ürpermek	Hava o kadar soğuktu ki sürekli titredi.
多元化	çeşitlenme; çok yönlülük	Şirket işlerini çeşitlendirmeyi teşvik ediyor.
堕落	ahlaken düşmek; yozlaşmak	Kendisinin daha fazla yozlaşmasına izin vermek istemiyor.
额外	ek; ilave	Bu hizmet ek ücret gerektirir.
恶心	midesi bulanmak; tiksinti	O kokuyu alınca biraz midem bulandı.
恶化	kötüleşmek	Tedavi edilmezse hastalık kötüleşebilir.
遏制	dizginlemek; kontrol altına almak	Hükümet kirliliği kontrol altına almak için önlemler aldı.
恩怨	kin; husumet	İki şirket arasındaki husumet uzun zamana dayanıyor.
而已	sadece bu kadar; hepsi bu	Bunu sadece gelişigüzel söyledim, hepsi bu.
二氧化碳	karbondioksit; CO2	Bitkiler karbondioksit emer.
发布	yayımlamak; duyurmak	Şirket yarın yeni bir ürün duyuracak.
发财	zengin olmak	Sıkı çalışarak zengin olmayı umuyor.
发呆	dalıp gitmek; düşüncelere dalmak	Pencerenin yanında dalgın halde oturdu.
发动	başlatmak; harekete geçirmek	Gönüllüler sakinleri sokağı temizlemek için harekete geçirdi.
发觉	fark etmek; keşfetmek	Bugün onun biraz gergin olduğunu fark ettim.
发射	fırlatmak; ateşlemek	Roket akşam fırlatılacak.
发誓	yemin etmek; ant içmek	Bir daha asla yalan söylemeyeceğine yemin etti.
发行	yayımlamak; piyasaya sürmek	Bu film gelecek ay gösterime girecek.
发炎	iltihaplanmak; iltihap	Yara biraz iltihaplanmış.
发扬	geliştirmek; ileri taşımak	Takım çalışması ruhunu ileri taşımalıyız.
发育	gelişmek; büyüme	Çocukların bedensel gelişimi yeterli besin gerektirir.
法人	tüzel kişi; şirket	Bu şirket bağımsız bir tüzel kişidir.
番	sefer; sıra; bölüm	Bu sözler bana çok ilham verdi.
凡是	her; kim olursa olsun	Kayıt yaptıran herkes eğitime katılmalıdır.
繁华	canlı; hareketli	Bu cadde eskiden çok hareketliydi.
繁忙	meşgul; yoğun	Havalimanı tatillerde özellikle yoğundur.
繁体字	geleneksel Çince karakter	Tayvan'da insanlar sık sık geleneksel karakter yazar.
繁殖	üremek; çoğalmak	Bu bitki türü kolayca çoğalır.
反驳	çürütmek; karşı çıkmak	Bu görüşü verilerle çürüttü.
反常	anormal; alışılmadık	Bugünün havası biraz alışılmadık.
反感	hoşlanmamak; tiksinti duymak	Bu tür reklamlardan gerçekten hoşlanmıyorum.
反抗	direniş; karşı koymak	İnsanlar adaletsiz yönetime karşı koymaya başladı.
反馈	geri bildirim	Müşteriler sistemin çok kararlı olduğunu bildirdi.
反面	ters taraf; karşı yön	Lütfen kağıdı ters tarafına çevir.
反射	yansıtmak; yansıma; refleks	Ayna ışığı yansıtır.
反思	üzerine düşünmek; muhasebe yapmak	Başarısızlıktan sonra nedenleri ciddi biçimde düşündü.
反问	soruyla karşılık vermek; retorik soru	Cevap vermedi ve bana soruyla karşılık verdi.
反之	tersine; aksine	Fiyatlar çok yüksek olursa talep azalır, tersi de doğrudur.
泛滥	taşmak; su basmak	Şiddetli yağmur nehrin taşmasına neden oldu.
范畴	kategori; kapsam	Bu mesele hukuki kategoriye girer.
贩卖	satmak; kaçak ticaretini yapmak	Yasa sahte ilaç satışını yasaklar.
方位	yön; konum	Harita kesin yönü gösteriyor.
方言	lehçe	Yerel lehçeyi anlayabiliyor.
方圆	çevre; yarıçap	On kilometre çevrede hastane yok.
方针	politika; ilke	Şirket yeni bir gelişim politikası belirledi.
防守	savunmak; savunma	Bu takımın savunması çok sağlam.
防御	savunma	Şehir suru bir zamanlar düşmanlara karşı savunma için kullanılırdı.
防止	önlemek; tedbir almak	Yaralanmayı önlemek için lütfen emniyet kemerini bağlayın.
防治	önleme ve tedavi	Doktor hastalığı önleme ve tedavi yöntemlerini anlattı.
纺织	dokuma; tekstil	Bu şehir tekstil sanayisiyle ünlüdür.
访问	ziyaret etmek; röportaj yapmak	Muhabir yarın bu yazarı ziyaret edecek.
放大	büyütmek; yakınlaştırmak	Lütfen resmi biraz büyüt.
放射	yaymak; radyasyon saçmak	Bu malzeme ısı yayar.
非法	yasa dışı	Yasa dışı işlemler cezalandırılır.
飞禽走兽	kuşlar ve hayvanlar	Ormanda türlü kuşlar ve hayvanlar yaşar.
飞翔	uçmak	Martılar denizin üzerinde uçuyor.
飞跃	sıçrama; büyük ilerleme	Teknolojik gelişim büyük bir sıçrama gerçekleştirdi.
肥沃	verimli	Bu toprak çok verimlidir.
诽谤	iftira; karalama	Başkalarına iftira atmak hukuki sorumluluk doğurur.
废除	yürürlükten kaldırmak; lağvetmek	Bu eski kural çoktan kaldırıldı.
废寝忘食	yemeyi içmeyi unutacak kadar dalmak	Araştırmaya öyle daldı ki uykuyu ve yemeği unuttu.
废墟	harabe	Depremden sonra orası harabeye döndü.
沸腾	kaynamak; kaynama	Su çoktan kaynadı.
肺	akciğer	Sigara akciğerlere zarar verebilir.
分辨	ayırt etmek	Bu iki rengi ayırt etmek benim için zor.
分寸	ölçü; uygun sınır	Şaka yaparken bile ölçüyü bilmelisin.
分红	temettü; kar payı	Yıl sonunda hissedarlar temettü alabilir.
分解	ayrıştırmak; parçalara bölmek	Öğretmen karmaşık problemi birkaç adıma ayırdı.
分裂	bölünmek; parçalanmak	İç çatışmalar örgütün bölünmesine yol açtı.
分泌	salgılamak	Bu tür bez hormon salgılar.
分明	açık; belirgin	Gerçekler artık çok açık.
分歧	görüş ayrılığı; farklılık	İki taraf arasında fiyat konusunda görüş ayrılığı var.
分散	dağıtmak; yaymak	Lütfen riski farklı projelere dağıtın.
吩咐	talimat vermek; söylemek	Patron belgeleri düzenlememi söyledi.
坟墓	mezar	Yamaçta eski bir mezar var.
粉末	toz; ince toz	Lütfen hapları toz haline getirin.
粉色	pembe	Pembe bir atkı aldı.
粉碎	parçalamak; ezmek	Polis bu suç çetesini çökertti.
分量	ağırlık; önem	Bu cümlenin ağırlığı büyüktür.
愤怒	öfke; kızgın	Ses tonu öfkeyle doluydu.
丰满	dolgun; zengin	Bu makalenin içeriği hâlâ yeterince zengin değil.
丰盛	bol; zengin	Zengin bir akşam yemeği hazırladılar.
丰收	bol hasat	Çiftçiler bu yıl bol hasat aldı.
封闭	kapatmak; mühürlemek	Bu yol inşaat sırasında kapatılacak.
封建	feodal; feodalizm	Bu feodal düşünce tarzı çoktan değişmeliydi.
封锁	ablukaya almak; kapatmak	Polis kaza yerini kapattı.
锋利	keskin	Bu bıçak çok keskin.
风暴	fırtına; kriz	Denizde aniden bir fırtına çıktı.
风度	zarafet; duruş	Sahnede çok zarif göründü.
风光	manzara	Buranın doğal manzarası çok güzel.
风气	atmosfer; genel eğilim	Okulda iyi bir öğrenme atmosferi oluştu.
风趣	espri; mizah; nükteli	O çok mizahlı konuşur.
风土人情	yerel gelenekler ve yaşam tarzı	Seyahat etmek yerel gelenekleri anlamana yardımcı olur.
风味	yerel tat; özgün lezzet	Bu dükkanın güçlü bir yerel tadı var.
逢	rastlamak; her olduğunda	Her hafta sonu park hareketli olur.
奉献	adamak; özveride bulunmak	Doktor hastalara çok zaman ayırdı.
否决	veto etmek; reddetmek	Yönetim kurulu bu öneriyi reddetti.
夫妇	karı koca; çift	Bu çift küçük bir dükkan işletiyor.
夫人	eş; hanımefendi; Bayan	Wang Bey ve eşi ziyafete birlikte katıldı.
敷衍	geçiştirmek; baştan savma yapmak	Yalnızca birkaç baştan savma yanıt verdi.
俘虏	esir; tutsak	Savaş bittikten sonra esirler serbest bırakıldı.
幅度	oran; kapsam; aralık	Bu seferki fiyat indirimi büyük.
服从	itaat etmek; uymak	Askerler emirlere uymalıdır.
服气	ikna olmak; kabullenmek	Maçı kaybetti ama sonucu kabullenmedi.
福利	sosyal haklar; refah	Çalışanlar şirket yan haklarına çok önem verir.
福气	şans; talih	İyi bir öğretmenle karşılaşmak onun şansıdır.
符号	sembol; işaret	Bu sembol tehlikeyi temsil eder.
辐射	radyasyon	Doktor ona güçlü radyasyondan uzak durmasını hatırlattı.
俯视	yukarıdan bakmak; kuşbakışı görmek	Dağın tepesinden bütün şehri kuşbakışı görebilirsin.
抚摸	okşamak; şefkatle dokunmak	Çocuğun başını nazikçe okşadı.
抚养	yetiştirmek; büyütmek	Büyükanne ve büyükbaba çocuğun büyütülmesine yardım etti.
腐败	yolsuzluk; çürümüş	Hükümet yolsuzlukla mücadele ediyor.
腐烂	çürümek	Meyve fazla beklerse çürür.
腐蚀	aşındırmak; korozyon	Asit metal yüzeyi aşındırabilir.
腐朽	çürümüş; yozlaşmış	Çürümüş sistemi eleştirdiler.
辅助	yardımcı olmak; desteklemek	Bu araç öğretime yardımcı olabilir.
副	yardımcı; ikinci; vekil	Kadın müdür yardımcılığına atandı.
复活	diriltmek; yeniden canlanmak	Bu geleneksel festival yeniden canlanıyor.
复兴	canlanma; yeniden yükseliş	Kültürel canlanma uzun vadeli çaba gerektirir.
富裕	refah içinde; varlıklı	Bu köy giderek daha varlıklı hale geliyor.
腹泻	ishal	Şiddetli ishali var ve doktora görünmesi gerekiyor.
覆盖	kaplamak; örtmek	Yoğun kar bütün vadiyi kapladı.
负担	yük; yüklenmek	Kira onun başlıca yükü haline geldi.
赋予	vermek; tanımak	Yasa vatandaşlara temel haklar tanır.
附和	onaylar görünmek; başkalarını tekrarlamak	Bağımsız bir görüşü yok, yalnızca başkalarını tekrarlıyor.
附件	ek; ek dosya	Lütfen e-postadaki eki kontrol edin.
附属	bağlı; yardımcı	Bu hastane üniversiteye bağlıdır.
改良	iyileştirmek; geliştirmek	Uzmanlar bu pirinç türünü geliştiriyor.
盖章	mühür basmak	Sözleşme imzalandıktan sonra mühür basılması gerekiyor.
钙	kalsiyum	Süt bol kalsiyum içerir.
尴尬	garip; mahcup	Toplantıda garip bir sessizlik oluştu.
干旱	kuraklık; kurak	Uzun kuraklık ekinleri etkiledi.
干扰	müdahale etmek; engel olmak	Gürültü çalışmamı engelliyor.
干涉	karışmak; müdahale etmek	Anne babalar çocuklarının seçimlerine fazla karışmamalıdır.
干预	müdahale etmek; araya girmek	Hükümet piyasa riskine zamanında müdahale etti.
感慨	duygulanmak; iç geçirmek	Eski fotoğrafları görünce çok duygulandı.
感染	enfeksiyon; bulaştırmak; etkilemek	Bu virüs çocuklara kolayca bulaşır.
干劲	çalışma isteği; heves	Herkes büyük bir hevesle çalışıyor.
扛	iki elle kaldırmak; omuzlamak	Efsaneye göre ağır bir kazanı kaldıracak kadar güçlüydü.
纲领	program; temel ilke	Toplantıda yeni bir eylem programı kabul edildi.
岗位	görev yeri; pozisyon	Yeni pozisyona hızla uyum sağladı.
港口	liman	Yük gemisi limana yanaştı.
港湾	koy; doğal liman	Küçük tekne sakin limana girdi.
杠杆	kaldıraç; finansal kaldıraç	Bu yatırım yüksek kaldıraç kullandı.
高超	üstün; çok yetkin	Onun araba tamir becerisi çok üstündür.
高潮	doruk; zirve	Maç son on dakikada doruğa ulaştı.
高峰	zirve; yoğun saat	Sabah sekiz trafik yoğunluğunun zirvesidir.
高明	zekice; parlak	Bu yöntem gerçekten zekice.
高尚	yüce; soylu	Doktorun meslek ruhu yücedir.
高涨	yükselmek; coşmak	Seyircilerin coşkusu sürekli yükseldi.
稿件	müsvedde; taslak metin	Editör taslak metni gözden geçiriyor.
告辞	izin isteyip ayrılmak	Artık geç oldu, biz önce izin isteyip ayrılalım.
告诫	uyarmak; nasihat etmek	Öğretmen öğrencilere kopya çekmemeleri konusunda uyardı.
割	kesmek	Parmağını yanlışlıkla kesti.
搁	koymak; bir kenara bırakmak	Lütfen belgeleri masanın üzerine koy.
歌颂	övgüyle anlatmak; yüceltmek	Bu şiir işçileri övüyor.
疙瘩	şişlik; yumru	Kolunda bir şişlik çıktı.
鸽子	güvercin	Meydanda çok güvercin var.
格局	düzen; yapı; yerleşim	Bu dairenin yerleşimi çok makul.
格式	biçim; format	Lütfen formu istenen biçimde doldurun.
隔阂	yabancılaşma; mesafe	Yanlış anlama aralarındaki mesafeyi derinleştirdi.
隔离	ayırmak; izole etmek	Hastanın geçici olarak izole edilmesi gerekiyor.
革命	devrim; devrimci	Bu devrim ülkenin kaderini değiştirdi.
个体	birey	Her bireyin farklı ihtiyaçları vardır.
各抒己见	herkes kendi görüşünü söylemek	Toplantıda herkes kendi görüşünü dile getirdi.
根深蒂固	köklü; derinlere işlemiş	Bu fikir artık çok köklüdür.
根源	kök; kaynak	Yoksulluğun kök nedenleri karmaşıktır.
跟前	önünde; yanında	Çocuk annesinin yanına koştu.
跟随	takip etmek; peşinden gitmek	Muhabir ekibi takip ederek dağlık bölgeye girdi.
跟踪	izlemek; takip etmek	Polis şüphelinin hareketlerini takip ediyor.
更新	güncellemek; yenilemek	Sistem bu gece otomatik olarak güncellenecek.
更正	düzeltmek; düzeltme yapmak	Gazete ertesi gün hatayı düzeltti.
耕地	ekilebilir arazi; toprağı sürmek	Çiftçiler ilkbaharda tarlaları sürüyor.
供不应求	talebi karşılayamamak	Bu ilaç şu anda talebi karşılayamıyor.
供给	tedarik; sağlamak	Bir şehrin istikrarlı su ve elektrik tedarikine ihtiyacı vardır.
公安局	Kamu Güvenliği Bürosu	Olay bildirmek için Kamu Güvenliği Bürosuna gitti.
公道	adalet; hakkaniyet	Herkes adil muamele görmeyi umar.
公告	duyuru; ilan	Okul derslerin askıya alındığını duyurdu.
公关	halkla ilişkiler	Şirket profesyonel bir halkla ilişkiler ekibi tuttu.
公民	vatandaş	Her vatandaş yasaya uymalıdır.
公然	açıkça; alenen	Yarışma kurallarını açıkça ihlal etti.
公认	kabul görmüş; herkesçe tanınan	O mükemmel bir öğretmen olarak kabul edilir.
公式	formül	Lütfen bu matematik formülünü yaz.
公务	resmi iş	Resmi görev için üç günlük iş gezisine çıktı.
公正	adil; tarafsız	Hakim adil kalmalıdır.
公证	noter tasdiki; noter onayı	Bu belge için noter tasdiki gerekiyor.
功劳	katkı; emek; pay	Bu başarıda herkesin payı var.
功效	etki; fayda	Bu ilacın etkisinin hâlâ doğrulanması gerekiyor.
宫殿	saray	Turistler eski sarayı gezdi.
工艺品	el sanatı ürünü	Bu el sanatı ürünü elde yapılmıştır.
恭敬	saygılı	Saygıyla yaşlı kişiyi selamladı.
攻击	saldırmak; suçlamak	Hackerlar şirketin web sitesine saldırdı.
攻克	aşmak; ele geçirmek	Araştırma ekibi teknik sorunu aştı.
巩固	pekiştirmek; sağlamlaştırmak	Tekrar yapmak öğrenilenleri pekiştirebilir.
共和国	cumhuriyet	Bu cumhuriyet geçen yüzyılda kuruldu.
共计	toplamda; toplam olmak	Bu mal partisi toplam üç yüz kutudur.
共鸣	yankı; duygudaşlık	Bu şarkı birçok kişide yankı uyandırdı.
勾结	gizlice anlaşmak; iş birliği yapmak	Dışarıdakilerle anlaşarak hileyle para elde ettiler.
钩子	kanca	Duvarda birkaç kanca asılı.
构思	tasarlamak; kurgu planlamak	Yazar yeni bir roman tasarlıyor.
姑且	şimdilik; geçici olarak	Şimdilik bu planı bir hafta deneyelim.
孤独	yalnız	Yeni bir şehre taşınınca kendini yalnız hissetti.
孤立	izole; tek başına	Bu soruna tek başına bakma.
辜负	boşa çıkarmak; hayal kırıklığına uğratmak	Anne babamın beklentilerini boşa çıkarmak istemiyorum.
古董	antika	Dedem birkaç antika topladı.
古怪	tuhaf; garip	Onun fikri biraz tuhaf.
股东	hissedar	Hissedarlar toplantısı gelecek hafta yapılacak.
股份	hisse; pay	Şirkette hisse sahibidir.
骨干	omurga; kilit kişi	Bu mühendisler ekibin omurgasıdır.
鼓动	kışkırtmak; harekete geçirmek	Biri kalabalığı protestoya kışkırttı.
固然	kuşkusuz; kabul ki	Bu yöntem kuşkusuz basit, ama riski az değil.
固体	katı	Buz, suyun katı halidir.
固有	doğuştan; kendine özgü	Her kültürün kendine özgü özellikleri vardır.
固执	inatçı	Çok inatçı ve tavsiye dinlemeyi reddediyor.
故乡	memleket; doğduğu yer	Yıllar sonra memleketine döndü.
故障	arıza; bozukluk	Asansörde arıza oldu ve geçici olarak hizmet dışı.
雇佣	istihdam etmek; işe almak	Şirket daha fazla teknik personel işe almaya karar verdi.
顾虑	kaygı; çekince	Herhangi bir kaygın varsa doğrudan söyleyebilirsin.
顾问	danışman	Bir hukuk danışmanı tuttuk.
拐杖	baston; koltuk değneği	Yaşlı adam dışarı çıkarken sık sık baston taşır.
关怀	ilgi; özen göstermek	Öğretmen öğrencilere çok ilgi gösterdi.
关照	göz kulak olmak; ilgilenmek	Lütfen yolda çocuğa göz kulak ol.
官方	resmi	Resmi haber yarın açıklanacak.
观光	gezi; turistik gezmek	Turistler tekneyle geziye çıktı.
管辖	yetkisi altında olmak; yönetmek	Bu bölge şehir yönetiminin yetkisi altındadır.
惯例	gelenek; teamül	Toplantı başlamadan önce konukları tanıtmak teamüldür.
灌溉	sulamak	Çiftçiler tarlaları sulamak için nehir suyunu kullanır.
罐	kavanoz; kutu; kap	Masanın üzerinde bir kavanoz çay yaprağı var.
贯彻	uygulamak; hayata geçirmek	Şirket yeni güvenlik standartlarını uygulamalıdır.
光彩	parlaklık; ışıltı	Bu kıyafet onu çok ışıltılı gösterdi.
光辉	ihtişam; parlaklık	Başarıları parlak bir sayfa bıraktı.
光芒	ışın; ışık parıltısı	Güneş ışınları vadiyi aydınlattı.
光荣	onur; şeref	Ülkeye hizmet etmek onurludur.
广阔	geniş; uçsuz bucaksız	Çayır uçsuz bucaksız uzanıyor ve çok geniş.
归根到底	sonuçta; işin özünde	Sonuçta sorun yönetimdedir.
归还	iade etmek; geri vermek	Lütfen kitapları zamanında iade edin.
规范	standart; kural; düzenlemek	Okul laboratuvarı yönetmek için standartlar koydu.
规格	özellik; teknik standart	Bu parça partisinin özellikleri tutarsız.
规划	planlama; plan	Kentsel planlama ulaşımı dikkate almalıdır.
规章	kural; düzenleme	Çalışanlar şirket kurallarına uymalıdır.
轨道	ray; yörünge	Tren raylar boyunca ilerliyor.
贵族	soylular; aristokrasi	Bu mülk bir zamanlar soylulara aitti.
跪	diz çökmek	Heykelin önünde diz çöktü.
棍棒	sopa	Polis olay yerindeki sopalara el koydu.
国防	milli savunma	Milli savunma inşası uzun vadeli yatırım gerektirir.
国务院	Devlet Konseyi	Devlet Konseyi yeni bir bildiri yayımladı.
果断	kararlı; kesin	Lider kararlı bir karar aldı.
过度	aşırı	Aşırı telefon kullanımı uykuyu etkileyebilir.
过渡	geçiş; geçici aşama	Şirket dönüşümde bir geçiş aşamasındadır.
过奖	fazla övmek; iltifat etmek	Fazla iltifat ediyorsun, hâlâ öğrenmem gerekiyor.
