simplified	KO	example_KO
调动	전근시키다	회사는 그를 상하이로 전근시켜 일하게 했습니다.
跌	떨어지다	주가가 오늘 또 떨어졌습니다.
丁	깍둑썰기	조리법에는 감자를 깍둑썰기하라고 쓰여 있습니다.
叮嘱	거듭 당부하다	선생님은 우리에게 안전에 주의하라고 거듭 당부했습니다.
盯	빤히 보다	다른 사람을 계속 빤히 보지 마세요.
定期	정기적으로	의사는 그에게 정기적으로 건강검진을 받으라고 권했습니다.
定义	정의	먼저 이 개념의 정의를 설명해 주세요.
丢人	체면을 잃다	사람들 앞에서 거짓말하는 것은 정말 체면을 잃는 일입니다.
丢三落四	잘 잊어버리다	그는 늘 잘 잊어버려서 외출할 때 자주 열쇠를 잊습니다.
东道主	주최자	주최자로서 우리는 손님을 잘 보살펴야 합니다.
东张西望	두리번거리다	수업 시간에 두리번거리지 마세요.
董事长	이사회 의장	이사회 의장은 오늘 회의에 참석했습니다.
冻结	동결하다	은행은 이 계좌를 잠시 동결했습니다.
动荡	불안정한	전쟁은 이 지역을 오랫동안 불안정하게 만들었습니다.
动机	동기	경찰은 그의 동기를 조사하고 있습니다.
动静	기척	방 안에는 아무 기척도 없었습니다.
动力	동력	흥미는 학습의 동력입니다.
动脉	동맥	의사는 그의 동맥을 검사했습니다.
动身	출발하다	우리는 내일 아침 일찍 공항으로 출발합니다.
动手	손을 대다	일이 아직 분명하지 않으니 아무도 손을 대지 마세요.
动态	동향	프로젝트 동향을 수시로 주시해 주세요.
动员	동원하다	학교는 학생들을 동원해 자원봉사 활동에 참여하게 했습니다.
栋	채	이 건물은 스무 층입니다.
兜	주머니	그는 열쇠를 외투 주머니에 넣었습니다.
陡峭	가파른	이 산길은 매우 가파릅니다.
斗争	투쟁	그들은 환경을 보호하기 위해 투쟁합니다.
督促	재촉하다	매니저는 모두에게 제때 임무를 완수하라고 재촉했습니다.
毒品	마약	세관은 마약 한 무더기를 적발했습니다.
独裁	독재	사람들은 독재 통치에 반대합니다.
堵塞	막다	쓰레기가 하수도를 막았습니다.
赌博	도박하다	도박은 심각한 결과를 가져올 수 있습니다.
杜绝	근절하다	회사는 낭비 현상을 근절하라고 요구했습니다.
端	들다	그는 따뜻한 차 한 잔을 들고 들어왔습니다.
端午节	단오절	단오절에 우리는 쭝쯔를 먹습니다.
端正	바르게 하다	학생은 학습 태도를 바르게 해야 합니다.
短促	짧은	그는 짧은 한숨을 내쉬었습니다.
断定	단정하다	지금은 누가 옳고 그른지 단정할 수 없습니다.
断绝	끊기다	사고 후 마을은 외부와 연락이 끊겼습니다.
堆积	쌓이다	눈이 길가에 쌓였습니다.
兑现	이행하다	그는 마침내 약속을 이행했습니다.
对策	대책	위험에 직면해 우리는 대책이 필요합니다.
对称	대칭이다	이 건축물의 좌우 양쪽은 매우 대칭입니다.
对付	대처하다	이 문제는 대처하기 쉽지 않습니다.
对抗	맞서다	두 팀은 결승에서 맞설 것입니다.
对立	대립하다	양측의 입장은 완전히 대립합니다.
对联	대련	춘절 때 그들은 문 앞에 대련을 붙였습니다.
对应	대응하다	각 번호는 하나의 좌석에 대응합니다.
对照	대조하다	원문과 대조하여 번역을 확인해 주세요.
队伍	대열	행진 대열은 천천히 앞으로 나아갔습니다.
顿时	순간	그 소식을 듣고 그는 순간 멍해졌습니다.
哆嗦	덜덜 떨다	날씨가 너무 추워서 그는 계속 덜덜 떨었습니다.
多元化	다원화	회사는 사업 다원화를 추진하고 있습니다.
堕落	타락하다	그는 자신이 계속 타락하도록 두고 싶지 않습니다.
额外	추가의	이 서비스는 추가 요금이 필요합니다.
恶心	메스껍다	그 냄새를 맡고 저는 조금 메스꺼웠습니다.
恶化	악화되다	치료하지 않으면 병세가 악화될 수 있습니다.
遏制	억제하다	정부는 오염을 억제하기 위한 조치를 취했습니다.
恩怨	원한	두 회사 사이의 원한은 오래되었습니다.
而已	그뿐이다	저는 그냥 아무렇게나 말했을 뿐입니다.
二氧化碳	이산화탄소	식물은 이산화탄소를 흡수합니다.
发布	발표하다	회사는 내일 신제품을 발표할 것입니다.
发财	부자가 되다	그는 노력으로 부자가 되기를 바랍니다.
发呆	멍하니 있다	그녀는 창가에 앉아 멍하니 있었습니다.
发动	동원하다	자원봉사자들이 주민들을 동원해 거리를 청소했습니다.
发觉	알아차리다	저는 그가 오늘 조금 긴장한 것을 알아차렸습니다.
发射	발사하다	로켓은 저녁에 발사될 예정입니다.
发誓	맹세하다	그는 다시는 거짓말하지 않겠다고 맹세했습니다.
发行	개봉하다	이 영화는 다음 달에 개봉합니다.
发炎	염증이 생기다	상처에 조금 염증이 생겼습니다.
发扬	발양하다	우리는 팀워크 정신을 발양해야 합니다.
发育	발육	어린이의 신체 발육에는 충분한 영양이 필요합니다.
法人	법인	이 회사는 독립 법인입니다.
番	말	이 말은 저에게 많은 깨달음을 주었습니다.
凡是	무릇	무릇 신청한 사람은 모두 교육에 참가해야 합니다.
繁华	번화한	이 거리는 예전에 매우 번화했습니다.
繁忙	바쁜	공항은 휴가철에 특히 바쁩니다.
繁体字	번체자	대만 지역에서는 번체자를 자주 씁니다.
繁殖	번식하다	이 식물은 번식하기 쉽습니다.
反驳	반박하다	그는 데이터로 이 관점을 반박했습니다.
反常	비정상적인	오늘 날씨는 조금 비정상적입니다.
反感	반감	저는 이런 광고에 큰 반감을 느낍니다.
反抗	반항하다	사람들은 불공평한 규정에 반항하기 시작했습니다.
反馈	피드백	고객 피드백에 따르면 시스템이 매우 안정적입니다.
反面	뒷면	종이를 뒷면으로 넘겨 주세요.
反射	반사하다	거울은 빛을 반사합니다.
反思	반성하다	실패한 뒤 그는 원인을 진지하게 반성했습니다.
反问	되묻다	그는 대답하지 않고 나에게 한마디 되물었습니다.
反之	반대로	가격이 너무 높으면 수요가 줄고, 반대도 마찬가지입니다.
泛滥	범람하다	폭우로 강물이 범람했습니다.
范畴	범주	이 문제는 법률 범주에 속합니다.
贩卖	판매하다	법은 가짜 약 판매를 금지합니다.
方位	방위	지도에는 정확한 방위가 표시되어 있습니다.
方言	방언	그는 현지 방언을 알아들을 수 있습니다.
方圆	반경	반경 십 킬로미터 안에는 병원이 없습니다.
方针	방침	회사는 새로운 발전 방침을 세웠습니다.
防守	수비	이 팀의 수비는 매우 안정적입니다.
防御	방어	성벽은 한때 적을 방어하는 데 쓰였습니다.
防止	방지하다	다치지 않도록 안전벨트를 매 주세요.
防治	예방과 치료	의사는 질병 예방과 치료 방법을 설명했습니다.
纺织	방직	이 도시는 방직업으로 유명합니다.
访问	방문하다	기자는 내일 이 작가를 방문할 것입니다.
放大	확대하다	그림을 조금 확대해 주세요.
放射	방출하다	이 재료는 열을 방출합니다.
非法	불법적인	불법 거래는 처벌을 받을 것입니다.
飞禽走兽	새와 짐승	숲에는 온갖 새와 짐승이 살고 있습니다.
飞翔	날다	갈매기가 바다 위를 날고 있습니다.
飞跃	비약	과학기술 발전은 거대한 비약을 이루었습니다.
肥沃	비옥한	이 땅은 매우 비옥합니다.
诽谤	비방	다른 사람을 비방하면 법적 책임을 져야 합니다.
废除	폐지하다	이 낡은 규정은 이미 폐지되었습니다.
废寝忘食	먹고 자는 것도 잊다	그는 연구에 몰두해 먹고 자는 것도 잊었습니다.
废墟	폐허	지진 뒤 그곳은 폐허가 되었습니다.
沸腾	끓다	물이 이미 끓었습니다.
肺	폐	흡연은 폐를 해칠 수 있습니다.
分辨	구별하다	저는 이 두 색을 구별하기 어렵습니다.
分寸	분수	농담을 할 때도 분수를 알아야 합니다.
分红	배당	주주들은 연말에 배당을 받을 수 있습니다.
分解	분해하다	선생님은 복잡한 문제를 몇 단계로 분해했습니다.
分裂	분열하다	내부 갈등이 조직의 분열을 초래했습니다.
分泌	분비하다	이런 샘은 호르몬을 분비합니다.
分明	분명한	사실은 이미 매우 분명합니다.
分歧	의견 차이	양측은 가격에서 의견 차이가 있습니다.
分散	분산하다	위험을 여러 프로젝트에 분산해 주세요.
吩咐	지시하다	사장은 저에게 문서를 정리하라고 지시했습니다.
坟墓	무덤	산비탈에 오래된 무덤이 하나 있습니다.
粉末	가루	알약을 가루로 갈아 주세요.
粉色	분홍색	그녀는 분홍색 목도리를 샀습니다.
粉碎	분쇄하다	경찰은 이 범죄 조직을 분쇄했습니다.
分量	무게감	이 말은 무게감이 큽니다.
愤怒	분노	그의 말투에는 분노가 가득했습니다.
丰满	풍부한	이 글의 내용은 아직 충분히 풍부하지 않습니다.
丰盛	풍성한	그들은 풍성한 저녁 식사를 준비했습니다.
丰收	풍작	올해 농민들은 풍작을 맞았습니다.
封闭	폐쇄하다	공사 기간 동안 이 길은 폐쇄됩니다.
封建	봉건적인	이런 봉건적 사고는 이미 바뀌어야 했습니다.
封锁	봉쇄하다	경찰은 사고 현장을 봉쇄했습니다.
锋利	날카로운	이 칼은 매우 날카롭습니다.
风暴	폭풍	바다에 갑자기 폭풍이 나타났습니다.
风度	풍도	그는 무대에서 매우 풍도가 있어 보였습니다.
风光	풍경	이곳의 자연 풍경은 매우 아름답습니다.
风气	분위기	학교에는 좋은 학습 분위기가 형성되었습니다.
风趣	재치 있는	그는 말하는 것이 매우 재치 있습니다.
风土人情	풍토와 인정	여행은 현지의 풍토와 인정을 이해하는 데 도움이 됩니다.
风味	풍미	이 가게는 짙은 지방 풍미가 있습니다.
逢	만나다	주말마다 공원은 매우 활기찹니다.
奉献	헌신하다	의사는 환자들에게 많은 시간을 헌신했습니다.
否决	부결하다	이사회는 이 제안을 부결했습니다.
夫妇	부부	이 부부는 작은 가게를 운영합니다.
夫人	부인	왕 선생과 부인은 함께 만찬에 참석했습니다.
敷衍	건성으로 대하다	그는 그저 건성으로 몇 마디 대답했습니다.
俘虏	포로	전쟁이 끝난 뒤 포로들은 석방되었습니다.
幅度	폭	이번 가격 인하 폭은 매우 큽니다.
服从	복종하다	군인은 반드시 명령에 복종해야 합니다.
服气	승복하다	그는 경기에서 졌지만 마음속으로 승복하지 않았습니다.
福利	복지	직원들은 회사의 복지를 매우 중시합니다.
福气	복	좋은 선생님을 만난 것은 그의 복입니다.
符号	기호	이 기호는 위험을 나타냅니다.
辐射	방사선	의사는 그에게 강한 방사선을 멀리하라고 일깨웠습니다.
俯视	내려다보다	산 정상에서 도시 전체를 내려다볼 수 있습니다.
抚摸	쓰다듬다	그녀는 아이의 머리를 가볍게 쓰다듬었습니다.
抚养	양육하다	조부모가 아이 양육을 도왔습니다.
腐败	부패	정부는 부패를 척결하고 있습니다.
腐烂	썩다	과일은 너무 오래 두면 썩습니다.
腐蚀	부식하다	산은 금속 표면을 부식할 수 있습니다.
腐朽	부패한	그들은 부패한 제도를 비판했습니다.
辅助	보조하다	이 도구는 교육을 보조할 수 있습니다.
副	부	그녀는 부매니저로 임명되었습니다.
复活	부활하다	이 전통 명절이 부활하고 있습니다.
复兴	부흥	문화 부흥에는 장기적인 노력이 필요합니다.
富裕	부유한	이 마을은 지금 점점 더 부유해지고 있습니다.
腹泻	설사	그는 설사가 심해서 의사를 봐야 합니다.
覆盖	덮다	큰 눈이 온 산골짜기를 덮었습니다.
负担	부담	집세가 그의 주요 부담이 되었습니다.
赋予	부여하다	법은 시민에게 기본 권리를 부여합니다.
附和	맞장구치다	그는 주견이 없고 남에게 맞장구만 칩니다.
附件	첨부 파일	이메일 안의 첨부 파일을 확인해 주세요.
附属	부속의	이 병원은 대학 부속 병원입니다.
改良	개량하다	전문가들이 이 벼 품종을 개량하고 있습니다.
盖章	도장을 찍다	계약서에 서명한 뒤에는 도장을 찍어야 합니다.
钙	칼슘	우유에는 칼슘이 풍부합니다.
尴尬	어색한	회의 중 어색한 침묵이 생겼습니다.
干旱	가뭄	오랜 가뭄이 농작물에 영향을 주었습니다.
干扰	방해하다	소음이 제 일을 방해합니다.
干涉	간섭하다	부모는 아이의 선택에 지나치게 간섭해서는 안 됩니다.
干预	개입하다	정부는 시장 위험에 제때 개입했습니다.
感慨	감회	오래된 사진을 보고 그는 감회가 매우 깊었습니다.
感染	감염시키다	이 바이러스는 어린이를 쉽게 감염시킵니다.
干劲	의욕	모두가 일할 때 의욕이 넘칩니다.
扛	들어 올리다	전설에 따르면 그는 힘이 세서 무거운 솥을 들어 올릴 수 있었습니다.
纲领	강령	회의는 새로운 행동 강령을 통과시켰습니다.
岗位	직책	그녀는 새로운 직책에 곧 적응했습니다.
港口	항구	화물선이 항구에 정박했습니다.
港湾	항만	작은 배가 조용한 항만으로 들어갔습니다.
杠杆	레버리지	이 투자는 높은 레버리지를 사용했습니다.
高超	뛰어난	그의 자동차 수리 기술은 매우 뛰어납니다.
高潮	절정	경기는 마지막 십 분에 절정에 이르렀습니다.
高峰	절정	아침 여덟 시는 교통 절정 시간입니다.
高明	뛰어난	이 방법은 확실히 뛰어납니다.
高尚	고상한	의사의 직업 정신은 매우 고상합니다.
高涨	고조되다	관중의 열기는 계속 고조되었습니다.
稿件	원고	편집자가 원고를 수정하고 있습니다.
告辞	작별 인사를 하다	날이 이미 늦었으니 저희는 먼저 작별 인사를 하겠습니다.
告诫	경고하다	선생님은 학생들에게 부정행위를 하지 말라고 경고했습니다.
割	베다	그는 실수로 손가락을 베었습니다.
搁	놓다	문서를 책상 위에 놓아 주세요.
歌颂	찬양하다	이 시는 노동자들을 찬양했습니다.
疙瘩	혹	그의 팔에 혹이 하나 생겼습니다.
鸽子	비둘기	광장에는 비둘기가 많습니다.
格局	구조	이 아파트의 구조는 매우 합리적입니다.
格式	형식	규정된 형식에 따라 양식을 작성해 주세요.
隔阂	거리감	오해가 그들 사이의 거리감을 깊게 했습니다.
隔离	격리하다	환자는 잠시 격리되어야 합니다.
革命	혁명	이 혁명은 국가의 운명을 바꾸었습니다.
个体	개체	각 개체에는 서로 다른 필요가 있습니다.
各抒己见	각자 의견을 말하다	회의에서 모두가 각자 의견을 말했습니다.
根深蒂固	뿌리 깊은	이 관념은 이미 뿌리 깊습니다.
根源	근원	빈곤의 근원은 매우 복잡합니다.
跟前	앞	아이가 어머니 앞까지 달려왔습니다.
跟随	따르다	기자는 대열을 따라 산간 지역으로 들어갔습니다.
跟踪	추적하다	경찰은 용의자의 행적을 추적하고 있습니다.
更新	갱신하다	시스템은 오늘 밤 자동으로 갱신됩니다.
更正	정정하다	신문은 다음 날 오류를 정정했습니다.
耕地	밭을 갈다	농민들은 봄에 밭을 갈고 있습니다.
供不应求	공급이 수요를 따라가지 못하다	이 약은 현재 공급이 수요를 따라가지 못합니다.
供给	공급	도시는 안정적인 물과 전기 공급이 필요합니다.
公安局	공안국	그는 사건을 신고하러 공안국에 갔습니다.
公道	공정	모두가 공정한 처리를 받기를 바랍니다.
公告	공고	학교는 휴강 공고를 발표했습니다.
公关	홍보	회사는 전문 홍보 팀을 고용했습니다.
公民	시민	모든 시민은 법을 지켜야 합니다.
公然	공공연히	그는 경기 규칙을 공공연히 위반했습니다.
公认	공인된	그녀는 공인된 우수 교사입니다.
公式	공식	이 수학 공식을 적어 주세요.
公务	공무	그는 공무로 사흘간 출장 갔습니다.
公正	공정한	판사는 반드시 공정함을 유지해야 합니다.
公证	공증	이 문서는 공증이 필요합니다.
功劳	공로	이번 성공에는 모두의 공로가 있습니다.
功效	효능	이 약의 효능은 아직 검증이 필요합니다.
宫殿	궁전	관광객들은 오래된 궁전을 관람했습니다.
工艺品	공예품	이 공예품은 손으로 만든 것입니다.
恭敬	공손한	그는 공손하게 노인에게 인사했습니다.
攻击	공격하다	해커들이 회사 웹사이트를 공격했습니다.
攻克	극복하다	연구팀은 기술 난제를 극복했습니다.
巩固	공고히 하다	복습은 배운 지식을 공고히 할 수 있습니다.
共和国	공화국	이 공화국은 지난 세기에 세워졌습니다.
共计	합계	이 화물은 합계 삼백 상자입니다.
共鸣	공감	이 노래는 많은 사람들의 공감을 불러일으켰습니다.
勾结	결탁하다	그들은 외부인과 결탁해 자금을 속여 빼냈습니다.
钩子	갈고리	벽에 갈고리 몇 개가 걸려 있습니다.
构思	구상하다	작가는 새 소설을 구상하고 있습니다.
姑且	일단	이 방안은 일단 한 주 동안 시험해 봅시다.
孤独	외로운	새 도시로 이사한 뒤 그는 외로움을 느꼈습니다.
孤立	고립된	이 문제를 고립적으로 보지 마세요.
辜负	저버리다	저는 부모님의 기대를 저버리고 싶지 않습니다.
古董	골동품	할아버지는 골동품 몇 점을 수집했습니다.
古怪	이상한	그의 생각은 조금 이상합니다.
股东	주주	주주총회는 다음 주에 열립니다.
股份	주식	그는 회사의 주식을 보유하고 있습니다.
骨干	핵심	이 엔지니어들은 팀의 핵심입니다.
鼓动	선동하다	누군가 군중을 선동해 항의하게 했습니다.
固然	물론	이 방법은 물론 간단하지만 위험도 작지 않습니다.
固体	고체	얼음은 물의 고체 형태입니다.
固有	고유한	모든 문화에는 고유한 특징이 있습니다.
固执	고집스러운	그는 너무 고집스러워서 조언을 들으려 하지 않습니다.
故乡	고향	여러 해 뒤 그는 고향으로 돌아갔습니다.
故障	고장	엘리베이터에 고장이 나서 잠시 사용이 중지되었습니다.
雇佣	고용하다	회사는 더 많은 기술 인력을 고용하기로 결정했습니다.
顾虑	걱정	무슨 걱정이 있으면 직접 말해도 됩니다.
顾问	고문	우리는 법률 고문 한 명을 고용했습니다.
拐杖	지팡이	노인은 외출할 때 자주 지팡이를 가지고 다닙니다.
关怀	보살핌	선생님은 학생들에게 많은 보살핌을 주었습니다.
关照	돌보다	길에서 아이를 잘 돌봐 주세요.
官方	공식적인	공식 소식은 내일 발표됩니다.
观光	관광	관광객들은 배를 타고 관광했습니다.
管辖	관할하다	이 지역은 시 정부가 관할합니다.
惯例	관례	회의가 시작되기 전에 손님을 소개하는 것은 관례입니다.
灌溉	관개하다	농민들은 강물로 농지를 관개합니다.
罐	통	책상 위에 찻잎 한 통이 놓여 있습니다.
贯彻	관철하다	회사는 새로운 안전 기준을 관철해야 합니다.
光彩	광채	이 옷은 그녀를 광채 나게 보이게 했습니다.
光辉	빛나는	그의 성취는 빛나는 한 페이지를 남겼습니다.
光芒	빛	태양의 빛이 산골짜기를 밝혔습니다.
光荣	영광스러운	국가를 위해 봉사하는 것은 영광스럽습니다.
广阔	광활한	초원은 끝없이 펼쳐져 매우 광활합니다.
归根到底	결국	결국 문제는 관리에 있습니다.
归还	반납하다	책을 제때 반납해 주세요.
规范	규범	학교는 실험실을 관리하기 위한 규범을 만들었습니다.
规格	규격	이 부품 묶음은 규격이 서로 다릅니다.
规划	계획	도시 계획은 교통을 고려해야 합니다.
规章	규정	직원은 회사 규정을 지켜야 합니다.
轨道	궤도	기차는 궤도를 따라 나아갑니다.
贵族	귀족	이 장원은 한때 귀족의 소유였습니다.
跪	무릎을 꿇다	그는 신상 앞에 무릎을 꿇었습니다.
棍棒	몽둥이	경찰은 현장의 몽둥이를 압수했습니다.
国防	국방	국방 건설에는 장기적인 투자가 필요합니다.
国务院	국무원	국무원은 새로운 통지를 발표했습니다.
果断	결단력 있는	지도자는 결단력 있게 결정을 내렸습니다.
过度	과도한	휴대전화를 과도하게 사용하면 수면에 영향을 줄 수 있습니다.
过渡	과도기	회사는 전환의 과도기 단계에 있습니다.
过奖	과찬하다	과찬이십니다, 저는 아직 배워야 합니다.
过滤	여과하다	이 장비는 불순물을 여과할 수 있습니다.
过失	과실	이번 사고는 인적 과실로 발생했습니다.
过问	관여하다	매니저는 이런 사소한 일에는 거의 관여하지 않습니다.
过瘾	만족스럽다	이 경기는 보기에 정말 만족스러웠습니다.
过于	지나치게	이 계획은 지나치게 복잡합니다.
嗨	안녕	안녕, 너도 왜 왔어?
海拔	해발	이 마을은 해발이 높습니다.
海滨	해변	그들은 해변에서 주말을 보냈습니다.
含糊	모호한	그의 대답은 매우 모호했습니다.
含义	의미	이 단어에는 특별한 의미가 있습니다.
寒暄	인사말을 나누다	만난 뒤 그들은 먼저 몇 마디 인사말을 나누었습니다.
罕见	드문	이 병은 매우 드뭅니다.
捍卫	수호하다	변호사는 의뢰인의 권리를 수호하려고 노력했습니다.
航空	항공	항공사가 항공편을 취소했습니다.
航天	우주항공	중국의 우주항공 사업은 빠르게 발전하고 있습니다.
航行	항해하다	배는 바다에서 항해하고 있습니다.
行列	대열	그녀는 자원봉사자 대열에 합류했습니다.
毫米	밀리미터	이 유리는 두께가 오 밀리미터입니다.
毫无	전혀 없다	그의 설명은 근거가 전혀 없습니다.
豪迈	호방한	그의 노래 소리는 호방하고 힘찼습니다.
号召	호소하다	정부는 모두에게 물을 절약하라고 호소했습니다.
耗费	소모하다	이 프로젝트는 많은 자금을 소모했습니다.
呵	호통치다	아버지가 한 번 호통치자 아이가 바로 멈췄습니다.
合并	합병하다	두 회사는 내년에 합병할 계획입니다.
合成	합성하다	이 재료는 인공적으로 합성할 수 있습니다.
合伙	동업하다	그들은 동업으로 식당을 하나 열었습니다.
合算	경제적이다	버스를 타는 것이 택시보다 더 경제적입니다.
和蔼	상냥한	이 의사는 말투가 매우 상냥합니다.
和解	화해	양측은 결국 화해에 도달했습니다.
和睦	화목한	이웃들은 서로 화목하게 지냅니다.
和气	친절한	사장은 사람들을 매우 친절하게 대합니다.
和谐	조화로운	음악은 분위기를 더 조화롭게 만들었습니다.
嘿	이봐	이봐, 들었어?
痕迹	흔적	땅에 바퀴 자국이 남았습니다.
狠心	매정한	그는 친구의 부탁을 매정하게 거절했습니다.
恨不得	당장 하고 싶다	저는 당장 집에 가서 쉬고 싶습니다.
哼	흥 하고 소리내다	그는 기분 나쁘게 흥 하고 소리를 냈습니다.
横	가로	종이에 가로선을 하나 그어 주세요.
哄	와 하고 웃다	모두가 와 하고 웃기 시작했습니다.
烘	굽다	빵이 오븐에서 구워지고 있습니다.
轰动	큰 반향을 일으키다	이 뉴스는 전국에 큰 반향을 일으켰습니다.
宏观	거시적인	우리는 거시적인 관점에서 경제를 분석해야 합니다.
宏伟	웅장한	이 다리의 설계는 매우 웅장합니다.
洪水	홍수	홍수가 다리 몇 개를 무너뜨렸습니다.
喉咙	목	그는 말을 너무 많이 해서 목이 조금 아픕니다.
吼	고함치다	그는 먼 곳을 향해 크게 고함쳤습니다.
候选	후보	그녀는 올해의 후보 대표입니다.
后代	후대	우리는 후대를 위해 환경을 보호해야 합니다.
后顾之忧	뒷걱정	안정적인 수입 덕분에 그는 뒷걱정이 없습니다.
后勤	후방 지원	후방 지원 부서는 물자 공급을 담당합니다.
呼唤	부르다	어머니는 문 앞에서 아이를 불렀습니다.
呼啸	휘몰아치다	찬바람이 창밖에서 휘몰아쳤습니다.
呼吁	호소하다	전문가들은 모두에게 낭비를 줄이라고 호소했습니다.
忽略	소홀히 하다	이 세부 사항을 소홀히 하지 마세요.
湖泊	호수	이 지역에는 자연 호수가 많습니다.
胡乱	마구	물건을 바닥에 마구 놓지 마세요.
胡须	수염	그의 수염은 이미 하얗게 변했습니다.
花瓣	꽃잎	비가 온 뒤 꽃잎이 온 땅에 떨어졌습니다.
花蕾	꽃봉오리	봄에는 나뭇가지에 꽃봉오리가 납니다.
华丽	화려한	무대 위 의상은 매우 화려했습니다.
华侨	화교	많은 화교가 고향으로 돌아와 투자했습니다.
划分	나누다	선생님은 학생들을 네 조로 나누었습니다.
化肥	화학 비료	농민들은 농작물에 화학 비료를 줍니다.
化石	화석	박물관은 공룡 화석을 전시했습니다.
化验	검사	의사는 그에게 혈액 검사를 받으라고 했습니다.
化妆	화장하다	그녀는 무대에 오르기 전에 화장하고 있었습니다.
画蛇添足	쓸데없는 덧붙임	설명을 더하면 오히려 쓸데없는 덧붙임이 됩니다.
话筒	마이크	사회자는 마이크를 관객에게 건넸습니다.
欢乐	즐거움	축제의 광장은 즐거움으로 가득했습니다.
环节	단계	훈련의 모든 단계가 중요합니다.
还原	원래대로 복원하다	설정을 기본 상태로 원래대로 복원해 주세요.
缓和	완화되다	양측의 관계가 점차 완화되었습니다.
患者	환자	의사는 환자의 상태를 묻고 있습니다.
荒凉	황량한	이 땅은 매우 황량해 보입니다.
荒谬	터무니없는	이 설명은 매우 터무니없게 들립니다.
荒唐	황당한	그의 결정은 너무 황당했습니다.
皇帝	황제	황제는 웅장한 궁전에 살았습니다.
皇后	황후	황후는 축하 행사에 참석했습니다.
黄昏	황혼	황혼 무렵 가로등이 켜졌습니다.
恍然大悟	문득 깨닫다	설명을 듣고 그는 문득 깨달았습니다.
晃	흔들리다	눈앞이 한번 흔들리더니 그는 사라졌습니다.
挥霍	낭비하다	그는 부모님의 돈을 낭비해서는 안 됩니다.
辉煌	찬란한	이 도시는 찬란한 역사를 가지고 있습니다.
回报	보답	열심히 일하면 결국 보답이 있습니다.
回避	회피하다	그는 계속 이 문제를 회피했습니다.
回顾	돌아보다	회의 마지막에 한 해의 업무를 돌아보았습니다.
回收	회수하다	아파트 단지는 폐건전지를 회수하기 시작했습니다.
悔恨	후회	그는 과거의 잘못에 대해 후회했습니다.
毁灭	파괴하다	전쟁은 이 도시를 거의 파괴했습니다.
会晤	회담하다	두 나라 지도자는 내일 회담합니다.
汇报	보고하다	그는 매니저에게 진행 상황을 보고했습니다.
贿赂	뇌물	그 관리는 뇌물 수수로 조사를 받았습니다.
昏迷	혼수상태	환자는 여전히 혼수상태에 있습니다.
荤	고기 요리	이 요리는 고기가 들어 있어 채식주의자에게 맞지 않습니다.
浑身	온몸	달리기를 마친 뒤 그는 온몸이 땀에 젖었습니다.
混合	섞다	두 가지 재료를 고르게 섞어 주세요.
混乱	혼란	현장은 한때 매우 혼란스러웠습니다.
混淆	혼동하다	이 두 개념을 혼동하지 마세요.
混浊	탁한	비가 온 뒤 강물이 탁해졌습니다.
活该	당해도 싸다	그는 충고를 듣지 않았으니 실패해도 당해도 쌉니다.
活力	활력	이 도시는 활력으로 가득합니다.
火箭	로켓	로켓은 예정된 궤도에 성공적으로 진입했습니다.
火焰	불꽃	바람이 불꽃을 더 높이 일으켰습니다.
火药	화약	화약은 고대 전쟁 방식을 바꾸었습니다.
货币	통화	통화 정책은 경제 발전에 영향을 줍니다.
基地	기지	이곳은 한때 중요한 훈련 기지였습니다.
基金	기금	학교는 장학 기금을 설립했습니다.
基因	유전자	과학자들은 이 유전자를 연구하고 있습니다.
机动	기동적인	이 부대는 높은 기동성을 유지합니다.
机构	기관	이 기관은 품질 검사를 담당합니다.
机灵	영리한	이 아이는 매우 영리합니다.
机密	기밀	이 자료들은 기밀에 속합니다.
机械	기계	공장은 새 기계를 도입했습니다.
机遇	기회	젊은이들은 기회를 붙잡아야 합니다.
机智	재치 있는	그의 대답은 매우 재치 있었습니다.
激发	불러일으키다	선생님은 학생들의 흥미를 불러일으켰습니다.
激励	격려하다	이번 성공은 전체 팀을 격려했습니다.
激情	열정	그는 연설할 때 열정으로 가득했습니다.
讥笑	비웃다	다른 사람의 실수를 비웃지 마세요.
饥饿	굶주림	오랜 굶주림은 건강에 영향을 줄 수 있습니다.
即便	설령	설령 비가 와도 우리는 제시간에 출발할 것입니다.
即将	곧	회의가 곧 시작됩니다.
及早	일찍	문제를 발견하면 일찍 처리해야 합니다.
吉祥	길한	빨간색은 중국에서 흔히 길함을 상징합니다.
嫉妒	질투하다	그는 동료의 성공을 질투해서는 안 됩니다.
急功近利	눈앞의 이익을 좇다	연구를 할 때는 눈앞의 이익만 좇아서는 안 됩니다.
急剧	급격한	매출이 급격히 떨어졌습니다.
急切	간절한	그녀는 소식을 간절히 기다렸습니다.
急于求成	성급하게 성과를 바라다	언어를 배울 때 성급하게 성과를 바라서는 안 됩니다.
急躁	조급한	어려움을 만나도 조급해하지 마세요.
极端	극단적인	이런 극단적인 날씨가 점점 흔해지고 있습니다.
极限	한계	이번 훈련은 그의 한계에 도전했습니다.
疾病	질병	좋은 습관은 질병을 예방할 수 있습니다.
籍贯	본적	양식에는 본적을 써야 합니다.
级别	등급	이 경기는 세 등급으로 나뉩니다.
