simplified	FR	example_FR	DE	example_DE
交流	l'échange; échanger	Les échanges culturels entre pays deviennent de plus en plus riches.	der Austausch; sich austauschen	Der kulturelle Austausch zwischen Ländern wird immer vielfältiger.
交通	la circulation; les transports	Les transports ici sont pratiques.	der Verkehr; die Verkehrsmittel	Der Verkehr hier ist bequem.
郊区	la banlieue; les environs	Il habite en banlieue.	der Vorort; das Umland	Er wohnt am Stadtrand.
骄傲	fier; arrogant	Même si l'on réussit, il ne faut pas être trop fier.	stolz; arrogant	Auch wenn man Erfolg hat, darf man nicht zu stolz sein.
饺子	le jiaozi; le ravioli chinois	Les Chinois mangent des jiaozi pendant la fête du Printemps.	die Jiaozi; die chinesischen Teigtaschen	Chinesen essen zum Frühlingsfest Jiaozi.
教授	le professeur d'université	Il est professeur d'université.	der Professor; die Professorin	Er ist Universitätsprofessor.
教育	éduquer; l'éducation	Pour éduquer les enfants, il faut de la patience.	erziehen; die Bildung	Beim Erziehen von Kindern braucht man Geduld.
接受	accepter	J'accepte toutes tes opinions.	annehmen; akzeptieren	Ich akzeptiere alle deine Meinungen.
接着	continuer; ensuite	Il a réfléchi un moment, puis a continué à écrire.	anschließend; weitermachen	Er dachte eine Weile nach und schrieb dann weiter.
结果	le résultat	As-tu regardé le match ? Quel a été le résultat ?	das Ergebnis	Hast du das Spiel gesehen? Wie war das Ergebnis?
节	la fête	Quelle fête est-ce aujourd'hui ?	das Fest; der Feiertag	Welcher Feiertag ist heute?
节约	économiser; préserver	Veuillez économiser l'eau.	sparen; schonen	Bitte sparen Sie Wasser.
解释	expliquer; l'explication	Il a expliqué la raison très clairement.	erklären; die Erklärung	Er hat den Grund sehr klar erklärt.
尽管	bien que; malgré	Bien que je le connaisse depuis longtemps, je ne le comprends pas vraiment.	obwohl; trotz	Obwohl ich ihn schon lange kenne, verstehe ich ihn nicht wirklich.
紧张	nerveux; tendu	Lors de sa première représentation, il était nerveux.	nervös; angespannt	Bei der ersten Aufführung war er nervös.
禁止	interdire	Il est interdit de fumer ici.	verbieten; verboten sein	Hier ist Rauchen verboten.
进行	se dérouler; mener	Le match est encore en cours.	durchführen; im Gang sein	Das Spiel läuft noch.
京剧	l'opéra de Pékin	Elle est une célèbre actrice d'opéra de Pékin.	die Pekingoper	Sie ist eine berühmte Pekingoper-Schauspielerin.
精彩	merveilleux; excellent	La représentation d'aujourd'hui était extraordinaire !	wunderbar; großartig	Die heutige Aufführung war großartig!
经济	l'économie; économique	L'économie s'est développée rapidement ces dernières années.	die Wirtschaft; wirtschaftlich	Die Wirtschaft hat sich in den letzten Jahren schnell entwickelt.
经历	l'expérience; vivre	Elle a écrit un article sur son expérience de voyage.	die Erfahrung; erleben	Sie hat einen Artikel über ihre Reiseerfahrung geschrieben.
经验	l'expérience	Il est un enseignant expérimenté.	die Erfahrung	Er ist ein erfahrener Lehrer.
景色	le paysage	Au coucher du soleil, le paysage au bord de la mer est très beau.	die Landschaft; die Aussicht	Beim Sonnenuntergang ist die Landschaft am Meer sehr schön.
警察	la police; le policier	La police enquête.	die Polizei; der Polizist	Die Polizei führt eine Untersuchung durch.
竞争	la concurrence; rivaliser	Il est très sûr de lui et aime rivaliser avec les autres.	der Wettbewerb; konkurrieren	Er ist sehr selbstbewusst und konkurriert gern mit anderen.
竟然	contre toute attente; en fait	Je n'aurais jamais pensé qu'il était ce genre de personne.	unerwartet; tatsächlich	Ich hätte nie gedacht, dass er so ein Mensch ist.
镜子	le miroir	Désolé, j'ai cassé le miroir.	der Spiegel	Entschuldigung, ich habe den Spiegel zerbrochen.
究竟	au juste; finalement	Pourquoi pleures-tu au juste ?	eigentlich; schließlich	Warum weinst du eigentlich?
举	lever; citer	Lève la main pour répondre à la question, s'il te plaît.	heben; anführen	Bitte hebe die Hand, um die Frage zu beantworten.
举办	organiser; tenir	Cet événement est organisé par nous.	veranstalten; organisieren	Diese Veranstaltung wird von uns organisiert.
举行	avoir lieu; tenir	La réunion aura lieu à deux heures.	stattfinden; abhalten	Die Besprechung findet um zwei Uhr statt.
拒绝	refuser; rejeter	Il a refusé l'invitation de tout le monde.	ablehnen; verweigern	Er hat die Einladung aller abgelehnt.
聚会	la fête; la réunion	Il y a une fête demain. Veux-tu y participer ?	die Feier; das Treffen	Morgen gibt es eine Feier. Möchtest du teilnehmen?
距离	la distance; être éloigné	Ma maison est très loin de l'entreprise.	die Entfernung; entfernt sein	Mein Zuhause ist weit von der Firma entfernt.
开玩笑	plaisanter; faire une blague	Tu plaisantes, n'est-ce pas ?	Spaß machen; scherzen	Machst du Witze?
开心	heureux; content	Ma petite sœur a souri joyeusement.	glücklich; froh	Meine kleine Schwester lächelte glücklich.
看法	l'avis; le point de vue	Il a toujours maintenu son point de vue.	die Ansicht; die Meinung	Er hat immer auf seiner Ansicht bestanden.
烤鸭	le canard laqué	Le canard laqué de Pékin est célèbre.	die Pekingente	Die Pekingente ist berühmt.
考虑	réfléchir; considérer	Je vais réfléchir sérieusement à cette question.	überlegen; in Betracht ziehen	Ich werde diese Frage ernsthaft überlegen.
棵	classificateur pour arbres/plantes	Cet arbre est grand et haut.	das Zähleinheitswort für Pflanzen	Dieser Baum ist hoch und groß.
科学	la science; scientifique	Il a appris beaucoup de connaissances scientifiques à l'école.	die Wissenschaft; wissenschaftlich	Er hat in der Schule viel wissenschaftliches Wissen gelernt.
咳嗽	tousser; la toux	Il est enrhumé et tousse beaucoup.	husten; der Husten	Er ist erkältet und hustet stark.
可怜	pauvre; pitoyable	Cet enfant ne retrouve pas sa maison, le pauvre.	bemitleidenswert; arm	Dieses Kind findet nicht nach Hause, es ist wirklich bemitleidenswert.
可是	mais; cependant	Même si j'ai très envie d'y aller, je n'ai vraiment pas le temps.	aber; jedoch	Obwohl ich wirklich hingehen möchte, habe ich wirklich keine Zeit.
可惜	c'est dommage; quel dommage	C'est vraiment dommage que tu ne puisses pas venir à notre fête.	schade; bedauerlich	Es ist sehr schade, dass du nicht zu unserer Feier kommen kannst.
客厅	le salon	Papa regarde la télévision dans le salon.	das Wohnzimmer	Papa sieht gerade im Wohnzimmer fern.
肯定	certain; sûrement	Je reviendrai certainement avant cinq heures.	bestimmt; sicher	Ich komme bestimmt vor fünf Uhr zurück.
空	vide; vacant	Cette pièce est vide.	leer; frei	Dieses Zimmer ist leer.
空气	l'air	L'air du parc est très frais.	die Luft	Die Luft im Park ist sehr frisch.
恐怕	j'ai peur que; probablement	J'ai peur qu'il pleuve, as-tu pris un parapluie ?	ich fürchte; wahrscheinlich	Ich fürchte, es wird regnen. Hast du einen Regenschirm dabei?
苦	amer; pénible	Cette tasse de café est très amère.	bitter; hart	Diese Tasse Kaffee ist sehr bitter.
矿泉水	l'eau minérale	J'ai acheté deux bouteilles d'eau minérale.	das Mineralwasser	Ich habe zwei Flaschen Mineralwasser gekauft.
困	avoir sommeil; être fatigué	J'ai sommeil et je veux aller dormir.	müde sein; schläfrig sein	Ich bin müde und möchte schlafen gehen.
困难	la difficulté; difficile	Cette tâche est très difficile pour moi.	die Schwierigkeit; schwierig	Diese Aufgabe ist für mich sehr schwierig.
垃圾桶	la poubelle	Il y a beaucoup de poubelles dans la rue.	der Mülleimer	Auf der Straße gibt es viele Mülleimer.
拉	tirer; prendre par la main	La mère tenait la main de sa fille.	ziehen	Mutter hielt die Hand ihrer Tochter.
辣	piquant	Je ne suis pas habitué aux plats trop piquants.	scharf	Ich bin es nicht gewohnt, zu scharfe Gerichte zu essen.
来不及	ne pas avoir le temps	Ce matin, je me suis levé tard et je n'ai pas eu le temps de prendre le petit-déjeuner.	nicht rechtzeitig schaffen	Ich bin heute Morgen spät aufgestanden und hatte keine Zeit mehr zum Frühstücken.
来得及	avoir encore le temps	Le film ne commence qu'à neuf heures et demie, donc il est encore temps.	es noch rechtzeitig schaffen	Der Film beginnt erst um halb zehn, also ist noch Zeit.
来自	venir de	Je viens de la province du Shandong.	kommen aus	Ich komme aus der Provinz Shandong.
懒	paresseux	Mon chat est très paresseux et dort tout l'après-midi.	faul	Meine Katze ist sehr faul und schläft den ganzen Nachmittag.
浪费	gaspiller; le gaspillage	Faire cela ne fait que perdre du temps.	verschwenden; die Verschwendung	Das zu tun ist nur Zeitverschwendung.
浪漫	romantique	Ce livre raconte une histoire d'amour romantique.	romantisch	Dieses Buch erzählt eine romantische Liebesgeschichte.
老虎	le tigre	Chaque fois que nous allons au zoo, ce que mon fils aime le plus regarder, ce sont les tigres.	der Tiger	Jedes Mal, wenn wir in den Zoo gehen, sieht mein Sohn am liebsten die Tiger.
冷静	calme; se calmer	Ne t'énerve pas, calme-toi d'abord.	ruhig; sich beruhigen	Reg dich nicht auf, beruhige dich erst einmal.
理发	se faire couper les cheveux	Quand vas-tu te faire couper les cheveux ?	sich die Haare schneiden lassen	Wann gehst du zum Haare schneiden?
理解	comprendre	Peux-tu comprendre cette question maintenant ?	verstehen	Kannst du diese Frage jetzt verstehen?
理想	l'idéal; le rêve	Quelle est ta profession idéale ?	das Ideal; der Traum	Was ist dein idealer Beruf?
礼拜天	le dimanche	Es-tu libre ce dimanche ?	der Sonntag	Hast du diesen Sonntag Zeit?
礼貌	la politesse; les bonnes manières	Cet enfant est très poli.	die Höflichkeit; die Manieren	Dieses Kind ist sehr höflich.
例如	par exemple	J'aime le sport, par exemple courir et nager.	zum Beispiel	Ich mag Sport, zum Beispiel Laufen und Schwimmen.
力气	la force	Après avoir autant marché, j'étais trop fatigué pour avoir la moindre force.	die Kraft	Nachdem ich so viel gelaufen war, hatte ich überhaupt keine Kraft mehr.
厉害	grave; intense	Il était très malade et a été hospitalisé.	schlimm; stark	Er war sehr krank und wurde ins Krankenhaus eingeliefert.
俩	tous les deux; deux	Nous deux sommes de bons amis.	beide; zwei umgangssprachlich	Wir beide sind gute Freunde.
联系	le contact; le lien	Es-tu encore en contact avec tes camarades d'université ?	der Kontakt; die Verbindung	Hast du noch Kontakt zu deinen Studienfreunden?
连	même; y compris	Comment as-tu pu même m'oublier ?	sogar; selbst	Wie konntest du sogar mich vergessen?
凉快	frais; agréable	En automne, il fait frais.	kühl; angenehm kühl	Das Wetter im Herbst ist angenehm kühl.
零钱	la petite monnaie	Pouvez-vous me changer un peu d'argent en petite monnaie ?	das Kleingeld	Können Sie mir etwas Geld in Kleingeld wechseln?
另外	en plus; autre	Je veux encore te parler d'une autre chose.	außerdem; ein weiterer	Ich möchte noch mit dir über eine andere Sache sprechen.
流利	courant; fluide	Tu parles chinois couramment.	fließend	Du sprichst fließend Chinesisch.
流行	populaire; à la mode	Beaucoup de jeunes aiment la musique pop.	beliebt; in Mode	Viele junge Leute mögen Popmusik.
留	rester; laisser	Laisse ton numéro de téléphone, s'il te plaît.	bleiben; hinterlassen	Bitte hinterlass deine Telefonnummer.
旅行	voyager; le voyage	Nous prévoyons de voyager au Yunnan en été.	reisen; die Reise	Wir planen, im Sommer nach Yunnan zu reisen.
乱	en désordre; désordonné	Le chiot a mis la chambre en désordre.	unordentlich; durcheinander	Der Welpe hat das Zimmer durcheinandergebracht.
律师	l'avocat; l'avocate	Ma mère est avocate.	der Anwalt; die Anwältin	Meine Mutter ist Anwältin.
麻烦	déranger; pénible	Pouvez-vous m'aider à prendre une tasse ?	stören; lästig	Könnten Sie mir bitte helfen, eine Tasse zu holen?
马虎	négligent; bâclé	Un petit moment d'inattention peut entraîner une erreur.	nachlässig; schlampig	Schon ein wenig Nachlässigkeit kann zu Fehlern führen.
满	plein; rempli	Le verre est plein.	voll; gefüllt	Der Becher ist voll.
毛	le poil; le pelage	Le pelage de ce chat est blanc.	das Haar; das Fell	Das Fell dieser Katze ist weiß.
毛巾	la serviette	Il fait chaud, essuie ta sueur avec une serviette.	das Handtuch	Dir ist heiß, wisch dir mit dem Handtuch den Schweiß ab.
美丽	beau; magnifique	C'est vraiment une belle fille.	schön	Sie ist wirklich ein schönes Mädchen.
梦	le rêve	C'est vraiment un rêve intéressant !	der Traum	Das ist wirklich ein interessanter Traum!
迷路	se perdre	Il s'est perdu dans la forêt.	sich verlaufen	Er hat sich im Wald verlaufen.
密码	le mot de passe; le code	J'ai oublié le mot de passe de ma carte de crédit.	das Passwort; der Code	Ich habe das Passwort meiner Kreditkarte vergessen.
免费	gratuit	Dans ce restaurant, les boissons sont gratuites.	kostenlos	In diesem Restaurant sind die Getränke kostenlos.
秒	la seconde	Attends-moi dix secondes, s'il te plaît.	die Sekunde	Bitte warte zehn Sekunden auf mich.
民族	le groupe ethnique; la nationalité	La Chine est un pays multiethnique.	die Nationalität; die Volksgruppe	China ist ein multiethnisches Land.
母亲	la mère	Permettez-moi de vous présenter : voici ma mère.	die Mutter	Ich stelle kurz vor: Das ist meine Mutter.
目的	le but; l'objectif	Je ne comprends pas le but de ce qu'il fait.	der Zweck; das Ziel	Ich verstehe den Zweck seines Handelns nicht.
耐心	la patience; patient	Pour éduquer les enfants, il faut de la patience.	die Geduld; geduldig	Beim Erziehen von Kindern braucht man Geduld.
难道	est-ce que vraiment; se pourrait-il que	Ces plats ne sont-ils vraiment pas bons ?	etwa; kann es sein dass	Sind diese Gerichte etwa nicht lecker?
难受	se sentir mal; pénible	Je suis enrhumé et je me sens très mal.	sich schlecht fühlen; schwer erträglich	Ich bin erkältet und fühle mich sehr schlecht.
内	à l'intérieur; dans	Veuillez terminer la tâche dans les trois jours.	innerhalb; innen	Bitte erledige die Aufgabe innerhalb von drei Tagen.
内容	le contenu	Le contenu de cet article est excellent.	der Inhalt	Der Inhalt dieses Artikels ist sehr spannend.
能力	la capacité; l'aptitude	Sa capacité de travail est forte.	die Fähigkeit	Seine Arbeitsfähigkeit ist stark.
年龄	l'âge	Demander l'âge de quelqu'un au hasard est impoli.	das Alter	Einfach so nach dem Alter anderer zu fragen ist unhöflich.
弄	faire; mettre dans un état	Le chiot a mis la chambre en désordre.	machen; in einen Zustand bringen	Der Welpe hat das Zimmer durcheinandergebracht.
暖和	doux; chaud	Le printemps est arrivé et le temps se réchauffe.	warm	Der Frühling ist da, und das Wetter wird wärmer.
偶尔	de temps en temps; parfois	Je la vois parfois à l'école.	gelegentlich; ab und zu	Ich sehe sie gelegentlich in der Schule.
排队	faire la queue	Les gens qui achètent des billets font la queue.	Schlange stehen	Die Leute, die Fahrkarten kaufen, stehen Schlange.
排列	disposer; ranger	Veuillez ranger ces boîtes de la plus grande à la plus petite.	anordnen; ordnen	Bitte ordnen Sie diese Schachteln der Größe nach von groß nach klein.
判断	le jugement; juger	Ton jugement est entièrement correct.	das Urteil; beurteilen	Deine Beurteilung ist völlig richtig.
陪	accompagner	Quand je suis triste, tu es toujours à mes côtés.	begleiten	Wenn ich traurig bin, bist du immer an meiner Seite.
批评	critiquer; la critique	Les professeurs me critiquent rarement.	kritisieren; die Kritik	Lehrer kritisieren mich nur selten.
皮肤	la peau	Maman fait très attention à protéger sa peau.	die Haut	Mutter achtet sehr darauf, ihre Haut zu schützen.
脾气	le caractère; le tempérament	Il a bon caractère et ne se met jamais en colère.	das Temperament; die Laune	Er hat ein gutes Temperament und wird nie wütend.
篇	le texte; classificateur pour textes	J'ai lu cet article de nombreuses fois.	das Schriftstück; Zähleinheitswort für Texte	Diesen Artikel habe ich viele Male gelesen.
骗	tromper; mentir	Je ne t'ai pas menti, il est vraiment venu.	betrügen; belügen	Ich habe dich nicht angelogen, er ist wirklich gekommen.
乒乓球	le tennis de table	Qui veut participer au match de tennis de table ?	das Tischtennis	Wer möchte am Tischtennisspiel teilnehmen?
平时	d'habitude; en temps normal	Elle fait rarement du sport d'habitude.	normalerweise; gewöhnlich	Sie treibt normalerweise nur selten Sport.
破	cassé; abîmé	Désolé, j'ai cassé le miroir.	kaputt; zerbrochen	Entschuldigung, ich habe den Spiegel zerbrochen.
葡萄	le raisin	Les raisins coûtent cinq yuans le demi-kilo.	die Traube	Die Trauben kosten fünf Yuan pro 500 Gramm.
普遍	général; répandu	Ce problème est très courant.	allgemein; verbreitet	Dieses Problem ist sehr verbreitet.
普通话	le mandarin; le putonghua	Tu parles très bien mandarin.	das Hochchinesisch; Putonghua	Du sprichst sehr gut Hochchinesisch.
其次	ensuite; deuxièmement	La sécurité vient d'abord, la vitesse ensuite.	zweitens; als Nächstes	Zuerst kommt die Sicherheit, dann die Geschwindigkeit.
其中	parmi eux; dont	Il y a vingt élèves dans notre classe, dont cinq viennent de l'étranger.	darunter; davon	In unserer Klasse gibt es zwanzig Schüler, davon fünf aus dem Ausland.
气候	le climat	Peux-tu t'adapter au climat du nord ?	das Klima	Kannst du dich an das Klima im Norden anpassen?
千万	absolument; surtout	Tu ne dois surtout pas oublier la réunion de demain.	unbedingt; auf keinen Fall	Vergiss auf keinen Fall das morgige Meeting.
签证	le visa	Demain, je vais à l'ambassade demander un visa.	das Visum	Ich gehe morgen zur Botschaft, um ein Visum zu beantragen.
敲	frapper; taper	Quelqu'un frappe à la porte, va voir qui c'est.	klopfen; schlagen	Jemand klopft an die Tür, geh nachsehen, wer gekommen ist.
桥	le pont	Il y a un petit pont sur la rivière.	die Brücke	Über dem Fluss gibt es eine kleine Brücke.
巧克力	le chocolat	J'adore le chocolat.	die Schokolade	Ich esse Schokolade am liebsten.
亲戚	le parent; la parente	La plupart de mes proches vivent à Pékin.	der Verwandte; die Verwandte	Die meisten meiner Verwandten wohnen in Peking.
轻	léger; facile	Cette boîte est légère.	leicht	Diese Kiste ist leicht.
轻松	détendu; facile	Ce travail n'est pas facile pour lui.	entspannt; leicht	Diese Arbeit ist für ihn nicht leicht.
情况	la situation	La situation a beaucoup changé.	die Situation; der Umstand	Die Situation hat sich stark verändert.
穷	pauvre	Bien que cette personne âgée soit pauvre, elle vit heureuse.	arm	Obwohl dieser alte Mensch sehr arm ist, lebt er glücklich.
区别	la différence; distinguer	Y a-t-il une différence entre ces deux matériaux ?	der Unterschied; unterscheiden	Gibt es zwischen diesen beiden Materialien einen Unterschied?
取	prendre; retirer	Je vais à la banque retirer de l'argent.	nehmen; abheben	Ich gehe zur Bank, um Geld abzuheben.
全部	tout; entier	La musique est tout pour moi.	alles; ganz	Musik ist alles für mich.
缺点	le défaut; le point faible	On ne doit pas comparer ses propres défauts aux qualités des autres.	der Nachteil; die Schwäche	Man sollte die eigenen Schwächen nicht mit den Stärken anderer vergleichen.
缺少	manquer; le manque	Regarde ce qui manque encore, je vais l'acheter maintenant.	fehlen; der Mangel	Schau, was noch fehlt, ich kaufe es jetzt.
却	mais; pourtant	J'ai beaucoup de choses à dire, mais dès que je deviens nerveux, je n'arrive plus à les dire.	doch; jedoch	Ich habe viel zu sagen, aber sobald ich nervös werde, bringe ich es nicht heraus.
确实	vraiment; effectivement	Cette méthode est effectivement bonne.	tatsächlich; wirklich	Diese Methode ist tatsächlich gut.
然而	cependant; toutefois	J'ai passé beaucoup de temps à lire ce livre, mais je ne l'ai toujours pas fini.	jedoch; dennoch	Ich habe viel Zeit mit diesem Buch verbracht, es aber noch nicht zu Ende gelesen.
热闹	animé; vivant	La rue est très animée.	lebhaft; belebt	Auf der Straße ist es sehr lebhaft.
任何	n'importe quel; tout	Maman me connaît mieux que quiconque.	jeder beliebige; irgendein	Mama kennt mich besser als jeder andere.
任务	la tâche; la mission	Quatre-vingts pour cent de la tâche sont terminés.	die Aufgabe; die Mission	Achtzig Prozent der Aufgabe sind erledigt.
扔	jeter	Jette les déchets dans la poubelle, s'il te plaît.	werfen; wegwerfen	Bitte wirf den Müll in den Mülleimer.
仍然	encore; toujours	Il fait encore beau aujourd'hui.	immer noch; weiterhin	Heute ist immer noch gutes Wetter.
日记	le journal intime	La fille a pris l'habitude d'écrire dans son journal tous les jours.	das Tagebuch	Die Tochter hat sich angewöhnt, jeden Tag Tagebuch zu schreiben.
入口	l'entrée	Je t'attends à l'entrée du bâtiment.	der Eingang	Ich warte am Eingang des Gebäudes auf dich.
散步	se promener; faire une promenade	Pendant la promenade, le chiot me suivait toujours.	spazieren gehen	Beim Spazierengehen folgte mir der kleine Hund die ganze Zeit.
森林	la forêt	Cette forêt est très grande.	der Wald	Dieser Wald ist sehr groß.
沙发	le canapé	Asseyez-vous un moment sur le canapé, je vais vous servir une tasse de thé.	das Sofa	Bitte setzen Sie sich einen Moment aufs Sofa, ich gieße Ihnen eine Tasse Tee ein.
伤心	triste; avoir le cœur brisé	Après avoir entendu cette nouvelle, j'étais très triste.	traurig; verletzt sein	Nachdem ich diese Nachricht gehört hatte, war ich sehr traurig.
商量	discuter; se concerter	Tu arrives juste au bon moment, discutons-en.	besprechen; sich beraten	Du kommst genau richtig, lass uns das besprechen.
稍微	un peu; légèrement	Un petit moment d'inattention peut entraîner une erreur.	ein wenig; etwas	Schon ein wenig Nachlässigkeit kann zu Fehlern führen.
勺子	la cuillère; la louche	Désolé, j'ai fait tomber la cuillère par terre.	der Löffel; die Kelle	Entschuldigung, ich habe den Löffel auf den Boden fallen lassen.
社会	la société	Tout le monde se préoccupe beaucoup de ces problèmes sociaux.	die Gesellschaft	Alle machen sich große Sorgen um diese gesellschaftlichen Probleme.
深	profond; profondement	Il y a une profonde amitié entre nous.	tief	Zwischen uns besteht eine tiefe Freundschaft.
申请	demander; la demande	J'ai demandé une carte de crédit à la banque.	beantragen; der Antrag	Ich habe bei der Bank eine Kreditkarte beantragt.
甚至	même; jusqu'à	Tout le monde s'est tellement amusé qu'il a même oublié l'heure.	sogar; selbst	Alle hatten so viel Spaß, dass sie sogar die Zeit vergaßen.
生活	la vie; vivre	Dans la vie, on rencontre toujours quelques soucis.	das Leben; leben	Im Leben begegnet man immer wieder Sorgen.
生命	la vie	Il considérait l'art comme plus important que sa propre vie.	das Leben	Er hielt Kunst für wichtiger als sein eigenes Leben.
生意	les affaires; le commerce	Ses affaires deviennent de plus en plus grandes.	das Geschäft	Sein Geschäft wird immer größer.
省	la province	Je viens de la province du Shandong.	die Provinz	Ich komme aus der Provinz Shandong.
剩	rester; il reste	Il ne reste que deux pommes.	übrig bleiben	Es sind nur noch zwei Äpfel übrig.
失败	échouer; l'échec	Bien que j'aie connu de nombreux échecs, je n'abandonne jamais.	scheitern; die Niederlage	Obwohl ich viele Misserfolge erlebt habe, gebe ich nie auf.
失望	déçu; la déception	Je suis très déçu par lui.	enttäuscht; die Enttäuschung	Ich bin sehr enttäuscht von ihm.
师傅	le maître; monsieur	Excusez-moi, comment aller au cinéma ?	der Meister; die Anrede für Fachleute	Entschuldigung, wie komme ich zum Kino?
十分	très; extrêmement	Elle fait les choses avec beaucoup de soin.	sehr; äußerst	Sie erledigt Dinge sehr sorgfältig.
实际	réel; pratique	Il a utilisé un exemple pratique pour expliquer ce problème.	tatsächlich; praktisch	Er verwendete ein praktisches Beispiel, um dieses Problem zu erklären.
实在	vraiment; en réalité	Je suis vraiment trop fatigué.	wirklich; tatsächlich	Ich bin wirklich zu müde.
使	faire; rendre	Ses paroles m'ont beaucoup ému.	bewirken; veranlassen	Seine Worte haben mich sehr bewegt.
使用	utiliser	Les Chinois utilisent généralement des baguettes pour manger.	verwenden; benutzen	Chinesen benutzen beim Essen normalerweise Stäbchen.
世纪	le siècle	Nous sommes maintenant au XXIe siècle.	das Jahrhundert	Jetzt ist das 21. Jahrhundert.
是否	si; est-ce que	Je ne suis pas encore sûr qu'il puisse venir.	ob; ob oder nicht	Ob er kommen kann, weiß ich noch nicht genau.
适合	convenir; être adapté	Les vêtements verts ne me vont pas très bien.	geeignet sein; passen	Grüne Kleidung steht mir nicht besonders gut.
适应	s'adapter	Peux-tu t'adapter au climat du nord ?	sich anpassen	Kannst du dich an das Klima im Norden anpassen?
收	recevoir; recueillir	J'ai reçu ta lettre.	erhalten; einsammeln	Ich habe deinen Brief erhalten.
收入	le revenu	Son revenu est plus élevé qu'avant.	das Einkommen	Sein Einkommen ist höher als früher.
收拾	ranger; faire ses bagages	Je suis en train de faire mes bagages.	aufräumen; packen	Ich packe gerade mein Gepäck.
首都	la capitale	La capitale de la Chine est Pékin.	die Hauptstadt	Die Hauptstadt Chinas ist Peking.
首先	d'abord; en premier lieu	Il faut d'abord bien se reposer, ensuite seulement on peut bien travailler.	zuerst; zunächst	Zuerst muss man sich gut ausruhen, dann kann man gut arbeiten.
受不了	ne pas supporter; insupportable	Il fait trop chaud, je ne le supporte pas.	nicht aushalten; unerträglich	Das Wetter ist zu heiß, ich halte es nicht aus.
受到	recevoir; subir	Son roman a été bien accueilli par les lecteurs.	erhalten; erfahren	Sein Roman wurde von den Lesern gut aufgenommen.
售货员	le vendeur; la vendeuse	Je travaille comme vendeur dans un centre commercial.	der Verkäufer; die Verkäuferin	Ich arbeite als Verkäufer in einem Einkaufszentrum.
输	perdre	Nous avons perdu ce match.	verlieren	Dieses Spiel haben wir verloren.
熟悉	connaître bien; familier	Je les connais tous très bien.	vertraut sein; gut kennen	Ich bin mit ihnen allen sehr vertraut.
数量	la quantité; le nombre	Le nombre de personnes inscrites est très grand.	die Menge; die Anzahl	Die Zahl der angemeldeten Personen ist groß.
数字	le chiffre; le nombre	Veuillez écrire les chiffres clairement.	die Zahl; die Ziffer	Bitte schreiben Sie die Zahlen deutlich.
帅	beau; élégant	Il est très bien habillé aujourd'hui.	gutaussehend; elegant	Er ist heute sehr schick gekleidet.
顺便	au passage; tant qu'à faire	Sur le chemin du retour du travail, j'ai acheté quelques légumes au passage.	nebenbei; auf dem Weg	Auf dem Heimweg von der Arbeit habe ich nebenbei etwas Gemüse gekauft.
顺利	se passer sans problème; sans accroc	La compétition s'est déroulée sans problème.	reibungslos; glatt	Der Wettbewerb verlief reibungslos.
顺序	l'ordre	Ne mets pas l'ordre en désordre, s'il te plaît.	die Reihenfolge	Bitte bring die Reihenfolge nicht durcheinander.
说明	expliquer; l'explication	Il a expliqué à tout le monde la raison de cette affaire.	erklären; die Erklärung	Er erklärte allen den Grund dieser Sache.
硕士	le master; le diplômé de master	Je fais un master à l'université.	der Master; der Masterstudent	Ich studiere an der Universität im Master.
死	mourir; mort	Cet arbre est déjà mort.	sterben; tot	Dieser Baum ist schon tot.
塑料袋	le sac plastique	Pour protéger l'environnement, n'utilisez pas de sacs plastiques.	die Plastiktüte	Bitte verwenden Sie zum Schutz der Umwelt keine Plastiktüten.
速度	la vitesse	Il court vraiment vite !	die Geschwindigkeit	Er läuft wirklich schnell!
酸	acide; aigre	Les raisins que tu as achetés sont un peu acides.	sauer	Die Trauben, die du gekauft hast, sind etwas sauer.
随便	comme on veut; librement	Asseyez-vous où vous voulez, s'il vous plaît.	beliebig; wie man möchte	Setzt euch bitte, wo ihr möchtet.
随着	avec; à mesure que	Avec le développement de l'économie, la vie des gens s'est beaucoup améliorée.	mit; im Zuge von	Mit der Entwicklung der Wirtschaft hat sich das Leben der Menschen stark verbessert.
孙子	le petit-fils	Le grand-père aime beaucoup son petit-fils.	der Enkel	Opa mag seinen Enkel sehr.
所有	tout; tous	Tout le monde pensait qu'il avait tort.	alle; sämtlich	Alle dachten, dass er im Unrecht war.
台	classificateur pour appareils; la plateforme	Cet ordinateur vient d'être acheté.	Zähleinheitswort für Geräte; die Plattform	Dieser Computer ist neu gekauft.
抬	soulever; porter	Ils ont porté le pupitre dans la salle de classe.	hochheben; tragen	Sie trugen den Schultisch ins Klassenzimmer.
态度	l'attitude	L'attitude du serveur envers les clients est très bonne.	die Haltung; die Einstellung	Die Haltung des Kellners gegenüber den Kunden ist sehr gut.
弹钢琴	jouer du piano	J'ai commencé à apprendre le piano à quatre ans.	Klavier spielen	Ich habe mit vier Jahren angefangen, Klavier zu lernen.
谈	parler; discuter	Je veux encore te parler d'une autre chose.	sprechen; sich unterhalten	Ich möchte noch mit dir über eine andere Sache sprechen.
汤	la soupe	La soupe n'est pas salée, ajoutons encore un peu de sel.	die Suppe	Die Suppe ist nicht salzig, lass uns noch etwas Salz hineintun.
