simplified	SL	example_SL
尽快	čim prej	Prosim, čim prej odgovori na e-pošto.
紧急	nujen; izreden	To je nujna situacija.
谨慎	previden	Pred vlaganjem bodi previden.
尽力	potruditi se po najboljših močeh	Potrudil se bom, da ti pomagam.
尽量	poskusiti čim bolj	Prosim, poskusi priti čim prej.
近代	novi vek; moderna doba	V moderni Kitajski se je zgodilo veliko sprememb.
进步	napredek; napredovati	Njegova kitajščina hitro napreduje.
进口	uvožen	Ta avto je uvožen.
精力	energija	Otroci imajo veliko energije.
精神	duh; razpoloženje	Danes je zelo dobre volje.
经典	klasika; klasičen	To je klasičen film.
经商	poslovati; ukvarjati se s trgovino	Njegov oče posluje v tujini.
经营	voditi; upravljati	Vodi majhno trgovino.
酒吧	bar	Zvečer so šli v bar.
救	rešiti	Zdravnik mu je rešil življenje.
救护车	reševalno vozilo	Reševalno vozilo je hitro prispelo.
舅舅	stric po materini strani	Moj stric po materini strani živi v Nanjingu.
居然	nepričakovano; celo	Presenetljivo je pozabil svoj rojstni dan.
桔子	mandarina	Na mizi je nekaj mandarin.
俱乐部	klub	Pridružila se je plavalnemu klubu.
具备	imeti; posedovati	Ima izkušnje z upravljanjem.
具体	konkreten	Prosim, povej malo bolj konkretno.
巨大	ogromen	Ta projekt zahteva ogromno naložbo.
据说	pravijo, da	Pravijo, da se je že vrnil v svojo državo.
捐	darovati	Vsi so pripravljeni darovati denar.
决赛	finale	Jutri je nogometni finale.
决心	odločnost; odločiti se	Odločil se je, da se bo dobro naučil kitajščine.
绝对	absolutno	Te zadeve absolutno ne smeš pozabiti.
角色	vloga	V filmu igra pomembno vlogo.
军事	vojska; vojaški	Zelo ga zanima vojaška zgodovina.
均匀	enakomeren	Prosim, barvo nanesi enakomerno.
卡车	tovornjak	Pred vhodom je parkiran tovornjak.
开发	razvijati	Podjetje razvija nov izdelek.
开放	odpreti; biti odprt	Park se vsak dan odpre ob šestih zjutraj.
开幕式	otvoritvena slovesnost	Otvoritvena slovesnost bo jutri zvečer.
开水	prekuhana voda	Prosim, daj mi kozarec prekuhane vode.
砍	seči; odsekati	Delavec seka veje.
看不起	zaničevati; gledati zviška	Ne glej zviška na nikogar.
看望	obiskati	Za konec tedna bom obiskal stare starše.
靠	nasloniti se	Naslonil se je na steno in počival.
颗	klasifikator za majhne okrogle stvari	Na nočnem nebu je zvezda.
可见	videti je; očitno je	Očitno je, da je ta metoda učinkovita.
可靠	zanesljiv	On je zanesljiv prijatelj.
可怕	strašen	Te sanje so bile preveč strašne.
克	gram	Prosim, dodaj dva grama soli.
克服	premagati	Premagati moramo težave.
刻苦	marljiv	Zelo marljivo se uči.
客观	objektiven	Prosim, objektivno analiziraj problem.
课程	predmet; tečaj	Ta predmet je zelo koristen.
空间	prostor	Ta soba ima veliko prostora.
控制	nadzorovati	Voznik je nadzoroval hitrost avtomobila.
空闲	prosti čas	Imaš jutri popoldne prosti čas?
口味	okus; prehranski okus	Njegov okus je razmeroma blag.
夸	pohvaliti	Učitelj ga je pohvalil za velik napredek.
夸张	pretiran	Njegov izraz je nekoliko pretiran.
会计	računovodja	V podjetju dela kot računovodja.
宽	širok	Ta cesta je zelo široka.
昆虫	žuželka	Otroci opazujejo žuželke.
扩大	razširiti	Šola načrtuje razširitev knjižnice.
辣椒	čili; pekoča paprika	V jed so dali veliko čilija.
拦	ustaviti; prestreči	Policija je ustavila avto.
烂	gnil; razkuhan	To jabolko je že zgnilo.
朗读	brati naglas	Prosim, glasno preberi besedilo.
劳动	delo	Delo človeku daje občutek izpolnjenosti.
劳驾	oprostite	Oprostite, kje je postaja podzemne železnice?
姥姥	babica po materini strani	Moja babica po materini strani zelo dobro kuha.
老百姓	navadni ljudje	Navadne ljudi skrbijo življenjski stroški.
老板	šef	Šefa danes ni v pisarni.
老婆	žena	Ženi je kupil rože.
老实	pošten	On je pošten človek.
老鼠	miš; podgana	V kuhinji je miš.
乐观	optimističen	Optimistična je glede prihodnosti.
雷	grom	Grom je bil sinoči zelo glasen.
类型	tip; vrsta	V kateri tip spada ta vrsta filma?
冷淡	hladen; ravnodušen	Njegov odnos je nekoliko hladen.
厘米	centimeter	Ta pisalo je dolgo petnajst centimetrov.
梨	hruška	Kupil sem nekaj hrušk.
离婚	ločiti se	Lani sta se ločila.
理论	teorija	Ta teorija je zelo zapletena.
理由	razlog	Kakšen razlog imaš za zamudo?
利润	dobiček	Dobiček podjetja se je letos povečal.
利息	obresti	Obresti v banki niso visoke.
利益	korist; interes	Varovati moramo interese vseh.
利用	uporabiti	Vikend izkoristi za učenje kitajščine.
力量	moč	Enotnost je moč.
立即	takoj	Prosim, takoj zapusti to mesto.
立刻	takoj	Ko je slišal novico, je takoj odšel.
联合	združiti; skupaj	Dve podjetji sta skupaj razvili izdelek.
连忙	hitro; nemudoma	Ko je zaslišal telefon, ga je hitro dvignil.
连续	neprekinjeno; zapored	Delal je deset ur zapored.
恋爱	romantična zveza; biti zaljubljen	Sta v romantični zvezi.
粮食	žito; hrana	Letošnja pridelava žita se je povečala.
良好	dober	Ima dobre učne navade.
亮	svetel	Luč v sobi je zelo svetla.
了不起	izjemen	Dosegla je izjemne rezultate.
列车	vlak	Vlak bo kmalu odpeljal.
临时	začasen	To je začasna odločitev.
灵活	prilagodljiv	Metode učenja morajo biti prilagodljive.
铃	zvonec	Zazvonil je šolski zvonec.
零件	del; sestavni del	Stroju manjka en del.
零食	prigrizek	Otroci radi jedo prigrizke.
领导	vodja	Vodja je na sestanku.
领域	področje	Dela na področju izobraževanja.
流传	prenašati se; razširiti se	Ta zgodba se prenaša že dolgo.
流泪	jokati; točiti solze	Ko je slišala to novico, je zajokala.
浏览	brskati; preleteti	Najprej bom preletel spletno stran.
龙	zmaj	V kitajski kulturi so zmaji.
漏	puščati	Streha pušča.
录取	sprejeti; vpisati	Sprejeli so ga na univerzo.
录音	snemati	Prosim, začni snemati.
陆地	kopno	Morska želva je prilezla na kopno.
陆续	drug za drugim	Gostje so prihajali drug za drugim.
轮流	izmenjevati se; po vrsti	Izmenjujemo se pri čiščenju učilnice.
论文	diplomsko delo; razprava	Piše diplomsko delo.
逻辑	logika	Njegova logika je zelo jasna.
落后	zaostajati	Ne smemo zaostajati za drugimi.
骂	grajati; zmerjati	Prosim, ne grajaj otroka.
麦克风	mikrofon	Prosim, podaj mu mikrofon.
馒头	parjena žemljica	Za zajtrk sem pojedel eno parjeno žemljico.
满足	izpolniti; zadovoljiti	Ta odgovor ne izpolnjuje zahtev.
毛病	napaka; težava	Ta računalnik ima manjšo težavo.
矛盾	protislovje; spor	Med njima je nekaj sporov.
冒险	tvegati	Sam iti tja je preveč tvegano.
贸易	trgovina	Mednarodna trgovina se hitro razvija.
媒体	mediji	Mediji so poročali o tej zadevi.
煤炭	premog	Ta regija proizvaja premog.
眉毛	obrv	Njene obrvi so goste.
美术	likovna umetnost	Moja mlajša sestra ima rada likovno umetnost.
魅力	čar	To mesto ima veliko čara.
梦想	sanje; sanjati	Njegove sanje so postati zdravnik.
密切	tesen	Ohranjamo tesne stike.
秘密	skrivnost	To je naša skrivnost.
秘书	tajnica	Tajnica je uredila čas sestanka.
蜜蜂	čebela	Med rožami je veliko čebel.
面对	soočiti se	Moramo se pogumno soočiti s težavami.
面积	površina	Površina te sobe ni velika.
面临	soočati se z	Podjetje se sooča z novimi izzivi.
描写	opisati	Avtor je opisal podeželsko življenje.
苗条	vitek	Ima vitko postavo.
敏感	občutljiv	Ta tema je razmeroma občutljiva.
名牌	znana znamka	Kupil je uro znane znamke.
名片	vizitka	Prosim, daj mi vizitko.
名胜古迹	znamenitosti in zgodovinski kraji	Peking ima veliko znamenitosti in zgodovinskih krajev.
明确	jasen; jasno razložiti	Učitelj je jasno razložil zahteve.
明显	očiten	Njegov napredek je očiten.
明星	zvezdnik; zvezdnica	Želi postati filmska zvezdnica.
命令	ukaz	Vojaki morajo ubogati ukaze.
命运	usoda	Verjame, da se usoda lahko spremeni.
摸	dotikati se	Prosim, ne dotikaj se te slike.
摩托车	motorno kolo	V službo se vozi z motornim kolesom.
模仿	posnemati	Otroci radi posnemajo govor odraslih.
模糊	nejasen; zamegljen	Ta fotografija je nekoliko zamegljena.
模特	model	Ona je modni model.
陌生	neznan	To mesto mi je zelo neznano.
某	neki; določen	Neki učitelj me je poklical.
木头	les	Ta miza je narejena iz lesa.
目标	cilj	Moj cilj je opraviti izpit.
目录	kazalo	Prosim, najprej poglej kazalo na začetku knjige.
目前	trenutno	Trenutno je stanje razmeroma stabilno.
哪怕	tudi če	Tudi če je zelo zaposlen, vztraja pri učenju.
难怪	nič čudnega	Ni čudno, da si danes tako vesel.
难免	težko se je izogniti	Prvič se je težko izogniti napakam.
脑袋	glava	Malo ga boli glava.
内部	notranji	To je interno gradivo podjetja.
内科	interna medicina	Danes gre k internistu.
嫩	mehek; nežen	Ta kos mesa je zelo mehek.
能干	sposoben	Ona je zelo sposobna oseba.
能源	energija; vir energije	Sončna energija je vrsta čiste energije.
嗯	mhm	Mhm, razumem.
年代	obdobje; leta	Ta fotografija je bila posneta v osemdesetih letih.
年纪	starost	Ni zelo star, ima pa veliko izkušenj.
念	brati naglas	Prosim, enkrat preberi besedilo naglas.
宁可	raje	Raje bi hodil peš, kot čakal avtobus.
牛仔裤	kavbojke	Nosi kavbojke.
农村	podeželje	Odraščala je na podeželju.
农民	kmet	Kmetje delajo na polju.
农业	kmetijstvo	Kmetijstvo je za to regijo zelo pomembno.
浓	močan; gost	Ta kava je premočna.
女士	gospa	Tista gospa čaka avtobus.
欧洲	Evropa	Naslednji mesec potuje v Evropo.
偶然	naključno	Naključno sem srečal starega sošolca.
拍	fotografirati	Prosim, pomagaj mi posneti fotografijo.
派	poslati	Podjetje ga je poslalo na službeno pot v Šanghaj.
盼望	veseliti se; pričakovati	Veselim se, da te kmalu vidim.
培训	usposabljanje	Novi zaposleni se morajo udeležiti usposabljanja.
培养	razvijati; vzgajati	Šola daje poudarek razvijanju sposobnosti učencev.
赔偿	odškodovati; nadomestiti	Podjetje se je strinjalo z nadomestilom škode.
佩服	občudovati	Zelo občudujem njegov pogum.
配合	sodelovati	Prosim, sodelujte z učiteljevimi ureditvami.
盆	lonec; posoda	Na balkonu je lonček rož.
碰	dotakniti se; trčiti	Pazi, ne dotikaj se vroče vode.
批	serija; partija	Ta serija blaga je prispela danes.
批准	odobriti	Direktor je odobril ta načrt.
披	imeti ogrnjeno	Ogrnila si je plašč.
疲劳	utrujenost	Dolgo delo lahko povzroči utrujenost.
匹	klasifikator za konje	Na travi je konj.
片	rezina; kos	Prosim, daj mi rezino kruha.
片面	enostranski	Tak pogled je preveč enostranski.
飘	plavati; lebdeti	Snežinke lebdijo v zraku.
拼音	pinyin	Prosim, napiši pinyin poleg kitajskih znakov.
频道	kanal	Prosim, preklopi na novičarski kanal.
凭	na podlagi; z	Vstop je mogoč z vstopnico.
平均	povprečen; v povprečju	V povprečju je vsak porabil deset juanov.
平	raven	Ta cesta je zelo ravna.
平安	varen; brez težav	Želim ti varno pot.
平常	navadno; običajno	Običajno redko zamuja.
平等	enakopraven	Vsak bi moral biti obravnavan enakopravno.
平方	kvadraten; kvadratni meter	Ta soba ima dvajset kvadratnih metrov.
平衡	ravnovesje	Delo in življenje potrebujeta ravnovesje.
平静	miren	Površina jezera je zelo mirna.
评价	ocena; oceniti	Učitelj je dal zelo visoko oceno.
破产	bankrotirati	Tisto podjetje je lani bankrotiralo.
破坏	poškodovati; uničiti	Prosim, ne poškoduj javnega premoženja.
迫切	nujen	Nujno potrebujemo več zdravnikov.
期待	veseliti se; pričakovati	Zelo se veselim tega potovanja.
期间	med; obdobje	Med sestankom prosim izklopite telefon.
其余	preostali	Preostala vprašanja bomo obravnavali jutri.
奇迹	čudež	Zdravnik je rekel, da je to čudež.
企业	podjetje	To podjetje se hitro razvija.
启发	navdih; navdihniti	Ta knjiga mi je dala veliko navdiha.
气氛	vzdušje	Vzdušje v učilnici je zelo sproščeno.
汽油	bencin	Avto potrebuje bencin.
签	podpisati	Prosim, tukaj se podpiši.
谦虚	skromen	Je odličen in tudi zelo skromen.
前途	obeti; prihodnost	Ta študijska smer ima dobre obete.
浅	plitev	Ta reka je zelo plitva.
欠	dolgovati	Še vedno mi dolguje dvajset juanov.
枪	pištola; orožje	Policist v roki drži orožje.
墙	stena	Na steni visi slika.
强调	poudariti	Učitelj je poudaril vprašanje varnosti.
强烈	močan	Ima močan občutek odgovornosti.
抢	grabiti; boriti se za	Ne bori se z drugimi za sedež.
悄悄	tiho; skrivaj	Tiho je vstopila v sobo.
瞧	poglej	Poglej, zunaj sneži.
巧妙	pameten; iznajdljiv	Ta metoda je zelo iznajdljiva.
切	rezati	Prosim, nareži sadje na majhne koščke.
亲爱	drag	Dragi prijatelj, hvala ti.
亲切	prijazen	Učitelj govori zelo prijazno.
亲自	osebno	Direktor je osebno sprejel goste.
勤奋	marljiv	Marljivi ljudje lažje uspejo.
清淡	lahek; blag	Rad jem lahke jedi.
轻视	podcenjevati	Ne podcenjuj tega majhnega problema.
轻易	zlahka	Ne bo zlahka odnehal.
青	modrozelen	To oblačilo je modrozelene barve.
青春	mladost	Mladost je dragocena.
青少年	najstnik; mladostnik	Mladostniki potrebujejo dovolj spanja.
情景	prizor	Prizor v filmu je zelo ganljiv.
情绪	čustva	Njegova čustva niso zelo stabilna.
请求	prošnja; prositi	Podal je prošnjo.
庆祝	praznovati	Praznovali smo njegov rojstni dan.
球迷	navijač	Veliko navijačev je prišlo gledat tekmo.
趋势	trend	Ta trend postaja vse bolj očiten.
取消	odpovedati	Zaradi dežja je bila dejavnost odpovedana.
娶	oženiti se	Naslednje leto se namerava poročiti z njo.
去世	umreti; preminiti	Njegov dedek je lani preminil.
圈	krog; obkrožiti	Prosim, obkroži pravilen odgovor.
全面	celovit	Situacijo moramo razumeti celovito.
权利	pravica	Vsak ima pravico do izobraževanja.
权力	oblast; moč	Oblast mora biti pod nadzorom.
劝	svetovati	Prijatelj mi je svetoval, naj prej počivam.
缺乏	primanjkovati	Temu območju primanjkuje čiste vode.
确定	določiti; potrditi	Časa še ne morem določiti.
确认	potrditi	Prosim, potrdi svoj naslov.
群	skupina	Skupina otrok se igra na igrišču.
燃烧	goreti	Les gori.
绕	obiti; iti okoli	Enkrat smo šli okoli jezera.
热爱	zelo ljubiti	Zelo ljubi svoje delo.
热烈	topel; navdušen	Vsi so toplo pozdravili goste.
热心	pripravljen pomagati	Sosedje so vsi zelo pripravljeni pomagati.
人才	talentiran človek	Podjetje potrebuje več talentiranih ljudi.
人口	prebivalstvo	To mesto ima veliko prebivalcev.
人类	človeštvo	Človeštvo mora varovati Zemljo.
人民币	renminbi	Zamenjal sem nekaj renminbijev.
人生	življenje	V življenju je veliko izbir.
人事	kadrovska služba	Dela v kadrovski službi.
人物	lik; oseba	Liki v romanu delujejo zelo resnično.
人员	osebje	Osebje je že v celoti prispelo.
忍不住	ne moči si pomagati	Ko je slišal šalo, si ni mogel pomagati in se je zasmejal.
日常	vsakdanji	To je moje vsakdanje delo.
日程	urnik	Današnji urnik je zelo poln.
日历	koledar	Na steni visi koledar.
日期	datum	Prosim, jasno napiši datum.
日用品	potrebščine za vsakdanjo rabo	Supermarket prodaja veliko vsakdanjih potrebščin.
日子	dnevi; obdobje	Te dni je zelo zaposlen.
如何	kako	Kako naj rešimo ta problem?
如今	danes; dandanes	Danes je prevoz veliko bolj priročen.
软	mehek	Ta postelja je zelo mehka.
软件	programska oprema	Ta programska oprema je enostavna za uporabo.
弱	šibek	Njegovo telo je razmeroma šibko.
洒	politi	Po nesreči je polil vodo.
嗓子	grlo	Malo me boli grlo.
色彩	barve	Ta slika ima bogate barve.
杀	ubiti	V tem filmu ni prizorov umora.
沙漠	puščava	Voda v puščavi je zelo dragocena.
沙滩	plaža	Otroci se igrajo na plaži.
傻	neumen	Ne počni neumnosti.
晒	sušiti na soncu	Oblačila se sušijo na soncu na balkonu.
删除	izbrisati	Prosim, izbriši to e-pošto.
闪电	strela	Ponoči se je pojavila strela.
善良	prijazen; dobrosrčen	Ona je dobrosrčna oseba.
善于	biti dober v	Dober je pri reševanju problemov.
扇子	pahljača	Poleti pogosto uporabljam pahljačo.
伤害	prizadeti; poškodovati	Ne prizadeni čustev drugih.
商品	blago; izdelek	Ta trgovina ima veliko blaga.
商务	poslovni	Zjutraj se bo udeležil poslovnega sestanka.
商业	trgovina; poslovanje	Trgovina je na tem območju dobro razvita.
上当	biti zaveden	Skoraj je bil zaveden.
蛇	kača	V travi je kača.
舍不得	težko se ločiti	Težko mi je zapustiti ta kraj.
射击	streljanje	Trenira streljanje.
摄影	fotografija; fotografiranje	Zelo jo zanima fotografija.
设备	oprema	Oprema v laboratoriju je zelo napredna.
设计	oblikovanje; oblikovati	Ta oblikovanje je zelo ustvarjalno.
设施	objekti; oprema	Šolski športni objekti so dobri.
伸	iztegniti	Prosim, iztegni roko.
深刻	globok	Ta izkušnja je name pustila globok vtis.
身材	postava	Ima zdravo postavo.
身份	identiteta; status	Prosim, pokaži dokazilo o identiteti.
神话	mit	Otroci radi poslušajo mite.
神秘	skrivnosten	To staro mesto je zelo skrivnostno.
升	liter; dvigniti	Cena goriva se je na liter malo zvišala.
声调	ton	Kitajščina ima štiri osnovne tone.
生产	proizvajati	Ta tovarna proizvaja mobilne telefone.
生动	živahen	Učitelj razlaga zelo živahno.
生长	rasti	Ta vrsta rastline raste zelo hitro.
绳子	vrv	Prosim, zaveži škatlo z vrvjo.
省略	izpustiti	Tukaj lahko izpustimo en znak.
胜利	zmaga	Končno so dosegli zmago.
失眠	nespečnost	Zadnje čase pogosto trpi za nespečnostjo.
失去	izgubiti	Ne izgubi samozavesti.
失业	brezposelnost; izgubiti službo	Ko je izgubil službo, se je začel učiti novih veščin.
湿润	vlažen	Zrak po dežju je zelo vlažen.
狮子	lev	V živalskem vrtu sta dva leva.
诗	pesem	Napisal je pesem.
实话	resnica	Prosim, povej resnico.
实践	praksa; preizkusiti v praksi	Teorijo je treba preveriti skozi prakso.
实习	opravljati prakso	Med poletnimi počitnicami bo opravljala prakso v bolnišnici.
实现	uresničiti	Končno je uresničil svoje sanje.
实验	poskus; eksperiment	Učenci izvajajo poskus.
实用	praktičen	To orodje je zelo praktično.
时差	časovna razlika	Še se ni prilagodil časovni razliki.
时代	doba	Živimo v informacijski dobi.
时刻	trenutek	Prosim, zapomni si ta pomemben trenutek.
时髦	moden	To oblačilo je zelo modno.
时期	obdobje	Univerzitetno obdobje je nanj močno vplivalo.
时尚	moda	Zelo jo zanima moda.
石头	kamen	Ob cesti je kamen.
食物	hrana	Prosim, daj hrano v hladilnik.
使劲儿	uporabiti moč	Za odpiranje te steklenice moraš uporabiti moč.
始终	ves čas	Ves čas je verjel, da mu lahko uspe.
事实	dejstvo	Dejstva dokazujejo, da je imel prav.
事物	stvar; pojav	Otroci so zelo radovedni glede novih stvari.
事先	vnaprej	Prosim, vnaprej mi povej čas.
似的	kakor da	Videti je bil tako utrujen, kakor da noče reči niti besede.
士兵	vojak	Vojaki trenirajo.
市场	trg	Ta trg je zelo živahen.
试卷	test; izpitna pola	Učitelj popravlja teste.
收获	pridobitev; izplen	Na tem potovanju sem veliko pridobil.
收据	potrdilo; račun	Po plačilu prosim obdrži potrdilo.
手工	ročno delo	To darilo je narejeno ročno.
手术	operacija	Zdravnik ga bo jutri operiral.
手套	rokavice	Pozimi si za ven nadeni rokavice.
手续	postopki; formalnosti	Za urejanje postopkov potrebuješ osebno izkaznico.
手指	prst	Njegov prst je poškodovan.
首	klasifikator za pesmi	Zapela je pesem.
受伤	biti poškodovan	Na tekmi se je poškodoval.
寿命	življenjska doba	Ta vrsta stroja ima dolgo življenjsko dobo.
书架	knjižna polica	Knjižna polica je polna knjig.
梳子	glavnik	Z glavnikom si češe lase.
舒适	udoben	Ta soba je zelo udobna.
蔬菜	zelenjava	Če ješ več zelenjave, je to dobro za zdravje.
输入	vnesti	Prosim, vnesi geslo v računalnik.
熟练	spreten; vešč	Spretno zna uporabljati računalnik.
属于	pripadati	Ta knjiga pripada knjižnici.
数	prešteti	Prosim, preštej, koliko ljudi je.
鼠标	miška	Moja računalniška miška je pokvarjena.
数据	podatki	Ti podatki so zelo pomembni.
数码	digitalen	Kupil je digitalni fotoaparat.
摔倒	pasti	Padla je na cesti.
甩	otresti	Otrestil je vodo z rok.
双方	obe strani	Obe strani se strinjata s tem načrtom.
税	davek	Pri nakupu je treba plačati davek.
说不定	morda	Morda bo jutri snežilo.
说服	prepričati	Končno je prepričal starše.
丝绸	svila	Ta šal je narejen iz svile.
丝毫	niti malo	Niti malo si ni premislil.
思考	razmišljati	Prosim, resno razmisli o tem problemu.
思想	miselnost; mišljenje	Njegova miselnost je zelo odprta.
撕	strgati	Prosim, ne strgaj tega lista papirja.
私人	zaseben	To je moj zasebni prostor.
似乎	zdi se	Zdi se, da ni preveč vesel.
搜索	iskati	Na spletu sem iskal gradivo.
宿舍	študentski dom	Učenci živijo v šolskem domu.
随身	imeti pri sebi	Prosim, imej potni list pri sebi.
随时	kadar koli	Lahko me pokličeš kadar koli.
随手	mimogrede; sproti	Ko odhajaš, prosim sproti zapri vrata.
碎	razbiti se	Skodelica je padla na tla in se razbila.
损失	izguba; škoda	Ta nesreča je povzročila veliko škodo.
缩短	skrajšati	Nova pot je skrajšala razdaljo.
所	klasifikator za ustanove	Ta šola je zelo znana.
锁	zakleniti	Pred odhodom prosim zakleni vrata.
台阶	stopnica	Starejša oseba je počasi stopala po stopnicah.
太极拳	taiji; tai či	V parku nekateri vadijo taiji.
太太	gospa; žena	Gospa Wang kuha.
谈判	pogajanje; pogajati se	Obe strani se pogajata.
坦率	odkrit	Odkrito je povedal svoje misli.
烫	vroč	Ta skodelica čaja je zelo vroča.
桃	breskev	Na drevesu je zraslo veliko breskev.
淘气	navihan	Ta otrok je malo navihan.
逃	pobegniti	Psiček je pobegnil z dvorišča.
逃避	izogibati se	Ne izogibaj se odgovornosti.
讨价还价	barantati	Pri nakupovanju rad baranta.
套	komplet; garnitura	Kupil je komplet novih oblačil.
特色	posebnost	Ta restavracija ima lokalne posebnosti.
特殊	poseben	Danes je poseben dan.
特征	značilnost	Ta žival ima očitne značilnosti.
疼爱	imeti zelo rad	Stari starši imajo otroka zelo radi.
提倡	zagovarjati; spodbujati	Šola spodbuja varčevanje z vodo.
提纲	osnutek; načrt	Pred pisanjem članka najprej naredi osnutek.
提问	postaviti vprašanje	Učenci lahko kadar koli postavljajo vprašanja.
题目	naloga; tema	Ta naloga ni pretežka.
体会	spoznanje; izkušnja	S potovanjem sem dobil novo spoznanje.
体贴	obziren	Do družine je zelo obziren.
体现	odražati	Ta zadeva odraža timski duh.
体验	izkusiti	Rad bi izkusil lokalno življenje.
天空	nebo	Današnje nebo je zelo modro.
天真	naiven; nedolžen	Otroška zamisel je zelo nedolžna.
调皮	navihan	Tista mačka je zelo navihana.
调整	prilagoditi	Prilagoditi moramo načrt.
挑战	izziv	To je velik izziv.
通常	običajno	Običajno vstane ob sedmih.
统一	poenotiti	Mnenja vseh je treba poenotiti.
痛苦	bolečina; trpljenje	Izguba prijatelja ga je zelo prizadela.
痛快	vesel; odlično	Danes smo se res odlično zabavali.
偷	krasti	Ne kradi stvari drugih ljudi.
投入	predan; vložiti	Dela z veliko predanostjo.
投资	vlagati; naložba	Vložili so v nov projekt.
透明	prozoren	Ta kozarec je prozoren.
突出	izrazit; izstopajoč	Njegove prednosti so zelo izrazite.
土地	zemlja	Ta kos zemlje je zelo rodoviten.
土豆	krompir	Kupil sem nekaj krompirjev.
兔子	zajec	Otrok ima zajca.
吐	bruhati	Počuti se slabo in hoče bruhati.
团	skupina	Pridružili smo se turistični skupini.
推辞	odkloniti	Odklonil je prijateljevo povabilo.
推广	promovirati	Podjetje promovira nov izdelek.
推荐	priporočiti	Učitelj je priporočil to knjigo.
退	stopiti nazaj	Prosim, stopi en korak nazaj.
退步	nazadovati	Če ne vadiš, bo tvoja raven nazadovala.
退休	upokojiti se	Naslednje leto se bo upokojil.
歪	poševen	Ta slika visi postrani.
外公	dedek po materini strani	Moj dedek po materini strani je letos star osemdeset let.
外交	diplomacija; diplomatski; zunanje zadeve	Študira mednarodne odnose in diplomacijo.
完美	popoln; popolnost	Ta načrt ni popoln.
完善	izboljšati; izpopolniti	Izboljšati moramo postopek storitve.
完整	celoten; popoln; nepoškodovan	Prosim, dajte mi celotno poročilo.
玩具	igrača	Otrok je igrače pospravil v škatlo.
万一	za vsak primer; če slučajno	Če bo slučajno deževalo, bomo šli drug dan.
王子	princ; kraljevi sin	Princ v zgodbi je zelo pogumen.
往返	povratno potovanje; iti tja in nazaj	Ta vozovnica omogoča povratno potovanje v istem dnevu.
网络	internet; omrežje	Internetna povezava tukaj je zelo stabilna.
危害	škodovati; ogrožati	Kajenje škoduje zdravju.
威胁	groziti; ogrožati	Onesnaženje ogroža reko.
微笑	nasmeh; nasmehniti se	Nasmehnila se mi je.
唯一	edini; samo eden	To je edini način.
围巾	šal	Pozimi nosi šal.
围绕	osredotočati se na; vrteti se okoli	Razprava se je osredotočila na to vprašanje.
维修	popravilo; vzdrževanje; vzdrževati	Dvigalo je v popravilu.
违反	kršiti	Takšno ravnanje krši pravila.
伟大	velik; veličasten	To je veliko odkritje.
委屈	počutiti se po krivici prizadetega	Počutila se je zelo prizadeto.
尾巴	rep	Kužek je mahal z repom.
位于	nahajati se; biti lociran	Šola se nahaja v središču mesta.
位置	položaj; mesto; sedež	Ta prostor je zelo miren.
未必	ni nujno; morda ne	Kar je rekel, ni nujno res.
未来	prihodnost	Pripraviti se moramo na prihodnost.
胃	želodec	V želodcu mi je malo neprijetno.
胃口	apetit	Danes ima dober apetit.
温暖	topel; toplina	Pomladno sonce je zelo toplo.
温柔	nežen; blag	Govori zelo nežno.
文件	dokument; datoteka	Prosim, pošljite mi dokument.
文具	pisarniške potrebščine; šolske potrebščine	V šolski torbi je veliko šolskih potrebščin.
文明	civiliziran; civilizacija; kultura	Čakanje v vrsti je civilizirano vedenje.
文学	književnost; literatura	Rada ima kitajsko književnost.
文字	pisava; zapis; besedilo	Te pisne znake je težko brati.
闻	zavohati; slišati; novice	Zavohal sem vonj po rožah.
吻	poljub; poljubiti	Mama je otroka poljubila na obraz.
稳定	stabilen; stabilnost	Cene ostajajo stabilne.
问候	pozdraviti; poslati pozdrave	Prosim, pozdravite svojo družino v mojem imenu.
卧室	spalnica	V spalnici je velika postelja.
握手	rokovati se	Ob srečanju sta si segla v roke.
屋子	soba; hiša	V sobi je toplo.
无奈	nemočen; brez druge možnosti	Nemočno je zmajal z glavo.
无数	neštet; nešteto	Na nočnem nebu je nešteto zvezd.
无所谓	ni pomembno; vseeno je	Vseeno je, kaj želiš jesti.
武术	borilne veščine	Od otroštva se uči borilnih veščin.
勿	ne; ne smete	Prosimo, ne kadite tukaj.
物理	fizika; fizičen	Ura fizike je zelo zanimiva.
物质	snov; material; materija	Voda je pomembna snov.
雾	megla	Zjutraj je bila gosta megla.
吸取	črpati; usvojiti; naučiti se iz	Iz te lekcije se moramo nekaj naučiti.
吸收	vsrkati; absorbirati; sprejeti	Rastline vsrkavajo vodo.
戏剧	drama; gledališka igra; gledališče	Rad gleda tradicionalno gledališče.
系	oddelek; povezava; navezati	Študira na oddelku za kitajščino.
系统	sistem	Ta sistem deluje stabilno.
细节	podrobnosti	Prosim, bodite pozorni na te podrobnosti.
瞎	slep; brezglavo; nepremišljeno	Ne ugibaj na slepo, najprej poglej gradivo.
下载	prenesti; naložiti s spleta	Prenesel sem to programsko opremo.
吓	prestrašiti; ustrašiti	Nenaden zvok me je prestrašil.
夏令营	poletni tabor	Otrok se je udeležil poletnega tabora kitajščine.
