simplified	ES-419	example_ES-419
污染	la contaminación	La contaminación ambiental se está volviendo cada vez más grave.
无	no tener; sin	Sus palabras no tienen fundamento.
无聊	aburrido; el aburrimiento	Este programa es un poco aburrido.
无论	no importa; sea cual sea	No importa cómo lo explique, él no entiende.
误会	malentender; el malentendido	Perdón, te malentendí.
吸引	atraer	Esta película es muy atractiva.
西红柿	el tomate	Compré unos tomates.
咸	salado	Hay demasiada sal; el plato está un poco salado.
现金	el efectivo	No llevo mucho efectivo, pero la tienda acepta tarjeta.
羡慕	envidiar; admirar	Lo envidio porque tiene un buen trabajo.
相反	opuesto; al contrario	Lo que dijiste es lo contrario de lo que entiendo.
相同	igual; idéntico	Tu bicicleta es exactamente igual a la mía.
香	aromático; delicioso	¡Los platos que cocinas están muy ricos!
详细	detallado; en detalle	El plan que hizo ella es muy detallado.
响	sonar; hacer ruido	Escucha, ¿sonó el teléfono?
橡皮	la goma de borrar	¿Puedes prestarme la goma de borrar?
消息	la noticia; el mensaje	Esta noticia es realmente emocionante.
小吃	el bocadillo; la comida callejera	Cuando vengas a Pekín, debes probar los bocadillos de Pekín.
小伙子	el joven; el muchacho	Ese joven es muy cordial.
小说	la novela	Estoy leyendo esta novela.
效果	el efecto; el resultado	Esta medicina para el resfriado funciona muy bien.
笑话	el chiste; la broma	Por favor, no te burles de los demás.
心情	el estado de ánimo	Su estado de ánimo mejoró.
辛苦	duro; agotador	El trabajo de papá es muy duro.
信封	el sobre	Él puso la carta escrita dentro del sobre.
信息	la información; el mensaje	Por favor, envíame tu información de contacto.
信心	la confianza	Tenemos mucha confianza en ti; seguro que puedes.
兴奋	emocionado; la emoción	Los niños saltaron emocionados al oír que iban de excursión de primavera.
行	estar bien; valer; funcionar	¿Así está bien?
醒	despertarse; estar despierto	Me desperté a las seis de la mañana.
幸福	la felicidad; feliz	El dinero no puede comprar la felicidad.
性别	el sexo; el género	Por favor, escribe el sexo en la segunda línea del formulario.
性格	el carácter; la personalidad	Mi esposa tiene muy buen carácter y nunca se enfada.
修理	reparar; arreglar	Después de repararlo, mi computadora vuelve a funcionar normalmente.
许多	muchos; mucho	En la calle hay muchos basureros.
学期	el semestre; el periodo escolar	Este semestre tomé muchos cursos, incluidos arte, historia y economía.
呀	la partícula de sorpresa o duda	¡Ah, está nevando!
压力	la presión	Últimamente tiene mucha presión en el trabajo.
牙膏	la pasta de dientes	Se me acabó la pasta de dientes, compremos mañana.
亚洲	Asia; asiático	China es un país asiático.
严格	estricto	El profesor es muy estricto con nosotros.
严重	serio; grave	Su enfermedad es grave.
盐	la sal	Hay demasiada sal; el plato está un poco salado.
研究	la investigación; estudiar	Él está investigando este problema.
演出	la actuación; actuar	Estaba nervioso por la primera actuación.
演员	el actor; la actriz	Él es un actor famoso.
眼镜	los anteojos; las gafas	Él usa estos anteojos negros.
阳光	la luz del sol	La luz del sol entró en la habitación por la ventana.
养成	formar; desarrollar un hábito	Desarrollé este hábito desde pequeño.
样子	el aspecto; la apariencia	Este vestido se ve muy bonito.
邀请	invitar; la invitación	Él rechazó la invitación de todos.
要是	si	Si llegas primero, espérame un momento.
钥匙	la llave	Hoy olvidé traer la llave.
也许	quizá; tal vez	Tal vez no venga.
叶子	la hoja; las hojas	La primavera llegó y a los árboles jóvenes les salieron hojas nuevas.
页	la página	Por favor, abre la página diez.
一切	todo	De todos los asuntos de la casa se encarga mamá.
以	tomar como; según; con	Por favor, toma esta oración como ejemplo.
以为	pensar; creer	Pensé que ya te habías ido.
意见	la opinión; la sugerencia	Acepto todas tus opiniones.
艺术	el arte	Me interesa mucho el arte.
因此	por eso; por lo tanto	Estaba enfermo, por eso no vino a clase.
引起	causar; provocar	Este asunto causó descontento en todos.
印象	la impresión	Me dejó una muy buena impresión.
赢	ganar	¿Quién ganó el partido de fútbol de ayer?
应聘	postularse a un empleo; solicitar un puesto	Ella quiere postularse a este trabajo.
勇敢	valiente	Mi hermano es una persona muy valiente.
永远	para siempre; eternamente	Nunca olvidaré tu ayuda.
优点	la ventaja; el punto fuerte	Uno no debe comparar sus defectos con las ventajas de otros.
优秀	excelente; sobresaliente	Él es un muy buen médico.
幽默	el humor; humorístico	El profesor Li habla con mucho humor.
尤其	especialmente	Le gusta pintar, especialmente la pintura china.
由	por; de; estar a cargo de	Este evento lo organizamos nosotros.
由于	debido a; a causa de	Por la lluvia, el partido se aplazó.
邮局	la oficina de correos	La oficina de correos abre a las nueve de la mañana.
友好	amable; amistoso	Mi arrendador es muy amable y me ayuda a menudo.
友谊	la amistad	Entre nosotros hay una amistad profunda.
有趣	interesante; divertido	¡Este sueño es realmente interesante!
于是	entonces; por eso	Quería preguntarle algo, así que lo llamé.
愉快	agradable; feliz	¡Que tengas un buen fin de semana!
与	con; y	Él tiene mucha confianza en sí mismo y le gusta competir con otros.
羽毛球	el bádminton	¿Juegas bádminton a menudo?
语法	la gramática	Aprendí algunos conocimientos básicos de gramática.
语言	el idioma; la lengua	Aprender un idioma requiere entender algo de su gramática.
预习	preparar la lección con antelación	Por favor, preparen bien el texto antes de clase.
原来	original; de antes; resulta que	Todavía vivo en el mismo lugar de antes.
原谅	perdonar	Por favor, perdona lo que acabo de decir.
原因	la razón; la causa	Él explicó la razón con mucha claridad.
约会	la cita; salir con alguien	Ella empezó a salir con Xiao Li.
阅读	leer; la lectura	Estoy leyendo esta novela.
云	la nube	Hay cada vez más nubes en el cielo.
允许	permitir; autorizar	Por favor, permítanme presentarme.
杂志	la revista	Los artículos de esta revista están muy bien escritos.
咱们	nosotros; nosotras	¿Cuánto son nuestros gastos de vida este mes?
暂时	temporalmente; por ahora	Estacionó el auto temporalmente al lado de la carretera.
脏	sucio	Ensucié la ropa por accidente.
责任	la responsabilidad	Todos somos responsables de este asunto.
增加	aumentar	Este año aumentó el número de estudiantes.
占线	ocupado; la línea ocupada	Llamé varias veces seguidas, pero su línea estaba ocupada.
招聘	reclutar; la contratación	La empresa está contratando nuevos empleados.
照	según; seguir	Sigue este plan.
真正	verdadero; real	Un verdadero amigo te ayudará cuando encuentres dificultades.
整理	ordenar; arreglar	Por favor, ordena los libros de la mesa.
正常	normal	Después de repararlo, mi computadora vuelve a funcionar normalmente.
正好	justo; exactamente	Lo que dijiste es lo contrario de lo que entiendo.
正确	correcto	Tu juicio es completamente correcto.
正式	oficial; formal	Ahora el partido empieza oficialmente.
证明	probar; la prueba	Los hechos prueban que él tiene razón.
之	partícula literaria; de; uno de	Esto es una parte de la cultura china.
支持	apoyar; el apoyo	Los dos debemos apoyarnos mutuamente.
知识	el conocimiento; los conocimientos	He adquirido muchos conocimientos con la lectura.
值得	valer la pena	Esta novela vale la pena leerla.
植物	la planta	Este tipo de planta necesita mucha luz solar.
直接	directo; directamente	Después del trabajo, fue directamente a casa.
职业	la profesión; la ocupación	¿Cuál es tu profesión ideal?
只好	no tener más remedio que	La lluvia era tan fuerte que tuvimos que quedarnos en casa.
只要	siempre que; con tal de que	Siempre que te esfuerces, seguro que podrás hacer bien este asunto.
指	el dedo; señalar	Gracias por señalar mi error.
至少	al menos	Este edificio mide al menos cien metros de alto.
质量	la calidad	La calidad de estos zapatos es muy buena.
重	pesado; serio	Esta caja es muy pesada.
重点	el punto clave; el énfasis	Lo que acaba de decir es el punto clave del problema.
重视	dar importancia a; valorar	Los padres dan mucha importancia a la educación de los hijos.
周围	alrededor; los alrededores	Alrededor de la escuela hay muchas tiendas.
主意	la idea; el plan	¿Tienes alguna buena idea? Dila para que la escuchemos.
祝贺	felicitar; las felicitaciones	Felicidades por tus buenos resultados.
著名	famoso; conocido	Él es un actor famoso.
专门	especialmente; especializado	Vine especialmente a verte.
专业	la especialidad; profesional	En la universidad estudio derecho.
转	girar; cambiar de dirección	Gira a la izquierda en el primer cruce de adelante y verás el hospital.
赚	ganar dinero; obtener beneficio	Ganó bastante dinero haciendo negocios.
准确	exacto; preciso	Tu respuesta es muy exacta.
准时	puntual; a tiempo	La reunión empezó a tiempo.
仔细	cuidadoso; atentamente	Ella hace las cosas con mucho cuidado.
自然	la naturaleza; natural	Necesitamos proteger el medio ambiente natural.
自信	la confianza en sí mismo	Él tiene mucha confianza en sí mismo y le gusta competir con otros.
总结	resumir; el resumen	Por favor, resuma para nosotros su experiencia de éxito.
租	alquilar	Alquilé una casa cerca de la empresa.
最好	el mejor; sería mejor que	Ella es mi mejor amiga.
尊重	respetar; el respeto	Las personas honestas merecen nuestro respeto.
左右	aproximadamente; alrededor de	Parece tener unos cuarenta años.
作家	el escritor; la escritora	¿Has leído la novela de este escritor?
作用	el efecto; la función	Esta medicina para el resfriado no me hace efecto.
作者	el autor; la autora	El autor de este libro es muy famoso.
座	el asiento; clasificador para edificios	Hay un pequeño puente sobre el río.
座位	el asiento	Él cedió su asiento a una persona mayor.
