simplified	ET	example_ET
决心	otsus	Ta tegi kindla otsuse hiina keel hästi selgeks õppida.
绝对	kindlasti	Seda asja ei tohi kindlasti unustada.
角色	roll	Ta mängib filmis tähtsat rolli.
军事	sõjandus	Ta tunneb suurt huvi sõjaajaloo vastu.
均匀	ühtlane	Palun kanna värv ühtlaselt peale.
卡车	veoauto	Sissepääsu juures seisab üks veoauto.
开发	arendama	Ettevõte arendab praegu uut toodet.
开放	avama	Park avatakse igal hommikul kell kuus.
开幕式	avamistseremoonia	Avamistseremoonia toimub homme õhtul.
开水	keedetud vesi	Palun anna mulle klaas keedetud vett.
砍	raiuma	Tööline raiub puuoksi.
看不起	põlgama	Ära põlga kedagi.
看望	külastama	Nädalavahetusel lähen vanavanemaid külastama.
靠	toetuma	Ta toetas end puhates seina vastu.
颗	loendussõna	Öötaevas on üks täht.
可见	sellest on näha	Sellest on näha, et see meetod on väga tõhus.
可靠	usaldusväärne	Ta on usaldusväärne sõber.
可怕	hirmus	See unenägu oli liiga hirmus.
克	gramm	Palun lisa kaks grammi soola.
克服	ületama	Me peame raskused ületama.
刻苦	usin	Ta õpib väga usinalt.
客观	objektiivne	Palun analüüsi probleemi objektiivselt.
课程	kursus	See kursus on väga kasulik.
空间	ruum	Selles toas on palju ruumi.
控制	kontrollima	Juht sai auto kiiruse kontrolli alla.
空闲	vaba aeg	Kas sul on homme pärastlõunal vaba aega?
口味	maitse	Tema maitse on pigem mahe.
夸	kiitma	Õpetaja kiitis teda suure edasimineku eest.
夸张	liialdatud	Tema näoilme on natuke liialdatud.
会计	raamatupidaja	Ta töötab ettevõttes raamatupidajana.
宽	lai	See tee on väga lai.
昆虫	putukas	Lapsed vaatlevad putukaid.
扩大	laiendama	Kool plaanib raamatukogu laiendada.
辣椒	tšillipipar	Toidu sisse pandi palju tšillipipart.
拦	peatama	Politsei peatas ühe auto.
烂	mäda	See õun on juba mäda.
朗读	ette lugema	Palun loe tekst valjusti ette.
劳动	töö	Töö annab inimesele rahuldust.
劳驾	vabandage	Vabandage, kus asub metroojaam?
姥姥	emapoolne vanaema	Minu emapoolne vanaema teeb väga maitsvat süüa.
老百姓	tavainimesed	Tavainimesed hoolivad elukallidusest.
老板	ülem	Ülem ei ole täna kontoris.
老婆	naine	Ta ostis oma naisele lilli.
老实	aus	Ta on aus inimene.
老鼠	hiir	Köögis on üks hiir.
乐观	optimistlik	Ta on tuleviku suhtes väga optimistlik.
雷	müristamine	Eile õhtul müristas väga valjult.
类型	tüüp	Mis tüüpi filmide hulka see film kuulub?
冷淡	jahe	Tema suhtumine on natuke jahe.
厘米	sentimeeter	See pastakas on viisteist sentimeetrit pikk.
梨	pirn	Ostsin mitu pirni.
离婚	lahutama	Nad lahutasid eelmisel aastal.
理论	teooria	See teooria on väga keeruline.
理由	põhjus	Mis põhjus sul hilinemiseks on?
利润	kasum	Ettevõtte kasum kasvas sel aastal.
利息	intress	Pangaintress ei ole kõrge.
利益	huvid	Me peame kaitsma kõigi huve.
利用	kasutama	Ta kasutab nädalavahetust hiina keele õppimiseks.
力量	jõud	Ühtsus on jõud.
立即	kohe	Palun lahku siit kohe.
立刻	otsekohe	Uudist kuuldes asus ta otsekohe teele.
联合	ühiselt	Kaks ettevõtet arendasid toote ühiselt.
连忙	kiiresti	Telefonihelinat kuuldes võttis ta kiiresti vastu.
连续	järjest	Ta töötas kümme tundi järjest.
恋爱	armusuhe	Nad on praegu armusuhtes.
粮食	teravili	Selle aasta teraviljatoodang kasvas.
良好	hea	Tal on head õppimisharjumused.
亮	ere	Toas olev lamp on väga ere.
了不起	suurepärane	Ta saavutas suurepäraseid tulemusi.
列车	rong	Rong hakkab kohe väljuma.
临时	ajutine	See on ajutine otsus.
灵活	paindlik	Õppemeetodid peaksid olema paindlikud.
铃	kell	Tunnikell helises.
零件	detail	Masinal on üks detail puudu.
零食	suupisted	Lastele meeldib suupisteid süüa.
领导	juht	Juht on praegu koosolekul.
领域	valdkond	Ta töötab haridusvaldkonnas.
流传	edasi kanduma	See lugu on kaua edasi kandunud.
流泪	pisaraid valama	Seda uudist kuuldes hakkas ta pisaraid valama.
浏览	sirvima	Sirvin kõigepealt veebilehte.
龙	draakon	Hiina kultuuris on draakoneid.
漏	lekkima	Katus lekib vihma läbi.
录取	vastu võtma	Ta võeti ülikooli vastu.
录音	salvestama	Palun alusta salvestamist.
陆地	maismaa	Merekilpkonn ronis maismaale.
陆续	üksteise järel	Külalised saabusid üksteise järel.
轮流	kordamööda	Me koristame klassiruumi kordamööda.
论文	lõputöö	Ta kirjutab praegu lõputööd.
逻辑	loogika	Tema loogika on väga selge.
落后	maha jääma	Me ei tohi teistest maha jääda.
骂	noomima	Palun ära noomi last.
麦克风	mikrofon	Palun anna mikrofon talle edasi.
馒头	aurutatud kukkel	Hommikusöögiks sõin ühe aurutatud kukli.
满足	rahuldama	See vastus ei rahulda nõudeid.
毛病	rike	Sellel arvutil on väike rike.
矛盾	vastuolu	Nende vahel on mõned vastuolud.
冒险	riskantne	Üksi sinna minna on liiga riskantne.
贸易	kaubandus	Rahvusvaheline kaubandus areneb kiiresti.
媒体	meedia	Meedia kajastas seda juhtumit.
煤炭	kivisüsi	See piirkond toodab kivisütt.
眉毛	kulm	Tal on väga paksud kulmud.
美术	kunst	Minu nooremale õele meeldib kunst.
魅力	võlu	Sellel linnal on palju võlu.
梦想	unistus	Tema unistus on saada arstiks.
密切	tihe	Me hoiame tihedat ühendust.
秘密	saladus	See on meie saladus.
秘书	sekretär	Sekretär pani koosoleku aja paika.
蜜蜂	mesilane	Lillede vahel on palju mesilasi.
面对	silmitsi seisma	Me peame raskustega julgelt silmitsi seisma.
面积	pindala	Selle toa pindala ei ole suur.
面临	silmitsi seisma	Ettevõte seisab silmitsi uute väljakutsetega.
描写	kirjeldama	Autor kirjeldas maaelu.
苗条	sale	Tal on sale kehaehitus.
敏感	tundlik	See teema on üsna tundlik.
名牌	tuntud kaubamärk	Ta ostis tuntud kaubamärgi käekella.
名片	visiitkaart	Palun anna mulle visiitkaart.
名胜古迹	vaatamisväärsused	Pekingis on palju ajaloolisi vaatamisväärsusi.
明确	selge	Õpetaja selgitas nõudeid selgelt.
明显	ilmne	Tema edasiminek on ilmne.
明星	staar	Ta tahab saada filmistaariks.
命令	käsk	Sõdurid peavad käske täitma.
命运	saatus	Ta usub, et saatust saab muuta.
摸	puudutama	Palun ära puuduta seda maali.
摩托车	mootorratas	Ta sõidab tööle mootorrattaga.
模仿	matkima	Lastele meeldib täiskasvanute kõnet matkida.
模糊	hägune	See foto on natuke hägune.
模特	modell	Ta on rõivamodell.
陌生	võõras	See linn on mulle väga võõras.
某	keegi	Keegi õpetaja helistas mulle.
木头	puit	See laud on tehtud puidust.
目标	eesmärk	Minu eesmärk on eksam sooritada.
目录	sisukord	Palun vaata kõigepealt raamatu alguses olevat sisukorda.
目前	praegu	Praegu on olukord üsna stabiilne.
哪怕	isegi kui	Isegi kui ta on väga hõivatud, jätkab ta õppimist.
难怪	pole ime	Pole ime, et sa täna nii rõõmus oled.
难免	raske vältida	Esimesel korral on vigu raske vältida.
脑袋	pea	Tal valutab natuke pea.
内部	sisemine	See on ettevõtte sisemine materjal.
内科	sisehaigused	Ta läheb täna sisehaiguste arsti juurde.
嫩	pehme	See lihatükk on väga pehme.
能干	võimekas	Ta on väga võimekas inimene.
能源	energia	Päikeseenergia on puhas energia.
嗯	mhm	Mhm, ma sain aru.
年代	aastakümnend	See foto on tehtud kaheksakümnendatel.
年纪	vanus	Ta ei ole eriti vana, aga tal on palju kogemusi.
念	ette lugema	Palun loe tekst üks kord ette.
宁可	pigem	Ma pigem kõnnin, kui ootan bussi.
牛仔裤	teksad	Tal on teksad jalas.
农村	maapiirkond	Ta kasvas üles maapiirkonnas.
农民	põllumees	Põllumehed töötavad põllul.
农业	põllumajandus	Põllumajandus on sellele piirkonnale väga tähtis.
浓	kange	See kohv on liiga kange.
女士	daam	See daam ootab bussi.
欧洲	Euroopa	Ta sõidab järgmisel kuul Euroopasse reisile.
偶然	juhuslikult	Kohtasin juhuslikult vana koolikaaslast.
拍	pildistama	Palun tee minust üks foto.
派	saatma	Ettevõte saatis ta Shanghaisse tööreisile.
盼望	ootama	Ootan väga, et sind varsti näha.
培训	koolitus	Uued töötajad peavad koolitusel osalema.
培养	arendama	Kool peab oluliseks õpilaste võimete arendamist.
赔偿	hüvitama	Ettevõte nõustus kahju hüvitama.
佩服	imetlema	Ma imetlen väga tema julgust.
配合	koostööd tegema	Palun tehke õpetaja korraldustega koostööd.
盆	pott	Rõdul on üks lillepott.
碰	puudutama	Ettevaatust, ära puuduta kuuma vett.
批	partii	See kaubapartii jõudis täna kohale.
批准	heaks kiitma	Juht kiitis selle plaani heaks.
披	õlgadele võtma	Tal oli mantel õlgadel.
疲劳	väsimus	Pikaajaline töötamine tekitab väsimust.
匹	loendussõna hobustele	Murul on üks hobune.
片	viil	Palun anna mulle üks viil leiba.
片面	ühekülgne	See seisukoht on liiga ühekülgne.
飘	hõljuma	Lumehelbed hõljuvad õhus.
拼音	pinyin	Palun kirjuta hiina märkide kõrvale pinyin.
频道	kanal	Palun vaheta uudistekanalile.
凭	alusel	Piletiga saab sisse.
平均	keskmiselt	Keskmiselt kulutas iga inimene kümme jüaani.
平	tasane	See tee on väga tasane.
平安	turvaline	Soovin sulle turvalist teekonda.
平常	tavaliselt	Tavaliselt hilineb ta harva.
平等	võrdne	Igaüht tuleks kohelda võrdselt.
平方	ruut	Selle toa pindala on kakskümmend ruutmeetrit.
平衡	tasakaal	Töö ja elu vajavad tasakaalu.
平静	rahulik	Järvepind on väga rahulik.
评价	hinnang	Õpetaja andis väga kõrge hinnangu.
破产	pankrotti minema	See ettevõte läks eelmisel aastal pankrotti.
破坏	kahjustama	Palun ära kahjusta avalikku vara.
迫切	tungiv	Me vajame tungivalt rohkem arste.
期待	ootama	Ootan seda reisi väga.
期间	ajal	Palun lülitage koosoleku ajal telefon välja.
其余	ülejäänud	Ülejäänud küsimusi arutame homme.
奇迹	ime	Arst ütles, et see oli ime.
企业	ettevõte	See ettevõte areneb kiiresti.
启发	inspiratsioon	See raamat andis mulle palju inspiratsiooni.
气氛	õhkkond	Klassiruumi õhkkond on väga pingevaba.
汽油	bensiin	Autole on vaja bensiini tankida.
签	allkirjastama	Palun kirjuta siia oma nimi.
谦虚	tagasihoidlik	Ta on väga tubli ja ka väga tagasihoidlik.
前途	väljavaade	Sellel erialal on head väljavaated.
浅	madal	See jõgi on väga madal.
欠	võlgu olema	Ta on mulle ikka veel kakskümmend jüaani võlgu.
枪	relv	Politseinik hoiab käes relva.
墙	sein	Seinal ripub üks maal.
强调	rõhutama	Õpetaja rõhutas ohutusküsimusi.
强烈	tugev	Tal on tugev vastutustunne.
抢	võitlema	Ära võitle teistega istekoha pärast.
悄悄	vaikselt	Ta astus vaikselt tuppa.
瞧	vaatama	Vaata, väljas sajab lund.
巧妙	nutikas	See meetod on väga nutikas.
切	lõikama	Palun lõika puuvili väikesteks tükkideks.
亲爱	kallis	Kallis sõber, aitäh sulle.
亲切	sõbralik	Õpetaja räägib väga sõbralikult.
亲自	isiklikult	Juht võttis külalised isiklikult vastu.
勤奋	töökas	Töökad inimesed saavutavad edu kergemini.
清淡	mahe	Mulle meeldivad mahedamaitselised toidud.
轻视	alahindama	Ära alahinda seda väikest probleemi.
轻易	kergesti	Ta ei anna kergesti alla.
青	sinakasroheline	See riideese on sinakasroheline.
青春	noorus	Noorus on väärtuslik.
青少年	nooruk	Noorukid vajavad piisavalt und.
情景	stseen	Filmi stseen oli väga liigutav.
情绪	emotsioon	Tema emotsioonid ei ole eriti stabiilsed.
请求	palve	Ta esitas ühe palve.
庆祝	tähistama	Me tähistasime tema sünnipäeva.
球迷	spordifänn	Paljud spordifännid tulid mängu vaatama.
趋势	suundumus	See suundumus muutub üha ilmsemaks.
取消	tühistama	Vihma tõttu üritus tühistati.
娶	naiseks võtma	Ta kavatseb temaga järgmisel aastal abielluda.
去世	surema	Tema vanaisa suri eelmisel aastal.
圈	ring	Palun tõmba õigele vastusele ring ümber.
全面	põhjalik	Me peame olukorda põhjalikult mõistma.
权利	õigus	Igal inimesel on õigus haridusele.
权力	võim	Võimu tuleb kontrollida.
劝	veenma	Sõber veenis mind varem puhkama.
缺乏	puuduma	Selles piirkonnas puudub puhas vesi.
确定	kindlaks määrama	Ma ei saa aega veel kindlaks määrata.
确认	kinnitama	Palun kinnita oma aadress.
群	rühm	Rühm lapsi mängib mänguväljakul.
燃烧	põlema	Puit põleb.
绕	ümber kõndima	Me kõndisime ümber järve ühe ringi.
热爱	armastama	Ta armastab oma tööd.
热烈	soojalt	Kõik tervitasid külalisi soojalt.
热心	abivalmis	Naabrid on kõik väga abivalmid.
人才	talent	Ettevõte vajab rohkem talente.
人口	rahvaarv	Selles linnas on suur rahvaarv.
人类	inimkond	Inimkond peab Maad kaitsma.
人民币	renminbi	Vahetasin natuke renminbit.
人生	elu	Elus on palju valikuid.
人事	personaliosakond	Ta töötab personaliosakonnas.
人物	tegelane	Romaani tegelased mõjuvad väga tõelistena.
人员	töötajad	Töötajad on kõik kohale jõudnud.
忍不住	ei suutma hoiduda	Nalja kuuldes ei suutnud ta naermisest hoiduda.
日常	igapäevane	See on minu igapäevane töö.
日程	ajakava	Tänane ajakava on väga tihe.
日历	kalender	Seinal ripub kalender.
日期	kuupäev	Palun kirjuta kuupäev selgelt.
日用品	igapäevatarbed	Supermarketis müüakse palju igapäevatarbeid.
日子	päevad	Viimastel päevadel on ta väga hõivatud.
如何	kuidas	Kuidas me peaksime selle probleemi lahendama?
如今	tänapäeval	Tänapäeval on transport palju mugavam.
软	pehme	See voodi on väga pehme.
软件	tarkvara	Seda tarkvara on lihtne kasutada.
弱	nõrk	Tema tervis on üsna nõrk.
洒	maha ajama	Ta ajas kogemata vee maha.
嗓子	kurk	Mul on kurk natuke valus.
色彩	värv	Selle maali värvid on väga rikkalikud.
杀	tapma	Selles filmis ei ole tapmisstseene.
沙漠	kõrb	Kõrbes on vesi väga väärtuslik.
沙滩	rand	Lapsed mängivad rannas.
傻	rumal	Ära tee rumalusi.
晒	päikese käes kuivama	Riided kuivavad rõdul päikese käes.
删除	kustutama	Palun kustuta see e-kiri.
闪电	välk	Öösel oli välku näha.
善良	hea	Ta on hea inimene.
善于	osav olema	Ta on probleemide lahendamises osav.
扇子	lehvik	Suvel kasutan sageli lehvikut.
伤害	haavama	Ära haava teiste inimeste tundeid.
商品	kaup	Selles poes on palju kaupa.
商务	äri	Ta läheb homme ärikoosolekule.
商业	kaubandus	Selles piirkonnas on kaubandus hästi arenenud.
上当	petetud saama	Ta oleks peaaegu petta saanud.
蛇	madu	Rohus on madu.
舍不得	raske lahkuda	Mul on siit raske lahkuda.
射击	laskmine	Ta harjutab laskmist.
摄影	fotograafia	Teda huvitab fotograafia väga.
设备	seade	Labori seadmed on väga kaasaegsed.
设计	disain	See disain on väga loominguline.
设施	rajatis	Kooli spordirajatised on head.
伸	sirutama	Palun siruta käsi välja.
深刻	sügav	See kogemus jättis mulle sügava mulje.
身材	kehaehitus	Tal on terve kehaehitus.
身份	isikusamasus	Palun näita isikut tõendavat dokumenti.
神话	müüt	Lastele meeldib müüte kuulata.
神秘	salapärane	See muistne linn on väga salapärane.
升	liiter	Bensiini hind tõusis liitri kohta veidi.
声调	toon	Hiina keeles on neli põhitooni.
生产	tootma	See tehas toodab mobiiltelefone.
生动	elav	Õpetaja selgitab väga elavalt.
生长	kasvama	See taimeliik kasvab väga kiiresti.
绳子	nöör	Palun seo kast nööriga kinni.
省略	välja jätma	Siin võib ühe märgi välja jätta.
胜利	võit	Nad saavutasid lõpuks võidu.
失眠	unetus	Ta kannatab viimasel ajal sageli unetuse all.
失去	kaotama	Ära kaota enesekindlust.
失业	töötuks jääma	Pärast töötuks jäämist hakkas ta uusi oskusi õppima.
湿润	niiske	Pärast vihma on õhk väga niiske.
狮子	lõvi	Loomaaias on kaks lõvi.
诗	luuletus	Ta kirjutas ühe luuletuse.
实话	tõde	Palun räägi tõtt.
实践	praktika	Teooriat tuleb praktikas kontrollida.
实习	praktikal olema	Ta läheb suvevaheajal haiglasse praktikale.
实现	teostama	Ta teostas lõpuks oma unistuse.
实验	katse	Õpilased teevad praegu katset.
实用	praktiline	See tööriist on väga praktiline.
时差	ajavahe	Ta ei ole veel ajavahega harjunud.
时代	ajastu	Me elame infoajastul.
时刻	hetk	Palun jäta see tähtis hetk meelde.
时髦	moodne	See riideese on väga moodne.
时期	periood	Ülikooliperiood mõjutas teda väga palju.
时尚	mood	Teda huvitab mood väga.
石头	kivi	Tee ääres on üks kivi.
食物	toit	Palun pane toit külmkappi.
使劲儿	jõudu kasutama	Selle pudeli avamiseks tuleb jõudu kasutada.
始终	kogu aeg	Ta uskus kogu aeg, et suudab edu saavutada.
事实	fakt	Faktid tõestavad, et tal oli õigus.
事物	asi	Lapsed on uute asjade vastu väga uudishimulikud.
事先	ette	Palun ütle mulle aeg ette.
似的	nagu	Ta oli nii väsinud, nagu ei tahaks sõnagi öelda.
士兵	sõdur	Sõdurid treenivad.
市场	turg	See turg on väga elav.
试卷	eksamitöö	Õpetaja parandab eksamitöid.
收获	saama	See reis andis mulle palju.
收据	kviitung	Pärast maksmist hoia kviitung alles.
手工	käsitsi tehtud	See kingitus on käsitsi tehtud.
手术	operatsioon	Arst teeb talle homme operatsiooni.
手套	kindad	Talvel välja minnes tuleb kindad kätte panna.
手续	asjaajamine	Asjaajamiseks on vaja isikutunnistust.
手指	sõrm	Ta sõrm sai vigastada.
首	loendussõna lauludele	Ta laulis ühe laulu.
受伤	viga saama	Ta sai võistlusel viga.
寿命	kasutusiga	Sellisel masinal on pikk kasutusiga.
书架	raamaturiiul	Raamaturiiul on raamatuid täis.
梳子	kamm	Ta kammib juukseid kammiga.
舒适	mugav	See tuba on väga mugav.
蔬菜	köögivili	Rohkem köögivilju süüa on tervisele hea.
输入	sisestama	Palun sisesta parool arvutisse.
熟练	oskuslikult	Ta oskab arvutit oskuslikult kasutada.
属于	kuuluma	See raamat kuulub raamatukogule.
数	loendama	Palun loenda, mitu inimest siin on.
鼠标	hiir	Minu arvutihiir on katki.
数据	andmed	Need andmed on väga tähtsad.
数码	digitaalne	Ta ostis digikaamera.
摔倒	kukkuma	Ta kukkus tee peal.
甩	raputama	Ta raputas käte pealt vee maha.
双方	mõlemad pooled	Mõlemad pooled nõustusid selle kavaga.
税	maks	Asju ostes tuleb maksu maksta.
说不定	võib-olla	Võib-olla sajab homme lund.
说服	veenma	Ta veenis lõpuks oma vanemaid.
丝绸	siid	See sall on siidist.
丝毫	üldse mitte	Ta ei muutnud üldse oma meelt.
思考	mõtlema	Palun mõtle selle küsimuse üle tõsiselt.
思想	mõtteviis	Tema mõtteviis on väga avatud.
撕	rebima	Palun ära rebi seda paberit.
私人	isiklik	See on minu isiklik ruum.
似乎	näima	Ta näib olevat mitte eriti rõõmus.
搜索	otsima	Otsisin internetist materjale.
宿舍	ühiselamu	Õpilased elavad kooli ühiselamus.
随身	kaasas	Palun hoia pass endaga kaasas.
随时	igal ajal	Sa võid mulle igal ajal helistada.
随手	möödaminnes	Palun pane lahkudes uks enda järel kinni.
碎	katki minema	Tass kukkus põrandale ja läks katki.
损失	kahju	See õnnetus põhjustas suurt kahju.
缩短	lühendama	Uus marsruut lühendas teekonda.
所	loendussõna asutustele	See kool on väga tuntud.
锁	lukustama	Palun lukusta uks enne väljaminekut.
台阶	trepiaste	Eakas inimene astus aeglaselt trepiastmetest üles.
太极拳	taiji	Pargis harjutavad mõned inimesed taijit.
太太	proua	Proua Wang teeb süüa.
谈判	läbirääkimised	Mõlemad pooled peavad läbirääkimisi.
坦率	otsekohene	Ta ütles oma mõtted otsekoheselt välja.
烫	tuline	See tass teed on väga tuline.
桃	virsik	Puu otsas kasvas palju virsikuid.
淘气	ulakas	See laps on natuke ulakas.
逃	põgenema	Kutsikas põgenes hoovist välja.
逃避	vältima	Ära väldi vastutust.
讨价还价	kauplema	Talle meeldib ostes kaubelda.
套	komplekt	Ta ostis uue rõivakomplekti.
特色	eripära	Sellel restoranil on kohalik eripära.
特殊	eriline	Täna on eriline päev.
特征	tunnus	Sellel loomal on selged tunnused.
疼爱	hellitama	Vanavanemad hoiavad last väga.
提倡	soodustama	Kool soodustab vee säästmist.
提纲	kava	Enne artikli kirjutamist tee kava.
提问	küsimusi esitama	Õpilased võivad igal ajal küsimusi esitada.
题目	küsimus	See küsimus ei ole eriti raske.
体会	arusaam	Reisides sain uue arusaama.
体贴	hooliv	Ta on oma pere suhtes väga hooliv.
体现	peegeldama	See asi peegeldab meeskonnavaimu.
体验	kogema	Tahan kogeda kohalikku elu.
天空	taevas	Tänane taevas on väga sinine.
天真	naiivne	Lapse mõte on väga naiivne.
调皮	vallatu	See kass on väga vallatu.
调整	kohandama	Me peame plaani kohandama.
挑战	väljakutse	See on väga suur väljakutse.
通常	tavaliselt	Tavaliselt tõuseb ta kell seitse.
统一	ühtlustama	Kõigi arvamused tuleb ühtlustada.
痛苦	valus	Sõbra kaotus oli talle väga valus.
痛快	mõnus	Meil oli täna tõeliselt mõnus.
偷	varastama	Ära varasta teiste asju.
投入	süvenenult	Ta töötab väga süvenenult.
投资	investeerima	Nad investeerisid uude projekti.
透明	läbipaistev	See klaas on läbipaistev.
突出	silmapaistev	Tema tugevused on väga silmapaistvad.
土地	maa	See maatükk on väga viljakas.
土豆	kartul	Ostsin mitu kartulit.
兔子	küülik	Laps kasvatab üht küülikut.
吐	oksendama	Tal on halb olla ja ta tahab oksendada.
团	rühm	Me liitusime reisirühmaga.
推辞	tagasi lükkama	Ta lükkas sõbra kutse tagasi.
推广	edendama	Ettevõte edendab praegu uut toodet.
推荐	soovitama	Õpetaja soovitas seda raamatut.
退	tagasi astuma	Palun astu üks samm tagasi.
退步	tagasi langema	Kui ei harjuta, langeb tase tagasi.
退休	pensionile jääma	Ta jääb järgmisel aastal pensionile.
歪	viltu	See maal ripub viltu.
外公	emapoolne vanaisa	Minu emapoolne vanaisa on sel aastal kaheksakümneaastane.
外交	diplomaatia	Ta õpib rahvusvahelisi suhteid ja diplomaatiat.
完美	täiuslik	See plaan ei ole täiuslik.
完善	täiustama	Me peame teenindusprotsessi täiustama.
完整	täielik	Palun anna mulle täielik aruanne.
玩具	mänguasi	Laps pani mänguasjad kasti.
万一	juhul kui	Juhul kui vihma sajab, läheme mõnel teisel päeval.
王子	prints	Loo prints on väga julge.
往返	edasi-tagasi sõit	Selle piletiga saab samal päeval edasi-tagasi sõita.
网络	võrk	Siinne internetiühendus on väga stabiilne.
危害	kahjustama	Suitsetamine kahjustab tervist.
威胁	ohustama	Reostus ohustab jõge.
微笑	naeratama	Ta naeratas mulle.
唯一	ainus	See on ainus viis.
围巾	sall	Talvel kannab ta salli.
围绕	keskenduma	Arutelu keskendus sellele küsimusele.
维修	remont	Lift on remondis.
违反	rikkuma	Nii tegemine rikub reegleid.
伟大	suur	See on suur avastus.
委屈	ülekohut tundma	Ta tundis, et talle tehti ülekohut.
尾巴	saba	Kutsikas liputas saba.
位于	asuma	Kool asub kesklinnas.
位置	koht	See koht on väga vaikne.
未必	ei pruugi	Tema öeldu ei pruugi tõsi olla.
未来	tulevik	Me peame tulevikuks valmistuma.
胃	magu	Mul on magu natuke korrast ära.
胃口	isu	Tal on täna hea isu.
温暖	soe	Kevadpäike on väga soe.
温柔	õrn	Ta räägib väga õrnalt.
文件	dokument	Palun saada dokument mulle.
文具	kirjatarbed	Koolikotis on palju kirjatarbeid.
文明	viisakas	Järjekorras seismine on viisakas käitumine.
文学	kirjandus	Talle meeldib hiina kirjandus.
文字	kirjamärgid	Neid kirjamärke on raske lugeda.
闻	nuusutama	Tundsin lillelõhna.
吻	suudlema	Ema suudles last põsele.
稳定	stabiilne	Hinnad püsivad stabiilsed.
问候	tervitama	Palun tervita minu poolt oma peret.
卧室	magamistuba	Magamistoas on suur voodi.
握手	kätt suruma	Kohtudes surusid nad kätt.
屋子	tuba	Toas on soe.
无奈	abitult	Ta raputas abitult pead.
无数	loendamatu	Öötaevas on loendamatult tähti.
无所谓	vahet pole	Vahet pole, mida sa süüa tahad.
武术	võitluskunst	Ta on lapsepõlvest peale võitluskunste õppinud.
勿	keelatud	Siin suitsetamine keelatud.
物理	füüsika	Füüsikatund on väga huvitav.
物质	aine	Vesi on tähtis aine.
雾	udu	Hommikul oli paks udu.
吸取	õppust võtma	Me peame sellest õppetunnist õppust võtma.
吸收	imama	Taimed imavad vett.
戏剧	teater	Talle meeldib vaadata traditsioonilist teatrit.
系	osakond	Ta õpib hiina keele osakonnas.
系统	süsteem	See süsteem töötab stabiilselt.
细节	detail	Palun pööra nendele detailidele tähelepanu.
瞎	pimesi	Ära arva pimesi, vaata kõigepealt materjale.
下载	alla laadima	Laadisin selle tarkvara alla.
吓	ehmatama	Äkiline heli ehmatas mind.
夏令营	suvelaager	Laps osales hiina keele suvelaagris.
鲜艳	erk	Selle seeliku värv on väga erk.
显得	näitama	Selles riietuses näeb ta väga noor välja.
显然	ilmselt	Ilmselt teab ta juba tulemust.
显示	näitama	Ekraan näitab valet aega.
县	maakond	Selles maakonnas on palju teeistandusi.
现代	tänapäevane	Tänapäevane elu ei saa internetita hakkama.
现实	reaalsus	Me peame reaalsusele näkku vaatama.
现象	nähtus	See nähtus on väga tavaline.
限制	piirama	Siin on sõidukite sissesõit piiratud.
相处	läbi saama	Nad saavad väga hästi läbi.
相当	üsna	See raamat on üsna huvitav.
相对	suhteliselt	Siinsed hinnad on suhteliselt odavad.
相关	asjakohane	Palun esita asjakohased materjalid.
相似	sarnane	Nende kahe märgi tähendus on väga sarnane.
香肠	vorst	Hommikusöögiks on munad ja vorst.
享受	nautima	Nad naudivad praegu puhkust.
想念	igatsema	Ma igatsen oma peret väga.
想象	ette kujutama	Ma ei suuda sellist elu ette kujutada.
象棋	Hiina male	Vanaisale meeldib Hiina malet mängida.
象征	sümboliseerima	Valge sümboliseerib sageli puhtust.
项	loendussõna ülesannetele	See ülesanne on väga tähtis.
项链	kaelakee	Tal on hõbedane kaelakee kaelas.
项目	projekt	See projekt nõuab kolm kuud.
消费	tarbimine	Pühade ajal tarbimine kasvas.
消化	seedimine	Pärast sööki jalutamine aitab seedimist.
消极	negatiivne	Ära vaata probleeme negatiivse suhtumisega.
消失	kaduma	Päike kadus aeglaselt mäe taha.
销售	müüma	See ettevõte müüb elektroonikatooteid.
小麦	nisu	Põhjas kasvatatakse palju nisu.
小气	ihne	Ära ole nii ihne.
孝顺	vanemaid austav	Ta on oma vanemate vastu väga hooliv.
效率	tõhusus	Nii tehes saab tõhusust parandada.
歇	puhkama	Puhkame kõigepealt natuke.
斜	kaldus	See tee on natuke kaldus.
写作	kirjutamine	Kirjutamine nõuab pikaajalist harjutamist.
心理	psühholoogiline seisund	Enne eksamit tuleb psühholoogiline seisund korda seada.
心脏	süda	Südame tervis on väga tähtis.
欣赏	imetlema	Me imetlesime kaunist maastikku.
信号	signaal	Siin on mobiilisignaal halb.
信任	usaldus	Sõprade vahel on vaja usaldust.
形成	kujunema	Head harjumused kujunevad aegamööda.
形容	kirjeldama	Ma ei tea, kuidas seda tunnet kirjeldada.
形势	olukord	Praegune olukord on üsna keeruline.
形式	vorm	Koosolek võib toimuda veebis.
形象	kuvand	Tema avalik kuvand on väga hea.
形状	kuju	Selle karbi kuju on väga eriline.
行动	tegutsema	Me peame kohe tegutsema.
行人	jalakäija	Teed ületades tuleb jalakäijaid tähele panna.
行为	käitumine	Selline käitumine on ebaviisakas.
幸亏	õnneks	Õnneks tuletasid sa mulle meelde.
幸运	õnnelik	Tal vedas, et ta töö leidis.
