simplified	MY	example_MY	KM	example_KM	LO	example_LO
为什么	ဘာကြောင့်	သင် ဘာကြောင့် မသွားသနည်း။	ហេតុអ្វី	ហេតុអ្វីអ្នកមិនទៅ?	ເປັນຫຍັງ	ເປັນຫຍັງເຈົ້າບໍ່ໄປ?
问	မေးသည်	ကျွန်ုပ် ဆရာကို မေးသည်။	សួរ	ខ្ញុំសួរគ្រូ។	ຖາມ	ຂ້ອຍຖາມຄູ.
问题	မေးခွန်း; ပြဿနာ	ကျွန်ုပ်တွင် မေးခွန်းတစ်ခု ရှိသည်။	សំណួរ; បញ្ហា	ខ្ញុំមានសំណួរមួយ។	ຄຳຖາມ; ບັນຫາ	ຂ້ອຍມີຄຳຖາມໜຶ່ງ.
西瓜	ဖရဲသီး	ကျွန်ုပ် ဖရဲသီး စားသည်။	ឪឡឹក	ខ្ញុំញ៉ាំឪឡឹក។	ໝາກໂມ	ຂ້ອຍກິນໝາກໂມ.
希望	မျှော်လင့်သည်; မျှော်လင့်ချက်	သင် လာမည်ဟု ကျွန်ုပ် မျှော်လင့်သည်။	សង្ឃឹម; ក្តីសង្ឃឹម	ខ្ញុំសង្ឃឹមថាអ្នកនឹងមក។	ຫວັງ; ຄວາມຫວັງ	ຂ້ອຍຫວັງວ່າເຈົ້າຈະມາ.
洗	ဆေးသည်; လျှော်သည်	ကျွန်ုပ် အဝတ် လျှော်သည်။	លាង; បោក	ខ្ញុំបោកសម្លៀកបំពាក់។	ລ້າງ; ຊັກ	ຂ້ອຍຊັກເຄື່ອງນຸ່ງ.
向	ဆီသို့	သူ ကျွန်ုပ်ဆီသို့ လမ်းလျှောက်သည်။	ទៅកាន់; ឆ្ពោះទៅ	គាត់ដើរមករកខ្ញុំ។	ໄປຫາ; ມຸ່ງໄປ	ລາວຍ່າງມາຫາຂ້ອຍ.
小时	နာရီ	ကျွန်ုပ် နှစ်နာရီ စာလေ့လာသည်။	ម៉ោង	ខ្ញុំរៀនពីរម៉ោង។	ຊົ່ວໂມງ	ຂ້ອຍຮຽນສອງຊົ່ວໂມງ.
笑	ပြုံးသည်; ရယ်သည်	သူမ ပြုံးသည်။	ញញឹម; សើច	នាងញញឹម។	ຍິ້ມ; ຫົວ	ນາງຍິ້ມ.
新	အသစ်	ဤသည် စာအုပ်အသစ် ဖြစ်သည်။	ថ្មី	នេះជាសៀវភៅថ្មី។	ໃໝ່	ນີ້ແມ່ນປຶ້ມໃໝ່.
姓	မျိုးရိုးအမည်; မျိုးရိုးအမည်မှာ ... ဖြစ်သည်	သင့်မျိုးရိုးအမည် ဘာလဲ။	នាមត្រកូល; មាននាមត្រកូល	តើនាមត្រកូលរបស់អ្នកជាអ្វី?	ນາມສະກຸນ; ມີນາມສະກຸນ	ນາມສະກຸນຂອງເຈົ້າແມ່ນຫຍັງ?
休息	အနားယူသည်	ကျွန်ုပ် အနားယူချင်သည်။	សម្រាក	ខ្ញុំចង់សម្រាក។	ພັກຜ່ອນ	ຂ້ອຍຢາກພັກຜ່ອນ.
雪	နှင်း	ယနေ့ နှင်းကျနေသည်။	ព្រិល	ថ្ងៃនេះមានព្រិលធ្លាក់។	ຫິມະ	ມື້ນີ້ຫິມະຕົກ.
颜色	အရောင်	ကျွန်ုပ် ဤအရောင်ကို ကြိုက်သည်။	ពណ៌	ខ្ញុំចូលចិត្តពណ៌នេះ។	ສີ	ຂ້ອຍມັກສີນີ້.
眼睛	မျက်လုံး	သူမ၏ မျက်လုံးများသည် ကြီးသည်။	ភ្នែក	ភ្នែករបស់នាងធំ។	ຕາ	ຕາຂອງນາງໃຫຍ່.
羊肉	သိုးသား; သိုးငယ်သား	ကျွန်ုပ် သိုးသား မစားပါ။	សាច់ចៀម	ខ្ញុំមិនញ៉ាំសាច់ចៀមទេ។	ຊີ້ນແກະ	ຂ້ອຍບໍ່ກິນຊີ້ນແກະ.
药	ဆေး	သူ ဆေး သောက်သည်။	ថ្នាំ	គាត់លេបថ្នាំ។	ຢາ	ລາວກິນຢາ.
要	လိုချင်သည်; လိုသည်	ကျွန်ုပ် ရေ သောက်ချင်သည်။	ចង់; ត្រូវការ	ខ្ញុំចង់ផឹកទឹក។	ຢາກ; ຕ້ອງການ	ຂ້ອຍຢາກດື່ມນ້ຳ.
也	လည်း	ကျွန်ုပ်လည်း သွားမည်။	ក៏; ផងដែរ	ខ្ញុំក៏ទៅដែរ។	ກໍ; ດ້ວຍ	ຂ້ອຍກໍໄປດ້ວຍ.
已经	ပြီးပြီ; ရှိပြီးသား	ကျွန်ုပ် ရောက်ပြီးပြီ။	រួចហើយ	ខ្ញុំមកដល់រួចហើយ។	ແລ້ວ	ຂ້ອຍຮອດແລ້ວ.
一起	အတူတူ	ကျွန်ုပ်တို့ အတူတူ သွားကြသည်။	ជាមួយគ្នា	យើងទៅជាមួយគ្នា។	ດ້ວຍກັນ	ພວກເຮົາໄປດ້ວຍກັນ.
意思	အဓိပ္ပာယ်; စိတ်ကူး	ဤစာလုံး၏ အဓိပ္ပာယ် ဘာလဲ။	ន័យ; គំនិត	តើតួអក្សរនេះមានន័យអ្វី?	ຄວາມໝາຍ; ຄວາມຄິດ	ຕົວອັກສອນນີ້ໝາຍຄວາມວ່າຫຍັງ?
阴	မိုးအုံ့သည်; တိမ်ထူသည်	ယနေ့ မိုးအုံ့သည်။	មេឃស្រអាប់; មានពពក	ថ្ងៃនេះមេឃស្រអាប់។	ມືດຄຶ້ມ; ມີເມກ	ມື້ນີ້ມີເມກ.
因为	အကြောင်းမှာ; ကြောင့်	မိုးရွာနေသောကြောင့် ကျွန်ုပ် မသွားပါ။	ព្រោះ; ដោយសារ	ព្រោះមានភ្លៀង ខ្ញុំមិនទៅទេ។	ເພາະວ່າ	ເພາະຝົນຕົກ ຂ້ອຍບໍ່ໄປ.
游泳	ရေကူးသည်	ကျွန်ုပ် ရေကူးနိုင်သည်။	ហែលទឹក	ខ្ញុំចេះហែលទឹក។	ລອຍນ້ຳ	ຂ້ອຍລອຍນ້ຳໄດ້.
右边	ညာဘက်	ဆိုင်သည် ညာဘက်တွင် ရှိသည်။	ខាងស្តាំ	ហាងនៅខាងស្តាំ។	ຂ້າງຂວາ	ຮ້ານຢູ່ຂ້າງຂວາ.
鱼	ငါး	ကျွန်ုပ် ငါး စားသည်။	ត្រី	ខ្ញុំញ៉ាំត្រី។	ປາ	ຂ້ອຍກິນປາ.
元	ယွမ်; ငွေကြေးယူနစ်	ဤခွက်သည် ယွမ်ဆယ် ကျသည်။	យ័ន; ឯកតាប្រាក់	ពែងនេះតម្លៃដប់យ័ន។	ຢວນ; ຫົວໜ່ວຍເງິນ	ຈອກນີ້ລາຄາສິບຢວນ.
远	ဝေးသည်	လေဆိပ်သည် ဝေးသည်။	ឆ្ងាយ	អាកាសយានដ្ឋានឆ្ងាយ។	ໄກ	ສະໜາມບິນຢູ່ໄກ.
运动	အားကစား; လေ့ကျင့်ခန်း	ကျွန်ုပ် လေ့ကျင့်ခန်းလုပ်ရတာ ကြိုက်သည်။	កីឡា; លំហាត់ប្រាណ	ខ្ញុំចូលចិត្តហាត់ប្រាណ។	ກິລາ; ອອກກຳລັງກາຍ	ຂ້ອຍມັກອອກກຳລັງກາຍ.
再	ထပ်; ပြန်	ကျွန်ုပ် မနက်ဖြန် ထပ်လာမည်။	ម្តងទៀត; បន្ទាប់មក	ខ្ញុំនឹងមកម្តងទៀតស្អែក។	ອີກ; ອີກຄັ້ງ	ຂ້ອຍຈະມາອີກມື້ອື່ນ.
早上	မနက်	မနက်တွင် ကျွန်ုပ် လက်ဖက်ရည် သောက်သည်။	ពេលព្រឹក	ពេលព្រឹកខ្ញុំផឹកតែ។	ຕອນເຊົ້າ	ຕອນເຊົ້າຂ້ອຍດື່ມຊາ.
张	ပြားသော ပစ္စည်းများအတွက် ရေတွက်စကား	ကျွန်ုပ် လက်မှတ်တစ်စောင် ဝယ်ခဲ့သည်။	លក្ខណនាមសម្រាប់វត្ថុសំប៉ែត	ខ្ញុំបានទិញសំបុត្រមួយសន្លឹក។	ລັກສະນະນາມສຳລັບຂອງແປ	ຂ້ອຍຊື້ປີ້ໜຶ່ງໃບ.
丈夫	ခင်ပွန်း	သူမ၏ ခင်ပွန်းသည် ဆရာဝန် ဖြစ်သည်။	ប្តី	ប្តីរបស់នាងជាគ្រូពេទ្យ។	ຜົວ	ຜົວຂອງນາງເປັນທ່ານໝໍ.
找	ရှာသည်	ကျွန်ုပ် သူငယ်ချင်းတစ်ယောက်ကို ရှာနေသည်။	រក; ស្វែងរក	ខ្ញុំកំពុងរកមិត្តភក្តិម្នាក់។	ຊອກຫາ	ຂ້ອຍກຳລັງຊອກຫາເພື່ອນ.
着	ဆက်လက်အခြေအနေအမှုန်	တံခါးသည် ဖွင့်ထားသည်။	ភាគល្អិតស្ថានភាពបន្ត	ទ្វារបើកចំហ។	ຄຳຊ່ວຍບອກສະພາບຕໍ່ເນື່ອງ	ປະຕູເປີດຢູ່.
真	တကယ်; အစစ်	ဤစာအုပ်သည် တကယ်ကောင်းသည်။	ពិតជា; ពិតប្រាកដ	សៀវភៅនេះពិតជាល្អ។	ແທ້; ຈິງໆ	ປຶ້ມນີ້ດີແທ້ໆ.
正在	ယခုလုပ်နေသည်	သူ တီဗီ ကြည့်နေသည်။	កំពុង	គាត់កំពុងមើលទូរទស្សន៍។	ກຳລັງ	ລາວກຳລັງເບິ່ງໂທລະພາບ.
知道	သိသည်	ကျွန်ုပ် မသိပါ။	ដឹង	ខ្ញុំមិនដឹងទេ។	ຮູ້	ຂ້ອຍບໍ່ຮູ້.
准备	ပြင်ဆင်သည်; ပြင်ဆင်မှု	ကျွန်ုပ် စာမေးပွဲအတွက် ပြင်ဆင်နေသည်။	រៀបចំ; ការរៀបចំ	ខ្ញុំកំពុងរៀបចំសម្រាប់ការប្រឡង។	ກຽມ; ການກຽມ	ຂ້ອຍກຳລັງກຽມສອບເສັງ.
自行车	စက်ဘီး	ကျွန်ုပ်၏ စက်ဘီးသည် အသစ် ဖြစ်သည်။	កង់	កង់របស់ខ្ញុំថ្មី។	ລົດຖີບ	ລົດຖີບຂອງຂ້ອຍໃໝ່.
走	လမ်းလျှောက်သည်; သွားသည်	ကျွန်ုပ် အိမ်သို့ လမ်းလျှောက်သွားသည်။	ដើរ; ទៅ	ខ្ញុំដើរទៅផ្ទះ។	ຍ່າງ; ໄປ	ຂ້ອຍຍ່າງກັບບ້ານ.
最	အများဆုံး; အ...ဆုံး	သူ အရပ်အရှည်ဆုံး ဖြစ်သည်။	បំផុត; ជាងគេ	គាត់ខ្ពស់ជាងគេ។	ທີ່ສຸດ	ລາວສູງທີ່ສຸດ.
左边	ဘယ်ဘက်	ကျောင်းသည် ဘယ်ဘက်တွင် ရှိသည်။	ខាងឆ្វេង	សាលារៀននៅខាងឆ្វេង។	ຂ້າງຊ້າຍ	ໂຮງຮຽນຢູ່ຂ້າງຊ້າຍ.
