source_headword	KM	example_KM
victory	ជ័យជម្នះ	ក្រុមនេះបានប្រារព្ធជ័យជម្នះរបស់ពួកគេ។
violence	អំពើហិង្សា	ទីក្រុងនេះបានរងគ្រោះដោយអំពើហិង្សានយោបាយ។
virtual	និម្មិត	ការប្រជុំគឺជានិម្មិត។
vision	ចក្ខុវិស័យ	ចក្ខុវិស័យរបស់នាងបានរៀបចំក្រុមហ៊ុននេះ។
visual	ទាក់ទងនឹងការមើលឃើញ	របាយការណ៍នេះរួមបញ្ចូលឧទាហរណ៍ទាក់ទងនឹងការមើលឃើញ។
vital	សំខាន់	ទឹកគឺចាំបាច់សម្រាប់ជីវិត។
vitamin	វីតាមីន	ក្រូចមានផ្ទុកវីតាមីនសេ។
volume	កម្រិតសំឡេង	បន្ថយកម្រិតសំឡេង។
wage	ប្រាក់ឈ្នួល	កម្មករទាមទារប្រាក់ឈ្នួលខ្ពស់ជាងនេះ។
weakness	ចំណុចខ្សោយ	ផែនការនេះមានចំណុចខ្សោយមួយ។
wealth	ទ្រព្យសម្បត្តិ	ទ្រព្យសម្បត្តិរបស់គាត់បានមកពីពាណិជ្ជកម្ម។
wealthy	អ្នកមាន	គ្រួសារអ្នកមានបានផ្តល់មូលនិធិដល់សារមន្ទីរ។
whereas	ចំណែកឯ	នាងចូលចិត្តតែ ចំណែកឯខ្ញុំចូលចិត្តកាហ្វេ។
wherever	កន្លែងណាដែល	អង្គុយកន្លែងណាដែលអ្នកមានអារម្មណ៍ស្រួល។
whisper	ខ្សឹប	សូមខ្សឹបក្នុងអំឡុងពេលពិធី។
whom	អ្នកណា	តើអ្នកបានអញ្ជើញអ្នកណា?
widely	យ៉ាងទូលំទូលាយ	សៀវភៅនេះត្រូវបានអានយ៉ាងទូលំទូលាយ។
wildlife	សត្វព្រៃ	ឧទ្យាននេះការពារសត្វព្រៃក្នុងតំបន់។
willing	ស្ម័គ្រចិត្ត	នាងស្ម័គ្រចិត្តជួយ។
wind2	រុំ	រុំខ្សែជុំវិញរ៉ឺឡែត។
wire	ខ្សែភ្លើង	ខ្សែភ្លើងភ្ជាប់ឧបករណ៍ទាំងពីរ។
wise	ឆ្លាតវៃ	នោះគឺជាជម្រើសដ៏ឆ្លាតវៃ។
witness	សាក្សី	សាក្សីម្នាក់បានពិពណ៌នាអំពីគ្រោះថ្នាក់នេះ។
wound	របួស	សម្អាតមុខរបួសដោយប្រុងប្រយ័ត្ន។
wrap	ខ្ចប់	ខ្ចប់កាដូក្នុងក្រដាស។
zone	តំបន់	តំបន់នេះត្រូវបានបិទមិនឱ្យធ្វើចរាចរណ៍។
