simplified	TA	example_TA
夫妇	தம்பதியர்	இந்த தம்பதியர் ஒரு சிறிய கடையை நடத்துகிறார்கள்.
夫人	மனைவி	திரு வாங் தனது மனைவியுடன் இரவு விருந்தில் கலந்து கொண்டார்.
敷衍	அலட்சியமாக நடத்துதல்	அவர் சில வார்த்தைகளில் மட்டும் அலட்சியமாக பதிலளித்தார்.
俘虏	போர்க் கைதி	போர் முடிந்த பிறகு போர்க் கைதிகள் விடுவிக்கப்பட்டனர்.
幅度	அளவு	இந்த விலை குறைப்பின் அளவு மிகவும் பெரியது.
服从	கீழ்ப்படிதல்	சிப்பாய்கள் கட்டளைக்கு கட்டாயம் கீழ்ப்படிக்க வேண்டும்.
服气	மனதில் ஏற்றுக்கொள்வது	அவர் போட்டியில் தோற்றார், ஆனால் மனதில் அதை ஏற்றுக்கொள்ளவில்லை.
福利	நலன்கள்	ஊழியர்கள் நிறுவனத்தின் நலன்களை மிகவும் மதிக்கிறார்கள்.
福气	அதிர்ஷ்டம்	நல்ல ஆசிரியரை சந்திப்பது அவருடைய அதிர்ஷ்டம்.
符号	குறியீடு	இந்த குறியீடு அபாயத்தை குறிக்கிறது.
辐射	கதிர்வீச்சு	வலுவான கதிர்வீச்சிலிருந்து விலகி இருக்க மருத்துவர் அவரை நினைவூட்டினார்.
俯视	மேலிருந்து பார்ப்பது	மலை உச்சியிலிருந்து முழு நகரத்தையும் மேலிருந்து பார்க்கலாம்.
抚摸	மெதுவாகத் தடவுதல்	அவள் குழந்தையின் தலையை மெதுவாகத் தடவினாள்.
抚养	வளர்த்தல்	தாத்தா பாட்டி குழந்தையை வளர்க்க உதவினர்.
腐败	ஊழல்	அரசு ஊழலை எதிர்த்து நடவடிக்கை எடுத்து வருகிறது.
腐烂	அழுகுதல்	பழங்களை மிக நீண்ட நேரம் வைத்தால் அவை அழுகும்.
腐蚀	அரித்தழித்தல்	அமிலம் உலோக மேற்பரப்பை அரித்தழிக்கும்.
腐朽	சீர்கெட்ட	அவர்கள் சீர்கெட்ட அமைப்பை விமர்சித்தனர்.
辅助	உதவி செய்தல்	இந்த கருவி கற்பித்தலுக்கு உதவ முடியும்.
副	துணை	அவள் துணை மேலாளராக நியமிக்கப்பட்டாள்.
复活	மீண்டும் உயிர்ப்பித்தல்	இந்த பாரம்பரிய விழா மீண்டும் உயிர்ப்பிக்கப்படுகிறது.
复兴	மறுமலர்ச்சி	பண்பாட்டு மறுமலர்ச்சிக்கு நீண்டகால முயற்சி தேவை.
富裕	செழிப்பான	இந்த கிராமம் இப்போது மேலும் மேலும் செழிப்பாகிறது.
腹泻	வயிற்றுப்போக்கு	அவருக்கு கடுமையான வயிற்றுப்போக்கு உள்ளது; மருத்துவரை பார்க்க வேண்டும்.
覆盖	மூடித்தல்	பெரும் பனி முழு பள்ளத்தாக்கையும் மூடியது.
负担	சுமை	வாடகை அவரது முக்கிய சுமையாக மாறியது.
赋予	வழங்குதல்	சட்டம் குடிமக்களுக்கு அடிப்படை உரிமைகளை வழங்குகிறது.
附和	ஒத்திசைந்து பேசுதல்	அவருக்கு சொந்த கருத்து இல்லை; பிறரை ஒத்திசைந்து பேச மட்டுமே தெரியும்.
附件	இணைப்பு கோப்பு	மின்னஞ்சலில் உள்ள இணைப்பு கோப்பைப் பார்க்கவும்.
附属	இணைச் சேர்ந்த	இந்த மருத்துவமனை பல்கலைக்கழகத்தின் இணைச் சேர்ந்த மருத்துவமனை.
改良	மேம்படுத்துதல்	நிபுணர்கள் இந்த வகை நெலை மேம்படுத்தி வருகின்றனர்.
盖章	முத்திரை இடுதல்	ஒப்பந்தத்தில் கையெழுத்திட்ட பிறகு முத்திரை இட வேண்டும்.
钙	கால்சியம்	பாலில் கால்சியம் நிறைய உள்ளது.
尴尬	சங்கடமான	கூட்டத்தில் சங்கடமான அமைதி ஏற்பட்டது.
干旱	வறட்சி	நீண்டகால வறட்சி பயிர்களை பாதித்தது.
干扰	தொந்தரவு செய்தல்	சத்தம் என் பணிக்கு தொந்தரவு செய்யும்.
干涉	தலையிடுதல்	பெற்றோர் குழந்தையின் தேர்வுகளில் அளவுக்கு அதிகமாக தலையிடக் கூடாது.
干预	தலையீடு செய்தல்	அரசு சந்தை அபாயத்தில் நேரத்துக்கு தலையீடு செய்தது.
感慨	ஆழ்ந்த உணர்ச்சி	பழைய புகைப்படங்களை பார்த்ததும் அவர் மிகவும் ஆழ்ந்த உணர்ச்சியடைந்தார்.
感染	தொற்றுதல்	இந்த வைரஸ் குழந்தைகளை எளிதில் தொற்றும்.
干劲	வேலை உற்சாகம்	அனைவரும் வேலை செய்யும்போது மிகுந்த உற்சாகத்துடன் இருக்கிறார்கள்.
扛	தோளில் சுமத்தல்	கதைகளில் அவர் மிக வலிமையுடன் பெரிய பானையையும் தோளில் சுமக்க முடியும் என்று சொல்கிறார்கள்.
纲领	செயல் திட்டக் கோட்பாடு	கூட்டம் புதிய செயல் திட்டக் கோட்பாட்டை நிறைவேற்றியது.
岗位	பணியிடம்	அவள் புதிய பணியிடத்திற்கு விரைவில் பழகினாள்.
港口	துறைமுகம்	சரக்கு கப்பல் துறைமுகத்தில் நின்றது.
港湾	வளைகுடா	சிறிய படகு அமைதியான வளைகுடாவுக்குள் சென்றது.
杠杆	கடன் ஆதார விகிதம்	இந்த முதலீடு உயர்ந்த கடன் ஆதார விகிதத்தை பயன்படுத்தியது.
高超	மிக உயர்ந்த திறமை	அவரின் வாகன பழுது பார்க்கும் திறமை மிக உயர்ந்தது.
高潮	உச்சம்	போட்டி கடைசி பத்து நிமிடங்களில் உச்சத்தை அடைந்தது.
高峰	உச்சநேரம்	காலை எட்டு மணி போக்குவரத்து உச்சநேரம்.
高明	நுட்பமான	இந்த முறை உண்மையில் மிகவும் நுட்பமானது.
高尚	உயர்ந்த	மருத்துவரின் தொழில்முறை மனப்பான்மை மிகவும் உயர்ந்தது.
高涨	உயர்ந்து செல்லுதல்	பார்வையாளர்களின் உற்சாகம் தொடர்ந்து உயர்ந்தது.
稿件	கையெழுத்துப் பிரதி	ஆசிரியர் கையெழுத்துப் பிரதியை திருத்தி வருகிறார்.
告辞	விடைபெறுதல்	இரவு ஆகிவிட்டது; நாங்கள் முதலில் விடைபெறுகிறோம்.
告诫	எச்சரித்து அறிவுறுத்துதல்	ஆசிரியர் மாணவர்கள் ஏமாற்றம் செய்யக்கூடாது என்று எச்சரித்தார்.
割	வெட்டுதல்	அவர் கவனக்குறைவால் விரலை வெட்டிக்கொண்டார்.
搁	வைத்து விடுதல்	தயவுசெய்து ஆவணங்களை மேசையில் வைத்து விடுங்கள்.
歌颂	புகழ்ந்து பாடுதல்	இந்த கவிதை தொழிலாளர்களை புகழ்ந்து பாடுகிறது.
疙瘩	சிறு வீக்கம்	அவரது கையில் ஒரு சிறு வீக்கம் ஏற்பட்டது.
鸽子	புறா	சதுக்கத்தில் பல புறாக்கள் உள்ளன.
格局	அமைப்பு	இந்த வீட்டின் அமைப்பு மிகவும் நியாயமானது.
格式	வடிவம்	தயவுசெய்து நிர்ணயிக்கப்பட்ட வடிவத்தில் படிவத்தை நிரப்புங்கள்.
隔阂	மன இடைவெளி	தவறான புரிதல் அவர்களுக்கிடையேயான மன இடைவெளியை அதிகரித்தது.
隔离	தனிமைப்படுத்தல்	நோயாளியை தற்காலிகமாக தனிமைப்படுத்த வேண்டும்.
革命	புரட்சி	இந்த புரட்சி நாட்டின் விதியை மாற்றியது.
个体	தனிநபர்	ஒவ்வொரு தனிநபருக்கும் வேறு தேவைகள் உள்ளன.
各抒己见	ஒவ்வொருவரும் தன் கருத்தைச் சொல்லுதல்	கூட்டத்தில் அனைவரும் தங்கள் கருத்துகளைச் சொன்னார்கள்.
根深蒂固	ஆழமாக வேரூன்றிய	இந்த கருத்து ஏற்கனவே ஆழமாக வேரூன்றியுள்ளது.
根源	மூல காரணம்	வறுமையின் மூல காரணம் மிகவும் சிக்கலானது.
跟前	அருகில்	குழந்தை தாயின் அருகில் ஓடியது.
跟随	பின்தொடர்தல்	செய்தியாளர் அணிவகுப்பை பின்தொடர்ந்து மலைப்பகுதிக்குள் சென்றார்.
跟踪	பின்தொடர்ந்து கண்காணித்தல்	காவல்துறை சந்தேக நபரின் நகர்வுகளை பின்தொடர்ந்து கண்காணித்து வருகிறது.
更新	புதுப்பித்தல்	அமைப்பு இன்றிரவு தானாக புதுப்பிக்கப்படும்.
更正	திருத்தம் செய்தல்	செய்தித்தாள் மறுநாள் பிழையை திருத்தியது.
耕地	நிலம் உழுதல்	விவசாயிகள் வசந்த காலத்தில் நிலத்தை உழுகின்றனர்.
供不应求	தேவைக்கு போதாத வழங்கல்	இந்த மருந்து இப்போது தேவைக்கு போதாமல் உள்ளது.
供给	வழங்கல்	நகரத்திற்கு நிலையான நீர் மின்சார வழங்கல் தேவை.
公安局	பொது பாதுகாப்பு அலுவலகம்	அவர் புகார் அளிக்க பொது பாதுகாப்பு அலுவலகத்திற்கு சென்றார்.
公道	நியாயமான	அனைவரும் நியாயமான கையாளுதலை பெற வேண்டும் என்று நம்புகிறார்கள்.
公告	அறிவிப்பு	பள்ளி வகுப்பு நிறுத்த அறிவிப்பை வெளியிட்டது.
公关	பொது தொடர்பு	நிறுவனம் தொழில்முறை பொது தொடர்பு அணியை நியமித்தது.
公民	குடிமகன்	ஒவ்வொரு குடிமகனும் சட்டத்தை கடைப்பிடிக்க வேண்டும்.
公然	வெளிப்படையாக	அவர் போட்டி விதிகளை வெளிப்படையாக மீறினார்.
公认	பொதுவாக அங்கீகரிக்கப்பட்ட	அவள் பொதுவாக அங்கீகரிக்கப்பட்ட சிறந்த ஆசிரியர்.
公式	சூத்திரம்	தயவுசெய்து இந்த கணித சூத்திரத்தை பதிவு செய்து கொள்ளுங்கள்.
公务	அரசுப் பணி	அவர் அரசுப் பணிக்காக மூன்று நாள் பயணம் செய்தார்.
公正	நியாயம்	நீதிபதி கட்டாயம் நியாயத்தை காக்க வேண்டும்.
公证	சான்றளித்தல்	இந்த ஆவணத்திற்கு சான்றளித்தல் தேவை.
功劳	பங்கு சிறப்பு	இந்த வெற்றியில் அனைவருக்கும் பங்கு சிறப்பு உள்ளது.
功效	பலன்	இந்த மருந்தின் பலன் இன்னும் சரிபார்க்கப்பட வேண்டும்.
宫殿	அரண்மனை	பயணிகள் பழமையான அரண்மனையை பார்வையிட்டனர்.
工艺品	கைவினைப் பொருள்	இந்த கைவினைப் பொருள் கையால் தயாரிக்கப்பட்டது.
恭敬	மரியாதையுடன்	அவர் முதியவரை மரியாதையுடன் வணங்கினார்.
攻击	தாக்குதல்	இணையத் தாக்குநர்கள் நிறுவனத்தின் இணையதளத்தை தாக்கினர்.
攻克	கடினத்தை வென்றடைத்தல்	ஆராய்ச்சி குழு தொழில்நுட்ப சிக்கலை வென்றடைந்தது.
巩固	வலுப்படுத்துதல்	மீள்பார்வை கற்ற அறிவை வலுப்படுத்தும்.
共和国	குடியரசு	இந்த குடியரசு கடந்த நூற்றாண்டில் நிறுவப்பட்டது.
共计	மொத்தம்	இந்த சரக்குகள் மொத்தம் முந்நூறு பெட்டிகள்.
共鸣	ஒத்துணர்வு	இந்த பாடல் பலரிடம் ஒத்துணர்வை எழுப்பியது.
勾结	கூட்டு சதி செய்தல்	அவர்கள் வெளியினருடன் கூட்டு சதி செய்து பணத்தை ஏமாற்றினர்.
钩子	கொக்கு	சுவரில் சில கொக்குகள் தொங்குகின்றன.
构思	கருத்தாக்கம் செய்தல்	எழுத்தாளர் புதிய நாவலை கருத்தாக்கம் செய்து வருகிறார்.
姑且	தற்காலிகமாக	இந்த திட்டத்தை தற்காலிகமாக ஒரு வாரம் முயற்சி செய்து பார்ப்போம்.
孤独	தனிமை	புதிய நகரத்துக்கு மாறிய பிறகு அவர் தனிமையை உணர்ந்தார்.
孤立	தனித்துப் பார்க்குதல்	இந்த பிரச்சினையை தனித்துப் பார்க்க வேண்டாம்.
辜负	ஏமாற்றுதல்	பெற்றோரின் எதிர்பார்ப்பை ஏமாற்ற நான் விரும்பவில்லை.
古董	பழமையான பொருள்	தாத்தா சில பழமையான பொருட்களை சேகரித்தார்.
古怪	விசித்திரமான	அவரின் யோசனை கொஞ்சம் விசித்திரமாக உள்ளது.
股东	பங்குதாரர்	பங்குதாரர் கூட்டம் அடுத்த வாரம் நடைபெறும்.
股份	பங்கு உரிமை	அவர் நிறுவனத்தின் பங்கு உரிமையை வைத்திருக்கிறார்.
骨干	முக்கிய ஆதாரம்	இந்த பொறியாளர்கள் அணியின் முக்கிய ஆதாரம்.
鼓动	தூண்டுதல்	யாரோ மக்கள் போராட்டம் செய்ய தூண்டினர்.
固然	நிச்சயமாக	இந்த முறை நிச்சயமாக எளிது, ஆனால் அபாயமும் குறையாது.
固体	திண்மம்	பனி என்பது நீரின் திண்ம வடிவம்.
固有	இயல்பாக உள்ள	ஒவ்வொரு பண்பாட்டுக்கும் இயல்பாக உள்ள தன்மைகள் உண்டு.
固执	பிடிவாதமான	அவர் மிகவும் பிடிவாதமாக இருப்பதால் ஆலோசனையை கேட்க மறுக்கிறார்.
故乡	சொந்த ஊர்	பல ஆண்டுகளுக்குப் பிறகு அவர் சொந்த ஊருக்குத் திரும்பினார்.
故障	கோளாறு	மின்தூக்கியில் கோளாறு ஏற்பட்டதால் அது தற்காலிகமாக நிறுத்தப்பட்டது.
雇佣	வேலையில் அமர்த்துதல்	நிறுவனம் மேலும் பல தொழில்நுட்ப பணியாளர்களை வேலைக்கு அமர்த்த முடிவு செய்தது.
顾虑	கவலை	உனக்கு என்ன கவலை இருந்தாலும் நேரடியாகச் சொல்லலாம்.
顾问	ஆலோசகர்	நாங்கள் ஒரு சட்ட ஆலோசகரை அழைத்தோம்.
拐杖	நடைக்கோல்	முதியவர் வெளியே செல்லும்போது அடிக்கடி நடைக்கோலை எடுத்துச் செல்கிறார்.
关怀	அக்கறை	ஆசிரியர் மாணவர்களுக்கு நிறைய அக்கறை காட்டினார்.
关照	கவனித்துக்கொள்ளுதல்	பாதையில் குழந்தையை நன்றாக கவனித்துக்கொள்ளுங்கள்.
官方	அதிகாரப்பூர்வமான	அதிகாரப்பூர்வ செய்தி நாளை அறிவிக்கப்படும்.
观光	சுற்றுலா பார்வை	பயணிகள் படகில் சுற்றுலா பார்வைக்கு சென்றனர்.
管辖	நிர்வகித்தல்	இந்த பகுதி நகர அரசால் நிர்வகிக்கப்படுகிறது.
惯例	வழக்கம்	கூட்டம் தொடங்கும் முன் விருந்தினர்களை அறிமுகப்படுத்துவது வழக்கம்.
灌溉	பாசனம் செய்தல்	விவசாயிகள் ஆற்றுநீரால் வயல்களுக்கு பாசனம் செய்கிறார்கள்.
罐	டப்பா	மேசையில் ஒரு தேயிலை டப்பா வைக்கப்பட்டுள்ளது.
贯彻	செயல்படுத்துதல்	நிறுவனம் புதிய பாதுகாப்பு தரநிலைகளை செயல்படுத்த வேண்டும்.
光彩	ஒளிவீச்சு	இந்த உடை அவளை மிகவும் ஒளிவீச்சுடன் காட்டியது.
光辉	பிரகாசமான	அவரின் சாதனை வரலாற்றில் ஒரு பிரகாசமான பக்கத்தை விட்டுச் சென்றது.
光芒	ஒளிக்கதிர்	சூரியனின் ஒளிக்கதிர்கள் பள்ளத்தாக்கை ஒளிரச் செய்தன.
光荣	கௌரவமான	நாட்டுக்கு சேவை செய்வது கௌரவமானது.
广阔	பரந்த	புல்வெளி எல்லையில்லாமல் மிகவும் பரந்ததாக உள்ளது.
归根到底	இறுதியில்	இறுதியில் பிரச்சினை மேலாண்மையில்தான் உள்ளது.
归还	திருப்பி அளித்தல்	தயவுசெய்து புத்தகங்களை நேரத்திற்கு திருப்பி அளிக்கவும்.
规范	ஒழுங்கு விதி	பள்ளி ஆய்வகத்தை நிர்வகிக்க ஒழுங்கு விதிகளை வகுத்தது.
规格	விவர அளவு	இந்த பாகங்களின் விவர அளவு ஒன்றுபோல் இல்லை.
规划	திட்டமிடல்	நகர திட்டமிடலில் போக்குவரத்தையும் கருத்தில் கொள்ள வேண்டும்.
规章	விதிமுறை	ஊழியர்கள் நிறுவன விதிமுறைகளை கடைபிடிக்க வேண்டும்.
轨道	பாதை	ரயில் பாதையைக் கொண்டு முன்னேறியது.
贵族	உயர்குடி	இந்த தோட்டம் ஒருகாலத்தில் உயர்குடியினருக்குச் சேர்ந்தது.
跪	மண்டியிடுதல்	அவர் சிலையின் முன்னால் மண்டியிட்டார்.
棍棒	கம்பு	காவல்துறை சம்பவ இடத்தில் இருந்த கம்புகளை பறிமுதல் செய்தது.
国防	தேசிய பாதுகாப்பு	தேசிய பாதுகாப்பு கட்டமைப்புக்கு நீண்டகால முதலீடு தேவை.
国务院	அரசு மன்றம்	அரசு மன்றம் புதிய அறிவிப்பை வெளியிட்டது.
果断	திடமான	தலைவர் திடமாக முடிவு எடுத்தார்.
过度	அளவுக்கு மீறிய	கைப்பேசியை அளவுக்கு மீறி பயன்படுத்துவது தூக்கத்தை பாதிக்கும்.
过渡	இடைநிலை மாற்றம்	நிறுவனம் மாற்றத்தின் இடைநிலை கட்டத்தில் உள்ளது.
过奖	அதிகமாகப் பாராட்டுதல்	நீங்கள் அதிகமாகப் பாராட்டுகிறீர்கள்; எனக்கு இன்னும் கற்றுக்கொள்ள வேண்டும்.
过滤	வடிகட்டுதல்	இந்த கருவி அழுக்குகளை வடிகட்ட முடியும்.
过失	தவறு	இந்த விபத்து மனித தவறால் ஏற்பட்டது.
过问	தலையிட்டு கேட்பது	மேலாளர் இத்தகைய சிறிய விஷயங்களில் அரிதாக தலையிட்டு கேட்பார்.
过瘾	மிகுந்த திருப்தி	இந்த போட்டியைப் பார்த்தது உண்மையில் மிகுந்த திருப்தி தந்தது.
过于	அதிகமாக	இந்த திட்டம் அதிகமாக சிக்கலானது.
嗨	ஹாய்	ஹாய், நீயும் எப்படி வந்தாய்?
海拔	கடல்மட்ட உயரம்	இந்த கிராமத்தின் கடல்மட்ட உயரம் அதிகம்.
海滨	கடற்கரைப் பகுதி	அவர்கள் வார இறுதியை கடற்கரைப் பகுதியில் கழித்தனர்.
含糊	தெளிவில்லாத	அவரின் பதில் மிகவும் தெளிவில்லாதது.
含义	அர்த்தம்	இந்த சொல்லுக்கு சிறப்பு அர்த்தம் உள்ளது.
寒暄	நலவார்த்தை பேசுதல்	சந்தித்த பிறகு அவர்கள் முதலில் சில நலவார்த்தைகள் பேசினர்.
罕见	அரிதான	இந்த நோய் மிகவும் அரிதானது.
捍卫	பாதுகாத்து நிலைநிறுத்துதல்	வழக்கறிஞர் சம்பந்தப்பட்ட நபரின் உரிமைகளை பாதுகாத்து நிலைநிறுத்த முயன்றார்.
航空	விமானப் போக்குவரத்து	விமான நிறுவனம் பயணத்தை ரத்து செய்தது.
航天	விண்வெளி பயணம்	சீனாவின் விண்வெளி துறை வேகமாக வளர்கிறது.
航行	கடல் பயணம் செய்தல்	கப்பல் கடலில் பயணம் செய்தது.
行列	வரிசை	அவள் தன்னார்வலர் வரிசையில் சேர்ந்தாள்.
毫米	மில்லிமீட்டர்	இந்த கண்ணாடி ஐந்து மில்லிமீட்டர் தடிமனுடையது.
毫无	சிறிதும் இல்லாத	அவரின் விளக்கத்திற்கு சிறிதும் ஆதாரம் இல்லை.
豪迈	வீர உணர்ச்சியுள்ள	அவரின் பாடல் குரல் வீர உணர்ச்சியுடனும் வலிமையுடனும் இருந்தது.
号召	அழைப்பு விடுத்தல்	அரசு அனைவரையும் தண்ணீர் சேமிக்க அழைப்பு விடுத்தது.
耗费	செலவழித்தல்	இந்த திட்டம் பெரும் தொகை பணத்தை செலவழித்தது.
呵	கடிந்து ஒலி எழுப்புதல்	தந்தை ஒரு முறை கடிந்து ஒலி எழுப்ப, குழந்தை உடனே நின்றது.
合并	இணைத்தல்	இரு நிறுவனங்கள் அடுத்த ஆண்டு இணைவதற்கு திட்டமிட்டுள்ளன.
合成	செயற்கையாக உருவாக்குதல்	இந்த பொருளை செயற்கையாக உருவாக்கலாம்.
合伙	கூட்டு முயற்சி	அவர்கள் சேர்ந்து ஒரு உணவகத்தைத் தொடங்கினர்.
合算	லாபகரமான	டாக்ஸியை விட பேருந்தில் செல்வது அதிகம் லாபகரமானது.
和蔼	அன்பான	இந்த மருத்துவர் மிகவும் அன்பாக பேசுகிறார்.
和解	சமரசம்	இரு தரப்பும் இறுதியில் சமரசத்தை எட்டின.
和睦	இணக்கமான	அக்கம்பக்கத்தினர் மிகவும் இணக்கமாக பழகுகிறார்கள்.
和气	மென்மையான	முதலாளர் மக்களிடம் மிகவும் மென்மையாக நடந்து கொள்கிறார்.
和谐	இணக்கம்	இசை சூழலை மேலும் இணக்கமாக மாற்றியது.
嘿	ஏய்	ஏய், நீ கேட்டாயா?
痕迹	சுவடு	தரையில் சக்கர சுவடுகள் இருந்தன.
狠心	கடுமனதுடன்	அவர் நண்பரின் கோரிக்கையை கடுமனதுடன் மறுத்தார்.
恨不得	உடனே செய்ய ஆவல்	நான் உடனே வீட்டிற்கு சென்று ஓய்வெடுக்க ஆவலாக இருக்கிறேன்.
哼	முனகுதல்	அவர் மகிழ்ச்சியின்றி ஒரு முறை முனகினார்.
横	கிடைமட்டம்	தயவுசெய்து காகிதத்தில் ஒரு கிடைமட்ட கோடு வரையுங்கள்.
哄	ஒரே சத்தமாக	அனைவரும் ஒரே சத்தமாக சிரித்தனர்.
烘	சுட்டு உலர்த்துதல்	ரொட்டி அடுப்பில் சுட்டு உலர்கிறது.
轰动	பெரும் பரபரப்பு ஏற்படுத்துதல்	இந்த செய்தி நாடு முழுவதும் பெரும் பரபரப்பை ஏற்படுத்தியது.
宏观	மொத்தப் பார்வை	நாம் பொருளாதாரத்தை மொத்தப் பார்வையில் ஆய்வு செய்ய வேண்டும்.
宏伟	மிகப் பிரம்மாண்டமான	இந்த பாலத்தின் வடிவமைப்பு மிகவும் பிரம்மாண்டமாக உள்ளது.
洪水	வெள்ளம்	வெள்ளம் சில பாலங்களை அடித்து அழித்தது.
喉咙	தொண்டை	அவர் அதிகமாக பேசியதால் தொண்டையில் கொஞ்சம் வலி உள்ளது.
吼	கர்ஜித்தல்	அவர் தூரத்தை நோக்கி பலமாக கத்தினார்.
候选	வேட்பாளர்	அவள் இந்த ஆண்டின் வேட்பாளர் பிரதிநிதி.
后代	பின்வந்தோர்	நாம் பின்வந்தோருக்காக சுற்றுச்சூழலை பாதுகாக்க வேண்டும்.
后顾之忧	பின்னாள் கவலை	நிலையான வருமானம் அவருக்கு பின்னாள் கவலை இல்லாமல் செய்தது.
后勤	பின்தள ஆதரவு	பின்தள ஆதரவு துறை பொருள் வழங்கலுக்கு பொறுப்பாக உள்ளது.
呼唤	அழைத்தல்	அம்மா வாசலில் குழந்தையை அழைத்தார்.
呼啸	ஊளையிடுதல்	குளிர்காற்று ஜன்னலுக்கு வெளியே ஊளையிட்டது.
呼吁	வலியுறுத்தி அழைப்பு விடுதல்	நிபுணர்கள் வீணாக்கத்தை குறைக்க அனைவரையும் வலியுறுத்தினர்.
忽略	புறக்கணித்தல்	தயவுசெய்து இந்த விவரத்தை புறக்கணிக்க வேண்டாம்.
湖泊	ஏரி	இந்த பகுதியில் பல இயற்கை ஏரிகள் உள்ளன.
胡乱	அலட்சியமாக	பொருட்களை தரையில் அலட்சியமாக வைக்காதே.
胡须	தாடி மீசை	அவரின் தாடி மீசை ஏற்கனவே வெண்மையாகிவிட்டது.
花瓣	மலர்தாள்	மழைக்குப் பிறகு மலர்தாள்கள் தரை முழுவதும் விழுந்தன.
花蕾	மொட்டு	வசந்தத்தில் மரக்கிளைகளில் மொட்டுகள் தோன்றின.
华丽	பிரகாசமான ஆடம்பரமான	மேடையிலிருந்த உடைகள் மிகவும் பிரகாசமான ஆடம்பரமாக இருந்தன.
华侨	வெளிநாட்டு சீனர்	பல வெளிநாட்டு சீனர்கள் சொந்த ஊருக்கு முதலீடு செய்ய திரும்பினர்.
划分	பிரித்தல்	ஆசிரியர் மாணவர்களை நான்கு குழுக்களாகப் பிரித்தார்.
化肥	இரசாயன உரம்	விவசாயிகள் பயிர்களுக்கு இரசாயன உரம் போடுகிறார்கள்.
化石	படிமம்	அருங்காட்சியகம் டைனோசர் படிமங்களை காட்சிப்படுத்தியது.
化验	ஆய்வகப் பரிசோதனை	மருத்துவர் அவரை இரத்தப் பரிசோதனை செய்ய அனுப்பினார்.
化妆	ஒப்பனை செய்தல்	அவள் மேடைக்கு செல்லும் முன் ஒப்பனை செய்து கொண்டிருந்தாள்.
画蛇添足	தேவையற்ற சேர்க்கை	மேலும் விளக்கம் சேர்ப்பது மாறாக தேவையற்ற சேர்க்கையாகிவிடும்.
话筒	ஒலிவாங்கி	நிகழ்ச்சி தொகுப்பாளர் ஒலிவாங்கியை பார்வையாளரிடம் கொடுத்தார்.
欢乐	மகிழ்ச்சி	திருவிழா சதுக்கம் மகிழ்ச்சியால் நிரம்பியது.
环节	படி	பயிற்சியின் ஒவ்வொரு படியும் மிகவும் முக்கியமானது.
还原	மீட்டமைத்தல்	தயவுசெய்து அமைப்புகளை இயல்புநிலைக்கு மீட்டமைக்கவும்.
缓和	தணிதல்	இரு தரப்பின் உறவு படிப்படியாக தணிந்தது.
患者	நோயாளர்	மருத்துவர் நோயாளியின் நிலையை விசாரித்து வருகிறார்.
荒凉	வெறிச்சோடிய	இந்த நிலம் மிகவும் வெறிச்சோடியாக தெரிகிறது.
荒谬	அபத்தமான	இந்த விளக்கம் மிகவும் அபத்தமாக கேட்கிறது.
荒唐	பொருத்தமற்ற	அவரின் முடிவு மிகவும் பொருத்தமற்றது.
皇帝	சக்கரவர்த்தி	சக்கரவர்த்தி பிரம்மாண்ட அரண்மனையில் வாழ்ந்தார்.
皇后	மகாராணி	மகாராணி கொண்டாட்டத்தில் பங்கேற்றார்.
黄昏	மாலை மங்கல்	மாலை மங்கலின் போது தெருவிளக்குகள் ஏற்றப்பட்டன.
恍然大悟	திடீரென புரிந்துகொள்ளுதல்	விளக்கத்தை கேட்ட பிறகு அவர் திடீரென புரிந்துகொண்டார்.
晃	மின்னல் போல தோன்றுதல்	கண்முன் ஒரு கணம் தோன்றி அவர் காணாமல் போனார்.
挥霍	வீணாகச் செலவழித்தல்	அவர் பெற்றோரின் பணத்தை வீணாகச் செலவழிக்கக் கூடாது.
辉煌	புகழ்மிக்க	இந்த நகரத்திற்கு புகழ்மிக்க வரலாறு உள்ளது.
回报	பலன்	கடுமையாக உழைத்தால் இறுதியில் பலன் கிடைக்கும்.
回避	தவிர்த்தல்	அவர் இந்த பிரச்சினையை தொடர்ந்து தவிர்த்தார்.
回顾	பின்னோக்கிப் பார்வையிடுதல்	கூட்டத்தின் இறுதியில் முழு ஆண்டுப் பணியும் பின்னோக்கிப் பார்வையிடப்பட்டது.
回收	மீள்சேகரித்தல்	குடியிருப்பு பகுதி பழைய மின்கலங்களை மீள்சேகரிக்கத் தொடங்கியது.
悔恨	வருத்தம்	கடந்த தவறுகளுக்காக அவர் ஆழ்ந்த வருத்தம் கொண்டார்.
毁灭	அழித்தல்	போர் இந்த நகரத்தை கிட்டத்தட்ட அழித்துவிட்டது.
会晤	சந்திப்பு	இரு நாடுகளின் தலைவர்கள் நாளை சந்திக்கிறார்கள்.
汇报	அறிக்கை அளித்தல்	அவர் மேலாளரிடம் முன்னேற்றத்தை அறிக்கை அளித்தார்.
贿赂	லஞ்சம்	அதிகாரி லஞ்சம் காரணமாக விசாரணைக்கு உட்பட்டார்.
昏迷	மயக்கநிலை	நோயாளர் இன்னும் மயக்கநிலையில் உள்ளார்.
荤	அசைவம்	இந்த உணவு அசைவம்; சைவ உணவாளர்களுக்கு பொருந்தாது.
浑身	முழு உடல்	ஓடிய பிறகு அவரது முழு உடலும் வியர்வையால் நனைந்தது.
