simplified	RU	example_RU
副	заместитель; вспомогательный	Ее назначили заместителем менеджера.
复活	возрождать; воскресать	Этот традиционный праздник снова возрождается.
复兴	возрождение; возрождать	Культурное возрождение требует длительных усилий.
富裕	зажиточный; обеспеченный	Эта деревня теперь становится все более зажиточной.
腹泻	понос; диарея	У него сильная диарея, нужно обратиться к врачу.
覆盖	покрывать; охватывать	Сильный снег покрыл всю долину.
负担	бремя; нагрузка	Аренда стала его главной нагрузкой.
赋予	наделять; предоставлять	Закон наделяет граждан основными правами.
附和	поддакивать; соглашаться бездумно	У него нет своего мнения, он только поддакивает другим.
附件	вложение; приложение	Пожалуйста, посмотрите вложение в письме.
附属	подчиненный; прикрепленный	Эта больница является университетской клиникой.
改良	улучшать; усовершенствовать	Специалисты улучшают этот сорт риса.
盖章	ставить печать	После подписания договора нужно поставить печать.
钙	кальций	В молоке много кальция.
尴尬	неловкий; смущение	На собрании наступило неловкое молчание.
干旱	засуха; засушливый	Длительная засуха повлияла на урожай.
干扰	мешать; вмешательство	Шум мешает моей работе.
干涉	вмешиваться	Родителям не стоит слишком вмешиваться в выбор детей.
干预	вмешиваться; принимать меры	Правительство вовремя вмешалось в рыночные риски.
感慨	растроганность; вздыхать с чувством	Увидев старые фотографии, он сильно растрогался.
感染	заражать; инфекция	Этот вирус легко заражает детей.
干劲	энергия; трудовой задор	Все работают с большим энтузиазмом.
扛	нести на плечах; поднимать	По легенде, он был так силен, что мог поднять тяжелый треножник.
纲领	программа; основные принципы	Собрание приняло новую программу действий.
岗位	должность; рабочее место	Она быстро привыкла к новой должности.
港口	порт	Грузовое судно пришвартовалось в порту.
港湾	гавань; бухта	Маленькая лодка вошла в тихую гавань.
杠杆	рычаг; финансовое плечо	В этой инвестиции использовали большое финансовое плечо.
高超	превосходный; мастерский	Его мастерство в ремонте машин очень высокое.
高潮	кульминация; пик	Матч достиг кульминации в последние десять минут.
高峰	пик; вершина	Восемь утра - пик движения.
高明	умелый; мудрый	Этот способ действительно очень умный.
高尚	благородный; высокий	Профессиональная этика врача очень благородна.
高涨	подниматься; расти	Энтузиазм зрителей постоянно рос.
稿件	рукопись; материал	Редактор сейчас правит материал.
告辞	прощаться; откланиваться	Уже поздно, мы сначала попрощаемся.
告诫	предостерегать; наставлять	Учитель предупредил учеников не списывать.
割	резать; порезать	Он нечаянно порезал палец.
搁	класть; откладывать	Пожалуйста, положите документы на стол.
歌颂	воспевать; прославлять	Это стихотворение прославляет трудящихся.
疙瘩	шишка; комок	У него на руке появилась шишка.
鸽子	голубь	На площади много голубей.
格局	планировка; структура	Планировка этой квартиры очень удобная.
格式	формат	Пожалуйста, заполните таблицу по установленному формату.
隔阂	отчуждение; преграда	Недоразумение усилило отчуждение между ними.
隔离	изолировать; изоляция	Пациента нужно временно изолировать.
革命	революция	Эта революция изменила судьбу страны.
个体	индивид; отдельная единица	У каждого человека разные потребности.
各抒己见	каждый высказывает свое мнение	На собрании все высказали свое мнение.
根深蒂固	глубоко укоренившийся	Этот взгляд уже глубоко укоренился.
根源	корень; источник	Корни бедности очень сложны.
跟前	перед; рядом с	Ребенок подбежал к матери.
跟随	следовать за; сопровождать	Журналист последовал за группой в горный район.
跟踪	следить; отслеживать	Полиция отслеживает передвижения подозреваемого.
更新	обновлять; обновление	Система автоматически обновится сегодня вечером.
更正	исправлять; поправка	Газета на следующий день исправила ошибку.
耕地	пахать землю; пахотная земля	Весной крестьяне пашут землю.
供不应求	спрос превышает предложение	Сейчас это лекарство в дефиците.
供给	снабжение; поставлять	Городу нужно стабильное снабжение водой и электричеством.
公安局	управление общественной безопасности	Он пошел в управление общественной безопасности, чтобы заявить о деле.
公道	справедливый; справедливость	Все надеются на справедливое решение.
公告	объявление; извещение	Школа опубликовала объявление об отмене занятий.
公关	связи с общественностью	Компания наняла профессиональную команду по связям с общественностью.
公民	гражданин	Каждый гражданин должен соблюдать закон.
公然	открыто; явно	Он открыто нарушил правила соревнования.
公认	общепризнанный	Она общепризнанно является отличным преподавателем.
公式	формула	Пожалуйста, запишите эту математическую формулу.
公务	служебные дела	Он уехал в командировку на три дня по служебным делам.
公正	справедливый; беспристрастный	Судья обязан сохранять беспристрастность.
公证	нотариальное заверение	Этот документ нужно нотариально заверить.
功劳	заслуга	В этом успехе есть заслуга всех.
功效	эффект; действенность	Действенность этого лекарства еще нужно проверить.
宫殿	дворец	Туристы осмотрели древний дворец.
工艺品	изделие народного промысла; сувенир	Это изделие ручной работы.
恭敬	почтительный	Он почтительно поздоровался со стариком.
攻击	атаковать; нападение	Хакеры атаковали сайт компании.
攻克	преодолеть; взять штурмом	Исследовательская группа преодолела техническую трудность.
巩固	укреплять; закреплять	Повторение помогает закрепить изученные знания.
共和国	республика	Эта республика была основана в прошлом веке.
共计	всего; в общей сложности	В этой партии всего триста ящиков.
共鸣	отклик; резонанс	Эта песня вызвала отклик у многих людей.
勾结	сговориться; вступать в сговор	Они вступили в сговор с посторонними и выманили деньги.
钩子	крючок	На стене висит несколько крючков.
构思	замысел; обдумывать	Писатель обдумывает новый роман.
姑且	пока; условно	Давайте пока попробуем этот план одну неделю.
孤独	одинокий; одиночество	После переезда в новый город он почувствовал одиночество.
孤立	изолировать; рассматривать отдельно	Не рассматривайте эту проблему изолированно.
辜负	не оправдать; подвести	Я не хочу не оправдать ожидания родителей.
古董	антиквариат	Дедушка собрал несколько антикварных вещей.
古怪	странный; причудливый	Его идеи немного странные.
股东	акционер	Собрание акционеров состоится на следующей неделе.
股份	доля; акции	Он владеет долей в компании.
骨干	основа; ключевой сотрудник	Эти инженеры - основа команды.
鼓动	подстрекать; агитировать	Кто-то подстрекал людей к протесту.
固然	конечно; хотя и	Этот способ, конечно, простой, но риск немалый.
固体	твердое тело	Лед - это твердое состояние воды.
固有	присущий; неотъемлемый	У каждой культуры есть присущие ей особенности.
固执	упрямый	Он слишком упрям и не хочет слушать советы.
故乡	родина; родной край	Много лет спустя он вернулся в родной край.
故障	неисправность; поломка	В лифте возникла неисправность, он временно не работает.
雇佣	нанимать	Компания решила нанять больше технических специалистов.
顾虑	опасение; сомнение	Если у тебя есть опасения, скажи прямо.
顾问	консультант; советник	Мы наняли юридического консультанта.
拐杖	трость	Старик часто берет трость, когда выходит из дома.
关怀	забота; внимание	Учитель проявлял много заботы к ученикам.
关照	присматривать; заботиться	Пожалуйста, в дороге присматривайте за ребенком.
官方	официальный	Официальное сообщение опубликуют завтра.
观光	осматривать достопримечательности	Туристы отправились осматривать достопримечательности на лодке.
管辖	управлять; иметь юрисдикцию	Этот район находится под управлением городских властей.
惯例	обычай; установленная практика	Сначала представить гостей перед началом собрания - это обычная практика.
灌溉	орошать	Крестьяне орошают поля речной водой.
罐	банка; жестяная банка	На столе стоит банка чая.
贯彻	проводить в жизнь; реализовывать	Компания должна внедрить новые стандарты безопасности.
光彩	блеск; сияние	Эта одежда делает ее образ более ярким.
光辉	славный; сияющий	Его достижения оставили славную страницу.
光芒	луч; сияние	Солнечные лучи осветили долину.
光荣	почетный; слава	Служить стране - почетное дело.
广阔	широкий; обширный	Степь бескрайняя и очень широкая.
归根到底	в конечном счете	В конечном счете проблема в управлении.
归还	возвращать	Пожалуйста, возвращайте книги вовремя.
规范	норма; регулировать	Школа установила нормы для управления лабораторией.
规格	спецификация; размер	У этой партии деталей разные спецификации.
规划	планировать; планирование	Городское планирование должно учитывать транспорт.
规章	правила и положения	Сотрудники должны соблюдать правила компании.
轨道	рельсы; орбита	Поезд движется вперед по рельсам.
贵族	аристократия; дворянин	Эта усадьба когда-то принадлежала аристократам.
跪	становиться на колени	Он опустился на колени перед статуей божества.
棍棒	дубинка; палка	Полиция изъяла с места происшествия дубинки.
国防	национальная оборона	Строительство национальной обороны требует долгосрочных вложений.
国务院	Государственный совет	Государственный совет опубликовал новое уведомление.
果断	решительный	Руководитель решительно принял решение.
过度	чрезмерный	Чрезмерное использование телефона влияет на сон.
过渡	переход; переходный период	Компания находится на переходном этапе преобразований.
过奖	перехваливать	Вы меня перехваливаете, мне еще нужно учиться.
过滤	фильтровать	Это устройство может фильтровать примеси.
过失	ошибка; небрежность	Эта авария была вызвана человеческой ошибкой.
过问	вмешиваться; интересоваться делом	Менеджер редко вмешивается в такие мелочи.
过瘾	получить удовольствие; захватывающий	Этот матч было очень приятно смотреть.
过于	слишком; чрезмерно	Этот план слишком сложный.
嗨	привет; возглас	Привет, ты тоже пришел?
海拔	высота над уровнем моря	Эта деревня находится на большой высоте над уровнем моря.
海滨	морское побережье	Они провели выходные на морском побережье.
含糊	неясный; расплывчатый	Его ответ был очень расплывчатым.
含义	значение; смысл	У этого слова есть особое значение.
寒暄	обменяться любезностями	После встречи они сначала обменялись несколькими любезностями.
罕见	редкий	Эта болезнь встречается очень редко.
捍卫	защищать; отстаивать	Адвокат старался отстоять права клиента.
航空	авиация; воздушный	Авиакомпания отменила рейс.
航天	космонавтика	Китайская космонавтика быстро развивается.
航行	плавать; идти по воде	Корабль идет по морю.
行列	ряды; строй	Она вступила в ряды добровольцев.
毫米	миллиметр	Это стекло толщиной пять миллиметров.
毫无	совершенно не; нисколько	Его объяснение совершенно безосновательно.
豪迈	смелый; широкий душой	Его пение было смелым и сильным.
号召	призывать	Правительство призвало всех экономить воду.
耗费	тратить; расходовать	Этот проект израсходовал много средств.
呵	окрик; окрикнуть	Отец окрикнул, и ребенок сразу остановился.
合并	объединять; слияние	Две компании планируют объединиться в следующем году.
合成	синтезировать; составной	Такой материал можно синтезировать искусственно.
合伙	вступать в партнерство	Они вместе открыли ресторан.
合算	выгодный	Ездить на автобусе выгоднее, чем брать такси.
和蔼	добрый; приветливый	Этот врач говорит очень приветливо.
和解	примирение; договориться	Стороны в итоге достигли примирения.
和睦	дружный; мирный	Соседи живут очень дружно.
和气	дружелюбный; мягкий	Хозяин относится к людям очень дружелюбно.
和谐	гармоничный	Музыка сделала атмосферу более гармоничной.
嘿	эй; возглас	Эй, ты услышал?
痕迹	след	На земле остались следы колес.
狠心	жестокосердный; решиться без жалости	Он жестко отказал другу в просьбе.
恨不得	жаждать; очень хотеть	Мне очень хочется сразу вернуться домой и отдохнуть.
哼	хмыкать; фыркать	Он недовольно хмыкнул.
横	горизонтальный; поперечный	Пожалуйста, нарисуйте на бумаге горизонтальную линию.
哄	шумно разразиться	Все шумно рассмеялись.
烘	сушить; запекать	Хлеб печется в духовке.
轰动	вызывать сенсацию	Эта новость потрясла всю страну.
宏观	макроуровень; общий	Нам нужно анализировать экономику с макроуровня.
宏伟	грандиозный; величественный	Проект этого моста очень грандиозный.
洪水	наводнение	Наводнение разрушило несколько мостов.
喉咙	горло	Он слишком много говорил, и у него немного болит горло.
吼	рычать; кричать	Он громко крикнул вдаль.
候选	кандидатский; быть кандидатом	Она кандидат в представители этого года.
后代	потомки; будущие поколения	Мы должны защищать окружающую среду для будущих поколений.
后顾之忧	заботы о тыле; тревоги на будущее	Стабильный доход избавил его от тревог на будущее.
后勤	тыловое обеспечение; логистика	Отдел логистики отвечает за снабжение материалами.
呼唤	звать; призывать	Мать зовет ребенка у двери.
呼啸	завывать; свистеть	Холодный ветер завывал за окном.
呼吁	призывать; обращаться с призывом	Эксперты призвали всех сократить отходы.
忽略	игнорировать; упускать из виду	Пожалуйста, не упускайте эту деталь из виду.
湖泊	озеро; водоем	В этом районе много естественных озер.
胡乱	как попало; беспорядочно	Не кладите вещи как попало на пол.
胡须	усы и борода	Его борода уже поседела.
花瓣	лепесток	После дождя лепестки упали на землю.
花蕾	бутон	Весной на ветках появились бутоны.
华丽	роскошный; великолепный	Костюмы на сцене были очень роскошными.
华侨	китаец, живущий за границей	Многие зарубежные китайцы вернулись на родину инвестировать.
划分	разделять; классифицировать	Учитель разделил учеников на четыре группы.
化肥	химическое удобрение	Крестьяне вносят химические удобрения под посевы.
化石	ископаемое; окаменелость	В музее выставили окаменелость динозавра.
化验	лабораторный анализ	Врач отправил его сдать анализ крови.
化妆	наносить макияж	Перед выходом на сцену она красилась.
画蛇添足	портить лишним добавлением	Если добавить еще объяснение, получится лишнее усложнение.
话筒	микрофон	Ведущий передал микрофон зрителю.
欢乐	радость; веселье	Праздничная площадь была полна радости.
环节	звено; этап	Каждый этап обучения очень важен.
还原	восстанавливать; вернуть исходное состояние	Пожалуйста, восстановите настройки по умолчанию.
缓和	смягчать; ослабевать	Отношения сторон постепенно смягчились.
患者	пациент	Врач расспрашивает пациента о состоянии.
荒凉	пустынный; заброшенный	Этот участок земли выглядит очень пустынным.
荒谬	абсурдный	Это объяснение звучит абсурдно.
荒唐	нелепый; абсурдный	Его решение было слишком нелепым.
皇帝	император	Император жил в величественном дворце.
皇后	императрица	Императрица участвовала в торжестве.
黄昏	сумерки; закат	В сумерках зажглись уличные фонари.
恍然大悟	внезапно понять	Выслушав объяснение, он внезапно все понял.
晃	мелькнуть; качаться	Перед глазами что-то мелькнуло, и он исчез.
挥霍	расточать; транжирить	Ему не следует транжирить деньги родителей.
辉煌	блестящий; славный	У этого города блестящая история.
回报	отдача; вознаграждение	Упорный труд в конце концов даст отдачу.
回避	избегать; уклоняться	Он все время избегал этого вопроса.
回顾	оглядываться; подводить итоги	В конце собрания подвели итоги работы за год.
回收	перерабатывать; собирать обратно	В районе начали собирать старые батарейки на переработку.
悔恨	раскаяние	Он чувствует раскаяние за прошлые ошибки.
毁灭	уничтожать; гибель	Война почти уничтожила этот город.
会晤	встреча; встречаться	Лидеры двух стран встретятся завтра.
汇报	докладывать; отчет	Он доложил менеджеру о прогрессе.
贿赂	взятка; подкуп	Чиновника расследуют из-за взятки.
昏迷	кома; быть без сознания	Пациент все еще находится в коме.
荤	мясной; не вегетарианский	Это мясное блюдо, оно не подходит вегетарианцам.
浑身	все тело	После пробежки он весь был в поту.
混合	смешивать	Пожалуйста, равномерно смешайте два материала.
混乱	хаос; беспорядок	На месте некоторое время был сильный хаос.
混淆	путать; смешивать	Не путайте эти два понятия.
混浊	мутный	После дождя вода в реке стала мутной.
活该	так и надо; заслуженно	Он не слушал советов, так что провал заслужен.
活力	жизненная сила; энергия	Этот город полон энергии.
火箭	ракета	Ракета успешно вышла на заданную орбиту.
火焰	пламя	Ветер раздул пламя выше.
火药	порох	Порох изменил способы древней войны.
货币	валюта; деньги	Денежная политика влияет на развитие экономики.
基地	база	Здесь когда-то была важная тренировочная база.
基金	фонд	Школа учредила стипендиальный фонд.
基因	ген	Ученые исследуют этот ген.
机动	мобильный; маневренный	Этот отряд сохраняет высокую мобильность.
机构	учреждение; организация	Эта организация отвечает за проверку качества.
机灵	сообразительный; ловкий	Этот ребенок очень сообразительный.
机密	секретный; тайна	Эти материалы относятся к секретным.
机械	машины; механический	Завод ввел новое оборудование.
机遇	возможность; шанс	Молодым людям нужно ловить возможности.
机智	находчивый; остроумный	Его ответ был очень находчивым.
激发	пробуждать; стимулировать	Учитель пробудил интерес учеников.
激励	вдохновлять; поощрять	Этот успех вдохновил всю команду.
激情	страсть; воодушевление	Во время выступления он был полон страсти.
讥笑	насмехаться	Не насмехайтесь над ошибками других.
饥饿	голод	Длительный голод влияет на здоровье.
即便	даже если	Даже если пойдет дождь, мы выедем вовремя.
即将	скоро; вот-вот	Собрание вот-вот начнется.
及早	как можно раньше	Проблемы нужно решать как можно раньше.
吉祥	благоприятный; счастливый	Красный цвет в Китае часто символизирует удачу.
嫉妒	завидовать; ревность	Ему не следует завидовать успеху коллеги.
急功近利	гнаться за быстрой выгодой	В исследованиях нельзя гнаться за быстрой выгодой.
急剧	резкий; стремительный	Продажи резко снизились.
急切	нетерпеливый; настойчивый	Она с нетерпением ждала новостей.
急于求成	стремиться к быстрому успеху	В изучении языков нельзя стремиться к быстрому успеху.
急躁	раздражительный; нетерпеливый	При трудностях не нужно нервничать.
极端	крайний; экстремальный	Такая экстремальная погода встречается все чаще.
极限	предел	Эта тренировка испытала его предел.
疾病	болезнь; заболевание	Хорошие привычки помогают предотвращать болезни.
籍贯	место происхождения семьи	В анкете нужно указать место происхождения семьи.
级别	уровень; категория	Это соревнование делится на три уровня.
集团	группа; корпорация	У этой корпорации есть филиалы за рубежом.
给予	давать; предоставлять	Школа предоставляет помощь бедным ученикам.
季军	третье место; бронзовый призер	Он занял третье место в соревновании.
季度	квартал	Компания публикует финансовый отчет каждый квартал.
寂静	тишина; безмолвный	Ночная долина была особенно тихой.
寄托	возлагать; доверять надежды	Она возложила свои надежды на ребенка.
忌讳	табу; избегать	Местные жители избегают говорить об этом за столом.
技巧	прием; навык	Освоение приемов повышает эффективность.
纪要	протокол; краткая запись	Секретарь подготовил протокол собрания.
继承	наследовать; продолжать	Он унаследовал дело отца.
计较	считаться; придираться	Не придирайтесь из-за такой мелочи.
记性	память	У него хорошая память.
记载	записывать; запись	Исторические книги записали эту войну.
迹象	признак	Пока нет признаков улучшения.
佳肴	изысканное блюдо	Стол был полон вкусных блюд.
加工	обрабатывать; переработка	Это сырье нужно дополнительно обработать.
加剧	усиливать; обостряться	Противоречия обостряются.
夹杂	смешиваться; примешиваться	В шум дождя примешивался гром.
家常	домашний; повседневный	Я люблю домашнюю кухню.
家伙	тип; парень	Этот тип всегда опаздывает.
家属	родственники; семья пациента	Врач уведомил родственников пациента.
家喻户晓	известный каждому	Эта история известна каждому.
坚定	твердый; решительный	Ее позиция очень твердая.
坚固	прочный	Этот мост очень прочный.
坚韧	стойкий; выносливый	У него стойкий характер.
坚实	прочный; надежный	У этого исследования прочная основа.
坚硬	твердый	Этот камень очень твердый.
尖端	передовой; острие	Компания инвестирует в передовые технологии.
尖锐	острый; резкий	Эта проблема очень острая.
煎	жарить на сковороде	Повар жарит рыбу.
监督	надзор; контролировать	Общественный надзор помогает улучшать работу.
监视	наблюдать; следить	Полиция наблюдает за подозреваемым.
监狱	тюрьма	Он отбывает наказание в тюрьме.
艰难	трудный; тяжелый	Начальный этап бизнеса был очень трудным.
剪彩	перерезать ленту на церемонии	Мэр перерезал ленту на открытии новой библиотеки.
拣	выбирать; отбирать	Она выбрала несколько яблок из корзины.
检讨	анализировать ошибки; самокритика	Он серьезно проанализировал свои ошибки.
检验	проверять; испытывать	Эксперимент может проверить эту гипотезу.
简化	упрощать	Пожалуйста, еще больше упростите процесс.
简陋	простой; убогий	Они живут в простой маленькой хижине.
简体字	упрощенные китайские иероглифы	В этом учебнике используются упрощенные китайские иероглифы.
简要	краткий; вкратце	Пожалуйста, кратко объясните свою точку зрения.
健全	здоровый; совершенствовать	Компании нужно усовершенствовать систему управления.
剑	меч	На стене висит древний меч.
溅	брызгать	Дождевая вода брызнула ему на брюки.
舰艇	военный корабль	В учениях участвовало много военных кораблей.
见多识广	много повидавший и знающий	Этот пожилой человек много повидал и многое знает.
见解	мнение; взгляд	У него есть оригинальный взгляд на эту проблему.
见闻	виденное и слышанное; кругозор	Путешествие расширило его кругозор.
见义勇为	мужественно поступить ради справедливости	Его похвалили за смелый поступок ради справедливости.
践踏	топтать; попирать	Не топчите газон.
鉴别	различать; распознавать	Эксперт может определить подлинность этой картины.
鉴定	экспертиза; установить подлинность	Полиция проводит экспертизу отпечатков пальцев.
鉴于	учитывая; ввиду	Ввиду плохой погоды мероприятие перенесли.
间谍	шпион	Этот фильм рассказывает шпионскую историю.
间隔	интервал; промежуток	Между двумя совещаниями интервал в одну неделю.
间接	косвенный	Эта политика окажет косвенное влияние.
僵硬	жесткий; скованный	Его улыбка выглядела очень скованной.
将军	генерал	Генерал отдал приказ.
将近	почти; около	Этот проект длился почти два года.
将就	обходиться; мириться с условиями	Условия плохие, нам остается только как-то приспособиться.
奖励	награждать; поощрение	Школа наградила отличных учеников.
奖赏	награда; вознаграждать	Король дал воинам щедрую награду.
桨	весло	Лодочник веслом направил лодку к берегу.
降临	наступать; опускаться	Ночь постепенно опустилась на город.
交叉	пересекаться; перекрестный	Две дороги пересекаются здесь.
交代	объяснять; поручать	Пожалуйста, четко объясните задачу.
交涉	вести переговоры	Стороны ведут переговоры о компенсации.
交易	сделка; торговля	Эта сделка уже завершена.
娇气	изнеженный; капризный	Не будь таким изнеженным, погода вовсе не холодная.
焦点	фокус; центр внимания	Проблема занятости стала центром обсуждения.
焦急	тревожный; беспокойный	Мать тревожно ждала возвращения ребенка.
侥幸	случайно повезти; по счастливой случайности	Ему повезло избежать беды.
搅拌	перемешивать	Пожалуйста, равномерно перемешайте тесто.
缴纳	платить; вносить платеж	Жителям нужно вовремя платить за воду.
角落	угол	Кошка спряталась в углу комнаты.
教养	воспитание; манеры	Хорошее воспитание проявляется в деталях.
较量	состязаться; помериться силами	Две сильные команды скоро померятся силами.
接连	подряд; один за другим	Он подряд получил три письма.
揭露	разоблачать; раскрывать	Журналист раскрыл проблему безопасности пищевых продуктов.
皆	все; каждый	Эти правила известны всем.
阶层	социальный слой	У разных социальных слоев разные потребности.
截止	заканчиваться; крайний срок	Регистрация заканчивается завтра днем.
截至	по состоянию на; к сроку	По состоянию на сегодня уже зарегистрировались двести человек.
杰出	выдающийся	Она выдающийся ученый.
竭尽全力	приложить все силы	Мы приложим все силы, чтобы выполнить задачу.
结晶	кристаллизация; плод усилий	Этот результат - плод многолетних усилий.
结局	финал; исход	Финал истории оказался неожиданным.
结算	расчет; рассчитываться	Клиент требует произвести расчет расходов в конце месяца.
节制	умеренность; сдержанность	В питании нужна умеренность.
节奏	ритм	У этой песни быстрый ритм.
解除	снимать; устранять	Компания сняла сигнал тревоги безопасности.
解放	освобождать	Реформы освободили производительные силы.
解雇	увольнять	Начальник решил уволить того сотрудника.
解剖	анатомия; вскрывать	Студенты-медики изучают анатомию.
解散	распускать; расходиться	После окончания собрания команда разошлась.
解体	распадаться; распад	Тот союз в конце концов распался.
借鉴	перенимать опыт; брать за образец	Мы можем перенять зарубежный опыт.
借助	с помощью; прибегать к помощи	Он с помощью карты нашел маршрут.
戒备	боевая готовность; настороженность	Пограничный район находится в высокой готовности.
界限	граница; предел	Между работой и жизнью нужны четкие границы.
津津有味	с большим интересом	Дети слушали рассказ с большим интересом.
金融	финансы; финансовый	Сегодня на финансовом рынке сильные колебания.
紧迫	срочный; неотложный	Времени мало, мы должны действовать немедленно.
锦上添花	добавить красоты к уже хорошему	Этот подарок стал приятным дополнением.
晋升	повышение; продвигать по службе	В прошлом году его повысили до руководителя отдела.
浸泡	замачивать	Бобы нужно замочить на ночь.
近来	в последнее время	В последнее время погода сильно меняется.
进而	затем; далее	Сначала понять потребности, затем разработать план.
进攻	атаковать; наступление	Во втором тайме команда усилила атаку.
进化	эволюционировать	Живые существа эволюционируют вместе со средой.
进展	прогресс; продвижение	Проект сейчас идет успешно.
