simplified	RO	example_RO
经营	a conduce; a administra	Ea conduce un magazin mic.
酒吧	un bar	Ei au mers seara la un bar.
救	a salva	Doctorul i-a salvat viața.
救护车	o ambulanță	Ambulanța a ajuns repede.
舅舅	unchiul din partea mamei	Unchiul meu din partea mamei locuiește la Nanjing.
居然	surprinzător	Surprinzător, și-a uitat propria zi de naștere.
桔子	o mandarină	Pe masă sunt câteva mandarine.
俱乐部	un club	Ea s-a înscris la clubul de înot.
具备	a avea; a dispune de	El are experiență de management.
具体	concret	Te rog să fii puțin mai concret.
巨大	uriaș	Acest proiect necesită o investiție uriașă.
据说	se spune că	Se spune că el s-a întors deja în țara lui.
捐	a dona	Toată lumea este dispusă să doneze bani.
决赛	o finală	Mâine este finala de fotbal.
决心	hotărâre	El s-a hotărât să învețe bine chineza.
绝对	absolut	Această chestiune nu trebuie absolut deloc uitată.
角色	un rol	Ea joacă un rol important în film.
军事	militar	El este foarte interesat de istoria militară.
均匀	uniform	Te rog să aplici culoarea uniform.
卡车	un camion	Un camion este parcat la intrare.
开发	a dezvolta	Compania dezvoltă un produs nou.
开放	a se deschide; deschis	Parcul se deschide în fiecare dimineață la șase.
开幕式	o ceremonie de deschidere	Ceremonia de deschidere va avea loc mâine seară.
开水	apă fiartă	Vă rog să îmi dați un pahar de apă fiartă.
砍	a tăia	Muncitorul taie crengi.
看不起	a disprețui	Nu disprețui pe nimeni.
看望	a vizita	În acest weekend îmi voi vizita bunicii.
靠	a se sprijini	El s-a sprijinit de perete ca să se odihnească.
颗	un clasificator pentru obiecte mici și rotunde	Pe cerul nopții este o stea.
可见	se vede că	Se vede că această metodă este eficientă.
可靠	de încredere	El este un prieten de încredere.
可怕	înfricoșător	Acest vis a fost prea înfricoșător.
克	un gram	Te rog să adaugi două grame de sare.
克服	a depăși	Trebuie să depășim dificultățile.
刻苦	sârguincios	El învață foarte sârguincios.
客观	obiectiv	Te rog să analizezi problema obiectiv.
课程	un curs	Acest curs este foarte util.
空间	spațiu	Această cameră are mult spațiu.
控制	a controla	Șoferul a controlat viteza mașinii.
空闲	timp liber	Ai timp liber mâine după-amiază?
口味	gust	Gusturile lui sunt destul de ușoare.
夸	a lăuda	Profesorul l-a lăudat pentru progresul mare.
夸张	exagerat	Expresia lui este puțin exagerată.
会计	un contabil	Ea lucrează ca contabilă la companie.
宽	lat	Acest drum este foarte lat.
昆虫	o insectă	Copiii observă insecte.
扩大	a extinde	Școala plănuiește să extindă biblioteca.
辣椒	ardei iute	În mâncare s-au pus mulți ardei iuți.
拦	a opri	Poliția a oprit o mașină.
烂	putred	Acest măr a putrezit deja.
朗读	a citi cu voce tare	Te rog să citești textul cu voce tare.
劳动	muncă	Munca îi face pe oameni să se simtă împliniți.
劳驾	scuzați-mă	Scuzați-mă, unde este stația de metrou?
姥姥	bunica din partea mamei	Bunica mea din partea mamei gătește foarte bine.
老百姓	oameni obișnuiți	Oamenii obișnuiți sunt preocupați de costul vieții.
老板	un șef	Șeful nu este astăzi la birou.
老婆	soție	El a cumpărat flori pentru soția lui.
老实	cinstit	El este un om cinstit.
老鼠	un șoarece; un șobolan	În bucătărie este un șoarece.
乐观	optimist	Ea este optimistă în privința viitorului.
雷	tunet	Tunetul de aseară a fost foarte puternic.
类型	un tip	Din ce tip face parte acest film?
冷淡	rece; indiferent	Atitudinea lui este puțin rece.
厘米	un centimetru	Acest pix are cincisprezece centimetri lungime.
梨	o pară	Am cumpărat câteva pere.
离婚	a divorța	Ei au divorțat anul trecut.
理论	o teorie	Această teorie este foarte complexă.
理由	un motiv	Ce motiv ai pentru întârziere?
利润	profit	Profitul companiei a crescut anul acesta.
利息	dobândă	Dobânda bancară nu este mare.
利益	interes; beneficiu	Trebuie să protejăm interesele tuturor.
利用	a folosi	El folosește weekendul ca să învețe chineză.
力量	putere	Unitatea este putere.
立即	imediat	Te rog să pleci imediat de aici.
立刻	imediat	După ce a auzit vestea, a pornit imediat.
联合	împreună; a uni	Cele două companii au dezvoltat împreună un produs.
连忙	repede; în grabă	Când a auzit telefonul, l-a ridicat repede.
连续	continuu	El a lucrat zece ore fără întrerupere.
恋爱	o relație romantică	Ei sunt într-o relație romantică.
粮食	cereale; alimente de bază	Producția de cereale de anul acesta a crescut.
良好	bun; favorabil	El are obiceiuri bune de studiu.
亮	luminos; strălucitor	Lumina din cameră este foarte puternică.
了不起	remarcabil; extraordinar	Ea a obținut rezultate remarcabile.
列车	un tren	Trenul este pe punctul de a pleca.
临时	temporar	Aceasta este o decizie temporară.
灵活	flexibil	Metodele de studiu trebuie să fie flexibile.
铃	un clopoțel	Clopoțelul de intrare la oră a sunat.
零件	o piesă	Mașinii îi lipsește o piesă.
零食	gustări	Copiilor le place să mănânce gustări.
领导	un lider; conducerea	Conducătorul este într-o ședință.
领域	un domeniu	Ea lucrează în domeniul educației.
流传	a se transmite; a circula	Această poveste s-a transmis multă vreme.
流泪	a vărsa lacrimi	După ce a auzit vestea, a vărsat lacrimi.
浏览	a răsfoi; a naviga	Mai întâi voi naviga puțin pe pagina web.
龙	un dragon	În cultura chineză există dragoni.
漏	a curge; a omite	Acoperișul lasă apa de ploaie să treacă.
录取	a admite	El a fost admis la universitate.
录音	a înregistra	Vă rog să începeți înregistrarea.
陆地	uscat	Țestoasa de mare s-a urcat pe uscat.
陆续	pe rând	Oaspeții au sosit pe rând.
轮流	a face cu rândul	Facem cu rândul la curățenia clasei.
论文	o lucrare; o teză	Ea își scrie lucrarea de absolvire.
逻辑	logică	Logica lui este foarte clară.
落后	a rămâne în urmă	Nu putem rămâne în urmă față de alții.
骂	a certa	Te rog să nu cerți copilul.
麦克风	un microfon	Te rog să îi dai microfonul.
馒头	o chiflă chinezească la abur	La micul dejun am mâncat o chiflă la abur.
满足	a satisface; a îndeplini	Acest răspuns nu îndeplinește cerințele.
毛病	o problemă; un defect	Acest calculator are o mică problemă.
矛盾	o contradicție; un conflict	Între ei există unele conflicte.
冒险	a-și asuma riscuri	Să mergi singur acolo este prea riscant.
贸易	comerț	Comerțul internațional se dezvoltă rapid.
媒体	mass-media	Mass-media a relatat despre această chestiune.
煤炭	cărbune	Această regiune produce cărbune.
眉毛	o sprânceană	Sprâncenele ei sunt dese.
美术	arte plastice; desen	Sora mea mai mică este pasionată de arte plastice.
魅力	farmec	Acest oraș are mult farmec.
梦想	un vis	Visul lui este să devină medic.
密切	strâns; apropiat	Menținem un contact strâns.
秘密	un secret	Acesta este secretul nostru.
秘书	un secretar; o secretară	Secretara a stabilit ora ședinței.
蜜蜂	o albină	În flori sunt multe albine.
面对	a înfrunta; a se confrunta cu	Trebuie să înfruntăm dificultățile cu curaj.
面积	o suprafață	Suprafața acestei camere nu este mare.
面临	a se confrunta cu	Compania se confruntă cu noi provocări.
描写	a descrie	Autorul a descris viața de la țară.
苗条	suplu	Ea are o siluetă suplă.
敏感	sensibil	Acest subiect este destul de sensibil.
名牌	o marcă renumită	El a cumpărat un ceas de marcă.
名片	o carte de vizită	Vă rog să îmi dați o carte de vizită.
名胜古迹	obiective istorice și turistice	Beijingul are multe obiective istorice și turistice.
明确	clar; explicit	Profesorul a explicat clar cerințele.
明显	evident	Progresul lui este evident.
明星	o vedetă	Ea vrea să devină vedetă de cinema.
命令	un ordin	Soldații trebuie să respecte ordinele.
命运	destin	El crede că destinul poate fi schimbat.
摸	a atinge	Te rog să nu atingi acest tablou.
摩托车	o motocicletă	El merge la serviciu cu motocicleta.
模仿	a imita	Copiilor le place să imite felul de a vorbi al adulților.
模糊	neclar; încețoșat	Această fotografie este puțin neclară.
模特	un model	Ea este model de haine.
陌生	necunoscut; străin	Acest oraș îmi este foarte străin.
某	un anumit; oarecare	Un anumit profesor m-a sunat.
木头	lemn	Această masă este făcută din lemn.
目标	un obiectiv	Obiectivul meu este să trec examenul.
目录	un cuprins; un catalog	Te rog să te uiți mai întâi la cuprinsul de la începutul cărții.
目前	în prezent	În prezent, situația este destul de stabilă.
哪怕	chiar dacă	Chiar dacă este foarte ocupat, continuă să studieze.
难怪	nu e de mirare	Nu e de mirare că ești atât de bucuros astăzi.
难免	greu de evitat	La prima încercare, greșelile sunt greu de evitat.
脑袋	cap	Îl doare puțin capul.
内部	intern	Acestea sunt materiale interne ale companiei.
内科	medicină internă	El merge astăzi la medicină internă.
嫩	fraged; delicat	Această bucată de carne este foarte fragedă.
能干	capabil	Ea este o persoană foarte capabilă.
能源	energie	Energia solară este un tip de energie curată.
嗯	mhm	Mhm, am înțeles.
年代	o perioadă; un deceniu	Această fotografie a fost făcută în anii optzeci.
年纪	vârstă	Nu este foarte în vârstă, dar are multă experiență.
念	a citi cu voce tare	Te rog să citești textul cu voce tare o dată.
宁可	a prefera	Mai bine merg pe jos decât să aștept autobuzul.
牛仔裤	blugi	El poartă o pereche de blugi.
农村	mediul rural; sat	Ea a crescut la țară.
农民	un fermier	Fermierii lucrează pe câmp.
农业	agricultură	Agricultura este foarte importantă pentru această regiune.
浓	concentrat; tare	Această cafea este prea tare.
女士	o doamnă	Acea doamnă așteaptă autobuzul.
欧洲	Europa	El va călători în Europa luna viitoare.
偶然	întâmplător	M-am întâlnit întâmplător cu un fost coleg.
拍	a fotografia	Te rog să mă ajuți să fac o fotografie.
派	a trimite	Compania l-a trimis la Shanghai într-o delegație.
盼望	a aștepta cu nerăbdare	Aștept cu nerăbdare să te văd cât mai curând.
培训	instruire; formare	Noii angajați trebuie să participe la instruire.
培养	a cultiva; a forma	Școala pune accent pe dezvoltarea abilităților elevilor.
赔偿	a despăgubi	Compania a fost de acord să despăgubească pierderile.
佩服	a admira	Îi admir foarte mult curajul.
配合	a coopera	Vă rog să cooperați cu aranjamentele profesorului.
盆	un ghiveci; un lighean	Pe balcon este un ghiveci cu flori.
碰	a atinge; a se lovi	Ai grijă, nu atinge apa fierbinte.
批	un lot; a critica	Acest lot de marfă a sosit astăzi.
批准	a aproba	Managerul a aprobat acest plan.
披	a purta pe umeri	Ea are o haină pusă pe umeri.
疲劳	oboseală	Munca îndelungată poate provoca oboseală.
匹	un clasificator pentru cai	Pe iarbă este un cal.
片	o felie; o bucată subțire	Te rog să îmi dai o felie de pâine.
片面	unilateral; parțial	Această opinie este prea unilaterală.
飘	a pluti	Fulgii de zăpadă plutesc în aer.
拼音	pinyin	Te rog să scrii pinyinul lângă caracterele chinezești.
频道	un canal	Te rog să schimbi pe canalul de știri.
凭	pe baza	Cu biletul poți intra.
平均	mediu; în medie	În medie, fiecare persoană a cheltuit zece yuani.
平	plat; neted	Acest drum este foarte neted.
平安	în siguranță	Îți doresc drum bun și în siguranță.
平常	de obicei	De obicei, el întârzie foarte rar.
平等	egalitate	Fiecare persoană ar trebui tratată în mod egal.
平方	pătrat	Această cameră are douăzeci de metri pătrați.
平衡	echilibru	Munca și viața au nevoie de echilibru.
平静	liniștit	Suprafața lacului este foarte liniștită.
评价	a evalua; o evaluare	Profesorul a dat o evaluare foarte bună.
破产	a da faliment	Compania aceea a dat faliment anul trecut.
破坏	a distruge; a deteriora	Vă rog să nu deteriorați proprietatea publică.
迫切	urgent	Avem nevoie urgentă de mai mulți medici.
期待	a aștepta cu nerăbdare	Aștept cu nerăbdare această călătorie.
期间	în timpul; perioadă	Vă rog să închideți telefoanele în timpul ședinței.
其余	restul; ceilalți	Restul problemelor vor fi discutate mâine.
奇迹	un miracol	Doctorul a spus că acesta este un miracol.
企业	o întreprindere; o companie	Această întreprindere se dezvoltă rapid.
启发	inspirație; a inspira	Această carte mi-a dat multă inspirație.
气氛	o atmosferă	Atmosfera din clasă este foarte relaxată.
汽油	benzină	Mașina are nevoie de benzină.
签	a semna	Vă rog să vă scrieți semnătura aici.
谦虚	modest	El este foarte bun, dar și foarte modest.
前途	perspective	Acest domeniu de studiu are perspective bune.
浅	puțin adânc; superficial	Acest râu este puțin adânc.
欠	a datora	El încă îmi datorează douăzeci de yuani.
枪	o armă	Polițistul ține o armă în mână.
墙	un perete	Pe perete este agățat un tablou.
强调	a sublinia	Profesorul a subliniat problema siguranței.
强烈	puternic	El are un puternic simț al responsabilității.
抢	a se bate pentru; a smulge	Nu te bate cu alții pentru locuri.
悄悄	în liniște; pe furiș	Ea a intrat în cameră în liniște.
瞧	a privi; a se uita	Uite, afară ninge.
巧妙	ingenios; abil	Această metodă este foarte ingenioasă.
切	a tăia	Vă rog să tăiați fructele în bucăți mici.
亲爱	drag	Dragă prietene, îți mulțumesc.
亲切	amabil; cald	Profesorul vorbește foarte cald.
亲自	personal	Managerul a primit personal oaspeții.
勤奋	harnic; sârguincios	Oamenii harnici reușesc mai ușor.
清淡	ușor; cu gust delicat	Îmi place să mănânc feluri de mâncare ușoare.
轻视	a subestima; a disprețui	Nu subestima această mică problemă.
轻易	ușor; cu ușurință	El nu va renunța ușor.
青	albastru-verzui	Această haină este albastru-verzuie.
青春	tinerețe	Tinerețea este prețioasă.
青少年	adolescenți	Adolescenții au nevoie de somn suficient.
情景	o scenă; o situație	Scena din film este foarte emoționantă.
情绪	emoții; stare emoțională	Starea lui emoțională nu este prea stabilă.
请求	o cerere; a cere	El a făcut o cerere.
庆祝	a sărbători	Noi i-am sărbătorit ziua de naștere.
球迷	un suporter	Mulți suporteri au venit să vadă meciul.
趋势	o tendință	Această tendință devine din ce în ce mai evidentă.
取消	a anula	Evenimentul a fost anulat din cauza ploii.
娶	a lua de soție	El intenționează să se însoare cu ea anul viitor.
去世	a muri; a se stinge din viață	Bunicul lui a murit anul trecut.
圈	un cerc; a încercui	Vă rog să încercuiți răspunsul corect.
全面	cuprinzător; complet	Trebuie să înțelegem situația în mod cuprinzător.
权利	un drept	Fiecare persoană are dreptul la educație.
权力	putere; autoritate	Puterea ar trebui supravegheată.
劝	a sfătui	Prietenul meu m-a sfătuit să mă odihnesc mai devreme.
缺乏	a duce lipsă de; lipsă	Această zonă duce lipsă de apă curată.
确定	a stabili; sigur	Încă nu pot stabili ora.
确认	a confirma	Vă rog să vă confirmați adresa.
群	un grup	Un grup de copii se joacă pe terenul de sport.
燃烧	a arde	Lemnul arde.
绕	a ocoli; a merge în jurul	Am mers o tură în jurul lacului.
热爱	a iubi cu pasiune	El își iubește cu pasiune munca.
热烈	călduros	Toată lumea i-a întâmpinat călduros pe oaspeți.
热心	entuziast; săritor	Vecinii sunt toți foarte săritori.
人才	talente; oameni talentați	Compania are nevoie de mai mulți oameni talentați.
人口	populație	Acest oraș are o populație mare.
人类	omenirea	Omenirea trebuie să protejeze Pământul.
人民币	renminbi; yuan chinezesc	Am schimbat niște renminbi.
人生	viață	Viața are multe alegeri.
人事	resurse umane	Ea lucrează în departamentul de resurse umane.
人物	un personaj	Personajele din roman par foarte reale.
人员	personal	Tot personalul a sosit deja.
忍不住	a nu se putea abține	După ce a auzit gluma, nu s-a putut abține să râdă.
日常	zi de zi; cotidian	Aceasta este munca mea de zi cu zi.
日程	un program	Programul de astăzi este foarte încărcat.
日历	un calendar	Pe perete este agățat un calendar.
日期	o dată	Vă rog să scrieți clar data.
日用品	articole de uz zilnic	Supermarketul vinde multe articole de uz zilnic.
日子	zile; perioadă	În aceste zile el este foarte ocupat.
如何	cum	Cum ar trebui să rezolvăm această problemă?
如今	în prezent	În prezent, transportul este mult mai comod.
软	moale	Acest pat este foarte moale.
软件	software	Acest software este ușor de folosit.
弱	slab	Corpul lui este destul de slăbit.
洒	a vărsa; a stropi	El a vărsat apa din neatenție.
嗓子	gât; voce	Mă doare puțin gâtul.
色彩	culoare; colorit	Acest tablou are culori bogate.
杀	a ucide	În acest film nu există scene de omor.
沙漠	un deșert	Apa din deșert este foarte prețioasă.
沙滩	o plajă	Copiii se joacă pe plajă.
傻	prostesc; naiv	Nu face prostii.
晒	a usca la soare	Hainele se usucă la soare pe balcon.
删除	a șterge	Vă rog să ștergeți acest e-mail.
闪电	fulger	Noaptea au apărut fulgere.
善良	bun; cu suflet bun	Ea este o persoană cu suflet bun.
善于	a se pricepe la	El se pricepe să rezolve probleme.
扇子	un evantai	Vara folosesc des un evantai.
伤害	a răni; a face rău	Nu răni sentimentele altora.
商品	mărfuri; produse	Acest magazin are multe produse.
商务	afaceri	El va participa mâine la o ședință de afaceri.
商业	comerț	Comerțul este bine dezvoltat în această zonă.
上当	a fi păcălit	El era cât pe ce să fie păcălit.
蛇	un șarpe	În iarbă este un șarpe.
舍不得	a nu se îndura să se despartă de	Îmi vine greu să plec de aici.
射击	tir; a trage cu arma	El se antrenează la tir.
摄影	fotografie	Ea este foarte interesată de fotografie.
设备	echipament	Echipamentul din laborator este foarte avansat.
设计	un design; a proiecta	Acest design este foarte creativ.
设施	facilități	Facilitățile sportive ale școlii sunt bune.
伸	a întinde	Vă rog să întindeți mâna.
深刻	profund	Această experiență mi-a lăsat o impresie profundă.
身材	constituție; siluetă	Ea are o constituție sănătoasă.
身份	identitate; statut	Vă rog să prezentați dovada identității.
神话	mitologie; mit	Copiilor le place să asculte povești mitologice.
神秘	misterios	Acest oraș antic este foarte misterios.
升	un litru; a crește	Prețul combustibilului a crescut puțin pe litru.
声调	un ton	Limba chineză are patru tonuri de bază.
生产	a produce	Această fabrică produce telefoane mobile.
生动	viu; expresiv	Profesorul explică foarte expresiv.
生长	a crește	Acest tip de plantă crește repede.
绳子	o frânghie	Vă rog să legați bine cutia cu o frânghie.
省略	a omite	Aici se poate omite un caracter.
胜利	o victorie	Ei au obținut în sfârșit victoria.
失眠	insomnie	În ultima vreme el suferă des de insomnie.
失去	a pierde	Nu-ți pierde încrederea.
失业	șomaj; a rămâne fără serviciu	După ce a rămas fără serviciu, a început să învețe abilități noi.
湿润	umed	Aerul de după ploaie este foarte umed.
狮子	un leu	La grădina zoologică sunt doi lei.
诗	o poezie	El a scris o poezie.
实话	adevărul	Te rog să spui adevărul.
实践	practică; a pune în practică	Teoria trebuie verificată prin practică.
实习	a face practică	Ea va face practică la spital în vacanța de vară.
实现	a realiza	El și-a realizat în sfârșit visul.
实验	un experiment	Elevii fac un experiment.
实用	practic	Această unealtă este foarte practică.
时差	diferență de fus orar	El încă nu s-a adaptat la diferența de fus orar.
时代	o epocă	Trăim în epoca informației.
时刻	un moment	Vă rog să țineți minte acest moment important.
时髦	la modă	Această haină este foarte la modă.
时期	o perioadă	Perioada universității a avut o mare influență asupra lui.
时尚	modă	Ea este foarte interesată de modă.
石头	o piatră	Pe marginea drumului este o piatră.
食物	mâncare	Vă rog să puneți mâncarea în frigider.
使劲儿	a folosi forță	Pentru a deschide această sticlă trebuie să folosești forță.
始终	tot timpul; de la început până la sfârșit	El a crezut tot timpul că poate reuși.
事实	un fapt	Faptele dovedesc că el a avut dreptate.
事物	lucruri	Copiii sunt foarte curioși față de lucrurile noi.
事先	dinainte	Vă rog să îmi spuneți ora dinainte.
似的	ca și cum	Părea atât de obosit, ca și cum nu voia să spună niciun cuvânt.
士兵	un soldat	Soldații se antrenează.
市场	o piață	Această piață este foarte animată.
试卷	o lucrare de examen	Profesorul corectează lucrările de examen.
收获	câștig; recoltă	Această călătorie mi-a adus multe câștiguri.
收据	o chitanță	După plată, vă rog să păstrați chitanța.
手工	manual; făcut de mână	Acest cadou este făcut de mână.
手术	o operație	Doctorul îl va opera mâine.
手套	mănuși	Iarna trebuie să porți mănuși când ieși.
手续	formalități	Pentru formalități este nevoie de cartea de identitate.
手指	un deget	Degetul lui este rănit.
首	un clasificator pentru cântece/poezii	Ea a cântat un cântec.
受伤	a se răni	El s-a rănit în timpul meciului.
寿命	durată de viață	Acest tip de mașină are o durată de viață lungă.
书架	un raft de cărți	Raftul de cărți este plin.
梳子	un pieptene	Ea își piaptănă părul cu un pieptene.
舒适	confortabil	Această cameră este foarte confortabilă.
蔬菜	legume	Să mănânci mai multe legume este bine pentru sănătate.
输入	a introduce	Vă rog să introduceți parola în computer.
熟练	priceput; cu îndemânare	El poate folosi computerul cu îndemânare.
属于	a aparține	Această carte aparține bibliotecii.
数	a număra	Te rog să numeri câți oameni sunt.
鼠标	un mouse	Mouse-ul meu este stricat.
数据	date	Aceste date sunt foarte importante.
数码	digital	El a cumpărat un aparat foto digital.
摔倒	a cădea	Ea a căzut pe drum.
甩	a scutura	El și-a scuturat apa de pe mâini.
双方	ambele părți	Ambele părți au fost de acord cu această soluție.
税	taxă; impozit	Când cumperi lucruri, trebuie să plătești taxe.
说不定	poate	Poate mâine va ninge.
说服	a convinge	În cele din urmă, el și-a convins părinții.
丝绸	mătase	Această eșarfă este făcută din mătase.
丝毫	deloc	El nu și-a schimbat deloc părerea.
思考	a se gândi; a reflecta	Vă rog să vă gândiți serios la această problemă.
思想	gândire; idee	Gândirea lui este foarte deschisă.
撕	a rupe	Vă rog să nu rupeți această foaie.
私人	privat	Acesta este spațiul meu privat.
似乎	a părea	El pare să nu fie prea bucuros.
搜索	a căuta	Am căutat materiale pe internet.
宿舍	un cămin	Studenții locuiesc în căminul școlii.
随身	la sine	Vă rog să țineți pașaportul la dumneavoastră.
随时	oricând	Poți să mă suni oricând.
随手	din mers; la îndemână	Când plecați, vă rog să închideți ușa în urma voastră.
碎	spart	Paharul a căzut pe jos și s-a spart.
损失	o pierdere	Acest accident a provocat o pierdere mare.
缩短	a scurta	Noul traseu a scurtat drumul.
所	un clasificator pentru școli/instituții	Această școală este foarte cunoscută.
锁	a încuia	Vă rog să încuiați bine ușa înainte să ieșiți.
台阶	trepte	Persoana în vârstă a urcat încet treptele.
太极拳	taijiquan; tai chi	În parc sunt oameni care practică tai chi.
太太	doamna; soția	Doamna Wang gătește.
谈判	negocieri; a negocia	Ambele părți negociază.
坦率	sincer; franc	El și-a spus sincer gândurile.
烫	fierbinte; a opări	Această ceașcă de ceai este foarte fierbinte.
桃	o piersică	În copac au crescut multe piersici.
淘气	obraznic	Acest copil este puțin obraznic.
逃	a fugi	Cățelul a fugit din curte.
逃避	a evita	Nu evita responsabilitatea.
讨价还价	a se târgui	Îi place să se târguiască atunci când cumpără lucruri.
套	un set	El a cumpărat un set nou de haine.
特色	o caracteristică	Acest restaurant are specific local.
特殊	special	Astăzi este o zi specială.
特征	o trăsătură	Acest animal are trăsături evidente.
疼爱	a iubi cu drag	Bunicii îl iubesc foarte mult pe copil.
提倡	a promova; a susține	Școala promovează economisirea apei.
提纲	un plan; o schiță	Înainte să scrii articolul, fă mai întâi un plan.
提问	a pune întrebări	Elevii pot pune întrebări oricând.
题目	un subiect; o întrebare	Această întrebare nu este prea grea.
体会	o înțelegere; a realiza	Prin călătorie, am dobândit o nouă înțelegere.
体贴	atent; grijuliu	El este foarte atent cu familia lui.
体现	a reflecta	Această chestiune reflectă spiritul de echipă.
体验	a experimenta	Vreau să experimentez viața locală.
天空	cer	Cerul de astăzi este foarte albastru.
天真	naiv; inocent	Ideea copilului este foarte inocentă.
调皮	poznaș	Acea pisică este foarte poznașă.
调整	a ajusta	Trebuie să ajustăm planul.
挑战	o provocare	Aceasta este o provocare mare.
通常	de obicei	De obicei, el se trezește la șapte.
统一	a unifica; a armoniza	Opiniile tuturor trebuie armonizate.
痛苦	durere; suferință	Pierderea prietenului l-a făcut să sufere.
痛快	pe cinste; foarte plăcut	Astăzi ne-am distrat pe cinste.
偷	a fura	Nu fura lucrurile altora.
投入	concentrat; a investi	El lucrează foarte concentrat.
投资	a investi	Ei au investit într-un proiect nou.
透明	transparent	Acest pahar este transparent.
突出	remarcabil; proeminent	Punctele lui forte sunt foarte evidente.
土地	pământ; teren	Această bucată de pământ este foarte fertilă.
土豆	un cartof	Am cumpărat câțiva cartofi.
兔子	un iepure	Copilul crește un iepure.
吐	a vomita	El nu se simte bine și vrea să vomite.
团	un grup	Ne-am înscris într-un grup turistic.
推辞	a refuza	El a refuzat invitația prietenului său.
推广	a promova	Compania promovează un produs nou.
推荐	a recomanda	Profesorul a recomandat această carte.
退	a face un pas înapoi	Vă rog să faceți un pas înapoi.
退步	a regresa	Dacă nu exersezi, nivelul tău va regresa.
退休	a ieși la pensie	El va ieși la pensie anul viitor.
歪	strâmb	Acest tablou este agățat strâmb.
外公	bunicul din partea mamei	Bunicul meu din partea mamei are anul acesta optzeci de ani.
外交	diplomație	El studiază relații internaționale și diplomație.
完美	perfect	Acest plan nu este perfect.
完善	a îmbunătăți	Trebuie să îmbunătățim procesul de servicii.
完整	complet	Vă rog să îmi dați un raport complet.
玩具	jucării	Copilul a pus jucăriile în cutie.
万一	în caz că	În caz că plouă, mergem în altă zi.
王子	un prinț	Prințul din poveste este foarte curajos.
往返	dus-întors	Acest bilet permite o călătorie dus-întors în aceeași zi.
网络	rețea; internet	Conexiunea la internet de aici este foarte stabilă.
危害	a dăuna	Fumatul poate dăuna sănătății.
威胁	a amenința	Poluarea amenință râul.
微笑	un zâmbet; a zâmbi	Ea mi-a zâmbit.
唯一	unic; singurul	Aceasta este singura metodă.
围巾	un fular	Iarna el poartă fular.
围绕	a se concentra pe	Discuția s-a concentrat pe această problemă.
维修	reparații; întreținere	Liftul este în reparații.
违反	a încălca	A face așa încalcă regulile.
伟大	măreț; mare	Aceasta este o descoperire măreață.
委屈	a se simți nedreptățit	Ea s-a simțit foarte nedreptățită.
尾巴	o coadă	Cățelul dădea din coadă.
位于	a fi situat	Școala este situată în centrul orașului.
位置	un loc; o poziție	Acest loc este foarte liniștit.
未必	nu neapărat	Ceea ce a spus el nu este neapărat adevărat.
未来	viitor	Trebuie să ne pregătim pentru viitor.
胃	stomac	Stomacul meu se simte puțin rău.
胃口	poftă de mâncare	El are poftă bună de mâncare astăzi.
温暖	cald	Soarele de primăvară este foarte cald.
温柔	blând	Ea vorbește foarte blând.
文件	un document	Vă rog să îmi trimiteți documentul.
文具	articole de papetărie	În ghiozdan sunt multe articole de papetărie.
文明	civilizat	A sta la coadă este un comportament civilizat.
文学	literatură	Ei îi place literatura chineză.
文字	caractere; text	Aceste caractere sunt greu de citit.
闻	a mirosi	Am simțit miros de flori.
吻	a săruta	Mama l-a sărutat pe copil pe obraz.
稳定	stabil	Prețurile rămân stabile.
问候	a transmite salutări	Vă rog să transmiteți salutările mele familiei dumneavoastră.
卧室	un dormitor	În dormitor este un pat mare.
握手	a da mâna	Când s-au întâlnit, au dat mâna.
屋子	o cameră	În cameră este cald.
无奈	neputincios	El a clătinat neputincios din cap.
无数	nenumărat	Pe cerul nopții sunt nenumărate stele.
无所谓	nu contează	Nu contează ce vrei să mănânci.
武术	arte marțiale	El studiază arte marțiale de mic.
勿	nu; interzis	Vă rugăm să nu fumați aici.
物理	fizică	Ora de fizică este foarte interesantă.
物质	o substanță; materie	Apa este o substanță importantă.
雾	ceață	Dimineața a fost ceață deasă.
吸取	a învăța din	Trebuie să învățăm din această lecție.
吸收	a absorbi	Plantele absorb apă.
戏剧	teatru; dramă	Îi place să vadă teatru tradițional.
系	departament; facultate	Ea studiază la departamentul de limba chineză.
系统	un sistem	Acest sistem funcționează stabil.
细节	detalii	Vă rog să fiți atenți la aceste detalii.
瞎	orbește; fără temei	Nu ghici la întâmplare; uită-te mai întâi la materiale.
下载	a descărca	Am descărcat acest software.
吓	a speria	Sunetul brusc m-a speriat.
夏令营	o tabără de vară	Copilul a participat la o tabără de vară de chineză.
鲜艳	intens colorat	Culoarea acestei fuste este foarte intensă.
显得	a face să pară	Această haină îl face să pară foarte tânăr.
显然	evident	Evident, el știe deja rezultatul.
显示	a afișa	Ecranul afișează ora greșită.
县	un județ; un district	Acest district are multe plantații de ceai.
现代	modern	Viața modernă nu se poate lipsi de internet.
现实	realitate	Trebuie să înfruntăm realitatea.
现象	un fenomen	Acest fenomen este foarte obișnuit.
限制	a restricționa	Intrarea vehiculelor este restricționată aici.
相处	a se înțelege	Ei se înțeleg foarte bine.
相当	destul de	Această carte este destul de interesantă.
相对	relativ	Prețurile de aici sunt relativ mici.
相关	relevant	Vă rog să furnizați materialele relevante.
