simplified	ES	example_ES
结账	pagar la cuenta	Después de comer fuimos a pagar la cuenta.
节省	ahorrar	Tomar el metro puede ahorrar tiempo.
借口	la excusa; poner excusas	Deja de poner excusas.
届	la edición; promoción	Esta es la tercera edición de la competición.
戒	dejar; abandonar un hábito	El médico le aconsejó dejar de fumar.
戒指	el anillo	Ella lleva un anillo.
金属	el metal	El hierro es un tipo de metal.
尽快	lo antes posible	Por favor, responde al correo lo antes posible.
紧急	urgente; la emergencia	Esta es una situación de emergencia.
谨慎	prudente; cauteloso	Hay que ser prudente antes de invertir.
尽力	hacer todo lo posible	Haré todo lo posible para ayudarte.
尽量	intentar en lo posible	Por favor, intenta llegar lo antes posible.
近代	la época moderna; moderno	La China moderna experimentó muchos cambios.
进步	el progreso; mejorar	Su chino progresa muy rápido.
进口	importar; importado	Este coche es importado.
精力	la energía	Los niños tienen mucha energía.
精神	el ánimo; el espíritu	Hoy él está de muy buen ánimo.
经典	clásico; los clásicos	Esta es una película clásica.
经商	hacer negocios	Su padre hace negocios en el extranjero.
经营	dirigir; gestionar	Ella dirige una pequeña tienda.
酒吧	el bar	Por la noche fueron a un bar.
救	salvar; rescatar	El médico le salvó la vida.
救护车	la ambulancia	La ambulancia llegó enseguida.
舅舅	el tío materno	Mi tío materno vive en Nankín.
居然	sorprendentemente; resulta que	Sorprendentemente, olvidó su propio cumpleaños.
桔子	la mandarina	Hay varias mandarinas sobre la mesa.
俱乐部	el club	Ella se unió al club de natación.
具备	tener; contar con	Él cuenta con experiencia en gestión.
具体	concreto; específico	Por favor, sé un poco más específico.
巨大	enorme; inmenso	Este proyecto requiere una inversión enorme.
据说	se dice que; según dicen	Se dice que él ya volvió a su país.
捐	donar	Todos están dispuestos a donar dinero.
决赛	la final	Mañana es la final de fútbol.
决心	la determinación; decidirse	Él decidió firmemente aprender bien chino.
绝对	absoluto; absolutamente	Este asunto no se puede olvidar en absoluto.
角色	el papel; el personaje	Ella interpreta un papel importante en la película.
军事	militar; los asuntos militares	A él le interesa mucho la historia militar.
均匀	uniforme; homogéneo	Por favor, aplica el color de manera uniforme.
卡车	el camión	Hay un camión aparcado en la entrada.
开发	desarrollar; explotar un recurso	La empresa está desarrollando un producto nuevo.
开放	abrir; estar abierto al público	El parque abre todos los días a las seis de la mañana.
开幕式	la ceremonia inaugural	La ceremonia inaugural se celebrará mañana por la noche.
开水	el agua hervida	Por favor, dame un vaso de agua hervida.
砍	cortar; talar	El trabajador está cortando ramas.
看不起	menospreciar; despreciar	No menosprecies a nadie.
看望	visitar	Este fin de semana iré a visitar a mis abuelos.
靠	apoyarse en; acercarse	Él se apoyó en la pared para descansar.
颗	clasificador para objetos pequeños y redondos	Hay una estrella en el cielo nocturno.
可见	se ve claramente que; queda claro	Queda claro que este método es muy eficaz.
可靠	fiable	Él es un amigo fiable.
可怕	aterrador; terrible	Este sueño fue demasiado aterrador.
克	el gramo	Por favor, añade dos gramos de sal.
克服	superar	Tenemos que superar las dificultades.
刻苦	trabajador; aplicado	Él estudia con mucho esfuerzo.
客观	objetivo; imparcial	Por favor, analiza el problema de forma objetiva.
课程	el curso; la clase	Este curso es muy útil.
空间	el espacio	Esta habitación tiene mucho espacio.
控制	controlar	El conductor controló la velocidad del coche.
空闲	el tiempo libre	¿Tienes tiempo libre mañana por la tarde?
口味	el gusto; el sabor	Sus gustos son bastante suaves.
夸	alabar; exagerar	El profesor lo alabó por haber progresado mucho.
夸张	exagerado; exagerar	Su expresión es un poco exagerada.
会计	el contable; la contabilidad	Ella trabaja como contable en la empresa.
宽	ancho; amplio	Esta carretera es muy ancha.
昆虫	el insecto	Los niños están observando insectos.
扩大	ampliar; expandir	La escuela planea ampliar la biblioteca.
辣椒	el chile; la guindilla	En el plato pusieron muchas guindillas.
拦	detener; bloquear	La policía detuvo un coche.
烂	podrido; pasado	Esta manzana ya está podrida.
朗读	leer en voz alta	Por favor, lee el texto en voz alta.
劳动	el trabajo manual; el trabajo	El trabajo hace que la gente se sienta realizada.
劳驾	perdone; disculpe	Perdone, ¿dónde está la estación de metro?
姥姥	la abuela materna	Mi abuela materna cocina muy bien.
老百姓	la gente corriente	La gente corriente se preocupa por el coste de la vida.
老板	el jefe; la jefa	El jefe no está hoy en la oficina.
老婆	la esposa; la mujer	Él le compró flores a su esposa.
老实	honesto; sincero	Él es una persona honesta.
老鼠	el ratón; la rata	Hay un ratón en la cocina.
乐观	optimista	Ella es optimista sobre el futuro.
雷	el trueno	El trueno de anoche fue muy fuerte.
类型	el tipo; la categoría	¿A qué tipo pertenece esta clase de película?
冷淡	frío; indiferente	Su actitud es un poco fría.
厘米	el centímetro	Este bolígrafo mide quince centímetros.
梨	la pera	Compré varias peras.
离婚	divorciarse	Ellos se divorciaron el año pasado.
理论	la teoría	Esta teoría es muy compleja.
理由	la razón; el motivo	¿Qué razón tienes para llegar tarde?
利润	el beneficio; las ganancias	El beneficio de la empresa aumentó este año.
利息	los intereses	Los intereses bancarios no son altos.
利益	el beneficio; los intereses	Tenemos que proteger los intereses de todos.
利用	aprovechar; utilizar	Él aprovecha el fin de semana para estudiar chino.
力量	la fuerza; el poder	La unión hace la fuerza.
立即	inmediatamente	Por favor, sal de aquí inmediatamente.
立刻	inmediatamente; enseguida	Después de oír la noticia, salió enseguida.
联合	unir; conjunto	Las dos empresas desarrollaron el producto conjuntamente.
连忙	enseguida; apresuradamente	Al oír el teléfono, lo cogió enseguida.
连续	continuo; seguido	Él trabajó diez horas seguidas.
恋爱	el amor romántico; tener una relación	Ellos están en una relación.
粮食	los cereales; los alimentos básicos	La producción de cereales aumentó este año.
良好	bueno; favorable	Él tiene buenos hábitos de estudio.
亮	brillante; luminoso	La luz de la habitación es muy brillante.
了不起	extraordinario; impresionante	Ella logró unos resultados extraordinarios.
列车	el tren	El tren está a punto de salir.
临时	temporal; provisional	Esta es una decisión provisional.
灵活	flexible	Los métodos de estudio deben ser flexibles.
铃	el timbre; la campana	Sonó el timbre de clase.
零件	la pieza; el componente	A la máquina le falta una pieza.
零食	el tentempié; los aperitivos	A los niños les gusta comer tentempiés.
领导	el líder; la dirección	El jefe está en una reunión.
领域	el campo; el ámbito	Ella trabaja en el campo de la educación.
流传	transmitirse; difundirse	Esta historia se ha transmitido durante mucho tiempo.
流泪	derramar lágrimas; llorar	Al oír esta noticia, ella lloró.
浏览	navegar; echar un vistazo	Primero voy a echar un vistazo a la página web.
龙	el dragón	En la cultura china hay dragones.
漏	gotear; filtrarse; omitir	El tejado tiene goteras.
录取	admitir; matricular	Él fue admitido en la universidad.
录音	grabar; la grabación	Por favor, empieza a grabar.
陆地	la tierra firme	La tortuga marina subió a tierra firme.
陆续	sucesivamente; uno tras otro	Los invitados llegaron uno tras otro.
轮流	turnarse	Nos turnamos para limpiar el aula.
论文	la tesis; el trabajo académico	Ella está escribiendo su tesis de graduación.
逻辑	la lógica	Su lógica es muy clara.
落后	quedarse atrás; atrasado	No podemos quedarnos atrás respecto a los demás.
骂	regañar; insultar	Por favor, no regañes al niño.
麦克风	el micrófono	Por favor, pásale el micrófono.
馒头	el panecillo al vapor	En el desayuno comí un panecillo al vapor.
满足	satisfacer; cumplir	Esta respuesta no cumple los requisitos.
毛病	el problema; el defecto	Este ordenador tiene un pequeño problema.
矛盾	la contradicción; el conflicto	Hay algunos conflictos entre ellos.
冒险	arriesgarse; el riesgo	Ir allí solo es demasiado arriesgado.
贸易	el comercio	El comercio internacional se desarrolla rápidamente.
媒体	los medios de comunicación	Los medios informaron sobre este asunto.
煤炭	el carbón	Esta región produce carbón.
眉毛	la ceja	Ella tiene las cejas muy pobladas.
美术	las bellas artes; el arte	A mi hermana menor le gustan las bellas artes.
魅力	el encanto	Esta ciudad tiene mucho encanto.
梦想	el sueño; soñar con	Su sueño es ser médico.
密切	estrecho; cercano	Mantenemos un contacto estrecho.
秘密	el secreto	Este es nuestro secreto.
秘书	el secretario; la secretaria	La secretaria organizó la hora de la reunión.
蜜蜂	la abeja	Hay muchas abejas entre las flores.
面对	enfrentarse a; afrontar	Debemos afrontar las dificultades con valentía.
面积	la superficie	La superficie de esta habitación no es grande.
面临	enfrentarse a; afrontar	La empresa se enfrenta a nuevos desafíos.
描写	describir; representar	El autor describió la vida rural.
苗条	delgado; esbelto	Ella tiene una figura esbelta.
敏感	sensible	Este tema es bastante sensible.
名牌	la marca famosa; de marca	Él compró un reloj de marca.
名片	la tarjeta de visita	Por favor, dame una tarjeta de visita.
名胜古迹	lugares de interés histórico y paisajístico	Pekín tiene muchos lugares de interés histórico y paisajístico.
明确	claro; aclarar	El profesor explicó claramente los requisitos.
明显	obvio; evidente	Su progreso es evidente.
明星	la estrella; la celebridad	Ella quiere convertirse en una estrella de cine.
命令	la orden; el mandato	Los soldados deben obedecer las órdenes.
命运	el destino	Él cree que el destino puede cambiarse.
摸	tocar; palpar	Por favor, no toques este cuadro.
摩托车	la moto; la motocicleta	Él va al trabajo en moto.
模仿	imitar	A los niños les gusta imitar la forma de hablar de los adultos.
模糊	borroso; difuso	Esta foto está un poco borrosa.
模特	el modelo; la modelo	Ella es modelo de moda.
陌生	desconocido; poco familiar	Esta ciudad me resulta muy desconocida.
某	cierto; determinado	Cierto profesor me llamó por teléfono.
木头	la madera	Esta mesa está hecha de madera.
目标	el objetivo; la meta	Mi objetivo es aprobar el examen.
目录	el índice; el catálogo	Por favor, mira primero el índice al principio del libro.
目前	actualmente; por ahora	Actualmente la situación es bastante estable.
哪怕	aunque; incluso si	Aunque esté muy ocupado, sigue estudiando.
难怪	no es de extrañar; con razón	Con razón estás tan contento hoy.
难免	ser inevitable; difícil de evitar	Es inevitable cometer errores la primera vez.
脑袋	la cabeza	Le duele un poco la cabeza.
内部	interno; el interior	Este es material interno de la empresa.
内科	medicina interna	Hoy va a una consulta de medicina interna.
嫩	tierno; delicado	Este trozo de carne está muy tierno.
能干	capaz; competente	Ella es una persona muy competente.
能源	la energía; la fuente de energía	La energía solar es una energía limpia.
嗯	ajá; mm	Ajá, ya lo entiendo.
年代	la década; la época	Esta foto fue tomada en los años ochenta.
年纪	la edad	No es muy mayor, pero tiene mucha experiencia.
念	leer en voz alta; estudiar	Por favor, lee el texto en voz alta una vez.
宁可	preferir; más vale	Preferiría ir andando antes que esperar el autobús.
牛仔裤	los vaqueros	Lleva unos vaqueros.
农村	el campo; la zona rural	Ella creció en el campo.
农民	el agricultor; la agricultora	Los agricultores están trabajando en el campo.
农业	la agricultura	La agricultura es muy importante para esta región.
浓	fuerte; espeso	Este café está demasiado fuerte.
女士	la señora; la dama	Esa señora está esperando el autobús.
欧洲	Europa	El mes que viene viajará a Europa.
偶然	casual; por casualidad	Me encontré por casualidad con un antiguo compañero.
拍	hacer una foto; dar palmadas	Por favor, hazme una foto.
派	enviar; mandar	La empresa lo envió a Shanghái en viaje de negocios.
盼望	esperar con ilusión	Tengo muchas ganas de verte pronto.
培训	la formación; capacitar	Los empleados nuevos tienen que participar en la formación.
培养	cultivar; formar	La escuela da importancia a cultivar las capacidades de los estudiantes.
赔偿	compensar; indemnizar	La empresa aceptó indemnizar las pérdidas.
佩服	admirar	Admiro mucho su valentía.
配合	cooperar; coordinarse	Por favor, cooperen con las indicaciones del profesor.
盆	la maceta; el barreño	Hay una maceta con flores en el balcón.
碰	tocar; chocar	Ten cuidado, no toques el agua caliente.
批	el lote; la partida	Este lote de mercancías llegó hoy.
批准	aprobar; autorizar	El gerente aprobó este plan.
披	llevar sobre los hombros	Ella lleva un abrigo sobre los hombros.
疲劳	el cansancio; la fatiga	Trabajar durante mucho tiempo puede causar cansancio.
匹	clasificador para caballos	Hay un caballo en la hierba.
片	la rebanada; el trozo fino	Por favor, dame una rebanada de pan.
片面	parcial; unilateral	Este punto de vista es demasiado parcial.
飘	flotar; ondear	Los copos de nieve flotan en el aire.
拼音	el pinyin	Por favor, escribe el pinyin junto a los caracteres chinos.
频道	el canal	Cambia al canal de noticias, por favor.
凭	con; basándose en	Se puede entrar con entrada.
平均	medio; de media	De media, cada persona gastó diez yuanes.
平	plano; llano	Esta carretera es muy llana.
平安	sano y salvo; seguro	Te deseo un buen viaje.
平常	normal; habitualmente	Normalmente él casi nunca llega tarde.
平等	igual; igualdad	Todos deberían recibir un trato igualitario.
平方	cuadrado	Esta habitación tiene veinte metros cuadrados.
平衡	el equilibrio	El trabajo y la vida necesitan equilibrio.
平静	tranquilo; calmado	La superficie del lago está muy tranquila.
评价	la valoración; evaluar	El profesor hizo una valoración muy positiva.
破产	la quiebra; declararse en quiebra	Esa empresa se declaró en quiebra el año pasado.
破坏	dañar; destruir	Por favor, no dañes los bienes públicos.
迫切	urgente; apremiante	Necesitamos urgentemente más médicos.
期待	esperar con ilusión	Espero con mucha ilusión este viaje.
期间	durante; el período	Por favor, apaga el móvil durante la reunión.
其余	el resto; los demás	El resto de los problemas se discutirán mañana.
奇迹	el milagro	El médico dijo que esto era un milagro.
企业	la empresa	Esta empresa se desarrolla muy rápido.
启发	inspirar; la inspiración	Este libro me dio mucha inspiración.
气氛	el ambiente	El ambiente en el aula es muy relajado.
汽油	la gasolina	El coche necesita gasolina.
签	firmar	Por favor, firma aquí con tu nombre.
谦虚	modesto; humilde	Él es excelente y también muy modesto.
前途	el futuro; las perspectivas	Esta especialidad tiene mucho futuro.
浅	poco profundo; superficial	Este río es poco profundo.
欠	deber; faltar	Todavía me debe veinte yuanes.
枪	la pistola; el arma de fuego	El policía lleva un arma en la mano.
墙	la pared	Hay un cuadro colgado en la pared.
强调	enfatizar; subrayar	El profesor subrayó los problemas de seguridad.
强烈	fuerte; intenso	Él tiene un fuerte sentido de la responsabilidad.
抢	disputarse; arrebatar	No te disputes los asientos con los demás.
悄悄	en silencio; secretamente	Ella entró en la habitación en silencio.
瞧	mirar; ver	Mira, está nevando fuera.
巧妙	ingenioso; hábil	Este método es muy ingenioso.
切	cortar; trocear	Por favor, corta la fruta en trozos pequeños.
亲爱	querido; estimado	Querido amigo, gracias.
亲切	amable; cordial	El profesor habla de manera muy amable.
亲自	personalmente	El gerente recibió personalmente a los invitados.
勤奋	trabajador; diligente	Las personas trabajadoras tienen más probabilidades de éxito.
清淡	ligero; suave	Me gusta comer platos ligeros.
轻视	menospreciar; subestimar	No subestimes este pequeño problema.
轻易	fácilmente; a la ligera	Él no se rendirá fácilmente.
青	azul verdoso	Esta prenda es de color azul verdoso.
青春	la juventud	La juventud es valiosa.
青少年	el adolescente; los jóvenes	Los adolescentes necesitan dormir lo suficiente.
情景	la escena; la situación	La escena de la película es muy conmovedora.
情绪	el estado de ánimo; la emoción	Su estado de ánimo no es muy estable.
请求	la petición; pedir	Él hizo una petición.
庆祝	celebrar	Celebramos su cumpleaños.
球迷	el aficionado	Muchos aficionados vinieron a ver el partido.
趋势	la tendencia	Esta tendencia es cada vez más evidente.
取消	cancelar; la cancelación	El acto se canceló por la lluvia.
娶	casarse con una mujer	Él planea casarse con ella el año que viene.
去世	fallecer; morir	Su abuelo falleció el año pasado.
圈	el círculo; rodear con un círculo	Por favor, rodea con un círculo la respuesta correcta.
全面	completo; integral	Necesitamos entender la situación de forma completa.
权利	el derecho	Todos tienen derecho a recibir educación.
权力	el poder; la autoridad	El poder debe estar bajo supervisión.
劝	aconsejar; persuadir	Mi amigo me aconsejó descansar más temprano.
缺乏	faltar; carecer de	Esta zona carece de agua limpia.
确定	determinar; seguro	Todavía no puedo determinar la hora.
确认	confirmar	Por favor, confirma tu dirección.
群	el grupo; la multitud	Un grupo de niños juega en el patio.
燃烧	arder; quemarse	La madera está ardiendo.
绕	rodear; dar la vuelta	Caminamos una vuelta alrededor del lago.
热爱	amar; apasionarse por	Él ama su trabajo.
热烈	cálido; entusiasta	Todos dieron una cálida bienvenida a los invitados.
热心	entusiasta; servicial	Todos los vecinos son muy serviciales.
人才	el talento; la persona con talento	La empresa necesita más talento.
人口	la población	Esta ciudad tiene mucha población.
人类	la humanidad	La humanidad necesita proteger la Tierra.
人民币	el renminbi; el yuan chino	Cambié algo de renminbi.
人生	la vida	La vida tiene muchas opciones.
人事	recursos humanos; personal	Ella trabaja en el departamento de recursos humanos.
人物	el personaje; la figura	Los personajes de la novela parecen muy reales.
人员	el personal	Todo el personal ya ha llegado.
忍不住	no poder evitar	Al oír el chiste, no pudo evitar reírse.
日常	diario; cotidiano	Este es mi trabajo diario.
日程	la agenda; el horario	La agenda de hoy está muy llena.
日历	el calendario	Hay un calendario colgado en la pared.
日期	la fecha	Por favor, escribe la fecha con claridad.
日用品	los artículos de uso diario	El supermercado vende muchos artículos de uso diario.
日子	los días; el tiempo	Estos días él está muy ocupado.
如何	cómo	¿Cómo debemos resolver este problema?
如今	hoy en día; ahora	Hoy en día el transporte es mucho más cómodo.
软	blando; suave	Esta cama es muy blanda.
软件	el software	Este software es fácil de usar.
弱	débil	Su cuerpo es bastante débil.
洒	derramar; rociar	Él derramó el agua sin querer.
嗓子	la garganta	Me duele un poco la garganta.
色彩	el colorido	Este cuadro tiene un colorido muy rico.
杀	matar	En esta película no hay escenas de asesinato.
沙漠	el desierto	El agua en el desierto es muy valiosa.
沙滩	la playa	Los niños juegan en la playa.
傻	tonto; absurdo	No hagas tonterías.
晒	secar al sol; tomar el sol	La ropa se está secando al sol en el balcón.
删除	eliminar; borrar	Por favor, borra este correo electrónico.
闪电	el relámpago	Por la noche hubo relámpagos.
善良	bondadoso; de buen corazón	Ella es una persona bondadosa.
善于	ser bueno en; saber hacer	Él es bueno resolviendo problemas.
扇子	el abanico	En verano uso a menudo un abanico.
伤害	dañar; herir	No hieras los sentimientos de los demás.
商品	el producto; la mercancía	Esta tienda tiene muchos productos.
商务	los negocios; comercial	Mañana asistirá a una reunión de negocios.
商业	el comercio; los negocios	El comercio está muy desarrollado en esta zona.
上当	caer en una trampa; dejarse engañar	Él casi cayó en la trampa.
蛇	la serpiente	Hay una serpiente entre la hierba.
舍不得	dar pena separarse de; no querer dejar	Me da pena irme de aquí.
射击	el tiro; disparar	Él está entrenando tiro.
摄影	la fotografía	Ella está muy interesada en la fotografía.
设备	el equipo; las instalaciones	El equipo del laboratorio es muy avanzado.
设计	el diseño; diseñar	Este diseño es muy creativo.
设施	las instalaciones	Las instalaciones deportivas de la escuela son buenas.
伸	estirar; extender	Por favor, extiende la mano.
深刻	profundo	Esta experiencia me dejó una impresión profunda.
身材	la complexión; la figura	Ella tiene una complexión saludable.
身份	la identidad; la condición	Por favor, muestra una prueba de identidad.
神话	el mito; la mitología	A los niños les gusta escuchar mitos.
神秘	misterioso	Esta ciudad antigua es muy misteriosa.
升	el litro; subir	El precio del petróleo subió un poco por litro.
声调	el tono	El chino tiene cuatro tonos básicos.
生产	producir	Esta fábrica produce móviles.
生动	vivo; vívido	El profesor explica de manera muy viva.
生长	crecer	Esta clase de planta crece muy rápido.
绳子	la cuerda	Por favor, ata la caja con una cuerda.
省略	omitir	Aquí se puede omitir un carácter.
胜利	la victoria	Finalmente consiguieron la victoria.
失眠	el insomnio; sufrir insomnio	Últimamente él sufre insomnio a menudo.
失去	perder	No pierdas la confianza.
失业	el desempleo; estar desempleado	Después de perder el empleo, empezó a aprender nuevas habilidades.
湿润	húmedo	El aire después de la lluvia está muy húmedo.
狮子	el león	En el zoo hay dos leones.
诗	el poema; la poesía	Él escribió un poema.
实话	la verdad	Por favor, di la verdad.
实践	la práctica; poner en práctica	La teoría debe comprobarse mediante la práctica.
实习	hacer prácticas	Ella hará prácticas en un hospital durante las vacaciones de verano.
实现	realizar; lograr	Por fin realizó su sueño.
实验	el experimento	Los estudiantes están haciendo un experimento.
实用	práctico	Esta herramienta es muy práctica.
时差	la diferencia horaria; el jet lag	Él todavía no se ha adaptado a la diferencia horaria.
时代	la era; la época	Vivimos en la era de la información.
时刻	el momento	Por favor, recuerda este momento importante.
时髦	de moda	Esta prenda está muy de moda.
时期	el período; la etapa	La etapa universitaria tuvo una gran influencia en él.
时尚	la moda	Ella está muy interesada en la moda.
石头	la piedra	Hay una piedra al lado de la carretera.
食物	la comida; el alimento	Por favor, mete la comida en la nevera.
使劲儿	hacer fuerza	Hay que hacer fuerza para abrir esta botella.
始终	todo el tiempo; siempre	Él siempre creyó que podría tener éxito.
事实	el hecho	Los hechos demuestran que él tenía razón.
事物	la cosa; el fenómeno	Los niños sienten mucha curiosidad por las cosas nuevas.
事先	de antemano	Por favor, dime la hora de antemano.
似的	como si; parecido a	Parecía tan cansado que no quería decir ni una palabra.
士兵	el soldado	Los soldados están entrenando.
市场	el mercado	Este mercado está muy animado.
试卷	el examen; la hoja de examen	El profesor está corrigiendo los exámenes.
收获	la cosecha; lo ganado	Este viaje me aportó mucho.
收据	el recibo	Por favor, conserva el recibo después de pagar.
手工	hecho a mano; manual	Este regalo está hecho a mano.
手术	la operación; la cirugía	El médico lo operará mañana.
手套	el guante	Ponte guantes al salir en invierno.
手续	los trámites	Para hacer los trámites se necesita un documento de identidad.
手指	el dedo	Él tiene un dedo lesionado.
首	clasificador para canciones y poemas	Ella cantó una canción.
受伤	lesionarse; resultar herido	Él se lesionó durante el partido.
寿命	la vida útil; la esperanza de vida	Este tipo de máquina tiene una vida útil muy larga.
书架	la estantería	La estantería está llena de libros.
梳子	el peine	Ella se peina con un peine.
舒适	cómodo	Esta habitación es muy cómoda.
蔬菜	las verduras	Comer más verduras es bueno para la salud.
输入	introducir; ingresar	Por favor, introduce la contraseña en el ordenador.
熟练	hábil; con soltura	Él sabe usar el ordenador con soltura.
属于	pertenecer a	Este libro pertenece a la biblioteca.
数	contar	Por favor, cuenta cuántas personas hay.
鼠标	el ratón	Mi ratón del ordenador está roto.
数据	los datos	Estos datos son muy importantes.
数码	digital	Él compró una cámara digital.
摔倒	caerse	Ella se cayó en la calle.
甩	sacudir; lanzar	Él se sacudió el agua de las manos.
双方	ambas partes	Ambas partes están de acuerdo con este plan.
税	el impuesto	Hay que pagar impuestos al comprar cosas.
说不定	quizás; puede que	Quizás mañana nieve.
说服	convencer; persuadir	Finalmente convenció a sus padres.
丝绸	la seda	Esta bufanda está hecha de seda.
丝毫	en absoluto; ni un poco	Él no cambió de opinión en absoluto.
思考	pensar; reflexionar	Por favor, piensa seriamente en este problema.
思想	el pensamiento; la idea	Su pensamiento es muy abierto.
撕	rasgar; romper	Por favor, no rasgues este papel.
私人	privado	Este es mi espacio privado.
似乎	parecer	Él no parece muy contento.
搜索	buscar; hacer una búsqueda	Busqué materiales en internet.
宿舍	la residencia; el dormitorio	Los estudiantes viven en la residencia de la escuela.
随身	llevar encima	Por favor, lleva el pasaporte contigo.
随时	en cualquier momento	Puedes llamarme en cualquier momento.
随手	al pasar; de paso	Al salir, cierra la puerta al pasar.
碎	roto; hacerse pedazos	El vaso cayó al suelo y se rompió.
损失	la pérdida; el daño	Este accidente causó grandes pérdidas.
缩短	acortar	La nueva ruta acortó el trayecto.
所	clasificador para instituciones y edificios	Esta escuela es muy famosa.
锁	cerrar con llave; la cerradura	Por favor, cierra la puerta con llave antes de salir.
台阶	el escalón	El anciano subió lentamente los escalones.
太极拳	el taichí	En el parque hay gente practicando taichí.
太太	la señora; la esposa	La señora Wang está cocinando.
谈判	la negociación; negociar	Ambas partes están negociando.
坦率	franco; sincero	Él expresó sus ideas con franqueza.
烫	muy caliente; quemar	Esta taza de té está muy caliente.
桃	el melocotón	En el árbol crecieron muchos melocotones.
淘气	travieso	Este niño es un poco travieso.
逃	escapar; huir	El cachorro escapó del patio.
逃避	evitar; eludir	No evites la responsabilidad.
讨价还价	regatear	A él le gusta regatear cuando compra.
套	el conjunto; juego	Él compró un conjunto de ropa nueva.
特色	la característica; el rasgo distintivo	Este restaurante tiene rasgos locales.
特殊	especial	Hoy es un día especial.
特征	la característica; el rasgo	Este animal tiene rasgos evidentes.
疼爱	querer mucho; mimar	Los abuelos quieren mucho al niño.
提倡	promover; defender	La escuela promueve ahorrar agua.
提纲	el esquema	Antes de escribir un artículo, haz primero un esquema.
提问	hacer preguntas	Los estudiantes pueden hacer preguntas en cualquier momento.
题目	el tema; la pregunta	Esta pregunta no es muy difícil.
体会	la comprensión; darse cuenta	A través del viaje obtuve una nueva comprensión.
体贴	considerado; atento	Él es muy atento con su familia.
体现	reflejar; encarnar	Este asunto refleja el espíritu de equipo.
体验	experimentar; vivir	Quiero experimentar la vida local.
天空	el cielo	El cielo está muy azul hoy.
天真	inocente; ingenuo	La idea del niño es muy inocente.
调皮	travieso; juguetón	Ese gato es muy travieso.
调整	ajustar; el ajuste	Necesitamos ajustar el plan.
挑战	el desafío	Este es un gran desafío.
通常	normalmente; habitualmente	Él normalmente se levanta a las siete.
统一	unificar; unificado	Hay que unificar las opiniones de todos.
痛苦	el dolor; el sufrimiento	Perder a su amigo le causó mucho dolor.
痛快	muy a gusto; con ganas	Hoy lo pasamos realmente muy bien.
偷	robar	No robes las cosas de otras personas.
投入	concentrado; invertir	Él trabaja con mucha concentración.
投资	invertir; la inversión	Ellos invirtieron en un proyecto nuevo.
透明	transparente	Este vaso es transparente.
突出	destacado; sobresaliente	Sus puntos fuertes son muy destacados.
土地	la tierra; el terreno	Esta tierra es muy fértil.
土豆	la patata	Compré varias patatas.
兔子	el conejo	El niño cría un conejo.
吐	vomitar	Se siente mal y quiere vomitar.
团	el grupo	Nos unimos a un grupo turístico.
推辞	rechazar; declinar	Él rechazó la invitación de su amigo.
推广	promocionar; popularizar	La empresa está promocionando un producto nuevo.
推荐	recomendar; la recomendación	El profesor recomendó este libro.
退	retroceder; echarse atrás	Por favor, retrocede un paso.
退步	empeorar; retroceder	Si no practicas, tu nivel empeorará.
退休	jubilarse; la jubilación	Él se jubilará el año que viene.
歪	torcido	Este cuadro está colgado torcido.
外公	el abuelo materno	Mi abuelo materno cumple ochenta años este año.
外交	la diplomacia; asuntos exteriores	Él estudia relaciones internacionales y diplomacia.
完美	perfecto; la perfección	Este plan no es perfecto.
完善	mejorar; perfeccionar	Necesitamos mejorar el proceso de servicio.
完整	completo; íntegro	Por favor, dame un informe completo.
玩具	el juguete	El niño metió los juguetes en la caja.
万一	por si acaso; en caso de que	Si llueve, iremos otro día.
王子	el príncipe	El príncipe del cuento es muy valiente.
往返	ida y vuelta	Este billete permite ir y volver el mismo día.
网络	la red; internet	La conexión a internet aquí es muy estable.
危害	dañar; perjudicar	Fumar perjudica la salud.
威胁	amenazar	La contaminación amenaza el río.
微笑	la sonrisa; sonreír	Ella me sonrió.
唯一	único	Esta es la única manera.
围巾	la bufanda	En invierno lleva bufanda.
围绕	girar en torno a; centrarse en	La discusión se centró en este problema.
维修	la reparación; reparar	El ascensor está en reparación.
违反	infringir; violar	Hacer esto infringe las normas.
伟大	grande; grandioso	Este es un gran descubrimiento.
委屈	sentirse agraviado; sentirse tratado injustamente	Ella se sintió muy agraviada.
尾巴	la cola	El cachorro movía la cola.
位于	estar situado; ubicarse	La escuela está situada en el centro de la ciudad.
位置	el lugar; la posición	Este lugar es muy tranquilo.
未必	no necesariamente	Lo que dijo no necesariamente es verdad.
未来	el futuro	Tenemos que prepararnos para el futuro.
胃	el estómago	Me siento un poco mal del estómago.
胃口	el apetito	Hoy tiene buen apetito.
温暖	cálido; templado	El sol de primavera es muy cálido.
温柔	suave; tierno	Ella habla con mucha suavidad.
文件	el documento; el archivo	Por favor, envíame el documento.
文具	el material escolar; la papelería	Hay mucho material escolar en la mochila.
文明	civilizado; la civilización	Hacer cola es una conducta civilizada.
文学	la literatura	A ella le gusta la literatura china.
文字	la escritura; los caracteres	Estos caracteres son difíciles de leer.
闻	oler; escuchar	Olí un aroma a flores.
吻	besar; el beso	La madre besó la cara del niño.
稳定	estable	Los precios se mantienen estables.
问候	saludar; mandar saludos	Por favor, saluda a tu familia de mi parte.
卧室	el dormitorio	En el dormitorio hay una cama grande.
