source_headword	MY	example_MY
romantic	ရိုမန်တစ်ဆန်သော	သူတို့ ရိုမန်တစ်ဆန်တဲ့ ညစာ စားခဲ့ကြတယ်။
rope	ကြိုး	ကြိုးကို တင်းတင်း ချည်ပါ။
rough	ကြမ်းတမ်းသော	လမ်းက ကြမ်းတမ်းခဲ့တယ်။
row1	အတန်း	ရှေ့ဆုံး အတန်းမှာ ထိုင်ပါ။
royal	တော်ဝင်	တော်ဝင်မိသားစု ရောက်လာတယ်။
rugby	ရပ်ဘီ	ကျွန်တော်တို့ ရုပ်မြင်သံကြားမှာ ရပ်ဘီ ကြည့်ခဲ့တယ်။
safety	ဘေးကင်းမှု	အလုပ်မှာ ဘေးကင်းမှုက အရေးကြီးတယ်။
sailor	သင်္ဘောသား	သင်္ဘောသားက လှေကို ပြင်ခဲ့တယ်။
sample	နမူနာ	သူနာပြုက သွေးနမူနာ ယူခဲ့တယ်။
sand	သဲ	သဲက ကျွန်တော့် ဖိနပ်တွေကို ဖုံးနေတယ်။
scan	စကင်ဖတ်သည်	စာရွက်စာတမ်းကို အရင် စကင်ဖတ်ပါ။
scientific	သိပ္ပံဆိုင်ရာ	ဒါက သိပ္ပံဆိုင်ရာ နည်းလမ်း ဖြစ်တယ်။
script	ဇာတ်ညွှန်း	သရုပ်ဆောင်က ဇာတ်ညွှန်းကို ဖတ်ခဲ့တယ်။
sculpture	ပန်းပုရုပ်	ပန်းပုရုပ်က အပြင်မှာ ရပ်နေတယ်။
secondary	ဒုတိယအဆင့်	ဒါက ဒုတိယအဆင့် ပြဿနာ ဖြစ်တယ်။
security	လုံခြုံရေး	လုံခြုံရေးက ကျွန်တော်တို့ အိတ်တွေကို စစ်ခဲ့တယ်။
seed	မျိုးစေ့	မျိုးစေ့ကို မြေထဲမှာ စိုက်ပါ။
sensible	အသိဉာဏ်ရှိသော	အဲဒါက အသိဉာဏ်ရှိတဲ့ အကြံ ဖြစ်တယ်။
seriously	အလေးအနက်	ဒီပြဿနာကို အလေးအနက် ယူပါ။
servant	အစေခံ	အစေခံက တံခါးကို ဖွင့်ခဲ့တယ်။
set (put)	တင်ထားသည်	ဖန်ခွက်ကို စားပွဲပေါ်မှာ တင်ထားပါ။
set (group)	စုစည်းမှု	ဒီစုစည်းမှုမှာ ခွက်ခြောက်လုံး ပါတယ်။
setting	နောက်ခံနေရာ	ဇာတ်လမ်းမှာ မြို့ပြ နောက်ခံနေရာ ရှိတယ်။
sex	လိင်	ဖောင်က အသက်နဲ့ လိင်ကို မေးထားတယ်။
sexual	လိင်ဆိုင်ရာ	အတန်းမှာ လိင်ဆိုင်ရာ ကျန်းမာရေးအကြောင်း ဆွေးနွေးခဲ့တယ်။
sharp	ချွန်သော	ဒီဓားက ချွန်တယ်။
shelf	စင်	စာအုပ်ကို စင်ပေါ်မှာ တင်ပါ။
shell	အခွံ	အခွံက အလွတ် ဖြစ်နေတယ်။
shift	အလုပ်ချိန်	ကျွန်တော့် အလုပ်ချိန်က ရှစ်နာရီမှာ စတင်တယ်။
shine	တောက်ပသည်	ကြယ်တွေက ညမှာ တောက်ပတယ်။
shiny	တောက်ပြောင်သော	သူမရဲ့ ဖိနပ်တွေက တောက်ပြောင်တယ်။
shoot	ရိုက်ကူးသည်	ဓာတ်ပုံဆရာက မြင်ကွင်းကို ရိုက်ကူးမယ်။
shy	ရှက်တတ်သော	သူက သူစိမ်းတွေနဲ့ ရှက်တတ်တယ်။
sight	မြင်ကွင်း	တောင်က လှပတဲ့ မြင်ကွင်း ဖြစ်ခဲ့တယ်။
signal	အချက်ပြမှု	အချက်ပြမှုက အားနည်းနေတယ်။
silent	တိတ်ဆိတ်သော	အခန်းက တိတ်ဆိတ်သွားတယ်။
silly	မိုက်မဲသော	အဲဒါက မိုက်မဲတဲ့ အမှား ဖြစ်တယ်။
similarity	ဆင်တူမှု	ရှင်းလင်းတဲ့ ဆင်တူမှု ရှိတယ်။
similarly	အလားတူ	ဒုတိယအစီအစဉ်လည်း အလားတူ အလုပ်ဖြစ်တယ်။
simply	ရိုးရိုးလေး	ရိုးရိုးလေး ဒီခလုတ်ကို နှိပ်ပါ။
sink	နစ်မြုပ်သည်	လေးတဲ့ ကျောက်တွေ မြန်မြန် နစ်မြုပ်တယ်။
slice	အပိုင်းလွှာ	ကျွန်တော် ကိတ်မုန့် အပိုင်းလွှာတစ်ခု စားခဲ့တယ်။
slightly	အနည်းငယ်	အခန်းက အနည်းငယ် ပိုနွေးနေတယ်။
smart	သန့်ရှင်းကျော့ရှင်းသော	သူမက သန့်ရှင်းကျော့ရှင်းတဲ့ ဂျာကင် ဝတ်ထားတယ်။
smooth	ချောမွေ့သော	လမ်းက ချောမွေ့တယ်။
software	ဆော့ဖ်ဝဲ	ဆော့ဖ်ဝဲက အပ်ဒိတ် လိုတယ်။
soil	မြေကြီး	မြေကြီးက ခြောက်နေတယ်။
solid	ခိုင်မာသော	နံရံက ခိုင်မာတယ်။
southern	တောင်ပိုင်း	သူတို့ တောင်ပိုင်း ကမ်းခြေပေါ်မှာ နေကြတယ်။
specifically	အတိအကျ	ကျွန်တော် လက်ဖက်ရည်ကို အတိအကျ တောင်းခဲ့တယ်။
spending	အသုံးစရိတ်	အစိုးရ အသုံးစရိတ် တိုးလာတယ်။
spicy	စပ်သော	ဒီဟင်းက စပ်တယ်။
spirit	စိတ်ဓာတ်	အသင်းက ကြီးမားတဲ့ စိတ်ဓာတ်ကို ပြခဲ့တယ်။
spoken	ပြောဆိုသော	ပြောဆိုသော အင်္ဂလိပ်စာက လေ့ကျင့်မှုနဲ့ တိုးတက်တယ်။
spot	နေရာ	ဒီနေရာက ပြီးပြည့်စုံတယ်။
spread	လိမ်းသည်	ပေါင်မုန့်ပေါ်မှာ ထောပတ် လိမ်းပါ။
stadium	အားကစားကွင်း	အားကစားကွင်းက လူပြည့်နေတယ်။
staff	ဝန်ထမ်းများ	ဝန်ထမ်းတွေက အကူအညီပေးတတ်တယ်။
standard	စံနှုန်း	စံနှုန်းက မြင့်တယ်။
statistic	စာရင်းအင်း	ဒီစာရင်းအင်းက အံ့အားသင့်စရာ ဖြစ်တယ်။
statue	ရုပ်တု	ရုပ်တုက ရင်ပြင်ထဲမှာ ရပ်နေတယ်။
stick (push into/attach)	ကပ်သည်	တံဆိပ်ကို သေတ္တာပေါ်မှာ ကပ်ပါ။
stick (piece of wood)	တုတ်ချောင်း	သူ တုတ်ချောင်းတစ်ချောင်း ကောက်ယူခဲ့တယ်။
