simplified	PL	example_PL
斗争	walczyć	Oni walczą o ochronę środowiska
督促	ponaglać	Kierownik ponaglał wszystkich, żeby skończyli zadanie na czas
毒品	narkotyki	Celnicy zarekwirowali partię narkotyków
独裁	dyktatura	Ludzie sprzeciwiają się rządom dyktatury
堵塞	zablokować	Śmieci zablokowały kanał ściekowy
赌博	hazard	Hazard może przynieść poważne konsekwencje
杜绝	położyć kres	Firma wymaga położenia kresu marnotrawstwu
端	nieść	On wszedł, niosąc filiżankę gorącej herbaty
端午节	Święto Smoczych Łodzi	Podczas Święta Smoczych Łodzi jemy zongzi
端正	poprawić	Uczniowie powinni poprawić swoje podejście do nauki
短促	krótki	On wydał krótkie westchnienie
断定	stwierdzić	Teraz nie można jeszcze stwierdzić, kto ma rację
断绝	zerwać	Po wypadku wieś zerwała kontakt ze światem zewnętrznym
堆积	gromadzić się	Śnieg zgromadził się przy drodze
兑现	spełnić	On w końcu spełnił obietnicę
对策	środek zaradczy	W obliczu ryzyka potrzebujemy środków zaradczych
对称	symetryczny	Lewa i prawa strona tego budynku są bardzo symetryczne
对付	poradzić sobie	Z tym problemem niełatwo sobie poradzić
对抗	zmierzyć się	Dwie drużyny zmierzą się w finale
对立	przeciwstawny	Stanowiska obu stron są całkowicie przeciwstawne
对联	dwuwiersz	Podczas Święta Wiosny przykleili dwuwiersze przy drzwiach
对应	odpowiadać	Każdy numer odpowiada jednemu miejscu
对照	porównać	Proszę porównać tłumaczenie z oryginałem
队伍	pochód	Pochód powoli ruszył naprzód
顿时	natychmiast	Po usłyszeniu tej wiadomości natychmiast zamarł
哆嗦	drżeć	Było tak zimno, że cały czas drżał
多元化	dywersyfikacja	Firma promuje dywersyfikację działalności
堕落	upadać moralnie	On nie chce dalej upadać moralnie
额外	dodatkowy	Ta usługa wymaga dodatkowej opłaty
恶心	mdłości	Kiedy poczułem ten zapach, miałem lekkie mdłości
恶化	pogorszyć się	Jeśli nie będzie leczona, choroba może się pogorszyć
遏制	powstrzymać	Rząd podjął środki, żeby powstrzymać zanieczyszczenie
恩怨	uraza	Uraza między tymi dwiema firmami trwa od dawna
而已	tylko tyle	Powiedziałem to tylko mimochodem, tylko tyle
二氧化碳	dwutlenek węgla	Rośliny pochłaniają dwutlenek węgla
发布	opublikować	Firma jutro opublikuje nowy produkt
发财	wzbogacić się	On ma nadzieję wzbogacić się dzięki ciężkiej pracy
发呆	siedzieć zamyślonym	Ona siedziała przy oknie zamyślona
发动	zmobilizować	Wolontariusze zmobilizowali mieszkańców do sprzątania ulicy
发觉	zauważyć	Zauważyłem, że był dziś trochę zdenerwowany
发射	wystrzelić	Rakieta zostanie wystrzelona wieczorem
发誓	przysiąc	On przysiągł, że nigdy więcej nie skłamie
发行	wydać	Ten film zostanie wydany w przyszłym miesiącu
发炎	stan zapalny	Rana ma lekki stan zapalny
发扬	rozwijać	Powinniśmy rozwijać ducha pracy zespołowej
发育	rozwój	Rozwój fizyczny dzieci wymaga wystarczającego odżywienia
法人	osoba prawna	Ta firma jest niezależną osobą prawną
番	słowa	Te słowa bardzo mnie zainspirowały
凡是	każdy	Każdy, kto się zapisze, musi wziąć udział w szkoleniu
繁华	tętniący życiem	Ta ulica kiedyś bardzo tętniła życiem
繁忙	zajęty	Lotnisko jest szczególnie zajęte w święta
繁体字	znaki tradycyjne	Na Tajwanie często używa się znaków tradycyjnych
繁殖	rozmnażać się	Ten rodzaj rośliny łatwo się rozmnaża
反驳	obalić	On obalił ten pogląd danymi
反常	nietypowy	Dzisiejsza pogoda jest trochę nietypowa
反感	niechęć	Czuję dużą niechęć do takich reklam
反抗	opierać się	Ludzie zaczęli opierać się niesprawiedliwym przepisom
反馈	informacja zwrotna	Klienci przekazali informację zwrotną, że system jest bardzo stabilny
反面	odwrotna strona	Proszę odwrócić kartkę na odwrotną stronę
反射	odbijać	Lustro odbija światło
反思	przemyśleć	Po porażce poważnie przemyślał przyczyny
反问	odpowiedzieć pytaniem	On nie odpowiedział, tylko zadał mi pytanie w zamian
反之	odwrotnie	Zbyt wysokie ceny zmniejszają popyt i odwrotnie też tak jest
泛滥	wylewać	Ulewny deszcz spowodował wylanie rzeki
范畴	kategoria	Ta sprawa należy do kategorii prawnej
贩卖	sprzedawać	Prawo zabrania sprzedawania fałszywych leków
方位	kierunek	Na mapie zaznaczono dokładny kierunek
方言	dialekt	On rozumie miejscowy dialekt
方圆	w promieniu	W promieniu dziesięciu kilometrów nie ma szpitala
方针	wytyczne	Firma ustaliła nowe wytyczne rozwoju
防守	obrona	Obrona tej drużyny jest bardzo stabilna
防御	obrona	Mur miejski służył kiedyś do obrony przed wrogami
防止	zapobiegać	Proszę zapiąć pas, żeby zapobiec urazom
防治	profilaktyka i leczenie	Lekarz wyjaśnił metody profilaktyki i leczenia chorób
纺织	włókiennictwo	To miasto słynie z przemysłu włókienniczego
访问	odwiedzić	Reporter jutro odwiedzi tego pisarza
放大	powiększyć	Proszę trochę powiększyć obraz
放射	promieniować	Ten materiał promieniuje ciepłem
非法	nielegalny	Nielegalne transakcje zostaną ukarane
飞禽走兽	ptaki i zwierzęta	W lesie żyją różne ptaki i zwierzęta
飞翔	latać	Mewy latają nad morzem
飞跃	skok	Rozwój technologii osiągnął ogromny skok
肥沃	żyzny	Ta ziemia jest bardzo żyzna
诽谤	oszczerstwo	Za oszczerstwo wobec innych trzeba ponieść odpowiedzialność prawną
废除	znieść	Ten stary przepis został już zniesiony
废寝忘食	zapominać o śnie i jedzeniu	On tak pochłonął się badaniami, że zapominał o śnie i jedzeniu
废墟	ruiny	Po trzęsieniu ziemi to miejsce stało się ruinami
沸腾	wrzeć	Woda już wrze
肺	płuco	Palenie może szkodzić płucom
分辨	odróżnić	Trudno mi odróżnić te dwa kolory
分寸	wyczucie	Nawet żartując, trzeba mieć wyczucie
分红	dywidenda	Akcjonariusze mogą otrzymać dywidendę pod koniec roku
分解	rozłożyć	Nauczyciel rozłożył skomplikowany problem na kilka kroków
分裂	podział	Wewnętrzne konflikty doprowadziły do podziału organizacji
分泌	wydzielać	Ten rodzaj gruczołu wydziela hormony
分明	jasny	Fakty są już bardzo jasne
分歧	różnica zdań	Obie strony mają różnicę zdań co do ceny
分散	rozproszyć	Proszę rozproszyć ryzyko na różne projekty
吩咐	polecić	Szef polecił mi uporządkować dokumenty
坟墓	grób	Na zboczu jest stary grób
粉末	proszek	Proszę zmielić tabletki na proszek
粉色	różowy	Ona kupiła różowy szalik
粉碎	rozbić	Policja rozbiła tę grupę przestępczą
分量	waga	To zdanie ma dużą wagę
愤怒	gniew	Jego ton był pełen gniewu
丰满	treściwy	Treść tego artykułu nadal nie jest wystarczająco treściwa
丰盛	obfity	Oni przygotowali obfitą kolację
丰收	obfite zbiory	W tym roku rolnicy doczekali się obfitych zbiorów
封闭	zamknąć	Ta droga będzie zamknięta podczas budowy
封建	feudalny	Ten feudalny sposób myślenia dawno powinien się zmienić
封锁	odgrodzić	Policja odgrodziła miejsce wypadku
锋利	ostry	Ten nóż jest bardzo ostry
风暴	burza	Na morzu nagle pojawiła się burza
风度	elegancja	Na scenie wyglądał bardzo elegancko
风光	krajobraz	Naturalny krajobraz tutaj jest piękny
风气	atmosfera	Szkoła wykształciła dobrą atmosferę nauki
风趣	poczucie humoru	On mówi z dużym poczuciem humoru
风土人情	lokalne zwyczaje	Podróże pomagają poznać lokalne zwyczaje
风味	lokalny smak	Ten lokal ma wyraźny lokalny smak
逢	przy każdej okazji	W każdy weekend park jest pełen życia
奉献	poświęcać	Lekarz poświęcił pacjentom dużo czasu
否决	odrzucić	Zarząd odrzucił tę propozycję
夫妇	małżeństwo	To małżeństwo prowadzi mały sklep
夫人	żona	Pan Wang i jego żona razem uczestniczyli w kolacji
敷衍	pobieżny	On odpowiedział tylko kilkoma pobieżnymi zdaniami
俘虏	jeniec	Po zakończeniu wojny jeńców uwolniono
幅度	zakres	Zakres tej obniżki ceny jest duży
服从	słuchać	Żołnierze muszą słuchać rozkazów
服气	być przekonanym	Przegrał mecz, ale w duchu nie był przekonany
福利	świadczenia	Pracownicy bardzo cenią świadczenia firmy
福气	szczęście	Spotkanie dobrego nauczyciela to jego szczęście
符号	symbol	Ten symbol oznacza niebezpieczeństwo
辐射	promieniowanie	Lekarz przypomniał mu, żeby unikał silnego promieniowania
俯视	spoglądać z góry	Ze szczytu góry można spoglądać na całe miasto
抚摸	głaskać	Ona delikatnie głaskała dziecko po głowie
抚养	wychowywać	Dziadkowie pomagali wychowywać dziecko
腐败	korupcja	Rząd walczy z korupcją
腐烂	gnić	Owoce będą gnić, jeśli będą leżeć zbyt długo
腐蚀	korodować	Kwas może korodować powierzchnię metalu
腐朽	zepsuty	Oni krytykowali zepsuty system
辅助	wspomagać	To narzędzie może wspomagać nauczanie
副	zastępca	Ona została mianowana zastępcą kierownika
复活	ożywiać	To tradycyjne święto znów się ożywia
复兴	odrodzenie	Odrodzenie kultury wymaga długotrwałego wysiłku
富裕	zamożny	Ta wieś staje się coraz bardziej zamożna
腹泻	biegunka	Ma silną biegunkę i musi iść do lekarza
覆盖	pokrywać	Obfity śnieg pokrył całą dolinę
负担	ciężar	Czynsz stał się jego głównym ciężarem
赋予	nadawać	Prawo nadaje obywatelom podstawowe prawa
附和	przytakiwać	Nie ma własnego zdania i tylko przytakuje innym
附件	załącznik	Proszę sprawdzić załącznik w e-mailu
附属	przyłączony	Ten szpital jest przyłączony do uniwersytetu
改良	ulepszać	Eksperci ulepszają tę odmianę ryżu
盖章	stemplować	Po podpisaniu umowy trzeba ją ostemplować
钙	wapń	Mleko zawiera dużo wapnia
尴尬	niezręczny	Na spotkaniu zapadła niezręczna cisza
干旱	susza	Długotrwała susza wpłynęła na plony
干扰	zakłócać	Hałas zakłóca mi pracę
干涉	wtrącać się	Rodzice nie powinni zbyt mocno wtrącać się w wybory dzieci
干预	interwencja	Rząd w porę podjął interwencję wobec ryzyka rynkowego
感慨	wzruszenie	Na widok starych zdjęć ogarnęło go głębokie wzruszenie
感染	infekcja	Ten wirus łatwo wywołuje infekcję u dzieci
干劲	zapał	Wszyscy pracowali z dużym zapałem
扛	nieść na barkach	Legenda mówi, że był tak silny, iż potrafił nieść ciężki kocioł na barkach
纲领	program	Na spotkaniu przyjęto nowy program działania
岗位	stanowisko	Szybko dostosowała się do nowego stanowiska
港口	port	Statek towarowy zatrzymał się w porcie
港湾	zatoka	Łódź wpłynęła do spokojnej zatoki
杠杆	dźwignia	Ta inwestycja wykorzystała dużą dźwignię finansową
高超	znakomity	Jego umiejętności naprawy samochodów są znakomite
高潮	punkt kulminacyjny	Mecz osiągnął punkt kulminacyjny w ostatnich dziesięciu minutach
高峰	szczyt	Ósma rano to szczyt ruchu
高明	błyskotliwy	Ten sposób jest naprawdę błyskotliwy
高尚	szlachetny	Etyka zawodowa lekarzy jest bardzo szlachetna
高涨	rosnąć	Entuzjazm widzów ciągle rósł
稿件	manuskrypt	Redaktor poprawia manuskrypt
告辞	pożegnać się	Jest już późno, więc najpierw się pożegnamy
告诫	ostrzegać	Nauczyciel ostrzegł uczniów, żeby nie ściągali
割	przeciąć	Przez nieuwagę przeciął sobie palec
搁	położyć	Proszę położyć dokumenty na biurku
歌颂	wysławiać	Ten wiersz wysławia ludzi pracy
疙瘩	guzek	Na jego ramieniu pojawił się guzek
鸽子	gołąb	Na placu jest wiele gołębi
格局	układ	Układ tego mieszkania jest bardzo rozsądny
格式	format	Proszę wypełnić formularz zgodnie z wymaganym formatem
隔阂	dystans	Nieporozumienie pogłębiło dystans między nimi
隔离	izolować	Pacjenta trzeba tymczasowo izolować
革命	rewolucja	Ta rewolucja zmieniła los kraju
个体	jednostka	Każda jednostka ma inne potrzeby
各抒己见	każdy wyraża swoje zdanie	Na zebraniu każdy wyraził swoje zdanie
根深蒂固	głęboko zakorzeniony	Ten pogląd jest już głęboko zakorzeniony
根源	źródło	Źródło biedy jest bardzo złożone
跟前	przed	Dziecko podbiegło przed matkę
跟随	podążać	Reporter podążał za grupą w góry
跟踪	śledzić	Policja śledzi ruchy podejrzanego
更新	aktualizować	System automatycznie zaktualizuje się dziś wieczorem
更正	sprostować	Gazeta następnego dnia sprostowała błąd
耕地	uprawiać ziemię	Rolnicy wiosną uprawiają ziemię
供不应求	popyt przewyższa podaż	Tego leku obecnie brakuje, bo popyt przewyższa podaż
供给	zaopatrzenie	Miasto potrzebuje stabilnego zaopatrzenia w wodę i prąd
公安局	komisariat policji	Poszedł na komisariat policji zgłosić sprawę
公道	sprawiedliwość	Wszyscy chcą sprawiedliwego rozwiązania
公告	ogłoszenie	Szkoła opublikowała ogłoszenie o odwołaniu zajęć
公关	relacje publiczne	Firma zatrudniła profesjonalny zespół relacji publicznych
公民	obywatel	Każdy obywatel powinien przestrzegać prawa
公然	jawnie	Jawnie naruszył zasady konkursu
公认	powszechnie uznany	Ona jest powszechnie uznana za świetną nauczycielkę
公式	wzór	Proszę zapamiętać ten wzór matematyczny
公务	sprawy służbowe	Wyjechał na trzy dni w sprawach służbowych
公正	sprawiedliwy	Sędzia musi pozostać sprawiedliwy
公证	notarialne poświadczenie	Ten dokument wymaga notarialnego poświadczenia
功劳	zasługa	Ten sukces jest zasługą wszystkich
功效	skuteczność	Skuteczność tego leku trzeba jeszcze potwierdzić
宫殿	pałac	Turyści zwiedzili stary pałac
工艺品	rękodzieło	To rękodzieło zostało wykonane ręcznie
恭敬	z szacunkiem	Z szacunkiem przywitał starszą osobę
攻击	atakować	Hakerzy zaatakowali stronę firmy
攻克	pokonać	Zespół badawczy pokonał problem techniczny
巩固	utrwalać	Powtórka pomaga utrwalać zdobytą wiedzę
共和国	republika	Ta republika powstała w ubiegłym wieku
共计	łącznie	Ta partia towaru liczy łącznie trzysta skrzyń
共鸣	oddźwięk	Ta piosenka wywołała oddźwięk u wielu ludzi
勾结	zmawiać się	Oni zmówili się z osobami z zewnątrz, aby wyłudzić pieniądze
钩子	hak	Na ścianie wisiało kilka haków
构思	obmyślać	Pisarz obmyśla nową powieść
姑且	tymczasowo	Tymczasowo wypróbujmy ten plan przez tydzień
孤独	samotny	Po przeprowadzce do nowego miasta czuł się samotny
孤立	izolowany	Nie patrz na ten problem w sposób izolowany
辜负	zawieść	Nie chcę zawieść oczekiwań rodziców
古董	antyk	Dziadek zebrał kilka antyków
古怪	dziwny	Jego pomysł jest trochę dziwny
股东	akcjonariusz	Walne zgromadzenie akcjonariuszy odbędzie się w przyszłym tygodniu
股份	udziały	On posiada udziały w firmie
骨干	trzon	Ci inżynierowie są trzonem zespołu
鼓动	podburzać	Ktoś podburzał ludzi do protestu
固然	wprawdzie	Ten sposób jest wprawdzie prosty, ale dość ryzykowny
固体	ciało stałe	Lód jest stałą postacią wody
固有	wrodzony	Każda kultura ma wrodzone cechy
固执	uparty	Jest zbyt uparty i nie chce słuchać rad
故乡	rodzinne strony	Po wielu latach wrócił w rodzinne strony
故障	awaria	Winda miała awarię i jest chwilowo nieczynna
雇佣	zatrudniać	Firma postanowiła zatrudnić więcej techników
顾虑	obawa	Jeśli masz jakieś obawy, możesz powiedzieć o nich wprost
顾问	doradca	Zatrudniliśmy doradcę prawnego
拐杖	laska	Starszy człowiek często zabiera laskę, gdy wychodzi z domu
关怀	troska	Nauczyciel okazał uczniom dużo troski
关照	opiekować się	Proszę, opiekuj się dzieckiem w drodze
官方	oficjalny	Oficjalne informacje zostaną ogłoszone jutro
观光	zwiedzanie	Turyści zwiedzali okolicę łodzią
管辖	podlegać jurysdykcji	Ten obszar podlega jurysdykcji władz miejskich
惯例	zwyczaj	Przed rozpoczęciem spotkania przedstawienie gości jest zwyczajem
灌溉	nawadniać	Rolnicy nawadniają pola wodą z rzeki
罐	puszka	Na stole stoi puszka herbaty
贯彻	wdrażać	Firma chce wdrożyć nowe standardy bezpieczeństwa
光彩	blask	Ta sukienka dodaje jej blasku
光辉	chwała	Jego osiągnięcia zapisały chwalebną kartę
光芒	promień	Promienie słońca rozświetliły dolinę
光荣	zaszczyt	Służba krajowi jest zaszczytem
广阔	rozległy	Step ciągnął się bez końca i był bardzo rozległy
归根到底	ostatecznie	Ostatecznie problem leży w zarządzaniu
归还	zwracać	Proszę zwrócić książki na czas
规范	norma	Szkoła ustaliła normy zarządzania laboratorium
规格	specyfikacja	Specyfikacje tej partii części nie są jednakowe
规划	planowanie	Planowanie miasta musi uwzględniać transport
规章	regulamin	Pracownicy muszą przestrzegać regulaminu firmy
轨道	tor	Pociąg jechał po torach
贵族	arystokracja	Ta posiadłość należała kiedyś do arystokracji
跪	klękać	Uklęknął przed posągiem bóstwa
棍棒	pałka	Policja skonfiskowała pałki znalezione na miejscu
国防	obrona narodowa	Budowa obrony narodowej wymaga długotrwałych nakładów
国务院	Rada Państwowa	Rada Państwowa wydała nowe zawiadomienie
果断	zdecydowany	Przywódca podjął zdecydowaną decyzję
过度	nadmierny	Nadmierne używanie telefonu wpływa na sen
过渡	przejście	Firma jest obecnie na etapie przejścia transformacyjnego
过奖	przesadzać z pochwałą	Za bardzo mnie chwalisz, muszę się jeszcze uczyć
过滤	filtrować	To urządzenie może filtrować zanieczyszczenia
过失	błąd	Ten wypadek spowodował błąd człowieka
过问	interesować się	Menedżer rzadko interesuje się takimi drobiazgami
过瘾	dawać satysfakcję	Ten mecz naprawdę dał mi satysfakcję z oglądania
过于	zbyt	Ten plan jest zbyt skomplikowany
嗨	cześć	Cześć, ty też przyszedłeś?
海拔	wysokość nad poziomem morza	Ta wieś leży na dużej wysokości nad poziomem morza
海滨	wybrzeże	Spędzili weekend na wybrzeżu
含糊	niejasny	Jego odpowiedź była bardzo niejasna
含义	znaczenie	To słowo ma szczególne znaczenie
寒暄	wymieniać uprzejmości	Po spotkaniu najpierw wymienili kilka uprzejmości
罕见	rzadki	Ta choroba jest bardzo rzadka
捍卫	bronić	Adwokat starał się bronić praw klienta
航空	lotnictwo	Linia lotnicza odwołała lot
航天	kosmonautyka	Chińska kosmonautyka rozwija się bardzo szybko
航行	żeglować	Statek żegluje po morzu
行列	szereg	Dołączyła do szeregu wolontariuszy
毫米	milimetr	Ta szyba ma pięć milimetrów grubości
毫无	zupełnie bez	Jego wyjaśnienie było zupełnie bez podstaw
豪迈	heroiczny	Jego śpiew był heroiczny i pełen siły
号召	wzywać	Rząd wzywa wszystkich do oszczędzania wody
耗费	pochłaniać	Ten projekt pochłonął ogromne środki
呵	krzyknąć	Ojciec krzyknął, a dziecko natychmiast przestało
合并	połączyć się	Dwie firmy planują połączyć się w przyszłym roku
合成	syntetyzować	Ten materiał można syntetyzować sztucznie
合伙	wejść w spółkę	Weszli w spółkę i otworzyli restaurację
合算	opłacalny	Jazda autobusem jest bardziej opłacalna niż taksówką
和蔼	życzliwy	Ten lekarz mówi bardzo życzliwie
和解	pojednanie	Obie strony ostatecznie osiągnęły pojednanie
和睦	harmonijny	Sąsiedzi żyją ze sobą harmonijnie
和气	uprzejmy	Szef traktuje ludzi bardzo uprzejmie
和谐	harmonijny	Muzyka sprawiła, że atmosfera stała się bardziej harmonijna
嘿	hej	Hej, słyszałeś?
痕迹	ślad	Na ziemi zostały ślady kół
狠心	bez serca	Bez serca odrzucił prośbę przyjaciela
恨不得	nie móc się doczekać	Nie mogę się doczekać, żeby od razu wrócić do domu i odpocząć
哼	prychnąć	Prychnął niezadowolony
横	poziomy	Proszę narysować na kartce poziomą linię
哄	wybuchnąć śmiechem	Wszyscy nagle wybuchnęli śmiechem
烘	piec	Chleb piecze się w piecu
轰动	poruszenie	Ta wiadomość wywołała poruszenie w całym kraju
宏观	makroekonomiczny	Musimy analizować gospodarkę z perspektywy makroekonomicznej
宏伟	wspaniały	Projekt tego mostu jest bardzo wspaniały
洪水	powódź	Powódź zniszczyła kilka mostów
喉咙	gardło	Mówił za dużo i trochę boli go gardło
吼	ryczeć	Ryczał głośno w stronę oddali
候选	kandydatka	Ona jest tegoroczną kandydatką na przedstawicielkę
后代	potomkowie	Musimy chronić środowisko dla potomków
后顾之忧	zmartwienie o przyszłość	Stabilny dochód sprawił, że nie miał zmartwień o przyszłość
后勤	logistyka	Dział logistyki odpowiada za zaopatrzenie
呼唤	wołać	Matka wołała dziecko przy drzwiach
呼啸	wyć	Zimny wiatr wył za oknem
呼吁	apelować	Eksperci apelują, żeby ograniczyć marnowanie
忽略	pomijać	Proszę nie pomijać tego szczegółu
湖泊	jezioro	W tym regionie jest wiele naturalnych jezior
胡乱	bezładnie	Nie kładź rzeczy bezładnie na podłodze
胡须	broda	Jego broda już posiwiała
花瓣	płatek	Po deszczu płatki leżały na ziemi
花蕾	pąk	Wiosną na gałęziach pojawiły się pąki
华丽	wspaniały	Stroje na scenie były bardzo wspaniałe
华侨	Chińczyk za granicą	Wielu Chińczyków z zagranicy wróciło w rodzinne strony inwestować
划分	podzielić	Nauczyciel podzielił uczniów na cztery grupy
化肥	nawóz sztuczny	Rolnicy rozsypują nawóz sztuczny na uprawach
化石	skamieniałość	Muzeum pokazało skamieniałości dinozaurów
化验	badanie laboratoryjne	Lekarz kazał mu zrobić badanie laboratoryjne krwi
化妆	malować się	Przed wejściem na scenę malowała się
画蛇添足	przedobrzyć	Dodanie kolejnego wyjaśnienia byłoby przedobrzeniem
话筒	mikrofon	Prowadzący podał mikrofon widzowi
欢乐	radość	Świąteczny plac był pełen radości
环节	etap	Każdy etap szkolenia jest bardzo ważny
还原	przywrócić	Proszę przywrócić ustawienia domyślne
缓和	łagodzić	Relacje między obiema stronami stopniowo się łagodzą
患者	pacjent	Lekarz pyta pacjenta o jego stan
荒凉	opustoszały	Ta ziemia wygląda bardzo opustoszale
荒谬	absurdalny	To wyjaśnienie brzmi absurdalnie
荒唐	niedorzeczny	Jego decyzja była zbyt niedorzeczna
皇帝	cesarz	Cesarz mieszkał we wspaniałym pałacu
皇后	cesarzowa	Cesarzowa wzięła udział w uroczystości
黄昏	zmierzch	O zmierzchu zapaliły się uliczne lampy
恍然大悟	nagle zrozumieć	Po wysłuchaniu wyjaśnienia nagle zrozumiał
晃	mignąć	Coś mignęło mu przed oczami i zniknął
挥霍	trwonić	Nie powinien trwonić pieniędzy rodziców
辉煌	świetny	To miasto ma świetną historię
回报	zwrot	Ciężka praca w końcu przyniesie zwrot
回避	unikać	On ciągle unika tego problemu
回顾	podsumować	Na końcu spotkania podsumowano pracę całego roku
回收	recyklingować	Osiedle zaczęło recyklingować stare baterie
悔恨	wyrzuty sumienia	Ma wyrzuty sumienia z powodu dawnych błędów
毁灭	zniszczyć	Wojna niemal zniszczyła to miasto
会晤	spotkać się	Przywódcy obu krajów spotkają się jutro
汇报	raportować	Zaraportował kierownikowi postępy
贿赂	łapówka	Urzędnik został objęty śledztwem z powodu łapówki
昏迷	śpiączka	Pacjent nadal jest w śpiączce
荤	mięsny	To danie jest mięsne i nie nadaje się dla wegetarian
浑身	całe ciało	Po biegu całe ciało miał mokre od potu
混合	mieszać	Proszę równomiernie wymieszać oba materiały
混乱	chaos	Na miejscu przez chwilę panował chaos
混淆	mylić	Nie myl tych dwóch pojęć
混浊	mętny	Po deszczu woda w rzece stała się mętna
活该	sam sobie winien	Nie słuchał rad, więc sam sobie winien porażki
活力	energia	To miasto jest pełne energii
火箭	rakieta	Rakieta pomyślnie weszła na zaplanowaną orbitę
火焰	płomień	Wiatr podniósł płomienie jeszcze wyżej
火药	proch	Proch zmienił sposób prowadzenia dawnych wojen
货币	waluta	Polityka walutowa wpływa na rozwój gospodarki
基地	baza	To miejsce było kiedyś ważną bazą szkoleniową
基金	fundusz	Szkoła utworzyła fundusz stypendialny
基因	gen	Naukowcy badają ten gen
机动	mobilny	Ten oddział zachowuje dużą mobilność
机构	instytucja	Ta instytucja odpowiada za kontrolę jakości
机灵	sprytny	To dziecko jest bardzo sprytne
机密	tajny	Te materiały są tajne
机械	maszyna	Fabryka sprowadziła nowe maszyny
机遇	szansa	Młodzi ludzie powinni wykorzystywać szanse
机智	błyskotliwy	Jego odpowiedź była bardzo błyskotliwa
激发	pobudzać	Nauczyciel pobudził zainteresowanie uczniów
激励	motywować	Ten sukces zmotywował cały zespół
激情	pasja	Podczas przemówienia był pełen pasji
讥笑	szydzić	Nie szydź z cudzych błędów
饥饿	głód	Długotrwały głód wpływa na zdrowie
即便	nawet jeśli	Nawet jeśli będzie padać, wyruszymy punktualnie
即将	wkrótce	Spotkanie wkrótce się zacznie
及早	jak najwcześniej	Problemy trzeba rozwiązywać jak najwcześniej
吉祥	pomyślny	Czerwień w Chinach często symbolizuje pomyślność
嫉妒	zazdrościć	Nie powinien zazdrościć koledze sukcesu
急功近利	nastawiony na szybki zysk	W badaniach nie można być nastawionym tylko na szybki zysk
急剧	gwałtowny	Sprzedaż gwałtownie spadła
急切	niecierpliwy	Niecierpliwie czekała na wiadomość
急于求成	chcieć szybkich rezultatów	Podczas nauki języka nie można chcieć szybkich rezultatów
急躁	niecierpliwy	W obliczu trudności nie bądź niecierpliwy
极端	skrajny	Taka skrajna pogoda jest coraz częstsza
极限	granica	Ten trening sprawdził granice jego możliwości
疾病	choroba	Dobre nawyki pomagają zapobiegać chorobom
籍贯	pochodzenie	W formularzu trzeba wpisać miejsce pochodzenia
级别	poziom	Ten konkurs ma trzy poziomy
集团	grupa kapitałowa	Ta grupa kapitałowa ma oddziały za granicą
给予	udzielać	Szkoła udziela pomocy ubogim uczniom
季军	brązowy medalista	W zawodach został brązowym medalistą
季度	kwartał	Firma publikuje raport finansowy co kwartał
寂静	cisza	Nocna dolina była wyjątkowo cicha
寄托	pokładać	Pokłada nadzieję w dziecku
忌讳	tabu	Miejscowi uważają rozmowę o tym przy stole za tabu
技巧	technika	Opanowanie technik może zwiększyć wydajność
纪要	protokół	Sekretarz przygotował protokół spotkania
继承	odziedziczyć	Odziedziczył działalność ojca
计较	wykłócać się	Nie wykłócaj się o taką drobnostkę
记性	pamięć	Ma bardzo dobrą pamięć
记载	zapis	Kroniki zawierają zapis tej wojny
迹象	oznaka	Na razie nie ma oznak poprawy
佳肴	przysmak	Stół był pełen pysznych przysmaków
加工	przetwarzać	Te surowce trzeba dalej przetwarzać
加剧	nasilać się	Sprzeczności się nasilają
夹杂	mieszać się	Z odgłosami deszczu mieszał się grzmot
家常	domowy	Lubię jeść domowe potrawy
家伙	gość	Ten gość zawsze się spóźnia
家属	rodzina	Lekarz powiadomił rodzinę pacjenta
家喻户晓	powszechnie znany	Ta historia jest powszechnie znana
坚定	stanowczy	Jej postawa jest bardzo stanowcza
坚固	solidny	Ten most jest bardzo solidny
坚韧	wytrwały	Ma wytrwały charakter
坚实	solidny	Te badania mają solidne podstawy
坚硬	twardy	Ten kamień jest bardzo twardy
尖端	najnowocześniejszy	Firma inwestuje w najnowocześniejsze technologie
尖锐	ostry	Ten problem jest bardzo ostry
煎	smażyć	Kucharz smaży rybę
监督	nadzorować	Nadzór społeczny pomaga ulepszać pracę
监视	obserwować	Policja obserwuje podejrzanego
监狱	więzienie	Odbywa karę w więzieniu
艰难	trudny	Początki przedsiębiorstwa były bardzo trudne
剪彩	przecinać wstęgę	Burmistrz przeciął wstęgę nowej biblioteki
拣	wybierać	Wybrała z koszyka kilka jabłek
检讨	analiza własnych błędów	Poważnie przeanalizował własne błędy
检验	sprawdzać	Eksperyment może sprawdzić tę hipotezę
简化	upraszczać	Proszę dalej uprościć procedurę
简陋	prosty i prymitywny	Mieszkali w prostej i prymitywnej chacie
简体字	znak chiński uproszczony	Ten podręcznik używa znaków chińskich uproszczonych
简要	zwięzły	Proszę zwięźle wyjaśnić swoje stanowisko
健全	kompletny	Firma potrzebuje kompletnego systemu zarządzania
剑	miecz	Na ścianie wisiał stary miecz
溅	rozpryskiwać się	Deszcz rozpryskał się na jego spodniach
舰艇	okręt	Kilka okrętów wzięło udział w ćwiczeniach
