hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
5227:远方	远方	远方	ദൂരദേശം; ദൂരെയുള്ള സ്ഥലം	അവൻ പലപ്പോഴും ദൂരെയുള്ള കുടുംബത്തെ ഓർക്കുന്നു.	алыстағы жер; қиыр	Ол алыстағы отбасын жиі ойлайды.
5229:月光	月光	月光	നിലാവെളിച്ചം	നിലാവെളിച്ചം ശാന്തമായ തടാകത്തിൽ വീണു.	ай сәулесі	Ай сәулесі тыныш көлдің бетіне түсті.
5231:月球	月球	月球	ചന്ദ്രൻ; ചന്ദ്രഗോളം	ശാസ്ത്രജ്ഞർ ചന്ദ്രന്റെ ഉപരിതലം പഠിക്കുന്നു.	Ай; Ай шары	Ғалымдар Айдың бетін зерттеп жатыр.
5232:乐曲	乐曲	乐曲	സംഗീതകൃതി	ഈ സംഗീതകൃതി കേൾക്കാൻ വളരെ മനോഹരമാണ്.	музыкалық шығарма	Бұл музыкалық шығарма өте әсем естіледі.
5234:晕车	晕车	晕车	വാഹനയാത്രയിൽ തലകറക്കം വരുക	ദീർഘദൂര ബസ് യാത്രയിൽ അവൾക്ക് എളുപ്പം തലകറക്കം വരുന്നു.	көлікте жүрегі айну	Ұзақ автобус сапарында оның жүрегі тез айниды.
5235:运送	运送	运送	കൊണ്ടുപോകുക; എത്തിക്കുക	ഈ സാധനങ്ങൾ ദുരന്തബാധിത പ്രദേശത്തേക്ക് കൊണ്ടുപോകും.	тасымалдау; жеткізу	Бұл заттар апат аймағына жеткізіледі.
5237:运营	运营	运营	പ്രവർത്തിപ്പിക്കുക; നടത്തുക	ഈ പ്ലാറ്റ്ഫോം ഒരു പ്രൊഫഷണൽ സംഘം നടത്തുന്നു.	басқару; жүргізу	Бұл платформаны кәсіби топ басқарады.
5238:杂	杂	杂	കലർന്ന; വിവിധ	ഈ ഡ്രോയറിൽ പലവിധ ചെറുസാധനങ്ങൾ ഉണ്ട്.	аралас; әртүрлі	Бұл тартпада әртүрлі ұсақ заттар бар.
5239:灾	灾	灾	ദുരന്തം	ഈ ദുരന്തം ഗ്രാമത്തിന് വലിയ നഷ്ടമുണ്ടാക്കി.	апат	Бұл апат ауылға үлкен шығын әкелді.
5242:灾区	灾区	灾区	ദുരന്തബാധിത പ്രദേശം	സ്വയംസേവകർ ഭക്ഷണം ദുരന്തബാധിത പ്രദേശത്തേക്ക് എത്തിച്ചു.	апат аймағы	Еріктілер азық-түлікті апат аймағына жеткізді.
5244:再生	再生	再生	പുനരുപയോഗിക്കുക; പുനർജനിക്കുക	ഈ വസ്തുക്കൾ പുനരുപയോഗിക്കാം.	қайта өңдеу; қайта пайда болу	Бұл материалдарды қайта өңдеп пайдалануға болады.
5246:赞赏	赞赏	赞赏	പ്രശംസിക്കുക; അഭിനന്ദിക്കുക	അധ്യാപകൻ അവന്റെ ഗൗരവമുള്ള സമീപനത്തെ പ്രശംസിച്ചു.	жоғары бағалау; мақтау	Мұғалім оның байыпты көзқарасын жоғары бағалады.
5247:赞同	赞同	赞同	യോജിക്കുക; അംഗീകരിക്കുക	ഭൂരിപക്ഷം അംഗങ്ങളും ഈ തീരുമാനത്തോട് യോജിക്കുന്നു.	келісу; құптау	Мүшелердің көбі бұл шешімді құптайды.
5248:遭到	遭到	遭到	നേരിടുക; വിധേയമാകുക	ഈ പദ്ധതി ചില എതിർപ്പുകൾ നേരിട്ടു.	тап болу; ұшырау	Бұл жоспар кейбір қарсылыққа тап болды.
5251:噪声	噪声	噪声	ശബ്ദം; ശബ്ദമലിനീകരണം	നിർമാണശബ്ദം സമീപത്തെ താമസക്കാരെ ബാധിച്ചു.	шу; шуыл	Құрылыс шуы жақын маңдағы тұрғындарға әсер етті.
5255:炸	炸	炸	പൊട്ടിത്തെറിക്കുക	പടക്കം പെട്ടെന്ന് പൊട്ടിത്തെറിച്ചു, എല്ലാവരും ഞെട്ടി.	жарылу	Петарда кенет жарылып, бәрі шошып кетті.
5256:粘	粘	粘	ഒട്ടിക്കുക; പതിക്കുക	പശ കടലാസുകൾ തമ്മിൽ ഒട്ടിച്ചു.	жабыстыру; жабысу	Желім қағаздарды бір-біріне жабыстырды.
5259:占比	占比	占比	വിഹിതം; അനുപാതം	ഓൺലൈൻ വിൽപ്പനയുടെ വിഹിതം ഇതിനകം പകുതിയ്ക്ക് മുകളിലാണ്.	үлес; пайыздық үлес	Онлайн сатылымның үлесі жартысынан асып кетті.
5262:战胜	战胜	战胜	ജയിക്കുക; മറികടക്കുക	അവർ ഒടുവിൽ എല്ലാ ബുദ്ധിമുട്ടുകളും മറികടന്നു.	жеңу; еңсеру	Олар ақыры барлық қиындықты еңсерді.
5263:占有	占有	占有	കൈവശം വയ്ക്കുക; പിടിച്ചിരിക്കുക	ഈ കമ്പനിക്ക് വലിയ വിപണി വിഹിതം കൈവശമുണ്ട്.	иелену; алып тұру	Бұл компания нарықтың үлкен үлесін иеленеді.
5265:章	章	章	അധ്യായം; വിഭാഗം	ദയവായി മൂന്നാം അധ്യായത്തിലെ ഉള്ളടക്കം വായിക്കുക.	тарау; бөлім	Үшінші тараудың мазмұнын оқыңыз.
5268:账单	账单	账单	ബിൽ; അക്കൗണ്ട് സ്റ്റേറ്റ്മെന്റ്	വെയിറ്റർ ബിൽ മേശപ്പുറത്ത് വെച്ചു.	есепшот; төлем қағазы	Даяшы есепшотты үстелге қойды.
5269:招	招	招	നിയമിക്കുക; ആകർഷിക്കുക	കമ്പനി പുതിയ ജീവനക്കാരെ നിയമിക്കുകയാണ്.	жұмысқа алу; тарту	Компания жаңа қызметкерлерді жұмысқа алып жатыр.
5271:招生	招生	招生	വിദ്യാർത്ഥികളെ ചേർക്കുക	ഈ സ്കൂൾ ഈ വർഷം അഞ്ചുനൂറ് വിദ്യാർത്ഥികളെ ചേർക്കാൻ പദ്ധതിയിടുന്നു.	студент қабылдау; оқушы қабылдау	Бұл мектеп биыл бес жүз оқушы қабылдауды жоспарлап отыр.
5272:招手	招手	招手	കൈവീശുക	അവൾ സ്റ്റേഷനിൽ ഞങ്ങളോട് കൈവീശി.	қол бұлғау	Ол бекетте бізге қол бұлғады.
5274:照明	照明	照明	പ്രകാശസൗകര്യം; ലൈറ്റിംഗ്	ഈ മുറിയിലെ പ്രകാശസൗകര്യം വളരെ നല്ലതാണ്.	жарықтандыру	Бұл бөлменің жарықтандыруы өте жақсы.
5276:针	针	针	സൂചി; ഇഞ്ചക്ഷൻ	നഴ്‌സ് രോഗിക്ക് ഒരു ഇഞ്ചക്ഷൻ നൽകി.	ине; екпе	Мейірбике науқасқа бір екпе салды.
5280:镇	镇	镇	പട്ടണം; ശാന്തമാക്കുക	ഈ പട്ടണം കടൽത്തീരത്തിനടുത്താണ്.	кент; тыныштандыру	Бұл кент теңізге жақын орналасқан.
5281:阵雨	阵雨	阵雨	ചുരുങ്ങിയ മഴ; മഴച്ചാറ്റൽ	ഉച്ചയ്ക്ക് ശേഷം ചുരുങ്ങിയ മഴ ഉണ്ടായേക്കാം.	өткінші жаңбыр	Түстен кейін өткінші жаңбыр болуы мүмкін.
5283:争吵	争吵	争吵	വഴക്കിടുക; തർക്കിക്കുക	ചെറിയ കാര്യത്തെക്കുറിച്ച് അവർ വഴക്കിടാൻ തുടങ്ങി.	ұрысу; жанжалдасу	Олар ұсақ нәрсе үшін ұрыса бастады.
5290:正面	正面	正面	മുൻവശം; അനുകൂല വശം	ദയവായി ഫോട്ടോയുടെ മുൻവശം മുകളിലാക്കി വെക്കുക.	алдыңғы бет; оң қыры	Фотосуреттің алдыңғы бетін жоғары қаратып қойыңыз.
5299:之所以	之所以	之所以	കാരണം; എന്തുകൊണ്ടെന്നാൽ	അവൻ വൈകിയത് വഴിയിൽ ഗതാഗതക്കുരുക്ക് ഉണ്ടായതിനാലാണ്.	себебі; неліктен	Оның кешігуінің себебі жолдағы кептеліс болды.
5303:职员	职员	职员	ജീവനക്കാരൻ	കമ്പനിയിലെ എല്ലാ ജീവനക്കാരും പരിശീലനത്തിൽ പങ്കെടുത്തു.	қызметкер	Компания қызметкерлерінің бәрі оқуға қатысты.
5304:职责	职责	职责	കടമ; ഉത്തരവാദിത്വം	രോഗികളുടെ ആരോഗ്യത്തെ സംരക്ഷിക്കുക എന്നതാണ് ഡോക്ടറുടെ കടമ.	міндет; жауапкершілік	Дәрігердің міндеті - науқастардың денсаулығын қорғау.
5306:只得	只得	只得	വേറുവഴിയില്ലാതെ; നിർബന്ധമായി	മഴ വളരെ ശക്തമായതിനാൽ ഞങ്ങൾക്ക് പരിപാടി റദ്ദാക്കേണ്ടിവന്നു.	амалсыз; мәжбүр болу	Жаңбыр тым қатты болғандықтан, біз шараны амалсыз тоқтаттық.
5308:只顾	只顾	只顾	മാത്രം ശ്രദ്ധിക്കുക; മുഴുകിക്കിടക്കുക	അവൻ ഫോണിൽ മാത്രം മുഴുകിയതിനാൽ ഞാൻ പറഞ്ഞത് കേട്ടില്ല.	тек көңіл бөлу; әуре болу	Ол тек телефонына қарап, менің сөзімді естімеді.
5312:制	制	制	നിർമ്മിക്കുക; സംവിധാനം	ഈ മരുന്ന് പ്രാദേശിക ഔഷധഫാക്ടറിയിൽ നിർമ്മിച്ചതാണ്.	жасау; жүйе	Бұл дәрі жергілікті фармацевтика зауытында жасалған.
5313:至关重要	至关重要	至关重要	അത്യന്തം പ്രധാനപ്പെട്ട	പുതിയ ജീവനക്കാർക്ക് സുരക്ഷാപരിശീലനം അത്യന്തം പ്രധാനമാണ്.	аса маңызды	Қауіпсіздік бойынша оқыту жаңа қызметкерлер үшін аса маңызды.
5316:制品	制品	制品	ഉൽപ്പന്നം; നിർമ്മിത വസ്തു	ഈ കടയിൽ പലതരം മര ഉൽപ്പന്നങ്ങൾ വിൽക്കുന്നു.	бұйым; өнім	Бұл дүкенде түрлі ағаш бұйымдары сатылады.
5318:质疑	质疑	质疑	ചോദ്യം ചെയ്യുക; സംശയം പ്രകടിപ്പിക്കുക	റിപ്പോർട്ടിലെ കണക്കുകളെ പത്രപ്രവർത്തകൻ ചോദ്യം ചെയ്തു.	күмән келтіру; сұрақ қою	Журналист бұл есептегі деректерге күмән келтірді.
5320:中等	中等	中等	ഇടത്തരം; ശരാശരി	ഈ വസ്ത്രം ഇടത്തരം വലുപ്പത്തിലാണ്.	орташа; орта	Бұл киімнің өлшемі орташа.
5324:钟头	钟头	钟头	മണിക്കൂർ	ഞങ്ങൾ രണ്ട് മണിക്കൂർ കാത്തിരുന്നു.	сағат	Біз екі сағат күттік.
5327:肿	肿	肿	വീങ്ങുക; വീർന്ന	അവന്റെ കണങ്കാൽ വീങ്ങി.	ісіну; ісіген	Оның тобығы ісіп кетті.
5328:中	中	中	തട്ടുക; സമ്മാനം നേടുക; ബാധിക്കുക	അവൻ സമ്മാനം നേടി സന്തോഷത്തിൽ സംസാരിക്കാനായില്ല.	тию; ұту; әсеріне ұшырау	Ол жүлде ұтып, қуаныштан сөйлей алмай қалды.
5329:种地	种地	种地	കൃഷി ചെയ്യുക; നിലം കൃഷിയാക്കുക	മുത്തച്ഛൻ ചെറുപ്പത്തിൽ ഗ്രാമത്തിൽ കൃഷി ചെയ്തിരുന്നു.	егін егу; жер өңдеу	Атам жас кезінде ауылда егін еккен.
5330:中毒	中毒	中毒	വിഷബാധയേൽക്കുക	കേടായ ഭക്ഷണം വിഷബാധയ്ക്ക് കാരണമാകാം.	улану	Бұзылған тамақ улануға әкелуі мүмкін.
5331:中奖	中奖	中奖	സമ്മാനം നേടുക	ലോട്ടറി ടിക്കറ്റ് ആദ്യമായി വാങ്ങിയപ്പോൾ തന്നെ അവൾ സമ്മാനം നേടി.	жүлде ұту	Ол лотерея билетін бірінші рет сатып алғанда жүлде ұтты.
5332:众人	众人	众人	എല്ലാവരും; ജനക്കൂട്ടം	വാർത്ത കേട്ട ശേഷം എല്ലാവരും വളരെ അതിശയിച്ചു.	жұрт; көпшілік	Хабарды естігеннен кейін жұрттың бәрі таңғалды.
5333:中暑	中暑	中暑	ചൂടേറ്റുപോകുക; സൂര്യാഘാതം	വളരെ ചൂടുള്ള കാലാവസ്ഥയിൽ വയോധികർക്ക് എളുപ്പം ചൂടേറ്റുപോകാം.	күн өту; ыстық өту	Күн қатты ыстықта қарт адамдарға күн өтуі мүмкін.
5342:珠宝	珠宝	珠宝	ആഭരണം; രത്നാഭരണം	ഈ കട ആഭരണങ്ങൾ രൂപകൽപ്പന ചെയ്യുന്നതിൽ പ്രത്യേകതയുള്ളതാണ്.	зергерлік бұйымдар	Бұл дүкен зергерлік бұйымдарды жобалауға маманданған.
5343:诸多	诸多	诸多	അനവധി; പലതരം	ഈ പദ്ധതി അനവധി വെല്ലുവിളികൾ നേരിടുന്നു.	көптеген; сан алуан	Бұл жоба көптеген қиындыққа тап болып отыр.
5345:主播	主播	主播	അവതാരകൻ; ലൈവ് സ്ട്രീമർ	അവൾ ഈ പരിപാടിയുടെ അവതാരകയാണ്.	жүргізуші; стример	Ол осы бағдарламаның жүргізушісі.
5348:主角	主角	主角	പ്രധാന കഥാപാത്രം	ഈ സിനിമയിലെ പ്രധാന കഥാപാത്രം ഒരു ഡോക്ടറാണ്.	басты кейіпкер	Бұл фильмнің басты кейіпкері - дәрігер.
5350:主演	主演	主演	പ്രധാന വേഷത്തിൽ അഭിനയിക്കുക	ഈ നാടകത്തിൽ യുവ അഭിനേതാക്കളാണ് പ്രധാന വേഷത്തിൽ അഭിനയിക്കുന്നത്.	басты рөлде ойнау	Бұл спектакльде жас актерлер басты рөлде ойнайды.
5355:祝愿	祝愿	祝愿	ആശംസിക്കുക	ഞാൻ നിങ്ങളെ ഹൃദയപൂർവ്വം സന്തോഷം ആശംസിക്കുന്നു.	тілек айту; тілеу	Мен сіздерге шын жүректен бақыт тілеймін.
5359:专科	专科	专科	പ്രത്യേകവിഭാഗം; പ്രത്യേക പഠനശാഖ	ഈ ആശുപത്രിയിൽ കണ്ണുരോഗങ്ങൾക്ക് പ്രത്യേകവിഭാഗം ഔട്ട്‌പേഷ്യന്റ് ക്ലിനിക് ഉണ്ട്.	арнаулы мамандық; арнайы бөлім	Бұл ауруханада көз аурулары бойынша арнайы бөлім бар.
5362:专用	专用	专用	പ്രത്യേക ഉപയോഗത്തിനുള്ള	ഈ വഴിയിലൂടെ ജീവനക്കാർക്കു മാത്രമേ പോകാൻ കഴിയൂ.	арнайы; тек арнайы қолданылатын	Бұл жол тек қызметкерлерге арналған.
5363:专注	专注	专注	ശ്രദ്ധകേന്ദ്രീകരിച്ച; ഏകാഗ്രമായ	പരീക്ഷണം ചെയ്യുമ്പോൾ അവൾ വളരെ ശ്രദ്ധകേന്ദ്രീകരിച്ചിരിക്കുന്നു.	зейін қою; шоғырлану	Ол тәжірибе жасағанда өте зейінді болады.
5364:转换	转换	转换	മാറ്റുക; പരിവർത്തനം ചെയ്യുക	ദയവായി ഫയൽ PDF ഫോർമാറ്റിലേക്ക് മാറ്റുക.	түрлендіру; ауыстыру	Файлды PDF форматына түрлендіріңіз.
5365:转交	转交	转交	കൈമാറുക	ദയവായി ഈ കത്ത് മാനേജർക്കു കൈമാറുക.	табыстау; жеткізу	Мына хатты менеджерге табыстаңыз.
5367:转身	转身	转身	തിരിഞ്ഞുനിൽക്കുക; തിരിയുക	ശബ്ദം കേട്ടതുമാത്രം അവൻ ഉടൻ തിരിഞ്ഞു.	бұрылу	Ол дыбысты естіген соң бірден бұрылды.
5370:转动	转动	转动	തിരിയുക; കറങ്ങുക	യന്ത്രത്തിന്റെ ചക്രം കറങ്ങിത്തുടങ്ങി.	айналу; бұрылу	Машинаның дөңгелегі айнала бастады.
5374:捉	捉	捉	പിടിക്കുക	കുട്ടികൾ മുറ്റത്ത് ചിത്രശലഭങ്ങളെ പിടിച്ചു.	ұстау; аулау	Балалар аулада көбелектерді ұстады.
5378:自来水	自来水	自来水	പൈപ്പ് വെള്ളം	ഇവിടെയുള്ള പൈപ്പ് വെള്ളം നേരിട്ട് കുടിക്കാം.	құбыр суы	Мұндағы құбыр суын тікелей ішуге болады.
5379:自律	自律	自律	സ്വയംനിയന്ത്രണം	പഠനത്തിന് സ്വയംനിയന്ത്രണം പാലിക്കുന്നത് വളരെ പ്രധാനമാണ്.	өзін-өзі тәртіпке бағындыру	Оқуда өзін-өзі тәртіпке бағындыру маңызды.
5381:自杀	自杀	自杀	ആത്മഹത്യ ചെയ്യുക	വാർത്തകൾ ആത്മഹത്യാ സംഭവങ്ങളെ സൂക്ഷിച്ച് കൈകാര്യം ചെയ്യണം.	өзіне қол жұмсау; суицид	Жаңалықтар өзіне қол жұмсау оқиғаларын абайлап жазуы керек.
5382:自我	自我	自我	സ്വയം; ആത്മബോധം	യാത്ര അവനെ സ്വയം കൂടുതൽ മനസ്സിലാക്കാൻ സഹായിച്ചു.	өзіндік мен; өзін-өзі	Саяхат оған өзін жақсырақ түсінуге көмектесті.
5383:自言自语	自言自语	自言自语	സ്വയം സംസാരിക്കുക	പുസ്തക അലമാര ക്രമീകരിക്കുമ്പോൾ അവൾ സ്വയം സംസാരിച്ചുകൊണ്ടിരുന്നു.	өз-өзімен сөйлеу	Ол кітап сөресін реттеп жүріп, өз-өзімен сөйлесті.
5385:自助	自助	自助	സ്വയംസേവന	ഈ റെസ്റ്റോറന്റ് സ്വയംസേവന പ്രഭാതഭക്ഷണം നൽകുന്നു.	өзіне-өзі қызмет көрсету	Бұл мейрамхана өзіне-өзі қызмет көрсету таңғы асын ұсынады.
5388:总计	总计	总计	ആകെ; മൊത്തത്തിൽ	ഈ പരിപാടിയിൽ ആകെ ഇരുനൂറ് പേർ പങ്കെടുത്തു.	барлығы; жалпы саны	Бұл шараға барлығы екі жүз адам қатысты.
5391:粽子	粽子	粽子	സോംഗ്‌സി; ഇലയിൽ പൊതിഞ്ഞ അരിയപ്പം	ഡ്രാഗൺ ബോട്ട് ഉത്സവത്തിൽ ഞങ്ങൾ പല സോംഗ്‌സി ഉണ്ടാക്കി.	зунцзы; жапыраққа оралған күріш тұшпарасы	Айдаһар қайығы мерекесінде біз көп зунцзы жасадық.
5393:足	足	足	മതിയായ; പോരുന്ന	ഈ പണം ടിക്കറ്റ് വാങ്ങാൻ മതിയാകും.	жеткілікті	Бұл ақша билет сатып алуға жеткілікті.
5396:阻挡	阻挡	阻挡	തടയുക; നിർത്തുക	കനത്ത മഞ്ഞ് വാഹനങ്ങളുടെ മുന്നേറ്റം തടഞ്ഞു.	бөгеу; тоқтату	Қалың қар көліктердің жүруіне бөгет болды.
5399:钻	钻	钻	തുരക്കുക; കയറി ചെല്ലുക	കുട്ടി മേശയ്ക്കടിയിലേക്ക് കയറി.	бұрғылау; кіріп кету	Бала үстелдің астына кіріп кетті.
5400:罪	罪	罪	കുറ്റം; കുറ്റബോധം	അവൻ സ്വന്തം കുറ്റം സമ്മതിച്ചു.	қылмыс; кінә	Ол өз қылмысын мойындады.
