hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
3919:动漫	动漫	动漫	アニメ・漫画	彼は週末にアニメや漫画を見るのが好きだ。	애니메이션과 만화	그는 주말에 애니메이션과 만화를 보는 것을 좋아한다.	hoạt hình và truyện tranh	Cuối tuần anh ấy thích xem hoạt hình và truyện tranh.	แอนิเมชันและการ์ตูน	วันหยุดสุดสัปดาห์เขาชอบดูแอนิเมชันและการ์ตูน	animasi dan komik	Dia suka menonton animasi dan membaca komik pada hujung minggu.	animasi dan komik	Pada akhir pekan, dia suka menonton animasi dan komik.
3921:动听	动听	动听	耳に心地よい; 美しい響きの	彼女の歌声はとても耳に心地よい。	듣기 좋다; 아름답게 들리다	그녀의 노랫소리는 매우 듣기 좋다.	êm tai; hay	Giọng hát của cô ấy rất êm tai.	ไพเราะ	เสียงร้องของเธอไพเราะมาก	sedap didengar	Suara nyanyiannya sangat sedap didengar.	enak didengar	Suara nyanyiannya sangat enak didengar.
3924:都市	都市	都市	都市; 大都会	上海は現代的な都市だ。	도시; 대도시	상하이는 현대적인 도시이다.	đô thị; thành phố lớn	Thượng Hải là một đô thị hiện đại.	มหานคร; เมืองใหญ่	เซี่ยงไฮ้เป็นมหานครสมัยใหม่	metropolis; bandar raya	Shanghai ialah sebuah metropolis moden.	metropolis; kota besar	Shanghai adalah metropolis modern.
3925:毒	毒	毒	毒; 有毒の	この種類の蛇には毒がある。	독; 독성이 있는	이 종류의 뱀은 독이 있다.	chất độc; có độc	Loài rắn này có độc.	พิษ; มีพิษ	งูชนิดนี้มีพิษ	racun; beracun	Ular jenis ini beracun.	racun; berbisa	Jenis ular ini berbisa.
3926:渡	渡	渡	渡る; 渡す	私たちは船でこの川を渡った。	건너다; 건네다	우리는 배를 타고 이 강을 건넜다.	qua; vượt qua	Chúng tôi đi thuyền qua con sông này.	ข้าม; พาข้าม	พวกเรานั่งเรือข้ามแม่น้ำสายนี้	menyeberangi; membawa menyeberang	Kami menaiki bot menyeberangi sungai ini.	menyeberangi; mengangkut menyeberang	Kami menyeberangi sungai ini dengan perahu.
3928:短缺	短缺	短缺	不足; 欠乏	冬にはこの都市で水が不足する。	부족	이 도시는 겨울에 물이 부족하다.	thiếu hụt	Thành phố này thiếu nước vào mùa đông.	ขาดแคลน	เมืองนี้ขาดแคลนน้ำในฤดูหนาว	kekurangan	Bandar ini mengalami kekurangan air pada musim sejuk.	kekurangan	Kota ini mengalami kekurangan air pada musim dingin.
3930:对接	对接	对接	接続する; 連携する	2つのシステムは接続作業中だ。	연결하다; 연동하다	두 시스템은 연결 중이다.	kết nối; phối hợp	Hai hệ thống đang được kết nối.	เชื่อมต่อ; ประสาน	ระบบทั้งสองกำลังเชื่อมต่อกัน	menyambung; menyelaraskan	Dua sistem itu sedang disambungkan.	menghubungkan; menyelaraskan	Kedua sistem itu sedang dihubungkan.
3936:多才多艺	多才多艺	多才多艺	多才な; 多芸な	彼女は多才で絵も描けるしピアノも弾ける。	다재다능하다	그녀는 다재다능해서 그림도 그리고 피아노도 친다.	đa tài	Cô ấy đa tài, vừa biết vẽ vừa biết chơi đàn piano.	มีความสามารถหลายด้าน	เธอมีความสามารถหลายด้าน ทั้งวาดรูปและเล่นเปียโนได้	berbakat dalam banyak bidang	Dia berbakat dalam banyak bidang, boleh melukis dan bermain piano.	serbabisa; berbakat banyak	Dia serbabisa, bisa melukis dan bermain piano.
3938:多媒体	多媒体	多媒体	マルチメディア	教室にはマルチメディア設備がある。	멀티미디어	교실에는 멀티미디어 장비가 있다.	đa phương tiện	Trong lớp học có thiết bị đa phương tiện.	มัลติมีเดีย	ห้องเรียนมีอุปกรณ์มัลติมีเดีย	media pelbagai; multimedia	Di dalam bilik darjah ada peralatan multimedia.	multimedia; media majemuk	Di kelas ada peralatan multimedia.
3940:多元	多元	多元	多元的な	学校は多元的な文化交流を奨励している。	다원적인; 다양한	학교는 다원적인 문화 교류를 장려한다.	đa dạng; đa nguyên	Nhà trường khuyến khích giao lưu văn hóa đa dạng.	หลากหลาย; พหุวัฒนธรรม	โรงเรียนส่งเสริมการแลกเปลี่ยนวัฒนธรรมที่หลากหลาย	pelbagai; pluralistik	Sekolah menggalakkan pertukaran budaya yang pelbagai.	beragam; pluralistik	Sekolah mendorong pertukaran budaya yang beragam.
3941:夺	夺	夺	奪う	彼は最後の1秒でボールを奪った。	빼앗다	그는 마지막 1초에 공을 빼앗았다.	giành lấy; cướp lấy	Anh ấy giành được bóng ở giây cuối cùng.	แย่งชิง	เขาแย่งบอลได้ในวินาทีสุดท้าย	merampas	Dia merampas bola pada saat terakhir.	merebut	Dia merebut bola pada detik terakhir.
3942:夺取	夺取	夺取	勝ち取る; 奪取する	選手は優勝を勝ち取ろうと努力した。	쟁취하다; 차지하다	선수는 우승을 차지하려고 노력했다.	giành lấy; đoạt được	Vận động viên cố gắng giành chức vô địch.	ชิงมา; คว้า	นักกีฬาพยายามคว้าแชมป์	meraih; menawan	Atlet itu berusaha meraih kejuaraan.	merebut; meraih	Atlet itu berusaha meraih gelar juara.
3943:躲避	躲避	躲避	避ける; 身をかわす	歩行者は突然の大雨を避けた。	피하다	행인들은 갑자기 내린 큰비를 피했다.	tránh; né	Người đi đường tránh cơn mưa lớn bất ngờ.	หลบเลี่ยง	คนเดินถนนหลบฝนหนักที่ตกลงมากะทันหัน	mengelak	Pejalan kaki mengelak hujan lebat yang tiba-tiba turun.	menghindari	Para pejalan kaki menghindari hujan deras yang datang tiba-tiba.
3946:儿科	儿科	儿科	小児科	この病院の小児科は有名だ。	소아과	이 병원의 소아과는 유명하다.	khoa nhi	Khoa nhi của bệnh viện này rất nổi tiếng.	กุมารเวช; แผนกเด็ก	แผนกเด็กของโรงพยาบาลนี้มีชื่อเสียงมาก	pediatrik	Jabatan pediatrik hospital ini sangat terkenal.	pediatri; bagian anak	Bagian anak di rumah sakit ini sangat terkenal.
3949:发病	发病	发病	発症する	この病気はたいてい春に発症する。	발병하다	이 병은 보통 봄에 발병한다.	phát bệnh	Bệnh này thường phát vào mùa xuân.	เริ่มป่วย; เริ่มมีอาการ	โรคนี้มักเริ่มมีอาการในฤดูใบไม้ผลิ	mula sakit; muncul	Penyakit ini biasanya muncul pada musim bunga.	mulai sakit; muncul	Penyakit ini biasanya muncul pada musim semi.
3951:发电	发电	发电	発電する	風力タービンは発電に使える。	전기를 생산하다; 발전하다	풍차는 전기를 생산하는 데 쓸 수 있다.	phát điện	Tua-bin gió có thể dùng để phát điện.	ผลิตไฟฟ้า	กังหันลมสามารถใช้ผลิตไฟฟ้าได้	menjana elektrik	Turbin angin boleh digunakan untuk menjana elektrik.	menghasilkan listrik	Turbin angin dapat digunakan untuk menghasilkan listrik.
3953:发放	发放	发放	配布する; 支給する	学校は明日新しい教材を配布する。	배포하다; 지급하다	학교는 내일 새 교재를 배포한다.	phát; phân phát	Trường sẽ phát sách giáo khoa mới vào ngày mai.	แจกจ่าย	โรงเรียนจะแจกหนังสือเรียนใหม่พรุ่งนี้	mengedarkan	Sekolah akan mengedarkan bahan pengajaran baharu esok.	membagikan	Sekolah akan membagikan bahan ajar baru besok.
3954:发光	发光	发光	光る; 発光する	この小さな虫は夜に光る。	빛나다; 발광하다	이 작은 벌레들은 밤에 빛난다.	phát sáng	Những con côn trùng nhỏ này phát sáng vào ban đêm.	ส่องแสง	แมลงตัวเล็กเหล่านี้ส่องแสงตอนกลางคืน	bercahaya	Serangga kecil ini bercahaya pada waktu malam.	bercahaya	Serangga kecil ini bercahaya pada malam hari.
3959:法定	法定	法定	法定の; 法律で定められた	法定休日にはみんな休める。	법정의; 법으로 정한	법정 공휴일에는 모두 쉴 수 있다.	theo luật định	Ngày nghỉ theo luật định thì mọi người có thể nghỉ.	ตามกฎหมาย	ในวันหยุดตามกฎหมาย ทุกคนสามารถพักได้	ditetapkan undang-undang	Semua orang boleh berehat pada cuti yang ditetapkan undang-undang.	menurut hukum; resmi	Pada hari libur resmi, semua orang bisa beristirahat.
3960:法官	法官	法官	裁判官	裁判官は判決を発表した。	판사	판사는 판결을 선고했다.	thẩm phán	Thẩm phán tuyên bố phán quyết.	ผู้พิพากษา	ผู้พิพากษาประกาศคำตัดสิน	hakim	Hakim mengumumkan keputusan.	hakim	Hakim mengumumkan putusan.
3961:法规	法规	法规	法規; 法令	企業は環境保護の法規を守らなければならない。	법규	기업은 환경 보호 법규를 준수해야 한다.	pháp quy; luật lệ	Doanh nghiệp phải tuân thủ các quy định bảo vệ môi trường.	กฎระเบียบทางกฎหมาย	บริษัทต้องปฏิบัติตามกฎระเบียบด้านสิ่งแวดล้อม	peraturan undang-undang	Syarikat mesti mematuhi peraturan perlindungan alam sekitar.	peraturan hukum	Perusahaan harus mematuhi peraturan lingkungan.
3968:犯	犯	犯	犯す; 違反する	彼は重大な過ちを犯した。	범하다; 위반하다	그는 심각한 실수를 저질렀다.	phạm; vi phạm	Anh ấy đã phạm một lỗi nghiêm trọng.	กระทำผิด; ฝ่าฝืน	เขาทำผิดร้ายแรงอย่างหนึ่ง	melakukan; melanggar	Dia melakukan satu kesilapan yang serius.	melakukan; melanggar	Dia melakukan kesalahan serius.
3969:方方面面	方方面面	方方面面	あらゆる面	この改革は社会のあらゆる面に影響する。	모든 면	이번 개혁은 사회의 모든 면에 영향을 준다.	mọi mặt	Cuộc cải cách này ảnh hưởng đến mọi mặt của xã hội.	ทุกด้าน	การปฏิรูปครั้งนี้ส่งผลต่อสังคมทุกด้าน	semua aspek	Pembaharuan ini mempengaruhi semua aspek masyarakat.	semua aspek	Reformasi ini memengaruhi semua aspek masyarakat.
3973:房价	房价	房价	住宅価格	この都市の住宅価格は高い。	집값	이 도시의 집값은 높다.	giá nhà	Giá nhà ở thành phố này rất cao.	ราคาบ้าน	ราคาบ้านในเมืองนี้สูงมาก	harga rumah	Harga rumah di bandar ini sangat tinggi.	harga rumah	Harga rumah di kota ini sangat tinggi.
3975:访谈	访谈	访谈	インタビュー; 取材対談	記者は作家にインタビューしている。	인터뷰	기자가 작가와 인터뷰를 하고 있다.	phỏng vấn	Phóng viên đang phỏng vấn nhà văn.	สัมภาษณ์	นักข่าวกำลังสัมภาษณ์นักเขียน	temu bual	Wartawan sedang menemu bual penulis itu.	wawancara	Reporter sedang mewawancarai penulis.
3977:放飞	放飞	放飞	飛ばす; 放つ	子どもたちは芝生で凧を揚げている。	날려 보내다	아이들은 잔디밭에서 연을 날리고 있다.	thả bay	Bọn trẻ đang thả diều trên bãi cỏ.	ปล่อยให้บิน	เด็กๆ ปล่อยว่าวบนสนามหญ้า	melepaskan terbang	Kanak-kanak menerbangkan wau di padang rumput.	menerbangkan	Anak-anak menerbangkan layang-layang di rumput.
3978:飞速	飞速	飞速	急速な; 急速に	科学技術は急速に発展している。	급속히; 빠른 속도의	과학 기술이 급속히 발전하고 있다.	nhanh chóng; với tốc độ cao	Công nghệ đang phát triển nhanh chóng.	อย่างรวดเร็วมาก	เทคโนโลยีกำลังพัฒนาอย่างรวดเร็วมาก	sangat pantas	Teknologi sedang berkembang dengan sangat pantas.	sangat cepat	Teknologi sedang berkembang sangat cepat.
3979:肥	肥	肥	肥えた; 肥沃な	この土地は肥えていて野菜作りに適している。	기름진; 비옥한	이 땅은 비옥해서 채소를 심기에 알맞다.	màu mỡ; béo	Mảnh đất này rất màu mỡ, thích hợp trồng rau.	อุดมสมบูรณ์; อ้วน	ที่ดินผืนนี้อุดมสมบูรณ์ เหมาะสำหรับปลูกผัก	subur; gemuk	Tanah ini subur dan sesuai untuk menanam sayur.	subur; gemuk	Tanah ini subur dan cocok untuk menanam sayur.
3980:肥胖	肥胖	肥胖	肥満; 太りすぎ	肥満は健康リスクを高める。	비만	비만은 건강 위험을 높인다.	béo phì	Béo phì làm tăng rủi ro sức khỏe.	โรคอ้วน	ความอ้วนเพิ่มความเสี่ยงต่อสุขภาพ	obesiti	Obesiti meningkatkan risiko kesihatan.	obesitas	Obesitas meningkatkan risiko kesehatan.
3983:肺炎	肺炎	肺炎	肺炎; はいえん	医師は彼が肺炎にかかったと言った。	폐렴	의사는 그가 폐렴에 걸렸다고 말했다.	viêm phổi	Bác sĩ nói anh ấy bị viêm phổi.	ปอดบวม	แพทย์บอกว่าเขาเป็นปอดบวม	radang paru-paru	Doktor berkata dia menghidap radang paru-paru.	pneumonia; radang paru-paru	Dokter mengatakan dia terkena pneumonia.
3984:分工	分工	分工	分業; 役割分担	チームメンバーの役割分担は明確だ。	분업; 역할 분담	팀원들의 역할 분담이 매우 명확하다.	phân công; phân chia công việc	Sự phân công trong nhóm rất rõ ràng.	การแบ่งงาน	สมาชิกทีมแบ่งหน้าที่กันชัดเจน	pembahagian kerja	Pembahagian kerja ahli pasukan sangat jelas.	pembagian kerja	Pembagian kerja anggota tim sangat jelas.
3985:分级	分级	分级	等級分けする; レベル別に分類する	これらの資料は難易度で等級分けする必要がある。	등급을 나누다; 수준별로 분류하다	이 자료들은 난이도에 따라 등급을 나눠야 한다.	phân cấp; phân loại theo mức độ	Những tài liệu này cần được phân loại theo độ khó.	แบ่งระดับ	เอกสารเหล่านี้ต้องแบ่งระดับตามความยาก	menggredkan; mengelaskan mengikut tahap	Bahan-bahan ini perlu dikelaskan mengikut tahap kesukaran.	memberi tingkatan; mengelompokkan menurut tingkat	Materi ini perlu dikelompokkan menurut tingkat kesulitan.
3986:分期	分期	分期	分割払い; 段階的に	彼は分割払いを選んだ。	할부; 단계별로	그는 할부 결제를 선택했다.	trả góp; theo từng giai đoạn	Anh ấy chọn trả góp.	ผ่อนชำระ; เป็นระยะ	เขาเลือกผ่อนชำระ	ansuran; berperingkat	Dia memilih bayaran secara ansuran.	cicilan; bertahap	Dia memilih pembayaran secara cicilan.
3988:氛围	氛围	氛围	雰囲気	オフィスの雰囲気はとても落ち着いている。	분위기	사무실 분위기는 매우 편안하다.	bầu không khí	Bầu không khí trong văn phòng rất thoải mái.	บรรยากาศ	บรรยากาศในสำนักงานผ่อนคลายมาก	suasana	Suasana di pejabat itu sangat santai.	suasana	Suasana di kantor itu santai.
3989:粉	粉	粉	粉; ピンク色	この粉はケーキ作りに使える。	가루; 분홍색	이 가루는 케이크를 만드는 데 쓸 수 있다.	bột; màu hồng	Loại bột này có thể dùng để làm bánh.	ผง; แป้ง; สีชมพู	ผงชนิดนี้ใช้ทำเค้กได้	serbuk; merah jambu	Serbuk ini boleh digunakan untuk membuat kek.	bubuk; merah muda	Bubuk ini bisa digunakan untuk membuat kue.
3993:风力	风力	风力	風力	今日は海辺の風力がとても強い。	풍력; 바람 세기	오늘 해변의 바람이 매우 세다.	sức gió; năng lượng gió	Hôm nay sức gió bên bờ biển rất mạnh.	แรงลม; พลังงานลม	วันนี้ริมทะเลมีแรงลมแรงมาก	kuasa angin; kekuatan angin	Hari ini angin di tepi laut sangat kuat.	kekuatan angin; tenaga angin	Hari ini angin di tepi laut sangat kuat.
3995:风雨	风雨	风雨	風雨; 困難	どんなに風雨が強くても、彼は時間通りに到着した。	비바람; 어려움	비바람이 아무리 거세도 그는 제시간에 도착했다.	mưa gió; gian khó	Dù mưa gió lớn đến đâu, anh ấy vẫn đến đúng giờ.	ลมฝน; ความยากลำบาก	ไม่ว่าลมฝนจะแรงแค่ไหน เขาก็มาถึงตรงเวลา	angin dan hujan; kesusahan	Walaupun angin dan hujan sangat kuat, dia tiba tepat pada waktunya.	angin dan hujan; kesulitan	Betapapun deras angin dan hujan, dia tiba tepat waktu.
3998:服	服	服	服する; 納得する	みんなは彼の能力に納得している。	승복하다; 인정하다	모두가 그의 능력을 인정한다.	phục; chịu phục	Mọi người đều phục năng lực của anh ấy.	ยอมรับ; ศรัทธา	ทุกคนยอมรับความสามารถของเขา	akur; kagum	Semua orang kagum dengan kebolehannya.	mengakui; tunduk	Semua orang mengakui kemampuannya.
3999:浮	浮	浮	浮く	葉が水面に浮いている。	뜨다	나뭇잎이 물 위에 떠 있다.	nổi	Lá cây nổi trên mặt nước.	ลอย	ใบไม้ลอยอยู่บนผิวน้ำ	terapung	Daun-daun terapung di atas permukaan air.	terapung	Daun-daun mengapung di permukaan air.
4004:服用	服用	服用	服用する; 薬を飲む	説明に従って薬を服用してください。	복용하다	설명에 따라 약을 복용하세요.	uống thuốc; dùng thuốc	Xin hãy dùng thuốc theo hướng dẫn.	รับประทานยา	โปรดรับประทานยาตามคำแนะนำ	mengambil ubat	Sila ambil ubat mengikut arahan.	minum obat	Harap minum obat sesuai petunjuk.
4010:负面	负面	负面	否定的な; マイナスの	このニュースは悪影響をもたらした。	부정적인	이 뉴스는 부정적인 영향을 가져왔다.	tiêu cực	Tin này đã gây ra ảnh hưởng tiêu cực.	ด้านลบ	ข่าวนี้ก่อให้เกิดผลกระทบด้านลบ	negatif	Berita ini membawa kesan negatif.	negatif	Berita ini membawa dampak negatif.
4013:该2	该2	该	当該の; その	当該プロジェクトはすでに終了した。	해당; 그	해당 프로젝트는 이미 끝났다.	này; nói trên	Dự án này đã kết thúc.	ดังกล่าว; นี้	โครงการดังกล่าวสิ้นสุดแล้ว	tersebut	Projek tersebut telah tamat.	tersebut	Proyek tersebut sudah selesai.
4014:改编	改编	改编	改編する; 脚色する	この映画は小説を原作にしている。	각색하다; 개작하다	이 영화는 소설을 각색한 것이다.	cải biên; chuyển thể	Bộ phim này được chuyển thể từ tiểu thuyết.	ดัดแปลง	ภาพยนตร์เรื่องนี้ดัดแปลงจากนวนิยาย	mengadaptasi; mengolah semula	Filem ini diadaptasi daripada novel.	mengadaptasi; menggubah ulang	Film ini diadaptasi dari novel.
4015:改造	改造	改造	改造する; 改修する	古い工場は図書館に改造された。	개조하다	낡은 공장이 도서관으로 개조되었다.	cải tạo; biến đổi	Nhà máy cũ được cải tạo thành thư viện.	ปรับปรุง; ดัดแปลง	โรงงานเก่าถูกดัดแปลงเป็นห้องสมุด	mengubah suai	Kilang lama itu diubah suai menjadi perpustakaan.	merenovasi; mengubah	Pabrik lama diubah menjadi perpustakaan.
4016:概率	概率	概率	確率	成功する確率は高くない。	확률	성공할 확률은 높지 않다.	xác suất	Xác suất thành công không cao.	ความน่าจะเป็น	โอกาสสำเร็จไม่ได้สูง	kebarangkalian	Kebarangkalian untuk berjaya tidak tinggi.	probabilitas; kemungkinan	Probabilitas keberhasilan tidak tinggi.
4017:肝	肝	肝	肝臓; レバー	飲みすぎは肝臓を傷める。	간	술을 너무 많이 마시면 간을 해칠 수 있다.	gan	Uống quá nhiều rượu có thể hại gan.	ตับ	การดื่มเหล้ามากเกินไปอาจทำร้ายตับ	hati	Minum terlalu banyak alkohol boleh merosakkan hati.	hati	Minum alkohol terlalu banyak dapat merusak hati.
4024:赶忙	赶忙	赶忙	急いで; 慌てて	ベルの音を聞いて、彼は急いで走り出した。	서둘러; 황급히	종소리를 듣고 그는 서둘러 뛰어나갔다.	vội vàng	Nghe tiếng chuông, anh ấy vội chạy ra ngoài.	รีบ	เมื่อได้ยินเสียงกริ่ง เขาก็รีบวิ่งออกไป	bergegas	Apabila terdengar loceng, dia bergegas berlari keluar.	buru-buru	Ketika mendengar bel, dia buru-buru berlari keluar.
4027:钢笔	钢笔	钢笔	万年筆	彼は万年筆で手紙を書く。	만년필	그는 만년필로 편지를 쓴다.	bút máy	Anh ấy viết thư bằng bút máy.	ปากกาหมึกซึม	เขาเขียนจดหมายด้วยปากกาหมึกซึม	pen dakwat	Dia menulis surat dengan pen dakwat.	pulpen tinta; pena	Dia menulis surat dengan pulpen tinta.
4030:高层	高层	高层	上層部; 高層の	会社の上層部は新しい戦略を議論している。	고위층; 고층	회사 고위층이 새 전략을 논의하고 있다.	cấp cao; tầng cao	Ban lãnh đạo cấp cao của công ty đang bàn chiến lược mới.	ผู้บริหารระดับสูง; อาคารสูง	ผู้บริหารระดับสูงของบริษัทกำลังหารือกลยุทธ์ใหม่	peringkat atasan; bangunan tinggi	Pihak atasan syarikat sedang membincangkan strategi baharu.	tingkat atas; manajemen senior	Manajemen senior perusahaan sedang membahas strategi baru.
4032:高等	高等	高等	高等の; 高度な	彼は高等教育を受けている。	고등의; 고급의	그는 고등 교육을 받고 있다.	cao cấp; bậc cao	Anh ấy đang tiếp nhận giáo dục bậc cao.	ระดับสูง; ขั้นสูง	เขากำลังได้รับการศึกษาระดับสูง	tinggi; lanjutan	Dia sedang menerima pendidikan tinggi.	tinggi; lanjutan	Dia sedang menempuh pendidikan tinggi.
4033:高端	高端	高端	高級な; ハイエンドの	この店は主に高級スマートフォンを販売している。	고급의; 하이엔드	이 가게는 주로 고급 휴대전화를 판매한다.	cao cấp	Cửa hàng này chủ yếu bán điện thoại cao cấp.	ระดับไฮเอนด์	ร้านนี้ขายโทรศัพท์มือถือระดับไฮเอนด์เป็นหลัก	mewah; kelas tinggi	Kedai ini terutamanya menjual telefon bimbit kelas tinggi.	kelas atas; premium	Toko ini terutama menjual ponsel kelas atas.
4036:高手	高手	高手	達人; 名人	彼はチェスの達人だ。	고수; 전문가	그는 체스를 잘 두는 고수다.	cao thủ; chuyên gia	Anh ấy là cao thủ chơi cờ.	ผู้เชี่ยวชาญ	เขาเป็นผู้เชี่ยวชาญในการเล่นหมากรุก	pakar; orang mahir	Dia pakar bermain catur.	ahli; orang mahir	Dia ahli bermain catur.
4037:高新技术	高新技术	高新技术	ハイテク; 先端技術	この会社は先端技術を専門に研究している。	첨단 기술	이 회사는 첨단 기술을 전문적으로 연구한다.	công nghệ cao và mới	Công ty này chuyên nghiên cứu công nghệ cao.	เทคโนโลยีขั้นสูงและใหม่	บริษัทนี้วิจัยเทคโนโลยีขั้นสูงโดยเฉพาะ	teknologi tinggi dan baharu	Syarikat ini khusus meneliti teknologi tinggi dan baharu.	teknologi tinggi dan baru	Perusahaan ini khusus meneliti teknologi tinggi dan baru.
4038:高原	高原	高原	高原; こうげん	青海チベット高原は空気が比較的薄い。	고원	칭하이-티베트 고원은 공기가 비교적 희박하다.	cao nguyên	Không khí trên cao nguyên Thanh Hải-Tây Tạng khá loãng.	ที่ราบสูง	อากาศบนที่ราบสูงชิงไห่-ทิเบตค่อนข้างเบาบาง	dataran tinggi	Udara di Dataran Tinggi Qinghai-Tibet agak nipis.	dataran tinggi	Udara di Dataran Tinggi Qinghai-Tibet relatif tipis.
4040:稿子	稿子	稿子	原稿; 下書き	原稿を編集者に送ってください。	원고; 초안	원고를 편집자에게 보내 주세요.	bản thảo; bản nháp	Xin hãy gửi bản thảo cho biên tập viên.	ต้นฉบับ; ร่าง	กรุณาส่งต้นฉบับให้บรรณาธิการ	manuskrip; draf	Sila hantar manuskrip itu kepada editor.	naskah; draf	Tolong kirim naskah itu kepada editor.
4042:歌唱	歌唱	歌唱	歌う; 歌唱する	子どもたちが舞台で歌っている。	노래하다	아이들이 무대에서 노래하고 있다.	ca hát	Bọn trẻ đang ca hát trên sân khấu.	ร้องเพลง	เด็กๆ กำลังร้องเพลงบนเวที	menyanyi	Kanak-kanak sedang menyanyi di atas pentas.	bernyanyi	Anak-anak sedang bernyanyi di atas panggung.
4050:公	公	公	共用の; 公の	食事のときは取り箸を使ってください。	공용의; 공적인	식사할 때는 공용 젓가락을 사용해 주세요.	công cộng; dùng chung	Khi ăn, xin hãy dùng đũa chung.	สาธารณะ; ใช้ร่วมกัน	เวลากินข้าวกรุณาใช้ตะเกียบกลาง	awam; berkongsi	Semasa makan, sila gunakan penyepit hidang bersama.	umum; bersama	Saat makan, harap gunakan sumpit saji bersama.
4051:宫	宫	宫	宮殿; きゅうでん	この宮殿はよく保存されている。	궁전	이 궁전은 잘 보존되어 있다.	cung điện	Cung điện này được bảo tồn rất tốt.	พระราชวัง	พระราชวังแห่งนี้ได้รับการอนุรักษ์ไว้อย่างดี	istana	Istana ini terpelihara dengan baik.	istana	Istana ini terawat dengan baik.
4052:公安	公安	公安	公安; 警察治安当局	公安職員はすぐに現場へ駆けつけた。	공안; 경찰	공안 요원들이 곧 현장에 도착했다.	công an; cảnh sát	Nhân viên công an nhanh chóng đến hiện trường.	เจ้าหน้าที่ความมั่นคง; ตำรวจ	เจ้าหน้าที่ตำรวจมาถึงที่เกิดเหตุอย่างรวดเร็ว	keselamatan awam; polis	Pegawai keselamatan awam segera tiba di tempat kejadian.	keamanan publik; polisi	Petugas keamanan publik segera tiba di lokasi kejadian.
4053:工地	工地	工地	工事現場	工事現場のそばは騒がしい。	공사장	공사장 옆은 시끄럽다.	công trường	Bên cạnh công trường rất ồn.	สถานที่ก่อสร้าง	ข้างสถานที่ก่อสร้างเสียงดังมาก	tapak bina	Kawasan di sebelah tapak bina sangat bising.	lokasi konstruksi	Di sebelah lokasi konstruksi sangat bising.
4054:工夫	工夫	工夫	手間; 努力	書道をうまく学ぶには努力が必要だ。	노력; 시간	서예를 잘 배우려면 노력이 필요하다.	công sức; thời gian	Học thư pháp cho tốt cần bỏ công sức.	เวลาและความพยายาม	การเรียนพู่กันจีนให้ดีต้องใช้ความพยายาม	usaha; masa	Belajar kaligrafi dengan baik memerlukan usaha.	usaha; waktu	Belajar kaligrafi dengan baik memerlukan usaha.
4062:工序	工序	工序	工程; 作業手順	この工程は機械で完了する必要がある。	공정; 작업 절차	이 공정은 기계로 완료해야 한다.	quy trình công đoạn	Công đoạn này cần máy móc hoàn thành.	ขั้นตอนการทำงาน	ขั้นตอนนี้ต้องใช้เครื่องจักรทำให้เสร็จ	prosedur kerja; proses	Proses ini perlu disiapkan oleh mesin.	prosedur kerja; proses	Proses ini perlu diselesaikan oleh mesin.
4063:公益	公益	公益	公益; 社会貢献	彼はよく公益活動に参加する。	공익	그는 자주 공익 활동에 참여한다.	công ích; phúc lợi cộng đồng	Anh ấy thường tham gia hoạt động công ích.	สาธารณประโยชน์	เขามักเข้าร่วมกิจกรรมเพื่อสาธารณประโยชน์	kebajikan awam	Dia sering menyertai aktiviti kebajikan awam.	kepentingan umum	Dia sering mengikuti kegiatan kepentingan umum.
4064:供应	供应	供应	供給する; 提供する	この会社は新鮮な野菜を供給している。	공급하다; 제공하다	이 회사는 신선한 채소를 공급한다.	cung cấp	Công ty này cung cấp rau tươi.	จัดหา	บริษัทนี้จัดหาผักสด	membekalkan	Syarikat ini membekalkan sayur-sayuran segar.	memasok; menyediakan	Perusahaan ini memasok sayuran segar.
4067:公众	公众	公众	一般大衆; 公衆	このニュースはすぐに一般大衆の関心を集めた。	대중; 공중	이 소식은 곧 대중의 관심을 끌었다.	công chúng	Tin này nhanh chóng thu hút sự chú ý của công chúng.	สาธารณชน	ข่าวนี้ดึงดูดความสนใจของสาธารณชนอย่างรวดเร็ว	orang awam	Berita ini segera menarik perhatian orang awam.	publik	Berita ini segera menarik perhatian publik.
4071:沟	沟	沟	溝; みぞ	雨水が道路脇の溝に流れ込んだ。	도랑	빗물이 길가의 도랑으로 흘러 들어갔다.	mương; rãnh	Nước mưa chảy vào rãnh bên đường.	คู; ร่องน้ำ	น้ำฝนไหลลงคูข้างถนน	parit	Air hujan mengalir ke dalam parit di tepi jalan.	parit	Air hujan mengalir ke parit di pinggir jalan.
4072:构造	构造	构造	構造; 組み立てる	先生はこの橋の構造を説明した。	구조; 만들다	선생님은 이 다리의 구조를 설명했다.	cấu tạo; xây dựng	Giáo viên giải thích cấu tạo của cây cầu này.	โครงสร้าง; สร้าง	ครูอธิบายโครงสร้างของสะพานนี้	struktur; membina	Guru menerangkan struktur jambatan ini.	struktur; membangun	Guru menjelaskan struktur jembatan ini.
