simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
方面	et aspekt; et område	Far kan lide at læse bøger om historie.	puoli; ala	Isä pitää historiaa käsittelevien kirjojen lukemisesta.	ohled; oblast	Táta rád čte knihy z oblasti historie.	ohľad; oblasť	Otec rád číta knihy z oblasti histórie.
方向	en retning	Er det denne retning? Jeg tror, vi er faret vild.	suunta	Onko tämä oikea suunta? Luulen, että olemme eksyneet.	směr	Je to tímto směrem? Myslím, že jsme se ztratili.	smer	Je to týmto smerom? Myslím, že sme sa stratili.
房东	en udlejer	Min udlejer er meget venlig og hjælper mig ofte.	vuokranantaja	Vuokranantajani on hyvin ystävällinen ja auttaa minua usein.	pronajímatel	Můj pronajímatel je velmi přátelský a často mi pomáhá.	prenajímateľ	Môj prenajímateľ je veľmi priateľský a často mi pomáha.
放弃	at opgive	Jeg opgav muligheden for at studere i udlandet.	luopua; antaa periksi	Luovuin mahdollisuudesta opiskella ulkomailla.	vzdát se	Vzdal jsem se příležitosti studovat v zahraničí.	vzdať sa	Vzdal som sa príležitosti študovať v zahraničí.
放暑假	at holde sommerferie	Sommerferien begynder allerede i morgen.	aloittaa kesäloma; olla kesälomalla	Kesäloma alkaa jo huomenna.	mít letní prázdniny	Zítra už začínají letní prázdniny.	mať letné prázdniny	Zajtra sa už začínajú letné prázdniny.
放松	at slappe af	Eksamen er slut, vi har brug for at slappe lidt af.	rentoutua	Koe on ohi, meidän täytyy rentoutua vähän.	uvolnit se; odpočinout si	Zkouška skončila, potřebujeme si trochu odpočinout.	uvoľniť sa; oddýchnuť si	Skúška sa skončila, potrebujeme si trochu oddýchnuť.
份	klassifikator for dokumenter og portioner	Send mig venligst en fax.	luokittelusana asiakirjoille ja annoksille	Lähetä minulle faksi, ole hyvä.	klasifikátor pro dokumenty a porce	Pošlete mi prosím fax.	klasifikátor pre dokumenty a porcie	Prosím, pošlite mi fax.
丰富	rig; at berige	Læsning kan berige vores liv.	runsas; rikastuttaa	Lukeminen voi rikastuttaa elämäämme.	bohatý; obohatit	Čtení může obohatit náš život.	bohatý; obohatiť	Čítanie môže obohatiť náš život.
否则	ellers; hvis ikke	Lad os tage af sted nu, ellers kommer vi for sent.	muuten; jos ei	Lähdetään nyt, muuten myöhästymme.	jinak; pokud ne	Vyrazme teď, jinak se opozdíme.	inak; ak nie	Vyrazme teraz, inak budeme meškať.
符合	at passe til; at opfylde	Hun opfylder vores ansættelseskrav meget godt.	sopia; täyttää	Hän täyttää rekrytointikriteerimme erittäin hyvin.	vyhovovat; splňovat	Velmi dobře splňuje naše náborové podmínky.	vyhovovať; spĺňať	Veľmi dobre spĺňa naše náborové podmienky.
付款	at betale; betaling	Man kan betale online, når man handler.	maksaa; maksu	Ostokset voi maksaa verkossa.	platit; platba	Při nakupování lze platit online.	platiť; platba	Pri nakupovaní sa dá platiť online.
复印	at kopiere; at fotokopiere	Kopier venligst dette materiale to gange mere.	kopioida; valokopioida	Ota tästä materiaalista vielä kaksi kopiota.	kopírovat; fotokopírovat	Prosím, udělejte ještě dvě kopie tohoto materiálu.	kopírovať; fotokopírovať	Prosím, urobte ešte dve kópie tohto materiálu.
复杂	kompliceret; kompleks	Det er et kompliceret teknisk problem.	monimutkainen; kompleksinen	Tämä on monimutkainen tekninen ongelma.	složitý; komplexní	Je to složitý technický problém.	zložitý; komplexný	Je to zložitý technický problém.
富	rig	Folks liv bliver mere og mere velstående.	rikas	Ihmisten elämästä tulee yhä vauraampaa.	bohatý	Život lidí je čím dál bohatší.	bohatý	Život ľudí je čoraz bohatší.
父亲	en far	Min far er treogfirs år i år.	isä	Isäni on tänä vuonna kahdeksankymmentäkolme vuotta.	otec	Mému otci je letos osmdesát tři let.	otec	Môj otec má tento rok osemdesiattri rokov.
负责	ansvarlig; at være ansvarlig	Lille Li er meget ansvarlig i sit arbejde.	vastuullinen; olla vastuussa	Xiao Li on työssään hyvin vastuullinen.	zodpovědný; mít na starosti	Xiao Li je v práci velmi zodpovědný.	zodpovedný; mať na starosti	Xiao Li je v práci veľmi zodpovedný.
改变	at ændre	Jeg har allerede ændret planen.	muuttaa	Olen jo muuttanut suunnitelmaa.	změnit	Už jsem změnil plán.	zmeniť	Už som zmenil plán.
干杯	skål; at skåle	God ferie til alle, skål!	kippis; nostaa malja	Hyvää juhlaa kaikille, kippis!	na zdraví; připít si	Přeji všem krásné svátky, na zdraví!	na zdravie; pripiť si	Prajem všetkým pekné sviatky, na zdravie!
感动	at røre; rørt	Hans ord rørte mig meget.	liikuttaa; liikuttunut	Hänen sanansa liikuttivat minua paljon.	dojmout; dojatý	Jeho slova mě velmi dojala.	dojať; dojatý	Jeho slová ma veľmi dojali.
感觉	at føle; en følelse	Jeg føler, at det er lidt koldt i dag.	tuntea; tunne	Minusta tänään on vähän kylmä.	cítit; pocit	Mám pocit, že je dnes trochu chladno.	cítiť; pocit	Mám pocit, že je dnes trochu chladno.
感情	følelse; forhold	Forholdet mellem dem er meget godt.	tunne; suhde	Heidän välinsä ovat hyvin hyvät.	cit; vztah	Jejich vztah je velmi dobrý.	cit; vzťah	Ich vzťah je veľmi dobrý.
感谢	at takke; være taknemmelig	Tak for Deres hjælp til os.	kiittää; olla kiitollinen	Kiitos avustanne meille.	děkovat; být vděčný	Děkujeme za vaši pomoc.	ďakovať; byť vďačný	Ďakujeme za vašu pomoc.
敢	at turde	Jeg tør ikke gå alene.	uskaltaa	En uskalla mennä yksin.	odvážit se	Neodvážím se jít sám.	odvážiť sa	Neodvážim sa ísť sám.
赶	at skynde sig	Tak fordi du skyndte dig hertil for at hjælpe mig i tide.	kiirehtiä; ehtiä	Kiitos, että ehdit ajoissa auttamaan minua.	spěchat; dorazit včas	Děkuji, že jste dorazil včas, abyste mi pomohl.	ponáhľať sa; prísť včas	Ďakujem, že ste prišli včas, aby ste mi pomohli.
干	at gøre; at arbejde	Hvad laver du?	tehdä; työskennellä	Mitä sinä teet?	dělat; pracovat	Co děláš?	robiť; pracovať	Čo robíš?
刚	lige; netop	Tilgiv venligst det, jeg lige sagde.	juuri; äsken	Anna anteeksi se, mitä juuri sanoin.	právě; zrovna	Prosím, odpusťte mi to, co jsem právě řekl.	práve; akurát	Prosím, odpusťte mi to, čo som práve povedal.
高速公路	en motorvej	Der er blevet bygget en ny motorvej her.	moottoritie	Tänne on rakennettu uusi moottoritie.	dálnice	Tady byla nově postavena dálnice.	diaľnica	Tu bola novopostavená diaľnica.
胳膊	en arm	Hans arm gør lidt ondt.	käsivarsi	Hänen käsivartensa on vähän kipeä.	paže; ruka	Trochu ho bolí ruka.	rameno; ruka	Trochu ho bolí ruka.
各	hver; hver enkelt	Der er forskellige slags frugt i supermarkedet.	jokainen; eri	Supermarketissa on kaikenlaisia hedelmiä.	každý; různé	V supermarketu jsou různé druhy ovoce.	každý; rôzne	V supermarkete sú rôzne druhy ovocia.
公里	en kilometer	Afstanden mellem disse to byer er tre hundrede kilometer.	kilometri	Näiden kahden kaupungin välinen etäisyys on kolmesataa kilometriä.	kilometr	Vzdálenost mezi těmito dvěma městy je tři sta kilometrů.	kilometer	Vzdialenosť medzi týmito dvoma mestami je tristo kilometrov.
功夫	kung fu; færdighed	Jeg lærer kinesisk kung fu for tiden.	kungfu; taito	Olen viime aikoina opetellut kiinalaista kungfua.	kung-fu; dovednost	V poslední době se učím čínské kung-fu.	kung-fu; zručnosť	V poslednom čase sa učím čínske kung-fu.
工资	løn	Hans nye job er godt betalt.	palkka	Hänen uudessa työssään on hyvä palkka.	mzda; plat	Jeho nová práce je dobře placená.	mzda; plat	Jeho nová práca je dobre platená.
共同	fælles; i fællesskab	Vi har et fælles mål.	yhteinen; yhdessä	Meillä on yhteinen tavoite.	společný; společně	Máme společný cíl.	spoločný; spoločne	Máme spoločný cieľ.
够	nok; ganske	Det er ret koldt i dag.	tarpeeksi; melko	Tänään on aika kylmä.	dost; docela	Dnes je docela zima.	dosť; celkom	Dnes je celkom zima.
购物	indkøb; shopping	Man kan betale online, når man handler.	ostokset; shoppailu	Ostokset voi maksaa verkossa.	nakupování	Při nakupování lze platit online.	nakupovanie	Pri nakupovaní sa dá platiť online.
估计	at anslå; at tro	Jeg tror, de allerede er ankommet til lufthavnen.	arvioida; luulla	Arvioin, että he ovat jo saapuneet lentokentälle.	odhadovat; domnívat se	Odhaduji, že už dorazili na letiště.	odhadovať; domnievať sa	Odhadujem, že už dorazili na letisko.
鼓励	at opmuntre; opmuntring	Forældre bør give deres børn mere opmuntring.	kannustaa; kannustus	Vanhempien pitäisi antaa lapsilleen enemmän kannustusta.	povzbuzovat; povzbuzení	Rodiče by měli dětem dávat více povzbuzení.	povzbudzovať; povzbudenie	Rodičia by mali deťom dávať viac povzbudenia.
故意	med vilje; bevidst	Undskyld, det var ikke med vilje.	tahallaan; tarkoituksella	Anteeksi, en tehnyt sitä tahallani.	úmyslně; schválně	Promiňte, neudělal jsem to úmyslně.	úmyselne; schválne	Prepáčte, neurobil som to úmyselne.
顾客	en kunde	Kunderne er blevet en tredjedel færre.	asiakas	Asiakkaiden määrä on vähentynyt kolmanneksella.	zákazník	Počet zákazníků se snížil o třetinu.	zákazník	Počet zákazníkov sa znížil o tretinu.
挂	at lægge på; at hænge	Læg venligst ikke på endnu.	katkaista puhelu; ripustaa	Älä vielä katkaise puhelua.	zavěsit; pověsit	Prosím, ještě nezavěšujte.	zavesiť; zavesiť telefón	Prosím, ešte nezaveste.
关键	nøglepunkt; det afgørende punkt	Det er ikke problemets kerne.	avainkohta; ratkaiseva kohta	Tämä ei ole ongelman ydin.	klíč; podstata	To není klíčový bod problému.	kľúč; podstata	Toto nie je kľúčový bod problému.
观众	publikum; tilskuere	Hej til alle venner foran fjernsynet.	yleisö; katsojat	Hei kaikki television ääressä olevat ystävät.	diváci; publikum	Dobrý den, přátelé před televizí.	diváci; publikum	Dobrý deň, priatelia pred televízormi.
管理	at administrere; at lede	Hvem administrerer dette hus nu?	johtaa; hallinnoida	Kuka hallinnoi tätä taloa nyt?	spravovat; řídit	Kdo teď spravuje tento dům?	spravovať; riadiť	Kto teraz spravuje tento dom?
光	lys	Sollyset er stærkt i dag.	valo	Auringonvalo on tänään voimakasta.	světlo	Dnes je sluneční světlo silné.	svetlo	Dnes je slnečné svetlo silné.
广播	en radio; en udsendelse	Bedstefar lytter til radio.	radio; lähetys	Isoisä kuuntelee radiota.	rozhlas; vysílání	Dědeček poslouchá rádio.	rozhlas; vysielanie	Dedko počúva rádio.
广告	en reklame	Jeg så jeres reklame i avisen.	mainos	Näin ilmoituksenne sanomalehdessä.	reklama	Viděl jsem váš inzerát v novinách.	reklama	Videl som váš inzerát v novinách.
逛	at slentre; at kigge rundt	Lad os gå rundt i indkøbscentret i weekenden.	kierrellä; kuljeskella	Mennään viikonloppuna kiertelemään ostoskeskukseen.	procházet se; brouzdat	Pojďme se o víkendu projít po nákupním centru.	prechádzať sa; obzerať	Poďme sa cez víkend poprechádzať po nákupnom centre.
规定	en regel; en bestemmelse	Skolen har sine egne regler.	sääntö; määräys	Koululla on omat sääntönsä.	pravidlo; nařízení	Škola má svá vlastní pravidla.	pravidlo; nariadenie	Škola má svoje vlastné pravidlá.
国籍	nationalitet	Udfyld venligst nationalitet på formularen.	kansalaisuus	Täyttäkää lomakkeeseen kansalaisuus.	národnost; státní příslušnost	Vyplňte prosím do formuláře státní příslušnost.	národnosť; štátna príslušnosť	Prosím, vyplňte do formulára štátnu príslušnosť.
国际	international	Det er et internationalt møde.	kansainvälinen	Tämä on kansainvälinen kokous.	mezinárodní	Je to mezinárodní konference.	medzinárodný	Je to medzinárodná konferencia.
果汁	frugtjuice	Jeg vil gerne drikke et glas juice.	mehu; hedelmämehu	Haluaisin juoda lasillisen mehua.	ovocná šťáva	Chci vypít sklenici džusu.	ovocná šťava	Chcem vypiť pohár džúsu.
过程	en proces	Læringsprocessen er vigtig.	prosessi	Oppimisprosessi on tärkeä.	proces	Proces učení je důležitý.	proces	Proces učenia je dôležitý.
海洋	et ocean	Det meste af Jordens overflade er hav.	meri; valtameri	Suurin osa Maan pinnasta on merta.	oceán	Většinu povrchu Země tvoří oceán.	oceán	Väčšinu povrchu Zeme tvorí oceán.
害羞	genert	Hun var lidt genert, første gang hun gik på scenen.	ujo	Hän oli hieman ujo noustessaan lavalle ensimmäistä kertaa.	stydlivý	Když poprvé vystoupila na pódium, byla trochu stydlivá.	hanblivý	Keď prvýkrát vystúpila na pódium, bola trochu hanblivá.
寒假	vinterferie	Jeg vil gerne rejse mod syd i vinterferien.	talviloma	Haluan matkustaa etelään talvilomalla.	zimní prázdniny	O zimních prázdninách chci cestovat na jih.	zimné prázdniny	Počas zimných prázdnin chcem cestovať na juh.
汗	sved	Det er varmt, ikke? Tør sveden af med et håndklæde.	hiki	On kuuma, pyyhi hiki pyyhkeellä.	pot	Je horko, utři si pot ručníkem.	pot	Je horúco, utri si pot uterákom.
航班	en flyvning	Velkommen om bord på denne flyvning.	lento	Tervetuloa tälle lennolle.	let	Vítejte na tomto letu.	let	Vitajte na tomto lete.
好处	en fordel; en nytte	Det har mange fordele at læse mere.	hyöty; etu	Enemmän lukemisesta on paljon hyötyä.	výhoda; prospěch	Více čtení má mnoho výhod.	výhoda; úžitok	Viac čítania má mnoho výhod.
好像	det ser ud til; som om	Det ser ud til, at der er en misforståelse mellem os.	näyttää siltä; ikään kuin	Näyttää siltä, että välillämme on väärinkäsitys.	zdá se; jako by	Zdá se, že mezi námi došlo k nedorozumění.	zdá sa; akoby	Zdá sa, že medzi nami došlo k nedorozumeniu.
号码	et nummer	Giv mig venligst dit telefonnummer.	numero	Anna minulle puhelinnumerosi.	číslo	Dejte mi prosím své telefonní číslo.	číslo	Dajte mi, prosím, svoje telefónne číslo.
合格	kvalificeret; opfylder standarden	Kvaliteten af dette produkt opfylder standarden.	hyväksytty; standardin mukainen	Tämän tuotteen laatu täyttää standardin.	vyhovující; splňující normu	Kvalita tohoto výrobku splňuje normu.	vyhovujúci; spĺňajúci normu	Kvalita tohto výrobku spĺňa normu.
合适	passende; egnet	Dette par sko passer godt.	sopiva	Nämä kengät sopivat hyvin.	vhodný; padnoucí	Tyto boty dobře sedí.	vhodný; sediaci	Tieto topánky dobre sedia.
盒子	en æske; en kasse	Æsken er tom, der er ingenting i den.	laatikko	Rasia on tyhjä, siellä ei ole mitään.	krabice	Krabice je prázdná, nic v ní není.	škatuľa	Škatuľa je prázdna, nič v nej nie je.
厚	tyk	Denne bog er tyk.	paksu	Tämä kirja on paksu.	tlustý; silný	Tato kniha je tlustá.	hrubý	Táto kniha je hrubá.
后悔	at fortryde	Jeg fortryder, at jeg ikke fortalte dig det tidligere.	katua	Kadun, etten kertonut sinulle aikaisemmin.	litovat	Lituji, že jsem ti to neřekl dříve.	ľutovať	Ľutujem, že som ti to nepovedal skôr.
互联网	internettet	Internettet har gjort folks liv meget lettere.	internet	Internet on tuonut ihmisten elämään paljon mukavuutta.	internet	Internet přinesl lidem do života mnoho pohodlí.	internet	Internet priniesol ľuďom do života veľa pohodlia.
互相	hinanden; gensidigt	Vi to skal støtte hinanden.	toisiaan; keskinäisesti	Meidän kahden täytyy tukea toisiamme.	navzájem; vzájemně	My dva se musíme navzájem podporovat.	navzájom; vzájomne	My dvaja sa musíme navzájom podporovať.
护士	en sygeplejerske	Sygeplejersken giver patienten en injektion.	hoitaja; sairaanhoitaja	Hoitaja antaa potilaalle pistoksen.	zdravotní sestra	Sestra dává pacientovi injekci.	zdravotná sestra	Sestra dáva pacientovi injekciu.
怀疑	at mistænke; at tvivle	Jeg mistænker, at han har glemt, at der er møde i dag.	epäillä	Epäilen, että hän unohti tämänpäiväisen kokouksen.	podezírat; pochybovat	Mám podezření, že zapomněl na dnešní schůzi.	podozrievať; pochybovať	Mám podozrenie, že zabudol na dnešnú schôdzu.
回忆	at mindes; et minde	Vi mindes ofte ting fra vores barndom.	muistella; muisto	Muistelemme usein lapsuuden asioita.	vzpomínat; vzpomínka	Často vzpomínáme na věci z dětství.	spomínať; spomienka	Často spomíname na veci z detstva.
活动	at motionere; en aktivitet	Jeg gik i parken for at motionere lidt.	liikkua; aktiviteetti	Kävin puistossa liikkumassa hetken.	cvičit; aktivita	Šel jsem se na chvíli protáhnout do parku.	cvičiť; aktivita	Išiel som si na chvíľu zacvičiť do parku.
活泼	livlig	Dette barn er meget livligt.	vilkas; eläväinen	Tämä lapsi on hyvin vilkas.	živý; čilý	Toto dítě je velmi živé.	živý; čulý	Toto dieťa je veľmi živé.
火	ild	Ild er farligt, vær forsigtig.	tuli	Tuli on vaarallista, ole varovainen.	oheň	Oheň je nebezpečný, buďte opatrní.	oheň	Oheň je nebezpečný, buďte opatrní.
获得	at opnå; at få	Man må ikke blive for stolt, selv om man har opnået succes.	saada; saavuttaa	Vaikka saavuttaisi menestystä, ei saa olla liian ylpeä.	získat; dosáhnout	Ani po dosažení úspěchu nesmí být člověk příliš pyšný.	získať; dosiahnuť	Ani po dosiahnutí úspechu nesmie byť človek príliš pyšný.
基础	grundlag; fundament	Ret det venligst lidt igen på det oprindelige grundlag.	perusta; pohja	Muokkaa sitä vielä alkuperäisen pohjan perusteella.	základ	Upravte to prosím ještě na původním základě.	základ	Upravte to, prosím, ešte na pôvodnom základe.
激动	spændende; rørt	Nyheden er virkelig spændende.	jännittävä; liikuttunut	Tämä uutinen on todella innostava.	vzrušující; dojatý	Tato zpráva je opravdu vzrušující.	vzrušujúci; dojatý	Táto správa je naozaj vzrušujúca.
积极	aktiv; positiv	Han studerer kinesisk meget aktivt.	aktiivinen; myönteinen	Hän opiskelee kiinaa hyvin aktiivisesti.	aktivní; pozitivní	Čínštinu se učí velmi aktivně.	aktívny; pozitívny	Čínštinu sa učí veľmi aktívne.
积累	at samle; ophobning	Han har samlet meget erfaring i sit arbejde.	kerryttää; kerääntyminen	Hän on kerryttänyt työssään paljon kokemusta.	nashromáždit; hromadění	V práci nashromáždil mnoho zkušeností.	nazbierať; hromadenie	V práci nazbieral veľa skúseností.
即使	selv hvis; selv om	Giv ikke op, selv hvis du møder vanskeligheder.	vaikka; vaikka sitten	Älä luovuta, vaikka kohtaisit vaikeuksia.	i kdyby; i když	Nevzdávej se, i když narazíš na potíže.	aj keby; aj keď	Nevzdávaj sa, aj keď narazíš na ťažkosti.
及时	i tide; rettidigt	Denne regn kom lige i rette tid.	ajoissa; oikeaan aikaan	Tämä sade tuli juuri oikeaan aikaan.	včas; v pravý čas	Tento déšť přišel právě včas.	včas; v pravý čas	Tento dážď prišiel práve včas.
寄	at sende; at poste	Dit brev er allerede blevet leveret.	lähettää postitse	Kirjeesi on jo toimitettu.	poslat; odeslat	Tvůj dopis už byl doručen.	poslať; odoslať	Tvoj list už bol doručený.
技术	teknik; teknologi	Det er et komplekst teknisk problem.	tekniikka; teknologia	Tämä on monimutkainen tekninen ongelma.	technika; technologie	Je to složitý technický problém.	technika; technológia	Je to zložitý technický problém.
既然	siden; eftersom	Siden du er kommet, så lad os spise sammen.	koska; kerran	Koska olet tullut, syödään yhdessä.	když už; protože	Když už jsi přišel, pojďme jíst společně.	keďže; keď už	Keďže si prišiel, poďme jesť spolu.
继续	at fortsætte	Han sagde, at han var villig til at fortsætte med at arbejde i virksomheden.	jatkaa	Hän ilmaisi olevansa valmis jatkamaan työskentelyä yrityksessä.	pokračovat	Vyjádřil ochotu pokračovat v práci ve firmě.	pokračovať	Vyjadril ochotu pokračovať v práci vo firme.
计划	en plan	Jeg har allerede ændret planen.	suunnitelma	Olen jo muuttanut suunnitelmaa.	plán	Už jsem změnil plán.	plán	Už som zmenil plán.
记者	en journalist; en reporter	Journalisten interviewer rektoren.	toimittaja	Toimittaja haastattelee rehtoria.	novinář; reportér	Novinář právě dělá rozhovor s ředitelem školy.	novinár; reportér	Novinár práve robí rozhovor s riaditeľom školy.
加班	at arbejde over	I denne uge har vi arbejdet over næsten hver dag.	tehdä ylitöitä	Tällä viikolla olemme tehneet ylitöitä melkein joka päivä.	pracovat přesčas	Tento týden jsme pracovali přesčas téměř každý den.	pracovať nadčas	Tento týždeň sme pracovali nadčas takmer každý deň.
加油站	en tankstation	Er der en tankstation i nærheden af dit hjem?	huoltoasema	Onko kotisi lähellä huoltoasemaa?	čerpací stanice	Je poblíž tvého domu čerpací stanice?	čerpacia stanica	Je pri tvojom dome čerpacia stanica?
家具	møbler	Efter flytningen skiftede vi møblerne ud.	huonekalut	Muuton jälkeen vaihdoimme uusiin huonekaluihin.	nábytek	Po stěhování jsme vyměnili nábytek za nový.	nábytok	Po sťahovaní sme vymenili nábytok za nový.
假	falsk; uægte	Denne billet er falsk.	väärennetty; teko-	Tämä lippu on väärennetty.	falešný; nepravý	Tato vstupenka je falešná.	falošný; nepravý	Tento lístok je falošný.
价格	en pris	Siden sidste år er prisen på biler faldet.	hinta	Autojen hinnat ovat laskeneet viime vuodesta lähtien.	cena	Od loňska cena aut klesá.	cena	Od minulého roka cena áut klesá.
坚持	at insistere på; at holde fast	Han har altid holdt fast i sit synspunkt.	pitää kiinni; sinnitellä	Hän on aina pitänyt kiinni omasta näkemyksestään.	trvat na; vytrvat	Vždy trval na svém názoru.	trvať na; vytrvať	Vždy trval na svojom názore.
减肥	at tabe sig	Jeg løber hver dag for at tabe mig.	laihduttaa	Juoksen joka päivä laihtuakseni.	hubnout	Každý den běhám, abych zhubnul.	chudnúť	Každý deň behám, aby som schudol.
减少	at mindske; at reducere	Kunderne er blevet en tredjedel færre.	vähentyä; vähentää	Asiakkaiden määrä on vähentynyt kolmanneksella.	snížit; ubýt	Počet zákazníků se snížil o třetinu.	znížiť; ubudnúť	Počet zákazníkov sa znížil o tretinu.
建议	at foreslå; et forslag	Jeg foreslår, at vi holder fri i morgen.	ehdottaa; ehdotus	Ehdotan, että pidämme huomenna vapaapäivän.	navrhnout; návrh	Navrhuji, abychom si zítra jeden den odpočinuli.	navrhnúť; návrh	Navrhujem, aby sme si zajtra jeden deň oddýchli.
将来	i fremtiden; fremtid	Hvilket arbejde planlægger du at have i fremtiden?	tulevaisuus; tulevaisuudessa	Mitä työtä aiot tehdä tulevaisuudessa?	budoucnost; v budoucnu	Jakou práci chceš v budoucnu dělat?	budúcnosť; v budúcnosti	Akú prácu chceš v budúcnosti robiť?
奖金	en bonus; præmie	Vi fik udbetalt en bonus ved årets slutning.	bonus; palkkio	Saimme vuoden lopussa bonuksen.	prémie; bonus	Na konci roku jsme dostali bonus.	prémia; bonus	Na konci roka sme dostali bonus.
降低	at sænke; at falde	Efteråret er kommet, og temperaturen begynder at falde.	laskea; alentaa	Syksy on tullut, ja lämpötila alkaa laskea.	snížit; klesnout	Přišel podzim a teplota začíná klesat.	znížiť; klesnúť	Prišla jeseň a teplota začína klesať.
降落	at lande	Flyet lander snart.	laskeutua	Lentokone laskeutuu pian.	přistát	Letadlo brzy přistane.	pristáť	Lietadlo čoskoro pristane.
交	at få venner; at aflevere	Jeg har fået mange kinesiske venner.	ystävystyä; luovuttaa	Olen saanut paljon kiinalaisia ystäviä.	spřátelit se; odevzdat	Získal jsem mnoho čínských přátel.	spriateliť sa; odovzdať	Získal som veľa čínskych priateľov.
交流	udveksling; kommunikation	Den kulturelle udveksling mellem lande bliver mere og mere rig.	vaihto; viestintä	Maiden välinen kulttuurivaihto rikastuu yhä enemmän.	výměna; komunikace	Kulturní výměna mezi zeměmi je stále bohatší.	výmena; komunikácia	Kultúrna výmena medzi krajinami je čoraz bohatšia.
交通	transport; trafik	Transporten her er bekvem.	liikenne; kulkuyhteydet	Täällä kulkuyhteydet ovat kätevät.	doprava	Doprava je tady pohodlná.	doprava	Doprava je tu pohodlná.
郊区	en forstad; udkanten	Han bor i byens forstæder.	esikaupunki; laitamet	Hän asuu kaupungin esikaupunkialueella.	předměstí; okraj města	Bydlí na předměstí města.	predmestie; okraj mesta	Býva na predmestí mesta.
骄傲	stolt; arrogant	Man må ikke blive for stolt, selv om man har opnået succes.	ylpeä; ylimielinen	Vaikka saavuttaisi menestystä, ei saa olla liian ylpeä.	pyšný; arogantní	Ani po dosažení úspěchu nesmí být člověk příliš pyšný.	pyšný; arogantný	Ani po dosiahnutí úspechu nesmie byť človek príliš pyšný.
饺子	en dumpling; jiaozi	Kinesere spiser dumplings under Forårsfestivalen.	nyytti; jiaozi	Kiinalaiset syövät jiaozi-nyyttejä kevätjuhlan aikana.	knedlíček; jiaozi	Číňané jedí o Svátcích jara jiaozi.	taštička; jiaozi	Číňania jedia počas Sviatkov jari jiaozi.
教授	en professor	Han er universitetsprofessor.	professori	Hän on yliopiston professori.	profesor	Je univerzitní profesor.	profesor	Je univerzitný profesor.
教育	at opdrage; uddannelse	Man skal have tålmodighed, når man opdrager børn.	kouluttaa; kasvatus	Lasten kasvattamiseen tarvitaan kärsivällisyyttä.	vychovávat; vzdělání	Při výchově dětí je potřeba trpělivost.	vychovávať; vzdelanie	Pri výchove detí je potrebná trpezlivosť.
接受	at acceptere; at modtage	Jeg accepterer alle dine synspunkter.	hyväksyä; vastaanottaa	Hyväksyn kaikki mielipiteesi.	přijmout	Přijímám všechny vaše názory.	prijať	Prijímam všetky tvoje názory.
接着	derefter; at fortsætte	Han tænkte et øjeblik og fortsatte derefter med at skrive.	sitten; jatkaa	Hän mietti hetken ja jatkoi sitten kirjoittamista.	potom; pokračovat	Chvíli přemýšlel a potom pokračoval v psaní.	potom; pokračovať	Chvíľu premýšľal a potom pokračoval v písaní.
结果	et resultat	Så du kampen, og hvordan blev resultatet?	tulos	Katsoitko ottelun, ja mikä oli tulos?	výsledek	Díval ses na zápas? Jaký byl výsledek?	výsledok	Pozeral si zápas? Aký bol výsledok?
节	en festival; en helligdag	Hvilken helligdag er det i dag?	juhla; pyhäpäivä	Mikä juhlapäivä tänään on?	svátek	Jaký svátek je dnes?	sviatok	Aký sviatok je dnes?
节约	at spare; at bevare	Spar venligst på vandet.	säästää; säästellä	Säästäkää vettä, olkaa hyvä.	šetřit; šetřit zdroje	Prosím, šetřete vodou.	šetriť; šetriť zdroje	Prosím, šetrite vodou.
解释	at forklare; en forklaring	Han forklarede årsagen meget tydeligt.	selittää; selitys	Hän selitti syyn hyvin selvästi.	vysvětlit; vysvětlení	Vysvětlil důvod velmi jasně.	vysvetliť; vysvetlenie	Vysvetlil dôvod veľmi jasne.
尽管	selv om; trods	Selv om jeg har kendt ham længe, forstår jeg ham ikke rigtig.	vaikka; huolimatta	Vaikka olen tuntenut hänet kauan, en oikeastaan ymmärrä häntä.	ačkoli; přestože	Ačkoli ho znám dlouho, moc mu nerozumím.	hoci; napriek tomu	Hoci ho poznám dlho, veľmi mu nerozumiem.
紧张	nervøs; anspændt	Han var nervøs før den første optræden.	jännittynyt; hermostunut	Hän oli jännittynyt ensimmäisen esityksen aikana.	nervózní; napjatý	Při prvním vystoupení byl nervózní.	nervózny; napätý	Pri prvom vystúpení bol nervózny.
禁止	at forbyde; forbudt	Rygning er forbudt her.	kieltää; kielletty	Tupakointi on täällä kielletty.	zakázat; zakázaný	Kouření je zde zakázáno.	zakázať; zakázaný	Fajčenie je tu zakázané.
进行	at være i gang; at gennemføre	Kampen er stadig i gang.	olla käynnissä; toteuttaa	Ottelu on vielä käynnissä.	probíhat; provádět	Zápas stále probíhá.	prebiehať; vykonávať	Zápas stále prebieha.
京剧	Peking-opera	Hun er en berømt skuespiller i Peking-opera.	pekingooppera	Hän on kuuluisa pekinginoopperan näyttelijä.	pekingská opera	Je slavnou herečkou pekingské opery.	pekinská opera	Je slávnou herečkou pekinskej opery.
精彩	fantastisk; strålende	Dagens optræden var fantastisk!	upea; loistava	Tämän päivän esitys oli todella upea!	skvělý; nádherný	Dnešní vystoupení bylo úžasné!	skvelý; nádherný	Dnešné vystúpenie bolo úžasné!
