simplified	TA	example_TA
概括	சுருக்கமாகச் சொல்லுதல்	தயவு செய்து கட்டுரையின் உள்ளடக்கத்தைச் சுருக்கமாகச் சொல்லுங்கள்.
概念	கருத்து	இந்த கருத்தை புரிந்துகொள்வது அவ்வளவு எளிதல்ல.
盖	மூடுதல்	தயவு செய்து கோப்பையை நன்றாக மூடுங்கள்.
干脆	அப்படியே	அப்படியே இன்று போகாதே.
干燥	உலர்ந்த	வடக்கின் குளிர்காலம் மிகவும் உலர்ந்ததாக இருக்கும்.
感激	நன்றியுடன் இருத்தல்	உங்கள் உதவிக்கு நான் மிகவும் நன்றியுடன் இருக்கிறேன்.
感受	உணர்வு	உங்கள் உணர்வுகளை நான் புரிந்துகொள்ள முடியும்.
感想	சிந்தனை	தயவு செய்து உங்கள் சிந்தனைகளைப் பற்றி பேசுங்கள்.
赶紧	அவசரமாக	நேரம் ஆகிவிட்டது, அவசரமாக போவோம்.
赶快	விரைவாக	விரைவாக கதவை மூடு.
干活儿	வேலை செய்தல்	அவர் முற்றத்தில் வேலை செய்கிறார்.
钢铁	எஃகு	இந்த பாலம் எஃகால் செய்யப்பட்டதாகும்.
高档	உயர்தர	இது ஒரு உயர்தர விடுதி.
高级	மேம்பட்ட	அவள் மேம்பட்ட சீன மொழி வகுப்பில் சேர்ந்தாள்.
搞	ஏற்பாடு செய்தல்	நீ என்ன வகை நிகழ்ச்சியை ஏற்பாடு செய்கிறாய்?
告别	விடைபெறுதல்	நாம் விமான நிலையத்தில் நண்பரிடம் விடைபெற்றோம்.
格外	குறிப்பாக	இன்றைய வானம் குறிப்பாக நீலமாக உள்ளது.
隔壁	அடுத்த வீடு	அடுத்த வீட்டில் ஒரு ஆசிரியர் வசிக்கிறார்.
个别	சில தனிப்பட்ட	சில தனிப்பட்ட மாணவர்கள் இன்னும் வீட்டுப்பாடம் ஒப்படைக்கவில்லை.
个人	தனிப்பட்ட	இது என் தனிப்பட்ட கருத்து.
个性	தனித்தன்மை	அவளுக்கு தனித்தன்மை அதிகம்.
各自	தத்தம்	அனைவரும் தத்தம் பணியை முடிக்கிறார்கள்.
根	நீளமான பொருளுக்கான அளவுச்சொல்	மேசையின் கீழ் ஒரு கம்பி உள்ளது.
根本	அடிப்படையே	இந்த பிரச்சினை அடிப்படையே கடினமல்ல.
公布	அறிவித்தல்	பள்ளி தேர்வு முடிவுகளை அறிவித்தது.
公开	பொது	இந்த கூட்டம் பொது கூட்டமாகும்.
公平	நியாயமான	போட்டி நியாயமானதாக இருக்க வேண்டும்.
公寓	அடுக்குமாடி வீடு	அவள் ஒரு சிறிய அடுக்குமாடி வீட்டை வாடகைக்கு எடுத்தாள்.
公元	கிறிஸ்துவ ஆண்டு	இந்த ஆண்டு கிறிஸ்துவ ஆண்டு 2026.
公主	இளவரசி	சிறுமி இளவரசி கதைகளை விரும்புகிறாள்.
功能	செயல்பாடு	இந்த மென்பொருளில் பல செயல்பாடுகள் உள்ளன.
工厂	தொழிற்சாலை	இந்த தொழிற்சாலை கார்களை உற்பத்தி செய்கிறது.
工程师	பொறியாளர்	என் அண்ணன் ஒரு பொறியாளர்.
工具	கருவி	மிதிவண்டியை சரிசெய்ய கருவிகள் தேவை.
工人	தொழிலாளர்	தொழிலாளர்கள் சாலையை சரிசெய்கிறார்கள்.
工业	தொழில்	இந்த நகரம் முக்கியமாக தொழில்துறையை அடிப்படையாகக் கொண்டது.
恭喜	வாழ்த்துகள்	தேர்வில் தேர்ச்சி பெற்றதற்கு வாழ்த்துகள்.
贡献	பங்களிப்பு	அவர் நிறுவனத்திற்கு பங்களிப்பு செய்தார்.
沟通	தொடர்பு	நல்ல தொடர்பு மிகவும் முக்கியமானது.
构成	உருவாக்குதல்	இந்த பகுதிகள் ஒன்றாக ஒரு முழுமையை உருவாக்குகின்றன.
姑姑	அப்பாவின் சகோதரி	நான் வார இறுதியில் அப்பாவின் சகோதரியைப் பார்க்கப் போகிறேன்.
姑娘	இளம் பெண்	அந்த இளம் பெண் மிகவும் உதவிக்கரமானவர்.
古代	பண்டைய காலம்	பண்டைய காலத்தில் கைபேசிகள் இல்லை.
古典	சாஸ்திரிய	எனக்கு சாஸ்திரிய இசை பிடிக்கும்.
股票	பங்கு	அவர் சில பங்குகளை வாங்கினார்.
骨头	எலும்பு	இந்த எலும்பு மிகவும் கடினமாக உள்ளது.
鼓舞	ஊக்கமளிக்கும்	இந்த செய்தி மிகவும் ஊக்கமளிக்கிறது.
鼓掌	கைத்தட்டுதல்	பார்வையாளர்கள் நடிகர்களுக்காக கைத்தட்டினர்.
固定	நிலையான	எனக்கு நிலையான வேலை நேரம் உள்ளது.
挂号	மருத்துவமனையில் பதிவு செய்தல்	மருத்துவரைக் காண முன் முதலில் பதிவு செய்ய வேண்டும்.
乖	கேட்கும் குழந்தை	இந்த குழந்தை மிகவும் கேட்கும் குழந்தை.
拐弯	திரும்புதல்	முன்னுள்ள சந்திப்பில் வலப்புறம் திரும்புங்கள்.
怪不得	அதனால் தான்	அதனால் தான் நீ இவ்வளவு சோர்வாக இருக்கிறாய்.
关闭	மூடுதல்	புறப்படுவதற்கு முன் தயவு செய்து கணினியை அணைக்கவும்.
官	அதிகாரி	அவர் ஒரு இளம் அதிகாரி.
观察	கவனித்தல்	மருத்துவர் நோயாளியின் நிலையை கவனித்து வருகிறார்.
观点	கருத்து	உங்கள் கருத்துக்கு நான் சம்மதிக்கிறேன்.
观念	கருத்து நிலை	இளைஞர்களின் கருத்து நிலை மாறிக் கொண்டிருக்கிறது.
管子	குழாய்	இந்த குழாயில் நீர் கசிகிறது.
冠军	சாம்பியன்	அவள் போட்டியில் சாம்பியன் பட்டம் பெற்றாள்.
光滑	மென்மையான	இந்த மேசையின் மேற்பரப்பு மிகவும் மென்மையாக உள்ளது.
光临	வருகை தருதல்	அடுத்த முறை மீண்டும் வருகை தர வரவேற்கிறோம்.
光明	ஒளிமயமான	எதிர்காலம் ஒளிமயமானது.
光盘	வட்டு	தயவு செய்து தகவல்களை வட்டில் சேமியுங்கள்.
广场	பொது சதுக்கம்	சதுக்கத்தில் பலர் உள்ளனர்.
广大	பெரும்பான்மை	இந்த செய்தி பெரும்பான்மை மாணவர்களால் வரவேற்கப்பட்டது.
广泛	விரிவான	இந்த புத்தகத்தின் தாக்கம் விரிவானது.
归纳	சுருக்கி தொகுத்தல்	ஆசிரியர் முக்கிய அம்சங்களை சுருக்கி தொகுக்க உதவினார்.
规矩	விதிமுறை	குழந்தைகள் விதிமுறைகளைப் புரிந்திருக்க வேண்டும்.
规律	ஒழுங்கு	வாழ்க்கையில் ஒழுங்கு இருக்க வேண்டும்.
规模	அளவு	இந்த நிறுவனத்தின் அளவு மிகவும் பெரியது.
规则	விதிகள்	போட்டியின் விதிகள் மிகவும் தெளிவானவை.
柜台	கவுண்டர்	தயவு செய்து கவுண்டரில் பணம் செலுத்துங்கள்.
滚	கொதித்தல்	நீர் ஏற்கனவே கொதித்துவிட்டது.
锅	பானை	பானையில் சூடான சூப் உள்ளது.
国庆节	தேசிய தினம்	தேசிய தினத்தில் எங்களுக்கு விடுமுறை.
国王	ராஜா	ராஜா அரண்மனையில் வசிக்கிறார்.
果然	எதிர்பார்த்தபடி	அவர் எதிர்பார்த்தபடி நேரத்திற்கு வந்தார்.
果实	பழம்	மரத்தில் பழங்கள் நிறைந்து உள்ளன.
过分	அதிகமான	அவருடைய கோரிக்கை கொஞ்சம் அதிகமாக உள்ளது.
过敏	ஒவ்வாமை	எனக்கு மலர்த்தூளுக்கு ஒவ்வாமை உள்ளது.
过期	காலாவதியாகுதல்	இந்த பால் பாட்டில் ஏற்கனவே காலாவதியாகிவிட்டது.
哈	ஆஹா	ஆஹா, நான் இறுதியாகப் புரிந்துகொண்டேன்.
海关	சுங்கம்	நாம் சுங்கத்தில் சோதனைக்காக வரிசையில் நின்றோம்.
海鲜	கடலுணவு	இந்த உணவகத்தின் கடலுணவு மிகவும் புதியது.
喊	கத்துதல்	வகுப்பறையில் சத்தமாக கத்தாதீர்கள்.
行业	துறை	சுற்றுலா துறை வேகமாக வளர்கிறது.
豪华	ஆடம்பரமான	அவர்கள் ஒரு ஆடம்பர விடுதியில் தங்கியுள்ளனர்.
好客	விருந்தோம்பல் உடைய	உள்ளூர் மக்கள் மிகவும் விருந்தோம்பல் உடையவர்கள்.
好奇	ஆர்வமுள்ள	குழந்தைகள் உலகைப் பற்றி மிகவும் ஆர்வமாக உள்ளனர்.
何必	எதற்காக வேண்டும்	சிறிய விஷயத்திற்காக எதற்கு கோபப்பட வேண்டும்?
何况	அதுவும்	இன்று குளிராக இருக்கிறது, அதுவும் மழையும் பெய்கிறது.
合法	சட்டபூர்வமான	இந்த ஒப்பந்தம் சட்டபூர்வமானது.
合理	நியாயமான	இந்த விலை மிகவும் நியாயமானது.
合同	ஒப்பந்தம்	அவர்கள் ஒரு ஒப்பந்தத்தில் கையெழுத்திட்டனர்.
合影	குழு புகைப்படம்	பட்டமளிப்பு நேரத்தில் நாம் குழு புகைப்படம் எடுத்தோம்.
合作	ஒத்துழைப்பு	நாம் ஒத்துழைப்பின் மூலம் திட்டத்தை முடித்தோம்.
和平	அமைதி	ஒவ்வொருவரும் அமைதியை விரும்புகின்றனர்.
核心	மையம்	நம்பிக்கை ஒத்துழைப்பின் மையமாகும்.
恨	செய்யாததை வருந்துதல்	முன்னதாக உழைக்காததற்காக அவர் வருந்துகிறார்.
猴子	குரங்கு	விலங்குக் காட்சிச்சாலையில் சில குரங்குகள் உள்ளன.
后背	முதுகுப்பக்கம்	அவரது முதுகுப்பக்கம் கொஞ்சம் வலிக்கிறது.
后果	விளைவு	நீ விளைவுகளைப் பற்றி சிந்திக்க வேண்டும்.
呼吸	மூச்சுவிடுதல்	தயவு செய்து ஆழமாக மூச்சு விடுங்கள்.
忽然	திடீரென	வானம் திடீரென இருண்டது.
忽视	புறக்கணித்தல்	இந்த பிரச்சினையை புறக்கணிக்காதீர்கள்.
壶	தேநீர் குடுவை	மேசையின் மேல் ஒரு தேநீர் குடுவை உள்ளது.
糊涂	குழப்பம்	இன்று எனக்கு கொஞ்சம் குழப்பமாக உள்ளது.
胡说	அபத்தமாகப் பேசுதல்	அபத்தமாகப் பேசாதே, இது உண்மை அல்ல.
胡同	சிறு தெரு	பெய்ஜிங்கில் பல பழைய சிறு தெருக்கள் உள்ளன.
蝴蝶	வண்ணத்துப்பூச்சி	தோட்டத்தில் ஒரு வண்ணத்துப்பூச்சி உள்ளது.
花生	வேர்க்கடலை	அவர் வேர்க்கடலை சாப்பிட விரும்புகிறார்.
华裔	சீன வம்சாவளி	அவள் சீன வம்சாவளியிலான எழுத்தாளர்.
滑	வழுக்கும்	தரை மிகவும் வழுக்குகிறது, கவனமாக இருங்கள்.
划	துடுப்பு போடுதல்	படகில் செல்லும்போது படகை துடுப்பு போடுவது அவருடைய பொறுப்பு.
化学	வேதியியல்	அவள் பல்கலைக்கழகத்தில் வேதியியல் படித்தாள்.
话题	தலைப்பு	இந்த தலைப்பு மிகவும் சுவாரஸ்யமானது.
怀念	நினைத்து ஏங்குதல்	பல்கலைக்கழக வாழ்க்கையை நான் மிகவும் நினைத்து ஏங்குகிறேன்.
怀孕	கர்ப்பமாக இருத்தல்	அவள் மூன்று மாத கர்ப்பிணி.
缓解	தணித்தல்	ஓய்வு அழுத்தத்தைத் தணிக்க முடியும்.
幻想	கற்பனை செய்தல்	அவர் அடிக்கடி விண்வெளிக்கு பயணம் செய்வதை கற்பனை செய்கிறார்.
慌张	பதற்றம்	பிரச்சினை வந்தால் பதற்றப்படாதீர்கள்.
黄金	தங்கம்	தங்கத்தின் விலை மீண்டும் உயர்ந்துள்ளது.
恢复	மீளுதல்	அவரது உடல் மீள்ந்து வருகிறது.
挥	கையசைத்தல்	அவள் கையை அசைத்தாள்.
灰	சாம்பல் நிறம்	வானம் சாம்பல் நிறமாக உள்ளது.
灰尘	தூசி	மேசையின் மேல் நிறைய தூசி உள்ளது.
灰心	மனமுடைதல்	தோல்வியடைந்தாலும் மனமுடைந்து விடாதீர்கள்.
汇率	மாற்று விகிதம்	இன்றைய மாற்று விகிதம் என்ன?
婚礼	திருமண விழா	அவர்களின் திருமண விழா மிகவும் எளிமையானது.
婚姻	திருமணம்	திருமணத்திற்கு ஒருவரையொருவர் புரிந்துகொள்வது தேவை.
活跃	சுறுசுறுப்பான	அவர் வகுப்பில் மிகவும் சுறுசுறுப்பாக இருக்கிறார்.
伙伴	துணைவர்	அவர் என் சிறந்த துணைவர்.
火柴	தீக்குச்சி	பெட்டியில் ஒரு தீக்குச்சி மட்டும் மீதமுள்ளது.
或许	ஒருவேளை	ஒருவேளை நாளை மழை பெய்யலாம்.
基本	அடிப்படை	இவை அடிப்படை கோரிக்கைகள்.
机器	இயந்திரம்	இந்த இயந்திரம் பழுதாகிவிட்டது.
激烈	கடுமையான	போட்டி மிகவும் கடுமையாக நடந்தது.
肌肉	தசை	உடற்பயிற்சிக்குப் பிறகு தசைகள் கொஞ்சம் வலிக்கின்றன.
及格	தேர்ச்சி பெறுதல்	இந்த தேர்வில் அவர் தேர்ச்சி பெற்றார்.
急忙	அவசரமாக	அவர் அவசரமாக வகுப்பறையிலிருந்து ஓடிவந்தார்.
急诊	அவசர சிகிச்சை பிரிவு	நோயாளர் அவசர சிகிச்சை பிரிவுக்கு அனுப்பப்பட்டார்.
极其	மிகவும்	இந்த பிரச்சினை மிகவும் முக்கியமானது.
集合	கூடுதல்	தயவு செய்து அனைவரும் எட்டு மணிக்கு நுழைவாயிலில் கூடுங்கள்.
集体	குழு	இது ஒரு குழு செயல்பாடு.
集中	கவனம் செலுத்துதல்	வகுப்பில் கவனம் செலுத்த வேண்டும்.
寂寞	தனிமை	தனியாக வாழ்வது சில நேரங்களில் தனிமையாக இருக்கும்.
系领带	கழுத்துப்பட்டை கட்டுதல்	அவர் தினமும் வேலைக்கு முன் கழுத்துப்பட்டை கட்டுகிறார்.
纪录	சாதனை	அவர் பள்ளி சாதனையை முறியடித்தார்.
纪律	ஒழுக்கம்	வகுப்பறை ஒழுக்கம் மிகவும் முக்கியமானது.
纪念	நினைவுகூருதல்	இந்த நாளை நினைவுகூர நாம் புகைப்படம் எடுத்தோம்.
计算	கணக்கிடுதல்	தயவு செய்து மொத்த செலவை கணக்கிடுங்கள்.
记录	பதிவு செய்தல்	தயவு செய்து கூட்டத்தின் உள்ளடக்கத்தை பதிவு செய்யுங்கள்.
记忆	நினைவு	இந்த நினைவு மிகவும் மதிப்புமிக்கது.
嘉宾	மாண்புமிகு விருந்தினர்	இன்றைய விருந்தினர் ஒரு எழுத்தாளர்.
夹子	கிளிப்	தயவு செய்து ஆவணங்களை கிளிப்பால் பிடியுங்கள்.
家庭	குடும்பம்	குடும்பம் குழந்தைகளுக்கு மிகவும் முக்கியமானது.
家务	வீட்டு வேலை	வார இறுதியில் நான் வீட்டு வேலை செய்ய வேண்டும்.
家乡	சொந்த ஊர்	என் சொந்த ஊரை நான் மிகவும் நினைக்கிறேன்.
假如	என்றால்	நாளை மழை பெய்தால் நாம் போகமாட்டோம்.
假设	கற்பனை செய்து கொள்ளுதல்	நீ ஆசிரியர் என்று கற்பனை செய்தால், என்ன செய்வாய்?
假装	நடித்தல்	அவர் கேட்காதது போல நடித்தார்.
甲	முதல் தரப்பு	முதல் தரப்பு நேரத்திற்கு பணம் செலுத்த வேண்டும்.
价值	மதிப்பு	இந்த புத்தகத்திற்கு மிகுந்த மதிப்பு உள்ளது.
嫁	திருமணம் ஆகுதல்	அவள் அடுத்த ஆண்டு தனது காதலரை திருமணம் செய்து கொள்ளப் போகிறாள்.
驾驶	ஓட்டுதல்	கார் ஓட்டும்போது கவனமாக ஓட்ட வேண்டும்.
兼职	பகுதி நேர வேலை	அவர் இரவில் பகுதி நேர வேலை செய்கிறார்.
坚决	உறுதியாக	இந்த முடிவை அவர் உறுதியாக ஏற்கவில்லை.
坚强	வலிமையான	அவள் வலிமையான மனிதர்.
肩膀	தோள்	அவரது தோள் காயமடைந்தது.
艰巨	மிகக் கடினமான	இது மிகக் கடினமான பணி.
艰苦	கடினமான	அவர்கள் கடினமான வாழ்க்கையை அனுபவித்தனர்.
剪刀	கத்தரி	தயவு செய்து கத்தரியை எனக்கு கொடுங்கள்.
捡	எடுத்துக் கொள்ளுதல்	அவர் தரையில் இருந்த பணப்பையை எடுத்தார்.
简历	வாழ்க்கைக் குறிப்பு	வேலைக்கு விண்ணப்பிக்கும் முன் வாழ்க்கைக் குறிப்பை தயார் செய்ய வேண்டும்.
简直	மிகவும்	இந்த செய்தி மிகவும் அதிர்ச்சியளிக்கிறது.
健身	உடற்பயிற்சி செய்தல்	அவர் வாரத்திற்கு மூன்று முறை உடற்பயிற்சி செய்ய செல்கிறார்.
建立	உருவாக்குதல்	நாம் புதிய உறவை உருவாக்கினோம்.
建设	கட்டுமானம்	நகர கட்டுமானம் வேகமாக வளர்கிறது.
建筑	கட்டிடம்	இந்த கட்டிடத்திற்கு தனித்துவமான அம்சங்கள் உள்ளன.
键盘	விசைப்பலகை	என் விசைப்பலகையை சுத்தம் செய்ய வேண்டும்.
讲究	மிக கவனமாகக் கருதுதல்	சீனர்கள் உணவில் மிகவும் கவனம் செலுத்துகிறார்கள்.
讲座	சொற்பொழிவு	இன்றிரவு ஒரு சீன மொழி சொற்பொழிவு உள்ளது.
酱油	சோயா சாறு	கறியில் கொஞ்சம் சோயா சாறு சேர்க்கவும்.
交换	பரிமாறிக்கொள்ளுதல்	நாம் தொலைபேசி எண்களை பரிமாறிக்கொண்டோம்.
交际	சமூக தொடர்பு	மொழி கற்கும்போது சமூக தொடர்பையும் பயிற்சி செய்ய வேண்டும்.
交往	உறவில் இருப்பது	அவர்கள் இரண்டு ஆண்டுகளாக உறவில் உள்ளனர்.
浇	நீர் ஊற்றுதல்	தயவு செய்து தினமும் மலர்களுக்கு நீர் ஊற்றுங்கள்.
胶水	பசை	புகைப்படத்தை ஒட்ட நான் பசை பயன்படுத்தினேன்.
狡猾	தந்திரமான	அந்த நரி மிகவும் தந்திரமானது.
角度	கோணம்	நாம் பிரச்சினையை வேறு கோணத்தில் பார்ப்போம்.
教材	பாடப்புத்தகம்	இந்த பாடப்புத்தகம் மிகவும் பயனுள்ளதாக உள்ளது.
教练	பயிற்சியாளர்	பயிற்சியாளர் நாங்கள் நேரத்திற்கு வர வேண்டும் என்று கூறினார்.
教训	பாடம்	இந்த தோல்வி ஒரு பாடம்.
接触	தொடர்பு கொள்ளுதல்	சீன கலாசாரத்துடன் எனக்கு இது முதல் தொடர்பு.
接待	வரவேற்பது	நிறுவனம் விருந்தினர்களை வரவேற்க ஒருவரை ஏற்பாடு செய்தது.
接近	நெருங்குதல்	வசந்தப் பண்டிகை மேலும் மேலும் நெருங்குகிறது.
结实	வலுவான	இந்த பெட்டி மிகவும் வலுவானது.
阶段	கட்டம்	படிப்பு மூன்று கட்டங்களாகப் பிரிக்கப்படுகிறது.
结构	அமைப்பு	இந்த கட்டுரையின் அமைப்பு தெளிவாக உள்ளது.
结合	இணைத்தல்	கற்றலை நடைமுறையுடன் இணைக்க வேண்டும்.
结论	முடிவு	அவரது முடிவு மிகவும் நம்ப வைக்கும் வகையில் உள்ளது.
结账	கணக்கு செலுத்துதல்	உணவு முடிந்த பிறகு நாங்கள் கணக்கு செலுத்தச் சென்றோம்.
节省	மிச்சப்படுத்துதல்	மெட்ரோவில் செல்லுவது நேரத்தை மிச்சப்படுத்தலாம்.
借口	சாக்கு	இனி சாக்கு சொல்லாதே.
届	பதிப்பு	இது போட்டியின் மூன்றாவது பதிப்பு.
戒	கைவிடுதல்	புகைபிடிப்பதை கைவிட மருத்துவர் அவருக்கு அறிவுறுத்தினார்.
戒指	மோதிரம்	அவள் ஒரு மோதிரம் அணிந்திருக்கிறாள்.
金属	உலோகம்	இரும்பு ஒரு வகை உலோகம்.
尽快	கூடிய விரைவில்	தயவு செய்து மின்னஞ்சலுக்கு கூடிய விரைவில் பதில் அளிக்கவும்.
紧急	அவசரமான	இது ஒரு அவசர நிலை.
谨慎	எச்சரிக்கையுடன்	முதலீடு செய்வதற்கு முன் எச்சரிக்கையுடன் இருக்க வேண்டும்.
尽力	முழு முயற்சி செய்தல்	நான் உங்களுக்கு உதவ முழு முயற்சி செய்வேன்.
尽量	இயன்றவரை	தயவு செய்து இயன்றவரை சீக்கிரம் வாருங்கள்.
近代	நவீன காலம்	நவீன கால சீனாவில் பல மாற்றங்கள் நடந்தன.
进步	முன்னேற்றம்	அவரது சீன மொழி வேகமாக முன்னேறுகிறது.
进口	இறக்குமதி செய்யப்பட்ட	இந்த கார் இறக்குமதி செய்யப்பட்டதாகும்.
精力	ஆற்றல்	குழந்தைகளுக்கு ஆற்றல் மிகவும் நிறைந்துள்ளது.
精神	உற்சாகம்	அவர் இன்று மிகவும் உற்சாகமாக இருக்கிறார்.
经典	செவ்வியல்	இது ஒரு செவ்வியல் திரைப்படம்.
经商	வணிகம் செய்தல்	அவரது தந்தை வெளிநாட்டில் வணிகம் செய்கிறார்.
经营	நடத்துதல்	அவள் ஒரு சிறிய கடையை நடத்துகிறாள்.
酒吧	மதுக்கூடம்	இரவில் அவர்கள் மதுக்கூடத்துக்குச் சென்றார்கள்.
救	காப்பாற்றுதல்	மருத்துவர் அவரது உயிரைக் காப்பாற்றினார்.
救护车	ஆம்புலன்ஸ்	ஆம்புலன்ஸ் விரைவாக வந்தது.
舅舅	மாமா	என் மாமா நான்ஜிங்கில் வசிக்கிறார்.
居然	எதிர்பாராத விதமாக	அவர் தன் பிறந்தநாளையே எதிர்பாராத விதமாக மறந்துவிட்டார்.
桔子	மந்தாரின் ஆரஞ்சு	மேசையில் சில மந்தாரின் ஆரஞ்சுகள் உள்ளன.
俱乐部	கழகம்	அவள் நீச்சல் கழகத்தில் சேர்ந்தாள்.
具备	கொண்டிருத்தல்	அவருக்கு மேலாண்மை அனுபவம் உள்ளது.
具体	குறிப்பான	தயவு செய்து இன்னும் குறிப்பாகச் சொல்லுங்கள்.
巨大	மிகப் பெரிய	இந்த திட்டத்திற்கு மிகப் பெரிய முதலீடு தேவை.
据说	என்று கூறப்படுகிறது	அவர் ஏற்கனவே நாடு திரும்பியதாகக் கூறப்படுகிறது.
捐	நன்கொடை அளித்தல்	அனைவரும் பணம் நன்கொடையாக அளிக்க விரும்புகிறார்கள்.
决赛	இறுதிப் போட்டி	நாளை கால்பந்து இறுதிப் போட்டி.
决心	உறுதி	அவர் சீன மொழியை நன்றாகக் கற்க உறுதி செய்தார்.
绝对	கண்டிப்பாக	இந்த விஷயத்தை கண்டிப்பாக மறக்கக்கூடாது.
角色	பாத்திரம்	அவள் திரைப்படத்தில் முக்கியமான பாத்திரத்தில் நடித்தாள்.
军事	இராணுவம் சார்ந்த	அவருக்கு இராணுவ வரலாற்றில் அதிக ஆர்வம் உள்ளது.
均匀	சமமாக	தயவு செய்து நிறத்தை சமமாகப் பூசுங்கள்.
卡车	சரக்கு வண்டி	ஒரு சரக்கு வண்டி வாசலில் நின்றிருந்தது.
开发	உருவாக்குதல்	நிறுவனம் புதிய தயாரிப்பை உருவாக்கி வருகிறது.
开放	திறந்திருத்தல்	பூங்கா தினமும் காலை ஆறு மணிக்கு திறக்கிறது.
开幕式	தொடக்க விழா	தொடக்க விழா நாளை இரவு நடைபெறும்.
开水	கொதிக்கவைத்த நீர்	தயவு செய்து எனக்கு ஒரு கோப்பை கொதிக்கவைத்த நீர் கொடுங்கள்.
砍	வெட்டுதல்	தொழிலாளர்கள் மரக்கிளைகளை வெட்டிக் கொண்டிருக்கிறார்கள்.
看不起	இகழ்ந்து பார்ப்பது	யாரையும் இகழ்ந்து பார்க்காதே.
看望	சென்று பார்க்குதல்	வார இறுதியில் நான் தாத்தா பாட்டியை சென்று பார்க்கிறேன்.
靠	சாய்ந்து நிற்றல்	அவர் சுவரில் சாய்ந்து ஓய்வெடுத்தார்.
颗	சிறு உருண்டைப் பொருட்களுக்கான எண்ணுச்சொல்	இரவு வானில் ஒரு நட்சத்திரம் உள்ளது.
可见	தெளிவாகத் தெரிகிறது	இதனால் இந்த முறை மிகவும் பயனுள்ளதாக இருப்பது தெளிவாகத் தெரிகிறது.
可靠	நம்பகமான	அவர் நம்பகமான நண்பர்.
可怕	பயங்கரமான	இந்த கனவு மிகவும் பயங்கரமாக இருந்தது.
克	கிராம்	தயவு செய்து இரண்டு கிராம் உப்பு சேர்க்கவும்.
克服	சமாளித்தல்	நாம் சிரமங்களை சமாளிக்க வேண்டும்.
刻苦	கடினமாக உழைக்கும்	அவர் மிகவும் கடினமாகப் படிக்கிறார்.
客观	நடுநிலையான	தயவு செய்து பிரச்சினையை நடுநிலையாக ஆய்வு செய்யுங்கள்.
课程	பாடநெறி	இந்த பாடநெறி மிகவும் பயனுள்ளதாக உள்ளது.
空间	இடவசதி	இந்த அறையில் இடவசதி அதிகம்.
控制	கட்டுப்படுத்துதல்	ஓட்டுநர் வண்டியின் வேகத்தை கட்டுப்படுத்தினார்.
空闲	ஓய்வு நேரம்	நாளை பிற்பகல் உங்களுக்கு ஓய்வு நேரம் உள்ளதா?
口味	சுவை விருப்பு	அவரது சுவை விருப்பு சற்றே மிதமானது.
夸	பாராட்டுதல்	ஆசிரியர் அவர் மிகவும் முன்னேறியதாகப் பாராட்டினார்.
夸张	மிகைப்படுத்தப்பட்ட	அவரது முகபாவனை சற்று மிகைப்படுத்தப்பட்டதாக உள்ளது.
会计	கணக்காளர்	அவள் நிறுவனத்தில் கணக்காளராக வேலை செய்கிறாள்.
宽	அகலமான	இந்த சாலை மிகவும் அகலமானது.
昆虫	பூச்சி	குழந்தைகள் பூச்சிகளை கவனித்து பார்த்துக் கொண்டிருக்கிறார்கள்.
扩大	விரிவுபடுத்துதல்	பள்ளி நூலகத்தை விரிவுபடுத்த திட்டமிட்டுள்ளது.
辣椒	மிளகாய்	கறியில் நிறைய மிளகாய் சேர்த்துள்ளனர்.
拦	தடுத்து நிறுத்துதல்	காவலர் ஒரு காரை தடுத்து நிறுத்தினார்.
烂	அழுகிய	இந்த ஆப்பிள் ஏற்கனவே அழுகிவிட்டது.
朗读	சத்தமாக வாசித்தல்	தயவு செய்து பாடத்தை சத்தமாக வாசியுங்கள்.
劳动	உழைப்பு	உழைப்பு மனிதருக்கு நிறைவு உணர்வைத் தருகிறது.
劳驾	மன்னிக்கவும்	மன்னிக்கவும், மெட்ரோ நிலையம் எங்கே?
姥姥	அம்மம்மா	என் அம்மம்மா மிகவும் சுவையாக சமைப்பார்.
老百姓	பொதுமக்கள்	பொதுமக்கள் வாழ்க்கைச் செலவைப் பற்றி கவலைப்படுகிறார்கள்.
老板	முதலாளி	முதலாளி இன்று அலுவலகத்தில் இல்லை.
老婆	மனைவி	அவர் மனைவிக்கு மலர்கள் வாங்கினார்.
老实	நேர்மையான	அவர் நேர்மையான மனிதர்.
老鼠	எலி	சமையலறையில் ஒரு எலி உள்ளது.
乐观	நம்பிக்கையுடன்	அவள் எதிர்காலத்தைப் பற்றி நம்பிக்கையுடன் இருக்கிறாள்.
雷	இடி	நேற்றிரவு இடி மிகவும் சத்தமாக இருந்தது.
类型	வகை	இந்த வகை திரைப்படம் எந்த வகையைச் சேர்ந்தது?
冷淡	அக்கறையற்ற	அவரது அணுகுமுறை சற்றே அக்கறையற்றதாக உள்ளது.
厘米	சென்டிமீட்டர்	இந்த பேனா பதினைந்து சென்டிமீட்டர் நீளம் கொண்டது.
梨	பேரிக்காய்	நான் சில பேரிக்காய்கள் வாங்கினேன்.
离婚	விவாகரத்து செய்தல்	அவர்கள் கடந்த ஆண்டு விவாகரத்து செய்தனர்.
理论	கோட்பாடு	இந்த கோட்பாடு மிகவும் சிக்கலானது.
