simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
份	példány; adag; rész (számlálószó)	Kérem, segítsen elküldeni egy faxot.	exemplar; porție; clasificator	Vă rog să mă ajutați să trimit un fax.	брой; екземпляр; порция (класификатор)	Моля, помогнете ми да изпратя факс.	primjerak; porcija; klasifikator	Molim vas, pomozite mi poslati faks.
丰富	gazdag; bőséges	Az olvasás gazdagíthatja az életünket.	bogat; abundent	Cititul ne poate îmbogăți viața.	богат; изобилен	Четенето може да обогати живота ни.	bogat; obilan	Čitanje može obogatiti naš život.
否则	különben; ellenkező esetben	Induljunk el most, különben elkésünk.	altfel; în caz contrar	Să plecăm acum, altfel vom întârzia.	иначе; в противен случай	Да тръгнем сега, иначе ще закъснеем.	inače; u protivnom	Krenimo sada, inače ćemo zakasniti.
符合	megfelelni; illeni hozzá	Nagyon jól megfelel a felvételi feltételeinknek.	a corespunde; a îndeplini	Se potrivește foarte bine criteriilor noastre de recrutare.	отговарям на; съответствам	Тя много добре отговаря на условията ни за наемане.	odgovarati; ispunjavati	Ona vrlo dobro ispunjava naše uvjete za zapošljavanje.
付款	fizetni; fizetés	Vásárláskor lehet online fizetni.	a plăti; plată	Cumpărăturile se pot plăti online.	плащам; плащане	Покупките могат да се платят онлайн.	platiti; plaćanje	Kupnja se može platiti putem interneta.
复印	fénymásolni; dokumentumot másolni	Kérem, készítsen még két másolatot ebből az anyagból.	a fotocopia; a copia un document	Vă rog să mai faceți două copii ale acestui material.	копирам; правя фотокопие	Моля, направете още две копия на този материал.	fotokopirati; umnožiti dokument	Molim vas, napravite još dvije kopije ovog materijala.
复杂	bonyolult; összetett	Ez egy összetett technikai probléma.	complex; complicat	Aceasta este o problemă tehnică complexă.	сложен; комплексен	Това е сложен технически проблем.	složen; kompliciran	Ovo je složen tehnički problem.
富	gazdag	Az emberek élete egyre gazdagabb lesz.	bogat	Viața oamenilor devine tot mai bogată.	богат	Животът на хората става все по-богат.	bogat	Život ljudi postaje sve bogatiji.
父亲	apa; édesapa	Édesapám idén nyolcvanhárom éves.	tată; părinte	Tatăl meu are anul acesta optzeci și trei de ani.	баща	Баща ми тази година е на осемдесет и три години.	otac	Moj otac ove godine ima osamdeset i tri godine.
负责	felelősnek lenni; felelni valamiért	Xiao Li nagyon felelősen dolgozik.	a fi responsabil; a răspunde de	Xiao Li este foarte responsabil la muncă.	отговорен съм; отговарям за	Сяо Ли е много отговорен в работата си.	biti odgovoran; biti zadužen za	Xiao Li je vrlo odgovoran u poslu.
改变	megváltoztatni; változni	Már megváltoztattam a tervemet.	a schimba; a modifica	Mi-am schimbat deja planul.	променям; изменям	Вече промених плана си.	promijeniti; mijenjati	Već sam promijenio plan.
干杯	egészségedre; koccintani	Kellemes ünnepeket mindenkinek, egészségetekre!	noroc; a ciocni	Sărbători fericite tuturor, noroc!	наздраве; вдигам тост	Весели празници на всички, наздраве!	živjeli; nazdraviti	Sretni blagdani svima, živjeli!
感动	meghatni; meghatott	Nagyon meghatottak a szavai.	a emoționa; emoționant	Cuvintele lui m-au emoționat foarte mult.	разчувствам; трогвам	Думите му много ме трогнаха.	dirnuti; ganuti	Njegove su me riječi jako dirnule.
感觉	érezni; érzés	Úgy érzem, ma egy kicsit hideg van.	a simți; sentiment	Simt că astăzi este puțin frig.	усещам; чувство	Усещам, че днес е малко студено.	osjećati; osjećaj	Osjećam da je danas malo hladno.
感情	érzés; érzelem; kapcsolat	Nagyon jó a kapcsolat köztük.	sentiment; emoție; relație	Relația dintre ei este foarte bună.	чувство; емоция; връзка	Връзката между тях е много добра.	osjećaj; emocija; odnos	Odnos između njih je vrlo dobar.
感谢	megköszönni; hálásnak lenni	Köszönjük a segítségét.	a mulțumi; a fi recunoscător	Vă mulțumim pentru ajutor.	благодаря; признателен съм	Благодарим ви за помощта.	zahvaliti; biti zahvalan	Hvala vam na pomoći.
敢	merni	Nem merek egyedül menni.	a îndrăzni	Nu îndrăznesc să merg singur.	смея; осмелявам се	Не смея да отида сам.	usuditi se	Ne usuđujem se ići sam.
赶	sietni; rohanni	Köszönöm, hogy időben idejöttél segíteni.	a se grăbi; a veni în grabă	Îți mulțumesc că ai venit la timp să mă ajuți.	бързам; пристигам навреме	Благодаря ти, че дойде навреме да ми помогнеш.	požuriti; stići na vrijeme	Hvala ti što si došao na vrijeme pomoći mi.
干	dolgozni; csinálni; intézni	Mit csinálsz?	a face; a lucra	Ce faci?	правя; работя	Какво правиш?	raditi; činiti	Što radiš?
刚	éppen; az imént	Kérlek, bocsásd meg, amit az imént mondtam.	tocmai; abia	Te rog să mă ierți pentru ce am spus adineauri.	току-що; едва	Моля, прости ми за думите, които току-що казах.	upravo; tek	Molim te, oprosti mi ono što sam maloprije rekao.
高速公路	autópálya; gyorsforgalmi út	Itt nemrég építettek egy új autópályát.	o autostradă; drum expres	Aici s-a construit recent o autostradă nouă.	магистрала; скоростен път	Тук наскоро построиха нова магистрала.	autocesta; brza cesta	Ovdje je nedavno izgrađena nova autocesta.
胳膊	kar	Kicsit fáj a karja.	un braț	Îl doare puțin brațul.	ръка; мишница	Ръката му го боли малко.	ruka; nadlaktica	Malo ga boli ruka.
各	minden; egyes	A szupermarketben mindenféle gyümölcs van.	fiecare; diverse	În supermarket sunt tot felul de fructe.	всеки; различни	В супермаркета има всякакви плодове.	svaki; razni	U supermarketu ima raznog voća.
公里	kilométer	A két város között háromszáz kilométer a távolság.	un kilometru	Distanța dintre cele două orașe este de trei sute de kilometri.	километър	Разстоянието между двата града е триста километра.	kilometar	Udaljenost između ta dva grada je tristo kilometara.
功夫	kungfu; ügyesség	Mostanában kínai kungfut tanulok.	kung-fu; îndemânare	În ultima vreme învăț kung-fu chinezesc.	кунгфу; умение	Напоследък уча китайско кунгфу.	kung fu; vještina	U posljednje vrijeme učim kineski kung fu.
工资	fizetés; bér	Az új munkájában magas a fizetése.	salariu; leafă	Noul lui loc de muncă este bine plătit.	заплата; възнаграждение	Новата му работа е добре платена.	plaća; nadnica	Njegov novi posao je dobro plaćen.
共同	közös; együtt	Közös célunk van.	comun; împreună	Avem un scop comun.	общ; съвместен	Имаме обща цел.	zajednički; zajedničko	Imamo zajednički cilj.
够	elég; eléggé	Ma elég hideg van.	destul; suficient	Astăzi este destul de frig.	достатъчно; доста	Днес е доста студено.	dovoljno; prilično	Danas je prilično hladno.
购物	vásárlás	Vásárláskor lehet online fizetni.	cumpărături	Cumpărăturile se pot plăti online.	пазаруване	Покупките могат да се платят онлайн.	kupovina	Kupnja se može platiti putem interneta.
估计	becsülni; gondolni	Szerintem már megérkeztek a repülőtérre.	a estima; a presupune	Presupun că au ajuns deja la aeroport.	предполагам; оценявам	Предполагам, че вече са пристигнали на летището.	procijeniti; pretpostaviti	Pretpostavljam da su već stigli u zračnu luku.
鼓励	bátorítani; biztatni	A szülőknek több bátorítást kellene adniuk a gyerekeiknek.	a încuraja	Părinții ar trebui să le ofere copiilor mai multă încurajare.	насърчавам; окуражавам	Родителите трябва да окуражават повече децата си.	ohrabriti; poticati	Roditelji bi trebali više ohrabrivati svoju djecu.
故意	szándékosan; direkt	Bocsánat, nem szándékosan tettem.	deliberat; intenționat	Îmi pare rău, nu am făcut-o intenționat.	нарочно; умишлено	Извинявай, не беше нарочно.	namjerno; hotimice	Oprosti, nisam to učinio namjerno.
顾客	vásárló; ügyfél	A vásárlók száma egyharmaddal csökkent.	client; cumpărător	Numărul clienților a scăzut cu o treime.	клиент; купувач	Клиентите намаляха с една трета.	kupac; klijent	Broj kupaca smanjio se za trećinu.
挂	letenni; felakasztani	Kérem, egyelőre ne tegye le a telefont.	a închide; a agăța	Vă rog să nu închideți încă telefonul.	затварям; закачам	Моля, засега не затваряйте телефона.	spustiti slušalicu; objesiti	Molim vas, nemojte još spustiti slušalicu.
关键	kulcs; lényeges pont	Nem ez a probléma lényege.	cheie; punct esențial	Aceasta nu este cheia problemei.	ключов момент; същност	Това не е същността на проблема.	ključ; bitna točka	To nije bit problema.
观众	közönség; nézők	Kedves nézőink a képernyők előtt, jó napot kívánok.	public; spectatori	Bună ziua, dragi telespectatori.	публика; зрители	Здравейте, приятели зрители пред телевизорите.	publika; gledatelji	Pozdrav, dragi gledatelji pred televizorima.
管理	vezetni; irányítani; kezelni	Ki kezeli most ezt a házat?	a administra; a gestiona	Cine administrează acum această casă?	управлявам; администрирам	Кой управлява тази къща сега?	upravljati; voditi	Tko sada upravlja ovom kućom?
光	fény; világosság	Ma nagyon erős a napfény.	lumină; strălucire	Lumina soarelui este puternică astăzi.	светлина; блясък	Днес слънчевата светлина е силна.	svjetlost; sjaj	Sunčeva je svjetlost danas jaka.
广播	rádióadás; rádió	A nagypapa éppen rádiót hallgat.	transmisiune; radio	Bunicul ascultă radioul.	радио; радиопредаване	Дядо слуша радио.	radio; emitiranje	Djed sluša radio.
广告	reklám; hirdetés	Láttam a hirdetésüket az újságban.	reclamă; anunț	Am văzut reclama dumneavoastră în ziar.	реклама; обява	Видях рекламата ви във вестника.	reklama; oglas	Vidio sam vaš oglas u novinama.
逛	sétálgatni; nézelődni	Menjünk hétvégén nézelődni a bevásárlóközpontba.	a se plimba; a colinda	Hai să mergem în weekend să ne plimbăm prin mall.	разхождам се; обикалям	Хайде през уикенда да се поразходим из мола.	šetati; razgledavati	Hajdemo se za vikend prošetati po trgovačkom centru.
规定	szabály; előírás	Az iskolának megvannak a saját szabályai.	regulă; regulament	Școala are propriile reguli.	правило; разпоредба	Училището има свои правила.	pravilo; propis	Škola ima svoja pravila.
国籍	állampolgárság; nemzetiség	Kérem, írja be az állampolgárságát az űrlapra.	naționalitate	Vă rog să completați naționalitatea în formular.	гражданство; националност	Моля, попълнете гражданството си във формуляра.	državljanstvo; nacionalnost	Molim vas, upišite svoje državljanstvo u obrazac.
国际	nemzetközi	Ez egy nemzetközi konferencia.	internațional	Aceasta este o conferință internațională.	международен	Това е международна конференция.	međunarodni	Ovo je međunarodna konferencija.
果汁	gyümölcslé	Szeretnék inni egy pohár gyümölcslevet.	un suc de fructe	Aș vrea să beau un pahar de suc.	плодов сок	Искам да изпия чаша сок.	voćni sok	Želio bih popiti čašu soka.
过程	folyamat	A tanulás folyamata nagyon fontos.	proces	Procesul de învățare este important.	процес	Процесът на учене е важен.	proces	Proces učenja je važan.
海洋	óceán	A Föld felszínének nagy része óceán.	ocean	Cea mai mare parte a suprafeței Pământului este ocean.	океан	По-голямата част от повърхността на Земята е океан.	ocean	Veći dio Zemljine površine čini ocean.
害羞	félénk; szégyenlős	Először állt színpadra, és kicsit félénk volt.	timid; rușinos	A urcat prima dată pe scenă și era puțin timidă.	срамежлив	Тя излезе на сцена за първи път и беше малко срамежлива.	sramežljiv	Prvi je put izašla na pozornicu i bila je malo sramežljiva.
寒假	téli szünet	A téli szünetben délre szeretnék utazni.	vacanță de iarnă	În vacanța de iarnă vreau să călătoresc spre sud.	зимна ваканция	През зимната ваканция искам да пътувам на юг.	zimski praznici	Tijekom zimskih praznika želim putovati na jug.
汗	izzadság	Meleged van, töröld le az izzadságot egy törölközővel.	sudoare; transpirație	Ți-e cald, șterge-ți transpirația cu un prosop.	пот	Горещо ти е, избърши потта си с кърпа.	znoj	Vruće ti je, obriši znoj ručnikom.
航班	járat; repülőjárat	Üdvözöljük ezen a járaton.	un zbor	Bine ați venit la bordul acestui zbor.	полет	Добре дошли на този полет.	let	Dobro došli na ovaj let.
好处	haszon; előny	A több olvasásnak sok előnye van.	beneficiu; avantaj	Cititul mai mult are multe beneficii.	полза; предимство	Повече четене има много ползи.	korist; prednost	Više čitanja ima mnogo koristi.
好像	úgy tűnik; mintha	Úgy tűnik, félreértés van köztünk.	a părea; ca și cum	Se pare că între noi există o neînțelegere.	изглежда; сякаш	Изглежда, че между нас има недоразумение.	činiti se; kao da	Čini se da među nama postoji nesporazum.
号码	szám	Kérem, adja meg a telefonszámát.	număr	Vă rog să-mi dați numărul dumneavoastră de telefon.	номер	Моля, дайте ми телефонния си номер.	broj	Molim vas, dajte mi svoj telefonski broj.
合格	megfelelő; szabványnak megfelelő	Ennek a terméknek a minősége megfelel a szabványnak.	calificat; conform standardului	Acest produs corespunde standardului de calitate.	годен; отговарящ на стандарта	Този продукт отговаря на стандарта за качество.	ispravan; u skladu sa standardom	Ovaj proizvod zadovoljava standard kvalitete.
合适	megfelelő; illő	Ez a cipő nagyon jól passzol.	potrivit; adecvat	Această pereche de pantofi se potrivește bine.	подходящ; пасващ	Тези обувки са много подходящи.	prikladan; odgovarajući	Ove cipele dobro pristaju.
盒子	doboz	A doboz üres, nincs benne semmi.	o cutie	Cutia este goală, nu este nimic în ea.	кутия	Кутията е празна, в нея няма нищо.	kutija	Kutija je prazna, u njoj nema ničega.
厚	vastag	Ez a könyv vastag.	gros	Această carte este groasă.	дебел; плътен	Тази книга е дебела.	debeo; gust	Ova je knjiga debela.
后悔	megbánni	Bánom, hogy nem mondtam el neked korábban.	a regreta	Regret că nu ți-am spus mai devreme.	съжалявам; разкайвам се	Съжалявам, че не ти казах по-рано.	požaliti; kajati se	Žao mi je što ti nisam rekao ranije.
互联网	internet	Az internet sok kényelmet hozott az emberek életébe.	internet	Internetul a adus multă comoditate în viața oamenilor.	интернет	Интернет донесе много удобства в живота на хората.	internet	Internet je donio mnogo pogodnosti u živote ljudi.
互相	egymás; kölcsönösen	Nekünk kettőnknek támogatnunk kell egymást.	reciproc; unul pe altul	Noi doi trebuie să ne sprijinim reciproc.	взаимно; един друг	Ние двамата трябва да се подкрепяме взаимно.	međusobno; jedan drugoga	Nas dvoje moramo podržavati jedno drugo.
护士	ápoló; nővér	A nővér éppen injekciót ad a betegnek.	o asistentă medicală	Asistenta îi face o injecție pacientului.	медицинска сестра	Медицинската сестра поставя инжекция на пациента.	medicinska sestra	Medicinska sestra daje pacijentu injekciju.
怀疑	gyanakodni; kételkedni; gyanú	Gyanítom, hogy elfelejtette, hogy ma megbeszélés van.	a suspecta; a se îndoi; îndoială	Bănuiesc că a uitat că astăzi este ședință.	подозирам; съмнявам се; съмнение	Подозирам, че е забравил, че днес има среща.	sumnjati; sumnja	Sumnjam da je zaboravio da danas ima sastanak.
回忆	visszaemlékezni; emlék	Gyakran visszaemlékezünk a gyerekkori dolgokra.	a-și aminti; amintire	Ne amintim adesea lucruri din copilărie.	спомням си; спомен	Често си спомняме неща от детството.	prisjećati se; uspomena	Često se prisjećamo stvari iz djetinjstva.
活动	mozogni; tevékenység	Elmentem a parkba egy kicsit mozogni.	a face mișcare; activitate	Am mers în parc să fac puțină mișcare.	движа се; дейност	Отидох в парка да се раздвижа малко.	kretati se; aktivnost	Otišao sam u park malo se razgibati.
活泼	élénk; eleven	Ez a gyerek nagyon élénk.	vioi; plin de viață	Acest copil este foarte vioi.	жизнен; пъргав	Това дете е много жизнено.	živahan; vedar	Ovo je dijete vrlo živahno.
火	tűz	A tűz veszélyes, kérem, legyen óvatos.	foc	Focul este periculos, vă rog să fiți atent.	огън	Огънят е опасен, моля, внимавайте.	vatra	Vatra je opasna, molim vas budite oprezni.
获得	megszerezni; elnyerni; kapni	A siker után sem szabad túl büszkének lenni.	a obține; a primi	Chiar dacă ai obținut succesul, nu trebuie să fii prea mândru.	получавам; придобивам	Дори след успех не бива да си прекалено горд.	dobiti; steći	Ni nakon uspjeha ne smiješ biti previše ponosan.
基础	alap; alapzat	Kérem, az eredeti alap alapján módosítson még rajta.	bază; temelie	Vă rog să mai modificați pe baza originală.	основа	Моля, направете още промени върху първоначалната основа.	osnova; temelj	Molim vas, još malo izmijenite na izvornoj osnovi.
激动	izgalmas; meghatott	Ez a hír igazán izgalmas.	emoționant; emoționat	Această veste este cu adevărat emoționantă.	вълнуващ; развълнуван	Тази новина е наистина вълнуваща.	uzbudljiv; dirnut	Ova je vijest stvarno uzbudljiva.
积极	aktív; pozitív	Nagyon aktívan tanul kínaiul.	activ; pozitiv	El învață chineza foarte activ.	активен; положителен	Той учи китайски много активно.	aktivan; pozitivan	On vrlo aktivno uči kineski.
积累	felhalmozni; gyűjteni; felhalmozódás	Sok tapasztalatot gyűjtött a munkája során.	a acumula; acumulare	A acumulat multă experiență la muncă.	натрупвам; натрупване	Той натрупа много опит в работата си.	nakupljati; steći	Stekao je mnogo iskustva u poslu.
即使	még ha; akkor is ha	Még ha nehézségekkel találkozol is, ne add fel.	chiar dacă	Nu renunța chiar dacă întâmpini dificultăți.	дори ако; дори да	Не се отказвай, дори ако срещнеш трудности.	čak i ako	Ne odustaj čak i ako naiđeš na poteškoće.
及时	időben; haladéktalanul	Ez az eső éppen időben jött.	la timp; prompt	Această ploaie a venit exact la timp.	навреме; своевременно	Този дъжд дойде точно навреме.	na vrijeme; pravodobno	Ova je kiša došla baš na vrijeme.
寄	postázni; elküldeni	A leveled már megérkezett.	a trimite prin poștă	Scrisoarea ta a fost deja livrată.	изпращам по пощата	Писмото ти вече е доставено.	poslati poštom	Tvoje je pismo već dostavljeno.
技术	technológia; technika; szakértelem	Ez egy összetett technikai probléma.	tehnologie; tehnică; abilitate	Aceasta este o problemă tehnică complexă.	технология; техника; умение	Това е сложен технически проблем.	tehnologija; tehnika; vještina	Ovo je složen tehnički problem.
既然	mivel; ha már	Ha már itt vagy, együnk együtt.	din moment ce; deoarece	Din moment ce ai venit, hai să mâncăm împreună.	щом; след като	Щом си дошъл, нека ядем заедно.	budući da; kad već	Kad si već došao, jedimo zajedno.
继续	folytatni	Azt mondta, hajlandó tovább dolgozni a cégnél.	a continua	A spus că este dispus să continue să lucreze în companie.	продължавам	Той каза, че е готов да продължи да работи във фирмата.	nastaviti	Rekao je da je spreman nastaviti raditi u tvrtki.
计划	terv; program	Már megváltoztattam a tervemet.	plan; program	Mi-am schimbat deja planul.	план; програма	Вече промених плана си.	plan; program	Već sam promijenio plan.
记者	riporter; újságíró	A riporter éppen az igazgatóval készít interjút.	reporter; jurnalist	Reporterul îl intervievează pe director.	репортер; журналист	Репортерът интервюира директора.	novinar; reporter	Novinar intervjuira ravnatelja.
加班	túlórázni	Ezen a héten szinte mindennap túlóráztunk.	a lucra peste program	Săptămâna aceasta am lucrat peste program aproape în fiecare zi.	работя извънредно	Тази седмица работихме извънредно почти всеки ден.	raditi prekovremeno	Ovaj smo tjedan radili prekovremeno gotovo svaki dan.
加油站	benzinkút	Van benzinkút az otthonod közelében?	o benzinărie	Există o benzinărie aproape de casa ta?	бензиностанция	Има ли бензиностанция близо до дома ти?	benzinska postaja	Ima li benzinska postaja blizu tvog doma?
家具	bútor	Költözés után új bútorokra cseréltük a régieket.	mobilă; mobilier	După mutare, am schimbat mobila cu una nouă.	мебели	След преместването сменихме мебелите с нови.	namještaj	Nakon selidbe zamijenili smo namještaj novim.
假	hamis; ál-	Ez a jegy hamis.	fals; artificial	Acest bilet este fals.	фалшив; неистински	Този билет е фалшив.	lažan; umjetan	Ova je karta lažna.
价格	ár	Tavaly óta csökken az autók ára.	preț	De anul trecut, prețul mașinilor scade.	цена	От миналата година цените на автомобилите намаляват.	cijena	Od prošle godine cijene automobila padaju.
坚持	kitartani; ragaszkodni valamihez	Mindig ragaszkodott a saját véleményéhez.	a insista; a persista	A insistat mereu asupra propriei opinii.	настоявам; упорствам	Той винаги е настоявал на своето мнение.	ustrajati; inzistirati	Uvijek je ustrajao u svom mišljenju.
减肥	fogyni; fogyókúrázni	Mindennap futok, hogy fogyjak.	a slăbi; a ține dietă	Alerg în fiecare zi ca să slăbesc.	отслабвам; пазя диета	Тичам всеки ден, за да отслабна.	mršavjeti; biti na dijeti	Trčim svaki dan kako bih smršavio.
减少	csökkenteni; csökkenni	A vásárlók száma egyharmaddal csökkent.	a reduce; a scădea	Numărul clienților a scăzut cu o treime.	намалявам	Клиентите намаляха с една трета.	smanjiti; smanjivati se	Broj kupaca smanjio se za trećinu.
建议	javasolni; ajánlani	Azt javaslom, holnap pihenjünk egy napot.	a sugera; a recomanda	Propun să ne odihnim mâine o zi.	предлагам; препоръчвам	Предлагам утре да си починем един ден.	predložiti; preporučiti	Predlažem da se sutra jedan dan odmorimo.
将来	jövő; a jövőben	Milyen munkát tervezel végezni a jövőben?	viitor; în viitor	Ce meserie plănuiești să faci în viitor?	бъдеще; в бъдеще	Каква работа планираш да вършиш в бъдеще?	budućnost; u budućnosti	Koji posao planiraš raditi u budućnosti?
奖金	bónusz; jutalom	A év végén kaptunk egy bónuszt.	bonus; primă	La sfârșitul anului am primit un bonus.	бонус; премия	В края на годината получихме бонус.	bonus; nagrada	Na kraju godine dobili smo bonus.
降低	csökkenteni; lejjebb vinni	Megjött az ősz, és a hőmérséklet csökkenni kezdett.	a reduce; a scădea	A venit toamna și temperatura începe să scadă.	понижавам; намалявам	Дойде есента и температурата започна да спада.	smanjiti; sniziti	Došla je jesen i temperatura počinje padati.
降落	leszállni; landolni	A repülőgép hamarosan leszáll.	a ateriza; a coborî	Avionul va ateriza în curând.	приземявам се; кацам	Самолетът скоро ще кацне.	sletjeti	Zrakoplov će uskoro sletjeti.
交	barátkozni; beadni	Sok kínai barátot szereztem.	a-și face prieteni; a preda	Mi-am făcut mulți prieteni chinezi.	сприятелявам се; предавам	Създадох много китайски приятели.	sprijateljiti se; predati	Stekao sam mnogo kineskih prijatelja.
交流	csere; kommunikáció	Az országok közötti kulturális csere egyre gazdagabb.	schimb; comunicare	Schimburile culturale dintre țări devin tot mai bogate.	обмен; общуване	Културният обмен между страните става все по-богат.	razmjena; komunikacija	Kulturna razmjena među državama postaje sve bogatija.
交通	közlekedés; forgalom	Itt kényelmes a közlekedés.	transport; trafic	Transportul aici este comod.	транспорт; трафик	Транспортът тук е удобен.	promet; prijevoz	Promet je ovdje praktičan.
郊区	külváros; előváros	A város külvárosában lakik.	suburbie; periferie	Locuiește la periferia orașului.	предградие; покрайнини	Той живее в предградията на града.	predgrađe; periferija	Živi u predgrađu grada.
骄傲	arrogáns; öntelt	A siker után sem szabad túl büszkének lenni.	arogant; îngâmfat	Chiar dacă ai obținut succesul, nu trebuie să fii prea mândru.	надменен; горделив	Дори след успех не бива да си прекалено горд.	ohol; umišljen	Ni nakon uspjeha ne smiješ biti previše ponosan.
饺子	kínai töltött tészta; gombóc	A kínaiak tavaszünnepkor jiaozit esznek.	colțunaș chinezesc	Chinezii mănâncă colțunași de Sărbătoarea Primăverii.	китайски пелмени	Китайците ядат пелмени по време на Пролетния празник.	kineske okruglice	Kinezi jedu okruglice tijekom Proljetnog festivala.
教授	professzor	Egyetemi professzor.	profesor	Este profesor universitar.	професор	Той е университетски професор.	profesor	On je sveučilišni profesor.
教育	nevelni; oktatni; oktatás	A gyerekek neveléséhez türelem kell.	a educa; educație	Este nevoie de răbdare când educi copiii.	образовам; възпитавам; образование	За възпитанието на деца е нужно търпение.	obrazovati; odgajati; obrazovanje	Za odgoj djece potrebno je strpljenje.
接受	elfogadni; átvenni	Minden véleményedet elfogadom.	a accepta; a primi	Accept toate opiniile tale.	приемам	Приемам всички твои мнения.	prihvatiti	Prihvaćam sva tvoja mišljenja.
接着	aztán; folytatni	Gondolkodott egy kicsit, aztán tovább írt.	apoi; a continua	S-a gândit puțin, apoi a continuat să scrie.	след това; продължавам	Той помисли малко и после продължи да пише.	zatim; nastaviti	Malo je razmislio, a zatim nastavio pisati.
结果	eredmény; következmény	Nézted a meccset? Mi lett az eredmény?	rezultat; urmare	Ai văzut meciul? Care a fost rezultatul?	резултат; последствие	Гледа ли мача? Какъв беше резултатът?	rezultat; ishod	Jesi li gledao utakmicu? Kakav je bio rezultat?
节	ünnep; ünnepnap	Ma milyen ünnep van?	sărbătoare	Ce sărbătoare este astăzi?	празник	Какъв празник е днес?	praznik	Koji je danas praznik?
节约	takarékoskodni; megóvni	Kérem, takarékoskodjon a vízzel.	a economisi; a conserva	Vă rog să economisiți apă.	пестя; икономисвам	Моля, пестете вода.	štedjeti; čuvati	Molim vas, štedite vodu.
解释	magyarázat; megmagyarázni	Nagyon világosan elmagyarázta az okot.	explicație; a explica	A explicat motivul foarte clar.	обяснение; обяснявам	Той обясни причината много ясно.	objašnjenje; objasniti	Vrlo je jasno objasnio razlog.
尽管	bár; annak ellenére	Bár régóta ismerem, valójában nem értem őt.	deși; în ciuda faptului că	Deși îl cunosc de mult timp, nu îl înțeleg cu adevărat.	въпреки че; макар	Въпреки че го познавам отдавна, всъщност не го разбирам.	iako; unatoč	Iako ga poznajem dugo, zapravo ga ne razumijem.
紧张	ideges; feszült	Az első előadáson nagyon ideges volt.	nervos; tensionat	La prima reprezentație, era foarte nervos.	нервен; напрегнат	На първото представление той беше много нервен.	nervozan; napet	Na prvom nastupu bio je vrlo nervozan.
禁止	tiltani; megtiltani	Itt tilos a dohányzás.	a interzice	Fumatul este interzis aici.	забранявам	Тук пушенето е забранено.	zabraniti	Ovdje je pušenje zabranjeno.
进行	folyamatban lenni; végrehajtani	A meccs még tart.	a fi în desfășurare; a desfășura	Meciul este încă în desfășurare.	провеждам; протичам	Мачът все още се провежда.	odvijati se; provoditi	Utakmica je još u tijeku.
京剧	pekingi opera	Egy híres pekingiopera-színész.	operă din Beijing	Este o actriță celebră de operă din Beijing.	пекинска опера	Тя е известна актриса от пекинската опера.	pekinška opera	Ona je poznata glumica pekinške opere.
精彩	nagyszerű; ragyogó	A mai előadás fantasztikus volt!	splendid; minunat	Spectacolul de astăzi a fost minunat!	прекрасен; блестящ	Днешното представление беше прекрасно!	sjajan; odličan	Današnja je predstava bila sjajna!
经济	gazdaság; gazdasági	Az utóbbi években gyorsan fejlődött a gazdaság.	economie; economic	Economia s-a dezvoltat rapid în ultimii ani.	икономика; икономически	Икономиката се развива бързо през последните години.	gospodarstvo; ekonomski	Gospodarstvo se posljednjih godina brzo razvija.
经历	tapasztalat; átélni	Az utazási élményeiből cikket írt.	experiență; a trece prin	A scris un articol despre experiența ei de călătorie.	преживяване; опит; преживявам	Тя написа статия за преживяванията си от пътуването.	iskustvo; doživjeti	Napisala je članak o svom putnom iskustvu.
经验	tapasztalat	Tapasztalt tanár.	experiență	Este un profesor cu multă experiență.	опит	Той е учител с богат опит.	iskustvo	On je iskusan učitelj.
景色	táj; látvány; kilátás	Naplementekor gyönyörű a tengerparti táj.	peisaj; priveliște	La apus, peisajul de la mare este frumos.	пейзаж; гледка	При залез гледката край морето е красива.	krajolik; prizor	U zalazak sunca morski je krajolik prekrasan.
警察	rendőrség; rendőr	A rendőrség vizsgálatot folytat.	poliție; polițist	Poliția face o anchetă.	полиция; полицай	Полицията провежда разследване.	policija; policajac	Policija provodi istragu.
竞争	versenyezni; verseny	Nagyon magabiztos, és szeret másokkal versenyezni.	a concura; concurență	Este foarte încrezător și îi place să concureze cu alții.	състезавам се; конкуренция	Той е много уверен и обича да се състезава с другите.	natjecati se; konkurencija	Vrlo je samouvjeren i voli se natjecati s drugima.
竟然	váratlanul; meglepő módon	Egyáltalán nem gondoltam, hogy ilyen ember.	neașteptat; spre surprinderea mea	Nu m-am gândit deloc că este un astfel de om.	неочаквано; за изненада	Изобщо не очаквах, че той е такъв човек.	neočekivano; na iznenađenje	Uopće nisam mislio da je takva osoba.
镜子	tükör	Bocsánat, eltörtem a tükröt.	o oglindă	Îmi pare rău, am spart oglinda.	огледало	Извинявай, счупих огледалото.	ogledalo	Oprosti, razbio sam ogledalo.
究竟	valójában; pontosan	Miért sírsz valójában?	de fapt; exact	De ce plângi, de fapt?	всъщност; точно	Защо всъщност плачеш?	zapravo; točno	Zašto zapravo plačeš?
举	felemelni; feltartani	Kérem, emelje fel a kezét, ha válaszolni szeretne.	a ridica	Vă rog să ridicați mâna ca să răspundeți la întrebare.	вдигам; повдигам	Моля, вдигнете ръка, за да отговорите на въпроса.	podići	Molim vas, podignite ruku kako biste odgovorili na pitanje.
