simplified	ET	example_ET	IS	example_IS
解释	seletama; selgitus	Ta selgitas põhjuse väga selgelt.	útskýra; skýring	Hann útskýrði ástæðuna mjög skýrt.
尽管	kuigi; hoolimata sellest	Kuigi olen teda kaua tundnud, ei mõista ma teda.	þótt; þrátt fyrir	Þótt ég hafi þekkt hann lengi, skil ég hann ekki.
紧张	närviline; pingeline	Esimesel esinemisel oli ta väga närvis.	taugaveiklaður; spenntur	Hann var mjög taugaveiklaður á fyrstu sýningunni.
禁止	keelama	Siin on suitsetamine keelatud.	banna	Reykingar eru bannaðar hér.
进行	toimuma; läbi viima	Mäng kestab ikka veel.	fara fram; framkvæma	Leikurinn stendur enn yfir.
京剧	Pekingi ooper	Ta on kuulus Pekingi ooperi näitleja.	Pekingópera	Hún er frægur Pekingóperuleikari.
精彩	suurepärane; vaimustav	Tänane etendus oli imeline!	frábær; stórkostlegur	Sýningin í dag var stórkostleg!
经济	majandus; majanduslik	Majandus on viimastel aastatel kiiresti arenenud.	efnahagur; efnahagslegur	Efnahagurinn hefur þróast hratt undanfarin ár.
经历	kogemus; läbi elama	Ta kirjutas artikli oma reisikogemusest.	reynsla; ganga í gegnum	Hún skrifaði grein um ferðareynslu sína.
经验	kogemus	Ta on kogenud õpetaja.	reynsla	Hann er reynslumikill kennari.
景色	maastik; vaade	Päikeseloojangul on mereäärne vaade ilus.	landslag; útsýni	Við sólsetur er útsýnið við sjóinn fallegt.
警察	politsei; politseinik	Politsei uurib asja.	lögregla; lögreglumaður	Lögreglan er að rannsaka málið.
竞争	võistlema; konkurents	Ta on väga enesekindel ja talle meeldib teistega võistelda.	keppa; samkeppni	Hann er mjög sjálfsöruggur og finnst gaman að keppa við aðra.
竟然	ootamatult; üllatavalt	Ma ei oleks kunagi arvanud, et ta selline inimene on.	óvænt; að óvörum	Ég hefði aldrei haldið að hann væri svona manneskja.
镜子	peegel	Vabandust, ma lõhkusin peegli ära.	spegill	Fyrirgefðu, ég braut spegilinn.
究竟	õigupoolest; täpselt	Miks sa nutad?	eiginlega; nákvæmlega	Af hverju ertu að gráta?
举	tõstma	Palun tõsta küsimusele vastamiseks käsi.	lyfta	Réttu vinsamlegast upp höndina til að svara spurningunni.
举办	korraldama; pidama	Seda üritust korraldame meie.	halda; skipuleggja	Þennan viðburð skipuleggjum við.
举行	toimuma; pidama	Koosolek toimub kell kaks.	halda; fara fram	Fundurinn verður haldinn klukkan tvö.
拒绝	keelduma; tagasi lükkama	Ta lükkas kõigi kutse tagasi.	neita; hafna	Hann hafnaði boði allra.
聚会	pidu; kokkusaamine	Homme on pidu. Kas sa tahad tulla?	veisla; samkoma	Það er veisla á morgun. Viltu koma?
距离	kaugus	Minu kodu on ettevõttest kaugel.	fjarlægð	Heimili mitt er langt frá fyrirtækinu.
开玩笑	nalja tegema	Kas sa teed minuga nalja?	grínast	Ertu að grínast í mér?
开心	rõõmus olema; lõbusalt aega veetma	Minu vanem õde naeratas rõõmsalt.	glaður; skemmta sér	Systir mín brosti glöð.
看法	arvamus; vaatenurk	Ta on alati oma arvamusele kindlaks jäänud.	skoðun; sjónarmið	Hann hefur alltaf haldið fast við skoðun sína.
烤鸭	röstitud part	Pekingi röstitud part on kuulus.	steikt önd	Pekingönd er fræg.
考虑	kaaluma; mõtlema	Ma kaalun seda küsimust tõsiselt.	íhuga; hugleiða	Ég mun íhuga þetta mál alvarlega.
棵	loendussõna puude ja taimede kohta	See puu on kõrge ja suur.	mælieining fyrir tré og plöntur	Tréð er hátt og stórt.
科学	teadus; teaduslik	Ta õppis koolis palju teadusalaseid teadmisi.	vísindi; vísindalegur	Hann lærði mikla vísindalega þekkingu í skólanum.
咳嗽	köhima; köha	Tal on külmetus ja tugev köha.	hósta; hósti	Hann er kvefaður og er með slæman hósta.
可怜	haletsusväärne; vaene laps	See laps ei leia kodu üles, nii kahju.	aumkunarverður; vesalings	Þetta barn finnur ekki heim, það er svo aumkunarvert.
可是	aga; siiski	Kuigi ma väga tahan minna, pole mul tõesti aega.	en; samt	Þótt mig langi virkilega að fara, hef ég sannarlega ekki tíma.
可惜	kahju; mis kahju	Kahju, et sa ei saa meie peole tulla.	því miður; synd	Það er synd að þú getir ekki komið í veisluna okkar.
客厅	elutuba	Isa vaatab elutoas televiisorit.	stofa	Pabbi er að horfa á sjónvarp í stofunni.
肯定	kindel; kindlasti	Ma tulen kindlasti enne kella viit tagasi.	öruggur; örugglega	Ég kem örugglega aftur fyrir klukkan fimm.
空	tühi; vaba	See tuba on tühi.	tómur; laus	Þetta herbergi er tómt.
空气	õhk	Pargi õhk on väga värske.	loft	Loftið í garðinum er mjög ferskt.
恐怕	kardan, et; ilmselt	Kardan, et hakkab vihma sadama. Kas sul on vihmavari kaasas?	ég óttast að; líklega	Ég óttast að það fari að rigna. Ertu með regnhlíf?
苦	mõru; kibe	See tass kohvi on väga mõru.	bitur; erfiði	Þessi kaffibolli er mjög bitur.
矿泉水	mineraalvesi	Ostsin kaks pudelit mineraalvett.	steinefnaríkt vatn	Ég keypti tvær flöskur af steinefnaríku vatni.
困	unine; väsinud	Ma olen unine ja tahan magama minna.	syfjaður; þreyttur	Ég er syfjaður og vil fara að sofa.
困难	raske; raskus	See ülesanne on minu jaoks väga raske.	erfiður; erfiðleiki	Þetta verkefni er mjög erfitt fyrir mig.
垃圾桶	prügikast	Tänaval on palju prügikaste.	ruslatunna	Það eru margar ruslatunnur á götunni.
拉	tõmbama; käest hoidma	Ema võttis tütre käest kinni.	toga; halda	Móðirin tók í hönd dóttur sinnar.
辣	vürtsikas; terav	Ma ei ole harjunud liiga vürtsikaid toite sööma.	sterkur; kryddaður	Ég er ekki vanur að borða of sterkan mat.
来不及	liiga hilja; aega ei jätku	Tõusin täna hommikul hilja ja hommikusöögiks oli juba liiga hilja.	of seint; ná ekki í tíma	Ég vaknaði seint í morgun og náði ekki að borða morgunmat.
来得及	jõudma; veel on aega	Film algab alles kell pool kümme, nii et veel jõuab.	ná í tíma; enn er tími	Myndin byrjar ekki fyrr en klukkan hálf tíu, svo það er enn tími.
来自	pärit olema	Ma olen pärit Shandongi provintsist.	koma frá	Ég kem frá Shandong-héraði.
懒	laisk	Minu kass on väga laisk ja magab terve pärastlõuna.	latur	Kötturinn minn er mjög latur og sefur allan eftirmiðdaginn.
浪费	raiskama; raiskamine	See on lihtsalt aja raiskamine.	sóa; sóun	Þetta er bara tímasóun.
浪漫	romantiline	See raamat jutustab romantilise armastusloo.	rómantískur	Þessi bók segir rómantíska ástarsögu.
老虎	tiiger	Iga kord, kui ma loomaaeda lähen, meeldib mu pojale kõige rohkem tiigrit vaadata.	tígrisdýr	Í hvert sinn sem ég fer í dýragarðinn, finnst syni mínum skemmtilegast að horfa á tígrisdýrið.
冷静	rahulik; külma peaga	Ära erutu, palun rahune maha.	rólegur; yfirvegaður	Ekki æsast, vinsamlegast róaðu þig.
理发	juukseid lõikama; juukselõikus	Millal sa juukseid lõikama lähed?	fara í klippingu; klipping	Hvenær ferð þú í klippingu?
理解	mõistma; arusaamine	Kas sa saad sellest küsimusest aru?	skilja; skilningur	Skilurðu þessa spurningu?
理想	ideaal; unistus	Mis on sinu ideaalne amet?	hugsjón; draumur	Hvert er draumastarfið þitt?
礼拜天	pühapäev	Kas sa oled sel pühapäeval vaba?	sunnudagur	Ertu laus þennan sunnudag?
礼貌	viisakus; kombed	See laps on väga viisakas.	kurteisi; mannasiðir	Þetta barn er mjög kurteist.
例如	näiteks; nagu	Mulle meeldib sport, näiteks jooksmine ja ujumine.	til dæmis; svo sem	Mér líkar við íþróttir, til dæmis hlaup og sund.
力气	jõud	Pärast nii pikka kõndimist olin nii väsinud, et mul polnud enam jõudu.	kraftur; afl	Eftir að hafa gengið svona langt var ég svo þreyttur að ég átti engan kraft eftir.
厉害	tõsine; raske	Ta oli väga raskelt haige ja viidi haiglasse.	alvarlegur; slæmur	Hann var mjög alvarlega veikur og var lagður inn á sjúkrahús.
俩	kaks; mõlemad	Meie kaks oleme head sõbrad.	tveir; báðir	Við tveir erum góðir vinir.
联系	kontakt; ühendus	Kas sa oled ikka veel ühenduses oma ülikoolikaaslastega?	samband; tengsl	Ertu enn í sambandi við bekkjarfélaga þína úr háskóla?
连	isegi; kaasa arvatud	Kuidas sa võisid isegi minu ära unustada?	jafnvel; þar með talið	Hvernig gastu jafnvel gleymt mér?
凉快	mõnusalt jahe	Sügise ilm on väga mõnusalt jahe.	svalur; þægilega kaldur	Veðrið á haustin er mjög svalt.
零钱	peenraha; vahetusraha	Kas sa saaksid mulle natuke raha peenrahaks vahetada?	smámynt; skiptimynt	Gætirðu skipt smá peningum í smámynt fyrir mig?
另外	muu; lisaks	Tahan sinuga veel ühest asjast rääkida.	annar; auk þess	Ég vil tala við þig um eitt annað mál.
流利	sorav	Sa räägid hiina keelt väga soravalt.	reiprennandi	Þú talar kínversku mjög reiprennandi.
流行	populaarne; moekas	Paljudele noortele meeldib popmuusika.	vinsæll; í tísku	Mörgum ungmennum líkar popptónlist.
留	jätma; jääma	Palun jäta oma telefoninumber.	skilja eftir; vera áfram	Vinsamlegast skildu eftir símanúmerið þitt.
旅行	reisima; reis	Me plaanime suvel Yunnani reisida.	ferðast; ferðalag	Við ætlum að ferðast til Yunnan í sumar.
乱	sassis; korratu	Kutsikas ajas toa sassi.	óreiðukenndur; ruglaður	Hvolpurinn setti herbergið í óreiðu.
律师	advokaat	Minu ema on advokaat.	lögfræðingur	Mamma mín er lögfræðingur.
麻烦	tülitama; tülikas	Kas sa saaksid aidata mul tassi tuua?	ónáða; vandræði	Gætirðu hjálpað mér að ná í bolla?
马虎	hooletu; lohakas	Väike hooletus võib viia vigadeni.	kærulaus; hirðulaus	Smá kæruleysi getur leitt til mistaka.
满	täis	Tass on täis.	fullur	Bollinn er fullur.
毛	karv; karusnahk	Selle kassi karv on valge.	feldur; hár	Feldur þessa kattar er hvítur.
毛巾	rätik	Palav on, pühi higi rätikuga ära.	handklæði	Það er heitt, þurrkaðu svitann með handklæði.
美丽	ilus	Ta on tõesti ilus tüdruk.	fallegur	Hún er sannarlega falleg stúlka.
梦	uni	See on tõesti huvitav uni!	draumur	Þetta er virkilega áhugaverður draumur!
迷路	ära eksima	Ta eksis metsas ära.	villast	Hann villtist í skóginum.
密码	parool; kood	Unustasin oma krediitkaardi koodi.	lykilorð; kóði	Ég gleymdi kóðanum á kreditkortinu mínu.
免费	tasuta	Selles restoranis süües on joogid tasuta.	ókeypis	Þegar borðað er á þessum veitingastað eru drykkir ókeypis.
秒	sekund	Palun oota mind kümme sekundit.	sekúnda	Vinsamlegast bíddu eftir mér í tíu sekúndur.
民族	rahvus; etniline rühm	Hiina on paljurahvuseline riik.	þjóðerni; þjóðflokkur	Kína er fjölþjóðlegt land.
母亲	ema	Lubage tutvustada, see on minu ema.	móðir	Leyfið mér að kynna, þetta er móðir mín.
目的	eesmärk; otstarve	Ma ei mõista tema sellise teo eesmärki.	tilgangur; markmið	Ég skil ekki tilganginn með því að hann gerði þetta.
耐心	kannatlikkus; kannatlik	Laste kasvatamisel on vaja kannatlikkust.	þolinmæði; þolinmóður	Það þarf þolinmæði við uppeldi barna.
难道	kas tõesti; ega ometi	Kas need road ei ole maitsvad?	getur það verið; er það virkilega	Er þessi matur virkilega ekki bragðgóður?
难受	end halvasti tundma	Mul on külmetus ja tunnen end väga halvasti.	líða illa	Ég er kvefaður og mér líður mjög illa.
内	jooksul; sees	Palun lõpeta ülesanne kolme päeva jooksul.	innan; inni	Vinsamlegast ljúktu verkefninu innan þriggja daga.
内容	sisu; üksikasjad	Selle artikli sisu on väga huvitav.	innihald; efni	Innihald þessarar greinar er mjög áhugavert.
能力	võime; oskus	Ta on töös väga võimekas.	geta; hæfni	Hann er mjög hæfur í vinnunni.
年龄	vanus	On ebaviisakas niisama kellegi vanust küsida.	aldur	Það er ókurteisi að spyrja einhvern af handahófi um aldur.
弄	tegema; sassi ajama	Kutsikas ajas toa väga sassi.	gera; koma í ástand	Hvolpurinn setti herbergið í mikla óreiðu.
暖和	soe	Kevad on käes ja ilm läheb soojemaks.	hlýr; notalega hlýr	Vorið er komið og veðrið verður hlýrra.
偶尔	vahetevahel; mõnikord	Ma näen teda vahetevahel koolis.	stundum; öðru hverju	Ég sé hana stundum í skólanum.
排队	järjekorras seisma	Piletiostjad seisavad järjekorras.	standa í röð	Fólkið sem kaupir miða stendur í röð.
排列	paigutama; järjestama	Palun paiguta need kastid suurimast väikseimani.	raða; setja í röð	Vinsamlegast raðaðu þessum kössum frá stærsta til minnsta.
判断	otsus; hindama	Sinu hinnang on täiesti õige.	mat; dæma	Mat þitt er alveg rétt.
陪	saatma; kellegi juures olema	Kui ma olen kurb, oled sina alati mu kõrval.	fylgja; vera hjá	Þegar ég er leiður ertu alltaf mér við hlið.
批评	kritiseerima; kriitika	Õpetajad kritiseerivad mind harva.	gagnrýna; gagnrýni	Kennarar gagnrýna mig sjaldan.
皮肤	nahk	Ema pöörab naha kaitsmisele palju tähelepanu.	húð	Mamma leggur mikla áherslu á að vernda húðina.
脾气	iseloom; temperament	Tal on hea iseloom ja ta ei vihasta kunagi.	skap; geðslag	Hann er skapgóður og reiðist aldrei.
篇	artikkel; kirjatükk	Olen seda artiklit mitu korda lugenud.	grein; ritverk	Ég hef lesið þessa grein mörgum sinnum.
骗	valetama; petma	Ma ei valetanud sulle, ta tuli tõesti.	ljúga að; blekkja	Ég laug ekki að þér, hann kom í alvöru.
乒乓球	lauatennis	Kes tahab lauatennisevõistlusel osaleda?	borðtennis	Hver vill taka þátt í borðtenniskeppni?
平时	tavaliselt; harilikult	Ta teeb tavaliselt harva trenni.	venjulega; yfirleitt	Hún hreyfir sig yfirleitt sjaldan.
破	katki; lõhkuma	Vabandust, ma lõhkusin peegli ära.	brotinn; brjóta	Fyrirgefðu, ég braut spegilinn.
葡萄	viinamari	Viinamarjad maksavad viis jüaani poole kilo eest.	vínber	Vínberin kosta fimm júan fyrir hálft kíló.
普遍	levinud; üldine	See probleem on väga levinud.	algengur; útbreiddur	Þetta vandamál er mjög algengt.
普通话	mandariini keel; putonghua	Sa räägid mandariini keelt väga hästi.	mandarínska; putonghua	Þú talar mandarínsku mjög vel.
其次	teiseks; järgmiseks	Ohutus on esikohal ja kiirus teisel kohal.	í öðru lagi; næst	Öryggi kemur fyrst og hraði í öðru lagi.
其中	nende hulgas; neist	Meie klassis on kakskümmend õpilast, neist viis on välismaalt.	þar af; meðal þeirra	Það eru tuttugu nemendur í bekknum okkar, þar af fimm frá útlöndum.
气候	kliima	Kas suudad põhja kliimaga kohaneda?	loftslag	Geturðu aðlagast loftslaginu í norðri?
千万	kindlasti; mingil juhul ära	Ära mingil juhul unusta homset koosolekut.	alls ekki; endilega	Alls ekki gleyma fundinum á morgun.
签证	viisa	Lähen homme saatkonda viisat taotlema.	vegabréfsáritun	Ég fer í sendiráðið á morgun til að sækja um vegabréfsáritun.
敲	koputama; lööma	Keegi koputab uksele, mine vaata, kes tuli.	banka; slá	Einhver bankar á dyrnar, farðu að sjá hver kom.
桥	sild	Jõe kohal on väike sild.	brú	Það er lítil brú yfir ánni.
巧克力	šokolaad	Ma armastan šokolaadi kõige rohkem.	súkkulaði	Ég elska súkkulaði mest.
亲戚	sugulane	Enamik mu sugulasi elab Pekingis.	ættingi	Flestir ættingjar mínir búa í Peking.
轻	kerge	See kast on kerge.	léttur	Þessi kassi er léttur.
轻松	kerge; lõõgastunud	See töö ei ole tema jaoks kerge.	auðveldur; afslappaður	Þetta starf er ekki auðvelt fyrir hann.
情况	olukord; asjaolud	Olukord on palju muutunud.	aðstæður; staða	Aðstæðurnar hafa breyst mikið.
穷	vaene	Kuigi see vana mees on vaene, elab ta õnnelikult.	fátækur	Þótt gamli maðurinn sé fátækur lifir hann hamingjusamlega.
区别	erinevus; eristama	Kas nende kahe materjali vahel on mingi erinevus?	munur; greina	Er einhver munur á þessum tveimur efnum?
取	välja võtma; võtma	Lähen panka raha välja võtma.	taka; taka út	Ég fer í bankann til að taka út peninga.
全部	kõik; tervik	Muusika on minu jaoks kõik.	allt; heild	Tónlist er allt fyrir mér.
缺点	puudus; nõrk koht	Inimene ei tohiks võrrelda oma puudusi teiste eelistega.	galli; veikleiki	Maður ætti ekki að bera eigin galla saman við kosti annarra.
缺少	puuduma; puudu olema	Vaata, mis veel puudu on, ma lähen kohe ostma.	vanta; skorta	Athugaðu hvað vantar enn, ég fer strax að kaupa það.
却	aga; siiski	Mul on palju öelda, aga kui lähen närvi, ei suuda ma seda välja öelda.	en; þó	Ég hef margt að segja, en þegar ég verð stressaður get ég ekki sagt það.
确实	tõesti; tõepoolest	See meetod on tõesti hea.	sannarlega; virkilega	Þessi aðferð er sannarlega góð.
然而	siiski; aga	Kulutasin selle raamatu lugemisele palju aega, aga pole seda ikka veel lõpetanud.	hins vegar; þó	Ég eyddi miklum tíma í að lesa þessa bók, en hef samt ekki lokið henni.
热闹	elav; sagiv	Tänaval on väga elav.	líflegur; fjörugur	Gatan er mjög lífleg.
任何	iga; ükskõik milline	Ema mõistab mind paremini kui keegi teine.	hvaða sem er; hver sem er	Mamma skilur mig betur en nokkur annar.
任务	ülesanne	Ülesandest on tehtud kaheksakümmend protsenti.	verkefni	Áttatíu prósent af verkefninu eru lokið.
扔	viskama	Palun viska prügi prügikasti.	kasta; henda	Vinsamlegast hentu ruslinu í ruslatunnuna.
仍然	ikka veel; endiselt	Täna on ikka veel ilus ilm.	enn; samt	Það er enn gott veður í dag.
日记	päevik	Tütar on omandanud harjumuse iga päev päevikut kirjutada.	dagbók	Dóttirin hefur vanið sig á að skrifa dagbók á hverjum degi.
入口	sissepääs	Ootan sind hoone sissepääsu juures.	inngangur	Ég bíð eftir þér við innganginn að byggingunni.
散步	jalutama	Kutsikas käis mul jalutamise ajal kogu aeg järel.	fara í göngutúr	Hvolpurinn fylgdi mér allan tímann þegar ég var í göngutúr.
森林	mets	See mets on väga suur.	skógur	Þessi skógur er mjög stór.
沙发	diivan	Palun istu natuke diivanil, ma valan sulle tassi teed.	sófi	Vinsamlegast sestu í sófann í smá stund, ég ætla að hella upp á tebolla fyrir þig.
伤心	kurb olema; südant murdma	Pärast uudise kuulmist olin väga kurb.	vera leiður; særður	Eftir að hafa heyrt fréttirnar var ég mjög leiður.
商量	arutama; nõu pidama	Sa tulid just õigel ajal, arutame seda.	ræða; ráðfæra sig	Þú komst á réttum tíma, skulum ræða þetta.
稍微	natuke; veidi	Väike hooletus võib viia vigadeni.	svolítið; örlítið	Smá kæruleysi getur leitt til mistaka.
勺子	lusikas	Vabandust, ma pillasin lusika põrandale.	skeið	Fyrirgefðu, ég missti skeiðina á gólfið.
社会	ühiskond	Kõik tunnevad nende ühiskondlike probleemide pärast muret.	samfélag	Allir hafa miklar áhyggjur af þessum samfélagsvandamálum.
深	sügav	Meie vahel on sügav sõprus.	djúpur	Það er djúp vinátta á milli okkar.
申请	taotlema; avaldus	Taotlesin pangast krediitkaarti.	sækja um; umsókn	Ég sótti um kreditkort hjá bankanum.
甚至	isegi; koguni	Kõigil oli nii lõbus, et nad unustasid isegi aja.	jafnvel	Allir skemmtu sér svo vel að þeir gleymdu jafnvel tímanum.
生活	elu; elama	Elus tuleb alati ette muresid.	líf; lifa	Það koma alltaf einhver vandamál upp í lífinu.
生命	elu	Ta pidas kunsti oma elust tähtsamaks.	líf	Hann taldi list mikilvægari en eigið líf.
生意	äri; kauplemine	Tema äri kasvab üha suuremaks.	viðskipti	Fyrirtæki hans verður sífellt stærra.
省	provints	Ma olen pärit Shandongi provintsist.	hérað	Ég kem frá Shandong-héraði.
剩	järele jääma; alles olema	Alles on ainult kaks õuna.	vera eftir; standa eftir	Aðeins tvö epli eru eftir.
失败	ebaõnnestumine; läbi kukkuma	Kuigi olen kogenud palju ebaõnnestumisi, ei anna ma kunagi alla.	mistök; mistakast	Þótt ég hafi upplifað mörg mistök gefst ég aldrei upp.
失望	pettunud olema	Olen temas väga pettunud.	vonsvikinn; missa von	Ég er mjög vonsvikinn með hann.
师傅	meister; viisakas pöördumine	Vabandage, kuidas ma kinno saan?	meistari; virðulegt ávarp	Afsakið, hvernig kemst ég í kvikmyndahúsið?
十分	väga; äärmiselt	Ta teeb asju väga hoolikalt.	mjög; afar	Hún gerir hlutina mjög vandlega.
实际	tegelik; praktiline	Ta kasutas selle probleemi selgitamiseks praktilist näidet.	raunverulegur; hagnýtur	Hann notaði hagnýtt dæmi til að útskýra þetta vandamál.
实在	tõesti; tõepoolest	Ma olen tõesti liiga väsinud.	virkilega; sannarlega	Ég er virkilega of þreyttur.
使	põhjustama; tegema	Tema sõnad liigutasid mind väga.	valda; gera	Orð hans hrærðu mig mjög mikið.
使用	kasutama	Hiinlased kasutavad süües tavaliselt söögipulki.	nota	Kínverjar nota yfirleitt matarpinna þegar þeir borða.
世纪	sajand	Nüüd on kahekümne esimene sajand.	öld	Nú er tuttugasta og fyrsta öldin.
是否	kas	Ma pole veel päris kindel, kas ta saab tulla.	hvort	Ég er ekki alveg viss enn hvort hann getur komið.
适合	sobima	Rohelised riided ei sobi mulle eriti.	passa; henta	Græn föt henta mér ekki sérlega vel.
适应	kohanema; harjuma	Kas suudad põhja kliimaga kohaneda?	aðlagast; venjast	Geturðu aðlagast loftslaginu í norðri?
收	saama; vastu võtma	Sain sinu kirja kätte.	fá; taka á móti	Ég fékk bréfið þitt.
收入	sissetulek	Tema sissetulek on varasemast suurem.	tekjur	Tekjur hans eru hærri en áður.
收拾	korda tegema; pakkima	Ma pakin pagasit.	taka til; pakka	Ég er að pakka farangrinum.
首都	pealinn	Hiina pealinn on Peking.	höfuðborg	Höfuðborg Kína er Peking.
首先	kõigepealt; esiteks	Kõigepealt pead hästi puhkama, siis saad hästi töötada.	fyrst; fyrst og fremst	Fyrst þarftu að hvílast vel, síðan geturðu unnið vel.
受不了	ei talu; talumatu	Ilm on liiga palav, ma ei talu seda.	þola ekki; óbærilegt	Veðrið er of heitt, ég þoli það ekki.
受到	saama; osaks saama	Tema romaan võeti lugejate poolt hästi vastu.	fá; verða fyrir	Skáldsaga hans fékk góðar viðtökur hjá lesendum.
售货员	müüja	Töötan kaubanduskeskuses müüjana.	sölumaður; afgreiðslumaður	Ég vinn sem afgreiðslumaður í verslunarmiðstöð.
输	kaotama	Kaotasime selle mängu.	tapa	Við töpuðum þessum leik.
熟悉	tundma; tuttav olema	Tunnen neid kõiki hästi.	þekkja vel; kunnugur	Ég þekki þau öll mjög vel.
数量	kogus; arv	Registreerujate arv on suur.	magn; fjöldi	Fjöldi þeirra sem skrá sig er mikill.
数字	number; arv	Palun kirjuta numbrid selgelt.	tala; tölustafur	Vinsamlegast skrifaðu tölurnar skýrt.
帅	nägus; stiilne	Ta on täna väga stiilselt riides.	myndarlegur; flottur	Hann er mjög flott klæddur í dag.
顺便	möödaminnes; ühtlasi	Teel töölt koju ostsin möödaminnes natuke köögivilju.	í leiðinni; um leið	Á leiðinni heim úr vinnu keypti ég grænmeti í leiðinni.
顺利	sujuvalt; edukalt	Võistlus kulges väga sujuvalt.	vel; snurðulaust	Keppnin gekk mjög vel.
顺序	järjekord	Palun ära aja järjekorda sassi.	röð	Vinsamlegast ruglaðu ekki röðinni.
说明	selgitama; seletus	Ta selgitas kõigile selle asja põhjust.	útskýra; skýring	Hann útskýrði ástæðuna fyrir þessu fyrir öllum.
硕士	magistrikraad; magistrantuur	Õpin ülikoolis magistrantuuris.	meistaragráða; meistaranám	Ég er í meistaranámi í háskóla.
死	surema; surnud	See puu on juba surnud.	deyja; dauður	Þetta tré er þegar dautt.
塑料袋	kilekott	Keskkonna kaitsmiseks palun ära kasuta kilekotte.	plastpoki	Til að vernda umhverfið skaltu ekki nota plastpoka.
速度	kiirus	Ta jookseb tõesti kiiresti!	hraði	Hann hleypur mjög hratt!
酸	hapu	Ostetud viinamarjad on natuke hapud.	súr	Vínberin sem þú keyptir eru svolítið súr.
随便	vabalt; nagu soovid	Palun istuge kuhu soovite.	að vild; eins og þú vilt	Vinsamlegast sestu hvar sem þú vilt.
随着	koos; sedamööda	Majanduse arenguga on inimeste elu palju paranenud.	með; samhliða	Með þróun efnahagsins hefur líf fólks batnað mikið.
孙子	pojapoeg	Vanaisa armastab oma pojapoega väga.	sonarsonur	Afi elskar sonarson sinn mjög mikið.
所有	kõik	Kõik arvasid, et tema eksis.	allir; allt	Allir héldu að hann hefði rangt fyrir sér.
台	loendussõna masinate ja seadmete kohta	See arvuti osteti hiljuti.	mælieining fyrir vélar og tæki	Þessi tölva var keypt nýlega.
抬	tõstma; kandma	Nad kandsid koolilaua klassiruumi.	lyfta; bera	Þeir báru skólaborðið inn í kennslustofuna.
态度	suhtumine; hoiak	Teenindajal on klientide vastu väga hea suhtumine.	viðhorf; framkoma	Þjónustustarfsmaðurinn hefur mjög gott viðhorf til viðskiptavina.
弹钢琴	klaverit mängima	Hakkasin nelja-aastaselt klaverimängu õppima.	spila á píanó	Ég byrjaði að læra að spila á píanó þegar ég var fjögurra ára.
谈	rääkima; arutama	Tahan sinuga veel ühest asjast rääkida.	ræða; spjalla	Ég vil tala við þig um eitt annað mál.
汤	supp	Supp ei ole soolane, lisame veel natuke soola.	súpa	Súpan er ekki sölt, bætum við aðeins meira salti.
糖	suhkur; komm	Tahan kommi süüa.	sykur; sælgæti	Mig langar að borða sælgæti.
躺	lamama; pikali heitma	Ta jäi voodis magama.	liggja; leggjast	Hún sofnaði í rúminu.
趟	kord; käik	Käisin eelmisel kuul korra Pekingis.	ferð; skipti	Ég fór eina ferð til Peking í síðasta mánuði.
讨论	arutama; diskussioon	Peame koosoleku ja arutame seda.	ræða; umræða	Höldum fund til að ræða þetta.
讨厌	mitte sallima; tüütu	See ilm on tõesti tüütu.	mislíka; pirrandi	Þetta veður er virkilega pirrandi.
特点	eripära; tunnus	Selle restorani eripära on see, et toit on väga värske.	einkenni; sérkenni	Sérkenni þessa veitingastaðar er að maturinn er mjög ferskur.
提	tõstma; üles võtma	Palun võta see kott üles.	lyfta; taka upp	Vinsamlegast taktu þessa tösku upp.
提供	pakkuma; andma	Raamatukogu pakub kõigile vaikset lugemiskeskkonda.	veita; útvega	Bókasafnið veitir öllum rólegt lestrarumhverfi.
提前	enne tähtaega; ette	Me lõpetasime ülesande enne tähtaega.	á undan áætlun; fyrirfram	Við kláruðum verkefnið á undan áætlun.
提醒	meelde tuletama	Ma olen talle juba meelde tuletanud, aga ta unustas ikka.	minna á	Ég er búinn að minna hann á það, en hann gleymdi því samt.
填空	lünka täitma	See on lünktekstiga küsimus.	fylla í eyðu	Þetta er spurning þar sem á að fylla í eyðu.
条件	tingimus; kriteerium	Ta vastab väga hästi meie värbamistingimustele.	skilyrði; viðmið	Hún uppfyllir ráðningarskilyrði okkar mjög vel.
停	peatuma; seisma jääma	Auto jäi seisma.	stoppa; stöðvast	Bíllinn stoppaði.
挺	päris; üsna	See raamat on päris hea.	frekar; nokkuð	Þessi bók er frekar góð.
通过	läbima; läbi	Olen eksami juba ära teinud.	ná; fara í gegnum	Ég hef þegar náð prófinu.
通知	teavitama; teade	Palun teavita kõiki, et nad koosolekule tuleksid.	tilkynna; tilkynning	Vinsamlegast láttu alla vita að þeir komi á fundinn.
同情	kaasa tundma; kaastunne	Tunnen talle palju kaasa.	finna til með; samúð	Ég finn mikið til með honum.
同时	samal ajal	Ta kuulab muusikat ja teeb samal ajal kodutööd.	á sama tíma	Hann hlustar á tónlist á meðan hann gerir heimavinnuna.
推	lükkama	Mu auto on katki, kas sa saaksid aidata seda lükata?	ýta	Bíllinn minn er bilaður, gætirðu hjálpað mér að ýta honum?
