simplified	MS	example_MS
动机	motif	Polis sedang menyiasat motifnya
动静	bunyi gerak-geri	Tiada sedikit pun bunyi gerak-geri di dalam rumah
动力	dorongan	Minat ialah dorongan untuk belajar
动脉	arteri	Doktor memeriksa arterinya
动身	bertolak	Kami akan bertolak ke lapangan terbang awal pagi esok
动手	menggunakan kekerasan	Perkara belum dijelaskan, siapa pun jangan menggunakan kekerasan
动态	perkembangan	Sila sentiasa ikuti perkembangan projek
动员	mengerahkan	Sekolah mengerahkan pelajar menyertai aktiviti sukarelawan
栋	bangunan	Bangunan ini mempunyai dua puluh tingkat
兜	poket	Dia memasukkan kunci ke dalam poket kot
陡峭	curam	Jalan gunung ini sangat curam
斗争	berjuang	Mereka berjuang untuk melindungi alam sekitar
督促	mendesak	Pengurus mendesak semua orang menyiapkan tugas tepat pada masanya
毒品	dadah	Kastam merampas sekumpulan dadah
独裁	kediktatoran	Orang ramai menentang pemerintahan kediktatoran
堵塞	tersumbat	Sampah menyumbat saluran air
赌博	berjudi	Berjudi akan membawa akibat yang serius
杜绝	menghapuskan	Syarikat menuntut agar pembaziran dihapuskan
端	membawa	Dia membawa secawan teh panas masuk
端午节	Perayaan Perahu Naga	Pada Perayaan Perahu Naga kami makan zongzi
端正	membetulkan	Pelajar harus membetulkan sikap belajar
短促	pendek singkat	Dia mengeluarkan satu keluhan pendek singkat
断定	memastikan	Sekarang masih belum boleh memastikan siapa benar siapa salah
断绝	terputus	Selepas kemalangan, kampung itu terputus hubungan dengan dunia luar
堆积	bertimbun	Salji bertimbun di tepi jalan
兑现	menunaikan	Akhirnya dia menunaikan janjinya
对策	langkah balas	Menghadapi risiko, kita memerlukan langkah balas
对称	simetri	Kiri dan kanan bangunan ini sangat simetri
对付	menangani	Masalah ini tidak mudah ditangani
对抗	berhadapan	Kedua-dua pasukan akan berhadapan dalam perlawanan akhir
对立	bertentangan	Pendirian kedua-dua pihak sepenuhnya bertentangan
对联	kuplet	Pada Tahun Baru Cina mereka menampal kuplet di pintu
对应	sepadan	Setiap nombor sepadan dengan satu tempat duduk
对照	membandingkan	Sila bandingkan terjemahan dengan teks asal
队伍	perarakan	Perarakan berjalan perlahan ke hadapan
顿时	serta-merta	Apabila mendengar berita itu, dia serta-merta terpaku
哆嗦	menggigil	Cuaca terlalu sejuk, dia terus menggigil
多元化	kepelbagaian	Syarikat sedang mendorong kepelbagaian perniagaan
堕落	merosot akhlak	Dia tidak mahu membiarkan dirinya terus merosot akhlak
额外	tambahan	Perkhidmatan ini memerlukan bayaran tambahan
恶心	loya	Apabila terhidu bau itu, saya agak loya
恶化	menjadi lebih teruk	Jika tidak dirawat, keadaan penyakit mungkin menjadi lebih teruk
遏制	mengekang	Kerajaan mengambil langkah untuk mengekang pencemaran
恩怨	dendam	Perselisihan dan dendam antara dua syarikat itu sudah lama
而已	sahaja	Saya hanya bercakap secara santai sahaja
二氧化碳	karbon dioksida	Tumbuhan menyerap karbon dioksida
发布	melancarkan	Syarikat akan melancarkan produk baharu esok
发财	menjadi kaya	Dia berharap menjadi kaya melalui usaha
发呆	termenung	Dia duduk termenung di tepi tingkap
发动	menggerakkan	Sukarelawan menggerakkan penduduk membersihkan jalan
发觉	menyedari	Saya menyedari dia agak gementar hari ini
发射	melancarkan	Roket akan dilancarkan pada waktu malam
发誓	bersumpah	Dia bersumpah tidak akan berbohong lagi
发行	mengedarkan	Filem ini akan diedarkan bulan depan
发炎	meradang	Luka itu agak meradang
发扬	mengembangkan	Kita perlu mengembangkan semangat kerjasama pasukan
发育	perkembangan	Perkembangan tubuh kanak-kanak memerlukan nutrisi yang mencukupi
法人	badan perundangan	Syarikat ini ialah badan perundangan yang bebas
番	kata-kata ini	Kata-kata ini memberi saya banyak inspirasi
凡是	semua yang	Semua yang mendaftar mesti menyertai latihan
繁华	makmur meriah	Jalan ini dahulu sangat makmur meriah
繁忙	sibuk	Lapangan terbang sangat sibuk pada musim cuti
繁体字	aksara Cina tradisional	Di Taiwan aksara Cina tradisional sering digunakan
繁殖	membiak	Tumbuhan jenis ini mudah membiak
反驳	membantah	Dia menggunakan data untuk membantah pandangan itu
反常	luar biasa	Cuaca hari ini agak luar biasa
反感	tidak suka	Saya sangat tidak suka iklan seperti ini
反抗	menentang	Orang ramai mula menentang peraturan yang tidak adil
反馈	maklum balas	Pelanggan memberi maklum balas bahawa sistem sangat stabil
反面	bahagian belakang	Sila balikkan kertas ke bahagian belakang
反射	memantulkan	Cermin akan memantulkan cahaya
反思	merenung semula	Selepas gagal, dia merenung semula sebabnya dengan serius
反问	bertanya balik	Dia tidak menjawab, sebaliknya bertanya balik kepada saya
反之	sebaliknya	Harga terlalu tinggi akan mengurangkan permintaan, sebaliknya juga begitu
泛滥	melimpah	Hujan lebat menyebabkan air sungai melimpah
范畴	bidang	Masalah ini termasuk dalam bidang undang-undang
贩卖	menjual secara haram	Undang-undang melarang penjualan ubat palsu secara haram
方位	arah	Peta menandakan arah yang tepat
方言	dialek	Dia boleh memahami dialek tempatan
方圆	dalam lingkungan	Dalam lingkungan sepuluh kilometer tiada hospital
方针	garis panduan	Syarikat merumuskan garis panduan pembangunan baharu
防守	pertahanan	Pertahanan pasukan ini sangat stabil
防御	pertahanan	Tembok kota dahulu digunakan untuk pertahanan daripada musuh
防止	mencegah	Sila pakai tali pinggang keselamatan untuk mencegah kecederaan
防治	pencegahan dan rawatan	Doktor menerangkan kaedah pencegahan dan rawatan penyakit
纺织	tekstil	Bandar ini terkenal dengan industri tekstil
访问	menemu bual	Wartawan akan menemu bual penulis ini esok
放大	membesarkan	Sila besarkan gambar sedikit
放射	memancarkan	Bahan ini akan memancarkan haba
非法	haram	Transaksi haram akan dikenakan hukuman
飞禽走兽	burung dan haiwan liar	Di hutan hidup pelbagai burung dan haiwan liar
飞翔	terbang	Burung camar terbang di atas permukaan laut
飞跃	lompatan besar	Perkembangan teknologi mencapai lompatan besar
肥沃	subur	Tanah ini sangat subur
诽谤	memfitnah	Memfitnah orang lain perlu memikul tanggungjawab undang-undang
废除	memansuhkan	Peraturan lama ini sudah dimansuhkan
废寝忘食	lupa makan dan tidur	Demi penyelidikan, dia bekerja sampai lupa makan dan tidur
废墟	runtuhan	Selepas gempa bumi, tempat itu menjadi runtuhan
沸腾	mendidih	Air sudah mendidih
肺	paru-paru	Merokok akan merosakkan paru-paru
分辨	membezakan	Saya sukar membezakan dua warna ini
分寸	batas bergurau	Bergurau pun perlu memperhatikan batasnya
分红	dividen	Pemegang saham boleh menerima dividen pada akhir tahun
分解	menguraikan	Guru menguraikan masalah rumit menjadi beberapa langkah
分裂	berpecah	Percanggahan dalaman menyebabkan organisasi berpecah
分泌	merembes	Kelenjar jenis ini merembes hormon
分明	jelas	Fakta sudah sangat jelas
分歧	perbezaan pendapat	Kedua-dua pihak mempunyai perbezaan pendapat tentang harga
分散	menyebarkan	Sila sebarkan risiko ke dalam projek yang berbeza
吩咐	mengarahkan	Bos mengarahkan saya menyusun dokumen
坟墓	makam	Di lereng bukit ada sebuah makam lama
粉末	serbuk	Sila kisar tablet ubat menjadi serbuk
粉色	merah jambu	Dia membeli sehelai selendang merah jambu
粉碎	menghancurkan	Polis menghancurkan kumpulan jenayah ini
分量	berat makna	Kata-kata ini mempunyai berat makna yang besar
愤怒	kemarahan	Nada suaranya penuh kemarahan
丰满	padat berisi	Kandungan artikel ini masih belum cukup padat berisi
丰盛	mewah	Mereka menyediakan makan malam yang mewah di satu meja
丰收	hasil tuaian besar	Tahun ini petani menyambut hasil tuaian besar
封闭	ditutup	Sepanjang pembinaan, jalan ini akan ditutup
封建	feudal	Pemikiran feudal seperti ini sudah lama patut berubah
封锁	mengepung	Polis mengepung tempat kejadian
锋利	tajam	Pisau ini sangat tajam
风暴	ribut	Ribut tiba-tiba muncul di laut
风度	gaya anggun	Dia kelihatan sangat bergaya anggun di atas pentas
风光	pemandangan	Pemandangan alam di sini sangat indah
风气	suasana umum	Sekolah membentuk suasana umum belajar yang baik
风趣	lucu	Cara dia bercakap sangat lucu
风土人情	adat dan budaya tempatan	Perjalanan dapat memahami adat dan budaya tempatan
风味	cita rasa tempatan	Kedai ini mempunyai cita rasa tempatan yang kuat
逢	setiap kali	Setiap kali hujung minggu, taman itu sangat meriah
奉献	mengabdikan	Doktor mengabdikan banyak masa untuk pesakit
否决	menolak	Lembaga pengarah menolak cadangan ini
夫妇	pasangan suami isteri	Pasangan suami isteri ini mengusahakan sebuah kedai kecil
夫人	isteri	Tuan Wang dan isterinya menghadiri jamuan malam bersama
敷衍	sambil lewa	Dia hanya menjawab beberapa patah secara sambil lewa
俘虏	tawanan	Selepas perang tamat, tawanan dibebaskan
幅度	kadar perubahan	Kadar penurunan harga kali ini sangat besar
服从	mematuhi	Askar mesti mematuhi arahan
服气	menerima dengan rela	Dia kalah dalam pertandingan, tetapi dalam hati tidak menerimanya dengan rela
福利	kebajikan pekerja	Pekerja sangat mengambil berat tentang kebajikan syarikat
福气	tuah	Dapat bertemu guru yang baik ialah tuahnya
符号	simbol	Simbol ini mewakili bahaya
辐射	radiasi	Doktor mengingatkan dia menjauhi radiasi yang kuat
俯视	memandang dari atas	Dari puncak gunung boleh memandang seluruh kota dari atas
抚摸	mengusap	Dia mengusap kepala anak itu dengan lembut
抚养	membesarkan	Datuk dan nenek membantu membesarkan anak
腐败	rasuah	Kerajaan sedang membanteras rasuah
腐烂	reput	Buah akan reput jika dibiarkan terlalu lama
腐蚀	menghakis	Asid akan menghakis permukaan logam
腐朽	usang dan rosak	Mereka mengkritik sistem yang usang dan rosak
辅助	membantu	Alat ini boleh membantu pengajaran
副	timbalan	Dia dilantik sebagai timbalan pengurus
复活	dihidupkan semula	Perayaan tradisional ini sedang dihidupkan semula
复兴	kebangkitan semula	Kebangkitan semula budaya memerlukan usaha jangka panjang
富裕	makmur	Kampung ini kini semakin makmur
腹泻	cirit-birit	Dia mengalami cirit-birit yang teruk dan perlu berjumpa doktor
覆盖	menutupi	Salji tebal menutupi seluruh lembah
负担	beban	Sewa rumah menjadi beban utamanya
赋予	memberikan	Undang-undang memberikan hak asas kepada warganegara
附和	mengikut-ikut	Dia tiada pendirian sendiri dan hanya mengikut-ikut orang lain
附件	lampiran	Sila semak lampiran dalam e-mel
附属	berafiliasi	Hospital ini ialah hospital berafiliasi universiti
改良	menambah baik	Pakar sedang menambah baik varieti padi ini
盖章	mengecop meterai	Selepas kontrak ditandatangani, perlu mengecop meterai
钙	kalsium	Susu mengandungi banyak kalsium
尴尬	janggal	Dalam mesyuarat muncul suasana senyap yang janggal
干旱	kemarau	Kemarau jangka panjang menjejaskan tanaman
干扰	mengganggu	Bunyi bising akan mengganggu kerja saya
干涉	campur tangan	Ibu bapa tidak patut terlalu banyak campur tangan dalam pilihan anak
干预	mencampuri	Kerajaan segera mencampuri risiko pasaran
感慨	tersentuh perasaan	Melihat foto lama, dia sangat tersentuh perasaan
感染	menjangkiti	Virus ini mudah menjangkiti kanak-kanak
干劲	semangat bekerja	Semua orang bekerja dengan penuh semangat
扛	mengangkat	Dalam legenda, dia sangat kuat dan mampu mengangkat ding
纲领	garis panduan tindakan	Mesyuarat meluluskan garis panduan tindakan baharu
岗位	jawatan	Dia cepat menyesuaikan diri dengan jawatan baharu
港口	pelabuhan	Kapal barang berlabuh di pelabuhan
港湾	teluk pelabuhan	Perahu kecil masuk ke teluk pelabuhan yang tenang
杠杆	tuas	Pelaburan ini menggunakan tuas kewangan yang tinggi
高超	mahir	Teknik membaiki keretanya sangat mahir
高潮	kemuncak	Perlawanan mencapai kemuncak pada sepuluh minit terakhir
高峰	waktu puncak	Pukul lapan pagi ialah waktu puncak lalu lintas
高明	bijak	Kaedah ini memang sangat bijak
高尚	mulia	Semangat profesional doktor sangat mulia
高涨	meningkat tinggi	Semangat penonton terus meningkat tinggi
稿件	manuskrip	Editor sedang menyunting manuskrip
告辞	minta diri	Hari sudah lewat, kami minta diri dahulu
告诫	memberi amaran	Guru memberi amaran kepada pelajar supaya jangan menipu
割	terhiris	Dia tidak sengaja terhiris jarinya
搁	meletakkan	Sila letakkan dokumen di atas meja
歌颂	memuji	Puisi ini memuji para pekerja
疙瘩	benjolan	Ada satu benjolan pada lengannya
鸽子	merpati	Ada banyak merpati di dataran
格局	susun atur	Susun atur rumah ini sangat munasabah
格式	format	Sila isi borang mengikut format yang ditetapkan
隔阂	jarak hubungan	Salah faham memperdalam jarak hubungan antara mereka
隔离	mengasingkan	Pesakit perlu diasingkan buat sementara waktu
革命	revolusi	Revolusi ini mengubah nasib negara
个体	individu	Setiap individu mempunyai keperluan yang berbeza
各抒己见	menyatakan pendapat masing-masing	Dalam mesyuarat, semua orang menyatakan pendapat masing-masing
根深蒂固	berakar kuat	Pandangan seperti ini sudah berakar kuat
根源	punca	Punca kemiskinan sangat rumit
跟前	di hadapan	Anak itu berlari ke hadapan ibunya
跟随	mengikuti	Wartawan mengikuti pasukan masuk ke kawasan gunung
跟踪	mengekori	Polis sedang mengekori pergerakan suspek
更新	mengemas kini	Sistem akan mengemas kini secara automatik malam ini
更正	membetulkan	Akhbar membetulkan kesalahan pada hari berikutnya
耕地	membajak tanah	Petani sedang membajak tanah pada musim bunga
供不应求	permintaan melebihi bekalan	Ubat ini kini permintaannya melebihi bekalan
供给	bekalan	Bandar memerlukan bekalan air dan elektrik yang stabil
公安局	balai keselamatan awam	Dia pergi ke balai keselamatan awam untuk membuat laporan
公道	keadilan	Semua orang berharap mendapat penyelesaian yang adil
公告	pengumuman	Sekolah mengeluarkan pengumuman pemberhentian kelas
公关	perhubungan awam	Syarikat mengupah pasukan perhubungan awam profesional
公民	warganegara	Setiap warganegara harus mematuhi undang-undang
公然	secara terang-terangan	Dia secara terang-terangan melanggar peraturan pertandingan
公认	diiktiraf umum	Dia ialah guru cemerlang yang diiktiraf umum
公式	rumus	Sila catat rumus matematik ini
公务	urusan rasmi	Dia pergi bertugas selama tiga hari kerana urusan rasmi
公正	adil	Hakim mesti kekal adil
公证	pengesahan notari	Dokumen ini memerlukan pengesahan notari
功劳	jasa	Kejayaan kali ini ada jasa semua orang
功效	keberkesanan	Keberkesanan ubat ini masih perlu disahkan
宫殿	istana	Pelancong melawat istana lama
工艺品	barangan kraf	Barangan kraf ini dibuat dengan tangan
恭敬	dengan hormat	Dia menyapa orang tua itu dengan hormat
攻击	menyerang	Penggodam menyerang laman web syarikat
攻克	mengatasi	Pasukan penyelidik mengatasi masalah teknikal yang sukar
巩固	mengukuhkan	Ulang kaji boleh mengukuhkan pengetahuan yang dipelajari
共和国	republik	Republik ini ditubuhkan pada abad lalu
共计	berjumlah	Barang kumpulan ini berjumlah tiga ratus kotak
共鸣	resonansi	Lagu ini menimbulkan resonansi dalam hati ramai orang
勾结	bersekongkol	Mereka bersekongkol dengan orang luar untuk menipu dana
钩子	cangkuk	Di dinding tergantung beberapa cangkuk
构思	merangka idea	Penulis sedang merangka idea novel baharu
姑且	buat sementara	Rancangan ini buat sementara dicuba selama seminggu
孤独	kesepian	Selepas berpindah ke bandar baharu, dia berasa kesepian
孤立	secara terasing	Jangan melihat masalah ini secara terasing
辜负	mengecewakan	Saya tidak mahu mengecewakan harapan ibu bapa
古董	barangan antik	Datuk mengumpul beberapa barangan antik
古怪	pelik	Fikirannya agak pelik
股东	pemegang saham	Mesyuarat pemegang saham akan diadakan minggu depan
股份	saham	Dia memiliki saham syarikat
骨干	tulang belakang	Jurutera-jurutera ini ialah tulang belakang pasukan
鼓动	menghasut	Ada orang menghasut orang ramai untuk membantah
固然	memang	Kaedah ini memang mudah, tetapi risikonya tidak kecil
固体	pepejal	Ais ialah bentuk pepejal air
固有	sedia ada	Setiap budaya mempunyai ciri sedia ada
固执	degil	Dia terlalu degil dan tidak mahu mendengar nasihat
故乡	kampung halaman	Bertahun-tahun kemudian, dia kembali ke kampung halaman
故障	kerosakan	Lif mengalami kerosakan dan buat sementara tidak digunakan
雇佣	mengupah	Syarikat memutuskan untuk mengupah lebih ramai kakitangan teknikal
顾虑	kebimbangan	Jika kamu ada kebimbangan, boleh terus katakan
顾问	penasihat	Kami mengupah seorang penasihat undang-undang
拐杖	tongkat	Orang tua sering membawa tongkat apabila keluar
关怀	keprihatinan	Guru memberi banyak keprihatinan kepada pelajar
关照	menjaga	Sila jaga anak itu dengan baik sepanjang perjalanan
官方	rasmi	Berita rasmi akan diumumkan esok
观光	bersiar-siar	Pelancong menaiki bot untuk bersiar-siar
管辖	mentadbir	Kawasan ini ditadbir oleh kerajaan bandar
惯例	kebiasaan	Sebelum mesyuarat bermula, memperkenalkan tetamu ialah kebiasaan
灌溉	mengairi	Petani menggunakan air sungai untuk mengairi sawah
罐	balang	Di atas meja ada sebalang daun teh
贯彻	melaksanakan	Syarikat perlu melaksanakan standard keselamatan baharu
光彩	seri	Pakaian ini membuat dia kelihatan berseri
光辉	kegemilangan	Pencapaiannya meninggalkan satu halaman penuh kegemilangan
光芒	cahaya	Cahaya matahari menerangi lembah
光荣	mulia	Berkhidmat untuk negara ialah perkara yang mulia
广阔	luas	Padang rumput terbentang tanpa hujung dan sangat luas
归根到底	pada akhirnya	Pada akhirnya, masalahnya terletak pada pengurusan
归还	memulangkan	Sila pulangkan buku tepat pada masanya
规范	norma	Sekolah menetapkan norma untuk mengurus makmal
规格	spesifikasi	Spesifikasi kumpulan komponen ini tidak seragam
规划	perancangan	Perancangan bandar perlu mempertimbangkan lalu lintas
规章	peraturan	Pekerja mesti mematuhi peraturan syarikat
轨道	landasan	Keretapi bergerak di sepanjang landasan
贵族	golongan bangsawan	Ladang ini dahulu milik golongan bangsawan
跪	berlutut	Dia berlutut di hadapan patung dewa
棍棒	kayu pemukul	Polis merampas kayu pemukul di tempat kejadian
国防	pertahanan negara	Pembangunan pertahanan negara memerlukan pelaburan jangka panjang
国务院	Majlis Negara	Majlis Negara mengeluarkan notis baharu
果断	tegas	Pemimpin membuat keputusan dengan tegas
过度	berlebihan	Penggunaan telefon bimbit secara berlebihan akan menjejaskan tidur
过渡	peralihan	Syarikat sedang berada dalam tahap peralihan transformasi
过奖	terlalu memuji	Kamu terlalu memuji, saya masih perlu belajar
过滤	menapis	Peralatan ini boleh menapis kekotoran
过失	kecuaian	Kemalangan ini disebabkan oleh kecuaian manusia
过问	campur tangan	Pengurus jarang campur tangan dalam perkara kecil ini
过瘾	memuaskan	Menonton perlawanan ini benar-benar memuaskan
过于	terlalu	Rancangan ini terlalu rumit
嗨	hai	Hai, kenapa kamu juga datang
海拔	ketinggian dari aras laut	Kampung ini mempunyai ketinggian dari aras laut yang tinggi
海滨	tepi laut	Mereka menghabiskan hujung minggu di tepi laut
含糊	kabur	Jawapannya sangat kabur
含义	makna	Perkataan ini mempunyai makna khusus
寒暄	berbasa-basi	Selepas bertemu, mereka berbasa-basi beberapa patah dahulu
罕见	jarang berlaku	Penyakit jenis ini sangat jarang berlaku
捍卫	mempertahankan	Peguam berusaha mempertahankan hak pihak terlibat
航空	penerbangan	Syarikat penerbangan membatalkan penerbangan
航天	angkasa lepas	Bidang angkasa lepas China berkembang dengan cepat
航行	belayar	Kapal berlayar di laut
行列	barisan	Dia menyertai barisan sukarelawan
毫米	milimeter	Kaca ini tebalnya lima milimeter
毫无	tiada langsung	Penjelasannya tiada asas langsung
豪迈	gagah berani	Suara nyanyiannya gagah berani dan bertenaga
号召	menyeru	Kerajaan menyeru semua orang menjimatkan air
耗费	menghabiskan	Projek ini menghabiskan dana yang besar
呵	mengherdik	Ayah mengherdik sekali, lalu anak itu segera berhenti
合并	bergabung	Dua syarikat itu merancang untuk bergabung tahun depan
合成	disintesis	Bahan ini boleh disintesis secara buatan
合伙	berkongsi usaha	Mereka berkongsi usaha membuka sebuah restoran
合算	berbaloi	Naik bas lebih berbaloi daripada menaiki teksi
和蔼	mesra	Doktor ini bercakap dengan sangat mesra
和解	berdamai	Kedua-dua pihak akhirnya mencapai perdamaian
和睦	harmoni	Jiran-jiran bergaul dengan sangat harmoni
和气	ramah	Bos melayan orang dengan sangat ramah
和谐	harmoni	Muzik menjadikan suasana lebih harmoni
嘿	hei	Hei, kamu dengar tak
痕迹	jejak	Di tanah tertinggal jejak roda
狠心	sampai hati	Dia sampai hati menolak permintaan kawannya
恨不得	teringin sangat	Saya teringin sangat pulang ke rumah untuk berehat sekarang
哼	mendengus	Dia mendengus tidak puas hati
横	melintang	Sila lukis satu garis melintang di atas kertas
哄	riuh ketawa	Semua orang riuh ketawa serentak
烘	membakar	Roti sedang dibakar di dalam ketuhar
轰动	menggemparkan	Berita ini menggemparkan seluruh negara
宏观	makro	Kita perlu menganalisis ekonomi dari sudut makro
宏伟	megah	Reka bentuk jambatan ini sangat megah
洪水	banjir	Banjir menghanyutkan beberapa jambatan
喉咙	tekak	Dia bercakap terlalu banyak sehingga tekaknya agak sakit
吼	meraung	Dia meraung kuat ke arah jauh
候选	calon	Dia calon wakil tahun ini
后代	generasi akan datang	Kita perlu melindungi alam sekitar untuk generasi akan datang
后顾之忧	kebimbangan masa depan	Pendapatan yang stabil membuat dia tiada kebimbangan masa depan
后勤	logistik	Jabatan logistik bertanggungjawab atas bekalan bahan
呼唤	memanggil	Ibu memanggil anak di pintu
呼啸	menderu	Angin sejuk menderu di luar tingkap
呼吁	menyeru	Pakar menyeru semua orang mengurangkan pembaziran
忽略	mengabaikan	Sila jangan mengabaikan butiran ini
湖泊	tasik	Kawasan ini mempunyai banyak tasik semula jadi
胡乱	sembarangan	Jangan letakkan barang sembarangan di atas lantai
胡须	janggut	Janggutnya sudah menjadi putih
花瓣	kelopak bunga	Selepas hujan, kelopak bunga gugur memenuhi tanah
花蕾	putik bunga	Pada musim bunga, putik bunga tumbuh pada dahan
华丽	indah mewah	Pakaian di atas pentas sangat indah mewah
华侨	orang Cina seberang laut	Ramai orang Cina seberang laut pulang ke kampung untuk melabur
划分	membahagikan	Guru membahagikan pelajar kepada empat kumpulan
化肥	baja kimia	Petani membubuh baja kimia pada tanaman
化石	fosil	Muzium mempamerkan fosil dinosaur
化验	ujian makmal	Doktor meminta dia menjalani ujian darah di makmal
化妆	bersolek	Dia sedang bersolek sebelum naik pentas
画蛇添足	menambah yang tidak perlu	Menambah penjelasan lagi sebaliknya menjadi tindakan menambah yang tidak perlu
话筒	mikrofon	Pengacara menyerahkan mikrofon kepada penonton
欢乐	kegembiraan	Dataran pada hari perayaan penuh kegembiraan
环节	bahagian	Setiap bahagian latihan sangat penting
还原	memulihkan	Sila pulihkan tetapan kepada keadaan lalai
缓和	mereda	Hubungan kedua-dua pihak beransur-ansur mereda
患者	pesakit	Doktor sedang bertanya keadaan pesakit
荒凉	tandus	Tanah ini kelihatan sangat tandus
荒谬	mengarut	Penjelasan ini kedengaran sangat mengarut
荒唐	tidak masuk akal	Keputusannya terlalu tidak masuk akal
皇帝	maharaja	Maharaja tinggal di istana yang megah
皇后	permaisuri	Permaisuri menghadiri perayaan itu
黄昏	senja	Pada waktu senja, lampu jalan menyala
恍然大悟	tiba-tiba faham	Selepas mendengar penjelasan, dia tiba-tiba faham
晃	berkelebat	Sekelip mata di depan mata, dia sudah hilang
挥霍	membazir	Dia tidak patut membazir wang ibu bapanya
辉煌	gemilang	Bandar ini mempunyai sejarah yang gemilang
回报	ganjaran	Kerja keras akhirnya akan ada ganjaran
回避	mengelak	Dia terus mengelak masalah ini
回顾	mengimbas kembali	Pada akhir mesyuarat, mereka mengimbas kembali kerja sepanjang tahun
回收	mengitar semula	Kawasan perumahan mula mengitar semula bateri lama
悔恨	penyesalan	Dia berasa penyesalan atas kesalahan masa lalu
毁灭	memusnahkan	Perang hampir memusnahkan bandar ini
会晤	bertemu	Pemimpin dua negara akan bertemu esok
汇报	melaporkan	Dia melaporkan kemajuan kepada pengurus
贿赂	rasuah	Pegawai disiasat kerana rasuah
昏迷	koma	Pesakit masih dalam keadaan koma
荤	makanan berdaging	Hidangan ini makanan berdaging dan tidak sesuai untuk vegetarian
浑身	seluruh badan	Selepas berlari, seluruh badannya berpeluh
混合	mencampurkan	Sila campurkan dua bahan itu hingga sekata
混乱	kacau-bilau	Tempat kejadian pernah sangat kacau-bilau
混淆	mengelirukan	Jangan mengelirukan dua konsep ini
混浊	keruh	Selepas hujan, air sungai menjadi keruh
活该	padan muka	Dia tidak mendengar nasihat, gagal pun padan muka
活力	daya hidup	Bandar ini penuh daya hidup
火箭	roket	Roket berjaya memasuki orbit yang ditetapkan
火焰	api	Angin meniup api menjadi lebih tinggi
火药	serbuk letupan	Serbuk letupan mengubah cara perang zaman kuno
货币	mata wang	Dasar mata wang mempengaruhi perkembangan ekonomi
基地	pangkalan	Tempat ini pernah menjadi pangkalan latihan penting
基金	dana	Sekolah menubuhkan dana biasiswa
基因	gen	Saintis sedang mengkaji gen ini
机动	mobil	Pasukan ini mengekalkan tahap mobil yang tinggi
机构	organisasi	Organisasi ini bertanggungjawab atas pemeriksaan kualiti
机灵	cerdik	Kanak-kanak ini sangat cerdik
机密	rahsia	Maklumat ini tergolong sebagai rahsia
机械	jentera	Kilang memperkenalkan jentera baharu
机遇	peluang	Orang muda perlu merebut peluang
机智	cekatan bijak	Jawapannya sangat cekatan bijak
激发	membangkitkan	Guru membangkitkan minat pelajar
激励	mendorong	Kejayaan kali ini mendorong seluruh pasukan
激情	semangat berkobar	Dia penuh semangat berkobar ketika berucap
讥笑	mengejek	Jangan mengejek kesalahan orang lain
饥饿	kelaparan	Kelaparan yang lama akan menjejaskan kesihatan
即便	walaupun	Walaupun hujan, kami tetap bertolak tepat pada masanya
即将	akan segera	Mesyuarat akan segera bermula
及早	seawal mungkin	Jika menemui masalah, perlu menanganinya seawal mungkin
吉祥	bertuah	Warna merah di China sering melambangkan tuah
嫉妒	cemburu	Dia tidak patut cemburu akan kejayaan rakan sekerja
急功近利	mengejar hasil segera	Membuat penyelidikan tidak boleh mengejar hasil segera
急剧	mendadak	Jualan menurun secara mendadak
急切	tidak sabar	Dia menunggu berita dengan tidak sabar
急于求成	tergesa-gesa mahukan hasil	Belajar bahasa tidak boleh tergesa-gesa mahukan hasil
急躁	gopoh	Jangan gopoh apabila menghadapi kesukaran
极端	ekstrem	Cuaca ekstrem seperti ini semakin biasa
极限	had	Latihan kali ini mencabar had dirinya
疾病	penyakit	Tabiat baik dapat mencegah penyakit
籍贯	tempat asal	Dalam borang perlu mengisi tempat asal
级别	tahap	Pertandingan ini dibahagikan kepada tiga tahap
集团	kumpulan	Kumpulan ini mempunyai cawangan di luar negara
给予	memberikan	Sekolah memberikan bantuan kepada pelajar miskin
季军	tempat ketiga	Dia mendapat tempat ketiga dalam pertandingan
季度	suku tahun	Syarikat mengeluarkan laporan kewangan setiap suku tahun
寂静	sunyi	Lembah pada waktu malam sangat sunyi
寄托	menaruh	Dia menaruh harapan pada anaknya
忌讳	pantang	Orang tempatan pantang bercakap tentang perkara ini di meja makan
技巧	kemahiran	Menguasai kemahiran boleh meningkatkan kecekapan
纪要	minit mesyuarat	Setiausaha menyusun minit mesyuarat
继承	mewarisi	Dia mewarisi kerjaya ayahnya
计较	berkira-kira	Jangan berkira-kira kerana perkara kecil ini
记性	daya ingatan	Daya ingatannya sangat baik
记载	mencatat	Buku sejarah mencatat perang ini
迹象	tanda	Pada masa ini tiada tanda keadaan membaik
佳肴	hidangan enak	Meja penuh dengan hidangan enak
加工	memproses	Bahan mentah ini perlu diproses lagi
加剧	bertambah buruk	Percanggahan sedang bertambah buruk
夹杂	bercampur	Bunyi hujan bercampur dengan bunyi guruh
家常	masakan rumah	Saya suka makan masakan rumah
家伙	orang itu	Orang itu selalu lewat
家属	ahli keluarga	Doktor memaklumkan ahli keluarga pesakit
家喻户晓	diketahui setiap keluarga	Cerita ini diketahui setiap keluarga
坚定	teguh	Sikapnya sangat teguh
