simplified	KN	example_KN
改正	ಸರಿಪಡಿಸುವುದು; ತಿದ್ದುಪಡಿ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ತಪ್ಪುಗಳನ್ನು ಸಮಯಕ್ಕೆ ಸರಿಯಾಗಿ ಸರಿಪಡಿಸಿ.
概括	ಸಂಕ್ಷೇಪಿಸುವುದು; ಸಾರಾಂಶ ಹೇಳುವುದು	ದಯವಿಟ್ಟು ಲೇಖನದ ವಿಷಯವನ್ನು ಸಂಕ್ಷೇಪಿಸಿ.
概念	ಕಲ್ಪನೆ; ಪರಿಕಲ್ಪನೆ	ಈ ಕಲ್ಪನೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು ತುಂಬಾ ಸುಲಭವಲ್ಲ.
盖	ಮುಚ್ಚಳ; ಮುಚ್ಚುವುದು	ದಯವಿಟ್ಟು ಕಪ್ ಅನ್ನು ಸರಿಯಾಗಿ ಮುಚ್ಚಿ.
干脆	ಸರಳವಾಗಿ; ನೇರವಾಗಿ	ಇಂದು ಹೋಗದೇ ಇರುವುದೇ ಒಳ್ಳೆಯದು.
干燥	ಒಣ; ಒಣಗಿರುವ	ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಚಳಿಗಾಲ ತುಂಬಾ ಒಣವಾಗಿರುತ್ತದೆ.
感激	ಕೃತಜ್ಞತೆ; ಕೃತಜ್ಞನಾಗಿರುವುದು	ನಿಮ್ಮ ಸಹಾಯಕ್ಕೆ ನಾನು ತುಂಬಾ ಕೃತಜ್ಞನಾಗಿದ್ದೇನೆ.
感受	ಅನುಭವ; ಭಾವನೆ	ನಿಮ್ಮ ಭಾವನೆಗಳನ್ನು ನಾನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬಲ್ಲೆ.
感想	ಅನಿಸಿಕೆ; ವಿಚಾರ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಅನಿಸಿಕೆಗಳನ್ನು ಹೇಳಿ.
赶紧	ಬೇಗನೆ; ತಕ್ಷಣ	ಸಮಯವಾಗುತ್ತಿದೆ, ಬೇಗನೆ ಹೊರಡಿ.
赶快	ಬೇಗ; ತಕ್ಷಣ	ಬಾಗಿಲನ್ನು ಬೇಗ ಮುಚ್ಚಿ.
干活儿	ಕೆಲಸ ಮಾಡುವುದು; ಕೈಕೆಲಸ ಮಾಡುವುದು	ಅವನು ಅಂಗಳದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾನೆ.
钢铁	ಉಕ್ಕು	ಈ ಸೇತುವೆ ಉಕ್ಕಿನಿಂದ ಮಾಡಲಾಗಿದೆ.
高档	ಉನ್ನತ ದರ್ಜೆಯ; ಐಷಾರಾಮಿ	ಇದು ಉನ್ನತ ದರ್ಜೆಯ ಹೋಟೆಲ್.
高级	ಮುನ್ನಡೆದ; ಉನ್ನತ ಮಟ್ಟದ	ಅವಳು ಉನ್ನತ ಮಟ್ಟದ ಚೀನಿ ತರಗತಿಗೆ ಸೇರಿದ್ದಾಳೆ.
搞	ಮಾಡುವುದು; ಆಯೋಜಿಸುವುದು	ನೀವು ಯಾವ ರೀತಿಯ ಕಾರ್ಯಕ್ರಮವನ್ನು ಆಯೋಜಿಸುತ್ತಿದ್ದೀರಿ?
告别	ವಿದಾಯ ಹೇಳುವುದು	ನಾವು ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಸ್ನೇಹಿತನಿಗೆ ವಿದಾಯ ಹೇಳಿದೆವು.
格外	ವಿಶೇಷವಾಗಿ; ತುಂಬಾ	ಇಂದು ಆಕಾಶ ವಿಶೇಷವಾಗಿ ನೀಲಿಯಾಗಿದೆ.
隔壁	ಪಕ್ಕದ ಮನೆ; ಪಕ್ಕದ	ಪಕ್ಕದ ಮನೆಯಲ್ಲಿ ಒಬ್ಬ ಶಿಕ್ಷಕ ವಾಸಿಸುತ್ತಾರೆ.
个别	ಕೆಲವು; ಪ್ರತ್ಯೇಕ	ಕೆಲವು ವಿದ್ಯಾರ್ಥಿಗಳು ಇನ್ನೂ ಗೃಹಪಾಠವನ್ನು ಸಲ್ಲಿಸಿಲ್ಲ.
个人	ವೈಯಕ್ತಿಕ; ವ್ಯಕ್ತಿ	ಇದು ನನ್ನ ವೈಯಕ್ತಿಕ ಅಭಿಪ್ರಾಯ.
个性	ವೈಯಕ್ತಿಕತೆ; ಸ್ವಭಾವ	ಅವಳಿಗೆ ತುಂಬಾ ವೈಯಕ್ತಿಕತೆ ಇದೆ.
各自	ತಮ್ಮ ತಮ್ಮ; ಪ್ರತ್ಯೇಕವಾಗಿ	ಎಲ್ಲರೂ ತಮ್ಮ ತಮ್ಮ ಕೆಲಸವನ್ನು ಪೂರ್ಣಗೊಳಿಸುತ್ತಾರೆ.
根	ಬೇರು; ಉದ್ದವಾದ ವಸ್ತುವಿಗೆ ಎಣಿಕೆಪದ	ಮೇಜಿನ ಕೆಳಗೆ ಒಂದು ತಂತಿ ಇದೆ.
根本	ಮೂಲಭೂತ; ಅಷ್ಟೇನೂ ಇಲ್ಲ	ಈ ಸಮಸ್ಯೆ ಅಷ್ಟೇನೂ ಕಷ್ಟವಲ್ಲ.
公布	ಪ್ರಕಟಿಸುವುದು; ಬಹಿರಂಗಪಡಿಸುವುದು	ಶಾಲೆ ಪರೀಕ್ಷಾ ಫಲಿತಾಂಶಗಳನ್ನು ಪ್ರಕಟಿಸಿತು.
公开	ಸಾರ್ವಜನಿಕ; ಬಹಿರಂಗ	ಈ ಸಭೆ ಸಾರ್ವಜನಿಕವಾಗಿದೆ.
公平	ನ್ಯಾಯಸಮ್ಮತ; ಸಮನ್ಯಾಯದ	ಸ್ಪರ್ಧೆ ನ್ಯಾಯಸಮ್ಮತವಾಗಿರಬೇಕು.
公寓	ಅಪಾರ್ಟ್‌ಮೆಂಟ್	ಅವಳು ಒಂದು ಸಣ್ಣ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಬಾಡಿಗೆಗೆ ತೆಗೆದುಕೊಂಡಳು.
公元	ಕ್ರಿಸ್ತ ಶಕ	ಈ ವರ್ಷ ಕ್ರಿಸ್ತ ಶಕ ೨೦೨೬.
公主	ರಾಜಕುಮಾರಿ	ಆ ಚಿಕ್ಕ ಹುಡುಗಿಗೆ ರಾಜಕುಮಾರಿಯ ಕಥೆಗಳು ಇಷ್ಟ.
功能	ಕಾರ್ಯ; ಸಾಮರ್ಥ್ಯ	ಈ ಸಾಫ್ಟ್‌ವೇರ್‌ಗೆ ಅನೇಕ ಕಾರ್ಯಗಳಿವೆ.
工厂	ಕಾರ್ಖಾನೆ	ಈ ಕಾರ್ಖಾನೆ ಕಾರುಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
工程师	ಇಂಜಿನಿಯರ್	ನನ್ನ ಅಣ್ಣ ಇಂಜಿನಿಯರ್.
工具	ಉಪಕರಣ	ಸೈಕಲ್ ಸರಿಪಡಿಸಲು ಉಪಕರಣಗಳು ಬೇಕು.
工人	ಕಾರ್ಮಿಕ	ಕಾರ್ಮಿಕರು ರಸ್ತೆಯನ್ನು ಸರಿಪಡಿಸುತ್ತಿದ್ದಾರೆ.
工业	ಉದ್ಯಮ; ಕೈಗಾರಿಕೆ	ಈ ನಗರ ಮುಖ್ಯವಾಗಿ ಕೈಗಾರಿಕೆಯನ್ನು ಆಧರಿಸಿದೆ.
恭喜	ಅಭಿನಂದನೆಗಳು	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣರಾದಕ್ಕೆ ಅಭಿನಂದನೆಗಳು.
贡献	ಕೊಡುಗೆ ನೀಡುವುದು; ಕೊಡುಗೆ	ಅವನು ಕಂಪನಿಗೆ ಕೊಡುಗೆ ನೀಡಿದನು.
沟通	ಸಂವಹನ ಮಾಡುವುದು	ಉತ್ತಮ ಸಂವಹನ ಬಹಳ ಮುಖ್ಯ.
构成	ರೂಪಿಸುವುದು; ರಚಿಸುವುದು	ಈ ಭಾಗಗಳು ಒಟ್ಟಾಗಿ ಒಂದು ಸಮಗ್ರವನ್ನು ರೂಪಿಸುತ್ತವೆ.
姑姑	ತಂದೆಯ ಸಹೋದರಿ; ಅತ್ತೆ	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾನು ಅತ್ತೆಯನ್ನು ನೋಡಲು ಹೋಗುತ್ತಿದ್ದೇನೆ.
姑娘	ಯುವತಿ; ಹುಡುಗಿ	ಆ ಯುವತಿ ತುಂಬಾ ಸ್ನೇಹಪರಳು.
古代	ಪ್ರಾಚೀನ ಕಾಲ	ಪ್ರಾಚೀನ ಕಾಲದಲ್ಲಿ ಮೊಬೈಲ್ ಫೋನ್‌ಗಳು ಇರಲಿಲ್ಲ.
古典	ಶಾಸ್ತ್ರೀಯ	ನನಗೆ ಶಾಸ್ತ್ರೀಯ ಸಂಗೀತ ಇಷ್ಟ.
股票	ಷೇರು	ಅವನು ಕೆಲವು ಷೇರುಗಳನ್ನು ಕೊಂಡನು.
骨头	ಎಲುಬು	ಈ ಎಲುಬು ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿದೆ.
鼓舞	ಉತ್ಸಾಹ ತುಂಬುವುದು; ಪ್ರೇರಣೆ	ಈ ಸುದ್ದಿ ತುಂಬಾ ಪ್ರೇರಣಾದಾಯಕವಾಗಿದೆ.
鼓掌	ಚಪ್ಪಾಳೆ ತಟ್ಟುವುದು	ಪ್ರೇಕ್ಷಕರು ನಟರಿಗೆ ಚಪ್ಪಾಳೆ ತಟ್ಟಿದರು.
固定	ನಿಶ್ಚಿತ; ಸ್ಥಿರ	ನನಗೆ ನಿಶ್ಚಿತ ಕೆಲಸದ ಸಮಯವಿದೆ.
挂号	ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ನೋಂದಣಿ ಮಾಡುವುದು	ವೈದ್ಯರನ್ನು ನೋಡಲು ಮೊದಲು ನೋಂದಣಿ ಮಾಡಬೇಕು.
乖	ಒಳ್ಳೆಯ ವರ್ತನೆಯ; ವಿಧೇಯ	ಈ ಮಗು ತುಂಬಾ ವಿಧೇಯವಾಗಿದೆ.
拐弯	ಮೂಲೆ ತಿರುಗುವುದು	ಮುಂದಿನ ಸಂಧಿಯಲ್ಲಿ ಬಲಕ್ಕೆ ತಿರುಗಿ.
怪不得	ಅದಕ್ಕೇ; ಆಶ್ಚರ್ಯವಿಲ್ಲ	ಅದಕ್ಕೇ ನೀನು ಇಷ್ಟು ದಣಿದಿದ್ದೀಯ.
关闭	ಮುಚ್ಚುವುದು; ಆರಿಸುವುದು	ಹೊರಡುವ ಮೊದಲು ದಯವಿಟ್ಟು ಕಂಪ್ಯೂಟರ್ ಅನ್ನು ಆರಿಸಿ.
官	ಅಧಿಕಾರಿ	ಅವನು ಯುವ ಅಧಿಕಾರಿ.
观察	ಗಮನಿಸುವುದು; ವೀಕ್ಷಿಸುವುದು	ವೈದ್ಯರು ರೋಗಿಯ ಸ್ಥಿತಿಯನ್ನು ಗಮನಿಸುತ್ತಿದ್ದಾರೆ.
观点	ದೃಷ್ಟಿಕೋನ; ಅಭಿಪ್ರಾಯ	ನಾನು ನಿಮ್ಮ ದೃಷ್ಟಿಕೋನಕ್ಕೆ ಒಪ್ಪುತ್ತೇನೆ.
观念	ಆಲೋಚನೆ; ಕಲ್ಪನೆ	ಯುವಕರ ಆಲೋಚನೆಗಳು ಬದಲಾಗುತ್ತಿವೆ.
管子	ಪೈಪ್; ಕೊಳವೆ	ಈ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರಿಕೆಯಾಗುತ್ತಿದೆ.
冠军	ಚಾಂಪಿಯನ್; ವಿಜೇತ	ಅವಳು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಚಾಂಪಿಯನ್ ಆಯಿತು.
光滑	ನಯವಾದ; ಮೃದುವಾದ	ಈ ಮೇಜಿನ ಮೇಲ್ಮೈ ತುಂಬಾ ನಯವಾಗಿದೆ.
光临	ಸ್ವಾಗತ; ಆಗಮಿಸುವುದು	ಮುಂದಿನ ಬಾರಿ ಮತ್ತೆ ಬರಲು ನಿಮಗೆ ಸ್ವಾಗತ.
光明	ಬೆಳಕು; ಪ್ರಕಾಶಮಾನ	ಭವಿಷ್ಯ ಪ್ರಕಾಶಮಾನವಾಗಿದೆ.
光盘	ಡಿಸ್ಕ್; ಸಿಡಿ	ದಯವಿಟ್ಟು ಸಾಮಗ್ರಿಗಳನ್ನು ಡಿಸ್ಕ್‌ನಲ್ಲಿ ಉಳಿಸಿ.
广场	ಚೌಕ; ಸಾರ್ವಜನಿಕ ಮೈದಾನ	ಚೌಕದಲ್ಲಿ ಅನೇಕ ಜನರಿದ್ದಾರೆ.
广大	ವಿಶಾಲ; ಬಹುಸಂಖ್ಯೆಯ	ಈ ಸುದ್ದಿಯನ್ನು ಬಹುಸಂಖ್ಯೆಯ ವಿದ್ಯಾರ್ಥಿಗಳು ಸ್ವಾಗತಿಸಿದರು.
广泛	ವ್ಯಾಪಕ; ವಿಶಾಲ ವ್ಯಾಪ್ತಿಯ	ಈ ಪುಸ್ತಕಕ್ಕೆ ವ್ಯಾಪಕ ಪ್ರಭಾವವಿದೆ.
归纳	ಸಾರಾಂಶ ಮಾಡುವುದು; ಒಟ್ಟುಗೂಡಿಸುವುದು	ಶಿಕ್ಷಕರು ಮುಖ್ಯ ಅಂಶಗಳನ್ನು ಸಾರಾಂಶಗೊಳಿಸಲು ನಮಗೆ ಸಹಾಯ ಮಾಡಿದರು.
规矩	ನಿಯಮ; ಸಂಪ್ರದಾಯ	ಮಕ್ಕಳು ನಿಯಮಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.
规律	ನಿಯಮಿತ ಕ್ರಮ; ಸ್ವಾಭಾವಿಕ ನಿಯಮ	ಜೀವನಕ್ಕೆ ನಿಯಮಿತ ಲಯ ಇರಬೇಕು.
规模	ಪ್ರಮಾಣ; ವ್ಯಾಪ್ತಿ	ಈ ಕಂಪನಿಯ ಪ್ರಮಾಣ ದೊಡ್ಡದು.
规则	ನಿಯಮಗಳು	ಸ್ಪರ್ಧೆಯ ನಿಯಮಗಳು ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿವೆ.
柜台	ಕೌಂಟರ್	ದಯವಿಟ್ಟು ಕೌಂಟರ್‌ನಲ್ಲಿ ಹಣ ಪಾವತಿಸಿ.
滚	ಗುಳಿಯುವುದು; ಕುದಿಯುವುದು	ನೀರು ಈಗಾಗಲೇ ಕುದಿಯುತ್ತಿದೆ.
锅	ಪಾತ್ರೆ; ಬಾಣಲೆ	ಪಾತ್ರೆಯಲ್ಲಿ ಬಿಸಿ ಸೂಪ್ ಇದೆ.
国庆节	ರಾಷ್ಟ್ರೀಯ ದಿನ	ರಾಷ್ಟ್ರೀಯ ದಿನದಂದು ನಮಗೆ ರಜೆ ಇದೆ.
国王	ರಾಜ	ರಾಜನು ಅರಮನೆಯಲ್ಲಿ ವಾಸಿಸುತ್ತಾನೆ.
果然	ನಿರೀಕ್ಷೆಯಂತೆ; ನಿಜಕ್ಕೂ	ಅವನು ನಿರೀಕ್ಷೆಯಂತೆ ಸಮಯಕ್ಕೆ ಬಂದನು.
果实	ಹಣ್ಣು; ಫಲ	ಮರದಲ್ಲಿ ಹಣ್ಣು ತುಂಬಿದೆ.
过分	ಅತಿಯಾದ; ಮಿತಿಮೀರಿದ	ಅವನ ಬೇಡಿಕೆ ಸ್ವಲ್ಪ ಮಿತಿಮೀರಿದೆ.
过敏	ಅಲರ್ಜಿ	ನನಗೆ ಪರಾಗಕ್ಕೆ ಅಲರ್ಜಿ ಇದೆ.
过期	ಅವಧಿ ಮೀರಿರುವುದು	ಈ ಹಾಲಿನ ಬಾಟಲಿಯ ಅವಧಿ ಈಗಾಗಲೇ ಮೀರಿದೆ.
哈	ಹಾ; ನಗುಧ್ವನಿ	ಹಾ, ಕೊನೆಗೂ ನನಗೆ ಅರ್ಥವಾಯಿತು.
海关	ಕಸ್ಟಮ್ಸ್; ಸುಂಕ ತಪಾಸಣೆ	ನಾವು ಕಸ್ಟಮ್ಸ್ ತಪಾಸಣೆಗೆ ಸಾಲಿನಲ್ಲಿ ನಿಂತೆವು.
海鲜	ಸಮುದ್ರ ಆಹಾರ	ಈ ಊಟಮನೆಯ ಸಮುದ್ರ ಆಹಾರ ತುಂಬಾ ತಾಜಾ.
喊	ಕೂಗುವುದು; ಕರೆಯುವುದು	ತರಗತಿಯಲ್ಲಿ ಜೋರಾಗಿ ಕೂಗಬೇಡಿ.
行业	ಕ್ಷೇತ್ರ; ಉದ್ಯಮ	ಪ್ರವಾಸೋದ್ಯಮ ಕ್ಷೇತ್ರ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿದೆ.
豪华	ಐಷಾರಾಮಿ	ಅವರು ಐಷಾರಾಮಿ ಹೋಟೆಲ್‌ನಲ್ಲಿ ತಂಗಿದ್ದಾರೆ.
好客	ಅತಿಥಿಸತ್ಕಾರಪ್ರಿಯ	ಸ್ಥಳೀಯ ಜನರು ತುಂಬಾ ಅತಿಥಿಸತ್ಕಾರಪ್ರಿಯರು.
好奇	ಕುತೂಹಲ	ಮಕ್ಕಳಿಗೆ ಜಗತ್ತಿನ ಬಗ್ಗೆ ತುಂಬಾ ಕುತೂಹಲ.
何必	ಏಕೆ ಬೇಕು; ಅವಶ್ಯಕತೆಯಿಲ್ಲ	ಸಣ್ಣ ವಿಷಯಕ್ಕೆ ಏಕೆ ಕೋಪಗೊಳ್ಳಬೇಕು?
何况	ಅದರ ಮೇಲೆ; ಇನ್ನೂ ಹೆಚ್ಚಾಗಿ	ಇಂದು ಚಳಿ, ಅದರ ಮೇಲೆ ಮಳೆ ಕೂಡ ಬರುತ್ತಿದೆ.
合法	ಕಾನೂನುಬದ್ಧ	ಈ ಒಪ್ಪಂದ ಕಾನೂನುಬದ್ಧವಾಗಿದೆ.
合理	ಸಮಂಜಸ; ನ್ಯಾಯಯುತ	ಈ ಬೆಲೆ ಸಮಂಜಸವಾಗಿದೆ.
合同	ಒಪ್ಪಂದ	ಅವರು ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದರು.
合影	ಗುಂಪು ಫೋಟೋ	ಪದವಿ ಪ್ರದಾನ ಸಮಯದಲ್ಲಿ ನಾವು ಗುಂಪು ಫೋಟೋ ತೆಗೆದುಕೊಂಡೆವು.
合作	ಸಹಕಾರ; ಸಹಕರಿಸುವುದು	ನಾವು ಸಹಕಾರದ ಮೂಲಕ ಯೋಜನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದೆವು.
和平	ಶಾಂತಿ	ಎಲ್ಲರೂ ಶಾಂತಿಯನ್ನು ಆಶಿಸುತ್ತಾರೆ.
核心	ಮೂಲ; ಕೇಂದ್ರ	ನಂಬಿಕೆ ಸಹಕಾರದ ಮೂಲ.
恨	ಪಶ್ಚಾತ್ತಾಪಪಡುವುದು; ದ್ವೇಷಿಸುವುದು	ಹಿಂದೆ ಹೆಚ್ಚು ಶ್ರಮಿಸದಿದ್ದಕ್ಕೆ ಅವನು ಪಶ್ಚಾತ್ತಾಪಪಡುತ್ತಾನೆ.
猴子	ಕೋತಿ	ಮೃಗಾಲಯದಲ್ಲಿ ಹಲವಾರು ಕೋತಿಗಳಿವೆ.
后背	ಬೆನ್ನಿನ ಭಾಗ	ಅವನ ಬೆನ್ನು ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.
后果	ಪರಿಣಾಮಗಳು	ನೀನು ಪರಿಣಾಮಗಳನ್ನು ಪರಿಗಣಿಸಬೇಕು.
呼吸	ಉಸಿರಾಡುವುದು	ದಯವಿಟ್ಟು ಆಳವಾಗಿ ಉಸಿರೆಳೆದುಕೊಳ್ಳಿ.
忽然	ಅಕಸ್ಮಾತ್; ಇದ್ದಕ್ಕಿದ್ದಂತೆ	ಆಕಾಶ ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಕತ್ತಲಾಯಿತು.
忽视	ಲಕ್ಷ್ಯಕೊಡದೆ ಬಿಡುವುದು; ನಿರ್ಲಕ್ಷಿಸುವುದು	ಈ ಸಮಸ್ಯೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಬೇಡಿ.
壶	ಕುಂಭ; ಪಾತ್ರೆ	ಮೇಜಿನ ಮೇಲೆ ಚಹಾದ ಒಂದು ಕುಂಭ ಇದೆ.
糊涂	ಗೊಂದಲಗೊಂಡ; ಅಸ್ಪಷ್ಟ	ಇಂದು ನನಗೆ ಸ್ವಲ್ಪ ಗೊಂದಲವಾಗಿದೆ.
胡说	ಅರ್ಥವಿಲ್ಲದ ಮಾತು ಹೇಳುವುದು	ಅರ್ಥವಿಲ್ಲದ ಮಾತು ಹೇಳಬೇಡ, ಇದು ಸತ್ಯವಲ್ಲ.
胡同	ಹಳೆಯ ಗಲಿ; ಕಿರು ಬೀದಿ	ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಅನೇಕ ಹಳೆಯ ಗಲಿಗಳಿವೆ.
蝴蝶	ಚಿಟ್ಟೆ	ತೋಟದಲ್ಲಿ ಒಂದು ಚಿಟ್ಟೆ ಇದೆ.
花生	ಕಡಲೆಕಾಯಿ	ಅವನಿಗೆ ಕಡಲೆಕಾಯಿ ತಿನ್ನಲು ಇಷ್ಟ.
华裔	ಚೀನೀ ಮೂಲದ ವ್ಯಕ್ತಿ	ಅವಳು ಚೀನೀ ಮೂಲದ ಲೇಖಕಿ.
滑	ಜಾರುವ; ನಯವಾದ	ನೆಲ ಜಾರುತ್ತದೆ, ಜಾಗರೂಕರಾಗಿರಿ.
划	ದೋಣಿ ಓಡಿಸುವುದು; ತೂಗುಹಾಕಿ ಸಾಗಿಸುವುದು	ದೋಣಿಯಲ್ಲಿ ಹೋಗುವಾಗ ಅವನು ದೋಣಿ ಓಡಿಸುವ ಜವಾಬ್ದಾರಿ ಹೊಂದಿದ್ದಾನೆ.
化学	ರಸಾಯನಶಾಸ್ತ್ರ	ಅವಳು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ರಸಾಯನಶಾಸ್ತ್ರ ಓದಿದಳು.
话题	ವಿಷಯ; ಸಂಭಾಷಣೆಯ ವಿಷಯ	ಈ ವಿಷಯ ತುಂಬಾ ಆಸಕ್ತಿದಾಯಕ.
怀念	ನೆನಪಿಸಿಕೊಳ್ಳುವುದು; ಮಿಸ್ ಮಾಡಿಕೊಳ್ಳುವುದು	ನನಗೆ ವಿಶ್ವವಿದ್ಯಾಲಯದ ಜೀವನ ತುಂಬಾ ನೆನಪಾಗುತ್ತದೆ.
怀孕	ಗರ್ಭಿಣಿ; ಗರ್ಭಧಾರಣೆ	ಅವಳು ಮೂರು ತಿಂಗಳ ಗರ್ಭಿಣಿ.
缓解	ತಗ್ಗಿಸುವುದು; ಉಪಶಮನ ಮಾಡುವುದು	ವಿಶ್ರಾಂತಿ ಒತ್ತಡವನ್ನು ತಗ್ಗಿಸಬಹುದು.
幻想	ಕಲ್ಪನೆ; ಕನಸು ಕಾಣುವುದು	ಅವನು ಆಗಾಗ ಅಂತರಿಕ್ಷಕ್ಕೆ ಪ್ರಯಾಣಿಸುವ ಕಲ್ಪನೆ ಮಾಡುತ್ತಾನೆ.
慌张	ಗಾಬರಿ; ಆತಂಕಿತ	ಸಮಸ್ಯೆ ಎದುರಾದಾಗ ಗಾಬರಿಯಾಗಬೇಡಿ.
黄金	ಚಿನ್ನ	ಚಿನ್ನದ ಬೆಲೆ ಮತ್ತೆ ಏರಿದೆ.
恢复	ಚೇತರಿಸಿಕೊಳ್ಳುವುದು; ಪುನಃಸ್ಥಾಪಿಸುವುದು	ಅವನ ದೇಹ ಚೇತರಿಸಿಕೊಳ್ಳುತ್ತಿದೆ.
挥	ಬೀಸುವುದು; ಕೈ ಬೀಸುವುದು	ಅವಳು ಕೈ ಬೀಸಿದಳು.
灰	ಬೂದು; ಭಸ್ಮ	ಆಕಾಶ ಬೂದು ಬಣ್ಣವಾಗಿದೆ.
灰尘	ಧೂಳು	ಮೇಜಿನ ಮೇಲೆ ತುಂಬಾ ಧೂಳು ಇದೆ.
灰心	ನಿರಾಶರಾಗುವುದು; ಧೈರ್ಯ ಕಳೆದುಕೊಳ್ಳುವುದು	ವಿಫಲವಾದರೂ ಧೈರ್ಯ ಕಳೆದುಕೊಳ್ಳಬೇಡಿ.
汇率	ವಿನಿಮಯ ದರ	ಇಂದಿನ ವಿನಿಮಯ ದರ ಎಷ್ಟು?
婚礼	ಮದುವೆ ಸಮಾರಂಭ	ಅವರ ಮದುವೆ ಸಮಾರಂಭ ತುಂಬಾ ಸರಳವಾಗಿತ್ತು.
婚姻	ವಿವಾಹ; ದಾಂಪತ್ಯ	ವಿವಾಹಕ್ಕೆ ಪರಸ್ಪರ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಿಕೆ ಬೇಕು.
活跃	ಸಕ್ರಿಯ; ಚುರುಕಾದ	ಅವನು ತರಗತಿಯಲ್ಲಿ ತುಂಬಾ ಸಕ್ರಿಯ.
伙伴	ಸಂಗಾತಿ; ಪಾಲುದಾರ	ಅವನು ನನ್ನ ಅತ್ಯುತ್ತಮ ಪಾಲುದಾರ.
火柴	ಬೆಂಕಿಕಡ್ಡಿ	ಪೆಟ್ಟಿಗೆಯಲ್ಲಿ ಒಂದೇ ಬೆಂಕಿಕಡ್ಡಿ ಉಳಿದಿದೆ.
或许	ಬಹುಶಃ; ಇರಬಹುದು	ನಾಳೆ ಬಹುಶಃ ಮಳೆ ಬೀಳಬಹುದು.
基本	ಮೂಲಭೂತ; ಮುಖ್ಯ	ಇವು ಮೂಲಭೂತ ಅವಶ್ಯಕತೆಗಳು.
机器	ಯಂತ್ರ	ಈ ಯಂತ್ರ ಕೆಟ್ಟಿದೆ.
激烈	ತೀವ್ರ; ಕಠಿಣ	ಸ್ಪರ್ಧೆ ತುಂಬಾ ತೀವ್ರವಾಗಿತ್ತು.
肌肉	ಸ್ನಾಯು	ವ್ಯಾಯಾಮದ ನಂತರ ನನ್ನ ಸ್ನಾಯುಗಳು ಸ್ವಲ್ಪ ನೋಯುತ್ತಿವೆ.
及格	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣರಾಗುವುದು	ಅವನು ಈ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣನಾದನು.
急忙	ಅವಸರವಾಗಿ	ಅವನು ಅವಸರವಾಗಿ ತರಗತಿಯಿಂದ ಹೊರಗೆ ಓಡಿದನು.
急诊	ತುರ್ತು ಚಿಕಿತ್ಸಾ ವಿಭಾಗ	ರೋಗಿಯನ್ನು ತುರ್ತು ಚಿಕಿತ್ಸಾ ವಿಭಾಗಕ್ಕೆ ಕಳುಹಿಸಲಾಯಿತು.
极其	ಅತ್ಯಂತ	ಈ ವಿಷಯ ಅತ್ಯಂತ ಮುಖ್ಯ.
集合	ಸೇರಿಕೊಳ್ಳುವುದು; ಗುಂಪುಗೂಡುವುದು	ದಯವಿಟ್ಟು ಎಂಟು ಗಂಟೆಗೆ ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ಸೇರಿಕೊಳ್ಳಿ.
集体	ಸಾಮೂಹಿಕ; ಗುಂಪು	ಇದು ಒಂದು ಸಾಮೂಹಿಕ ಚಟುವಟಿಕೆ.
集中	ಕೇಂದ್ರೀಕರಿಸುವುದು	ತರಗತಿಯಲ್ಲಿ ನೀನು ಗಮನ ಕೇಂದ್ರೀಕರಿಸಬೇಕು.
