simplified	BG	example_BG
昆虫	насекомо	Децата наблюдават насекоми.
扩大	разширявам	Училището планира да разшири библиотеката.
辣椒	люта чушка	В ястието са сложени много люти чушки.
拦	спирам; преграждам	Полицията спря една кола.
烂	развален; изгнил	Тази ябълка вече е изгнила.
朗读	чета на глас	Моля, прочетете текста на глас.
劳动	труд	Трудът кара човек да се чувства пълноценен.
劳驾	извинете	Извинете, къде е метростанцията?
姥姥	баба по майчина линия	Баба ми по майчина линия готви много вкусно.
老百姓	обикновени хора	Обикновените хора се интересуват от разходите за живот.
老板	шеф; собственик	Шефът днес не е в офиса.
老婆	жена; съпруга	Той купи цветя на жена си.
老实	честен	Той е честен човек.
老鼠	мишка; плъх	В кухнята има мишка.
乐观	оптимистичен	Тя е оптимистично настроена за бъдещето.
雷	гръм	Гръмотевицата снощи беше много силна.
类型	тип; категория	Към какъв тип принадлежи този вид филм?
冷淡	студен; безразличен	Отношението му е малко студено.
厘米	сантиметър	Тази химикалка е дълга петнадесет сантиметра.
梨	круша	Купих няколко круши.
离婚	развеждам се	Те се разведоха миналата година.
理论	теория	Тази теория е много сложна.
理由	причина; основание	Каква причина имаш да закъснееш?
利润	печалба	Печалбата на компанията се увеличи тази година.
利息	лихва	Банковата лихва не е висока.
利益	интерес; полза	Трябва да защитим интересите на всички.
利用	използвам	Той използва уикенда, за да учи китайски.
力量	сила	Единството е сила.
立即	незабавно	Моля, напуснете това място незабавно.
立刻	веднага	След като чу новината, той тръгна веднага.
联合	обединявам; съвместен	Двете компании съвместно разработиха продукта.
连忙	бързо; веднага	Като чу телефона, той бързо го вдигна.
连续	непрекъснат; пореден	Той работи десет часа без прекъсване.
恋爱	любовна връзка; влюбвам се	Те са в любовна връзка.
粮食	зърнени храни; продоволствие	Производството на зърно тази година се увеличи.
良好	добър; благоприятен	Той има добри учебни навици.
亮	светъл; ярък	Лампата в стаята е много ярка.
了不起	забележителен; невероятен	Тя постигна забележителни резултати.
列车	влак	Влакът скоро ще потегли.
临时	временен	Това е временно решение.
灵活	гъвкав	Методите на учене трябва да са гъвкави.
铃	звънец	Звънецът за час би.
零件	част; компонент	На машината й липсва една част.
零食	лакомства; хапвания	Децата обичат да ядат лакомства.
领导	ръководител; ръководство	Ръководителят е на среща.
领域	област; сфера	Тя работи в областта на образованието.
流传	предава се; разпространява се	Тази история се предава отдавна.
流泪	проливам сълзи	Като чу тази новина, тя се разплака.
浏览	преглеждам; разглеждам	Първо ще разгледам уебстраницата.
龙	дракон	В китайската култура има дракони.
漏	тече; пропускам	Покривът протече от дъжда.
录取	приемам; записвам	Той беше приет в университета.
录音	записвам звук; звукозапис	Моля, започнете записа.
陆地	суша	Морската костенурка изпълзя на сушата.
陆续	един след друг	Гостите пристигаха един след друг.
轮流	редувам се	Редуваме се да чистим класната стая.
论文	дисертация; научна работа	Тя пише дипломната си работа.
逻辑	логика	Логиката му е много ясна.
落后	изоставам	Не можем да изоставаме от другите.
骂	карам се; ругая	Моля, не се карайте на детето.
麦克风	микрофон	Моля, подай му микрофона.
馒头	задушена питка	На закуска изядох една задушена питка.
满足	удовлетворявам; отговарям на	Този отговор не отговаря на изискванията.
毛病	проблем; дефект	Този компютър има малък проблем.
矛盾	противоречие; конфликт	Между тях има някои противоречия.
冒险	рискувам; риск	Да отидеш там сам е твърде рисковано.
贸易	търговия	Международната търговия се развива бързо.
媒体	медии	Медиите съобщиха за този случай.
煤炭	въглища	Този район произвежда въглища.
眉毛	вежда	Веждите й са гъсти.
美术	изобразително изкуство	По-малката ми сестра харесва изобразителното изкуство.
魅力	очарование	Този град има много очарование.
梦想	мечта; мечтая	Неговата мечта е да стане лекар.
密切	тесен; близък	Поддържаме тесен контакт.
秘密	тайна	Това е нашата тайна.
秘书	секретар	Секретарят насрочи часа на срещата.
蜜蜂	пчела	Сред цветята има много пчели.
面对	изправям се пред	Трябва смело да се изправяме пред трудностите.
面积	площ	Площта на тази стая не е голяма.
面临	изправен съм пред	Компанията е изправена пред нови предизвикателства.
描写	описвам	Авторът описва селския живот.
苗条	строен	Тя има стройна фигура.
敏感	чувствителен	Тази тема е сравнително чувствителна.
名牌	известна марка	Той си купи часовник от известна марка.
名片	визитка	Моля, дайте ми визитка.
名胜古迹	забележителности и исторически паметници	В Пекин има много забележителности и исторически паметници.
明确	ясен; изяснявам	Учителят ясно обясни изискванията.
明显	очевиден	Напредъкът му е очевиден.
明星	звезда; знаменитост	Тя иска да стане филмова звезда.
命令	заповед	Войниците трябва да изпълняват заповеди.
命运	съдба	Той вярва, че съдбата може да се промени.
摸	докосвам	Моля, не докосвайте тази картина.
摩托车	мотоциклет	Той ходи на работа с мотоциклет.
模仿	подражавам	Децата обичат да подражават на речта на възрастните.
模糊	неясен; размазан	Тази снимка е малко размазана.
模特	модел	Тя е моден модел.
陌生	непознат	Този град ми е много непознат.
某	някой; определен	Един учител ми се обади.
木头	дърво; дървен материал	Тази маса е направена от дърво.
目标	цел	Целта ми е да издържа изпита.
目录	съдържание; каталог	Моля, първо вижте съдържанието в началото на книгата.
目前	в момента	В момента положението е сравнително стабилно.
哪怕	дори ако	Дори ако е много зает, той продължава да учи.
难怪	нищо чудно	Нищо чудно, че днес си толкова щастлив.
难免	трудно е да се избегне	Първия път е трудно да се избегнат грешки.
脑袋	глава	Главата го боли малко.
内部	вътрешен	Това са вътрешни материали на компанията.
内科	вътрешни болести	Днес той отива на преглед по вътрешни болести.
嫩	крехък; нежен	Това парче месо е много крехко.
能干	способен	Тя е много способен човек.
能源	енергия; енергиен източник	Слънчевата енергия е вид чиста енергия.
嗯	ъхъ	Ъхъ, разбрах.
年代	десетилетие; епоха	Тази снимка е направена през осемдесетте години.
年纪	възраст	Той не е много възрастен, но има много опит.
念	чета на глас; уча	Моля, прочети текста на глас веднъж.
宁可	предпочитам	Предпочитам да вървя пеша, отколкото да чакам автобуса.
牛仔裤	дънки	Той носи дънки.
农村	село; селски район	Тя е израснала на село.
农民	земеделец; селянин	Земеделците работят на полето.
农业	земеделие	Земеделието е много важно за този район.
浓	силен; гъст	Това кафе е твърде силно.
女士	госпожа; дама	Онази дама чака автобуса.
欧洲	Европа	Следващия месец той ще пътува до Европа.
偶然	случайно	Случайно срещнах стар съученик.
拍	снимам; пляскам	Моля, помогни ми да направя една снимка.
派	изпращам; група	Компанията го изпрати в Шанхай в командировка.
盼望	очаквам с нетърпение	Очаквам с нетърпение скоро да те видя.
培训	обучение; обучавам	Новите служители трябва да участват в обучение.
培养	развивам; възпитавам	Училището отдава значение на развиването на способностите на учениците.
赔偿	обезщетявам	Компанията се съгласи да обезщети загубите.
佩服	възхищавам се	Много се възхищавам на смелостта му.
配合	сътруднича; съгласувам	Моля, всички да съдействат на организацията на учителя.
盆	саксия; леген	На балкона има саксия с цвете.
碰	докосвам; блъскам се	Внимавай, не докосвай горещата вода.
批	партида; критикувам	Тази партида стоки пристигна днес.
批准	одобрявам	Мениджърът одобри този план.
披	наметвам	Тя беше наметнала палто.
疲劳	умора; уморен	Дългата работа може да накара човек да се почувства уморен.
匹	брояч за коне	На тревата има един кон.
片	резен; парче	Моля, дайте ми една филия хляб.
片面	едностранчив	Това мнение е твърде едностранчиво.
飘	нося се; летя	Снежинките се носят във въздуха.
拼音	пинин	Моля, напишете пинин до китайските йероглифи.
频道	канал	Моля, превключете на новинарския канал.
凭	въз основа на; с	С билет може да се влезе.
平均	среден; средно	Средно всеки похарчи десет юана.
平	равен; плосък	Този път е много равен.
平安	безопасен; невредим	Желая ти лек и безопасен път.
平常	обикновено; обичаен	Обикновено той рядко закъснява.
平等	равенство; равен	Всеки трябва да бъде третиран равноправно.
平方	квадратен	Тази стая е двадесет квадратни метра.
平衡	равновесие; баланс	Работата и животът имат нужда от баланс.
平静	спокоен	Повърхността на езерото е много спокойна.
评价	оценявам; оценка	Учителят даде много висока оценка.
破产	банкрутирам; фалит	Онази компания фалира миналата година.
破坏	разрушавам; повреждам	Моля, не повреждайте общественото имущество.
迫切	спешен; належащ	Спешно се нуждаем от повече лекари.
期待	очаквам с нетърпение	Много очаквам това пътуване.
期间	период; по време на	Моля, изключете телефона си по време на срещата.
其余	останалите	Останалите въпроси ще обсъдим утре.
奇迹	чудо	Лекарят каза, че това е чудо.
企业	предприятие; фирма	Това предприятие се развива бързо.
启发	вдъхновение; подтиквам към размисъл	Тази книга ми даде много вдъхновение.
气氛	атмосфера	Атмосферата в класната стая е много спокойна.
汽油	бензин	Колата има нужда от бензин.
签	подписвам	Моля, подпишете името си тук.
谦虚	скромен	Той е отличен, но и много скромен.
前途	перспектива; бъдеще	Тази специалност има добри перспективи.
浅	плитък	Тази река е много плитка.
欠	дължа	Той все още ми дължи двадесет юана.
枪	оръжие; пушка	Полицаят държи оръжие в ръка.
墙	стена	На стената виси картина.
强调	подчертавам	Учителят подчерта въпросите на безопасността.
强烈	силен; интензивен	Той има силно чувство за отговорност.
抢	грабвам; боря се за	Не се борете с другите за места.
悄悄	тихо; тайно	Тя тихо влезе в стаята.
瞧	гледам; виждам	Виж, навън вали сняг.
巧妙	умел; находчив	Този метод е много находчив.
切	режа	Моля, нарежете плодовете на малки парчета.
亲爱	скъп; обичан	Скъпи приятелю, благодаря ти.
亲切	любезен; сърдечен	Учителят говори много любезно.
亲自	лично	Мениджърът лично посрещна гостите.
勤奋	трудолюбив; усърден	Трудолюбивите хора по-лесно успяват.
清淡	лек; нежен на вкус	Обичам да ям леки ястия.
轻视	подценявам; презирам	Не подценявай този малък проблем.
轻易	лесно; прибързано	Той няма лесно да се откаже.
青	синьо-зелен	Тази дреха е синьо-зелена.
青春	младост	Младостта е ценна.
青少年	юноши; тийнейджъри	Тийнейджърите имат нужда от достатъчно сън.
情景	сцена; обстановка	Сцената във филма е много трогателна.
情绪	емоции; настроение	Емоциите му не са много стабилни.
请求	молба; моля	Той отправи молба.
庆祝	празнувам	Празнувахме рождения му ден.
球迷	фен на топкови спортове	Много фенове дойдоха да гледат мача.
趋势	тенденция	Тази тенденция става все по-очевидна.
取消	отменям	Заради дъжда събитието беше отменено.
娶	женя се за жена	Той планира да се ожени за нея догодина.
去世	почивам; умирам	Дядо му почина миналата година.
圈	кръг; ограждам	Моля, оградете верния отговор.
全面	цялостен; всеобхватен	Трябва да разберем ситуацията цялостно.
权利	право	Всеки има право да получи образование.
权力	власт	Властта трябва да бъде контролирана.
劝	съветвам; убеждавам	Приятелят ми ме посъветва да си почина по-рано.
缺乏	липса; липсвам	В този район липсва чиста вода.
确定	определям; сигурен	Все още не мога да определя часа.
确认	потвърждавам	Моля, потвърдете адреса си.
群	група	Група деца играят на площадката.
燃烧	горя; изгаряне	Дървото гори.
绕	обикалям	Обиколихме езерото веднъж.
热爱	обичам силно	Той много обича работата си.
热烈	топъл; въодушевен	Всички топло посрещнаха гостите.
热心	сърдечен; отзивчив	Всички съседи са много отзивчиви.
人才	талант; способен човек	Компанията се нуждае от повече талантливи хора.
人口	население	Този град има голямо население.
人类	човечество	Човечеството трябва да пази Земята.
人民币	китайски юан	Обмених малко китайски юани.
人生	живот	В живота има много избори.
人事	човешки ресурси; персонал	Тя работи в отдела за човешки ресурси.
人物	герой; личност	Героите в романа изглеждат много истински.
人员	персонал	Персоналът вече е пристигнал.
忍不住	не мога да се сдържа	Като чу шегата, той не можа да се сдържи и се засмя.
日常	ежедневен	Това е ежедневната ми работа.
日程	график; програма	Днешният график е много пълен.
日历	календар	На стената виси календар.
日期	дата	Моля, напишете датата ясно.
日用品	ежедневни стоки	В супермаркета се продават много ежедневни стоки.
日子	дни; време	Тези дни той е много зает.
如何	как	Как трябва да решим този проблем?
如今	в днешно време	В днешно време транспортът е много по-удобен.
软	мек	Това легло е много меко.
软件	софтуер	Този софтуер е лесен за използване.
弱	слаб	Тялото му е сравнително слабо.
洒	разливам; поръсвам	Той случайно разля водата.
嗓子	гърло; глас	Гърлото ме боли малко.
色彩	цветове; колорит	Тази картина има богати цветове.
杀	убивам	В този филм няма сцени на убийство.
沙漠	пустиня	Водата в пустинята е много ценна.
沙滩	плаж	Децата играят на плажа.
傻	глупав	Не прави глупости.
晒	суша на слънце	Дрехите се сушат на балкона.
删除	изтривам	Моля, изтрийте този имейл.
闪电	светкавица	През нощта се появи светкавица.
善良	добър; добросърдечен	Тя е добър човек.
善于	добър съм в	Той е добър в решаването на проблеми.
扇子	ветрило	През лятото често използвам ветрило.
伤害	наранявам	Не наранявай чувствата на другите.
商品	стока	В този магазин има много стоки.
商务	бизнес; търговски	Утре той ще участва в бизнес среща.
商业	търговия; бизнес	Търговията в този район е много развита.
上当	подвеждам се	Той едва не се подведе.
蛇	змия	В тревата има змия.
舍不得	не ми се иска да се разделя	Не ми се иска да напусна това място.
射击	стрелба; стрелям	Той тренира стрелба.
摄影	фотография; снимам	Тя много се интересува от фотография.
设备	оборудване	Оборудването в лабораторията е много модерно.
设计	дизайн; проектирам	Този дизайн е много творчески.
设施	съоръжения	Спортните съоръжения на училището са добри.
伸	протягам	Моля, протегнете ръката си.
深刻	дълбок; силен	Това преживяване ми остави дълбоко впечатление.
身材	фигура; телосложение	Тя има здраво телосложение.
身份	самоличност; статус	Моля, покажете документ за самоличност.
神话	мит; митология	Децата обичат да слушат митове.
神秘	мистериозен	Този древен град е много мистериозен.
升	вдигам; литър	Цената на горивото се повиши малко на литър.
声调	тон	В китайския има четири основни тона.
生产	произвеждам	Тази фабрика произвежда мобилни телефони.
生动	жив; образен	Учителят обяснява много живо.
生长	раста	Този вид растение расте бързо.
绳子	въже	Моля, вържете кутията с въже.
省略	пропускам	Тук може да се пропусне един йероглиф.
胜利	победа	Накрая те постигнаха победа.
失眠	безсъние	Напоследък той често страда от безсъние.
失去	губя	Не губи увереност.
失业	безработица; оставам без работа	След като остана без работа, той започна да учи нови умения.
湿润	влажен	Въздухът след дъжда е много влажен.
狮子	лъв	В зоопарка има два лъва.
诗	стихотворение; поезия	Той написа стихотворение.
实话	истина	Моля, кажи истината.
实践	практика; прилагам на практика	Теорията трябва да се провери чрез практика.
实习	стаж; стажувам	През лятната ваканция тя ще стажува в болница.
实现	осъществявам; постигам	Накрая той осъществи мечтата си.
实验	експеримент	Учениците правят експеримент.
实用	практичен	Този инструмент е много практичен.
时差	часова разлика	Той още не се е приспособил към часовата разлика.
时代	епоха	Живеем в информационната епоха.
时刻	момент	Моля, запомнете този важен момент.
时髦	модерен	Тази дреха е много модерна.
时期	период	Университетският период му оказа голямо влияние.
时尚	мода	Тя много се интересува от мода.
石头	камък	Край пътя има камък.
食物	храна	Моля, сложете храната в хладилника.
使劲儿	използвам сила; напрягам се	За да отвориш тази бутилка, трябва да приложиш сила.
始终	през цялото време	Той през цялото време вярваше, че може да успее.
事实	факт	Фактите доказват, че той е бил прав.
事物	нещо; предмет	Децата са много любопитни към новите неща.
事先	предварително	Моля, кажете ми часа предварително.
似的	сякаш; като че ли	Той изглеждаше толкова уморен, сякаш не искаше да каже нито дума.
士兵	войник	Войниците тренират.
市场	пазар	Този пазар е много оживен.
试卷	изпитна работа	Учителят проверява изпитните работи.
收获	реколта; придобивка	От това пътуване получих много.
收据	разписка	След плащането моля, запазете разписката.
手工	ръчна изработка	Този подарък е ръчна изработка.
手术	операция	Утре лекарят ще го оперира.
手套	ръкавици	През зимата трябва да носиш ръкавици навън.
手续	формалности; процедура	За оформяне на документите е нужна лична карта.
手指	пръст	Пръстът му е наранен.
首	брояч за песни и стихове	Тя изпя една песен.
受伤	ранявам се	Той се нарани по време на мача.
寿命	живот; срок на служба	Този вид машина има дълъг срок на служба.
书架	лавица за книги	Лавицата е пълна с книги.
梳子	гребен	Тя реше косата си с гребен.
舒适	удобен	Тази стая е много удобна.
蔬菜	зеленчуци	Да ядеш повече зеленчуци е полезно за здравето.
输入	въвеждам	Моля, въведете паролата в компютъра.
熟练	умел; опитен	Той умее да използва компютър.
属于	принадлежа на	Тази книга принадлежи на библиотеката.
数	броя	Моля, преброй колко души има.
鼠标	мишка за компютър	Компютърната ми мишка е повредена.
数据	данни	Тези данни са много важни.
数码	цифров	Той си купи цифров фотоапарат.
摔倒	падам	Тя падна на пътя.
甩	изтръсквам; хвърлям	Той изтръска водата от ръцете си.
双方	двете страни	И двете страни се съгласиха с този план.
税	данък	Когато купуваш нещо, трябва да платиш данък.
说不定	може би; не е сигурно	Може би утре ще вали сняг.
说服	убеждавам	Накрая той убеди родителите си.
丝绸	коприна	Този шал е направен от коприна.
丝毫	ни най-малко	Той ни най-малко не промени решението си.
思考	размишлявам	Моля, помислете сериозно върху този проблем.
思想	мисъл; мислене	Мисленето му е много отворено.
撕	късам	Моля, не късайте този лист хартия.
私人	личен; частен	Това е личното ми пространство.
似乎	изглежда; сякаш	Той изглежда не е много щастлив.
搜索	търся	Търсих материали в интернет.
宿舍	общежитие	Студентите живеят в училищното общежитие.
随身	със себе си	Моля, носете паспорта си със себе си.
随时	по всяко време	Можеш да ми се обадиш по всяко време.
随手	между другото; при излизане	Моля, затворете вратата след себе си, когато излизате.
碎	счупен; натрошен	Чашата падна на земята и се счупи.
损失	загуба; щета	Тази катастрофа причини големи загуби.
缩短	съкращавам	Новият маршрут съкрати пътя.
所	брояч за училища и учреждения	Това училище е много известно.
锁	заключвам; ключалка	Моля, заключете вратата преди да излезете.
台阶	стъпало	Възрастният човек бавно се качи по стъпалата.
太极拳	тай чи	В парка има хора, които практикуват тай чи.
太太	госпожа; съпруга	Госпожа Уан готви.
谈判	преговори; преговарям	Двете страни водят преговори.
坦率	откровен	Той откровено каза мислите си.
烫	горещ; паря	Тази чаша чай е много гореща.
桃	праскова	На дървото узряха много праскови.
淘气	палав	Това дете е малко палаво.
逃	бягам	Кученцето избяга от двора.
逃避	избягвам	Не избягвай отговорността.
讨价还价	пазаря се	Той обича да се пазари, когато пазарува.
套	комплект; калъф	Той си купи нов комплект дрехи.
特色	особеност; характерна черта	Този ресторант има местни особености.
特殊	специален	Днес е специален ден.
特征	характерна черта	Този вид животно има очевидни характерни черти.
疼爱	обичам нежно	Бабата и дядото много обичат детето.
提倡	насърчавам; препоръчвам	Училището насърчава пестенето на вода.
提纲	план; конспект	Преди да пишеш статия, първо направи план.
提问	задавам въпрос	Учениците могат да задават въпроси по всяко време.
题目	тема; въпрос	Този въпрос не е много труден.
体会	осъзнаване; разбирам от опит	Чрез пътуването получих ново разбиране.
体贴	внимателен; грижовен	Той е много внимателен към семейството си.
体现	отразявам; въплъщавам	Това нещо отразява екипен дух.
体验	изживявам; преживявам	Искам да изживея местния живот.
天空	небе	Днес небето е много синьо.
天真	наивен; невинен	Идеята на детето е много невинна.
调皮	палав	Онази котка е много палава.
调整	коригирам; настройвам	Трябва да коригираме плана.
挑战	предизвикателство	Това е голямо предизвикателство.
通常	обикновено	Той обикновено става в седем.
统一	обединявам; уеднаквявам	Мненията на всички трябва да се обединят.
痛苦	болка; страдание	Загубата на приятеля му го накара да страда много.
痛快	приятен; с удоволствие	Днес наистина се забавлявахме чудесно.
偷	крада	Не кради чужди неща.
投入	влагам се; инвестирам	Той работи с голяма отдаденост.
投资	инвестирам; инвестиция	Те инвестираха в нов проект.
透明	прозрачен	Тази чаша е прозрачна.
突出	изпъкващ; забележителен	Предимствата му са много забележителни.
土地	земя	Това парче земя е много плодородно.
土豆	картоф	Купих няколко картофа.
兔子	заек	Детето отглежда заек.
吐	повръщам	Не му е добре и му се повръща.
团	група	Присъединихме се към туристическа група.
推辞	отказвам	Той отказа поканата на приятеля си.
推广	популяризирам; разпространявам	Компанията популяризира нов продукт.
推荐	препоръчвам	Учителят препоръча тази книга.
退	отстъпвам назад	Моля, отстъпете една крачка назад.
退步	назадвам	Ако не практикуваш, нивото ти ще спадне.
退休	пенсиониране; пенсионирам се	Той ще се пенсионира догодина.
歪	крив; наклонен	Тази картина виси накриво.
外公	дядо по майчина линия	Дядо ми по майчина линия тази година е на осемдесет години.
外交	дипломация	Той изучава международни отношения и дипломация.
完美	съвършен; перфектен	Този план не е съвършен.
完善	усъвършенствам; подобрявам	Трябва да подобрим процеса на обслужване.
完整	пълен; цялостен	Моля, дайте ми пълен доклад.
玩具	играчка	Детето сложи играчките в кутията.
万一	в случай че	Ако случайно завали, ще отидем друг ден.
王子	принц	Принцът в историята е много смел.
往返	отиване и връщане	Този билет позволява отиване и връщане в същия ден.
网络	интернет; мрежа	Интернет връзката тук е много стабилна.
危害	вредя; застрашавам	Пушенето вреди на здравето.
威胁	заплашвам	Замърсяването заплашва реката.
微笑	усмивка; усмихвам се	Тя ми се усмихна.
唯一	единствен	Това е единственият начин.
围巾	шал	През зимата той носи шал.
围绕	въртя се около; съсредоточавам се върху	Обсъждането се съсредоточи върху този въпрос.
维修	ремонт; поддръжка	Асансьорът е в ремонт.
违反	нарушавам	Това нарушава правилата.
伟大	велик	Това е велико откритие.
委屈	чувствам се онеправдан	Тя се почувства много онеправдана.
尾巴	опашка	Кученцето махаше с опашка.
位于	намирам се	Училището се намира в центъра на града.
位置	място; позиция	Това място е много тихо.
未必	не непременно	Това, което той каза, не е непременно вярно.
未来	бъдеще	Трябва да се подготвим за бъдещето.
胃	стомах	Стомахът ми е малко неразположен.
胃口	апетит	Днес той има добър апетит.
温暖	топъл	Пролетното слънце е много топло.
温柔	нежен	Тя говори много нежно.
文件	документ; файл	Моля, изпратете ми документа.
文具	канцеларски принадлежности	В ученическата чанта има много канцеларски принадлежности.
文明	цивилизован; цивилизация	Редът на опашка е цивилизовано поведение.
文学	литература	Тя харесва китайската литература.
文字	писменост; текст	Тези писмени знаци се четат трудно.
闻	мириша; чувам	Усетих аромат на цветя.
吻	целувам; целувка	Майката целуна детето по лицето.
稳定	стабилен	Цените остават стабилни.
问候	поздравявам; поздрав	Моля, предай поздравите ми на семейството си.
卧室	спалня	В спалнята има голямо легло.
握手	ръкувам се	Те се ръкуваха, когато се срещнаха.
屋子	стая; къща	В стаята е топло.
无奈	безпомощен; без друг избор	Той безпомощно поклати глава.
无数	безброй	В нощното небе има безброй звезди.
无所谓	няма значение	Няма значение какво искаш да ядеш.
武术	бойни изкуства	Той изучава бойни изкуства от малък.
勿	не; забранено е	Моля, не пушете тук.
物理	физика	Часът по физика е много интересен.
物质	вещество; материал	Водата е важно вещество.
雾	мъгла	Сутринта имаше гъста мъгла.
吸取	извличам; поучавам се	Трябва да се поучим от този урок.
吸收	поглъщам; усвоявам	Растенията поглъщат вода.
戏剧	драма; театър	Той обича да гледа традиционен театър.
系	факултет; връзка	Тя учи в катедрата по китайски език.
系统	система	Тази система работи стабилно.
细节	подробност	Моля, обърнете внимание на тези подробности.
瞎	сляпо; безразсъдно	Не гадай сляпо, първо погледни материалите.
下载	изтеглям	Изтеглих този софтуер.
吓	плаша	Внезапният звук ме стресна.
夏令营	летен лагер	Детето участва в летен лагер по китайски.
鲜艳	ярък	Цветът на тази пола е много ярък.
显得	изглеждам; правя да изглежда	Тази дреха го прави да изглежда много млад.
显然	очевидно	Очевидно той вече знае резултата.
显示	показвам	Екранът показва грешно време.
县	окръг	В този окръг има много чаени плантации.
现代	модерен; съвременен	Съвременният живот не може без интернет.
现实	реалност	Трябва да се изправим пред реалността.
现象	явление	Това явление е много често срещано.
限制	ограничавам	Тук влизането на превозни средства е ограничено.
相处	разбирам се	Те се разбират много добре.
相当	доста; съответен	Тази книга е доста интересна.
相对	относително	Цените тук са относително ниски.
相关	свързан; съответен	Моля, предоставете съответните материали.
相似	подобен	Значенията на тези два йероглифа са много подобни.
香肠	наденица	На закуска има яйца и наденица.
享受	наслаждавам се	Те се наслаждават на ваканцията.
想念	липсвам ми; тъгувам по	Много ми липсва семейството.
想象	представям си	Не мога да си представя такъв живот.
象棋	китайски шах	Дядо обича да играе китайски шах.
象征	символизирам; символ	Бялото често символизира чистота.
项	елемент; задача	Тази задача е много важна.
项链	колие	Тя носи сребърно колие.
项目	проект; елемент	Този проект изисква три месеца.
消费	потребление; харча	Потреблението се увеличи по време на празника.
消化	храносмилане; смилам	Разходката след хранене помага на храносмилането.
消极	отрицателен; пасивен	Не гледай на проблемите с отрицателна нагласа.
消失	изчезвам	Слънцето бавно изчезна зад планината.
销售	продавам; продажби	Тази компания продава електронни продукти.
小麦	пшеница	На север се отглежда много пшеница.
小气	стиснат; дребнав	Не бъди толкова стиснат.
孝顺	почтителен към родителите	Той е много почтителен към родителите си.
效率	ефективност	Така може да се повиши ефективността.
歇	почивам	Нека първо си починем малко.
斜	наклонен	Този път е малко наклонен.
写作	писане	Писането изисква дългосрочна практика.
心理	психологически; психика	Преди изпит трябва да настроиш психическото си състояние.
心脏	сърце	Здравето на сърцето е много важно.
欣赏	възхищавам се; наслаждавам се	Насладихме се на красивия пейзаж.
信号	сигнал	Сигналът на телефона тук е лош.
信任	доверие; доверявам се	Между приятели е нужно доверие.
形成	формирам се	Добрите навици се формират постепенно.
形容	описвам	Не знам как да опиша това чувство.
形势	ситуация; обстановка	В момента ситуацията е сравнително сложна.
形式	форма	Срещата може да бъде в онлайн форма.
形象	образ; имидж	Публичният му имидж е много добър.
形状	форма	Формата на тази кутия е много специална.
行动	действие; действам	Трябва да действаме веднага.
行人	пешеходец	Когато пресичаш улицата, обръщай внимание на пешеходците.
行为	поведение	Такова поведение не е учтиво.
幸亏	за щастие	За щастие ти ми напомни.
幸运	късметлия; късмет	Той имаше късмет да намери работа.
性质	характер; същност	Характерът на този проблем е много сериозен.
兄弟	братя	Двамата братя имат добри отношения.
胸	гърди	Той усеща леко стягане в гърдите.
休闲	отдих; свободно време	Уикендът е добро време за отдих.
修改	поправям; редактирам	Моля, редактирайте тази статия.
虚心	скромен; отворен към съвети	Трябва скромно да изслушваме мненията.
叙述	разказвам; описвам	Той ясно разказа какво се е случило.
宣布	обявявам	Училището обяви новите правила.
宣传	популяризирам; пропагандирам	Те популяризират знания за опазване на околната среда.
学历	образователна степен	Тази работа изисква бакалавърска степен.
学术	академичен; научен	Тази конференция обсъжда академични въпроси.
学问	знания; ученост	Той е много образован.
血	кръв	Ръката му прокърви малко.
寻找	търся	Търсим нов метод.
询问	питам; разпитвам	Той попита учителя за часа на изпита.
训练	тренировка; тренирам	Спортистът тренира всеки ден.
迅速	бърз	Новината бързо се разпространи.
押金	депозит	За наемане на жилище трябва да се плати депозит.
牙齿	зъб	Моля, грижете се добре за зъбите си всеки ден.
严肃	сериозен	Изражението на учителя е много сериозно.
延长	удължавам	Срещата беше удължена с половин час.
演讲	реч; изнасям реч	Той подготвя утрешната си реч.
宴会	банкет	Те участваха в банкет.
阳台	балкон	На балкона има няколко саксии с цветя.
痒	сърби	Ръката ме сърби малко.
样式	стил; вид	Този стил е много популярен.
腰	кръст; талия	Когато седиш дълго, кръстът може да те заболи.
摇	клатя; разклащам	Вятърът разклащаше клоните напред-назад.
咬	хапя	Това куче не хапе хора.
要不	или пък; иначе	Или пък да отидем утре?
业务	дейност; бизнес	Дейността на компанията става все повече.
业余	свободно време; любителски	В свободното си време той учи фотография.
夜	нощ	През нощта улицата е много тиха.
依然	все още	Той все още живее в Пекин.
一辈子	цял живот	Тя обичаше музиката през целия си живот.
一旦	щом; веднъж щом	Щом решиш, трябва да постоянстваш.
一律	без изключение; всички	По време на срещата всички телефони трябва да бъдат изключени.
一再	многократно	Той многократно ни напомни да обръщаме внимание на безопасността.
一致	единодушен; еднакъв	Мненията на всички са напълно еднакви.
疑问	въпрос; съмнение	Имам въпрос относно този отговор.
移动	премествам	Моля, премести масата малко.
移民	емигрирам; имигрант	Те планират да емигрират в чужбина.
遗憾	съжаление; съжалявам	Съжалявам, че не успях да те видя.
乙	втора страна	В договора втората страна отговаря за плащането.
以及	както и	Купих книги, както и канцеларски принадлежности.
以来	откакто	Откакто завърши, той постоянно работи в Пекин.
义务	задължение	Опазването на околната среда е задължение на всеки.
