simplified	SI	example_SI
改善	වැඩිදියුණු කිරීම	ව්‍යායාමය නින්ද වැඩිදියුණු කළ හැක.
改正	නිවැරදි කිරීම	කරුණාකර වැරදි වහාම නිවැරදි කරන්න.
概括	සාරාංශ කිරීම	කරුණාකර ලිපියේ අන්තර්ගතය සාරාංශ කරන්න.
概念	සංකල්පය	මෙම සංකල්පය තේරුම් ගැනීමට එතරම් පහසු නැත.
盖	වසා තැබීම	කරුණාකර කෝප්පය හොඳින් වසා තබන්න.
干脆	එහෙම නම්	එහෙම නම් ඔයා අද නොයා සිටින්න.
干燥	වියළි	උතුරේ ශීත කාලය ඉතා වියළිය.
感激	කෘතඥ වීම	ඔබේ උදව්වට මම ඉතා කෘතඥ වෙමි.
感受	හැඟීම	මට ඔබේ හැඟීම් තේරුම් ගත හැක.
感想	අදහස්	කරුණාකර ඔබේ අදහස් ගැන කතා කරන්න.
赶紧	ඉක්මනින්	වේලාව පරක්කු වෙමින් තිබේ, ඉක්මනින් යමු.
赶快	වහාම	වහාම දොර වසා දමන්න.
干活儿	වැඩ කිරීම	ඔහු මිදුලේ වැඩ කරමින් සිටී.
钢铁	වානේ	මෙම පාලම වානේ වලින් සාදා ඇත.
高档	උසස් තත්ත්වයේ	මෙය උසස් තත්ත්වයේ හෝටලයකි.
高级	උසස් මට්ටමේ	ඇය උසස් චීන පන්තියකට සහභාගී වූවාය.
搞	සංවිධානය කිරීම	ඔයා කුමන ක්‍රියාකාරකමක් සංවිධානය කරන්නේද?
告别	සමුගැනීම	අපි ගුවන් තොටුපොළේදී මිතුරාට සමු දුන්නෙමු.
格外	විශේෂයෙන්	අද අහස විශේෂයෙන් නිල්ය.
隔壁	අල්ලපු ගෙදර	අල්ලපු ගෙදර ගුරුවරයෙක් ජීවත් වේ.
个别	කිහිප දෙනෙක්	කිහිප දෙනෙක් තවමත් ගෙදර වැඩ භාර දී නැත.
个人	පුද්ගලික	මෙය මගේ පුද්ගලික අදහසයි.
个性	පෞරුෂය	ඇයට ප්‍රබල පෞරුෂයක් ඇත.
各自	තම තමන්ගේ	සියලු දෙනා තම තමන්ගේ කාර්යය සම්පූර්ණ කරති.
根	දිගු සිහින් දේ සඳහා ප්‍රමාණ පදය	මේසය යට වයරයක් ඇත.
根本	මූලිකවම	මෙම ගැටලුව මූලිකවම අමාරු නැත.
公布	ප්‍රකාශ කිරීම	පාසල විභාග ප්‍රතිඵල ප්‍රකාශ කළේය.
公开	මහජන	මෙම රැස්වීම මහජන රැස්වීමකි.
公平	සාධාරණ	තරඟය සාධාරණ විය යුතුය.
公寓	මහල් නිවාසය	ඇය කුඩා මහල් නිවාසයක් කුලියට ගත්තාය.
公元	ක්‍රිස්තු වර්ෂය	මේ වසර ක්‍රිස්තු වර්ෂ දෙදහස් විසි හයයි.
公主	කුමරිය	කුඩා දැරිය කුමරියන්ගේ කතා වලට කැමතියි.
功能	ක්‍රියාකාරිත්වය	මෙම මෘදුකාංගයට බොහෝ ක්‍රියාකාරිත්වයන් ඇත.
工厂	කර්මාන්තශාලාව	මෙම කර්මාන්තශාලාව මෝටර් රථ නිෂ්පාදනය කරයි.
工程师	ඉංජිනේරු	මගේ අයියා ඉංජිනේරුවෙකි.
工具	මෙවලම	බයිසිකලයක් අලුත්වැඩියා කිරීමට මෙවලම් අවශ්‍ය වේ.
工人	කම්කරුවා	කම්කරුවන් මාර්ගය අලුත්වැඩියා කරමින් සිටිති.
工业	කර්මාන්තය	මෙම නගරය ප්‍රධාන වශයෙන් කර්මාන්තය මත පදනම් වේ.
恭喜	සුබ පැතුම්	විභාගය සමත් වීම ගැන ඔබට සුබ පැතුම්.
贡献	දායකත්වය	ඔහු සමාගමට දායකත්වයක් ලබා දුන්නේය.
沟通	සන්නිවේදනය	හොඳ සන්නිවේදනය ඉතා වැදගත්ය.
构成	සෑදීම	මෙම කොටස් එකතු වී සමස්තයක් සෑදේ.
姑姑	පියාගේ සහෝදරිය	මම සති අන්තයේ පියාගේ සහෝදරිය බලන්න යමි.
姑娘	තරුණිය	එම තරුණිය ඉතා උණුසුම් හදවතක් ඇති කෙනෙකි.
古代	පුරාණ කාලය	පුරාණ කාලයේ ජංගම දුරකථන නොතිබුණි.
古典	සම්භාව්‍ය	මම සම්භාව්‍ය සංගීතයට කැමතියි.
股票	කොටස්	ඔහු කොටස් කිහිපයක් මිලදී ගත්තේය.
骨头	අස්ථිය	මෙම අස්ථිය ඉතා දැඩිය.
鼓舞	දිරිගන්වන	මෙම පුවත ඉතා දිරිගන්වන සුළුය.
鼓掌	අත්පුඩි ගැසීම	ප්‍රේක්ෂකයෝ නළු නිළියන්ට අත්පුඩි ගැසූහ.
固定	ස්ථිර	මට ස්ථිර වැඩ වේලාවක් ඇත.
挂号	ලියාපදිංචි වීම	වෛද්‍යවරයෙකු හමුවීමට පෙර පළමුව ලියාපදිංචි විය යුතුය.
乖	කීකරු	මෙම දරුවා ඉතා කීකරුය.
拐弯	හැරීම	ඉදිරි මංසන්ධියේ දකුණට හැරෙන්න.
怪不得	ඒකයි	ඒකයි ඔයා මෙතරම් මහන්සියෙන් ඉන්නේ.
关闭	වසා දැමීම	පිටවීමට පෙර කරුණාකර පරිගණකය වසා දමන්න.
官	නිලධාරියා	ඔහු තරුණ නිලධාරියෙකි.
观察	නිරීක්ෂණය කිරීම	වෛද්‍යවරයා රෝගියාගේ තත්ත්වය නිරීක්ෂණය කරමින් සිටී.
观点	දෘෂ්ටිකෝණය	මම ඔබේ දෘෂ්ටිකෝණයට එකඟ වෙමි.
观念	අදහස	තරුණයන්ගේ අදහස් වෙනස් වෙමින් පවතී.
管子	නළය	මෙම නළයෙන් ජලය කාන්දු වේ.
冠军	ශූරයා	ඇය තරඟයේ ශූරතාව දිනා ගත්තාය.
光滑	සිනිඳු	මෙම මේසයේ මතුපිට ඉතා සිනිඳුය.
光临	පැමිණීම	ඔබ නැවත පැමිණෙන විට අපි සතුටින් පිළිගනිමු.
光明	දීප්තිමත්	අනාගතය දීප්තිමත්ය.
光盘	තැටිය	කරුණාකර දත්ත තැටියට සුරකින්න.
广场	චතුරස්‍රය	චතුරස්‍රයේ බොහෝ මිනිසුන් සිටිති.
广大	විශාල පිරිසක්	මෙම පුවත බොහෝ සිසුන්ගේ පිළිගැනීමට ලක් විය.
广泛	පුළුල්	මෙම පොතට පුළුල් බලපෑමක් ඇත.
归纳	සාරාංශ කිරීම	ගුරුවරයා අපට ප්‍රධාන කරුණු සාරාංශ කිරීමට උදව් කළේය.
规矩	නීති රීති	ළමයින් නීති රීති තේරුම් ගත යුතුය.
规律	නිතිපතා රටාව	ජීවිතයට නිතිපතා රටාවක් තිබිය යුතුය.
规模	පරිමාණය	මෙම සමාගමේ පරිමාණය විශාලය.
规则	නීති	තරඟ නීති ඉතා පැහැදිලිය.
柜台	කවුන්ටරය	කරුණාකර කවුන්ටරයට ගොස් ගෙවන්න.
滚	උතුරීම	ජලය දැනටමත් උතුරා ඇත.
锅	හැළිය	හැළියේ උණු සුප් ඇත.
国庆节	ජාතික දිනය	ජාතික දිනයේ අපට නිවාඩු ඇත.
国王	රජු	රජු මාලිගාවේ ජීවත් වේ.
果然	බලාපොරොත්තු වූ පරිදි	ඔහු බලාපොරොත්තු වූ පරිදි නියම වේලාවට පැමිණියේය.
果实	පලතුරු	ගස පලතුරුවලින් පිරී ඇත.
过分	අධික	ඔහුගේ ඉල්ලීම ටිකක් අධිකය.
过敏	අසාත්මිකතාව	මට මල් පරාගයට අසාත්මිකතාවක් ඇත.
过期	කල් ඉකුත් වීම	මෙම කිරි බෝතලයේ කල් දැනටමත් ඉකුත් වී ඇත.
哈	හා	හා, මට අවසානයේ තේරුණා.
海关	රේගුව	අපි රේගුවේ පරීක්ෂාව සඳහා පෝලිමේ සිටියෙමු.
海鲜	මුහුදු ආහාර	මෙම ආපනශාලාවේ මුහුදු ආහාර ඉතා නැවුම්ය.
喊	කෑගැසීම	පන්ති කාමරයේ ඉතා හඬින් කෑගසන්න එපා.
行业	කර්මාන්ත අංශය	සංචාරක කර්මාන්ත අංශය ඉක්මනින් වර්ධනය වේ.
豪华	සුඛෝපභෝගී	ඔවුන් සුඛෝපභෝගී හෝටලයක නැවතී සිටිති.
好客	ආගන්තුක සත්කාරශීලී	දේශීය ජනතාව ඉතා ආගන්තුක සත්කාරශීලීය.
好奇	කුතුහලයෙන්	ළමයින් ලෝකය ගැන ඉතා කුතුහලයෙන් සිටිති.
何必	අවශ්‍ය කුමක්ද	සුළු කාරණයකට කෝප වීමට අවශ්‍ය කුමක්ද?
何况	ඉතින් තවත්	අද සීතලයි, ඉතින් තවත් වැස්සත් වැටේ.
合法	නීත්‍යානුකූල	මෙම ගිවිසුම නීත්‍යානුකූලය.
合理	සාධාරණ	මෙම මිල සාධාරණය.
合同	ගිවිසුම	ඔවුන් ගිවිසුමක් අත්සන් කළහ.
合影	සමූහ ඡායාරූපය	උපාධි සමයේ අපි සමූහ ඡායාරූපයක් ගත්තෙමු.
合作	සහයෝගිතාව	අපි සහයෝගිතාවෙන් ව්‍යාපෘතිය සම්පූර්ණ කළෙමු.
和平	සාමය	සියලු දෙනාම සාමය බලාපොරොත්තු වෙති.
核心	හරය	විශ්වාසය සහයෝගිතාවේ හරයයි.
恨	ගැඹුරින් පසුතැවීම	ඔහු කලින් මහන්සි නොවීම ගැන ගැඹුරින් පසුතැවෙයි.
猴子	වඳුරා	සත්වෝද්‍යානයේ වඳුරන් කිහිප දෙනෙක් සිටිති.
后背	පිටුපස	ඔහුගේ පිටුපස ටිකක් රිදෙනවා.
后果	ප්‍රතිවිපාක	ඔබ ප්‍රතිවිපාක සලකා බැලිය යුතුය.
呼吸	හුස්ම ගැනීම	කරුණාකර ගැඹුරු හුස්මක් ගන්න.
忽然	හදිසියේ	අහස හදිසියේ අඳුරු විය.
忽视	නොසලකා හැරීම	මෙම ගැටලුව නොසලකා හරින්න එපා.
壶	තේ කුඩා භාජනය	මේසය මත තේ කුඩා භාජනයක් ඇත.
糊涂	අවුල් වූ	අද මම ටිකක් අවුල් වී සිටිමි.
胡说	විකාර කතා කිරීම	විකාර කතා කරන්න එපා, මෙය සත්‍ය නොවේ.
胡同	පටු වීදිය	බෙයිජිංහි පැරණි පටු වීදි බොහෝ ඇත.
蝴蝶	සමනලයා	උයනේ සමනලයෙක් සිටී.
花生	රටකජු	ඔහු රටකජු කෑමට කැමතිය.
华裔	චීන සම්භවයක් ඇති	ඇය චීන සම්භවයක් ඇති ලේඛිකාවකි.
滑	ලිස්සන	බිම ලිස්සන සුළුයි, ටිකක් පරෙස්සම් වන්න.
划	ඔරු පැදීම	ඔරුවෙන් යන විට ඔහු ඔරු පැදීම භාර ගනී.
化学	රසායන විද්‍යාව	ඇය විශ්වවිද්‍යාලයේ රසායන විද්‍යාව ඉගෙන ගත්තාය.
话题	මාතෘකාව	මෙම මාතෘකාව ඉතා රසවත්ය.
怀念	මතක් වීම	මට විශ්වවිද්‍යාල ජීවිතය බොහෝ මතක් වේ.
怀孕	ගැබිනි වීම	ඇය ගැබ්ගෙන මාස තුනක් වී ඇත.
缓解	සහනය දීම	විවේකය පීඩනයට සහනයක් දිය හැක.
幻想	කල්පනා කිරීම	ඔහු නිතර අභ්‍යවකාශයට ගමන් කිරීම ගැන කල්පනා කරයි.
慌张	බියෙන් කලබල වීම	ගැටලුවකට මුහුණ දුන් විට බියෙන් කලබල වෙන්න එපා.
黄金	රන්	රන් මිල නැවතත් ඉහළ ගොස් ඇත.
恢复	යථා තත්ත්වයට පත්වීම	ඔහුගේ ශරීරය යථා තත්ත්වයට පත්වෙමින් පවතී.
挥	අත වැනීම	ඇය අත වැනුවාය.
灰	අළු පැහැය	අහස අළු පැහැතිය.
灰尘	දූවිලි	මේසය මත දූවිලි බොහෝ ඇත.
灰心	ධෛර්යය නැති වීම	අසාර්ථක වුවත් ධෛර්යය නැති කරගන්න එපා.
汇率	විනිමය අනුපාතය	අද විනිමය අනුපාතය කීයද?
婚礼	විවාහ උත්සවය	ඔවුන්ගේ විවාහ උත්සවය ඉතා සරල විය.
婚姻	විවාහය	විවාහයට එකිනෙකා තේරුම් ගැනීම අවශ්‍යය.
活跃	සක්‍රීය	ඔහු පන්තියේ ඉතා සක්‍රීයය.
伙伴	සගයා	ඔහු මගේ හොඳම සගයාය.
火柴	ගිනිකූර	පෙට්ටියේ ඉතිරිව ඇත්තේ එක් ගිනිකූරක් පමණි.
或许	සමහර විට	සමහර විට හෙට වැස්ස වැටේ.
基本	මූලික	මේවා මූලික අවශ්‍යතාය.
机器	යන්ත්‍රය	මෙම යන්ත්‍රය කැඩී ඇත.
激烈	උග්‍ර	තරඟය ඉතා උග්‍ර ලෙස පැවැත්විණි.
肌肉	මාංශ පේශිය	ව්‍යායාමයෙන් පසු මාංශ පේශි ටිකක් රිදේ.
及格	සමත් වීම	මෙම විභාගයෙන් ඔහු සමත් විය.
急忙	ඉක්මනින්	ඔහු ඉක්මනින් පන්ති කාමරයෙන් පිටතට දිව ගියේය.
急诊	හදිසි ප්‍රතිකාර ඒකකය	රෝගියා හදිසි ප්‍රතිකාර ඒකකයට යවනු ලැබීය.
极其	අතිශයින්	මෙම ගැටලුව අතිශයින් වැදගත්ය.
集合	එකතු වීම	කරුණාකර සියලු දෙනා අටට දොරටුව අසල එකතු වන්න.
集体	සමූහ	මෙය සමූහ ක්‍රියාකාරකමකි.
集中	අවධානය යොමු කිරීම	පන්තියේදී අවධානය යොමු කළ යුතුය.
寂寞	තනිවීම	තනිව ජීවත් වීම සමහර විට තනිවීමක් දැනේ.
系领带	ටයි පටිය බැඳීම	ඔහු සෑම දිනකම වැඩට යාමට පෙර ටයි පටිය බැඳයි.
纪录	වාර්තාව	ඔහු පාසල් වාර්තාව බිඳ දැමුවේය.
纪律	විනය	පන්ති කාමර විනය ඉතා වැදගත්ය.
纪念	සිහි කිරීම	අපි මෙම දිනය සිහි කිරීමට ඡායාරූප ගත්තෙමු.
计算	ගණනය කිරීම	කරුණාකර මුළු වියදම ගණනය කරන්න.
记录	සටහන් කිරීම	කරුණාකර රැස්වීමේ අන්තර්ගතය සටහන් කරන්න.
记忆	මතකය	මෙම මතකය ඉතා වටිනාය.
嘉宾	ගෞරවනීය අමුත්තා	අද ගෞරවනීය අමුත්තා ලේඛකයෙකි.
夹子	ක්ලිප් එක	කරුණාකර ක්ලිප් එකෙන් ලේඛන අල්ලා තබන්න.
家庭	පවුල	පවුල දරුවන්ට ඉතා වැදගත්ය.
家务	ගෙදර දොරේ වැඩ	සති අන්තයේ මට ගෙදර දොරේ වැඩ කරන්න තිබේ.
家乡	උපන් ගම	මට උපන් ගම ඉතා මතක් වේ.
假如	නම්	හෙට වැස්ස වැටුණහොත් අපි නොයමු.
假设	උපකල්පනය කිරීම	ඔබ ගුරුවරයා යැයි උපකල්පනය කළහොත්, ඔබ කුමක් කරයිද?
假装	මවා පෑම	ඔහු ඇසුණේ නැතැයි මවා පෑවේය.
甲	පළමු පාර්ශ්වය	පළමු පාර්ශ්වය නියමිත වේලාවට ගෙවිය යුතුය.
价值	වටිනාකම	මෙම පොත ඉතා වටිනාය.
嫁	විවාහ වීම	ඇය ලබන වසරේ තම පෙම්වතා සමඟ විවාහ වේ.
驾驶	රිය පැදවීම	මෝටර් රථය පදවන විට පරෙස්සමින් රිය පදවන්න.
兼职	අර්ධකාලීන රැකියාව	ඔහු රාත්‍රියේ අර්ධකාලීන රැකියාවක් කරයි.
坚决	දැඩි ලෙස	ඔහු මෙම තීරණයට දැඩි ලෙස එකඟ නොවේ.
坚强	ශක්තිමත්	ඇය ශක්තිමත් පුද්ගලයෙකි.
肩膀	උරහිස	ඔහුගේ උරහිස තුවාල වී ඇත.
艰巨	අතිශය දුෂ්කර	මෙය අතිශය දුෂ්කර කාර්යයකි.
艰苦	දුෂ්කර	ඔවුන් දුෂ්කර ජීවිතයක් අත්විඳියහ.
剪刀	කතුර	කරුණාකර කතුර මට දෙන්න.
捡	අහුලා ගැනීම	ඔහු බිම තිබූ පසුම්බිය අහුලා ගත්තේය.
简历	ජීව දත්ත පත්‍රය	රැකියාවකට අයදුම් කිරීමට පෙර ජීව දත්ත පත්‍රයක් සූදානම් කළ යුතුය.
简直	ඇත්තටම	මෙම පුවත ඇත්තටම පුදුම කරවන සුළුය.
健身	ශරීර සුවතා ව්‍යායාම	ඔහු සතියකට තුන් වතාවක් ශරීර සුවතා ව්‍යායාම කිරීමට යයි.
建立	ගොඩනැගීම	අපි නව සම්බන්ධතාවක් ගොඩනැගුවෙමු.
建设	ඉදිකිරීම	නාගරික ඉදිකිරීම් ඉක්මනින් වර්ධනය වේ.
建筑	ගොඩනැගිල්ල	මෙම ගොඩනැගිල්ලට විශේෂ ලක්ෂණ ඇත.
键盘	යතුරු පුවරුව	මගේ යතුරු පුවරුව පිරිසිදු කළ යුතුය.
讲究	විශේෂ අවධානය දීම	චීන ජාතිකයන් කෑම ගැන ඉතා විශේෂ අවධානයක් දක්වති.
讲座	දේශනය	අද රාත්‍රියේ චීන භාෂා දේශනයක් ඇත.
酱油	සෝයා සෝස්	කෑමට සෝයා සෝස් ටිකක් එකතු කරන්න.
交换	හුවමාරු කිරීම	අපි දුරකථන අංක හුවමාරු කර ගත්තෙමු.
交际	සමාජ සන්නිවේදනය	භාෂාවක් ඉගෙන ගන්නා විට සමාජ සන්නිවේදනයත් පුහුණු කළ යුතුය.
交往	ප්‍රේම සම්බන්ධතාවයක් පවත්වා ගැනීම	ඔවුන් වසර දෙකක් ප්‍රේම සම්බන්ධතාවයක් පවත්වාගෙන ගොස් ඇත.
浇	වතුර දැමීම	කරුණාකර සෑම දිනකම මල්වලට වතුර දමන්න.
胶水	මැලියම්	මම මැලියම් භාවිත කර ඡායාරූපය ඇලවූවෙමි.
狡猾	කපටි	එම නරියා ඉතා කපටිය.
角度	කෝණය	අපි ගැටලුව වෙනත් කෝණයකින් බලමු.
教材	පාඩම් පොත	මෙම පාඩම් පොත ඉතා ප්‍රයෝජනවත්ය.
教练	පුහුණුකරු	පුහුණුකරු අපෙන් නියමිත වේලාවට පැමිණෙන්න ඉල්ලයි.
教训	පාඩම	මෙම අසාර්ථක වීම පාඩමකි.
接触	සම්බන්ධ වීම	මෙය චීන සංස්කෘතිය සමඟ මගේ පළමු සම්බන්ධතාවයයි.
接待	පිළිගැනීම	සමාගම අමුත්තන් පිළිගැනීමට විශේෂ පුද්ගලයෙකු පත් කළේය.
接近	ළං වීම	වසන්ත උත්සවය තව තවත් ළං වෙමින් පවතී.
结实	ශක්තිමත්	මෙම සූට්කේස් එක ඉතා ශක්තිමත්ය.
阶段	අදියර	ඉගෙනීම අදියර තුනකට බෙදා ඇත.
结构	ව්‍යුහය	මෙම ලිපියේ ව්‍යුහය පැහැදිලිය.
结合	එකට සම්බන්ධ කිරීම	ඉගෙනීම ප්‍රායෝගිකත්වය සමඟ එකට සම්බන්ධ කළ යුතුය.
结论	නිගමනය	ඔහුගේ නිගමනය ඉතා විශ්වාසදායකය.
结账	බිල ගෙවීම	කෑම කා අවසන් වූ පසු අපි බිල ගෙවීමට ගියෙමු.
节省	ඉතිරි කිරීම	භූගත දුම්රියෙන් යාමෙන් කාලය ඉතිරි කළ හැක.
借口	හේතුවක් ලෙස කියා ගැනීම	තවත් හේතු කියන්න එපා.
届	වාරය	මෙය තුන්වන තරඟ වාරයයි.
戒	අත්හැරීම	වෛද්‍යවරයා ඔහුට දුම්පානය අත්හරින්න උපදෙස් දුන්නේය.
戒指	මුදුව	ඇය මුදුවක් පැළඳ සිටී.
金属	ලෝහය	යකඩ ලෝහයකි.
尽快	හැකි ඉක්මනින්	කරුණාකර හැකි ඉක්මනින් ඊමේල් එකට පිළිතුරු දෙන්න.
紧急	හදිසි	මෙය හදිසි තත්ත්වයකි.
谨慎	සැලකිලිමත්	ආයෝජනය කිරීමට පෙර සැලකිලිමත් විය යුතුය.
尽力	හැකි උපරිමයෙන් උත්සාහ කිරීම	මම ඔබට උදව් කිරීමට හැකි උපරිමයෙන් උත්සාහ කරමි.
尽量	හැකි තරම්	කරුණාකර හැකි තරම් කලින් පැමිණීමට උත්සාහ කරන්න.
近代	නූතන කාලය	නූතන චීනයේ බොහෝ වෙනස්කම් සිදු විය.
进步	ප්‍රගතිය	ඔහුගේ චීන භාෂාව ඉක්මනින් ප්‍රගතියක් ලබයි.
进口	ආනයනික	මෙම මෝටර් රථය ආනයනිකය.
精力	ශක්තිය	ළමයින්ට බොහෝ ශක්තිය ඇත.
精神	මානසික තත්ත්වය	ඔහු අද ඉතා හොඳ මානසික තත්ත්වයක සිටී.
经典	සම්භාව්‍ය	මෙය සම්භාව්‍ය චිත්‍රපටයකි.
经商	ව්‍යාපාර කිරීම	ඔහුගේ පියා විදේශයේ ව්‍යාපාර කරයි.
经营	පවත්වාගෙන යාම	ඇය කුඩා වෙළඳසැලක් පවත්වාගෙන යයි.
酒吧	බාර් එක	රාත්‍රියේ ඔවුන් බාර් එකකට ගියහ.
救	බේරා ගැනීම	වෛද්‍යවරයා ඔහුගේ ජීවිතය බේරා ගත්තේය.
救护车	ගිලන් රථය	ගිලන් රථය ඉක්මනින් පැමිණියේය.
舅舅	මාමා	මගේ මාමා නන්ජිංහි ජීවත් වේ.
居然	අපේක්ෂා නොකළ ලෙස	ඔහු අපේක්ෂා නොකළ ලෙස තම උපන්දිනය අමතක කළේය.
桔子	මැන්ඩරින් දොඩම්	මේසය මත මැන්ඩරින් දොඩම් කිහිපයක් ඇත.
俱乐部	සමාජය	ඇය පිහිනුම් සමාජයට එක් වූවාය.
具备	තිබීම	ඔහුට කළමනාකරණ අත්දැකීම් ඇත.
具体	නිශ්චිත	කරුණාකර තවත් නිශ්චිතව කියන්න.
巨大	විශාල	මෙම ව්‍යාපෘතියට විශාල ආයෝජනයක් අවශ්‍යය.
据说	කියන පරිදි	කියන පරිදි ඔහු දැනටමත් තම රටට ආපසු ගොස් ඇත.
捐	පරිත්‍යාග කිරීම	සියලු දෙනාම මුදල් පරිත්‍යාග කිරීමට කැමතිය.
决赛	අවසන් තරඟය	හෙට පාපන්දු අවසන් තරඟයයි.
决心	අධිෂ්ඨානය	ඔහු චීන භාෂාව හොඳින් ඉගෙන ගැනීමට අධිෂ්ඨානය කළේය.
绝对	නිසැකවම	මෙම කාරණය නිසැකවම අමතක කළ නොහැක.
角色	චරිතය	ඇය චිත්‍රපටයේ වැදගත් චරිතයක් රඟපායි.
军事	හමුදා කටයුතු	ඔහුට හමුදා ඉතිහාසය ගැන ඉතා උනන්දුවක් ඇත.
均匀	සමව	කරුණාකර වර්ණය සමව ආලේප කරන්න.
卡车	ලොරිය	ලොරියක් දොරටුව අසල නවතා ඇත.
开发	සංවර්ධනය කිරීම	සමාගම නව නිෂ්පාදනයක් සංවර්ධනය කරමින් සිටී.
开放	විවෘත වීම	උද්‍යානය සෑම උදෑසනකම හයට විවෘත වේ.
开幕式	ආරම්භක උත්සවය	ආරම්භක උත්සවය හෙට රාත්‍රියේ පැවැත්වේ.
开水	උණු වතුර	කරුණාකර මට උණු වතුර කෝප්පයක් දෙන්න.
砍	කපා දැමීම	කම්කරුවා ගස් අතු කපා දමමින් සිටී.
看不起	අඩු කොට සැලකීම	කිසිවෙකු අඩු කොට සලකන්න එපා.
看望	බැලීමට යාම	සති අන්තයේ මම සීයා සහ ආච්චි බැලීමට යමි.
靠	හේත්තු වීම	ඔහු බිත්තියට හේත්තු වී විවේක ගත්තේය.
颗	කුඩා වටකුරු දේ සඳහා ප්‍රමාණ පදය	රාත්‍රී අහසේ තරුවක් ඇත.
可见	පැහැදිලිව පෙනීම	මෙම ක්‍රමය ඉතා ඵලදායී බව පැහැදිලිව පෙනේ.
可靠	විශ්වාසදායක	ඔහු විශ්වාසදායක මිතුරෙකි.
可怕	භයානක	මෙම සිහිනය ඉතා භයානක විය.
克	ග්‍රෑම්	කරුණාකර ලුණු ග්‍රෑම් දෙකක් එකතු කරන්න.
克服	ජය ගැනීම	අපි දුෂ්කරතා ජය ගත යුතුය.
刻苦	මහන්සි වී	ඔහු ඉතා මහන්සි වී ඉගෙන ගනී.
客观	නිෂ්පක්ෂ	කරුණාකර ගැටලුව නිෂ්පක්ෂව විශ්ලේෂණය කරන්න.
课程	පාඨමාලාව	මෙම පාඨමාලාව ඉතා ප්‍රයෝජනවත්ය.
空间	ඉඩකඩ	මෙම කාමරයේ ඉඩකඩ බොහෝ ඇත.
控制	පාලනය කිරීම	රියදුරා මෝටර් රථයේ වේගය පාලනය කළේය.
空闲	නිදහස් වේලාව	හෙට පස්වරුවේ ඔබට නිදහස් වේලාවක් තිබේද?
口味	රස කැමැත්ත	ඔහු සැහැල්ලු රසයට කැමතිය.
夸	ප්‍රශංසා කිරීම	ගුරුවරයා ඔහුගේ විශාල ප්‍රගතිය ප්‍රශංසා කළේය.
夸张	අතිශයෝක්ති	ඔහුගේ මුහුණේ හැඟීම ටිකක් අතිශයෝක්ති සහිතය.
会计	ගණකාධිකාරී	ඇය සමාගමේ ගණකාධිකාරී ලෙස වැඩ කරයි.
宽	පළල්	මෙම මාර්ගය ඉතා පළල්ය.
昆虫	කෘමියා	ළමයින් කෘමීන් නිරීක්ෂණය කරමින් සිටිති.
扩大	පුළුල් කිරීම	පාසල පුස්තකාලය පුළුල් කිරීමට සැලසුම් කරයි.
辣椒	මිරිස්	කෑමට මිරිස් බොහෝ දමා ඇත.
拦	නවත්වා ගැනීම	පොලිසිය මෝටර් රථයක් නවත්වා ගත්තේය.
烂	කුණු වීම	මෙම ඇපල් ගෙඩිය දැනටමත් කුණු වී ඇත.
朗读	හඬින් කියවීම	කරුණාකර පාඩම හඬින් කියවන්න.
劳动	වැඩ කිරීම	වැඩ කිරීමෙන් මිනිසුන්ට පූර්ණ බවක් දැනේ.
劳驾	සමාවෙන්න	සමාවෙන්න, භූගත දුම්රිය ස්ථානය කොහේද?
姥姥	මවගේ මව	මගේ ආච්චිගේ කෑම ඉතා රසවත්ය.
老百姓	සාමාන්‍ය ජනතාව	සාමාන්‍ය ජනතාව ජීවන වියදම ගැන සැලකිලිමත් වෙති.
老板	ලොක්කා	ලොක්කා අද කාර්යාලයේ නැත.
老婆	බිරිඳ	ඔහු බිරිඳට මල් මිලදී ගත්තේය.
老实	අවංක	ඔහු අවංක මිනිසෙකි.
老鼠	මීයා	මුළුතැන්ගෙයි මීයෙක් සිටී.
乐观	සුභවාදී	ඇය අනාගතය ගැන සුභවාදීය.
雷	ගිගුරුම්	ඊයේ රාත්‍රියේ ගිගුරුම් හඬ ඉතා ශබ්දවත් විය.
类型	වර්ගය	මෙවැනි චිත්‍රපටය කුමන වර්ගයට අයත්ද?
冷淡	උදාසීන	ඔහුගේ ආකල්පය ටිකක් උදාසීනය.
厘米	සෙන්ටිමීටරය	මෙම පෑන සෙන්ටිමීටර් පහළොවක් දිගය.
梨	පෙයාර්ස්	මම පෙයාර්ස් කිහිපයක් මිලදී ගත්තෙමි.
离婚	දික්කසාද වීම	ඔවුන් පසුගිය වසරේ දික්කසාද විය.
理论	න්‍යාය	මෙම න්‍යාය ඉතා සංකීර්ණය.
理由	හේතුව	ඔබ පරක්කු වීමට ඇති හේතුව කුමක්ද?
利润	ලාභය	මේ වසරේ සමාගමේ ලාභය වැඩි විය.
利息	පොලී	බැංකු පොලී ඉහළ නැත.
利益	ප්‍රතිලාභ	අපි සියලු දෙනාගේ ප්‍රතිලාභ ආරක්ෂා කළ යුතුය.
利用	ප්‍රයෝජනයට ගැනීම	ඔහු සති අන්තය චීන භාෂාව ඉගෙන ගැනීමට ප්‍රයෝජනයට ගනී.
力量	ශක්තිය	එකමුතුකමම ශක්තියයි.
