simplified	LT	example_LT
定义	apibrėžimas	Pirmiausia paaiškink šios sąvokos apibrėžimą.
丢人	gėdinga	Meluoti viešai tikrai gėdinga.
丢三落四	išsiblaškęs	Jis visada išsiblaškęs ir dažnai išeidamas pamiršta raktus.
东道主	šeimininkas	Kaip šeimininkai turime gerai pasirūpinti svečiais.
东张西望	dairytis	Pamokos metu nesidairyk aplink.
董事长	valdybos pirmininkas	Valdybos pirmininkas šiandien dalyvavo susitikime.
冻结	įšaldyti	Bankas laikinai įšaldė šią sąskaitą.
动荡	neramumai	Karas ilgą laiką laikė šį regioną neramų.
动机	motyvas	Policija tiria jo motyvą.
动静	judesys	Kambaryje nebuvo nė menkiausio judesio.
动力	motyvacija	Susidomėjimas yra mokymosi motyvacija.
动脉	arterija	Gydytojas patikrino jo arteriją.
动身	išvykti	Rytoj anksti išvyksime į oro uostą.
动手	pradėti muštis	Reikalas dar neaiškus, todėl niekas neturėtų pradėti muštis.
动态	eiga	Prašau sekti projekto eigą.
动员	mobilizuoti	Mokykla mobilizavo mokinius prisijungti prie savanoriškos veiklos.
栋	pastatas	Šis pastatas turi dvidešimt aukštų.
兜	kišenė	Jis įsidėjo raktus į palto kišenę.
陡峭	status	Šis kalnų kelias labai status.
斗争	kova	Jie kovoja už aplinkos apsaugą.
督促	raginti	Vadovas paragino visus laiku atlikti užduotį.
毒品	narkotikai	Muitinė konfiskavo narkotikų partiją.
独裁	diktatūra	Žmonės priešinasi diktatūrai.
堵塞	užkimšti	Šiukšlės užkimšo kanalizaciją.
赌博	lošti	Lošimas gali sukelti rimtų pasekmių.
杜绝	užkirsti kelią	Įmonė reikalauja užkirsti kelią švaistymui.
端	nešti	Jis įėjo nešdamas puodelį karštos arbatos.
端午节	Drakono valčių šventė	Per Drakono valčių šventę valgome zongzi.
端正	ištaisyti	Mokiniai turėtų ištaisyti savo požiūrį į mokymąsi.
短促	trumpas	Jis trumpai atsiduso.
断定	nustatyti	Dar neįmanoma nustatyti, kas teisus, o kas klysta.
断绝	nutraukti	Po nelaimės kaimas prarado ryšį su išoriniu pasauliu.
堆积	susikaupti	Sniegas susikaupė kelkraštyje.
兑现	įvykdyti	Jis galiausiai įvykdė savo pažadą.
对策	atsakomoji priemonė	Susidūrę su rizika, turime turėti atsakomųjų priemonių.
对称	simetriškas	Šio pastato kairė ir dešinė pusės labai simetriškos.
对付	susidoroti	Su šia problema nelengva susidoroti.
对抗	stoti prieš	Dvi komandos finale stos viena prieš kitą.
对立	priešingas	Abiejų pusių pozicijos visiškai priešingos.
对联	porinis užrašas	Per Pavasario šventę jie ant durų klijuoja porinius užrašus.
对应	atitikti	Kiekvienas numeris atitinka vieną vietą.
对照	palyginti	Prašau palyginti vertimą su originaliu tekstu.
队伍	kolona	Parado kolona lėtai judėjo į priekį.
顿时	akimirksniu	Išgirdęs naujieną jis akimirksniu sustingo.
哆嗦	drebėti	Buvo taip šalta, kad jis vis drebėjo.
多元化	įvairovė	Įmonė skatina verslo įvairovę.
堕落	smukti	Jis nenori leisti sau toliau morališkai smukti.
额外	papildomas	Už šią paslaugą reikia mokėti papildomą mokestį.
恶心	pykinti	Užuodęs tą kvapą šiek tiek pajutau pykinimą.
恶化	blogėti	Jei negydysi, liga gali blogėti.
遏制	suvaldyti	Vyriausybė ėmėsi priemonių taršai suvaldyti.
恩怨	nuoskauda	Šių dviejų įmonių nuoskaudos tęsiasi jau seniai.
而已	tiek ir viskas	Aš tik pasakiau tai atsitiktinai, tiek ir viskas.
二氧化碳	anglies dioksidas	Augalai sugeria anglies dioksidą.
发布	paskelbti	Įmonė rytoj paskelbs naują produktą.
发财	praturtėti	Jis tikisi praturtėti sunkiu darbu.
发呆	svajoti	Ji sėdėjo prie lango ir svajojo.
发动	pradėti	Savanoriai pradėjo gyventojų gatvės valymo akciją.
发觉	pastebėti	Šiandien pastebėjau, kad jis šiek tiek nervinasi.
发射	paleisti	Raketa bus paleista vakare.
发誓	prisiekti	Jis prisiekė, kad daugiau niekada nemeluos.
发行	išleisti	Šis filmas bus išleistas kitą mėnesį.
发炎	uždegimas	Žaizdoje prasidėjo nedidelis uždegimas.
发扬	puoselėti	Turėtume puoselėti komandinio darbo dvasią.
发育	vystymasis	Vaikų fiziniam vystymuisi reikia pakankamos mitybos.
法人	juridinis asmuo	Ši įmonė yra savarankiškas juridinis asmuo.
番	žodžiai	Šie žodžiai man suteikė daug įkvėpimo.
凡是	visi	Visi užsiregistravę privalo dalyvauti mokymuose.
繁华	judrus	Ši gatvė anksčiau buvo labai judri.
繁忙	užimtas	Per šventes oro uostas ypač užimtas.
繁体字	tradiciniai rašmenys	Taivane žmonės dažnai rašo tradiciniais rašmenimis.
繁殖	daugintis	Šis augalas lengvai dauginasi.
反驳	paneigti	Jis duomenimis paneigė šį požiūrį.
反常	neįprastas	Šiandien oras šiek tiek neįprastas.
反感	antipatija	Man labai nepatinka tokia reklama.
反抗	priešintis	Žmonės pradėjo priešintis neteisingam valdymui.
反馈	grįžtamasis ryšys	Klientų grįžtamasis ryšys rodo, kad sistema labai stabili.
反面	kita pusė	Prašau apversti popierių į kitą pusę.
反射	atspindėti	Veidrodis atspindi šviesą.
反思	apmąstyti	Po nesėkmės jis rimtai apmąstė priežastis.
反问	klausimu atsakyti	Jis neatsakė ir klausimu atsakė man.
反之	atvirkščiai	Per didelės kainos mažina paklausą, ir atvirkščiai.
泛滥	išsilieti	Dėl smarkaus lietaus upė išsiliejo iš krantų.
范畴	kategorija	Šis klausimas patenka į teisės kategoriją.
贩卖	pardavinėti	Įstatymas draudžia pardavinėti padirbtus vaistus.
方位	kryptis	Žemėlapyje pažymėta tiksli kryptis.
方言	tarmė	Jis supranta vietinę tarmę.
方圆	spindulys	Dešimties kilometrų spinduliu nėra ligoninės.
方针	politika	Įmonė nustatė naują plėtros politiką.
防守	gynyba	Šios komandos gynyba labai stabili.
防御	gynyba	Miesto siena kadaise buvo naudojama gynybai nuo priešų.
防止	užkirsti kelią	Prašau prisisegti saugos diržą, kad išvengtum sužalojimo.
防治	prevencija ir gydymas	Gydytojas paaiškino ligų prevencijos ir gydymo metodus.
纺织	tekstilė	Šis miestas garsėja tekstilės pramone.
访问	aplankyti	Žurnalistas rytoj aplankys šį rašytoją.
放大	padidinti	Prašau šiek tiek padidinti paveikslėlį.
放射	skleisti	Ši medžiaga skleidžia šilumą.
非法	neteisėtas	Neteisėti sandoriai bus baudžiami.
飞禽走兽	paukščiai ir žvėrys	Miške gyvena įvairūs paukščiai ir žvėrys.
飞翔	skristi	Žuvėdros skrenda virš jūros.
飞跃	šuolis	Technologijų plėtra pasiekė didžiulį šuolį.
肥沃	derlingas	Ši žemė labai derlinga.
诽谤	šmeižtas	Už kitų šmeižtą reikia prisiimti teisinę atsakomybę.
废除	panaikinti	Ši sena taisyklė jau panaikinta.
废寝忘食	pamiršti miegą ir valgį	Jis taip įsitraukė į tyrimą, kad pamiršo miegą ir valgį.
废墟	griuvėsiai	Po žemės drebėjimo ta vieta virto griuvėsiais.
沸腾	virti	Vanduo jau užvirė.
肺	plautis	Rūkymas gali pakenkti plaučiams.
分辨	atskirti	Man sunku atskirti šias dvi spalvas.
分寸	saikas	Net juokaudamas turi jausti saiką.
分红	dividendai	Akcininkai metų pabaigoje gali gauti dividendus.
分解	suskaidyti	Mokytojas sudėtingą problemą suskaidė į kelis žingsnius.
分裂	suskilti	Vidiniai konfliktai privertė organizaciją suskilti.
分泌	išskirti	Ši liauka išskiria hormonus.
分明	aiškus	Faktai jau labai aiškūs.
分歧	nesutarimas	Abi pusės nesutaria dėl kainos.
分散	išskaidyti	Prašau išskaidyti riziką tarp skirtingų projektų.
吩咐	nurodyti	Vadovas nurodė man sutvarkyti dokumentus.
坟墓	kapas	Ant kalvos šlaito yra senas kapas.
粉末	milteliai	Prašau sutrinti tabletes į miltelius.
粉色	rožinė	Ji nusipirko rožinį šaliką.
粉碎	sutriuškinti	Policija sutriuškino šią nusikalstamą grupuotę.
分量	svoris	Šis sakinys turi didelį svorį.
愤怒	pyktis	Jo tonas buvo pilnas pykčio.
丰满	turtingas	Šio straipsnio turinys dar nepakankamai turtingas.
丰盛	gausus	Jie paruošė gausią vakarienę.
丰收	geras derlius	Ūkininkai šiemet sulaukė gero derliaus.
封闭	uždaryti	Statybų metu šis kelias bus uždarytas.
封建	feodalinis	Šis feodalinis mąstymo būdas jau seniai turėjo pasikeisti.
封锁	užtverti	Policija užtvėrė avarijos vietą.
锋利	aštrus	Šis peilis labai aštrus.
风暴	audra	Jūroje staiga kilo audra.
风度	elegancija	Scenoje jis atrodė labai elegantiškai.
风光	peizažas	Čia gamtos peizažas labai gražus.
风气	atmosfera	Mokykloje susiformavo gera mokymosi atmosfera.
风趣	humoras	Jis kalba su daug humoro.
风土人情	vietos papročiai	Kelionės padeda suprasti vietos papročius.
风味	vietinis skonis	Ši parduotuvė turi ryškų vietinį skonį.
逢	kiekvieną	Kiekvieną savaitgalį parke būna gyva.
奉献	atsiduoti	Gydytojas daug laiko skyrė pacientams.
否决	atmesti	Valdyba atmetė šį pasiūlymą.
夫妇	sutuoktinių pora	Ši sutuoktinių pora valdo mažą parduotuvę.
夫人	žmona	Ponas Vangas su žmona kartu dalyvavo pokylyje.
敷衍	formalus	Jis pateikė tik kelis formalius atsakymus.
俘虏	belaisvis	Pasibaigus karui belaisviai buvo paleisti.
幅度	mastas	Šį kartą kainos sumažinimo mastas didelis.
服从	paklusti	Kariai privalo paklusti įsakymams.
服气	susitaikyti	Jis pralaimėjo rungtynes, bet nesusitaikė su rezultatu.
福利	naudos	Darbuotojai labai vertina įmonės naudas.
福气	laimė	Jam pasisekė sutikti gerą mokytoją.
符号	simbolis	Šis simbolis reiškia pavojų.
辐射	radiacija	Gydytojas priminė jam vengti stiprios radiacijos.
俯视	žvelgti iš aukštai	Nuo kalno viršūnės galima žvelgti į visą miestą iš aukštai.
抚摸	glostyti	Ji švelniai glostė vaiko galvą.
抚养	auginti	Seneliai padėjo auginti vaiką.
腐败	korupcija	Vyriausybė kovoja su korupcija.
腐烂	pūti	Per ilgai palikti vaisiai pradės pūti.
腐蚀	ėsdinti	Rūgštis gali ėsdinti metalo paviršių.
腐朽	supuvęs	Jie kritikavo supuvusią sistemą.
辅助	padėti	Šis įrankis gali padėti mokyti.
副	pavaduotojas	Ji buvo paskirta vadovo pavaduotoja.
复活	atgaivinti	Ši tradicinė šventė vėl atgaivinama.
复兴	atgimimas	Kultūros atgimimui reikia ilgalaikių pastangų.
富裕	turtingas	Šis kaimas tampa vis turtingesnis.
腹泻	viduriavimas	Jis stipriai viduriuoja ir turi kreiptis į gydytoją.
覆盖	padengti	Storas sniegas padengė visą slėnį.
负担	našta	Nuoma tapo pagrindine jo našta.
赋予	suteikti	Įstatymas suteikia piliečiams pagrindines teises.
附和	pritarti be savos nuomonės	Jis neturi savarankiškos nuomonės ir tik atkartoja kitus.
附件	priedas	Prašau patikrinti el. laiško priedą.
附属	priklausantis	Ši ligoninė priklauso universitetui.
改良	tobulinti	Specialistai tobulina šią ryžių rūšį.
盖章	uždėti antspaudą	Pasirašius sutartį, reikia uždėti antspaudą.
钙	kalcis	Piene yra daug kalcio.
尴尬	nejaukus	Susitikime stojo nejauki tyla.
干旱	sausra	Ilga sausra paveikė pasėlius.
干扰	trikdyti	Triukšmas trukdo mano darbui.
干涉	kištis	Tėvai neturėtų per daug kištis į vaikų pasirinkimus.
干预	įsikišti	Vyriausybė laiku įsikišo dėl rinkos rizikos.
感慨	susijaudinimas	Pamatęs senas nuotraukas, jis buvo kupinas jausmų.
感染	infekcija	Šis virusas lengvai užkrečia vaikus.
干劲	entuziazmas	Visi dirba su dideliu entuziazmu.
扛	pakelti	Pasakojama, kad jis buvo toks stiprus, jog galėjo pakelti sunkų katilą.
纲领	programa	Susitikime buvo priimta nauja veiksmų programa.
岗位	pareigos	Ji greitai prisitaikė prie naujų pareigų.
港口	uostas	Krovininis laivas prisišvartavo uoste.
港湾	įlanka	Mažas laivas įplaukė į ramią įlanką.
杠杆	svertas	Ši investicija naudojo didelį finansinį svertą.
高超	puikus	Jo automobilių taisymo įgūdžiai puikūs.
高潮	kulminacija	Rungtynės pasiekė kulminaciją per paskutines dešimt minučių.
高峰	pikas	Aštunta ryto yra eismo pikas.
高明	išradingas	Šis metodas iš tiesų išradingas.
高尚	kilnus	Gydytojo profesinė dvasia yra kilni.
高涨	kilti	Žiūrovų entuziazmas vis kilo.
稿件	rankraštis	Redaktorius taiso rankraštį.
告辞	atsisveikinti	Jau vėlu, todėl pirmiausia atsisveikinsime.
告诫	įspėti	Mokytojas įspėjo mokinius nesukčiauti.
割	įsipjauti	Jis netyčia įsipjovė pirštą.
搁	padėti	Prašau padėti dokumentus ant stalo.
歌颂	šlovinti	Šis eilėraštis šlovina darbininkus.
疙瘩	gumbas	Ant jo rankos atsirado gumbas.
鸽子	balandis	Aikštėje yra daug balandžių.
格局	išplanavimas	Šio buto išplanavimas labai racionalus.
格式	formatas	Prašau užpildyti formą reikalaujamu formatu.
隔阂	susvetimėjimas	Nesusipratimas pagilino jų susvetimėjimą.
隔离	izoliuoti	Pacientą reikia laikinai izoliuoti.
革命	revoliucija	Ši revoliucija pakeitė šalies likimą.
个体	individas	Kiekvienas individas turi skirtingų poreikių.
各抒己见	išsakyti savo nuomonę	Susitikime visi išsakė savo nuomonę.
根深蒂固	giliai įsišaknijęs	Ši idėja jau giliai įsišaknijusi.
根源	šaknis	Skurdo šaknys yra sudėtingos.
跟前	prie	Vaikas pribėgo prie mamos.
跟随	sekti	Žurnalistas sekė komandą į kalnų vietovę.
跟踪	stebėti	Policija stebi įtariamojo judėjimą.
更新	atnaujinti	Šiąnakt sistema atsinaujins automatiškai.
更正	ištaisyti	Laikraštis kitą dieną ištaisė klaidą.
耕地	arti žemę	Pavasarį ūkininkai aria laukus.
供不应求	trūkumas	Šiuo metu šio vaisto trūksta.
供给	tiekimas	Miestui reikia stabilaus vandens ir elektros tiekimo.
公安局	Viešojo saugumo biuras	Jis nuėjo į Viešojo saugumo biurą pranešti apie bylą.
公道	teisingas	Visi tikisi teisingo elgesio.
公告	pranešimas	Mokykla paskelbė pranešimą apie pamokų sustabdymą.
公关	viešieji ryšiai	Įmonė pasamdė profesionalią viešųjų ryšių komandą.
公民	pilietis	Kiekvienas pilietis turėtų laikytis įstatymų.
公然	viešai	Jis viešai pažeidė varžybų taisykles.
公认	pripažintas	Ji pripažinta puikia mokytoja.
公式	formulė	Prašau užrašyti šią matematinę formulę.
公务	tarnybiniai reikalai	Dėl tarnybinių reikalų jis išvyko į trijų dienų komandiruotę.
公正	teisingas	Teisėjas privalo išlikti teisingas.
公证	notarinis patvirtinimas	Šiam dokumentui reikia notarinio patvirtinimo.
功劳	nuopelnas	Visi turi nuopelnų dėl šios sėkmės.
功效	veiksmingumas	Šio vaisto veiksmingumą dar reikia patikrinti.
宫殿	rūmai	Turistai aplankė senovinius rūmus.
工艺品	rankdarbis	Šis rankdarbis pagamintas rankomis.
恭敬	pagarbiai	Jis pagarbiai pasveikino vyresnį žmogų.
攻击	pulti	Programišiai puolė įmonės svetainę.
攻克	įveikti	Tyrėjų komanda įveikė techninę problemą.
巩固	įtvirtinti	Kartojimas gali įtvirtinti išmoktą medžiagą.
共和国	respublika	Ši respublika buvo įkurta praėjusiame amžiuje.
共计	iš viso	Šią prekių partiją iš viso sudaro trys šimtai dėžių.
共鸣	atgarsis	Ši daina sukėlė atgarsį daugeliui žmonių.
勾结	susimokyti	Jie susimokė su pašaliniais asmenimis apgaule gauti lėšų.
钩子	kabliukas	Ant sienos kabo keli kabliukai.
构思	sumanyti	Rašytojas sumano naują romaną.
姑且	kol kas	Kol kas pabandykime šį planą vieną savaitę.
孤独	vienišas	Persikėlęs į naują miestą, jis jautėsi vienišas.
孤立	izoliuotai	Nežiūrėk į šią problemą izoliuotai.
辜负	nuvilti	Nenoriu nuvilti tėvų lūkesčių.
古董	antikvarinis daiktas	Senelis surinko kelis antikvarinius daiktus.
古怪	keistas	Jo mintis šiek tiek keista.
股东	akcininkas	Akcininkų susirinkimas vyks kitą savaitę.
股份	akcijos	Jis turi įmonės akcijų.
骨干	branduolys	Šie inžinieriai yra komandos branduolys.
鼓动	kurstyti	Kažkas kurstė minią protestuoti.
固然	tiesa	Tiesa, šis metodas paprastas, bet rizika nemaža.
固体	kietoji medžiaga	Ledas yra kietoji vandens forma.
固有	būdingas	Kiekviena kultūra turi jai būdingų bruožų.
固执	užsispyręs	Jis per daug užsispyręs ir atsisako klausytis patarimų.
故乡	gimtinė	Po daugelio metų jis grįžo į gimtinę.
故障	gedimas	Lifte įvyko gedimas, todėl jis laikinai neveikia.
雇佣	samdyti	Įmonė nusprendė samdyti daugiau techninių darbuotojų.
顾虑	abejonės	Gali tiesiai pasakyti visas savo abejones.
顾问	konsultantas	Pasamdėme teisės konsultantą.
拐杖	lazda	Senas vyras išeidamas dažnai pasiima lazdą.
关怀	rūpestis	Mokytojas parodė mokiniams daug rūpesčio.
关照	pasirūpinti	Prašau pasirūpinti vaiku kelionėje.
官方	oficialus	Oficialios naujienos bus paskelbtos rytoj.
观光	apžvalginė kelionė	Turistai plaukė laivu į apžvalginę kelionę.
管辖	jurisdikcija	Ši teritorija priklauso miesto valdžios jurisdikcijai.
惯例	įprasta	Prieš susitikimą įprasta pristatyti svečius.
灌溉	drėkinti	Ūkininkai upės vandeniu drėkina dirbamą žemę.
罐	indelis	Ant stalo yra indelis arbatos lapelių.
贯彻	įgyvendinti	Įmonė turi įgyvendinti naujus saugos standartus.
光彩	spindesys	Ši apranga suteikė jai spindesio.
光辉	šlovingas	Jo pasiekimai paliko šlovingą puslapį.
光芒	spinduliai	Saulės spinduliai nušvietė slėnį.
光荣	garbinga	Tarnauti šaliai yra garbinga.
广阔	platus	Pieva tęsiasi be galo ir yra labai plati.
归根到底	galiausiai	Galiausiai problema slypi valdyme.
归还	grąžinti	Prašau laiku grąžinti knygas.
规范	standartas	Mokykla nustatė standartus laboratorijai valdyti.
规格	specifikacija	Šios dalių partijos specifikacijos nesutampa.
规划	planavimas	Miesto planavimas turi atsižvelgti į transportą.
规章	taisyklės	Darbuotojai turi laikytis įmonės taisyklių.
轨道	bėgiai	Traukinys juda bėgiais.
贵族	bajorija	Šis dvaras kadaise priklausė bajorijai.
跪	klauptis	Jis atsiklaupė prieš statulą.
棍棒	lazdos	Policija įvykio vietoje konfiskavo lazdas.
国防	krašto gynyba	Krašto gynybos stiprinimui reikia ilgalaikių investicijų.
国务院	Valstybės taryba	Valstybės taryba paskelbė naują pranešimą.
果断	ryžtingas	Vadovas priėmė ryžtingą sprendimą.
过度	perteklinis	Perteklinis telefono naudojimas gali paveikti miegą.
过渡	pereinamas	Įmonė yra pertvarkos pereinamajame etape.
过奖	perdėtai girti	Perdėtai mane giri, man dar reikia mokytis.
过滤	filtruoti	Šis prietaisas gali filtruoti nešvarumus.
过失	klaida	Šią avariją sukėlė žmogaus klaida.
过问	kištis	Vadovas retai kišasi į tokius smulkius reikalus.
过瘾	patenkinti	Žiūrėti šias rungtynes buvo tikrai malonu.
过于	pernelyg	Šis planas pernelyg sudėtingas.
嗨	hei	Hei, kodėl ir tu atėjai?
海拔	aukštis virš jūros lygio	Šis kaimas yra dideliame aukštyje virš jūros lygio.
海滨	pajūris	Savaitgalį jie praleido pajūryje.
含糊	neaiškus	Jo atsakymas buvo labai neaiškus.
含义	reikšmė	Šis žodis turi ypatingą reikšmę.
寒暄	pasisveikinimai	Susitikę jie pirmiausia apsikeitė keliais pasisveikinimais.
罕见	retas	Ši liga labai reta.
捍卫	ginti	Advokatas stengėsi ginti kliento teises.
航空	aviacija	Aviakompanija atšaukė skrydį.
航天	kosmonautika	Kinijos kosmonautikos programa sparčiai vystosi.
航行	plaukti	Laivas plaukia jūroje.
行列	gretos	Ji prisijungė prie savanorių gretų.
毫米	milimetras	Šis stiklo gabalas yra penkių milimetrų storio.
毫无	visiškai be	Jo paaiškinimas visiškai neturi pagrindo.
豪迈	drąsus	Jo dainavimas buvo drąsus ir galingas.
号召	raginti	Vyriausybė paragino visus taupyti vandenį.
耗费	sunaudoti	Šis projektas sunaudojo daug lėšų.
呵	sušukti	Tėvas kartą sušuko, ir vaikas tuoj pat sustojo.
合并	susijungti	Dvi įmonės kitais metais planuoja susijungti.
合成	sintetinti	Šią medžiagą galima sintetinti dirbtinai.
合伙	bendradarbiauti	Jie kartu atidarė restoraną.
合算	apsimokėti	Važiuoti autobusu labiau apsimoka nei taksi.
和蔼	malonus	Šis gydytojas kalba labai maloniai.
和解	susitaikymas	Abi pusės galiausiai pasiekė susitaikymą.
和睦	darniai	Kaimynai darniai sutaria.
和气	draugiškai	Viršininkas su žmonėmis elgiasi draugiškai.
和谐	harmoningas	Muzika padarė atmosferą harmoningesnę.
嘿	hei	Hei, ar tai girdėjai?
痕迹	pėdsakas	Ant žemės liko ratų pėdsakai.
狠心	žiauriai	Jis žiauriai atmetė draugo prašymą.
恨不得	norėti tuoj pat	Norėčiau tuoj pat grįžti namo ir pailsėti.
哼	prunkštelėti	Jis nepatenkintas prunkštelėjo.
横	horizontalus	Prašau popieriuje nubrėžti horizontalią liniją.
哄	prapliupti juoku	Visi prapliupo juoku.
烘	kepti	Duona kepa orkaitėje.
轰动	sukelti sensaciją	Ši naujiena sukėlė sensaciją visoje šalyje.
宏观	makroekonominis	Turime analizuoti ekonomiką iš makroekonominės perspektyvos.
宏伟	didingas	Šio tilto projektas labai didingas.
洪水	potvynis	Potvynis sugriovė kelis tiltus.
喉咙	gerklė	Jis per daug kalbėjo, todėl jam šiek tiek skauda gerklę.
吼	riaumoti	Jis garsiai riaumojo į tolį.
候选	kandidatas	Šiemet ji yra kandidatė atstovė.
后代	ateities kartos	Turime saugoti aplinką ateities kartoms.
后顾之忧	rūpesčiai dėl ateities	Stabilios pajamos pašalino jo rūpesčius dėl ateities.
后勤	logistika	Logistikos skyrius atsakingas už medžiagų tiekimą.
呼唤	kviesti	Mama prie durų kvietė vaiką.
呼啸	kaukti	Už lango kaukė šaltas vėjas.
呼吁	raginti	Ekspertai paragino visus mažinti švaistymą.
忽略	nepastebėti	Prašau nepraleisti šios detalės.
湖泊	ežeras	Šioje vietovėje yra daug natūralių ežerų.
胡乱	bet kaip	Nedėk daiktų bet kaip ant žemės.
胡须	barzda	Jo barzda jau pabalo.
花瓣	žiedlapis	Po lietaus žiedlapiai nukrito ant visos žemės.
花蕾	pumpuras	Pavasarį ant šakų auga žiedų pumpurai.
华丽	prabangus	Scenos kostiumai buvo labai prabangūs.
华侨	užjūrio kinas	Daug užjūrio kinų grįžo į tėvynę investuoti.
划分	padalinti	Mokytojas padalino mokinius į keturias grupes.
化肥	cheminės trąšos	Ūkininkai pasėlius patręšė cheminėmis trąšomis.
化石	fosilija	Muziejuje buvo eksponuojamos dinozaurų fosilijos.
化验	kraujo tyrimas	Gydytojas paprašė jo atlikti kraujo tyrimą.
化妆	dažytis	Prieš lipdama į sceną ji dažėsi.
画蛇添足	persistengti	Pridėti daugiau paaiškinimų būtų persistengimas.
话筒	mikrofonas	Vedėjas perdavė mikrofoną auditorijai.
欢乐	džiaugsmas	Šventės aikštė buvo kupina džiaugsmo.
环节	etapas	Kiekvienas mokymo etapas yra svarbus.
还原	atkurti	Prašome atkurti nustatymus į numatytąją būseną.
缓和	sušvelninti	Abiejų pusių santykiai pamažu sušvelnėjo.
患者	pacientas	Gydytojas klausia apie paciento būklę.
荒凉	nykus	Ši žemė atrodo labai nyki.
荒谬	absurdiškas	Šis paaiškinimas skamba absurdiškai.
荒唐	neįtikėtinai kvailas	Jo sprendimas buvo neįtikėtinai kvailas.
皇帝	imperatorius	Imperatorius gyveno didinguose rūmuose.
皇后	imperatorienė	Imperatorienė dalyvavo šventėje.
黄昏	sutemos	Sutemus gatvėse užsidegė žibintai.
恍然大悟	staiga suprasti	Išgirdęs paaiškinimą, jis staiga viską suprato.
晃	svyruoti	Jis akimirksniu dingo iš akių.
挥霍	švaistyti	Jis neturėtų švaistyti tėvų pinigų.
辉煌	šlovingas	Šis miestas turi šlovingą istoriją.
回报	atlygis	Sunkus darbas galiausiai duos atlygį.
回避	vengti	Jis vis vengė šio klausimo.
回顾	apžvelgti	Susitikimo pabaigoje buvo apžvelgti metų darbai.
回收	perdirbti	Bendruomenė pradėjo perdirbti senas baterijas.
悔恨	gailestis	Jis jautė gilų gailestį dėl ankstesnių klaidų.
毁灭	sunaikinti	Karas beveik sunaikino šį miestą.
会晤	susitikti	Dviejų šalių vadovai susitiks rytoj.
汇报	pranešti	Jis pranešė vadovui apie pažangą.
贿赂	kyšis	Pareigūnas buvo tiriamas dėl kyšio.
昏迷	koma	Pacientas vis dar yra komoje.
荤	mėsos patiekalas	Šiame patiekale yra mėsos, todėl jis netinka vegetarams.
浑身	visas kūnas	Po bėgimo visas jo kūnas buvo šlapias nuo prakaito.
混合	sumaišyti	Prašome tolygiai sumaišyti abi medžiagas.
混乱	chaosas	Vieta kurį laiką buvo visiškame chaose.
混淆	supainioti	Nesupainiokite šių dviejų sąvokų.
混浊	drumstas	Po lietaus upės vanduo tapo drumstas.
活该	pats kaltas	Jis neklausė patarimų, todėl pats kaltas, kad jam nepasisekė.
活力	gyvybingumas	Šis miestas kupinas gyvybingumo.
火箭	raketa	Raketa sėkmingai pasiekė numatytą orbitą.
火焰	liepsna	Vėjas pakėlė liepsnas dar aukščiau.
火药	parakas	Parakas pakeitė senovės karus.
货币	valiuta	Valiutų politika veikia ekonomikos raidą.
基地	bazė	Kadaise tai buvo svarbi mokymo bazė.
基金	fondas	Mokykla įsteigė stipendijų fondą.
基因	genas	Mokslininkai tiria šį geną.
机动	mobilus	Ši komanda išlaiko didelį mobilumą.
机构	institucija	Ši institucija atsakinga už kokybės patikrą.
机灵	sumanus	Šis vaikas labai sumanus.
机密	konfidencialus	Ši medžiaga yra konfidenciali.
机械	technika	Gamykla įdiegė naują techniką.
机遇	galimybė	Jauni žmonės turėtų pasinaudoti galimybėmis.
机智	nuovokus	Jo atsakymas buvo labai nuovokus.
激发	sužadinti	Mokytojas sužadino mokinių susidomėjimą.
激励	paskatinti	Ši sėkmė paskatino visą komandą.
激情	aistra	Kalbėdamas jis buvo kupinas aistros.
讥笑	šaipytis	Nesišaipykite iš kitų žmonių klaidų.
饥饿	alkis	Ilgalaikis alkis gali paveikti sveikatą.
即便	net jeigu	Net jeigu lis, mes išvyksime laiku.
即将	netrukus	Susitikimas netrukus prasidės.
及早	kuo anksčiau	Problemas reikia spręsti kuo anksčiau.
吉祥	palankus	Raudona spalva Kinijoje dažnai simbolizuoja palankią sėkmę.
嫉妒	pavydėti	Jis neturėtų pavydėti kolegos sėkmės.
急功近利	vaikytis greitos naudos	Tyrimų negalima daryti vaikantis greitos naudos.
急剧	staigus	Pardavimai staigiai sumažėjo.
急切	nekantrus	Ji nekantriai laukė naujienų.
急于求成	skubėti siekti rezultatų	Mokantis kalbos negalima skubėti siekti rezultatų.
急躁	nekantrus	Susidūrę su sunkumais, nebūkite nekantrūs.
极端	kraštutinis	Tokie kraštutiniai orai tampa vis dažnesni.
极限	riba	Ši treniruotė išbandė jo ribas.
疾病	liga	Geri įpročiai gali padėti išvengti ligų.
籍贯	kilmės vieta	Formoje reikia įrašyti kilmės vietą.
级别	lygis	Šios varžybos suskirstytos į tris lygius.
集团	grupė	Ši grupė turi filialų užsienyje.
给予	suteikti	Mokykla suteikia pagalbą nepasiturintiems mokiniams.
季军	trečioji vieta	Jis varžybose laimėjo trečiąją vietą.
季度	ketvirtis	Įmonė kiekvieną ketvirtį skelbia finansines ataskaitas.
寂静	tyla	Naktį slėnyje tvyro ypatinga tyla.
