simplified	RU	example_RU
尽快	как можно скорее	Пожалуйста, ответьте на письмо как можно скорее.
紧急	срочный; чрезвычайный	Это чрезвычайная ситуация.
谨慎	осторожный; осмотрительный	Перед инвестициями нужно быть осторожным.
尽力	стараться изо всех сил	Я постараюсь изо всех сил помочь тебе.
尽量	по возможности; стараться	Пожалуйста, постарайтесь прийти пораньше.
近代	новое время; современная эпоха	В Китае нового времени произошло много изменений.
进步	прогресс; улучшаться	Его китайский быстро улучшается.
进口	импортный; импортировать	Эта машина импортная.
精力	энергия; силы	У детей очень много энергии.
精神	дух; состояние	Сегодня он в хорошем состоянии.
经典	классика; классический	Это классический фильм.
经商	заниматься бизнесом	Его отец занимается бизнесом за границей.
经营	управлять; вести бизнес	Она управляет маленьким магазином.
酒吧	бар	Вечером они пошли в бар.
救	спасать	Врач спас ему жизнь.
救护车	скорая помощь	Скорая помощь быстро приехала.
舅舅	дядя по матери	Мой дядя по матери живет в Нанкине.
居然	неожиданно; как ни странно	Он неожиданно забыл собственный день рождения.
桔子	мандарин	На столе несколько мандаринов.
俱乐部	клуб	Она вступила в плавательный клуб.
具备	обладать; иметь	У него есть управленческий опыт.
具体	конкретный	Пожалуйста, говорите немного конкретнее.
巨大	огромный	Этот проект требует огромных вложений.
据说	говорят; по слухам	Говорят, он уже вернулся на родину.
捐	жертвовать; делать пожертвование	Все готовы пожертвовать деньги.
决赛	финал	Завтра финал по футболу.
决心	решимость; решиться	Он твердо решил хорошо выучить китайский.
绝对	абсолютно; непременно	Об этом деле абсолютно нельзя забывать.
角色	роль; персонаж	Она играет важную роль в фильме.
军事	военный; военное дело	Он очень интересуется военной историей.
均匀	равномерный; ровно	Пожалуйста, нанесите цвет ровно.
卡车	грузовик	У входа стоит грузовик.
开发	разрабатывать; осваивать	Компания разрабатывает новый продукт.
开放	открываться; быть открытым	Парк открывается каждый день в шесть утра.
开幕式	церемония открытия	Церемония открытия состоится завтра вечером.
开水	кипяченая вода; кипяток	Пожалуйста, дайте мне стакан кипяченой воды.
砍	рубить; срубать	Рабочий рубит ветки.
看不起	смотреть свысока; презирать	Не смотри свысока ни на кого.
看望	навещать	На выходных я навещу бабушку и дедушку.
靠	опираться; приближаться; полагаться	Он прислонился к стене, чтобы отдохнуть.
颗	счетное слово для маленьких круглых предметов	В ночном небе есть одна звезда.
可见	видно; ясно, что	Видно, что этот метод очень эффективен.
可靠	надежный	Он надежный друг.
可怕	страшный; ужасный	Этот сон был слишком страшным.
克	грамм	Пожалуйста, добавьте два грамма соли.
克服	преодолевать	Нам нужно преодолеть трудности.
刻苦	усердный; прилежный	Он очень усердно учится.
客观	объективный	Пожалуйста, анализируйте проблему объективно.
课程	курс; учебный предмет	Этот курс очень полезный.
空间	пространство; место	В этой комнате много места.
控制	контролировать; управлять	Водитель удержал скорость машины под контролем.
空闲	свободное время	У тебя завтра днем есть свободное время?
口味	вкус; вкусовые предпочтения	У него довольно легкие вкусовые предпочтения.
夸	хвалить; преувеличивать	Учитель похвалил его за большой прогресс.
夸张	преувеличенный; преувеличивать	Его выражение лица немного преувеличенное.
会计	бухгалтерия; бухгалтер	Она работает бухгалтером в компании.
宽	широкий	Эта дорога очень широкая.
昆虫	насекомое	Дети наблюдают за насекомыми.
扩大	расширять; увеличивать	Школа планирует расширить библиотеку.
辣椒	перец чили	В блюдо добавили много перца чили.
拦	останавливать; преграждать	Полиция остановила машину.
烂	гнилой; разваренный	Это яблоко уже сгнило.
朗读	читать вслух	Пожалуйста, громко прочитайте текст.
劳动	труд; физическая работа	Труд дает человеку чувство наполненности.
劳驾	извините; будьте добры	Извините, где находится станция метро?
姥姥	бабушка по матери	Моя бабушка по матери очень вкусно готовит.
老百姓	простые люди; народ	Простых людей волнует стоимость жизни.
老板	начальник; владелец	Сегодня начальника нет в офисе.
老婆	жена	Он купил жене цветы.
老实	честный; простой	Он честный человек.
老鼠	мышь; крыса	На кухне есть мышь.
乐观	оптимистичный	Она оптимистично смотрит в будущее.
雷	гром	Вчера ночью гром был очень сильный.
类型	тип; категория	К какому типу относится такой фильм?
冷淡	холодный; равнодушный	Его отношение немного холодное.
厘米	сантиметр	Эта ручка длиной пятнадцать сантиметров.
梨	груша	Я купил несколько груш.
离婚	развестись; развод	Они развелись в прошлом году.
理论	теория	Эта теория очень сложная.
理由	причина; основание	Какая у тебя причина для опоздания?
利润	прибыль	В этом году прибыль компании выросла.
利息	процент по вкладу или кредиту	Банковский процент невысокий.
利益	интересы; выгода	Нам нужно защищать интересы всех.
利用	использовать	Он использует выходные, чтобы учить китайский.
力量	сила	Единство - это сила.
立即	немедленно	Пожалуйста, немедленно покиньте это место.
立刻	сразу; немедленно	Услышав новость, он сразу отправился.
联合	совместный; объединять	Две компании совместно разработали продукт.
连忙	поспешно; сразу	Услышав телефонный звонок, он сразу поднял трубку.
连续	непрерывный; подряд	Он работал десять часов подряд.
恋爱	романтические отношения; встречаться	Они сейчас встречаются.
粮食	зерно; продовольствие	В этом году урожай зерна увеличился.
良好	хороший; благоприятный	У него хорошие учебные привычки.
亮	яркий; светлый	Свет в комнате очень яркий.
了不起	выдающийся; замечательный	Она добилась выдающихся результатов.
列车	поезд	Поезд вот-вот отправится.
临时	временный	Это временное решение.
灵活	гибкий; ловкий	Методы учебы должны быть гибкими.
铃	звонок; колокольчик	Прозвенел звонок на урок.
零件	деталь; компонент	В машине не хватает одной детали.
零食	перекус; снеки	Дети любят есть перекусы.
领导	руководитель; руководство	Руководитель сейчас на совещании.
领域	сфера; область	Она работает в сфере образования.
流传	передаваться; распространяться	Эта история передавалась очень долго.
流泪	плакать; проливать слезы	Услышав эту новость, она заплакала.
浏览	просматривать	Сначала я просмотрю веб-страницу.
龙	дракон	В китайской культуре есть драконы.
漏	протекать; пропускать	Крыша протекает.
录取	зачислять; принимать	Его приняли в университет.
录音	записывать звук; запись	Пожалуйста, начните запись.
陆地	суша	Морская черепаха выползла на сушу.
陆续	один за другим; постепенно	Гости прибыли один за другим.
轮流	по очереди; сменять друг друга	Мы по очереди убираем класс.
论文	дипломная работа; статья	Она пишет дипломную работу.
逻辑	логика	У него очень ясная логика.
落后	отставать; отсталый	Мы не можем отставать от других.
骂	ругать; бранить	Пожалуйста, не ругайте ребенка.
麦克风	микрофон	Пожалуйста, передайте ему микрофон.
馒头	паровая булочка	На завтрак я съел паровую булочку.
满足	удовлетворять; соответствовать	Этот ответ не соответствует требованиям.
毛病	неисправность; недостаток	С этим компьютером небольшая проблема.
矛盾	противоречие; конфликт	Между ними есть некоторые конфликты.
冒险	рисковать; риск	Идти туда одному слишком рискованно.
贸易	торговля	Международная торговля быстро развивается.
媒体	СМИ; медиа	СМИ сообщили об этом деле.
煤炭	уголь	В этом районе добывают уголь.
眉毛	бровь	У нее густые брови.
美术	искусство; изобразительное искусство	Моя младшая сестра любит искусство.
魅力	обаяние; привлекательность	У этого города много обаяния.
梦想	мечта; мечтать	Его мечта - стать врачом.
密切	тесный; близкий	Мы поддерживаем тесную связь.
秘密	секрет	Это наш секрет.
秘书	секретарь	Секретарь назначил время собрания.
蜜蜂	пчела	В цветах много пчел.
面对	сталкиваться; смотреть в лицо	Мы должны смело смотреть в лицо трудностям.
面积	площадь	Площадь этой комнаты невелика.
面临	сталкиваться с	Компания сталкивается с новыми вызовами.
描写	описывать; изображать	Автор описал деревенскую жизнь.
苗条	стройный	У нее стройная фигура.
敏感	чувствительный; деликатный	Эта тема довольно деликатная.
名牌	известный бренд	Он купил часы известного бренда.
名片	визитная карточка	Пожалуйста, дайте мне визитную карточку.
名胜古迹	достопримечательности и исторические памятники	В Пекине много достопримечательностей и исторических памятников.
明确	ясный; ясно объяснять	Учитель ясно объяснил требования.
明显	очевидный; явный	Его прогресс очевиден.
明星	звезда; знаменитость	Она хочет стать кинозвездой.
命令	приказ; команда	Солдаты должны подчиняться приказам.
命运	судьба	Он верит, что судьбу можно изменить.
摸	трогать; ощупывать	Пожалуйста, не трогайте эту картину.
摩托车	мотоцикл	Он ездит на работу на мотоцикле.
模仿	подражать; имитировать	Дети любят подражать речи взрослых.
模糊	размытый; неясный	Эта фотография немного размытая.
模特	модель	Она модель одежды.
陌生	незнакомый; непривычный	Этот город мне совсем незнаком.
某	некоторый; некий	Мне позвонил один учитель.
木头	дерево; древесина	Этот стол сделан из дерева.
目标	цель	Моя цель - сдать экзамен.
目录	оглавление; каталог	Сначала посмотрите оглавление в начале книги.
目前	в настоящее время; сейчас	Сейчас ситуация довольно стабильная.
哪怕	даже если	Даже если он очень занят, он продолжает учиться.
难怪	неудивительно; понятно почему	Неудивительно, что ты сегодня такой радостный.
难免	трудно избежать; неизбежно	В первый раз трудно избежать ошибок.
脑袋	голова	У него немного болит голова.
内部	внутренний	Это внутренние материалы компании.
内科	терапия; внутренние болезни	Сегодня он идет к терапевту.
嫩	нежный; мягкий	Это мясо очень нежное.
能干	способный; умелый	Она очень способный человек.
能源	энергия; энергоресурс	Солнечная энергия - чистый источник энергии.
嗯	угу; мм-хм	Угу, я понял.
年代	десятилетие; эпоха	Эта фотография сделана в восьмидесятые годы.
年纪	возраст	Он не очень стар, но у него много опыта.
念	читать вслух; скучать; учиться	Пожалуйста, прочитай текст вслух один раз.
宁可	лучше уж; предпочесть	Я лучше пойду пешком, чем буду ждать автобус.
牛仔裤	джинсы	На нем джинсы.
农村	деревня; сельская местность	Она выросла в деревне.
农民	фермер; крестьянин	Фермеры работают в поле.
农业	сельское хозяйство	Сельское хозяйство очень важно для этого района.
浓	крепкий; густой	Этот кофе слишком крепкий.
女士	госпожа; дама	Та женщина ждет автобус.
欧洲	Европа	В следующем месяце он едет путешествовать по Европе.
偶然	случайно; случайный	Я случайно встретил старого одноклассника.
拍	фотографировать; хлопать	Пожалуйста, помогите мне сделать фотографию.
派	посылать; направлять	Компания отправила его в командировку в Шанхай.
盼望	ждать с нетерпением	Я с нетерпением жду скорой встречи с тобой.
培训	обучение; тренинг	Новые сотрудники должны пройти обучение.
培养	развивать; воспитывать	Школа уделяет внимание развитию способностей учеников.
赔偿	компенсировать	Компания согласилась компенсировать убытки.
佩服	восхищаться	Я очень восхищаюсь его смелостью.
配合	сотрудничать; согласовываться	Пожалуйста, сотрудничайте с учителем по его плану.
盆	таз; горшок; счетное слово для горшков	На балконе стоит горшок с цветами.
碰	трогать; задевать; сталкиваться	Осторожно, не трогай горячую воду.
批	партия; критиковать; утверждать	Эта партия товара пришла сегодня.
批准	утверждать; одобрять	Менеджер одобрил этот план.
披	накидывать на плечи	На ней накинуто пальто.
疲劳	усталость; утомление	Долгая работа вызывает усталость.
匹	счетное слово для лошадей	На траве стоит лошадь.
片	кусочек; ломтик; счетное слово	Пожалуйста, дайте мне ломтик хлеба.
片面	односторонний	Эта точка зрения слишком односторонняя.
飘	плыть в воздухе; кружиться	Снежинки кружатся в воздухе.
拼音	пиньинь	Пожалуйста, напишите пиньинь рядом с иероглифами.
频道	канал	Пожалуйста, переключите на новостной канал.
凭	на основании; по	По билету можно войти.
平均	средний; в среднем	В среднем каждый человек потратил десять юаней.
平	ровный; плоский	Эта дорога очень ровная.
平安	безопасный; благополучный	Желаю тебе счастливого пути.
平常	обычный; обычно	Обычно он редко опаздывает.
平等	равный; равенство	К каждому человеку нужно относиться равноправно.
平方	квадратный	Эта комната двадцать квадратных метров.
平衡	баланс; равновесие	Работе и жизни нужен баланс.
平静	спокойный	Поверхность озера очень спокойная.
评价	оценивать; оценка	Учитель дал очень высокую оценку.
破产	обанкротиться; банкротство	Та компания обанкротилась в прошлом году.
破坏	разрушать; повреждать	Пожалуйста, не повреждайте общественное имущество.
迫切	срочный; настоятельный	Нам срочно нужно больше врачей.
期待	ждать с нетерпением; ожидать	Я очень жду этой поездки.
期间	период; во время	Во время собрания выключите телефон.
其余	остальные; оставшийся	Остальные вопросы обсудим завтра.
奇迹	чудо	Врач сказал, что это чудо.
企业	предприятие; компания	Это предприятие быстро развивается.
启发	вдохновение; наталкивать на мысль	Эта книга дала мне много вдохновения.
气氛	атмосфера	Атмосфера в классе очень расслабленная.
汽油	бензин	Машине нужно заправиться бензином.
签	подписывать	Пожалуйста, подпишите здесь свое имя.
谦虚	скромный	Он очень способный и при этом скромный.
前途	перспективы; будущее	У этой специальности хорошие перспективы.
浅	мелкий; неглубокий	Эта река очень мелкая.
欠	быть должным; не хватать	Он все еще должен мне двадцать юаней.
枪	оружие; пистолет	Полицейский держит в руках оружие.
墙	стена	На стене висит картина.
强调	подчеркивать	Учитель подчеркнул вопросы безопасности.
强烈	сильный; интенсивный	У него сильное чувство ответственности.
抢	отнимать; бороться за	Не борись с другими за места.
悄悄	тихо; тайком	Она тихо вошла в комнату.
瞧	смотреть; глядеть	Смотри, на улице идет снег.
巧妙	умелый; изящный; находчивый	Этот способ очень удачный.
切	резать; нарезать	Пожалуйста, нарежьте фрукты маленькими кусочками.
亲爱	дорогой; любимый	Дорогой друг, спасибо тебе.
亲切	добрый; приветливый	Учитель говорит очень доброжелательно.
亲自	лично	Менеджер лично принял гостей.
勤奋	усердный; трудолюбивый	Трудолюбивым людям легче добиться успеха.
清淡	легкий; нежирный	Я люблю легкие блюда.
轻视	недооценивать; презирать	Не недооценивай эту маленькую проблему.
轻易	легко; бездумно	Он не сдастся так легко.
青	сине-зеленый	Эта одежда сине-зеленого цвета.
青春	молодость	Молодость драгоценна.
青少年	подросток; молодежь	Подросткам нужно достаточно сна.
情景	сцена; ситуация	Сцена в фильме очень трогательная.
情绪	эмоции; настроение	Его эмоции не очень стабильны.
请求	просьба; просить	Он высказал просьбу.
庆祝	праздновать	Мы отпраздновали его день рождения.
球迷	болельщик	Много болельщиков пришло посмотреть матч.
趋势	тенденция	Эта тенденция становится все более очевидной.
取消	отменять	Из-за дождя мероприятие отменили.
娶	жениться	Он собирается жениться на ней в следующем году.
去世	умереть; уйти из жизни	Его дедушка умер в прошлом году.
圈	круг; обводить	Пожалуйста, обведите правильный ответ.
全面	всесторонний; полный	Нам нужно всесторонне понять ситуацию.
权利	право	У каждого есть право на образование.
权力	власть; полномочия	Власть должна находиться под контролем.
劝	советовать; убеждать	Друг посоветовал мне раньше отдохнуть.
缺乏	не хватать; недостаток	В этом районе не хватает чистой воды.
确定	определять; точно установленный	Я еще не могу определить время.
确认	подтверждать	Пожалуйста, подтвердите свой адрес.
群	группа; толпа	Группа детей играет на спортплощадке.
燃烧	гореть; сгорание	Дерево горит.
绕	обходить; вокруг	Мы обошли озеро один раз.
热爱	горячо любить	Он очень любит свою работу.
热烈	теплый; оживленный	Все тепло приветствовали гостей.
热心	сердечный; отзывчивый	Соседи все очень отзывчивые.
人才	талантливый человек; кадры	Компании нужно больше талантливых людей.
人口	население	В этом городе много населения.
人类	человечество; человеческий род	Человечеству нужно защищать Землю.
人民币	юань; китайский юань	Я обменял немного юаней.
人生	жизнь человека; жизнь	В жизни много выборов.
人事	кадры; персонал	Она работает в отделе кадров.
人物	персонаж; человек	Персонажи в романе очень реалистичные.
人员	персонал; сотрудники	Все сотрудники уже прибыли.
忍不住	не удержаться; не выдержать	Услышав шутку, он не удержался и засмеялся.
日常	повседневный; ежедневный	Это моя повседневная работа.
日程	расписание; график	Сегодня расписание очень плотное.
日历	календарь	На стене висит календарь.
日期	дата	Пожалуйста, напишите дату разборчиво.
日用品	товары повседневного спроса	В супермаркете продается много товаров повседневного спроса.
日子	дни; время; дата	В эти дни он очень занят.
如何	как; каким образом	Как нам решить эту проблему?
如今	сейчас; в наши дни	Сейчас транспорт стал намного удобнее.
软	мягкий; гибкий	Эта кровать очень мягкая.
软件	программное обеспечение; программа	Этой программой очень удобно пользоваться.
弱	слабый	У него довольно слабое здоровье.
洒	разлить; брызгать	Он случайно разлил воду.
嗓子	горло; голос	У меня немного болит горло.
色彩	цвет; окраска	У этой картины богатая цветовая гамма.
杀	убивать	В этом фильме нет сцен убийства.
沙漠	пустыня	Вода в пустыне очень ценна.
沙滩	пляж; песчаный берег	Дети играют на пляже.
傻	глупый; дурацкий	Не делай глупостей.
晒	сушить на солнце; загорать	Одежда сушится на солнце на балконе.
删除	удалять	Пожалуйста, удалите это письмо.
闪电	молния	Ночью сверкнула молния.
善良	добрый; добросердечный	Она добрый человек.
善于	хорошо уметь; быть сильным в чем-либо	Он хорошо умеет решать проблемы.
扇子	веер	Летом я часто пользуюсь веером.
伤害	ранить; причинять вред	Не рани чувства других людей.
商品	товар; продукция	В этом магазине много товаров.
商务	деловой; коммерческий	Завтра он пойдет на деловую встречу.
商业	коммерция; торговля; бизнес	В этом районе хорошо развита торговля.
上当	попасться на обман; быть одураченным	Он чуть не попался на обман.
蛇	змея	В траве есть змея.
舍不得	не хотеть расставаться; жалеть	Мне не хочется уезжать отсюда.
射击	стрельба; стрелять	Он тренируется в стрельбе.
摄影	фотография; фотосъемка	Она очень интересуется фотографией.
设备	оборудование	Оборудование в лаборатории очень современное.
设计	дизайн; проектировать	Этот дизайн очень креативный.
设施	объекты инфраструктуры; сооружения	Спортивные объекты школы хорошие.
伸	протягивать; вытягивать	Пожалуйста, протяните руку.
深刻	глубокий	Этот опыт оставил у меня глубокое впечатление.
身材	телосложение; фигура	У нее здоровое телосложение.
身份	личность; статус	Пожалуйста, предъявите удостоверение личности.
神话	миф; мифология	Дети любят слушать мифы.
神秘	таинственный	Этот древний город очень таинственный.
升	литр; повышаться; подниматься	Цена на бензин выросла немного за литр.
声调	тон; интонация	В китайском языке четыре основных тона.
生产	производить; производство	Эта фабрика производит мобильные телефоны.
生动	живой; выразительный	Учитель объясняет очень живо.
生长	расти; произрастать	Этот вид растений растет очень быстро.
绳子	веревка	Пожалуйста, перевяжите коробку веревкой.
省略	опускать; пропуск	Здесь можно опустить один иероглиф.
胜利	победа	Они наконец одержали победу.
失眠	бессонница; страдать бессонницей	В последнее время он часто страдает бессонницей.
失去	потерять; утратить	Не теряй уверенности.
失业	потерять работу; безработица	После потери работы он начал учиться новым навыкам.
湿润	влажный	После дождя воздух очень влажный.
狮子	лев	В зоопарке есть два льва.
诗	стихотворение; поэзия	Он написал стихотворение.
实话	правда	Пожалуйста, скажи правду.
实践	практика; применять на практике	Теорию нужно проверять практикой.
实习	стажироваться; практика	На летних каникулах она пойдет на практику в больницу.
实现	осуществить; реализовать	Он наконец осуществил свою мечту.
实验	эксперимент; проводить эксперимент	Студенты проводят эксперимент.
实用	практичный; полезный	Этот инструмент очень практичный.
时差	разница во времени; джетлаг	Он еще не привык к разнице во времени.
时代	эпоха; век	Мы живем в информационную эпоху.
时刻	момент; все время	Пожалуйста, запомните этот важный момент.
时髦	модный	Эта одежда очень модная.
时期	период; время	Университетский период сильно повлиял на него.
时尚	мода	Она очень интересуется модой.
石头	камень	У дороги лежит камень.
食物	еда; пища	Пожалуйста, положите еду в холодильник.
使劲儿	приложить силу; напрячься	Чтобы открыть эту бутылку, нужно приложить силу.
始终	всегда; от начала до конца	Он всегда верил, что сможет добиться успеха.
事实	факт	Факты доказывают, что он был прав.
事物	вещь; явление	Детям очень интересны новые вещи.
事先	заранее	Пожалуйста, заранее скажите мне время.
似的	словно; как будто	Он выглядел таким усталым, будто не хотел сказать ни слова.
士兵	солдат	Солдаты тренируются.
市场	рынок	Этот рынок очень оживленный.
试卷	экзаменационная работа; тест	Учитель проверяет экзаменационные работы.
收获	урожай; результат; приобретенный опыт	Эта поездка дала мне многое.
收据	квитанция; чек	После оплаты сохраните чек.
手工	ручная работа; вручную	Этот подарок сделан вручную.
手术	операция; хирургическая операция	Врач завтра сделает ему операцию.
手套	перчатки	Зимой, выходя на улицу, нужно надевать перчатки.
手续	формальности; процедура	Для оформления документов нужно удостоверение личности.
手指	палец	Он повредил палец.
首	счетное слово для песен и стихов; первый	Она спела песню.
受伤	получить травму; быть раненым	Он получил травму во время матча.
寿命	срок службы; продолжительность жизни	У этого типа машин долгий срок службы.
书架	книжная полка	Книжная полка полностью заставлена книгами.
梳子	расческа	Она расчесывает волосы расческой.
舒适	удобный; комфортный	Эта комната очень комфортная.
蔬菜	овощи	Полезно есть больше овощей.
输入	вводить; ввод	Пожалуйста, введите пароль в компьютер.
熟练	умелый; опытный; свободно владеть	Он умеет уверенно пользоваться компьютером.
属于	принадлежать; относиться к	Эта книга принадлежит библиотеке.
数	считать	Пожалуйста, посчитай, сколько здесь людей.
鼠标	компьютерная мышь	Моя мышь сломалась.
数据	данные	Эти данные очень важны.
数码	цифровой	Он купил цифровой фотоаппарат.
摔倒	упасть	Она упала на дороге.
甩	стряхивать; махать	Он стряхнул воду с рук.
双方	обе стороны	Обе стороны согласились с этим планом.
税	налог	При покупке товаров нужно платить налог.
说不定	может быть; кто знает	Может быть, завтра пойдет снег.
说服	убедить	Он наконец убедил родителей.
丝绸	шелк	Этот шарф сделан из шелка.
丝毫	нисколько; ни малейшей степени	Он нисколько не изменил своего решения.
思考	обдумывать; размышлять	Пожалуйста, хорошо обдумайте этот вопрос.
思想	мысль; мышление; взгляды	У него очень открытые взгляды.
撕	рвать; разрывать	Пожалуйста, не рвите этот лист бумаги.
私人	личный; частный	Это мое личное пространство.
似乎	кажется; по-видимому	Кажется, он не очень рад.
搜索	искать; поиск	Я искал материалы в интернете.
宿舍	общежитие	Студенты живут в школьном общежитии.
随身	при себе; с собой	Пожалуйста, держите паспорт при себе.
随时	в любое время	Ты можешь позвонить мне в любое время.
随手	заодно; мимоходом	Уходя, пожалуйста, закройте за собой дверь.
碎	разбиться; расколотый	Чашка упала на пол и разбилась.
损失	убыток; потеря; ущерб	Эта авария привела к большим убыткам.
缩短	сокращать; укорачивать	Новый маршрут сократил путь.
所	место; счетное слово для школ и учреждений	Эта школа очень известная.
锁	запирать; замок	Перед выходом, пожалуйста, хорошо заприте дверь.
台阶	ступеньки; ступень	Пожилой человек медленно поднялся по ступенькам.
太极拳	тайцзицюань; тайчи	В парке люди занимаются тайцзицюань.
太太	госпожа; жена	Госпожа Ван готовит еду.
谈判	переговоры; вести переговоры	Обе стороны ведут переговоры.
坦率	откровенный; прямой	Он откровенно высказал свои мысли.
烫	горячий; обжигать	Этот чай очень горячий.
桃	персик	На дереве выросло много персиков.
淘气	озорной; непослушный	Этот ребенок немного озорной.
逃	убегать; сбегать	Щенок убежал со двора.
逃避	избегать; уклоняться	Не избегай ответственности.
讨价还价	торговаться	Покупая вещи, он любит торговаться.
套	комплект; набор; счетное слово для комплектов	Он купил новый комплект одежды.
特色	особенность; характерная черта	У этого ресторана есть местный колорит.
特殊	особый; специальный	Сегодня особый день.
特征	признак; характерная черта	У этого животного есть заметные признаки.
疼爱	нежно любить	Бабушка и дедушка очень любят ребенка.
提倡	продвигать; призывать	Школа призывает экономить воду.
提纲	план; конспект	Перед написанием статьи сначала составьте план.
提问	задавать вопросы	Студенты могут задавать вопросы в любое время.
题目	задание; тема; вопрос	Это задание не очень трудное.
体会	понимание из опыта; осознать	Благодаря путешествию я получил новое понимание.
体贴	заботливый; внимательный	Он очень внимателен к семье.
体现	отражать; воплощать	Этот случай отражает командный дух.
体验	испытать на себе; пережить	Я хочу испытать местную жизнь на себе.
天空	небо	Сегодня небо очень голубое.
天真	наивный; невинный	Мысли ребенка очень наивны.
调皮	озорной; шаловливый	Та кошка очень озорная.
调整	корректировать; регулировать	Нам нужно скорректировать план.
挑战	вызов; испытание	Это большой вызов.
通常	обычно; как правило	Обычно он встает в семь.
统一	объединять; согласовывать	Мнения всех нужно согласовать.
痛苦	боль; страдание; мучительный	Потеря друга причинила ему сильную боль.
痛快	от души; с удовольствием	Сегодня мы отлично провели время.
偷	красть	Не кради чужие вещи.
投入	вкладываться; быть погруженным	Он работает с полной отдачей.
投资	инвестировать; инвестиция	Они инвестировали в новый проект.
透明	прозрачный	Эта чашка прозрачная.
突出	выдающийся; заметный	Его достоинства очень заметны.
土地	земля; почва; территория	Этот участок земли очень плодородный.
土豆	картофель	Я купил несколько картофелин.
兔子	кролик; заяц	Ребенок держит кролика.
吐	тошнить; рвать	Ему нехорошо, его тошнит.
团	группа; команда	Мы присоединились к туристической группе.
推辞	отклонять; отказываться	Он отклонил приглашение друга.
推广	продвигать; распространять	Компания продвигает новый продукт.
推荐	рекомендовать	Учитель порекомендовал эту книгу.
退	отступать; отходить назад	Пожалуйста, отступите на шаг назад.
退步	регрессировать; ухудшаться	Если не практиковаться, уровень будет снижаться.
退休	выходить на пенсию; пенсия	В следующем году он выйдет на пенсию.
歪	кривой; наклоненный	Эта картина висит криво.
外公	дедушка по материнской линии	Моему дедушке по маминой линии в этом году восемьдесят лет.
外交	дипломатия; внешние дела	Он изучает международные отношения и дипломатию.
完美	идеальный; совершенство	Этот план не идеален.
完善	улучшать; совершенствовать	Нам нужно улучшить процесс обслуживания.
完整	полный; целый	Пожалуйста, дайте мне полный отчет.
玩具	игрушка	Ребенок положил игрушки в коробку.
万一	если вдруг; на всякий случай	Если вдруг пойдет дождь, мы пойдем в другой день.
王子	принц	Принц в сказке очень смелый.
往返	туда и обратно; ездить туда-сюда	Этот билет позволяет съездить туда и обратно в тот же день.
网络	интернет; сеть	Здесь интернет-соединение очень стабильное.
危害	вредить; угрожать	Курение вредит здоровью.
威胁	угрожать; угроза	Загрязнение угрожает реке.
微笑	улыбка; улыбаться	Она улыбнулась мне.
唯一	единственный	Это единственный способ.
围巾	шарф	Зимой он носит шарф.
围绕	вращаться вокруг; строиться вокруг	Обсуждение строится вокруг этого вопроса.
维修	ремонтировать; техобслуживание	Лифт сейчас ремонтируют.
违反	нарушать	Так делать - нарушать правила.
伟大	великий	Это великое открытие.
委屈	чувствовать себя обиженным	Она почувствовала себя очень обиженной.
尾巴	хвост	Щенок вилял хвостом.
位于	находиться; располагаться	Школа находится в центре города.
位置	место; положение	Это место очень тихое.
未必	не обязательно; не факт	То, что он сказал, не обязательно правда.
未来	будущее	Нам нужно готовиться к будущему.
胃	желудок	У меня немного не в порядке желудок.
胃口	аппетит	Сегодня у него хороший аппетит.
温暖	теплый	Весеннее солнце очень теплое.
温柔	нежный; мягкий	Она говорит очень мягко.
文件	документ; файл	Пожалуйста, отправьте мне документ.
文具	канцелярские принадлежности	В рюкзаке много канцелярских принадлежностей.
文明	цивилизованный; цивилизация	Стоять в очереди - это цивилизованное поведение.
文学	литература	Она любит китайскую литературу.
文字	текст; письменные знаки	Этот текст трудно читать.
闻	чувствовать запах; слышать	Я почувствовал аромат цветов.
吻	целовать; поцелуй	Мама поцеловала ребенка в щеку.
稳定	стабильный; стабильность	Цены остаются стабильными.
问候	передавать привет; приветствие	Пожалуйста, передай привет своей семье от меня.
卧室	спальня	В спальне стоит большая кровать.
握手	пожимать руки	При встрече они пожали друг другу руки.
屋子	комната; дом	В комнате тепло.
无奈	беспомощный; ничего не остается	Он беспомощно покачал головой.
无数	бесчисленный	В ночном небе бесчисленное множество звезд.
无所谓	неважно; все равно	Неважно, что ты хочешь есть.
武术	боевые искусства; ушу	Он с детства занимается боевыми искусствами.
勿	не; нельзя	Пожалуйста, не курите здесь.
物理	физика	Урок физики очень интересный.
物质	вещество; материальный	Вода - важное вещество.
雾	туман	Утром был густой туман.
吸取	извлекать; усваивать	Нам нужно извлечь урок из этого случая.
吸收	впитывать; поглощать	Растения впитывают воду.
戏剧	драма; театр	Он любит смотреть традиционные пьесы.
系	факультет; кафедра; связывать	Она учится на факультете китайского языка.
系统	система	Эта система работает стабильно.
细节	деталь; подробность	Пожалуйста, обратите внимание на эти детали.
瞎	слепой; наугад; зря	Не гадай вслепую, сначала посмотри материалы.
下载	скачивать	Я скачал эту программу.
吓	пугать	Внезапный звук меня напугал.
夏令营	летний лагерь	Ребенок участвовал в летнем лагере китайского языка.
鲜艳	яркий; насыщенный	Цвет этой юбки очень яркий.
显得	казаться; выглядеть	Эта одежда делает его очень молодым на вид.
