simplified	KN	example_KN	ML	example_ML
画	ಚಿತ್ರ; ಬಿಡಿಸುವುದು	ನನ್ನ ತಂಗಿಗೆ ಪಾಂಡಾಗಳನ್ನು ಬಿಡಿಸುವುದು ಇಷ್ಟ.	ചിത്രം; വരയ്ക്കുക	എന്റെ അനിയത്തിക്ക് പാണ്ടകൾ വരയ്ക്കാൻ ഇഷ്ടമാണ്.
坏	ಕೆಟ್ಟ; ಹಾಳಾದ	ನನ್ನ ಕಂಪ್ಯೂಟರ್ ಹಾಳಾಗಿದೆ.	മോശം; കേടായ	എന്റെ കമ്പ്യൂട്ടർ കേടായി.
欢迎	ಸ್ವಾಗತಿಸುವುದು	ನನ್ನ ಮನೆಗೆ ಸ್ವಾಗತ.	സ്വാഗതം ചെയ്യുക	എന്റെ വീട്ടിലേക്ക് സ്വാഗതം.
环境	ಪರಿಸರ; ಸ್ಥಿತಿ	ಈ ಶಾಲೆಯ ಪರಿಸರ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.	പരിസ്ഥിതി; സാഹചര്യം	ഈ സ്കൂളിന്റെ അന്തരീക്ഷം വളരെ നല്ലതാണ്.
还	ಹಿಂತಿರುಗಿಸುವುದು	ದಯವಿಟ್ಟು ನನ್ನ ಪುಸ್ತಕವನ್ನು ನಾಳೆ ಹಿಂತಿರುಗಿಸಿ.	തിരിച്ചു കൊടുക്കുക	ദയവായി എന്റെ പുസ്തകം നാളെ തിരിച്ചു തരൂ.
换	ಬದಲಿಸುವುದು; ವಿನಿಮಯ ಮಾಡುವುದು	ನಾನು ಶರ್ಟ್ ಬದಲಿಸಬೇಕು.	മാറ്റുക; കൈമാറ്റം ചെയ്യുക	എനിക്ക് ഷർട്ട് മാറ്റണം.
黄河	ಹುವಾಂಗ್‌ಹೆ ನದಿ	ಹುವಾಂಗ್‌ಹೆ ನದಿ ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.	ഹുവാങ്‌ഹെ നദി	ഹുവാങ്‌ഹെ നദി വളരെ നീളമുള്ളതാണ്.
回答	ಉತ್ತರಿಸುವುದು	ದಯವಿಟ್ಟು ನನ್ನ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರಿಸಿ.	ഉത്തരം പറയുക	ദയവായി എന്റെ ചോദ്യത്തിന് ഉത്തരം പറയൂ.
会议	ಸಭೆ	ಸಭೆ ಒಂಬತ್ತು ಗಂಟೆಗೆ ಆರಂಭವಾಗುತ್ತದೆ.	യോഗം	യോഗം ഒമ്പത് മണിക്ക് തുടങ്ങുന്നു.
或者	ಅಥವಾ	ನೀನು ಮೆಟ್ರೋದಲ್ಲಿ ಅಥವಾ ಬಸ್‌ನಲ್ಲಿ ಹೋಗಬಹುದು.	അല്ലെങ്കിൽ	നീ മെട്രോയിലോ ബസിലോ പോകാം.
几乎	ಸುಮಾರು	ಅವನು ಸುಮಾರು ಪ್ರತಿದಿನ ವ್ಯಾಯಾಮ ಮಾಡುತ್ತಾನೆ.	ഏകദേശം	അവൻ ഏകദേശം ദിവസവും വ്യായാമം ചെയ്യുന്നു.
机会	ಅವಕಾಶ	ಇದು ಒಳ್ಳೆಯ ಅವಕಾಶ.	അവസരം	ഇത് നല്ല അവസരമാണ്.
极	ಅತ್ಯಂತ; ತುಂಬಾ	ಅವಳು ಅತ್ಯಂತ ಸಂತೋಷವಾಗಿದ್ದಾಳೆ.	അത്യന്തം; വളരെ	അവൾ അത്യന്തം സന്തോഷവതിയാണ്.
季节	ಋತು; ಕಾಲ	ಶರದೃತು ನನಗೆ ಅತ್ಯಂತ ಇಷ್ಟವಾದ ಋತು.	കാലം; ഋതു	ശരത്കാലം എനിക്ക് ഏറ്റവും ഇഷ്ടമുള്ള ഋതുവാണ്.
记得	ನೆನಪಿಡುವುದು	ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ತೆಗೆದುಕೊಂಡು ಬರುವುದನ್ನು ನೆನಪಿದೆಯಾ?	ഓർക്കുക	ക്രെഡിറ്റ് കാർഡ് കൊണ്ടുവരാൻ ഓർമ്മയുണ്ടോ?
检查	ಪರಿಶೀಲಿಸುವುದು	ವೈದ್ಯರು ನನ್ನನ್ನು ಪರಿಶೀಲಿಸುತ್ತಾರೆ.	പരിശോധിക്കുക	ഡോക്ടർ എന്നെ പരിശോധിക്കുന്നു.
简单	ಸರಳ; ಸುಲಭ	ಈ ವಾಕ್ಯ ತುಂಬಾ ಸರಳವಾಗಿದೆ.	ലളിതം; എളുപ്പം	ഈ വാക്യം വളരെ ലളിതമാണ്.
健康	ಆರೋಗ್ಯ; ಆರೋಗ್ಯಕರ	ವ್ಯಾಯಾಮ ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು.	ആരോഗ്യം; ആരോഗ്യകരം	വ്യായാമം ആരോഗ്യത്തിന് നല്ലതാണ്.
见面	ಭೇಟಿಯಾಗುವುದು	ನಾವು ನಾಳೆ ಶಾಲೆಯಲ್ಲಿ ಭೇಟಿಯಾಗೋಣ.	കാണുക; കണ്ടുമുട്ടുക	നാളെ നമുക്ക് സ്കൂളിൽ കാണാം.
讲	ಮಾತನಾಡುವುದು; ವಿವರಿಸುವುದು	ಶಿಕ್ಷಕರು ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸುತ್ತಾರೆ.	പറയുക; വിശദീകരിക്കുക	അധ്യാപകൻ വളരെ വ്യക്തമായി വിശദീകരിക്കുന്നു.
教	ಬೋಧಿಸುವುದು	ಅವಳು ನನಗೆ ಚೀನೀ ಅಕ್ಷರಗಳನ್ನು ಬರೆಯಲು ಕಲಿಸುತ್ತಾಳೆ.	പഠിപ്പിക്കുക	അവൾ എനിക്ക് ചൈനീസ് അക്ഷരങ്ങൾ എഴുതാൻ പഠിപ്പിക്കുന്നു.
脚	ಪಾದ	ನನ್ನ ಪಾದ ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.	കാൽപാദം	എന്റെ കാൽപാദം അല്പം വേദനിക്കുന്നു.
角	ಮೂಲೆ; ಕೋನ	ಅಂಗಡಿ ಬೀದಿ ಮೂಲೆಯಲ್ಲಿ ಇದೆ.	മൂല; കോണം	കട തെരുവിന്റെ മൂലയിലാണ്.
接	ಸ್ವಾಗತಿಸಲು ಹೋಗುವುದು; ಸ್ವೀಕರಿಸುವುದು	ಸ್ನೇಹಿತನನ್ನು ಕರೆತರಲು ನಾನು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.	സ്വീകരിക്കാൻ പോകുക; ലഭിക്കുക	സുഹൃത്തിനെ സ്വീകരിക്കാൻ ഞാൻ വിമാനത്താവളത്തിലേക്ക് പോകുന്നു.
街道	ಬೀದಿ	ಈ ಬೀದಿ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.	തെരുവ്	ഈ തെരുവ് വളരെ വൃത്തിയുള്ളതാണ്.
结婚	ಮದುವೆಯಾಗುವುದು	ಅವರು ಮುಂದಿನ ವರ್ಷ ಮದುವೆಯಾಗುತ್ತಾರೆ.	വിവാഹം കഴിക്കുക	അവർ അടുത്ത വർഷം വിവാഹം കഴിക്കും.
结束	ಮುಗಿಯುವುದು; ಮುಗಿಸುವುದು	ಸ್ಪರ್ಧೆ ಈಗಾಗಲೇ ಮುಗಿದಿದೆ.	അവസാനിക്കുക; അവസാനിപ്പിക്കുക	മത്സരം ഇതിനകം അവസാനിച്ചു.
节目	ಕಾರ್ಯಕ್ರಮ	ಈ ಟೀವಿ ಕಾರ್ಯಕ್ರಮ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.	പരിപാടി	ഈ ടെലിവിഷൻ പരിപാടി വളരെ നല്ലതാണ്.
节日	ಹಬ್ಬ	ವಸಂತ ಹಬ್ಬ ಮುಖ್ಯವಾದ ಚೀನೀ ಹಬ್ಬ.	പെരുന്നാൾ; ഉത്സവം	വസന്തോത്സവം പ്രധാനപ്പെട്ട ചൈനീസ് ഉത്സവമാണ്.
解决	ಪರಿಹರಿಸುವುದು	ಈ ಸಮಸ್ಯೆ ಈಗಾಗಲೇ ಪರಿಹಾರವಾಗಿದೆ.	പരിഹരിക്കുക	ഈ പ്രശ്നം ഇതിനകം പരിഹരിച്ചു.
借	ಸಾಲವಾಗಿ ತೆಗೆದುಕೊಳ್ಳುವುದು; ಸಾಲವಾಗಿ ಕೊಡುವುದು	ನಾನು ನಿನ್ನ ನಿಘಂಟನ್ನು ಸಾಲವಾಗಿ ತೆಗೆದುಕೊಳ್ಳಬೇಕು.	കടം വാങ്ങുക; കടം കൊടുക്കുക	എനിക്ക് നിന്റെ നിഘണ്ടു കടം വാങ്ങണം.
经常	ಆಗಾಗ	ನಾನು ಆಗಾಗ ಗ್ರಂಥಾಲಯಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.	പലപ്പോഴും	ഞാൻ പലപ്പോഴും ലൈബ്രറിയിലേക്ക് പോകുന്നു.
经过	ಹಾದುಹೋಗುವುದು; ಪ್ರಕ್ರಿಯೆ	ನಾನು ಪ್ರತಿದಿನ ಈ ಉದ್ಯಾನದ ಪಕ್ಕದಿಂದ ಹೋಗುತ್ತೇನೆ.	കടന്നുപോകുക; പ്രക്രിയ	ഞാൻ ദിവസവും ഈ പാർക്കിന്റെ അരികിലൂടെ പോകുന്നു.
经理	ಮ್ಯಾನೇಜರ್	ಮ್ಯಾನೇಜರ್ ಸಭೆಯಲ್ಲಿ ಇದ್ದಾರೆ.	മാനേജർ	മാനേജർ യോഗത്തിലാണ്.
久	ದೀರ್ಘ ಕಾಲ	ನಾನು ಇಲ್ಲಿ ದೀರ್ಘ ಕಾಲದಿಂದ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ.	ദീർഘകാലം	ഞാൻ ഇവിടെ ദീർഘകാലമായി താമസിക്കുന്നു.
旧	ಹಳೆಯ; ಬಳಸಿದ	ಈ ಬಟ್ಟೆ ತುಂಬಾ ಹಳೆಯದು.	പഴയ; ഉപയോഗിച്ച	ഈ വസ്ത്രം വളരെ പഴയതാണ്.
句子	ವಾಕ್ಯ	ದಯವಿಟ್ಟು ಒಂದು ವಾಕ್ಯ ಬರೆಯಿರಿ.	വാക്യം	ദയവായി ഒരു വാക്യം എഴുതൂ.
决定	ನಿರ್ಧಾರ; ನಿರ್ಧರಿಸುವುದು	ನಾನು ಚೈನೀಸ್ ಕಲಿಯಲು ನಿರ್ಧರಿಸಿದೆ.	തീരുമാനം; തീരുമാനിക്കുക	ഞാൻ ചൈനീസ് പഠിക്കാൻ തീരുമാനിച്ചു.
可爱	ಮುದ್ದಾದ; ಸುಂದರ	ಈ ಬೆಕ್ಕು ತುಂಬಾ ಮುದ್ದಾಗಿದೆ.	ക്യൂട്ട്; മനോഹരം	ഈ പൂച്ച വളരെ മനോഹരമാണ്.
渴	ಬಾಯಾರಿಕೆ	ನನಗೆ ಬಾಯಾರಿಕೆ, ನೀರು ಕುಡಿಯಬೇಕು.	ദാഹം	എനിക്ക് ദാഹമുണ്ട്, വെള്ളം കുടിക്കണം.
刻	ಹದಿನೈದು ನಿಮಿಷ; ಕ್ಷಣ	ಈಗ ಎಂಟು ಗಂಟೆ ಹದಿನೈದು ನಿಮಿಷ.	പതിനഞ്ച് മിനിറ്റ്; നിമിഷം	ഇപ്പോൾ എട്ട് മണി പതിനഞ്ച് മിനിറ്റ്.
客人	ಅತಿಥಿ; ಗ್ರಾಹಕ	ಇಂದು ನಮ್ಮ ಮನೆಗೆ ಒಬ್ಬ ಅತಿಥಿ ಬಂದರು.	അതിഥി; ഉപഭോക്താവ്	ഇന്ന് നമ്മുടെ വീട്ടിലേക്ക് ഒരു അതിഥി വന്നു.
空调	ಏಸಿ	ದಯವಿಟ್ಟು ಏಸಿ ಆನ್ ಮಾಡಿ.	എയർ കണ്ടീഷണർ	ദയവായി എയർ കണ്ടീഷണർ ഓൺ ചെയ്യൂ.
口	ಬಾಯಿ; ಎಣಿಕೆ ಪದ	ಅವಳು ಒಂದು ಗುಟುಕು ನೀರು ಕುಡಿದಳು.	വായ്; എണ്ണൽപദം	അവൾ ഒരു കുടി വെള്ളം കുടിച്ചു.
哭	ಅಳುವುದು	ಮಗು ಏಕೆ ಅಳುತ್ತಿದೆ?	കരയുക	കുഞ്ഞ് എന്തിന് കരയുന്നു?
裤子	ಪ್ಯಾಂಟ್	ಈ ಪ್ಯಾಂಟ್ ಹೊಸದು.	പാന്റ്	ഈ പാന്റ് പുതുതാണ്.
筷子	ಚಾಪ್‌ಸ್ಟಿಕ್‌ಗಳು	ನಾನು ಚಾಪ್‌ಸ್ಟಿಕ್‌ಗಳಿಂದ ತಿನ್ನಬಲ್ಲೆ.	ചോപ്പ്സ്റ്റിക്കുകൾ	എനിക്ക് ചോപ്പ്സ്റ്റിക്കുകൾ കൊണ്ട് കഴിക്കാം.
蓝	ನೀಲಿ	ಆಕಾಶ ನೀಲಿಯಾಗಿದೆ.	നീല	ആകാശം നീലയാണ്.
老	ವಯಸ್ಸಾದ; ಹಳೆಯ	ನನ್ನ ಶಿಕ್ಷಕರು ವಯಸ್ಸಾದವರಲ್ಲ.	വയസ്സായ; പഴയ	എന്റെ അധ്യാപകൻ വയസ്സായവനല്ല.
离开	ಬಿಟ್ಟು ಹೋಗುವುದು	ಅವನು ನಾಳೆ ಬೀಜಿಂಗ್ ಬಿಟ್ಟು ಹೋಗುತ್ತಾನೆ.	വിട്ട് പോകുക	അവൻ നാളെ ബെയ്ജിംഗ് വിട്ടുപോകും.
礼物	ಉಡುಗೊರೆ	ಇದು ನಿನಗೆ ಉಡುಗೊರೆ.	സമ്മാനം	ഇത് നിനക്കുള്ള സമ്മാനമാണ്.
历史	ಇತಿಹಾಸ	ನನಗೆ ಚೀನಾದ ಇತಿಹಾಸ ಇಷ್ಟ.	ചരിത്രം	എനിക്ക് ചൈനയുടെ ചരിത്രം ഇഷ്ടമാണ്.
脸	ಮುಖ	ಅವಳ ಮುಖ ತುಂಬಾ ಕೆಂಪಾಗಿದೆ.	മുഖം	അവളുടെ മുഖം വളരെ ചുവന്നിരിക്കുന്നു.
练习	ಅಭ್ಯಾಸ; ಅಭ್ಯಾಸ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಚೈನೀಸ್ ಮಾತನಾಡುವುದನ್ನು ಇನ್ನಷ್ಟು ಅಭ್ಯಾಸ ಮಾಡಿ.	പരിശീലനം; പരിശീലിക്കുക	ദയവായി ചൈനീസ് സംസാരിക്കുന്നത് കൂടുതൽ പരിശീലിക്കൂ.
辆	ವಾಹನಗಳ ಎಣಿಕೆ ಪದ	ಬಾಗಿಲಿನ ಹತ್ತಿರ ಒಂದು ಟ್ಯಾಕ್ಸಿ ಇದೆ.	വാഹനങ്ങൾക്കുള്ള എണ്ണൽപദം	വാതിലിനരികിൽ ഒരു ടാക്സിയുണ്ട്.
聊天	ಮಾತುಕತೆ ಮಾಡುವುದು	ನಾನು ಸ್ನೇಹಿತನೊಂದಿಗೆ ಮಾತುಕತೆ ಮಾಡುತ್ತಿದ್ದೇನೆ.	സംസാരിച്ച് ഇരിക്കുക	ഞാൻ സുഹൃത്തിനൊപ്പം സംസാരിക്കുന്നു.
了解	ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು; ತಿಳಿದುಕೊಳ್ಳುವುದು	ನಾನು ಚೀನೀ ಸಂಸ್ಕೃತಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.	മനസ്സിലാക്കുക; അറിയുക	എനിക്ക് ചൈനീസ് സംസ്കാരം മനസ്സിലാക്കണം.
邻居	ನೆರೆಹೊರೆಯವರು	ನನ್ನ ನೆರೆಹೊರೆಯವರು ತುಂಬಾ ಸ್ನೇಹಪರರು.	അയൽവാസി	എന്റെ അയൽവാസി വളരെ സൗഹൃദപരനാണ്.
留学	ವಿದೇಶದಲ್ಲಿ ಓದುವುದು	ಅವಳು ಚೀನಾದಲ್ಲಿ ಓದುತ್ತಾಳೆ.	വിദേശത്ത് പഠിക്കുക	അവൾ ചൈനയിൽ പഠിക്കുന്നു.
楼	ಕಟ್ಟಡ; ಮಹಡಿ	ಕಚೇರಿ ಮೂರನೇ ಮಹಡಿಯಲ್ಲಿ ಇದೆ.	കെട്ടിടം; നില	ഓഫീസ് മൂന്നാം നിലയിലാണ്.
绿	ಹಸಿರು	ವಸಂತದಲ್ಲಿ ಮರಗಳು ಹಸಿರಾಗುತ್ತವೆ.	പച്ച	വസന്തത്തിൽ മരങ്ങൾ പച്ചയാകുന്നു.
马	ಕುದುರೆ	ಆ ಕುದುರೆ ತುಂಬಾ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ.	കുതിര	ആ കുതിര വളരെ വേഗത്തിൽ ഓടുന്നു.
马上	ತಕ್ಷಣ	ನಾನು ತಕ್ಷಣ ಮರಳಿ ಬರುತ್ತೇನೆ.	ഉടൻ	ഞാൻ ഉടൻ തിരിച്ചു വരും.
满意	ತೃಪ್ತಿಯಾದ	ಈ ಕೊಠಡಿಯಿಂದ ನಾನು ತುಂಬಾ ತೃಪ್ತಿಯಾಗಿದ್ದೇನೆ.	തൃപ്തി	ഈ മുറിയിൽ ഞാൻ വളരെ തൃപ്തനാണ്.
帽子	ಟೋಪಿ	ಈ ಟೋಪಿ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.	തൊപ്പി	ഈ തൊപ്പി വളരെ മനോഹരമാണ്.
米	ಮೀಟರ್; ಅಕ್ಕಿ	ಈ ಮೇಜು ಎರಡು ಮೀಟರ್ ಉದ್ದವಾಗಿದೆ.	മീറ്റർ; അരി	ഈ മേശ രണ്ട് മീറ്റർ നീളമുള്ളതാണ്.
面包	ರೊಟ್ಟಿ	ಬೆಳಗಿನ ಊಟಕ್ಕೆ ನಾನು ರೊಟ್ಟಿ ತಿನ್ನುತ್ತೇನೆ.	അപ്പം	പ്രഭാതഭക്ഷണത്തിന് ഞാൻ അപ്പം കഴിക്കുന്നു.
明白	ಅರ್ಥವಾಗುವುದು; ಸ್ಪಷ್ಟ	ನೀನು ಹೇಳುವುದೇನು ಎಂದು ನನಗೆ ಅರ್ಥವಾಗಿದೆ.	മനസ്സിലാകുക; വ്യക്തം	നീ ഉദ്ദേശിക്കുന്നത് എനിക്ക് മനസ്സിലാകുന്നു.
拿	ತೆಗೆದುಕೊಳ್ಳುವುದು; ಹಿಡಿಯುವುದು	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ಪುಸ್ತಕ ತೆಗೆದುಕೊಡು.	എടുക്കുക; പിടിക്കുക	ദയവായി എനിക്കൊരു പുസ്തകം എടുത്തുതരൂ.
奶奶	ಅಜ್ಜಿ	ಅಜ್ಜಿಗೆ ಸಂಗೀತ ಕೇಳುವುದು ಇಷ್ಟ.	മുത്തശ്ശി	മുത്തശ്ശിക്ക് സംഗീതം കേൾക്കാൻ ഇഷ്ടമാണ്.
南	ದಕ್ಷಿಣ	ಶಾಲೆ ನಗರದ ದಕ್ಷಿಣದಲ್ಲಿ ಇದೆ.	തെക്ക്	സ്കൂൾ നഗരത്തിന്റെ തെക്കിലാണ്.
难	ಕಷ್ಟ	ಈ ಪ್ರಶ್ನೆ ಕಷ್ಟವಲ್ಲ.	കഠിനം	ഈ ചോദ്യം ബുദ്ധിമുട്ടല്ല.
难过	ದುಃಖಿಸುವುದು	ಅವಳು ಇಂದು ಸ್ವಲ್ಪ ದುಃಖದಲ್ಲಿದ್ದಾಳೆ.	ദുഃഖിക്കുക	അവൾ ഇന്ന് അല്പം ദുഃഖത്തിലാണ്.
年级	ತರಗತಿ ಹಂತ; ಶೈಕ್ಷಣಿಕ ವರ್ಷ	ನನ್ನ ತಂಗಿ ಮೂರನೇ ತರಗತಿಯಲ್ಲಿ ಇದ್ದಾಳೆ.	ക്ലാസ് നില; അധ്യയന വർഷം	എന്റെ അനിയത്തി മൂന്നാം ക്ലാസിലാണ്.
年轻	ಯುವ	ಈ ಮ್ಯಾನೇಜರ್ ತುಂಬಾ ಯುವಕ.	യുവ	ഈ മാനേജർ വളരെ യുവാവാണ്.
鸟	ಹಕ್ಕಿ	ಮರದ ಮೇಲೆ ಒಂದು ಹಕ್ಕಿ ಇದೆ.	പക്ഷി	മരത്തിൽ ഒരു പക്ഷിയുണ്ട്.
努力	ಪ್ರಯತ್ನ; ಪರಿಶ್ರಮಿಸುವುದು	ಅವನು ತುಂಬಾ ಪರಿಶ್ರಮಪಟ್ಟು ಓದುತ್ತಾನೆ.	ശ്രമം; പരിശ്രമിക്കുക	അവൻ വളരെ പരിശ്രമിച്ച് പഠിക്കുന്നു.
爬山	ಬೆಟ್ಟ ಹತ್ತುವುದು	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾವು ಬೆಟ್ಟ ಹತ್ತಲು ಹೋಗುತ್ತಿದ್ದೇವೆ.	മല കയറുക	ഈ വാരാന്ത്യത്തിൽ ഞങ്ങൾ മല കയറാൻ പോകുന്നു.
盘子	ತಟ್ಟೆ	ಮೇಜಿನ ಮೇಲೆ ಮೂರು ತಟ್ಟೆಗಳು ಇವೆ.	തട്ട്	മേശപ്പുറത്ത് മൂന്ന് തട്ടുകളുണ്ട്.
胖	ದಪ್ಪ	ಈ ನಾಯಿ ಸ್ವಲ್ಪ ದಪ್ಪವಾಗಿದೆ.	വണ്ണം കൂടിയ	ഈ നായ അല്പം വണ്ണമുള്ളതാണ്.
啤酒	ಬಿಯರ್	ಅಪ್ಪ ಬಿಯರ್ ಕುಡಿಯುವುದಿಲ್ಲ.	ബിയർ	അച്ഛൻ ബിയർ കുടിക്കാറില്ല.
皮鞋	ಚರ್ಮದ ಬೂಟು	ಈ ಚರ್ಮದ ಬೂಟಿನ ಜೋಡಿ ದುಬಾರಿ.	തോൽ ചെരുപ്പ്	ഈ തോൽ ചെരുപ്പിന്റെ ജോഡി വില കൂടിയതാണ്.
瓶子	ಬಾಟಲಿ	ಬಾಟಲಿಯಲ್ಲಿ ನೀರು ಇದೆ.	കുപ്പി	കുപ്പിയിൽ വെള്ളമുണ്ട്.
其实	ನಿಜವಾಗಿ	ನಿಜವಾಗಿ ನನಗೆ ಬಿಯರ್ ಇಷ್ಟವಿಲ್ಲ.	വാസ്തവത്തിൽ	വാസ്തവത്തിൽ എനിക്ക് ബിയർ ഇഷ്ടമല്ല.
其他	ಇತರ; ಉಳಿದ	ಉಳಿದ ತರಗತಿ ಸ್ನೇಹಿತರೆಲ್ಲ ಬಂದಿದ್ದಾರೆ.	മറ്റുള്ള; മറ്റു	മറ്റ് സഹപാഠികൾ എല്ലാവരും എത്തിയിട്ടുണ്ട്.
奇怪	ವಿಚಿತ್ರ	ಈ ಶಬ್ದ ತುಂಬಾ ವಿಚಿತ್ರವಾಗಿದೆ.	വിചിത്രം	ഈ ശബ്ദം വളരെ വിചിത്രമാണ്.
骑	ಸವಾರಿ ಮಾಡುವುದು	ಅವಳು ಪ್ರತಿದಿನ ಸೈಕಲ್‌ನಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತಾಳೆ.	സവാരി ചെയ്യുക	അവൾ ദിവസവും സൈക്കിളിൽ ജോലിക്ക് പോകുന്നു.
起飞	ಹಾರಾಟ ಆರಂಭಿಸುವುದು	ವಿಮಾನ ಶೀಘ್ರದಲ್ಲೇ ಹಾರಾಟ ಆರಂಭಿಸುತ್ತದೆ.	പുറപ്പെടുക; പറന്നുയരുക	വിമാനം ഉടൻ പറന്നുയരും.
起来	ಎದ್ದು ನಿಲ್ಲುವುದು	ದಯವಿಟ್ಟು ಎದ್ದು ನಿಲ್ಲಿ.	എഴുന്നേൽക്കുക	ദയവായി എഴുന്നേൽക്കൂ.
清楚	ಸ್ಪಷ್ಟ	ನೀನು ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡಿದೆ.	വ്യക്തം	നീ വളരെ വ്യക്തമായി സംസാരിച്ചു.
请假	ರಜೆ ಕೇಳುವುದು	ಅವಳಿಗೆ ಜಲದೋಷ ಬಂದಿದೆ, ಆದ್ದರಿಂದ ರಜೆ ಕೇಳಬೇಕು.	അവധി ചോദിക്കുക	അവൾക്ക് ജലദോഷം പിടിച്ചു, അതിനാൽ അവധി ചോദിക്കണം.
秋	ಶರದೃತು	ಶರದೃತುವಿನಲ್ಲಿ ಹವಾಮಾನ ಸುಂದರವಾಗಿರುತ್ತದೆ.	ശരത്കാലം	ശരത്കാലത്ത് കാലാവസ്ഥ മനോഹരമാണ്.
裙子	ಸ್ಕರ್ಟ್	ಈ ಸ್ಕರ್ಟ್ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.	സ്കർട്ട്	ഈ സ്കർട്ട് വളരെ മനോഹരമാണ്.
然后	ನಂತರ	ನಾನು ಮೊದಲು ತಿನ್ನುತ್ತೇನೆ, ನಂತರ ಮನೆಕೆಲಸ ಮಾಡುತ್ತೇನೆ.	അതിനുശേഷം	ഞാൻ ആദ്യം ഭക്ഷണം കഴിക്കുന്നു, പിന്നെ ഹോംവർക്ക് ചെയ്യുന്നു.
热情	ಆಪ್ತ; ಉತ್ಸಾಹಭರಿತ	ಚೀನೀ ಸ್ನೇಹಿತರು ತುಂಬಾ ಆಪ್ತರು.	ആത്മാർത്ഥം; ആവേശഭരിതം	ചൈനീസ് സുഹൃത്തുകൾ വളരെ ആത്മാർത്ഥരാണ്.
认为	ಅನಿಸುವುದು; ಅಭಿಪ್ರಾಯಪಡುವುದು	ಈ ವಿಧಾನ ಒಳ್ಳೆಯದು ಎಂದು ನನಗೆ ಅನಿಸುತ್ತದೆ.	കരുതുക; വിചാരിക്കുക	ഈ രീതി നല്ലതാണെന്ന് ഞാൻ കരുതുന്നു.
认真	ಗಂಭೀರ; ಗಮನದಿಂದ	ದಯವಿಟ್ಟು ಶಿಕ್ಷಕರ ಮಾತು ಗಮನದಿಂದ ಕೇಳಿ.	ഗൗരവമുള്ള; ശ്രദ്ധയോടെ	ദയവായി അധ്യാപകനെ ശ്രദ്ധിച്ച് കേൾക്കൂ.
容易	ಸುಲಭ	ಈ ಚೀನೀ ಅಕ್ಷರ ಬರೆಯಲು ಸುಲಭ.	എളുപ്പം	ഈ ചൈനീസ് അക്ഷരം എഴുതാൻ എളുപ്പമാണ്.
如果	ಹಾಗಾದರೆ; ಒಂದು ವೇಳೆ	ಮಳೆ ಬಂದರೆ ನಾವು ಮೆಟ್ರೋದಲ್ಲಿ ಹೋಗೋಣ.	എങ്കിൽ	മഴ പെയ്താൽ നാം മെട്രോയിൽ പോകും.
伞	ಛತ್ರಿ	ಮಳೆ ಬರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಛತ್ರಿ ತೆಗೆದುಕೋ.	കുട	മഴ പെയ്യുന്നു, ദയവായി കുട എടുക്കൂ.
上网	ಇಂಟರ್ನೆಟ್‌ಗೆ ಹೋಗುವುದು	ಸಂಜೆ ನಕ್ಷೆ ನೋಡಲು ನಾನು ಇಂಟರ್ನೆಟ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.	ഇന്റർനെറ്റിൽ പോകുക	വൈകുന്നേരം ഭൂപടം കാണാൻ ഞാൻ ഇന്റർനെറ്റിൽ പോകുന്നു.
声音	ಶಬ್ದ; ಧ್ವನಿ	ನಿನ್ನ ಧ್ವನಿ ಚೆನ್ನಾಗಿ ಕೇಳುತ್ತದೆ.	ശബ്ദം; ശബ്ദസ്വരം	നിന്റെ ശബ്ദം നന്നായി കേൾക്കുന്നു.
