hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
2290:动画	动画	动画	ആനിമേഷൻ	കുട്ടികൾ ഈ ആനിമേഷൻ കാണാൻ ഇഷ്ടപ്പെടുന്നു.	анимация	Балалар бұл анимацияны көргенді ұнатады.
2291:动人	动人	动人	ഹൃദയസ്പർശിയായ	അവളുടെ കഥ വളരെ ഹൃദയസ്പർശിയാണ്.	әсерлі; тебірентерлік	Оның әңгімесі өте әсерлі.
2294:豆浆	豆浆	豆浆	സോയ പാൽ	പ്രഭാതഭക്ഷണത്തിന് ഞാൻ ഒരു കപ്പ് ചൂട് സോയ പാൽ കുടിച്ചു.	соя сүті	Таңғы асқа мен бір кесе ыстық соя сүтін іштім.
2297:读音	读音	读音	ഉച്ചാരണം	ഈ അക്ഷരത്തിന് രണ്ട് സാധാരണ ഉച്ചാരണങ്ങൾ ഉണ്ട്.	айтылу	Бұл таңбаның екі кең таралған айтылуы бар.
2298:独自	独自	独自	ഒറ്റയ്ക്ക്; സ്വയം	അവൾ ഈ ജോലി ഒറ്റയ്ക്ക് പൂർത്തിയാക്കി.	жалғыз; өз бетінше	Ол бұл тапсырманы өз бетінше аяқтады.
2299:堵	堵	堵	തടയുക; ഗതാഗതക്കുരുക്ക് ഉണ്ടാകുക	രാവിലെ തിരക്കുസമയത്ത് ഈ റോഡിൽ പലപ്പോഴും ഗതാഗതക്കുരുക്ക് ഉണ്ടാകും.	бітелу; кептелу	Таңғы қарбалас кезде бұл жол жиі кептеледі.
2300:度	度	度	ഡിഗ്രി; അളവ്	ഇന്ന് താപനില പത്ത് ഡിഗ്രി മാത്രം.	градус; дәреже	Бүгін ауа температурасы небәрі он градус.
2301:短处	短处	短处	ദൗർബല്യം; കുറവ്	ഓരോരുത്തർക്കും സ്വന്തം ശക്തിയും ദൗർബല്യവും ഉണ്ട്.	әлсіз жақ; кемшілік	Әр адамның өз артықшылығы мен кемшілігі бар.
2302:短期	短期	短期	ഹ്രസ്വകാല	ഹ്രസ്വകാല പദ്ധതി ലളിതവും വ്യക്തവുമായിരിക്കണം.	қысқа мерзімді	Қысқа мерзімді жоспар қарапайым әрі анық болуы керек.
2312:躲	躲	躲	മറഞ്ഞിരിക്കുക; ഒഴിവാക്കുക	കുട്ടി വാതിലിന് പിന്നിൽ മറഞ്ഞ് ചിരിച്ചു.	жасырыну; қашу	Бала есіктің артына жасырынып күліп тұрды.
2313:儿女	儿女	儿女	മക്കൾ	മുതിർന്നയാൾ മക്കൾ വീട്ടിലേക്ക് ഇടയ്ക്കിടെ വരണമെന്ന് ആഗ്രഹിക്കുന്നു.	балалар; ұл-қыз	Қарт адам балалары үйге жиі келіп тұрса деп үміттенеді.
2314:二手	二手	二手	ഉപയോഗിച്ച; പഴയ	ഇത് ഉപയോഗിച്ച ഒരു സൈക്കിളാണ്.	қолданылған; екінші қол	Бұл қолданылған велосипед.
2315:二维码	二维码	二维码	ദ്വിമാന കോഡ്	ഭക്ഷണം ഓർഡർ ചെയ്യാൻ മേശയിലെ ദ്വിമാന കോഡ് സ്കാൻ ചെയ്യുക.	екі өлшемді код	Тапсырыс беру үшін үстелдегі екі өлшемді кодты сканерлеңіз.
2321:发起	发起	发起	ആരംഭിക്കുക; തുടങ്ങുക	അവർ ഒരു പരിസ്ഥിതി സംരക്ഷണ പ്രവർത്തനം ആരംഭിച്ചു.	бастау; ұйымдастыру	Олар қоршаған ортаны қорғау науқанын бастады.
2323:发音	发音	发音	ഉച്ചരിക്കുക; ഉച്ചാരണം	അവന്റെ ചൈനീസ് ഉച്ചാരണം കൂടുതൽ വ്യക്തമായി വരുന്നു.	айтылу; айту	Оның қытайша айтылуы барған сайын анық болып келеді.
2324:罚	罚	罚	ശിക്ഷിക്കുക; പിഴ ചുമത്തുക	അമിതവേഗം കാരണം ഡ്രൈവറിന് ഇരുനൂറ് യുവാൻ പിഴ ചുമത്തി.	жазалау; айыппұл салу	Жүргізуші жылдамдықты асырғаны үшін екі жүз юань айыппұл төледі.
2328:番茄	番茄	番茄	തക്കാളി	സൂപ്പ് ഉണ്ടാക്കാൻ തക്കാളി ഉപയോഗിക്കുന്നത് എനിക്ക് ഇഷ്ടമാണ്.	қызанақ	Мен сорпа жасауға қызанақ қолданғанды ұнатамын.
2330:反	反	反	എതിർ; വിരുദ്ധം	അവൻ എതിർ ദിശയിൽ നടന്നു, അതുകൊണ്ട് വാതിൽ കണ്ടെത്താനായില്ല.	кері; қарсы	Ол кері бағытта жүрді, сондықтан есікті таба алмады.
2333:返回	返回	返回	തിരികെ പോകുക; മടങ്ങുക	വിനോദസഞ്ചാരികൾ ഉച്ചകഴിഞ്ഞ് വിശ്രമിക്കാൻ ഹോട്ടലിലേക്ക് മടങ്ങി.	қайту	Туристер түстен кейін демалу үшін қонақүйге қайтты.
2340:防	防	防	തടയുക; മുൻകരുതൽ എടുക്കുക	വേനൽക്കാലത്ത് സൂര്യപ്രകാശത്തിൽ നിന്ന് സംരക്ഷണം ശ്രദ്ധിക്കണം.	сақтану; алдын алу	Жазда күннен қорғануға көңіл бөлу керек.
2341:房屋	房屋	房屋	വീട്; കെട്ടിടം	പേമാരിക്ക് ശേഷം ചില വീടുകൾക്ക് അറ്റകുറ്റപ്പണി വേണ്ടിവന്നു.	үй; ғимарат	Нөсерден кейін кейбір үйлерді жөндеу қажет болды.
2345:飞行	飞行	飞行	പറക്കൽ; വിമാനയാത്ര	ഈ വിമാനയാത്രയ്ക്ക് ഏകദേശം രണ്ട് മണിക്കൂർ വേണം.	ұшу; ұшу сапары	Бұл ұшу шамамен екі сағатқа созылады.
2346:飞行员	飞行员	飞行员	വിമാനചാലകൻ	വിമാനചാലകനാകുകയാണ് അവന്റെ സ്വപ്നം.	ұшқыш	Оның арманы ұшқыш болу.
2347:非洲	非洲	非洲	ആഫ്രിക്ക	അവൾ ആഫ്രിക്കയിലെ വന്യജീവികളെ പഠിക്കുന്നു.	Африка	Ол Африканың жабайы жануарларын зерттеп жүр.
2351:分类	分类	分类	വർഗ്ഗീകരിക്കുക; തരംതിരിക്കുക	ലൈബ്രറി പുസ്തകങ്ങളെ വിഷയപ്രകാരം വർഗ്ഗീകരിക്കുന്നു.	жіктеу; сұрыптау	Кітапхана кітаптарды тақырып бойынша жіктейді.
2352:分离	分离	分离	വേർതിരിക്കുക	യന്ത്രത്തിന് വെള്ളവും എണ്ണയും വേർതിരിക്കാൻ കഴിയും.	бөлу; ажырату	Машина су мен майды ажырата алады.
2356:分享	分享	分享	പങ്കിടുക	അവൾ സുഹൃത്തുകളുമായി അനുഭവം പങ്കിടാൻ തയ്യാറാണ്.	бөлісу	Ол достарымен тәжірибесін бөлісуге дайын.
2358:丰富多彩	丰富多彩	丰富多彩	സമ്പന്നവും വർണ്ണാഭവുമായ	സർവകലാശാല ജീവിതം സമ്പന്നവും വർണ്ണാഭവുമാണ്.	бай әрі түрлі түсті	Университет өмірі бай әрі қызықты.
2367:福	福	福	ഭാഗ്യം; അനുഗ്രഹം	വസന്തോത്സവത്തിൽ ആളുകൾ ഭാഗ്യത്തിന്റെ ചിഹ്നം ഒട്ടിക്കാൻ ഇഷ്ടപ്പെടുന്നു.	бақыт; береке	Көктем мерекесінде адамдар бақыт белгісін жапсырғанды ұнатады.
2371:付出	付出	付出	ചെലവിടുക; സമർപ്പിക്കുക	വിജയത്തിന് ദീർഘകാല പരിശ്രമം വേണം.	жұмсау; арнау	Табысқа жету үшін ұзақ уақыт күш жұмсау керек.
2374:富有	富有	富有	സമ്പന്നമായ; നിറഞ്ഞ	ഈ ലേഖനം വികാരസമ്പന്നമാണ്.	бай; толы	Бұл мақала сезімге толы.
2379:改天	改天	改天	മറ്റൊരു ദിവസം	ഇന്ന് വളരെ തിരക്കാണ്, മറ്റൊരു ദിവസം കാണാം.	басқа күні	Бүгін тым бос емеспіз, басқа күні кездесейік.
2384:敢于	敢于	敢于	ധൈര്യപ്പെടുക	അവൻ സ്വന്തം അഭിപ്രായം പറയാൻ ധൈര്യപ്പെടുന്നു.	батылдық таныту	Ол өз пікірін айтуға батылдық танытады.
2385:刚好	刚好	刚好	കൃത്യമായി; തക്ക സമയത്ത്	ഞാൻ സ്റ്റേഷനിലെത്തുമ്പോൾ ബസ് കൃത്യമായി എത്തി.	дәл; тура	Мен станцияға жеткенде автобус дәл келді.
2386:高大	高大	高大	ഉയരവും വലിപ്പവുമുള്ള	വാതിലിന് സമീപം രണ്ട് ഉയരമുള്ള മരങ്ങൾ ഉണ്ട്.	биік әрі үлкен	Кіреберісте екі биік ағаш бар.
2388:高度	高度	高度	ഉയരം; ഉയർന്ന നില	ഈ കെട്ടിടത്തിന്റെ ഉയരം നൂറ് മീറ്റർ കവിയുന്നു.	биіктік; жоғары деңгей	Бұл ғимараттың биіктігі жүз метрден асады.
2390:高科技	高科技	高科技	ഉയർന്ന സാങ്കേതികവിദ്യ	ഉയർന്ന സാങ്കേതികവിദ്യാ ഉൽപ്പന്നങ്ങൾ ജീവിതം കൂടുതൽ സൗകര്യപ്രദമാക്കുന്നു.	жоғары технология	Жоғары технология өнімдері өмірді ыңғайлы етеді.
2391:高效	高效	高效	കാര്യക്ഷമമായ	ഈ രീതി ലളിതവും കാര്യക്ഷമവുമാണ്.	тиімді	Бұл әдіс қарапайым әрі тиімді.
2394:歌词	歌词	歌词	പാട്ടിന്റെ വരികൾ	ഈ പാട്ടിന്റെ വരികൾ എനിക്ക് വളരെ ഇഷ്ടമാണ്.	ән мәтіні	Маған бұл әннің мәтіні өте ұнайды.
2395:歌曲	歌曲	歌曲	പാട്ട്	ഈ പാട്ട് ഇന്റർനെറ്റിൽ വളരെ ജനപ്രിയമാണ്.	ән	Бұл ән интернетте өте танымал.
2396:隔	隔	隔	വേർതിരിക്കുക; ഇടയിൽ ഉണ്ടായിരിക്കുക	എന്റെ വീടിനും സ്കൂളിനും ഇടയിൽ ഒരു നദിയുണ്ട്.	бөлу; арада болу	Менің үйім мен мектептің арасында бір өзен бар.
2399:各行各业	各行各业	各行各业	എല്ലാ തൊഴിൽ മേഖലകളും	എല്ലാ തൊഴിൽ മേഖലകൾക്കും ഉത്തരവാദിത്തമുള്ള ആളുകൾ വേണം.	барлық сала	Барлық салаға жауапты адамдар қажет.
2405:更换	更换	更换	മാറ്റിസ്ഥാപിക്കുക; മാറ്റുക	എയർ കണ്ടീഷണറിന്റെ ഫിൽറ്റർ നിരന്തരം മാറ്റണം.	ауыстыру	Кондиционер сүзгісін тұрақты түрде ауыстыру керек.
2408:工程	工程	工程	പദ്ധതി; എഞ്ചിനീയറിംഗ്	ഈ പദ്ധതി അടുത്ത വർഷം പൂർത്തിയാക്കാനാണ് പദ്ധതി.	жоба; инженерлік жұмыс	Бұл жобаны келесі жылы аяқтау жоспарланған.
2413:公务员	公务员	公务员	സർക്കാർ ഉദ്യോഗസ്ഥൻ	ബിരുദത്തിനു ശേഷം അവൻ സർക്കാർ ഉദ്യോഗസ്ഥ പരീക്ഷ പാസായി.	мемлекеттік қызметкер	Оқуды бітіргеннен кейін ол мемлекеттік қызмет емтиханынан өтті.
2416:工艺	工艺	工艺	കൈത്തൊഴിൽ; സാങ്കേതിക വിദ്യ	ഈ പരമ്പരാഗത കൈത്തൊഴിൽ പല വർഷമായി കൈമാറിക്കൊണ്ടിരിക്കുന്നു.	қолөнер; технология	Бұл дәстүрлі қолөнер көп жылдан бері жалғасып келеді.
2419:共享	共享	共享	പങ്കിടുക; കൂട്ടായി ഉപയോഗിക്കുക	ഈ നഗരത്തിൽ നിരവധി പങ്കുപയോഗ സൈക്കിളുകൾ ഉണ്ട്.	ортақ пайдалану	Бұл қалада ортақ пайдаланылатын велосипед көп.
2422:古	古	古	പുരാതന; പഴയ	ഈ പാലം പുരാതന കാലത്തെ രൂപം നിലനിർത്തിയിരിക്കുന്നു.	көне; ежелгі	Бұл көпір ежелгі кездегі келбетін сақтап қалған.
2423:鼓	鼓	鼓	മൃദംഗം; തക്കിൽ	മൃദംഗ ശബ്ദം കേട്ടപ്പോൾ കുട്ടികൾ ഓടിവന്നു.	барабан; дабыл	Балалар барабан үнін естігенде жүгіріп келді.
2425:古老	古老	古老	പുരാതനമായ; പഴയ	ഈ പുരാതന നഗരം നിരവധി വിനോദസഞ്ചാരികളെ ആകർഷിക്കുന്നു.	ежелгі; көне	Бұл ежелгі қала көптеген туристі тартады.
2430:怪	怪	怪	വിചിത്രമായ; കുറ്റപ്പെടുത്തുക	ഇന്നത്തെ കാലാവസ്ഥ അല്പം വിചിത്രമാണ്.	біртүрлі; кінәлау	Бүгінгі ауа райы сәл біртүрлі.
2438:光线	光线	光线	പ്രകാശം; വെളിച്ചം	മുറിയിലെ വെളിച്ചം വളരെ മങ്ങിയതാണ്, വായനയ്ക്ക് അനുയോജ്യമല്ല.	жарық сәулесі; жарық	Бөлменің жарығы тым күңгірт, кітап оқуға қолайсыз.
2439:广	广	广	വിശാലമായ	അവന്റെ താൽപര്യങ്ങൾ വളരെ വിശാലമാണ്.	кең	Оның қызығушылығы өте кең.
2446:贵姓	贵姓	贵姓	താങ്കളുടെ കുടുംബപ്പേര്	ക്ഷമിക്കണം, താങ്കളുടെ കുടുംബപ്പേര് എന്താണ്?	құрметті тегіңіз	Кешіріңіз, тегіңіз кім?
2447:柜子	柜子	柜子	അലമാരി; കാബിനറ്റ്	രേഖകൾ എല്ലാം അലമാരിയിൽ വെച്ചിരിക്കുന്നു.	шкаф; сөре	Құжаттардың бәрі шкафқа қойылған.
2450:国画	国画	国画	പരമ്പരാഗത ചൈനീസ് ചിത്രകലം	മുത്തച്ഛൻ പരമ്പരാഗത ചൈനീസ് ചിത്രങ്ങൾ വരയ്ക്കാൻ ഇഷ്ടപ്പെടുന്നു.	дәстүрлі қытай кескіндемесі	Атам дәстүрлі қытай суретін салғанды ұнатады.
2451:国庆	国庆	国庆	ദേശീയ ദിനം	ദേശീയ ദിന അവധിയിൽ ഞങ്ങൾ ഹാങ്‌ഷൗവിലേക്ക് പോയി.	Ұлттық күн	Ұлттық күн демалысында біз Ханчжоуға бардық.
2461:海外	海外	海外	വിദേശത്ത്; കടൽക്കപ്പുറം	ഈ കമ്പനിക്ക് വിദേശത്ത് നിരവധി ഉപഭോക്താക്കൾ ഉണ്ട്.	шетелде; мұхит ар жағында	Бұл компанияның шетелде көп клиенті бар.
2463:含	含	含	അടങ്ങുക; വായിൽ പിടിക്കുക	ഈ പാനീയത്തിൽ പഞ്ചസാര വളരെ കൂടുതലുണ്ട്.	құрамында болу; ауызда ұстау	Бұл сусынның құрамында қант көп.
2464:含量	含量	含量	അളവ്; ഉള്ളടക്ക അളവ്	ഈ പഴത്തിൽ വിറ്റാമിൻ അളവ് കൂടുതലാണ്.	мөлшер; құрамдағы үлес	Бұл жемістегі дәрумен мөлшері жоғары.
2465:含有	含有	含有	അടങ്ങിയിരിക്കുക	പാലിൽ സമൃദ്ധമായ പോഷകങ്ങൾ അടങ്ങിയിരിക്കുന്നു.	құрамында болу	Сүттің құрамында мол қоректік заттар бар.
2466:汗水	汗水	汗水	വിയർപ്പ്	കായികതാരത്തിന്റെ വിയർപ്പ് വസ്ത്രം നനച്ചു.	тер	Спортшының тері киімін су қылды.
2467:行	行	行	തൊഴിൽ മേഖല; രംഗം	അവൻ ഭക്ഷണ സേവന രംഗത്ത് പത്ത് വർഷം ജോലി ചെയ്തു.	сала; кәсіп	Ол тамақтану саласында он жыл жұмыс істеді.
2469:好评	好评	好评	നല്ല വിലയിരുത്തൽ	ഈ റെസ്റ്റോറന്റിന് നിരവധി നല്ല വിലയിരുത്തലുകൾ ലഭിച്ചു.	жақсы пікір	Бұл мейрамхана көп жақсы пікір алды.
2470:好运	好运	好运	നല്ല ഭാഗ്യം	പരീക്ഷയ്ക്ക് നിനക്ക് നല്ല ഭാഗ്യം ആശംസിക്കുന്നു.	сәттілік	Емтиханда сәттілік тілеймін.
2471:好转	好转	好转	മെച്ചപ്പെടുക	ചികിത്സയ്ക്കുശേഷം അവന്റെ രോഗാവസ്ഥ മെച്ചപ്പെടാൻ തുടങ്ങി.	жақсару	Емнен кейін оның жағдайы жақсара бастады.
2474:合	合	合	അടയ്ക്കുക; ചേർക്കുക; യോജിക്കുക	ദയവായി പുസ്തകം അടച്ച് എന്റെ വാക്കുകൾ കേൾക്കൂ.	жабу; біріктіру; сәйкес келу	Кітабыңызды жауып, мені тыңдаңыз.
2476:盒饭	盒饭	盒饭	പെട്ടിയിലിട്ട ഭക്ഷണം	ഉച്ചയ്ക്ക് ഞങ്ങൾ സ്റ്റേഷനിൽ പെട്ടിയിലിട്ട ഭക്ഷണം വാങ്ങി.	қораптағы тамақ	Түсте біз станциядан қораптағы тамақ сатып алдық.
2478:河流	河流	河流	നദി	ഈ നദി മൂന്ന് നഗരങ്ങളിലൂടെ ഒഴുകുന്നു.	өзен	Бұл өзен үш қаладан өтеді.
2485:厚度	厚度	厚度	കനം	ഈ ഗ്ലാസിന്റെ കനം അഞ്ച് മില്ലിമീറ്ററാണ്.	қалыңдық	Бұл әйнектің қалыңдығы бес миллиметр.
2489:湖	湖	湖	തടാകം	തടാകത്തിന്റെ അരികിൽ നിരവധി പേർ നടക്കുന്നു.	көл	Көл жағасында көп адам серуендеп жүр.
2492:互动	互动	互动	പരസ്പര ഇടപെടൽ	ക്ലാസിലെ പരസ്പര ഇടപെടൽ വിദ്യാർത്ഥികളെ കൂടുതൽ സജീവരാക്കുന്നു.	өзара әрекет	Сабақтағы өзара әрекет оқушыларды белсендірек етеді.
2493:户外	户外	户外	പുറത്തുള്ള; തുറസ്സായിടം	വാരാന്ത്യത്തിൽ ഞങ്ങൾ പുറത്തേക്ക് മല കയറാൻ പോയി.	ашық ауада; сыртта	Демалыста біз ашық ауада тауға шықтық.
2494:花费	花费	花费	ചെലവാകുക; ചെലവഴിക്കുക	ഈ കാർ നന്നാക്കാൻ നല്ലത്ര പണം ചെലവായി.	шығындалу; жұмсау	Бұл көлікті жөндеуге біраз ақша кетті.
2497:化	化	化	ഉരുകുക; മാറുക	മഞ്ഞ് സൂര്യപ്രകാശത്തിൽ പതുക്കെ ഉരുകി.	еру; айналу	Мұз күн астында баяу еріді.
2498:话费	话费	话费	ഫോൺ ചാർജ്; വിളി ചെലവ്	ഈ മാസം എന്റെ ഫോൺ ചെലവ് അല്പം കൂടുതലാണ്.	байланыс ақысы	Осы айда менің байланыс ақым сәл жоғары.
2499:画面	画面	画面	ദൃശ്യം; ചിത്രം	സിനിമയിലെ ഈ ദൃശ്യം വളരെ ഹൃദയസ്പർശിയാണ്.	көрініс; сурет	Фильмдегі бұл көрініс өте әсерлі.
2504:缓慢	缓慢	缓慢	മന്ദഗതിയായ	മുതിർന്നയാൾ താരതമ്യേന മന്ദഗതിയിൽ നടക്കുന്നു.	баяу	Қарт адам біршама баяу жүреді.
2505:黄瓜	黄瓜	黄瓜	വെള്ളരി	തണുത്ത വെള്ളരി സലാഡ് വളരെ പുതുമയുള്ള ചെറിയ വിഭവമാണ്.	қияр	Салқын қияр салаты өте сергітетін жеңіл тағам.
2510:灰色	灰色	灰色	ചാരനിറം	അവൻ ചാരനിറമുള്ള ഒരു കോട്ട് ധരിച്ചിരിക്കുന്നു.	сұр түс	Ол сұр пальто киіп жүр.
2514:伙	伙	伙	സംഘം; കൂട്ടം	യുവാക്കളുടെ ഒരു സംഘം വാതിലിന് സമീപം സംസാരിക്കുന്നു.	топ; топ адам	Бір топ жас кіреберісте сөйлесіп тұр.
2516:火锅	火锅	火锅	ചൂടുകല ഭക്ഷണം	ശീതകാലത്ത് ചൂടുകല ഭക്ഷണം കഴിക്കുന്നത് വളരെ സുഖകരമാണ്.	ыстық қазан тағамы	Қыста ыстық қазан тағамын жеу өте жайлы.
2517:或是	或是	或是	അല്ലെങ്കിൽ	നീ മെട്രോയിൽ പോകാം, അല്ലെങ്കിൽ ടാക്സിയിൽ പോകാം.	немесе	Метромен баруға немесе таксимен баруға болады.
2518:货物	货物	货物	സാധനങ്ങൾ; ചരക്ക്	ഗൊഡൗണിൽ ചരക്കുകൾ നിറഞ്ഞിരിക്കുന്നു.	тауар; жүк	Қойма тауарға толы.
2523:机器人	机器人	机器人	യന്ത്രമനുഷ്യൻ	ഈ യന്ത്രമനുഷ്യൻ ആളുകൾക്ക് ഭക്ഷണം എത്തിക്കാൻ സഹായിക്കും.	робот	Бұл робот адамдарға тамақ жеткізуге көмектеседі.
2525:及	及	及	കൂടാതെ; ഒപ്പം	യോഗത്തിൽ സുരക്ഷയും സേവന പ്രശ്നങ്ങളും ചർച്ച ചെയ്തു.	және; сондай-ақ	Жиналыста қауіпсіздік және қызмет көрсету мәселелері талқыланды.
2526:级	级	级	നില; ഗ്രേഡ്	അവൻ ഇപ്പോൾ ഇടത്തരം ചൈനീസ് നിലയിലാണ്.	деңгей; сынып	Ол қазір орта деңгейдегі қытай тілін біледі.
2527:集	集	集	അധ്യായം; ഭാഗം	ഈ ഡോക്യുമെന്ററിയിൽ ആകെ ആറു ഭാഗങ്ങളുണ്ട്.	бөлім; серия	Бұл деректі фильм барлығы алты сериядан тұрады.
2535:急需	急需	急需	അടിയന്തരമായി ആവശ്യമായിരിക്കുക	ദുരന്തബാധിത പ്രദേശത്തിന് ഭക്ഷണവും മരുന്നും അടിയന്തരമായി വേണം.	шұғыл қажет ету	Апат аймағына азық-түлік пен дәрі-дәрмек шұғыл қажет.
2538:挤	挤	挤	ഞെരിയുക; തിരക്കേറിയിരിക്കുക	മെട്രോയിൽ ആളുകൾ വളരെ കൂടുതലായതിനാൽ എല്ലാവരും ഒന്നിച്ച് ഞെരിഞ്ഞുനിന്നു.	сығылу; тығыз болу	Метрода адам тым көп, бәрі бір-біріне сығылып тұр.
2539:系	系	系	കെട്ടുക; ബന്ധിക്കുക	വീട്ടിൽ നിന്ന് പോകുന്നതിനുമുമ്പ് ചെരുപ്പിന്റെ നൂൽ നന്നായി കെട്ടുക.	байлау; бекіту	Үйден шығар алдында аяқкиім бауын жақсылап байлаңыз.
2543:纪录片	纪录片	纪录片	ഡോക്യുമെന്ററി ചിത്രം	ഈ ഡോക്യുമെന്ററി ചിത്രം ചൈനീസ് ചായ സംസ്കാരത്തെ പരിചയപ്പെടുത്തുന്നു.	деректі фильм	Бұл деректі фильм қытай шай мәдениетін таныстырады.
2544:技能	技能	技能	കഴിവ്; നൈപുണ്യം	ഒരു പുതിയ കഴിവ് പഠിക്കാൻ സമയം വേണം.	дағды	Жаңа дағды үйренуге уақыт керек.
2546:纪念日	纪念日	纪念日	വാർഷിക ദിനം; ഓർമ്മദിനം	ഇന്ന് അവരുടെ വിവാഹത്തിന്റെ പത്താം വാർഷിക ദിനമാണ്.	мерейтой; еске алу күні	Бүгін олардың үйленгеніне он жыл толған мерейтой.
2548:计算机	计算机	计算机	കമ്പ്യൂട്ടർ	സ്കൂൾ ഒരു പുതിയ കമ്പ്യൂട്ടർ കൂട്ടം വാങ്ങി.	компьютер	Мектеп жаңа компьютерлер партиясын сатып алды.
2552:家电	家电	家电	ഗൃഹ വൈദ്യുതോപകരണം	ഈ കട പ്രത്യേകിച്ച് ഗൃഹ വൈദ്യുതോപകരണങ്ങൾ വിൽക്കുന്നു.	тұрмыстық техника	Бұл дүкен тұрмыстық техника сатуға маманданған.
2554:加热	加热	加热	ചൂടാക്കുക	ഭക്ഷണം തണുത്തിരിക്കുന്നു, വീണ്ടും ചൂടാക്കണം.	қыздыру	Тамақ суып қалды, оны қайта қыздыру керек.
2555:加深	加深	加深	ആഴപ്പെടുത്തുക	ഈ സംഭാഷണം നമ്മുടെ പരസ്പര അവഗാഹം ആഴപ്പെടുത്തി.	тереңдету	Бұл әңгіме біздің түсіністігімізді тереңдетті.
2556:加速	加速	加速	വേഗപ്പെടുത്തുക	പുതിയ നയം നഗരത്തിന്റെ വികസനം വേഗപ്പെടുത്തും.	жеделдету	Жаңа саясат қаланың дамуын жеделдетеді.
2560:架	架	架	ചട്ടക്കൂട്; അലമാര; എണ്ണപ്പദം	പുസ്തക അലമാര പഴയ പുസ്തകങ്ങൾ കൊണ്ട് നിറഞ്ഞിരിക്കുന്നു.	сөре; қаңқа; есептік сөз	Кітап сөресі ескі кітаптарға толы.
2562:驾照	驾照	驾照	ഡ്രൈവിംഗ് ലൈസൻസ്	അവൻ കഴിഞ്ഞ വർഷം ഡ്രൈവിംഗ് ലൈസൻസ് നേടി.	жүргізуші куәлігі	Ол былтыр жүргізуші куәлігін алды.
2567:剪	剪	剪	കത്രികകൊണ്ട് മുറിക്കുക	അവൾ കത്രിക ഉപയോഗിച്ച് പാക്കറ്റ് തുറന്ന് മുറിച്ചു.	қайшымен қию	Ол қаптаманы қайшымен қиып ашты.
2572:建	建	建	നിർമ്മിക്കുക	ഗ്രാമത്തിൽ ഒരു പുതിയ സ്കൂൾ നിർമ്മിക്കാൻ പദ്ധതി ഉണ്ട്.	салу; тұрғызу	Ауылда жаңа мектеп салу жоспарланып отыр.
2573:键	键	键	കീ; ബട്ടൺ	കമ്പ്യൂട്ടർ കീബോർഡിലെ ഒരു കീ തകരാറിലായി.	перне; батырма	Компьютер пернетақтасындағы бір перне бұзылған.
2574:渐渐	渐渐	渐渐	പതുക്കെ; ക്രമേണ	ആകാശം പതുക്കെ ഇരുണ്ടു.	біртіндеп	Аспан біртіндеп қараңғыланды.
2578:建造	建造	建造	നിർമ്മിക്കുക	ഈ പാലം നിർമ്മിക്കാൻ മൂന്ന് വർഷം എടുത്തു.	құрылыс салу	Бұл көпірді салуға үш жыл кетті.
2581:讲话	讲话	讲话	സംസാരിക്കുക; പ്രസംഗം	നേതാവ് വേദിയിൽ സംസാരിക്കുകയാണ്.	сөйлеу; сөз	Басшы сахнада сөйлеп жатыр.
2584:讲述	讲述	讲述	വിവരിക്കുക; കഥ പറയുക	ഈ പുസ്തകം ഒരു യഥാർത്ഥ കഥ പറയുന്നു.	баяндау; айтып беру	Бұл кітап шынайы оқиғаны баяндайды.
2586:降水	降水	降水	മഴപ്പൊഴிவு; വർഷണം	ഈ ആഴ്ച മഴപ്പൊഴிவு വ്യക്തമായി കൂടിയിട്ടുണ്ട്.	жауын-шашын	Осы аптада жауын-шашын айқын көбейді.
2591:脚步	脚步	脚步	കാലടി ശബ്ദം; നടപ്പ്	വാതിലിന് പുറത്തുനിന്ന് വേഗത്തിലുള്ള കാലടി ശബ്ദം കേട്ടു.	аяқ дыбысы; қадам	Есіктің сыртынан асығыс аяқ дыбысы естілді.
2593:较	较	较	താരതമ്യേന	ഈ പദ്ധതി താരതമ്യേന യുക്തിസഹമാണ്.	салыстырмалы түрде	Бұл жоспар салыстырмалы түрде орынды.
2599:接收	接收	接收	സ്വീകരിക്കുക; ഏറ്റെടുക്കുക	മെയിൽബോക്സ് ഇതിനകം ഫയൽ സ്വീകരിച്ചു.	қабылдау	Пошта жәшігі файлды қабылдап қойды.
2600:结	结	结	കെട്ടുക; മുറുക്ക് രൂപപ്പെടുക	അവൻ കയറിൽ ഒരു മുറുക്ക് കെട്ടി.	түйін жасау; түю	Ол арқанға бір түйін байлады.
2606:今日	今日	今日	ഇന്ന്	ഇന്നത്തെ യോഗം റദ്ദാക്കി.	бүгін	Бүгінгі жиналыс тоқтатылды.
2607:紧	紧	紧	ഇറുക്കമുള്ള; ഉത്കണ്ഠാജനകമായ	സ്യൂട്ട്‌കേസ് വളരെ നിറഞ്ഞതിനാൽ മൂടി വളരെ ഇറുക്കമായി അടഞ്ഞു.	тығыз; қатты	Чемодан тым толы, қақпағы өте тығыз жабылды.
