simplified	LV	example_LV
计算	aprēķināt	Lūdzu, aprēķini kopējās izmaksas.
记录	pierakstīt; ieraksts	Lūdzu, pieraksti sanāksmes saturu.
记忆	atmiņa	Šī atmiņa ir ļoti vērtīga.
嘉宾	godājamais viesis	Šodienas viesis ir rakstnieks.
夹子	saspraude; skava	Lūdzu, saspraud dokumentus ar saspraudi.
家庭	ģimene	Ģimene bērniem ir ļoti svarīga.
家务	mājas darbi	Nedēļas nogalē man jādara mājas darbi.
家乡	dzimtā vieta	Es ļoti ilgojos pēc dzimtās vietas.
假如	ja	Ja rīt līs, mēs neiesim.
假设	pieņemt; hipotēze	Pieņemsim, ka tu esi skolotājs, ko tu darītu?
假装	izlikties	Viņš izlikās, ka nav dzirdējis.
甲	puse A	Pusei A jāmaksā laikā.
价值	vērtība	Šī grāmata ir ļoti vērtīga.
嫁	apprecēties	Viņa nākamgad apprecēsies ar savu draugu.
驾驶	vadīt transportlīdzekli	Braucot ar auto, jāvada uzmanīgi.
兼职	nepilna laika darbs	Vakaros viņš strādā nepilna laika darbu.
坚决	apņēmīgs; stingrs	Viņš stingri nepiekrīt šim lēmumam.
坚强	stiprs	Viņa ir stiprs cilvēks.
肩膀	plecs	Viņa plecs ir savainots.
艰巨	grūts	Tas ir grūts uzdevums.
艰苦	skarbs; grūts	Viņi piedzīvoja grūtu dzīvi.
剪刀	šķēres	Lūdzu, padod man šķēres.
捡	pacelt	Viņš pacēla maku no zemes.
简历	dzīvesgājums; CV	Pirms pieteikšanās darbam jāsagatavo CV.
简直	vienkārši	Šī ziņa vienkārši pārsteidz.
健身	sportot; uzturēt formu	Viņš trenējas trīs reizes nedēļā.
建立	izveidot	Mēs izveidojām jaunas attiecības.
建设	būvniecība; būvēt	Pilsētas būvniecība attīstās ātri.
建筑	ēka; arhitektūra	Šai ēkai ir raksturīgas iezīmes.
键盘	tastatūra	Mana tastatūra ir jāiztīra.
讲究	pievērst īpašu uzmanību	Ķīnieši ēdienam pievērš lielu uzmanību.
讲座	lekcija	Šovakar būs ķīniešu valodas lekcija.
酱油	sojas mērce	Ēdienam pievieno mazliet sojas mērces.
交换	apmainīties	Mēs apmainījāmies ar tālruņa numuriem.
交际	saziņa	Mācoties valodu, jāvingrinās arī saziņā.
交往	tikties; būt attiecībās	Viņi ir kopā jau divus gadus.
浇	laistīt	Lūdzu, katru dienu aplaisti ziedus.
胶水	līme	Es pielīmēju fotogrāfiju ar līmi.
狡猾	viltīgs	Tā lapsa ir ļoti viltīga.
角度	leņķis; skatpunkts	Paskatīsimies uz problēmu no cita skatpunkta.
教材	mācību materiāls	Šī mācību grāmata ir ļoti praktiska.
教练	treneris	Treneris prasa, lai mēs ierastos laikā.
教训	mācība	Šī neveiksme ir mācība.
接触	saskare; saskarties	Tā ir mana pirmā saskare ar Ķīnas kultūru.
接待	uzņemt viesus	Uzņēmums norīkoja cilvēku viesu uzņemšanai.
接近	tuvoties	Pavasara svētki tuvojas arvien vairāk.
结实	izturīgs	Šis koferis ir ļoti izturīgs.
阶段	posms	Mācības ir sadalītas trīs posmos.
结构	struktūra	Šim rakstam ir skaidra struktūra.
结合	apvienot	Mācības jāapvieno ar praksi.
结论	secinājums	Viņa secinājums ir ļoti pārliecinošs.
结账	samaksāt rēķinu	Pēc ēšanas mēs devāmies samaksāt rēķinu.
节省	taupīt	Braukšana ar metro var ietaupīt laiku.
借口	attaisnojums	Beidz meklēt attaisnojumus.
届	reize; izlaidums	Šīs ir trešās sacensības.
戒	atmest; brīdināt	Ārsts ieteica viņam atmest smēķēšanu.
戒指	gredzens	Viņa nēsā gredzenu.
金属	metāls	Dzelzs ir metāls.
尽快	pēc iespējas ātrāk	Lūdzu, atbildi uz e-pastu pēc iespējas ātrāk.
紧急	steidzams; ārkārtas	Tā ir ārkārtas situācija.
谨慎	piesardzīgs	Pirms ieguldīšanas jābūt piesardzīgam.
尽力	darīt visu iespējamo	Es darīšu visu iespējamo, lai tev palīdzētu.
尽量	cik vien iespējams	Lūdzu, centies ierasties pēc iespējas agrāk.
近代	jaunie laiki	Jaunajos laikos Ķīnā notika daudz pārmaiņu.
进步	progress; uzlaboties	Viņa ķīniešu valoda ātri uzlabojas.
进口	importēts	Šī automašīna ir importēta.
精力	enerģija	Bērniem ir daudz enerģijas.
精神	garastāvoklis; gars	Viņam šodien ir labs garastāvoklis.
经典	klasisks	Šī ir klasiska filma.
经商	nodarboties ar uzņēmējdarbību	Viņa tēvs nodarbojas ar uzņēmējdarbību ārzemēs.
经营	vadīt; pārvaldīt	Viņa vada mazu veikalu.
酒吧	bārs	Vakarā viņi devās uz bāru.
救	glābt	Ārsts izglāba viņa dzīvību.
救护车	ātrās palīdzības mašīna	Ātrā palīdzība ieradās ātri.
舅舅	mātes brālis	Mans mātes brālis dzīvo Naņdzjinā.
居然	negaidīti; izrādās	Viņš pat bija aizmirsis savu dzimšanas dienu.
桔子	mandarīns	Uz galda ir vairāki mandarīni.
俱乐部	klubs	Viņa pievienojās peldēšanas klubam.
具备	būt apveltītam ar; būt	Viņam ir vadības pieredze.
具体	konkrēts	Lūdzu, pasaki mazliet konkrētāk.
巨大	milzīgs	Šim projektam vajadzīgs milzīgs ieguldījums.
据说	runā, ka	Runā, ka viņš jau ir atgriezies dzimtenē.
捐	ziedot	Visi ir gatavi ziedot naudu.
决赛	fināls	Rīt ir futbola fināls.
决心	apņēmība	Viņš apņēmās labi iemācīties ķīniešu valodu.
绝对	pilnīgi; noteikti	Šo lietu noteikti nedrīkst aizmirst.
角色	loma	Viņa filmā spēlē svarīgu lomu.
军事	militārs	Viņu ļoti interesē militārā vēsture.
均匀	vienmērīgs	Lūdzu, uzklāj krāsu vienmērīgi.
卡车	kravas mašīna	Pie ieejas stāv kravas mašīna.
开发	izstrādāt	Uzņēmums izstrādā jaunu produktu.
开放	atvērt	Parks katru rītu atveras sešos.
开幕式	atklāšanas ceremonija	Atklāšanas ceremonija notiks rīt vakarā.
开水	vārīts ūdens	Lūdzu, iedod man glāzi vārīta ūdens.
砍	cirst	Strādnieks cērt zarus.
看不起	noniecināt	Nenoniecini nevienu.
看望	apciemot	Nedēļas nogalē apciemošu vecvecākus.
靠	atbalstīties; balstīties	Viņš atbalstījās pret sienu, lai atpūstos.
颗	klasifikators maziem apaļiem priekšmetiem	Nakts debesīs ir viena zvaigzne.
可见	redzams; skaidrs	Ir skaidrs, ka šī metode ir efektīva.
可靠	uzticams	Viņš ir uzticams draugs.
可怕	briesmīgs	Šis sapnis bija pārāk briesmīgs.
克	grams	Lūdzu, pievieno divus gramus sāls.
克服	pārvarēt	Mums jāpārvar grūtības.
刻苦	cītīgs	Viņš mācās ļoti cītīgi.
客观	objektīvs	Lūdzu, analizē problēmu objektīvi.
课程	kurss	Šis kurss ir ļoti noderīgs.
空间	telpa	Šajā istabā ir daudz vietas.
控制	kontrolēt	Vadītājs kontrolēja automašīnas ātrumu.
空闲	brīvais laiks	Vai tev rīt pēcpusdienā ir brīvs laiks?
口味	garša; gaume	Viņa gaume ēdienā ir diezgan viegla.
夸	slavēt	Skolotājs viņu paslavēja par lielu progresu.
夸张	pārspīlēts	Viņa sejas izteiksme ir mazliet pārspīlēta.
会计	grāmatvedis	Viņa uzņēmumā strādā par grāmatvedi.
宽	plats	Šis ceļš ir ļoti plats.
昆虫	kukainis	Bērni novēro kukaiņus.
扩大	paplašināt	Skola plāno paplašināt bibliotēku.
辣椒	čili pipars	Ēdienam pievienoja daudz čili piparu.
拦	apturēt	Policija apturēja automašīnu.
烂	sapuvies	Šis ābols jau ir sapuvis.
朗读	lasīt skaļi	Lūdzu, skaļi nolasi tekstu.
劳动	darbs	Darbs liek cilvēkam justies piepildītam.
劳驾	atvainojiet	Atvainojiet, kur atrodas metro stacija?
姥姥	vecmāmiņa no mātes puses	Mana vecmāmiņa no mātes puses ļoti garšīgi gatavo.
老百姓	parastie cilvēki	Parastajiem cilvēkiem rūp dzīves dārdzība.
老板	priekšnieks	Priekšnieka šodien nav birojā.
老婆	sieva	Viņš nopirka sievai ziedus.
老实	godīgs	Viņš ir godīgs cilvēks.
老鼠	pele	Virtuvē ir pele.
乐观	optimistisks	Viņa ir optimistiska par nākotni.
雷	pērkons	Vakar vakarā pērkons bija ļoti skaļš.
类型	tips	Kādam tipam pieder šāda filma?
冷淡	vēss; vienaldzīgs	Viņa attieksme ir mazliet vēsa.
厘米	centimetrs	Šī pildspalva ir piecpadsmit centimetrus gara.
梨	bumbieris	Es nopirku dažus bumbierus.
离婚	šķirties	Viņi izšķīrās pagājušajā gadā.
理论	teorija	Šī teorija ir ļoti sarežģīta.
理由	iemesls	Kāds tev ir iemesls kavēties?
利润	peļņa	Šogad uzņēmuma peļņa pieauga.
利息	procenti	Bankas procenti nav augsti.
利益	intereses; labums	Mums jāaizsargā visu intereses.
利用	izmantot	Viņš izmanto nedēļas nogali, lai mācītos ķīniešu valodu.
力量	spēks	Vienotība ir spēks.
立即	nekavējoties	Lūdzu, nekavējoties atstāj šo vietu.
立刻	tūlīt	Izdzirdējis ziņu, viņš tūlīt devās ceļā.
联合	apvienot	Abi uzņēmumi kopīgi izstrādāja produktu.
连忙	steigšus	Izdzirdējis telefona zvanu, viņš steigšus pacēla klausuli.
连续	nepārtraukti	Viņš strādāja desmit stundas pēc kārtas.
恋爱	būt romantiskās attiecībās	Viņi ir romantiskās attiecībās.
粮食	graudi; pārtika	Šogad graudu raža palielinājās.
良好	labs	Viņam ir labi mācīšanās ieradumi.
亮	spilgts; gaišs	Istabā gaisma ir ļoti spilgta.
了不起	ievērojams; apbrīnojams	Viņa sasniedza ievērojamus rezultātus.
列车	vilciens	Vilciens tūlīt aties.
临时	pagaidu	Tas ir pagaidu lēmums.
灵活	elastīgs	Mācību metodēm jābūt elastīgām.
铃	zvans	Atskanēja stundas zvans.
零件	detaļa	Mašīnai trūkst vienas detaļas.
零食	uzkodas	Bērniem patīk ēst uzkodas.
领导	vadītājs; vadība	Vadītājs pašlaik ir sanāksmē.
领域	joma	Viņa strādā izglītības jomā.
流传	tikt nodotam tālāk	Šis stāsts tiek nodots tālāk jau ilgu laiku.
流泪	raudāt	Izdzirdējusi šo ziņu, viņa sāka raudāt.
浏览	pārlūkot	Es vispirms pārlūkošu tīmekļa lapu.
龙	pūķis	Ķīnas kultūrā ir pūķi.
漏	tecēt; noplūst	Jumts laiž cauri lietu.
录取	uzņemt	Viņu uzņēma universitātē.
录音	ierakstīt skaņu	Lūdzu, sāciet ierakstu.
陆地	sauszeme	Jūras bruņurupucis izlīda uz sauszemes.
陆续	pakāpeniski; viens pēc otra	Viesi ieradās viens pēc otra.
轮流	pēc kārtas	Mēs pēc kārtas tīrām klasi.
论文	diplomdarbs; raksts	Viņa raksta diplomdarbu.
逻辑	loģika	Viņa loģika ir ļoti skaidra.
落后	atpalikt	Mēs nedrīkstam atpalikt no citiem.
骂	lamāt	Lūdzu, nelamā bērnu.
麦克风	mikrofons	Lūdzu, padod viņam mikrofonu.
馒头	tvaicēta maizīte	Brokastīs es apēdu tvaicētu maizīti.
满足	apmierināt	Šī atbilde neatbilst prasībām.
毛病	problēma; defekts	Šim datoram ir neliela problēma.
矛盾	pretruna; konflikts	Starp viņiem ir daži konflikti.
冒险	riskēt	Doties tur vienam ir pārāk riskanti.
贸易	tirdzniecība	Starptautiskā tirdzniecība attīstās ātri.
媒体	mediji	Mediji ziņoja par šo lietu.
煤炭	ogles	Šajā reģionā iegūst ogles.
眉毛	uzacis	Viņas uzacis ir biezas.
美术	māksla	Manai jaunākajai māsai patīk māksla.
魅力	pievilcība	Šai pilsētai ir liela pievilcība.
梦想	sapnis	Viņa sapnis ir kļūt par ārstu.
密切	ciešs	Mēs uzturam ciešu kontaktu.
秘密	noslēpums	Tas ir mūsu noslēpums.
秘书	sekretārs	Sekretāre sarunāja sanāksmes laiku.
蜜蜂	bite	Ziedos ir daudz bišu.
面对	stāties pretī	Mums drosmīgi jāstājas pretī grūtībām.
面积	platība	Šīs istabas platība nav liela.
面临	saskarties ar	Uzņēmums saskaras ar jauniem izaicinājumiem.
描写	aprakstīt	Autors aprakstīja lauku dzīvi.
苗条	slaids	Viņai ir slaida figūra.
敏感	jutīgs	Šī tēma ir diezgan jutīga.
名牌	slavenais zīmols	Viņš nopirka slavena zīmola pulksteni.
名片	vizītkarte	Lūdzu, iedodiet man vizītkarti.
名胜古迹	ievērojamas vēsturiskas vietas	Pekinā ir daudz vēsturisku apskates vietu.
明确	skaidrs; skaidri pateikt	Skolotājs skaidri izskaidroja prasības.
明显	acīmredzams	Viņa progress ir acīmredzams.
明星	zvaigzne; slavenība	Viņa grib kļūt par kinozvaigzni.
命令	pavēle	Karavīriem jāpakļaujas pavēlēm.
命运	liktenis	Viņš tic, ka likteni var mainīt.
摸	aiztikt	Lūdzu, neaiztiec šo gleznu.
摩托车	motocikls	Viņš brauc uz darbu ar motociklu.
模仿	atdarināt	Bērniem patīk atdarināt pieaugušo runu.
模糊	neskaidrs	Šī fotogrāfija ir mazliet neskaidra.
模特	modelis	Viņa ir apģērbu modele.
陌生	svešs	Šī pilsēta man ir ļoti sveša.
某	kāds	Man piezvanīja kāds skolotājs.
木头	koks; koksne	Šis galds ir izgatavots no koka.
目标	mērķis	Mans mērķis ir nokārtot eksāmenu.
目录	saturs; katalogs	Lūdzu, vispirms apskati grāmatas sākumā esošo saturu.
目前	pašlaik	Pašlaik situācija ir samērā stabila.
哪怕	pat ja	Pat ja viņš ir aizņemts, viņš turpina mācīties.
难怪	nav brīnums	Nav brīnums, ka tu šodien esi tik priecīgs.
难免	grūti izvairīties	Pirmajā reizē ir grūti izvairīties no kļūdām.
脑袋	galva	Viņam mazliet sāp galva.
内部	iekšējs	Tie ir uzņēmuma iekšējie materiāli.
内科	iekšķīgo slimību nodaļa	Viņš šodien dodas pie iekšķīgo slimību ārsta.
嫩	maigs; mīksts	Šis gaļas gabals ir ļoti mīksts.
能干	spējīgs	Viņa ir ļoti spējīga.
能源	enerģijas avots	Saules enerģija ir tīrs enerģijas avots.
嗯	mhm	Mhm, es sapratu.
年代	desmitgade	Šī fotogrāfija uzņemta astoņdesmitajos gados.
年纪	vecums	Viņš nav ļoti vecs, bet viņam ir daudz pieredzes.
念	lasīt skaļi	Lūdzu, izlasi tekstu skaļi vienu reizi.
宁可	labāk; drīzāk	Es labāk iešu kājām, nekā gaidīšu autobusu.
牛仔裤	džinsi	Viņš valkā džinsus.
农村	lauki	Viņa uzauga laukos.
农民	lauksaimnieks	Lauksaimnieki strādā laukā.
农业	lauksaimniecība	Lauksaimniecība šim reģionam ir ļoti svarīga.
浓	stiprs; koncentrēts	Šī kafija ir pārāk stipra.
女士	kundze	Tā kundze gaida autobusu.
欧洲	Eiropa	Nākamajā mēnesī viņš dosies ceļojumā uz Eiropu.
偶然	nejauši	Es nejauši satiku vecu klasesbiedru.
拍	fotografēt	Lūdzu, palīdzi man uzņemt fotogrāfiju.
派	nosūtīt	Uzņēmums nosūtīja viņu komandējumā uz Šanhaju.
盼望	gaidīt ar nepacietību	Es gaidu, kad drīz tevi satikšu.
培训	apmācība	Jaunajiem darbiniekiem jāpiedalās apmācībā.
培养	attīstīt; audzināt	Skola pievērš uzmanību skolēnu spēju attīstīšanai.
赔偿	kompensēt	Uzņēmums piekrita kompensēt zaudējumus.
佩服	apbrīnot	Es ļoti apbrīnoju viņa drosmi.
配合	sadarboties	Lūdzu, sadarbojieties ar skolotāja norādījumiem.
盆	puķupods; bļoda	Uz balkona ir viens puķupods.
碰	pieskarties	Uzmanies, nepieskaries karstajam ūdenim.
批	partija; kritizēt	Šī preču partija ieradās šodien.
批准	apstiprināt	Vadītājs apstiprināja šo plānu.
披	uzmest plecos	Viņai pār pleciem ir uzmests mētelis.
疲劳	nogurums	Ilgstošs darbs var radīt nogurumu.
匹	klasifikators zirgiem	Pļavā ir viens zirgs.
片	šķēle; gabals	Lūdzu, iedod man vienu maizes šķēli.
片面	vienpusīgs	Šis viedoklis ir pārāk vienpusīgs.
飘	lidot; plīvot	Sniegpārslas plīvo gaisā.
拼音	piņjiņs	Lūdzu, uzraksti piņjiņu blakus ķīniešu rakstzīmēm.
频道	kanāls	Lūdzu, pārslēdz uz ziņu kanālu.
凭	ar; pamatojoties uz	Ar biļeti var ieiet.
平均	vidēji	Vidēji katrs iztērēja desmit juaņus.
平	līdzens	Šis ceļš ir ļoti līdzens.
平安	drošs	Novēlu tev drošu ceļu.
平常	parasti	Parasti viņš reti kavē.
平等	vienlīdzība; vienlīdzīgs	Pret katru cilvēku jāizturas vienlīdzīgi.
平方	kvadrātmetrs	Šī istaba ir divdesmit kvadrātmetru liela.
平衡	līdzsvars	Darbam un dzīvei vajadzīgs līdzsvars.
平静	mierīgs	Ezera virsma ir ļoti mierīga.
评价	novērtēt; vērtējums	Skolotājs sniedza ļoti augstu vērtējumu.
破产	bankrotēt	Tas uzņēmums pagājušajā gadā bankrotēja.
破坏	bojāt; postīt	Lūdzu, nebojā sabiedrisko īpašumu.
迫切	steidzams	Mums steidzami vajag vairāk ārstu.
期待	gaidīt ar prieku	Es ļoti gaidu šo ceļojumu.
期间	laikā	Sanāksmes laikā lūdzu izslēgt telefonu.
其余	pārējais	Pārējos jautājumus apspriedīsim rīt.
奇迹	brīnums	Ārsts teica, ka tas ir brīnums.
企业	uzņēmums	Šis uzņēmums attīstās ātri.
启发	iedvesma; iedvesmot	Šī grāmata man deva daudz iedvesmas.
气氛	atmosfēra	Klasē atmosfēra ir ļoti mierīga.
汽油	benzīns	Automašīnai jāielej benzīns.
签	parakstīt	Lūdzu, paraksti savu vārdu šeit.
谦虚	pieticīgs	Viņš ir izcils un arī ļoti pieticīgs.
前途	perspektīvas	Šai specialitātei ir labas perspektīvas.
浅	sekls	Šī upe ir ļoti sekla.
欠	būt parādā	Viņš man vēl ir parādā divdesmit juaņus.
枪	ierocis; šautene	Policistam rokā ir ierocis.
墙	siena	Pie sienas karājas glezna.
强调	uzsvērt	Skolotājs uzsvēra drošības jautājumus.
强烈	spēcīgs	Viņam ir spēcīga atbildības sajūta.
抢	cīnīties par; izraut	Necīnies ar citiem par sēdvietām.
悄悄	klusi	Viņa klusi iegāja istabā.
瞧	paskaties	Paskaties, ārā snieg.
巧妙	gudrs; atjautīgs	Šī metode ir ļoti atjautīga.
切	griezt	Lūdzu, sagriez augļus mazos gabaliņos.
亲爱	mīļais	Mīļais draugs, paldies tev.
亲切	laipns	Skolotājs runā ļoti laipni.
亲自	personīgi	Vadītājs personīgi uzņēma viesus.
勤奋	cītīgs	Cītīgiem cilvēkiem ir vieglāk gūt panākumus.
清淡	viegls; maigs	Man patīk ēst vieglus ēdienus.
轻视	nenovērtēt; nicināt	Nenovērtē šo mazo problēmu par zemu.
轻易	viegli	Viņš tik viegli nepadosies.
青	zilganzaļš	Šis apģērba gabals ir zilganzaļš.
青春	jaunība	Jaunība ir vērtīga.
青少年	pusaudzis	Pusaudžiem vajag pietiekami daudz miega.
情景	aina	Filmas aina bija ļoti aizkustinoša.
情绪	emocijas	Viņa emocijas nav īpaši stabilas.
请求	lūgums	Viņš izteica lūgumu.
庆祝	svinēt	Mēs svinējām viņa dzimšanas dienu.
球迷	līdzjutējs	Daudzi līdzjutēji ieradās skatīties spēli.
趋势	tendence	Šī tendence kļūst arvien acīmredzamāka.
取消	atcelt	Lietus dēļ pasākums tika atcelts.
娶	apprecēt	Viņš plāno viņu apprecēt nākamgad.
去世	aiziet mūžībā	Viņa vectēvs pagājušajā gadā aizgāja mūžībā.
圈	apvilkt apli	Lūdzu, apvelc apli ap pareizo atbildi.
全面	vispusīgs	Mums situācija jāizprot vispusīgi.
权利	tiesības	Ikvienam ir tiesības saņemt izglītību.
权力	vara	Varai jābūt uzraudzītai.
劝	ieteikt; pierunāt	Draugs man ieteica agrāk atpūsties.
缺乏	trūkt	Šajā reģionā trūkst tīra ūdens.
确定	noteikt; pārliecināts	Es vēl nevaru noteikt laiku.
确认	apstiprināt	Lūdzu, apstiprini savu adresi.
群	grupa	Bērnu grupa spēlējas sporta laukumā.
燃烧	degt	Koks deg.
绕	apiet; apiet apkārt	Mēs apgājām apkārt ezeram.
热爱	mīlēt	Viņš mīl savu darbu.
热烈	sirsnīgs; silts	Visi sirsnīgi sveica viesus.
热心	atsaucīgs	Kaimiņi visi ir ļoti atsaucīgi.
人才	talants; spējīgs cilvēks	Uzņēmumam vajag vairāk talantīgu cilvēku.
人口	iedzīvotāju skaits	Šai pilsētai ir liels iedzīvotāju skaits.
人类	cilvēce	Cilvēcei jāsargā Zeme.
人民币	renminbi	Es samainīju nedaudz renminbi.
人生	dzīve	Dzīvē ir daudz izvēļu.
人事	personāla lietas	Viņa strādā personāla nodaļā.
人物	varonis; persona	Romāna varoņi šķiet ļoti īsti.
人员	personāls	Personāls jau ir ieradies pilnā sastāvā.
忍不住	nespēt atturēties	Izdzirdējis joku, viņš nespēja atturēties no smiekliem.
日常	ikdienas	Tas ir mans ikdienas darbs.
日程	dienas kārtība	Šodienas dienas kārtība ir ļoti pilna.
日历	kalendārs	Pie sienas karājas kalendārs.
日期	datums	Lūdzu, skaidri uzraksti datumu.
日用品	ikdienas preces	Lielveikalā pārdod daudz ikdienas preču.
日子	dienas	Šajās dienās viņš ir ļoti aizņemts.
如何	kā	Kā mums atrisināt šo problēmu?
如今	mūsdienās	Mūsdienās satiksme ir daudz ērtāka.
软	mīksts	Šī gulta ir ļoti mīksta.
软件	programmatūra	Šo programmatūru ir viegli lietot.
弱	vājš	Viņa ķermenis ir diezgan vājš.
洒	izliet	Viņš nejauši izlēja ūdeni.
嗓子	rīkle; balss	Man mazliet sāp kakls.
色彩	krāsas	Šai gleznai ir bagātīgas krāsas.
杀	nogalināt	Šajā filmā nav slepkavības ainu.
沙漠	tuksnesis	Ūdens tuksnesī ir ļoti vērtīgs.
沙滩	pludmale	Bērni spēlējas pludmalē.
傻	muļķīgs	Nedari muļķības.
晒	žāvēt saulē	Drēbes žūst saulē uz balkona.
删除	dzēst	Lūdzu, izdzēs šo e-pastu.
闪电	zibens	Naktī parādījās zibens.
善良	labsirdīgs	Viņa ir labsirdīga.
善于	prast; būt labam	Viņš labi prot risināt problēmas.
扇子	vēdeklis	Vasarā es bieži lietoju vēdekli.
伤害	kaitēt; sāpināt	Nesāpini citu cilvēku jūtas.
商品	prece	Šajā veikalā ir daudz preču.
商务	komercdarbība; darījumu	Rīt viņš piedalīsies darījumu sanāksmē.
商业	tirdzniecība	Šajā apgabalā tirdzniecība ir labi attīstīta.
上当	tikt apmānītam	Viņu gandrīz apmānīja.
蛇	čūska	Zālē ir čūska.
舍不得	negribēt šķirties	Man negribas aiziet no šejienes.
射击	šaušana	Viņš trenējas šaušanā.
摄影	fotogrāfija; fotografēšana	Viņu ļoti interesē fotografēšana.
设备	aprīkojums	Laboratorijas aprīkojums ir ļoti moderns.
设计	dizains; projektēt	Šis dizains ir ļoti radošs.
设施	iekārtas; objekti	Skolas sporta objekti ir labi.
伸	izstiept	Lūdzu, izstiep roku.
深刻	dziļš	Šī pieredze atstāja uz mani dziļu iespaidu.
身材	ķermeņa uzbūve	Viņai ir veselīga ķermeņa uzbūve.
身份	identitāte; statuss	Lūdzu, uzrādi identitātes apliecinājumu.
神话	mīts	Bērniem patīk klausīties mītu stāstus.
神秘	noslēpumains	Šī senā pilsēta ir ļoti noslēpumaina.
升	litrs; celt	Naftas cena par litru nedaudz pieauga.
声调	tonis	Ķīniešu valodā ir četri pamata toņi.
生产	ražot	Šī rūpnīca ražo mobilos telefonus.
生动	dzīvs; spilgts	Skolotājs skaidro ļoti dzīvi.
生长	augt	Šis augs aug ļoti ātri.
绳子	virve	Lūdzu, apsien kasti ar virvi.
省略	izlaist	Šeit var izlaist vienu rakstzīmi.
胜利	uzvara	Viņi beidzot guva uzvaru.
失眠	bezmiegs	Pēdējā laikā viņam bieži ir bezmiegs.
失去	zaudēt	Nezaudē pārliecību.
失业	bezdarbs; zaudēt darbu	Pēc darba zaudēšanas viņš sāka apgūt jaunas prasmes.
湿润	mitrs	Pēc lietus gaiss ir mitrs.
狮子	lauva	Zooloģiskajā dārzā ir divas lauvas.
诗	dzejolis; dzeja	Viņš uzrakstīja dzejoli.
实话	patiesība	Lūdzu, saki patiesību.
实践	prakse	Teorija jāpārbauda praksē.
实习	prakse; stažēties	Vasaras brīvlaikā viņa stažēsies slimnīcā.
实现	īstenot	Viņš beidzot īstenoja savu sapni.
实验	eksperiments	Studenti veic eksperimentu.
实用	praktisks	Šis rīks ir ļoti praktisks.
时差	laika starpība	Viņš vēl nav pieradis pie laika starpības.
时代	laikmets	Mēs dzīvojam informācijas laikmetā.
时刻	brīdis	Lūdzu, atceries šo svarīgo brīdi.
时髦	moderns	Šis apģērba gabals ir ļoti moderns.
时期	periods	Universitātes laiks viņu ļoti ietekmēja.
时尚	mode	Viņu ļoti interesē mode.
石头	akmens	Ceļa malā ir akmens.
食物	ēdiens	Lūdzu, ieliec ēdienu ledusskapī.
使劲儿	pielikt spēku	Lai atvērtu šo pudeli, jāpieliek spēks.
始终	vienmēr	Viņš vienmēr ticēja, ka var gūt panākumus.
事实	fakts	Fakti pierāda, ka viņam bija taisnība.
事物	lieta	Bērni ir ļoti ziņkārīgi par jaunām lietām.
事先	iepriekš	Lūdzu, iepriekš pasaki man laiku.
似的	it kā	Viņš bija tik noguris, it kā negribētu pateikt ne vārda.
士兵	karavīrs	Karavīri trenējas.
市场	tirgus	Šis tirgus ir ļoti rosīgs.
试卷	eksāmena darbs	Skolotājs labo eksāmena darbus.
收获	ieguvums	Šajā ceļojumā es daudz ieguvu.
收据	kvīts	Pēc samaksas lūdzu saglabā kvīti.
手工	roku darbs	Šī dāvana ir darināta ar rokām.
手术	operācija	Ārsts rīt viņu operēs.
手套	cimdi	Ziemā, ejot ārā, jāvalkā cimdi.
手续	formalitātes; procedūras	Formalitāšu nokārtošanai vajadzīga personas apliecība.
手指	pirksts	Viņa pirksts ir savainots.
首	klasifikators dziesmām	Viņa nodziedāja dziesmu.
受伤	gūt ievainojumu	Viņš sacensību laikā guva ievainojumu.
寿命	kalpošanas ilgums	Šādai mašīnai ir ilgs kalpošanas laiks.
书架	grāmatu plaukts	Grāmatu plaukts ir pilns ar grāmatām.
梳子	ķemme	Viņa ķemmē matus ar ķemmi.
舒适	ērts	Šī istaba ir ļoti ērta.
蔬菜	dārzeņi	Ēst vairāk dārzeņu ir labi veselībai.
输入	ievadīt	Lūdzu, ievadi paroli datorā.
熟练	prasmīgs	Viņš prasmīgi lieto datoru.
属于	piederēt	Šī grāmata pieder bibliotēkai.
数	skaitīt	Lūdzu, saskaiti, cik cilvēku ir.
鼠标	datorpele	Mana datorpele ir salūzusi.
数据	dati	Šie dati ir ļoti svarīgi.
数码	digitāls	Viņš nopirka digitālo kameru.
摔倒	nokrist	Viņa nokrita uz ceļa.
甩	nokratīt	Viņš nokratīja ūdeni no rokām.
双方	abas puses	Abas puses piekrita šim plānam.
税	nodoklis	Pērkot lietas, jāmaksā nodoklis.
说不定	varbūt	Varbūt rīt snigs.
说服	pārliecināt	Viņš beidzot pārliecināja vecākus.
丝绸	zīds	Šī šalle ir no zīda.
丝毫	ne mazliet	Viņš nemaz nemainīja domas.
思考	pārdomāt	Lūdzu, rūpīgi pārdomā šo jautājumu.
思想	domāšana; idejas	Viņa domāšana ir ļoti atvērta.
撕	saplēst	Lūdzu, nesaplēs šo papīru.
私人	privāts	Šī ir mana privātā telpa.
似乎	šķiet	Šķiet, ka viņš nav īpaši priecīgs.
搜索	meklēt	Es meklēju materiālus internetā.
宿舍	kopmītne	Studenti dzīvo skolas kopmītnēs.
随身	nēsāt līdzi	Lūdzu, turi pasi pie sevis.
