source_headword	ML	example_ML
complication	സങ്കീർണ്ണത	ശസ്ത്രക്രിയയ്ക്ക് ഒരു പ്രശ്നമുണ്ടായിരുന്നു.
comply	പാലിക്കുക	കമ്പനികൾ നിയന്ത്രണങ്ങൾ പാലിക്കണം.
composition	രചന	രചനയിൽ വയലിനും പിയാനോയും ഉൾപ്പെടുന്നു.
compromise	വിട്ടുവീഴ്ച	വിട്ടുവീഴ്ച ഇരുപക്ഷത്തെയും തൃപ്തിപ്പെടുത്തി.
compute	കണക്കാക്കുക	പ്രോഗ്രാമിന് മൊത്തം തുക കണക്കാക്കാൻ കഴിയും.
conceal	മറച്ചുവെക്കുക	അവൻ കേടുപാടുകൾ മറച്ചുവെക്കാൻ ശ്രമിച്ചു.
concede	സമ്മതിക്കുക	പരാജയം സമ്മതിക്കാൻ മന്ത്രി വിസമ്മതിച്ചു.
conceive	വിഭാവനം ചെയ്യുക	ഇതിലും മികച്ച ഒരു പദ്ധതി അവർക്ക് വിഭാവനം ചെയ്യാൻ കഴിഞ്ഞില്ല.
conception	സങ്കല്പം	സിനിമ ചരിത്രത്തെക്കുറിച്ചുള്ള എന്റെ സങ്കല്പം മാറ്റി.
concession	ഇളവ്	കമ്പനി ഒരു ഇളവ് നൽകി.
condemn	അപലപിക്കുക	നേതാക്കൾ ആക്രമണത്തെ പരസ്യമായി അപലപിക്കുന്നു.
confer	നൽകുക	പുരസ്കാരം അഭിമാനം നൽകും.
confession	കുറ്റസമ്മതം	അവന്റെ കുറ്റസമ്മതം കോടതിയെ അത്ഭുതപ്പെടുത്തി.
configuration	ക്രമീകരണം	ഈ ക്രമീകരണം നെറ്റ്‌വർക്ക് ആക്‌സസിനെ നിയന്ത്രിക്കുന്നു.
confine	പരിമിതപ്പെടുത്തുക	നിയമങ്ങൾ നായ്ക്കളെ ഈ പ്രദേശത്തേക്ക് പരിമിതപ്പെടുത്തുന്നു.
confirmation	സ്ഥിരീകരണം	ഇമെയിൽ വഴി ഞങ്ങൾക്ക് സ്ഥിരീകരണം ലഭിച്ചു.
confront	നേരിടുക	അവൾ പ്രശ്നത്തെ നേരിടാൻ തീരുമാനിച്ചു.
confrontation	ഏറ്റുമുട്ടൽ	ഏറ്റുമുട്ടൽ അക്രമമില്ലാതെ അവസാനിച്ചു.
congratulate	അഭിനന്ദിക്കുക	എന്റെ സഹോദരിയെ അഭിനന്ദിക്കാൻ ഞാൻ വിളിച്ചു.
congregation	സഭ	സഭ ഒന്നിച്ചു പാടി.
congressional	കോൺഗ്രസിന്റെ	കോൺഗ്രസ് ഹിയറിംഗ് മണിക്കൂറുകളോളം നീണ്ടുനിന്നു.
conquer	കീഴടക്കുക	മാർക്കറ്റ് കീഴടക്കാൻ ടീം പ്രതീക്ഷിക്കുന്നു.
conscience	മനസ്സാക്ഷി	അവന്റെ മനസ്സാക്ഷി കള്ളം പറയാൻ അനുവദിച്ചില്ല.
consciousness	ബോധം	അപകടം അവന്റെ ബോധത്തെ ബാധിച്ചു.
consecutive	തുടർച്ചയായ	അവൾ തുടർച്ചയായി മൂന്ന് മത്സരങ്ങൾ വിജയിച്ചു.
consensus	ഏകാഭിപ്രായം	സമിതി പെട്ടെന്ന് ഏകാഭിപ്രായത്തിൽ എത്തി.
consent	സമ്മതം	രേഖാമൂലമുള്ള സമ്മതം ആവശ്യമാണ്.
conserve	സംരക്ഷിക്കുക	വരൾച്ചാ സമയത്ത് ഞങ്ങൾ വെള്ളം സംരക്ഷിക്കുന്നു.
consistency	സ്ഥിരത	ഭാഷാ പഠനത്തിൽ സ്ഥിരത പ്രധാനമാണ്.
consolidate	ഏകീകരിക്കുക	കമ്പനി രണ്ട് ഓഫീസുകൾ ഏകീകരിക്കും.
constituency	മണ്ഡലം	സ്ഥാനാർത്ഥി എല്ലാ മണ്ഡലങ്ങളിലും സന്ദർശനം നടത്തി.
constitute	രൂപീകരിക്കുക	സമിതിയുടെ പകുതിയും സ്ത്രീകളാണ് രൂപീകരിക്കുന്നത്.
constitution	ഭരണഘടന	ഭരണഘടന സ്വതന്ത്രമായ സംസാരസ്വാതന്ത്ര്യം ഉറപ്പുനൽകുന്നു.
constitutional	ഭരണഘടനാപരമായ	കോടതി ഭരണഘടനാപരമായ അവകാശങ്ങൾ പരിശോധിച്ചു.
constraint	നിയന്ത്രണം	ബജറ്റ് നിയന്ത്രണം പദ്ധതിയെ പരിമിതപ്പെടുത്തി.
consultation	കൂടിയാലോചന	കൂടിയാലോചന രണ്ടാഴ്ച നീണ്ടുനിന്നു.
contemplate	ചിന്തിക്കുക	വാഗ്ദാനത്തെക്കുറിച്ച് ചിന്തിക്കാൻ അവൾ ഒന്ന് നിന്നു.
contempt	പുച്ഛം	നിയമങ്ങളോട് അവൻ പുച്ഛം കാണിച്ചു.
contend	മത്സരിക്കുക	കരാറിനായി നിരവധി കമ്പനികൾ മത്സരിക്കുന്നു.
contender	മത്സരാർത്ഥി	അവൾ ശക്തയായ ഒരു മത്സരാർത്ഥിയാണ്.
content2	സംതൃപ്തമായ	ഫലത്തിൽ അവൻ സംതൃപ്തനായി.
contention	തർക്കം	പ്രധാന തർക്കം ഫണ്ടിംഗിനെക്കുറിച്ചാണ്.
continually	നിരന്തരം	സിസ്റ്റം നിരന്തരം പിശകുകൾ പരിശോധിക്കുന്നു.
contractor	കരാറുകാരൻ	കരാറുകാരൻ മേൽക്കൂര നന്നാക്കി.
contradiction	വൈരുദ്ധ്യം	അവന്റെ പ്രസ്താവനയിൽ ഒരു വൈരുദ്ധ്യം ഉണ്ടായിരുന്നു.
contrary	വിപരീതമായ	വിപരീതമായ തെളിവ് കേസിനെ മാറ്റിമറിച്ചു.
contributor	സംഭാവന ചെയ്യുന്നയാൾ	അവൾ സ്ഥിരമായി സംഭാവന ചെയ്യുന്ന ഒരാളാണ്.
conversion	പരിവർത്തനം	ഈ മാറ്റം ഡോളറിനെ യൂറോ ആക്കി മാറ്റി.
convict	കുറ്റക്കാരനെന്ന് വിധിക്കുക	ജൂറി സംശയിക്കുന്നയാളെ കുറ്റക്കാരനെന്ന് വിധിച്ചേക്കാം.
conviction	ശിക്ഷാവിധി	അവന്റെ ശിക്ഷാവിധി പൊതുജനങ്ങളെ ഞെട്ടിച്ചു.
cooperate	സഹകരിക്കുക	ദയവായി അന്വേഷണവുമായി സഹകരിക്കുക.
cooperative	സഹകരണമുള്ള	ജീവനക്കാർ സഹകരണമുള്ളവരും ശാന്തരുമായിരുന്നു.
coordinate	ഏകോപിപ്പിക്കുക	അവർ എല്ലാ ദിവസവും രാവിലെ ഡെലിവറികൾ ഏകോപിപ്പിക്കുന്നു.
coordination	ഏകോപനം	നല്ല ഏകോപനം സമയം ലാഭിച്ചു.
coordinator	കോർഡിനേറ്റർ	കോർഡിനേറ്റർ ഓരോ ജോലിയും നൽകി.
cop	പോലീസ്	ഒരു പോലീസ് സ്റ്റേഷനു പുറത്ത് നിന്നു.
copper	ചെമ്പ്	പൈപ്പ് ചെമ്പ് കൊണ്ടാണ് നിർമ്മിച്ചിരിക്കുന്നത്.
copyright	പകർപ്പവകാശം	ചിത്രം പകർപ്പവകാശത്താൽ പരിരക്ഷിക്കപ്പെട്ടിരിക്കുന്നു.
correction	തിരുത്തൽ	അധ്യാപകൻ ഒരു തിരുത്തൽ നടത്തി.
correlate	ബന്ധപ്പെടുത്തുക	കടുത്ത സമ്മർദ്ദം രോഗവുമായി ബന്ധപ്പെട്ടിരിക്കാം.
correlation	പരസ്പരബന്ധം	പഠനം ശക്തമായ ഒരു പരസ്പരബന്ധം കണ്ടെത്തി.
correspond	യോജിക്കുക	ഈ നമ്പറുകൾ ലേബലുകളുമായി യോജിക്കുന്നു.
correspondence	കത്തിടപാടുകൾ	അവരുടെ കത്തിടപാടുകൾ വർഷങ്ങളോളം നീണ്ടുനിന്നു.
correspondent	ലേഖകൻ	ലേഖകൻ കെയ്‌റോയിൽ നിന്ന് റിപ്പോർട്ട് ചെയ്തു.
corresponding	അനുയോജ്യമായ	ഓരോ ബട്ടണും അനുയോജ്യമായ ഒരു പ്രകാശമുണ്ട്.
corrupt	അഴിമതിയായ	അഴിമതിക്കാരനായ ഉദ്യോഗസ്ഥൻ പണം വാങ്ങി.
corruption	അഴിമതി	അഴിമതി പൊതുജനവിശ്വാസത്തെ ദുർബലപ്പെടുത്തി.
costly	ചെലവേറിയ	പിഴവ് ടീമിന് ചെലവേറിയതായിരുന്നു.
councillor	കൗൺസിലർ	കൗൺസിലർ നിവാസികളുടെ ചോദ്യങ്ങൾക്ക് മറുപടി നൽകി.
counselling	കൗൺസിലിംഗ്	അപകടത്തിന് ശേഷം അവൾക്ക് കൗൺസിലിംഗ് ലഭിച്ചു.
counsellor	കൗൺസിലർ	പുതിയ വിദ്യാർത്ഥികളെ കൗൺസിലർ സഹായിച്ചു.
counter (argue against)	എതിർക്കുക	അവന്റെ വാദത്തെ എതിർക്കാൻ അവൾ ശ്രമിച്ചു.
counterpart	സമതുല്യനായ വ്യക്തി	അവൻ തന്റെ ജാപ്പനീസ് സമതുല്യനെ കണ്ടു.
countless	എണ്ണമറ്റ	എണ്ണമറ്റ സന്നദ്ധപ്രവർത്തകർ തിരച്ചിലിൽ പങ്കുചേർന്നു.
coup	അട്ടിമറി	അട്ടിമറി പ്രസിഡന്റിനെ പുറത്താക്കി.
courtesy	മര്യാദ	അവരുടെ മര്യാദയ്ക്ക് അവൾ അവർക്ക് നന്ദി പറഞ്ഞു.
