simplified	UZ	example_UZ
怀念	sog'inmoq	Men universitet hayotini juda sog'indim.
怀孕	homilador	U uch oylik homilador.
缓解	yengillashtirmoq	Dam olish stressni yengillashtiradi.
幻想	xayol qilish	U tez-tez kosmosga sayohat qilishni xayol qiladi.
慌张	sarosimaga tushgan	Muammoga duch kelganda sarosimaga tushmang.
黄金	oltin	Oltin narxi yana oshdi.
恢复	tiklanmoq	Uning sog'lig'i tiklanmoqda.
挥	qo'l silkitmoq	U qo'lini silkitdi.
灰	kulrang	Osmon kulrang.
灰尘	chang	Stol ustida chang ko'p.
灰心	ruhdan tushmoq	Muvaffaqiyatsizlikka uchrasangiz ham ruhdan tushmang.
汇率	valyuta kursi	Bugungi valyuta kursi qancha?
婚礼	to'y	Ularning to'yi juda sodda bo'ldi.
婚姻	nikoh; turmush	Nikoh o'zaro tushunishni talab qiladi.
活跃	faol	U darsda juda faol.
伙伴	sherik; hamroh	U mening eng yaxshi sherigim.
火柴	gugurt	Qutida faqat bitta gugurt qoldi.
或许	balki	Balki ertaga yomg'ir yog'ar.
基本	asosiy	Bular asosiy talablar.
机器	mashina; qurilma	Bu qurilma buzilgan.
激烈	shiddatli	Musobaqa juda shiddatli bo'ldi.
肌肉	mushak	Mashqdan keyin mushaklarim biroz og'riyapti.
及格	imtihondan o'tmoq	U bu imtihondan o'tdi.
急忙	shoshilib	U shoshilib sinfdan yugurib chiqdi.
急诊	shoshilinch yordam	Bemor shoshilinch yordam bo'limiga yuborildi.
极其	nihoyatda	Bu masala nihoyatda muhim.
集合	to'planmoq	Iltimos, soat sakkizda kirish joyida to'planing.
集体	jamoaviy	Bu jamoaviy faoliyat.
集中	diqqatni jamlamoq	Darsda diqqatni jamlash kerak.
寂寞	yolg'iz; zerikkan	Yolg'iz yashash ba'zan odamni zeriktiradi.
系领带	galstuk taqmoq	U har kuni ishga borishdan oldin galstuk taqadi.
纪录	rekord	U maktab rekordini yangiladi.
纪律	intizom	Sinf intizomi juda muhim.
纪念	xotirlash; esdalik uchun saqlash	Bu kunni eslab qolish uchun suratga tushdik.
计算	hisoblamoq	Iltimos, umumiy xarajatni hisoblang.
记录	yozib olmoq	Iltimos, yig'ilish mazmunini yozib oling.
记忆	xotira	Bu xotira juda qimmatli.
嘉宾	faxriy mehmon	Bugungi mehmon yozuvchi.
夹子	qisqich	Iltimos, hujjatlarni qisqich bilan ushlab qo'ying.
家庭	oila	Oila bolalar uchun juda muhim.
家务	uy ishlari	Hafta oxirida uy ishlarini qilishim kerak.
家乡	ona yurt; tug'ilgan joy	Men tug'ilgan joyimni juda sog'indim.
假如	agar	Agar ertaga yomg'ir yog'sa, bormaymiz.
假设	faraz qilmoq	Agar siz o'qituvchi bo'lsangiz, nima qilardingiz?
假装	o'zini ... qilib ko'rsatmoq	U eshitmagandek qilib ko'rsatdi.
甲	birinchi tomon	Shartnomada birinchi tomon vaqtida to'lashi kerak.
价值	qadriyat; qiymat	Bu kitob juda qimmatli.
嫁	turmushga chiqmoq	U kelasi yili sevgilisiga turmushga chiqadi.
驾驶	haydamoq	Mashina haydayotganda ehtiyot bo'ling.
兼职	yarim stavkali ish	U kechqurun yarim stavkada ishlaydi.
坚决	qat'iy	U bu qarorga qat'iy qarshi.
坚强	kuchli; matonatli	U kuchli inson.
肩膀	yelka	Uning yelkasi jarohatlangan.
艰巨	juda qiyin	Bu juda qiyin vazifa.
艰苦	og'ir; mashaqqatli	Ular og'ir hayotni boshdan kechirishdi.
剪刀	qaychi	Iltimos, menga qaychini uzating.
捡	terib olmoq	U hamyonni yerdan terib oldi.
简历	rezyume	Ishga ariza berishdan oldin rezyume tayyorlang.
简直	shunchaki; deyarli	Bu xabar shunchaki hayratlanarli.
健身	jismoniy mashq qilmoq	U haftasiga uch marta mashq qiladi.
建立	o'rnatmoq; barpo etmoq	Biz yangi munosabat o'rnatdik.
建设	qurilish; qurmoq	Shahar qurilishi tez rivojlanmoqda.
建筑	bino	Bu binoning o'ziga xos xususiyatlari bor.
键盘	klaviatura	Mening klaviaturamni tozalash kerak.
讲究	e'tibor bermoq	Xitoyliklar ovqatga juda katta e'tibor beradi.
讲座	ma'ruza	Bugun kechqurun xitoy tili bo'yicha ma'ruza bor.
酱油	soya sousi	Ovqatga biroz soya sousi qo'shing.
交换	almashmoq	Biz telefon raqamlarini almashdik.
交际	muloqot	Til o'rganayotganda muloqotni ham mashq qilish kerak.
交往	munosabatda bo'lmoq	Ular ikki yildan beri uchrashib yurishadi.
浇	sug'ormoq	Iltimos, gullarni har kuni sug'oring.
胶水	yelim	Men suratni yopishtirish uchun yelim ishlatdim.
狡猾	ayyor	Anavi tulki juda ayyor.
角度	burchak; nuqtai nazar	Keling, muammoga boshqa nuqtai nazardan qaraylik.
教材	darslik	Bu darslik juda amaliy.
教练	murabbiy	Murabbiy bizdan vaqtida kelishni talab qiladi.
教训	saboq	Bu muvaffaqiyatsizlik bir saboqdir.
接触	aloqa; birinchi tanishuv	Bu mening Xitoy madaniyati bilan birinchi tanishuvim.
接待	kutib olmoq	Kompaniya mehmonlarni kutib olish uchun odam tayinladi.
接近	yaqinlashmoq	Bahor bayrami yaqinlashmoqda.
结实	mustahkam	Bu chamadon juda mustahkam.
阶段	bosqich	O'qish uch bosqichga bo'lingan.
结构	tuzilma	Bu maqolaning tuzilmasi aniq.
结合	birlashtirmoq	O'qish amaliyot bilan birlashtirilishi kerak.
结论	xulosa	Uning xulosasi juda ishonarli.
结账	hisob-kitob qilmoq	Ovqatdan keyin hisob-kitob qilishga bordik.
节省	tejamoq	Metroga chiqish vaqtni tejaydi.
借口	bahona	Bahona qilishni bas qiling.
届	marta; navbat	Bu uchinchi musobaqa.
戒	tashlamoq; ogohlantirmoq	Shifokor unga chekishni tashlashni maslahat berdi.
戒指	uzuk	U uzuk taqqan.
金属	metall	Temir metallning bir turi.
尽快	imkon qadar tezroq	Iltimos, xatga imkon qadar tezroq javob bering.
紧急	shoshilinch	Bu shoshilinch holat.
谨慎	ehtiyotkor	Investitsiya qilishdan oldin ehtiyotkor bo'ling.
尽力	qo'lidan kelganini qilmoq	Men sizga yordam berish uchun qo'limdan kelganini qilaman.
尽量	iloji boricha	Iltimos, iloji boricha ertaroq yetib keling.
近代	yaqin zamon; yangi davr	Yangi davr Xitoyida ko'p o'zgarishlar bo'ldi.
进步	taraqqiyot; yaxshilanmoq	Uning xitoy tili tez yaxshilanmoqda.
进口	import qilingan	Bu mashina import qilingan.
精力	kuch-quvvat	Bolalarda kuch-quvvat juda ko'p.
精神	ruhiy holat; ruh	Uning bugungi kayfiyati yaxshi.
经典	klassik	Bu klassik film.
经商	savdo bilan shug'ullanmoq	Uning otasi chet elda biznes qiladi.
经营	boshqarmoq; yuritmoq	U kichik do'kon yuritadi.
酒吧	mayxona	Kechqurun ular mayxonaga borishdi.
救	qutqarmoq	Shifokor uning hayotini qutqardi.
救护车	tez yordam mashinasi	Tez yordam mashinasi tez yetib keldi.
舅舅	ona tomondan tog'a	Mening tog'am Nankinda yashaydi.
居然	kutilmaganda	U hatto o'z tug'ilgan kunini unutibdi.
桔子	mandarin	Stol ustida bir nechta mandarin bor.
俱乐部	klub	U suzish klubiga qo'shildi.
具备	ega bo'lmoq	U boshqaruv tajribasiga ega.
具体	aniqroq	Iltimos, biroz aniqroq bo'ling.
巨大	ulkan	Bu loyiha ulkan investitsiya talab qiladi.
据说	aytishlaricha	Aytishlaricha, u allaqachon vataniga qaytgan.
捐	xayriya qilmoq	Hamma pul xayriya qilishga tayyor.
决赛	final	Ertaga futbol finali.
决心	qat'iyat	U xitoy tilini yaxshi o'rganishga qat'iy qaror qildi.
绝对	mutlaqo	Bu ishni mutlaqo unutmaslik kerak.
角色	rol	U filmda muhim rol o'ynaydi.
军事	harbiy	U harbiy tarixga juda qiziqadi.
均匀	bir tekis	Iltimos, rangni bir tekis surting.
卡车	yuk mashinasi	Kirish joyida yuk mashinasi turibdi.
开发	ishlab chiqmoq; rivojlantirmoq	Kompaniya yangi mahsulot ishlab chiqmoqda.
开放	ochilmoq	Park har kuni ertalab oltida ochiladi.
开幕式	ochilish marosimi	Ochilish marosimi ertaga kechqurun o'tkaziladi.
开水	qaynatilgan suv	Iltimos, menga bir piyola qaynatilgan suv bering.
砍	kesmoq	Ishchi shoxlarni kesmoqda.
看不起	past nazar bilan qaramoq	Hech kimga past nazar bilan qaramang.
看望	ko'rgani bormoq	Bu hafta oxirida bobo-buvimni ko'rgani boraman.
靠	suyanmoq	U dam olish uchun devorga suyandi.
颗	mayda dumaloq narsalar uchun hisob so'zi	Tungi osmonda bir yulduz bor.
可见	ko'rinib turibdiki	Ko'rinib turibdiki, bu usul samarali.
可靠	ishonchli	U ishonchli do'st.
可怕	qo'rqinchli	Bu tush juda qo'rqinchli edi.
克	gramm	Iltimos, ikki gramm tuz qo'shing.
克服	yengmoq	Biz qiyinchiliklarni yengishimiz kerak.
刻苦	tirishqoq	U juda tirishib o'qiydi.
客观	xolis	Iltimos, muammoni xolis tahlil qiling.
课程	kurs	Bu kurs juda foydali.
空间	joy; makon	Bu xonada joy ko'p.
控制	nazorat qilmoq	Haydovchi mashina tezligini nazorat qildi.
空闲	bo'sh vaqt	Ertaga tushdan keyin bo'sh vaqtingiz bormi?
口味	ta'b; did	Uning ta'bi nisbatan yengil.
夸	maqtamoq	O'qituvchi uni katta yutug'i uchun maqtadi.
夸张	bo'rttirilgan	Uning ifodasi biroz bo'rttirilgan.
会计	buxgalter	U kompaniyada buxgalter bo'lib ishlaydi.
宽	keng	Bu yo'l juda keng.
昆虫	hasharot	Bolalar hasharotlarni kuzatmoqda.
扩大	kengaytirmoq	Maktab kutubxonani kengaytirishni rejalashtirmoqda.
辣椒	achchiq qalampir	Ovqatga ko'p achchiq qalampir qo'shilgan.
拦	to'xtatmoq	Politsiya bir mashinani to'xtatdi.
烂	chirigan; ezilgan	Bu olma allaqachon chirigan.
朗读	ovoz chiqarib o'qimoq	Iltimos, matnni ovoz chiqarib o'qing.
劳动	mehnat	Mehnat odamga qoniqish hissini beradi.
劳驾	kechirasiz	Kechirasiz, metro bekati qayerda?
姥姥	ona tomondan buvi	Ona tomondan buvim juda yaxshi ovqat pishiradi.
老百姓	oddiy xalq	Oddiy xalq yashash xarajatlariga e'tibor beradi.
老板	xo'jayin	Bugun xo'jayin ofisda emas.
老婆	xotin	U xotiniga gul sotib oldi.
老实	halol; rostgo'y	U halol odam.
老鼠	sichqon	Oshxonada sichqon bor.
乐观	optimistik	U kelajakka optimistik qaraydi.
雷	momaqaldiroq	Kecha tunda momaqaldiroq juda baland bo'ldi.
类型	tur; janr	Bu film qaysi turga kiradi?
冷淡	sovuq; befarq	Uning munosabati biroz sovuq.
厘米	santimetr	Bu ruchka o'n besh santimetr uzunlikda.
梨	nok	Men bir nechta nok sotib oldim.
离婚	ajrashmoq	Ular o'tgan yili ajrashishdi.
理论	nazariya	Bu nazariya juda murakkab.
理由	sabab	Kechikishingiz uchun qanday sabab bor?
利润	foyda	Kompaniyaning foydasi bu yil oshdi.
利息	foiz; bank foizi	Bank foizi yuqori emas.
利益	manfaat	Biz hammaning manfaatlarini himoya qilishimiz kerak.
利用	foydalanmoq	U dam olish kunlaridan xitoy tilini o'rganish uchun foydalanadi.
力量	kuch	Birlik — kuch.
立即	darhol	Iltimos, bu yerdan darhol chiqing.
立刻	darhol	Xabarni eshitgach, u darhol yo'lga chiqdi.
联合	birgalikda; qo'shilmoq	Ikki kompaniya mahsulotni birgalikda ishlab chiqdi.
连忙	tezda	Telefon jiringlaganini eshitib, u tezda oldi.
连续	ketma-ket	U ketma-ket o'n soat ishladi.
恋爱	sevgi munosabati	Ular sevgi munosabatida.
粮食	don mahsuloti	Bu yil don mahsuloti ishlab chiqarish ko'paydi.
良好	yaxshi; qulay	Uning yaxshi o'qish odatlari bor.
亮	yorug'	Xonadagi chiroq juda yorug'.
了不起	ajoyib; ulkan	U ajoyib natijalarga erishdi.
列车	poyezd	Poyezd hozir jo'naydi.
临时	vaqtinchalik	Bu vaqtinchalik qaror.
灵活	moslashuvchan	O'qish usuli moslashuvchan bo'lishi kerak.
铃	qo'ng'iroq	Dars qo'ng'irog'i chalindi.
零件	ehtiyot qism	Mashinada bitta ehtiyot qism yetishmayapti.
零食	yengil tamaddi	Bolalar yengil tamaddi qilishni yaxshi ko'radi.
领导	rahbar	Rahbar yig'ilishda.
领域	soha	U ta'lim sohasida ishlaydi.
流传	tarqalmoq	Bu hikoya anchadan beri tarqalib kelmoqda.
流泪	ko'z yosh to'kmoq	Bu xabarni eshitib, u ko'z yosh to'kdi.
浏览	ko'zdan kechirmoq	Avval veb-sahifani ko'zdan kechiraman.
龙	ajdar	Xitoy madaniyatida ajdar bor.
漏	sizib chiqmoq	Tomdan yomg'ir suvi sizib chiqyapti.
录取	qabul qilmoq	U universitetga qabul qilindi.
录音	ovoz yozmoq	Iltimos, ovoz yozishni boshlang.
陆地	quruqlik	Dengiz toshbaqasi quruqlikka chiqdi.
陆续	birma-bir	Mehmonlar birma-bir yetib kelishdi.
轮流	navbat bilan	Biz sinfxonani navbat bilan tozalaymiz.
论文	ilmiy ish	U bitiruv ishini yozmoqda.
逻辑	mantiq	Uning mantiqi juda aniq.
落后	ortda qolmoq	Biz boshqalardan ortda qolmasligimiz kerak.
骂	urishmoq	Iltimos, bolani urishmang.
麦克风	mikrofon	Iltimos, mikrofonni unga uzating.
馒头	bug'da pishgan nonushta bulochkasi	Nonushtada bitta bug'da pishgan bulochka yedim.
满足	qondirmoq	Bu javob talablarni qondirmaydi.
毛病	muammo	Bu kompyuterda biroz muammo bor.
矛盾	ziddiyat	Ular orasida ba'zi ziddiyatlar bor.
冒险	tavakkal qilmoq	U yerga yolg'iz borish juda tavakkal.
贸易	savdo	Xalqaro savdo tez rivojlanmoqda.
媒体	ommaviy axborot vositasi	Ommaviy axborot vositalari bu voqeani yoritdi.
煤炭	ko'mir	Bu hududda ko'mir ishlab chiqariladi.
眉毛	qosh	Uning qoshlari qalin.
美术	tasviriy san'at	Singlim tasviriy san'atni yaxshi ko'radi.
魅力	joziba	Bu shahar juda jozibali.
梦想	orzu	Uning orzusi shifokor bo'lish.
密切	yaqin	Biz yaqin aloqada bo'lib turamiz.
秘密	sir	Bu bizning sirimiz.
秘书	kotib	Kotib yig'ilish vaqtini belgiladi.
蜜蜂	ari	Gullar orasida ko'p ari bor.
面对	duch kelmoq	Biz qiyinchiliklarga jasorat bilan duch kelishimiz kerak.
面积	maydon	Bu xonaning maydoni katta emas.
面临	duch kelmoq	Kompaniya yangi muammolarga duch kelmoqda.
描写	tasvirlamoq	Muallif qishloq hayotini tasvirlagan.
苗条	xushbichim	Uning qomati xushbichim.
敏感	nozik	Bu mavzu nisbatan nozik.
名牌	mashhur brend	U mashhur brend soat sotib oldi.
名片	tashrif qog'ozi	Iltimos, menga bitta tashrif qog'ozi bering.
名胜古迹	tarixiy va diqqatga sazovor joylar	Pekinda tarixiy va diqqatga sazovor joylar ko'p.
明确	aniq	O'qituvchi talablarni aniq tushuntirdi.
明显	yaqqol	Uning o'sishi yaqqol ko'rinib turibdi.
明星	yulduz	U kino yulduzi bo'lishni xohlaydi.
命令	buyruq	Askarlar buyruqqa bo'ysunishi kerak.
命运	taqdir	U taqdirni o'zgartirish mumkinligiga ishonadi.
摸	tegmoq	Iltimos, bu rasmga tegmang.
摩托车	mototsikl	U ishga mototsiklda boradi.
模仿	taqlid qilmoq	Bolalar kattalarning gapirishiga taqlid qilishni yaxshi ko'radi.
模糊	xira	Bu surat biroz xira.
模特	model	U kiyim modeli.
陌生	notanish	Bu shahar menga juda notanish.
某	ma'lum bir	Menga ma'lum bir o'qituvchi telefon qildi.
木头	yog'och	Bu stol yog'ochdan yasalgan.
目标	maqsad	Maqsadim imtihondan o'tish.
目录	mundarija	Iltimos, avval kitob boshidagi mundarijani ko'ring.
目前	hozirda	Hozirda vaziyat nisbatan barqaror.
哪怕	hatto	Hatto juda band bo'lsa ham, u o'qishni davom ettiradi.
难怪	ajab emas	Ajab emas, bugun juda xursandsan.
难免	muqarrar	Birinchi marta qilganda xato qilish muqarrar.
脑袋	bosh	Uning boshi biroz og'riyapti.
内部	ichki	Bu kompaniyaning ichki materiali.
内科	ichki kasalliklar bo'limi	U bugun ichki kasalliklar bo'limiga boradi.
嫩	yumshoq	Bu go'sht bo'lagi juda yumshoq.
能干	uddaburon	U juda uddaburon odam.
能源	energiya	Quyosh energiyasi toza energiya turidir.
嗯	hm	Hm, tushundim.
年代	davr	Bu surat saksoninchi yillarda olingan.
年纪	yosh	U uncha katta yoshda emas, lekin tajribasi ko'p.
念	ovoz chiqarib o'qimoq	Iltimos, matnni bir marta ovoz chiqarib o'qing.
宁可	afzal ko'rmoq	Avtobus kutgandan ko'ra piyoda yurishni afzal ko'raman.
牛仔裤	jinsi shim	U jinsi shim kiygan.
农村	qishloq	U qishloqda ulg'aygan.
农民	dehqon	Dehqonlar dalada ishlayapti.
农业	qishloq xo'jaligi	Qishloq xo'jaligi bu hudud uchun juda muhim.
浓	quyuq	Bu qahva juda quyuq.
女士	ayol	Anavi ayol avtobus kutyapti.
欧洲	Yevropa	U keyingi oy Yevropaga sayohat qiladi.
偶然	tasodifan	Men eski sinfdoshimni tasodifan uchratdim.
拍	suratga olmoq	Iltimos, meni suratga olib bering.
派	yubormoq	Kompaniya uni Shanxayga xizmat safariga yubordi.
盼望	intizor bo'lmoq	Sizni tezroq ko'rishga intizorman.
培训	o'quv mashg'uloti	Yangi xodimlar o'quv mashg'ulotida qatnashishi kerak.
培养	tarbiyalamoq	Maktab o'quvchilar qobiliyatini tarbiyalashga ahamiyat beradi.
赔偿	tovon to'lamoq	Kompaniya zararni qoplash uchun tovon to'lashga rozi bo'ldi.
佩服	havas qilmoq	Men uning jasoratiga juda havas qilaman.
配合	hamkorlik qilmoq	Iltimos, hamma o'qituvchining rejasiga hamkorlik qilsin.
盆	gul tuvagi	Balkonda bir tuvak gul bor.
碰	tegmoq	Ehtiyot bo'ling, issiq suvga tegmang.
批	partiya	Bu partiya tovar bugun keldi.
批准	tasdiqlamoq	Menejer bu rejani tasdiqladi.
披	yelkaga tashlamoq	U yelkasiga palto tashlab olgan.
疲劳	charchoq	Uzoq vaqt ishlash charchoq keltiradi.
匹	bosh	O'tloqda bir bosh ot bor.
片	tilim	Iltimos, menga bir tilim non bering.
片面	biryoqlama	Bu qarash juda biryoqlama.
飘	suzib yurmoq	Qor parchalari havoda suzib yuribdi.
拼音	pinyin yozuvi	Iltimos, xitoy belgisi yoniga pinyin yozuvini yozing.
频道	kanal	Iltimos, yangiliklar kanaliga o'tkazing.
凭	asosan; bilan	Chipta bilan kirish mumkin.
平均	o'rtacha	O'rtacha har bir kishi o'n yuan sarfladi.
平	tekis	Bu yo'l juda tekis.
平安	omonlik	Safaringiz bexatar bo'lsin.
平常	odatda	U odatda kamdan-kam kechikadi.
平等	teng	Har bir kishiga teng munosabatda bo'lish kerak.
平方	kvadrat metr	Bu xona yigirma kvadrat metr.
平衡	muvozanat	Ish va hayot o'rtasida muvozanat kerak.
平静	tinch	Ko'l yuzasi juda tinch.
评价	baho	O'qituvchi juda yuqori baho berdi.
破产	bankrot bo'lmoq	Anavi kompaniya o'tgan yili bankrot bo'ldi.
破坏	shikastlamoq	Iltimos, jamoat mulkiga shikast yetkazmang.
迫切	shoshilinch	Bizga shoshilinch ravishda ko'proq shifokor kerak.
期待	intizor bo'lmoq	Men bu sayohatni intiqlik bilan kutyapman.
期间	davr	Yig'ilish davomida telefoningizni o'chirib qo'ying.
其余	qolgan	Qolgan masalalar ertaga muhokama qilinadi.
奇迹	mo'jiza	Shifokor bu mo'jiza ekanini aytdi.
企业	korxona	Bu korxona tez rivojlanmoqda.
启发	ilhom	Bu kitob menga ko'p ilhom berdi.
气氛	muhit	Sinfxonadagi muhit juda erkin.
汽油	benzin	Mashinaga benzin quyish kerak.
签	imzo qo'ymoq	Iltimos, bu yerga ismingizni imzo qilib yozing.
谦虚	kamtar	U juda yaxshi, shu bilan birga juda kamtar.
前途	istiqbol	Bu mutaxassislikning istiqboli yaxshi.
浅	sayoz	Bu daryo juda sayoz.
欠	qarz bo'lmoq	U menga hali yigirma yuan qarz.
枪	qurol	Politsiyachining qo'lida qurol bor.
墙	devor	Devorda bir rasm osilib turibdi.
强调	ta'kidlamoq	O'qituvchi xavfsizlik masalasini ta'kidladi.
强烈	kuchli	Unda kuchli mas'uliyat hissi bor.
抢	talashmoq	Boshqalar bilan joy talashmang.
悄悄	sekingina	U xonaga sekingina kirdi.
瞧	qaramoq	Qara, tashqarida qor yog'yapti.
巧妙	aqlli	Bu usul juda aqlli.
切	to'g'ramoq	Iltimos, mevalarni mayda bo'laklarga to'g'rang.
亲爱	aziz	Aziz do'stim, rahmat.
亲切	mehribon	O'qituvchi juda mehribon gapiradi.
亲自	shaxsan	Menejer mehmonlarni shaxsan kutib oldi.
勤奋	tirishqoq	Tirishqoq odamlar muvaffaqiyatga osonroq erishadi.
清淡	yengil	Menga yengil taomlar yoqadi.
轻视	pisand qilmaslik	Bu kichik muammoni pisand qilmay qo'ymang.
轻易	osonlikcha	U osonlikcha taslim bo'lmaydi.
青	ko'kimtir	Bu kiyim ko'kimtir rangda.
青春	yoshlik	Yoshlik qadrli.
青少年	o'smir	O'smirlarga yetarli uyqu kerak.
情景	manzara	Filmdagi manzara juda ta'sirli.
情绪	kayfiyat	Uning kayfiyati uncha barqaror emas.
请求	iltimos	U bir iltimos bildirdi.
庆祝	nishonlamoq	Biz uning tug'ilgan kunini nishonladik.
球迷	ishqiboz	Ko'p ishqibozlar o'yinni ko'rishga keldi.
趋势	tendensiya	Bu tendensiya tobora yaqqol bo'lib bormoqda.
取消	bekor qilmoq	Yomg'ir sababli tadbir bekor qilindi.
娶	uylanmoq	U kelasi yili unga uylanmoqchi.
去世	vafot etmoq	Uning bobosi o'tgan yili vafot etdi.
圈	doira	Iltimos, to'g'ri javobni doira bilan belgilang.
全面	har tomonlama	Biz vaziyatni har tomonlama tushunishimiz kerak.
权利	huquq	Har bir kishi ta'lim olish huquqiga ega.
权力	hokimiyat	Hokimiyat nazorat ostida bo'lishi kerak.
劝	maslahat bermoq	Do'stim menga ertaroq dam olishni maslahat berdi.
缺乏	yetishmaslik	Bu hududda toza suv yetishmaydi.
确定	aniqlamoq	Men hali vaqtni aniqlay olmayman.
确认	tasdiqlamoq	Iltimos, manzilingizni tasdiqlang.
群	guruh	Bir guruh bola maydonchada o'ynayapti.
燃烧	yonmoq	Yog'och yonmoqda.
绕	aylanib o'tmoq	Biz ko'l atrofini bir marta aylanib o'tdik.
热爱	jon-dildan sevmoq	U o'z ishini jon-dildan sevadi.
热烈	iliq	Hamma mehmonlarni iliq kutib oldi.
热心	jonkuyar	Qo'shnilar juda jonkuyar.
人才	iste'dodli kadr	Kompaniyaga ko'proq iste'dodli kadr kerak.
人口	aholi	Bu shaharning aholisi ko'p.
人类	insoniyat	Insoniyat Yerni himoya qilishi kerak.
人民币	xitoy yuani	Men biroz xitoy yuaniga pul almashtirdim.
人生	hayot	Hayotda ko'p tanlov bor.
人事	kadrlar bo'limi	U kadrlar bo'limida ishlaydi.
人物	qahramon	Romandagi qahramonlar juda haqiqiy tuyuladi.
人员	xodimlar	Xodimlarning hammasi yetib keldi.
忍不住	o'zini tutolmaslik	Hazilni eshitib, u o'zini tutolmay kulib yubordi.
日常	kundalik	Bu mening kundalik ishim.
日程	kun tartibi	Bugungi kun tartibi juda to'la.
日历	taqvim	Devorda bir taqvim osilib turibdi.
日期	sana	Iltimos, sanani aniq yozing.
日用品	kundalik buyumlar	Katta do'konda ko'p kundalik buyumlar sotiladi.
日子	kunlar	Shu kunlarda u juda band.
如何	qanday	Bu muammoni qanday hal qilishimiz kerak?
如今	hozirgi kunda	Hozirgi kunda transport ancha qulaylashdi.
软	yumshoq	Bu karavot juda yumshoq.
软件	dasturiy ta'minot	Bu dasturiy ta'minotdan foydalanish oson.
弱	zaif	Uning tanasi nisbatan zaif.
洒	to'kib yubormoq	U ehtiyotsizlik qilib suvni to'kib yubordi.
嗓子	tomoq	Tomog'im biroz og'riyapti.
色彩	rang-baranglik	Bu rasmning rang-barangligi boy.
杀	o'ldirmoq	Bu filmda odam o'ldirish sahnalari yo'q.
沙漠	cho'l	Cho'ldagi suv juda qimmatli.
沙滩	qumloq sohil	Bolalar qumloq sohilda o'ynayapti.
傻	ahmoqona	Ahmoqona ish qilmang.
晒	quyoshda quritmoq	Kiyimlar balkonda quyoshda quriyapti.
删除	o'chirmoq	Iltimos, bu elektron xatni o'chiring.
闪电	chaqmoq	Tunda chaqmoq chaqdi.
善良	mehribon	U mehribon odam.
善于	ustasi bo'lmoq	U muammolarni hal qilishning ustasi.
扇子	yelpig'ich	Yozda men ko'pincha yelpig'ich ishlataman.
伤害	ranjitmoq	Boshqalarning his-tuyg'ularini ranjitmang.
商品	tovar	Bu do'konda tovar ko'p.
商务	tijorat ishlari	U ertaga tijorat yig'ilishida qatnashadi.
商业	tijorat	Bu hududda tijorat juda rivojlangan.
上当	aldanmoq	U deyarli aldanib qoldi.
蛇	ilon	Maysalar orasida bir ilon bor.
舍不得	ketgisi kelmaslik	Bu yerdan ketgim kelmayapti.
射击	otish	U otishni mashq qilmoqda.
摄影	fotosuratga olish	U fotosuratga olishga juda qiziqadi.
设备	uskuna	Laboratoriyadagi uskunalar juda ilg'or.
设计	loyiha	Bu loyiha juda ijodiy.
设施	inshoot	Maktabning sport inshootlari yaxshi.
伸	uzatmoq	Iltimos, qo'lingizni uzating.
深刻	chuqur	Bu tajriba menda chuqur taassurot qoldirdi.
身材	qomat	Uning qomati sog'lom.
身份	shaxs	Shaxsingizni tasdiqlovchi hujjatni ko'rsating.
神话	afsona	Bolalar afsonalarni eshitishni yaxshi ko'radi.
神秘	sirli	Bu qadimiy shahar juda sirli.
升	ko'tarilmoq	Yoqilg'i narxi har litrda biroz ko'tarildi.
声调	ohang	Xitoy tilida to'rtta asosiy ohang bor.
生产	ishlab chiqarmoq	Bu zavod mobil telefon ishlab chiqaradi.
生动	jonli	O'qituvchi juda jonli tushuntiradi.
生长	o'smoq	Bu turdagi o'simlik tez o'sadi.
绳子	arqon	Iltimos, qutini arqon bilan yaxshilab bog'lang.
省略	tushirib qoldirmoq	Bu yerda bitta belgini tushirib qoldirish mumkin.
胜利	g'alaba	Ular nihoyat g'alabaga erishdi.
失眠	uyqusizlik	U oxirgi paytlarda tez-tez uyqusizlikdan qiynaladi.
失去	yo'qotmoq	Ishonchni yo'qotmang.
失业	ishsiz qolmoq	U ishsiz qolgach, yangi ko'nikmalarni o'rgana boshladi.
湿润	nam	Yomg'irdan keyin havo nam.
狮子	arslon	Hayvonot bog'ida ikkita arslon bor.
诗	she'r	U bir she'r yozdi.
实话	rost gap	Iltimos, rost gapni ayting.
实践	amaliyot	Nazariya amaliyot orqali tekshirilishi kerak.
实习	amaliyot o'tamoq	U yozgi ta'tilda shifoxonada amaliyot o'taydi.
实现	amalga oshirmoq	U nihoyat orzusini amalga oshirdi.
实验	tajriba	Talabalar tajriba o'tkazmoqda.
实用	amaliy	Bu asbob juda amaliy.
时差	vaqt farqi	U hali vaqt farqiga moslashmagan.
时代	davr	Biz axborot davrida yashayapmiz.
时刻	lahza	Iltimos, bu muhim lahzani eslab qoling.
时髦	urfdagi	Bu kiyim juda urfdagi.
时期	davr	Universitet davri unga katta ta'sir ko'rsatdi.
时尚	moda	U modaga juda qiziqadi.
石头	tosh	Yo'l chetida bir tosh bor.
食物	ovqat	Iltimos, ovqatni muzlatkichga qo'ying.
使劲儿	kuch ishlatmoq	Bu shishani ochish uchun kuch ishlatish kerak.
