simplified	FR	example_FR
交际	la communication; les relations sociales	Quand on apprend une langue, il faut aussi pratiquer la communication.
交往	fréquenter; avoir des relations	Ils sont ensemble depuis deux ans.
浇	arroser	Arrose les fleurs tous les jours, s'il te plaît.
胶水	la colle	J'ai utilisé de la colle pour coller la photo.
狡猾	rusé	Ce renard est très rusé.
角度	l'angle; le point de vue	Regardons le problème sous un autre angle.
教材	le manuel; le matériel pédagogique	Ce manuel est très pratique.
教练	l'entraîneur	L'entraîneur exige que nous arrivions à l'heure.
教训	la leçon	Cet échec est une leçon.
接触	entrer en contact avec	C'est mon premier contact avec la culture chinoise.
接待	accueillir; recevoir	L'entreprise a désigné quelqu'un pour accueillir les invités.
接近	s'approcher; être proche	La fête du Printemps approche de plus en plus.
结实	solide	Cette valise est très solide.
阶段	l'étape; la phase	L'apprentissage est divisé en trois étapes.
结构	la structure	Cet article a une structure claire.
结合	combiner; associer	L'étude doit être associée à la pratique.
结论	la conclusion	Sa conclusion est très convaincante.
结账	régler l'addition	Après le repas, nous sommes allés régler l'addition.
节省	économiser	Prendre le métro permet de gagner du temps.
借口	l'excuse	Arrête de chercher des excuses.
届	édition; session	C'est la troisième édition de la compétition.
戒	arrêter; se défaire de	Le médecin lui a conseillé d'arrêter de fumer.
戒指	la bague	Elle porte une bague.
金属	le métal	Le fer est un métal.
尽快	le plus vite possible	Réponds au courriel le plus vite possible, s'il te plaît.
紧急	urgent; l'urgence	C'est une situation d'urgence.
谨慎	prudent	Il faut être prudent avant d'investir.
尽力	faire de son mieux	Je ferai de mon mieux pour t'aider.
尽量	autant que possible	Essaie d'arriver le plus tôt possible.
近代	les temps modernes	La Chine moderne a connu beaucoup de changements.
进步	le progrès; progresser	Son chinois progresse très vite.
进口	importé	Cette voiture est importée.
精力	l'énergie	Les enfants ont beaucoup d'énergie.
精神	l'esprit; l'état moral	Il est en forme aujourd'hui.
经典	classique	C'est un film classique.
经商	faire du commerce	Son père fait des affaires à l'étranger.
经营	gérer; exploiter	Elle tient une petite boutique.
酒吧	le bar	Ils sont allés au bar le soir.
救	sauver; secourir	Le médecin lui a sauvé la vie.
救护车	l'ambulance	L'ambulance est arrivée rapidement.
舅舅	l'oncle maternel	Mon oncle maternel habite à Nankin.
居然	contre toute attente; en fait	Contre toute attente, il a oublié son propre anniversaire.
桔子	la mandarine	Il y a plusieurs mandarines sur la table.
俱乐部	le club	Elle a rejoint le club de natation.
具备	posséder; avoir	Il possède une expérience de gestion.
具体	concret; précis	Sois un peu plus précis, s'il te plaît.
巨大	énorme	Ce projet exige un énorme investissement.
据说	on dit que; paraît-il	On dit qu'il est déjà rentré dans son pays.
捐	faire un don	Tout le monde est prêt à donner de l'argent.
决赛	la finale	Demain, c'est la finale de football.
决心	la détermination; se décider	Il a pris la décision d'apprendre le chinois correctement.
绝对	absolument	Il ne faut absolument pas oublier cette affaire.
角色	le rôle	Elle joue un rôle important dans le film.
军事	militaire	Il s'intéresse beaucoup à l'histoire militaire.
均匀	uniforme; régulièrement	Applique la couleur uniformément, s'il te plaît.
卡车	le camion	Un camion est garé à l'entrée.
开发	développer	L'entreprise développe un nouveau produit.
开放	ouvrir au public	Le parc ouvre tous les matins à six heures.
开幕式	la cérémonie d'ouverture	La cérémonie d'ouverture aura lieu demain soir.
开水	l'eau bouillie	Donne-moi un verre d'eau bouillie, s'il te plaît.
砍	couper; abattre	L'ouvrier coupe des branches.
看不起	mépriser; regarder de haut	Ne méprise personne.
看望	rendre visite à	Je rendrai visite à mes grands-parents ce week-end.
靠	s'appuyer contre	Il s'est appuyé contre le mur pour se reposer.
颗	classificateur pour les petits objets ronds	Il y a une étoile dans le ciel nocturne.
可见	il est clair que	Il est clair que cette méthode est très efficace.
可靠	fiable	C'est un ami fiable.
可怕	terrifiant; effrayant	Ce rêve était trop effrayant.
克	le gramme	Ajoute deux grammes de sel, s'il te plaît.
克服	surmonter	Nous devons surmonter les difficultés.
刻苦	travailleur; appliqué	Il étudie avec beaucoup d'application.
客观	objectif	Analyse le problème objectivement, s'il te plaît.
课程	le cours	Ce cours est très utile.
空间	l'espace	Cette pièce a beaucoup d'espace.
控制	contrôler	Le conducteur a maîtrisé la vitesse de la voiture.
空闲	le temps libre	As-tu du temps libre demain après-midi ?
口味	le goût; les préférences alimentaires	Ses goûts sont plutôt légers.
夸	féliciter; exagérer	Le professeur l'a félicité pour ses grands progrès.
夸张	exagéré	Son expression est un peu exagérée.
会计	le comptable; la comptabilité	Elle travaille comme comptable dans l'entreprise.
宽	large	Cette route est très large.
昆虫	l'insecte	Les enfants observent des insectes.
扩大	agrandir; élargir	L'école prévoit d'agrandir la bibliothèque.
辣椒	le piment	On a mis beaucoup de piment dans le plat.
拦	arrêter; barrer	La police a arrêté une voiture.
烂	pourri; trop cuit	Cette pomme est déjà pourrie.
朗读	lire à voix haute	Lis le texte à voix haute, s'il te plaît.
劳动	le travail; le travail manuel	Le travail donne un sentiment d'accomplissement.
劳驾	excusez-moi	Excusez-moi, où est la station de métro ?
姥姥	la grand-mère maternelle	Ma grand-mère maternelle cuisine très bien.
老百姓	les gens ordinaires	Les gens ordinaires se soucient du coût de la vie.
老板	le patron	Le patron n'est pas au bureau aujourd'hui.
老婆	la femme; l'épouse	Il a acheté des fleurs pour sa femme.
老实	honnête	C'est une personne honnête.
老鼠	la souris; le rat	Il y a une souris dans la cuisine.
乐观	optimiste	Elle est optimiste pour l'avenir.
雷	le tonnerre	Le tonnerre était très fort hier soir.
类型	le type; la catégorie	À quel type appartient ce genre de film ?
冷淡	froid; indifférent	Son attitude est un peu froide.
厘米	le centimètre	Ce stylo mesure quinze centimètres.
梨	la poire	J'ai acheté plusieurs poires.
离婚	divorcer	Ils ont divorcé l'année dernière.
理论	la théorie	Cette théorie est très complexe.
理由	la raison	Quelle raison as-tu d'être en retard ?
利润	le bénéfice	Le bénéfice de l'entreprise a augmenté cette année.
利息	les intérêts	Les intérêts bancaires ne sont pas élevés.
利益	l'intérêt; les intérêts	Nous devons protéger les intérêts de chacun.
利用	utiliser; tirer parti de	Il utilise le week-end pour étudier le chinois.
力量	la force	L'union fait la force.
立即	immédiatement	Quitte cet endroit immédiatement, s'il te plaît.
立刻	tout de suite	Après avoir entendu la nouvelle, il est parti tout de suite.
联合	s'unir; conjointement	Les deux entreprises ont développé le produit conjointement.
连忙	aussitôt; rapidement	En entendant le téléphone sonner, il a vite répondu.
连续	continu; d'affilée	Il a travaillé dix heures d'affilée.
恋爱	être amoureux; sortir ensemble	Ils sont en couple.
粮食	les céréales; les denrées alimentaires	La production de céréales a augmenté cette année.
良好	bon; favorable	Il a de bonnes habitudes d'étude.
亮	lumineux; clair	La lampe dans la pièce est très lumineuse.
了不起	remarquable; formidable	Elle a obtenu des résultats remarquables.
列车	le train	Le train va bientôt partir.
临时	temporaire	C'est une décision temporaire.
灵活	souple; flexible	Les méthodes d'apprentissage doivent être souples.
铃	la sonnerie; la cloche	La sonnerie du cours a retenti.
零件	la pièce; le composant	Il manque une pièce à la machine.
零食	les en-cas	Les enfants aiment manger des en-cas.
领导	le dirigeant; la direction	Le dirigeant est en réunion.
领域	le domaine	Elle travaille dans le domaine de l'éducation.
流传	se transmettre; circuler	Cette histoire se transmet depuis longtemps.
流泪	verser des larmes	En entendant cette nouvelle, elle a versé des larmes.
浏览	parcourir; naviguer	Je vais d'abord parcourir la page web.
龙	le dragon	Il y a des dragons dans la culture chinoise.
漏	fuir; laisser passer	Le toit fuit quand il pleut.
录取	admettre; recruter	Il a été admis à l'université.
录音	enregistrer; l'enregistrement	Commence l'enregistrement, s'il te plaît.
陆地	la terre ferme	La tortue de mer est montée sur la terre ferme.
陆续	l'un après l'autre	Les invités sont arrivés les uns après les autres.
轮流	à tour de rôle	Nous nettoyons la salle de classe à tour de rôle.
论文	le mémoire; l'article universitaire	Elle est en train d'écrire son mémoire de fin d'études.
逻辑	la logique	Sa logique est très claire.
落后	prendre du retard; être en retard	Nous ne pouvons pas prendre du retard sur les autres.
骂	gronder; insulter	Ne gronde pas l'enfant, s'il te plaît.
麦克风	le microphone	Passe-lui le microphone, s'il te plaît.
馒头	le petit pain vapeur	Au petit-déjeuner, j'ai mangé un petit pain vapeur.
满足	satisfaire; répondre à	Cette réponse ne répond pas aux exigences.
毛病	le problème; le défaut	Cet ordinateur a un petit problème.
矛盾	la contradiction; le conflit	Il y a quelques conflits entre eux.
冒险	prendre des risques	Y aller seul est trop risqué.
贸易	le commerce	Le commerce international se développe rapidement.
媒体	les médias	Les médias ont rapporté cette affaire.
煤炭	le charbon	Cette région produit du charbon.
眉毛	le sourcil	Ses sourcils sont épais.
美术	les beaux-arts; l'art	Ma petite soeur aime les beaux-arts.
魅力	le charme	Cette ville a beaucoup de charme.
梦想	le rêve; rêver de	Son rêve est de devenir médecin.
密切	étroit; proche	Nous restons en contact étroit.
秘密	le secret	C'est notre secret.
秘书	le secrétaire	Le secrétaire a fixé l'heure de la réunion.
蜜蜂	l'abeille	Il y a beaucoup d'abeilles parmi les fleurs.
面对	faire face à	Nous devons faire face aux difficultés avec courage.
面积	la surface	La surface de cette pièce n'est pas grande.
面临	être confronté à	L'entreprise fait face à de nouveaux défis.
描写	décrire; dépeindre	L'auteur a décrit la vie à la campagne.
苗条	mince; élancé	Elle a une silhouette mince.
敏感	sensible	Ce sujet est assez sensible.
名牌	la marque célèbre	Il a acheté une montre de marque.
名片	la carte de visite	Donne-moi une carte de visite, s'il te plaît.
名胜古迹	les sites célèbres et monuments historiques	Il y a beaucoup de sites célèbres et de monuments historiques à Pékin.
明确	clair; préciser	Le professeur a clairement expliqué les exigences.
明显	évident	Ses progrès sont évidents.
明星	la vedette; la star	Elle veut devenir une star de cinéma.
命令	l'ordre; le commandement	Les soldats doivent obéir aux ordres.
命运	le destin	Il croit que le destin peut changer.
摸	toucher	Ne touche pas ce tableau, s'il te plaît.
摩托车	la moto	Il va au travail à moto.
模仿	imiter	Les enfants aiment imiter la façon de parler des adultes.
模糊	flou	Cette photo est un peu floue.
模特	le mannequin	Elle est mannequin de mode.
陌生	inconnu; peu familier	Cette ville ne m'est pas familière.
某	un certain	Un certain professeur m'a téléphoné.
木头	le bois	Cette table est faite en bois.
目标	l'objectif	Mon objectif est de réussir l'examen.
目录	la table des matières	Regarde d'abord la table des matières au début du livre.
目前	actuellement; pour le moment	La situation est relativement stable pour le moment.
哪怕	même si	Même s'il est très occupé, il continue à étudier.
难怪	pas étonnant	Pas étonnant que tu sois si heureux aujourd'hui.
难免	difficile à éviter	La première fois, il est difficile d'éviter les erreurs.
脑袋	la tête	Il a un peu mal à la tête.
内部	interne	Ce sont des documents internes de l'entreprise.
内科	la médecine interne	Il va consulter en médecine interne aujourd'hui.
嫩	tendre	Ce morceau de viande est très tendre.
能干	compétent	C'est une personne très compétente.
能源	l'énergie	L'énergie solaire est une énergie propre.
嗯	mm-hm; oui	Mm-hm, j'ai compris.
年代	les années; l'époque	Cette photo a été prise dans les années quatre-vingt.
年纪	l'âge	Il n'est pas très âgé, mais il a beaucoup d'expérience.
念	lire à voix haute; réciter	Lis le texte une fois à voix haute, s'il te plaît.
宁可	préférer	Je préfère marcher plutôt que d'attendre le bus.
牛仔裤	le jean	Il porte un jean.
农村	la campagne	Elle a grandi à la campagne.
农民	le paysan; l'agriculteur	Les agriculteurs travaillent dans les champs.
农业	l'agriculture	L'agriculture est très importante pour cette région.
浓	fort; concentré	Ce café est trop fort.
女士	la dame	Cette dame attend le bus.
欧洲	l'Europe	Il partira voyager en Europe le mois prochain.
偶然	par hasard	J'ai rencontré un ancien camarade de classe par hasard.
拍	prendre une photo	Aide-moi à prendre une photo, s'il te plaît.
派	envoyer	L'entreprise l'a envoyé en déplacement professionnel à Shanghai.
盼望	attendre avec impatience	J'ai hâte de te voir bientôt.
培训	la formation	Les nouveaux employés doivent participer à une formation.
培养	cultiver; former	L'école attache de l'importance au développement des capacités des élèves.
赔偿	indemniser	L'entreprise a accepté d'indemniser la perte.
佩服	admirer	J'admire beaucoup son courage.
配合	coopérer	Coopérez avec les arrangements du professeur, s'il vous plaît.
盆	le pot; la bassine	Il y a un pot de fleurs sur le balcon.
碰	toucher; heurter	Attention, ne touche pas l'eau chaude.
批	le lot	Ce lot de marchandises est arrivé aujourd'hui.
批准	approuver	Le directeur a approuvé ce plan.
披	porté sur les épaules	Elle porte un manteau sur les épaules.
疲劳	la fatigue; fatigué	Travailler longtemps peut fatiguer.
匹	classificateur pour les chevaux	Il y a un cheval sur l'herbe.
片	la tranche; le morceau	Donne-moi une tranche de pain, s'il te plaît.
片面	unilatéral; partial	Ce point de vue est trop partial.
飘	flotter	Les flocons de neige flottent dans l'air.
拼音	le pinyin	Écris le pinyin à côté des caractères chinois, s'il te plaît.
频道	la chaîne	Change pour la chaîne d'information, s'il te plaît.
凭	avec; sur la base de	On peut entrer avec un billet.
平均	en moyenne	En moyenne, chaque personne a dépensé dix yuans.
平	plat	Cette route est très plate.
平安	sain et sauf; sans encombre	Je te souhaite bon voyage.
平常	d'habitude; ordinaire	D'habitude, il arrive rarement en retard.
平等	l'égalité; égal	Chaque personne devrait être traitée de manière égale.
平方	carré; mètre carré	Cette pièce fait vingt mètres carrés.
平衡	l'équilibre	Il faut un équilibre entre le travail et la vie.
平静	calme	La surface du lac est très calme.
评价	l'évaluation; évaluer	Le professeur a donné une très bonne évaluation.
破产	faire faillite	Cette entreprise a fait faillite l'année dernière.
破坏	endommager; détruire	Ne détériore pas les biens publics, s'il te plaît.
迫切	urgent	Nous avons un besoin urgent de plus de médecins.
期待	attendre avec impatience	J'attends ce voyage avec impatience.
期间	pendant; durant	Veuillez éteindre votre téléphone pendant la réunion.
其余	le reste; les autres	Les autres questions seront discutées demain.
奇迹	le miracle	Le médecin a dit que c'était un miracle.
企业	l'entreprise	Cette entreprise se développe rapidement.
启发	l'inspiration; inspirer	Ce livre m'a beaucoup inspiré.
气氛	l'atmosphère	L'atmosphère dans la salle de classe est très détendue.
汽油	l'essence	La voiture a besoin d'essence.
签	signer	Signe ton nom ici, s'il te plaît.
谦虚	modeste	Il est excellent et aussi très modeste.
前途	l'avenir; les perspectives	Cette spécialité a de bonnes perspectives.
浅	peu profond	Cette rivière est peu profonde.
欠	devoir; manquer	Il me doit encore vingt yuans.
枪	le pistolet; l'arme à feu	Le policier tient une arme à feu.
墙	le mur	Il y a un tableau accroché au mur.
强调	souligner; insister sur	Le professeur a souligné les questions de sécurité.
强烈	fort; intense	Il a un fort sens des responsabilités.
抢	se disputer; arracher	Ne te dispute pas les places avec les autres.
悄悄	discrètement; en silence	Elle est entrée discrètement dans la pièce.
瞧	regarder	Regarde, il neige dehors.
巧妙	ingénieux	Cette méthode est très ingénieuse.
切	couper	Coupe les fruits en petits morceaux, s'il te plaît.
亲爱	cher; bien-aimé	Cher ami, merci.
亲切	aimable; chaleureux	Le professeur parle avec beaucoup de gentillesse.
亲自	en personne	Le directeur a reçu les invités en personne.
勤奋	travailleur; diligent	Les personnes travailleuses réussissent plus facilement.
清淡	léger; peu épicé	J'aime manger des plats légers.
轻视	sous-estimer; mépriser	Ne sous-estime pas ce petit problème.
轻易	facilement; à la légère	Il n'abandonnera pas facilement.
青	bleu-vert	Ce vêtement est bleu-vert.
青春	la jeunesse	La jeunesse est précieuse.
青少年	l'adolescent	Les adolescents ont besoin de suffisamment de sommeil.
情景	la scène; la situation	La scène du film est très émouvante.
情绪	l'humeur; les émotions	Son humeur n'est pas très stable.
请求	la demande; demander	Il a formulé une demande.
庆祝	célébrer	Nous avons célébré son anniversaire.
球迷	le supporter; le fan	Beaucoup de supporters sont venus regarder le match.
趋势	la tendance	Cette tendance devient de plus en plus évidente.
取消	annuler	L'activité a été annulée à cause de la pluie.
娶	épouser; prendre pour épouse	Il prévoit de l'épouser l'année prochaine.
去世	décéder; mourir	Son grand-père est décédé l'année dernière.
圈	le cercle; entourer	Entoure la bonne réponse, s'il te plaît.
全面	complet; global	Nous devons comprendre la situation de manière globale.
权利	le droit	Chaque personne a le droit de recevoir une éducation.
权力	le pouvoir	Le pouvoir doit être contrôlé.
劝	conseiller; persuader	Mon ami m'a conseillé de me reposer plus tôt.
缺乏	manquer de	Cette région manque d'eau propre.
确定	déterminer; être certain	Je ne peux pas encore déterminer l'heure.
确认	confirmer	Confirme ton adresse, s'il te plaît.
群	le groupe	Un groupe d'enfants joue sur le terrain.
燃烧	brûler	Le bois est en train de brûler.
绕	contourner; faire le tour	Nous avons fait le tour du lac à pied.
热爱	aimer profondément	Il aime profondément son travail.
热烈	chaleureux	Tout le monde a accueilli les invités chaleureusement.
热心	enthousiaste; serviable	Les voisins sont tous très serviables.
人才	le talent; la personne talentueuse	L'entreprise a besoin de plus de talents.
人口	la population	Cette ville a une population nombreuse.
人类	l'humanité	L'humanité doit protéger la Terre.
人民币	le renminbi; le yuan chinois	J'ai changé des renminbis.
人生	la vie humaine; la vie	La vie offre beaucoup de choix.
人事	les ressources humaines	Elle travaille au service des ressources humaines.
人物	le personnage	Les personnages du roman semblent très réels.
人员	le personnel	Tout le personnel est arrivé.
忍不住	ne pas pouvoir s'empêcher	En entendant la blague, il n'a pas pu s'empêcher de rire.
日常	quotidien	C'est mon travail quotidien.
日程	l'emploi du temps	Mon emploi du temps d'aujourd'hui est très chargé.
日历	le calendrier	Il y a un calendrier accroché au mur.
日期	la date	Écris clairement la date, s'il te plaît.
日用品	les articles de première nécessité	Le supermarché vend beaucoup d'articles du quotidien.
日子	les jours; la période	Il est très occupé ces jours-ci.
如何	comment	Comment devons-nous résoudre ce problème ?
如今	de nos jours	De nos jours, les transports sont beaucoup plus pratiques.
软	mou; souple	Ce lit est très mou.
软件	le logiciel	Ce logiciel est facile à utiliser.
弱	faible	Sa santé est relativement fragile.
洒	renverser; répandre	Il a renversé l'eau par accident.
嗓子	la gorge; la voix	J'ai un peu mal à la gorge.
色彩	les couleurs	Ce tableau a des couleurs très riches.
杀	tuer	Il n'y a pas de scène de meurtre dans ce film.
沙漠	le désert	L'eau dans le désert est très précieuse.
沙滩	la plage	Les enfants jouent sur la plage.
傻	bête; idiot	Ne fais pas de bêtises.
晒	faire sécher au soleil	Les vêtements sèchent au soleil sur le balcon.
删除	supprimer	Supprime ce courriel, s'il te plaît.
闪电	l'éclair	Des éclairs sont apparus pendant la nuit.
善良	gentil; bienveillant	C'est une personne bienveillante.
善于	être doué pour	Il est doué pour résoudre les problèmes.
扇子	l'éventail	J'utilise souvent un éventail en été.
伤害	blesser; nuire	Ne blesse pas les sentiments des autres.
商品	la marchandise	Cette boutique a beaucoup de marchandises.
商务	les affaires; commercial	Il participera demain à une réunion d'affaires.
商业	le commerce	Le commerce est bien développé dans cette région.
上当	se faire avoir	Il a failli se faire avoir.
蛇	le serpent	Il y a un serpent dans l'herbe.
舍不得	avoir du mal à quitter; regretter de se séparer	J'ai du mal à quitter cet endroit.
射击	le tir; tirer	Il s'entraîne au tir.
摄影	la photographie	Elle s'intéresse beaucoup à la photographie.
设备	l'équipement	L'équipement du laboratoire est très avancé.
设计	le design; concevoir	Ce design est très créatif.
设施	les installations	Les installations sportives de l'école sont bonnes.
伸	tendre; étendre	Tends la main, s'il te plaît.
深刻	profond	Cette expérience m'a laissé une impression profonde.
身材	la silhouette; la carrure	Elle a une silhouette saine.
身份	l'identité	Veuillez présenter une preuve d'identité.
神话	le mythe	Les enfants aiment écouter des récits mythologiques.
神秘	mystérieux	Cette ville ancienne est très mystérieuse.
升	le litre; monter	Le prix du carburant a augmenté un peu par litre.
声调	le ton	Le chinois a quatre tons de base.
生产	produire	Cette usine produit des téléphones portables.
生动	vivant; expressif	Le professeur explique les choses de façon très vivante.
生长	pousser; grandir	Cette plante pousse très vite.
绳子	la corde	Attache bien la boîte avec une corde, s'il te plaît.
省略	omettre	On peut omettre un caractère ici.
胜利	la victoire	Ils ont finalement remporté la victoire.
失眠	l'insomnie	Il souffre souvent d'insomnie ces derniers temps.
失去	perdre	Ne perds pas confiance.
失业	perdre son emploi; le chômage	Après avoir perdu son emploi, il a commencé à apprendre de nouvelles compétences.
湿润	humide	L'air après la pluie est très humide.
狮子	le lion	Il y a deux lions au zoo.
诗	le poème; la poésie	Il a écrit un poème.
实话	la vérité	Dis la vérité, s'il te plaît.
实践	la pratique; mettre en pratique	La théorie doit être vérifiée par la pratique.
实习	faire un stage	Elle fera un stage à l'hôpital pendant les vacances d'été.
实现	réaliser; accomplir	Il a finalement réalisé son rêve.
实验	l'expérience	Les étudiants sont en train de faire une expérience.
实用	pratique	Cet outil est très pratique.
时差	le décalage horaire	Il ne s'est pas encore adapté au décalage horaire.
时代	l'époque	Nous vivons à l'ère de l'information.
时刻	le moment	Souviens-toi de ce moment important, s'il te plaît.
时髦	à la mode	Ce vêtement est très à la mode.
时期	la période	Sa période universitaire a eu une grande influence sur lui.
时尚	la mode	Elle s'intéresse beaucoup à la mode.
石头	la pierre	Il y a une pierre au bord de la route.
食物	la nourriture	Mets la nourriture au réfrigérateur, s'il te plaît.
使劲儿	forcer; utiliser sa force	Il faut forcer pour ouvrir cette bouteille.
始终	toujours; du début à la fin	Il a toujours cru qu'il pouvait réussir.
事实	le fait	Les faits prouvent qu'il avait raison.
事物	la chose; le phénomène	Les enfants sont très curieux des choses nouvelles.
事先	à l'avance	Dis-moi l'heure à l'avance, s'il te plaît.
似的	comme si	Il était si fatigué qu'il semblait ne pas vouloir dire un mot.
士兵	le soldat	Les soldats s'entraînent.
市场	le marché	Ce marché est très animé.
试卷	la copie d'examen	Le professeur corrige les copies d'examen.
收获	le gain; la récolte	Ce voyage m'a beaucoup apporté.
收据	le reçu	Garde le reçu après avoir payé, s'il te plaît.
手工	fait main; manuel	Ce cadeau est fait main.
手术	l'opération chirurgicale	Le médecin l'opérera demain.
手套	le gant	Il faut porter des gants quand on sort en hiver.
手续	les formalités	Il faut une pièce d'identité pour accomplir les formalités.
手指	le doigt	Son doigt est blessé.
首	classificateur pour les chansons et poèmes	Elle a chanté une chanson.
受伤	être blessé	Il s'est blessé pendant le match.
寿命	la durée de vie	Ce type de machine a une longue durée de vie.
书架	la bibliothèque; l'étagère à livres	L'étagère à livres est pleine de livres.
梳子	le peigne	Elle se coiffe avec un peigne.
舒适	confortable	Cette pièce est très confortable.
蔬菜	les légumes	Manger plus de légumes est bon pour la santé.
输入	saisir; entrer	Saisis le mot de passe dans l'ordinateur, s'il te plaît.
熟练	habile; maîtrisé	Il sait utiliser l'ordinateur avec aisance.
属于	appartenir à	Ce livre appartient à la bibliothèque.
数	compter	Compte combien il y a de personnes, s'il te plaît.
鼠标	la souris d'ordinateur	Ma souris d'ordinateur est cassée.
数据	les données	Ces données sont très importantes.
数码	numérique	Il a acheté un appareil photo numérique.
摔倒	tomber	Elle est tombée sur la route.
甩	secouer; lancer	Il a secoué l'eau de ses mains.
双方	les deux parties	Les deux parties ont accepté ce plan.
税	la taxe; l'impôt	Il faut payer la taxe quand on achète des choses.
说不定	peut-être	Peut-être qu'il neigera demain.
说服	persuader; convaincre	Il a finalement persuadé ses parents.
丝绸	la soie	Cette écharpe est en soie.
丝毫	pas du tout; le moindre	Il n'a pas du tout changé d'avis.
思考	réfléchir	Réfléchis sérieusement à ce problème, s'il te plaît.
思想	la pensée	Sa pensée est très ouverte.
撕	déchirer	Ne déchire pas cette feuille, s'il te plaît.
私人	privé	C'est mon espace privé.
似乎	sembler	Il ne semble pas très content.
搜索	rechercher; chercher	J'ai cherché des documents en ligne.
宿舍	le dortoir	Les étudiants vivent dans le dortoir de l'école.
随身	sur soi; avec soi	Garde bien ton passeport avec toi, s'il te plaît.
随时	à tout moment	Tu peux m'appeler à tout moment.
随手	en passant; au passage	Ferme la porte derrière toi en partant, s'il te plaît.
碎	se casser; en morceaux	La tasse est tombée par terre et s'est cassée.
损失	la perte; le dommage	Cet accident a causé de grandes pertes.
缩短	raccourcir	Le nouveau trajet a raccourci la distance.
所	classificateur pour les écoles et bâtiments	Cette école est très connue.
锁	fermer à clé	Ferme bien la porte à clé avant de sortir, s'il te plaît.
台阶	la marche; les marches	La personne âgée a monté lentement les marches.
太极拳	le tai-chi	Des gens pratiquent le tai-chi dans le parc.
太太	Madame; l'épouse	Madame Wang est en train de cuisiner.
谈判	la négociation; négocier	Les deux parties sont en train de négocier.
坦率	franc	Il a exprimé ses idées franchement.
烫	brûlant; très chaud	Cette tasse de thé est très chaude.
桃	la pêche	L'arbre a donné beaucoup de pêches.
淘气	espiègle; turbulent	Cet enfant est un peu turbulent.
逃	s'enfuir	Le chiot s'est enfui de la cour.
逃避	éviter; fuir	Ne fuis pas tes responsabilités.
讨价还价	marchander	Il aime marchander quand il fait des achats.
套	l'ensemble; le jeu	Il a acheté un nouvel ensemble de vêtements.
特色	la caractéristique; la spécialité	Ce restaurant a des spécialités locales.
特殊	spécial	Aujourd'hui est un jour spécial.
特征	la caractéristique	Cette espèce animale a des caractéristiques évidentes.
疼爱	aimer tendrement	Les grands-parents aiment beaucoup l'enfant.
提倡	prôner; encourager	L'école encourage les économies d'eau.
提纲	le plan; les grandes lignes	Fais d'abord un plan avant d'écrire l'article.
提问	poser une question	Les étudiants peuvent poser des questions à tout moment.
题目	la question; le sujet	Cette question n'est pas très difficile.
体会	comprendre par expérience; le ressenti	Grâce au voyage, j'ai acquis une nouvelle compréhension.
体贴	attentionné	Il est très attentionné envers sa famille.
体现	refléter; incarner	Cette affaire reflète l'esprit d'équipe.
体验	faire l'expérience de	Je veux faire l'expérience de la vie locale.
天空	le ciel	Le ciel est très bleu aujourd'hui.
天真	naïf; innocent	L'idée de l'enfant est très innocente.
调皮	espiègle	Ce chat est très espiègle.
调整	ajuster; l'ajustement	Nous devons ajuster le plan.
挑战	le défi	C'est un très grand défi.
通常	d'habitude; habituellement	Il se lève habituellement à sept heures.
统一	unifier; harmoniser	Il faut harmoniser les avis de tout le monde.
痛苦	la douleur; la souffrance	Perdre son ami l'a rendu très triste.
痛快	avec plaisir; très bien	On s'est vraiment bien amusés aujourd'hui.
偷	voler	Ne vole pas les affaires des autres.
投入	se consacrer à; concentré	Il travaille avec beaucoup de concentration.
投资	investir; l'investissement	Ils ont investi dans un nouveau projet.
透明	transparent	Cette tasse est transparente.
突出	remarquable; saillant	Ses qualités sont très remarquables.
土地	la terre	Cette terre est très fertile.
土豆	la pomme de terre	J'ai acheté plusieurs pommes de terre.
兔子	le lapin	L'enfant élève un lapin.
吐	vomir	Il ne se sent pas bien et a envie de vomir.
团	le groupe	Nous avons rejoint un groupe de voyage.
推辞	refuser poliment	Il a refusé l'invitation de son ami.
推广	promouvoir; diffuser	L'entreprise est en train de promouvoir un nouveau produit.
推荐	recommander	Le professeur a recommandé ce livre.
退	reculer	Recule d'un pas, s'il te plaît.
退步	régresser; reculer	Si tu ne t'entraînes pas, ton niveau va baisser.
退休	prendre sa retraite	Il prendra sa retraite l'année prochaine.
歪	de travers	Ce tableau est accroché de travers.
外公	le grand-père maternel	Mon grand-père maternel a quatre-vingts ans cette année.
外交	la diplomatie	Il étudie les relations internationales et la diplomatie.
完美	parfait	Ce plan n'est pas parfait.
完善	améliorer; perfectionner	Nous devons améliorer le processus de service.
完整	complet	Donne-moi un rapport complet, s'il te plaît.
玩具	le jouet	L'enfant a mis les jouets dans la boîte.
万一	au cas où; si jamais	S'il pleut, nous irons un autre jour.
王子	le prince	Le prince de l'histoire est très courageux.
往返	l'aller-retour	Ce billet permet de faire l'aller-retour le même jour.
网络	le réseau; Internet	La connexion Internet ici est très stable.
危害	nuire à; mettre en danger	Fumer nuit à la santé.
威胁	menacer	La pollution menace la rivière.
微笑	le sourire; sourire	Elle m'a souri.
唯一	unique; le seul	C'est la seule solution.
围巾	l'écharpe	Il porte une écharpe en hiver.
