simplified	NL	example_NL
简直	gewoon; ronduit	Dit nieuws is gewoon schokkend.
健身	fitnessen; trainen	Hij gaat drie keer per week trainen.
建立	opbouwen; oprichten	We hebben een nieuwe relatie opgebouwd.
建设	de bouw; opbouwen	De stedelijke bouw ontwikkelt zich snel.
建筑	het gebouw	Dit gebouw heeft opvallende kenmerken.
键盘	het toetsenbord	Mijn toetsenbord moet schoongemaakt worden.
讲究	aandacht besteden aan; verfijnd	Chinezen besteden veel aandacht aan eten.
讲座	de lezing	Vanavond is er een lezing over Chinees.
酱油	de sojasaus	Doe een beetje sojasaus bij het gerecht.
交换	uitwisselen	We hebben telefoonnummers uitgewisseld.
交际	communicatie; sociale omgang	Bij het leren van een taal moet je ook communicatie oefenen.
交往	omgaan met; een relatie hebben	Zij hebben al twee jaar een relatie.
浇	water geven	Geef de bloemen alsjeblieft elke dag water.
胶水	de lijm	Ik gebruikte lijm om de foto vast te plakken.
狡猾	sluw	Die vos is erg sluw.
角度	de hoek; het perspectief	Laten we het probleem vanuit een ander perspectief bekijken.
教材	het lesmateriaal; leerboek	Dit leerboek is erg praktisch.
教练	de coach	De coach eist dat we op tijd aankomen.
教训	de les; waarschuwing	Deze mislukking is een les.
接触	contact; in aanraking komen	Dit is mijn eerste contact met de Chinese cultuur.
接待	ontvangen	Het bedrijf regelde iemand om de gasten te ontvangen.
接近	naderen; dicht bij	Het Lentefeest komt dichterbij.
结实	stevig	Deze koffer is erg stevig.
阶段	de fase	De studie is verdeeld in drie fasen.
结构	de structuur	Dit artikel heeft een duidelijke structuur.
结合	combineren	Studie moet met praktijk worden gecombineerd.
结论	de conclusie	Zijn conclusie is erg overtuigend.
结账	afrekenen	Na het eten gingen we afrekenen.
节省	besparen	Met de metro gaan kan tijd besparen.
借口	het excuus	Stop met excuses verzinnen.
届	editie; keer	Dit is de derde editie van de wedstrijd.
戒	afleren; stoppen met	De dokter raadde hem aan te stoppen met roken.
戒指	de ring	Zij draagt een ring.
金属	het metaal	IJzer is een soort metaal.
尽快	zo snel mogelijk	Beantwoord de e-mail alsjeblieft zo snel mogelijk.
紧急	dringend	Dit is een dringende zaak.
谨慎	voorzichtig	Wees voorzichtig voordat je investeert.
尽力	zijn best doen	Ik zal mijn best doen om je te helpen.
尽量	zoveel mogelijk	Probeer alsjeblieft zo vroeg mogelijk aan te komen.
近代	de moderne tijd	Modern China heeft veel veranderingen doorgemaakt.
进步	de vooruitgang; vooruitgaan	Zijn Chinees gaat snel vooruit.
进口	importeren; geïmporteerd	Deze auto is geïmporteerd.
精力	de energie	Kinderen hebben veel energie.
精神	de geest; stemming	Hij is vandaag goedgehumeurd.
经典	klassiek; de klassieker	Dit is een klassieke film.
经商	handel drijven; zaken doen	Zijn vader doet zaken in het buitenland.
经营	runnen; beheren	Zij runt een kleine winkel.
酒吧	de bar	Zij gingen 's avonds naar een bar.
救	redden	De dokter redde zijn leven.
救护车	de ambulance	De ambulance kwam snel aan.
舅舅	de oom van moederskant	Mijn oom van moederskant woont in Nanjing.
居然	tot mijn verbazing; werkelijk	Hij vergat werkelijk zijn eigen verjaardag.
桔子	de mandarijn	Er liggen een paar mandarijnen op tafel.
俱乐部	de club	Zij werd lid van de zwemclub.
具备	bezitten; beschikken over	Hij beschikt over managementervaring.
具体	concreet	Wees alsjeblieft iets concreter.
巨大	enorm	Dit project vereist een enorme investering.
据说	naar verluidt	Naar verluidt is hij al naar zijn land teruggekeerd.
捐	doneren	Iedereen is bereid geld te doneren.
决赛	de finale	Morgen is de voetbalfinale.
决心	de vastberadenheid	Hij besloot Chinees goed te leren.
绝对	absoluut	Deze zaak mag absoluut niet vergeten worden.
角色	de rol	Zij speelt een belangrijke rol in de film.
军事	militair	Hij is erg geïnteresseerd in militaire geschiedenis.
均匀	gelijkmatig	Breng de kleur alsjeblieft gelijkmatig aan.
卡车	de vrachtwagen	Er staat een vrachtwagen bij de ingang.
开发	ontwikkelen	Het bedrijf ontwikkelt een nieuw product.
开放	openen; open zijn	Het park gaat elke ochtend om zes uur open.
开幕式	de openingsceremonie	De openingsceremonie wordt morgenavond gehouden.
开水	gekookt water	Geef me alsjeblieft een kop gekookt water.
砍	hakken; afkappen	De arbeider kapt takken af.
看不起	neerkijken op	Kijk op niemand neer.
看望	bezoeken	Ik bezoek dit weekend mijn grootouders.
靠	leunen tegen; vertrouwen op	Hij leunde tegen de muur om uit te rusten.
颗	classifier voor kleine ronde dingen	Er staat een ster aan de nachtelijke hemel.
可见	het is duidelijk dat	Het is duidelijk dat deze methode effectief is.
可靠	betrouwbaar	Hij is een betrouwbare vriend.
可怕	eng; vreselijk	Deze droom was te eng.
克	de gram	Doe er alsjeblieft twee gram zout bij.
克服	overwinnen	We moeten moeilijkheden overwinnen.
刻苦	ijverig	Hij studeert heel ijverig.
客观	objectief	Analyseer het probleem alsjeblieft objectief.
课程	de cursus	Deze cursus is erg nuttig.
空间	de ruimte	Deze kamer heeft veel ruimte.
控制	controleren; beheersen	De bestuurder hield de snelheid van de auto onder controle.
空闲	vrije tijd	Heb je morgenmiddag vrije tijd?
口味	de smaak	Zijn smaak is vrij licht.
夸	prijzen; overdrijven	De leraar prees hem om zijn grote vooruitgang.
夸张	overdreven	Zijn gezichtsuitdrukking is een beetje overdreven.
会计	de boekhouder; boekhouding	Zij werkt als boekhouder bij het bedrijf.
宽	breed	Deze weg is erg breed.
昆虫	het insect	De kinderen observeren insecten.
扩大	uitbreiden	De school is van plan de bibliotheek uit te breiden.
辣椒	de chilipeper	Er zijn veel chilipepers aan het gerecht toegevoegd.
拦	stoppen; tegenhouden	De politie hield een auto tegen.
烂	rot; bedorven	Deze appel is al rot.
朗读	hardop lezen	Lees de tekst alsjeblieft hardop.
劳动	arbeid	Werk geeft mensen een gevoel van voldoening.
劳驾	pardon; excuseer	Pardon, waar is het metrostation?
姥姥	de oma van moederskant	Mijn oma van moederskant kookt erg goed.
老百姓	gewone mensen	Gewone mensen letten op de kosten van levensonderhoud.
老板	de baas	De baas is vandaag niet op kantoor.
老婆	de vrouw; echtgenote	Hij kocht bloemen voor zijn vrouw.
老实	eerlijk	Hij is een eerlijk persoon.
老鼠	de muis; rat	Er is een muis in de keuken.
乐观	optimistisch	Zij is optimistisch over de toekomst.
雷	de donder	De donder gisteravond was erg luid.
类型	het type; soort	Tot welk type behoort dit soort film?
冷淡	kil; onverschillig	Zijn houding is een beetje kil.
厘米	de centimeter	Deze pen is vijftien centimeter lang.
梨	de peer	Ik heb een paar peren gekocht.
离婚	scheiden	Zij zijn vorig jaar gescheiden.
理论	de theorie	Deze theorie is erg complex.
理由	de reden	Welke reden heb je om te laat te zijn?
利润	de winst	De winst van het bedrijf is dit jaar gestegen.
利息	de rente	De bankrente is niet hoog.
利益	het belang; voordeel	We moeten ieders belangen beschermen.
利用	gebruiken; benutten	Hij gebruikt het weekend om Chinees te studeren.
力量	de kracht	Eendracht is kracht.
立即	onmiddellijk	Verlaat deze plek alsjeblieft onmiddellijk.
立刻	meteen	Na het horen van het nieuws vertrok hij meteen.
联合	gezamenlijk; verenigen	De twee bedrijven ontwikkelden gezamenlijk een product.
连忙	snel; haastig	Toen hij de telefoon hoorde, nam hij snel op.
连续	achter elkaar; ononderbroken	Hij werkte tien uur achter elkaar.
恋爱	de liefdesrelatie	Zij hebben een liefdesrelatie.
粮食	het graan; voedsel	De graanproductie is dit jaar gestegen.
良好	goed; gunstig	Hij heeft goede studiegewoonten.
亮	helder	Het licht in de kamer is erg helder.
了不起	geweldig; buitengewoon	Zij behaalde opmerkelijke resultaten.
列车	de trein	De trein vertrekt bijna.
临时	tijdelijk	Dit is een tijdelijke beslissing.
灵活	flexibel	Studiemethoden moeten flexibel zijn.
铃	de bel	De schoolbel ging.
零件	het onderdeel	Er ontbreekt een onderdeel aan de machine.
零食	de snack	Kinderen eten graag snacks.
领导	de leider; leidinggevende	De leidinggevende zit in een vergadering.
领域	het vakgebied; domein	Zij werkt in het onderwijsveld.
流传	overgeleverd worden; zich verspreiden	Dit verhaal wordt al lange tijd doorgegeven.
流泪	huilen; tranen laten	Na het horen van dit nieuws huilde zij.
浏览	browsen; doorbladeren	Ik zal eerst de webpagina bekijken.
龙	de draak	In de Chinese cultuur zijn er draken.
漏	lekken; missen	Het dak lekt regenwater.
录取	toelaten	Hij werd toegelaten door de universiteit.
录音	opnemen; de opname	Begin alsjeblieft met opnemen.
陆地	het land	De zeeschildpad klom het land op.
陆续	achtereenvolgens	De gasten kwamen een voor een aan.
轮流	om de beurt	We maken om de beurt het klaslokaal schoon.
论文	de scriptie; het artikel	Zij schrijft haar afstudeerscriptie.
逻辑	de logica	Zijn logica is heel duidelijk.
落后	achterblijven	We mogen niet achterblijven bij anderen.
骂	uitschelden; berispen	Scheld het kind alsjeblieft niet uit.
麦克风	de microfoon	Geef hem alsjeblieft de microfoon.
馒头	het gestoomde broodje	Ik at een gestoomd broodje als ontbijt.
满足	voldoen aan; tevredenstellen	Dit antwoord voldoet niet aan de eisen.
毛病	het probleem; mankement	Deze computer heeft een klein probleem.
矛盾	het conflict; de tegenstelling	Er zijn wat conflicten tussen hen.
冒险	risico nemen	Alleen daarheen gaan is te riskant.
贸易	de handel	Internationale handel ontwikkelt zich snel.
媒体	de media	De media berichtten over deze zaak.
煤炭	de steenkool	Deze regio produceert steenkool.
眉毛	de wenkbrauw	Haar wenkbrauwen zijn dik.
美术	de kunst; beeldende kunst	Mijn jongere zus houdt van kunst.
魅力	de charme	Deze stad heeft veel charme.
梦想	de droom; dromen	Zijn droom is dokter worden.
密切	nauw	We houden nauw contact.
秘密	het geheim	Dit is ons geheim.
秘书	de secretaris; secretaresse	De secretaresse regelde de vergadertijd.
蜜蜂	de bij	Er zijn veel bijen tussen de bloemen.
面对	onder ogen zien	We moeten moeilijkheden moedig onder ogen zien.
面积	de oppervlakte	De oppervlakte van deze kamer is niet groot.
面临	te maken krijgen met	Het bedrijf krijgt met nieuwe uitdagingen te maken.
描写	beschrijven	De auteur beschreef het leven op het platteland.
苗条	slank	Zij heeft een slank figuur.
敏感	gevoelig	Dit onderwerp is vrij gevoelig.
名牌	het bekende merk	Hij kocht een horloge van een bekend merk.
名片	het visitekaartje	Geef me alstublieft een visitekaartje.
名胜古迹	bezienswaardigheden en historische plekken	Beijing heeft veel historische bezienswaardigheden.
明确	duidelijk	De leraar legde de eisen duidelijk uit.
明显	duidelijk; opvallend	Zijn vooruitgang is duidelijk.
明星	de ster; beroemdheid	Zij wil filmster worden.
命令	het bevel	Soldaten moeten bevelen opvolgen.
命运	het lot	Hij gelooft dat het lot veranderd kan worden.
摸	aanraken	Raak dit schilderij alsjeblieft niet aan.
摩托车	de motorfiets	Hij rijdt met de motor naar zijn werk.
模仿	nadoen; imiteren	Kinderen doen graag de spraak van volwassenen na.
模糊	vaag; onscherp	Deze foto is een beetje onscherp.
模特	het model	Zij is fotomodel.
陌生	onbekend	Deze stad is erg onbekend voor mij.
某	een bepaalde	Een bepaalde leraar belde mij.
木头	het hout	Deze tafel is van hout gemaakt.
目标	het doel	Mijn doel is slagen voor het examen.
目录	de inhoudsopgave; catalogus	Kijk eerst naar de inhoudsopgave voor in het boek.
目前	momenteel	Momenteel is de situatie vrij stabiel.
哪怕	zelfs als	Zelfs als hij druk is, blijft hij studeren.
难怪	geen wonder	Geen wonder dat je vandaag zo blij bent.
难免	moeilijk te vermijden	De eerste keer zijn fouten moeilijk te vermijden.
脑袋	het hoofd	Zijn hoofd doet een beetje pijn.
内部	intern	Dit is intern materiaal van het bedrijf.
内科	interne geneeskunde	Hij gaat vandaag naar interne geneeskunde.
嫩	zacht; mals	Dit stuk vlees is erg mals.
能干	bekwaam	Zij is een heel bekwaam persoon.
能源	de energiebron	Zonne-energie is een soort schone energie.
嗯	mm-hm; ja	Mm-hm, ik begrijp het.
年代	de jaren; periode	Deze foto is in de jaren tachtig genomen.
年纪	de leeftijd	Hij is niet erg oud, maar heeft veel ervaring.
念	hardop lezen; studeren	Lees de tekst alsjeblieft één keer hardop.
宁可	liever	Ik loop liever dan dat ik op de bus wacht.
牛仔裤	de spijkerbroek	Hij draagt een spijkerbroek.
农村	het platteland	Zij groeide op op het platteland.
农民	de boer	De boeren werken op het land.
农业	de landbouw	Landbouw is erg belangrijk voor deze regio.
浓	sterk; geconcentreerd	Deze koffie is te sterk.
女士	de dame	Die dame wacht op de bus.
欧洲	Europa	Hij reist volgende maand naar Europa.
偶然	toevallig	Ik ontmoette toevallig een oude klasgenoot.
拍	foto maken; klappen	Help me alsjeblieft een foto te maken.
派	sturen; zenden	Het bedrijf stuurde hem op zakenreis naar Shanghai.
盼望	uitkijken naar	Ik kijk ernaar uit je snel te zien.
培训	de training; opleiding	Nieuwe werknemers moeten een training volgen.
培养	ontwikkelen; opleiden	De school hecht waarde aan het ontwikkelen van de vaardigheden van studenten.
赔偿	compenseren; vergoeden	Het bedrijf stemde ermee in het verlies te vergoeden.
佩服	bewonderen	Ik bewonder zijn moed echt.
配合	meewerken; afstemmen	Werk alsjeblieft mee met de regelingen van de leraar.
盆	de pot; teil	Er staat een pot bloemen op het balkon.
碰	aanraken; botsen	Wees voorzichtig, raak het hete water niet aan.
批	de partij; bekritiseren	Deze partij goederen kwam vandaag aan.
批准	goedkeuren	De manager keurde dit plan goed.
披	om de schouders slaan	Zij heeft een jas om haar schouders geslagen.
疲劳	de vermoeidheid	Lang werken kan iemand moe maken.
匹	classifier voor paarden	Er staat een paard op het gras.
片	de plak; het stukje	Geef me alsjeblieft een sneetje brood.
片面	eenzijdig	Deze opvatting is te eenzijdig.
飘	zweven	Sneeuwvlokken zweven in de lucht.
拼音	pinyin	Schrijf pinyin naast de Chinese karakters.
频道	het kanaal	Schakel alsjeblieft over naar het nieuwskanaal.
凭	op basis van	Je kunt met een kaartje naar binnen.
平均	gemiddeld	Gemiddeld gaf elke persoon tien yuan uit.
平	vlak; gelijk	Deze weg is erg vlak.
平安	veilig; behouden	Ik wens je een veilige reis.
平常	gewoonlijk; normaal	Normaal komt hij zelden te laat.
平等	gelijk; gelijkheid	Iedereen moet gelijk behandeld worden.
平方	vierkant; kwadraat	Deze kamer is twintig vierkante meter.
平衡	het evenwicht	Werk en leven hebben evenwicht nodig.
平静	rustig	Het oppervlak van het meer is heel rustig.
评价	beoordelen; de beoordeling	De leraar gaf een zeer hoge beoordeling.
破产	failliet gaan; het faillissement	Dat bedrijf ging vorig jaar failliet.
破坏	beschadigen; de schade	Beschadig alstublieft geen openbaar bezit.
迫切	dringend	We hebben dringend meer artsen nodig.
期待	uitkijken naar; verwachten	Ik kijk erg uit naar deze reis.
期间	tijdens; de periode	Zet tijdens de vergadering alstublieft uw telefoon uit.
其余	de rest; overig	De overige kwesties bespreken we morgen.
奇迹	het wonder	De dokter zei dat dit een wonder was.
企业	de onderneming; het bedrijf	Deze onderneming ontwikkelt zich snel.
启发	inspireren; de inspiratie	Dit boek gaf me veel inspiratie.
气氛	de sfeer	De sfeer in het klaslokaal is heel ontspannen.
汽油	de benzine	De auto moet benzine tanken.
签	ondertekenen	Zet hier alstublieft uw handtekening.
谦虚	bescheiden	Hij is uitstekend en ook heel bescheiden.
前途	de vooruitzichten; toekomstperspectief	Deze studierichting heeft goede vooruitzichten.
浅	ondiep; oppervlakkig	Deze rivier is erg ondiep.
欠	schuldig zijn; tekortkomen	Hij is me nog twintig yuan schuldig.
枪	het geweer; het vuurwapen	De politieagent heeft een geweer in zijn hand.
墙	de muur	Er hangt een schilderij aan de muur.
强调	benadrukken	De leraar benadrukte de veiligheidskwesties.
强烈	sterk; intens	Hij heeft een sterk verantwoordelijkheidsgevoel.
抢	vechten om; grijpen	Vecht niet met anderen om een zitplaats.
悄悄	stilletjes; heimelijk	Zij liep stilletjes de kamer binnen.
瞧	kijken; zien	Kijk, buiten sneeuwt het.
巧妙	knap; slim	Deze methode is heel slim.
切	snijden	Snijd het fruit alstublieft in kleine stukjes.
亲爱	beste; geliefd	Beste vriend, dank je.
亲切	vriendelijk; hartelijk	De leraar spreekt heel vriendelijk.
亲自	persoonlijk	De manager ontving de gasten persoonlijk.
勤奋	ijverig; hardwerkend	IJverige mensen slagen gemakkelijker.
清淡	licht; mild	Ik eet graag lichte gerechten.
轻视	onderschatten; minachten	Onderschat dit kleine probleem niet.
轻易	gemakkelijk; zomaar	Hij zal niet gemakkelijk opgeven.
青	blauwgroen; groen	Dit kledingstuk is blauwgroen.
青春	de jeugd	De jeugd is kostbaar.
青少年	de tiener; jongeren	Tieners hebben voldoende slaap nodig.
情景	de scène; situatie	De scène in de film is erg ontroerend.
情绪	de stemming; emotie	Zijn stemming is niet erg stabiel.
请求	het verzoek; verzoeken	Hij deed een verzoek.
庆祝	vieren	We vierden zijn verjaardag.
球迷	de sportfan; voetbalfan	Veel fans kwamen naar de wedstrijd kijken.
趋势	de trend	Deze trend wordt steeds duidelijker.
取消	annuleren	De activiteit werd vanwege de regen geannuleerd.
娶	trouwen met een vrouw	Hij is van plan volgend jaar met haar te trouwen.
去世	overlijden	Zijn opa is vorig jaar overleden.
圈	de cirkel; omcirkelen	Omcirkel alstublieft het juiste antwoord.
全面	volledig; alomvattend	We moeten de situatie volledig begrijpen.
权利	het recht	Iedereen heeft recht op onderwijs.
权力	de macht; bevoegdheid	Macht moet gecontroleerd worden.
劝	adviseren; aanraden	Mijn vriend raadde me aan eerder te rusten.
缺乏	ontbreken; gebrek hebben aan	Dit gebied heeft gebrek aan schoon water.
确定	bepalen; zeker	Ik kan de tijd nog niet bepalen.
确认	bevestigen	Bevestig alstublieft uw adres.
群	de groep	Een groep kinderen speelt op het schoolplein.
燃烧	branden	Het hout brandt.
绕	omheen gaan; rondlopen	We liepen een rondje om het meer.
热爱	veel houden van	Hij houdt veel van zijn werk.
热烈	warm; enthousiast	Iedereen verwelkomde de gasten hartelijk.
热心	behulpzaam; enthousiast	De buren zijn allemaal heel behulpzaam.
人才	talent; getalenteerde mensen	Het bedrijf heeft meer talent nodig.
人口	de bevolking	Deze stad heeft een grote bevolking.
人类	de mensheid	De mensheid moet de aarde beschermen.
人民币	de renminbi; Chinese yuan	Ik wisselde wat renminbi.
人生	het leven	Het leven kent veel keuzes.
人事	personeelszaken; personeel	Zij werkt op de afdeling personeelszaken.
人物	het personage; de figuur	De personages in de roman voelen heel echt aan.
人员	het personeel	Het personeel is allemaal aangekomen.
忍不住	niet kunnen laten	Toen hij de mop hoorde, kon hij zijn lach niet inhouden.
日常	dagelijks; alledaags	Dit is mijn dagelijkse werk.
日程	het schema; programma	Het schema van vandaag zit erg vol.
日历	de kalender	Er hangt een kalender aan de muur.
日期	de datum	Schrijf de datum alstublieft duidelijk op.
日用品	dagelijkse benodigdheden	De supermarkt verkoopt veel dagelijkse benodigdheden.
日子	de dagen; tijd	Hij heeft het deze dagen erg druk.
如何	hoe	Hoe moeten we dit probleem oplossen?
如今	tegenwoordig	Tegenwoordig is het vervoer veel handiger.
软	zacht; soepel	Dit bed is erg zacht.
软件	de software	Deze software is gemakkelijk te gebruiken.
弱	zwak	Zijn lichaam is vrij zwak.
洒	morsen; sprenkelen	Hij morste per ongeluk het water.
嗓子	de keel; stem	Mijn keel doet een beetje pijn.
色彩	de kleuren; kleur	Dit schilderij heeft rijke kleuren.
杀	doden	In deze film zijn geen moordscènes.
沙漠	de woestijn	Water in de woestijn is erg kostbaar.
沙滩	het strand	De kinderen spelen op het strand.
傻	dom; dwaas	Doe geen domme dingen.
晒	in de zon drogen; zonnen	De kleren drogen op het balkon in de zon.
删除	verwijderen	Verwijder deze e-mail alstublieft.
闪电	de bliksem	's Nachts was er bliksem.
善良	goedaardig; vriendelijk	Zij is een goedhartig mens.
善于	goed zijn in	Hij is goed in het oplossen van problemen.
扇子	de waaier	In de zomer gebruik ik vaak een waaier.
伤害	schaden; kwetsen	Kwets de gevoelens van anderen niet.
商品	het product; de goederen	Deze winkel heeft veel producten.
商务	zakelijk; handelszaken	Hij gaat morgen naar een zakelijke vergadering.
商业	de handel; commercie	De handel in dit gebied is goed ontwikkeld.
上当	erin trappen; bedrogen worden	Hij trapte er bijna in.
蛇	de slang	Er zit een slang in het gras.
舍不得	niet willen verlaten; moeilijk afstand kunnen doen	Ik wil hier eigenlijk niet weg.
射击	schieten	Hij traint in schieten.
摄影	de fotografie; fotograferen	Zij is erg geïnteresseerd in fotografie.
设备	de apparatuur	De apparatuur in het laboratorium is erg geavanceerd.
设计	het ontwerp; ontwerpen	Dit ontwerp is heel creatief.
设施	de voorzieningen	De sportvoorzieningen van de school zijn goed.
伸	uitstrekken	Steek alstublieft uw hand uit.
深刻	diep; diepgaand	Deze ervaring maakte diepe indruk op mij.
身材	het postuur; figuur	Zij heeft een gezond postuur.
身份	de identiteit; status	Toon alstublieft een identiteitsbewijs.
神话	de mythe; mythologie	Kinderen luisteren graag naar mythen.
神秘	mysterieus	Deze oude stad is heel mysterieus.
升	stijgen; liter	De olieprijs steeg een beetje per liter.
声调	de toon	Het Chinees heeft vier basistonen.
生产	produceren	Deze fabriek produceert mobiele telefoons.
生动	levendig	De leraar legt heel levendig uit.
生长	groeien	Deze plantensoort groeit snel.
绳子	het touw	Bind de doos alstublieft met een touw vast.
省略	weglaten	Hier kan een karakter worden weggelaten.
胜利	de overwinning	Uiteindelijk behaalden zij de overwinning.
失眠	slapeloosheid hebben	Hij heeft de laatste tijd vaak last van slapeloosheid.
失去	verliezen	Verlies je vertrouwen niet.
失业	werkloos worden	Nadat hij werkloos werd, begon hij nieuwe vaardigheden te leren.
湿润	vochtig	De lucht na de regen is erg vochtig.
狮子	de leeuw	Er zijn twee leeuwen in de dierentuin.
诗	het gedicht; poëzie	Hij schreef een gedicht.
实话	de waarheid	Vertel alsjeblieft de waarheid.
实践	de praktijk; in praktijk brengen	Theorie moet door de praktijk worden getoetst.
实习	stage lopen	Zij loopt in de zomervakantie stage in een ziekenhuis.
实现	verwezenlijken; bereiken	Uiteindelijk verwezenlijkte hij zijn droom.
实验	het experiment	De studenten doen een experiment.
实用	praktisch	Dit hulpmiddel is heel praktisch.
时差	het tijdsverschil; jetlag	Hij is nog niet gewend aan het tijdsverschil.
时代	het tijdperk	We leven in het informatietijdperk.
时刻	het moment; altijd	Onthoud dit belangrijke moment.
时髦	modieus	Dit kledingstuk is erg modieus.
时期	de periode	Zijn studententijd had grote invloed op hem.
时尚	de mode	Zij is erg geïnteresseerd in mode.
石头	de steen	Er ligt een steen langs de weg.
食物	het voedsel	Zet het voedsel alstublieft in de koelkast.
使劲儿	kracht zetten	Je moet kracht zetten om deze fles te openen.
始终	altijd; van begin tot eind	Hij geloofde altijd dat hij kon slagen.
事实	het feit	De feiten bewijzen dat hij gelijk had.
事物	het ding; verschijnsel	Kinderen zijn erg nieuwsgierig naar nieuwe dingen.
事先	van tevoren	Laat me de tijd alstublieft van tevoren weten.
似的	alsof	Hij leek zo moe dat hij geen woord wilde zeggen.
士兵	de soldaat	De soldaten zijn aan het trainen.
市场	de markt	Deze markt is erg levendig.
试卷	het proefwerk; examenpapier	De leraar is de proefwerken aan het nakijken.
收获	de oogst; opbrengst	Deze reis heeft mij veel opgeleverd.
收据	het bonnetje; ontvangstbewijs	Bewaar na betaling alstublieft het bonnetje.
手工	handgemaakt; handwerk	Dit cadeau is met de hand gemaakt.
手术	de operatie	De dokter opereert hem morgen.
手套	de handschoen	Draag handschoenen als je in de winter naar buiten gaat.
手续	de formaliteiten; procedure	Voor de formaliteiten heb je een identiteitskaart nodig.
手指	de vinger	Zijn vinger is gewond.
首	classifier voor liederen en gedichten	Zij zong een lied.
受伤	gewond raken	Hij raakte tijdens de wedstrijd gewond.
寿命	de levensduur	Dit soort machine heeft een lange levensduur.
书架	de boekenplank; boekenkast	De boekenkast staat vol boeken.
梳子	de kam	Zij kamt haar haar met een kam.
舒适	comfortabel	Deze kamer is heel comfortabel.
蔬菜	de groente	Meer groente eten is goed voor je gezondheid.
输入	invoeren	Voer het wachtwoord alstublieft in op de computer.
熟练	bedreven; vaardig	Hij kan vaardig met een computer omgaan.
属于	behoren tot	Dit boek behoort tot de bibliotheek.
数	tellen	Tel alstublieft hoeveel mensen er zijn.
鼠标	de muis	Mijn computermuis is kapot.
数据	de gegevens; data	Deze gegevens zijn erg belangrijk.
数码	digitaal	Hij kocht een digitale camera.
摔倒	vallen	Zij viel op straat.
甩	afschudden; zwaaien	Hij schudde het water van zijn handen.
双方	beide partijen	Beide partijen gingen akkoord met dit plan.
税	de belasting	Bij het kopen van dingen moet je belasting betalen.
说不定	misschien	Misschien gaat het morgen sneeuwen.
说服	overtuigen	Uiteindelijk overtuigde hij zijn ouders.
丝绸	de zijde	Deze sjaal is van zijde gemaakt.
丝毫	helemaal; ook maar iets	Hij veranderde helemaal niet van gedachten.
思考	nadenken	Denk alstublieft serieus over dit probleem na.
思想	het denken; idee	Zijn denken is heel open.
撕	scheuren	Scheur dit papier alstublieft niet.
私人	privé	Dit is mijn privéruimte.
似乎	lijken	Hij lijkt niet erg blij.
搜索	zoeken	Ik zocht online naar informatie.
宿舍	het studentenhuis; slaapzaal	De studenten wonen in de slaapzaal van de school.
随身	bij zich dragen	Houd uw paspoort alstublieft bij u.
随时	op elk moment	Je kunt me op elk moment bellen.
随手	meteen; bij het weggaan	Doe de deur alstublieft achter u dicht wanneer u vertrekt.
碎	breken; kapot	De beker viel op de grond en brak.
损失	het verlies; schade	Dit ongeluk veroorzaakte een groot verlies.
缩短	verkorten	De nieuwe route verkortte de reis.
所	classifier voor scholen en instellingen	Deze school is erg beroemd.
锁	op slot doen	Doe de deur alstublieft op slot voordat u vertrekt.
台阶	de trede; trap	De oudere persoon liep langzaam de treden op.
太极拳	tai chi	In het park oefenen mensen tai chi.
太太	mevrouw; echtgenote	Mevrouw Wang is aan het koken.
谈判	onderhandelen; onderhandeling	Beide partijen zijn aan het onderhandelen.
坦率	openhartig	Hij vertelde openhartig wat hij dacht.
烫	heet; zich branden	Deze kop thee is erg heet.
桃	de perzik	Er groeien veel perziken aan de boom.
淘气	stout; ondeugend	Dit kind is een beetje ondeugend.
逃	vluchten; ontsnappen	De puppy vluchtte uit de tuin.
逃避	vermijden; ontlopen	Ontloop je verantwoordelijkheid niet.
讨价还价	afdingen	Bij het winkelen dingt hij graag af.
套	de set; hoes	Hij kocht een nieuwe set kleren.
特色	het kenmerk; lokale specialiteit	Dit restaurant heeft lokale kenmerken.
特殊	speciaal	Vandaag is een speciale dag.
特征	het kenmerk	Dit dier heeft duidelijke kenmerken.
疼爱	veel houden van; koesteren	Opa en oma houden erg veel van het kind.
提倡	bevorderen; pleiten voor	De school bevordert waterbesparing.
提纲	het schema; overzicht	Maak eerst een schema voordat je een artikel schrijft.
提问	een vraag stellen	Studenten kunnen op elk moment vragen stellen.
题目	de vraag; titel	Deze vraag is niet erg moeilijk.
体会	begrijpen door ervaring; inzicht	Door te reizen kreeg ik nieuw inzicht.
体贴	attent	Hij is heel attent voor zijn familie.
体现	weerspiegelen	Deze zaak weerspiegelt teamgeest.
体验	ervaren	Ik wil het lokale leven ervaren.
天空	de hemel	De hemel is vandaag heel blauw.
天真	onschuldig; naïef	Het idee van het kind is heel onschuldig.
调皮	ondeugend	Die kat is erg ondeugend.
调整	aanpassen	We moeten het plan aanpassen.
挑战	de uitdaging	Dit is een grote uitdaging.
通常	gewoonlijk	Meestal staat hij om zeven uur op.
统一	verenigen; op elkaar afstemmen	Ieders mening moet op elkaar worden afgestemd.
痛苦	pijnlijk; verdrietig	Het verlies van zijn vriend maakte hem erg verdrietig.
痛快	heerlijk; opgelucht	We hebben vandaag echt heerlijk gespeeld.
偷	stelen	Steel geen spullen van anderen.
投入	met volle aandacht; investeren	Hij werkt met volle aandacht.
投资	investeren; de investering	Zij investeerden in een nieuw project.
