simplified	SK	example_SK
节省	ušetriť	Cesta metrom môže ušetriť čas.
借口	výhovorka	Prestaň si hľadať výhovorky.
届	ročník; kolo	Toto je tretí ročník súťaže.
戒	prestať; zanechať	Lekár mu odporučil prestať fajčiť.
戒指	prsteň	Má na sebe prsteň.
金属	kov	Železo je druh kovu.
尽快	čo najskôr	Odpovedzte, prosím, na e-mail čo najskôr.
紧急	naliehavý	Toto je naliehavá situácia.
谨慎	opatrný	Pred investovaním treba byť opatrný.
尽力	snažiť sa zo všetkých síl	Budem sa snažiť zo všetkých síl ti pomôcť.
尽量	pokiaľ možno; čo najviac	Príďte, prosím, čo najskôr.
近代	novovek; moderná doba	V modernej Číne sa udialo veľa zmien.
进步	pokrok; zlepšovať sa	Jeho čínština sa rýchlo zlepšuje.
进口	dovážať; dovozový	Toto auto je z dovozu.
精力	energia	Deti majú veľa energie.
精神	duch; nálada	Dnes je v dobrej forme.
经典	klasický	Toto je klasický film.
经商	podnikať	Jeho otec podniká v zahraničí.
经营	prevádzkovať; viesť	Vedie malý obchod.
酒吧	bar	Večer išli do baru.
救	zachrániť	Lekár mu zachránil život.
救护车	sanitka	Sanitka prišla rýchlo.
舅舅	strýko z matkinej strany	Môj strýko z matkinej strany býva v Nankingu.
居然	nečakane; dokonca	Nečakane zabudol na vlastné narodeniny.
桔子	mandarínka	Na stole je niekoľko mandarínok.
俱乐部	klub	Vstúpila do plaveckého klubu.
具备	mať; disponovať	Má manažérske skúsenosti.
具体	konkrétny	Povedzte to, prosím, trochu konkrétnejšie.
巨大	obrovský	Tento projekt si vyžaduje obrovskú investíciu.
据说	hovorí sa	Hovorí sa, že sa už vrátil do krajiny.
捐	darovať	Všetci sú ochotní darovať peniaze.
决赛	finále	Zajtra je futbalové finále.
决心	odhodlanie	Rozhodol sa dobre naučiť čínsky.
绝对	absolútne	Na túto vec sa absolútne nesmie zabudnúť.
角色	rola	Vo filme hrá dôležitú rolu.
军事	vojenský	Veľmi ho zaujíma vojenská história.
均匀	rovnomerný	Naneste, prosím, farbu rovnomerne.
卡车	nákladné auto	Pri vchode stojí nákladné auto.
开发	vyvíjať; rozvíjať	Firma vyvíja nový výrobok.
开放	otvoriť; byť otvorený	Park sa otvára každý deň o šiestej ráno.
开幕式	otvárací ceremoniál	Otvárací ceremoniál sa uskutoční zajtra večer.
开水	prevarená voda	Dajte mi, prosím, pohár prevarenej vody.
砍	sekať	Robotník seká konáre.
看不起	pohŕdať	Nepohŕdaj nikým.
看望	navštíviť	Cez víkend pôjdem navštíviť starých rodičov.
靠	oprieť sa	Oprel sa o stenu a oddychoval.
颗	počítadlo pre malé okrúhle veci	Na nočnej oblohe je jedna hviezda.
可见	je zrejmé	Je zrejmé, že táto metóda je účinná.
可靠	spoľahlivý	Je spoľahlivý priateľ.
可怕	strašný	Ten sen bol príliš strašný.
克	gram	Pridajte, prosím, dva gramy soli.
克服	prekonať	Musíme prekonať ťažkosti.
刻苦	usilovný	Študuje veľmi usilovne.
客观	objektívny	Analyzujte, prosím, problém objektívne.
课程	kurz	Tento kurz je veľmi užitočný.
空间	priestor	Táto izba má veľa priestoru.
控制	kontrolovať; ovládať	Vodič udržal rýchlosť auta pod kontrolou.
空闲	voľný čas	Máš zajtra popoludní voľný čas?
口味	chuť; preferencia	Jeho chuť je skôr jemná.
夸	chváliť	Učiteľ ho pochválil za veľký pokrok.
夸张	prehnaný	Jeho výraz je trochu prehnaný.
会计	účtovník	Pracuje vo firme ako účtovníčka.
宽	široký	Táto cesta je veľmi široká.
昆虫	hmyz	Deti pozorujú hmyz.
扩大	rozšíriť	Škola plánuje rozšíriť knižnicu.
辣椒	čili; paprika	Do jedla dali veľa čili papričiek.
拦	zastaviť; zadržať	Polícia zastavila auto.
烂	zhnitý	Toto jablko už zhnilo.
朗读	čítať nahlas	Prečítajte, prosím, text nahlas.
劳动	práca	Práca dáva človeku pocit naplnenia.
劳驾	prepáčte	Prepáčte, kde je stanica metra?
姥姥	babka z matkinej strany	Moja babka z matkinej strany veľmi dobre varí.
老百姓	obyčajní ľudia	Obyčajní ľudia sa zaujímajú o životné náklady.
老板	šéf	Šéf dnes nie je v kancelárii.
老婆	manželka	Kúpil manželke kvety.
老实	poctivý; úprimný	Je poctivý človek.
老鼠	myš; potkan	V kuchyni je myš.
乐观	optimistický	Je optimistická ohľadom budúcnosti.
雷	hrom	Včerajší hrom bol veľmi hlasný.
类型	typ; kategória	Do akého typu patrí tento druh filmu?
冷淡	chladný	Jeho postoj je trochu chladný.
厘米	centimeter	Toto pero má dĺžku pätnásť centimetrov.
梨	hruška	Kúpil som niekoľko hrušiek.
离婚	rozviesť sa	Minulý rok sa rozviedli.
理论	teória	Táto teória je veľmi zložitá.
理由	dôvod	Aký máš dôvod na meškanie?
利润	zisk	Zisk firmy sa tento rok zvýšil.
利息	úrok	Bankový úrok nie je vysoký.
利益	záujem; prospech	Musíme chrániť záujmy všetkých.
利用	využiť	Využíva víkend na štúdium čínštiny.
力量	sila	Jednota je sila.
立即	okamžite	Okamžite, prosím, odíďte odtiaľto.
立刻	okamžite	Keď počul správu, okamžite vyrazil.
联合	spojiť sa	Dve firmy spoločne vyvíjali výrobok.
连忙	rýchlo; ihneď	Keď počul zvoniť telefón, rýchlo ho zdvihol.
连续	nepretržite	Pracoval desať hodín nepretržite.
恋爱	chodiť spolu; milostný vzťah	Sú v milostnom vzťahu.
粮食	obilie; potraviny	Tohtoročná produkcia obilia sa zvýšila.
良好	dobrý	Má dobré študijné návyky.
亮	jasný	Svetlo v izbe je veľmi jasné.
了不起	úžasný	Dosiahla úžasné výsledky.
列车	vlak	Vlak čoskoro odchádza.
临时	dočasný	Toto je dočasné rozhodnutie.
灵活	pružný; flexibilný	Metódy učenia by mali byť flexibilné.
铃	zvonček	Zazvonil školský zvonček.
零件	súčiastka	Stroju chýba jedna súčiastka.
零食	občerstvenie; snacky	Deti rady jedia snacky.
领导	vedúci; vedenie	Vedúci je na porade.
领域	oblasť	Pracuje v oblasti vzdelávania.
流传	šíriť sa; tradovať sa	Tento príbeh sa traduje už dlho.
流泪	plakať	Keď počula tú správu, rozplakala sa.
浏览	prezerať	Najprv si prezriem webovú stránku.
龙	drak	V čínskej kultúre sú draky.
漏	zatekať; unikať	Strecha zateká.
录取	prijať na štúdium	Prijali ho na univerzitu.
录音	nahrávať	Začnite, prosím, nahrávať.
陆地	pevnina	Morská korytnačka vyliezla na pevninu.
陆续	postupne	Hostia postupne prichádzali.
轮流	striedať sa	Striedame sa v upratovaní triedy.
论文	diplomová práca; článok	Píše diplomovú prácu.
逻辑	logika	Jeho logika je veľmi jasná.
落后	zaostávať	Nesmieme zaostávať za ostatnými.
骂	nadávať; karhať	Nenadávajte, prosím, dieťaťu.
麦克风	mikrofón	Podajte mu, prosím, mikrofón.
馒头	parená žemľa	Na raňajky som zjedol jednu parenú žemľu.
满足	spĺňať; uspokojiť	Táto odpoveď nespĺňa požiadavky.
毛病	problém; chyba	Tento počítač má menší problém.
矛盾	rozpor; konflikt	Medzi nimi sú nejaké konflikty.
冒险	riskovať	Ísť tam sám je príliš riskantné.
贸易	obchod	Medzinárodný obchod sa rýchlo rozvíja.
媒体	médiá	Médiá o tejto veci informovali.
煤炭	uhlie	Táto oblasť produkuje uhlie.
眉毛	obočie	Má husté obočie.
美术	výtvarné umenie	Moja mladšia sestra má rada výtvarné umenie.
魅力	čaro	Toto mesto má veľké čaro.
梦想	sen	Jeho snom je stať sa lekárom.
密切	tesný; blízky	Udržiavame tesný kontakt.
秘密	tajomstvo	Toto je naše tajomstvo.
秘书	sekretár	Sekretárka zariadila čas stretnutia.
蜜蜂	včela	Medzi kvetmi je veľa včiel.
面对	čeliť	Mali by sme statočne čeliť ťažkostiam.
面积	plocha	Plocha tejto izby nie je veľká.
面临	čeliť	Firma čelí novým výzvam.
描写	opísať	Autor opísal vidiecky život.
苗条	štíhly	Má štíhlu postavu.
敏感	citlivý	Táto téma je pomerne citlivá.
名牌	známa značka	Kúpil si hodinky známej značky.
名片	vizitka	Dajte mi, prosím, vizitku.
名胜古迹	pamiatky a zaujímavosti	V Pekingu je veľa pamiatok a zaujímavostí.
明确	jasný; objasniť	Učiteľ jasne vysvetlil požiadavky.
明显	zjavný	Jeho pokrok je zjavný.
明星	hviezda; celebrita	Chce sa stať filmovou hviezdou.
命令	rozkaz	Vojaci musia poslúchať rozkazy.
命运	osud	Verí, že osud sa dá zmeniť.
摸	dotýkať sa	Nedotýkajte sa, prosím, tohto obrazu.
摩托车	motorka	Do práce jazdí na motorke.
模仿	napodobňovať	Deti rady napodobňujú reč dospelých.
模糊	rozmazaný	Táto fotografia je trochu rozmazaná.
模特	modelka; model	Je modelkou oblečenia.
陌生	neznámy	Toto mesto je mi veľmi neznáme.
某	istý; nejaký	Volal mi istý učiteľ.
木头	drevo	Tento stôl je vyrobený z dreva.
目标	cieľ	Mojím cieľom je zložiť skúšku.
目录	obsah; zoznam	Najprv si, prosím, pozrite obsah na začiatku knihy.
目前	momentálne	Momentálna situácia je pomerne stabilná.
哪怕	aj keby	Aj keď je veľmi zaneprázdnený, stále sa učí.
难怪	niet divu	Niet divu, že si dnes taký šťastný.
难免	ťažko sa vyhnúť	Pri prvom pokuse sa chybám ťažko vyhnúť.
脑袋	hlava	Trochu ho bolí hlava.
内部	vnútorný	Toto sú interné firemné materiály.
内科	interné oddelenie	Dnes ide na interné oddelenie.
嫩	jemný; mäkký	Tento kus mäsa je veľmi jemný.
能干	schopný	Je veľmi schopná osoba.
能源	energia	Solárna energia je druh čistej energie.
嗯	mhm	Mhm, rozumiem.
年代	obdobie; roky	Táto fotografia bola urobená v osemdesiatych rokoch.
年纪	vek	Nie je veľmi starý, ale má veľa skúseností.
念	čítať nahlas	Prečítajte, prosím, text raz nahlas.
宁可	radšej	Radšej pôjdem pešo, než by som čakal na autobus.
牛仔裤	džínsy	Má na sebe džínsy.
农村	vidiek	Vyrastala na vidieku.
农民	poľnohospodár	Poľnohospodári pracujú na poliach.
农业	poľnohospodárstvo	Poľnohospodárstvo je pre tento región veľmi dôležité.
浓	silný; hustý	Táto káva je príliš silná.
女士	dáma	Tá dáma čaká na autobus.
欧洲	Európa	Na budúci mesiac cestuje do Európy.
偶然	náhodou	Náhodou som stretol starého spolužiaka.
拍	fotiť	Pomôžte mi, prosím, odfotiť jednu fotku.
派	poslať	Firma ho poslala do Šanghaja na služobnú cestu.
盼望	tešiť sa na	Teším sa, že ťa čoskoro uvidím.
培训	školenie	Noví zamestnanci sa musia zúčastniť školenia.
培养	rozvíjať; pestovať	Škola kladie dôraz na rozvíjanie schopností študentov.
赔偿	nahradiť škodu	Firma súhlasila, že nahradí škodu.
佩服	obdivovať	Veľmi obdivujem jeho odvahu.
配合	spolupracovať	Spolupracujte, prosím, s učiteľovým usporiadaním.
盆	kvetináč; misa	Na balkóne je kvetináč s kvetmi.
碰	dotknúť sa	Pozor, nedotýkaj sa horúcej vody.
批	várka; séria	Táto várka tovaru dorazila dnes.
批准	schváliť	Manažér schválil tento plán.
披	prehodiť si	Má cez plecia prehodený kabát.
疲劳	únava	Pri dlhom pracovnom čase sa človek unaví.
匹	počítadlo pre kone	Na tráve je jeden kôň.
片	plátok	Dajte mi, prosím, plátok chleba.
片面	jednostranný	Tento názor je príliš jednostranný.
飘	vznášať sa	Snehové vločky sa vznášajú vo vzduchu.
拼音	pinyin	Vedľa čínskych znakov napíšte, prosím, pinyin.
频道	kanál	Prepnite, prosím, na spravodajský kanál.
凭	na základe; s	S lístkom môžete vojsť.
平均	priemerne	Priemerne každý minul desať jüanov.
平	rovný	Táto cesta je veľmi rovná.
平安	bezpečný	Prajem ti šťastnú cestu.
平常	zvyčajne	Zvyčajne málokedy mešká.
平等	rovný	Každý by mal dostať rovnaké zaobchádzanie.
平方	štvorcový	Táto izba má dvadsať štvorcových metrov.
平衡	rovnováha	Práca a život potrebujú rovnováhu.
平静	pokojný	Hladina jazera je veľmi pokojná.
评价	hodnotenie	Učiteľ dal veľmi vysoké hodnotenie.
破产	skrachovať	Tá firma minulý rok skrachovala.
破坏	poškodiť	Nepoškodzujte, prosím, verejný majetok.
迫切	naliehavý	Naliehavo potrebujeme viac lekárov.
期待	tešiť sa na	Veľmi sa teším na túto cestu.
期间	počas	Počas stretnutia si, prosím, vypnite telefón.
其余	zvyšný	Zvyšné otázky prediskutujeme zajtra.
奇迹	zázrak	Lekár povedal, že je to zázrak.
企业	podnik; firma	Tento podnik sa rýchlo rozvíja.
启发	inšpirácia; inšpirovať	Táto kniha mi dala veľa inšpirácie.
气氛	atmosféra	Atmosféra v triede je veľmi uvoľnená.
汽油	benzín	Auto potrebuje benzín.
签	podpísať	Podpíšte sa, prosím, tu.
谦虚	skromný	Je vynikajúci a zároveň veľmi skromný.
前途	perspektíva	Tento odbor má dobré perspektívy.
浅	plytký	Táto rieka je veľmi plytká.
欠	dlhovať	Stále mi dlhuje dvadsať jüanov.
枪	zbraň	Policajt drží v ruke zbraň.
墙	stena	Na stene visí obraz.
强调	zdôrazniť	Učiteľ zdôraznil otázky bezpečnosti.
强烈	silný	Má silný zmysel pre zodpovednosť.
抢	biť sa o; uchmatnúť	Nebi sa s ostatnými o miesta.
悄悄	potichu	Potichu vošla do izby.
瞧	pozrieť sa	Pozri, vonku sneží.
巧妙	dômyselný	Táto metóda je veľmi dômyselná.
切	krájať	Pokrájajte, prosím, ovocie na malé kúsky.
亲爱	milý; drahý	Milý priateľ, ďakujem ti.
亲切	láskavý	Učiteľ hovorí veľmi láskavo.
亲自	osobne	Manažér osobne prijal hostí.
勤奋	usilovný	Usilovní ľudia majú väčšiu šancu uspieť.
清淡	ľahký; jemný	Mám rád ľahké jedlá.
轻视	podceňovať	Nepodceňuj tento malý problém.
轻易	ľahko	Len tak ľahko sa nevzdá.
青	modrozelený	Toto oblečenie je modrozelené.
青春	mladosť	Mladosť je vzácna.
青少年	tínedžer; dospievajúci	Tínedžeri potrebujú dosť spánku.
情景	scéna	Scéna vo filme je veľmi dojímavá.
情绪	emócie	Jeho emócie nie sú veľmi stabilné.
请求	žiadosť; požiadať	Podal jednu žiadosť.
庆祝	oslavovať	Oslávili sme jeho narodeniny.
球迷	fanúšik	Na zápas prišlo veľa fanúšikov.
趋势	trend	Tento trend je čoraz zjavnejší.
取消	zrušiť	Podujatie bolo zrušené pre dážď.
娶	oženiť sa	Plánuje sa s ňou oženiť na budúci rok.
去世	zomrieť	Jeho starý otec zomrel minulý rok.
圈	krúžok; zakrúžkovať	Zakrúžkujte, prosím, správnu odpoveď.
全面	komplexný	Musíme komplexne pochopiť situáciu.
权利	právo	Každý má právo na vzdelanie.
权力	moc	Moc by mala podliehať dohľadu.
劝	radiť	Priateľ mi poradil, aby som si skôr oddýchol.
缺乏	chýbať; nedostatok	V tejto oblasti chýba čistá voda.
确定	určiť; istý	Ešte neviem určiť čas.
确认	potvrdiť	Potvrďte, prosím, svoju adresu.
群	skupina	Skupina detí sa hrá na ihrisku.
燃烧	horieť	Drevo horí.
绕	obísť; ísť okolo	Prešli sme raz okolo jazera.
热爱	milovať	Miluje svoju prácu.
热烈	vrúcny	Všetci hostí vrúcne privítali.
热心	ochotný; srdečný	Susedia sú všetci veľmi ochotní.
人才	talent; nadaný človek	Firma potrebuje viac talentovaných ľudí.
人口	obyvateľstvo	Toto mesto má veľa obyvateľov.
人类	ľudstvo	Ľudstvo musí chrániť Zem.
人民币	renminbi; čínsky jüan	Vymenil som si trochu čínskych jüanov.
人生	život	V živote je veľa možností.
人事	ľudské zdroje	Pracuje na oddelení ľudských zdrojov.
人物	postava	Postavy v románe pôsobia veľmi skutočne.
人员	personál	Personál už dorazil celý.
忍不住	nevedieť sa zdržať	Keď počul vtip, nevedel sa zdržať smiechu.
日常	každodenný	Toto je moja každodenná práca.
日程	program; harmonogram	Dnešný program je veľmi nabitý.
日历	kalendár	Na stene visí kalendár.
日期	dátum	Napíšte, prosím, dátum jasne.
日用品	denné potreby	Supermarket predáva veľa denných potrieb.
日子	dni; obdobie	V týchto dňoch je veľmi zaneprázdnený.
如何	ako	Ako by sme mali vyriešiť tento problém?
如今	dnes; v súčasnosti	Dnes je doprava oveľa pohodlnejšia.
软	mäkký	Táto posteľ je veľmi mäkká.
软件	softvér	Tento softvér sa ľahko používa.
弱	slabý	Jeho telo je pomerne slabé.
洒	rozliať	Nechtiac rozlial vodu.
嗓子	hrdlo	Trochu ma bolí hrdlo.
色彩	farby	Tento obraz má bohaté farby.
杀	zabiť	V tomto filme nie sú scény vraždy.
沙漠	púšť	Voda v púšti je veľmi vzácna.
沙滩	pláž	Deti sa hrajú na pláži.
傻	hlúpy	Nerob hlúposti.
晒	sušiť na slnku	Oblečenie sa suší na balkóne.
删除	vymazať	Vymažte, prosím, tento e-mail.
闪电	blesk	V noci sa objavil blesk.
善良	láskavý	Je láskavý človek.
善于	byť dobrý v	Je dobrý v riešení problémov.
扇子	vejár	V lete často používam vejár.
伤害	ublížiť	Neubližuj citom iných ľudí.
商品	tovar	Tento obchod má veľa tovaru.
商务	obchodný	Zajtra sa zúčastní obchodného stretnutia.
商业	obchod	V tejto oblasti je obchod veľmi rozvinutý.
上当	nechať sa oklamať	Takmer sa nechal oklamať.
蛇	had	V tráve je had.
舍不得	ťažko sa lúčiť	Ťažko sa mi odtiaľto odchádza.
射击	streľba	Trénuje streľbu.
摄影	fotografia	Veľmi sa zaujíma o fotografiu.
设备	zariadenie	Vybavenie v laboratóriu je veľmi pokročilé.
设计	dizajn; navrhnúť	Tento dizajn je veľmi tvorivý.
设施	zariadenia	Športové zariadenia školy sú dobré.
伸	natiahnuť	Vystrite, prosím, ruku.
深刻	hlboký	Táto skúsenosť vo mne zanechala hlboký dojem.
身材	postava	Má zdravú postavu.
身份	totožnosť	Predložte, prosím, doklad totožnosti.
神话	mýtus	Deti rady počúvajú mýty.
神秘	tajomný	Toto staré mesto je veľmi tajomné.
升	liter	Cena paliva za liter trochu stúpla.
声调	tón	Čínština má štyri základné tóny.
生产	vyrábať	Táto továreň vyrába mobilné telefóny.
生动	živý; názorný	Učiteľ vysvetľuje veľmi názorne.
生长	rásť	Tento druh rastliny rastie rýchlo.
绳子	lano	Priviažte, prosím, škatuľu lanom.
省略	vynechať	Tu možno vynechať jeden znak.
胜利	víťazstvo	Nakoniec dosiahli víťazstvo.
失眠	nespavosť	V poslednom čase často trpí nespavosťou.
失去	stratiť	Nestrať dôveru.
失业	stratiť prácu	Keď stratil prácu, začal sa učiť nové zručnosti.
湿润	vlhký	Vzduch po daždi je veľmi vlhký.
狮子	lev	V zoo sú dva levy.
诗	báseň	Napísal báseň.
实话	pravda	Povedz, prosím, pravdu.
实践	prax	Teóriu treba overiť praxou.
实习	stážovať	Počas letných prázdnin bude stážovať v nemocnici.
实现	uskutočniť	Nakoniec si splnil sen.
实验	experiment	Študenti robia experiment.
实用	praktický	Tento nástroj je veľmi praktický.
时差	časový rozdiel	Ešte si nezvykol na časový rozdiel.
时代	éra	Žijeme v informačnej ére.
时刻	okamih	Zapamätajte si, prosím, tento dôležitý okamih.
时髦	módny	Toto oblečenie je veľmi módne.
时期	obdobie	Obdobie univerzity malo naňho veľký vplyv.
时尚	móda	Veľmi sa zaujíma o módu.
石头	kameň	Pri ceste je kameň.
食物	jedlo	Dajte, prosím, jedlo do chladničky.
使劲儿	použiť silu	Na otvorenie tejto fľaše treba použiť silu.
始终	od začiatku do konca; stále	Stále veril, že môže uspieť.
事实	fakt	Fakty dokazujú, že mal pravdu.
事物	vec	Deti sú veľmi zvedavé na nové veci.
事先	vopred	Povedzte mi, prosím, čas vopred.
似的	akoby	Zdal sa taký unavený, akoby nechcel povedať ani slovo.
士兵	vojak	Vojaci trénujú.
市场	trh	Tento trh je veľmi živý.
试卷	test; písomka	Učiteľ opravuje písomky.
收获	zisk; úroda	Z tejto cesty som veľa získal.
收据	potvrdenka	Po zaplatení si, prosím, nechajte potvrdenku.
手工	ručná práca	Tento darček je vyrobený ručne.
手术	operácia	Lekár ho zajtra bude operovať.
手套	rukavice	V zime si pri odchode von treba dať rukavice.
手续	formality; postupy	Na vybavenie formalít je potrebný občiansky preukaz.
手指	prst	Má zranený prst.
首	počítadlo pre piesne	Zaspievala jednu pieseň.
受伤	zraniť sa	Počas zápasu sa zranil.
寿命	životnosť	Tento druh stroja má dlhú životnosť.
书架	polica na knihy	Polica je plná kníh.
梳子	hrebeň	Češe si vlasy hrebeňom.
舒适	pohodlný	Táto izba je veľmi pohodlná.
蔬菜	zelenina	Jesť viac zeleniny je dobré pre zdravie.
输入	zadať	Zadajte, prosím, heslo do počítača.
熟练	zručný	Dokáže zručne používať počítač.
属于	patriť	Táto kniha patrí knižnici.
数	počítať	Spočítaj, prosím, koľko je tam ľudí.
鼠标	myš	Moja počítačová myš je pokazená.
数据	údaje	Tieto údaje sú veľmi dôležité.
数码	digitálny	Kúpil si digitálny fotoaparát.
摔倒	spadnúť	Spadla na ceste.
甩	striasť	Z rúk striasol vodu.
双方	obe strany	Obe strany súhlasili s týmto plánom.
税	daň	Pri nakupovaní treba zaplatiť daň.
说不定	možno	Možno zajtra bude snežiť.
说服	presvedčiť	Nakoniec presvedčil rodičov.
丝绸	hodváb	Tento šál je z hodvábu.
丝毫	ani trochu	Ani trochu nezmenil názor.
思考	premýšľať	Premýšľajte, prosím, vážne o tomto probléme.
思想	myšlienky	Jeho myslenie je veľmi otvorené.
撕	trhať	Netrhajte, prosím, tento papier.
私人	súkromný	Toto je môj súkromný priestor.
似乎	zdá sa	Zdá sa, že nie je veľmi šťastný.
搜索	hľadať	Hľadal som materiály online.
宿舍	internát	Študenti bývajú na školskom internáte.
随身	mať pri sebe	Majte, prosím, pas pri sebe.
随时	kedykoľvek	Môžeš mi kedykoľvek zavolať.
随手	mimochodom; pri odchode	Pri odchode, prosím, zavri za sebou dvere.
碎	rozbiť sa	Pohár spadol na zem a rozbil sa.
损失	strata	Táto nehoda spôsobila veľkú stratu.
缩短	skrátiť	Nová trasa skrátila cestu.
所	počítadlo pre školy a budovy	Táto škola je veľmi známa.
锁	zamknúť	Pred odchodom, prosím, zamknite dvere.
台阶	schody	Starší človek pomaly vystúpil po schodoch.
太极拳	tai-či	V parku niektorí ľudia cvičia tai-či.
太太	pani; manželka	Pani Wangová varí.
谈判	rokovanie	Obe strany rokujú.
坦率	úprimný	Svoje myšlienky povedal úprimne.
烫	horúci	Tento čaj je veľmi horúci.
桃	broskyňa	Na strome vyrástlo veľa broskýň.
淘气	nezbedný	Toto dieťa je trochu nezbedné.
逃	ujsť	Šteniatko ušlo z dvora.
逃避	vyhýbať sa	Nevyhýbaj sa zodpovednosti.
讨价还价	zjednávať	Pri nakupovaní rád zjednáva.
套	súprava	Kúpil si novú súpravu oblečenia.
特色	osobitosť	Táto reštaurácia má miestne osobitosti.
特殊	špeciálny	Dnes je špeciálny deň.
特征	znak	Tento druh zvieraťa má zjavné znaky.
疼爱	mať veľmi rád	Starí rodičia majú dieťa veľmi radi.
提倡	podporovať	Škola podporuje šetrenie vodou.
提纲	osnova	Pred písaním článku si najprv urob osnovu.
提问	klásť otázky	Študenti môžu kedykoľvek klásť otázky.
题目	otázka; téma	Táto otázka nie je veľmi ťažká.
体会	pochopenie; skúsenosť	Cestovaním som získal nové pochopenie.
体贴	ohľaduplný	Je veľmi ohľaduplný k rodine.
体现	odrážať	Táto vec odráža tímového ducha.
体验	zažiť	Chcem zažiť miestny život.
天空	obloha	Dnes je obloha veľmi modrá.
天真	nevinný; naivný	Myšlienka dieťaťa je veľmi nevinná.
调皮	nezbedný	Tá mačka je veľmi nezbedná.
调整	upraviť	Musíme upraviť plán.
挑战	výzva	Je to veľká výzva.
通常	zvyčajne	Zvyčajne vstáva o siedmej.
统一	zjednotiť	Názory všetkých treba zjednotiť.
痛苦	bolesť; utrpenie	Strata priateľa mu spôsobila veľký smútok.
痛快	výborne; naplno	Dnes sme sa výborne zabavili.
偷	kradnúť	Nekradni veci iných ľudí.
投入	sústredene; investovať	Pracuje veľmi sústredene.
投资	investovať	Investovali do nového projektu.
透明	priehľadný	Tento pohár je priehľadný.
突出	výrazný	Jeho prednosti sú veľmi výrazné.
土地	pôda	Tento kus pôdy je veľmi úrodný.
土豆	zemiak	Kúpil som niekoľko zemiakov.
兔子	králik	Dieťa chová králika.
吐	vracať	Nie je mu dobre a chce vracať.
团	skupina	Pridali sme sa k turistickej skupine.
推辞	odmietnuť	Odmietol pozvanie priateľa.
推广	propagovať	Firma propaguje nový výrobok.
推荐	odporučiť	Učiteľ odporučil túto knihu.
退	ustúpiť	Ustúpte, prosím, o krok dozadu.
退步	zhoršiť sa	Ak nebudeš cvičiť, úroveň sa zhorší.
退休	odísť do dôchodku	Na budúci rok odíde do dôchodku.
歪	nakrivo	Tento obraz visí nakrivo.
外公	dedko z matkinej strany	Môj dedko z matkinej strany má tento rok osemdesiat rokov.
外交	diplomacia	Študuje medzinárodné vzťahy a diplomaciu.
完美	dokonalý	Tento plán nie je dokonalý.
完善	zlepšiť	Musíme zlepšiť proces služieb.
完整	úplný	Dajte mi, prosím, úplnú správu.
玩具	hračka	Dieťa dalo hračky do škatule.
万一	pre prípad	Ak bude pršať, pôjdeme inokedy.
王子	princ	Princ v príbehu je veľmi odvážny.
往返	spiatočná cesta	Tento lístok umožňuje spiatočnú cestu v ten istý deň.
网络	internet; sieť	Tu je internetové pripojenie veľmi stabilné.
危害	škodiť	Fajčenie môže škodiť zdraviu.
威胁	ohrozovať	Znečistenie ohrozuje rieku.
微笑	úsmev	Usmiala sa na mňa.
唯一	jediný	Toto je jediný spôsob.
围巾	šál	V zime nosí šál.
围绕	točiť sa okolo	Diskusia sa točila okolo tejto otázky.
维修	oprava	Výťah je v oprave.
违反	porušiť	Takýto postup porušuje pravidlá.
伟大	veľký	Toto je veľký objav.
委屈	cítiť sa ukrivdene	Cítila sa veľmi ukrivdene.
尾巴	chvost	Šteniatko vrtelo chvostom.
位于	nachádzať sa	Škola sa nachádza v centre mesta.
位置	miesto	Toto miesto je veľmi tiché.
未必	nie nevyhnutne	To, čo povedal, nemusí byť pravda.
未来	budúcnosť	Musíme sa pripraviť na budúcnosť.
胃	žalúdok	Je mi trochu zle od žalúdka.
胃口	chuť do jedla	Dnes má dobrú chuť do jedla.
温暖	teplý	Jarné slnko je veľmi teplé.
温柔	jemný	Hovorí veľmi jemne.
文件	dokument	Pošlite mi, prosím, dokument.
文具	písacie potreby	V školskej taške je veľa písacích potrieb.
文明	civilizovaný	Stáť v rade je civilizované správanie.
文学	literatúra	Má rada čínsku literatúru.
文字	písmo; znaky	Tieto písané znaky sa ťažko čítajú.
闻	cítiť; zacítiť	Zacítil som vôňu kvetov.
吻	pobozkať	Matka pobozkala dieťa na tvár.
稳定	stabilný	Ceny zostávajú stabilné.
问候	pozdraviť	Pozdrav odo mňa svoju rodinu.
卧室	spálňa	V spálni je veľká posteľ.
握手	podať si ruky	Pri stretnutí si podali ruky.
屋子	izba	V izbe je teplo.
无奈	bezmocne	Bezmocne pokrútil hlavou.
无数	nespočetný	Na nočnej oblohe je nespočetné množstvo hviezd.
无所谓	nezáleží na tom	Nezáleží na tom, čo chceš jesť.
武术	bojové umenia	Bojové umenia študuje od detstva.
勿	ne-; nesmie sa	Tu, prosím, nefajčite.
物理	fyzika	Hodina fyziky je veľmi zaujímavá.
物质	látka	Voda je dôležitá látka.
雾	hmla	Ráno bola hustá hmla.
吸取	vziať si ponaučenie	Mali by sme si z tejto lekcie vziať ponaučenie.
吸收	absorbovať	Rastliny absorbujú vodu.
戏剧	divadlo; dráma	Rád sleduje tradičné divadlo.
系	katedra; odbor	Študuje na katedre čínštiny.
系统	systém	Tento systém beží stabilne.
