hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
5155:一系列	一系列	一系列	seria; szereg	Firma wprowadziła na rynek serię nowych produktów.	reeks; serie	Het bedrijf lanceerde een reeks nieuwe producten.	en serie; en rad	Företaget lanserade en serie nya produkter.	en rekke; serie	Selskapet lanserte en rekke nye produkter.	en række; serie	Virksomheden lancerede en række nye produkter.	sarja; joukko	Yritys toi markkinoille sarjan uusia tuotteita.
5157:一阵	一阵	一阵	podmuch; krótka chwila	Chłodny podmuch wiatru wpadł przez okno.	vlaag; korte tijd	Een koele windvlaag kwam door het raam naar binnen.	vindpust; en stund	En sval vindpust blåste in genom fönstret.	vindkast; en stund	Et kjølig vindkast blåste inn fra vinduet.	vindstød; en stund	Et køligt vindstød blæste ind gennem vinduet.	puuska; hetki	Viileä tuulenpuuska puhalsi sisään ikkunasta.
5158:遗址	遗址	遗址	stanowisko archeologiczne; ruiny	To stanowisko dawnego miasta przyciągnęło wielu turystów.	historische vindplaats; ruïne	Deze oude stadsruïne heeft veel toeristen aangetrokken.	fornlämning; ruiner	Den här fornlämningen efter en gammal stad har lockat många turister.	fornminne; ruiner	Dette gamle byområdet har tiltrukket mange turister.	fortidsminde; ruiner	Dette gamle byområde har tiltrukket mange turister.	muinaisjäännös; rauniot	Tämä muinaisen kaupungin raunioalue on houkutellut paljon matkailijoita.
5163:益处	益处	益处	korzyść; pożytek	Codzienne ćwiczenia mają wiele korzyści dla zdrowia.	voordeel; nut	Dagelijkse beweging heeft veel voordelen voor de gezondheid.	nytta; fördel	Daglig motion har många fördelar för hälsan.	nytte; fordel	Daglig trening har mange fordeler for helsen.	gavn; fordel	Daglig motion har mange fordele for helbredet.	hyöty; etu	Päivittäisestä liikunnasta on paljon hyötyä terveydelle.
5164:一帆风顺	一帆风顺	一帆风顺	iść gładko; powodzenie bez przeszkód	Życzę ci, żeby w nowej pracy wszystko szło gładko.	voorspoedig verlopen	Ik wens je dat alles voorspoedig verloopt in je nieuwe baan.	gå smidigt; gå utan hinder	Jag önskar dig att allt går smidigt på ditt nya jobb.	gå knirkefritt; lykkes uten hindringer	Jeg ønsker deg at alt går knirkefritt i den nye jobben.	gå glat; lykkes uden problemer	Jeg ønsker dig, at alt går glat i dit nye job.	sujua mutkattomasti	Toivon, että kaikki sujuu mutkattomasti uudessa työssäsi.
5165:一口气	一口气	一口气	jednym tchem; bez przerwy	Wbiegł na szczyt góry bez przerwy.	in één adem; zonder te stoppen	Hij rende zonder te stoppen naar de top van de berg.	i ett sträck; utan paus	Han sprang upp till toppen av berget i ett sträck.	i ett strekk; uten pause	Han løp til toppen av fjellet i ett strekk.	i ét stræk; uden pause	Han løb op til toppen af bjerget i ét stræk.	yhdellä kertaa; pysähtymättä	Hän juoksi vuoren huipulle pysähtymättä.
5167:一模一样	一模一样	一模一样	dokładnie taki sam	Te dwa zdjęcia wyglądają dokładnie tak samo.	precies hetzelfde	Deze twee foto's zien er precies hetzelfde uit.	exakt likadan	De här två fotona ser exakt likadana ut.	helt lik	Disse to bildene ser helt like ut.	nøjagtig ens	Disse to billeder ser nøjagtig ens ud.	täsmälleen samanlainen	Nämä kaksi valokuvaa näyttävät täsmälleen samanlaisilta.
5168:艺人	艺人	艺人	artysta sceniczny; wykonawca	Ten artysta sceniczny jest bardzo pewny siebie na scenie.	artiest; uitvoerend kunstenaar	Deze artiest is erg zelfverzekerd op het podium.	artist; scenartist	Den här artisten är mycket självsäker på scenen.	artist; underholder	Denne artisten er svært selvsikker på scenen.	kunstner; entertainer	Denne kunstner er meget selvsikker på scenen.	esiintyvä taiteilija; artisti	Tämä artisti on lavalla hyvin itsevarma.
5169:一身	一身	一身	cały strój; od stóp do głów	Był ubrany cały na czarno.	helemaal; van top tot teen	Hij was helemaal in het zwart gekleed.	helt; från topp till tå	Han var helt klädd i svart.	helt; fra topp til tå	Han var kledd helt i svart.	helt; fra top til tå	Han var helt klædt i sort.	kokonaan; päästä varpaisiin	Hän oli pukeutunut kokonaan mustaan.
5170:一时	一时	一时	przez chwilę; chwilowo	Przez chwilę nie mogłem sobie przypomnieć jego imienia.	even; tijdelijk	Ik kon me zijn naam even niet herinneren.	för ett ögonblick; tillfälligt	Jag kunde för ett ögonblick inte komma ihåg hans namn.	en stund; midlertidig	Jeg kunne ikke huske navnet hans en stund.	et øjeblik; midlertidigt	Jeg kunne et øjeblik ikke huske hans navn.	hetkeksi; tilapäisesti	En hetkeen muistanut hänen nimeään.
5171:一同	一同	一同	razem; wspólnie	Ukończyliśmy ten projekt wspólnie.	samen	We hebben dit project samen afgerond.	tillsammans	Vi slutförde det här projektet tillsammans.	sammen	Vi fullførte dette prosjektet sammen.	sammen	Vi gennemførte dette projekt sammen.	yhdessä	Saimme tämän projektin valmiiksi yhdessä.
5172:易于	易于	易于	łatwy do	To oprogramowanie jest łatwe w obsłudze.	gemakkelijk te	Deze software is gemakkelijk te bedienen.	lätt att	Den här programvaran är lätt att använda.	lett å	Denne programvaren er lett å bruke.	let at	Denne software er let at betjene.	helppo	Tätä ohjelmistoa on helppo käyttää.
5173:抑制	抑制	抑制	hamować; tłumić	Ten lek może tłumić ból.	onderdrukken; remmen	Dit medicijn kan pijn onderdrukken.	hämma; dämpa	Det här läkemedlet kan dämpa smärta.	dempe; hemme	Denne medisinen kan dempe smerte.	dæmpe; hæmme	Denne medicin kan dæmpe smerte.	hillitä; tukahduttaa	Tämä lääke voi hillitä kipua.
5174:因	因	因	z powodu; ze względu na	Spotkanie przełożono z powodu ulewnego deszczu.	wegens; door	De vergadering werd uitgesteld wegens de hevige regen.	på grund av	Mötet sköts upp på grund av det kraftiga regnet.	på grunn av	Møtet ble utsatt på grunn av det kraftige regnet.	på grund af	Mødet blev udsat på grund af den kraftige regn.	vuoksi	Kokous siirrettiin kovan sateen vuoksi.
5175:音节	音节	音节	sylaba	To słowo ma trzy sylaby.	lettergreep	Dit woord heeft drie lettergrepen.	stavelse	Det här ordet har tre stavelser.	stavelse	Dette ordet har tre stavelser.	stavelse	Dette ord har tre stavelser.	tavu	Tässä sanassa on kolme tavua.
5177:银牌	银牌	银牌	srebrny medal	Zdobyła srebrny medal w zawodach.	zilveren medaille	Zij won een zilveren medaille in de wedstrijd.	silvermedalj	Hon vann en silvermedalj i tävlingen.	sølvmedalje	Hun vant en sølvmedalje i konkurransen.	sølvmedalje	Hun vandt en sølvmedalje i konkurrencen.	hopeamitali	Hän voitti kilpailussa hopeamitalin.
5178:引	引	引	cytować; przytaczać	Nauczyciel przytoczył stary wiersz, żeby wyjaśnić tę kwestię.	citeren; aanhalen	De leraar citeerde een oud gedicht om het punt uit te leggen.	citera; hänvisa till	Läraren citerade en gammal dikt för att förklara poängen.	sitere; vise til	Læreren siterte et gammelt dikt for å forklare poenget.	citere; henvise til	Læreren citerede et gammelt digt for at forklare pointen.	lainata; siteerata	Opettaja lainasi vanhaa runoa selittääkseen asian.
5179:隐藏	隐藏	隐藏	ukryć	Plik został ukryty w folderze systemowym.	verbergen	Het bestand was verborgen in de systeemmap.	dölja	Filen var dold i systemmappen.	skjule	Filen var skjult i systemmappen.	skjule	Filen var skjult i systemmappen.	piilottaa	Tiedosto oli piilotettu järjestelmäkansioon.
5181:引发	引发	引发	wywołać; spowodować	Ta wiadomość wywołała gorącą dyskusję.	veroorzaken; ontketenen	Dit nieuws ontketende een felle discussie.	utlösa; orsaka	Den här nyheten utlöste en livlig diskussion.	utløse; forårsake	Denne nyheten utløste en heftig diskusjon.	udløse; forårsage	Denne nyhed udløste en livlig diskussion.	aiheuttaa; laukaista	Tämä uutinen aiheutti kiivaan keskustelun.
5182:引入	引入	引入	wprowadzić	Szkoła planuje wprowadzić nową metodę nauczania.	invoeren; introduceren	De school is van plan een nieuwe lesmethode in te voeren.	införa; introducera	Skolan planerar att införa en ny undervisningsmetod.	innføre; introdusere	Skolen planlegger å innføre en ny undervisningsmetode.	indføre; introducere	Skolen planlægger at indføre en ny undervisningsmetode.	ottaa käyttöön; tuoda	Koulu aikoo ottaa käyttöön uuden opetusmenetelmän.
5184:饮用水	饮用水	饮用水	woda pitna	Tutejsza woda pitna przeszła rygorystyczne badania.	drinkwater	Het drinkwater hier heeft strenge tests doorstaan.	dricksvatten	Dricksvattnet här har genomgått stränga tester.	drikkevann	Drikkevannet her har bestått strenge tester.	drikkevand	Drikkevandet her har bestået strenge tests.	juomavesi	Täkäläinen juomavesi on läpäissyt tiukat testit.
5185:印	印	印	drukować; nadrukować	Proszę nadrukować tutaj logo firmy.	afdrukken; drukken	Druk hier alstublieft het logo van het bedrijf af.	trycka	Tryck företagets logotyp här.	trykke; printe	Vennligst trykk firmaets logo her.	trykke; printe	Tryk venligst virksomhedens logo her.	painaa; tulostaa	Painakaa yrityksen logo tähän.
5192:用餐	用餐	用餐	spożywać posiłek	Goście spożywają posiłek w restauracji.	eten; dineren	De gasten eten in het restaurant.	äta; inta måltid	Gästerna äter på restaurangen.	spise; innta måltid	Gjestene spiser i restauranten.	spise; indtage et måltid	Gæsterne spiser i restauranten.	ruokailla	Vieraat ruokailevat ravintolassa.
5193:用处	用处	用处	zastosowanie; pożytek	Ten mały nóż ma wiele zastosowań.	nut; toepassing	Dit kleine mes heeft veel toepassingen.	nytta; användning	Den här lilla kniven har många användningsområden.	nytte; bruk	Denne lille kniven har mange bruksområder.	nytte; anvendelse	Denne lille kniv har mange anvendelser.	käyttö; hyöty	Tällä pienellä veitsellä on monta käyttötarkoitusta.
5195:用人	用人	用人	zatrudnianie ludzi; dobór kadr	Ta firma jest bardzo ostrożna przy zatrudnianiu ludzi.	personeel aannemen; personeelskeuze	Dit bedrijf is erg zorgvuldig bij het aannemen van personeel.	anställa folk; bemanning	Det här företaget är mycket noggrant när det anställer folk.	ansette folk; bemanning	Dette selskapet er svært nøye når det ansetter folk.	ansætte folk; bemanding	Dette firma er meget omhyggeligt, når det ansætter folk.	henkilöstön palkkaaminen	Tämä yritys on hyvin tarkka henkilöstöä palkatessaan.
5196:用心	用心	用心	wkładać serce; staranność	Widać, że w ten prezent włożono dużo serca.	zorg besteden; aandachtig	Je kunt zien dat er veel zorg aan dit cadeau is besteed.	lägga omsorg på	Man märker att mycket omsorg har lagts på den här gåvan.	legge omtanke i	Man kan se at det er lagt mye omtanke i denne gaven.	lægge omtanke i	Man kan se, at der er lagt meget omtanke i denne gave.	tehdä huolella	Tästä lahjasta huomaa, että se on tehty suurella huolella.
5197:优化	优化	优化	optymalizować	Inżynier optymalizuje szybkość systemu.	optimaliseren	De ingenieur optimaliseert de snelheid van het systeem.	optimera	Ingenjören optimerar systemets hastighet.	optimalisere	Ingeniøren optimaliserer systemhastigheten.	optimere	Ingeniøren optimerer systemets hastighed.	optimoida	Insinööri optimoi järjestelmän nopeutta.
5200:由来	由来	由来	pochodzenie; geneza	Pochodzenie tego zwyczaju jest bardzo ciekawe.	oorsprong; herkomst	De oorsprong van deze gewoonte is erg interessant.	ursprung; bakgrund	Ursprunget till den här seden är mycket intressant.	opprinnelse; bakgrunn	Opprinnelsen til denne skikken er svært interessant.	oprindelse; baggrund	Oprindelsen til denne skik er meget interessant.	alkuperä; tausta	Tämän tavan alkuperä on hyvin kiinnostava.
5201:游人	游人	游人	zwiedzający; turyści	Wiosną w parku jest szczególnie wielu zwiedzających.	bezoekers; toeristen	In de lente zijn er bijzonder veel bezoekers in het park.	besökare; turister	Det är särskilt många besökare i parken på våren.	besøkende; turister	Det er spesielt mange besøkende i parken om våren.	besøgende; turister	Der er særligt mange besøgende i parken om foråret.	kävijät; matkailijat	Keväällä puistossa on erityisen paljon kävijöitä.
5203:有机	有机	有机	ekologiczny; organiczny	To gospodarstwo sprzedaje tylko ekologiczne warzywa.	biologisch	Deze boerderij verkoopt alleen biologische groenten.	ekologisk	Den här gården säljer bara ekologiska grönsaker.	økologisk	Denne gården selger bare økologiske grønnsaker.	økologisk	Denne gård sælger kun økologiske grøntsager.	luomu; orgaaninen	Tämä maatila myy vain luomuvihanneksia.
5204:有劲	有劲	有劲	ciekawy; pełen energii	Ten film robi się coraz ciekawszy, im dłużej się go ogląda.	boeiend; krachtig	Deze film wordt steeds boeiender naarmate je hem langer kijkt.	spännande; kraftfull	Den här filmen blir mer spännande ju längre man ser den.	interessant; energisk	Denne filmen blir mer interessant jo mer man ser på den.	interessant; energisk	Denne film bliver mere interessant, jo mere man ser den.	mielenkiintoinen; energinen	Tämä elokuva käy sitä mielenkiintoisemmaksi, mitä pidempään sitä katsoo.
5205:有序	有序	有序	uporządkowany	Publiczność weszła na miejsce w uporządkowany sposób.	ordelijk	Het publiek ging ordelijk de zaal binnen.	ordnad; systematisk	Publiken gick in i lokalen på ett ordnat sätt.	ordnet	Publikum gikk inn i lokalet på en ordnet måte.	ordnet; systematisk	Publikum gik ordnet ind i lokalet.	järjestelmällinen; hyvässä järjestyksessä	Yleisö meni saliin hyvässä järjestyksessä.
5206:于	于	于	w; o; przy	Spotkanie zaczyna się o dziewiątej rano.	om; in; bij	De vergadering begint om negen uur 's ochtends.	vid; på	Mötet börjar klockan nio på morgonen.	klokken; ved	Møtet begynner klokken ni om morgenen.	klokken; ved	Mødet begynder klokken ni om morgenen.	kello; -ssa	Kokous alkaa aamulla kello yhdeksän.
5207:余额	余额	余额	saldo	Najpierw sprawdź saldo karty bankowej.	saldo	Controleer eerst het saldo op de bankpas.	saldo	Kontrollera först saldot på bankkortet.	saldo	Sjekk saldoen på bankkortet først.	saldo	Tjek først saldoen på bankkortet.	saldo	Tarkista ensin pankkikortin saldo.
5210:预定	预定	预定	rezerwować	Już zarezerwowałem miejsca na jutrzejszy wieczór.	reserveren	Ik heb al plaatsen gereserveerd voor morgenavond.	reservera; boka	Jag har redan bokat platser till i morgon kväll.	reservere; bestille	Jeg har allerede reservert plasser til i morgen kveld.	reservere; bestille	Jeg har allerede reserveret pladser til i morgen aften.	varata	Olen jo varannut paikat huomisillaksi.
5213:浴室	浴室	浴室	łazienka	Podłoga w łazience jest trochę śliska.	badkamer	De badkamervloer is een beetje glad.	badrum	Badrumsgolvet är lite halt.	bad; baderom	Baderomsgulvet er litt glatt.	badeværelse	Gulvet i badeværelset er lidt glat.	kylpyhuone	Kylpyhuoneen lattia on hieman liukas.
5215:原本	原本	原本	pierwotnie; początkowo	Pierwotnie planowałem pojechać do Pekinu w weekend.	oorspronkelijk; eigenlijk	Ik was oorspronkelijk van plan in het weekend naar Beijing te gaan.	ursprungligen; egentligen	Jag hade ursprungligen planerat att åka till Peking i helgen.	opprinnelig; egentlig	Jeg hadde opprinnelig planlagt å dra til Beijing i helgen.	oprindeligt; egentlig	Jeg havde oprindeligt planlagt at tage til Beijing i weekenden.	alun perin	Alun perin suunnittelin meneväni Pekingiin viikonloppuna.
5216:原材料	原材料	原材料	surowce	Fabryka potrzebuje stabilnych dostaw surowców.	grondstoffen	De fabriek heeft een stabiele aanvoer van grondstoffen nodig.	råvaror	Fabriken behöver en stabil försörjning av råvaror.	råvarer	Fabrikken trenger en stabil tilgang på råvarer.	råvarer	Fabrikken har brug for en stabil forsyning af råvarer.	raaka-aineet	Tehdas tarvitsee vakaan raaka-aineiden saannin.
5224:元宵	元宵	元宵	yuanxiao; kulki ryżowe na Święto Lampionów	W Święto Lampionów jedliśmy yuanxiao.	yuanxiao; rijstballetjes voor het Lantaarnfestival	Op de dag van het Lantaarnfestival aten we yuanxiao.	yuanxiao; risbollar till lyktfestivalen	Vi åt yuanxiao på lyktfestivalens dag.	yuanxiao; risboller til lanternefestivalen	Vi spiste yuanxiao på dagen for lanternefestivalen.	yuanxiao; risboller til lanternefestivalen	Vi spiste yuanxiao på lanternefestivalens dag.	yuanxiao; lyhtyjuhlan riisipallot	Söimme yuanxiaota lyhtyjuhlan päivänä.
5225:源于	源于	源于	pochodzić z; wywodzić się z	Ta tradycja wywodzi się ze starożytnego święta.	voortkomen uit; afkomstig zijn van	Deze traditie komt voort uit een oud festival.	härstamma från; ha sitt ursprung i	Den här traditionen härstammar från en gammal högtid.	stamme fra; ha opphav i	Denne tradisjonen stammer fra en gammel høytid.	stamme fra; have oprindelse i	Denne tradition stammer fra en gammel højtid.	olla peräisin; juontua	Tämä perinne juontuu muinaisesta juhlasta.
5226:远程	远程	远程	zdalny	Firma zorganizowała zdalną rozmowę kwalifikacyjną.	op afstand; online	Het bedrijf regelde een sollicitatiegesprek op afstand.	på distans; fjärr-	Företaget ordnade en intervju på distans.	fjern-; på avstand	Selskapet arrangerte et intervju på avstand.	fjern-; på afstand	Virksomheden arrangerede et fjerninterview.	etä-; etänä	Yritys järjesti etähaastattelun.
5227:远方	远方	远方	dal; odległe miejsce	On często myśli o rodzinie daleko stąd.	verre plek; verte	Hij denkt vaak aan zijn familie ver weg.	fjärran; avlägsen plats	Han tänker ofta på sin familj långt borta.	det fjerne; et fjernt sted	Han tenker ofte på familien sin langt borte.	det fjerne; et fjernt sted	Han tænker ofte på sin familie langt borte.	kaukainen paikka; kaukana	Hän ajattelee usein kaukana olevaa perhettään.
5229:月光	月光	月光	światło księżyca	Światło księżyca padało na spokojne jezioro.	maanlicht	Het maanlicht scheen op het stille meer.	månsken	Månskenet sken över den stilla sjön.	månelys	Månelyset skinte på den stille innsjøen.	måneskin	Måneskinnet lyste på den stille sø.	kuunvalo	Kuunvalo loisti tyynelle järvelle.
5231:月球	月球	月球	Księżyc; kula ziemskiego księżyca	Naukowcy badają powierzchnię Księżyca.	maanbol; de maan	Wetenschappers bestuderen het oppervlak van de maan.	månen	Forskare studerar månens yta.	månen	Forskere studerer månens overflate.	månen	Forskere undersøger månens overflade.	kuu; kuun pinta	Tutkijat tutkivat kuun pintaa.
5232:乐曲	乐曲	乐曲	utwór muzyczny	Ten utwór muzyczny brzmi bardzo pięknie.	muziekstuk	Dit muziekstuk klinkt erg mooi.	musikstycke	Det här musikstycket låter mycket vackert.	musikkstykke	Dette musikkstykket låter svært vakkert.	musikstykke	Dette musikstykke lyder meget smukt.	musiikkikappale	Tämä musiikkikappale kuulostaa hyvin kauniilta.
5234:晕车	晕车	晕车	choroba lokomocyjna; mieć mdłości w samochodzie	Ona łatwo dostaje choroby lokomocyjnej podczas długich jazd autobusem.	wagenziek worden	Zij wordt gemakkelijk wagenziek tijdens lange busritten.	bli åksjuk	Hon blir lätt åksjuk på långa bussresor.	bli bilsyk; bli reisesyk	Hun blir lett bilsyk på lange bussturer.	blive køresyg	Hun bliver let køresyg på lange busture.	tulla matkapahoinvoivaksi	Hänelle tulee helposti matkapahoinvointia pitkillä bussimatkoilla.
5235:运送	运送	运送	transportować	Te materiały zostaną przetransportowane do strefy klęski.	vervoeren; transporteren	Deze voorraden worden naar het rampgebied vervoerd.	transportera	Förnödenheterna ska transporteras till katastrofområdet.	transportere	Disse forsyningene skal transporteres til katastrofeområdet.	transportere	Disse forsyninger skal transporteres til katastrofeområdet.	kuljettaa	Nämä tarvikkeet kuljetetaan katastrofialueelle.
5237:运营	运营	运营	obsługa; prowadzenie działalności	Tą platformą zarządza profesjonalny zespół.	beheer; exploitatie	Dit platform wordt beheerd door een professioneel team.	drift; förvaltning	Den här plattformen drivs av ett professionellt team.	drift; forvaltning	Denne plattformen drives av et profesjonelt team.	drift; forvaltning	Denne platform drives af et professionelt team.	ylläpito; operointi	Tätä alustaa ylläpitää ammattitaitoinen tiimi.
5238:杂	杂	杂	rozmaity; mieszany	W tej szufladzie jest wiele rozmaitych drobiazgów.	allerlei; gemengd	In deze lade liggen allerlei losse spullen.	blandad; diverse	Det finns många blandade saker i den här lådan.	blandet; diverse	Det er mange blandede ting i denne skuffen.	blandet; diverse	Der er mange blandede ting i denne skuffe.	sekalainen	Tässä laatikossa on paljon sekalaisia tavaroita.
5239:灾	灾	灾	katastrofa; klęska	Ta katastrofa spowodowała we wsi wielkie straty.	ramp	Deze ramp veroorzaakte grote verliezen in het dorp.	katastrof	Den här katastrofen orsakade stora förluster i byn.	katastrofe	Denne katastrofen førte til store tap i landsbyen.	katastrofe	Denne katastrofe medførte store tab i landsbyen.	katastrofi	Tämä katastrofi aiheutti kylälle suuria menetyksiä.
5242:灾区	灾区	灾区	strefa klęski; obszar katastrofy	Wolontariusze dostarczyli żywność do strefy klęski.	rampgebied	Vrijwilligers brachten voedsel naar het rampgebied.	katastrofområde	Volontärer levererade mat till katastrofområdet.	katastrofeområde	Frivillige leverte mat til katastrofeområdet.	katastrofeområde	Frivillige leverede mad til katastrofeområdet.	katastrofialue	Vapaaehtoiset toimittivat ruokaa katastrofialueelle.
5244:再生	再生	再生	recykling; ponowne wykorzystanie	Te materiały można poddać recyklingowi i ponownie wykorzystać.	hergebruik; regeneratie	Deze materialen kunnen worden gerecycled en hergebruikt.	återvinning; återanvändning	De här materialen kan återvinnas och återanvändas.	resirkulering; gjenbruk	Disse materialene kan resirkuleres og gjenbrukes.	genanvendelse; genbrug	Disse materialer kan genanvendes og bruges igen.	kierrätys; uudelleenkäyttö	Nämä materiaalit voidaan kierrättää ja käyttää uudelleen.
5246:赞赏	赞赏	赞赏	doceniać; podziwiać	Nauczyciel docenił jego poważne podejście.	waarderen; bewonderen	De leraar waardeerde zijn serieuze houding.	uppskatta; beundra	Läraren uppskattade hans seriösa inställning.	sette pris på; beundre	Læreren satte pris på den seriøse holdningen hans.	værdsætte; beundre	Læreren værdsatte hans seriøse indstilling.	arvostaa; ihailla	Opettaja arvosti hänen vakavaa asennettaan.
5247:赞同	赞同	赞同	zgadzać się; popierać	Większość członków zgadza się z tą decyzją.	instemmen met; eens zijn met	De meeste leden stemmen in met deze beslissing.	hålla med; instämma	De flesta medlemmar håller med om det här beslutet.	være enig i; støtte	De fleste medlemmene er enige i denne avgjørelsen.	være enig i; støtte	De fleste medlemmer er enige i denne beslutning.	olla samaa mieltä; kannattaa	Useimmat jäsenet ovat samaa mieltä tästä päätöksestä.
5248:遭到	遭到	遭到	spotkać się z; doznać	Ten plan spotkał się z pewnym sprzeciwem.	te maken krijgen met; stuiten op	Dit plan stuitte op enige tegenstand.	möta; drabbas av	Den här planen mötte visst motstånd.	møte; bli utsatt for	Denne planen møtte noe motstand.	møde; blive udsat for	Denne plan mødte en vis modstand.	kohdata; joutua kohtaamaan	Tämä suunnitelma kohtasi jonkin verran vastustusta.
5251:噪声	噪声	噪声	hałas	Hałas budowy wpłynął na okolicznych mieszkańców.	lawaai; geluidsoverlast	Bouwlawaai had invloed op de omwonenden.	buller	Byggbullret påverkade de närboende.	støy	Byggestøyen påvirket beboerne i nærheten.	støj	Byggestøjen påvirkede de nærliggende beboere.	melu	Rakennustyömaan melu vaikutti lähialueen asukkaisiin.
5255:炸	炸	炸	wybuchnąć	Petarda nagle wybuchła i wszyscy się przestraszyli.	ontploffen	Het rotje ontplofte plotseling, en iedereen schrok.	explodera	Smällaren exploderade plötsligt, och alla blev skrämda.	eksplodere	Fyrverkeriet eksploderte plutselig, og alle ble skremt.	eksplodere	Fyrværkeriet eksploderede pludselig, og alle blev forskrækkede.	räjähtää	Paukku räjähti yhtäkkiä, ja kaikki säikähtivät.
5256:粘	粘	粘	przykleić; kleić	Klej skleił kartki razem.	plakken; vastkleven	De lijm plakte de papieren aan elkaar.	klistra; fastna	Limmet klistrade ihop papperen.	lime; klistre	Limet klistret papirene sammen.	lime; klæbe	Limen klistrede papirerne sammen.	liimata; tarttua	Liima liimasi paperit yhteen.
5259:占比	占比	占比	udział procentowy	Udział sprzedaży online przekroczył już połowę.	aandeel; percentage	Het aandeel van de online verkoop is al meer dan de helft.	andel	Andelen onlineförsäljning har redan överstigit hälften.	andel	Andelen nettsalg har allerede oversteg halvparten.	andel	Andelen af onlinesalg er allerede over halvdelen.	osuus	Verkkomyynnin osuus on jo ylittänyt puolet.
5262:战胜	战胜	战胜	pokonać	W końcu pokonali wszystkie trudności.	overwinnen	Zij overwonnen uiteindelijk alle moeilijkheden.	övervinna; besegra	De övervann till slut alla svårigheter.	overvinne; beseire	De overvant til slutt alle vanskelighetene.	overvinde; besejre	De overvandt til sidst alle vanskelighederne.	voittaa; selvitä	He voittivat lopulta kaikki vaikeudet.
5263:占有	占有	占有	posiadać; zajmować	Ta firma posiada duży udział w rynku.	bezitten; innemen	Dit bedrijf neemt een groot marktaandeel in.	inneha; besitta	Det här företaget innehar en stor marknadsandel.	ha; besitte	Dette selskapet har en stor markedsandel.	besidde; have	Dette firma har en stor markedsandel.	omistaa; pitää hallussaan	Tällä yrityksellä on suuri markkinaosuus.
5265:章	章	章	rozdział	Proszę przeczytać treść trzeciego rozdziału.	hoofdstuk	Lees alstublieft de inhoud van hoofdstuk drie.	kapitel	Läs innehållet i kapitel tre.	kapittel	Vennligst les innholdet i kapittel tre.	kapitel	Læs venligst indholdet af kapitel tre.	luku	Lue kolmannen luvun sisältö.
5268:账单	账单	账单	rachunek	Kelner położył rachunek na stole.	rekening	De ober legde de rekening op tafel.	nota; räkning	Servitören lade notan på bordet.	regning	Servitøren la regningen på bordet.	regning	Tjeneren lagde regningen på bordet.	lasku	Tarjoilija pani laskun pöydälle.
5269:招	招	招	rekrutować	Firma rekrutuje nowych pracowników.	werven	Het bedrijf werft nieuwe medewerkers.	rekrytera	Företaget rekryterar nya medarbetare.	rekruttere	Selskapet rekrutterer nye ansatte.	rekruttere	Virksomheden rekrutterer nye medarbejdere.	rekrytoida	Yritys rekrytoi uusia työntekijöitä.
5271:招生	招生	招生	nabór uczniów; rekrutacja studentów	Ta szkoła planuje w tym roku przyjąć pięciuset uczniów.	leerlingen aannemen; studenten werven	Deze school is van plan dit jaar vijfhonderd leerlingen aan te nemen.	anta elever; rekrytera studenter	Den här skolan planerar att anta femhundra elever i år.	ta opp elever; rekruttere studenter	Denne skolen planlegger å ta opp fem hundre elever i år.	optage elever; rekruttere studerende	Denne skole planlægger at optage fem hundrede elever i år.	ottaa opiskelijoita; opiskelijavalinta	Tämä koulu aikoo ottaa tänä vuonna viisisataa oppilasta.
5272:招手	招手	招手	machać ręką	Ona machała do nas na stacji.	zwaaien; wenken	Zij zwaaide naar ons op het station.	vinka	Hon vinkade till oss på stationen.	vinke	Hun vinket til oss på stasjonen.	vinke	Hun vinkede til os på stationen.	vilkuttaa	Hän vilkutti meille asemalla.
5274:照明	照明	照明	oświetlenie	Oświetlenie w tym pokoju jest bardzo dobre.	verlichting	De verlichting in deze kamer is erg goed.	belysning	Belysningen i det här rummet är mycket bra.	belysning	Belysningen i dette rommet er svært god.	belysning	Belysningen i dette rum er meget god.	valaistus	Tämän huoneen valaistus on erittäin hyvä.
5276:针	针	针	igła; zastrzyk	Pielęgniarka zrobiła pacjentowi zastrzyk.	naald; injectie	De verpleegkundige gaf de patiënt een injectie.	nål; spruta	Sjuksköterskan gav patienten en spruta.	nål; sprøyte	Sykepleieren ga pasienten en sprøyte.	nål; sprøjte	Sygeplejersken gav patienten en sprøjte.	neula; pistos	Sairaanhoitaja antoi potilaalle pistoksen.
5280:镇	镇	镇	miasteczko	To miasteczko leży blisko morza.	plaats; stadje	Dit stadje ligt dicht bij zee.	småstad; samhälle	Den här småstaden ligger nära havet.	tettsted; småby	Dette tettstedet ligger nær sjøen.	by; mindre by	Denne by ligger tæt på havet.	pikkukaupunki; taajama	Tämä pikkukaupunki on lähellä merta.
5281:阵雨	阵雨	阵雨	przelotny deszcz; deszcz przelotny	Po południu mogą wystąpić przelotne deszcze.	bui; regenbui	Er kunnen in de middag buien vallen.	skur; regnskur	Det kan komma skurar på eftermiddagen.	regnbyge	Det kan komme regnbyger om ettermiddagen.	byge; regnbyge	Der kan komme byger om eftermiddagen.	sadekuuro	Iltapäivällä voi tulla sadekuuroja.
