simplified	KK	example_KK
副	орынбасар	Ол менеджердің орынбасары болып тағайындалды.
复活	қайта жандану	Бұл дәстүрлі мереке қайта жанданып жатыр.
复兴	қайта өрлеу	Мәдени қайта өрлеу ұзақ мерзімді еңбекті қажет етеді.
富裕	ауқатты	Бұл ауыл қазір барған сайын ауқатты болып келеді.
腹泻	іш өту	Оның іші қатты өтіп, дәрігерге көрінуі керек.
覆盖	қаптау	Қалың қар бүкіл аңғарды қаптады.
负担	ауыртпалық	Пәтерақы оның негізгі ауыртпалығына айналды.
赋予	беру	Заң азаматтарға негізгі құқықтар береді.
附和	қостай салу	Оның өз пікірі жоқ, тек басқаларды қостай береді.
附件	тіркеме	Поштадағы тіркемені қарап шығыңыз.
附属	қарасты	Бұл аурухана университетке қарасты аурухана.
改良	жетілдіру	Сарапшылар күріштің бұл түрін жетілдіріп жатыр.
盖章	мөр басу	Келісімшартқа қол қойылғаннан кейін мөр басу керек.
钙	кальций	Сүтте кальций мол.
尴尬	ыңғайсыз	Жиналыста ыңғайсыз үнсіздік орнады.
干旱	құрғақшылық	Ұзақ құрғақшылық егінге әсер етті.
干扰	кедергі жасау	Шу менің жұмысыма кедергі жасайды.
干涉	араласу	Ата-ана баланың таңдауына тым көп араласпауы керек.
干预	араласу	Үкімет нарық тәуекеліне дер кезінде араласты.
感慨	тебірену	Ескі суреттерді көріп, ол қатты тебіренді.
感染	жұқтыру	Бұл вирус балаларға оңай жұғады.
干劲	жігер	Барлығы жұмысқа үлкен жігермен кірісті.
扛	көтеру	Аңыз бойынша оның күші зор болып, ауыр қазанды көтере алған.
纲领	іс-қимыл бағдарламасы	Жиналыс жаңа іс-қимыл бағдарламасын қабылдады.
岗位	қызмет орны	Ол жаңа қызмет орнына тез бейімделді.
港口	порт	Жүк кемесі портқа тоқтады.
港湾	айлақ	Шағын қайық тыныш айлаққа кірді.
杠杆	тетік	Бұл инвестицияда қарыз тетігі жоғары қолданылды.
高超	өте шебер	Оның көлік жөндеу шеберлігі өте жоғары.
高潮	шарықтау шегі	Матч соңғы он минутта шарықтау шегіне жетті.
高峰	қауырт кез	Таңғы сегізде көлік қозғалысы ең қауырт болады.
高明	ұтымды	Бұл әдіс шынында өте ұтымды.
高尚	асыл	Дәрігердің кәсіби рухы өте асыл.
高涨	күшею	Көрермендердің ықыласы үнемі күшейіп отырды.
稿件	қолжазба	Редактор қолжазбаны түзетіп жатыр.
告辞	қоштасып кету	Күн кеш болып қалды, біз алдымен қоштасып кетейік.
告诫	ескерту	Мұғалім оқушыларға көшірмеуге ескертті.
割	кесу	Ол байқаусызда саусағын кесіп алды.
搁	қою	Құжаттарды үстелге қойыңыз.
歌颂	мадақтау	Бұл өлең еңбеккерлерді мадақтайды.
疙瘩	түйін	Оның қолында бір түйін пайда болды.
鸽子	көгершін	Алаңда көп көгершін бар.
格局	орналасым	Бұл пәтердің орналасымы өте ыңғайлы.
格式	пішім	Нысанды белгіленген пішім бойынша толтырыңыз.
隔阂	алшақтық	Түсінбеушілік олардың арасындағы алшақтықты тереңдетті.
隔离	оқшаулау	Науқасты уақытша оқшаулау керек.
革命	төңкеріс	Бұл төңкеріс елдің тағдырын өзгертті.
个体	жеке тұлға	Әрбір жеке тұлғаның қажеттілігі әртүрлі.
各抒己见	әркім өз пікірін айту	Жиналыста бәрі өз пікірін айтты.
根深蒂固	тамыры терең	Бұл көзқарас тамыры терең орныққан.
根源	түпкі себеп	Кедейліктің түпкі себептері күрделі.
跟前	қасына	Бала анасының қасына жүгіріп келді.
跟随	ілесу	Тілші топқа ілесіп таулы аймаққа кірді.
跟踪	қадағалау	Полиция күдіктінің қозғалысын қадағалап жатыр.
更新	жаңарту	Жүйе бүгін түнде автоматты түрде жаңартылады.
更正	түзету	Газет келесі күні қатені түзетті.
耕地	жер жырту	Диқандар көктемде егістікті жыртып жатыр.
供不应求	сұраныс ұсыныстан көп	Бұл дәрі қазір сұранысқа сай жетіспейді.
供给	жеткізілім	Қалаға су мен электрдің тұрақты жеткізілімі қажет.
公安局	қоғамдық қауіпсіздік басқармасы	Ол қоғамдық қауіпсіздік басқармасына барып арыз берді.
公道	әділдік	Барлығы істің әділ қаралуын қалайды.
公告	хабарландыру	Мектеп сабақ тоқтатылатыны туралы хабарландыру шығарды.
公关	қоғаммен байланыс	Компания кәсіби қоғаммен байланыс тобын жалдады.
公民	азамат	Әрбір азамат заңға бағынуы керек.
公然	ашықтан-ашық	Ол жарыс ережесін ашықтан-ашық бұзды.
公认	көпшілік мойындаған	Ол көпшілік мойындаған үздік мұғалім.
公式	формула	Осы математикалық формуланы жазып алыңыз.
公务	қызметтік іс	Ол қызметтік іспен үш күнге іссапарға кетті.
公正	әділ	Судья әділ болуы керек.
公证	нотариалдық куәландыру	Бұл құжатқа нотариалдық куәландыру керек.
功劳	үлес	Бұл табыста бәрінің үлесі бар.
功效	әсер	Бұл дәрінің әсерін әлі тексеру керек.
宫殿	сарай	Туристер көне сарайды аралады.
工艺品	қолөнер бұйымы	Бұл қолөнер бұйымы қолмен жасалған.
恭敬	ізетпен	Ол қарияға ізетпен сәлем берді.
攻击	шабуыл жасау	Хакерлер компанияның сайтына шабуыл жасады.
攻克	еңсеру	Зерттеу тобы техникалық қиындықты еңсерді.
巩固	нығайту	Қайталау үйренген білімді нығайтады.
共和国	республика	Бұл республика өткен ғасырда құрылды.
共计	жалпы саны	Бұл тауарлар жалпы үш жүз жәшік болды.
共鸣	үн табу	Бұл ән көп адамның жүрегінен үн тапты.
勾结	сөз байласу	Олар сырт адамдармен сөз байласып, қаржыны алдап алды.
钩子	ілмек	Қабырғада бірнеше ілмек ілулі тұр.
构思	ойластыру	Жазушы жаңа романын ойластырып жатыр.
姑且	әзірше	Бұл жоспарды әзірше бір апта сынап көрейік.
孤独	жалғыз	Жаңа қалаға көшкеннен кейін ол өзін жалғыз сезінді.
孤立	оқшау	Бұл мәселені оқшау қарамаңыз.
辜负	үмітті ақтамау	Мен ата-анамның үмітін ақтамағым келмейді.
古董	көне бұйым	Атам бірнеше көне бұйым жинаған.
古怪	оғаш	Оның ойы сәл оғаш.
股东	үлескер; акционер	Үлескерлер жиналысы келесі аптада өтеді.
股份	акция	Ол компанияның акцияларына ие.
骨干	тірек	Бұл инженерлер топтың тірегі.
鼓动	айдап салу	Біреулер халықты наразылыққа айдап салды.
固然	әрине	Бұл әдіс әрине қарапайым, бірақ тәуекелі аз емес.
固体	қатты зат	Мұз - судың қатты күйі.
固有	өзіне тән	Әр мәдениеттің өзіне тән ерекшелігі бар.
固执	қыңыр	Ол тым қыңыр, кеңес тыңдағысы келмейді.
故乡	туған жер	Көп жылдан кейін ол туған жеріне оралды.
故障	ақау	Лифтте ақау шығып, уақытша тоқтатылды.
雇佣	жалдау	Компания көбірек техник маман жалдауға шешім қабылдады.
顾虑	алаңдаушылық	Қандай алаңдаушылығыңыз болса, тура айта аласыз.
顾问	кеңесші	Біз заң кеңесшісін шақырдық.
拐杖	таяқ	Қарт кісі сыртқа шыққанда жиі таяқ алып жүреді.
关怀	қамқорлық	Мұғалім оқушыларға көп қамқорлық көрсетті.
关照	қарау	Жолда балаға жақсылап қараңыз.
官方	ресми	Ресми хабар ертең жарияланады.
观光	көрікті жер аралау	Туристер қайықпен көрікті жерлерді аралады.
管辖	құзырында болу	Бұл аудан қала әкімдігінің құзырында.
惯例	қалыптасқан тәртіп	Жиналыс басталар алдында қонақтарды таныстыру қалыптасқан тәртіп.
灌溉	суару	Диқандар өзен суымен егістікті суарады.
罐	құты	Үстелде бір құты шай жапырағы тұр.
贯彻	жүзеге асыру	Компания жаңа қауіпсіздік стандарттарын жүзеге асыруы керек.
光彩	ажар	Бұл киім оны ерекше ажарлы көрсетті.
光辉	жарқын із	Оның жетістіктері тарихта жарқын із қалдырды.
光芒	сәуле	Күн сәулесі аңғарды жарық қылды.
光荣	абыройлы	Елге қызмет ету абыройлы.
广阔	кең-байтақ	Дала көз жетпейтіндей кең-байтақ.
归根到底	түптеп келгенде	Түптеп келгенде, мәселе басқаруда.
归还	қайтару	Кітаптарды уақытында қайтарыңыз.
规范	стандарт	Мектеп зертхананы басқару үшін стандарттар белгіледі.
规格	сипаттама	Бұл бөлшектердің сипаттамалары бірдей емес.
规划	жоспарлау	Қаланы жоспарлауда көлікті ескеру керек.
规章	ереже	Қызметкерлер компания ережелерін сақтауы керек.
轨道	рельс	Пойыз рельспен алға жылжиды.
贵族	ақсүйек	Бұл иелік бір кезде ақсүйектерге тиесілі болған.
跪	тізерлеу	Ол мүсіннің алдында тізерледі.
棍棒	шоқпар	Полиция оқиға орнындағы шоқпарларды тәркіледі.
国防	ұлттық қорғаныс	Ұлттық қорғаныс құрылысы ұзақ мерзімді қаржыландыруды қажет етеді.
国务院	Мемлекеттік кеңес	Мемлекеттік кеңес жаңа хабарлама шығарды.
果断	батыл	Басшы батыл шешім қабылдады.
过度	шамадан тыс	Телефонды шамадан тыс пайдалану ұйқыға әсер етеді.
过渡	өтпелі кезең	Компания өзгерістің өтпелі кезеңінде тұр.
过奖	асыра мақтау	Сіз асыра мақтап жібердіңіз, мен әлі үйренуім керек.
过滤	сүзу	Бұл құрылғы қоспаларды сүзе алады.
过失	қателік	Бұл апат адамның қателігінен болды.
过问	араласу	Менеджер мұндай ұсақ істерге сирек араласады.
过瘾	құмарды қандыру	Бұл матчты көру шынымен құмарды қандырды.
过于	тым	Бұл жоспар тым күрделі.
嗨	әй	Әй, сен де қалай келдің?
海拔	теңіз деңгейінен биіктік	Бұл ауыл теңіз деңгейінен биік орналасқан.
海滨	теңіз жағасы	Олар демалысты теңіз жағасында өткізді.
含糊	бұлыңғыр	Оның жауабы өте бұлыңғыр болды.
含义	мағына	Бұл сөздің ерекше мағынасы бар.
寒暄	хал сұрасу	Кездескен соң олар алдымен аздап хал сұрасты.
罕见	сирек	Бұл ауру өте сирек кездеседі.
捍卫	қорғау	Адвокат клиентінің құқықтарын қорғауға тырысты.
航空	авиация	Әуекомпания рейсті тоқтатты.
航天	ғарыш саласы	Қытайдың ғарыш саласы тез дамып жатыр.
航行	жүзу	Кеме теңізде жүзіп барады.
行列	қатар	Ол еріктілер қатарына қосылды.
毫米	миллиметр	Бұл әйнектің қалыңдығы бес миллиметр.
毫无	мүлде жоқ	Оның түсіндірмесінде мүлде негіз жоқ.
豪迈	асқақ	Оның ән дауысы асқақ әрі қуатты болды.
号召	үндеу	Үкімет бәрін суды үнемдеуге үндеді.
耗费	жұмсау	Бұл жоба көп қаржы жұмсады.
呵	зекіру	Әкесі бір зекіп еді, бала бірден тоқтады.
合并	біріктіру	Екі компания келесі жылы бірігуді жоспарлап отыр.
合成	синтездеу	Бұл материалды жасанды түрде синтездеуге болады.
合伙	серіктесу	Олар серіктесіп мейрамхана ашты.
合算	тиімді	Автобуспен жүру таксиге қарағанда тиімдірек.
和蔼	мейірімді	Бұл дәрігер өте мейірімді сөйлейді.
和解	келісімге келу	Екі тарап ақыры келісімге келді.
和睦	тату	Көршілер бір-бірімен тату тұрады.
和气	жылы шырайлы	Бастық адамдарға жылы шыраймен қарайды.
和谐	үйлесімді	Музыка ахуалды үйлесімді етті.
嘿	әй	Әй, сен естідің бе?
痕迹	із	Жерде дөңгелектің ізі қалды.
狠心	тасжүрек	Ол досының өтінішін тасжүректікпен қабылдамады.
恨不得	шіркін	Мен шіркін дәл қазір үйге барып демалсам ғой.
哼	пысқыру	Ол ренжіп, бір пысқырып қойды.
横	көлденең	Қағазға бір көлденең сызық сызыңыз.
哄	ду ете түсу	Барлығы ду етіп күліп жіберді.
烘	пісіру	Нан пеште пісіп жатыр.
轰动	дүр сілкіндіру	Бұл жаңалық бүкіл елді дүр сілкіндірді.
宏观	жалпы деңгей	Экономиканы жалпы деңгейден талдауымыз керек.
宏伟	айбынды	Бұл көпірдің жобасы өте айбынды.
洪水	су тасқыны	Су тасқыны бірнеше көпірді шайып кетті.
喉咙	тамақ	Ол көп сөйлеп, тамағы сәл ауырды.
吼	ақыру	Ол алыстағы жаққа қатты ақырды.
候选	үміткер	Ол биылғы өкілдікке үміткер.
后代	ұрпақ	Біз ұрпақ үшін қоршаған ортаны қорғауымыз керек.
后顾之忧	кейінгі уайым	Тұрақты табыс оның кейінгі уайымын азайтты.
后勤	логистика	Логистика бөлімі материал жеткізуге жауапты.
呼唤	шақыру	Анасы есік алдында баласын шақырды.
呼啸	ұлу	Суық жел терезенің сыртында ұлып тұрды.
呼吁	шақыру	Сарапшылар бәрін ысырапты азайтуға шақырды.
忽略	елемеу	Бұл ұсақ-түйекті елемей қоймаңыз.
湖泊	көл	Бұл өңірде көптеген табиғи көлдер бар.
胡乱	ретсіз	Заттарды жерге ретсіз қоя салмаңыз.
胡须	сақал	Оның сақалы ағарып кеткен.
花瓣	гүл жапырағы	Жаңбырдан кейін гүл жапырақтары жерге төгілді.
花蕾	гүл бүршігі	Көктемде бұтақтарда гүл бүршіктері пайда болды.
华丽	сәнді	Сахнадағы киімдер өте сәнді болды.
华侨	шетелдегі қытай	Көптеген шетелдегі қытай туған жеріне инвестиция салуға оралды.
划分	бөлу	Мұғалім оқушыларды төрт топқа бөлді.
化肥	химиялық тыңайтқыш	Диқандар егінге химиялық тыңайтқыш септі.
化石	қазба қалдық	Мұражайда динозаврдың қазба қалдықтары қойылды.
化验	зертханалық талдау	Дәрігер оған қан талдауын жасатуды тапсырды.
化妆	бояну	Ол сахнаға шығар алдында боянып жатты.
画蛇添足	артық қосып, істі бүлдіру	Тағы түсініктеме қосу артық қосып, істі бүлдіру болады.
话筒	микрофон	Жүргізуші микрофонды көрерменге ұсынды.
欢乐	қуаныш	Мерекелік алаң қуанышқа толы болды.
环节	кезең	Оқытудың әр кезеңі өте маңызды.
还原	қалпына келтіру	Параметрлерді әдепкі күйге қалпына келтіріңіз.
缓和	бәсеңдеу	Екі тараптың қарым-қатынасы біртіндеп бәсеңдеді.
患者	науқас	Дәрігер науқастың жағдайын сұрап жатыр.
荒凉	қаңыраған	Бұл жер өте қаңырап көрінеді.
荒谬	қисынсыз	Бұл түсіндірме өте қисынсыз естіледі.
荒唐	сандырақ	Оның шешімі тым сандырақ болды.
皇帝	император	Император зәулім сарайда тұрды.
皇后	императрица	Императрица салтанатқа қатысты.
黄昏	іңір	Іңірде көше шамдары жанды.
恍然大悟	кенет түсіну	Түсіндірмені тыңдаған соң, ол кенет бәрін түсінді.
晃	жылт ету	Көз алдымда бір жылт етіп, ол жоғалып кетті.
挥霍	ысырап ету	Ол ата-анасының ақшасын ысырап етпеуі керек.
辉煌	даңқты	Бұл қаланың даңқты тарихы бар.
回报	қайтарым	Еңбек ақырында қайтарым береді.
回避	жалтару	Ол бұл мәселеден үнемі жалтарып жүр.
回顾	шолу жасау	Жиналыстың соңында жылдық жұмысқа шолу жасалды.
回收	қайта жинау	Тұрғын аудан ескі батареяларды жинай бастады.
悔恨	өкініш	Ол өткен қателіктеріне өкініш білдірді.
毁灭	жою	Соғыс бұл қаланы дерлік жойды.
会晤	кездесу	Екі елдің басшылары ертең кездеседі.
汇报	есеп беру	Ол менеджерге ілгерілеу туралы есеп берді.
贿赂	пара	Шенеунік пара алғаны үшін тергелді.
昏迷	ес-түссіз жату	Науқас әлі ес-түссіз жатыр.
荤	етті тағам	Бұл тағам етті, вегетариандарға жарамайды.
浑身	тұла бой	Жүгіріп болған соң оның тұла бойы тер болды.
混合	араластыру	Екі материалды біркелкі араластырыңыз.
混乱	бейберекет	Оқиға орны бір кезде өте бейберекет болды.
混淆	шатастыру	Бұл екі ұғымды шатастырмаңыз.
混浊	лай	Жаңбырдан кейін өзен суы лайланды.
活该	өзіне сол керек	Ол ақыл тыңдамады, сәтсіздікке ұшыраса өзіне сол керек.
活力	сергектік	Бұл қала сергектікке толы.
火箭	зымыран	Зымыран жоспарланған орбитаға сәтті шықты.
火焰	жалын	Жел жалынды одан әрі биіктетті.
火药	оқ-дәрі	Оқ-дәрі ежелгі соғыстың тәсілін өзгертті.
货币	валюта	Валюта саясаты экономикалық дамуға әсер етеді.
基地	база	Бұл жер бұрын маңызды оқу базасы болған.
基金	қор	Мектеп шәкіртақы қорын құрды.
基因	ген	Ғалымдар осы генді зерттеп жатыр.
机动	икемділік	Бұл жасақ жоғары икемділікті сақтайды.
机构	мекеме	Бұл мекеме сапаны тексеруге жауапты.
机灵	зерек	Бұл бала өте зерек.
机密	құпия	Бұл материалдар құпияға жатады.
机械	техника	Зауыт жаңа техника енгізді.
机遇	мүмкіндік	Жастар мүмкіндікті пайдалана білуі керек.
机智	тапқыр	Оның жауабы өте тапқыр болды.
激发	ояту	Мұғалім оқушылардың қызығушылығын оятты.
激励	ынталандыру	Бұл табыс бүкіл топты ынталандырды.
激情	құштарлық	Ол сөйлегенде құштарлыққа толы болды.
讥笑	мазақ ету	Басқалардың қатесін мазақ етпеңіз.
饥饿	аштық	Ұзақ аштық денсаулыққа әсер етеді.
即便	тіпті	Тіпті жаңбыр жауса да, біз уақытында жолға шығамыз.
即将	жақында	Жиналыс жақында басталады.
及早	ертерек	Мәселе байқалса, оны ертерек шешу керек.
吉祥	құтты	Қызыл түс Қытайда жиі құттылықты білдіреді.
嫉妒	қызғану	Ол әріптесінің табысын қызғанбауы керек.
急功近利	тез пайда қуалау	Зерттеу жасағанда тез пайда қуаламау керек.
急剧	күрт	Сатылым күрт төмендеді.
急切	тағатсыз	Ол хабарды тағатсыз күтіп отырды.
急于求成	тез нәтиже күту	Тіл үйренуде тез нәтиже күтуге болмайды.
急躁	шыдамсыз	Қиындыққа тап болсаңыз, шыдамсыз болмаңыз.
极端	шектен тыс	Мұндай шектен тыс ауа райы жиілеп барады.
极限	шек	Бұл жаттығу оның шегін сынады.
疾病	ауру	Жақсы әдеттер аурудың алдын алады.
籍贯	туған жері	Нысанда туған жерін жазу керек.
级别	деңгей	Бұл жарыс үш деңгейге бөлінеді.
集团	топ	Бұл топтың шетелде филиалдары бар.
给予	беру	Мектеп кедей студенттерге көмек береді.
季军	үшінші орын	Ол жарыста үшінші орын алды.
季度	тоқсан	Компания әр тоқсан сайын қаржылық есеп жариялайды.
寂静	тыныш	Түнгі аңғар ерекше тыныш.
寄托	үміт арту	Ол үмітін баласына артты.
忌讳	тыйым санау	Жергілікті халық бұл мәселені дастарқан басында талқылауды тыйым санайды.
技巧	әдіс-тәсіл	Әдіс-тәсілді меңгеру тиімділікті арттырады.
纪要	хаттама	Хатшы жиналыс хаттамасын реттеді.
继承	жалғастыру	Ол әкесінің ісін жалғастырды.
计较	болмашыға таласу	Мұндай ұсақ нәрсеге бола таласпаңыз.
记性	жады	Оның жады өте жақсы.
记载	жазып қалдыру	Тарихи кітаптарда бұл соғыс жазылған.
迹象	белгі	Қазір жақсарудың белгісі жоқ.
佳肴	дәмді тағам	Үстел дәмді тағамдарға толы болды.
加工	өңдеу	Бұл шикізатты әрі қарай өңдеу керек.
加剧	шиеленісу	Қайшылық шиеленісіп барады.
夹杂	араласу	Жаңбыр дыбысына найзағай үні араласты.
家常	үй тағамы	Мен үй тағамын жегенді ұнатамын.
家伙	неме	Анау неме үнемі кешігеді.
家属	отбасы мүшесі	Дәрігер науқастың отбасы мүшелеріне хабар берді.
家喻户晓	жұртқа мәлім	Бұл оқиға жұртқа мәлім.
坚定	берік	Оның ұстанымы өте берік.
坚固	берік	Бұл көпір өте берік.
坚韧	төзімді	Оның мінезі өте төзімді.
坚实	мықты	Бұл зерттеудің мықты негізі бар.
坚硬	қатты	Бұл тас өте қатты.
尖端	озық	Компания озық технологияларға инвестиция салады.
尖锐	өткір	Бұл мәселе өте өткір.
煎	қуыру	Аспаз балықты қуырып жатыр.
监督	қадағалау	Қоғамдық қадағалау жұмысты жақсартуға көмектеседі.
监视	бақылау	Полиция күдіктіні бақылап жатыр.
监狱	түрме	Ол түрмеде жазасын өтеп жатыр.
艰难	қиын	Кәсіп бастаудың алғашқы кезеңі өте қиын.
剪彩	лента қию	Әкім жаңа кітапхананың лентасын қиды.
拣	таңдап алу	Ол себеттен бірнеше алма таңдап алды.
检讨	талдау	Ол өз қатесін мұқият талдады.
检验	тексеру	Тәжірибе бұл болжамды тексере алады.
简化	жеңілдету	Үдерісті әрі қарай жеңілдетіңіз.
简陋	жұпыны	Олар жұпыны шағын үйде тұрды.
简体字	жеңілдетілген қытай иероглифі	Бұл оқулықта жеңілдетілген қытай иероглифтері қолданылады.
简要	қысқаша	Өз көзқарасыңызды қысқаша түсіндіріңіз.
健全	жетілдіру	Компания басқару жүйесін жетілдіруі керек.
剑	қылыш	Қабырғада көне қылыш ілулі тұр.
溅	шашырау	Жаңбыр суы оның шалбарына шашырады.
舰艇	әскери кеме	Бірнеше әскери кеме жаттығуға қатысты.
见多识广	көргені көп	Бұл қарияның көргені көп.
见解	пайым	Оның бұл мәселе жөнінде ерекше пайымы бар.
见闻	көрген-білген	Саяхат оның көрген-білгенін көбейтті.
见义勇为	ерлік жасау	Ол әділдік үшін ерлік жасағаны үшін мақталды.
践踏	таптау	Көгалды таптамаңыз.
鉴别	ажырату	Сарапшылар бұл суреттің шын-өтірігін ажырата алады.
鉴定	сараптау	Полиция саусақ іздерін сараптап жатыр.
鉴于	ескере отырып	Ауа райының нашарлығын ескере отырып, шара кейінге қалдырылды.
间谍	тыңшы	Бұл фильм тыңшы туралы оқиғаны баяндайды.
间隔	аралық	Екі жиналыстың аралығы бір апта.
间接	жанама	Бұл саясат жанама әсер тудырады.
僵硬	сірескен	Оның күлкісі сірескендей көрінді.
将军	генерал	Генерал бұйрық берді.
将近	шамамен	Бұл жоба шамамен екі жылға созылды.
将就	амалдай тұру	Жағдай нашар, біз амалдай тұруымыз керек.
奖励	марапаттау	Мектеп үздік оқушыларды марапаттады.
奖赏	сыйлық	Патша батырға мол сыйлық берді.
桨	ескек	Қайықшы ескекпен қайықты жағаға қарай жүргізді.
降临	түсу	Қалаға біртіндеп түн түсті.
交叉	қиылысу	Екі жол осы жерде қиылысады.
交代	түсіндіру	Тапсырманы анық түсіндіріңіз.
交涉	келіссөз жүргізу	Екі тарап өтемақы мәселесі бойынша келіссөз жүргізіп жатыр.
交易	мәміле	Бұл мәміле аяқталды.
娇气	назды	Тым назданба, ауа райы суық емес.
焦点	басты назар	Жұмысқа орналасу мәселесі талқылаудың басты назарына айналды.
焦急	алаң	Анасы баласының қайтуын алаңдап күтті.
侥幸	жолы болу	Ол апаттан жолы болып аман қалды.
搅拌	араластыру	Қамырды біркелкі араластырыңыз.
缴纳	төлеу	Тұрғындар су ақысын уақытында төлеуі керек.
角落	бұрыш	Мысық бөлменің бұрышына тығылды.
教养	тәрбие	Жақсы тәрбие ұсақ-түйектен көрінеді.
较量	сайысу	Екі мықты команда жақында сайысады.
接连	қатарынан	Ол қатарынан үш хат алды.
揭露	әшкерелеу	Тілші азық-түлік қауіпсіздігі мәселесін әшкереледі.
皆	бәрі	Бұл ережелерді бәрі біледі.
阶层	қабат	Әртүрлі әлеуметтік қабаттың қажеттілігі әртүрлі.
截止	аяқталу	Тіркелу ертең түстен кейін аяқталады.
截至	жағдай бойынша	Бүгінгі жағдай бойынша екі жүз адам тіркелді.
杰出	көрнекті	Ол көрнекті ғалым.
竭尽全力	бар күшін салу	Біз тапсырманы орындау үшін бар күшімізді саламыз.
结晶	жеміс	Бұл нәтиже көп жылғы еңбектің жемісі.
结局	соңы	Оқиғаның соңы күтпеген болды.
结算	есеп айырысу	Клиент шығындарды ай соңында есептеуді сұрады.
节制	ұстам	Тамақтануда ұстам керек.
节奏	ырғақ	Бұл әннің ырғағы жылдам.
解除	алып тастау	Компания қауіпсіздік дабылын алып тастады.
解放	азат ету	Реформа өндіргіш күштерді азат етті.
解雇	жұмыстан шығару	Бастық сол қызметкерді жұмыстан шығаруға шешім қабылдады.
解剖	анатомия	Медицина студенттері анатомияны оқып жатыр.
解散	тарау	Жиналыс аяқталған соң топ тарады.
解体	ыдырау	Ол одақ ақыры ыдырады.
借鉴	үлгі алу	Біз шетел тәжірибесінен үлгі ала аламыз.
借助	көмегіне сүйену	Ол картаға сүйеніп, жолды тапты.
戒备	сақтық	Шекара аймағында жоғары сақтық сақталып отыр.
界限	шекара	Жұмыс пен өмірдің шекарасы анық болуы керек.
津津有味	қызыға	Балалар әңгімені қызыға тыңдады.
金融	қаржы	Қаржы нарығы бүгін қатты құбылды.
紧迫	шұғыл	Уақыт шұғыл, біз дереу әрекет етуіміз керек.
锦上添花	барды көркейту	Бұл сыйлық барды одан әрі көркейтті.
晋升	қызметі көтерілу	Ол былтыр бөлім менеджері болып қызметі көтерілді.
浸泡	жібіту	Бұршақты түні бойы жібіту керек.
近来	соңғы кезде	Соңғы кезде ауа райы қатты өзгерді.
进而	одан әрі	Алдымен қажеттілікті түсініп, одан әрі жоспар жасаңыз.
进攻	шабуыл	Команда екінші таймда шабуылын күшейтті.
进化	эволюция	Тіршілік иелері ортаға қарай эволюцияланады.
进展	ілгерілеу	Жоба қазір жақсы ілгерілеп жатыр.
兢兢业业	ұқыпты еңбек ету	Ол отыз жыл бойы ұқыпты еңбек етті.
惊动	дүрліктіру	Қатты дыбыс жақын тұрғындарды дүрліктірді.
惊奇	таңғалу	Балалар сиқыр көрсетілімін таңғалып қарады.
惊讶	таңдану	Оның жауабы мені таңдандырды.
精打细算	үнемшіл есептеу	Ол тұрмыста әрдайым үнемшіл есептейді.
精华	мәні	Бұл мақала теорияның мәнін қорытты.
精简	ықшамдау	Компания басқару құрамын ықшамдауға шешім қабылдады.
精密	дәл	Бұл аспап өте дәл.
精确	нақты	Деректер үтірден кейін екі таңбаға дейін нақты болуы керек.
精通	жетік білу	Ол үш шет тілін жетік біледі.
精心	мұқият	Анасы кешкі асты мұқият дайындады.
精益求精	үздіксіз жетілдіру	Үздік шеберлер әрдайым үздіксіз жетілдіруге ұмтылады.
精致	әсем	Бұл сыйлық өте әсем оралған.
经费	қаржы	Зерттеу қаржысы бекітілді.
经纬	бойлық пен ендік	Картада бойлық пен ендік сызықтары белгіленген.
茎	сабақ	Өсімдіктің сабағы жапырақтарды ұстап тұрады.
井	құдық	Ауыл кіреберісінде көне құдық бар.
警告	ескерту	Мұғалім оқушыларға көшірмеуді ескертті.
警惕	сақ болу	Біз интернет алаяқтығынан сақ болуымыз керек.
颈椎	мойын омыртқасы	Ұзақ уақыт төмен қарау мойын омыртқасына зиян келтіреді.
境界	деңгей	Оның суреті жаңа деңгейге жетті.
敬礼	сәлем беру	Сарбаз мемлекеттік туға сәлем берді.
敬业	іске адал	Ол жұмысына мұқият әрі өте іске адал.
竞赛	жарыс	Мектеп математика жарысын өткізді.
竞选	сайлауға түсу	Ол әкім сайлауына түсуге дайындалып жатыр.
镜头	объектив	Фотограф объективті реттеді.
纠纷	дау	Екі тарап дауды татуластыру арқылы шешті.
纠正	түзету	Мұғалім айтылым қатесін дер кезінде түзетті.
酒精	спирт	Дәрігер жараны спиртпен зарарсыздандырды.
就近	жақын жерден	Оқушылар жақын жердегі мектепке бара алады.
就业	жұмыспен қамту	Үкімет жұмыспен қамтуды арттыратын саясат енгізді.
就职	қызметке кірісу	Жаңа менеджер келесі аптада ресми қызметке кіріседі.
救济	жәрдем	Апаттан зардап шеккендер дер кезінде жәрдем алды.
居民	тұрғын	Жақын маңдағы тұрғындар шу ластануына қарсы.
居住	тұру	Олар мұнда он жыл тұрды.
拘留	қамауға алу	Полиция күдіктіні заң бойынша қамауға алды.
拘束	қысылу	Достардың алдында қысылудың қажеті жоқ.
鞠躬	тағзым ету	Әртіс көрермендерге алғыс айтып тағзым етті.
局部	жергілікті	Дәрігер тек жергілікті жансыздандыру жасады.
局面	жағдай	Келіссөздер шиеленіскен жағдайды жақсартты.
局势	ахуал	Халықаралық ахуал әлі де күрделі.
