simplified	CS	example_CS
繁华	rušný	Tato ulice bývala velmi rušná
繁忙	vytížený	Letiště je o svátcích obzvlášť vytížené
繁体字	tradiční čínský znak	Na Tchaj-wanu lidé často píší tradičními znaky
繁殖	rozmnožovat se	Tento druh rostliny se snadno rozmnožuje
反驳	vyvrátit	Data použil k vyvrácení tohoto názoru
反常	neobvyklý	Dnešní počasí je trochu neobvyklé
反感	odpor	Tento druh reklamy mi opravdu vadí
反抗	vzdorovat	Lidé začali vzdorovat nespravedlivé vládě
反馈	zpětná vazba	Zákazníci uvedli že systém je velmi stabilní
反面	rub	Otoč prosím papír na rubovou stranu
反射	odrážet	Zrcadlo odráží světlo
反思	přemýšlet zpětně	Po neúspěchu vážně přemýšlel o příčinách
反问	odpovědět otázkou	Neodpověděl a položil mi otázku zpět
反之	naopak	Příliš vysoké ceny snižují poptávku a naopak to platí také
泛滥	vylít se	Silný déšť způsobil že se řeka vylila
范畴	kategorie	Tento problém spadá do právní kategorie
贩卖	prodávat	Zákon zakazuje prodávat falešné léky
方位	směr	Mapa označuje přesný směr
方言	dialekt	Rozumí místnímu dialektu
方圆	okruh	V okruhu deseti kilometrů není nemocnice
方针	politika	Firma stanovila novou rozvojovou politiku
防守	obrana	Obrana tohoto týmu je velmi stabilní
防御	obrana	Městské hradby kdysi sloužily k obraně proti nepřátelům
防止	zabránit	Připoutej se prosím abys zabránil zranění
防治	prevence a léčba	Lékař vysvětlil metody prevence a léčby nemocí
纺织	textilní výroba	Toto město je známé textilním průmyslem
访问	navštívit	Reportér zítra navštíví tohoto spisovatele
放大	zvětšit	Zvětši prosím obrázek trochu
放射	vyzařovat	Tento materiál vyzařuje teplo
非法	nelegální	Nelegální transakce budou potrestány
飞禽走兽	ptáci a zvířata	V lese žijí různí ptáci a zvířata
飞翔	létat	Nad mořem létají rackové
飞跃	skok	Technologický rozvoj dosáhl obrovského skoku
肥沃	úrodný	Tato půda je velmi úrodná
诽谤	pomluva	Za pomlouvání druhých nese člověk právní odpovědnost
废除	zrušit	Toto staré pravidlo už bylo zrušeno
废寝忘食	zapomenout na spánek i jídlo	Byl tak ponořený do výzkumu že zapomínal na spánek i jídlo
废墟	ruiny	Po zemětřesení se to místo změnilo v ruiny
沸腾	vařit se	Voda už se vaří
肺	plíce	Kouření může poškodit plíce
分辨	rozlišit	Těžko rozlišuji tyto dvě barvy
分寸	míra	I při žertování bys měl znát správnou míru
分红	dividenda	Akcionáři mohou na konci roku dostat dividendu
分解	rozložit	Učitel rozložil složitý problém do několika kroků
分裂	rozštěpit se	Vnitřní konflikty způsobily rozštěpení organizace
分泌	vylučovat	Tato žláza vylučuje hormony
分明	jasný	Fakta jsou už velmi jasná
分歧	neshoda	Obě strany mají neshody ohledně ceny
分散	rozložit	Riziko prosím rozlož mezi různé projekty
吩咐	nařídit	Šéf mi nařídil uspořádat dokumenty
坟墓	hrob	Na svahu je starý hrob
粉末	prášek	Rozdrť prosím pilulky na prášek
粉色	růžový	Koupila si růžovou šálu
粉碎	rozbít	Policie rozbila tento zločinecký gang
分量	váha	Tato věta má velkou váhu
愤怒	hněv	Jeho tón byl plný hněvu
丰满	bohatý	Obsah tohoto článku ještě není dost bohatý
丰盛	bohatý	Připravili bohatou večeři
丰收	bohatá úroda	Zemědělci měli letos dobrou úrodu
封闭	uzavřít	Tato silnice bude během stavby uzavřena
封建	feudální	Takový feudální způsob myšlení se měl změnit už dávno
封锁	uzavřít	Policie uzavřela místo nehody
锋利	ostrý	Tento nůž je velmi ostrý
风暴	bouře	Na moři se náhle objevila bouře
风度	elegance	Na jevišti působil velmi elegantně
风光	scenérie	Zdejší přírodní scenérie je krásná
风气	atmosféra	Ve škole vznikla dobrá atmosféra pro učení
风趣	humor	Mluví s velkým humorem
风土人情	místní zvyky	Cestování ti pomůže poznat místní zvyky
风味	místní chuť	Tento obchod má výraznou místní chuť
逢	pokaždé	Pokaždé o víkendu je park živý
奉献	věnovat	Lékař věnoval pacientům mnoho času
否决	zamítnout	Představenstvo tento návrh zamítlo
夫妇	manželský pár	Tento manželský pár provozuje malý obchod
夫人	manželka	Pan Wang a jeho manželka se společně zúčastnili hostiny
敷衍	odbýt	Dal jen několik odbývajících odpovědí
俘虏	zajatec	Po skončení války byli zajatci propuštěni
幅度	rozsah	Rozsah tohoto snížení ceny je velký
服从	poslouchat	Vojáci musí poslouchat rozkazy
服气	uznat	Prohrál zápas ale nechtěl to uznat
福利	benefity	Zaměstnanci přikládají firemním benefitům velký význam
福气	štěstí	Setkat se s dobrým učitelem je jeho štěstí
符号	symbol	Tento symbol znamená nebezpečí
辐射	záření	Lékař mu připomněl aby se držel dál od silného záření
俯视	shlížet	Z vrcholu hory můžeš shlížet na celé město
抚摸	hladit	Jemně hladila dítě po hlavě
抚养	vychovat	Prarodiče pomohli dítě vychovat
腐败	korupce	Vláda bojuje proti korupci
腐烂	hnít	Ovoce začne hnít když se nechá příliš dlouho
腐蚀	korodovat	Kyselina může korodovat kovový povrch
腐朽	zetlelý	Kritizovali zetlelý systém
辅助	pomáhat	Tento nástroj může pomáhat při výuce
副	zástupce	Byla jmenována zástupkyní manažera
复活	oživit	Tento tradiční svátek se znovu oživuje
复兴	obnova	Kulturní obnova vyžaduje dlouhodobé úsilí
富裕	bohatý	Tato vesnice je čím dál bohatší
腹泻	průjem	Má silný průjem a musí navštívit lékaře
覆盖	pokrýt	Silný sníh pokryl celé údolí
负担	zátěž	Nájem se stal jeho hlavní zátěží
赋予	udělit	Zákon uděluje občanům základní práva
附和	přitakávat	Nemá vlastní názor a jen přitakává ostatním
附件	příloha	Zkontroluj prosím přílohu v e-mailu
附属	přidružený	Tato nemocnice je přidružená k univerzitě
改良	vylepšit	Odborníci vylepšují tento druh rýže
盖章	razítkovat	Po podpisu smlouvy je třeba ji orazítkovat
钙	vápník	Mléko obsahuje hodně vápníku
尴尬	trapný	Na schůzce nastalo trapné ticho
干旱	sucho	Dlouhé sucho ovlivnilo úrodu
干扰	rušit	Hluk mě ruší při práci
干涉	zasahovat	Rodiče by neměli příliš zasahovat do voleb svých dětí
干预	zasáhnout	Vláda včas zasáhla proti tržnímu riziku
感慨	dojetí	Když viděl staré fotografie byl plný dojetí
感染	nakazit	Tento virus snadno nakazí děti
干劲	nadšení	Všichni pracují s velkým nadšením
扛	zvednout	Legenda říká že byl dost silný aby zvedl těžký kotel
纲领	program	Schůze přijala nový akční program
岗位	pozice	Rychle si zvykla na novou pozici
港口	přístav	Nákladní loď zakotvila v přístavu
港湾	zátoka	Malá loď vplula do tiché zátoky
杠杆	páka	Tato investice použila vysokou páku
高超	vynikající	Jeho dovednosti v opravě aut jsou vynikající
高潮	vrchol	Zápas dosáhl vrcholu v posledních deseti minutách
高峰	špička	Osm hodin ráno je dopravní špička
高明	geniální	Tato metoda je opravdu geniální
高尚	ušlechtilý	Profesní duch lékaře je ušlechtilý
高涨	stoupat	Nadšení publika stále stoupalo
稿件	rukopis	Editor upravuje rukopis
告辞	rozloučit se	Už je pozdě proto se nejdřív rozloučíme
告诫	varovat	Učitel varoval studenty aby nepodváděli
割	říznout se	Neopatrně se řízl do prstu
搁	položit	Polož prosím dokumenty na stůl
歌颂	opěvovat	Tato báseň opěvuje dělníky
疙瘩	bulka	Na paži se mu objevila bulka
鸽子	holub	Na náměstí je mnoho holubů
格局	dispozice	Dispozice tohoto bytu je velmi rozumná
格式	formát	Vyplň prosím formulář v požadovaném formátu
隔阂	odcizení	Nedorozumění prohloubilo odcizení mezi nimi
隔离	izolovat	Pacienta je třeba dočasně izolovat
革命	revoluce	Tato revoluce změnila osud země
个体	jednotlivec	Každý jednotlivec má jiné potřeby
各抒己见	vyjádřit vlastní názor	Na schůzi každý vyjádřil vlastní názor
根深蒂固	hluboce zakořeněný	Tato myšlenka je už hluboce zakořeněná
根源	kořen	Kořeny chudoby jsou složité
跟前	k někomu	Dítě běželo k matce
跟随	následovat	Reportér následoval tým do horské oblasti
跟踪	sledovat	Policie sleduje pohyb podezřelého
更新	aktualizovat	Systém se dnes večer automaticky aktualizuje
更正	opravit	Noviny druhý den opravily chybu
耕地	obdělávat pole	Zemědělci na jaře obdělávají pole
供不应求	nedostatek nabídky	Tento lék je momentálně nedostatkový
供给	zásobování	Město potřebuje stabilní zásobování vodou a elektřinou
公安局	úřad veřejné bezpečnosti	Šel na úřad veřejné bezpečnosti nahlásit případ
公道	spravedlivý	Každý doufá ve spravedlivé zacházení
公告	oznámení	Škola vydala oznámení o přerušení výuky
公关	vztahy s veřejností	Firma najala profesionální tým pro vztahy s veřejností.
公民	občan	Každý občan by měl dodržovat zákon
公然	otevřeně	Otevřeně porušil pravidla soutěže
公认	uznávaný	Je uznávaná jako vynikající učitelka
公式	vzorec	Napiš prosím tento matematický vzorec
公务	úřední záležitosti	Odjel na třídenní služební cestu kvůli úředním záležitostem
公正	spravedlivý	Soudce musí zůstat spravedlivý
公证	notářské ověření	Tento dokument potřebuje notářské ověření
功劳	zásluha	Na tomto úspěchu má každý zásluhu
功效	účinek	Účinek tohoto léku je ještě třeba ověřit
宫殿	palác	Turisté navštívili starý palác
工艺品	řemeslný výrobek	Tento řemeslný výrobek byl vyroben ručně
恭敬	uctivě	Uctivě pozdravil staršího člověka
攻击	zaútočit	Hackeři zaútočili na web firmy
攻克	překonat	Výzkumný tým překonal technický problém
巩固	upevnit	Opakování může upevnit naučené znalosti
共和国	republika	Tato republika byla založena v minulém století
共计	celkem	Tato zásilka má celkem tři sta krabic
共鸣	odezva	Tato píseň vyvolala odezvu u mnoha lidí
勾结	spolčit se	Spolčili se s lidmi zvenčí aby podvodně získali peníze
钩子	háček	Na zdi visí několik háčků
构思	připravovat koncept	Spisovatel připravuje koncept nového románu
姑且	prozatím	Prozatím zkusme tento plán na týden
孤独	osamělý	Po přestěhování do nového města se cítil osaměle
孤立	izolovaně	Nedívej se na tento problém izolovaně
辜负	zklamat	Nechci zklamat očekávání svých rodičů
古董	starožitnost	Dědeček nasbíral několik starožitností
古怪	podivný	Jeho nápad je trochu podivný
股东	akcionář	Valná hromada akcionářů se bude konat příští týden
股份	podíl	V této firmě drží podíl
骨干	páteř	Tito inženýři jsou páteří týmu
鼓动	podněcovat	Někdo podněcoval dav k protestu
固然	jistě	Tato metoda je jistě jednoduchá ale riziko není malé
固体	pevná látka	Led je pevná forma vody
固有	vlastní	Každá kultura má své vlastní rysy
固执	tvrdohlavý	Je příliš tvrdohlavý a odmítá poslouchat rady
故乡	rodné město	Po mnoha letech se vrátil do rodného města
故障	porucha	Výtah měl poruchu a je dočasně mimo provoz
雇佣	najmout	Firma se rozhodla najmout více technických pracovníků
顾虑	obava	Jestli máš nějaké obavy můžeš je říct přímo
顾问	poradce	Najali jsme právního poradce
拐杖	hůl	Starý muž si při odchodu často bere hůl
关怀	péče	Učitel věnoval studentům mnoho péče
关照	postarat se	Postarej se prosím o dítě cestou
官方	oficiální	Oficiální zpráva bude oznámena zítra
观光	prohlídka památek	Turisté jeli lodí na prohlídku památek
管辖	spadat pod správu	Tato oblast spadá pod správu městské vlády
惯例	zvyk	Před začátkem schůze je zvykem představit hosty
灌溉	zavlažovat	Zemědělci používají říční vodu k zavlažování polí
罐	sklenice	Na stole je sklenice čajových lístků
贯彻	uvést do praxe	Firma musí uvést nové bezpečnostní standardy do praxe
光彩	zářivý	Tento outfit jí dodal zářivý vzhled
光辉	slavný	Jeho úspěchy zanechaly slavnou stránku
光芒	paprsky	Sluneční paprsky osvětlily údolí
光荣	čestný	Sloužit zemi je čestné
广阔	rozlehlý	Travnatá pláň se táhne bez konce a je velmi rozlehlá
归根到底	v konečném důsledku	V konečném důsledku problém spočívá v řízení
归还	vrátit	Vrať prosím knihy včas
规范	norma	Škola stanovila normy pro správu laboratoře
规格	specifikace	Specifikace této šarže dílů nejsou jednotné
规划	plánování	Městské plánování musí zohlednit dopravu
规章	pravidlo	Zaměstnanci musí dodržovat firemní pravidla
轨道	kolej	Vlak jede po kolejích
贵族	šlechta	Tento statek kdysi patřil šlechtě
跪	klečet	Klekl si před sochu
棍棒	obušek	Policie na místě zabavila obušky
国防	národní obrana	Budování národní obrany vyžaduje dlouhodobé investice
国务院	Státní rada	Státní rada vydala nové oznámení
果断	rozhodný	Vedoucí učinil rozhodné rozhodnutí
过度	nadměrný	Nadměrné používání telefonu může ovlivnit spánek
过渡	přechod	Firma je v přechodné fázi transformace
过奖	přehánět chválu	Přeháníš s chválou ještě se musím učit
过滤	filtrovat	Toto zařízení dokáže filtrovat nečistoty
过失	chyba	Tato nehoda byla způsobena lidskou chybou
过问	zajímat se o	Manažer se do těchto drobných věcí zapojuje jen zřídka
过瘾	uspokojivý	Sledovat tento zápas bylo opravdu uspokojivé
过于	příliš	Tento plán je příliš složitý
嗨	hej	Hej proč jsi přišel také
海拔	nadmořská výška	Tato vesnice leží ve vysoké nadmořské výšce
海滨	pobřeží	Víkend strávili na pobřeží
含糊	nejasný	Jeho odpověď byla velmi nejasná
含义	význam	Toto slovo má zvláštní význam
寒暄	prohodit zdvořilosti	Po setkání si nejprve prohodili několik zdvořilostí
罕见	vzácný	Tato nemoc je velmi vzácná
捍卫	hájit	Právník pracoval na hájení práv klienta
航空	letectví	Letecká společnost zrušila let
航天	kosmonautika	Čínský kosmický program se rychle rozvíjí
航行	plout	Loď pluje po moři
行列	řady	Přidala se k řadám dobrovolníků
毫米	milimetr	Tento kus skla je pět milimetrů silný
毫无	vůbec žádný	Jeho vysvětlení nemá vůbec žádný základ
豪迈	odvážný	Jeho zpěv byl odvážný a silný
号召	vyzvat	Vláda vyzvala všechny aby šetřili vodou
耗费	spotřebovat	Tento projekt spotřeboval velké množství financí
呵	okřiknout	Otec jednou okřikl dítě a ono se hned zastavilo
合并	sloučit se	Tyto dvě firmy se plánují příští rok sloučit
合成	syntetizovat	Tento materiál lze syntetizovat uměle
合伙	společně podnikat	Otevřeli restauraci společně
合算	vyplatit se	Autobus se vyplatí víc než taxi
和蔼	laskavý	Tento lékař mluví velmi laskavě
和解	urovnání	Obě strany nakonec dosáhly urovnání
和睦	harmonický	Sousedé spolu vycházejí harmonicky
和气	přátelský	Šéf se k lidem chová přátelsky
和谐	harmonický	Hudba učinila atmosféru harmoničtější
嘿	hej	Hej slyšel jsi to
痕迹	stopa	Na zemi zůstaly stopy kol
狠心	bezcitný	Bezcitně odmítl žádost svého přítele
恨不得	nejraději bych	Nejraději bych hned šel domů odpočívat
哼	odfrknout si	Nespokojeně si odfrkl
横	vodorovný	Nakresli prosím na papír vodorovnou čáru
哄	propuknout v smích	Všichni propukli v smích
烘	péct	Chléb se peče v troubě
轰动	vyvolat senzaci	Tato zpráva vyvolala senzaci po celé zemi
宏观	makro	Potřebujeme analyzovat ekonomiku z makro pohledu
宏伟	velkolepý	Návrh tohoto mostu je velmi velkolepý
洪水	povodeň	Povodeň zničila několik mostů
喉咙	hrdlo	Mluvil příliš mnoho a trochu ho bolí hrdlo
吼	zařvat	Hlasitě zařval do dálky
候选	kandidát	Letos je kandidátkou na zástupkyni
后代	budoucí generace	Musíme chránit životní prostředí pro budoucí generace
后顾之忧	obavy z budoucnosti	Stabilní příjem ho zbavil obav z budoucnosti
后勤	logistika	Logistické oddělení odpovídá za dodávky materiálu
呼唤	volat	Matka volala dítě u dveří
呼啸	kvílet	Za oknem kvílel studený vítr
呼吁	vyzvat	Odborníci vyzvali všechny aby omezili plýtvání
忽略	přehlédnout	Nepřehlédni prosím tento detail
湖泊	jezero	V této oblasti je mnoho přírodních jezer
胡乱	nahodile	Nepokládej věci nahodile na zem
胡须	vous	Jeho vousy už zbělely
花瓣	okvětní lístek	Po dešti byly okvětní lístky po celé zemi
花蕾	poupě	Na jaře na větvích vyrůstají poupata
华丽	nádherný	Kostýmy na jevišti byly velmi nádherné
华侨	zahraniční Číňan	Mnoho zahraničních Číňanů se vrátilo domů investovat
划分	rozdělit	Učitel rozdělil studenty do čtyř skupin
化肥	chemické hnojivo	Zemědělci použili na plodiny chemické hnojivo
化石	fosilie	Muzeum vystavilo dinosauří fosilie
化验	laboratorní test	Lékař ho požádal aby si nechal udělat krevní test
化妆	líčit se	Před vstupem na jeviště se líčila
画蛇添足	zbytečně přidávat	Další vysvětlení by bylo zbytečné
话筒	mikrofon	Moderátor podal mikrofon publiku
欢乐	radost	Náměstí během festivalu bylo plné radosti
环节	část	Každá část školení je důležitá
还原	obnovit	Obnovte prosím nastavení do výchozího stavu
缓和	zmírnit	Vztahy mezi oběma stranami se postupně zmírnily
患者	pacient	Lékař se ptá na stav pacienta
荒凉	pustý	Tato země vypadá velmi pustě
荒谬	absurdní	Toto vysvětlení zní absurdně
荒唐	nesmyslný	Jeho rozhodnutí bylo příliš nesmyslné
皇帝	císař	Císař žil ve velkolepém paláci
皇后	císařovna	Císařovna se zúčastnila oslavy
黄昏	soumrak	Za soumraku se rozsvítily pouliční lampy
恍然大悟	náhle pochopit	Po vyslechnutí vysvětlení náhle pochopil
晃	zmizet v mžiku	V mžiku zmizel z dohledu
挥霍	plýtvat	Neměl by plýtvat penězi svých rodičů
辉煌	slavný	Toto město má slavnou historii
回报	odměna	Tvrdá práce nakonec přinese odměnu
回避	vyhýbat se	Stále se této otázce vyhýbal
回顾	zhodnotit	Na závěr schůze zhodnotili práci za celý rok
回收	recyklovat	Obytná komunita začala recyklovat staré baterie
悔恨	lítost	Cítil lítost nad svými minulými chybami
毁灭	zničit	Válka toto město téměř zničila
会晤	setkat se	Vedoucí představitelé obou zemí se zítra setkají
汇报	hlásit	Ohlásil manažerovi postup prací
贿赂	úplatek	Úředník byl vyšetřován kvůli úplatkářství
昏迷	kóma	Pacient je stále v kómatu
荤	masité jídlo	Toto jídlo obsahuje maso a není vhodné pro vegetariány
浑身	celé tělo	Po běhu měl celé tělo pokryté potem
混合	smíchat	Smíchejte prosím oba materiály rovnoměrně
混乱	chaos	Na místě byl nějakou dobu velký chaos
混淆	plést si	Nepleť si tyto dva pojmy
混浊	zakalený	Po dešti byla říční voda zakalená
活该	zasloužit si	Ignoroval rady a tak si neúspěch zasloužil
活力	vitalita	Toto město je plné vitality
火箭	raketa	Raketa úspěšně vstoupila na plánovanou oběžnou dráhu
火焰	plamen	Vítr zvedl plameny výš
火药	střelný prach	Střelný prach změnil starověké válčení
货币	měna	Měnová politika ovlivňuje hospodářský rozvoj
基地	základna	Tady kdysi byla důležitá výcviková základna
基金	fond	Škola založila stipendijní fond
基因	gen	Vědci zkoumají tento gen
机动	mobilita	Tento tým si udržuje vysokou mobilitu
机构	instituce	Tato instituce odpovídá za kontrolu kvality
机灵	bystrý	Toto dítě je velmi bystré
机密	důvěrný	Tyto materiály jsou důvěrné
机械	stroje	Továrna zavedla nové stroje
机遇	příležitost	Mladí lidé by měli využít příležitosti
机智	pohotový	Jeho odpověď byla velmi pohotová
激发	podnítit	Učitel podnítil zájem studentů
激励	povzbudit	Tento úspěch povzbudil celý tým
激情	nadšení	Při projevu byl plný nadšení
讥笑	posmívat se	Neposmívej se chybám ostatních
饥饿	hlad	Dlouhodobý hlad může ovlivnit zdraví
即便	i kdyby	I kdyby pršelo vyrazíme včas
即将	chystat se	Schůze se chystá začít
及早	co nejdříve	Problémy by se měly řešit co nejdříve
吉祥	příznivý	Červená v Číně často symbolizuje štěstí
嫉妒	závidět	Neměl by závidět úspěch svého kolegy
急功近利	hnát se za rychlým ziskem	Výzkum by se neměl dělat s honbou za rychlým ziskem
急剧	prudký	Prodej prudce klesl
急切	netrpělivý	Netrpělivě čekala na zprávy
急于求成	spěchat na výsledky	Při učení jazyka nelze spěchat na výsledky
急躁	netrpělivý	Když narazíš na potíže nebuď netrpělivý
极端	extrémní	Takové extrémní počasí je stále častější
极限	hranice	Tento trénink prověřil jeho hranice
疾病	nemoc	Dobré návyky mohou předcházet nemocem
籍贯	místo původu	Ve formuláři je nutné vyplnit místo původu
级别	úroveň	Tato soutěž je rozdělena do tří úrovní
集团	skupina	Tato skupina má pobočky v zahraničí
给予	poskytnout	Škola poskytuje pomoc chudým studentům
季军	třetí místo	V soutěži získal třetí místo
季度	čtvrtletí	Firma zveřejňuje finanční zprávy každé čtvrtletí
寂静	tichý	Údolí je v noci obzvlášť tiché
寄托	vkládat	Do svého dítěte vkládala naděje
忌讳	tabu	Místní lidé považují za tabu mluvit o tom u stolu
技巧	technika	Zvládnutí technik může zvýšit efektivitu
纪要	zápis	Tajemník uspořádal zápis ze schůze
继承	zdědit	Zdědil otcovu kariéru
计较	řešit maličkosti	Neřeš takovou maličkost
记性	paměť	Má velmi dobrou paměť
记载	zaznamenat	Historické knihy zaznamenaly tuto válku
迹象	známka	V současnosti nejsou žádné známky zlepšení
佳肴	lahůdka	Stůl byl plný lahodných jídel
加工	zpracovat	Tyto suroviny je třeba dále zpracovat
加剧	zhoršovat se	Konflikt se zhoršuje
夹杂	mísit se	Do zvuku deště se mísil hrom
家常	domácí	Mám rád domácí jídla
家伙	chlap	Ten chlap vždy chodí pozdě
家属	rodinný příslušník	Lékař informoval rodinné příslušníky pacienta
家喻户晓	všeobecně známý	Tento příběh je všeobecně známý
坚定	pevný	Její postoj je velmi pevný
坚固	pevný	Tento most je velmi pevný
坚韧	odolný	Má odolnou povahu
坚实	pevný	Tento výzkum má pevný základ
坚硬	tvrdý	Tento kámen je velmi tvrdý
尖端	špičkový	Firma investuje do špičkových technologií
尖锐	ostrý	Tento problém je velmi ostrý
煎	smažit	Kuchař smaží rybu
监督	dohled	Veřejný dohled pomáhá zlepšovat práci
监视	sledovat	Policie sleduje podezřelého
监狱	vězení	Odpykává si trest ve vězení
艰难	obtížný	Počáteční fáze podnikání je velmi obtížná
剪彩	přestřihnout pásku	Starosta přestřihl pásku nové knihovně
拣	vybrat	Z košíku vybrala několik jablek
检讨	zhodnotit	Vážně zhodnotil vlastní chyby
检验	ověřit	Experimenty mohou ověřit tuto hypotézu
简化	zjednodušit	Zjednodušte prosím tento proces ještě více
简陋	prostý	Žili v prosté a hrubé chatrči
简体字	zjednodušený čínský znak	Tato učebnice používá zjednodušené čínské znaky
简要	stručný	Stručně prosím vysvětli svůj názor
健全	zdokonalit	Firma potřebuje zdokonalit svůj systém řízení
剑	meč	Na zdi visí starobylý meč
溅	stříknout	Dešťová voda mu stříkla na kalhoty
舰艇	válečná loď	Několik válečných lodí se zúčastnilo cvičení
见多识广	zkušený a znalý	Tento stařec je zkušený a znalý
见解	názor	Na tuto otázku má jedinečný názor
见闻	poznatky	Cestování rozšířilo jeho poznatky a zkušenosti
见义勇为	statečně jednat pro spravedlnost	Byl pochválen za to že statečně udělal správnou věc
践踏	šlapat	Nešlapej po trávníku
鉴别	rozpoznat	Odborníci dokážou rozpoznat zda je tento obraz pravý
鉴定	zkoumat	Policie zkoumá otisky prstů
鉴于	vzhledem k	Vzhledem ke špatnému počasí byla akce odložena
间谍	špion	Tento film vypráví špionážní příběh
间隔	rozestup	Mezi oběma schůzemi je rozestup jednoho týdne
间接	nepřímý	Tato politika bude mít nepřímý dopad
僵硬	strnulý	Jeho úsměv vypadal strnule
将军	generál	Generál vydal rozkaz
将近	téměř	Tento projekt trval téměř dva roky
将就	vystačit si	Podmínky jsou špatné takže si můžeme jen vystačit
奖励	odměnit	Škola odměnila vynikající studenty
奖赏	odměna	Král dal bojovníkovi štědrou odměnu
桨	veslo	Lodník použil veslo aby dopravil loď ke břehu
降临	snést se	Nad městem se postupně snesla noc
交叉	křížit se	Tyto dvě silnice se zde kříží
交代	vysvětlit	Vysvětli prosím úkol jasně
交涉	jednat	Obě strany jednají o odškodnění
交易	transakce	Tato transakce už byla dokončena
娇气	choulostivý	Nebuď příliš choulostivý počasí není studené
焦点	střed pozornosti	Zaměstnanost se stala středem diskuse
焦急	úzkostný	Matka úzkostně čekala na návrat dítěte
侥幸	šťastnou náhodou	Šťastnou náhodou unikl katastrofě
搅拌	míchat	Promíchejte prosím těsto rovnoměrně
缴纳	zaplatit	Obyvatelé musí platit účet za vodu včas
角落	roh	Kočka se schovala v rohu pokoje
教养	výchova	Dobrá výchova se projevuje v detailech
较量	soutěžit	Dva silné týmy se chystají soutěžit
接连	po sobě	Dostal tři e-maily po sobě
揭露	odhalit	Novinář odhalil problém s bezpečností potravin
皆	všichni	Tato pravidla znají všichni
阶层	vrstva	Různé společenské vrstvy mají různé potřeby
截止	uzavřít	Registrace se uzavírá zítra odpoledne
截至	k	Ke dnešku se zaregistrovalo dvě stě lidí
杰出	vynikající	Je vynikající vědkyně
竭尽全力	vynaložit veškeré úsilí	Vynaložíme veškeré úsilí abychom úkol dokončili
结晶	plod	Tento úspěch je plodem mnoha let úsilí
结局	konec	Konec příběhu byl nečekaný
结算	vyrovnat účet	Klient požádal aby byly poplatky vyrovnány na konci měsíce
节制	střídmost	V jídle a pití by měl člověk zachovávat střídmost
节奏	rytmus	Rytmus této písně je rychlý
解除	zrušit	Firma zrušila bezpečnostní poplach
解放	osvobodit	Reforma osvobodila výrobní síly
解雇	propustit	Šéf se rozhodl toho zaměstnance propustit
解剖	anatomie	Studenti medicíny studují anatomii
解散	rozejít se	Po skončení schůze se skupina rozešla
解体	rozpadnout se	Tato aliance se nakonec rozpadla
借鉴	poučit se	Můžeme se poučit ze zahraničních zkušeností
借助	s pomocí	S pomocí mapy našel trasu
戒备	pohotovost	Pohraniční oblast zůstává ve vysoké pohotovosti
界限	hranice	Práce a život potřebují jasné hranice
津津有味	se zájmem	Děti poslouchaly příběh s velkým zájmem
金融	finance	Finanční trh dnes výrazně kolísal
紧迫	naléhavý	Čas je naléhavý a musíme jednat okamžitě
锦上添花	třešnička na dortu	Tento dárek byl opravdu třešničkou na dortu
晋升	povýšit	Minulý rok byl povýšen na vedoucího oddělení
浸泡	namáčet	Fazole je třeba namáčet přes noc
近来	v poslední době	V poslední době se počasí hodně změnilo
进而	pak	Nejprve pochop potřeby a pak sestav plán
进攻	útok	Tým ve druhém poločase posílil útok
进化	vývoj	Organismy se vyvíjejí se svým prostředím
进展	pokrok	Projekt v současnosti postupuje hladce
兢兢业业	svědomitý	Třicet let pracoval svědomitě
惊动	vylekat	Hlasitý zvuk vylekal okolní obyvatele
惊奇	úžas	Děti sledovaly kouzelnické představení s úžasem
惊讶	překvapit	Jeho odpověď mě překvapila
精打细算	pečlivě hospodařit	Vždy pečlivě hospodaří s domácími výdaji
精华	podstata	Tento článek shrnuje podstatu teorie
精简	zefektivnit	Firma se rozhodla zefektivnit řízení
精密	přesný	Tento přístroj je velmi přesný
精确	přesný	Data musí být přesná na dvě desetinná místa
精通	ovládat	Ovládá tři cizí jazyky
精心	pečlivě	Matka pečlivě připravila večeři
精益求精	usilovat o dokonalost	Vynikající řemeslníci vždy usilují o dokonalost
精致	nádherný	Tento dárek je zabalen velmi nádherně
经费	finance	Finance na výzkum už byly schváleny
经纬	zeměpisná délka a šířka	Mapa označuje čáry zeměpisné délky a šířky
茎	stonek	Stonek rostliny podpírá listy
井	studna	U vchodu do vesnice je stará studna
警告	varovat	Učitel varoval studenty aby nepodváděli
警惕	být ve střehu	Měli bychom být ve střehu před internetovými podvody
颈椎	krční páteř	Dlouhé dívání dolů může poškodit krční páteř
境界	úroveň	Jeho malba dosáhla nové úrovně
敬礼	salutovat	Voják salutoval státní vlajce
敬业	oddaný práci	Pracuje vážně a je velmi oddaná práci
竞赛	soutěž	Škola uspořádala matematickou soutěž
竞选	kandidovat	Připravuje se kandidovat na starostu
镜头	objektiv	Fotograf upravil objektiv
纠纷	spor	Obě strany vyřešily spor prostřednictvím mediace
纠正	opravit	Učitel včas opravil chybu ve výslovnosti
酒精	alkohol	Lékař vydezinfikoval ránu alkoholem
就近	poblíž	Studenti se mohou zapsat do školy poblíž
就业	zaměstnanost	Vláda zavedla politiky na podporu zaměstnanosti
