simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
感动	ta'sirlanmoq; hayajonlantirmoq	Uning so'zlari meni juda ta'sirlantirdi.	әсерлену; тебіренту	Оның сөздері мені қатты әсерлендірді.	təsirlənmək; kövrəltmək	Onun sözləri məni çox təsirləndirdi.
感觉	his qilmoq; tuyg'u	Men bugun biroz sovuq his qilyapman.	сезу; сезім	Бүгін аздап суық сияқты сеземін.	hiss etmək; hiss	Mən bu gün bir az soyuq hiss edirəm.
感情	his-tuyg'u; munosabat	Ularning orasidagi munosabat juda yaxshi.	сезім; қарым-қатынас	Олардың арасындағы қарым-қатынас өте жақсы.	hiss; münasibət	Onların arasındakı münasibət çox yaxşıdır.
感谢	rahmat aytmoq; minnatdor bo'lmoq	Yordamingiz uchun rahmat.	алғыс айту; ризашылық білдіру	Көмегіңіз үшін алғыс айтамыз.	təşəkkür etmək; minnətdar olmaq	Köməyiniz üçün sizə təşəkkür edirik.
敢	jur'at qilmoq	Men yolg'iz borishga jur'at qilmayman.	батылдану; дәті бару	Мен жалғыз баруға батылым бармайды.	cürət etmək	Mən tək getməyə cürət etmirəm.
赶	shoshilmoq; yetib kelmoq	Vaqtida yordamga kelganingiz uchun rahmat.	асығу; жетіп келу	Уақытында көмекке келгеніңіз үшін рақмет.	tələsmək; çatmaq	Vaxtında köməyə gəldiyiniz üçün təşəkkür edirəm.
干	qilmoq; ishlamoq	Siz nima qilyapsiz?	істеу; жұмыс істеу	Сен не істеп жатырсың?	etmək; işləmək	Sən nə edirsən?
刚	hozirgina; endigina	Iltimos, hozirgina aytgan gapimni kechiring.	жаңа ғана; дәл	Жаңа ғана айтқан сөзімді кешіріңіз.	indicə; təzəcə	Zəhmət olmasa, indicə dediyim sözləri bağışlayın.
高速公路	tezkor avtomobil yo'li; magistral	Bu yerda yangi magistral yo'l qurildi.	жылдам жол; автомагистраль	Бұл жерде жаңа автомагистраль салынды.	sürətli avtomobil yolu; magistral	Burada yeni magistral yol tikilib.
胳膊	qo'l; bilak	Uning qo'li biroz og'riyapti.	қол	Оның қолы аздап ауырады.	qol	Onun qolu bir az ağrıyır.
各	har bir; turli	Supermarketda turli xil mevalar bor.	әр; әртүрлі	Супермаркетте әртүрлі жемістер бар.	hər; müxtəlif	Supermarketdə müxtəlif meyvələr var.
公里	kilometr	Bu ikki shahar orasidagi masofa uch yuz kilometr.	километр	Бұл екі қаланың арақашықтығы үш жүз километр.	kilometr	Bu iki şəhər arasındakı məsafə üç yüz kilometrdir.
功夫	kungfu; mahorat	Men yaqinda Xitoy kungfusini o'rganyapman.	кунгфу; шеберлік	Мен соңғы кезде қытай кунгфуын үйреніп жүрмін.	kungfu; məharət	Mən son vaxtlar Çin kungfusunu öyrənirəm.
工资	maosh; ish haqi	Uning yangi ishida maoshi yuqori.	жалақы; айлық	Оның жаңа жұмысындағы жалақысы жоғары.	maaş; əməkhaqqı	Onun yeni işində maaşı yüksəkdir.
共同	umumiy; birgalikdagi	Bizda umumiy maqsad bor.	ортақ; бірлескен	Біздің ортақ мақсатымыз бар.	ümumi; ortaq	Bizim ortaq məqsədimiz var.
够	yetarli; ancha	Bugun ancha sovuq.	жеткілікті; әжептәуір	Бүгін әжептәуір суық.	kifayət qədər; xeyli	Bu gün xeyli soyuqdur.
购物	xarid qilish	Xarid uchun internetda to'lov qilish mumkin.	сауда жасау	Сатып алуды интернетте төлеуге болады.	alış-veriş	Alış-veriş üçün internetdə ödəniş etmək olar.
估计	taxmin qilmoq	Menimcha, ular allaqachon aeroportga yetib borishgan.	болжау; шамалау	Меніңше, олар әуежайға жетіп қойған.	təxmin etmək	Məncə, onlar artıq hava limanına çatıblar.
鼓励	ruhlantirmoq; qo'llab-quvvatlamoq	Ota-onalar bolalarga ko'proq dalda berishi kerak.	ынталандыру; қолдау	Ата-аналар балаларға көбірек қолдау көрсетуі керек.	həvəsləndirmək; ruhlandırmaq	Valideynlər uşaqlara daha çox dəstək verməlidirlər.
故意	ataylab; qasddan	Kechirasiz, men ataylab qilmadim.	әдейі; қасақана	Кешіріңіз, мен әдейі істеген жоқпын.	qəsdən; bilərəkdən	Bağışlayın, mən bunu qəsdən etmədim.
顾客	mijoz	Xaridorlar soni uchdan birga kamaydi.	тұтынушы; клиент	Клиенттер үштен бірге азайды.	müştəri	Müştərilər üçdə bir qədər azalıb.
挂	osmoq; go'shakni qo'ymoq	Iltimos, avval telefonni qo'ymang.	ілу; телефонды қою	Өтінемін, телефонды қоя тұрмаңыз.	asmaq; telefonu bağlamaq	Zəhmət olmasa, telefonu hələ bağlamayın.
关键	kalit; asosiy nuqta	Bu muammoning asosiy nuqtasi emas.	маңызды түйін; кілт	Бұл мәселенің негізгі түйіні емес.	əsas məqam; açar	Bu problemin əsas məqamı deyil.
观众	tomoshabin	Televizor qarshisidagi tomoshabin do'stlar, hammaga salom.	көрермен	Теледидар алдындағы көрермен достар, бәріңізге сәлем.	tamaşaçı	Televizor qarşısındakı tamaşaçı dostlar, hamınıza salam.
管理	boshqarmoq; idora qilmoq	Hozir bu uyni kim boshqaradi?	басқару; қадағалау	Қазір бұл үйді кім басқарады?	idarə etmək; nəzarət etmək	İndi bu evi kim idarə edir?
光	yorug'lik; nur	Bugun quyosh nuri juda kuchli.	жарық; сәуле	Бүгін күн сәулесі өте күшті.	işıq; şüa	Bu gün günəş işığı çox güclüdür.
广播	radio; eshittirish	Bobom radio tinglayapti.	радио; хабар	Атам радио тыңдап отыр.	radio; yayım	Babam radio dinləyir.
广告	reklama	Men gazetada sizlarning reklamangizni ko'rdim.	жарнама	Мен газетадан сіздердің жарнамаңызды көрдім.	reklam	Mən qəzetdə sizin reklamınızı gördüm.
逛	aylanmoq; sayr qilmoq	Dam olish kuni savdo markazini aylanib kelaylik.	қыдыру; аралау	Демалыс күні сауда орталығын аралап қайтайық.	gəzmək; dolaşmaq	Həftəsonu ticarət mərkəzini gəzək.
规定	qoida; tartib	Maktabning o'z qoidalari bor.	ереже; тәртіп	Мектептің өз ережелері бар.	qayda; nizam	Məktəbin öz qaydaları var.
国籍	fuqarolik; millat	Iltimos, shaklda fuqaroligingizni yozing.	азаматтық; ұлт	Өтінемін, формаға азаматтығыңызды жазыңыз.	vətəndaşlıq; milliyyət	Zəhmət olmasa, formada vətəndaşlığınızı yazın.
国际	xalqaro	Bu xalqaro yig'ilish.	халықаралық	Бұл халықаралық жиналыс.	beynəlxalq	Bu beynəlxalq görüşdür.
果汁	meva sharbati	Men bir stakan sharbat ichmoqchiman.	жеміс шырыны	Мен бір стақан шырын ішкім келеді.	meyvə şirəsi	Mən bir stəkan şirə içmək istəyirəm.
过程	jarayon	O'rganish jarayoni juda muhim.	үдеріс; процесс	Оқу үдерісі өте маңызды.	proses	Öyrənmə prosesi çox vacibdir.
海洋	okean	Yer yuzasining katta qismi okeandir.	мұхит	Жер бетінің көп бөлігі мұхит.	okean	Yer səthinin böyük hissəsi okeandır.
害羞	uyatchan	U birinchi marta sahnaga chiqqanda biroz uyatchan edi.	ұялшақ	Ол сахнаға бірінші рет шыққанда аздап ұялды.	utancaq	O səhnəyə ilk dəfə çıxanda bir az utandı.
寒假	qishki ta'til	Qishki ta'tilda janubga sayohat qilmoqchiman.	қысқы демалыс	Қысқы демалыста оңтүстікке саяхаттағым келеді.	qış tətili	Qış tətilində cənuba səyahət etmək istəyirəm.
汗	ter	Issiq bo'ldimi, sochiq bilan teringizni arting.	тер	Ыстық болды ма, сүлгімен теріңізді сүртіңіз.	tər	İsti oldu, dəsmalla tərinizi silin.
航班	reys; parvoz	Ushbu reysga xush kelibsiz.	рейс; ұшу	Осы рейске қош келдіңіз.	reys; uçuş	Bu reysə xoş gəlmisiniz.
好处	foyda; afzallik	Ko'proq kitob o'qishning foydasi ko'p.	пайда; артықшылық	Көп кітап оқудың пайдасы көп.	fayda; üstünlük	Çox kitab oxumağın çox faydası var.
好像	go'yo; shekilli	Oramizda tushunmovchilik bor shekilli.	сияқты; секілді	Арамызда түсінбестік бар сияқты.	sanki; deyəsən	Aramızda anlaşılmazlıq var deyəsən.
号码	raqam	Iltimos, telefon raqamingizni menga bering.	нөмір	Телефон нөміріңізді маған беріңіз.	nömrə	Zəhmət olmasa, telefon nömrənizi mənə verin.
合格	talabga javob beradigan; mos	Bu mahsulot sifati talabga javob beradi.	сапалы; талапқа сай	Бұл өнімнің сапасы талапқа сай.	tələblərə uyğun; yararlı	Bu məhsul keyfiyyət standartına uyğundur.
合适	mos; yarashadigan	Bu juft oyoq kiyim juda mos.	лайықты; сәйкес	Бұл аяқ киім өте жарасады.	uyğun; münasib	Bu ayaqqabı çox uyğundur.
盒子	quti	Qutining ichi bo'sh, hech narsa yo'q.	қорап	Қораптың іші бос, ештеңе жоқ.	qutu	Qutunun içi boşdur, heç nə yoxdur.
厚	qalin	Bu kitob juda qalin.	қалың	Бұл кітап өте қалың.	qalın	Bu kitab qalındır.
后悔	afsuslanmoq	Sizga ertaroq aytmaganimdan afsusdaman.	өкіну	Саған ертерек айтпағаныма өкінемін.	peşman olmaq	Sənə daha tez demədiyim üçün peşmanam.
互联网	internet	Internet odamlar hayotiga ko'p qulaylik olib keldi.	интернет	Интернет адамдардың өміріне көп қолайлылық әкелді.	internet	İnternet insanların həyatına çox rahatlıq gətirib.
互相	o'zaro; bir-biriga	Ikkalamiz bir-birimizni qo'llab-quvvatlashimiz kerak.	өзара; бір-біріне	Екеуміз бір-бірімізді қолдауымыз керек.	qarşılıqlı; bir-birinə	İkimiz bir-birimizi dəstəkləməliyik.
护士	hamshira	Hamshira bemorga ukol qilyapti.	медбике	Медбике науқасқа ине салып жатыр.	tibb bacısı	Tibb bacısı xəstəyə iynə vurur.
怀疑	shubhalanmoq; shubha	Menimcha, u bugun yig'ilish borligini unutgan.	күдіктену; күмән	Мен оның бүгін жиналыс бар екенін ұмытқанынан күдіктенемін.	şübhələnmək; şübhə	Mən şübhələnirəm ki, o bu gün iclas olduğunu unudub.
回忆	eslamoq; xotira	Biz ko'pincha bolalikdagi voqealarni eslaymiz.	еске алу; естелік	Біз балалық шақтағы оқиғаларды жиі еске аламыз.	xatırlamaq; xatirə	Biz tez-tez uşaqlıq hadisələrini xatırlayırıq.
活动	mashq qilmoq; faoliyat	Men parkga borib biroz mashq qildim.	қимылдау; іс-шара	Мен саябаққа барып біраз қимылдадым.	hərəkət etmək; fəaliyyət	Mən parka gedib bir az hərəkət etdim.
活泼	jonli; sho'x	Bu bola juda sho'x.	пысық; ширақ	Бұл бала өте ширақ.	canlı; şən	Bu uşaq çox şəndir.
火	olov	Olov xavfli, ehtiyot bo'ling.	от	От қауіпті, абай болыңыз.	od	Od təhlükəlidir, ehtiyatlı olun.
获得	olmoq; qo'lga kiritmoq	Muvaffaqiyatga erishganda ham juda mag'rurlanmaslik kerak.	алу; қол жеткізу	Табысқа жетсең де, тым мақтануға болмайды.	əldə etmək; almaq	Uğur qazansan da, çox qürurlanmaq olmaz.
基础	asos; poydevor	Iltimos, avvalgi asos ustida yana biroz o'zgartiring.	негіз; іргетас	Өтінемін, бұрынғы негіз бойынша тағы өзгертіңіз.	əsas; təməl	Zəhmət olmasa, əvvəlki əsas üzərində bir az da dəyişiklik edin.
激动	hayajonli; hayajonlangan	Bu xabar haqiqatan ham hayajonli.	толқытатын; толқу	Бұл хабар шынымен жүректі толқытады.	həyəcanlı; təsirlənmiş	Bu xəbər həqiqətən həyəcanlandırıcıdır.
积极	faol; ijobiy	U xitoy tilini juda faol o'rganadi.	белсенді; оң	Ол қытай тілін өте белсенді оқиды.	fəal; müsbət	O Çin dilini çox fəal öyrənir.
积累	to'plamoq; jamg'arma	U ishda ko'p tajriba to'pladi.	жинақтау; қорлану	Ол жұмыста көп тәжірибе жинады.	toplamaq; yığmaq	O işdə çox təcrübə toplayıb.
即使	hatto ... bo'lsa ham	Qiyinchilikka duch kelsangiz ham, taslim bo'lmang.	тіпті ... болса да	Қиындыққа кездессеңіз де, бас тартпаңыз.	hətta ... olsa da	Çətinliklə qarşılaşsanız da, təslim olmayın.
及时	o'z vaqtida; vaqtida	Bu yomg'ir ayni vaqtida yog'di.	уақтылы; дер кезінде	Бұл жаңбыр дәл уақытында жауды.	vaxtında; vaxtında gələn	Bu yağış lap vaxtında yağdı.
寄	jo'natmoq; pochta qilmoq	Xatingiz allaqachon yetib bordi.	жіберу; поштаға салу	Хатыңыз жетіп қойды.	göndərmək; poçtla yollamaq	Məktubunuz artıq çatıb.
技术	texnologiya; texnika; mahorat	Bu murakkab texnik masala.	техника; технология; шеберлік	Бұл күрделі техникалық мәселе.	texnologiya; texnika; bacarıq	Bu mürəkkəb texniki məsələdir.
既然	modomiki; shunday ekan	Modomiki keldingiz, birga ovqatlanaylik.	егер; олай болса	Келген екенсің, бірге тамақтанайық.	madam ki; belədirsə	Madam ki gəlmisən, birlikdə yemək yeyək.
继续	davom etmoq	U kompaniyada ishlashni davom ettirishga tayyorligini bildirdi.	жалғастыру	Ол компанияда жұмысын жалғастыруға дайын екенін білдірді.	davam etmək	O şirkətdə işləməyə davam etmək istədiyini bildirdi.
计划	reja	Men rejamni allaqachon o'zgartirdim.	жоспар	Мен жоспарымды өзгертіп қойдым.	plan	Mən planımı artıq dəyişmişəm.
记者	muxbir; jurnalist	Muxbir direktor bilan intervyu qilyapti.	тілші; журналист	Тілші директордан сұхбат алып жатыр.	müxbir; jurnalist	Müxbir direktorla müsahibə aparır.
加班	ortiqcha ishlamoq	Bu hafta biz deyarli har kuni ortiqcha ishladik.	қосымша жұмыс істеу	Осы аптада біз күн сайын дерлік қосымша жұмыс істедік.	əlavə işləmək	Bu həftə demək olar ki, hər gün əlavə işlədik.
加油站	yoqilg'i quyish shoxobchasi	Uyingiz yaqinida yoqilg'i quyish shoxobchasi bormi?	жанармай құю бекеті	Үйіңіздің жанында жанармай құю бекеті бар ма?	yanacaqdoldurma məntəqəsi	Evinizin yaxınlığında yanacaqdoldurma məntəqəsi var?
家具	mebel	Ko'chgandan keyin biz yangi mebel oldik.	жиһаз	Көшкеннен кейін біз жаңа жиһаз алдық.	mebel	Köçəndən sonra yeni mebel aldıq.
假	soxta; yolg'on	Bu chipta soxta.	жалған; өтірік	Бұл билет жалған.	saxta; yalançı	Bu bilet saxtadır.
价格	narx	O'tgan yildan beri mashinalarning narxi pasaymoqda.	баға	Өткен жылдан бастап көліктердің бағасы төмендеп жатыр.	qiymət; qiymət	Ötən ildən bəri avtomobillərin qiyməti azalır.
坚持	turib olmoq; qat'iy davom etmoq	U doim o'z fikrida turib kelgan.	табандылық таныту; ұстану	Ол әрқашан өз көзқарасын ұстанып келеді.	israr etmək; davam gətirmək	O həmişə öz fikrində israr edib.
减肥	ozmoq; vazn tashlamoq	Men vazn tashlash uchun har kuni yuguraman.	арықтау; салмақ тастау	Мен арықтау үшін күн сайын жүгіремін.	arıqlamaq; çəki atmaq	Mən arıqlamaq üçün hər gün qaçıram.
减少	kamaymoq; kamaytirmoq	Xaridorlar soni uchdan birga kamaydi.	азаю; азайту	Клиенттер үштен бірге азайды.	azalmaq; azaltmaq	Müştərilər üçdə bir qədər azalıb.
建议	taklif qilmoq; maslahat bermoq	Men ertaga bir kun dam olishni taklif qilaman.	ұсыну; кеңес беру	Мен ертең бір күн демалуды ұсынамын.	təklif etmək; məsləhət vermək	Mən sabah bir gün istirahət etməyi təklif edirəm.
将来	kelajak	Kelajakda qanday ish qilmoqchisiz?	келешек; болашақ	Болашақта қандай жұмыс істегіңіз келеді?	gələcək	Gələcəkdə hansı işi görməyi planlaşdırırsınız?
奖金	mukofot puli; bonus	Yil oxirida biz bonus oldik.	сыйақы; бонус	Жыл соңында біз сыйақы алдық.	mükafat pulu; bonus	İlin sonunda bonus aldıq.
降低	pasaymoq; kamaytirmoq	Kuz keldi, harorat pasaya boshladi.	төмендеу; төмендету	Күз келді, температура төмендей бастады.	azalmaq; endirmək	Payız gəldi, temperatur düşməyə başladı.
降落	qo'nmoq	Samolyot tez orada qo'nadi.	қону	Ұшақ жақында қонады.	enmək; yerə enmək	Təyyarə tezliklə enəcək.
交	do'stlashmoq; topshirmoq	Men ko'p xitoylik do'stlar orttirdim.	дос табу; тапсыру	Мен көп қытайлық дос таптым.	dostlaşmaq; təhvil vermək	Mən çoxlu çinli dost qazanmışam.
交流	almashinuv; muloqot	Davlatlar orasidagi madaniy almashinuv tobora boyib bormoqda.	алмасу; қарым-қатынас	Елдер арасындағы мәдени алмасу барған сайын байып келеді.	mübadilə; ünsiyyət	Ölkələr arasındakı mədəni mübadilə getdikcə zənginləşir.
交通	transport; yo'l harakati	Bu yerda transport qulay.	көлік; қозғалыс	Бұл жердің көлігі ыңғайлы.	nəqliyyat; yol hərəkəti	Burada nəqliyyat rahatdır.
郊区	shahar atrofi	U shaharning chekkasida yashaydi.	қала маңы	Ол қаланың шетінде тұрады.	şəhərətrafı yer	O şəhərin kənarında yaşayır.
骄傲	mag'rur; kekkaygan	Muvaffaqiyatga erishganda ham juda mag'rurlanmaslik kerak.	мақтаншақ; тәкаппар	Табысқа жетсең де, тым мақтануға болмайды.	qürurlu; təkəbbürlü	Uğur qazansan da, çox qürurlanmaq olmaz.
饺子	chuchvara; jiaozi	Xitoyliklar Bahor bayramida jiaozi yeyishadi.	тұшпара; цзяоцзы	Қытайлықтар Көктем мерекесінде цзяоцзы жейді.	düşbərə; jiaozi	Çinlilər Bahar bayramında jiaozi yeyirlər.
教授	professor	U universitet professori.	профессор	Ол университет профессоры.	professor	O universitet professorudur.
教育	ta'lim; tarbiyalamoq	Bolalarni tarbiyalashda sabr kerak.	білім беру; тәрбиелеу	Балаларды тәрбиелеуге шыдам керек.	təhsil; tərbiyə etmək	Uşaqları tərbiyə etmək üçün səbir lazımdır.
接受	qabul qilmoq	Fikrlaringizning hammasini qabul qilaman.	қабылдау	Сіздің пікірлеріңіздің бәрін қабылдаймын.	qəbul etmək	Fikirlərinizin hamısını qəbul edirəm.
接着	keyin; davom etmoq	U biroz o'ylab, keyin yozishda davom etdi.	содан кейін; жалғастыру	Ол біраз ойланып, содан кейін жаза берді.	sonra; davam etmək	O bir az düşündü və sonra yazmağa davam etdi.
结果	natija	O'yinni ko'rdingizmi, natija qanday bo'ldi?	нәтиже	Ойынды көрдіңіз бе, нәтижесі қалай болды?	nəticə	Oyuna baxdınızmı, nəticə necə oldu?
节	bayram; kun	Bugun qanday bayram?	мереке	Бүгін қандай мереке?	bayram	Bu gün hansı bayramdır?
节约	tejamoq	Iltimos, suvni tejang.	үнемдеу	Суды үнемдеңіз.	qənaət etmək	Zəhmət olmasa, suya qənaət edin.
解释	tushuntirmoq; izoh	U sababini juda aniq tushuntirdi.	түсіндіру; түсініктеме	Ол себебін өте анық түсіндірді.	izah etmək; izah	O səbəbi çox aydın izah etdi.
尽管	garchi; ...ga qaramay	Garchi uni anchadan beri taniyman, lekin yaxshi tushunmayman.	дегенмен; қарамастан	Оны көптен бері танысам да, жақсы түсінбеймін.	baxmayaraq; hərçənd	Onu çoxdan tanısam da, yaxşı başa düşmürəm.
紧张	asabiy; tarang	Birinchi chiqishida u juda asabiy edi.	жүйкесі жұқарған; қобалжыған	Алғашқы қойылымында ол қатты қобалжыды.	həyəcanlı; gərgin	İlk çıxışında o çox həyəcanlı idi.
禁止	taqiqlamoq	Bu yerda chekish taqiqlanadi.	тыйым салу	Бұл жерде темекі шегуге тыйым салынады.	qadağan etmək	Burada siqaret çəkmək qadağandır.
进行	davom etmoq; olib borilmoq	O'yin hali davom etmoqda.	жүру; өткізу	Ойын әлі жүріп жатыр.	davam etmək; aparılmaq	Oyun hələ davam edir.
京剧	Pekin operasi	U mashhur Pekin operasi aktyori.	Бейжің операсы	Ол әйгілі Бейжің операсының әртісі.	Pekin operası	O məşhur Pekin operası aktyorudur.
精彩	ajoyib; yorqin	Bugungi tomosha juda ajoyib bo'ldi!	тамаша; керемет	Бүгінгі қойылым өте керемет болды!	möhtəşəm; parlaq	Bugünkü tamaşa çox möhtəşəm idi!
经济	iqtisodiyot; iqtisodiy	So'nggi yillarda iqtisodiyot tez rivojlandi.	экономика; экономикалық	Соңғы жылдары экономика тез дамыды.	iqtisadiyyat; iqtisadi	Son illərdə iqtisadiyyat sürətlə inkişaf edib.
经历	tajriba; boshdan kechirmoq	U sayohat tajribasini maqola qilib yozdi.	тәжірибе; бастан кешіру	Ол саяхат тәжірибесін мақала етіп жазды.	təcrübə; yaşamaq	O səyahət təcrübəsini məqalə kimi yazdı.
经验	tajriba	U tajribasi boy o'qituvchi.	тәжірибе	Ол тәжірибелі мұғалім.	təcrübə	O təcrübəli müəllimdir.
景色	manzara	Quyosh botganda dengiz bo'yidagi manzara juda chiroyli.	көрініс; пейзаж	Күн батқанда теңіз жағасындағы көрініс өте әдемі.	mənzərə	Gün batanda dəniz kənarındakı mənzərə çox gözəldir.
警察	politsiya; politsiyachi	Politsiya tekshiruv olib bormoqda.	полиция; полиция қызметкері	Полиция тергеу жүргізіп жатыр.	polis	Polis araşdırma aparır.
竞争	raqobatlashmoq; raqobat	U juda o'ziga ishongan va boshqalar bilan raqobatlashishni yoqtiradi.	бәсекелесу; бәсеке	Ол өзіне өте сенімді және басқалармен бәсекелескенді ұнатады.	rəqabət aparmaq; rəqabət	O çox özünə güvənir və başqaları ilə rəqabət aparmağı sevir.
竟然	kutilmaganda; hayratlanarlisi	Men uning bunday odam ekanini umuman kutmagandim.	күтпеген жерден; тіпті	Мен оның осындай адам екенін мүлде ойламаппын.	gözlənilmədən; hətta	Onun belə adam olduğunu heç düşünməmişdim.
镜子	oyna	Kechirasiz, oynani sindirib qo'ydim.	айна	Кешіріңіз, айнаны сындырып алдым.	güzgü	Bağışlayın, güzgünü sındırdım.
究竟	aslida; axir	Siz aslida nega yig'layapsiz?	шын мәнінде; ақыры	Сен шын мәнінде неге жылап тұрсың?	əslində; axı	Sən əslində niyə ağlayırsan?
举	ko'tarmoq	Savolga javob berish uchun qo'lingizni ko'taring.	көтеру	Сұраққа жауап беру үшін қолыңызды көтеріңіз.	qaldırmaq	Suala cavab vermək üçün əlinizi qaldırın.
举办	o'tkazmoq; tashkil qilmoq	Bu tadbirni biz tashkil qilamiz.	өткізу; ұйымдастыру	Бұл іс-шараны біз ұйымдастырамыз.	keçirmək; təşkil etmək	Bu tədbiri biz təşkil edirik.
举行	o'tkazilmoq; bo'lib o'tmoq	Yig'ilish soat ikkida bo'lib o'tadi.	өткізілу; болу	Жиналыс сағат екіде өтеді.	keçirilmək; baş tutmaq	İclas saat ikidə keçiriləcək.
拒绝	rad etmoq	U hammaning taklifini rad etdi.	бас тарту; қабылдамау	Ол бәрінің шақыруынан бас тартты.	rədd etmək; imtina etmək	O hamının dəvətini rədd etdi.
聚会	ziyofat; yig'ilish	Ertaga bir ziyofat bor, qatnashmoqchimisiz?	отырыс; бас қосу	Ертең бір отырыс бар, қатысқың келе ме?	yığıncaq; məclis	Sabah bir məclis var, iştirak etmək istəyirsən?
距离	masofa; uzoq bo'lmoq	Uyim kompaniyadan juda uzoq.	қашықтық; алыс болу	Менің үйім компаниядан өте алыс.	məsafə; uzaq olmaq	Evim şirkətdən çox uzaqdır.
开玩笑	hazillashmoq	Siz hazillashyapsizmi?	әзілдеу	Сен әзілдеп тұрсың ба?	zarafat etmək	Sən zarafat edirsən?
开心	xursand bo'lmoq; quvonmoq	Singlim xursand bo'lib kuldi.	қуану; көңілді болу	Сіңлім қуанып күлді.	sevinmək; şad olmaq	Bacım sevinərək güldü.
看法	fikr; qarash	U doim o'z fikrida turib kelgan.	көзқарас; пікір	Ол әрқашан өз көзқарасын ұстанып келеді.	fikir; baxış	O həmişə öz fikrində israr edib.
烤鸭	qovurilgan o'rdak	Pekin qovurilgan o'rdagi mashhur.	қуырылған үйрек	Бейжіңнің қуырылған үйрегі әйгілі.	qızardılmış ördək	Pekin qızardılmış ördəyi məşhurdur.
考虑	o'ylab ko'rmoq; mulohaza qilmoq	Men bu masalani jiddiy o'ylab ko'raman.	ойлану; қарастыру	Мен бұл мәселені мұқият қарастырамын.	düşünmək; nəzərdən keçirmək	Mən bu məsələni ciddi şəkildə nəzərdən keçirəcəyəm.
棵	daraxt va o'simliklar uchun hisob so'zi	Bu daraxt ham baland, ham katta.	ағаш пен өсімдік санау сөзі	Бұл ағаш әрі биік, әрі үлкен.	ağac və bitki üçün say sözü	Bu ağac həm hündür, həm də böyükdür.
科学	fan; ilmiy	U maktabda ko'p ilmiy bilim o'rgandi.	ғылым; ғылыми	Ол мектепте көп ғылыми білім алды.	elm; elmi	O məktəbdə çox elmi bilik öyrəndi.
咳嗽	yo'talmoq	U shamollagan, juda qattiq yo'talyapti.	жөтелу	Ол суық тиіп, қатты жөтеліп жүр.	öskürmək	O soyuqlayıb və çox pis öskürür.
可怜	achinarli; bechora	Bu bola uyini topa olmayapti, juda achinarli.	аянышты; бейшара	Бұл бала үйін таба алмай жүр, өте аянышты.	yazıq; acınacaqlı	Bu uşaq evini tapa bilmir, çox yazıqdır.
可是	ammo; lekin	Men juda borishni xohlasam ham, lekin rostdan vaqtim yo'q.	бірақ; алайда	Барғым келгенімен, шынында уақытым жоқ.	amma; lakin	Çox getmək istəsəm də, həqiqətən vaxtım yoxdur.
可惜	afsus; achinarli	Bizning ziyofatimizga kela olmasligingiz juda afsus.	өкінішті; әттең	Біздің отырысқа келе алмауыңыз өте өкінішті.	təəssüf; heyif	Bizim məclisə gələ bilməməyiniz çox təəssüf doğurur.
客厅	mehmonxona; yashash xonasi	Dadam mehmonxonada televizor ko'ryapti.	қонақ бөлме	Әкем қонақ бөлмеде теледидар көріп отыр.	qonaq otağı	Atam qonaq otağında televizora baxır.
肯定	aniq; albatta	Men soat beshdan oldin albatta qaytaman.	анық; міндетті түрде	Мен сағат беске дейін міндетті түрде қайтамын.	mütləq; dəqiq	Mən saat beşdən əvvəl mütləq qayıdacağam.
空	bo'sh	Bu xona bo'sh.	бос	Бұл бөлме бос.	boş	Bu otaq boşdur.
空气	havo	Bog'dagi havo juda toza.	ауа	Саябақтағы ауа өте таза.	hava	Parkdakı hava çox təmizdir.
恐怕	qo'rqamanki; shekilli	Qo'rqamanki, yomg'ir yog'adi, soyabon oldingizmi?	қорқамын; бәлкім	Жаңбыр жауатын сияқты, қолшатыр алдыңыз ба?	qorxuram ki; deyəsən	Qorxuram ki, yağış yağacaq, çətir götürmüsünüz?
苦	achchiq; mashaqqat	Bu piyola qahva juda achchiq.	ащы; азап	Бұл кесе кофе өте ащы.	acı; əziyyət	Bu fincan qəhvə çox acıdır.
矿泉水	mineral suv	Men ikki shisha mineral suv oldim.	минералды су	Мен екі бөтелке минералды су сатып алдым.	mineral su	Mən iki şüşə mineral su aldım.
困	uyqusi kelgan; charchagan	Uyqum keldi, uxlashga ketmoqchiman.	ұйқысы келген; шаршаған	Ұйқым келді, ұйықтауға барамын.	yuxulu; yorğun	Yuxum gəlir, yatmağa gedəcəyəm.
困难	qiyin; qiyinchilik	Bu vazifa men uchun juda qiyin.	қиын; қиындық	Бұл тапсырма мен үшін өте қиын.	çətin; çətinlik	Bu tapşırıq mənim üçün çox çətindir.
垃圾桶	axlat qutisi	Ko'chada ko'p axlat qutilari bor.	қоқыс жәшігі	Көшеде көп қоқыс жәшігі бар.	zibil qutusu	Küçədə çoxlu zibil qutusu var.
拉	tortmoq; ushlamoq	Onasi qizining qo'lidan ushlab oldi.	тарту; ұстау	Анасы қызының қолынан ұстады.	çəkmək; tutmaq	Ana qızının əlindən tutdu.
辣	achchiq; o'tkir	Men juda achchiq ovqat yeyishga o'rganmaganman.	ащы	Мен тым ащы тамақ жеуге үйренбегенмін.	acı; istiotlu	Mən çox acı yemək yeməyə öyrəşməmişəm.
