simplified	PT	example_PT
发育	desenvolvimento	O desenvolvimento físico das crianças precisa de nutrição suficiente.
法人	pessoa colectiva	Esta empresa é uma pessoa colectiva independente.
番	palavras	Estas palavras inspiraram-me muito.
凡是	todos	Todos os que se inscreverem têm de participar na formação.
繁华	movimentado	Esta rua costumava ser muito movimentada.
繁忙	atarefado	O aeroporto fica especialmente atarefado durante as férias.
繁体字	caracteres tradicionais	Em Taiwan, usam-se frequentemente caracteres tradicionais.
繁殖	reproduzir-se	Este tipo de planta reproduz-se facilmente.
反驳	refutar	Ele refutou esta opinião com dados.
反常	anormal	O tempo hoje está um pouco anormal.
反感	aversão	Tenho muita aversão a este tipo de publicidade.
反抗	resistir	As pessoas começaram a resistir à regra injusta.
反馈	feedback	Os clientes deram feedback de que o sistema é muito estável.
反面	verso	Por favor, vira a folha para o verso.
反射	reflectir	O espelho reflecte a luz.
反思	reflectir	Depois do fracasso, ele reflectiu seriamente sobre as razões.
反问	perguntar de volta	Ele não respondeu e fez-me uma pergunta de volta.
反之	inversamente	Preços demasiado altos reduzem a procura; inversamente, também é verdade.
泛滥	transbordar	A chuva forte fez o rio transbordar.
范畴	categoria	Esta questão pertence à categoria jurídica.
贩卖	vender	A lei proíbe vender medicamentos falsos.
方位	direcção	O mapa assinala a direcção exacta.
方言	dialecto	Ele consegue perceber o dialecto local.
方圆	raio	Não há hospital num raio de dez quilómetros.
方针	política	A empresa definiu uma nova política de desenvolvimento.
防守	defesa	A defesa desta equipa é muito estável.
防御	defesa	A muralha era usada para defesa contra inimigos.
防止	prevenir	Por favor, aperta o cinto de segurança para prevenir ferimentos.
防治	prevenção e tratamento	O médico explicou métodos de prevenção e tratamento da doença.
纺织	têxtil	Esta cidade é conhecida pela indústria têxtil.
访问	visitar	O jornalista vai visitar este escritor amanhã.
放大	aumentar	Por favor, aumenta um pouco a imagem.
放射	irradiar	Este material irradia calor.
非法	ilegal	Transacções ilegais serão punidas.
飞禽走兽	aves e animais	Na floresta vivem todo o tipo de aves e animais.
飞翔	voar	As gaivotas voam sobre o mar.
飞跃	salto	O desenvolvimento tecnológico conseguiu um grande salto.
肥沃	fértil	Esta terra é muito fértil.
诽谤	difamação	Difamar outras pessoas implica responsabilidade legal.
废除	abolir	Esta regra antiga já foi abolida.
废寝忘食	esquecer sono e comida	Ele ficou tão absorvido na investigação que esqueceu sono e comida.
废墟	ruínas	Depois do terramoto, aquele lugar ficou em ruínas.
沸腾	ferver	A água já ferveu.
肺	pulmão	Fumar pode prejudicar os pulmões.
分辨	distinguir	É difícil para mim distinguir estas duas cores.
分寸	limites	Mesmo a brincar, é preciso conhecer os limites.
分红	dividendo	Os accionistas podem receber dividendos no fim do ano.
分解	decompor	O professor decompôs o problema complexo em vários passos.
分裂	divisão	Conflitos internos causaram a divisão da organização.
分泌	segregar	Este tipo de glândula segrega hormonas.
分明	claro	Os factos já estão muito claros.
分歧	divergência	As duas partes têm divergências sobre o preço.
分散	dispersar	Por favor, dispersa o risco por diferentes projectos.
吩咐	mandar	O chefe mandou-me organizar os documentos.
坟墓	túmulo	Há um túmulo antigo na encosta.
粉末	pó	Por favor, transforma os comprimidos em pó.
粉色	cor-de-rosa	Ela comprou um cachecol cor-de-rosa.
粉碎	desmantelar	A polícia desmantelou este grupo criminoso.
分量	peso	Esta frase tem muito peso.
愤怒	raiva	O tom dele estava cheio de raiva.
丰满	rico	O conteúdo deste artigo ainda não é suficientemente rico.
丰盛	abundante	Eles prepararam um jantar abundante.
丰收	boa colheita	Este ano os agricultores tiveram uma boa colheita.
封闭	fechar	Esta estrada ficará fechada durante as obras.
封建	feudal	Este pensamento feudal já devia ter mudado.
封锁	isolar	A polícia isolou o local do acidente.
锋利	afiado	Esta faca é muito afiada.
风暴	tempestade	Uma tempestade apareceu de repente no mar.
风度	elegância	Ele mostrou muita elegância no palco.
风光	paisagem	A paisagem natural daqui é muito bonita.
风气	ambiente	A escola desenvolveu um bom ambiente de estudo.
风趣	humor	Ele fala com muito humor.
风土人情	costumes locais	Viajar ajuda a conhecer os costumes locais.
风味	sabor local	Esta loja tem um forte sabor local.
逢	sempre que	Sempre que chega o fim de semana, o parque fica animado.
奉献	dedicar	O médico dedicou muito tempo aos doentes.
否决	rejeitar	O conselho rejeitou esta proposta.
夫妇	casal	Este casal gere uma pequena loja.
夫人	esposa	O senhor Wang e a esposa participaram juntos no jantar.
敷衍	superficial	Ele respondeu apenas com algumas frases superficiais.
俘虏	prisioneiro	Depois do fim da guerra, os prisioneiros foram libertados.
幅度	amplitude	A amplitude desta descida de preço é grande.
服从	obedecer	Os soldados têm de obedecer a ordens.
服气	convencido	Ele perdeu o jogo, mas não ficou convencido.
福利	benefícios	Os empregados dão muita importância aos benefícios da empresa.
福气	sorte	Encontrar um bom professor foi uma sorte para ele.
符号	símbolo	Este símbolo representa perigo.
辐射	radiação	O médico lembrou-o de se afastar de radiação forte.
俯视	avistar de cima	Do topo da montanha, é possível avistar toda a cidade de cima.
抚摸	acariciar	Ela acariciou suavemente a cabeça da criança.
抚养	criar	Os avós ajudaram a criar a criança.
腐败	corrupção	O governo está a combater a corrupção.
腐烂	apodrecer	A fruta apodrece se ficar demasiado tempo.
腐蚀	corroer	O ácido pode corroer a superfície do metal.
腐朽	decadente	Eles criticaram o sistema decadente.
辅助	auxiliar	Esta ferramenta pode auxiliar o ensino.
副	vice	Ela foi nomeada vice-gerente.
复活	reviver	Este festival tradicional está a reviver.
复兴	renascimento	O renascimento cultural exige esforço de longo prazo.
富裕	próspero	Esta aldeia está a ficar cada vez mais próspera.
腹泻	diarreia	Ele tem diarreia grave e precisa de consultar um médico.
覆盖	cobrir	A neve intensa cobriu todo o vale.
负担	fardo	A renda tornou-se o seu principal fardo.
赋予	conceder	A lei concede direitos básicos aos cidadãos.
附和	concordar sem opinião	Ele não tem opinião própria e só concorda com os outros.
附件	anexo	Por favor, verifica o anexo no e-mail.
附属	afiliado	Este hospital é afiliado à universidade.
改良	melhorar	Os especialistas estão a melhorar este tipo de arroz.
盖章	carimbar	Depois de assinado, o contrato precisa de ser carimbado.
钙	cálcio	O leite contém muito cálcio.
尴尬	constrangedor	Houve um silêncio constrangedor na reunião.
干旱	seca	A seca prolongada afectou as colheitas.
干扰	interferir	O ruído interfere no meu trabalho.
干涉	interferir	Os pais não devem interferir demasiado nas escolhas dos filhos.
干预	intervir	O governo interveio a tempo no risco do mercado.
感慨	emoção	Ao ver as fotografias antigas, ele ficou cheio de emoção.
感染	infectar	Este vírus infecta facilmente crianças.
干劲	entusiasmo	Todos trabalham com muito entusiasmo.
扛	levantar	Diz a lenda que ele tinha força para levantar um caldeirão pesado.
纲领	programa	A reunião aprovou um novo programa de acção.
岗位	cargo	Ela adaptou-se rapidamente ao novo cargo.
港口	porto	O navio de carga atracou no porto.
港湾	baía	O pequeno barco entrou na baía tranquila.
杠杆	alavancagem	Este investimento usou uma alavancagem elevada.
高超	excelente	A técnica dele para reparar carros é excelente.
高潮	clímax	O jogo atingiu o clímax nos últimos dez minutos.
高峰	hora de ponta	As oito da manhã são hora de ponta no trânsito.
高明	brilhante	Este método é realmente brilhante.
高尚	nobre	O espírito profissional do médico é nobre.
高涨	aumentar	O entusiasmo do público continuou a aumentar.
稿件	manuscrito	O editor está a rever o manuscrito.
告辞	despedir-se	Já é tarde, por isso vamos despedir-nos primeiro.
告诫	avisar	O professor avisou os alunos para não fazerem batota.
割	cortar	Ele cortou o dedo sem querer.
搁	pôr	Por favor, põe os documentos em cima da mesa.
歌颂	elogiar	Este poema elogia os trabalhadores.
疙瘩	caroço	Apareceu um caroço no braço dele.
鸽子	pomba	Há muitas pombas na praça.
格局	disposição	A disposição deste apartamento é muito razoável.
格式	formato	Por favor, preenche o formulário no formato exigido.
隔阂	afastamento	O mal-entendido aprofundou o afastamento entre eles.
隔离	isolar	O doente precisa de ser isolado temporariamente.
革命	revolução	Esta revolução mudou o destino do país.
个体	indivíduo	Cada indivíduo tem necessidades diferentes.
各抒己见	expressar a própria opinião	Na reunião, todos expressaram a própria opinião.
根深蒂固	profundamente enraizado	Esta ideia já está profundamente enraizada.
根源	raiz	As raízes da pobreza são complexas.
跟前	junto de	A criança correu para junto da mãe.
跟随	acompanhar	O jornalista acompanhou a equipa até à zona montanhosa.
跟踪	seguir	A polícia está a seguir os movimentos do suspeito.
更新	actualizar	O sistema será actualizado automaticamente esta noite.
更正	corrigir	O jornal corrigiu o erro no dia seguinte.
耕地	lavrar	Os agricultores estão a lavrar os campos na primavera.
供不应求	procura superior à oferta	Este medicamento está actualmente com procura superior à oferta.
供给	fornecimento	A cidade precisa de um fornecimento estável de água e electricidade.
公安局	serviço de segurança pública	Ele foi ao serviço de segurança pública apresentar queixa.
公道	justo	Todos esperam receber um tratamento justo.
公告	aviso	A escola publicou um aviso de suspensão das aulas.
公关	relações públicas	A empresa contratou uma equipa profissional de relações públicas.
公民	cidadão	Todos os cidadãos devem cumprir a lei.
公然	publicamente	Ele violou publicamente as regras da competição.
公认	reconhecido	Ela é reconhecida como uma professora excelente.
公式	fórmula	Por favor, anota esta fórmula matemática.
公务	serviço oficial	Ele viajou três dias por serviço oficial.
公正	justo	O juiz deve manter-se justo.
公证	notarização	Este documento precisa de notarização.
功劳	mérito	Todos têm mérito neste sucesso.
功效	eficácia	A eficácia deste medicamento ainda precisa de verificação.
宫殿	palácio	Os turistas visitaram o palácio antigo.
工艺品	artesanato	Esta peça de artesanato foi feita à mão.
恭敬	respeitoso	Ele cumprimentou o idoso de forma respeitosa.
攻击	atacar	Hackers atacaram o site da empresa.
攻克	superar	A equipa de investigação superou o problema técnico.
巩固	consolidar	Rever ajuda a consolidar os conhecimentos aprendidos.
共和国	república	Esta república foi fundada no século passado.
共计	totalizar	Este lote de mercadorias totaliza trezentas caixas.
共鸣	ressonância	Esta canção teve ressonância em muitas pessoas.
勾结	conluiar-se	Eles conluiaram-se com pessoas de fora para obter fundos por fraude.
钩子	gancho	Há vários ganchos pendurados na parede.
构思	planear	O escritor está a planear um novo romance.
姑且	por agora	Por agora, vamos experimentar este plano durante uma semana.
孤独	solitário	Depois de se mudar para uma cidade nova, ele sentiu-se solitário.
孤立	isolado	Não vejas este problema de forma isolada.
辜负	desiludir	Não quero desiludir as expectativas dos meus pais.
古董	antiguidade	O avô coleccionou várias antiguidades.
古怪	estranho	A ideia dele é um pouco estranha.
股东	accionista	A assembleia de accionistas será realizada na próxima semana.
股份	acções	Ele detém acções da empresa.
骨干	espinha dorsal	Estes engenheiros são a espinha dorsal da equipa.
鼓动	incitar	Alguém incitou a multidão a protestar.
固然	reconhecidamente	Este método é reconhecidamente simples, mas o risco não é pequeno.
固体	sólido	O gelo é a forma sólida da água.
固有	inerente	Cada cultura tem características inerentes.
固执	teimoso	Ele é demasiado teimoso e recusa ouvir conselhos.
故乡	terra natal	Muitos anos depois, ele voltou à sua terra natal.
故障	avaria	O elevador teve uma avaria e está temporariamente fora de serviço.
雇佣	contratar	A empresa decidiu contratar mais técnicos.
顾虑	preocupação	Podes dizer directamente qualquer preocupação que tenhas.
顾问	consultor	Contratámos um consultor jurídico.
拐杖	bengala	O idoso costuma levar uma bengala quando sai.
关怀	cuidado	O professor deu muito cuidado aos alunos.
关照	tomar conta	Por favor, toma conta da criança no caminho.
官方	oficial	A notícia oficial será anunciada amanhã.
观光	turismo	Os turistas foram fazer turismo de barco.
管辖	jurisdição	Esta zona está sob a jurisdição da câmara municipal.
惯例	costume	Apresentar os convidados antes da reunião é costume.
灌溉	irrigar	Os agricultores usam água do rio para irrigar os campos.
罐	frasco	Há um frasco de folhas de chá em cima da mesa.
贯彻	implementar	A empresa deve implementar os novos padrões de segurança.
光彩	brilho	Esta roupa fez com que ela parecesse radiante.
光辉	glorioso	As conquistas dele deixaram uma página gloriosa.
光芒	raios de luz	Os raios de luz do sol iluminaram o vale.
光荣	honroso	Servir o país é honroso.
广阔	vasto	A pradaria estende-se sem fim e é muito vasta.
归根到底	no fundo	No fundo, o problema está na gestão.
归还	devolver	Por favor, devolve os livros a tempo.
规范	norma	A escola definiu normas para gerir o laboratório.
规格	especificação	As especificações deste lote de peças não são consistentes.
规划	planeamento	O planeamento urbano deve considerar o trânsito.
规章	regulamento	Os funcionários devem cumprir os regulamentos da empresa.
轨道	carril	O comboio avança ao longo dos carris.
贵族	nobreza	Esta quinta pertenceu à nobreza.
跪	ajoelhar-se	Ele ajoelhou-se diante da estátua.
棍棒	cacete	A polícia confiscou os cacetes no local.
国防	defesa nacional	A construção da defesa nacional exige investimento de longo prazo.
国务院	Conselho de Estado	O Conselho de Estado emitiu um novo aviso.
果断	decisivo	O líder tomou uma decisão decisiva.
过度	excessivo	O uso excessivo do telemóvel pode afectar o sono.
过渡	transição	A empresa está numa fase de transição.
过奖	exagerar no elogio	Estás a exagerar no elogio; ainda tenho de aprender.
过滤	filtrar	Este aparelho consegue filtrar impurezas.
过失	erro	Este acidente foi causado por erro humano.
过问	meter-se	O gerente raramente se mete nestes assuntos pequenos.
过瘾	satisfatório	Foi muito satisfatório assistir a este jogo.
过于	demasiado	Este plano é demasiado complicado.
嗨	olá	Olá, porque é que também vieste?
海拔	altitude	Esta aldeia fica a grande altitude.
海滨	beira-mar	Eles passaram o fim de semana à beira-mar.
含糊	vago	A resposta dele foi muito vaga.
含义	significado	Esta palavra tem um significado especial.
寒暄	trocar cumprimentos	Depois de se encontrarem, trocaram primeiro alguns cumprimentos.
罕见	raro	Esta doença é muito rara.
捍卫	defender	O advogado esforçou-se por defender os direitos do cliente.
航空	aviação	A companhia aérea cancelou o voo.
航天	astronáutica	A astronáutica chinesa está a desenvolver-se rapidamente.
航行	navegar	O navio está a navegar no mar.
行列	fileira	Ela juntou-se às fileiras dos voluntários.
毫米	milímetro	Este vidro tem cinco milímetros de espessura.
毫无	sem qualquer	A explicação dele não tem qualquer fundamento.
豪迈	vigoroso	A voz dele era vigorosa e poderosa.
号召	apelar	O governo apelou a todos para pouparem água.
耗费	consumir	Este projecto consumiu muito dinheiro.
呵	gritar	O pai gritou uma vez e a criança parou logo.
合并	fundir	As duas empresas planeiam fundir-se no próximo ano.
合成	sintetizar	Este material pode ser sintetizado artificialmente.
合伙	abrir em sociedade	Eles abriram um restaurante em sociedade.
合算	compensar	Ir de autocarro compensa mais do que apanhar táxi.
和蔼	gentil	Este médico fala de forma muito gentil.
和解	acordo	As duas partes finalmente chegaram a um acordo.
和睦	harmonioso	Os vizinhos dão-se de forma harmoniosa.
和气	amável	O chefe trata as pessoas de forma amável.
和谐	harmonioso	A música tornou o ambiente mais harmonioso.
嘿	olá	Olá, ouviste?
痕迹	vestígio	Ficaram vestígios de rodas no chão.
狠心	cruel	Ele recusou cruelmente o pedido do amigo.
恨不得	querer muito	Queria muito ir já para casa descansar.
哼	bufar	Ele bufou descontente.
横	horizontal	Por favor, desenha uma linha horizontal no papel.
哄	gargalhada	Todos soltaram uma gargalhada.
烘	assar	O pão está a assar no forno.
轰动	causar sensação	Esta notícia causou sensação em todo o país.
宏观	macroeconómico	Precisamos de analisar a economia de uma perspectiva macroeconómica.
宏伟	grandioso	O desenho desta ponte é muito grandioso.
洪水	inundação	A inundação destruiu várias pontes.
喉咙	garganta	Ele falou demasiado e está com a garganta um pouco dorida.
吼	gritar	Ele gritou alto para longe.
候选	candidato	Ela é candidata a representante este ano.
后代	gerações futuras	Devemos proteger o ambiente para as gerações futuras.
后顾之忧	preocupação futura	Um rendimento estável deixou-o sem preocupações futuras.
后勤	logística	O departamento de logística é responsável pelo fornecimento de materiais.
呼唤	chamar	A mãe chamou a criança à porta.
呼啸	uivar	O vento frio uivava fora da janela.
呼吁	apelar	Os especialistas apelaram a todos para reduzir o desperdício.
忽略	ignorar	Por favor, não ignores este detalhe.
湖泊	lago	Esta região tem muitos lagos naturais.
胡乱	ao acaso	Não ponhas as coisas ao acaso no chão.
胡须	barba	A barba dele já ficou branca.
花瓣	pétala	Depois da chuva, as pétalas caíram por todo o chão.
花蕾	botão	Na primavera, crescem botões nos ramos.
华丽	luxuoso	Os fatos em palco eram muito luxuosos.
华侨	chinês ultramarino	Muitos chineses ultramarinos voltaram à terra natal para investir.
划分	dividir	O professor dividiu os alunos em quatro grupos.
化肥	adubo químico	Os agricultores aplicaram adubo químico nas culturas.
化石	fóssil	O museu expôs fósseis de dinossauro.
化验	análise	O médico mandou-o fazer uma análise ao sangue.
化妆	maquilhar-se	Ela estava a maquilhar-se antes de subir ao palco.
画蛇添足	exagerar	Acrescentar mais explicação seria exagerar.
话筒	microfone	O apresentador passou o microfone ao público.
欢乐	alegria	A praça do festival estava cheia de alegria.
环节	parte	Cada parte da formação é importante.
还原	repor	Por favor, repõe as definições para o estado predefinido.
缓和	abrandar	As relações entre as duas partes abrandaram gradualmente.
患者	paciente	O médico está a perguntar pela situação do paciente.
荒凉	desolado	Esta terra parece muito desolada.
荒谬	absurdo	Esta explicação parece absurda.
荒唐	ridículo	A decisão dele foi demasiado ridícula.
皇帝	imperador	O imperador vivia num palácio grandioso.
皇后	imperatriz	A imperatriz participou na celebração.
黄昏	crepúsculo	Ao crepúsculo, as luzes da rua acenderam-se.
恍然大悟	perceber de repente	Depois de ouvir a explicação, ele percebeu de repente.
晃	oscilar	Num instante, ele desapareceu da vista.
挥霍	esbanjar	Ele não devia esbanjar o dinheiro dos pais.
辉煌	glorioso	Esta cidade tem uma história gloriosa.
回报	recompensa	O trabalho árduo acabará por trazer recompensa.
回避	evitar	Ele tem evitado sempre esta questão.
回顾	rever	No fim, a reunião reviu o trabalho do ano.
回收	reciclar	O bairro começou a reciclar pilhas usadas.
悔恨	remorso	Ele sentiu remorso pelos erros do passado.
毁灭	destruir	A guerra quase destruiu esta cidade.
会晤	encontrar-se	Os líderes dos dois países vão encontrar-se amanhã.
汇报	reportar	Ele reportou o progresso ao gerente.
贿赂	suborno	O funcionário foi investigado por suborno.
昏迷	coma	O paciente continua em coma.
荤	com carne	Este prato tem carne e não é adequado para vegetarianos.
浑身	corpo inteiro	Depois de correr, ele estava suado no corpo inteiro.
混合	misturar	Por favor, mistura bem os dois materiais.
混乱	caótico	O local esteve muito caótico por algum tempo.
混淆	confundir	Não confundas estes dois conceitos.
混浊	turvo	Depois da chuva, a água do rio ficou turva.
活该	merecer	Ele ignorou os conselhos, por isso mereceu falhar.
活力	vitalidade	Esta cidade está cheia de vitalidade.
火箭	foguete	O foguete entrou com sucesso na órbita planeada.
火焰	chama	O vento fez as chamas subirem mais alto.
火药	pólvora	A pólvora mudou a guerra antiga.
货币	moeda	A política monetária afecta o desenvolvimento económico.
基地	base	Este lugar foi uma base de treino importante.
基金	fundo	A escola criou um fundo de bolsas.
基因	gene	Os cientistas estão a estudar este gene.
机动	mobilidade	Esta equipa mantém grande mobilidade.
机构	instituição	Esta instituição é responsável pela inspecção da qualidade.
机灵	esperto	Esta criança é muito esperta.
机密	confidencial	Estes materiais são confidenciais.
机械	maquinaria	A fábrica introduziu nova maquinaria.
机遇	oportunidade	Os jovens devem aproveitar as oportunidades.
机智	perspicaz	A resposta dele foi muito perspicaz.
激发	estimular	O professor estimulou o interesse dos alunos.
激励	encorajar	Este sucesso encorajou toda a equipa.
激情	paixão	Ele estava cheio de paixão ao discursar.
讥笑	troçar	Não troces dos erros dos outros.
饥饿	fome	A fome prolongada pode afectar a saúde.
即便	mesmo que	Mesmo que chova, partiremos a horas.
即将	prestes a	A reunião está prestes a começar.
及早	o mais cedo possível	Os problemas devem ser tratados o mais cedo possível.
吉祥	auspicioso	Na China, o vermelho simboliza frequentemente boa sorte.
嫉妒	invejar	Ele não devia invejar o sucesso do colega.
急功近利	procurar ganhos rápidos	A investigação não deve procurar ganhos rápidos.
急剧	acentuado	As vendas caíram acentuadamente.
急切	ansioso	Ela esperava notícias de forma ansiosa.
急于求成	apressar resultados	Não se pode apressar resultados ao aprender uma língua.
急躁	impaciente	Não fiques impaciente quando encontrares dificuldades.
极端	extremo	Este tipo de clima extremo está a tornar-se mais comum.
极限	limite	Este treino desafiou os limites dele.
疾病	doença	Bons hábitos podem prevenir doenças.
籍贯	naturalidade	O formulário exige preencher a naturalidade.
级别	nível	Esta competição está dividida em três níveis.
集团	grupo	Este grupo tem filiais no estrangeiro.
给予	dar	A escola dá ajuda aos alunos pobres.
季军	terceiro lugar	Ele obteve o terceiro lugar na competição.
季度	trimestre	A empresa publica relatórios financeiros todos os trimestres.
寂静	silencioso	O vale à noite é especialmente silencioso.
寄托	depositar	Ela depositou as esperanças no filho.
忌讳	tabu	Os habitantes locais consideram tabu falar disso à mesa.
技巧	técnica	Dominar técnicas pode melhorar a eficiência.
纪要	acta	A secretária organizou a acta da reunião.
继承	herdar	Ele herdou a carreira do pai.
计较	discutir	Não discutas por uma coisa tão pequena.
记性	memória	Ele tem uma memória muito boa.
记载	registar	Os livros de história registaram esta guerra.
迹象	sinal	Actualmente não há sinais de melhoria.
佳肴	iguaria	A mesa estava cheia de iguarias deliciosas.
加工	processar	Estas matérias-primas precisam de ser processadas mais.
加剧	intensificar	O conflito está a intensificar-se.
夹杂	misturar-se	O som da chuva misturava-se com trovões.
家常	caseiro	Gosto de comer pratos caseiros.
家伙	tipo	Esse tipo está sempre atrasado.
家属	familiar	O médico informou os familiares do paciente.
家喻户晓	conhecido por todos	Esta história é conhecida por todos.
坚定	firme	A atitude dela é muito firme.
坚固	sólido	Esta ponte é muito sólida.
坚韧	resiliente	Ele tem uma personalidade resiliente.
坚实	sólido	Esta investigação tem uma base sólida.
坚硬	duro	Esta pedra é muito dura.
尖端	ponta	A empresa investe em tecnologia de ponta.
尖锐	agudo	Este problema é muito agudo.
煎	fritar	O cozinheiro está a fritar peixe.
监督	supervisionar	A supervisão pública ajuda a melhorar o trabalho.
监视	vigiar	A polícia está a vigiar o suspeito.
监狱	prisão	Ele está a cumprir pena na prisão.
艰难	difícil	A fase inicial de criar uma empresa é muito difícil.
剪彩	cortar a fita	O presidente da câmara cortou a fita da nova biblioteca.
拣	escolher	Ela escolheu algumas maçãs no cesto.
检讨	rever	Ele reviu seriamente os seus próprios erros.
检验	testar	As experiências podem testar esta hipótese.
简化	simplificar	Por favor, simplifica ainda mais o processo.
简陋	simples e rudimentar	Eles viviam numa cabana simples e rudimentar.
简体字	caracteres simplificados	Este manual usa caracteres chineses simplificados.
简要	breve	Por favor, explica brevemente a tua opinião.
健全	melhorar	A empresa precisa de melhorar o sistema de gestão.
剑	espada	Há uma espada antiga pendurada na parede.
溅	salpicar	A água da chuva salpicou as calças dele.
舰艇	navio militar	Vários navios militares participaram no exercício.
见多识广	experiente	Este idoso é experiente e sabe muito.
见解	visão	Ele tem uma visão original sobre este problema.
见闻	conhecimento	A viagem alargou o conhecimento e a experiência dele.
见义勇为	agir com coragem	Ele foi elogiado por agir com coragem pelo que era justo.
践踏	pisar	Não pises a relva.
鉴别	identificar	Os especialistas conseguem identificar se este quadro é autêntico.
鉴定	examinar	A polícia está a examinar as impressões digitais.
鉴于	tendo em conta	Tendo em conta o mau tempo, o evento foi adiado.
间谍	espião	Este filme conta uma história de espiões.
间隔	intervalo	As duas reuniões têm um intervalo de uma semana.
间接	indirecto	Esta política terá um impacto indirecto.
僵硬	rígido	O sorriso dele parecia rígido.
将军	general	O general deu a ordem.
将近	quase	Este projecto durou quase dois anos.
将就	desenrascar	As condições são fracas, por isso só podemos desenrascar.
奖励	recompensar	A escola recompensou os alunos excelentes.
奖赏	recompensa	O rei deu uma recompensa generosa ao guerreiro.
桨	remo	O barqueiro usou o remo para levar o barco até à margem.
降临	cair	A noite caiu gradualmente sobre a cidade.
交叉	cruzar	As duas estradas cruzam-se aqui.
交代	explicar	Por favor, explica claramente a tarefa.
交涉	negociar	As duas partes estão a negociar a compensação.
交易	transacção	Esta transacção já foi concluída.
娇气	melindroso	Não sejas tão melindroso; o tempo nem está frio.
焦点	foco	O emprego tornou-se o foco da discussão.
焦急	ansioso	A mãe esperava ansiosamente pelo regresso do filho.
侥幸	por sorte	Ele escapou ao desastre por sorte.
搅拌	mexer	Por favor, mexe a massa de forma uniforme.
缴纳	pagar	Os residentes precisam de pagar a água a tempo.
角落	canto	O gato escondeu-se no canto do quarto.
教养	educação	Uma boa educação aparece nos detalhes.
较量	competir	As duas equipas fortes estão prestes a competir.
接连	seguido	Ele recebeu três e-mails seguidos.
揭露	expor	O jornalista expôs um problema de segurança alimentar.
皆	todos	Estas regras são conhecidas por todos.
阶层	camada social	Camadas sociais diferentes têm necessidades diferentes.
截止	encerrar	As inscrições encerram amanhã à tarde.
截至	até	Até hoje, duzentas pessoas já se inscreveram.
杰出	excepcional	Ela é uma cientista excepcional.
竭尽全力	fazer todos os esforços	Faremos todos os esforços para concluir a tarefa.
结晶	fruto	Este resultado é fruto de anos de esforço.
结局	final	O final da história foi inesperado.
结算	liquidar	O cliente pediu para liquidar as despesas no fim do mês.
节制	moderação	É preciso ter moderação na alimentação.
节奏	ritmo	O ritmo desta canção é rápido.
解除	levantar	A empresa levantou o alerta de segurança.
解放	libertar	A reforma libertou as forças produtivas.
解雇	despedir	O chefe decidiu despedir aquele funcionário.
解剖	anatomia	Os estudantes de medicina estão a estudar anatomia.
解散	dispersar	Depois da reunião, o grupo dispersou.
解体	desintegrar-se	Aquela aliança acabou por se desintegrar.
借鉴	aprender com	Podemos aprender com experiências estrangeiras.
借助	com ajuda de	Ele encontrou o caminho com a ajuda do mapa.
戒备	alerta	A zona fronteiriça mantém-se em alerta elevado.
界限	limite	O trabalho e a vida precisam de limites claros.
津津有味	com grande interesse	As crianças ouviram a história com grande interesse.
金融	financeiro	O mercado financeiro oscilou muito hoje.
紧迫	urgente	O tempo é urgente e temos de agir imediatamente.
锦上添花	cereja no topo do bolo	Este presente foi mesmo a cereja no topo do bolo.
晋升	promover	Ele foi promovido a gerente de departamento no ano passado.
浸泡	demolhar	Os feijões precisam de ficar de molho durante a noite.
近来	ultimamente	Ultimamente o tempo tem mudado muito.
进而	em seguida	Primeiro compreende as necessidades e, em seguida, formula um plano.
进攻	atacar	A equipa reforçou o ataque na segunda parte.
进化	evolução	Os organismos evoluem com o ambiente.
进展	progresso	O projecto está actualmente a progredir bem.
兢兢业业	diligente	Ele trabalhou de forma diligente durante trinta anos.
惊动	alarmar	O barulho forte alarmou os moradores próximos.
惊奇	espantado	As crianças olharam espantadas para o espectáculo de magia.
惊讶	surpreendido	A resposta dele surpreendeu-me.
精打细算	gerir com cuidado	Ela gere sempre as despesas domésticas com cuidado.
精华	essência	Este artigo resume a essência da teoria.
精简	racionalizar	A empresa decidiu racionalizar a gestão.
精密	preciso	Este instrumento é muito preciso.
精确	exacto	Os dados devem ser exactos até duas casas decimais.
精通	dominar	Ele domina três línguas estrangeiras.
精心	com cuidado	A mãe preparou o jantar com cuidado.
精益求精	procurar a perfeição	Artesãos excelentes procuram sempre a perfeição.
精致	refinado	Este presente está embalado de forma muito refinada.
经费	fundos	Os fundos de investigação já foram aprovados.
经纬	longitude e latitude	O mapa assinala linhas de longitude e latitude.
茎	caule	O caule da planta sustenta as folhas.
井	poço	Há um poço antigo à entrada da aldeia.
警告	avisar	O professor avisou os alunos para não fazerem batota.
警惕	estar alerta	Devemos estar alerta contra fraudes online.
颈椎	coluna cervical	Olhar para baixo durante muito tempo pode prejudicar a coluna cervical.
境界	nível	A pintura dele atingiu um novo nível.
敬礼	saudar	O soldado saudou a bandeira nacional.
敬业	dedicado	Ela trabalha com seriedade e é muito dedicada.
竞赛	concurso	A escola organizou um concurso de matemática.
竞选	candidatar-se	Ele está a preparar-se para se candidatar a presidente da câmara.
镜头	objectiva	O fotógrafo ajustou a objectiva.
纠纷	disputa	As duas partes resolveram a disputa por mediação.
纠正	corrigir	O professor corrigiu a tempo o erro de pronúncia.
