simplified	ES	example_ES	FR	example_FR	DE	example_DE
胖	gordo; rellenito	Este perro está un poco gordo.	gros; un peu rond	Ce chien est un peu gros.	dick; pummelig	Dieser Hund ist ein bisschen dick.
啤酒	la cerveza	Papá no bebe cerveza.	la bière	Papa ne boit pas de bière.	das Bier	Papa trinkt kein Bier.
皮鞋	los zapatos de cuero	Este par de zapatos de cuero es caro.	les chaussures en cuir	Cette paire de chaussures en cuir est chère.	die Lederschuhe	Dieses Paar Lederschuhe ist teuer.
瓶子	la botella	Hay agua en la botella.	la bouteille	Il y a de l'eau dans la bouteille.	die Flasche	In der Flasche ist Wasser.
其实	en realidad; de hecho	En realidad, no me gusta la cerveza.	en fait; en réalité	En fait, je n'aime pas la bière.	eigentlich; tatsächlich	Eigentlich mag ich kein Bier.
其他	otro; los demás	Los otros compañeros ya han venido.	autre; les autres	Les autres camarades sont tous déjà arrivés.	andere; die übrigen	Die anderen Mitschüler sind alle gekommen.
奇怪	raro; extraño	Este sonido es muy extraño.	étrange; bizarre	Ce son est très étrange.	seltsam; merkwürdig	Dieses Geräusch ist sehr seltsam.
骑	montar; ir en	Monta en bicicleta al trabajo todos los días.	monter; aller à vélo	Il va au travail à vélo tous les jours.	fahren; reiten	Er fährt jeden Tag mit dem Fahrrad zur Arbeit.
起飞	despegar	El avión despegará pronto.	décoller	L'avion va bientôt décoller.	starten; abheben	Das Flugzeug hebt bald ab.
起来	levantarse; hacia arriba	Por favor, levántate.	se lever; vers le haut	Lève-toi, s'il te plaît.	aufstehen; hoch	Bitte steh auf.
清楚	claro; claramente	Hablaste muy claramente.	clairement; clair	Tu as parlé très clairement.	klar; deutlich	Du hast sehr deutlich gesprochen.
请假	pedir permiso; pedir días libres	Él está resfriado y necesita pedir permiso.	demander un congé	Il a un rhume et doit demander un congé.	um Urlaub bitten; sich freinehmen	Er ist erkältet und muss um Urlaub bitten.
秋	el otoño	El clima en otoño es agradable.	l'automne	Le temps en automne est agréable.	der Herbst	Das Wetter im Herbst ist angenehm.
裙子	la falda	Esta falda es muy bonita.	la jupe	Cette jupe est très jolie.	der Rock	Dieser Rock ist sehr hübsch.
然后	luego; después	Primero como y luego hago los deberes.	puis; ensuite	Je mange d'abord, puis je fais mes devoirs.	dann; danach	Ich esse zuerst und mache dann Hausaufgaben.
热情	cálido; entusiasta	Los amigos chinos son muy cálidos.	chaleureux; enthousiaste	Les amis chinois sont très chaleureux.	herzlich; begeistert	Chinesische Freunde sind sehr herzlich.
认为	creer; considerar	Creo que este método es bueno.	penser; considérer	Je pense que cette méthode est bonne.	meinen; denken	Ich denke, diese Methode ist gut.
认真	serio; atento	Por favor, escucha al profesor con atención.	sérieux; attentif	Écoute attentivement le professeur, s'il te plaît.	ernsthaft; sorgfältig	Bitte hör dem Lehrer aufmerksam zu.
容易	fácil	Este carácter chino es fácil de escribir.	facile	Ce caractère chinois est facile à écrire.	einfach; leicht	Dieses chinesische Zeichen ist leicht zu schreiben.
如果	si	Si llueve, tomaremos el metro.	si	S'il pleut, nous prendrons le métro.	wenn; falls	Wenn es regnet, nehmen wir die U-Bahn.
伞	el paraguas	Está lloviendo; por favor, trae un paraguas.	le parapluie	Il pleut ; apporte un parapluie, s'il te plaît.	der Regenschirm	Es regnet; bitte bring einen Regenschirm mit.
上网	conectarse a internet; navegar	Por la noche me conecto a internet para mirar el mapa.	aller sur Internet; se connecter	Le soir, je vais sur Internet pour consulter la carte.	ins Internet gehen; online gehen	Abends gehe ich online, um die Karte zu prüfen.
声音	la voz; el sonido	Tu voz suena bonita.	la voix; le son	Ta voix est agréable.	die Stimme; der Klang	Deine Stimme klingt schön.
生气	enfadado; enojarse	No te enfades; no lo hice a propósito.	en colère; se fâcher	Ne te fâche pas ; je ne l'ai pas fait exprès.	wütend; sich ärgern	Sei nicht böse; ich habe es nicht absichtlich gemacht.
世界	el mundo	El mundo es muy grande.	le monde	Le monde est très grand.	die Welt	Die Welt ist sehr groß.
试	probar; intentar	Quiero probarme estos zapatos de cuero.	essayer; tester	Je veux essayer cette paire de chaussures en cuir.	probieren; versuchen	Ich möchte dieses Paar Lederschuhe anprobieren.
瘦	delgado	Él está más delgado que antes.	mince; maigre	Il est plus mince qu'avant.	dünn; schlank	Er ist dünner als früher.
叔叔	el tío paterno; el tío	El tío me lleva a la escuela en coche.	l'oncle paternel; l'oncle	Mon oncle m'emmène à l'école en voiture.	der Onkel väterlicherseits; der Onkel	Der Onkel fährt mich zur Schule.
舒服	cómodo; sentirse bien	Esta silla es cómoda.	confortable; se sentir bien	Cette chaise est confortable.	bequem; angenehm	Dieser Stuhl ist bequem.
数学	las matemáticas	La clase de matemáticas es interesante.	les mathématiques	Le cours de mathématiques est intéressant.	die Mathematik	Matheunterricht ist interessant.
树	el árbol	Hay un árbol delante de la casa.	l'arbre	Il y a un arbre devant la maison.	der Baum	Vor dem Haus steht ein Baum.
刷牙	cepillarse los dientes	Me cepillo los dientes todas las mañanas.	se brosser les dents	Je me brosse les dents tous les matins.	Zähne putzen	Ich putze mir jeden Morgen die Zähne.
双	el par; doble	Compré un par de zapatos de cuero.	la paire; double	J'ai acheté une paire de chaussures en cuir.	das Paar; doppelt	Ich habe ein Paar Lederschuhe gekauft.
水平	el nivel	Su nivel de chino es alto.	le niveau	Son niveau de chinois est élevé.	das Niveau	Sein Chinesisch-Niveau ist hoch.
司机	el conductor	El conductor nos espera en la puerta.	le chauffeur; le conducteur	Le chauffeur nous attend devant la porte.	der Fahrer	Der Fahrer wartet an der Tür auf uns.
太阳	el sol	Hoy el sol es fuerte.	le soleil	Le soleil est fort aujourd'hui.	die Sonne	Die Sonne ist heute stark.
特别	especial; especialmente	Este programa es especialmente interesante.	spécial; particulièrement	Cette émission est particulièrement intéressante.	besonders; speziell	Diese Sendung ist besonders interessant.
疼	doler; doloroso	Me duele la pierna.	faire mal; douloureux	J'ai mal à la jambe.	wehtun; schmerzhaft	Mein Bein tut weh.
提高	mejorar; elevar	Más práctica puede mejorar el nivel de chino.	améliorer; élever	Plus de pratique peut améliorer le niveau de chinois.	verbessern; erhöhen	Mehr Übung kann das Chinesisch-Niveau verbessern.
体育	el deporte; la educación física	Me gusta la clase de educación física.	le sport; l'éducation physique	J'aime le cours de sport.	der Sport; der Sportunterricht	Ich mag Sportunterricht.
甜	dulce	Esta bebida es demasiado dulce.	sucré	Cette boisson est trop sucrée.	süß	Dieses Getränk ist zu süß.
条	clasificador para objetos largos; artículo	Compré una falda.	classificateur pour objets longs; article	J'ai acheté une jupe.	Zähleinheitswort für lange Dinge; Artikel	Ich habe einen Rock gekauft.
同事	el colega	Mi colega está muy ocupado.	le collègue	Mon collègue est très occupé.	der Kollege	Mein Kollege ist sehr beschäftigt.
同意	estar de acuerdo; aceptar	Estoy de acuerdo con tu decisión.	être d'accord; consentir	Je suis d'accord avec ta décision.	einverstanden sein; zustimmen	Ich bin mit deiner Entscheidung einverstanden.
头发	el pelo; el cabello	Ella tiene el pelo largo.	les cheveux	Elle a les cheveux longs.	die Haare	Ihre Haare sind lang.
突然	de repente; repentino	Él se fue de repente.	soudain; soudainement	Il est parti soudainement.	plötzlich	Er ist plötzlich gegangen.
图书馆	la biblioteca	La biblioteca no está abierta hoy.	la bibliothèque	La bibliothèque n'est pas ouverte aujourd'hui.	die Bibliothek	Die Bibliothek ist heute nicht geöffnet.
腿	la pierna	Después de subir la montaña, me duelen las piernas.	la jambe	Après la randonnée en montagne, j'ai mal aux jambes.	das Bein	Nach dem Bergsteigen tun mir die Beine weh.
完成	completar; terminar	Ya terminé los deberes.	terminer; achever	J'ai déjà terminé les devoirs.	fertigstellen; abschließen	Ich habe die Hausaufgaben schon fertig gemacht.
碗	el cuenco; el bol	Hay dos cuencos sobre la mesa.	le bol; le petit saladier	Il y a deux bols sur la table.	die Schüssel; die Schale	Auf dem Tisch stehen zwei Schüsseln.
万	diez mil	Esta ciudad tiene diez mil habitantes.	dix mille	Cette ville compte dix mille habitants.	zehntausend	Diese Stadt hat zehntausend Einwohner.
忘记	olvidar	No olvides traer tu pasaporte.	oublier	N'oublie pas d'apporter ton passeport.	vergessen	Vergiss nicht, deinen Pass mitzubringen.
为	por; para	Estoy feliz por ti.	pour; à cause de	Je suis heureux pour toi.	für; wegen	Ich freue mich für dich.
为了	para; con el fin de	Para el examen, él repasa todos los días.	pour; afin de	Pour l'examen, il révise tous les jours.	um zu; für	Für die Prüfung wiederholt er jeden Tag.
位	clasificador cortés para personas	Este profesor es muy famoso.	classificateur poli pour personnes	Ce professeur est très connu.	höfliches Zähleinheitswort für Personen	Dieser Lehrer ist sehr bekannt.
文化	la cultura	Quiero entender la cultura china.	la culture	Je veux comprendre la culture chinoise.	die Kultur	Ich möchte die chinesische Kultur verstehen.
西	el oeste	El banco está al oeste de la escuela.	l'ouest	La banque est à l'ouest de l'école.	der Westen	Die Bank liegt westlich der Schule.
习惯	el hábito; acostumbrarse	Estoy acostumbrado a hacer ejercicio por la mañana.	l'habitude; être habitué	J'ai l'habitude de faire de l'exercice le matin.	die Gewohnheit; gewohnt sein	Ich bin daran gewöhnt, morgens Sport zu treiben.
洗手间	el baño; el aseo	El baño está a la derecha.	les toilettes; les WC	Les toilettes sont à droite.	die Toilette; der Waschraum	Die Toilette ist rechts.
洗澡	ducharse; bañarse	Me ducho por la noche.	se doucher; prendre un bain	Je prends une douche le soir.	duschen; baden	Ich dusche abends.
夏	el verano	El verano es muy caluroso.	l'été	L'été est très chaud.	der Sommer	Der Sommer ist sehr heiß.
先	primero; antes	Tú come primero.	d'abord; avant	Mange d'abord.	zuerst; vorher	Iss du zuerst.
相信	creer	Creo que él vendrá.	croire	Je crois qu'il viendra.	glauben	Ich glaube, dass er kommt.
香蕉	el plátano; la banana	Compré tres plátanos.	la banane	J'ai acheté trois bananes.	die Banane	Ich habe drei Bananen gekauft.
像	parecerse; ser como	Esta nube parece un pájaro.	ressembler à; être comme	Ce nuage ressemble à un oiseau.	ähneln; aussehen wie	Diese Wolke sieht aus wie ein Vogel.
向	hacia; dirección	Por favor, camina hacia la izquierda.	vers; direction	Marche vers la gauche, s'il te plaît.	in Richtung; nach	Bitte geh nach links.
小心	tener cuidado	Está lloviendo; ten cuidado en el camino.	faire attention	Il pleut ; fais attention sur la route.	vorsichtig sein; aufpassen	Es regnet; pass unterwegs auf.
校长	el director de escuela	El director está en la oficina.	le directeur d'école	Le directeur est dans le bureau.	der Schulleiter	Der Schulleiter ist im Büro.
新闻	las noticias	Papá ve las noticias todos los días.	les informations; les nouvelles	Papa regarde les informations tous les jours.	die Nachrichten	Papa schaut jeden Tag die Nachrichten.
新鲜	fresco	Esta fruta está muy fresca.	frais	Ce fruit est très frais.	frisch	Dieses Obst ist sehr frisch.
信用卡	la tarjeta de crédito	¿Puedo pagar con tarjeta de crédito?	la carte de crédit	Puis-je payer par carte de crédit ?	die Kreditkarte	Kann ich mit Kreditkarte bezahlen?
行李箱	la maleta	Mi maleta pesa mucho.	la valise	Ma valise est lourde.	der Koffer	Mein Koffer ist schwer.
熊猫	el panda	A los niños les gusta ver pandas.	le panda	Les enfants aiment regarder les pandas.	der Panda	Kinder schauen gern Pandas an.
需要	necesitar	Necesito tu ayuda.	avoir besoin de	J'ai besoin de ton aide.	brauchen; benötigen	Ich brauche deine Hilfe.
选择	elegir; la elección	¿Qué camisa eliges?	choisir; le choix	Quelle chemise choisis-tu ?	wählen; die Wahl	Welches Hemd wählst du?
要求	pedir; exigir	El profesor nos pide hacer los deberes con cuidado.	demander; exiger	Le professeur nous demande de faire les devoirs soigneusement.	fordern; verlangen	Der Lehrer verlangt, dass wir die Hausaufgaben sorgfältig machen.
爷爷	el abuelo paterno; el abuelo	El abuelo va al parque todos los días.	le grand-père paternel; le grand-père	Grand-père va au parc tous les jours.	der Großvater väterlicherseits; der Opa	Opa geht jeden Tag in den Park.
一直	siempre; continuamente	Él te ha estado esperando todo el tiempo.	toujours; continuellement	Il t'attend depuis tout à l'heure.	immer; die ganze Zeit	Er wartet die ganze Zeit auf dich.
一定	seguramente; sin falta	Sin falta vendré.	sûrement; certainement	Je viendrai certainement.	bestimmt; sicher	Ich komme bestimmt.
一共	en total	¿Cuánto cuestan estos libros en total?	au total	Combien coûtent ces livres au total ?	insgesamt	Wie viel kosten diese Bücher insgesamt?
一会儿	un rato	Por favor, espérame un rato.	un moment	Attends-moi un moment, s'il te plaît.	eine Weile	Bitte warte eine Weile auf mich.
一样	igual; lo mismo	Estas dos tazas son del mismo tamaño.	pareil; identique	Ces deux tasses ont la même taille.	gleich	Diese beiden Tassen sind gleich groß.
以前	antes; anteriormente	Antes vivía en Pekín.	avant; autrefois	Avant, j'habitais à Pékin.	früher; vorher	Früher habe ich in Peking gewohnt.
一般	normal; corriente; medio	La comida de este restaurante es normal.	ordinaire; moyen	La nourriture de ce restaurant est moyenne.	allgemein; gewöhnlich; durchschnittlich	Das Essen in diesem Restaurant ist durchschnittlich.
一边	un lado; mientras	Él escucha música mientras hace los deberes.	un côté; en même temps	Il écoute de la musique en faisant ses devoirs.	eine Seite; während	Er hört Musik, während er Hausaufgaben macht.
音乐	la música	Me gusta la música china.	la musique	J'aime la musique chinoise.	die Musik	Ich mag chinesische Musik.
银行	el banco	El banco está al lado del supermercado.	la banque	La banque est à côté du supermarché.	die Bank	Die Bank ist neben dem Supermarkt.
饮料	la bebida	Esta bebida sabe bien.	la boisson	Cette boisson a bon goût.	das Getränk	Dieses Getränk schmeckt gut.
应该	deber; debería	Deberías descansar más.	devoir; il faudrait	Tu devrais te reposer davantage.	sollen; sollten	Du solltest dich mehr ausruhen.
影响	la influencia; influir	El tiempo afectará al partido.	l'influence; influencer	Le temps va influencer le match.	der Einfluss; beeinflussen	Das Wetter wird das Spiel beeinflussen.
用	usar; utilizar	Uso el ordenador para hacer los deberes.	utiliser	J'utilise l'ordinateur pour faire mes devoirs.	benutzen; verwenden	Ich benutze den Computer, um Hausaufgaben zu machen.
游戏	el juego	Los niños están jugando.	le jeu	Les enfants jouent.	das Spiel	Die Kinder spielen Spiele.
有名	famoso	Este restaurante es muy famoso.	célèbre; connu	Ce restaurant est très connu.	berühmt; bekannt	Dieses Restaurant ist sehr bekannt.
又	otra vez; de nuevo	Él volvió a llegar tarde hoy.	encore; de nouveau	Il est encore arrivé en retard aujourd'hui.	wieder; erneut	Er ist heute wieder zu spät gekommen.
遇到	encontrarse con; topar con	Me encontré con el profesor en la calle.	rencontrer; tomber sur	J'ai rencontré le professeur dans la rue.	begegnen; antreffen	Ich bin dem Lehrer auf der Straße begegnet.
元	el yuan; la unidad monetaria	Este diccionario cuesta cincuenta yuanes.	le yuan; l'unité monétaire	Ce dictionnaire coûte cinquante yuans.	der Yuan	Dieses Wörterbuch kostet fünfzig Yuan.
愿意	estar dispuesto; querer	¿Estás dispuesto a participar?	être prêt à; vouloir	Es-tu prêt à participer ?	bereit sein; wollen	Bist du bereit teilzunehmen?
月亮	la luna	La luna está brillante esta noche.	la lune	La lune est brillante ce soir.	der Mond	Der Mond ist heute Abend hell.
越	cuanto más... más...	Cuanto más estudio chino, más interesante se vuelve.	plus... plus...	Plus j'étudie le chinois, plus cela devient intéressant.	je mehr... desto mehr...	Je mehr ich Chinesisch lerne, desto interessanter wird es.
站	la estación; estar de pie	Él está de pie en la puerta.	la station; être debout	Il est debout à la porte.	die Station; stehen	Er steht an der Tür.
张	clasificador para objetos planos	Por favor, dame un mapa.	classificateur pour objets plats	Donne-moi une carte, s'il te plaît.	Zähleinheitswort für flache Gegenstände	Bitte gib mir eine Karte.
长	crecer	Los niños crecen rápido.	grandir; pousser	Les enfants grandissent vite.	wachsen	Kinder wachsen schnell.
着急	preocuparse; estar ansioso	No te preocupes; el ascensor llegará pronto.	s'inquiéter; être anxieux	Ne t'inquiète pas ; l'ascenseur va bientôt arriver.	sich Sorgen machen; unruhig sein	Mach dir keine Sorgen; der Aufzug kommt bald.
照顾	cuidar	Ella cuida a su abuela enferma.	s'occuper de; prendre soin de	Elle s'occupe de sa grand-mère malade.	sich kümmern um; pflegen	Sie kümmert sich um ihre kranke Großmutter.
照片	la foto; la fotografía	Esta foto se ve bien.	la photo	Cette photo est belle.	das Foto	Dieses Foto sieht gut aus.
照相机	la cámara	Uso una cámara para tomar fotos.	l'appareil photo	J'utilise un appareil photo pour prendre des photos.	die Kamera	Ich benutze eine Kamera, um Fotos zu machen.
283:只	solo; solamente	Solo bebo una taza de té.	seulement; ne... que	Je ne bois qu'une tasse de thé.	nur	Ich trinke nur eine Tasse Tee.
284:只	clasificador para animales	Hay un gato debajo de la mesa.	classificateur pour animaux	Il y a un chat sous la table.	Zähleinheitswort für Tiere	Unter dem Tisch ist eine Katze.
只有…才…	solo si... entonces...	Solo repasando con cuidado puedes sacar buena nota en el examen.	seulement si... alors...	Ce n'est qu'en révisant soigneusement que tu peux réussir l'examen.	nur wenn... dann...	Nur wenn du sorgfältig wiederholst, kannst du in der Prüfung gut abschneiden.
中间	el medio; entre	La mesa está en medio de la habitación.	le milieu; entre	La table est au milieu de la pièce.	die Mitte; zwischen	Der Tisch steht in der Mitte des Zimmers.
中文	el chino; la lengua china	Estudio chino todos los días.	le chinois; l'écriture chinoise	J'étudie le chinois tous les jours.	das Chinesisch; die chinesische Schriftsprache	Ich lerne jeden Tag Chinesisch.
终于	por fin; finalmente	Por fin llegamos.	enfin; finalement	Nous sommes enfin arrivés.	endlich; schließlich	Wir sind endlich angekommen.
种	el tipo; la clase	¿Qué tipo de bebida te gusta?	le type; la sorte	Quel type de boisson aimes-tu ?	die Art; die Sorte	Welche Art von Getränk magst du?
重要	importante	El pasaporte es muy importante.	important	Le passeport est très important.	wichtig	Der Pass ist sehr wichtig.
周末	el fin de semana	Quiero ir al parque el fin de semana.	le week-end	Je veux aller au parc le week-end.	das Wochenende	Ich möchte am Wochenende in den Park gehen.
主要	principal; mayor	Su principal afición es la música.	principal; majeur	Son principal loisir est la musique.	hauptsächlich; wichtig	Sein wichtigstes Hobby ist Musik.
注意	prestar atención	Por favor, presta atención al profesor.	faire attention	Écoute attentivement le professeur, s'il te plaît.	aufpassen; beachten	Bitte pass auf den Lehrer auf.
自己	uno mismo; sí mismo	Quiero hacer los deberes yo mismo.	soi-même	Je veux faire les devoirs moi-même.	selbst; sich	Ich möchte die Hausaufgaben selbst machen.
自行车	la bicicleta	Mi bicicleta está abajo.	le vélo	Mon vélo est en bas.	das Fahrrad	Mein Fahrrad ist unten.
总是	siempre	Él siempre llega temprano a la oficina.	toujours	Il arrive toujours tôt au bureau.	immer	Er kommt immer früh ins Büro.
嘴	la boca	Por favor, abre la boca.	la bouche	Ouvre la bouche, s'il te plaît.	der Mund	Bitte öffne den Mund.
最后	al final; último	Al final, todos estuvimos de acuerdo.	enfin; dernier	À la fin, nous étions tous d'accord.	zuletzt; am Ende	Am Ende waren wir alle einverstanden.
最近	recientemente; últimamente	Últimamente he estado ocupado.	récemment; ces derniers temps	Je suis occupé ces derniers temps.	in letzter Zeit; kürzlich	Ich war in letzter Zeit beschäftigt.
作业	los deberes; la tarea	Todavía no he terminado los deberes.	les devoirs	Je n'ai pas encore terminé les devoirs.	die Hausaufgaben	Ich habe die Hausaufgaben noch nicht fertig.
