hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
1190:烦	烦	烦	otrávený; nepříjemný	Tato věc ho velmi otrávila.	otrávený; nepríjemný	Táto vec ho veľmi otrávila.	ideges; kellemetlen	Ez az ügy nagyon idegesítette.	enervat; supărător	Această chestiune l-a enervat.	досаден; раздразнен	Това го раздразни много.	živciran; dosadan	Ova ga je stvar jako iznervirala.
1196:房租	房租	房租	nájemné	Tento měsíc se nájemné zvýšilo.	nájomné	Tento mesiac sa nájomné zvýšilo.	lakbér	Ebben a hónapban emelkedett a lakbér.	chirie	Chiria a crescut luna aceasta.	наем	Този месец наемът се повиши.	najamnina	Najamnina je porasla ovaj mjesec.
1199:费	费	费	poplatek; stát peníze	Registrační poplatek už byl zaplacen.	poplatok; stáť peniaze	Registračný poplatok už bol zaplatený.	díj; kerül valamennyibe	A jelentkezési díjat már befizették.	taxă; a costa	Taxa de înscriere a fost deja plătită.	такса; струва	Таксата за регистрация вече е платена.	naknada; koštati	Kotizacija je već plaćena.
1200:费用	费用	费用	náklady; výdaje	Cestovní náklady nejsou příliš vysoké.	náklady; výdavky	Cestovné náklady nie sú príliš vysoké.	költség; kiadás	Az utazási költség nem túl magas.	cheltuială; cost	Costul călătoriei nu este prea mare.	разходи; цена	Разходите за пътуването не са високи.	troškovi; izdatak	Troškovi putovanja nisu previsoki.
1201:分数	分数	分数	skóre; známka	Jeho výsledek u zkoušky je velmi vysoký.	skóre; známka	Jeho výsledok zo skúšky je veľmi vysoký.	pontszám; jegy	A vizsgapontszáma nagyon magas.	punctaj; notă	Punctajul lui la examen este foarte mare.	резултат; оценка	Резултатът му от изпита е много висок.	bodovi; ocjena	Njegov rezultat na ispitu je vrlo visok.
1202:分为	分为	分为	rozdělit na	Tato třída je rozdělena do tří skupin.	rozdeliť na	Táto trieda je rozdelená do troch skupín.	felosztani valamire	Ezt az osztályt három csoportra osztják.	a împărți în	Această clasă este împărțită în trei grupuri.	разделям на	Този клас е разделен на три групи.	podijeliti na	Ovaj razred podijeljen je u tri skupine.
1209:付	付	付	zaplatit	Zaplatil jsem mobilem.	zaplatiť	Zaplatil som mobilom.	fizetni	Mobillal fizettem.	a plăti	Am plătit cu telefonul mobil.	плащам	Платих с телефона си.	platiti	Platio sam mobitelom.
1210:父母	父母	父母	rodiče	Jeho rodiče žijí na severu.	rodičia	Jeho rodičia bývajú na severe.	szülők	A szülei északon élnek.	părinți	Părinții lui locuiesc în nord.	родители	Родителите му живеят на север.	roditelji	Njegovi roditelji žive na sjeveru.
1211:父女	父女	父女	otec a dcera	Tento otec a dcera cestují spolu.	otec a dcéra	Tento otec a dcéra cestujú spolu.	apa és lánya	Ez az apa és lánya együtt utazik.	tată și fiică	Acest tată și fiica lui călătoresc împreună.	баща и дъщеря	Този баща и дъщеря пътуват заедно.	otac i kći	Ovaj otac i kći putuju zajedno.
1216:负责人	负责人	负责人	odpovědná osoba	Odpovědná osoba pošle všem oznámení.	zodpovedná osoba	Zodpovedná osoba pošle všetkým oznámenie.	felelős személy	A felelős személy mindenkinek értesítést küld.	persoană responsabilă	Persoana responsabilă va trimite tuturor o notificare.	отговорник	Отговорникът ще изпрати съобщение на всички.	odgovorna osoba	Odgovorna osoba poslat će svima obavijest.
1217:父子	父子	父子	otec a syn	Tento otec se synem často běhají v parku.	otec a syn	Tento otec so synom často behajú v parku.	apa és fia	Ez az apa és fia gyakran fut a parkban.	tată și fiu	Acest tată și fiul lui aleargă des în parc.	баща и син	Този баща и син често тичат в парка.	otac i sin	Ovaj otac i sin često trče u parku.
1218:改	改	改	změnit; opravit	Prosím, opravte tuto chybu.	zmeniť; opraviť	Prosím, opravte túto chybu.	megváltoztatni; kijavítani	Kérlek, javítsd ki a hibát.	a schimba; a corecta	Te rog să corectezi greșeala.	променям; поправям	Моля, поправете грешката.	promijeniti; ispraviti	Molimo ispravite pogrešku.
1224:感	感	感	pocit; vjem	Tento pokoj dává silný pocit bezpečí.	pocit; vnem	Táto izba dáva silný pocit bezpečia.	érzet; érzés	Ez a szoba erős biztonságérzetet ad.	simț; sentiment	Această cameră oferă un puternic sentiment de siguranță.	усещане; чувство	Тази стая дава силно чувство за сигурност.	osjećaj	Ova soba daje snažan osjećaj sigurnosti.
1230:感人	感人	感人	dojemný	Tento příběh je velmi dojemný.	dojemný	Tento príbeh je veľmi dojemný.	megható	Ez a történet nagyon megható.	emoționant	Această poveste este foarte emoționantă.	трогателен	Тази история е много трогателна.	dirljiv	Ova je priča vrlo dirljiva.
1231:赶上	赶上	赶上	dohnat; stihnout	Nakonec stihl poslední autobus.	dobehnúť; stihnúť	Nakoniec stihol posledný autobus.	utolérni; elérni	Végül elérte az utolsó buszt.	a prinde din urmă; a ajunge	A prins în cele din urmă ultimul autobuz.	настигам; успявам да хвана	Накрая успя да хване последния автобус.	stići; sustići	Na kraju je stigao na zadnji autobus.
1235:钢琴	钢琴	钢琴	klavír	Každý den cvičí na klavír.	klavír	Každý deň cvičí na klavíri.	zongora	Mindennap gyakorol zongorán.	pian	Ea exersează la pian în fiecare zi.	пиано	Тя упражнява пиано всеки ден.	klavir	Svaki dan vježba klavir.
1236:高价	高价	高价	vysoká cena	Nechce kupovat drahé lístky.	vysoká cena	Nechce kupovať drahé lístky.	magas ár	Nem akar drága jegyet venni.	preț ridicat	Nu vrea să cumpere bilet la preț ridicat.	висока цена	Той не иска да купува скъп билет.	visoka cijena	Ne želi kupiti skupu kartu.
1237:高考	高考	高考	čínská přijímací zkouška na vysokou školu	Mnoho studentů se připravuje na čínskou přijímací zkoušku gaokao.	čínska prijímacia skúška na vysokú školu	Mnohí študenti sa pripravujú na čínsku skúšku gaokao.	gaokao; kínai egyetemi felvételi vizsga	Sok diák készül a gaokaóra.	examenul chinezesc de admitere la facultate	Mulți elevi se pregătesc pentru examenul gaokao.	китайски кандидатстудентски изпит	Много ученици се подготвят за гаокао.	kineski prijamni ispit za fakultet	Mnogi se učenici pripremaju za gaokao.
1238:高速	高速	高速	vysoká rychlost; dálnice	Tato dálnice je velmi široká.	vysoká rýchlosť; diaľnica	Táto diaľnica je veľmi široká.	nagy sebesség; autópálya	Ez az autópálya nagyon széles.	viteză mare; autostradă	Această autostradă este foarte lată.	висока скорост; магистрала	Тази магистрала е много широка.	velika brzina; autocesta	Ova autocesta je vrlo široka.
1239:高温	高温	高温	vysoká teplota	Při vysoké teplotě není vhodné běhat dlouhé trasy.	vysoká teplota	Pri vysokej teplote nie je vhodné behať dlhé trasy.	magas hőmérséklet	Magas hőmérsékletben nem alkalmas a hosszútávfutás.	temperatură ridicată	Vremea cu temperatură ridicată nu este potrivită pentru alergare lungă.	висока температура	Времето с висока температура не е подходящо за дълго бягане.	visoka temperatura	Visoka temperatura nije pogodna za dugo trčanje.
1240:高于	高于	高于	být vyšší než	Letošní cena je vyšší než loňská.	byť vyšší než	Tohtoročná cena je vyššia než minuloročná.	magasabb valaminél	Az idei ár magasabb a tavalyinál.	a fi mai mare decât	Prețul de anul acesta este mai mare decât cel de anul trecut.	по-висок от	Цената тази година е по-висока от миналогодишната.	biti viši od	Ovogodišnja cijena viša je od prošlogodišnje.
1242:歌声	歌声	歌声	zpěv; hlas zpěvu	Z dálky se ozval krásný zpěv.	spev; hlas spevu	Z diaľky sa ozval krásny spev.	énekhang	A távolból szép énekhang hallatszott.	voce cântată; cânt	A venit din depărtare o voce frumoasă cântând.	пеещ глас; песен	Отдалеч се чу красив пеещ глас.	pjevački glas; pjesma	Iz daljine se čuo lijep pjevački glas.
1243:歌手	歌手	歌手	zpěvák	Tento zpěvák je velmi oblíbený.	spevák	Tento spevák je veľmi obľúbený.	énekes	Ez az énekes nagyon népszerű.	cântăreț	Acest cântăreț este foarte popular.	певец	Този певец е много популярен.	pjevač	Ovaj je pjevač vrlo popularan.
1245:各地	各地	各地	různá místa	Turisté z různých míst sem přijíždějí.	rôzne miesta	Turisti z rôznych miest sem prichádzajú.	különböző helyek	Különböző helyekről érkeznek ide turisták.	diverse locuri	Turiști din diverse locuri vin aici.	различни места	Туристи от различни места идват тук.	razna mjesta	Turisti iz raznih mjesta dolaze ovamo.
1246:各个	各个	各个	každý; jednotlivý	Každá třída se zúčastnila akce.	každý; jednotlivý	Každá trieda sa zúčastnila aktivity.	mindegyik; minden	Minden osztály részt vett a programon.	fiecare	Fiecare clasă a participat la activitate.	всеки отделен	Всеки клас участва в събитието.	svaki; pojedini	Svaki je razred sudjelovao u aktivnosti.
1247:各位	各位	各位	všichni; vážení	Vážení učitelé, prosím, nejprve si trochu odpočiňte.	všetci; vážení	Vážení učitelia, prosím, najprv si trochu oddýchnite.	mindenki; tisztelt	Tisztelt tanárok, először pihenjenek egy kicsit.	stimați; toți	Stimați profesori, vă rog să luați mai întâi o mică pauză.	уважаеми; всички	Уважаеми учители, моля, първо си починете малко.	svi; poštovani	Poštovani učitelji, molimo prvo se malo odmorite.
1248:各种	各种	各种	různé druhy	V supermarketu jsou různé druhy ovoce.	rôzne druhy	V supermarkete sú rôzne druhy ovocia.	különféle	A szupermarketben különféle gyümölcsök vannak.	diverse feluri de	În supermarket sunt diverse feluri de fructe.	различни видове	В супермаркета има различни видове плодове.	razne vrste	U supermarketu ima raznih vrsta voća.
1249:更加	更加	更加	ještě více	Po studiu se stal ještě sebevědomějším.	ešte viac	Po štúdiu sa stal ešte sebavedomejším.	még inkább; még jobban	Tanulás után még magabiztosabb lett.	și mai mult	După studiu, a devenit și mai încrezător.	още повече	След ученето той стана още по-уверен.	još više	Nakon učenja postao je još samouvjereniji.
1252:公共	公共	公共	veřejný	Autobusová zastávka je vpředu.	verejný	Autobusová zastávka je vpredu.	közösségi; nyilvános	A buszmegálló elöl van.	public; comun	Stația de autobuz este în față.	обществен	Автобусната спирка е напред.	javni	Autobusna stanica je naprijed.
1253:功课	功课	功课	školní úkoly; lekce	Večer doma dělá školní úkoly.	školské úlohy; lekcie	Večer si doma robí školské úlohy.	házi feladat; tananyag	Este otthon házi feladatot készít.	teme; lecții	Seara își face temele acasă.	домашни; уроци	Вечер той пише домашните си вкъщи.	školske zadaće; lekcije	Navečer kod kuće radi školsku zadaću.
1255:公路	公路	公路	silnice; dálnice	Tato silnice je velmi dlouhá.	cesta; diaľnica	Táto cesta je veľmi dlhá.	országút; autóút	Ez az út nagyon hosszú.	șosea; drum	Această șosea este foarte lungă.	шосе; път	Това шосе е много дълго.	cesta; autocesta	Ova cesta je vrlo duga.
1258:共	共	共	celkem; dohromady	Koupili jsme celkem tři lístky.	spolu; celkom	Kúpili sme spolu tri lístky.	összesen; együtt	Összesen három jegyet vettünk.	în total	Am cumpărat în total trei bilete.	общо	Купихме общо три билета.	ukupno	Kupili smo ukupno tri karte.
1261:购买	购买	购买	koupit; zakoupit	Prosím, kupte vstupenky online.	kúpiť; zakúpiť	Prosím, kúpte si vstupenky online.	megvásárolni	Kérjük, vásárolja meg a belépőjegyeket online.	a cumpăra	Vă rugăm să cumpărați biletele online.	купувам	Моля, купете билетите онлайн.	kupiti	Molimo kupite ulaznice putem interneta.
1270:观看	观看	观看	sledovat	Studenti právě sledují zápas.	sledovať	Študenti práve sledujú zápas.	nézni; megtekinteni	A diákok éppen a meccset nézik.	a privi; a urmări	Elevii urmăresc meciul.	гледам	Учениците гледат мача.	gledati	Učenici gledaju utakmicu.
1272:管	管	管	spravovat; mít na starosti	Tuto věc bude mít na starosti on.	spravovať; mať na starosti	Túto vec bude mať na starosti on.	irányítani; felelni valamiért	Ezt az ügyet ő fogja intézni.	a gestiona; a fi responsabil	El se va ocupa de această chestiune.	управлявам; отговарям за	Той ще отговаря за този въпрос.	upravljati; biti zadužen za	On će biti zadužen za ovu stvar.
1286:寒冷	寒冷	寒冷	chladný; mrazivý	Chladná zima se brzy blíží.	chladný; mrazivý	Chladná zima sa čoskoro blíži.	hideg; fagyos	Hamarosan jön a hideg tél.	rece; friguros	Iarna rece se apropie curând.	студен; мразовит	Студената зима скоро идва.	hladan; studen	Hladna zima uskoro stiže.
1291:好好	好好	好好	pořádně; dobře	Měl by sis pořádně odpočinout.	poriadne; dobre	Mal by si si poriadne oddýchnuť.	jól; rendesen	Pihenj rendesen.	bine; cu grijă	Trebuie să te odihnești bine.	добре; както трябва	Трябва добре да си починеш.	dobro; kako treba	Trebao bi se dobro odmoriti.
1292:好笑	好笑	好笑	legrační	Tento příběh je opravdu legrační.	smiešny	Tento príbeh je naozaj smiešny.	vicces; nevetséges	Ez a történet igazán vicces.	amuzant	Povestea aceasta este chiar amuzantă.	смешен	Тази история е наистина смешна.	smiješan	Ova je priča stvarno smiješna.
1295:红包	红包	红包	červená obálka	Na Jarní svátek děti dostávají červené obálky.	červená obálka	Počas Sviatku jari deti dostávajú červené obálky.	piros boríték	A tavaszünnepen a gyerekek piros borítékot kapnak.	plic roșu	De Sărbătoarea Primăverii, copiii primesc plicuri roșii.	червен плик	По време на Пролетния фестивал децата получават червени пликове.	crvena omotnica	Tijekom Proljetnog festivala djeca dobivaju crvene omotnice.
1302:话剧	话剧	话剧	činohra; divadelní hra	Dnes večer jdeme na divadelní hru.	činohra; divadelná hra	Dnes večer ideme na divadelnú hru.	színmű; prózai darab	Ma este színházi előadást nézünk.	piesă de teatru	În seara aceasta mergem să vedem o piesă de teatru.	театрална пиеса	Тази вечер ще гледаме театрална пиеса.	kazališna predstava	Večeras idemo gledati kazališnu predstavu.
1304:坏处	坏处	坏处	nevýhoda; škoda	Tento zvyk má mnoho nevýhod.	nevýhoda; škoda	Tento zvyk má veľa nevýhod.	hátrány; kár	Ennek a szokásnak sok hátránya van.	dezavantaj; daună	Acest obicei are multe dezavantaje.	недостатък; вреда	Този навик има много недостатъци.	mana; šteta	Ova navika ima mnogo mana.
1305:环保	环保	环保	ochrana životního prostředí	Otázky ochrany životního prostředí jsou čím dál důležitější.	ochrana životného prostredia	Otázky ochrany životného prostredia sú čoraz dôležitejšie.	környezetvédelem	A környezetvédelmi kérdések egyre fontosabbak.	protecția mediului	Problemele de protecție a mediului devin tot mai importante.	опазване на околната среда	Въпросите за опазване на околната среда стават все по-важни.	zaštita okoliša	Pitanja zaštite okoliša postaju sve važnija.
1306:换乘	换乘	换乘	přestoupit	Na další stanici je třeba přestoupit na metro.	prestúpiť	Na ďalšiu stanicu treba prestúpiť na metro.	átszállni	A következő állomás eléréséhez át kell szállni a metróra.	a schimba mijlocul de transport	Ca să ajungi la stația următoare, trebuie să schimbi la metrou.	прекачвам се	За да стигнеш до следващата спирка, трябва да се прекачиш на метрото.	presjesti	Za dolazak do sljedeće stanice treba presjesti na metro.
1307:回复	回复	回复	odpovědět	Prosím, odpovězte na můj e-mail co nejdříve.	odpovedať	Prosím, odpovedzte na môj e-mail čo najskôr.	válaszolni	Kérlek, válaszolj az e-mailemre minél hamarabb.	a răspunde	Te rog să răspunzi la e-mailul meu cât mai curând.	отговарям	Моля, отговори на имейла ми възможно най-скоро.	odgovoriti	Molim te, odgovori na moj e-mail što prije.
1308:回信	回信	回信	odepsat; odpovědní dopis	Pořád ještě neodepsal.	odpísať; odpovedný list	Stále ešte neodpísal.	visszaírni; válaszlevél	Még mindig nem írt vissza.	a scrie înapoi; scrisoare de răspuns	Încă nu a scris înapoi.	отговарям с писмо; отговорно писмо	Той все още не е отговорил.	odgovoriti pismom; odgovor	Još uvijek nije odgovorio.
1310:会员	会员	会员	člen	Členové si mohou koupit levné lístky.	člen	Členovia si môžu kúpiť lacné lístky.	tag	A tagok olcsó jegyeket vehetnek.	membru	Membrii pot cumpăra bilete la preț mic.	член	Членовете могат да купуват билети на ниска цена.	član	Članovi mogu kupiti karte po nižoj cijeni.
1311:活	活	活	živý; žít	Tento strom je stále živý.	živý; žiť	Tento strom ešte žije.	élő; élni	Ez a fa még él.	viu; a trăi	Acest copac este încă viu.	жив; живея	Това дърво още е живо.	živ; živjeti	Ovo je stablo još živo.
1315:货	货	货	zboží	Tato várka zboží dnes dorazila.	tovar	Táto zásielka tovaru dnes dorazila.	áru	Ez az áruszállítmány ma megérkezett.	marfă	Acest lot de marfă a sosit azi.	стока	Тази партида стоки пристигна днес.	roba	Ova pošiljka robe stigla je danas.
1317:获奖	获奖	获奖	získat cenu	V soutěži získal cenu.	získať cenu	V súťaži získal cenu.	díjat nyerni	Díjat nyert a versenyen.	a câștiga un premiu	A câștigat un premiu la concurs.	печеля награда	Той спечели награда в състезанието.	osvojiti nagradu	Osvojio je nagradu na natjecanju.
1318:获取	获取	获取	získat	Studenti z toho mohou získat informace.	získať	Študenti z toho môžu získať informácie.	megszerezni	A diákok információt szerezhetnek belőle.	a obține	Elevii pot obține informații din aceasta.	получавам; добивам	Учениците могат да получат информация от това.	dobiti; steći	Učenici iz toga mogu dobiti informacije.
1320:基本上	基本上	基本上	v podstatě	Tento problém je v podstatě vyřešen.	v podstate	Tento problém je v podstate vyriešený.	alapvetően	Ez a probléma alapvetően megoldódott.	în principiu; practic	Această problemă a fost rezolvată în principiu.	в общи линии; основно	Този проблем в общи линии е решен.	uglavnom	Taj je problem uglavnom riješen.
1327:既	既	既	oba; jelikož	Umí jak čínsky, tak anglicky.	oba; keďže	Vie po čínsky aj po anglicky.	is; mivel	Tud kínaiul is és angolul is.	și; întrucât	Vorbește și chineză, și engleză.	и; понеже	Той знае и китайски, и английски.	i; budući da	Govori i kineski i engleski.
1336:加快	加快	加快	zrychlit	Prosím, zrychlete pracovní tempo.	zrýchliť	Prosím, zrýchlite pracovné tempo.	felgyorsítani	Kérjük, gyorsítsa fel a munkatempót.	a accelera	Vă rog să accelerați ritmul de lucru.	ускорявам	Моля, ускорете темпото на работа.	ubrzati	Molimo ubrzajte tempo rada.
1337:加强	加强	加强	posílit	Škola musí posílit řízení bezpečnosti.	posilniť	Škola musí posilniť riadenie bezpečnosti.	megerősíteni	Az iskolának meg kell erősítenie a biztonsági irányítást.	a întări; a consolida	Școala trebuie să consolideze gestionarea siguranței.	засилвам	Училището трябва да засили управлението на безопасността.	ojačati	Škola treba ojačati upravljanje sigurnošću.
1338:加入	加入	加入	přidat se	Chce se přidat k basketbalovému týmu.	pridať sa	Chce sa pridať k basketbalovému tímu.	csatlakozni	Szeretne csatlakozni a kosárlabdacsapathoz.	a se alătura	Vrea să se alăture echipei de baschet.	присъединявам се	Той иска да се присъедини към баскетболния отбор.	pridružiti se	Želi se pridružiti košarkaškoj ekipi.
1339:加上	加上	加上	přičíst; plus	Po přičtení servisního poplatku je to celkem dvě stě yuanů.	pridať; plus	Po pridaní servisného poplatku je to spolu dvesto jüanov.	hozzáadni; plusz	A szolgáltatási díjjal együtt összesen kétszáz jüan.	a adăuga; plus	Cu taxa de serviciu adăugată, totalul este două sute de yuani.	добавям; плюс	С добавена такса обслужване общо е двеста юана.	dodati; plus	S dodanom naknadom za uslugu ukupno je dvjesto juana.
1342:加油	加油	加油	povzbuzovat; doplnit palivo	Spolužáci společně povzbuzovali členy týmu.	povzbudzovať; doplniť palivo	Spolužiaci spoločne povzbudzovali členov tímu.	biztatni; üzemanyagot tölteni	Az osztálytársak együtt biztatták a csapattagokat.	a încuraja; a alimenta	Colegii i-au încurajat împreună pe membrii echipei.	окуражавам; зареждам гориво	Съучениците заедно окуражаваха членовете на отбора.	navijati; natočiti gorivo	Učenici su zajedno navijali za članove ekipe.
1344:家长	家长	家长	rodič; zákonný zástupce	Škola zítra pořádá rodičovskou schůzku.	rodič; zákonný zástupca	Škola zajtra organizuje rodičovské stretnutie.	szülő; gyám	Az iskola holnap szülői értekezletet tart.	părinte; tutore	Școala organizează mâine o ședință cu părinții.	родител; настойник	Утре училището ще проведе родителска среща.	roditelj; skrbnik	Škola sutra održava roditeljski sastanak.
1347:价钱	价钱	价钱	cena	Cena tohoto oblečení není vysoká.	cena	Cena tohto oblečenia nie je vysoká.	ár	Ennek a ruhadarabnak az ára nem magas.	preț	Prețul acestei haine nu este mare.	цена	Цената на тази дреха не е висока.	cijena	Cijena ovog odjevnog predmeta nije visoka.
1348:假日	假日	假日	svátek; volný den	O svátcích je v obchodním centru hodně lidí.	sviatok; voľný deň	Počas sviatkov je v obchodnom centre veľa ľudí.	ünnepnap; szabadnap	Ünnepnapokon sok ember van a bevásárlóközpontban.	zi liberă; sărbătoare	În zilele de sărbătoare, mallul este aglomerat.	празник; почивен ден	По празниците в мола има много хора.	praznik; neradni dan	Za praznika je trgovački centar pun ljudi.
1349:减	减	减	snížit; odečíst	Prosím, snižte množství cukru na polovinu.	znížiť; odčítať	Prosím, znížte cukor na polovicu.	csökkenteni; kivonni	Kérlek, csökkentsd a cukrot a felére.	a reduce; a scădea	Vă rog să reduceți zahărul la jumătate.	намалявам; изваждам	Моля, намалете захарта наполовина.	smanjiti; oduzeti	Molimo smanjite šećer na pola.
1350:减轻	减轻	减轻	zmírnit; odlehčit	Cvičení může zmírnit stres.	zmierniť; odľahčiť	Cvičenie môže zmierniť stres.	csökkenteni; enyhíteni	A mozgás csökkentheti a stresszt.	a reduce; a ușura	Exercițiul poate reduce stresul.	облекчавам; намалявам	Спортът може да намали стреса.	olakšati; smanjiti	Vježbanje može smanjiti stres.
1353:健身房	健身房	健身房	posilovna	Po práci chodí do posilovny.	posilňovňa	Po práci chodí do posilňovne.	edzőterem	Munka után edzőterembe megy.	sală de fitness	După serviciu merge la sala de fitness.	фитнес зала	След работа той ходи във фитнес залата.	teretana	Poslije posla ide u teretanu.
1355:江	江	江	řeka	Tato řeka protéká východní částí města.	rieka	Táto rieka preteká východnou časťou mesta.	folyó	Ez a folyó a város keleti részén folyik át.	râu	Acest râu trece prin partea de est a orașului.	река	Тази река минава през източната част на града.	rijeka	Ova rijeka teče kroz istočni dio grada.
1356:将	将	将	bude; chystá se	Pojede do Pekingu studovat.	bude; chystá sa	Pôjde do Pekingu študovať.	fog; hamarosan	Pekingbe fog menni tanulni.	va; urmează să	Va merge la Beijing să studieze.	ще; предстои	Той ще отиде в Пекин да учи.	će; uskoro će	Ići će u Peking studirati.
1358:将要	将要	将要	brzy bude	Vlak brzy vjede do stanice.	čoskoro bude	Vlak čoskoro vojde do stanice.	hamarosan; mindjárt	A vonat hamarosan beér az állomásra.	urmează să; în curând	Trenul urmează să intre în gară.	скоро ще	Влакът скоро ще влезе в гарата.	uskoro će	Vlak će uskoro ući u stanicu.
1359:奖	奖	奖	cena; ocenění	Získal velkou cenu.	cena; ocenenie	Získal veľkú cenu.	díj; jutalom	Nagy díjat kapott.	premiu	A primit un mare premiu.	награда	Той получи голяма награда.	nagrada	Dobio je veliku nagradu.
1361:奖学金	奖学金	奖学金	stipendium	Získala stipendium.	štipendium	Získala štipendium.	ösztöndíj	Ösztöndíjat kapott.	bursă	A primit o bursă.	стипендия	Тя получи стипендия.	stipendija	Dobila je stipendiju.
1362:降	降	降	klesnout; snížit se	Teplota náhle hodně klesla.	klesnúť; znížiť sa	Teplota náhle výrazne klesla.	csökkenni; leesni	A hőmérséklet hirtelen sokat csökkent.	a scădea; a coborî	Temperatura a scăzut brusc mult.	спадам; понижавам се	Температурата внезапно спадна много.	pasti; smanjiti se	Temperatura je naglo dosta pala.
1364:降价	降价	降价	zlevnit; snížit cenu	Tento model mobilního telefonu začal zlevňovat.	zlacnieť; znížiť cenu	Tento model mobilného telefónu začal zlacňovať.	árcsökkentés; csökkenteni az árat	Ennek a mobiltelefonnak az ára csökkenni kezdett.	a reduce prețul	Acest model de telefon mobil a început să scadă la preț.	намалявам цена	Този модел телефон започна да поевтинява.	sniziti cijenu	Ovaj model mobitela počeo je padati u cijeni.
1366:降温	降温	降温	ochladit se; pokles teploty	Zítra se možná ochladí.	ochladiť sa; pokles teploty	Zajtra sa možno ochladí.	lehűlés; hőmérséklet-csökkenés	Holnap lehet, hogy csökken a hőmérséklet.	răcire; scădere de temperatură	Mâine este posibil să scadă temperatura.	захлаждане; спад на температурата	Утре може да се захлади.	pad temperature; zahladnjenje	Sutra bi temperatura mogla pasti.
1369:交警	交警	交警	dopravní policie	Dopravní policie řídí provoz na křižovatce.	dopravná polícia	Dopravná polícia riadi dopravu na križovatke.	közlekedési rendőr	A közlekedési rendőr irányítja a forgalmat a kereszteződésnél.	poliție rutieră	Poliția rutieră dirijează traficul la intersecție.	пътна полиция	Пътната полиция регулира движението на кръстовището.	prometna policija	Prometna policija usmjerava promet na raskrižju.
1374:教师	教师	教师	učitel	Tento učitel má mnoho zkušeností.	učiteľ	Tento učiteľ má veľa skúseností.	tanár	Ez a tanár nagyon tapasztalt.	profesor	Acest profesor are multă experiență.	учител	Този учител има много опит.	nastavnik	Ovaj nastavnik ima mnogo iskustva.
1376:教学	教学	教学	výuka	Nová metoda výuky je velmi účinná.	výučba	Nová metóda výučby je veľmi účinná.	tanítás	Az új tanítási módszer nagyon hatékony.	predare; învățământ	Noua metodă de predare este foarte eficientă.	преподаване; обучение	Новият метод на преподаване е много ефективен.	nastava; poučavanje	Nova nastavna metoda vrlo je učinkovita.
1378:叫作	叫作	叫作	jmenovat se; nazývat se	Toto místo se jmenuje Východní jezero.	volať sa; nazývať sa	Toto miesto sa volá Východné jazero.	úgy hívják; nevezik	Ezt a helyet Keleti-tónak hívják.	a se numi	Acest loc se numește Lacul de Est.	нарича се	Това място се нарича Източното езеро.	zvati se	Ovo se mjesto zove Istočno jezero.
1383:节假日	节假日	节假日	svátky a volné dny	Při cestování o svátcích je třeba rezervovat lístky předem.	sviatky a voľné dni	Pri cestovaní počas sviatkov si treba lístky rezervovať vopred.	ünnepnapok; szabadnapok	Ünnepnapokon utazáskor előre kell jegyet foglalni.	zile libere și sărbători	Când călătorești în zile libere, trebuie să rezervi bilete din timp.	празници и почивни дни	При пътуване по празници трябва да резервираш билети предварително.	praznici i neradni dani	Za putovanja tijekom praznika treba unaprijed rezervirati karte.
1387:今后	今后	今后	od nynějška	Od nynějška se budu ještě více snažit.	odteraz	Odteraz sa budem ešte viac snažiť.	mostantól; ezután	Mostantól még keményebben fogok dolgozni.	de acum înainte	De acum înainte voi munci și mai mult.	отсега нататък	Отсега нататък ще се старая още повече.	odsad; ubuduće	Ubuduće ću se još više truditi.
1388:仅	仅	仅	pouze; jen	Tato akce je otevřena pouze členům.	iba; len	Táto aktivita je otvorená iba pre členov.	csak; kizárólag	Ezen a programon csak tagok vehetnek részt.	doar; numai	Această activitate este deschisă doar membrilor.	само; единствено	Това събитие е само за членове.	samo; jedino	Ova je aktivnost otvorena samo za članove.
1390:仅仅	仅仅	仅仅	pouze; jenom	Trvalo mu to jen deset minut.	iba; len	Trvalo mu to iba desať minút.	csupán; csak	Csupán tíz percet használt fel.	doar; numai	A folosit doar zece minute.	само; едва	Той използва само десет минути.	samo; tek	Upotrijebio je samo deset minuta.
1392:进入	进入	进入	vstoupit	Prosím, postavte se do řady a vstupte do haly.	vstúpiť	Prosím, postavte sa do radu a vstúpte do haly.	belépni	Kérjük, álljanak sorba, és lépjenek be az előcsarnokba.	a intra	Vă rugăm să stați la rând pentru a intra în hol.	влизам	Моля, наредете се, за да влезете в залата.	ući	Molimo stanite u red za ulazak u predvorje.
1401:景点	景点	景点	turistická atrakce	Tato turistická atrakce je velmi oblíbená.	turistická atrakcia	Táto turistická atrakcia je veľmi obľúbená.	látványosság	Ez a látványosság nagyon népszerű.	obiectiv turistic	Acest obiectiv turistic este foarte popular.	туристическа забележителност	Тази забележителност е много популярна.	turistička znamenitost	Ova je turistička znamenitost vrlo popularna.
