simplified	JA	example_JA
决心	決心	彼は中国語をしっかり学ぶ決心をしました。
绝对	絶対に	このことは絶対に忘れてはいけません。
角色	役割; 役	彼女は映画で重要な役を演じています。
军事	軍事	彼は軍事史にとても興味があります。
均匀	均一な; むらなく	色をむらなく塗ってください。
卡车	トラック	一台のトラックが入口に停まっています。
开发	開発する	会社は新製品を開発しています。
开放	開放する; 開く	公園は毎朝六時に開きます。
开幕式	開会式	開会式は明日の夜に行われます。
开水	白湯; 沸かしたお湯	白湯を一杯ください。
砍	切る; 切り落とす	作業員が枝を切っています。
看不起	見下す	誰のことも見下してはいけません。
看望	訪ねる	週末に祖父母を訪ねに行きます。
靠	寄りかかる	彼は壁にもたれて休んでいます。
颗	粒; 個	夜空に星が一つあります。
可见	〜ことが分かる	この方法が有効であることが分かります。
可靠	信頼できる	彼は信頼できる友人です。
可怕	恐ろしい	この夢はとても恐ろしかったです。
克	グラム	塩を二グラム加えてください。
克服	克服する	私たちは困難を克服しなければなりません。
刻苦	勤勉な; 熱心な	彼はとても熱心に勉強しています。
客观	客観的な	問題を客観的に分析してください。
课程	課程; 授業	この授業はとても役に立ちます。
空间	空間; スペース	この部屋はスペースが広いです。
控制	制御する; コントロールする	運転手は車の速度をコントロールしました。
空闲	暇; 空き時間	明日の午後は空き時間がありますか。
口味	好み; 味	彼の味の好みは比較的あっさりしています。
夸	褒める; 大げさに言う	先生は彼の進歩が大きいと褒めました。
夸张	大げさな; 誇張する	彼の表情は少し大げさです。
会计	会計; 会計士	彼女は会社で会計の仕事をしています。
宽	広い	この道はとても広いです。
昆虫	昆虫	子どもたちは昆虫を観察しています。
扩大	拡大する	学校は図書館を拡大する計画です。
辣椒	唐辛子	料理に唐辛子がたくさん入っています。
拦	止める; 遮る	警察は車を一台止めました。
烂	腐る; ぐずぐずになる	このリンゴはもう腐っています。
朗读	朗読する; 音読する	本文を大きな声で音読してください。
劳动	労働; 働くこと	働くことは人を充実した気持ちにさせます。
劳驾	すみません	すみません、地下鉄の駅はどこですか。
姥姥	母方の祖母	私の母方の祖母は料理がとても上手です。
老百姓	庶民; 一般の人々	庶民は生活費を気にしています。
老板	上司; 店主	上司は今日はオフィスにいません。
老婆	妻	彼は妻に花を買いました。
老实	正直な; まじめな	彼は正直な人です。
老鼠	ネズミ	台所にネズミが一匹います。
乐观	楽観的な	彼女は将来について楽観的です。
雷	雷	昨夜の雷はとても大きな音でした。
类型	種類; タイプ	この種類の映画はどんなジャンルに属しますか。
冷淡	冷淡な	彼の態度は少し冷淡です。
厘米	センチメートル	このペンは長さ十五センチです。
梨	梨	私は梨をいくつか買いました。
离婚	離婚する	彼らは去年離婚しました。
理论	理論	この理論はとても複雑です。
理由	理由	遅刻した理由は何ですか。
利润	利益; 利潤	今年、会社の利益は増えました。
利息	利息	銀行の利息は高くありません。
利益	利益	私たちは皆の利益を守らなければなりません。
利用	利用する	彼は週末を利用して中国語を勉強しています。
力量	力	団結は力です。
立即	直ちに	直ちにここを離れてください。
立刻	すぐに	知らせを聞いたあと、彼はすぐに出発しました。
联合	連合する; 共同で行う	二つの会社が共同で製品を開発しました。
连忙	慌てて; すぐに	電話の音を聞いて、彼は慌てて出ました。
连续	連続する	彼は十時間連続で働きました。
恋爱	恋愛する; 恋愛	彼らは恋愛中です。
粮食	穀物; 食糧	今年の穀物生産量は増えました。
良好	良好な; よい	彼にはよい学習習慣があります。
亮	明るい	部屋の明かりはとても明るいです。
了不起	すばらしい; たいした	彼女はすばらしい成績を収めました。
列车	列車	列車はまもなく出発します。
临时	臨時の; 一時的な	これは臨時の決定です。
灵活	柔軟な	学習方法は柔軟であるべきです。
铃	ベル; 鈴	授業のベルが鳴りました。
零件	部品	機械は部品が一つ足りません。
零食	おやつ; 間食	子どもたちはおやつを食べるのが好きです。
领导	指導者; リーダー	リーダーは会議中です。
领域	分野; 領域	彼女は教育分野で働いています。
流传	伝わる; 広まる	この物語は長い間伝わっています。
流泪	涙を流す	この知らせを聞いて、彼女は涙を流しました。
浏览	閲覧する; ざっと見る	まずウェブページをざっと見ます。
龙	竜	中国文化には竜がいます。
漏	漏れる	屋根から雨漏りしています。
录取	合格させる; 採用する	彼は大学に合格しました。
录音	録音する	録音を始めてください。
陆地	陸地	ウミガメが陸地に上がりました。
陆续	次々に	客が次々に到着しました。
轮流	交代で行う	私たちは交代で教室を掃除します。
论文	論文	彼女は卒業論文を書いています。
逻辑	論理; ロジック	彼の論理はとても明確です。
落后	遅れる; 後れを取る	私たちは他人に後れを取るわけにはいきません。
骂	叱る; ののしる	子どもを叱らないでください。
麦克风	マイク	マイクを彼に渡してください。
馒头	蒸しパン; 饅頭	朝食に蒸しパンを一つ食べました。
满足	満たす; 満足させる	この答えは要求を満たせません。
毛病	問題; 欠点	このパソコンは少し調子が悪いです。
矛盾	矛盾; 対立	彼らの間にはいくつか対立があります。
冒险	冒険する; 危険を冒す	一人でそこへ行くのは危険すぎます。
贸易	貿易	国際貿易は急速に発展しています。
媒体	メディア	メディアはこの件を報道しました。
煤炭	石炭	この地域は石炭を生産しています。
眉毛	眉毛	彼女の眉毛は濃いです。
美术	美術	私の妹は美術が好きです。
魅力	魅力	この都市には大きな魅力があります。
梦想	夢; 夢見る	彼の夢は医者になることです。
密切	密接な	私たちは密接な連絡を保っています。
秘密	秘密	これは私たちの秘密です。
秘书	秘書	秘書が会議の時間を手配しました。
蜜蜂	ミツバチ	花の茂みの中にミツバチがたくさんいます。
面对	向き合う; 直面する	私たちは勇敢に困難に向き合うべきです。
面积	面積	この部屋の面積は大きくありません。
面临	直面する	会社は新しい挑戦に直面しています。
描写	描写する	作者は田舎の生活を描写しました。
苗条	ほっそりした	彼女は体つきがほっそりしています。
敏感	敏感な	この話題は比較的敏感です。
名牌	有名ブランド	彼は有名ブランドの腕時計を買いました。
名片	名刺	名刺を一枚ください。
名胜古迹	名所旧跡	北京には名所旧跡がたくさんあります。
明确	明確な; 明確にする	先生は要求を明確に説明しました。
明显	明らかな	彼の進歩は明らかです。
明星	スター; 有名人	彼女は映画スターになりたいと思っています。
命令	命令	兵士は命令に従わなければなりません。
命运	運命	彼は運命は変えられると信じています。
摸	触る	この絵に触らないでください。
摩托车	オートバイ	彼はオートバイで通勤しています。
模仿	まねる; 模倣する	子どもは大人の話し方をまねるのが好きです。
模糊	ぼやけた; あいまいな	この写真は少しぼやけています。
模特	モデル	彼女はファッションモデルです。
陌生	見慣れない; 不慣れな	この都市は私にはとても見慣れません。
某	ある; 某	ある先生が私に電話をかけてきました。
木头	木材; 木	この机は木でできています。
目标	目標	私の目標は試験に合格することです。
目录	目次; カタログ	まず本の前の目次を見てください。
目前	現在; 目下	現在、状況は比較的安定しています。
哪怕	たとえ〜でも	たとえ忙しくても、彼は勉強を続けています。
难怪	道理で	道理で今日はそんなにうれしそうなのですね。
难免	避けがたい	初めてやるときは間違いを避けにくいです。
脑袋	頭	彼は頭が少し痛いです。
内部	内部	これは会社の内部資料です。
内科	内科	彼は今日、内科を受診します。
嫩	柔らかい; 若い	この肉はとても柔らかいです。
能干	有能な	彼女はとても有能な人です。
能源	エネルギー	太陽エネルギーはクリーンエネルギーの一種です。
嗯	うん; ええ	うん、分かりました。
年代	年代	この写真は八十年代に撮られたものです。
年纪	年齢	彼は年は若いですが、経験は豊富です。
念	読む; 念じる	本文を一度読んでください。
宁可	むしろ〜したい	バスを待つより、むしろ歩きたいです。
牛仔裤	ジーンズ	彼はジーンズを一本はいています。
农村	農村; 田舎	彼女は田舎で育ちました。
农民	農民	農民たちは畑で働いています。
农业	農業	農業はこの地域にとってとても重要です。
浓	濃い	このコーヒーは濃すぎます。
女士	女性; レディー	あの女性はバスを待っています。
欧洲	ヨーロッパ	彼は来月ヨーロッパへ旅行します。
偶然	偶然	私は偶然、昔の同級生に会いました。
拍	撮る; たたく	写真を一枚撮ってください。
派	派遣する; 派	会社は彼を上海へ出張に行かせました。
盼望	待ち望む	早くあなたに会えることを待ち望んでいます。
培训	研修; 訓練する	新入社員は研修に参加する必要があります。
培养	育てる; 養成する	学校は学生の能力を育てることを重視しています。
赔偿	賠償する	会社は損失を賠償することに同意しました。
佩服	感心する; 敬服する	私は彼の勇気にとても感心しています。
配合	協力する; 合わせる	皆さん、先生の手配に協力してください。
盆	鉢; たらい	ベランダに花の鉢が一つあります。
碰	触れる; ぶつかる	気をつけて、熱いお湯に触らないでください。
批	ロット; 一群	このロットの商品は今日届きました。
批准	承認する	マネージャーはこの計画を承認しました。
披	羽織る; かける	彼女はコートを羽織っています。
疲劳	疲労	長時間働くと疲れを感じます。
匹	匹; 頭	草地に馬が一頭います。
片	一片; 薄片	パンを一切れください。
片面	一面的な	この見方は一面的すぎます。
飘	漂う; 舞う	雪の結晶が空中を舞っています。
拼音	ピンイン	漢字の横にピンインを書いてください。
频道	チャンネル	ニュースチャンネルに変えてください。
凭	〜によって; 〜を頼りに	チケットがあれば入場できます。
平均	平均	平均して一人十元使いました。
平	平らな	この道はとても平らです。
平安	無事な	道中の無事を祈っています。
平常	普段; 普通の	彼は普段あまり遅刻しません。
平等	平等	誰もが平等に扱われるべきです。
平方	平方	この部屋は二十平方メートルあります。
平衡	バランス; 平衡	仕事と生活にはバランスが必要です。
平静	穏やかな	湖面はとても穏やかです。
评价	評価する; 評価	先生はとても高い評価をしました。
破产	破産する; 破産	あの会社は去年破産しました。
破坏	破壊する; 壊す	公共財産を壊さないでください。
迫切	差し迫った; 切実な	私たちはもっと多くの医者を切実に必要としています。
期待	期待する; 楽しみにする	今回の旅行をとても楽しみにしています。
期间	期間; 間	会議中は携帯電話を切ってください。
其余	残りの; そのほかの	残りの問題は明日討論します。
奇迹	奇跡	医者はこれは奇跡だと言いました。
企业	企業	この企業は急速に発展しています。
启发	啓発する; ヒントを与える	この本は私に多くのヒントをくれました。
气氛	雰囲気	教室の雰囲気はとてもリラックスしています。
汽油	ガソリン	車にはガソリンを入れる必要があります。
签	署名する	ここに名前を署名してください。
谦虚	謙虚な	彼は優秀で、しかもとても謙虚です。
前途	将来性; 前途	この専攻は将来性があります。
浅	浅い	この川はとても浅いです。
欠	借りがある; 欠けている	彼はまだ私に二十元借りています。
枪	銃	警察官は手に銃を持っています。
墙	壁	壁に絵が一枚掛かっています。
强调	強調する	先生は安全問題を強調しました。
强烈	強烈な	彼には強い責任感があります。
抢	奪い合う; 争う	他人と席を奪い合わないでください。
悄悄	そっと; こっそり	彼女はそっと部屋に入りました。
瞧	見る	見て、外は雪が降っています。
巧妙	巧妙な	この方法はとても巧妙です。
切	切る	果物を小さく切ってください。
亲爱	親愛なる	親愛なる友人、ありがとう。
亲切	親切な	先生の話し方はとても親切です。
亲自	自ら; 直接	マネージャーが自ら客を迎えました。
勤奋	勤勉な	勤勉な人は成功しやすいです。
清淡	あっさりした	私はあっさりした料理を食べるのが好きです。
轻视	軽視する; 見下す	この小さな問題を軽視しないでください。
轻易	簡単に; 軽々しく	彼は簡単には諦めません。
青	青緑色	この服は青緑色です。
青春	青春	青春は貴重です。
青少年	青少年	青少年には十分な睡眠が必要です。
情景	場面; 情景	映画の中の場面はとても感動的です。
情绪	感情; 気分	彼の感情はあまり安定していません。
请求	依頼; 頼む	彼は一つの依頼を出しました。
庆祝	祝う	私たちは彼の誕生日を祝いました。
球迷	ファン; 球技ファン	多くのファンが試合を見に来ました。
趋势	傾向; トレンド	この傾向はますます明らかになっています。
取消	取り消す; 中止する	雨のため、活動は中止になりました。
娶	妻をめとる; 結婚する	彼は来年彼女と結婚するつもりです。
去世	亡くなる	彼の祖父は去年亡くなりました。
圈	丸; 輪	正しい答えに丸を付けてください。
全面	全面的な	私たちは状況を全面的に理解する必要があります。
权利	権利	誰もが教育を受ける権利を持っています。
权力	権力	権力は監督されるべきです。
劝	勧める; 説得する	友人は私に早く休むよう勧めました。
缺乏	欠けている; 不足する	この地域にはきれいな水が不足しています。
确定	確定する; はっきりした	私はまだ時間を確定できません。
确认	確認する	住所を確認してください。
群	群れ; グループ	子どもたちの一群が運動場で遊んでいます。
燃烧	燃える; 燃焼する	木が燃えています。
绕	回る; 巻く	私たちは湖の周りを一周歩きました。
热爱	熱愛する; 心から愛する	彼は自分の仕事を心から愛しています。
热烈	熱烈な	皆が客を熱烈に歓迎しました。
热心	親切な; 熱心な	近所の人たちは皆とても親切です。
人才	人材	会社はもっと多くの人材を必要としています。
人口	人口	この都市は人口が多いです。
人类	人類	人類は地球を守る必要があります。
人民币	人民元	私は人民元を少し両替しました。
人生	人生	人生には多くの選択があります。
人事	人事	彼女は人事部で働いています。
人物	人物; 登場人物	小説の人物はとても現実味があります。
人员	人員; スタッフ	スタッフは全員そろいました。
忍不住	我慢できない; こらえきれない	冗談を聞いて、彼は笑わずにいられませんでした。
日常	日常の	これは私の日常の仕事です。
日程	日程; スケジュール	今日の日程はいっぱいです。
日历	カレンダー	壁にカレンダーが掛かっています。
日期	日付	日付をはっきり書いてください。
日用品	日用品	スーパーでは多くの日用品を売っています。
日子	日々; 日	このところ彼はとても忙しいです。
如何	どのように; どう	私たちはこの問題をどのように解決すべきですか。
如今	今では; 現在	今では交通がずっと便利になりました。
软	柔らかい	このベッドはとても柔らかいです。
软件	ソフトウェア	このソフトウェアは使いやすいです。
弱	弱い	彼の体は比較的弱いです。
洒	こぼす; まく	彼はうっかり水をこぼしました。
嗓子	喉; 声	喉が少し痛いです。
色彩	色彩; 色合い	この絵は色彩がとても豊かです。
杀	殺す	この映画には殺人の場面がありません。
沙漠	砂漠	砂漠の水はとても貴重です。
沙滩	砂浜; ビーチ	子どもたちは砂浜で遊んでいます。
傻	ばかな; 愚かな	ばかなことをしないでください。
晒	日に干す; 日光に当てる	服はベランダで日に干されています。
删除	削除する	このメールを削除してください。
闪电	稲妻	夜に稲妻が現れました。
善良	善良な; 優しい	彼女は優しい人です。
善于	得意である	彼は問題を解決するのが得意です。
扇子	扇子	夏にはよく扇子を使います。
伤害	傷つける; 害する	他人の感情を傷つけないでください。
商品	商品	この店には商品がたくさんあります。
商务	ビジネス; 商務	彼は明日ビジネス会議に参加します。
商业	商業	この地域は商業が発達しています。
上当	だまされる	彼は危うくだまされるところでした。
蛇	蛇	草むらに蛇が一匹います。
舍不得	手放したくない; 離れがたい	ここを離れるのがつらいです。
射击	射撃	彼は射撃の訓練をしています。
摄影	写真撮影; 撮影	彼女は写真撮影にとても興味があります。
设备	設備; 機器	実験室の設備はとても先進的です。
设计	設計; デザインする	このデザインはとても創意があります。
设施	施設	学校のスポーツ施設はよいです。
伸	伸ばす	手を伸ばしてください。
深刻	深い; 深刻な	今回の経験は私に深い印象を残しました。
身材	体格; 体つき	彼女は健康的な体つきをしています。
身份	身分; 身元	身分証明書を提示してください。
神话	神話	子どもは神話の物語を聞くのが好きです。
神秘	神秘的な	この古い町はとても神秘的です。
升	上がる; リットル	ガソリン価格は一リットルあたり少し上がりました。
声调	声調; トーン	中国語には四つの基本声調があります。
生产	生産する	この工場は携帯電話を生産しています。
生动	生き生きした	先生の説明はとても生き生きしています。
生长	成長する; 育つ	この植物は成長が速いです。
绳子	縄; ひも	縄で箱をしっかり縛ってください。
省略	省略する	ここでは一文字を省略できます。
胜利	勝利	彼らはついに勝利を収めました。
失眠	不眠; 眠れないこと	彼は最近よく眠れません。
失去	失う	自信を失わないでください。
失业	失業する	彼は失業したあと、新しい技能を学び始めました。
湿润	湿った; しっとりした	雨上がりの空気はしっとりしています。
狮子	ライオン	動物園にはライオンが二頭います。
诗	詩	彼は詩を一首書きました。
实话	本当の話; 真実	本当のことを言ってください。
实践	実践; 実践する	理論は実践を通して検証する必要があります。
实习	実習する; インターンをする	彼女は夏休みに病院で実習します。
实现	実現する	彼はついに夢を実現しました。
实验	実験	学生たちは実験をしています。
实用	実用的な	この道具はとても実用的です。
时差	時差	彼はまだ時差に慣れていません。
时代	時代	私たちは情報時代に生きています。
时刻	時刻; 瞬間	この重要な瞬間を覚えておいてください。
时髦	流行の; おしゃれな	この服はとてもおしゃれです。
时期	時期	大学時代は彼に大きな影響を与えました。
时尚	ファッション	彼女はファッションにとても興味があります。
石头	石	道端に石が一つあります。
食物	食べ物	食べ物を冷蔵庫に入れてください。
使劲儿	力を入れる	この瓶を開けるには力を入れる必要があります。
始终	終始; ずっと	彼はずっと自分が成功できると信じていました。
事实	事実	事実は彼が正しかったことを証明しています。
事物	物事	子どもは新しい物事にとても好奇心を持っています。
事先	事前に	時間を事前に教えてください。
似的	〜のようだ	彼は疲れて一言も話したくないようでした。
士兵	兵士	兵士たちは訓練しています。
市场	市場	この市場はとてもにぎやかです。
试卷	試験用紙; 答案用紙	先生は試験用紙を採点しています。
收获	収穫; 得るもの	今回の旅行で多くのものを得ました。
收据	領収書	支払い後は領収書を保管してください。
手工	手作り; 手作業	この贈り物は手作りです。
手术	手術	医者は明日彼に手術をします。
手套	手袋	冬に外出するときは手袋をしてください。
手续	手続き	手続きをするには身分証が必要です。
手指	指	彼は指をけがしました。
首	首; 曲の数え方	彼女は歌を一曲歌いました。
受伤	けがをする	彼は試合中にけがをしました。
寿命	寿命	この種類の機械は寿命が長いです。
书架	本棚	本棚は本でいっぱいです。
梳子	くし	彼女はくしで髪をとかします。
舒适	快適な	この部屋はとても快適です。
蔬菜	野菜	野菜を多く食べることは体によいです。
输入	入力する	パスワードをパソコンに入力してください。
熟练	熟練した; 上手な	彼はパソコンを上手に使えます。
属于	属する	この本は図書館のものです。
数	数える; 数	何人いるか数えてください。
鼠标	マウス	私のマウスは壊れています。
数据	データ	これらのデータはとても重要です。
数码	デジタル	彼はデジタルカメラを一台買いました。
摔倒	転ぶ	彼女は道で転びました。
甩	振る; 振り払う	彼は手についた水を振り払いました。
双方	双方; 両方	双方ともこの案に同意しました。
税	税金	買い物をするときは税金を払う必要があります。
说不定	もしかすると	もしかすると明日は雪が降るかもしれません。
说服	説得する	彼はついに両親を説得しました。
丝绸	絹; シルク	このスカーフは絹でできています。
丝毫	少しも	彼は少しも考えを変えませんでした。
思考	考える; 思考する	この問題を真剣に考えてください。
思想	思想; 考え方	彼の考え方はとても開放的です。
撕	破る	この紙を破らないでください。
私人	個人の; 私的な	これは私の個人的な空間です。
似乎	〜のようだ; どうやら	彼はあまりうれしくないようです。
搜索	検索する; 探す	私はネットで資料を検索しました。
宿舍	寮	学生たちは学校の寮に住んでいます。
随身	身につけて; 携帯して	パスポートを身につけて持っていてください。
随时	いつでも	いつでも私に電話してかまいません。
随手	ついでに; 手近に	出るときはついでにドアを閉めてください。
碎	砕ける; 割れる	コップが地面に落ちて割れました。
损失	損失	今回の事故は大きな損失をもたらしました。
缩短	短縮する	新しいルートは道のりを短縮しました。
所	〜校; 〜軒	この学校はとても有名です。
锁	鍵をかける	外出前にドアに鍵をかけてください。
台阶	階段; 段	お年寄りはゆっくり階段を上りました。
太极拳	太極拳	公園で太極拳を練習している人がいます。
太太	奥さん; 夫人	王夫人は料理をしています。
谈判	交渉する; 交渉	双方は交渉を進めています。
坦率	率直な	彼は率直に考えを話しました。
烫	熱い; やけどする	このお茶はとても熱いです。
桃	桃	木にたくさんの桃が実りました。
淘气	いたずらな	この子は少しいたずらです。
逃	逃げる	子犬は庭から逃げ出しました。
逃避	逃避する; 避ける	責任から逃げないでください。
讨价还价	値切る; 価格交渉する	彼は買い物のとき値切るのが好きです。
套	セット; 組	彼は新しい服を一式買いました。
特色	特色; 特徴	このレストランには地方の特色があります。
特殊	特別な	今日は特別な日です。
特征	特徴	この動物には明らかな特徴があります。
疼爱	かわいがる; 深く愛する	祖父母は子どもをとてもかわいがっています。
提倡	提唱する; 推奨する	学校は節水を推奨しています。
提纲	アウトライン; 要綱	文章を書く前にまずアウトラインを作ります。
提问	質問する	学生はいつでも質問できます。
题目	題目; 問題	この問題はあまり難しくありません。
体会	実感する; 理解	旅行を通して、新しい実感を得ました。
体贴	思いやりがある	彼は家族にとても思いやりがあります。
体现	反映する; 表す	このことはチーム精神を反映しています。
体验	体験する	現地の生活を体験したいです。
天空	空	今日の空はとても青いです。
天真	無邪気な	子どもの考えはとても無邪気です。
调皮	いたずらな; やんちゃな	あの猫はとてもやんちゃです。
调整	調整する	私たちは計画を調整する必要があります。
挑战	挑戦	これは大きな挑戦です。
通常	通常; ふつう	彼は通常七時に起きます。
统一	統一する	皆の意見を統一する必要があります。
痛苦	苦痛; つらい	友人を失ったことで彼はとてもつらくなりました。
痛快	思いきり楽しい; すっきりした	今日は思いきり楽しく遊びました。
偷	盗む	他人の物を盗んではいけません。
投入	打ち込む; 投資する	彼はとても集中して仕事に打ち込んでいます。
投资	投資する; 投資	彼らは新しいプロジェクトに投資しました。
透明	透明な	このコップは透明です。
突出	際立った; 目立つ	彼の長所はとても際立っています。
土地	土地	この土地はとても肥えています。
土豆	ジャガイモ	ジャガイモをいくつか買いました。
兔子	ウサギ	子どもはウサギを一匹飼っています。
吐	吐く	彼は具合が悪く、吐き気がします。
团	団; グループ	私たちは旅行団に参加しました。
推辞	断る; 辞退する	彼は友人の招待を断りました。
推广	広める; 推進する	会社は新製品を広めています。
推荐	推薦する	先生はこの本を推薦しました。
退	下がる; 退く	一歩後ろに下がってください。
退步	後退する; 下がる	練習しなければ、レベルは下がります。
退休	退職する; 定年退職	彼は来年退職します。
歪	曲がった; ゆがんだ	この絵は曲がって掛かっています。
外公	母方の祖父	私の母方の祖父は今年八十歳です。
外交	外交	彼は国際関係と外交を学んでいます。
完美	完璧な	この計画は完璧ではありません。
完善	改善する; 完備する	私たちはサービスの流れを改善する必要があります。
完整	完全な; 完整な	完全な報告書を一部ください。
玩具	おもちゃ	子どもはおもちゃを箱に入れました。
万一	万一; もしも	万一雨が降ったら、別の日に行きます。
王子	王子	物語の中の王子はとても勇敢です。
往返	往復する; 往復	この切符は当日往復できます。
网络	インターネット; ネットワーク	ここのインターネット接続は安定しています。
危害	害する; 危害を与える	喫煙は健康を害します。
威胁	脅かす; 脅威	汚染が川を脅かしています。
微笑	微笑む; 微笑	彼女は私に少し微笑みました。
唯一	唯一の	これが唯一の方法です。
围巾	マフラー; スカーフ	冬、彼はマフラーをしています。
围绕	〜をめぐる; 中心にする	討論はこの問題を中心に展開しました。
维修	修理する; メンテナンス	エレベーターは修理中です。
违反	違反する	このようにするのは規則に違反します。
伟大	偉大な	これは偉大な発見です。
委屈	悔しい; 不当な思いをする	彼女はとても悔しく感じました。
尾巴	しっぽ	子犬はしっぽを振っています。
位于	位置する	学校は市の中心部に位置しています。
位置	位置; 場所	この場所はとても静かです。
未必	必ずしも〜とは限らない	彼の言ったことが必ずしも本当とは限りません。
未来	未来	私たちは未来のために準備する必要があります。
胃	胃	胃が少し気持ち悪いです。
胃口	食欲	彼は今日は食欲があります。
温暖	暖かい	春の日差しはとても暖かいです。
温柔	優しい; 柔らかな	彼女はとても優しく話します。
文件	書類; ファイル	書類を私に送ってください。
文具	文房具	かばんの中に文房具がたくさんあります。
文明	文明; 文明的な	列に並ぶことは文明的な行為です。
文学	文学	彼女は中国文学が好きです。
文字	文字; 文章	これらの文字は読むのが難しいです。
闻	においをかぐ; 聞く	花の香りがしました。
吻	キスする; キス	母親は子どもの顔にキスしました。
稳定	安定した	物価は安定を保っています。
问候	挨拶する; よろしく伝える	ご家族によろしくお伝えください。
卧室	寝室	寝室には大きなベッドがあります。
握手	握手する	彼らは会ったとき握手しました。
屋子	部屋; 家	部屋の中は暖かいです。
无奈	仕方なく; やむを得ない	彼は仕方なさそうに首を振りました。
无数	無数の	夜空には無数の星があります。
无所谓	どうでもよい; かまわない	何を食べたいかは何でもかまいません。
武术	武術	彼は子どものころから武術を学んでいます。
勿	〜するな	ここで喫煙しないでください。
物理	物理	物理の授業はとてもおもしろいです。
物质	物質	水は重要な物質です。
雾	霧	朝、大きな霧が出ていました。
吸取	吸収する; 学び取る	私たちは今回の教訓を学び取るべきです。
吸收	吸収する	植物は水分を吸収します。
戏剧	演劇; 劇	彼は伝統演劇を見るのが好きです。
系	学科; 関係する	彼女は中国語学科で学んでいます。
系统	システム	このシステムは安定して動いています。
细节	細部; 詳細	これらの細部に注意してください。
瞎	でたらめに; むやみに	むやみに推測せず、まず資料を見てください。
下载	ダウンロードする	このソフトウェアをダウンロードしました。
吓	驚かす; 怖がらせる	突然の音にびっくりしました。
夏令营	サマーキャンプ	子どもは中国語サマーキャンプに参加しました。
鲜艳	鮮やかな	このスカートの色はとても鮮やかです。
显得	〜に見える	この服は彼を若く見せます。
显然	明らかに	明らかに、彼はもう結果を知っています。
显示	表示する; 示す	画面の時間表示が間違っています。
县	県; 郡	この県には茶畑がたくさんあります。
现代	現代	現代生活はインターネットなしでは成り立ちません。
现实	現実	私たちは現実に向き合わなければなりません。
现象	現象	この現象はよく見られます。
限制	制限する	ここでは車両の進入が制限されています。
相处	付き合う; 仲よくする	彼らはとても仲よくやっています。
相当	かなり; 相当する	この本はかなりおもしろいです。
相对	比較的; 相対的な	ここの価格は比較的安いです。
相关	関連する	関連資料を提供してください。
相似	似ている; 類似した	この二つの字の意味はとても似ています。
香肠	ソーセージ	朝食には卵とソーセージがあります。
享受	楽しむ; 享受する	彼らは休暇を楽しんでいます。
想念	恋しく思う; 会いたいと思う	家族がとても恋しいです。
想象	想像する	そのような生活は想像できません。
象棋	中国将棋	祖父は中国将棋を指すのが好きです。
象征	象徴する	白はよく純潔を象徴します。
项	項目; 〜件	この任務はとても重要です。
项链	ネックレス	彼女は銀のネックレスをしています。
项目	プロジェクト; 項目	このプロジェクトには三か月かかります。
消费	消費する; 消費	祝日の期間中、消費が増えました。
消化	消化する; 消化	食後の散歩は消化を助けます。
消极	消極的な	消極的な態度で問題を見ないでください。
消失	消える	太陽はゆっくり山の後ろに消えました。
销售	販売する; 販売	この会社は電子製品を販売しています。
小麦	小麦	北方では小麦がたくさん植えられています。
小气	けちな	そんなにけちにならないでください。
孝顺	親孝行な	彼は両親にとても親孝行です。
效率	効率	このようにすると効率を上げられます。
歇	休む	まず少し休みましょう。
斜	斜めの	この道は少し斜めです。
写作	作文; 執筆	作文には長期的な練習が必要です。
心理	心理; 精神的な	試験前には心理状態を整える必要があります。
心脏	心臓	心臓の健康は非常に重要です。
欣赏	鑑賞する; 味わう	私たちは美しい景色を鑑賞しました。
信号	信号; 電波	ここは携帯電話の電波がよくありません。
信任	信頼する; 信頼	友人同士には信頼が必要です。
形成	形成する	よい習慣はゆっくり形成されるものです。
形容	形容する; 描写する	この感覚をどう表現すればよいか分かりません。
形势	情勢; 状況	現在の情勢は比較的複雑です。
形式	形式; 形	会議はオンライン形式で行うことができます。
形象	イメージ; 形象	彼の公的イメージはとてもよいです。
形状	形状	この箱の形はとても特別です。
行动	行動	私たちはすぐに行動する必要があります。
行人	歩行者	道路を渡るときは歩行者に注意してください。
行为	行為; 振る舞い	このような行為は礼儀正しくありません。
幸亏	幸いにも	幸いにも、あなたが私に注意してくれました。
幸运	幸運な	彼は幸運にも仕事を見つけました。
性质	性質	この問題の性質はとても深刻です。
兄弟	兄弟	あの兄弟二人は関係がよいです。
胸	胸	彼は胸が少し苦しいと感じています。
休闲	余暇; レジャー	週末は余暇にちょうどよい時間です。
修改	修正する	この文章を修正してください。
虚心	謙虚な; 素直な	私たちは謙虚に意見を聞くべきです。
叙述	述べる; 物語る	彼は経過をはっきり述べました。
宣布	発表する; 宣言する	学校は新しい規則を発表しました。
宣传	宣伝する; 広める	彼らは環境保護の知識を広めています。
学历	学歴	この仕事には学士の学歴が求められます。
学术	学術的な	今回の会議では学術問題を討論します。
学问	学問; 知識	彼はとても学識があります。
血	血	彼の手から少し血が出ました。
寻找	探す	私たちは新しい方法を探しています。
询问	問い合わせる; 尋ねる	彼は先生に試験時間を尋ねました。
训练	訓練する; トレーニング	選手は毎日訓練を続けています。
