simplified	KA	example_KA	HY	example_HY
国籍	მოქალაქეობა; ეროვნება	გთხოვთ, ფორმაში თქვენი მოქალაქეობა ჩაწერეთ.	ազգություն; քաղաքացիություն	Խնդրում եմ, ձևաթղթում գրեք ձեր քաղաքացիությունը։
国际	საერთაშორისო	ეს საერთაშორისო შეხვედრაა.	միջազգային	Սա միջազգային հանդիպում է։
果汁	ხილის წვენი	ერთი ჭიქა წვენის დალევა მინდა.	մրգահյութ	Ես ուզում եմ մեկ բաժակ հյութ խմել։
过程	პროცესი	სწავლის პროცესი მნიშვნელოვანია.	գործընթաց	Սովորելու գործընթացը կարևոր է։
海洋	ოკეანე	დედამიწის ზედაპირის დიდი ნაწილი ოკეანეა.	օվկիանոս	Երկրի մակերեսի մեծ մասը օվկիանոս է։
害羞	მორცხვი	პირველად სცენაზე რომ ავიდა, ცოტა მორცხვობდა.	ամաչկոտ	Առաջին անգամ բեմ բարձրանալիս նա մի քիչ ամաչկոտ էր։
寒假	ზამთრის არდადეგები	ზამთრის არდადეგებზე სამხრეთში მოგზაურობა მინდა.	ձմեռային արձակուրդ	Ձմեռային արձակուրդին ուզում եմ հարավ ճամփորդել։
汗	ოფლი	ცხელა, ამიტომ ოფლი პირსახოცით მოიწმინდეთ.	քրտինք	Շոգ է, սրբիչով քրտինքդ սրբիր։
航班	რეისი; ავიარეისი	კეთილი იყოს თქვენი მობრძანება ამ რეისზე.	թռիչք; ավիաչվերթ	Բարի գալուստ այս թռիչքին։
好处	სარგებელი; უპირატესობა	მეტ კითხვას ბევრი სარგებელი აქვს.	օգուտ; առավելություն	Շատ կարդալը բազմաթիվ օգուտներ ունի։
好像	თითქოს; როგორც ჩანს	როგორც ჩანს, ჩვენ შორის გაუგებრობაა.	կարծես; թվում է	Կարծես մեր միջև թյուրիմացություն կա։
号码	ნომერი	გთხოვთ, თქვენი ტელეფონის ნომერი მომეცით.	համար	Խնդրում եմ, տվեք ինձ ձեր հեռախոսահամարը։
合格	კვალიფიციური; სტანდარტის შესაბამისი	ეს პროდუქტი ხარისხის სტანდარტს შეესაბამება.	որակավորված; չափանիշին համապատասխան	Այս ապրանքը համապատասխանում է որակի չափանիշին։
合适	შესაფერისი; მორგებული	ეს წყვილი ფეხსაცმელი კარგად მერგება.	հարմար; համապատասխան	Այս զույգ կոշիկը լավ է համապատասխանում։
盒子	ყუთი	ყუთი ცარიელია და შიგნით არაფერია.	տուփ	Տուփը դատարկ է, մեջը ոչինչ չկա։
厚	სქელი	ეს წიგნი სქელია.	հաստ	Այս գիրքը հաստ է։
后悔	სინანული	ვნანობ, რომ ეს ადრე არ გითხარით.	զղջալ	Զղջում եմ, որ ավելի շուտ ձեզ չասացի։
互联网	ინტერნეტი	ინტერნეტმა ადამიანების ცხოვრებაში ბევრი მოხერხებულობა მოიტანა.	ինտերնետ	Ինտերնետը մարդկանց կյանքին շատ հարմարություններ է բերել։
互相	ერთმანეთი; ორმხრივად	ჩვენ ორმა ერთმანეთს უნდა დავუჭიროთ მხარი.	իրար; փոխադարձաբար	Մենք երկուսս պետք է աջակցենք իրար։
护士	მედდა	მედდა პაციენტს ნემსს უკეთებს.	բուժքույր	Բուժքույրը հիվանդին սրսկում է անում։
怀疑	ეჭვი; ეჭვის შეტანა	ეჭვი მაქვს, რომ მას დაავიწყდა, დღეს შეხვედრა რომ არის.	կասկածել; կասկած	Կասկածում եմ, որ նա մոռացել է, որ այսօր հանդիպում կա։
回忆	გახსენება; მოგონება	ჩვენ ხშირად ბავშვობის ამბებს ვიხსენებთ.	հիշել; հիշողություն	Մենք հաճախ հիշում ենք մանկության բաները։
活动	ვარჯიში; აქტივობა	პარკში სავარჯიშოდ წავედი.	մարզվել; գործունեություն	Ես այգի գնացի մի քիչ մարզվելու։
活泼	ცოცხალი; მხიარული	ეს ბავშვი ძალიან ცოცხალია.	աշխույժ; կենսուրախ	Այս երեխան շատ աշխույժ է։
火	ცეცხლი	ცეცხლი საშიშია, გთხოვთ, ფრთხილად იყავით.	կրակ	Կրակը վտանգավոր է, խնդրում եմ զգույշ եղեք։
获得	მიღება; მოპოვება	წარმატებით ზედმეტად არ უნდა იამაყო.	ստանալ; ձեռք բերել	Հաջողությունից չափից շատ չպետք է հպարտանալ։
基础	საფუძველი; ბაზა	გთხოვთ, თავდაპირველ საფუძველზე ცვლილება შეიტანეთ.	հիմք; բազա	Խնդրում եմ, փոփոխություն արեք սկզբնական հիմքի վրա։
激动	ამაღელვებელი; აღელვებული	ეს ამბავი მართლაც ამაღელვებელია.	հուզիչ; հուզված	Այս լուրը իսկապես հուզիչ է։
积极	აქტიური; დადებითი	ის ჩინურს აქტიურად სწავლობს.	ակտիվ; դրական	Նա ակտիվորեն չինարեն է սովորում։
积累	დაგროვება; დაგროვილი გამოცდილება	მან სამსახურში ბევრი გამოცდილება დააგროვა.	կուտակել; կուտակում	Նա իր աշխատանքում շատ փորձ է կուտակել։
即使	თუნდაც; მაშინაც კი, თუ	სირთულეებს რომ შეხვდეთ, მაინც არ დანებდეთ.	նույնիսկ եթե; թեկուզ	Նույնիսկ եթե դժվարությունների հանդիպեք, մի հանձնվեք։
及时	დროულად; დაუყოვნებლივ	ეს წვიმა ზუსტად დროზე მოვიდა.	ժամանակին; անհապաղ	Այս անձրևը ճիշտ ժամանակին եկավ։
寄	გაგზავნა ფოსტით; გაგზავნა	თქვენი წერილი უკვე მიტანილია.	փոստով ուղարկել; ուղարկել	Ձեր նամակն արդեն տեղ է հասել։
技术	ტექნოლოგია; ტექნიკა; უნარი	ეს რთული ტექნიკური საკითხია.	տեխնոլոգիա; տեխնիկա; հմտություն	Սա բարդ տեխնիկական հարց է։
既然	რადგან; ამ შემთხვევაში	რადგან აქ ხართ, ერთად ვჭამოთ.	քանի որ; եթե արդեն	Քանի որ այստեղ եք, եկեք միասին ուտենք։
继续	გაგრძელება	მან გამოხატა სურვილი, რომ კომპანიაში მუშაობა გააგრძელოს.	շարունակել	Նա հայտնեց, որ պատրաստ է շարունակել աշխատել ընկերությունում։
计划	გეგმა; პროექტი	გეგმა შევცვალე.	պլան; ծրագիր	Ես փոխել եմ իմ պլանը։
记者	ჟურნალისტი; რეპორტიორი	ჟურნალისტი დირექტორს ინტერვიუს ართმევს.	լրագրող; թղթակից	Լրագրողը հարցազրույց է վերցնում տնօրենից։
加班	ზეგანაკვეთურად მუშაობა	ამ კვირაში თითქმის ყოველდღე ზეგანაკვეთურად ვმუშაობდით.	արտաժամյա աշխատել	Այս շաբաթ գրեթե ամեն օր արտաժամյա ենք աշխատել։
加油站	ბენზინგასამართი სადგური	თქვენი სახლის ახლოს ბენზინგასამართი სადგური არის?	բենզալցակայան	Ձեր տան մոտ բենզալցակայան կա՞։
家具	ავეჯი	გადასვლის შემდეგ ახალი ავეჯი შევიძინეთ.	կահույք	Տեղափոխվելուց հետո նոր կահույք ենք փոխել։
假	ყალბი; არანამდვილი	ეს ბილეთი ყალბია.	կեղծ; ոչ իրական	Այս տոմսը կեղծ է։
价格	ფასი	შარშანდლიდან მანქანების ფასი იკლებს.	գին	Անցյալ տարվանից մեքենաների գինը նվազում է։
坚持	დაჟინება; შეუპოვრად გაგრძელება	ის ყოველთვის თავის აზრზე დგას.	պնդել; համառել	Նա միշտ պնդել է իր կարծիքը։
减肥	წონის დაკლება	წონის დასაკლებად ყოველდღე დავრბივარ.	նիհարել	Ես ամեն օր վազում եմ նիհարելու համար։
减少	შემცირება	მომხმარებლები ერთი მესამედით შემცირდა.	նվազեցնել; պակասել	Հաճախորդների թիվը մեկ երրորդով պակասել է։
建议	შეთავაზება; რჩევა	გირჩევთ, ხვალ ერთი დღე დავისვენოთ.	առաջարկել; խորհուրդ տալ	Առաջարկում եմ վաղը մեկ օր հանգստանալ։
将来	მომავალი	მომავალში რა სამუშაოს გაკეთებას აპირებთ?	ապագա	Ապագայում ի՞նչ աշխատանք եք նախատեսում անել։
奖金	პრემია; ბონუსი	წლის ბოლოს ბონუსი გავეცით.	պարգևավճար; բոնուս	Տարվա վերջում բոնուս վճարեցինք։
降低	შემცირება; დაწევა	შემოდგომა მოვიდა და ტემპერატურა კლებას იწყებს.	իջեցնել; նվազեցնել	Աշունը եկել է, և ջերմաստիճանը սկսում է նվազել։
降落	დაშვება	თვითმფრინავი მალე დაეშვება.	վայրէջք կատարել; իջնել	Ինքնաթիռը շուտով վայրէջք կկատարի։
交	მეგობრების შეძენა; ჩაბარება	ბევრი ჩინელი მეგობარი შევიძინე.	ընկերանալ; հանձնել	Ես շատ չինացի ընկերներ եմ ձեռք բերել։
交流	გაცვლა; კომუნიკაცია	ქვეყნებს შორის კულტურული გაცვლები სულ უფრო მდიდარი ხდება.	փոխանակում; հաղորդակցություն	Երկրների միջև մշակութային փոխանակումները գնալով ավելի հարուստ են դառնում։
交通	ტრანსპორტი; მოძრაობა	აქ ტრანსპორტი მოსახერხებელია.	տրանսպորտ; երթևեկություն	Այստեղ տրանսպորտը հարմար է։
郊区	გარეუბანი	ის ქალაქის გარეუბანში ცხოვრობს.	արվարձան	Նա ապրում է քաղաքի արվարձանում։
骄傲	ამაყი; ქედმაღალი	წარმატებით ზედმეტად არ უნდა იამაყო.	հպարտ; մեծամիտ	Հաջողությունից չափից շատ չպետք է հպարտանալ։
饺子	ძიაოძი; ჩინური პელმენი	ჩინელები გაზაფხულის დღესასწაულზე ძიაოძის ჭამენ.	ջյաոձի; չինական պելմենի	Չինացիները Գարնան տոնին ջյաոձի են ուտում։
教授	პროფესორი	ის უნივერსიტეტის პროფესორია.	պրոֆեսոր	Նա համալսարանի պրոֆեսոր է։
教育	განათლება; სწავლება	ბავშვების აღზრდისას მოთმინება გჭირდებათ.	կրթել; ուսուցանել; կրթություն	Երեխաներին կրթելիս համբերություն է պետք։
接受	მიღება; დათანხმება	თქვენს ყველა აზრს ვიღებ.	ընդունել; ստանալ	Ես ընդունում եմ ձեր բոլոր կարծիքները։
接着	შემდეგ; გაგრძელება	მან ცოტა ხანს იფიქრა და შემდეგ დაწერა.	հետո; շարունակել	Նա մի քիչ մտածեց, հետո գրեց։
结果	შედეგი	თამაში ნახეთ? შედეგი როგორი იყო?	արդյունք	Խաղը դիտեցի՞ք, և ի՞նչ էր արդյունքը։
节	დღესასწაული; ფესტივალი	დღეს რა დღესასწაულია?	տոն; փառատոն	Այսօր ի՞նչ տոն է։
节约	დაზოგვა; ეკონომია	გთხოვთ, წყალი დაზოგეთ.	խնայել; տնտեսել	Խնդրում եմ, ջուրը խնայեք։
解释	ახსნა; განმარტება	მან მიზეზი ძალიან მკაფიოდ ახსნა.	բացատրել; բացատրություն	Նա պատճառը շատ պարզ բացատրեց։
尽管	თუმცა; მიუხედავად იმისა	მიუხედავად იმისა, რომ მას დიდი ხანია ვიცნობ, მაინც არ მესმის.	չնայած; թեև	Թեև վաղուց եմ նրան ճանաչում, չեմ հասկանում։
紧张	ნერვიული; დაძაბული	პირველი გამოსვლისას ის ნერვიულობდა.	լարված; նյարդային	Առաջին ելույթի ժամանակ նա նյարդայնացած էր։
禁止	აკრძალვა	აქ მოწევა აკრძალულია.	արգելել	Այստեղ ծխելն արգելված է։
进行	მიმდინარეობა; ჩატარება	თამაში ჯერ კიდევ მიმდინარეობს.	ընթանալ; իրականացնել	Խաղը դեռ շարունակվում է։
京剧	პეკინის ოპერა	ის პეკინის ოპერის ცნობილი მსახიობია.	Պեկինի օպերա	Նա Պեկինի օպերայի հայտնի դերասան է։
精彩	შესანიშნავი; ბრწყინვალე	დღევანდელი წარმოდგენა საოცარი იყო!	հիանալի; փայլուն	Այսօրվա ներկայացումը հրաշալի էր։
经济	ეკონომიკა; ეკონომიკური	ბოლო წლებში ეკონომიკა სწრაფად განვითარდა.	տնտեսություն; տնտեսական	Վերջին տարիներին տնտեսությունը արագ է զարգացել։
经历	გამოცდილება; გადატანა	მან თავისი მოგზაურობის გამოცდილებაზე სტატია დაწერა.	փորձ; ապրել	Նա հոդված գրեց իր ճամփորդության փորձի մասին։
经验	გამოცდილება	ის გამოცდილების მქონე მასწავლებელია.	փորձառություն	Նա փորձառու ուսուցիչ է։
景色	პეიზაჟი; ხედი	მზის ჩასვლისას ზღვისპირა ხედი ლამაზია.	տեսարան; բնապատկեր	Մայրամուտին ծովափի տեսարանը գեղեցիկ է։
警察	პოლიცია; პოლიციელი	პოლიცია გამოძიებას აწარმოებს.	ոստիկանություն; ոստիկան	Ոստիկանությունը հետաքննություն է անցկացնում։
竞争	კონკურენცია; შეჯიბრება	ის ძალიან თავდაჯერებულია და სხვებთან კონკურენცია უყვარს.	մրցել; մրցակցություն	Նա շատ ինքնավստահ է և սիրում է մրցել ուրիշների հետ։
竟然	მოულოდნელად; გასაკვირად	ვერასდროს ვიფიქრებდი, რომ ის ასეთი ადამიანი იყო.	անսպասելիորեն; զարմանալիորեն	Երբեք չէի մտածի, որ նա այդպիսի մարդ է։
镜子	სარკე	ბოდიში, სარკე გავტეხე.	հայելի	Ներեցեք, հայելին կոտրեցի։
究竟	სინამდვილეში; ბოლოს და ბოლოს	სინამდვილეში რატომ ტირი?	իրականում; ի վերջո	Իրականում ինչո՞ւ ես լացում։
举	აწევა; მაღლა აწევა	გთხოვთ, კითხვაზე პასუხისთვის ხელი ასწიეთ.	բարձրացնել; վեր բարձրացնել	Խնդրում եմ, հարցին պատասխանելու համար ձեռք բարձրացրեք։
举办	ჩატარება; ორგანიზება	ეს ღონისძიება ჩვენ მიერ არის ორგანიზებული.	անցկացնել; կազմակերպել	Այս միջոցառումը մենք ենք կազմակերպում։
举行	ჩატარება; გამართვა	შეხვედრა ორ საათზე გაიმართება.	անցկացնել; կայանալ	Հանդիպումը կկայանա ժամը երկուսին։
拒绝	უარის თქმა; უარყოფა	მან ყველას მოწვევაზე უარი თქვა.	մերժել; հրաժարվել	Նա մերժեց բոլորի հրավերը։
聚会	წვეულება; შეკრება	ხვალ შეკრებაა. გინდათ დაესწროთ?	հավաքույթ; երեկույթ	Վաղը հավաքույթ կա։ Ցանկանո՞ւմ եք մասնակցել։
距离	მანძილი; შორს ყოფნა	ჩემი სახლი კომპანიიდან შორს არის.	հեռավորություն; հեռու լինել	Իմ տունը ընկերությունից հեռու է։
开玩笑	ხუმრობა	მეხუმრები?	կատակել	Դու կատակո՞ւմ ես ինձ հետ։
开心	ბედნიერი; გახარებული	ჩემმა დამ ბედნიერად გაიღიმა.	ուրախ լինել; զվարճանալ	Քույրս ուրախ ժպտաց։
看法	აზრი; შეხედულება	ის ყოველთვის თავის აზრზე დგას.	կարծիք; տեսակետ	Նա միշտ պնդել է իր կարծիքը։
烤鸭	შემწვარი იხვი	პეკინის შემწვარი იხვი ცნობილია.	տապակած բադ	Պեկինի տապակած բադը հայտնի է։
考虑	განხილვა; დაფიქრება	ამ საკითხს სერიოზულად განვიხილავ.	մտածել; հաշվի առնել	Ես լրջորեն կմտածեմ այս հարցի մասին։
棵	სათვლელი სიტყვა ხეებისა და მცენარეებისთვის	ეს ხე მაღალი და დიდია.	հաշվիչ բառ ծառերի և բույսերի համար	Այս ծառը բարձր և մեծ է։
科学	მეცნიერება; მეცნიერული	მან სკოლაში ბევრი მეცნიერული ცოდნა მიიღო.	գիտություն; գիտական	Նա դպրոցում շատ գիտական գիտելիքներ է սովորել։
咳嗽	ხველა	ის გაციებულია და ძლიერ ახველებს.	հազալ	Նա մրսել է և ուժեղ հազում է։
可怜	საწყალი; შესაბრალისი	ეს ბავშვი სახლს ვერ პოულობს, ძალიან საწყალია.	խղճալի; ողորմելի	Այս երեխան տունը չի գտնում, շատ խղճալի է։
可是	მაგრამ; თუმცა	მიუხედავად იმისა, რომ ძალიან მინდა წასვლა, დრო ნამდვილად არ მაქვს.	բայց; սակայն	Թեև շատ եմ ուզում գնալ, իսկապես ժամանակ չունեմ։
可惜	სამწუხაროა; რა სამწუხაროა	სამწუხაროა, რომ ჩვენს შეკრებაზე ვერ მოხვალთ.	ափսոս; ցավալի է	Ափսոս, որ չեք կարող գալ մեր հավաքույթին։
客厅	მისაღები ოთახი	მამა მისაღებ ოთახში ტელევიზორს უყურებს.	հյուրասենյակ	Հայրս հյուրասենյակում հեռուստացույց է դիտում։
肯定	დარწმუნებული; აუცილებლად	ხუთ საათამდე აუცილებლად დავბრუნდები.	վստահ; անպայման	Ես անպայման մինչև ժամը հինգը կվերադառնամ։
空	ცარიელი; თავისუფალი	ეს ოთახი ცარიელია.	դատարկ; ազատ	Այս սենյակը դատարկ է։
空气	ჰაერი; ატმოსფერო	პარკში ჰაერი ძალიან სუფთაა.	օդ; մթնոլորտ	Այգու օդը շատ թարմ է։
恐怕	მეშინია, რომ; ალბათ	მგონი წვიმას აპირებს, ქოლგა წამოიღეთ?	վախենալ; երևի թե	Վախենամ անձրև է գալու, հովանոց բերե՞լ եք։
苦	მწარე; ტანჯვა	ეს ფინჯანი ყავა ძალიან მწარეა.	դառը; դժվարություն	Այս բաժակ սուրճը շատ դառը է։
矿泉水	მინერალური წყალი	ორი ბოთლი მინერალური წყალი ვიყიდე.	հանքային ջուր	Ես երկու շիշ հանքային ջուր գնեցի։
困	ძილიანი; დაღლილი	მეძინება და დაძინება მინდა.	քնկոտ; հոգնած	Քունս տանում է և ուզում եմ քնել։
困难	რთული; სირთულე	ეს დავალება ჩემთვის ძალიან რთულია.	դժվար; դժվարություն	Այս առաջադրանքը ինձ համար շատ դժվար է։
垃圾桶	ნაგვის ურნა	ქუჩაზე ბევრი ნაგვის ურნაა.	աղբաման	Փողոցում շատ աղբամաններ կան։
拉	ქაჩვა; ხელის მოკიდება	დედამ თავისი ქალიშვილის ხელი დაიჭირა.	քաշել; բռնել	Մայրը բռնեց դստեր ձեռքը։
辣	ცხარე	ძალიან ცხარე კერძების ჭამას მიჩვეული არ ვარ.	կծու	Ես սովոր չեմ շատ կծու ուտեստներ ուտել։
来不及	ვერ მოსწრება; უკვე გვიანია	დღეს დილით გვიან ავდექი და საუზმობას ვეღარ მოვასწარი.	չհասցնել; արդեն ուշ լինել	Այս առավոտ ուշ արթնացա և չհասցրի նախաճաշել։
来得及	მოსწრება; ჯერ კიდევ დრო არის	ფილმი ცხრა ოცდაათამდე არ იწყება, ამიტომ ჯერ კიდევ ვასწრებთ.	հասցնել; դեռ ժամանակ լինել	Ֆիլմը մինչև ժամը ինն անց կես չի սկսվում, ուստի դեռ կհասցնենք։
来自	წარმოშობა; საიდანაც მოსვლა	მე შანდუნის პროვინციიდან ვარ.	գալ; ծագել	Ես Շանդուն նահանգից եմ։
懒	ზარმაცი	ჩემი კატა ძალიან ზარმაცია და მთელი შუადღე სძინავს.	ծույլ	Իմ կատուն շատ ծույլ է և ամբողջ կեսօրին քնում է։
浪费	ფლანგვა; გაფლანგვა	ეს უბრალოდ დროის ფლანგვაა.	վատնել; շռայլել	Սա պարզապես ժամանակի վատնում է։
浪漫	რომანტიკული	ეს წიგნი რომანტიკულ სიყვარულის ისტორიას ჰყვება.	ռոմանտիկ	Այս գիրքը պատմում է ռոմանտիկ սիրո պատմություն։
老虎	ვეფხვი	ზოოპარკში ყოველ მისვლაზე ჩემს შვილს ყველაზე მეტად ვეფხვის ნახვა უყვარს.	վագր	Ամեն անգամ, երբ կենդանաբանական այգի ենք գնում, տղայիս ամենասիրելի կենդանին վագրն է։
冷静	მშვიდი; ცივსისხლიანი	ნუ აღელდებით, გთხოვთ, დამშვიდდით.	հանգիստ; սառնասիրտ	Մի հուզվեք, խնդրում եմ հանգստացեք։
理发	თმის შეჭრა	როდის მიდიხართ თმის შესაჭრელად?	մազ կտրել; սանրվածք	Ե՞րբ եք գնում մազ կտրելու։
理解	გაგება; გააზრება	ამ კითხვას იგებთ?	հասկանալ; ըմբռնում	Կարո՞ղ եք հասկանալ այս հարցը։
理想	იდეალი; ოცნება	რა არის თქვენი იდეალური პროფესია?	իդեալ; երազանք	Ո՞րն է ձեր իդեալական մասնագիտությունը։
礼拜天	კვირა დღე	ამ კვირა დღეს თავისუფალი ხართ?	կիրակի	Այս կիրակի ազա՞տ եք։
礼貌	თავაზიანობა; კარგი მანერები	ეს ბავშვი ძალიან თავაზიანია.	քաղաքավարություն; լավ վարք	Այս երեխան շատ քաղաքավարի է։
例如	მაგალითად	სპორტი მიყვარს, მაგალითად სირბილი და ცურვა.	օրինակ	Ես սիրում եմ սպորտ, օրինակ՝ վազքն ու լողը։
力气	ძალა	ამდენი სიარულის შემდეგ ისე დავიღალე, რომ ძალა აღარ დამრჩა.	ուժ	Այսքան քայլելուց հետո այնքան հոգնեցի, որ ուժս չմնաց։
厉害	სერიოზული; მძიმე	ის მძიმედ ავად იყო და საავადმყოფოში დააწვინეს.	լուրջ; ծանր	Նա շատ ծանր հիվանդ էր և հոսպիտալացվեց։
俩	ორივე; ორი ადამიანი	ჩვენ ორნი კარგი მეგობრები ვართ.	երկուսը; երկուսս	Մենք երկուսս լավ ընկերներ ենք։
联系	კავშირი; კონტაქტი	უნივერსიტეტის თანაკლასელებთან ჯერ კიდევ გაქვთ კონტაქტი?	կապ; շփում	Դեռ կապ ունե՞ք համալսարանի համակուրսեցիների հետ։
连	თუნდაც; კი	როგორ დაგავიწყდი მეც კი?	նույնիսկ; կապել	Ինչպե՞ս կարողացար նույնիսկ ինձ մոռանալ։
凉快	გრილი; სასიამოვნოდ გრილი	შემოდგომაზე ამინდი ძალიან გრილია.	զով; հաճելիորեն զով	Աշնանը եղանակը շատ զով է։
零钱	ხურდა; წვრილი ფული	შეგიძლიათ ცოტა ფული ხურდაში დამიხურდავოთ?	մանր դրամ; մանրադրամ	Կարո՞ղ եք ինձ համար մի քիչ գումար մանր դրամի փոխել։
另外	გარდა ამისა; სხვა	კიდევ ერთ რამეზე მინდა თქვენთან საუბარი.	բացի այդ; այլ	Ուզում եմ ձեզ հետ մեկ այլ բանի մասին խոսել։
流利	თავისუფლად მოლაპარაკე	თქვენ ჩინურად თავისუფლად საუბრობთ.	սահուն	Դուք չինարեն սահուն եք խոսում։
流行	პოპულარული; მოდური	ბევრ ახალგაზრდას პოპულარული მუსიკა უყვარს.	հանրաճանաչ; նորաձև	Շատ երիտասարդներ սիրում են հանրաճանաչ երաժշտություն։
留	დატოვება; დარჩენა	გთხოვთ, თქვენი ტელეფონის ნომერი დატოვეთ.	թողնել; մնալ	Խնդրում եմ, թողեք ձեր հեռախոսահամարը։
旅行	მოგზაურობა	ზაფხულში იუნანში მოგზაურობას ვგეგმავთ.	ճամփորդել; ճամփորդություն	Մենք ամռանը ծրագրում ենք ճամփորդել Յունան։
乱	არეული; უწესრიგო	ლეკვმა ოთახი აურია.	խառնաշփոթ; անկարգ	Քոթոթը սենյակը խառնեց։
律师	ადვოკატი	დედაჩემი ადვოკატია.	փաստաբան	Մայրս փաստաբան է։
麻烦	შეწუხება; პრობლემური	შეგიძლიათ ჭიქა მომიტანოთ?	անհանգստացնել; անհարմարություն	Կարո՞ղ եք ինձ մի բաժակ բերել։
马虎	უყურადღებო; დაუდევარი	ცოტა დაუდევრობამაც შეიძლება შეცდომა გამოიწვიოს.	անուշադիր; անփույթ	Մի փոքր անուշադրությունն էլ կարող է սխալների բերել։
满	სავსე	ჭიქა სავსეა.	լի; լցված	Բաժակը լիքն է։
毛	ბეწვი; თმა	ამ კატის ბეწვი თეთრია.	մազ; մորթի	Այս կատվի մորթին սպիտակ է։
毛巾	პირსახოცი	ცხელა, ამიტომ ოფლი პირსახოცით მოიწმინდეთ.	սրբիչ	Շոգ է, սրբիչով քրտինքդ սրբիր։
美丽	ლამაზი; მშვენიერი	ის მართლაც ლამაზი გოგოა.	գեղեցիկ	Նա իսկապես գեղեցիկ աղջիկ է։
梦	სიზმარი; ოცნება	ეს მართლაც საინტერესო სიზმარია!	երազ	Սա իսկապես հետաքրքիր երազ է։
迷路	გზის დაკარგვა	ის ტყეში დაიკარგა.	մոլորվել; ճանապարհը կորցնել	Նա անտառում մոլորվեց։
密码	პაროლი; კოდი	საკრედიტო ბარათის პაროლი დამავიწყდა.	գաղտնաբառ; կոդ	Ես մոռացել եմ վարկային քարտիս գաղտնաբառը։
免费	უფასო	ამ რესტორანში ჭამისას სასმელები უფასოა.	անվճար	Այս ռեստորանում ուտելիս խմիչքներն անվճար են։
秒	წამი	გთხოვთ, ათი წამი დამელოდეთ.	վայրկյան	Խնդրում եմ, ինձ տասը վայրկյան սպասեք։
民族	ეროვნება; ეთნიკური ჯგუფი	ჩინეთი მრავალეთნიკური ქვეყანაა.	ազգություն; էթնիկ խումբ	Չինաստանը բազմազգ երկիր է։
母亲	დედა	ნება მომეცით გაგაცნოთ, ეს დედაჩემია.	մայր	Թույլ տվեք ներկայացնել՝ սա մայրս է։
目的	მიზანი	არ მესმის, რა მიზნით აკეთებს ამას.	նպատակ	Ես չեմ հասկանում, թե նա ինչ նպատակով է սա անում։
耐心	მოთმინება; მომთმენი	ბავშვების აღზრდისას მოთმინება გჭირდებათ.	համբերություն; համբերատար	Երեխաներին կրթելիս համբերություն է պետք։
难道	ნუთუ; განა	ნუთუ ეს კერძები გემრიელი არ არის?	միթե; չէ՞ որ	Միթե այս ուտեստները համեղ չե՞ն։
难受	ცუდად ყოფნა; უსიამოვნო შეგრძნება	გაციებული ვარ და თავს ცუდად ვგრძნობ.	վատ զգալ; տհաճ լինել	Ես մրսել եմ և ինձ վատ եմ զգում։
内	შიგნით; ფარგლებში	გთხოვთ, დავალება სამ დღეში დაასრულეთ.	ներսում; ընթացքում	Խնդրում եմ, առաջադրանքը ավարտեք երեք օրվա ընթացքում։
内容	შინაარსი; დეტალები	ამ სტატიის შინაარსი ძალიან საინტერესოა.	բովանդակություն; մանրամասներ	Այս հոդվածի բովանդակությունը շատ հետաքրքիր է։
能力	უნარი; შესაძლებლობა	ის სამსახურში ძალიან უნარიანია.	կարողություն; ունակություն	Նա աշխատանքում շատ կարող է։
年龄	ასაკი	ვიღაცის ასაკის დაუფიქრებლად კითხვა უზრდელობაა.	տարիք	Մարդու տարիքը պատահաբար հարցնելը անքաղաքավարի է։
弄	გაკეთება; არევა	ლეკვმა ოთახი აურია.	անել; սարքել	Քոթոթը սենյակը խառնեց։
暖和	თბილი; სასიამოვნოდ თბილი	გაზაფხული მოვიდა და ამინდი თბება.	տաք; հաճելի տաք	Գարունը եկել է, և եղանակը տաքանում է։
偶尔	ხანდახან; ზოგჯერ	მას სკოლაში ხანდახან ვხედავ.	երբեմն; ժամանակ առ ժամանակ	Ես նրան երբեմն դպրոցում տեսնում եմ։
排队	რიგში დგომა	ბილეთების მყიდველები რიგში დგანან.	հերթ կանգնել	Տոմս գնողները հերթ են կանգնած։
排列	დალაგება; რიგით მოწყობა	გთხოვთ, ეს ყუთები დიდიდან პატარამდე დაალაგეთ.	դասավորել; կարգավորել	Խնդրում եմ, այս տուփերը դասավորեք մեծից փոքր։
判断	მსჯელობა; შეფასება	თქვენი შეფასება სრულიად სწორია.	դատողություն; դատել	Ձեր դատողությունը ամբողջովին ճիշտ է։
陪	თანხლება; გვერდით ყოფნა	როცა მოწყენილი ვარ, თქვენ ყოველთვის ჩემ გვერდით ხართ.	ուղեկցել; ընկերակցել	Երբ տխուր եմ, դուք միշտ իմ կողքին եք։
批评	კრიტიკა	მასწავლებლები იშვიათად მაკრიტიკებენ.	քննադատել; քննադատություն	Ուսուցիչները ինձ հազվադեպ են քննադատում։
皮肤	კანი	დედა კანის დაცვას დიდ ყურადღებას აქცევს.	մաշկ	Մայրս մեծ ուշադրություն է դարձնում մաշկը պաշտպանելուն։
脾气	ხასიათი; ტემპერამენტი	მას კარგი ხასიათი აქვს და არასდროს ბრაზდება.	բնավորություն; խառնվածք	Նա լավ բնավորություն ունի և երբեք չի բարկանում։
