hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
696:假期	假期	假期	las vacaciones; el periodo de descanso	Quiero descansar durante las vacaciones.	les vacances	Je veux me reposer pendant les vacances.	die Ferien; der Urlaub	Ich möchte mich in den Ferien ausruhen.	la vacanza; le ferie	Voglio riposare durante le vacanze.	as férias	Quero descansar durante as férias.	каникулы; отпуск	На каникулах я хочу отдохнуть.
700:检票	检票	检票	revisar billetes; controlar entradas	Hay que revisar los billetes antes de entrar en la estación.	contrôler les billets	Il faut contrôler les billets avant d'entrer dans la gare.	Fahrkarten kontrollieren	Vor dem Betreten des Bahnhofs müssen die Fahrkarten kontrolliert werden.	controllare i biglietti	Prima di entrare in stazione bisogna controllare i biglietti.	verificar bilhetes	Antes de entrar na estação é preciso verificar os bilhetes.	проверять билеты	Перед входом на станцию нужно проверить билеты.
707:街	街	街	la calle	Esta calle es muy animada.	la rue	Cette rue est très animée.	die Straße	Diese Straße ist sehr belebt.	la strada	Questa strada è molto animata.	a rua	Esta rua é muito movimentada.	улица	Эта улица очень оживленная.
714:姐妹	姐妹	姐妹	hermanas	Ellas son hermanas.	les sœurs	Ce sont des sœurs.	die Schwestern	Sie sind Schwestern.	le sorelle	Loro sono sorelle.	as irmãs	Elas são irmãs.	сестры	Они сестры.
716:斤	斤	斤	jin; unidad de medio kilo	Compré aproximadamente un kilo de manzanas.	le jin; unité d'un demi-kilo	J'ai acheté environ un kilo de pommes.	Jin; Halb-Kilo-Einheit	Ich habe etwa ein Kilo Äpfel gekauft.	jin; unità da mezzo chilo	Ho comprato circa un chilo di mele.	jin; unidade de meio quilo	Comprei cerca de um quilo de maçãs.	цзинь; мера в полкилограмма	Я купил около килограмма яблок.
720:酒	酒	酒	el alcohol; el licor	Papá no bebe alcohol por la noche.	l'alcool; la boisson alcoolisée	Papa ne boit pas d'alcool le soir.	der Alkohol; der Schnaps	Abends trinkt Papa keinen Alkohol.	l'alcol; il liquore	Papà non beve alcol la sera.	o álcool; a bebida alcoólica	O pai não bebe álcool à noite.	алкоголь; спиртное	Папа вечером не пьет алкоголь.
722:句	句	句	oración; clasificador de frases	Por favor, di una frase más.	la phrase; classificateur de phrases	Dis encore une phrase, s'il te plaît.	der Satz; Zählwort für Sätze	Bitte sag noch einen Satz.	la frase; classificatore per frasi	Per favore, di' un'altra frase.	a frase; classificador de frases	Por favor, diz mais uma frase.	предложение; счетное слово для фраз	Пожалуйста, скажи еще одно предложение.
725:卡	卡	卡	la tarjeta	Mi tarjeta está en mi bolso.	la carte	Ma carte est dans mon sac.	die Karte	Meine Karte ist in meiner Tasche.	la carta; la tessera	La mia carta è nella borsa.	o cartão	O meu cartão está na mala.	карта; карточка	Моя карта лежит в сумке.
726:开花	开花	开花	florecer	En primavera todos los árboles florecen.	fleurir	Au printemps, tous les arbres fleurissent.	blühen	Im Frühling blühen alle Bäume.	fiorire	In primavera tutti gli alberi fioriscono.	florescer	Na primavera todas as árvores florescem.	цвести; распускаться	Весной все деревья цветут.
727:开会	开会	开会	tener una reunión	Tengo una reunión a las tres de la tarde.	avoir une réunion	J'ai une réunion à trois heures de l'après-midi.	eine Besprechung haben	Ich habe um drei Uhr nachmittags eine Besprechung.	fare una riunione	Ho una riunione alle tre del pomeriggio.	ter uma reunião	Tenho uma reunião às três da tarde.	проводить собрание; быть на встрече	У меня совещание в три часа дня.
728:开机	开机	开机	encender; arrancar	El ordenador arranca muy despacio.	allumer; démarrer	L'ordinateur démarre très lentement.	einschalten; hochfahren	Der Computer fährt sehr langsam hoch.	accendere; avviare	Il computer si avvia molto lentamente.	ligar; arrancar	O computador arranca muito devagar.	включать; запускаться	Компьютер включается очень медленно.
730:看来	看来	看来	parece que; al parecer	Parece que hoy va a llover.	il semble; apparemment	Il semble qu'il va pleuvoir aujourd'hui.	anscheinend; es sieht so aus	Es sieht so aus, als würde es heute regnen.	sembra; a quanto pare	Sembra che oggi pioverà.	parece que; aparentemente	Parece que hoje vai chover.	похоже; по-видимому	Похоже, сегодня будет дождь.
731:可	可	可	muy; realmente	Él está realmente contento.	vraiment; très	Il est vraiment content.	wirklich; sehr	Er ist wirklich glücklich.	davvero; molto	Lui è davvero felice.	mesmo; muito	Ele está mesmo contente.	очень; действительно	Он действительно очень рад.
736:课本	课本	课本	el libro de texto	Por favor, abre el libro de texto.	le manuel	Ouvre le manuel, s'il te plaît.	das Lehrbuch	Bitte öffne das Lehrbuch.	il libro di testo	Per favore, apri il libro di testo.	o manual; o livro didático	Por favor, abre o manual.	учебник	Пожалуйста, открой учебник.
738:课文	课文	课文	el texto de la lección	Este texto no es difícil.	le texte de la leçon	Ce texte n'est pas difficile.	der Lektionstext	Dieser Text ist nicht schwierig.	il testo della lezione	Questo testo non è difficile.	o texto da lição	Este texto não é difícil.	текст урока	Этот текст несложный.
746:老人	老人	老人	la persona mayor	Esta persona mayor necesita ayuda.	la personne âgée	Cette personne âgée a besoin d'aide.	der ältere Mensch	Diese ältere Person braucht Hilfe.	l'anziano	Questa persona anziana ha bisogno di aiuto.	a pessoa idosa	Esta pessoa idosa precisa de ajuda.	пожилой человек	Этому пожилому человеку нужна помощь.
751:练	练	练	practicar	Practico chino todos los días.	pratiquer; s'exercer	Je pratique le chinois tous les jours.	üben	Ich übe jeden Tag Chinesisch.	esercitarsi; praticare	Mi esercito in cinese ogni giorno.	praticar	Todos os dias pratico chinês.	тренироваться; практиковать	Я каждый день практикую китайский.
755:聊	聊	聊	charlar	Quiero charlar contigo.	discuter; bavarder	Je veux discuter avec toi.	sich unterhalten; plaudern	Ich möchte mit dir plaudern.	chiacchierare	Voglio chiacchierare con te.	conversar	Quero conversar contigo.	болтать; разговаривать	Я хочу с тобой поговорить.
756:聊天儿	聊天儿	聊天儿	charlar	Charlamos juntos por la noche.	bavarder; discuter	Nous bavardons ensemble le soir.	plaudern; chatten	Wir plaudern abends zusammen.	chiacchierare	La sera chiacchieriamo insieme.	conversar; bater papo	À noite conversamos juntos.	болтать; общаться	Вечером мы болтаем вместе.
760:留学生	留学生	留学生	el estudiante internacional	Él es un estudiante internacional de Japón.	l'étudiant étranger; l'étudiant international	Il est étudiant étranger venu du Japon.	der internationale Student	Er ist ein internationaler Student aus Japan.	lo studente internazionale	Lui è uno studente internazionale dal Giappone.	o estudante internacional	Ele é um estudante internacional do Japão.	иностранный студент	Он иностранный студент из Японии.
761:楼梯	楼梯	楼梯	las escaleras	Por favor, sube por las escaleras.	l'escalier	Monte par l'escalier, s'il te plaît.	die Treppe	Bitte nimm die Treppe nach oben.	le scale	Per favore, sali per le scale.	as escadas	Por favor, sobe pelas escadas.	лестница	Пожалуйста, поднимайся по лестнице.
762:路边	路边	路边	el borde de la carretera	Él aparcó el coche al borde de la carretera.	le bord de la route	Il a garé la voiture au bord de la route.	der Straßenrand	Er parkte das Auto am Straßenrand.	il bordo della strada	Ha parcheggiato l'auto a bordo strada.	a berma; a beira da estrada	Ele estacionou o carro à beira da estrada.	обочина; край дороги	Он припарковал машину у дороги.
763:路口	路口	路口	el cruce	Te espero en el cruce.	le carrefour	Je t'attends au carrefour.	die Kreuzung	Ich warte an der Kreuzung auf dich.	l'incrocio	Ti aspetto all'incrocio.	o cruzamento	Estou à tua espera no cruzamento.	перекресток	Я жду тебя на перекрестке.
765:马路	马路	马路	la carretera; la calle	Ten cuidado al cruzar la carretera.	la route; la rue	Sois prudent en traversant la route.	die Straße	Sei vorsichtig, wenn du die Straße überquerst.	la strada	Fai attenzione quando attraversi la strada.	a estrada; a rua	Toma cuidado ao atravessar a estrada.	дорога; улица	Будь осторожен, переходя дорогу.
770:面前	面前	面前	delante de	El profesor está de pie delante de los estudiantes.	devant	Le professeur se tient devant les élèves.	vor	Der Lehrer steht vor den Schülern.	davanti a	L'insegnante sta davanti agli studenti.	à frente de	O professor está em pé à frente dos alunos.	перед; напротив	Учитель стоит перед учениками.
772:名单	名单	名单	la lista de nombres	Por favor, escribe tu nombre en la lista.	la liste des noms	Écris ton nom sur la liste, s'il te plaît.	die Namensliste	Bitte schreib deinen Namen auf die Liste.	la lista dei nomi	Per favore, scrivi il tuo nome sulla lista.	a lista de nomes	Por favor, escreve o teu nome na lista.	список имен	Пожалуйста, напиши свое имя в списке.
773:名人	名人	名人	la persona famosa; la celebridad	Esta ciudad tiene muchas personas famosas.	la personne célèbre; la célébrité	Cette ville compte beaucoup de personnes célèbres.	die berühmte Person; die Berühmtheit	In dieser Stadt gibt es viele berühmte Menschen.	la persona famosa; la celebrità	In questa città ci sono molte persone famose.	a pessoa famosa; a celebridade	Esta cidade tem muitas pessoas famosas.	известный человек; знаменитость	В этом городе много известных людей.
776:南方	南方	南方	el sur; la región del sur	Los inviernos en el sur no son muy fríos.	le sud; la région du sud	Les hivers dans le sud ne sont pas très froids.	der Süden; die südliche Region	Die Winter im Süden sind nicht sehr kalt.	il sud; la regione meridionale	Gli inverni al sud non sono molto freddi.	o sul; a região sul	Os invernos no sul não são muito frios.	юг; южный регион	Зимой на юге не очень холодно.
778:难看	难看	难看	feo; desagradable a la vista	Esta prenda es un poco fea.	laid; désagréable à regarder	Ce vêtement est un peu laid.	hässlich; unschön	Dieses Kleidungsstück ist ein bisschen hässlich.	brutto; sgradevole da vedere	Questo vestito è un po' brutto.	feio; desagradável de ver	Esta peça de roupa é um pouco feia.	некрасивый; неприятный на вид	Эта одежда немного некрасивая.
780:男生	男生	男生	el alumno; el chico	Ese chico está jugando al baloncesto.	l'élève garçon; le garçon	Ce garçon joue au basket.	der Schüler; der Junge	Dieser Junge spielt gerade Basketball.	lo studente; il ragazzo	Quel ragazzo sta giocando a basket.	o aluno; o rapaz	Aquele rapaz está a jogar basquetebol.	ученик; парень	Этот парень играет в баскетбол.
781:难题	难题	难题	el problema difícil	No puedo resolver este problema difícil.	le problème difficile	Je ne peux pas résoudre ce problème difficile.	die schwierige Aufgabe	Ich kann diese schwierige Aufgabe nicht lösen.	il problema difficile	Non riesco a risolvere questo problema difficile.	o problema difícil	Não consigo resolver este problema difícil.	трудная задача; сложный вопрос	Я не могу решить эту трудную задачу.
782:难听	难听	难听	desagradable de oír	Este sonido es desagradable de oír.	désagréable à entendre	Ce son est désagréable à entendre.	unangenehm anzuhören	Dieses Geräusch ist unangenehm anzuhören.	brutto da sentire; sgradevole	Questo suono è sgradevole da sentire.	desagradável de ouvir	Este som é desagradável de ouvir.	неприятный на слух	Этот звук неприятный.
785:牛	牛	牛	la vaca; el buey	Esta vaca es muy grande.	la vache; le bœuf	Cette vache est très grande.	die Kuh; der Ochse	Diese Kuh ist sehr groß.	la mucca; il bue	Questa mucca è molto grande.	a vaca; o boi	Esta vaca é muito grande.	корова; бык	Эта корова очень большая.
788:女生	女生	女生	la alumna; la chica	Esta chica canta muy bien.	l'élève fille; la fille	Cette fille chante très bien.	die Schülerin; das Mädchen	Dieses Mädchen singt sehr gut.	la studentessa; la ragazza	Questa ragazza canta molto bene.	a aluna; a rapariga	Esta rapariga canta muito bem.	ученица; девушка	Эта девушка очень хорошо поет.
789:爬	爬	爬	subir; trepar	El niño está subiendo las escaleras.	grimper; monter	L'enfant monte les escaliers.	klettern; hinaufsteigen	Das Kind klettert die Treppe hinauf.	arrampicarsi; salire	Il bambino sta salendo le scale.	subir; trepar	A criança está a subir as escadas.	лезть; взбираться	Ребенок поднимается по лестнице.
790:怕	怕	怕	tener miedo	Tengo miedo de la oscuridad.	avoir peur	J'ai peur du noir.	Angst haben	Ich habe Angst vor der Dunkelheit.	avere paura	Ho paura del buio.	ter medo	Tenho medo do escuro.	бояться	Я боюсь темноты.
791:拍照	拍照	拍照	tomar fotos; fotografiar	Ellos están tomando fotos en el parque.	prendre des photos	Ils prennent des photos dans le parc.	fotografieren; Fotos machen	Sie machen Fotos im Park.	fotografare; fare foto	Stanno facendo foto nel parco.	tirar fotografias	Eles estão a tirar fotografias no parque.	фотографировать	Они фотографируются в парке.
801:起	起	起	levantarse; elevarse	Por favor, levántate un poco más temprano.	se lever; monter	Lève-toi un peu plus tôt, s'il te plaît.	aufstehen; sich erheben	Bitte steh ein bisschen früher auf.	alzarsi; sollevarsi	Per favore, alzati un po' prima.	levantar-se; erguer-se	Por favor, levanta-te um pouco mais cedo.	вставать; подниматься	Пожалуйста, встань немного раньше.
803:汽车	汽车	汽车	el coche; el automóvil	Este coche es muy nuevo.	la voiture; l'automobile	Cette voiture est très récente.	das Auto	Dieses Auto ist sehr neu.	l'auto; l'automobile	Questa macchina è molto nuova.	o carro; o automóvel	Este carro é muito novo.	автомобиль; машина	Эта машина совсем новая.
804:铅笔	铅笔	铅笔	el lápiz	Escribo con un lápiz.	le crayon	J'écris avec un crayon.	der Bleistift	Ich schreibe mit einem Bleistift.	la matita	Scrivo con una matita.	o lápis	Escrevo com um lápis.	карандаш	Я пишу карандашом.
805:前年	前年	前年	el año anterior al pasado	Fui a Guangzhou el año anterior al pasado.	l'année d'avant; il y a deux ans	Je suis allé à Canton il y a deux ans.	das vorletzte Jahr	Im vorletzten Jahr war ich in Guangzhou.	l'anno prima dell'anno scorso	Sono stato a Guangzhou due anni fa.	o ano anterior ao passado	Fui a Guangzhou no ano anterior ao passado.	позапрошлый год	Позапрошлым годом я ездил в Гуанчжоу.
806:前天	前天	前天	anteayer	Lo vi anteayer.	avant-hier	Je l'ai vu avant-hier.	vorgestern	Ich habe ihn vorgestern gesehen.	l'altro ieri	L'ho visto l'altro ieri.	anteontem	Vi-o anteontem.	позавчера	Я видел его позавчера.
809:请客	请客	请客	invitar; pagar la cuenta	Hoy invito yo.	inviter; offrir	C'est moi qui invite aujourd'hui.	einladen; ausgeben	Heute lade ich ein.	offrire; invitare	Oggi offro io.	convidar; pagar	Hoje pago eu.	угощать; приглашать за свой счет	Сегодня я угощаю.
810:秋天	秋天	秋天	el otoño	El tiempo en otoño es agradable.	l'automne	Le temps en automne est agréable.	der Herbst	Das Wetter im Herbst ist angenehm.	l'autunno	In autunno il tempo è piacevole.	o outono	O tempo no outono é agradável.	осень	Осенью погода приятная.
811:球场	球场	球场	el campo deportivo; la cancha	Hay muchos estudiantes en el campo deportivo.	le terrain de sport	Il y a beaucoup d'élèves sur le terrain de sport.	der Sportplatz	Auf dem Sportplatz sind viele Schüler.	il campo sportivo	Ci sono molti studenti sul campo sportivo.	o campo desportivo	Há muitos alunos no campo desportivo.	спортивная площадка; поле	На спортивной площадке много учеников.
815:认得	认得	认得	reconocer	Reconozco a este profesor.	reconnaître	Je reconnais ce professeur.	erkennen	Ich erkenne diesen Lehrer.	riconoscere	Riconosco questo insegnante.	reconhecer	Reconheço este professor.	узнавать; распознавать	Я узнаю этого учителя.
821:扫	扫	扫	barrer	Por favor, barre el suelo hasta dejarlo limpio.	balayer	Balaie le sol proprement, s'il te plaît.	fegen	Bitte feg den Boden sauber.	spazzare	Per favore, spazza bene il pavimento.	varrer	Por favor, varre o chão até ficar limpo.	подметать	Пожалуйста, подмети пол начисто.
823:山	山	山	la montaña	Esta montaña es muy alta.	la montagne	Cette montagne est très haute.	der Berg	Dieser Berg ist sehr hoch.	la montagna	Questa montagna è molto alta.	a montanha	Esta montanha é muito alta.	гора	Эта гора очень высокая.
824:上衣	上衣	上衣	la prenda superior; la chaqueta	Esta prenda superior es nueva.	le haut; le vêtement du haut	Ce haut est neuf.	das Oberteil	Dieses Oberteil ist neu.	il capo superiore; la maglia	Questo capo superiore è nuovo.	a peça de cima; o casaco	Esta peça de cima é nova.	верхняя одежда; верх	Эта верхняя одежда новая.
826:身边	身边	身边	al lado; alrededor	Tengo muchos amigos a mi alrededor.	à ses côtés; autour de soi	J'ai beaucoup d'amis autour de moi.	an der Seite; um einen herum	Ich habe viele Freunde um mich herum.	accanto; intorno a sé	Ho molti amici intorno a me.	ao lado; à volta	Tenho muitos amigos à minha volta.	рядом; вокруг	Рядом со мной много друзей.
827:身高	身高	身高	la altura	Su altura es de un metro ochenta.	la taille	Sa taille est d'un mètre quatre-vingts.	die Körpergröße	Seine Körpergröße beträgt 1,80 Meter.	l'altezza	La sua altezza è un metro e ottanta.	a altura	A altura dele é um metro e oitenta.	рост	Его рост один метр восемьдесят.
828:声	声	声	el sonido; clasificador para sonidos	Oí sonar el teléfono una vez.	le son; classificateur pour les sons	J'ai entendu le téléphone sonner une fois.	der Laut; Zählwort für Geräusche	Ich hörte das Telefon einmal klingeln.	il suono; classificatore per suoni	Ho sentito squillare il telefono una volta.	o som; classificador de sons	Ouvi o telefone tocar uma vez.	звук; счетное слово для звуков	Я услышал один звонок телефона.
832:市	市	市	la ciudad; el municipio	Él vive en el municipio de Pekín.	la ville; la municipalité	Il habite dans la municipalité de Pékin.	die Stadt; die Kommune	Er lebt in der Stadt Peking.	la città; il comune	Vive nella municipalità di Pechino.	a cidade; o município	Ele vive no município de Pequim.	город; муниципалитет	Он живет в городе Пекине.
834:室	室	室	la habitación; la sala	El profesor está en la oficina.	la pièce; la salle	Le professeur est dans le bureau.	der Raum; das Zimmer	Der Lehrer ist im Büro.	la stanza; la sala	L'insegnante è in ufficio.	a sala; o quarto	O professor está no escritório.	комната; помещение	Учитель находится в кабинете.
837:收到	收到	收到	recibir	Recibí tu correo electrónico.	recevoir	J'ai reçu ton e-mail.	erhalten; bekommen	Ich habe deine E-Mail erhalten.	ricevere	Ho ricevuto la tua email.	receber	Recebi o teu e-mail.	получать	Я получил твое письмо.
838:受	受	受	sufrir; recibir	Él sufrió una pequeña lesión.	subir; recevoir	Il a été légèrement blessé.	erleiden; bekommen	Er wurde leicht verletzt.	subire; ricevere	Ha riportato una piccola ferita.	sofrer; receber	Ele sofreu uma pequena lesão.	получать; терпеть	Он получил небольшую травму.
844:刷	刷	刷	cepillar	Él se cepilla los dientes por la mañana.	brosser	Il se brosse les dents le matin.	bürsten; putzen	Er putzt sich morgens die Zähne.	spazzolare	Lui si lava i denti la mattina.	escovar	Ele escova os dentes de manhã.	чистить щеткой	Утром он чистит зубы.
848:四季	四季	四季	las cuatro estaciones	Las cuatro estaciones son hermosas aquí.	les quatre saisons	Les quatre saisons sont belles ici.	die vier Jahreszeiten	Alle vier Jahreszeiten sind hier schön.	le quattro stagioni	Qui le quattro stagioni sono tutte belle.	as quatro estações	As quatro estações são todas bonitas aqui.	четыре времени года	Здесь все четыре времени года красивы.
854:体育馆	体育馆	体育馆	el gimnasio; el pabellón deportivo	El partido se celebra en el gimnasio.	le gymnase; la salle de sport	Le match a lieu dans le gymnase.	die Sporthalle	Das Spiel findet in der Sporthalle statt.	la palestra; il palazzetto dello sport	La partita si tiene in palestra.	o pavilhão desportivo; o ginásio	O jogo realiza-se no pavilhão desportivo.	спортзал; спортивный зал	Соревнование проходит в спортзале.
856:跳	跳	跳	saltar	Él salta muy alto.	sauter	Il saute très haut.	springen	Er springt sehr hoch.	saltare	Lui salta molto in alto.	saltar	Ele salta muito alto.	прыгать	Он прыгает очень высоко.
857:听说	听说	听说	oír decir; enterarse	Oí que él vuelve mañana.	entendre dire; apprendre	J'ai entendu dire qu'il revient demain.	hören; gehört haben	Ich habe gehört, dass er morgen zurückkommt.	sentire dire; venire a sapere	Ho sentito che torna domani.	ouvir dizer; saber	Ouvi dizer que ele volta amanhã.	слышать; говорят что	Я слышал, что он завтра вернется.
865:外地	外地	外地	otro lugar; fuera de la ciudad	Él vino de fuera de la ciudad a trabajar en Pekín.	une autre région; hors de la ville	Il est venu d'une autre région travailler à Pékin.	auswärtiger Ort; von außerhalb	Er kam von außerhalb nach Peking, um zu arbeiten.	un altro posto; fuori città	È venuto da fuori città a lavorare a Pechino.	outro lugar; fora da cidade	Ele veio de fora para trabalhar em Pequim.	другой город; иногородний	Он приехал из другого города работать в Пекин.
866:外卖	外卖	外卖	comida a domicilio; comida para llevar	Hoy al mediodía pedí comida a domicilio.	le plat à emporter; la livraison de repas	J'ai commandé un repas à midi aujourd'hui.	das Lieferessen; Essen zum Mitnehmen	Heute Mittag habe ich Essen bestellt.	il cibo da asporto; la consegna	Oggi a mezzogiorno ho ordinato cibo a domicilio.	a comida para entrega; o take-away	Hoje ao meio-dia pedi comida para entrega.	еда на вынос; доставка еды	Сегодня в полдень я заказал доставку еды.
867:外语	外语	外语	el idioma extranjero	Ella sabe hablar dos idiomas extranjeros.	la langue étrangère	Elle sait parler deux langues étrangères.	die Fremdsprache	Sie kann zwei Fremdsprachen sprechen.	la lingua straniera	Lei sa parlare due lingue straniere.	a língua estrangeira	Ela sabe falar duas línguas estrangeiras.	иностранный язык	Она говорит на двух иностранных языках.
870:晚点	晚点	晚点	retrasarse	El tren se retrasó diez minutos.	avoir du retard	Le train a eu dix minutes de retard.	Verspätung haben	Der Zug hatte zehn Minuten Verspätung.	essere in ritardo	Il treno ha avuto dieci minuti di ritardo.	atrasar-se	O comboio atrasou-se dez minutos.	опаздывать; задерживаться	Поезд задержался на десять минут.
871:晚会	晚会	晚会	la fiesta de noche; la velada	Esta noche hay una fiesta en la escuela.	la soirée	Il y a une soirée à l'école ce soir.	die Abendveranstaltung	Heute Abend gibt es in der Schule eine Feier.	la serata; la festa serale	Stasera a scuola c'è una festa.	a festa da noite; a gala	Hoje à noite há uma festa na escola.	вечер; вечеринка	Вечером в школе будет праздничный вечер.
881:西北	西北	西北	el noroeste	Mi casa está en el noroeste de la ciudad.	le nord-ouest	Ma maison est au nord-ouest de la ville.	der Nordwesten	Mein Zuhause liegt im Nordwesten der Stadt.	il nord-ovest	La mia casa è nel nord-ovest della città.	o noroeste	A minha casa fica no noroeste da cidade.	северо-запад	Мой дом находится на северо-западе города.
882:西方	西方	西方	el oeste; Occidente	El sol se pone por el oeste.	l'ouest; l'Occident	Le soleil se couche à l'ouest.	der Westen	Die Sonne geht im Westen unter.	l'ovest; l'Occidente	Il sole tramonta a ovest.	o oeste; o Ocidente	O sol põe-se a oeste.	запад; Запад	Солнце садится на западе.
884:西南	西南	西南	el suroeste	El parque está al suroeste de la escuela.	le sud-ouest	Le parc est au sud-ouest de l'école.	der Südwesten	Der Park liegt südwestlich der Schule.	il sud-ovest	Il parco è a sud-ovest della scuola.	o sudoeste	O parque fica a sudoeste da escola.	юго-запад	Парк находится к юго-западу от школы.
886:喜爱	喜爱	喜爱	gustar mucho; amar	Al abuelo le encanta la ópera de Pekín.	aimer beaucoup; adorer	Grand-père aime beaucoup l'opéra de Pékin.	sehr mögen; lieben	Großvater liebt die Peking-Oper sehr.	amare; apprezzare molto	Il nonno ama molto l'opera di Pechino.	gostar muito; amar	O avô gosta muito de ópera de Pequim.	любить; очень нравиться	Дедушка очень любит пекинскую оперу.
887:洗衣机	洗衣机	洗衣机	la lavadora	La lavadora está rota.	la machine à laver	La machine à laver est en panne.	die Waschmaschine	Die Waschmaschine ist kaputt.	la lavatrice	La lavatrice è rotta.	a máquina de lavar roupa	A máquina de lavar roupa avariou.	стиральная машина	Стиральная машина сломалась.
889:夏天	夏天	夏天	el verano	Me gusta nadar en verano.	l'été	J'aime nager en été.	der Sommer	Im Sommer schwimme ich gern.	l'estate	Mi piace nuotare d'estate.	o verão	Gosto de nadar no verão.	лето	Летом я люблю плавать.
893:箱子	箱子	箱子	la caja; la maleta	Hay muchos libros en la caja.	la boîte; la valise	Il y a beaucoup de livres dans la boîte.	die Kiste; der Koffer	In der Kiste sind viele Bücher.	la scatola; la valigia	Ci sono molti libri nella scatola.	a caixa; a mala	Há muitos livros na caixa.	коробка; чемодан	В коробке много книг.
896:相机	相机	相机	la cámara	Esta cámara es muy ligera.	l'appareil photo	Cet appareil photo est très léger.	die Kamera	Diese Kamera ist sehr leicht.	la macchina fotografica	Questa macchina fotografica è molto leggera.	a câmara fotográfica	Esta câmara fotográfica é muito leve.	фотоаппарат; камера	Этот фотоаппарат очень легкий.
897:小区	小区	小区	el conjunto residencial; el barrio	Vivo en este conjunto residencial.	la résidence; le quartier résidentiel	J'habite dans cette résidence.	die Wohnanlage	Ich wohne in dieser Wohnanlage.	il complesso residenziale	Vivo in questo complesso residenziale.	o condomínio; o bairro residencial	Vivo neste condomínio.	жилой комплекс; район	Я живу в этом жилом комплексе.
899:校园	校园	校园	el campus	Hay muchos árboles en el campus.	le campus	Il y a beaucoup d'arbres sur le campus.	der Campus	Auf dem Campus gibt es viele Bäume.	il campus	Nel campus ci sono molti alberi.	o campus	Há muitas árvores no campus.	кампус; территория школы	На территории школы много деревьев.
901:鞋	鞋	鞋	el zapato	Este par de zapatos es cómodo.	la chaussure	Cette paire de chaussures est confortable.	der Schuh	Dieses Paar Schuhe ist bequem.	la scarpa	Questo paio di scarpe è comodo.	o sapato	Este par de sapatos é confortável.	обувь; туфля	Эта пара обуви удобная.
902:心里	心里	心里	en el corazón; en la mente	Me siento muy feliz por dentro.	dans le cœur; dans l'esprit	Je me sens très heureux au fond de moi.	im Herzen; im Inneren	Innerlich fühle ich mich sehr glücklich.	nel cuore; dentro di sé	Dentro di me mi sento molto felice.	no coração; por dentro	Sinto-me muito feliz por dentro.	в душе; на сердце	В душе я очень рад.
903:新年	新年	新年	el Año Nuevo	¡Feliz Año Nuevo!	le Nouvel An	Bonne année !	das Neujahr	Frohes neues Jahr!	il Capodanno; il nuovo anno	Felice anno nuovo!	o Ano Novo	Feliz Ano Novo!	Новый год	С Новым годом!
906:信	信	信	la carta	Escribí una carta a un amigo.	la lettre	J'ai écrit une lettre à un ami.	der Brief	Ich habe einem Freund einen Brief geschrieben.	la lettera	Ho scritto una lettera a un amico.	a carta	Escrevi uma carta a um amigo.	письмо	Я написал письмо другу.
909:行李	行李	行李	el equipaje	Mi equipaje pesa mucho.	les bagages	Mes bagages sont lourds.	das Gepäck	Mein Gepäck ist schwer.	il bagaglio	Il mio bagaglio è pesante.	a bagagem	A minha bagagem é pesada.	багаж	Мой багаж тяжелый.
910:兴趣	兴趣	兴趣	el interés	Él tiene interés por la música.	l'intérêt	Il s'intéresse à la musique.	das Interesse	Er interessiert sich für Musik.	l'interesse	Lui ha interesse per la musica.	o interesse	Ele tem interesse por música.	интерес	Он интересуется музыкой.
911:休假	休假	休假	tomar vacaciones	Ella toma vacaciones el próximo mes.	prendre des vacances	Elle prend des vacances le mois prochain.	Urlaub nehmen	Sie nimmt nächsten Monat Urlaub.	prendere ferie	Lei va in ferie il mese prossimo.	tirar férias	Ela vai tirar férias no próximo mês.	брать отпуск; отдыхать	В следующем месяце она берет отпуск.
913:选	选	选	elegir	Por favor, elige una respuesta.	choisir	Choisis une réponse, s'il te plaît.	wählen	Bitte wähle eine Antwort.	scegliere	Per favore, scegli una risposta.	escolher	Por favor, escolhe uma resposta.	выбирать	Пожалуйста, выбери ответ.
916:牙	牙	牙	el diente	Me duele un poco el diente.	la dent	J'ai un peu mal à la dent.	der Zahn	Mein Zahn tut ein bisschen weh.	il dente	Mi fa un po' male il dente.	o dente	O meu dente dói um pouco.	зуб	У меня немного болит зуб.
917:牙刷	牙刷	牙刷	el cepillo de dientes	Compré un cepillo de dientes nuevo.	la brosse à dents	J'ai acheté une nouvelle brosse à dents.	die Zahnbürste	Ich habe eine neue Zahnbürste gekauft.	lo spazzolino	Ho comprato uno spazzolino nuovo.	a escova de dentes	Comprei uma escova de dentes nova.	зубная щетка	Я купил новую зубную щетку.
918:羊	羊	羊	la oveja; la cabra	Hay unas cuantas ovejas en la montaña.	le mouton; la chèvre	Il y a quelques moutons sur la montagne.	das Schaf; die Ziege	Auf dem Berg sind ein paar Schafe.	la pecora; la capra	Ci sono alcune pecore sulla montagna.	a ovelha; a cabra	Há algumas ovelhas na montanha.	овца; коза	На горе несколько овец.
