simplified	JA	example_JA	KO	example_KO	VI	example_VI
顾客	客; 顧客	お客さんは三分の一減りました。	고객; 손님	고객이 3분의 1 줄었어요.	khách hàng	Khách hàng đã giảm một phần ba.
挂	掛ける; 電話を切る	先に電話を切らないでください。	걸다; 전화를 끊다	먼저 전화를 끊지 마세요.	treo; cúp máy	Xin đừng cúp máy trước.
关键	重要な点; 鍵	これは問題の核心ではありません。	핵심; 관건	이것은 문제의 핵심이 아니에요.	điểm then chốt; mấu chốt	Đây không phải là mấu chốt của vấn đề.
观众	観客; 視聴者	テレビの前の視聴者の皆さん、こんにちは。	관중; 시청자	텔레비전 앞의 시청자 여러분, 안녕하세요.	khán giả	Xin chào các khán giả trước màn hình TV.
管理	管理する	今は誰がこの家を管理していますか。	관리하다	지금은 누가 이 집을 관리해요?	quản lý	Bây giờ ai quản lý căn nhà này?
光	光; 明るさ	今日は日差しが強いです。	빛; 밝기	오늘은 햇빛이 아주 강해요.	ánh sáng; độ sáng	Hôm nay ánh nắng rất mạnh.
广播	ラジオ放送; 放送	おじいさんはラジオを聞いています。	방송; 라디오	할아버지는 라디오를 듣고 계세요.	phát thanh; chương trình phát thanh	Ông đang nghe radio.
广告	広告	新聞であなたたちの広告を見ました。	광고	저는 신문에서 당신들의 광고를 봤어요.	quảng cáo	Tôi đã thấy quảng cáo của các bạn trên báo.
逛	ぶらぶら歩く; 見て回る	週末にショッピングモールを見て回りましょう。	돌아다니다; 구경하다	주말에 우리 쇼핑몰에 가서 둘러봐요.	dạo; đi xem	Cuối tuần chúng ta đi dạo trung tâm thương mại nhé.
规定	規則; 定める	学校には独自の規則があります。	규정; 정하다	학교에는 자체 규정이 있어요.	quy định	Trường có quy định riêng của mình.
国籍	国籍	フォームに国籍を記入してください。	국적	양식에 국적을 적어 주세요.	quốc tịch	Xin hãy điền quốc tịch vào biểu mẫu.
国际	国際的な	これは国際会議です。	국제; 국제적인	이것은 국제회의예요.	quốc tế	Đây là một hội nghị quốc tế.
果汁	果汁; ジュース	ジュースを一杯飲みたいです。	과일주스	저는 과일주스 한 잔을 마시고 싶어요.	nước ép trái cây	Tôi muốn uống một ly nước ép trái cây.
过程	過程; プロセス	学習の過程はとても重要です。	과정	학습 과정은 아주 중요해요.	quá trình	Quá trình học tập rất quan trọng.
海洋	海洋; 海	地球の表面の大部分は海です。	해양; 바다	지구 표면의 대부분은 바다예요.	đại dương	Phần lớn bề mặt Trái Đất là biển.
害羞	恥ずかしがる; 内気な	彼女は初めて舞台に上がった時、少し恥ずかしがっていました。	부끄러워하다; 수줍다	그녀는 처음 무대에 올랐을 때 조금 수줍어했어요.	xấu hổ; ngại ngùng	Lần đầu lên sân khấu, cô ấy hơi ngại ngùng.
寒假	冬休み	冬休みに南の方へ旅行したいです。	겨울방학	겨울방학에 저는 남쪽으로 여행 가고 싶어요.	nghỉ đông	Kỳ nghỉ đông tôi muốn đi du lịch miền nam.
汗	汗	暑いでしょう。タオルで汗を拭いてください。	땀	덥죠? 수건으로 땀을 닦으세요.	mồ hôi	Nóng rồi nhỉ, dùng khăn lau mồ hôi đi.
航班	便; フライト	この便にご搭乗いただきありがとうございます。	항공편; 비행기편	이번 항공편에 탑승하신 것을 환영합니다.	chuyến bay	Chào mừng quý khách đi chuyến bay này.
好处	利点; メリット	本を多く読むことには多くの利点があります。	장점; 이점	책을 많이 읽으면 좋은 점이 많아요.	lợi ích	Đọc sách nhiều có rất nhiều lợi ích.
好像	〜のようだ; どうやら	私たちの間には誤解があるようです。	인 것 같다; 마치	우리 사이에 오해가 있는 것 같아요.	hình như; giống như	Hình như giữa chúng ta có hiểu lầm.
号码	番号	あなたの電話番号を教えてください。	번호	전화번호를 저에게 주세요.	số	Xin hãy cho tôi số điện thoại của bạn.
合格	合格した; 基準に合う	この製品の品質は基準に合っています。	합격하다; 기준에 맞다	이 제품의 품질은 기준에 맞아요.	đạt chuẩn; đủ tiêu chuẩn	Chất lượng sản phẩm này đạt tiêu chuẩn.
合适	合う; 適切な	この靴はとても合っています。	적합하다; 맞다	이 신발은 아주 잘 맞아요.	phù hợp; vừa	Đôi giày này rất vừa.
盒子	箱	箱の中は空で、何もありません。	상자	상자 안은 비어 있고 아무것도 없어요.	hộp	Trong hộp trống, không có gì cả.
厚	厚い	この本は厚いです。	두껍다	이 책은 두꺼워요.	dày	Quyển sách này rất dày.
后悔	後悔する	もっと早くあなたに言わなかったことを後悔しています。	후회하다	저는 당신에게 더 일찍 말하지 않은 것을 후회해요.	hối hận	Tôi hối hận vì đã không nói với bạn sớm hơn.
互联网	インターネット	インターネットは人々の生活に多くの便利さをもたらしました。	인터넷	인터넷은 사람들의 생활에 많은 편리함을 가져왔어요.	Internet	Internet đã mang lại nhiều tiện lợi cho cuộc sống của mọi người.
互相	互いに; お互い	私たち二人は互いに支え合わなければなりません。	서로; 상호	우리 둘은 서로 지지해야 해요.	lẫn nhau; với nhau	Hai chúng ta phải ủng hộ lẫn nhau.
护士	看護師	看護師が患者に注射をしています。	간호사	간호사가 환자에게 주사를 놓고 있어요.	y tá; điều dưỡng	Y tá đang tiêm cho bệnh nhân.
怀疑	疑う; 疑い	彼は今日会議があることを忘れたのではないかと思います。	의심하다; 의심	저는 그가 오늘 회의가 있다는 것을 잊은 것 같아요.	nghi ngờ	Tôi nghi anh ấy quên hôm nay phải họp.
回忆	思い出す; 回想	私たちはよく子どもの頃のことを思い出します。	회상하다; 추억	우리는 어릴 때 일을 자주 떠올려요.	hồi tưởng; kỷ niệm	Chúng tôi thường nhớ lại những chuyện hồi nhỏ.
活动	体を動かす; 活動	公園でしばらく体を動かしました。	활동하다; 몸을 움직이다	저는 공원에 가서 잠시 몸을 움직였어요.	vận động; hoạt động	Tôi đến công viên vận động một lúc.
活泼	活発な; 生き生きした	この子はとても活発です。	활발하다; 생기 있다	이 아이는 아주 활발해요.	hoạt bát; sinh động	Đứa trẻ này rất hoạt bát.
火	火	火は危険ですから、気をつけてください。	불	불은 위험하니 조심하세요.	lửa	Lửa rất nguy hiểm, hãy cẩn thận.
获得	得る; 獲得する	成功しても、あまり思い上がってはいけません。	얻다; 획득하다	성공을 얻어도 너무 교만해서는 안 돼요.	đạt được; giành được	Dù đạt được thành công cũng không được quá kiêu ngạo.
基础	基礎; 土台	元のものを基に、もう少し直してください。	기초; 기반	원래의 기초 위에서 조금 더 고쳐 주세요.	nền tảng; cơ sở	Xin hãy sửa thêm dựa trên nền tảng ban đầu.
激动	感動させる; 興奮させる	この知らせは本当に心を揺さぶります。	감동시키다; 흥분시키다	이 소식은 정말 사람의 마음을 감동시켜요.	xúc động; làm phấn khích	Tin này thật sự làm người ta xúc động.
积极	積極的な	彼は中国語の勉強にとても積極的です。	적극적이다	그는 중국어 공부에 아주 적극적이에요.	tích cực	Anh ấy học tiếng Trung rất tích cực.
积累	蓄積する; 積み重ねる	彼は仕事の中で多くの経験を積みました。	쌓다; 축적하다	그는 일하면서 많은 경험을 쌓았어요.	tích lũy	Anh ấy đã tích lũy rất nhiều kinh nghiệm trong công việc.
即使	たとえ〜でも	たとえ困難に出会っても、あきらめないでください。	설령; 비록	어려움을 만나더라도 포기하지 마세요.	dù; cho dù	Dù gặp khó khăn cũng đừng từ bỏ.
及时	タイムリーな; ちょうどよい時に	この雨はちょうどよい時に降りました。	때맞다; 제때	이 비는 아주 때맞춰 내렸어요.	kịp thời	Cơn mưa này đến rất kịp thời.
寄	送る; 郵送する	あなたの手紙はもう届きました。	부치다; 보내다	당신의 편지는 이미 도착했어요.	gửi; gửi thư	Thư của bạn đã được gửi đến nơi rồi.
技术	技術; スキル	これは複雑な技術問題です。	기술	이것은 복잡한 기술 문제예요.	kỹ thuật; công nghệ	Đây là một vấn đề kỹ thuật phức tạp.
既然	〜である以上; 既に	来たのだから、一緒に食事しましょう。	기왕; 이미	기왕 왔으니 같이 밥을 먹어요.	đã; vì đã	Vì bạn đã đến rồi, hãy cùng ăn cơm nhé.
继续	続ける; 継続する	彼は会社で働き続けたいと言いました。	계속하다	그는 회사에서 계속 일하고 싶다고 밝혔어요.	tiếp tục	Anh ấy nói sẵn lòng tiếp tục làm việc ở công ty.
计划	計画	私はもう計画を変えました。	계획	저는 이미 계획을 바꿨어요.	kế hoạch	Tôi đã thay đổi kế hoạch rồi.
记者	記者	記者は校長にインタビューしています。	기자	기자가 교장 선생님을 인터뷰하고 있어요.	phóng viên	Phóng viên đang phỏng vấn hiệu trưởng.
加班	残業する	今週、私たちはほとんど毎日残業しています。	야근하다; 초과 근무하다	이번 주에 우리는 거의 매일 야근해요.	làm thêm giờ	Tuần này, chúng tôi hầu như ngày nào cũng làm thêm giờ.
加油站	ガソリンスタンド	あなたの家の近くにガソリンスタンドがありますか。	주유소	집 근처에 주유소가 있나요?	trạm xăng	Gần nhà bạn có trạm xăng không?
家具	家具	引っ越しの後、私たちは新しい家具に替えました。	가구	이사한 뒤 우리는 새 가구로 바꿨어요.	đồ nội thất	Sau khi chuyển nhà, chúng tôi đã đổi sang đồ nội thất mới.
假	偽物の; 人工の	このチケットは偽物です。	가짜의; 거짓의	이 표는 가짜예요.	giả; giả tạo	Vé này là giả.
价格	価格; 値段	去年から車の価格は下がっています。	가격	작년부터 자동차 가격이 내려가고 있어요.	giá cả	Từ năm ngoái, giá ô tô đang giảm.
坚持	堅持する; やり通す	彼はずっと自分の考えを貫いています。	견지하다; 고수하다	그는 줄곧 자신의 견해를 고수하고 있어요.	kiên trì; giữ vững	Anh ấy luôn kiên trì với quan điểm của mình.
减肥	ダイエットする; 体重を減らす	私は毎日走ってダイエットしています。	살을 빼다; 다이어트하다	저는 매일 달리기로 살을 빼요.	giảm cân	Tôi chạy bộ mỗi ngày để giảm cân.
减少	減る; 減らす	お客さんは三分の一減りました。	줄다; 감소하다	고객이 3분의 1 줄었어요.	giảm bớt; giảm	Khách hàng đã giảm một phần ba.
建议	提案する; 提案	明日は一日休むことを提案します。	제안하다; 건의하다	저는 내일 하루 쉬자고 제안해요.	đề nghị; kiến nghị	Tôi đề nghị ngày mai nghỉ một ngày.
将来	将来; 未来	将来、あなたはどんな仕事をするつもりですか。	장래; 미래	장래에 당신은 무슨 일을 할 계획인가요?	tương lai	Trong tương lai bạn dự định làm công việc gì?
奖金	ボーナス; 賞金	年末に私たちはボーナスをもらいました。	상여금; 보너스	우리는 연말에 보너스를 받았어요.	tiền thưởng	Cuối năm chúng tôi đã nhận một khoản tiền thưởng.
降低	下がる; 下げる	秋になり、気温が下がり始めました。	낮추다; 내려가다	가을이 오자 온도가 내려가기 시작했어요.	hạ thấp; giảm xuống	Mùa thu đến, nhiệt độ bắt đầu giảm xuống.
降落	着陸する; 降りる	飛行機はまもなく着陸します。	착륙하다; 내려앉다	비행기가 곧 착륙할 거예요.	hạ cánh	Máy bay sắp hạ cánh.
交	交わる; 友達になる; 渡す	私はたくさんの中国人の友達を作りました。	사귀다; 내다; 건네다	저는 중국 친구를 많이 사귀었어요.	kết bạn; nộp; giao	Tôi đã kết bạn với rất nhiều người bạn Trung Quốc.
交流	交流; 交換する	国と国の間の文化交流はますます豊かになっています。	교류; 교환하다	국가 간의 문화 교류가 점점 더 풍부해지고 있어요.	giao lưu; trao đổi	Giao lưu văn hóa giữa các quốc gia ngày càng phong phú.
交通	交通	ここの交通はとても便利です。	교통	이곳의 교통은 아주 편리해요.	giao thông	Giao thông ở đây rất thuận tiện.
郊区	郊外	彼は都市の郊外に住んでいます。	교외	그는 도시의 교외에 살아요.	ngoại ô	Anh ấy sống ở ngoại ô thành phố.
骄傲	思い上がった; 誇りに思う	成功しても、あまり思い上がってはいけません。	교만하다; 자랑스럽다	성공을 얻어도 너무 교만해서는 안 돼요.	kiêu ngạo; tự hào	Dù đạt được thành công cũng không được quá kiêu ngạo.
饺子	餃子	中国人は春節に餃子を食べます。	만두	중국인은 춘절에 만두를 먹어요.	bánh chẻo	Người Trung Quốc ăn bánh chẻo vào dịp Tết Xuân.
教授	教授; 教える	彼は大学教授です。	교수	그는 대학 교수예요.	giáo sư	Ông ấy là một giáo sư đại học.
教育	教育する; 教育	子どもを教育するには忍耐が必要です。	교육하다; 교육	아이를 교육하려면 인내심이 있어야 해요.	giáo dục	Giáo dục trẻ em cần có sự kiên nhẫn.
接受	受け入れる	あなたの意見はすべて受け入れます。	받아들이다; 접수하다	당신의 의견을 저는 모두 받아들일게요.	chấp nhận; tiếp nhận	Tôi chấp nhận tất cả ý kiến của bạn.
接着	続けて; それから	彼はしばらく考えてから、続けて書きました。	이어서; 계속해서	그는 잠시 생각하고 이어서 썼어요.	tiếp đó; tiếp tục	Anh ấy nghĩ một lúc rồi viết tiếp.
结果	結果	試合を見ましたか。結果はどうでしたか。	결과	경기를 봤나요? 결과가 어땠어요?	kết quả	Bạn xem trận đấu chưa, kết quả thế nào?
节	祝日; 祭日	今日は何の祝日ですか。	명절; 절기	오늘은 무슨 명절이에요?	ngày lễ; lễ	Hôm nay là ngày lễ gì?
节约	節約する	水を節約してください。	절약하다	물을 절약해 주세요.	tiết kiệm	Xin hãy tiết kiệm nước.
解释	説明する; 解釈する	彼は理由をとてもはっきり説明しました。	설명하다; 해석하다	그는 이유를 아주 분명하게 설명했어요.	giải thích	Anh ấy giải thích nguyên nhân rất rõ ràng.
尽管	〜にもかかわらず; たとえ〜でも	彼を長く知っているにもかかわらず、実はよく知りません。	비록; 그렇지만	그를 안 지 오래됐지만 사실 잘 알지는 못해요.	mặc dù; dù	Mặc dù tôi quen anh ấy đã lâu, nhưng thật ra không hiểu rõ.
紧张	緊張した	初めての公演で、彼はとても緊張しました。	긴장하다; 긴장되다	첫 공연이라 그는 아주 긴장했어요.	căng thẳng; hồi hộp	Lần đầu biểu diễn, anh ấy rất hồi hộp.
禁止	禁止する	ここは喫煙禁止です。	금지하다	이곳은 흡연이 금지되어 있어요.	cấm	Ở đây cấm hút thuốc.
进行	行う; 進行する	試合はまだ続いています。	진행하다; 진행되다	경기는 아직 진행 중이에요.	tiến hành; diễn ra	Trận đấu vẫn đang diễn ra.
京剧	京劇	彼女は有名な京劇俳優です。	경극	그녀는 유명한 경극 배우예요.	Kinh kịch	Cô ấy là một diễn viên Kinh kịch nổi tiếng.
精彩	すばらしい; 見事な	今日の公演は本当にすばらしかったです。	훌륭하다; 멋지다	오늘 공연은 정말 멋졌어요!	đặc sắc; tuyệt vời	Buổi biểu diễn hôm nay quá đặc sắc!
经济	経済; 経済的な	ここ数年、経済はとても速く発展しています。	경제; 경제적인	요 몇 년 경제가 아주 빠르게 발전하고 있어요.	kinh tế	Những năm này kinh tế phát triển rất nhanh.
经历	経験; 経験する	彼女は旅行の経験を文章にしました。	경험; 겪다	그녀는 여행 경험을 글로 썼어요.	trải nghiệm; trải qua	Cô ấy viết trải nghiệm du lịch thành bài văn.
经验	経験	彼は経験豊富な先生です。	경험	그는 경험이 풍부한 선생님이에요.	kinh nghiệm	Ông ấy là một giáo viên giàu kinh nghiệm.
景色	景色; 風景	日が沈む時、海辺の景色はとても美しいです。	경치; 풍경	해가 질 때 바닷가 경치가 아주 아름다워요.	phong cảnh	Lúc hoàng hôn, phong cảnh bên biển rất đẹp.
警察	警察; 警察官	警察が調査を進めています。	경찰	경찰이 조사를 진행하고 있어요.	cảnh sát	Cảnh sát đang tiến hành điều tra.
竞争	競争する; 競争	彼は自信があり、人と競争するのが好きです。	경쟁하다; 경쟁	그는 자신감이 있고 다른 사람과 경쟁하는 것을 좋아해요.	cạnh tranh	Anh ấy rất tự tin và thích cạnh tranh với người khác.
竟然	意外にも; なんと	彼がそんな人だったとは全く思いませんでした。	뜻밖에도; 의외로	저는 그가 뜻밖에도 그런 사람일 줄은 전혀 몰랐어요.	không ngờ; thế mà	Tôi hoàn toàn không ngờ anh ấy lại là người như vậy.
镜子	鏡	すみません、私は鏡を割ってしまいました。	거울	죄송해요, 제가 거울을 깨뜨렸어요.	gương	Xin lỗi, tôi đã làm vỡ gương.
究竟	いったい; 結局	あなたはいったいなぜ泣いているのですか。	도대체; 결국	당신은 도대체 왜 울고 있나요?	rốt cuộc; thực ra	Rốt cuộc vì sao bạn khóc?
举	挙げる; 持ち上げる	手を挙げて質問に答えてください。	들다; 예를 들다	손을 들고 질문에 대답해 주세요.	giơ; nêu	Xin hãy giơ tay trả lời câu hỏi.
举办	開催する; 主催する	このイベントは私たちが主催します。	개최하다; 주최하다	이 행사는 우리가 주최해요.	tổ chức	Hoạt động này do chúng tôi tổ chức.
举行	開催される; 行う	会議は二時に開かれます。	개최되다; 열리다	회의는 두 시에 열려요.	tổ chức; diễn ra	Cuộc họp sẽ diễn ra lúc hai giờ.
拒绝	拒否する; 断る	彼は皆の招待を断りました。	거절하다	그는 모두의 초대를 거절했어요.	từ chối	Anh ấy đã từ chối lời mời của mọi người.
聚会	集まり; パーティー	明日集まりがあります。参加したいですか。	모임; 파티	내일 모임이 있는데 참가하고 싶어요?	buổi tụ họp; tiệc	Ngày mai có một buổi tụ họp, bạn muốn tham gia không?
距离	距離; 離れている	私の家は会社からとても遠いです。	거리; 떨어져 있다	우리 집은 회사에서 아주 멀어요.	khoảng cách; cách xa	Nhà tôi cách công ty rất xa.
开玩笑	冗談を言う	冗談を言っているのでしょう。	농담하다	농담하는 거죠?	nói đùa	Bạn đang nói đùa phải không?
开心	うれしい; 楽しい	妹はうれしそうに笑いました。	기쁘다; 즐겁다	여동생이 기쁘게 웃었어요.	vui; vui vẻ	Em gái cười vui vẻ.
看法	見方; 意見	彼はずっと自分の意見を貫いています。	견해; 의견	그는 줄곧 자신의 견해를 고수하고 있어요.	cách nhìn; quan điểm	Anh ấy luôn kiên trì với quan điểm của mình.
烤鸭	ローストダック; 北京ダック	北京ダックはとても有名です。	오리구이; 베이징덕	베이징덕은 아주 유명해요.	vịt quay	Vịt quay Bắc Kinh rất nổi tiếng.
考虑	考える; 検討する	この問題を真剣に考えてみます。	고려하다; 생각하다	저는 이 문제를 진지하게 생각해 볼게요.	cân nhắc; xem xét	Tôi sẽ nghiêm túc cân nhắc vấn đề này.
棵	本; 株	この木は高くて大きいです。	그루	이 나무는 높고 커요.	cây	Một cái cây này vừa cao vừa lớn.
科学	科学	彼は学校で多くの科学知識を学びました。	과학	그는 학교에서 많은 과학 지식을 배웠어요.	khoa học	Anh ấy đã học rất nhiều kiến thức khoa học ở trường.
咳嗽	咳をする	彼は風邪をひいて、咳がひどいです。	기침하다	그는 감기에 걸려서 기침을 심하게 해요.	ho	Anh ấy bị cảm, ho rất nặng.
可怜	かわいそうな	この子は家が見つからず、本当にかわいそうです。	불쌍하다	이 아이는 집을 찾지 못해서 정말 불쌍해요.	đáng thương	Đứa trẻ này không tìm được nhà, thật đáng thương.
可是	しかし; けれども	行きたいけれど、本当に時間がありません。	하지만; 그러나	가고 싶지만 정말 시간이 없어요.	nhưng; tuy nhiên	Tuy tôi rất muốn đi, nhưng thật sự không có thời gian.
可惜	残念な	あなたが私たちの集まりに来られないのは本当に残念です。	아쉽다; 안타깝다	당신이 우리 모임에 올 수 없다니 정말 아쉬워요.	đáng tiếc	Bạn không thể đến buổi tụ họp của chúng tôi, thật đáng tiếc.
客厅	リビングルーム	父はリビングでテレビを見ています。	거실	아빠는 거실에서 텔레비전을 보고 계세요.	phòng khách	Bố đang xem TV trong phòng khách.
肯定	きっと; 確かに	私は五時前に必ず戻ります。	틀림없이; 확실하다	저는 다섯 시 전에 틀림없이 돌아올 거예요.	chắc chắn	Tôi chắc chắn sẽ về trước năm giờ.
空	空の; 空いている	この部屋は空です。	비다; 빈	이 방은 비어 있어요.	trống; rỗng	Căn phòng này trống.
空气	空気	公園の空気はとても新鮮です。	공기	공원의 공기는 아주 신선해요.	không khí	Không khí trong công viên rất trong lành.
恐怕	おそらく; 〜かもしれない	雨が降りそうです。傘を持ってきましたか。	아마; 걱정스럽게도	아마 비가 올 것 같아요. 우산을 가져왔나요?	e rằng; có lẽ	E rằng trời sắp mưa, bạn mang ô chưa?
苦	苦い; つらい	このコーヒーはとても苦いです。	쓰다; 고되다	이 커피는 아주 써요.	đắng; khổ	Tách cà phê này rất đắng.
矿泉水	ミネラルウォーター	ミネラルウォーターを二本買いました。	생수; 광천수	저는 생수 두 병을 샀어요.	nước khoáng	Tôi đã mua hai chai nước khoáng.
困	眠い; 疲れた	眠くなったので、寝に行きます。	졸리다; 피곤하다	저는 졸려서 자러 갈 거예요.	buồn ngủ; mệt	Tôi buồn ngủ rồi, muốn đi ngủ.
困难	困難な; 難しい	この任務は私にとってとても難しいです。	어렵다; 곤란	이 임무는 저에게 아주 어려워요.	khó khăn	Nhiệm vụ này đối với tôi rất khó khăn.
垃圾桶	ごみ箱	通りにはたくさんのごみ箱があります。	쓰레기통	거리에는 쓰레기통이 많이 있어요.	thùng rác	Trên phố có rất nhiều thùng rác.
拉	引く; 手を引く	母は娘の手を引いています。	당기다; 잡아끌다	엄마가 딸의 손을 잡아끌고 있어요.	kéo	Mẹ đang kéo tay con gái.
辣	辛い	私は辛すぎる料理を食べるのに慣れていません。	맵다	저는 너무 매운 음식을 먹는 데 익숙하지 않아요.	cay	Tôi không quen ăn món quá cay.
来不及	間に合わない	今朝寝坊して、朝ご飯を食べる時間がありませんでした。	미처 하지 못하다; 늦다	저는 오늘 아침 늦게 일어나서 아침을 먹을 시간이 없었어요.	không kịp	Sáng nay tôi dậy muộn, không kịp ăn sáng.
来得及	まだ間に合う	映画は九時半にやっと始まるので、まだ間に合います。	제때 할 수 있다; 아직 늦지 않다	영화는 아홉 시 반에야 시작하니까 아직 늦지 않았어요.	kịp; còn kịp	Phim đến chín rưỡi mới bắt đầu, vẫn còn kịp.
来自	〜から来る	私は山東省出身です。	에서 오다; 출신이다	저는 산둥성에서 왔어요.	đến từ	Tôi đến từ tỉnh Sơn Đông.
懒	怠け者の; ものぐさな	うちの猫はとても怠け者で、午後ずっと寝ています。	게으르다	우리 집 고양이는 아주 게을러서 오후 내내 자요.	lười	Con mèo nhà tôi rất lười, ngủ suốt cả buổi chiều.
浪费	浪費する; 無駄にする	そんなふうにするのは時間の無駄です。	낭비하다	그렇게 하는 것은 시간 낭비일 뿐이에요.	lãng phí	Làm như vậy chỉ là lãng phí thời gian.
浪漫	ロマンチックな	この本はロマンチックな恋の物語を語っています。	낭만적이다; 로맨틱하다	이 책은 낭만적인 사랑 이야기를 담고 있어요.	lãng mạn	Quyển sách này kể một câu chuyện tình yêu lãng mạn.
老虎	虎	動物園に行くたび、息子が一番見たがるのは虎です。	호랑이	동물원에 갈 때마다 아들이 가장 보고 싶어 하는 것은 호랑이예요.	con hổ	Mỗi lần đi sở thú, thứ con trai thích xem nhất là hổ.
冷静	冷静な; 落ち着く	興奮しないで、まず落ち着いてください。	냉정하다; 침착하다	흥분하지 말고 먼저 침착해지세요.	bình tĩnh	Bạn đừng kích động, trước hết hãy bình tĩnh lại.
理发	髪を切る; 散髪	いつ髪を切りに行きますか。	이발하다; 머리를 자르다	언제 이발하러 갈 거예요?	cắt tóc	Khi nào bạn đi cắt tóc?
理解	理解する	この問題を理解できましたか。	이해하다	이 문제를 이해할 수 있나요?	hiểu	Bạn có thể hiểu vấn đề này chưa?
理想	理想; 夢	あなたの理想の職業は何ですか。	이상; 꿈	당신이 생각하는 이상적인 직업은 무엇인가요?	lý tưởng	Nghề nghiệp lý tưởng của bạn là gì?
礼拜天	日曜日	今度の日曜日、時間がありますか。	일요일	이번 일요일에 시간 있어요?	Chủ nhật	Chủ nhật này bạn có rảnh không?
礼貌	礼儀; マナー	この子はとても礼儀正しいです。	예의; 예절	이 아이는 아주 예의가 있어요.	lễ phép; lịch sự	Bạn nhỏ này rất lễ phép.
例如	例えば	私は運動が好きです。例えば、ランニングや水泳です。	예를 들어; 예컨대	저는 운동을 좋아해요. 예를 들면 달리기와 수영이에요.	ví dụ	Tôi thích vận động, ví dụ chạy bộ và bơi lội.
力气	力	こんなに長く歩いて、私は疲れて少しの力も残っていません。	힘	이렇게 많이 걸어서 저는 힘이 하나도 없을 만큼 지쳤어요.	sức lực	Đi xa như vậy, tôi mệt đến mức không còn chút sức lực nào.
厉害	ひどい; すごい	彼は病気がひどく、入院しました。	심하다; 대단하다	그는 병이 심해서 입원했어요.	ghê gớm; nghiêm trọng	Anh ấy bệnh rất nặng nên đã nhập viện.
俩	二人; 両方	私たち二人はよい友達です。	둘	우리 둘은 좋은 친구예요.	hai người; cả hai	Hai chúng tôi là bạn tốt.
联系	連絡; つながり	大学の同級生とまだ連絡がありますか。	연락; 관계	대학 동창과 아직 연락하고 지내나요?	liên hệ	Bạn còn liên hệ với bạn học đại học không?
连	〜さえ; つなぐ	どうして私のことまで忘れたのですか。	심지어; 잇다	어떻게 저까지 잊어버렸어요?	ngay cả; nối	Sao bạn ngay cả tôi cũng quên?
凉快	涼しい	秋の天気は涼しいです。	시원하다	가을 날씨는 아주 시원해요.	mát mẻ	Thời tiết mùa thu rất mát mẻ.
零钱	小銭; 釣り銭	少し小銭に両替していただけますか。	잔돈; 동전	돈을 잔돈으로 좀 바꿔 주실 수 있나요?	tiền lẻ	Ngài có thể đổi giúp tôi một ít tiền lẻ không?
另外	別の; そのほか	もう一つ別のことについてあなたと話したいです。	또 다른; 그 밖에	저는 또 다른 일을 당신과 이야기하고 싶어요.	khác; ngoài ra	Tôi còn muốn nói với bạn một việc khác.
流利	流暢な	あなたの中国語はとても流暢です。	유창하다	당신은 중국어를 아주 유창하게 말해요.	trôi chảy	Bạn nói tiếng Trung rất trôi chảy.
流行	流行する; 人気がある	多くの若者はポップ音楽が好きです。	유행하다; 인기 있다	많은 젊은이들이 유행 음악을 좋아해요.	thịnh hành; phổ biến	Rất nhiều người trẻ thích nhạc thịnh hành.
留	残す; とどまる	電話番号を残してください。	남기다; 머무르다	전화번호를 남겨 주세요.	để lại; ở lại	Xin hãy để lại số điện thoại của bạn.
旅行	旅行する; 旅行	私たちは夏に雲南へ旅行する予定です。	여행하다; 여행	우리는 여름에 윈난으로 여행 갈 계획이에요.	du lịch	Chúng tôi dự định mùa hè đi du lịch Vân Nam.
乱	乱れている; めちゃくちゃな	子犬が部屋をめちゃくちゃにしました。	어지럽다; 혼란스럽다	강아지가 방을 아주 어지럽혀 놓았어요.	lộn xộn	Con chó con làm căn phòng rất lộn xộn.
律师	弁護士	私の母は弁護士です。	변호사	우리 엄마는 변호사예요.	luật sư	Mẹ tôi là một luật sư.
麻烦	面倒な; お手数をかける	すみません、コップを一つ取っていただけますか。	번거롭다; 폐를 끼치다	죄송하지만 컵 하나 가져다주실 수 있나요?	phiền phức; làm phiền	Làm phiền ngài lấy giúp tôi một cái cốc được không?
马虎	そそっかしい; いい加減な	少しでも不注意だと間違えます。	부주의하다; 대충 하다	조금만 부주의해도 실수할 수 있어요.	cẩu thả	Chỉ hơi cẩu thả một chút là sẽ mắc lỗi.
满	いっぱいの; 満ちた	コップはいっぱいです。	가득하다; 차다	컵이 가득 찼어요.	đầy	Cốc đầy rồi.
毛	毛; 毛皮	この猫の毛は白いです。	털	이 고양이의 털은 흰색이에요.	lông	Lông của con mèo này màu trắng.
毛巾	タオル	暑いでしょう。タオルで汗を拭いてください。	수건	덥죠? 수건으로 땀을 닦으세요.	khăn mặt; khăn	Trời nóng nhỉ, dùng khăn lau mồ hôi đi.
美丽	美しい	彼女は本当に美しい女の子です。	아름답다	그녀는 정말 아름다운 여자아이예요.	xinh đẹp; đẹp	Cô ấy thật sự là một cô gái xinh đẹp.
梦	夢	これは本当に面白い夢です。	꿈	이건 정말 재미있는 꿈이에요!	giấc mơ	Đây thật sự là một giấc mơ thú vị!
迷路	道に迷う	彼は森の中で道に迷いました。	길을 잃다	그는 숲에서 길을 잃었어요.	lạc đường	Anh ấy bị lạc trong rừng.
