hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
778:难看	难看	难看	çirkin; kötü görünen	Bu giysi biraz çirkin.	mbaya kuonekana	Nguo hii inaonekana mbaya kidogo.	çirkin; xoşagəlməz	Bu paltar bir az çirkindir.	xunuk	Bu kiyim biroz xunuk.
780:男生	男生	男生	erkek öğrenci; oğlan	Şu oğlan basketbol oynuyor.	mwanafunzi wa kiume; mvulana	Yule mvulana anacheza mpira wa kikapu.	oğlan; kişi şagird	O oğlan basketbol oynayır.	o‘g‘il bola; erkak o‘quvchi	Anavi o‘g‘il bola basketbol o‘ynayapti.
781:难题	难题	难题	zor problem	Bu zor problemi çözemiyorum.	tatizo gumu	Siwezi kutatua tatizo hili gumu.	çətin məsələ	Bu çətin məsələni həll edə bilmirəm.	qiyin masala	Bu qiyin masalani yecha olmayman.
782:难听	难听	难听	kulağa kötü gelen	Bu ses kulağa kötü geliyor.	mbaya kusikia	Sauti hii ni mbaya kusikia.	pis səslənən	Bu səs pis səslənir.	yoqimsiz eshitiladigan	Bu tovush yoqimsiz eshitiladi.
785:牛	牛	牛	inek; öküz	Bu inek çok büyük.	ng'ombe	Ng'ombe huyu ni mkubwa sana.	inək; öküz	Bu inək çox böyükdür.	sigir; ho‘kiz	Bu sigir juda katta.
788:女生	女生	女生	kız öğrenci; kız	Bu kız çok güzel şarkı söylüyor.	mwanafunzi wa kike; msichana	Msichana huyu anaimba vizuri sana.	qız şagird; qız	Bu qız çox yaxşı oxuyur.	qiz bola; ayol o‘quvchi	Bu qiz juda yaxshi kuylaydi.
789:爬	爬	爬	tırmanmak	Çocuk merdivenleri tırmanıyor.	kupanda	Mtoto anapanda ngazi.	dırmaşmaq; qalxmaq	Uşaq pilləkənlə qalxır.	chiqmoq; tirmashmoq	Bola zinadan chiqyapti.
790:怕	怕	怕	korkmak	Karanlıktan korkarım.	kuogopa	Naogopa giza.	qorxmaq	Qaranlıqdan qorxuram.	qo‘rqmoq	Qorong‘idan qo‘rqaman.
791:拍照	拍照	拍照	fotoğraf çekmek	Parkta fotoğraf çekiyorlar.	kupiga picha	Wanapiga picha bustanini.	şəkil çəkmək	Onlar parkda şəkil çəkirlər.	suratga olmoq	Ular bog‘da suratga tushyapti.
801:起	起	起	kalkmak; yükselmek	Lütfen biraz daha erken kalk.	kuamka; kuinuka	Tafadhali amka mapema kidogo.	durmaq; qalxmaq	Zəhmət olmasa bir az tez dur.	turmoq; ko‘tarilmoq	Iltimos, biroz ertaroq turing.
803:汽车	汽车	汽车	araba; otomobil	Bu araba çok yeni.	gari	Gari hili ni jipya sana.	avtomobil	Bu avtomobil çox yenidir.	avtomobil	Bu avtomobil juda yangi.
804:铅笔	铅笔	铅笔	kurşun kalem	Kurşun kalemle yazarım.	penseli	Ninaandika kwa penseli.	karandaş	Karandaşla yazıram.	qalam	Men qalam bilan yozaman.
805:前年	前年	前年	geçen yıldan önceki yıl	Geçen yıldan önceki yıl Guangzhou'ya gittim.	mwaka juzi	Nilienda Guangzhou mwaka juzi.	keçən ildən əvvəlki il	Keçən ildən əvvəlki il Quançjouya getdim.	o‘tgan yildan oldingi yil	O‘tgan yildan oldingi yili Guanchjouga bordim.
806:前天	前天	前天	evvelsi gün	Evvelsi gün onu gördüm.	juzi	Nilimwona juzi.	srağagün	Srağagün onu gördüm.	kechadan oldingi kun	Kechadan oldingi kuni uni ko‘rdim.
809:请客	请客	请客	ikram etmek; ısmarlamak	Bugün benden.	kukaribisha; kulipia	Leo mimi ndiye ninayekaribisha.	qonaqlıq vermək; hesabı ödəmək	Bu gün məndən.	mehmon qilmoq	Bugun men mehmon qilaman.
810:秋天	秋天	秋天	sonbahar	Sonbaharda hava rahat olur.	majira ya vuli	Hali ya hewa huwa nzuri wakati wa majira ya vuli.	payız	Payızda hava rahat olur.	kuz	Kuzda havo yoqimli bo‘ladi.
811:球场	球场	球场	spor sahası	Spor sahasında çok öğrenci var.	uwanja wa michezo	Kuna wanafunzi wengi uwanjani.	idman meydançası	İdman meydançasında çox şagird var.	sport maydoni	Sport maydonida ko‘p o‘quvchilar bor.
815:认得	认得	认得	tanımak	Bu öğretmeni tanıyorum.	kutambua	Ninamtambua mwalimu huyu.	tanımaq	Bu müəllimi tanıyıram.	tanimoq	Bu o‘qituvchini taniyman.
821:扫	扫	扫	süpürmek	Lütfen yeri temizce süpürün.	kufagia	Tafadhali fagia sakafu iwe safi.	süpürmək	Zəhmət olmasa döşəməni təmiz süpürün.	supurmoq	Iltimos, polni toza qilib supuring.
823:山	山	山	dağ	Bu dağ çok yüksek.	mlima	Mlima huu ni mrefu sana.	dağ	Bu dağ çox hündürdür.	tog‘	Bu tog‘ juda baland.
824:上衣	上衣	上衣	üst giysi	Bu üst giysi yeni.	nguo ya juu	Nguo hii ya juu ni mpya.	üst paltar	Bu üst paltar yenidir.	ustki kiyim	Bu ustki kiyim yangi.
826:身边	身边	身边	yanında; çevresinde	Çevremde çok arkadaşım var.	karibu; pembeni	Kuna marafiki wengi karibu nami.	yanında; ətrafında	Ətrafımda çox dost var.	yonida; atrofida	Atrofimda ko‘p do‘stlar bor.
827:身高	身高	身高	boy	Onun boyu bir metre seksen.	urefu	Urefu wake ni mita moja nukta nane.	boy	Onun boyu bir tam onda səkkiz metrdir.	bo‘y	Uning bo‘yi bir butun o‘ndan sakkiz metr.
828:声	声	声	ses; ses ölçü sözcüğü	Telefonun bir kez çaldığını duydum.	sauti; kipimo cha sauti	Nilisikia simu ikilia mara moja.	səs; səs üçün say sözü	Telefonun bir dəfə zəng çaldığını eşitdim.	tovush; tovush uchun hisob so‘zi	Telefon bir marta jiringlaganini eshitdim.
832:市	市	市	şehir; belediye	O Pekin şehrinde yaşıyor.	jiji; manispaa	Anaishi katika Jiji la Beijing.	şəhər; bələdiyyə	O, Pekin şəhərində yaşayır.	shahar	U Pekin shahrida yashaydi.
834:室	室	室	oda	Öğretmen ofis odasında.	chumba	Mwalimu yuko katika chumba cha ofisi.	otaq	Müəllim ofis otağındadır.	xona	O‘qituvchi ofis xonasida.
837:收到	收到	收到	almak	E-postanı aldım.	kupokea	Nimepokea barua pepe yako.	almaq	E-poçtunuzu aldım.	qabul qilmoq	Elektron xatingizni oldim.
838:受	受	受	yaşamak; almak	Hafif yaralandı.	kupata; kuumia	Alipata jeraha dogo.	almaq; çəkmək	O, yüngül xəsarət aldı.	olmoq; ko‘rmoq	U yengil jarohat oldi.
844:刷	刷	刷	fırçalamak	Sabahları dişlerini fırçalar.	kusugua	Anasugua meno asubuhi.	fırçalamaq	O, səhərlər dişlərini fırçalayır.	cho‘tkalamoq	U ertalab tishlarini cho‘tkalaydi.
848:四季	四季	四季	dört mevsim	Burada dört mevsim de güzeldir.	misimu minne	Misimu yote minne hapa ni mizuri.	dörd fəsil	Burada dörd fəslin hamısı gözəldir.	to‘rt fasl	Bu yerda to‘rt faslning hammasi chiroyli.
854:体育馆	体育馆	体育馆	spor salonu	Maç spor salonunda yapılıyor.	ukumbi wa michezo	Mchezo unafanyika katika ukumbi wa michezo.	idman zalı	Oyun idman zalında keçirilir.	sport zali	O‘yin sport zalida o‘tkaziladi.
856:跳	跳	跳	zıplamak	Çok yükseğe zıplar.	kuruka	Anaruka juu sana.	tullanmaq	O, çox hündürə tullanır.	sakramoq	U juda baland sakraydi.
857:听说	听说	听说	duymak	Onun yarın döneceğini duydum.	kusikia	Nimesikia kwamba atarudi kesho.	eşitmək	Onun sabah qayıdacağını eşitmişəm.	eshitmoq	U ertaga qaytib keladi deb eshitdim.
865:外地	外地	外地	başka yer; şehir dışı	Başka bir yerden Pekin'e çalışmaya geldi.	sehemu nyingine; nje ya mji	Alikuja Beijing kutoka sehemu nyingine kufanya kazi.	başqa yer; kənar şəhər	O, başqa yerdən Pekinə işləməyə gəldi.	boshqa joy; chetdan	U boshqa joydan Pekinga ishlash uchun keldi.
866:外卖	外卖	外卖	paket yemek; yemek teslimatı	Bugün öğlen paket yemek söyledim.	chakula cha kuletwa	Leo mchana niliagiza chakula cha kuletwa.	yemək çatdırılması	Bu gün günorta yemək sifariş etdim.	yetkazib beriladigan ovqat	Bugun tushda yetkazib beriladigan ovqat buyurtma qildim.
867:外语	外语	外语	yabancı dil	İki yabancı dil konuşabilir.	lugha ya kigeni	Anaweza kuzungumza lugha mbili za kigeni.	xarici dil	O, iki xarici dildə danışa bilir.	chet tili	U ikki chet tilida gapira oladi.
870:晚点	晚点	晚点	gecikmek	Tren on dakika gecikti.	kuchelewa	Treni ilichelewa kwa dakika kumi.	gecikmək	Qatar on dəqiqə gecikdi.	kechikmoq	Poyezd o‘n daqiqaga kechikdi.
871:晚会	晚会	晚会	akşam etkinliği	Bu gece okulda bir akşam etkinliği var.	sherehe ya jioni	Kuna sherehe ya jioni shuleni leo usiku.	axşam tədbiri	Bu axşam məktəbdə axşam tədbiri var.	kechki tadbir	Bugun kechqurun maktabda kechki tadbir bor.
881:西北	西北	西北	kuzeybatı	Evim şehrin kuzeybatısında.	kaskazini magharibi	Nyumba yangu iko kaskazini magharibi mwa jiji.	şimal-qərb	Evim şəhərin şimal-qərbindədir.	shimoli-g‘arb	Uyim shaharning shimoli-g‘arbida.
882:西方	西方	西方	batı; Batı	Güneş batıda batar.	magharibi	Jua huzama magharibi.	qərb; Qərb	Günəş qərbdə batır.	g‘arb	Quyosh g‘arbda botadi.
884:西南	西南	西南	güneybatı	Park okulun güneybatısında.	kusini magharibi	Bustani iko kusini magharibi mwa shule.	cənub-qərb	Park məktəbin cənub-qərbindədir.	janubi-g‘arb	Bog‘ maktabning janubi-g‘arbida.
886:喜爱	喜爱	喜爱	sevmek; çok hoşlanmak	Dedem Pekin operasını çok sever.	kupenda sana	Babu anapenda sana opera ya Beijing.	sevmək; çox xoşlamaq	Babam Pekin operasını çox sevir.	yaxshi ko‘rmoq; sevmoq	Bobom Pekin operasini juda yaxshi ko‘radi.
887:洗衣机	洗衣机	洗衣机	çamaşır makinesi	Çamaşır makinesi bozuldu.	mashine ya kufulia	Mashine ya kufulia imeharibika.	paltaryuyan maşın	Paltaryuyan maşın xarab olub.	kir yuvish mashinasi	Kir yuvish mashinasi buzilgan.
889:夏天	夏天	夏天	yaz	Yazın yüzmeyi severim.	majira ya kiangazi	Ninapenda kuogelea wakati wa kiangazi.	yay	Yayda üzməyi sevirəm.	yoz	Yozda suzishni yaxshi ko‘raman.
893:箱子	箱子	箱子	kutu; bavul	Kutuda çok kitap var.	sanduku; begi	Sandukuni kuna vitabu vingi.	qutu; çamadan	Qutuda çoxlu kitab var.	quti; chamadon	Qutida ko‘p kitob bor.
896:相机	相机	相机	kamera	Bu kamera çok hafif.	kamera	Kamera hii ni nyepesi sana.	kamera	Bu kamera çox yüngüldür.	kamera	Bu kamera juda yengil.
897:小区	小区	小区	site; konut bölgesi	Bu sitede yaşıyorum.	eneo la makazi	Ninaishi katika eneo hili la makazi.	yaşayış kompleksi	Bu yaşayış kompleksində yaşayıram.	turar joy majmuasi	Men shu turar joy majmuasida yashayman.
899:校园	校园	校园	kampüs; okul alanı	Kampüste çok ağaç var.	eneo la shule	Kuna miti mingi katika eneo la shule.	kampus; məktəb ərazisi	Kampusda çox ağac var.	kampus	Kampusda ko‘p daraxtlar bor.
901:鞋	鞋	鞋	ayakkabı	Bu ayakkabı çifti rahat.	kiatu	Jozi hii ya viatu ni ya starehe.	ayaqqabı	Bu ayaqqabı cütü rahatdır.	oyoq kiyim	Bu oyoq kiyim jufti qulay.
902:心里	心里	心里	içinde; kalbinde	İçim çok mutlu.	moyoni; akilini	Ninahisi furaha sana moyoni.	ürəkdə; fikirdə	İçimdə çox xoşbəxtlik hiss edirəm.	ko‘ngilda; ichida	Ichimda juda xursandman.
903:新年	新年	新年	yeni yıl	Mutlu yıllar!	mwaka mpya	Heri ya mwaka mpya!	yeni il	Yeni iliniz mübarək!	yangi yil	Yangi yilingiz bilan!
906:信	信	信	mektup	Bir arkadaşıma mektup yazdım.	barua	Niliandika barua kwa rafiki.	məktub	Dostuma məktub yazdım.	xat	Do‘stimga xat yozdim.
909:行李	行李	行李	bavul; bagaj	Bagajım ağır.	mizigo	Mizigo yangu ni mizito.	baqaj	Baqajım ağırdır.	yuk	Yukim og‘ir.
910:兴趣	兴趣	兴趣	ilgi	Müziğe ilgisi var.	hamu; shauku	Ana shauku ya muziki.	maraq	Onun musiqiyə marağı var.	qiziqish	U musiqaga qiziqadi.
911:休假	休假	休假	izin yapmak	Gelecek ay izin yapacak.	kuchukua likizo	Atachukua likizo mwezi ujao.	məzuniyyət götürmək	O, gələn ay məzuniyyət götürəcək.	ta’til olmoq	U keyingi oy ta’til oladi.
913:选	选	选	seçmek	Lütfen bir cevap seçin.	kuchagua	Tafadhali chagua jibu moja.	seçmək	Zəhmət olmasa bir cavab seçin.	tanlamoq	Iltimos, javobni tanlang.
916:牙	牙	牙	diş	Dişim biraz ağrıyor.	jino	Jino langu linauma kidogo.	diş	Dişim bir az ağrıyır.	tish	Tishim biroz og‘riyapti.
917:牙刷	牙刷	牙刷	diş fırçası	Yeni bir diş fırçası aldım.	mswaki	Nilinunua mswaki mpya.	diş fırçası	Yeni diş fırçası aldım.	tish cho‘tkasi	Yangi tish cho‘tkasi sotib oldim.
918:羊	羊	羊	koyun; keçi	Dağda birkaç koyun var.	kondoo; mbuzi	Kuna kondoo wachache mlimani.	qoyun; keçi	Dağda bir neçə qoyun var.	qo‘y; echki	Tog‘da bir nechta qo‘y bor.
919:养	养	养	beslemek; yetiştirmek	Ailesi bir kedi besliyor.	kufuga; kulea	Familia yake inafuga paka.	saxlamaq; bəsləmək	Onun ailəsi bir pişik saxlayır.	boqmoq; parvarish qilmoq	Uning oilasi mushuk boqadi.
924:一块儿	一块儿	一块儿	birlikte	Hadi birlikte yemek yemeye gidelim.	pamoja	Twende kula pamoja.	birlikdə	Gəl birlikdə yeməyə gedək.	birga	Keling, birga ovqatlanishga boraylik.
926:以后	以后	以后	sonra; daha sonra	Dersten sonra eve giderim.	baada ya; baadaye	Baada ya darasa ninaenda nyumbani.	sonra	Dərsdən sonra evə gedirəm.	keyin	Darsdan keyin uyga boraman.
928:以上	以上	以上	üzeri; daha fazla	On sekiz yaş üstü kişiler bilet alabilir.	zaidi ya	Watu wenye zaidi ya miaka kumi na minane wanaweza kununua tiketi.	yuxarı; çox	On səkkizdən yuxarı olanlar bilet ala bilərlər.	dan yuqori; ko‘proq	O‘n sakkizdan yuqorilar chipta sotib olishi mumkin.
929:以外	以外	以外	dışında; hariç	Sınıfın dışında çok sessiz.	nje ya; isipokuwa	Nje ya darasa ni kimya sana.	xaricində; başqa	Sinif otağının xaricində çox sakitdir.	tashqarida; tashqari	Sinf xonasidan tashqarida juda tinch.
931:以下	以下	以下	aşağıdaki; altında	Lütfen aşağıdaki içeriği dikkatlice okuyun.	ifuatayo; chini	Tafadhali soma yaliyomo yafuatayo kwa makini.	aşağıdakı	Zəhmət olmasa aşağıdakı məzmunu diqqətlə oxuyun.	quyidagi; pastdagi	Iltimos, quyidagi mazmunni diqqat bilan o‘qing.
937:银行卡	银行卡	银行卡	banka kartı	Banka kartımı bulamıyorum.	kadi ya benki	Siwezi kupata kadi yangu ya benki.	bank kartı	Bank kartımı tapa bilmirəm.	bank kartasi	Bank kartamni topa olmayapman.
942:邮件	邮件	邮件	e-posta; posta	Bir e-posta gönderdim.	barua pepe; posta	Nilituma barua pepe.	e-poçt; poçt	E-poçt göndərdim.	elektron xat; pochta	Elektron xat yubordim.
943:游客	游客	游客	turist; ziyaretçi	Burada her gün çok turist var.	mtalii; mgeni	Kila siku kuna watalii wengi hapa.	turist; ziyarətçi	Burada hər gün çox turist olur.	sayyoh; mehmon	Bu yerda har kuni ko‘p sayyohlar bor.
945:邮箱	邮箱	邮箱	e-posta kutusu	Lütfen dosyayı e-posta kutuma gönderin.	kikasha cha barua pepe	Tafadhali tuma faili kwenye kikasha changu cha barua pepe.	e-poçt qutusu	Zəhmət olmasa faylı e-poçt qutuma göndərin.	elektron pochta qutisi	Iltimos, faylni elektron pochta qutimga yuboring.
946:有关	有关	有关	ilgili	Bu kitap Çin kültürüyle ilgilidir.	kuhusu; inayohusiana	Kitabu hiki kinahusiana na utamaduni wa Kichina.	əlaqəli	Bu kitab Çin mədəniyyəti ilə əlaqəlidir.	aloqador	Bu kitob Xitoy madaniyatiga aloqador.
948:有用	有用	有用	faydalı	Bu yöntem çok faydalı.	ya manufaa	Njia hii ina manufaa sana.	faydalı	Bu üsul çox faydalıdır.	foydali	Bu usul juda foydali.
952:雨衣	雨衣	雨衣	yağmurluk	Yağmur yağarken lütfen yağmurluk giyin.	koti la mvua	Tafadhali vaa koti la mvua mvua inaponyesha.	yağmurluq	Yağış yağanda zəhmət olmasa yağmurluq geyinin.	yomg‘irpo‘sh	Yomg‘ir yog‘ganda yomg‘irpo‘sh kiying.
954:遇见	遇见	遇见	karşılaşmak; buluşmak	Yolda öğretmenimle karşılaştım.	kukutana	Nilikutana na mwalimu wangu njiani.	rast gəlmək; görüşmək	Yolda müəllimimə rast gəldim.	uchratmoq	Yo‘lda o‘qituvchimni uchratdim.
955:园	园	园	bahçe; park	Bu bahçede çok çiçek var.	bustani	Kuna maua mengi katika bustani hii.	bağ; park	Bu bağda çoxlu gül var.	bog‘; park	Bu bog‘da ko‘p gullar bor.
956:员	员	员	görevdeki kişiyi belirten ek	Ağabeyim garson.	kiambishi cha mtu mwenye kazi	Kaka yangu ni mhudumu.	vəzifədə olan şəxsi bildirən şəkilçi	Böyük qardaşım ofisiantdır.	kasb egasini bildiruvchi qo‘shimcha	Akam ofitsiant.
960:运动会	运动会	运动会	spor müsabakası	Okul gelecek hafta spor müsabakası düzenleyecek.	mashindano ya michezo	Shule itaandaa mashindano ya michezo wiki ijayo.	idman yarışı	Məktəb gələn həftə idman yarışı keçirəcək.	sport musobaqasi	Maktab keyingi hafta sport musobaqasi o‘tkazadi.
961:运动员	运动员	运动员	sporcu	Bu sporcu çok hızlı koşuyor.	mwanariadha	Mwanariadha huyu anakimbia haraka sana.	idmançı	Bu idmançı çox sürətli qaçır.	sportchi	Bu sportchi juda tez yuguradi.
964:怎么办	怎么办	怎么办	ne yapmalı; nasıl halletmeli	Ne yapacağımı bilmiyorum.	nifanye nini	Sijui nifanye nini.	nə etmək lazımdır	Nə edəcəyimi bilmirəm.	nima qilmoq kerak	Nima qilishni bilmayman.
965:怎样	怎样	怎样	nasıl; ne tür	Bu yöntem hakkında ne düşünüyorsun?	vipi; namna gani	Unaonaje njia hii?	necə; necə bir	Bu üsul haqqında nə düşünürsən?	qanday	Bu usul haqida nima deb o‘ylaysan?
973:照相	照相	照相	fotoğraf çekmek	Girişte fotoğraf çekiyoruz.	kupiga picha	Tunapiga picha mlangoni.	şəkil çəkmək	Girişdə şəkil çəkirik.	suratga tushmoq	Kirish joyida suratga tushyapmiz.
974:直到	直到	直到	-e kadar	Akşama kadar eve gitmedim.	mpaka	Sikwenda nyumbani mpaka jioni.	qədər	Axşama qədər evə getmədim.	gacha	Kechgacha uyga bormadim.
976:纸	纸	纸	kağıt	Masanın üzerinde bir parça kağıt var.	karatasi	Kuna kipande cha karatasi mezani.	kağız	Masanın üstündə bir parça kağız var.	qog‘oz	Stol ustida bir parcha qog‘oz bor.
977:只能	只能	只能	sadece yapabilmek	Bugün yağmur yağıyor, bu yüzden sadece evde kalabiliriz.	kuweza tu	Leo mvua inanyesha, kwa hiyo tunaweza tu kukaa nyumbani.	yalnız edə bilmək	Bu gün yağış yağır, ona görə yalnız evdə qala bilərik.	faqat qila olmoq	Bugun yomg‘ir yog‘yapti, shuning uchun faqat uyda qolishimiz mumkin.
978:只是	只是	只是	sadece; yalnız	Sadece sana yardım etmek istiyorum.	tu; pekee	Nataka tu kukusaidia.	sadəcə; yalnız	Sadəcə sənə kömək etmək istəyirəm.	faqat; shunchaki	Men faqat senga yordam bermoqchiman.
980:只有	只有	只有	sadece var	Burada sadece bir oda var.	kuna tu	Kuna chumba kimoja tu hapa.	yalnız var	Burada yalnız bir otaq var.	faqat bor	Bu yerda faqat bitta xona bor.
981:中	中	中	içinde; arasında	Fotoğrafta üç kişi var.	ndani; kati ya	Kuna watu watatu kwenye picha.	içində; arasında	Şəkildə üç nəfər var.	ichida; orasida	Suratda uch kishi bor.
989:住院	住院	住院	hastaneye yatmak	Dedem hastanede yatıyor.	kulazwa hospitalini	Babu amelazwa hospitalini.	xəstəxanada yatmaq	Babam xəstəxanadadır.	shifoxonaga yotmoq	Bobom shifoxonada yotibdi.
990:字典	字典	字典	sözlük	Yeni kelimelere bakmak için sözlük kullanırım.	kamusi	Natumia kamusi kutafuta maneno mapya.	lüğət	Yeni sözləri axtarmaq üçün lüğətdən istifadə edirəm.	lug‘at	Yangi so‘zlarni qidirish uchun lug‘atdan foydalanaman.
992:子	子	子	isimlerde kullanılan ek	Masanın üzerinde bir kitap var.	kiambishi katika nomino	Kuna kitabu mezani.	isimlərdə işlənən şəkilçi	Masanın üstündə bir kitab var.	otlarda ishlatiladigan qo‘shimcha	Stol ustida bir kitob bor.
993:总	总	总	her zaman; genellikle	Okula her zaman çok erken gelir.	kila wakati; kwa ujumla	Hufika shuleni mapema sana kila wakati.	həmişə; ümumiyyətlə	O, məktəbə həmişə çox tez gəlir.	doim; odatda	U maktabga doim juda erta keladi.
999:做客	做客	做客	misafir olmak	Bu hafta sonu bir arkadaşımın evine misafirliğe gidiyorum.	kuwa mgeni	Wikendi hii naenda kuwa mgeni nyumbani kwa rafiki.	qonaq olmaq	Bu həftəsonu dostumun evinə qonaq gedirəm.	mehmon bo‘lmoq	Bu dam olish kunlari do‘stimning uyiga mehmon bo‘lib boraman.
