simplified	NE	example_NE	SI	example_SI	TA	example_TA
购物	किनमेल	किनमेलको भुक्तानी अनलाइन गर्न सकिन्छ.	මිලදී ගැනීම	මිලදී ගැනීම් සඳහා මාර්ගගතව ගෙවිය හැක.	கொள்முதல்; வாங்குதல்	கொள்முதல் பணத்தை இணையத்தில் செலுத்தலாம்.
估计	अनुमान गर्नु	मेरो अनुमानमा उनीहरू विमानस्थल पुगिसके.	අනුමාන කරනවා	මගේ අනුමානයට ඔවුන් දැනටමත් ගුවන්තොටුපොළට පැමිණ ඇත.	கணிக்க; மதிப்பிடு	அவர்கள் ஏற்கனவே விமான நிலையத்தை அடைந்திருப்பார்கள் என்று நான் நினைக்கிறேன்.
鼓励	प्रोत्साहन दिनु	अभिभावकहरूले बालबालिकालाई अझ बढी प्रोत्साहन दिनुपर्छ.	දිරිමත් කරනවා	දෙමාපියන් ළමයින්ට තවත් දිරිගැන්වීමක් දිය යුතුය.	ஊக்குவி	பெற்றோர் குழந்தைகளுக்கு அதிக ஊக்கம் கொடுக்க வேண்டும்.
故意	जानाजानी	माफ गर्नुहोस्, मैले जानाजानी गरेको होइन.	හිතාමතා	සමාවෙන්න, මම හිතාමතා කළේ නැහැ.	நோக்கத்துடன்	மன்னிக்கவும், நான் நோக்கத்துடன் செய்யவில்லை.
顾客	ग्राहक	ग्राहकहरू एक तिहाइले घटेका छन्.	පාරිභෝගිකයා	පාරිභෝගිකයන් තුනෙන් එකකින් අඩු වී ඇත.	வாடிக்கையாளர்	வாடிக்கையாளர்கள் மூன்றில் ஒரு பங்காகக் குறைந்துள்ளனர்.
挂	झुण्ड्याउनु; फोन काट्नु	कृपया पहिले फोन नकाट्नुहोस्.	එල්ලනවා; දුරකථනය විසන්ධි කරනවා	කරුණාකර තවම දුරකථනය විසන්ධි නොකරන්න.	தொங்க விடு; அழைப்பை துண்டி	தயவுசெய்து இப்போது அழைப்பைத் துண்டிக்காதீர்கள்.
关键	मुख्य बिन्दु; कुञ्जी	यो समस्याको मुख्य कुरा होइन.	ප්‍රධාන කරුණ; යතුර	මෙය ගැටලුවේ ප්‍රධාන කරුණ නොවේ.	முக்கியம்; மையப் புள்ளி	இது பிரச்சினையின் முக்கிய அம்சம் அல்ல.
观众	दर्शक	टेलिभिजनअगाडिका दर्शक साथीहरू, नमस्कार.	ප්‍රේක්ෂකයා	රූපවාහිනිය ඉදිරියේ සිටින ප්‍රේක්ෂක මිතුරනි, ආයුබෝවන්.	பார்வையாளர்	தொலைக்காட்சி முன் இருக்கும் பார்வையாளர் நண்பர்களே, வணக்கம்.
管理	व्यवस्थापन गर्नु	अहिले यो घर कसले व्यवस्थापन गर्छ?	කළමනාකරණය කරනවා	දැන් මෙම නිවස කළමනාකරණය කරන්නේ කවුද?	நிர்வகி	இப்போது இந்த வீட்டை யார் நிர்வகிக்கிறார்?
光	प्रकाश; उज्यालो	आज घामको प्रकाश धेरै तेज छ.	ආලෝකය	අද හිරු එළිය ඉතා තදයි.	ஒளி	இன்று சூரிய ஒளி மிகவும் கடுமையாக உள்ளது.
广播	प्रसारण; रेडियो	हजुरबुबा रेडियो सुन्दै हुनुहुन्छ.	විකාශනය; ගුවන්විදුලිය	සීයා ගුවන්විදුලිය අසමින් සිටී.	ஒலிபரப்பு; வானொலி	தாத்தா வானொலி கேட்கிறார்.
广告	विज्ञापन	मैले पत्रिकामा तपाईंहरूको विज्ञापन देखें.	දැන්වීම; වෙළඳ දැන්වීම	මම පුවත්පතේ ඔබලාගේ දැන්වීම දැක්කෙමි.	விளம்பரம்	நான் செய்தித்தாளில் உங்கள் விளம்பரத்தைப் பார்த்தேன்.
逛	डुल्नु; घुम्नु	सप्ताहन्तमा हामी व्यापारिक केन्द्रमा डुल्न जाऔं.	ඇවිදිනවා; බලමින් යනවා	සති අන්තයේ අපි වෙළඳ මධ්‍යස්ථානයට ඇවිදින්න යමු.	சுற்றிப்பார்	வார இறுதியில் நாம் வணிக வளாகத்தில் சுற்றிப் பார்ப்போம்.
规定	नियम; प्रावधान	विद्यालयका आफ्नै नियम छन्.	නියමය; රෙගුලාසිය	පාසලට තමන්ගේම නියමයන් ඇත.	விதி; ஒழுங்கு	பள்ளிக்கு தனித்த விதிகள் உள்ளன.
国籍	राष्ट्रियता	कृपया फारममा आफ्नो राष्ट्रियता भर्नुहोस्.	ජාතිකත්වය	කරුණාකර ආකෘතියේ ඔබේ ජාතිකත්වය පුරවන්න.	தேசியம்; குடியுரிமை	தயவுசெய்து படிவத்தில் உங்கள் தேசியத்தை நிரப்புங்கள்.
国际	अन्तर्राष्ट्रिय	यो एउटा अन्तर्राष्ट्रिय बैठक हो.	ජාත්‍යන්තර	මෙය ජාත්‍යන්තර රැස්වීමකි.	சர்வதேச	இது ஒரு சர்வதேசக் கூட்டம்.
果汁	फलफूलको रस	म एक गिलास फलफूलको रस पिउन चाहन्छु.	පලතුරු යුෂ	මට පලතුරු යුෂ වීදුරුවක් බොන්න ඕන.	பழச்சாறு	எனக்கு ஒரு கண்ணாடி பழச்சாறு குடிக்க வேண்டும்.
过程	प्रक्रिया	सिकाइको प्रक्रिया धेरै महत्त्वपूर्ण छ.	ක්‍රියාවලිය	ඉගෙනීමේ ක්‍රියාවලිය ඉතා වැදගත්ය.	செயல்முறை	கற்றலின் செயல்முறை மிகவும் முக்கியமானது.
海洋	महासागर	पृथ्वीको धेरैजसो सतह महासागर हो.	සාගරය	පෘථිවියේ මතුපිටින් වැඩි කොටස සාගරයයි.	பெருங்கடல்	பூமியின் மேற்பரப்பின் பெரும்பகுதி பெருங்கடல்.
害羞	लजालु	पहिलो पटक मञ्चमा जाँदा उनी अलि लजालु भइन्.	ලැජ්ජාශීලී	ඇය පළමු වරට වේදිකාවට ගිය විට ටිකක් ලැජ්ජාශීලී විය.	வெட்கம்; வெட்கப்படுகிற	முதல் முறையாக மேடைக்கு சென்றபோது அவள் கொஞ்சம் வெட்கப்பட்டாள்.
寒假	जाडो बिदा	जाडो बिदामा म दक्षिणतिर यात्रा गर्न चाहन्छु.	ශීත නිවාඩුව	ශීත නිවාඩුවේදී මට දකුණට සංචාරය කිරීමට අවශ්‍යයි.	குளிர்கால விடுமுறை	குளிர்கால விடுமுறையில் தெற்குப் பகுதிக்கு பயணம் செய்ய விரும்புகிறேன்.
汗	पसिना	गर्मी भयो होला, तौलियाले पसिना पुछ.	දහඩිය	උණුසුම් ඇති, තුවායෙන් දහඩිය පිසගන්න.	வியர்வை	சூடாக இருக்கிறதே, துணியால் வியர்வையைத் துடைத்துக்கொள்.
航班	उडान	यस उडानमा तपाईंलाई स्वागत छ.	ගුවන් ගමන	මෙම ගුවන් ගමනට ඔබව සාදරයෙන් පිළිගනිමු.	விமான சேவை	இந்த விமான சேவைக்கு உங்களை வரவேற்கிறோம்.
好处	फाइदा; लाभ	धेरै पढ्नुका धेरै फाइदा छन्.	වාසිය; ප්‍රයෝජනය	වැඩියෙන් කියවීමේ වාසි බොහෝය.	நன்மை; பலன்	அதிகமாகப் படிப்பதில் பல நன்மைகள் உள்ளன.
好像	जस्तो लाग्नु	हामीबीच केही गलतफहमी भएको जस्तो छ.	වගේ පෙනෙනවා	අප අතර වැරදි අවබෝධයක් ඇති බව පෙනේ.	போல் தோன்று	எங்களுக்கிடையில் தவறான புரிதல் இருப்பது போல தெரிகிறது.
号码	नम्बर	कृपया आफ्नो फोन नम्बर मलाई दिनुहोस्.	අංකය	කරුණාකර ඔබේ දුරකථන අංකය මට දෙන්න.	எண்	தயவுசெய்து உங்கள் தொலைபேசி எண்ணை எனக்குக் கொடுங்கள்.
合格	योग्य; मापदण्ड पूरा गरेको	यो उत्पादनको गुणस्तर मापदण्ड पूरा गरेको छ.	සුදුසු; ප්‍රමිතියට ගැළපෙන	මෙම නිෂ්පාදනයේ ගුණාත්මකභාවය ප්‍රමිතියට ගැළපේ.	தகுதியான; தரநிலையை பூர்த்தி செய்	இந்தப் பொருளின் தரம் தரநிலையை பூர்த்தி செய்கிறது.
合适	उपयुक्त; मिल्ने	यो जुत्ताको जोडी राम्रोसँग मिल्छ.	සුදුසු; ගැළපෙන	මෙම සපත්තු යුගලය හොඳින් ගැළපේ.	பொருத்தமான	இந்த காலணிகள் நன்றாகப் பொருந்துகின்றன.
盒子	बक्स	बक्स खाली छ, केही पनि छैन.	පෙට්ටිය	පෙට්ටිය හිස්ය, කිසිවක් නැත.	பெட்டி	பெட்டி காலியாக உள்ளது, எதுவும் இல்லை.
厚	बाक्लो	यो किताब धेरै बाक्लो छ.	ඝන; මහත	මෙම පොත ඉතා ඝනය.	தடிமனான	இந்த புத்தகம் மிகவும் தடிமனாக உள்ளது.
后悔	पछुताउनु	तिमीलाई पहिले नभनेकोमा मलाई पछुतो छ.	පසුතැවෙනවා	ඔබට කලින් නොකියූ එක ගැන මම පසුතැවෙමි.	வருந்து	உனக்கு முன்பே சொல்லாததற்கு நான் வருந்துகிறேன்.
互联网	इन्टरनेट	इन्टरनेटले मानिसहरूको जीवनमा धेरै सुविधा ल्याएको छ.	අන්තර්ජාලය	අන්තර්ජාලය මිනිසුන්ගේ ජීවිතයට බොහෝ පහසුකම් ගෙන ආවේය.	இணையம்	இணையம் மக்களின் வாழ்க்கைக்கு பல வசதிகளை கொண்டு வந்துள்ளது.
互相	आपसमा; परस्पर	हामी दुईजनाले आपसमा समर्थन गर्नुपर्छ.	එකිනෙකා; අන්‍යෝන්‍යව	අපි දෙදෙනා එකිනෙකාට සහය විය යුතුය.	ஒருவருக்கொருவர்	நாம் இருவரும் ஒருவருக்கொருவர் ஆதரவு அளிக்க வேண்டும்.
护士	नर्स	नर्सले बिरामीलाई सुई लगाउँदै छिन्.	හෙදිය	හෙදිය රෝගියාට එන්නතක් ලබා දෙමින් සිටී.	செவிலியர்	செவிலியர் நோயாளிக்கு ஊசி போடுகிறார்.
怀疑	शङ्का गर्नु; शङ्का	मलाई शङ्का छ, उसले आज बैठक छ भनेर बिर्स्यो.	සැක කරනවා; සැකය	අද රැස්වීමක් ඇති බව ඔහු අමතක කළා යැයි මට සැකයි.	சந்தேகப்படு; சந்தேகம்	இன்று கூட்டம் இருப்பதை அவன் மறந்திருக்கலாம் என்று எனக்கு சந்தேகம்.
回忆	सम्झनु; सम्झना	हामी प्रायः बाल्यकालका कुरा सम्झन्छौं.	මතක් කරනවා; මතකය	අපි නිතර ළමා කාලයේ දේවල් මතක් කරගනිමු.	நினைவுகூர்; நினைவு	நாம் அடிக்கடி குழந்தைப் பருவ விஷயங்களை நினைவுகூருகிறோம்.
活动	व्यायाम गर्नु; गतिविधि	म पार्कमा गएर केही बेर व्यायाम गरें.	ව්‍යායාම කරනවා; ක්‍රියාකාරකම	මම උද්‍යානයට ගොස් ටික වේලාවක් ව්‍යායාම කළෙමි.	உடற்பயிற்சி செய்; செயல்பாடு	நான் பூங்காவுக்கு சென்று சிறிது நேரம் உடற்பயிற்சி செய்தேன்.
活泼	चञ्चल; फुर्तिलो	यो बच्चा धेरै चञ्चल छ.	චංචල; උද්යෝගිමත්	මෙම දරුවා ඉතා චංචලයි.	சுறுசுறுப்பான	இந்த குழந்தை மிகவும் சுறுசுறுப்பானது.
火	आगो	आगो खतरनाक हुन्छ, कृपया सावधान हुनुहोस्.	ගින්න	ගින්න භයානකයි, කරුණාකර පරිස්සම් වන්න.	தீ	தீ ஆபத்தானது, தயவுசெய்து கவனமாக இருங்கள்.
获得	प्राप्त गर्नु	सफलता प्राप्त गरे पनि धेरै घमन्ड गर्नु हुँदैन.	ලබාගන්නවා	සාර්ථකත්වය ලබාගත්තත් අධික ලෙස ආඩම්බර නොවිය යුතුය.	பெறு; அடை	வெற்றி அடைந்தாலும் மிகவும் பெருமை கொள்ளக் கூடாது.
基础	आधार; जग	कृपया पहिलेको आधारमा फेरि केही परिवर्तन गर्नुहोस्.	පදනම; අඩිතාලම	කරුණාකර මුල් පදනම මත නැවත ටිකක් වෙනස් කරන්න.	அடிப்படை; அடித்தளம்	தயவுசெய்து முந்தைய அடிப்படையில் மீண்டும் சிறிது மாற்றுங்கள்.
激动	रोमाञ्चक; भावुक	यो समाचार साँच्चै रोमाञ्चक छ.	උද්වේගජනක; හැඟීම්බර	මෙම පුවත ඇත්තටම උද්වේගජනකයි.	உற்சாகமான; உணர்ச்சிவசப்பட்ட	இந்த செய்தி உண்மையிலேயே உற்சாகமூட்டுகிறது.
积极	सक्रिय; सकारात्मक	ऊ चिनियाँ भाषा धेरै सक्रिय रूपमा पढ्छ.	ක්‍රියාශීලී; ධනාත්මක	ඔහු චීන භාෂාව ඉතා ක්‍රියාශීලීව ඉගෙන ගනී.	சுறுசுறுப்பான; நேர்மறையான	அவன் சீன மொழியை மிகவும் சுறுசுறுப்பாகப் படிக்கிறான்.
积累	सञ्चय गर्नु; जम्मा गर्नु	उसले काममा धेरै अनुभव सञ्चय गरेको छ.	සමුච්චය කරනවා; එකතු කරනවා	ඔහු වැඩ තුළ බොහෝ අත්දැකීම් එකතු කරගෙන ඇත.	சேகரி; குவி	அவன் வேலையில் நிறைய அனுபவம் சேகரித்துள்ளான்.
即使	भए पनि	कठिनाइ भेटिए पनि हार नमान.	වුණත්; නමුත්	අපහසුතා හමු වුණත් අත් නොහරින්න.	இருந்தாலும்	கஷ்டங்களைச் சந்தித்தாலும் கைவிடாதே.
及时	समयमै	यो वर्षा ठीक समयमै पर्‍यो.	කාලයට; ඉක්මනින්	මෙම වැස්ස හරියටම අවශ්‍ය වෙලාවට වැටුණි.	நேரத்தில்	இந்த மழை சரியான நேரத்தில் பெய்தது.
寄	पठाउनु; हुलाक गर्नु	तिम्रो चिठी पहिले नै पुगिसकेको छ.	තැපැල් කරනවා; යවනවා	ඔබේ ලිපිය දැනටමත් ලැබී ඇත.	அஞ்சலில் அனுப்பு; அனுப்பு	உன் கடிதம் ஏற்கனவே வந்து சேர்ந்துவிட்டது.
技术	प्रविधि; सीप	यो एउटा जटिल प्राविधिक समस्या हो.	තාක්ෂණය; කුසලතාව	මෙය සංකීර්ණ තාක්ෂණික ගැටලුවකි.	தொழில்நுட்பம்; திறன்	இது ஒரு சிக்கலான தொழில்நுட்பப் பிரச்சினை.
既然	जब कि; यसो भएकोले	तिमी आइसकेका छौ, सँगै खाना खाऔं.	එහෙයින්; දැන්	ඔබ ආවානම්, අපි එකට කෑම කමු.	ஏற்கனவே; என்பதால்	நீ வந்துவிட்டதால், நாம் சேர்ந்து சாப்பிடுவோம்.
继续	जारी राख्नु	उसले कम्पनीमा काम जारी राख्न इच्छुक भएको बतायो.	දිගටම කරනවා	ඔහු සමාගම තුළ වැඩ දිගටම කිරීමට කැමැත්ත පළ කළේය.	தொடர்	அவன் நிறுவனத்தில் தொடர்ந்து வேலை செய்ய விருப்பம் தெரிவித்தான்.
计划	योजना	मैले योजना पहिले नै परिवर्तन गरिसकेको छु.	සැලැස්ම	මම දැනටමත් සැලැස්ම වෙනස් කර ඇත.	திட்டம்	நான் ஏற்கனவே திட்டத்தை மாற்றிவிட்டேன்.
记者	पत्रकार	पत्रकारले प्रधानाध्यापकसँग अन्तर्वार्ता लिइरहेका छन्.	මාධ්‍යවේදියා; වාර්තාකරු	වාර්තාකරු විදුහල්පතිවරයා සමඟ සාකච්ඡා කරමින් සිටී.	செய்தியாளர்; நிருபர்	செய்தியாளர் தலைமை ஆசிரியரை பேட்டி காண்கிறார்.
加班	अतिरिक्त समय काम गर्नु	यो हप्ता हामीले लगभग हरेक दिन अतिरिक्त समय काम गर्‍यौं.	අතිකාල වැඩ කරනවා	මෙම සතියේ අපි සෑම දිනකම පාහේ අතිකාල වැඩ කළෙමු.	மேலதிக நேரம் வேலை செய்	இந்த வாரம் நாம் கிட்டத்தட்ட தினமும் மேலதிக நேரம் வேலை செய்தோம்.
加油站	पेट्रोल पम्प	तिम्रो घर नजिक पेट्रोल पम्प छ?	ඉන්ධන පිරවුම්හල	ඔබේ නිවස අසල ඉන්ධන පිරවුම්හලක් තිබේද?	எரிபொருள் நிலையம்	உன் வீட்டுக்கு அருகில் எரிபொருள் நிலையம் உள்ளதா?
家具	फर्निचर	घर सरेपछि हामीले नयाँ फर्निचर राख्यौं.	ගෘහ භාණ්ඩ	නිවස මාරු කළ පසු අපි නව ගෘහ භාණ්ඩ දැම්මෙමු.	மரச்சாமான்கள்	வீடு மாறிய பிறகு புதிய மரச்சாமான்கள் மாற்றினோம்.
假	नक्कली; झूटो	यो टिकट नक्कली हो.	ව්‍යාජ; බොරු	මෙම ප්‍රවේශ පත්‍රය ව්‍යාජය.	போலி; பொய்யான	இந்தச் சீட்டு போலியானது.
价格	मूल्य	गत वर्षदेखि कारको मूल्य घटिरहेको छ.	මිල	පසුගිය වසර සිට මෝටර් රථවල මිල අඩුවෙමින් පවතී.	விலை	கடந்த ஆண்டிலிருந்து கார்களின் விலை குறைந்து வருகிறது.
坚持	अडिग रहनु; निरन्तरता दिनु	उसले सधैं आफ्नो विचारमा अडिग रह्यो.	දිගටම පිළිපදිනවා; අත නොහැරීම	ඔහු සෑම විටම තම අදහසට අත නොහැර සිටියේය.	உறுதியாக நிலைநில்; தொடர்ந்து செய்	அவன் எப்போதும் தனது கருத்தில் உறுதியாக இருந்தான்.
减肥	तौल घटाउनु	म तौल घटाउन हरेक दिन दौडन्छु.	බර අඩු කරනවා	මම බර අඩු කිරීමට දිනපතා දුවමි.	உடல் எடை குறை	நான் உடல் எடை குறைக்க தினமும் ஓடுகிறேன்.
减少	घटाउनु; घट्नु	ग्राहकहरू एक तिहाइले घटेका छन्.	අඩු කරනවා; අඩු වෙනවා	පාරිභෝගිකයන් තුනෙන් එකකින් අඩු වී ඇත.	குறை; குறை	வாடிக்கையாளர்கள் மூன்றில் ஒரு பங்காகக் குறைந்துள்ளனர்.
建议	सुझाव दिनु; सुझाव	म भोलि एक दिन आराम गर्न सुझाव दिन्छु.	යෝජනා කරනවා; උපදෙස්	මම හෙට දිනක් විවේක ගැනීමට යෝජනා කරමි.	பரிந்துரை செய்; ஆலோசனை	நாளை ஒரு நாள் ஓய்வெடுக்க நான் பரிந்துரைக்கிறேன்.
将来	भविष्य	भविष्यमा तिमी के काम गर्ने सोचमा छौ?	අනාගතය	අනාගතයේ ඔබ කුමන රැකියාවක් කිරීමට සැලසුම් කරන්නේද?	எதிர்காலம்	எதிர்காலத்தில் நீ என்ன வேலை செய்யத் திட்டமிடுகிறாய்?
奖金	बोनस; पुरस्कार रकम	हामीले वर्षको अन्त्यमा बोनस दियौं.	ප්‍රසාද දීමනාව; ත්‍යාග මුදල	අපි වසර අවසානයේ ප්‍රසාද දීමනාවක් ගෙව්වෙමු.	போனஸ்; பரிசுத் தொகை	ஆண்டின் இறுதியில் நாம் ஒரு போனஸ் வழங்கினோம்.
降低	घटाउनु; तल झार्नु	शरद ऋतु आयो, तापक्रम घट्न थाल्यो.	අඩු කරනවා; පහළ යනවා	සරත් කාලය පැමිණි අතර උෂ්ණත්වය අඩුවීමට පටන් ගත්තේය.	குறை; குறைத்தல்	இலையுதிர் காலம் வந்தது, வெப்பநிலை குறையத் தொடங்கியது.
降落	अवतरण गर्नु	विमान अब छिट्टै अवतरण गर्नेछ.	ගොඩබසිනවා	ගුවන් යානය ඉක්මනින් ගොඩබසිනු ඇත.	தரையிறங்கு	விமானம் விரைவில் தரையிறங்கும்.
交	साथी बनाउनु; बुझाउनु	मैले धेरै चिनियाँ साथी बनाएको छु.	මිතුරු වෙනවා; භාර දෙනවා	මම බොහෝ චීන මිතුරන් ඇති කරගෙන ඇත.	நண்பராகு; ஒப்படை	நான் பல சீன நண்பர்களைச் செய்துள்ளேன்.
交流	आदानप्रदान; सञ्चार	देशहरूबीचको सांस्कृतिक आदानप्रदान झन् समृद्ध हुँदैछ.	හුවමාරුව; සන්නිවේදනය	රටවල් අතර සංස්කෘතික හුවමාරුව වඩ වඩාත් සරු වෙමින් පවතී.	பரிமாற்றம்; தொடர்பு	நாடுகளுக்கிடையிலான பண்பாட்டு பரிமாற்றம் மேலும் வளமாகிறது.
交通	यातायात	यहाँको यातायात धेरै सुविधाजनक छ.	ගමනාගමනය; ප්‍රවාහනය	මෙහි ගමනාගමනය ඉතා පහසුය.	போக்குவரத்து	இங்கே போக்குவரத்து வசதியாக உள்ளது.
郊区	उपनगर; सहरबाहिरको क्षेत्र	ऊ सहरको उपनगरमा बस्छ.	නගර පරിസරය; උපනගරය	ඔහු නගරයේ උපනගරයේ ජීවත් වේ.	புறநகர்	அவன் நகரின் புறநகரில் வசிக்கிறான்.
骄傲	घमन्डी; गर्वित	सफलता प्राप्त गरे पनि धेरै घमन्ड गर्नु हुँदैन.	ආඩම්බර; උද්දච්ච	සාර්ථකත්වය ලබාගත්තත් අධික ලෙස ආඩම්බර නොවිය යුතුය.	பெருமை; அகங்காரம்	வெற்றி அடைந்தாலும் மிகவும் அகங்காரம் கொள்ளக் கூடாது.
饺子	डम्पलिङ	चिनियाँहरूले वसन्त चाडमा डम्पलिङ खान्छन्.	ඩම්ප්ලිං	චීන ජනතාව වසන්ත උත්සවයේදී ඩම්ප්ලිං කති.	கொழுக்கட்டை வகை	சீனர்கள் வசந்த விழாவில் கொழுக்கட்டை வகையைச் சாப்பிடுகிறார்கள்.
教授	प्राध्यापक	उनी विश्वविद्यालयका प्राध्यापक हुन्.	මහාචාර්යවරයා	ඔහු විශ්වවිද්‍යාල මහාචාර්යවරයෙකි.	பேராசிரியர்	அவர் பல்கலைக்கழக பேராசிரியர்.
教育	शिक्षा दिनु; शिक्षा	बालबालिकालाई शिक्षा दिन धैर्य चाहिन्छ.	අධ්‍යාපනය; උගන්වනවා	ළමයින්ට අධ්‍යාපනය දීමට ඉවසීම අවශ්‍යයි.	கல்வி; கற்பி	குழந்தைகளை கற்பிக்க பொறுமை வேண்டும்.
接受	स्वीकार गर्नु	तिम्रा सबै विचार म स्वीकार गर्छु.	පිළිගන්නවා	ඔබේ සියලු අදහස් මම පිළිගනිමි.	ஏற்றுக்கொள்	உன் எல்லா கருத்துகளையும் நான் ஏற்றுக்கொள்கிறேன்.
接着	त्यसपछि; जारी राख्नु	उसले केही बेर सोचेर त्यसपछि लेख्न थाल्यो.	ඊළඟට; දිගටම	ඔහු ටික වේලාවක් සිතා ඊළඟට ලිවීය.	பிறகு; தொடர்ந்து	அவன் சிறிது நேரம் யோசித்து பிறகு எழுதினான்.
结果	नतिजा	तिमीले खेल हेर्‍यौ? नतिजा कस्तो भयो?	ප්‍රතිඵලය	ඔබ තරගය බැලුවාද, ප්‍රතිඵලය කෙසේද?	முடிவு; விளைவு	நீ போட்டியை பார்த்தாயா, முடிவு எப்படி?
节	चाड; बिदा	आज कुन चाड हो?	උත්සවය; නිවාඩුව	අද කුමන උත්සව දිනයද?	விழா; விடுமுறை	இன்று என்ன விழா?
节约	बचत गर्नु	कृपया पानी बचत गर्नुहोस्.	සුරකිනවා; ඉතිරි කරනවා	කරුණාකර ජලය ඉතිරි කරන්න.	சேமி; சிக்கனமாக பயன்படுத்து	தயவுசெய்து தண்ணீரைச் சேமியுங்கள்.
解释	व्याख्या गर्नु; व्याख्या	उसले कारण धेरै स्पष्टसँग व्याख्या गर्यो.	විස්තර කරනවා; පැහැදිලි කිරීම	ඔහු හේතුව ඉතා පැහැදිලිව විස්තර කළේය.	விளக்கு; விளக்கம்	அவன் காரணத்தை மிகவும் தெளிவாக விளக்கியான்.
尽管	यद्यपि; भए पनि	म उसलाई धेरै पहिलेदेखि चिन्छु, तर राम्रोसँग बुझ्दिनँ.	එසේ වුවත්; නමුත්	මම ඔහුව බොහෝ කාලයක් තිස්සේ දන්නා නමුත් හොඳින් තේරුම්ගෙන නැත.	என்றாலும்	நான் அவனை நீண்ட காலமாக அறிந்திருந்தாலும் நன்றாகப் புரிந்துகொள்ளவில்லை.
紧张	तनावग्रस्त; नर्भस	पहिलो प्रस्तुति भएकाले ऊ धेरै नर्भस थियो.	ආතතියෙන්; කලබල	පළමු රංගනයේදී ඔහු ඉතා කලබල විය.	பதற்றமான	முதல் நிகழ்ச்சிக்காக அவன் மிகவும் பதற்றமாக இருந்தான்.
禁止	निषेध गर्नु	यहाँ धूम्रपान निषेध छ.	තහනම් කරනවා	මෙහි දුම්පානය තහනම්ය.	தடை செய்	இங்கே புகைபிடித்தல் தடை செய்யப்பட்டுள்ளது.
进行	चलिरहनु; सञ्चालन गर्नु	खेल अझै चलिरहेको छ.	සිදු වෙමින් පවතිනවා; කරනවා	තරගය තවමත් සිදු වෙමින් පවතී.	நடைபெறு; மேற்கொள்	போட்டி இன்னும் நடைபெறுகிறது.
京剧	पेइचिङ ओपेरा	उनी प्रसिद्ध पेइचिङ ओपेरा कलाकार हुन्.	බෙයිජිං ඔපෙරාව	ඇය ප්‍රසිද්ධ බෙයිජිං ඔපෙරා රංගන ශිල්පිනියකි.	பெய்ஜிங் ஓபரா	அவள் பிரபலமான பெய்ஜிங் ஓபரா நடிகை.
精彩	उत्कृष्ट; शानदार	आजको प्रस्तुति अत्यन्तै शानदार थियो!	විශිෂ්ට; අපූරු	අද රංගනය ඉතාමත් විශිෂ්ටයි!	அற்புதமான	இன்றைய நிகழ்ச்சி மிகவும் அற்புதமாக இருந்தது!
经济	अर्थतन्त्र; आर्थिक	यी वर्षहरूमा अर्थतन्त्र छिटो विकास भएको छ.	ආර්ථිකය; ආර්ථික	මෙම වසරවල ආර්ථිකය වේගයෙන් සංවර්ධනය වී ඇත.	பொருளாதாரம்; பொருளாதார	இந்த ஆண்டுகளில் பொருளாதாரம் வேகமாக வளர்ந்துள்ளது.
经历	अनुभव; अनुभव गर्नु	उनले यात्राको अनुभवलाई लेखमा लेखिन्.	අත්දැකීම; අත්විඳිනවා	ඇය සංචාරයේ අත්දැකීම් ලිපියක් ලෙස ලිව්වාය.	அனுபவம்; அனுபவி	அவள் பயண அனுபவத்தை ஒரு கட்டுரையாக எழுதினாள்.
经验	अनुभव	उनी धेरै अनुभव भएका शिक्षक हुन्.	අත්දැකීම	ඔහු බොහෝ අත්දැකීම් ඇති ගුරුවරයෙකි.	அனுபவம்	அவர் அனுபவமிக்க ஆசிரியர்.
景色	दृश्य; प्राकृतिक सौन्दर्य	सूर्यास्त हुँदा समुद्रकिनारको दृश्य धेरै सुन्दर हुन्छ.	දර්ශනය; භූදර්ශනය	හිරු බැස යන විට මුහුදු වෙරළේ දර්ශනය ඉතා ලස්සනයි.	காட்சி; இயற்கைக் காட்சி	சூரியன் மறையும் போது கடற்கரை காட்சி மிகவும் அழகாக இருக்கும்.
警察	प्रहरी; प्रहरी अधिकारी	प्रहरीले अनुसन्धान गरिरहेको छ.	පොලිසිය; පොලිස් නිලධාරියා	පොලිසිය විමර්ශනය කරමින් සිටී.	போலீஸ்; காவலர்	போலீசார் விசாரணை நடத்திக்கொண்டிருக்கிறார்கள்.
竞争	प्रतिस्पर्धा गर्नु; प्रतिस्पर्धा	ऊ धेरै आत्मविश्वासी छ र अरूसँग प्रतिस्पर्धा गर्न मन पराउँछ.	තරඟ කරනවා; තරඟය	ඔහු ඉතා විශ්වාසයෙන් සිටින අතර අන් අය සමඟ තරඟ කිරීමට කැමතියි.	போட்டி போடு; போட்டி	அவன் மிகவும் தன்னம்பிக்கை உடையவன், பிறருடன் போட்டியிட விரும்புகிறான்.
竟然	अप्रत्याशित रूपमा	ऊ यस्तो मान्छे होला भनेर मैले बिल्कुल सोचिनँ.	අනපේක්ෂිත ලෙස	ඔහු මෙවැනි මිනිසෙක් බව මම කිසිසේත් නොසිතුවෙමි.	எதிர்பாராதவிதமாக	அவன் இப்படிப்பட்ட மனிதன் என்று நான் ஒருபோதும் நினைக்கவில்லை.
