simplified	HR	example_HR
节省	uštedjeti	Vožnja podzemnom željeznicom može uštedjeti vrijeme.
借口	izgovor	Nemoj više tražiti izgovore.
届	izdanje; saziv	Ovo je treće izdanje natjecanja.
戒	odviknuti se; prestati	Liječnik mu je savjetovao da prestane pušiti.
戒指	prsten	Nosila je jedan prsten.
金属	metal	Željezo je vrsta metala.
尽快	što prije	Molim te, odgovori na e-poruku što prije.
紧急	hitan; izvanredan	Ovo je hitna situacija.
谨慎	oprezan; razborit	Prije ulaganja treba biti oprezan.
尽力	dati sve od sebe	Dat ću sve od sebe da ti pomognem.
尽量	nastojati što više; koliko je moguće	Molim te, nastoj doći što ranije.
近代	novije doba	U novijoj kineskoj povijesti dogodile su se mnoge promjene.
进步	napredak; napredovati	Njegov kineski brzo napreduje.
进口	uvesti; uvozni	Ovaj je automobil uvozni.
精力	energija	Djeca imaju puno energije.
精神	duh; raspoloženje	On je danas dobro raspoložen.
经典	klasik; klasičan	Ovo je klasičan film.
经商	poslovati; baviti se trgovinom	Njegov otac posluje u inozemstvu.
经营	voditi; poslovati	Ona vodi malu trgovinu.
酒吧	bar; pub	Navečer su otišli u bar.
救	spasiti	Liječnik mu je spasio život.
救护车	hitna pomoć; vozilo hitne pomoći	Vozilo hitne pomoći brzo je stiglo.
舅舅	ujak	Moj ujak živi u Nanjingu.
居然	neočekivano; zapravo	On je čak zaboravio vlastiti rođendan.
桔子	mandarina	Na stolu je nekoliko mandarina.
俱乐部	klub	Ona se učlanila u plivački klub.
具备	imati; posjedovati	On ima upravljačko iskustvo.
具体	konkretan; određen	Molim te, reci to malo konkretnije.
巨大	ogroman	Ovaj projekt zahtijeva golemo ulaganje.
据说	navodno; kaže se da	Navodno se već vratio u svoju zemlju.
捐	donirati	Svi su spremni donirati novac.
决赛	finale	Sutra je nogometno finale.
决心	odlučnost; odluka	Čvrsto je odlučio dobro naučiti kineski.
绝对	apsolutno; nikako	Ovu stvar apsolutno ne smijemo zaboraviti.
角色	uloga	Ona u filmu igra važnu ulogu.
军事	vojni; vojna pitanja	Jako ga zanima vojna povijest.
均匀	ravnomjeran	Molim te, ravnomjerno nanesi boju.
卡车	kamion	Kamion je parkiran na ulazu.
开发	razviti; razvijati	Tvrtka razvija novi proizvod.
开放	otvoriti; biti otvoren	Park se otvara svaki dan u šest ujutro.
开幕式	svečano otvorenje	Svečano otvorenje održat će se sutra navečer.
开水	prokuhana voda	Molim vas, dajte mi čašu prokuhane vode.
砍	sjeći; posjeći	Radnik siječe grane.
看不起	prezirati; gledati svisoka	Ne gledaj svisoka ni na koga.
看望	posjetiti	Za vikend ću posjetiti djeda i baku.
靠	nasloniti se; osloniti se	Naslonio se na zid i odmorio.
颗	klasifikator za mala okrugla tijela	Na noćnom nebu je jedna zvijezda.
可见	vidi se; jasno je	Jasno je da je ova metoda učinkovita.
可靠	pouzdan	On je pouzdan prijatelj.
可怕	strašan	Taj san bio je previše strašan.
克	gram	Molim vas, dodajte dva grama soli.
克服	prevladati	Moramo prevladati poteškoće.
刻苦	marljiv; ustrajan	On uči vrlo marljivo.
客观	objektivan	Molim te, objektivno analiziraj problem.
课程	tečaj; kolegij	Ovaj je tečaj vrlo koristan.
空间	prostor	Ova soba ima mnogo prostora.
控制	kontrolirati; upravljati	Vozač je uspio kontrolirati brzinu automobila.
空闲	slobodno vrijeme	Imaš li sutra poslijepodne slobodnog vremena?
口味	ukus; okus	Njegov je ukus prilično blag.
夸	pohvaliti; hvaliti se	Učitelj ga je pohvalio zbog velikog napretka.
夸张	pretjeran; pretjerivati	Njegov je izraz lica malo pretjeran.
会计	računovođa; računovodstvo	Ona radi kao računovođa u tvrtki.
宽	širok	Ova je cesta vrlo široka.
昆虫	kukac	Djeca promatraju kukce.
扩大	proširiti	Škola planira proširiti knjižnicu.
辣椒	čili papričica	U jelo je dodano mnogo čili papričica.
拦	zaustaviti; spriječiti	Policija je zaustavila jedan automobil.
烂	truo; raskuhan	Ova je jabuka već istrunula.
朗读	čitati naglas	Molim te, glasno pročitaj tekst.
劳动	rad; fizički rad	Rad čovjeku daje osjećaj ispunjenosti.
劳驾	oprostite	Oprostite, gdje je stanica podzemne željeznice?
姥姥	baka po majci	Moja baka po majci kuha vrlo ukusno.
老百姓	obični ljudi	Obične ljude brinu životni troškovi.
老板	šef; vlasnik	Šef danas nije u uredu.
老婆	žena; supruga	Kupio je cvijeće svojoj ženi.
老实	pošten; iskren	On je pošten čovjek.
老鼠	miš; štakor	U kuhinji je jedan miš.
乐观	optimističan	Ona je optimistična u pogledu budućnosti.
雷	grom	Sinoćnji grom bio je vrlo glasan.
类型	tip; vrsta	Kojem tipu pripada ova vrsta filma?
冷淡	hladan; ravnodušan	Njegov je stav pomalo hladan.
厘米	centimetar	Ova je olovka duga petnaest centimetara.
梨	kruška	Kupio sam nekoliko krušaka.
离婚	razvesti se	Oni su se prošle godine razveli.
理论	teorija	Ova je teorija vrlo složena.
理由	razlog	Koji razlog imaš za kašnjenje?
利润	dobit	Dobit tvrtke ove se godine povećala.
利息	kamata	Bankovna kamata nije visoka.
利益	interes; korist	Moramo štititi interese svih.
利用	iskoristiti; koristiti	On koristi vikend za učenje kineskog.
力量	snaga	Jedinstvo je snaga.
立即	odmah	Molim vas, odmah napustite ovo mjesto.
立刻	odmah	Nakon što je čuo vijest, odmah je krenuo.
联合	udružiti; zajednički	Dvije su tvrtke zajednički razvile proizvod.
连忙	brzo; žurno	Kad je čuo zvuk telefona, brzo se javio.
连续	neprekidan; zaredom	Radio je deset sati zaredom.
恋爱	ljubavna veza; biti zaljubljen	Oni su u ljubavnoj vezi.
粮食	žitarice; hrana	Ovogodišnja proizvodnja žitarica se povećala.
良好	dobar; povoljan	On ima dobre navike učenja.
亮	svijetao; jasan	Svjetlo u sobi vrlo je jako.
了不起	izvanredan; sjajan	Postigla je izvanredne rezultate.
列车	vlak	Vlak će uskoro krenuti.
临时	privremen	Ovo je privremena odluka.
灵活	fleksibilan	Metode učenja trebaju biti fleksibilne.
铃	zvono	Zazvonilo je školsko zvono.
零件	dio; komponenta	Stroju nedostaje jedan dio.
零食	grickalice	Djeca vole jesti grickalice.
领导	vodstvo; vođa	Voditelj je na sastanku.
领域	područje	Ona radi u području obrazovanja.
流传	prenositi se; širiti se	Ova se priča dugo prenosi.
流泪	plakati; pustiti suze	Kad je čula tu vijest, zaplakala je.
浏览	pregledavati; preletjeti	Pregledat ću najprije internetsku stranicu.
龙	zmaj	U kineskoj kulturi postoje zmajevi.
漏	curiti; propuštati	Krov prokišnjava.
录取	primiti; upisati	Primljen je na sveučilište.
录音	snimati zvuk	Molim vas, počnite snimati.
陆地	kopno	Morska kornjača popela se na kopno.
陆续	jedan za drugim	Gosti su stizali jedan za drugim.
轮流	izmjenjivati se; naizmjence	Mi naizmjence čistimo učionicu.
论文	diplomski rad; znanstveni rad	Ona piše diplomski rad.
逻辑	logika	Njegova je logika vrlo jasna.
落后	zaostajati	Ne smijemo zaostajati za drugima.
骂	grditi	Molim vas, nemojte grditi dijete.
麦克风	mikrofon	Molim te, dodaj mu mikrofon.
馒头	kinesko pecivo na pari	Za doručak sam pojeo jedno pecivo na pari.
满足	ispuniti; zadovoljiti	Ovaj odgovor ne ispunjava zahtjeve.
毛病	kvar; problem	Ovo računalo ima mali kvar.
矛盾	proturječje; sukob	Među njima postoje neki sukobi.
冒险	riskirati; rizik	Ići tamo sam previše je rizično.
贸易	trgovina	Međunarodna trgovina brzo se razvija.
媒体	mediji	Mediji su izvijestili o toj stvari.
煤炭	ugljen	Ova regija proizvodi ugljen.
眉毛	obrva	Njezine su obrve guste.
美术	likovna umjetnost	Moja mlađa sestra voli likovnu umjetnost.
魅力	šarm; privlačnost	Ovaj grad ima mnogo šarma.
梦想	san; sanjati	Njegov je san postati liječnik.
密切	blizak; tijesan	Održavamo blizak kontakt.
秘密	tajna	Ovo je naša tajna.
秘书	tajnik; tajnica	Tajnica je odredila vrijeme sastanka.
蜜蜂	pčela	Među cvijećem ima mnogo pčela.
面对	suočiti se	Moramo se hrabro suočiti s poteškoćama.
面积	površina	Površina ove sobe nije velika.
面临	suočavati se	Tvrtka se suočava s novim izazovima.
描写	opisati; prikazati	Autor je opisao seoski život.
苗条	vitak	Ona ima vitku figuru.
敏感	osjetljiv	Ova je tema prilično osjetljiva.
名牌	poznata marka	Kupio je sat poznate marke.
名片	posjetnica	Molim vas, dajte mi posjetnicu.
名胜古迹	znamenitosti i povijesni spomenici	Peking ima mnogo znamenitosti i povijesnih spomenika.
明确	jasan; jasno objasniti	Učitelj je jasno objasnio zahtjeve.
明显	očit; jasan	Njegov je napredak očit.
明星	zvijezda; slavna osoba	Želi postati filmska zvijezda.
命令	naredba	Vojnici moraju slušati naredbe.
命运	sudbina	On vjeruje da se sudbina može promijeniti.
摸	dodirnuti	Molim vas, nemojte dirati ovu sliku.
摩托车	motocikl	On se vozi motociklom na posao.
模仿	oponašati	Djeca vole oponašati govor odraslih.
模糊	mutno; nejasno	Ova je fotografija malo mutna.
模特	model	Ona je modni model.
陌生	nepoznat	Ovaj mi je grad vrlo nepoznat.
某	neki; određeni	Nazvao me jedan učitelj.
木头	drvo; komad drveta	Ovaj je stol napravljen od drva.
目标	cilj	Moj je cilj položiti ispit.
目录	sadržaj; katalog	Molim te, najprije pogledaj sadržaj na početku knjige.
目前	trenutačno	Trenutačno je situacija prilično stabilna.
哪怕	čak i ako	Čak i ako je jako zauzet, ustraje u učenju.
难怪	nije čudo	Nije čudo da si danas tako sretan.
难免	teško izbjeći	Prvi put je teško izbjeći pogreške.
脑袋	glava	Malo ga boli glava.
内部	unutarnji	Ovo su interni materijali tvrtke.
内科	interna medicina	Danas ide na internu medicinu.
嫩	mekan; nježan	Ovaj je komad mesa vrlo mekan.
能干	sposoban	Ona je vrlo sposobna osoba.
能源	energija; izvor energije	Solarna energija vrsta je čiste energije.
嗯	hm; aha	Hm, razumijem.
年代	desetljeće; razdoblje	Ova je fotografija snimljena osamdesetih godina.
年纪	dob	Iako nije jako star, ima mnogo iskustva.
念	čitati naglas; učiti	Molim te, pročitaj tekst naglas jednom.
宁可	radije	Radije bih hodao nego čekao autobus.
牛仔裤	traperice	On nosi traperice.
农村	selo; ruralno područje	Ona je odrasla na selu.
农民	poljoprivrednik	Poljoprivrednici rade u polju.
农业	poljoprivreda	Poljoprivreda je vrlo važna za ovu regiju.
浓	jak; gust	Ova je kava prejaka.
女士	gospođa	Ona gospođa čeka autobus.
欧洲	Europa	Sljedeći mjesec putuje u Europu.
偶然	slučajno	Slučajno sam sreo starog školskog kolegu.
拍	snimiti; fotografirati	Molim te, pomozi mi snimiti jednu fotografiju.
派	poslati; frakcija	Tvrtka ga je poslala u Šangaj na službeni put.
盼望	radovati se; iščekivati	Radujem se što ću te uskoro vidjeti.
培训	obuka	Novi zaposlenici trebaju sudjelovati u obuci.
培养	razvijati; njegovati	Škola pridaje važnost razvijanju sposobnosti učenika.
赔偿	nadoknaditi	Tvrtka je pristala nadoknaditi gubitak.
佩服	diviti se	Jako se divim njegovoj hrabrosti.
配合	surađivati	Molim sve da surađuju s učiteljevim rasporedom.
盆	lavor; tegla	Na balkonu je jedna tegla cvijeća.
碰	dodirnuti; sudariti se	Pazi, nemoj dodirnuti vruću vodu.
批	serija; partija	Ova serija robe stigla je danas.
批准	odobriti	Direktor je odobrio ovaj plan.
披	prebaciti preko ramena	Ona ima kaput prebačen preko ramena.
疲劳	umor	Dugotrajan rad može izazvati umor.
匹	klasifikator za konje	Na travi je jedan konj.
片	kriška; komad	Molim vas, dajte mi krišku kruha.
片面	jednostran	Ovakvo je mišljenje previše jednostrano.
飘	lebdjeti; vijoriti	Snježne pahulje lebde u zraku.
拼音	pinyin	Molim te, napiši pinyin pokraj kineskih znakova.
频道	kanal	Molim te, prebaci na informativni kanal.
凭	na temelju; uz	Pomoću ulaznice može se ući.
平均	prosjek; u prosjeku	U prosjeku je svaka osoba potrošila deset juana.
平	ravan	Ova je cesta vrlo ravna.
平安	siguran; bez nezgode	Želim ti sretan put.
平常	obično; uobičajen	On obično rijetko kasni.
平等	jednak; jednakost	Svaku osobu treba jednako tretirati.
平方	kvadratni	Ova soba ima dvadeset kvadratnih metara.
平衡	ravnoteža	Rad i život trebaju ravnotežu.
平静	miran	Površina jezera vrlo je mirna.
评价	ocjena; procjena	Učitelj je dao vrlo visoku ocjenu.
破产	bankrotirati; bankrot	To je poduzeće prošle godine bankrotiralo.
破坏	oštetiti; uništiti	Molim vas, nemojte oštećivati javnu imovinu.
迫切	hitan; prijeko potreban	Hitno nam treba više liječnika.
期待	radovati se; očekivati	Jako se radujem ovom putovanju.
期间	tijekom; razdoblje	Molim vas, isključite mobitel tijekom sastanka.
其余	ostali; preostali	O preostalim pitanjima razgovarat ćemo sutra.
奇迹	čudo	Liječnik je rekao da je to čudo.
企业	poduzeće; tvrtka	Ovo se poduzeće brzo razvija.
启发	nadahnuti; potaknuti	Ova mi je knjiga dala mnogo nadahnuća.
气氛	atmosfera	Atmosfera u učionici vrlo je opuštena.
汽油	benzin	Automobil treba natočiti benzin.
签	potpisati	Molim vas, ovdje potpišite svoje ime.
谦虚	skroman	On je izvrstan, a i vrlo skroman.
前途	perspektiva; budućnost	Ovaj studij ima dobru perspektivu.
浅	plitak	Ova je rijeka vrlo plitka.
欠	dugovati	Još mi duguje dvadeset juana.
枪	pištolj; vatreno oružje	Policajac u ruci drži pištolj.
墙	zid	Na zidu visi jedna slika.
强调	naglasiti	Učitelj je naglasio pitanje sigurnosti.
强烈	snažan; intenzivan	On ima snažan osjećaj odgovornosti.
抢	otimati se; grabiti	Nemoj se otimati s drugima za sjedalo.
悄悄	tiho; krišom	Tiho je ušla u sobu.
瞧	pogledati; vidjeti	Pogledaj, vani pada snijeg.
巧妙	domišljat; vješt	Ova je metoda vrlo domišljata.
切	rezati	Molim te, nareži voće na male komade.
亲爱	dragi	Dragi prijatelju, hvala ti.
亲切	ljubazan; srdačan	Učitelj govori vrlo ljubazno.
亲自	osobno	Direktor je osobno primio goste.
勤奋	marljiv	Marljivi ljudi lakše uspijevaju.
清淡	lagan; blag	Volim jesti lagana jela.
轻视	podcijeniti	Nemoj podcjenjivati ovaj mali problem.
轻易	lako; olako	On neće lako odustati.
青	plavozelen; zelenkast	Ova je odjeća plavozelene boje.
青春	mladost	Mladost je dragocjena.
青少年	tinejdžer; adolescent	Tinejdžerima treba dovoljno sna.
情景	prizor; situacija	Prizor u filmu vrlo je dirljiv.
情绪	raspoloženje; emocije	Njegove emocije nisu baš stabilne.
请求	zahtjev; zamoliti	Iznio je jedan zahtjev.
庆祝	proslaviti	Proslavili smo njegov rođendan.
球迷	navijač	Mnogo je navijača došlo gledati utakmicu.
趋势	trend	Ovaj trend postaje sve očitiji.
取消	otkazati	Zbog kiše je događaj otkazan.
娶	oženiti se	Namjerava se njome oženiti sljedeće godine.
去世	preminuti; umrijeti	Njegov je djed preminuo prošle godine.
圈	krug; zaokružiti	Molim te, zaokruži točan odgovor.
全面	sveobuhvatan	Moramo sveobuhvatno razumjeti situaciju.
权利	pravo	Svatko ima pravo na obrazovanje.
权力	moć; vlast	Vlast treba biti pod nadzorom.
劝	savjetovati; nagovarati	Prijatelj mi je savjetovao da se ranije odmorim.
缺乏	nedostajati; manjak	Ovom području nedostaje čiste vode.
确定	odrediti; siguran	Još ne mogu odrediti vrijeme.
确认	potvrditi	Molim te, potvrdi svoju adresu.
群	skupina	Skupina djece igra se na igralištu.
燃烧	gorjeti	Drvo gori.
绕	obići; kružiti	Obišli smo jezero jedan krug.
热爱	voljeti; strastveno voljeti	On voli svoj posao.
热烈	srdačan; topao	Svi su srdačno dočekali goste.
热心	srdačan; spreman pomoći	Svi su susjedi vrlo spremni pomoći.
人才	talent; stručnjak	Tvrtki treba više talentiranih ljudi.
人口	stanovništvo	Ovaj grad ima mnogo stanovnika.
人类	čovječanstvo	Čovječanstvo mora štititi Zemlju.
人民币	renminbi; kineski juan	Zamijenio sam nešto renminbija.
人生	život	U životu ima mnogo izbora.
人事	kadrovski poslovi	Ona radi u kadrovskom odjelu.
人物	lik; osoba	Likovi u romanu djeluju vrlo stvarno.
人员	osoblje	Sve osoblje već je stiglo.
忍不住	ne moći se suzdržati	Kad je čuo šalu, nije se mogao suzdržati od smijeha.
日常	svakodnevan	Ovo je moj svakodnevni posao.
日程	raspored	Današnji je raspored vrlo pun.
日历	kalendar	Na zidu visi kalendar.
日期	datum	Molim te, jasno napiši datum.
日用品	svakodnevne potrepštine	Supermarket prodaje mnogo svakodnevnih potrepština.
日子	dani; razdoblje	Ovih je dana vrlo zauzet.
如何	kako	Kako bismo trebali riješiti ovaj problem?
如今	danas; sada	Danas je prijevoz mnogo praktičniji.
软	mekan	Ovaj je krevet vrlo mekan.
软件	softver	Ovaj je softver jednostavan za korištenje.
弱	slab	Njegovo je tijelo prilično slabo.
洒	proliti; poprskati	Slučajno je prolio vodu.
嗓子	grlo; glas	Malo me boli grlo.
色彩	boja; kolorit	Ova slika ima bogate boje.
杀	ubiti	U ovom filmu nema scena ubojstva.
沙漠	pustinja	Voda u pustinji vrlo je dragocjena.
沙滩	plaža	Djeca se igraju na plaži.
傻	glup; lud	Nemoj raditi gluposti.
晒	sušiti na suncu	Odjeća se suši na balkonu.
删除	izbrisati	Molim te, izbriši ovu e-poruku.
闪电	munja	Noću se pojavila munja.
善良	dobar; dobrodušan	Ona je dobra osoba.
善于	biti dobar u	On je dobar u rješavanju problema.
扇子	lepeza	Ljeti često koristim lepezu.
伤害	povrijediti; naškoditi	Nemoj povrijediti osjećaje drugih ljudi.
商品	roba; proizvod	U ovoj trgovini ima mnogo robe.
商务	poslovni	On sutra ide na poslovni sastanak.
商业	trgovina; poslovanje	Trgovina je u ovom području vrlo razvijena.
上当	biti prevaren	Zamalo je bio prevaren.
蛇	zmija	U travi je jedna zmija.
舍不得	biti teško rastati se	Teško mi je otići odavde.
射击	pucanje; gađanje	On trenira gađanje.
摄影	fotografija; snimanje	Jako je zanima fotografija.
设备	oprema	Oprema u laboratoriju vrlo je napredna.
设计	dizajn; osmisliti	Ovaj je dizajn vrlo kreativan.
设施	objekti; sadržaji	Školski sportski sadržaji su dobri.
伸	ispružiti	Molim te, ispruži ruku.
深刻	dubok	Ovo je iskustvo na mene ostavilo dubok dojam.
身材	stas; građa tijela	Ona ima zdravu građu tijela.
身份	identitet; status	Molim vas, pokažite dokaz identiteta.
神话	mit; mitologija	Djeca vole slušati mitološke priče.
神秘	tajanstven	Ovaj je drevni grad vrlo tajanstven.
升	litra; porasti	Cijena goriva po litri malo je porasla.
声调	ton	Kineski ima četiri osnovna tona.
生产	proizvoditi	Ova tvornica proizvodi mobitele.
生动	živopisan	Učitelj objašnjava vrlo živopisno.
生长	rasti	Ova vrsta biljke brzo raste.
绳子	uže	Molim te, zaveži kutiju užetom.
省略	izostaviti	Ovdje se može izostaviti jedan znak.
胜利	pobjeda	Na kraju su ostvarili pobjedu.
失眠	nesanica	U posljednje vrijeme često pati od nesanice.
失去	izgubiti	Nemoj izgubiti samopouzdanje.
失业	nezaposlenost; izgubiti posao	Nakon što je izgubio posao, počeo je učiti nove vještine.
湿润	vlažan	Zrak nakon kiše vrlo je vlažan.
狮子	lav	U zoološkom vrtu su dva lava.
诗	pjesma	Napisao je pjesmu.
实话	istina	Molim te, reci istinu.
实践	praksa; primijeniti	Teoriju treba provjeriti kroz praksu.
实习	stažirati; praksa	Ona će tijekom ljetnih praznika stažirati u bolnici.
实现	ostvariti	Na kraju je ostvario svoj san.
实验	pokus; eksperiment	Učenici rade pokus.
实用	praktičan	Ovaj je alat vrlo praktičan.
时差	vremenska razlika	Još se nije prilagodio vremenskoj razlici.
时代	doba; era	Živimo u informacijskom dobu.
时刻	trenutak	Molim te, zapamti ovaj važan trenutak.
时髦	moderan	Ova je odjeća vrlo moderna.
时期	razdoblje	Studentsko razdoblje imalo je velik utjecaj na njega.
时尚	moda	Ona se jako zanima za modu.
石头	kamen	Pokraj ceste je jedan kamen.
食物	hrana	Molim te, stavi hranu u hladnjak.
使劲儿	upotrijebiti snagu	Za otvaranje ove boce treba upotrijebiti malo snage.
始终	od početka do kraja; uvijek	Uvijek je vjerovao da može uspjeti.
事实	činjenica	Činjenice dokazuju da je bio u pravu.
事物	stvar; pojava	Djeca su vrlo znatiželjna prema novim stvarima.
事先	unaprijed	Molim te, unaprijed mi reci vrijeme.
似的	kao da	Činilo se kao da je toliko umoran da ne želi reći ni riječ.
士兵	vojnik	Vojnici treniraju.
市场	tržnica; tržište	Ova je tržnica vrlo živahna.
试卷	ispitni rad	Učitelj ispravlja ispitne radove.
收获	dobitak; stečeno iskustvo	Na ovom sam putovanju mnogo dobio.
收据	račun; potvrda	Molim vas, sačuvajte račun nakon plaćanja.
手工	ručni rad	Ovaj je poklon ručno izrađen.
手术	operacija	Liječnik će ga sutra operirati.
手套	rukavice	Zimi pri izlasku treba nositi rukavice.
手续	formalnosti; postupak	Za obavljanje postupka potrebna je osobna iskaznica.
手指	prst	Ozlijedio je prst.
首	klasifikator za pjesme	Otpjevala je jednu pjesmu.
受伤	ozlijediti se	Ozlijedio se tijekom utakmice.
寿命	vijek trajanja	Ova vrsta stroja ima dug vijek trajanja.
书架	polica za knjige	Polica za knjige puna je knjiga.
梳子	češalj	Ona češlja kosu češljem.
舒适	udoban	Ova je soba vrlo udobna.
蔬菜	povrće	Jesti više povrća dobro je za zdravlje.
输入	unijeti	Molim te, unesi lozinku u računalo.
熟练	vješt	On se vješto služi računalom.
属于	pripadati	Ova knjiga pripada knjižnici.
数	brojiti	Molim te, prebroji koliko ima ljudi.
鼠标	računalni miš	Moj računalni miš je pokvaren.
数据	podaci	Ovi su podaci vrlo važni.
数码	digitalan	Kupio je digitalni fotoaparat.
摔倒	pasti	Ona je pala na cesti.
甩	otresti; zamahnuti	Otresao je vodu s ruku.
双方	obje strane	Obje su se strane složile s ovim planom.
税	porez	Pri kupnji treba platiti porez.
说不定	možda	Možda će sutra padati snijeg.
说服	uvjeriti	Na kraju je uvjerio roditelje.
丝绸	svila	Ovaj je šal napravljen od svile.
丝毫	nimalo; ni najmanje	Nije nimalo promijenio mišljenje.
思考	razmišljati	Molim te, ozbiljno razmisli o ovom problemu.
思想	mišljenje; razmišljanje	Njegovo je razmišljanje vrlo otvoreno.
撕	poderati	Molim te, nemoj poderati ovaj papir.
私人	privatan	Ovo je moj privatni prostor.
似乎	čini se	Čini se da nije baš sretan.
搜索	pretraživati	Pretraživao sam materijale na internetu.
宿舍	studentski dom	Učenici žive u školskom domu.
随身	nositi sa sobom	Molim vas, nosite putovnicu sa sobom.
随时	u bilo kojem trenutku	Možeš me nazvati u bilo kojem trenutku.
随手	usput; pri odlasku	Molim te, zatvori vrata za sobom pri odlasku.
碎	razbiti se	Čaša je pala na pod i razbila se.
损失	gubitak; šteta	Ova je nesreća prouzročila velik gubitak.
缩短	skratiti	Nova je ruta skratila put.
所	klasifikator za ustanove	Ova je škola vrlo poznata.
锁	zaključati	Molim te, zaključaj vrata prije izlaska.
台阶	stube	Starija osoba polako se popela uz stube.
太极拳	tai chi	U parku netko vježba tai chi.
太太	gospođa; supruga	Gospođa Wang kuha.
谈判	pregovori; pregovarati	Obje strane pregovaraju.
坦率	iskren; otvoren	Iskreno je iznio svoje mišljenje.
烫	vruć; opeći	Ova je šalica čaja vrlo vruća.
桃	breskva	Na stablu je naraslo mnogo bresaka.
淘气	zločest; nestašan	Ovo je dijete malo nestašno.
逃	pobjeći	Štene je pobjeglo iz dvorišta.
逃避	izbjegavati	Nemoj izbjegavati odgovornost.
讨价还价	cjenkati se	On se voli cjenkati kad kupuje.
套	komplet; set	Kupio je novi komplet odjeće.
特色	posebnost	Ovaj restoran ima lokalne posebnosti.
特殊	poseban	Danas je poseban dan.
特征	obilježje	Ova vrsta životinje ima očita obilježja.
疼爱	jako voljeti	Djed i baka jako vole dijete.
提倡	zagovarati	Škola zagovara štednju vode.
提纲	nacrt; okvir	Prije pisanja članka najprije napravi nacrt.
提问	postaviti pitanje	Učenici mogu postavljati pitanja u bilo kojem trenutku.
题目	pitanje; tema	Ovo pitanje nije preteško.
体会	spoznaja; iskustvo	Putovanjem sam stekao novu spoznaju.
体贴	obziran	On je vrlo obziran prema obitelji.
体现	odražavati	Ova stvar odražava timski duh.
体验	iskusiti	Želim iskusiti lokalni život.
天空	nebo	Današnje je nebo vrlo plavo.
天真	naivan; nevin	Djetetova je zamisao vrlo naivna.
调皮	nestašan	Ta je mačka vrlo nestašna.
调整	prilagoditi	Moramo prilagoditi plan.
挑战	izazov	Ovo je velik izazov.
通常	obično	On obično ustaje u sedam.
统一	uskladiti	Mišljenja svih treba uskladiti.
痛苦	bol; patnja	Gubitak prijatelja jako ga je rastužio.
痛快	sjajno; s užitkom	Danas smo se stvarno sjajno proveli.
偷	ukrasti	Nemoj krasti tuđe stvari.
投入	usredotočen; uložiti	On radi vrlo usredotočeno.
投资	ulagati; ulaganje	Uložili su u novi projekt.
透明	proziran	Ova je čaša prozirna.
突出	istaknut	Njegove su prednosti vrlo istaknute.
土地	zemlja; tlo	Ovaj je komad zemlje vrlo plodan.
土豆	krumpir	Kupio sam nekoliko krumpira.
兔子	zec; kunić	Dijete drži jednog kunića.
吐	povraćati	Ne osjeća se dobro i želi povraćati.
团	grupa; skupina	Pridružili smo se turističkoj grupi.
推辞	odbiti	Odbio je prijateljev poziv.
推广	promovirati	Tvrtka promovira novi proizvod.
推荐	preporučiti	Učitelj je preporučio ovu knjigu.
退	odmaknuti se	Molim te, odmakni se jedan korak unatrag.
退步	nazadovati	Ako ne vježbaš, razina će nazadovati.
退休	umiroviti se	On će se umiroviti sljedeće godine.
歪	kriv	Ova slika visi ukrivo.
外公	djed po majci	Moj djed po majci ove godine ima osamdeset godina.
外交	diplomacija	On studira međunarodne odnose i diplomaciju.
完美	savršen	Ovaj plan nije savršen.
完善	poboljšati; usavršiti	Moramo poboljšati proces usluge.
完整	potpun	Molim vas, dajte mi potpun izvještaj.
玩具	igračka	Dijete je stavilo igračke u kutiju.
万一	ako slučajno; za svaki slučaj	Ako slučajno bude kiša, otići ćemo drugi dan.
王子	princ	Princ u priči vrlo je hrabar.
往返	povratno putovanje	Ova karta vrijedi za povratak istog dana.
网络	internet; mreža	Internetska veza ovdje je vrlo stabilna.
危害	štetiti; ugroziti	Pušenje može štetiti zdravlju.
威胁	prijetiti	Zagađenje prijeti rijeci.
微笑	osmijeh	Osmjehnula mi se.
唯一	jedini	Ovo je jedini način.
围巾	šal	Zimi nosi šal.
围绕	vrtjeti se oko; usredotočiti se na	Rasprava se usredotočila na ovo pitanje.
维修	popravak; održavanje	Dizalo je na popravku.
违反	prekršiti	Ovakav postupak krši pravila.
伟大	velik; veličanstven	Ovo je veliko otkriće.
委屈	osjećati nepravdu	Ona se osjećala jako povrijeđeno.
尾巴	rep	Štene je mahalo repom.
位于	nalaziti se	Škola se nalazi u središtu grada.
位置	mjesto; položaj	Ovo je mjesto vrlo tiho.
未必	ne nužno	Ono što je rekao nije nužno istina.
未来	budućnost	Moramo se pripremiti za budućnost.
胃	želudac	Želudac mi je malo neugodan.
胃口	apetit	Danas ima dobar apetit.
温暖	topao	Proljetno sunce vrlo je toplo.
温柔	blag; nježan	Ona govori vrlo nježno.
文件	dokument; datoteka	Molim te, pošalji mi dokument.
文具	školski pribor	U torbi ima mnogo školskog pribora.
文明	civiliziran; civilizacija	Stajanje u redu civilizirano je ponašanje.
文学	književnost	Ona voli kinesku književnost.
文字	pismo; tekst	Ove je znakove teško čitati.
闻	mirisati; čuti	Osjetio sam miris cvijeća.
吻	poljubiti	Mama je poljubila dijete u lice.
稳定	stabilan	Cijene ostaju stabilne.
