simplified	DA	example_DA
番	en omgang	Disse ord gav mig meget inspiration
凡是	alle	Alle der tilmelder sig, skal deltage i træningen
繁华	livlig	Denne gade var tidligere meget livlig
繁忙	travl	Lufthavnen er særligt travl i ferier
繁体字	traditionelle kinesiske tegn	Folk i Taiwan bruger ofte traditionelle kinesiske tegn
繁殖	formere sig	Denne plante formerer sig let
反驳	tilbagevise	Han tilbageviste dette synspunkt med data
反常	usædvanlig	Vejret i dag er lidt usædvanligt
反感	mislike	Jeg misliker virkelig denne slags reklame
反抗	gøre modstand	Folk begyndte at gøre modstand mod den uretfærdige regel
反馈	tilbagemelding	Kunderne meldte tilbage at systemet er meget stabilt
反面	bagsiden	Vend venligst papiret om på bagsiden
反射	reflektere	Et spejl reflekterer lys
反思	reflektere	Efter nederlaget reflekterede han alvorligt over årsagerne
反问	spørge tilbage	Han svarede ikke, men spurgte mig tilbage
反之	omvendt	For høje priser reducerer efterspørgslen, og omvendt
泛滥	flyde over	Det kraftige regnvejr fik floden til at flyde over
范畴	en kategori	Dette spørgsmål hører til den juridiske kategori
贩卖	sælge	Loven forbyder salg af falsk medicin
方位	en retning	Kortet markerer den præcise retning
方言	en dialekt	Han kan forstå den lokale dialekt
方圆	i en omkreds	Der er intet hospital inden for en omkreds af ti kilometer
方针	en retningslinje	Virksomheden fastlagde en ny udviklingsretningslinje
防守	forsvar	Dette holds forsvar er meget stabilt
防御	forsvar	Bymuren blev engang brugt til forsvar mod fjender
防止	forhindre	Spænd sikkerhedsselen for at forhindre skader
防治	forebyggelse og behandling	Lægen forklarede metoder til sygdomsforebyggelse og behandling
纺织	tekstil	Denne by er kendt for tekstilindustrien
访问	besøge	Journalisten besøger denne forfatter i morgen
放大	forstørre	Forstør venligst billedet lidt
放射	udstråle	Dette materiale udstråler varme
非法	ulovlig	Ulovlige transaktioner bliver straffet
飞禽走兽	fugle og dyr	Der lever alle slags fugle og dyr i skoven
飞翔	flyve	Måger flyver over havet
飞跃	et spring	Teknologisk udvikling opnåede et stort spring
肥沃	frugtbar	Denne jord er meget frugtbar
诽谤	ærekrænkelse	Ærekrænkelse af andre medfører juridisk ansvar
废除	afskaffe	Denne gamle regel er allerede afskaffet
废寝忘食	glemme søvn og mad	Han var så opslugt af forskning at han glemte søvn og mad
废墟	ruiner	Efter jordskælvet blev stedet til ruiner
沸腾	koge	Vandet har allerede kogt
肺	en lunge	Rygning kan skade lungerne
分辨	skelne	Det er svært for mig at skelne mellem disse to farver
分寸	passende grænser	Selv når man laver sjov, bør man kende de passende grænser
分红	udbytte	Aktionærerne kan få udbytte ved årets slutning
分解	bryde ned	Læreren brød det komplicerede problem ned i flere trin
分裂	splittes	Interne konflikter fik organisationen til at splittes
分泌	udskille	Denne type kirtel udskiller hormoner
分明	tydelig	Fakta er allerede meget tydelige
分歧	uenighed	De to parter er uenige om prisen
分散	spre	Spred venligst risikoen over forskellige projekter
吩咐	bede	Chefen bad mig ordne dokumenterne
坟墓	en grav	Der ligger en gammel grav på bjergskråningen
粉末	pulver	Knus venligst tabletterne til pulver
粉色	lyserød	Hun købte et lyserødt tørklæde
粉碎	knuse	Politiet knuste denne kriminelle bande
分量	vægt	Denne sætning har stor vægt
愤怒	vrede	Hans tone var fuld af vrede
丰满	indholdsrigt	Indholdet i denne artikel er stadig ikke indholdsrigt nok
丰盛	rigelig	De forberedte en rigelig middag
丰收	god høst	Bønderne fik en god høst i år
封闭	lukke	Denne vej bliver lukket under byggeriet
封建	feudal	Denne feudale tankegang burde være ændret for længe siden
封锁	afspærre	Politiet afspærrede ulykkesstedet
锋利	skarp	Denne kniv er meget skarp
风暴	en storm	Der opstod pludselig en storm på havet
风度	elegance	Han viste stor elegance på scenen
风光	natur	Naturen her er smuk
风气	atmosfære	Skolen har udviklet en god læringsatmosfære
风趣	humor	Han taler med meget humor
风土人情	lokale skikke	Rejser hjælper dig med at forstå lokale skikke
风味	lokalt præg	Denne butik har et stærkt lokalt præg
逢	når	Hver weekend er parken livlig
奉献	vie	Lægen viede meget tid til patienterne
否决	afvise	Bestyrelsen afviste dette forslag
夫妇	et ægtepar	Dette ægtepar driver en lille butik
夫人	frue	Hr. Wang og hans frue deltog i banketten sammen
敷衍	overfladisk	Han gav kun nogle få overfladiske svar
俘虏	en fange	Efter krigen blev fangerne løsladt
幅度	omfang	Prisnedsættelsen denne gang er stor i omfang
服从	adlyde	Soldater skal adlyde ordrer
服气	være overbevist	Han tabte kampen, men var ikke overbevist
福利	velfærd	Medarbejderne lægger stor vægt på virksomhedens velfærdsgoder
福气	held	Det er hans held at møde en god lærer
符号	et symbol	Dette symbol betyder fare
辐射	stråling	Lægen mindede ham om at holde sig væk fra stærk stråling
俯视	se ned over	Fra bjergtoppen kan man se ned over hele byen
抚摸	stryge	Hun strøg forsigtigt barnet over hovedet
抚养	opdrage	Bedsteforældrene hjalp med at opdrage barnet
腐败	korruption	Regeringen bekæmper korruption
腐烂	rådne	Frugt rådner hvis det ligger for længe
腐蚀	ætse	Syre kan ætse en metaloverflade
腐朽	forfalden	De kritiserede det forfaldne system
辅助	hjælpe	Dette værktøj kan hjælpe undervisningen
副	vicemedlem	Hun blev udnævnt til viceleder
复活	genoplive	Denne traditionelle festival bliver genoplivet
复兴	genopblomstring	Kulturel genopblomstring kræver langsigtet indsats
富裕	velhavende	Landsbyen bliver mere og mere velhavende
腹泻	diarre	Han har alvorlig diarre og skal til lægen
覆盖	dække	Den kraftige sne dækkede hele dalen
负担	en byrde	Huslejen blev hans største byrde
赋予	give	Loven giver borgerne grundlæggende rettigheder
附和	give nogen ret	Han har ingen selvstændig mening og giver bare andre ret
附件	en vedhæftet fil	Se venligst den vedhæftede fil i e-mailen
附属	tilknyttet	Dette hospital er tilknyttet universitetet
改良	forbedre	Eksperter forbedrer denne type ris
盖章	stemple	Kontrakten skal stemples efter underskrift
钙	kalk	Mælk indeholder meget kalk
尴尬	akavet	Der opstod en akavet tavshed på mødet
干旱	tørke	Den lange tørke påvirkede afgrøderne
干扰	forstyrre	Støj forstyrrer mit arbejde
干涉	blande sig i	Forældre bør ikke blande sig for meget i børns valg
干预	gribe ind	Regeringen greb rettidigt ind over for markedsrisikoen
感慨	berørt	Han blev meget berørt da han så de gamle fotografier
感染	smitte	Denne virus smitter let børn
干劲	arbejdsiver	Alle arbejder med stor arbejdsiver
扛	løfte	Sagnet siger at han var stærk nok til at løfte en tung kedel
纲领	et handlingsprogram	Mødet vedtog et nyt handlingsprogram
岗位	en stilling	Hun vænnede sig hurtigt til den nye stilling
港口	en havn	Lastskibet lagde til i havnen
港湾	en bugt	Den lille båd sejlede ind i den rolige bugt
杠杆	en løftestang	Denne investering brugte høj gearing
高超	fremragende	Hans teknik til at reparere biler er fremragende
高潮	et højdepunkt	Kampen nåede sit højdepunkt i de sidste ti minutter
高峰	en spidsbelastning	Klokken otte om morgenen er trafikkens spidsbelastning
高明	genial	Denne metode er virkelig genial
高尚	ædel	Lægens faglige ånd er ædel
高涨	stige	Tilhørernes begejstring blev ved med at stige
稿件	et manuskript	Redaktøren er ved at rette manuskriptet
告辞	tage afsked	Det er allerede sent så vi tager afsked nu
告诫	advare	Læreren advarede eleverne mod at snyde
割	skære	Han skar sig ved et uheld i fingeren
搁	lægge	Læg venligst dokumenterne på bordet
歌颂	lovprise	Digtet lovpriser arbejderne
疙瘩	en bule	Der kom en bule på hans arm
鸽子	en due	Der er mange duer på pladsen
格局	en planløsning	Lejlighedens planløsning er meget fornuftig
格式	et format	Udfyld venligst formularen i det krævede format
隔阂	en afstand	Misforståelsen gjorde afstanden mellem dem større
隔离	isolere	Patienten skal isoleres midlertidigt
革命	en revolution	Denne revolution ændrede landets skæbne
个体	et individ	Hvert individ har forskellige behov
各抒己见	alle siger deres mening	På mødet sagde alle deres egen mening
根深蒂固	dybt rodfæstet	Denne opfattelse er allerede dybt rodfæstet
根源	en rod	Fattigdommens rødder er komplekse
跟前	hen foran	Barnet løb hen foran sin mor
跟随	følge	Reporteren fulgte holdet ind i bjergområdet
跟踪	spore	Politiet sporer den mistænktes bevægelser
更新	opdatere	Systemet opdateres automatisk i aften
更正	rette	Avisen rettede fejlen næste dag
耕地	pløje	Landmændene pløjer markerne om foråret
供不应求	efterspørgslen overstiger udbuddet	Denne medicin er i øjeblikket en mangelvare
供给	en forsyning	Byen har brug for stabil forsyning af vand og strøm
公安局	et offentligt sikkerhedskontor	Han gik til det offentlige sikkerhedskontor for at anmelde sagen
公道	retfærdig	Alle håber på en retfærdig behandling
公告	en meddelelse	Skolen udsendte en meddelelse om aflyste timer
公关	PR	Virksomheden hyrede et professionelt PR-team
公民	en borger	Enhver borger bør overholde loven
公然	åbenlyst	Han overtrådte åbenlyst konkurrencereglerne
公认	anerkendt	Hun er anerkendt som en fremragende lærer
公式	en formel	Skriv venligst denne matematiske formel ned
公务	officielle opgaver	Han var på forretningsrejse i tre dage på grund af officielle opgaver
公正	retfærdig	En dommer skal forblive retfærdig
公证	notarbekræftelse	Dette dokument kræver notarbekræftelse
功劳	en fortjeneste	Alle har en fortjeneste i denne succes
功效	en virkning	Virkningen af denne medicin skal stadig bekræftes
宫殿	et palads	Turisterne besøgte det gamle palads
工艺品	en kunsthåndværksgenstand	Denne kunsthåndværksgenstand er lavet i hånden
恭敬	respektfuld	Han hilste respektfuldt på den ældre person
攻击	angribe	Hackere angreb virksomhedens hjemmeside
攻克	overvinde	Forskerholdet overvandt det tekniske problem
巩固	konsolidere	Repetition kan konsolidere det man har lært
共和国	en republik	Denne republik blev grundlagt i forrige århundrede
共计	i alt	Denne vareparti er i alt tre hundrede kasser
共鸣	genklang	Denne sang vakte genklang hos mange mennesker
勾结	rotte sig sammen med	De rottede sig sammen med udenforstående for at franarre penge
钩子	en krog	Der hænger flere kroge på væggen
构思	udtænke	Forfatteren er ved at udtænke en ny roman
姑且	foreløbig	Lad os foreløbig prøve denne plan i en uge
孤独	ensom	Han følte sig ensom efter at være flyttet til en ny by
孤立	isoleret	Se ikke på dette problem isoleret
辜负	skuffe	Jeg vil ikke skuffe mine forældres forventninger
古董	en antikvitet	Bedstefar samlede på flere antikviteter
古怪	mærkelig	Hans ide er lidt mærkelig
股东	en aktionær	Aktionærmødet holdes i næste uge
股份	aktier	Han ejer aktier i virksomheden
骨干	rygraden	Disse ingeniører er rygraden i holdet
鼓动	ophidse	Nogen ophidsede folkemængden til protest
固然	ganske vist	Denne metode er ganske vist enkel men risikoen er ikke lille
固体	et fast stof	Is er vand i fast form
固有	iboende	Enhver kultur har iboende træk
固执	stædig	Han er for stædig og vil ikke lytte til råd
故乡	en hjemby	Mange år senere vendte han tilbage til sin hjemby
故障	en fejl	Elevatoren fik en fejl og er midlertidigt ude af drift
雇佣	ansætte	Virksomheden besluttede at ansætte flere teknikere
顾虑	en bekymring	Du kan sige direkte hvis du har nogen bekymringer
顾问	en rådgiver	Vi hyrede en juridisk rådgiver
拐杖	en stok	Den ældre mand tager ofte en stok med når han går ud
关怀	omsorg	Læreren gav eleverne meget omsorg
关照	passe på	Vær venlig at passe på barnet på vejen
官方	officiel	Den officielle nyhed bliver offentliggjort i morgen
观光	tage på sightseeing	Turisterne tog på sightseeing med båd
管辖	have jurisdiktion over	Dette område hører under bystyrets jurisdiktion
惯例	en praksis	Det er fast praksis at præsentere gæsterne før mødet begynder
灌溉	vande	Landmændene bruger flodvand til at vande markerne
罐	en krukke	Der står en krukke teblade på bordet
贯彻	gennemføre	Virksomheden skal gennemføre de nye sikkerhedsstandarder
光彩	strålende	Dette tøj fik hende til at se strålende ud
光辉	ære	Hans resultater efterlod en ærefuld side
光芒	lysstråler	Solens lysstråler oplyste dalen
光荣	ærefuld	Det er ærefuldt at tjene landet
广阔	vid	Græslandet strækker sig endeløst og er meget vidt
归根到底	når alt kommer til alt	Når alt kommer til alt ligger problemet i ledelsen
归还	aflevere tilbage	Aflever venligst bøgerne tilbage til tiden
规范	en standard	Skolen fastsatte standarder for at styre laboratoriet
规格	en specifikation	Specifikationerne for dette parti dele er ikke ens
规划	en planlægning	Byplanlægning skal tage hensyn til trafikken
规章	regler	Medarbejderne skal overholde virksomhedens regler
轨道	et spor	Toget kører frem langs sporet
贵族	adelen	Denne herregård tilhørte engang adelen
跪	knæle	Han knælede foran statuen
棍棒	en kølle	Politiet konfiskerede køllerne på stedet
国防	forsvar	Opbygning af forsvaret kræver langsigtede investeringer
国务院	statsrådet	Statsrådet udsendte en ny meddelelse
果断	beslutsom	Lederen traf en beslutsom beslutning
过度	overdreven	Overdreven brug af mobiltelefon kan påvirke søvnen
过渡	en overgang	Virksomheden er i en overgangsfase i sin omstilling
过奖	overrose	Du overroser mig jeg har stadig brug for at lære
过滤	filtrere	Denne enhed kan filtrere urenheder
过失	en fejl	Denne ulykke skyldtes en menneskelig fejl
过问	blande sig i	Chefen blander sig sjældent i disse småting
过瘾	tilfredsstillende	Det var virkelig tilfredsstillende at se denne kamp
过于	for	Denne plan er for kompliceret
嗨	hej	Hej hvorfor kom du også
海拔	højde over havet	Denne landsby ligger højt over havet
海滨	kysten	De tilbragte weekenden ved kysten
含糊	vag	Hans svar var meget vagt
含义	en betydning	Dette ord har en særlig betydning
寒暄	udveksle høfligheder	Efter mødet udvekslede de først nogle høfligheder
罕见	sjælden	Denne sygdom er meget sjælden
捍卫	forsvare	Advokaten arbejdede hårdt for at forsvare klientens rettigheder
航空	luftfart	Flyselskabet aflyste flyvningen
航天	rumfart	Kinas rumfartsprogram udvikler sig hurtigt
航行	sejle	Skibet sejler på havet
行列	rækker	Hun sluttede sig til de frivilliges rækker
毫米	en millimeter	Dette stykke glas er fem millimeter tykt
毫无	slet ingen	Hans forklaring har slet intet grundlag
豪迈	storslået	Hans sang lød storslået og kraftfuld
号召	opfordre	Regeringen opfordrede alle til at spare på vandet
耗费	forbruge	Dette projekt forbrugte en stor mængde midler
呵	råbe	Faren råbte og barnet stoppede straks
合并	fusionere	De to virksomheder planlægger at fusionere næste år
合成	syntetisere	Dette materiale kan syntetiseres kunstigt
合伙	indgå partnerskab	De åbnede en restaurant i partnerskab
合算	betale sig	Det betaler sig bedre at tage bussen end en taxa
和蔼	venlig	Denne læge taler meget venligt
和解	et forlig	De to parter nåede til sidst et forlig
和睦	harmonisk	Naboerne kommer harmonisk ud af det med hinanden
和气	venlig	Chefen behandler folk venligt
和谐	harmonisk	Musikken gjorde stemningen mere harmonisk
嘿	hov	Hov hørte du det
痕迹	et spor	Der blev efterladt hjulspor på jorden
狠心	hjerteløs	Han afviste hjerteløst sin vens anmodning
恨不得	ønske inderligt	Jeg ville ønske at jeg straks kunne tage hjem og hvile
哼	fnyse	Han fnøs utilfreds
横	vandret	Tegn venligst en vandret linje på papiret
哄	bryde ud i latter	Alle brød ud i latter
烘	bage	Brødet er ved at bage i ovnen
轰动	en sensation	Denne nyhed vakte sensation i hele landet
宏观	overordnet	Vi skal analysere økonomien fra et overordnet perspektiv
宏伟	storslået	Designet af denne bro er meget storslået
洪水	en oversvømmelse	Oversvømmelsen skyllede flere broer væk
喉咙	halsen	Han talte for meget og har lidt ondt i halsen
吼	brøle	Han brølede højt mod det fjerne
候选	en kandidat	Hun er kandidat som repræsentant i år
后代	kommende generationer	Vi skal beskytte miljøet for kommende generationer
后顾之忧	bekymringer for fremtiden	En stabil indkomst gav ham ingen bekymringer for fremtiden
后勤	logistik	Logistikafdelingen har ansvar for materialeforsyningen
呼唤	kalde	Moderen kaldte på barnet ved døren
呼啸	hyle	Den kolde vind hylede uden for vinduet
呼吁	opfordre	Eksperter opfordrede alle til at mindske spild
忽略	overse	Overse venligst ikke denne detalje
湖泊	en sø	Dette område har mange naturlige søer
胡乱	tilfældigt	Læg ikke ting tilfældigt på gulvet
胡须	et skæg	Hans skæg er allerede blevet hvidt
花瓣	et kronblad	Efter regnen lå der kronblade over hele jorden
花蕾	en blomsterknop	Om foråret vokser der blomsterknopper på grenene
华丽	pragtfuld	Kostumerne på scenen var meget pragtfulde
华侨	udlandskinesere	Mange udlandskinesere vendte hjem for at investere
划分	inddele	Læreren inddelte eleverne i fire grupper
化肥	kunstgødning	Landmændene gav afgrøderne kunstgødning
化石	et fossil	Museet udstillede dinosaurfossiler
化验	en laboratorietest	Lægen bad ham tage en blodprøve
化妆	lægge makeup	Hun var ved at lægge makeup før hun gik på scenen
画蛇添足	overdrive	At tilføje flere forklaringer ville tværtimod være at overdrive
话筒	en mikrofon	Værten rakte mikrofonen til publikum
欢乐	glæde	Festivalpladsen var fuld af glæde
环节	et led	Hvert led i træningen er vigtigt
还原	gendanne	Gendan venligst indstillingerne til standardtilstand
缓和	lette	Forholdet mellem de to parter lettede gradvist
患者	en patient	Lægen spørger ind til patientens tilstand
荒凉	øde	Dette stykke land ser meget øde ud
荒谬	absurd	Denne forklaring lyder absurd
荒唐	latterlig	Hans beslutning var alt for latterlig
皇帝	en kejser	Kejseren boede i et storslået palads
皇后	en kejserinde	Kejserinden deltog i fejringen
黄昏	skumring	Ved skumringstid blev gadelygterne tændt
恍然大悟	pludselig forstå	Efter at have hørt forklaringen forstod han det pludselig
晃	glimte	Et glimt foran øjnene og så var han væk
挥霍	sløse bort	Han burde ikke sløse sine forældres penge bort
辉煌	glorværdig	Denne by har en glorværdig historie
回报	en belønning	Hårdt arbejde vil til sidst give belønning
回避	undgå	Han har hele tiden undgået dette spørgsmål
回顾	gennemgå	Ved mødets afslutning gennemgik de årets arbejde
回收	genbruge	Boligområdet begyndte at genbruge gamle batterier
悔恨	anger	Han følte anger over sine tidligere fejl
毁灭	ødelægge	Krigen ødelagde næsten denne by
会晤	mødes	De to landes ledere mødes i morgen
汇报	rapportere	Han rapporterede fremskridtene til chefen
贿赂	bestikkelse	Embedsmanden blev undersøgt for bestikkelse
昏迷	koma	Patienten er stadig i koma
荤	med kød	Denne ret er med kød og passer ikke til vegetarer
浑身	over hele kroppen	Efter løbeturen var han svedig over hele kroppen
混合	blande	Bland venligst de to materialer jævnt
混乱	kaos	Der var på et tidspunkt meget kaos på stedet
混淆	forveksle	Forveksl ikke disse to begreber
混浊	grumset	Efter regnen blev flodvandet grumset
活该	fortjent	Han lyttede ikke til råd så nederlaget var fortjent
活力	vitalitet	Denne by er fuld af vitalitet
火箭	en raket	Raketten gik med succes ind i den planlagte bane
火焰	flammer	Vinden fik flammerne til at stige højere
火药	krudt	Krudt ændrede oldtidens krigsførelse
货币	valuta	Pengepolitik påvirker den økonomiske udvikling
基地	en base	Dette var engang en vigtig træningsbase
基金	en fond	Skolen oprettede en stipendiefond
基因	et gen	Forskere undersøger dette gen
机动	mobil	Denne enhed bevarer høj mobilitet
机构	en institution	Denne institution er ansvarlig for kvalitetskontrol
机灵	kvikk	Dette barn er meget kvikt
机密	fortrolig	Disse materialer er fortrolige
机械	maskiner	Fabrikken indførte nye maskiner
机遇	en mulighed	Unge mennesker bør gribe muligheder
机智	snarrådig	Hans svar var meget snarrådigt
激发	stimulere	Læreren stimulerede elevernes interesse
激励	opmuntre	Denne succes opmuntrede hele holdet
激情	lidenskab	Han var fuld af lidenskab mens han talte
讥笑	håne	Hån ikke andres fejl
饥饿	sult	Langvarig sult kan påvirke helbredet
即便	selv om	Selv om det regner tager vi af sted til tiden
即将	snart	Mødet begynder snart
及早	så tidligt som muligt	Problemer bør håndteres så tidligt som muligt
吉祥	held og lykke	Rød symboliserer ofte held og lykke i Kina
嫉妒	misunde	Han burde ikke misunde kollegaens succes
急功近利	jage hurtig gevinst	Man kan ikke lave forskning ved at jage hurtig gevinst
急剧	kraftigt	Salget faldt kraftigt
急切	ivrig	Hun ventede ivrigt på nyheden
急于求成	jage hurtige resultater	Man kan ikke jage hurtige resultater når man lærer sprog
急躁	utålmodig	Bliv ikke utålmodig når du møder vanskeligheder
极端	ekstremt	Denne slags ekstreme vejr bliver mere almindeligt
极限	en grænse	Denne træning udfordrede hans grænser
疾病	en sygdom	Gode vaner kan forebygge sygdomme
籍贯	et oprindelsessted	Formularen kræver at man udfylder sit oprindelsessted
级别	et niveau	Denne konkurrence er delt i tre niveauer
集团	en koncern	Denne koncern har filialer i udlandet
给予	give	Skolen giver hjælp til fattige elever
季军	en tredjeplads	Han fik tredjepladsen i konkurrencen
季度	et kvartal	Virksomheden offentliggør regnskaber hvert kvartal
寂静	stille	Dalen er særligt stille om natten
寄托	knytte håb til	Hun knyttede sit håb til sit barn
忌讳	et tabu	De lokale betragter det som tabu at tale om dette ved middagsbordet
技巧	en teknik	At mestre teknikker kan øge effektiviteten
纪要	et mødereferat	Sekretæren ordnede mødereferatet
继承	arve	Han arvede sin fars karriere
计较	hænge sig i	Hæng dig ikke i sådan en lille ting
记性	en hukommelse	Han har en meget god hukommelse
记载	nedtegne	Historiebøgerne nedtegnede denne krig
迹象	et tegn	Der er i øjeblikket ingen tegn på bedring
佳肴	lækkerier	Bordet var fyldt med lækkerier
加工	bearbejde	Disse råvarer skal bearbejdes yderligere
加剧	forværres	Konflikten forværres
夹杂	blandet med	Regnens lyd var blandet med torden
家常	hjemmelavet	Jeg kan godt lide at spise hjemmelavede retter
家伙	en fyr	Den fyr kommer altid for sent
家属	et familiemedlem	Lægen underrettede patientens familiemedlemmer
家喻户晓	kendt i alle hjem	Denne historie er kendt i alle hjem
坚定	fast	Hendes holdning er meget fast
坚固	solid	Denne bro er meget solid
坚韧	udholdende	Han har en udholdende karakter
坚实	solid	Denne forskning har et solidt grundlag
坚硬	hård	Denne sten er meget hård
尖端	avanceret	Virksomheden investerer i avanceret teknologi
尖锐	skarp	Dette problem er meget skarpt
煎	stege	Kokken er ved at stege fisk
监督	føre tilsyn	Offentligt tilsyn hjælper med at forbedre arbejdet
监视	overvåge	Politiet overvåger den mistænkte
监狱	et fængsel	Han afsoner en dom i fængsel
艰难	vanskelig	Den tidlige fase af at starte virksomhed er meget vanskelig
剪彩	klippe snoren	Borgmesteren klippede snoren til det nye bibliotek
拣	udvælge	Hun udvalgte nogle æbler fra kurven
检讨	gennemgå	Han gennemgik alvorligt sine egne fejl
检验	teste	Eksperimenter kan teste denne hypotese
简化	forenkle	Forenkle venligst processen yderligere
简陋	enkel og primitiv	De boede i en enkel og primitiv hytte
简体字	forenklede kinesiske tegn	Denne lærebog bruger forenklede kinesiske tegn
简要	kortfattet	Forklar venligst kortfattet dit synspunkt
健全	forbedre	Virksomheden skal forbedre sit ledelsessystem
剑	et sværd	Der hænger et gammelt sværd på væggen
溅	sprøjte	Regnvand sprøjtede på hans bukser
舰艇	et marinefartøj	Flere marinefartøjer deltog i øvelsen
见多识广	erfaren og vidende	Denne gamle mand er erfaren og vidende
见解	en indsigt	Han har en særlig indsigt i dette spørgsmål
见闻	viden og erfaring	Rejser udvidede hans viden og erfaring
见义勇为	handle modigt for det rette	Han blev rost for at handle modigt for det rette
践踏	trampe på	Tramp ikke på græsplænen
鉴别	skelne	Eksperter kan skelne om dette maleri er ægte
鉴定	undersøge	Politiet undersøger fingeraftrykkene
鉴于	i betragtning af	I betragtning af det dårlige vejr blev arrangementet udsat
间谍	en spion	Denne film fortæller en spionhistorie
间隔	et interval	Der er et interval på en uge mellem de to møder
间接	indirekte	Denne politik vil have en indirekte virkning
僵硬	stiv	Hans smil virkede stift
将军	en general	Generalen gav ordren
将近	næsten	Dette projekt varede næsten to år
将就	klare sig	Forholdene er dårlige så vi må bare klare os
奖励	belønne	Skolen belønnede de fremragende elever
奖赏	en belønning	Kongen gav krigeren en generøs belønning
桨	en åre	Bådsmanden brugte en åre til at ro båden mod bredden
降临	sænke sig	Natten sænkede sig gradvist over byen
交叉	krydse	De to veje krydser hinanden her
交代	forklare	Forklar venligst opgaven klart
交涉	forhandle	De to parter forhandler om erstatningsspørgsmålet
交易	en transaktion	Denne transaktion er allerede gennemført
娇气	pyldret	Vær ikke for pyldret vejret er ikke koldt
焦点	et fokus	Beskæftigelsesspørgsmålet blev diskussionens fokus
焦急	bekymret	Moderen ventede bekymret på at barnet kom tilbage
侥幸	heldigvis	Han slap heldigvis fra katastrofen
搅拌	røre	Rør venligst dejen jævnt
缴纳	betale	Beboerne skal betale vandregningen til tiden
角落	et hjørne	Katten gemte sig i hjørnet af rummet
教养	opdragelse	God opdragelse viser sig i detaljerne
较量	konkurrere	De to stærke hold skal snart konkurrere
接连	i træk	Han modtog tre e-mails i træk
揭露	afsløre	Reporteren afslørede et fødevaresikkerhedsproblem
皆	alle	Disse regler kender alle
阶层	et samfundslag	Forskellige samfundslag har forskellige behov
截止	lukke	Tilmeldingen lukker i morgen eftermiddag
截至	per	Per i dag har to hundrede personer tilmeldt sig
杰出	fremragende	Hun er en fremragende videnskabskvinde
竭尽全力	gøre sit yderste	Vi vil gøre vores yderste for at fuldføre opgaven
结晶	resultatet	Denne præstation er resultatet af mange års indsats
结局	en slutning	Historiens slutning var uventet
结算	afregne	Kunden bad om at afregne gebyrerne ved månedens udgang
节制	mådehold	Man bør have mådehold med mad og drikke
节奏	rytme	Denne sangs rytme er hurtig
解除	ophæve	Virksomheden ophævede sikkerhedsalarmen
解放	frigøre	Reformen frigjorde produktivkræfterne
解雇	afskedige	Chefen besluttede at afskedige den medarbejder
解剖	anatomi	Medicinstuderende lærer anatomi
解散	opløse	Efter mødet sluttede blev gruppen opløst
解体	gå i opløsning	Den alliance gik til sidst i opløsning
借鉴	lære af	Vi kan lære af udenlandske erfaringer
借助	ved hjælp af	Han fandt ruten ved hjælp af et kort
戒备	være på vagt	Grænseområdet er fortsat i højt beredskab
界限	en grænse	Arbejde og liv har brug for klare grænser
津津有味	med stor interesse	Børnene lyttede til historien med stor interesse
金融	finans	Finansmarkedet svingede kraftigt i dag
紧迫	presserende	Tiden er presserende og vi må handle straks
锦上添花	prikken over i'et	Denne gave var virkelig prikken over i'et
晋升	forfremme	Han blev forfremmet til afdelingsleder sidste år
浸泡	blødlægge	Bønnerne skal blødlægges natten over
近来	på det seneste	Vejret har ændret sig meget på det seneste
进而	derefter	Forstå først behovene og udarbejd derefter en plan
进攻	angribe	Holdet styrkede angrebet i anden halvleg
进化	udvikle sig	Organismer udvikler sig med deres miljø
进展	gå fremad	Projektet går i øjeblikket glat fremad
兢兢业业	samvittighedsfuld	Han arbejdede samvittighedsfuldt i tredive år
惊动	alarmere	Den høje lyd alarmerede beboerne i nærheden
惊奇	forundret	Børnene så forundret på trylleshowet
惊讶	overraske	Hans svar overraskede mig
精打细算	planlægge nøje	Hun planlægger altid husholdningsudgifterne nøje
精华	essens	Denne artikel sammenfatter teoriens essens
精简	strømligne	Virksomheden besluttede at strømline ledelsen
精密	præcis	Dette instrument er meget præcist
精确	nøjagtig	Dataene skal være nøjagtige til to decimaler
精通	beherske	Han behersker tre fremmedsprog
精心	omhyggeligt	Moren forberedte aftensmaden omhyggeligt
精益求精	stræbe efter perfektion	Fremragende håndværkere stræber altid efter perfektion
精致	udsøgt	Denne gave er pakket meget udsøgt ind
经费	midler	Forskningsmidlerne er allerede godkendt
经纬	længde- og breddegrad	Kortet markerer længde- og breddegrader
茎	en stilk	En plantes stilk støtter bladene
井	en brønd	Der er en gammel brønd ved landsbyens indgang
警告	advare	Læreren advarede eleverne mod at snyde
警惕	være på vagt	Vi bør være på vagt over for netsvindel
颈椎	nakkehvirvler	At se ned i lang tid kan skade nakkehvirvlerne
境界	et niveau	Hans maleri nåede et nyt niveau
敬礼	salutere	Soldaten saluterede for nationalflaget
敬业	dedikeret	Hun arbejder seriøst og er meget dedikeret
竞赛	en konkurrence	Skolen afholdt en matematikkonkurrence
竞选	stille op til valg	Han forbereder sig på at stille op som borgmester
镜头	en linse	Fotografen justerede linsen
纠纷	en tvist	De to parter løste tvisten gennem mægling
纠正	korrigere	Læreren korrigerede udtalefejlen i tide
酒精	alkohol	Lægen desinficerede såret med alkohol
